3poke_walk.dat
3poke_walk_kusa_01	[~ 0]
ajito_kakutou_020_cassiopeia_03	Their boss, Eri, is a skilled wrestler and coaches\nthe whole of Team Star in Pokémon battling.[VAR 0114(0009)]
ajito_kakutou_020_cassiopeia_04	Of all the bosses, she’ll likely be the most alert\nto hostilities after our declaration of war.[VAR 0114(0009)]
ajito_kakutou_020_cassiopeia_05	She might try to stop this raid in its tracks by\nchallenging you to battle before anyone else.[VAR 0114(0009)]
ajito_kakutou_020_select_01	You’re spot on!
ajito_kakutou_020_select_02	Yeah, we already met
ajito_kakutou_020_cassiopeia_06	I knew it! Tell me what happened![VAR 0114(0009)]
ajito_kakutou_020_cassiopeia_07	She...retreated?! We’re talking about the same\nEri, right?[VAR 0114(0009)]
ajito_kakutou_020_cassiopeia_08	Well...it seems there’s nothing for it now but to\nattack the base head on.[VAR 0114(0009)]
ajito_kakutou_020_cassiopeia_09	[~ 11]
ajito_kakutou_020_cassiopeia_10	Ring the bell on the gates once you’re ready to\nkick off this phase of the operation.\c\nTime to wipe the Caph Squad off the map![VAR 0114(0009)]
ajito_kakutou_020_select_03	[~ 13]
ajito_kakutou_020_select_04	[~ 14]
ajito_kakutou_020_cassiopeia_10_old	[~ 15]
ajito_kakutou_020_cassiopeia_11_old	[~ 16]
ajito_kakutou_020_kari_01	[~ 17]
ajito_kakutou_030.tbl
ajito_kakutou_030_kakutouboss_01	OK...I’m ready.[VAR 0114(0022)]
ajito_kakutou_030_kakutouboss_02	Doesn’t matter who you are. I’ll bury anyone\nwho tries to take down Team Star![VAR 0114(0022)]
ajito_kakutou_030_kakutouboss_03	This time, I won’t run away...[VAR 0114(0022)]
ajito_kakutou_030_kakutouboss_04	RAAAAAAAAAH!!![VAR 0114(0022)]
ajito_kakutou_040.tbl
ajito_kakutou_040_kakutouboss_00	I’m so sorry, everyone...[VAR 0114(0022)]
ajito_kakutou_040_system_01	About a year and a half ago...
ajito_kakutou_040_kakutouboss_01	I’m so sorry... I think I went a little too far...[VAR 0114(0022)]
ajito_kakutou_040_akuboss_01	Nah, don’t worry ’bout it.[VAR 0114(0021)]
ajito_kakutou_040_akuboss_02	We’re the ones who asked you to put us through\nsome tough battle practice so we can train up.[VAR 0114(0021)]
ajito_kakutou_040_kakutouboss_02	Yeah, but...[VAR 0114(0022)]
ajito_kakutou_040_dokuboss_01	Truly, you need not apologize, my lady.[VAR 0114(0023)]
ajito_kakutou_040_dokuboss_02	Thanks to thy sage instruction, I am making\nswift strides toward mastering the art of battle![VAR 0114(0023)]
ajito_kakutou_040_fairyboss_01	And I could never have evolved my Pokémon\nwithout you, Eri![VAR 0114(0020)]
ajito_kakutou_040_honooboss_01	Even the big boss said it’s thanks to you that we\nhave a fightin’ chance against our bullies![VAR 0114(001F)]
ajito_kakutou_040_akuboss_03	See? Nothin’ but gratitude. To us, you’re the\nbrightest star in the whole team![VAR 0114(0021)]
ajito_kakutou_040_kakutouboss_03	Hehe. Come on, quit being silly![VAR 0114(0022)]
ajito_kakutou_040_fairyboss_02	Um, just one thing...\c\nWe’ve been training for four whole hours now.\nI’m totally pooped.[VAR 0114(0020)]
ajito_kakutou_040_kakutouboss_04	Ah, I’m sorry! You all really should take a break.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_05	I’ll go for a run while you rest up![VAR 0114(0022)]
ajito_kakutou_040_dokuboss_03	My lady...we four have each trained in our turn—\nbut you, our steadfast mentor, have rested not\r\nonce. I cannot help but worry for thy health.[VAR 0114(0023)]
ajito_kakutou_040_kakutouboss_06	Thank you for your concern, Atticus.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_07	But lately...I feel like I can take anything.\nEven if I’m really tired or feel like crying.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_08	Remember that time we all got together and\nriffed on the Gym Badge designs to create our\r\nvery own Star Badges?[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_21	Well, I don’t know what it is, but just looking at\nmy Star Badge makes me feel so strong...\c\nLike I want to give it my all![VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_09	I gave my all, but it wasn’t enough—\nI wasn’t enough...[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_10	You showed amazing strength.\c\nEven if the code didn’t require me to give it to\nyou, I’d want you to have this.[VAR 0114(0022)]
ajito_kakutou_040_waza_01	I’d like to see you try out my trademark move,\ntoo! Here—this one’s for you.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_11	... ... ...\n... ... ...[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_12	I know you’re part of Operation Starfall...[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_13	But I could tell from our battle that you’re not a\nbad person.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_14	The way your Pokémon look[VAR 1101(00FD,0001)]s at you with such\ntrust gives it away.[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_15	Do me a favor and look away for a moment?\nThis is a bit much for me to take...[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_16	I just r-really...[VAR 0114(0022)]
ajito_kakutou_040_kakutouboss_17	RAAAAAAAAAAAAAAAH!!![VAR 0114(0022)]
ajito_kakutou_040_nelke_01	Looks like it’s all over.[VAR 0114(001E)]
ajito_kakutou_040_sitappa_01	Oh, Riri...[VAR 0114(003F)]
ajito_kakutou_040_nelke_02	This is the Team Star member you battled at the\ngates earlier. I asked her to come along for a talk.[VAR 0114(001E)]
ajito_kakutou_040_nelke_03	[~ 33]
ajito_kakutou_040_kakutouboss_18	[~ 34]
ajito_kakutou_040_nelke_04	[~ 35]
ajito_kakutou_040_nelke_05	[~ 36]
ajito_kakutou_040_kakutouboss_19	[~ 37]
ajito_kakutou_040_nelke_06	[~ 38]
ajito_kakutou_040_kakutouboss_20	[~ 39]
ajito_kakutou_040_sitappa_02	[~ 40]
ajito_kakutou_040_nelke_07	[~ 41]
ajito_kakutou_040_sitappa_03	So, what did you want to ask me?[VAR 0114(003F)]
ajito_kakutou_040_nelke_08	You seem to be on much friendlier terms with Eri\ncompared to the other grunts.[VAR 0114(001E)]
ajito_kakutou_040_nelke_09	Why is that?[VAR 0114(001E)]
ajito_kakutou_040_sitappa_04	Oh, you spotted that?\c\nWell, all right... I don’t mind telling you.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_05	Truth is, I used to hate Riri.[VAR 0114(003F)]
ajito_kakutou_040_nelke_10	[~ 47]
ajito_kakutou_040_sitappa_06	[~ 48]
ajito_kakutou_040_sitappa_07	She’s an amazing Trainer and athlete—and she’s\nreally pretty, too.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_08	It took her no time at all to become popular at\nthe academy.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_09	I was queen of the class before she came along,\nbut then everyone liked her more than me...[VAR 0114(003F)]
ajito_kakutou_040_nelke_11	So let me guess...you started to pick on her?[VAR 0114(001E)]
ajito_kakutou_040_sitappa_10	Pretty much. I got our classmates to join in, too...\nWe were all so stupid.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_11	[~ 54]
ajito_kakutou_040_nelke_12	[~ 55]
ajito_kakutou_040_sitappa_12	But in the end, kids are always fickle—and once\none thrill wears off, they look for something new.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_13	Before long, the class chose me as their next\ntarget and started bullying me instead.[VAR 0114(003F)]
ajito_kakutou_040_nelke_13	[~ 58]
ajito_kakutou_040_sitappa_14	I guess I deserved it. But then Riri...she chose to\nhelp me even though I’d been so horrible to her.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_15	She told me that she understood how hard it is\nto have no one on your side...\c\nAnd she invited me into Team Star.[VAR 0114(003F)]
ajito_kakutou_040_nelke_14	Even after you bullied her like that... What a\nkind girl.[VAR 0114(001E)]
ajito_kakutou_040_sitappa_16	She really is. And joining the team has worked\nout great for us. It’s been so much fun![VAR 0114(003F)]
ajito_kakutou_040_nelke_15	Fun? There are rumors that Team Star likewise\nengages in bullying...[VAR 0114(001E)]
ajito_kakutou_040_sitappa_17	After hearing my story, do you really think\nthat’s true?[VAR 0114(003F)]
ajito_kakutou_040_nelke_16	Ah, no... I merely...[VAR 0114(001E)]
ajito_kakutou_040_sitappa_18	Riri and the rest of Team Star made me who I\nam today.[VAR 0114(003F)]
ajito_kakutou_040_sitappa_19	Please...don’t take away our greatest treasure.[VAR 0114(003F)]
atlantis_talk_01.tbl
atlantis_talk_01_botan_01	So this is the inside of the Great Crater of\nPaldea—Area Zero...[VAR 0114(0008)]
atlantis_talk_01_botan_02	Feels different from just seeing it in our\ntextbooks. It’s so intense...[VAR 0114(0008)]
atlantis_talk_01_rival_01	Normally we’d never be able to get in here to\nsee it for ourselves![VAR 0114(0004)]
atlantis_talk_01_rival_02	Huh...? Wait, where’d [VAR 0101(0001)] go?[VAR 0114(0004)]
atlantis_talk_01_friend_01	It seems like it got spooked by something.\nIt’s hiding in its ball.[VAR 0114(0006)]
atlantis_talk_01_rival_03	En serio? That’s not good.[VAR 0114(0004)]
atlantis_talk_01_botan_03	Can we even get back up to the surface\nwithout it?[VAR 0114(0008)]
atlantis_talk_01_friend_02	Ah, should be all right. The last time I was here...[VAR 0114(0006)]
atlantis_talk_01_friend_03	I caught a Flying Taxi out of the crater. They\nalways come through, if you’re a real sob story...[VAR 0114(0006)]
atlantis_talk_01_botan_04	Why didn’t you just call the professor, if [VAR 1107(00FF,0001)]she’s\ndown here? Don’t get along or something?[VAR 0114(0008)]
atlantis_talk_01_friend_04	Tch! None of your business, pipsqueak.[VAR 0114(0006)]
atlantis_talk_01_botan_05	Geez, no need to bite my head off. What’re you\ngetting all huffy for anyway?[VAR 0114(0008)]
atlantis_talk_01_rival_04	OK, come on, you two! This is an adventure!\nLet’s just have a good time![VAR 0114(0004)]
atlantis_talk_01_02.tbl
atlantis_talk_01_02_rival_01	So, Penny! How’d you wind up friends with\n[VAR 0100(0000)], anyway?[VAR 0114(0004)]
atlantis_talk_01_02_botan_01	Huh? Well, uh... I guess [VAR 1100(00FF,0100)]she just really came\nthrough for me when I needed h[VAR 1100(00FF,0202)]imer.[VAR 0114(0008)]
atlantis_talk_01_02_botan_02	Everything was going off the rails. School was a\nmess, and my friendships...well, ditto.[VAR 0114(0008)]
atlantis_talk_01_02_botan_03	[VAR 0100(0000)] was a big help getting\nall that sorted out.[VAR 0114(0008)]
atlantis_talk_01_02_rival_02	Guau! So [VAR 1100(00FF,0100)]she helped you out too while [VAR 1100(00FF,0100)]she was\ntackling all the Gyms? That’s awesome![VAR 0114(0004)]
atlantis_talk_01_02_botan_04	What about you then, Nemona?[VAR 0114(0008)]
atlantis_talk_01_02_rival_03	[VAR 0100(0000)] and I are classmates!\nNeighbors back home, too![VAR 0114(0004)]
atlantis_talk_01_02_rival_04	Plus, I said [VAR 1100(00FF,0100)]she should aim to be a Champion,\nand [VAR 1100(00FF,0100)]she did it! So now I’ve got a Champion bud![VAR 0114(0004)]
atlantis_talk_01_02_botan_05	Wait, what?! That’s wild...[VAR 0114(0008)]
atlantis_talk_01_02_friend_01	Hold it right there, you two.[VAR 0114(0006)]
atlantis_talk_01_02_friend_02	You think YOU’VE got cool friendship origin\nstories with [VAR 0100(0000)]?[VAR 0114(0006)]
atlantis_talk_01_02_friend_03	They’re nothing compared to what me and h[VAR 1100(00FF,0202)]imer\nwent through! Our friendship’s on another level![VAR 0114(0006)]
atlantis_talk_01_02_botan_06	Um, nobody asked you. Stop trying to flex on us.[VAR 0114(0008)]
atlantis_talk_01_02_rival_05	Hahaha! Guess we’re all in the “buds with\n[VAR 0100(0000)]” club![VAR 0114(0004)]
atlantis_talk_02.tbl
atlantis_talk_02_friend_01a	I...I almost never saw my mom in my whole life.[VAR 0114(0006)]
atlantis_talk_02_friend_01b	I...I almost never saw my dad in my whole life.[VAR 0114(0006)]
atlantis_talk_02_botan_01	Oh? Is it time for the backstory reveal?[VAR 0114(0008)]
atlantis_talk_02_rival_01	Penny! Shhh![VAR 0114(0004)]
atlantis_talk_02_friend_02	[VAR 1107(00FF,0102)]ShHe was always busy with work.\nHardly ever came home.[VAR 0114(0006)]
atlantis_talk_02_friend_03	I cooked for myself, cleaned for myself...\nMabosstiff was the only one I had to talk to.[VAR 0114(0006)]
atlantis_talk_02_botan_02	... ... ...[VAR 0114(0008)]
atlantis_talk_02_friend_03a	So, yeah, I don’t really know her at all. Even if\nshe is my mom.[VAR 0114(0006)]
atlantis_talk_02_friend_03b	So, yeah, I don’t really know him at all. Even if\nhe is my dad.[VAR 0114(0006)]
atlantis_talk_02_friend_04a	I tried not to think too much about it. Tried to\njust be proud that she was this famous genius.[VAR 0114(0006)]
atlantis_talk_02_friend_04b	I tried not to think too much about it. Tried to\njust be proud that he was this famous genius.[VAR 0114(0006)]
atlantis_talk_02_friend_05	But the truth is, I would’ve rather just had a [VAR 1107(00FF,0303)]momdad\nwho was there...even if [VAR 1107(00FF,0001)]she wasn’t anything great.[VAR 0114(0006)]
atlantis_talk_02_friend_06	I haven’t seen h[VAR 1107(00FF,0202)]erim for ages now. Unless you count\nseeing h[VAR 1107(00FF,0202)]erim in the news or whatever.[VAR 0114(0006)]
atlantis_talk_02_friend_07	Used to at least get emails sometimes.\nBut even those stopped a couple years ago.[VAR 0114(0006)]
atlantis_talk_02_friend_08	And then there [VAR 1107(00FF,0001)]she appears, out of the blue, and\ntells me we’ve gotta come to Area Zero? Tch.[VAR 0114(0006)]
atlantis_talk_02_friend_09	Some family, right?[VAR 0114(0006)]
atlantis_talk_02_botan_03	Oh, uh... But...[VAR 0114(0008)]
atlantis_talk_02_botan_04	We’re not here to judge or anything...[VAR 0114(0008)]
atlantis_talk_02_botan_05	And...I’m sorry about earlier. I shouldn’t have\nsnapped at you like that...[VAR 0114(0008)]
atlantis_talk_02_friend_10	Naw, I was also giving you a hard time.\nSorry...uh...[VAR 0114(0006)]
atlantis_talk_02_botan_06	Penny. My name’s Penny.[VAR 0114(0008)]
atlantis_talk_02_friend_11	You know...you’re actually pretty nice for a little\npipsqueak![VAR 0114(0006)]
atlantis_talk_02_botan_07	Heh... Don’t call me pipsqueak, you big lunk.[VAR 0114(0008)]
atlantis_talk_02_rival_02	That’s the spirit, you two![VAR 0114(0004)]
atlantis_talk_03.tbl
atlantis_talk_03_friend_01a	Last time I came to the Great Crater, I was trying\nto go see my mom...[VAR 0114(0006)]
atlantis_talk_03_friend_01b	Last time I came to the Great Crater, I was trying\nto go see my dad...[VAR 0114(0006)]
atlantis_talk_03_friend_02	I got about this far, then I got attacked by some\nkind of creature I’d never seen before.[VAR 0114(0006)]
atlantis_talk_03_rival_01	Really? What kind of Pokémon was it?![VAR 0114(0004)]
atlantis_talk_03_friend_03a	It wasn’t even like a Pokémon. More like this\ncrazy-violent, rampaging sort of thing...[VAR 0114(0006)]
atlantis_talk_03_friend_03b	It wasn’t even like a Pokémon. More like this\ncrazy-weird, metallic, machine thing...[VAR 0114(0006)]
atlantis_talk_03_rival_02a	You sure it wasn’t just a Pokémon that’s a little\nmore, I dunno, rampagey than average?[VAR 0114(0004)]
atlantis_talk_03_rival_02b	You sure it wasn’t just a Pokémon that’s a little\nmore, I dunno, roboty than average?[VAR 0114(0004)]
atlantis_talk_03_friend_04	Yeah, I’m sure! It was like a completely different\ncreature altogether![VAR 0114(0006)]
atlantis_talk_03_friend_05	And it hurt Mabosstiff real bad, so it’s not like I’d\njust forget![VAR 0114(0006)]
atlantis_talk_03_friend_06	I don’t ever want to run into that awful thing\nagain...[VAR 0114(0006)]
atlantis_talk_03_rival_03	It was that strong, huh?[VAR 0114(0004)]
atlantis_talk_03_rival_04	Then I really hope I get to see it![VAR 0114(0004)]
atlantis_talk_03_friend_07	...That’s what I figured you’d say.[VAR 0114(0006)]
atlantis_talk_03_botan_01	You’re real tactless sometimes, Nemona.\nYou know that?[VAR 0114(0008)]
atlantis_talk_04.tbl
atlantis_talk_04_friend_01	What’re your parents like, Nemona?[VAR 0114(0006)]
atlantis_talk_04_rival_01	My parents? Normal, I guess.[VAR 0114(0004)]
atlantis_talk_04_botan_01	Are you serious? Even I know about your dad.\nHe’s on the board of the Rotom Phone company![VAR 0114(0008)]
atlantis_talk_04_rival_02	Wait, how do you know that?![VAR 0114(0004)]
atlantis_talk_04_botan_02	Everyone knows that. He’s famous. And I guess\nI looked into him for my own reasons, too.[VAR 0114(0008)]
atlantis_talk_04_friend_02	So Nemona’s actually some pampered little\nprincess from a rich family?[VAR 0114(0006)]
atlantis_talk_04_rival_03	Ugh! No! No way! That’s so not my thing.[VAR 0114(0004)]
atlantis_talk_04_rival_04	Though, yeah...[VAR 0114(0004)]
atlantis_talk_04_rival_05	I guess you could say Mother and Father were,\nlike...hands-off but in a good way?[VAR 0114(0004)]
atlantis_talk_04_rival_06	My big sister’ll probably take over the business,\nso they pretty much let me do what I wanted.[VAR 0114(0004)]
atlantis_talk_04_friend_03	Wait, you call them “Mother” and “Father”?![VAR 0114(0006)]
atlantis_talk_04_botan_03	That is some pampered little princess stuff\nright there.[VAR 0114(0008)]
atlantis_talk_04_rival_07	Gaah! Cállate, Penny! What, is your family super\nnormal, then?[VAR 0114(0004)]
atlantis_talk_04_botan_04	M...my family is...[VAR 0114(0008)]
atlantis_talk_04_botan_05	unbelievably annoying...[VAR 0114(0008)]
atlantis_talk_04_rival_08	Like super overprotective, you mean?[VAR 0114(0004)]
atlantis_talk_04_botan_06	It’s just my dad! He’s loud and clingy and makes\nup weird nicknames for me, like “Pen-pen.”[VAR 0114(0008)]
atlantis_talk_04_botan_07	He’s the most annoying guy in the world! Period!\nHe’s the worst![VAR 0114(0008)]
atlantis_talk_04_friend_04	Man, that’s a real downer...for your dad.\nHaving his own daughter describe him like that...[VAR 0114(0006)]
atlantis_talk_04_botan_08	Don’t you dare take his side![VAR 0114(0008)]
atlantis_talk_04_rival_09	Uhhhhhh...[VAR 0100(0000)]! How ’bout you?\nYour mother seemed super nice.[VAR 0114(0004)]
atlantis_talk_04_friend_05	You met her?[VAR 0114(0006)]
atlantis_talk_04_rival_10	Yup! Got a glimpse of an amazing-looking\nsandwich she made, too![VAR 0114(0004)]
atlantis_talk_04_friend_06	Really? Wish I could’ve seen that. I bet it tasted\ngreat...[VAR 0114(0006)]
atlantis_talk_05.tbl
atlantis_talk_05_rival_01a	So Koraidon’s an ancient Pokémon...\nNo wonder no one’s seen it before![VAR 0114(0004)]
atlantis_talk_05_rival_01b	So Miraidon’s a future Pokémon...\nNo wonder no one’s seen it before![VAR 0114(0004)]
atlantis_talk_05_rival_02	[VAR 0100(0000)]! You’ve gotta let me battle\n[VAR 0101(0001)] right now![VAR 0114(0004)]
atlantis_talk_05_botan_01	Um. It still won’t come out of its Poké Ball.[VAR 0114(0008)]
atlantis_talk_05_rival_03	Oh. Right...[VAR 0114(0004)]
atlantis_talk_05_friend_01a	That was the first I heard of it coming from the\npast myself...[VAR 0114(0006)]
atlantis_talk_05_friend_01b	That was the first I heard of it coming from the\nfuture myself...[VAR 0114(0006)]
atlantis_talk_05_friend_02a	It was just some weird Pokémon my mom brought\nhome all of a sudden one day.[VAR 0114(0006)]
atlantis_talk_05_friend_02b	It was just some weird Pokémon my dad brought\nhome all of a sudden one day.[VAR 0114(0006)]
atlantis_talk_05_friend_03	We all lived together at the lighthouse lab for\na little while.[VAR 0114(0006)]
atlantis_talk_05_friend_04	My [VAR 1107(00FF,0303)]momdad made me promise to keep it a secret.\nAnd I had to take care of it for h[VAR 1107(00FF,0202)]erim, too...[VAR 0114(0006)]
atlantis_talk_05_rival_04	So that’s why you knew so much about it![VAR 0114(0004)]
atlantis_talk_05_friend_05	Yeah, but then one day [VAR 0101(0001)] just\nwent nuts against some wild Pokémon...[VAR 0114(0006)]
atlantis_talk_05_friend_06	A few of the folks living nearby ended up\nseeing it, so the secret was out.[VAR 0114(0006)]
atlantis_talk_05_friend_07a	Once that happened, my mom took it—and went\nback to Area Zero.[VAR 0114(0006)]
atlantis_talk_05_friend_07b	Once that happened, my dad took it—and went\nback to Area Zero.[VAR 0114(0006)]
atlantis_talk_05_botan_05	Guess that makes sense if it’s a Pokémon from a\ndifferent age...[VAR 0114(0008)]
atlantis_talk_05_friend_08	Yeah. If people found out, it’d be all over\nthe news.[VAR 0114(0006)]
atlantis_talk_05_friend_09a	I didn’t see my mom or Koraidon again after that.\nFor ages.[VAR 0114(0006)]
atlantis_talk_05_friend_09b	I didn’t see my dad or Miraidon again after that.\nFor ages.[VAR 0114(0006)]
atlantis_talk_05_friend_09	Looking back on it now, it seems stupid, but...[VAR 0114(0006)]
atlantis_talk_05_friend_10	I felt like I’d lost my [VAR 1107(00FF,0303)]momdad ’cause of [VAR 1107(00FF,0202)]KoMiraidon.\nIt was the worst feeling ever.[VAR 0114(0006)]
atlantis_talk_05_friend_11	I just hated [VAR 0101(0001)] and everything about it.\nDidn’t want to even talk about it.[VAR 0114(0006)]
atlantis_talk_05_friend_12	I’m sorry for not telling you what I knew\nsooner, [VAR 0100(0000)]...[VAR 0114(0006)]
atlantis_talk_05_rival_10	You should be sorry! Shoot—that’s, like, the\ncoolest thing ever, and you didn’t tell any of us![VAR 0114(0004)]
atlantis_talk_05_botan_06	Yup. Sure would’ve been great to know all that\nrelevant info before we got here.[VAR 0114(0008)]
atlantis_talk_05_friend_13	D-dang, you guys... Harsh...[VAR 0114(0006)]
atlantis_talk_05_rival_11	[~ 27]
atlantis_talk_05_rival_12	[~ 28]
atlantis_talk_05_friend_14	[~ 29]
atlantis_talk_05_botan_07	[~ 30]
atlantis_talk_05_botan_08	[~ 31]
atlantis_talk_05_rival_13	[~ 32]
atlantis_talk_05_hakase_01a	[~ 33]
atlantis_talk_05_hakase_01b	[~ 34]
atlantis_talk_05_rival_14a	[~ 35]
atlantis_talk_05_rival_14b	[~ 36]
atlantis_talk_06.tbl
atlantis_talk_06_rival_01	So [VAR 0101(0001)] came to our age through\nthe time machine...[VAR 0114(0004)]
atlantis_talk_06_rival_02	Then it lived here awhile with the professor?\nAlong with another one of its kind?[VAR 0114(0004)]
atlantis_talk_06_botan_01	That seems to be the story.[VAR 0114(0008)]
atlantis_talk_06_rival_03	So we...brought it back home, kind of! Or to its\nsecond home, at least![VAR 0114(0004)]
atlantis_talk_06_botan_02	I guess this place should be familiar to it, sure.[VAR 0114(0008)]
atlantis_talk_06_rival_04	Awww, that’s great! A chance to unwind and bask\nin the familiarity![VAR 0114(0004)]
atlantis_talk_06_friend_01	That...doesn’t exactly jibe with how it’s been\nacting all spooked since we got here.[VAR 0114(0006)]
atlantis_talk_06_friend_02	It doesn’t seem eager to come out of its ball\nanytime soon, either.[VAR 0114(0006)]
atlantis_talk_06_rival_05	Really? I thought it was just scared ’cause we\nwere so high up.[VAR 0114(0004)]
atlantis_talk_06_friend_03	Huh? Who said it was scared of heights?[VAR 0114(0006)]
atlantis_talk_06_botan_03	... ... ...[VAR 0114(0008)]
atlantis_talk_06_botan_04	Given how [VAR 0101(0001)] was acting earlier...\nI think something bad happened to it here.[VAR 0114(0008)]
atlantis_talk_06_botan_05	Sometimes you get all shaky just seeing a place\nthat you’ve got bad memories of...[VAR 0114(0008)]
atlantis_talk_06_botan_06	It was the same for me when I was being ignored\nby everyone in my class.[VAR 0114(0008)]
atlantis_talk_06_botan_07	Just thinking about school made me want to hide\naway somewhere... So I know how it feels.[VAR 0114(0008)]
atlantis_talk_06_rival_06	Aw, Penny...[VAR 0114(0004)]
atlantis_talk_06_friend_04	So...maybe it got hurt down here in Area Zero,\njust like Mabosstiff?[VAR 0114(0006)]
atlantis_talk_06_botan_08	We can’t know for sure, but...it doesn’t change\ninto its battle form anymore, right?[VAR 0114(0008)]
atlantis_talk_06_botan_09	So I think it’s possible.[VAR 0114(0008)]
atlantis_talk_06_rival_07	But that’s so sad! We gotta do something to\nmake it feel better![VAR 0114(0004)]
atlantis_talk_06_rival_08	And no, I’m NOT just saying that ’cause I super\nbadly wanna battle [VAR 0101(0001)] myself![VAR 0114(0004)]
atlantis_talk_06_botan_10	...Seriously? Well, at least you said it and not\none of us.[VAR 0114(0008)]
atlantis_talk_06_friend_05	Nemona, you’re...kind of unbelievable. In a\nmostly good way.[VAR 0114(0006)]
atlantis_talk_07.tbl
atlantis_talk_07_botan_01	Th-there was definitely something off about the\nprofessor just now, right?[VAR 0114(0008)]
atlantis_talk_07_rival_01	Maybe it was just a little dramatic flair to get us\nall jazzed for more adventuring![VAR 0114(0004)]
atlantis_talk_07_botan_02	What? That got you...jazzed?[VAR 0114(0008)]
atlantis_talk_07_rival_02	Yeah! Maybe even big-time jazzed![VAR 0114(0004)]
atlantis_talk_07_botan_03	You need to go see a doctor! That’s just not right.[VAR 0114(0008)]
atlantis_talk_07_friend_01	Say, I’m pretty sure that call was really—[VAR 0114(0006)]
atlantis_talk_07_friend_02	Uh...never mind. It’s nothing.[VAR 0114(0006)]
atlantis_talk_07_rival_03	What’s wrong, Arven?[VAR 0114(0004)]
atlantis_talk_07_botan_04	You seem kinda...down.[VAR 0114(0008)]
atlantis_talk_07_friend_03	No matter how things turn out, I’m countin’ on\nyou to see this through, [VAR 0100(0000)].[VAR 0114(0006)]
a_c01_sandwich06.tbl
a_c01_sandwich06_01	You must be a connoisseur yourself—bothering to\nseek out a place like this!
a_c02_g01.tbl
a_c02_g01_04	Kofu’s Gym Test was an Ultra Ball–level\nchallenge, let me tell you!
a_c02_g01_08	You can never tell what’s troubling someone\njust by looking at them, you know?\c\nIn Psyduck’s case, though, I think it’s safe to say\nthat headaches are the problem.
a_c02_hairsalon.tbl
a_c02_hairsalon_03	Hi, welcome! You can talk to the person at the\nfront desk if you need something.
a_c02_sandwich01.tbl
a_c02_sandwich01_05	This restaurant’s been crowded ever since it was\nfeatured in that food magazine.
a_c03_g01.tbl
a_c03_g01_07	I’m an assistant for the Gym Test! I’m standin’ by\nso I can jump in the moment they need me!
a_c03_sandwich01.tbl
a_c03_sandwich01_05	You can make a huge sandwich if you work\ntogether with friends.
a_sch_cafe01.tbl
a_sch_cafe01_eve03	When Rotom enters a microwave, it turns into\nHeat Rotom! I heard it even changes type!
a_sch_cafe01_eve05	I’ve been told there are Pokémon that\ncamouflage themselves as fruit...
a_sch_cafe01_eve06	I’m gonna have a good meal and get some Meal\nPowers! Maybe that’ll help my grades!
a_sch_cafe01_eve07	I haven’t even had firsts and I already want\nseconds!
a_sch_cafe01_eve13	Sandwiches you make together taste even better\nwhen you eat them together!
a_sch_cafe01_eve14	Fruit makes a delicious addition to sandwiches,\nyou know!
a_sch_cafe01_eve18	N/A
a_sch_cafe01_eve19	I heard that in other regions, people like to eat\nrice covered in this stuff called curry...\c\nHave you ever had curry before?
a_sch_cafe01_eve20	N/A
a_sch_cafe01_en01	I didn’t think it’d be so warm right next to a\nrefrigerator...
a_sch_cafe01_en02	N/A
a_sch_cafe01_en03	N/A
a_sch_cafe01_en04	The cafeteria’s always pretty lively.
a_sch_cafe01_en05	N/A
a_sch_cafe01_en09	Teatime with my Pokémon... Such an elegant way\nto pass the hours!
a_sch_cafe01_en10	It’s quite chic to have teatime at night, don’t\nyou think?
a_sch_class1a.tbl
a_sch_class1a_eve04	I heard that the student council president,\nNemona, knows all the effects of every Pokémon\r\nmove out there!
a_sch_class1a_eve05	My Pachirisu really loves high places!
a_sch_class1a_eve07	I had my friend trade me a Haunter, but then it\nevolved into a Gengar!
a_sch_class1a_eve08	Wow! Evolved Pokémon are HUGE!
a_sch_class1a_eve09	N/A
a_sch_class1a_ni01	I feel like I get more done if I study in a\nclassroom rather than in my dorm room.
a_sch_class1a_ni02	Have you also noticed there’s a lot more\nGhost-type Pokémon out at night?
a_sch_class1a_ni03	It’s so fun how the same Pokémon species can\nhave different Tera Types!
a_sch_class1a_ni04	N/A
