announce.msbt
AnnounceEmpty	お{r2[し]}知{/r2}らせは　まだありません
Event_HBoots_02	ホイッスルの{r2[おと]}音{/r2}が　とどかない。
Event_HBoots_03	ブーツカーを　{r2[い]}入{/r2}り{r2[ぐち]}口{/r2}に{r2[よ]}呼{/r2}んだ。
Event_HBoots_04	ここでは　{r2[お]}降{/r2}りられない。
Event_Sensor_01	バッテリーが　{r2[き]}切{/r2}れている。
Cannot_Kaminote_01	オリビアが　いないので\nカミの{r2[て]}手{/r2}は　{r2[つか]}使{/r2}えない。
SaveBlock_Tutorial_01	セーブかんりょう　ですって。\nここまでの{r2[たび]}旅{/r2}が　セーブされたのね。\nこれで　あんしんですわ！{[0004]}これからも\nこのブロックを　{r2[み]}見{/r2}かけたら\nセーブしとくと　いいかもですわね。
SaveBlock_Tutorial_02	マリオさん　あのブロック、\nキラキラしてて　とってもキレイ。
Option_Tutorial_01	あ、そういえば\nでひらく　メニュー　っていうのも\nいろいろ　べんりみたいです。{[0004]}なにか　ふべんがあったら　いちど、\nメニューの　⚙　を　みてみると\nいいかもしれませんわ。
Option_Tutorial_02	あっ、だいじなこと　わすれてた。\nでひらく　メニュー　っていうのが\nいろいろ　べんりみたいです。{[0004]}なにか　ふべんがあったら　いちど、\nメニューの　⚙　を　みてみると\nいいかもしれませんわ。
Gameover_Select_Retry	{r2[ちょくぜん]}直前{/r2}からやりなおす\nセーブした{r2[ばしょ]}場所{/r2}から{r2[さいかい]}再開{/r2}\nタイトル{r2[がめん]}画面{/r2}にもどる
Gameover_Select	セーブした{r2[ばしょ]}場所{/r2}から{r2[さいかい]}再開{/r2}\nタイトル{r2[がめん]}画面{/r2}にもどる
Gameover_Help0	トクベツに{r2[ちょくぜん]}直前{/r2}から　ゲームをやりなおします。
Gameover_Help1	さいごにセーブした{r2[ばしょ]}場所{/r2}から　ゲームを{r2[さいかい]}再開{/r2}します。
Gameover_Help2	ゲームをやめて　タイトル{r2[がめん]}画面{/r2}にもどります。
Fishing_Cmn_Get_p_001	プクプクを　{r2[つ]}釣{/r2}りあげた！\nとっても　ちっちゃーい！
Fishing_Cmn_Get_p_002	プクプクを　{r2[つ]}釣{/r2}りあげた！\nまだまだ　ちいさいかな。
Fishing_Cmn_Get_p_003	プクプクを　{r2[つ]}釣{/r2}りあげた！\nちょっとだけ　ぷっくりしてる。
Fishing_Cmn_Get_p_004	プクプクを　{r2[つ]}釣{/r2}りあげた！\nなんか　いい{r2[かん]}感{/r2}じのサイズ！
Fishing_Cmn_Get_p_005	プクプクを　{r2[つ]}釣{/r2}りあげた！\nお！　けっこう　おっきい！
Fishing_Cmn_Get_p_006	プクプクを　{r2[つ]}釣{/r2}りあげた！\nギョギョッ！\nこいつは　おっきいぞ！
Fishing_Cmn_Get_p_007	プクプクを　{r2[つ]}釣{/r2}りあげた！\nギョギョギョギョッ！\nめちゃくちゃ　おっきいぞ！！
Fishing_Cmn_Get_p_008	プクプクを　{r2[つ]}釣{/r2}りあげた！\nでたーーーっ！！\n{r2[オエド]}ＯＥＤＯ{/r2}ランドの　ぬしだぁ！
Fishing_Cmn_Get_p_009	プクプクを　{r2[つ]}釣{/r2}りあげた！\n{r2[ま]}待{/r2}ってました！\nミハラシ{r2[やま]}山{/r2}の　ぬし！！
Fishing_Cmn_Get_p_010	プクプクを　{r2[つ]}釣{/r2}りあげた！\nデッカーーーイ！\n{r2[おおうなばら]}大海原{/r2}のぬし　とったどーーーっ！！
Fishing_Cmn_Get_g_001	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nちっさくて　かわいイカ？
Fishing_Cmn_Get_g_002	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nまだまだ{r2[こもの]}小物{/r2}で　スミません。
Fishing_Cmn_Get_g_003	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nちょっとだけ　イカしてる。
Fishing_Cmn_Get_g_004	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nなんか　いイカんじのサイズ！
Fishing_Cmn_Get_g_005	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nおっきくて　かっこいイカ？
Fishing_Cmn_Get_g_006	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nゲゲッ！\nこいつは　イカしてるぞ！
Fishing_Cmn_Get_g_007	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nゲゲゲゲッ！\nめちゃくちゃ　イカしてるぞ！！
Fishing_Cmn_Get_g_010	ゲッソーを　{r2[つ]}釣{/r2}りあげた！\nなんて　イカついデカさ！\nさすが{r2[おおうなばら]}大海原{/r2}のぬし　イカしてるー！！
Fishing_Cmn_Size_p_001	{[0200]}{r2[つ]}釣{/r2}った　プクプクのサイズ\x0f\x02\0\n{[0200]}{[0300|00000000]}センチ\x0f\x02\0
Fishing_Cmn_Size_g_001	{[0200]}{r2[つ]}釣{/r2}った　ゲッソーのサイズ\x0f\x02\0\n{[0200]}{[0300|00000000]}センチ\x0f\x02\0
Fishing_Cmn_Max_p_001	{[0200]}{r2[さいだい]}最大{/r2}サイズ{r2[こうしん]}更新{/r2}！\x0f\x02\0\n{[0200]}プクプクの{r2[ぎょたく]}魚拓{/r2}を　とりました。\x0f\x02\0
Fishing_Cmn_Max_g_001	{[0200]}{r2[さいだい]}最大{/r2}サイズ{r2[こうしん]}更新{/r2}！\x0f\x02\0\n{[0200]}ゲッソーの{r2[ぎょたく]}魚拓{/r2}を　とりました。\x0f\x02\0
Fishing_Cmn_Collect_001	やったー！　\nおたからフィギュアを　{r2[つ]}釣{/r2}り{r2[あ]}上{/r2}げた！{[0004]}この{r2[つ]}釣{/r2}り{r2[ば]}場{/r2}の　おたからは\n{r2[ぜんぶ]}全部{/r2}とったぞ！
Fishing_Talk_nokonoko_00	おそいよ
Fishing_Talk_nokonoko_01	はやいよ
Fishing_Talk_nokonoko_02	いまだ！
Fishing_Talk_nokonoko_03	これは！？
Fishing_Talk_kinopio_00	おそいです
Fishing_Talk_kinopio_01	はやいです
Fishing_Talk_kinopio_02	いまです！
Fishing_Talk_kinopio_03	これは！？
Fishing_Talk_kinopio_05	ニセモノだー！
Fishing_Talk_kinopio_06	おっと　ハックンだ！
Fishing_Talk_kinopio_07	あー、ざんねん！
WorldClear_Title	{size[6e00]}{[0001|0500]}Congratulations!{[0001|ffff]}{size[6400]}\n
WorldClear_Title_Sub	{[0001|0300]}おめでとう！{[0001|ffff]}
WorldClear_SubTitleRed_Sub	{[0001|0300]}あかカミテープ クリア！{[0001|ffff]}
WorldClear_SubTitleRed	{[0001|0500]}RED TAPE　RELEASED!{[0001|ffff]}
WorldClear_SubTitleBlue_Sub	{[0001|0300]}あおカミテープ クリア！{[0001|ffff]}
WorldClear_SubTitleBlue	{[0001|0500]}BLUE TAPE RELEASED!{[0001|ffff]}
WorldClear_SubTitleYellow_Sub	{[0001|0300]}きいろカミテープ クリア！{[0001|ffff]}
WorldClear_SubTitleYellow	{[0001|0500]}YELLOW TAPE RELEASED!{[0001|ffff]}
WorldClear_SubTitleViolet_Sub	{[0001|0300]}むらさきカミテープ クリア！{[0001|ffff]}
WorldClear_SubTitleViolet	{[0001|0500]}VIOLET TAPE RELEASED!{[0001|ffff]}
WorldClear_SubTitleGreen_Sub	{[0001|0300]}みどりカミテープ クリア！{[0001|ffff]}
WorldClear_SubTitleGreen	{[0001|0500]}GREEN TAPE RELEASED!{[0001|ffff]}
Kamipera_MaxUp	{[0001|0400]}{[0304]}カミッペラ ＭＡＸ アップ！\x0f\x03\x04{[0001|ffff]}
Save_ask_olivia	マリオさん、\nセーブしなくて　いいのかしら？
Save_ask_olivia_1	マリオさん！\nセーブしなくて　いいの！？
Save_ask_bom	アニキー！\nセーブは　いいんすか！？
Save_ask_kmk	マリオくん、\nセーブしておいたほうが\n{r2[よ]}良{/r2}いのでは？
Party_Wait_knpp	ここで{r2[ま]}待{/r2}っているぞ
Party_Wait_kmk	いってらっしゃい
EyeCatch_PEN_Title	{color[ffffffff]}ミサイルアーティスト{color[ffffffff]}
EyeCatch_PEN	{color[cf2c12ff]}イロエンピツ{color[ffffffff]}
EyeCatch_GOM_Title	{color[ffffffff]}ゴムゴムエンターテイナー{color[ffffffff]}
EyeCatch_GOM	{color[0677ebff]}わゴム{color[ffffffff]}
EyeCatch_HPC_Title	{color[ffffffff]}ノリノリあなあけフリーク{color[ffffffff]}
EyeCatch_HPC	{color[d6b918ff]}パンチ{color[ffffffff]}
EyeCatch_TAP_Title	{color[ffffffff]}いきがり はりつけや{color[ffffffff]}
EyeCatch_TAP	{color[7a44a9ff]}セロハンテープ{color[ffffffff]}
EyeCatch_SCS_Title	{color[ffffffff]}チョキチョキマニア{color[ffffffff]}
EyeCatch_SCS	{color[2e7611ff]}ハサミ{color[ffffffff]}
EyeCatch_STP_Title	{color[ffffffff]}{r2[おう]}王{/r2}のばんけん{color[ffffffff]}
EyeCatch_STP	ホッチキス
SongName_A	{size[9600]}♪スリリング・ナイト{size[6400]}
SongName_B	{size[9600]}♪ハッピー・ラブ{size[6400]}
SongName_C	{size[9600]}♪ディープ・ヴァイヴス{size[6400]}
SongName_D	{size[9600]}♪ボルテージ{r2[マックス]}ＭＡＸ{/r2}{size[6400]}
SongName_K	{size[9600]}♪プールサイドの{r2[あつ]}熱{/r2}い{r2[よる]}夜{/r2}{size[6400]}
SongName_J	{size[9600]}♪キノピチュ{r2[アンダーグラウンド]}ＵＧ{/r2}{size[6400]}
NPC_Scared_00	オリガミ　こわい…
NPC_Scared_01	ハリボテ　こわい…
glossary.msbt
W0C1	ピーチ{r2[じょう]}城{/r2}
W1C1	デクの{r2[やま]}山{/r2}
W1G1	キノピオタウン
W1C2	ラクガキすいろ
W1G2	ピクニックロード
W1G3	ミハラシ{r2[やま]}山{/r2}
W1C3	{r2[つち]}土{/r2}ガミじいん
W1C3_Another	{r2[つち]}土{/r2}ガミ{r2[じいん]}寺院{/r2}
W1C4	ミハラシタワー
W2G1	モミジ{r2[やま]}山{/r2}
W2C1	イガグリ{r2[だに]}谷{/r2}
W2C2	{r2[みず]}水{/r2}ガミしんでん
W2C2_Another	{r2[みず]}水{/r2}ガミ{r2[しんでん]}神殿{/r2}
W2C3	うずまき{r2[がわ]}川{/r2}
W2G2	{r2[オエド]}ＯＥＤＯ{/r2}ランド
W2C4	にんじゃやしき
W2C4_Another	{r2[にんじゃ]}忍者{/r2}やしき
W2C5	{r2[オエド]}ＯＥＤＯ{/r2}{r2[だい]}大{/r2}げきじょう
W2C5_Another	{r2[オエド]}ＯＥＤＯ{/r2}{r2[だいげきじょう]}大劇城{/r2}
W3G1	かぜわたり{r2[だに]}谷{/r2}
W3C1	かぜぬけるトンネル
W3G2	ヤケスナ{r2[だい]}大{/r2}さばく
W3G2_Another	ヤケスナ{r2[だいさばく]}大砂漠{/r2}
W3G2_Map_1	ヤケスナさばく
W3G2_Map_1_Another	ヤケスナ{r2[さばく]}砂漠{/r2}
W3G2_Map_2	ヒダリさばく
W3G2_Map_2_Another	ヒダリ{r2[さばく]}砂漠{/r2}
W3G2_Map_3	ミギさばく
W3G2_Map_3_Another	ミギ{r2[さばく]}砂漠{/r2}
W3G2_Map_4	ヒダリオクさばく
W3G2_Map_4_Another	ヒダリオク{r2[さばく]}砂漠{/r2}
W3G2_Map_5	ミギオクさばく
W3G2_Map_5_Another	ミギオク{r2[さばく]}砂漠{/r2}
W3G3	キノピサンドリア
W3C3	{r2[ひ]}火{/r2}ガミどうくつ
W3C4	キノピチュいせき
W3C4_Another	キノピチュ{r2[いせき]}遺跡{/r2}
W4G1	{r2[おおうなばら]}大海原{/r2}
W4G1_Map_1	ドクロ{r2[じま]}島{/r2}
W4G1_Map_2	ハート{r2[じま]}島{/r2}
W4G1_Map_3	クラブ{r2[じま]}島{/r2}
W4G1_Map_4	スペード{r2[じま]}島{/r2}
W4G1_Map_5	ハテナ{r2[じま]}島{/r2}
W4G1_Map_6	ハンマー{r2[じま]}島{/r2}
W4G1_Map_7	キノコ{r2[じま]}島{/r2}
W4G1_Map_8	ミカヅキ{r2[じま]}島{/r2}
W4G1_Map_9	マンゲツ{r2[じま]}島{/r2}
W4G1_Map_10	リング{r2[じま]}島{/r2}
W4C1	プリンセスピーチ{r2[ごう]}号{/r2}
W4G2	ダイヤ{r2[じま]}島{/r2}
W4C2	{r2[こおり]}氷{/r2}ガミ{r2[やま]}山{/r2}
W4C3	ウナバラタワー
W5G1	てんくうスパーランド
W5C1	ヒミツのおんせん
W5C2	ジャングルおんせん
W5C3	クッパ{r2[じょう]}城{/r2}
W6C1	ムシブロ{r2[かこう]}火口{/r2}
W6C2_Map_2	オリガミ{r2[じょう]}城{/r2}
Name_MAR	マリオ
Name_BDY	オリビア
Name_PCH	ピーチ{r2[ひめ]}姫{/r2}
Name_LUG	ルイージ
Name_KNP	キノピオ
Name_WAN	おチビ
Name_KNPC	キャプテン・ピオ
Name_KMK	カメック
Name_HEIL	ＭＣヘイホー
Name_KURK	くつクリボー
Name_KUR	クリボー
Name_KURP	パタクリボー
Name_KURB	ほねクリボー
Name_KBN	クリボン
Name_HEI	ヘイホー
Name_HEIP	プロペラヘイホー
Name_HEIST	ストローヘイホー
Name_HEISOM	ソンブレロヘイホー
Name_HEIB	ヘイホー（くろ）
Name_MUC	ムーチョ
Name_NOK	ノコノコ
Name_PAT	パタパタ
Name_MET	メット
Name_METB	ホネメット
Name_METT	トゲメット
Name_TGZ	トゲゾー
Name_BSA	バサバサ
Name_CHU	チュウチュウ
Name_TRS	テレサ
Name_PKF	パックンフラワー
Name_PKFP	プチパックン
Name_PPK	ピーパックン
Name_FPAC	フーフーパックン
Name_CBN	チョロボン
Name_PUK	プクプク
Name_KRN	カロン
Name_KRNP	パタカロン
Name_BOM	ボムへい
Name_KNK	カニさん
Name_HKN	ハックン
Name_GBN	ガボン
Name_GBNI	アイスガボン
Name_GBNR	ロックガボン
Name_GESP	ドクゲッソー
Name_GES	ゲッソー
Name_SNB	サンボ
Name_POO	プー
Name_BUL	ブル
Name_BRSF	ファイアブロス
Name_BRSI	アイスブロス
Name_BRSB	ブーメランブロス
Name_BRSH	ハンマーブロス
Name_BRSM	メガブロス
Name_CRP	チョロプー
Name_KPAM	メカクッパ
Name_HCN	ハッチン
Name_KSK	クロスケー
Name_LIT	ライタ
Name_DSN	ドッスン
Name_GSG	ガサゴソ
Name_SLD	きりえへい
Name_SLDP	きりえへいノッポ
Name_SMOE	ボスＫ．Ｋ．
Name_KK	Ｋ．Ｋ．
Name_HBE	{r2[つち]}土{/r2}ガミ
Name_HBE_Head	あたま
Name_HBE_Koura	コウラ
Name_HBE_LeftHand	ひだりて
Name_HBE_RightHand	みぎて
Name_HBE_LeftFoot	ひだりあし
Name_HBE_RightFoot	みぎあし
Name_HBE_Tail	しっぽ
Name_HBF	{r2[ひ]}火{/r2}ガミ
Name_HBW	{r2[みず]}水{/r2}ガミ
Name_HBI	{r2[こおり]}氷{/r2}ガミ
Name_PEN	イロエンピツ
Name_PEN_Back	フタ
Name_PEN_PEN	エンピツ
Name_GOM	わゴム
Name_HPC	パンチ
Name_HPC_Front	ハンドル
Name_HPC_Back	フタ
Name_HND	{r2[くろ]}黒{/r2}い{r2[て]}手{/r2}
Name_SCS	ハサミ
Name_SCS_Cover	カバー
Name_STP	ホッチキス
Name_TAP	セロハンテープ
Name_KNG	オリー{r2[おう]}王{/r2}
Name_KPA	クッパ
Name_KPAJ	クッパＪｒ．
Name_AllSelect	ぜんたい
Name_H_KUR	ハリボテクリボー
Name_H_HEI	ハリボテヘイホー
Name_H_NOK	ハリボテノコノコ
Name_H_KUR_Gun	ガンマンハリボテクリボー
Name_H_GBN_Gun	ガンマンハリボテガボン
Name_H_MUC_Gun	ガンマンハリボテムーチョ
Name_H_TRS	ハリボテテレサ
Name_H_PAT	ハリボテパタパタ
Name_H_KUR_Mummy	ホータイハリボテクリボー
Name_H_GBNR	ハリボテロックガボン
Name_H_MET	ハリボテメット
Name_H_PKF	ハリボテパックンフラワー
Name_H_WAN	ハリボテワンワン
Name_H_BBL	ハリボテバブル
Name_H_BOM	ハリボテボムへい
Name_H_GESB	ハリボテボスゲッソー
Name_H_SNB_Big	{r2[きょだい]}巨大{/r2}ハリボテサンボ
Name_H_MET_Face	ヒャクメンハリボテメット
Item_Boots	マリオのブーツ
Item_SilverBoots	キラブーツ
Item_KiraBoots	キラキラブーツ
Item_KiraKiraBoots	でんせつのブーツ
Item_GoldBoots	ゴールドブーツ
Item_SteelBoots	キラアイアンブーツ
Item_IronBoots	アイアンブーツ
Item_KiraIronBoots	キラキラアイアンブーツ
Item_KiraSteelBoots	でんせつのアイアンブーツ
Item_Tail	しっぽ
Item_KiraTail	キラしっぽ
Item_Hammer	マリオのハンマー
Item_SilverHammer	キラハンマー
Item_KiraHammer	キラキラハンマー
Item_KiraKiraHammer	でんせつのハンマー
Item_GoldHammer	ゴールドハンマー
Item_PoiHammer	ポイなげハンマー
Item_PoiKiraHammer	キラポイなげハンマー
Item_FireHammer	ファイアハンマー
Item_IceHammer	アイスハンマー
Item_Kinoko	キノコ
Item_KiraKinoko	キラキノコ
Item_KiraKiraKinoko	キラキラキノコ
Item_1upKinoko	１ＵＰキノコ
Item_KinokoSet	キノコおおもり
Item_KinokoDoubleSet	キノコとくもり
Item_KiraKinokoSet	キラキノコおおもり
Item_FireFlowerSet	ファイアフラワーセット
Item_IceFlowerSet	アイスフラワーセット
Item_PowBlock	ＰＯＷブロック
Item_FireFlower	ファイアフラワー
Item_KiraFireFlower	キラファイアフラワー
Item_IceFlower	アイスフラワー
Item_KiraIceFlower	キラアイスフラワー
Item_Coin1	１コイン
Item_Coin10	１０コイン
Item_Coin100	１００コイン
Item_Coin10000	１０００コイン
Item_HeartSmall	{r2[かいふく]}回復{/r2}ハート
Item_HeartMiddle	キラ{r2[かいふく]}回復{/r2}ハート
Item_HeartLarge	キラキラ{r2[かいふく]}回復{/r2}ハート
Item_Star	スター
Item_PaperSmall	カミぶくろ　{r2[しょう]}小{/r2}
Item_PaperMiddle	カミぶくろ　{r2[ちゅう]}中{/r2}
Item_PaperLarge	カミぶくろ　{r2[だい]}大{/r2}
Item_KnpRadar	キノピオレーダー
Item_Latency	とうめいスーツ
Item_SecretBlockRadar	{r2[かく]}隠{/r2}しブロックレーダー
Item_Whistle	ブーツホイッスル
ImitationItem_PaperBag	{r2[から]}空{/r2}のカミッペラぶくろ
ImitationItem_MaxHPUp	ＭＡＸＵＰハート
ImitationItem_MaxHP5Up	ＭＡＸＵＰハート＋５
ImitationItem_MaxHP10Up	ＭＡＸＵＰハート＋１０
ImitationItem_MaxHP20Up	ＭＡＸＵＰハート＋２０
ImitationItem_Chart	{r2[おおうなばら]}大海原{/r2}の{r2[かいず]}海図{/r2}
ImitationItem_PuzzleAnswer	パズル{r2[せいかいひょうじ]}正解表示{/r2}マシーン
ImitationItem_PuzzleTimer	タイマー{r2[じどうえんちょう]}自動延長{/r2}マシーン
PSV_Puzzle_TIME1	タイムプラス
PSV_Puzzle_TIME2	シルバータイムプラス
PSV_Puzzle_TIME3	ゴールドタイムプラス
PSV_Battle_DAMAGE1	ガードプラス
PSV_Battle_DAMAGE2	シルバーガードプラス
PSV_Battle_DAMAGE3	ゴールドガードプラス
PSV_Battle_HP1	ハートプラス
PSV_Battle_HP2	シルバーハートプラス
PSV_Battle_HP3	ゴールドハートプラス
PSV_Sub_PaperVacuum	カミッペラそうじき
PSV_Sub_FlowerShower	ハナビラぶくろ
PSV_Sub_Pedometer	コイン{r2[ほすうけい]}歩数計{/r2}
PSV_Sub_HideBlockAlarm	ブロックチャイム
PSV_Sub_KinopioAlarm	キノピオチャイム
PSV_Sub_TreasureAlarm	おたからチャイム
PSV_Sub_BattleParty	なかまタンバリン
PSV_Sub_MarioSound	ピコピコチェンジャー
PSV_Sub_MembersCard1	メンバーズカード
PSV_Sub_MembersCard2	シルバーメンバーズカード
PSV_Sub_MembersCard3	ゴールドメンバーズカード
KeyItem_DefaultHammer	ハンマー
KeyItem_DekuSeedDry	ひからびたタネ
KeyItem_DekuSeed	いのちのタネ
KeyItem_CoinDirty	{r2[よご]}汚{/r2}れたコイン
KeyItem_KinokoDry	ひからびたキノコ
KeyItem_KeyPeachCastle	ピーチ{r2[じょう]}城{/r2}のカギ
KeyItem_OrigamiBookEarth	{r2[つち]}土{/r2}ガミの{r2[しょ]}書{/r2}
KeyItem_OrigamiBookWater	{r2[みず]}水{/r2}ガミの{r2[しょ]}書{/r2}
KeyItem_OrigamiBookFire	{r2[ひ]}火{/r2}ガミの{r2[しょ]}書{/r2}
KeyItem_OrigamiBookIce	{r2[こおり]}氷{/r2}ガミの{r2[しょ]}書{/r2}
KeyItem_TurtleBallA	{r2[みどり]}緑{/r2}のタートルボール
KeyItem_TurtleBallB	{r2[きいろ]}黄色{/r2}のタートルボール
KeyItem_TurtleBallC	{r2[あお]}青{/r2}のタートルボール
KeyItem_TurtleBallD	{r2[あか]}赤{/r2}のタートルボール
KeyItem_TurtleBallE	{r2[むらさき]}紫{/r2}のタートルボール
KeyItem_CostumeKUR	クリボーのかぶりもの
KeyItem_CostumeSAM	{r2[うちゅう]}宇宙{/r2}{r2[せんし]}戦士{/r2}のかぶりもの
KeyItem_CostumeDON	サルのかぶりもの
KeyItem_MiniPieceA	ミゾのあるパネル
KeyItem_MiniPieceB	ミゾのあるパネル２
KeyItem_KeyOasisA	スイートルームのカギ
KeyItem_KeyOasisB	{r2[がくしゃ]}学者{/r2}の{r2[へや]}部屋{/r2}のカギ
KeyItem_KNPEyeA	{r2[まる]}丸{/r2}い{r2[ほうせき]}宝石{/r2}
KeyItem_KNPEyeB	ひし{r2[がた]}形{/r2}の{r2[ほうせき]}宝石{/r2}
KeyItem_KNPEyeC	{r2[しかく]}四角{/r2}い{r2[ほうせき]}宝石{/r2}
KeyItem_KNPEyeD	{r2[さんかく]}三角{/r2}の{r2[ほうせき]}宝石{/r2}
KeyItem_CanA	ツナの{r2[かん]}缶{/r2}づめ
KeyItem_CanA_OPEN	{r2[あ]}開{/r2}いたツナの{r2[かん]}缶{/r2}づめ
KeyItem_CanHeart	ハートの{r2[かん]}缶{/r2}づめ
KeyItem_NormalPass	{r2[ちょうにんてがた]}町人手形{/r2}
KeyItem_PremiumPass	お{r2[だいみょうてがた]}大名手形{/r2}
KeyItem_Bone	ホネ
KeyItem_Straw	ストロー
KeyItem_ThrowingStarSet	シュリケン
KeyItem_MasterKey	{r2[オエド]}ＯＥＤＯ{/r2}ランドのマスターキー
KeyItem_SignBall	サインボール
KeyItem_GeneratorHandle	レバー
KeyItem_SunIncense	{r2[たいようこう]}太陽香{/r2}
KeyItem_ShellfishBig	{r2[おお]}大{/r2}きな{r2[かい]}貝{/r2}
KeyItem_WalletA	ズッシリした{r2[ふくろ]}袋{/r2}
KeyItem_StampCardA	スタンプカード
KeyItem_SpaTicketA	スペシャル{r2[にゅうとうけん]}入湯券{/r2}
KeyItem_KeyKoopaCastle	クッパ{r2[じょう]}城{/r2}のカギ
KeyItem_KeyKinoko	キノコノブ
KeyItem_KeyOrb	ダイヤのカギ
KeyItem_OrbPower	{r2[ちから]}力{/r2}のオーブ
KeyItem_OrbWisdom	{r2[ちえ]}知恵{/r2}のオーブ
KeyItem_OrbCourage	{r2[ゆうき]}勇気{/r2}のオーブ
KeyItem_ManholeHandleA	マンホールフック
KeyItem_DragonPearl	{r2[あか]}赤{/r2}ノ{r2[ぎょく]}玉{/r2}
KeyItem_HPMaxUpDry	ひからびたＭＡＸＵＰハート
KeyItem_FireFlowerWither	しおれたファイアフラワー
KeyItem_CD_A	「スリリング・ナイト」
KeyItem_CD_B	「ハッピー・ラブ」
KeyItem_CD_C	「ディープ・ヴァイヴス」
KeyItem_CD_D	「ボルテージ{r2[マックス]}ＭＡＸ{/r2}」
KeyItem_CD_A_name	スリリング・ナイト
KeyItem_CD_B_name	ハッピー・ラブ
KeyItem_CD_C_name	ディープ・ヴァイヴス
KeyItem_CD_D_name	ボルテージ{r2[マックス]}ＭＡＸ{/r2}
KeyItem_CD_K_name	プールサイドの{r2[あつ]}熱{/r2}い{r2[よる]}夜{/r2}
KeyItem_CD_J_name	キノピチュ{r2[アンダーグラウンド]}ＵＧ{/r2}
Glossary_Other_1	オリビアヒント
Glossary_Other_2	キノピオポイント
Glossary_Other_12	コントローラー
Glossary_Other_13	アクセサリー
Glossary_Other_3	おたからフィギュア
Glossary_Other_4	カミッペラ
Glossary_Other_5	カミッペラぶくろ
Glossary_Other_6	スカスカ{r2[あな]}穴{/r2}
Glossary_Other_7	ハテナブロック
Glossary_Other_8	{r2[かく]}隠{/r2}しブロック
Glossary_Other_9	カミの{r2[て]}手{/r2}
Glossary_Other_10	カミのちから
Glossary_Other_11	{r2[まほうじん]}魔法陣{/r2}
Glossary_Other_16	カミさまの{r2[しょ]}書{/r2}
Glossary_Other_17	{r2[たび]}旅{/r2}の{r2[どかん]}土管{/r2}
Glossary_Other_18	オリガミまつり
Glossary_Other_19	キノコ{r2[おうこく]}王国{/r2}
Glossary_Other_20	オリガミ{r2[おうこく]}王国{/r2}
Glossary_Other_21	ペラペラ
Glossary_Other_22	カミテープ
Glossary_Other_23	{r2[あか]}赤{/r2}カミテープ
Glossary_Other_24	{r2[あお]}青{/r2}カミテープ
Glossary_Other_25	{r2[きいろ]}黄色{/r2}カミテープ
Glossary_Other_26	{r2[むらさき]}紫{/r2}カミテープ
Glossary_Other_27	{r2[みどり]}緑{/r2}カミテープ
Glossary_Other_33	{r2[あか]}赤{/r2}カミテープのエリア
Glossary_Other_76	{r2[あお]}青{/r2}カミテープのエリア
Glossary_Other_77	{r2[きいろ]}黄色{/r2}カミテープのエリア
Glossary_Other_78	{r2[むらさき]}紫{/r2}カミテープのエリア
Glossary_Other_79	{r2[みどり]}緑{/r2}カミテープのエリア
Glossary_Other_80	オリガミ{r2[じょう]}城{/r2}のエリア
Glossary_Other_28	クッパ{r2[ぐんだん]}軍団{/r2}
Glossary_Other_29	ブンボー{r2[ぐんだん]}軍団{/r2}
Glossary_Other_30	オリガミ{r2[へい]}兵{/r2}
Glossary_Other_31	ハリボテ{r2[へい]}兵{/r2}
Glossary_Other_32	カミさま
Glossary_Other_98	キノピオ・ロープウェイ
Glossary_Other_37	デクじい
Glossary_Other_61	デク{r2[にい]}兄{/r2}
Glossary_Other_34	キノピオ’Ｓ　{r2[バーベキュ㎚]}ＢＢＱ{/r2}　ガーデン
Glossary_Other_35	{r2[だいはくぶつかん]}大博物館{/r2}
Glossary_Other_81	アートギャラリー
Glossary_Other_82	サウンドギャラリー
Glossary_Other_83	オリガミキノピオギャラリー
Glossary_Other_84	オリガミキャラクターギャラリー
Glossary_Other_85	おたからギャラリー
Glossary_Other_36	バトル{r2[けんきゅうじょ]}研究所{/r2}
Glossary_Other_38	{r2[つち]}土{/r2}ガミ{r2[さま]}様{/r2}ご{r2[ほんぞん]}本尊{/r2}
Glossary_Other_75	タートルボール
Glossary_Other_39	{r2[ミハラシ]}MIHARASHI{/r2}
Glossary_Other_40	センサー{r2[けんきゅうじょ]}研究所{/r2}
Glossary_Other_41	ススキーノ{r2[だいそうげん]}大草原{/r2}
Glossary_Other_42	モミジ{r2[おおはし]}大橋{/r2}
Glossary_Other_43	{r2[にゅうこくてがた]}入国手形{/r2}
Glossary_Other_44	{r2[つゝ]}筒{/r2}や
Glossary_Other_45	シュリケン{r2[どうじょう]}道場{/r2}
Glossary_Other_46	{r2[ひ]}火{/r2}の{r2[み]}見{/r2}ヤグラ
Glossary_Other_47	なぞときの{r2[ま]}間{/r2}
Glossary_Other_48	{r2[にんじゃ]}忍者{/r2}やしき
