announce.msbt
AnnounceEmpty	No notifications yet.
W6C2_phase3_03	\x0e\x02\0\0CURSE YOOOOOU!\x0f\x02\0
W6C2_phase3_04	I can't believe it. I know there\nwas goodness in him, but...Olly\nchose to hate flat paper beings\nto the bitter end.\x0e\0\x04\0Goodbye, Brother. I hope we meet\nagain someday...
W6C2_phase3_18	\x0e\x03\x02\0{s[120]}I...will not...allow this!\nI will CRUSH you! All of you!{s[100]}\x0f\x03\x02
W6C2_phase3_19	Oh no! My brother's WAY too big!\nWe can't stop him like this...\x0e\0\x04\0Oh! Wait!
W6C2_phase3_26	That Origami Craftsman gave me\nsomething special before we left\nhis workshop. It's time to use it!
W6C2_phase3_21	\x0e\x03\x02\0{s[120]}Another Magic Circle?!\nPfah! Pathetic!{s[100]}\x0f\x03\x02\x0e\0\x04\0\x0e\x03\x02\0{s[120]}What do you hope to do?\nSlap my wrist with those\nfeeble arms of yours?{s[100]}\x0f\x03\x02
W6C2_phase3_25	Oh, come ON! He jumbled up our\nMagic Circle! Could he fight fair\nfor, like, TWO seconds?!
W6C2_phase3_22	{s[120]}\x0e\x03\x02\0My anger! My rage! It's turned\ninto a deadly poison, rising up\nfrom below!\x0f\x03\x02\x0e\0\x04\0\x0e\x03\x02\0You'd better act fast. If that\ngas reaches this platform, it\nwill be the end of you!\x0f\x03\x02\x0e\0\x04\0\x0e\x03\x02\0HA HA HA HAAAAA!\x0f\x03\x02{s[100]}
W6C2_phase3_23	Hurry, Mario! We have to fix this\njumbo-sized Magic Circle as fast\nas we can!
W6C2_LastKing_18	\x0e\x03\x02\0{s[150]}Now! Take this!{s[100]}\x0f\x03\x02
W6C2_LastKing_27	\x0e\x03\x02\0{s[150]}No escape!{s[100]}\x0f\x03\x02
W6C2_LastKing_28	\x0e\x03\x02\0{s[150]}Farewell!{s[100]}\x0f\x03\x02
W6C2_LastKing_19	\x0e\x03\x02\0{s[150]}You dodged?!{s[100]}\x0f\x03\x02
W6C2_LastKing_20	\x0e\x03\x02\0{s[150]}Why you—{s[100]}\x0f\x03\x02
W6C2_LastKing_21	\x0e\x03\x02\0{s[150]}Such insolence!{s[100]}\x0f\x03\x02
W6C2_LastKing_22	\x0e\x03\x02\0{s[150]}HA HA HAAA!{s[100]}\x0f\x03\x02
W6C2_LastKing_23	\x0e\x03\x02\0{s[150]}Pathetic!{s[100]}\x0f\x03\x02
W6C2_LastKing_24	\x0e\x03\x02\0{s[150]}Now surrender!{s[100]}\x0f\x03\x02
W6C2_LastKing_16	\x0e\x03\x02\0{s[150]}Y-youuu!{s[100]}\x0f\x03\x02
W6C2_LastKing_25	Too soon!
W6C2_LastKing_26	Too slow!
W6C2_LastKing_15	\x0e\x03\x02\0{s[120]}You think I'll allow this?!\nI'll make this Magic Circle\nas useless as scrap paper!{s[100]}\x0f\x03\x02
W6C2_LastKing_17	\x0e\x03\x02\0No, no, NO!\nI'll scramble this sigil over and\nover until you admit defeat!\x0f\x03\x02
W6C2_LastKing_10	Oh my gosh! You did it, Mario!\nWe can finally use the Magic Circle!\x0e\0\x04\0The Origami Craftsman gave me one\nfinal folding technique...and it's our\nonly chance of stopping Olly!
W6C2_LastKing_11	Brother! Please!\nCome to your senses!
W6C2_LastKing_12	There's no time! Hurry!
W6C2_GodHandHelp_Attack	{s[080]}\x0e\x01\x03\x04\0\0\0\0Hit Olly!\x0e\x01\x01\0{s[100]}
W6C2_GodHandHelp_LastAttack	{s[080]}\x0e\x01\x03\x04\0\0\0\0Hit him with the\nOlivia Hammer!\x0e\x01\x01\0{s[100]}
W6C2_Caption_LastAttack	{c[ffffff]}\x0e\0\x01\x02\x02\0{s[150]}Time to {c[ff2e11]}settle{c[ffffff]} this!{s[100]}\x0e\0\x01\x02\xff\xff{c[404040]}
LastBattle_CountDown_1	{c[cf2c12]}{s[100]}\x0e\0\x01\x02\x02\01\x0e\0\x01\x02\xff\xff{s[100]}{c[404040]}
LastBattle_CountDown_2	{c[d6b918]}{s[100]}\x0e\0\x01\x02\x02\02\x0e\0\x01\x02\xff\xff{s[100]}{c[404040]}
LastBattle_CountDown_3	{c[7a44a9]}{s[100]}\x0e\0\x01\x02\x02\03\x0e\0\x01\x02\xff\xff{s[100]}{c[404040]}
LastBattle_CountDown_4	{c[7a44a9]}{s[100]}\x0e\0\x01\x02\x02\04\x0e\0\x01\x02\xff\xff{s[100]}{c[404040]}
LastBattle_CountDown_5	{c[7a44a9]}{s[100]}\x0e\0\x01\x02\x02\05\x0e\0\x01\x02\xff\xff{s[100]}{c[404040]}
bench.msbt
Bench_Location_W1C1_1	Ahhh! Finally, a minute to rest.
Bench_Location_W1C1_2	Hm? Mario, look at you! You've gone\nfrom pooped to pepped. I'm so glad!\x0e\0\x04\0I can't face all those Folded Soldiers\nalone. You're all I've got!\x0e\0\x04\0So stay rested, OK? When you see a\nbench, take a break and heal up!
Bench_W1G1_1	It's hard to relax while there are\nPaper Macho bad guys stomping\nthrough town...
Bench_W1G3_1	Listen. Do you hear that? It's the\nriver going, \x0e\x01\x01\0"splish, splash!" Ahhh...\nWhat a relaxing sound.\x0e\0\x04\0Ooh! Listen closer! You can even\nhear the fishies jumping.
Bench_W2G1_1_1	Mmmm. So refreshing. Nothing better\nthan mountain air.\x0e\0\x04\0I wonder if even the air here is red.\nIt looks clear, but...you never know.
Bench_W2G1_1_2	This world is so big, Big M...but I\nunderstand so little of it. *sigh*
Bench_W2G1_1_3	Remember how Bobby would always\nrun ahead of us and get lost? Ahhh,\nthose were good times...
Bench_W2G1_2_1	I wonder why leaves turn so red\nin the fall. Do you think they're\nembarrassed?
Bench_W2G1_2_2	No, that can't be it. They're just\ntrees... Now I'M embarrassed for\nsuggesting that!
Bench_W2G1_2_3	Remember Chestnut Valley? Bobby\nkept rolling away because he was\nso round... He was really good at\ngetting in trouble, wasn't he?
Bench_W2G2_2	I keep wondering...why is Shogun\nStudios named Shogun Studios?
Bench_W2G2_1	Oh! I know! It's because we're\nsho' gunna have a fun time here!\nRight? Maybe that's it...
Bench_W2G2_3	We had so much fun in this park\nwith Bobby...and we went to see\nthat special show too!\x0e\0\x04\0We helped him make so many great\nmemories...but I guess we made them\nfor ourselves too.
Bench_W3G1_1	We origami folk have a saying...\x0e\0\x04\0"For every mountain fold, there\nis a valley fold."\x0e\0\x04\0It's probably about the ups and\ndowns of life...or it could be about\nactual folding, I guess. Hard to say.
Bench_W3G1_2	Either way, that's pretty deep...\nand inspiring.\x0e\0\x04\0Even a dud like me might climb up\none of life's mountains someday.
Bench_W3G1_4	Come on, Big M! It's time to\ngo to the Great Sea!
Bench_W3G3_1	Even without the sun, this place is\nso bright! It's like it never sleeps.
Bench_W3G3_2	Mhmm, just as I suspected. It's super\nbright and lovely here when the\nsun's out.
Bench_W3G3_3	They say the sun was sacred to the\nfolks of ancient Shroom City. And\nby "they," I mean "I," of course.
Bench_W3C3_1	Sheesh! Even this bench is burning\nhot! At least we're both super alert\nnow...right?
Bench_W4G2_1	\x0e\x02\0\0Take a break and rest your back,\x0f\x02\0\n\x0e\x02\0\0And while you get yourself on track,\x0f\x02\0\n\x0e\x02\0\0Have a tasty Mushroom snack!\x0f\x02\0
Bench_W5G1_1	This place is overflowing with hot\nsprings. It's a wonderland of warm\nwater!\x0e\0\x04\0Even you look like you're nice and\nrelaxed, Kamek.
Bench_W5G1_2	Do I? I assure you I am not!\nI'm strictly focused on the well-\nbeing of Young Master Bowser.
Bench_W5G1_3	Pfshh! No way! When I get in the\nwater, I can hear happy humming!
Bench_W5G1_7	Oh! That? That was...a...magic spell.\nTo. Um. Help you feel better. Yes,\nthat sounds sufficiently convincing.
Bench_W6C2_2	Huh! Look at that. The wall is\nalmost totally gone!\x0e\0\x04\0Did it peel off when we got rid\nof the streamers?
Bench_W6C2_1	Does the shape of this hole in the\ncastle look...familiar to you?\x0e\0\x04\0Wasn't Luigi stuck in a chunk of\nbetween-dimension-type space\nthat looked just like this? Hmm...
global.msbt
yesno	Yes\nNo
yesno_buy	Buy\nDon't buy
yesno_play	Play\nQuit
insufficient_coin	You don't have enough coins.
Global_KeyItemSelect	Select an item.\x0e\x01\x04\x18\x0e\0K\0e\0y\0I\0t\0e\0m\0\xff\xff\xff\xff\0\0\0\0
Global_WorldDokan	Enter the warp pipe?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Global_DokanClose	The other end of the pipe is blocked.
Balloon_A	
Balloon_B	
Balloon_X	
Balloon_access	Check
Balloon_talk	Talk
Balloon_tear_off	Tear Off
Balloon_pull	Pull
Balloon_open	Open
Balloon_read	Read
Balloon_in	Enter
Balloon_eat	Eat
Balloon_godhand	1,000-Fold Arms
Balloon_holybeast	Vellumental Power
Balloon_up	Climb
Balloon_down	Descend
Balloon_close	Close
Balloon_push	Push
Balloon_ride	Get In
Balloon_look	Look
Balloon_out	Exit
Balloon_hear	Listen
Balloon_grab	Grab
Balloon_stop	Stop
Balloon_save	Hit
Balloon_jump	Jump
GodHandHelp_Grab	Grab
GodHandHelp_Pull	Pull
GodHandHelp_PeelOff	Tear Off
GodHandHelp_Hit	Hit
GodHandHelp_Grasp	Grip
GodHandHelp_Twist	Turn
GodHandHelp_Rub	Rub
GodHandHelp_Throw	Throw
GodHandHelp_Lift	Lift
GodHandHelp_Pluck	Pluck
GodHandHelp_Close	Close
GodHandHelp_Spear	Slam
GodHandHelp_Free	Let Go
GodHandHelp_Fold	Fold
GodHandHelp_Guard	Guard
GodHandHelp_Swing	Shoot
Shop_01_W1G1	Hi! What can I get you?\nPlease spend generously!
Shop_01_W1G2	Welcome!
Shop_01_W2G2	Welcome! Interested in a souvenir\nfrom Shogun Studios?
Shop_01	Hello there! Welcome to the\nShroom City Shop.
Shop_01_W3C1	Interested in some shinies?\nWe dug up some real beauts!
Shop_01_W5G1	Soovy-neers! Get yer soovy-neers!\nCome and get 'em!
Shop_BuyConfirm	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nThat'll be \x0e\x03\0\x04\x01\0\0\0 coins.\nReady to buy?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Shop_BuyConfirm_W2G2	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nThat'll be \x0e\x03\0\x04\x01\0\0\0 gold bits.\nReady to buy?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Shop_BuyConfirm_W3C1	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nJust \x0e\x03\0\x04\x01\0\0\0 coins and it's yours.\nWe got a deal?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Shop_BuyConfirm_W5G1	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nI could part with that for, oh...\n\x0e\x03\0\x04\x01\0\0\0 coins. What say you?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Shop_BuyOk	Thanks a bunch!
Shop_BuyOk_W3C1	Hey, thanks!
Shop_BuyOk_W5G1	Excellent choice!
Shop_ItemFull	Whoops! You're out of room.
Shop_ItemFull_W3C1	I think you're full up, aren't ya?
Shop_ItemFull_W5G1	You can't hold anything else.
Shop_NoCoin	Oops. You're a bit short on coins...
Shop_NoCoin_W3C1	Looks like you don't have the\nscratch for it, pal.
Shop_NoCoin_W5G1	You don't have enough coins! Is this\nyour weird idea of haggling?
Shop_Thanks	Thanks! Come again!
Shop_Thanks_Remind	Come back soon! Oh, and don't\nforget to equip your weapons in\nthe  menu.
Shop_Thanks_W3C1	Thanks for stoppin' by!
Shop_Thanks_Remind_W3C1	Thanks! And don't forget to equip\nyour weapons in the  menu.
Shop_Thanks_W5G1	Later, pal.
Shop_Thanks_Remind_W5G1	Enjoy your purchase! Oh, and\ndon't forget to equip weapons\nin the  menu.
Shop_MembersCard_01	Hang on... It says here that you've\nspent more than \x0e\x03\0\x04\0\0\0\0 coins!\x0e\0\x04\0A savvy shopper like you deserves a\nspecial reward. Allow me to present\nyou with... Drumroll, please...\x0e\0\x04\0This \x0e\x03\0\x04\x01\0\0\0!
Shop_MembersCard_02	Before you shop, go to Accessories\nin the  menu and equip that card.\x0e\0\x04\0If you maintain this shopping streak,\nI'll bump your membership card up to\nget you better deals!
Shop_MembersCard_03	Before you shop, go to Accessories\nin the  menu and equip that card.\x0e\0\x04\0That's the best membership card\nwe've got to offer. Take it for a spin!\x0e\0\x04\0Thanks for being such a generous\ncustomer, Mario. I might pay off my\nart-school loans yet!
Shop_MembersCard_01_W3C1	Ooo-wee! You've spent more than\n\x0e\x03\0\x04\0\0\0\0 coins! That's earned you\na \x0e\x03\0\x04\x01\0\0\0 in my book!
Shop_MembersCard_02_W3C1	You'll want to equip it before you\nshop. Just check your accessories\nin the  menu.\x0e\0\x04\0If you keep buying stuff at this rate,\nI'll bump your membership card up\nto get you even better deals!
Shop_MembersCard_03_W3C1	You'll want to equip it before you\nshop. Just check your accessories\nin the  menu.\x0e\0\x04\0That's the best membership card we\nhave to give. Put it to good use!\x0e\0\x04\0And hey, thanks for shoppin' with\nus. Your support keeps us in a hole\nin the ground!
Shop_MembersCard_01_W5G1	Whoa. You've spent more than\n\x0e\x03\0\x04\0\0\0\0 coins!\x0e\0\x04\0Here, take this \x0e\x03\0\x04\x01\0\0\0.\nYou've earned it...through spending!
Shop_MembersCard_02_W5G1	Make sure to equip that card before\nyou shop. Just press  and check\nyour accessories.\x0e\0\x04\0Keep spending and I'll bump your\nmembership card up further to\nget you even better deals!
Shop_MembersCard_03_W5G1	Make sure to equip that card before\nyou shop. Just press  and check\nyour accessories.\x0e\0\x04\0That membership card is top tier!\nYou won't find any better bargains.\x0e\0\x04\0I'm glad that card is in your hands.\nOut of all my customers...I dislike\nyou the least.
Accessory_Shop_00	Fun, funky, and functional!\nYou want accessories? We've\ngot accessories!
Accessory_Shop_11	I've lowered the prices on a few\nitems. It's a good time to buy!
Accessory_Shop_00_W3C1	Fun, funky, and functional!\nWe got the best accessories\nin this whole entire...uh...hole.
Accessory_Shop_11_W3C1	We're sellin' some items at\na discount today. You won't\nwant to miss these prices!
Accessory_Shop_00_W5G1	Fun, funky, and functional!\nI have accessories for sale. They\nare good. This is the entirety of\nmy sales pitch.
Accessory_Shop_11_W5G1	I've lowered my prices on several\nitems. Get 'em while they're hot!
Accessory_Shop_02	I'm waiting for a new shipment of\naccessories to arrive. Come back\nin a bit, OK?
Accessory_Shop_02_W3C1	We should be getting a new\nshipment of accessories soon.\nCan you come back later?
Accessory_Shop_02_W5G1	A new shipment of accessories\nis on the way. Come back soon!\nBring coins.
Accessory_Shop_03	Wow, here's a new one—we're sold\nout of ALL our accessories! Thanks\nfor being such an eager customer!
Accessory_Shop_03_W3C1	Shucks, fella! You cleaned us out!\nWe're totally out of accessories.\nThanks for the coins!
Accessory_Shop_03_W5G1	All of our accessories are sold out!\nThat's...never happened before!\nThank you?!
Accessory_Shop_04	Come back soon!
Accessory_Shop_04_Remind	Come back soon! And hey—don't\nforget to equip your accessories\nin the  menu!
Accessory_Shop_04_W3C1	Later, excavator!
Accessory_Shop_04_Remind_W3C1	Later, excavator! Oh, and don't\nforget to equip your accessories\nin the  menu.
Accessory_Shop_04_W5G1	See you again soon, probably.
Accessory_Shop_04_Remind_W5G1	See you again soon, probably.\nRemember, you can equip your\naccessories in the  menu.
Accessory_Shop_05	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nYour total is...\x0e\x03\0\x04\x01\0\0\0 coins.\nReady to buy?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Accessory_Shop_05_W3C1	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nThat'll be \x0e\x03\0\x04\x01\0\0\0 coins.\nSound good to you?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Accessory_Shop_05_W5G1	\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0\x0f\x02\0\nThat's \x0e\x03\0\x04\x01\0\0\0 coins.\nAll set to buy?\x0e\x01\x04\x14\n\0y\0e\0s\0n\0o\0\x01\0\0\0\0\0\0\0
Accessory_Shop_06	Thank you kindly!
Accessory_Shop_06_W3C1	Hey, thanks!
Accessory_Shop_06_W5G1	Thank you.
Accessory_Shop_07	Oops! You're a bit short on coins...
Accessory_Shop_07_W3C1	You're a few coins short, fella!
Accessory_Shop_07_W5G1	You don't have enough coins.
Accessory_Shop_08	Aaand that's it! We're sold out.\nDon't worry—we'll restock in a bit.\x0e\0\x04\0Oh, and don't forget to equip\nyour accessories in the  menu!
Accessory_Shop_08_W3C1	Welp! Looks like we're all sold out.\nCheck back later, OK?\x0e\0\x04\0And make sure you equip those\naccessories in the  menu!
Accessory_Shop_08_W5G1	And that...was the last of our stock.\nWe're completely sold out for now!\nCheck back soon. Bring your coins.\x0e\0\x04\0And don't forget to equip those\naccessories in the  menu.
Accessory_Shop_09	And with that purchase, ALL of our\naccessories are sold out! Wowie!\nWe can't thank you enough!\x0e\0\x04\0Don't forget to equip those new\naccessories in the  menu!
Accessory_Shop_09_W3C1	Well shoot! Looks like ALL of our\naccessories are sold out! Thanks\na ton, you big spender!\x0e\0\x04\0Remember to equip those accessories\nin the  menu, OK?
Accessory_Shop_09_W5G1	It looks like all accessories have now\nbeen sold...to you! Thanks for your\nincredible support.\x0e\0\x04\0Don't forget to equip your wealth of\nnew accessories in the  menu.
Accessory_Shop_10	For accessories to be effective,\nyou have to equip them in the\nAccessories section of the  menu.\x0e\0\x04\0There's a limit to how many you can\nequip at once, so think carefully!
Accessory_Shop_10_W3C1	If you don't equip your accessories\nin the Accessories section of the\n menu, they won't do squat!\x0e\0\x04\0Give that a try. Oh, and remember,\nthere's a limit on how many you\ncan equip at the same time!
Accessory_Shop_10_W5G1	Accessories won't work if you don't\nequip them. Check the Accessories\nsection of the  menu.\x0e\0\x04\0There's a limit on how many you can\nequip at once, so keep that in mind.
Event_GetItem	Ooh! Mario! I've heard about this...\nThat's a precious adventuring\nresource. It's called an {c[cf2c12]}item{c[404040]}!\x0e\0\x04\0You should be able to see all the\nitems you've collected by opening\nthe menu with .\x0e\0\x04\0Press  and select an item to use it\nright away! How convenient is that?
Event_GetEquipment	Wow! If I'm not mistaken, you just\ngot a {c[cf2c12]}weapon{c[404040]}! You can use weapons\nto attack during battles.\x0e\0\x04\0I've heard they can have a bunch of\ndifferent effects, but you'll have to\nequip them using the  menu first.\x0e\0\x04\0If you use one too much, it might\nbreak...so try not to get TOO\ncaught up in the heat of battle!
Event_GetCorrectable	Collectible Treasure? Ooh, it's cute!\x0e\0\x04\0You should try to collect more\nof these, Mario. Maybe even\nall of them!
Event_Powerup_01	*gasp* It's a MAX UP Heart! Hooray!\nIncredible! What...does it do?\x0e\0\x04\0I mean, this is just a guess, but...\nit looks like you've got a bit more\nHP now, Mario!\x0e\0\x04\0And is it just me, or do you look\na bit stronger too? Wow, those\nMAX UP Heart things are great!
Event_Powerup_02	I think your HP just increased again,\nMario...and you seem a bit stronger\nto boot!
Event_Ropeway_01	Thank you for riding the Toad Tram!\nWhere are you headed today?\x0e\x01\x04* \0E\0v\0e\0n\0t\0_\0R\0o\0p\0e\0w\0a\0y\0_\00\02\0\x03\0\0\0\0\0\0\0
Event_Ropeway_02	Autumn Mountain\nOverlook Mountain\nToad Town\nCancel
Event_Rainbow_Magic_01	Which Vellumental's power\nshould we use?\x0e\x01\x046,\0E\0v\0e\0n\0t\0_\0R\0a\0i\0n\0b\0o\0w\0_\0M\0a\0g\0i\0c\0_\00\02\0\x04\0\0\0\0\0\0\0
Event_Rainbow_Magic_02	Earth Vellumental\nWater Vellumental\nFire Vellumental\nIce Vellumental\nCancel
Event_HBoots_05	You're already in it!
Event_HBoots_01	There's a Boot Car nearby.
Event_HBoots_02	...Your whistle went unanswered.
Event_HBoots_03	The Boot Car has arrived\nat the entrance.
Event_HBoots_04	You can't get out of the car here.
Event_Sensor_01	The battery is dead.
Cannot_Kaminote_01	You need Olivia to use the\n1,000-Fold Arms technique.
SaveBlock_Tutorial_01	Save complete, huh? Guess that\nmeans your adventure up to this\npoint has been saved. Phew!\x0e\0\x04\0Let's make a habit of saving every\ntime we see another one of these\nshiny blocks, OK?
SaveBlock_Tutorial_02	Look at that block, Mario!\nIt's so shiny and pretty...
Option_Tutorial_01	Oh! And you'll find all sorts of helpful\nstuff if you open the menu with .\x0e\0\x04\0If you want to try out some other\noptions or need some help, check\nthe ⚙ section of the menu!
Option_Tutorial_02	Oh, I almost forgot! If you open\nthe menu with , you'll find all\nsorts of useful stuff.\x0e\0\x04\0For instance...if you want to try out\nsome other options or need help,\ncheck the ⚙ section of the menu!
Gameover_Select_Retry	Try again\nRestart from last save\nReturn to title screen
Gameover_Select	Restart from last save\nReturn to title screen
Gameover_Help0	Retry that last scene.
Gameover_Help1	Restart from your last save location.
Gameover_Help2	Quit and return to the title screen.
Fishing_Cmn_Get_p_001	You caught a Cheep Cheep!\nIt's...really small!
Fishing_Cmn_Get_p_002	You caught a Cheep Cheep!\nStill a bit on the small side...
Fishing_Cmn_Get_p_003	You caught a Cheep Cheep!\nThis one's got some heft to it.
Fishing_Cmn_Get_p_004	You caught a Cheep Cheep!\nYep...that's a keeper!
Fishing_Cmn_Get_p_005	You caught a Cheep Cheep!\nHey! That's pretty big!
Fishing_Cmn_Get_p_006	You caught a Cheep Cheep!\nThat's a b-b-big fish!
Fishing_Cmn_Get_p_007	You caught a Cheep Cheep!\nThat's an even B-B-B-B-BIGGER FISH!
Fishing_Cmn_Get_p_008	You caught a Cheep Cheep!\nThat's the one! It's the lord\nof Shogun Studios!
Fishing_Cmn_Get_p_009	You caught a Cheep Cheep!\nThe wait paid off! It's the king\nof Overlook Mountain!
Fishing_Cmn_Get_p_010	You caught a Cheep Cheep!\nIt's huuuge! It's the ruler of\nthe Great Sea!
Fishing_Cmn_Get_g_001	You caught a Blooper!\nD'aww, what a cute cuddle fish!
Fishing_Cmn_Get_g_002	You caught a Blooper!\nHmm, I th-INK that's still a bit small.
Fishing_Cmn_Get_g_003	You caught a Blooper!\nThat's a squiddle bit better.
Fishing_Cmn_Get_g_004	You caught a Blooper!\nAn INK-pressive achievement!
Fishing_Cmn_Get_g_005	You caught a Blooper!\nWhat a tentacular creature!
Fishing_Cmn_Get_g_006	You caught a Blooper!\nThat's a serious cephalopod!
Fishing_Cmn_Get_g_007	You caught a Blooper!\nSuffering suction cups! It's huge!
Fishing_Cmn_Get_g_010	You caught a Blooper!\nCalamitous calamari! It's plain to\nsee this one rules the Great Sea!
Fishing_Cmn_Size_p_001	\x0e\x02\0\0Cheep Cheep Size\x0f\x02\0\n\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0cm\x0f\x02\0
Fishing_Cmn_Size_g_001	\x0e\x02\0\0Blooper Size\x0f\x02\0\n\x0e\x02\0\0\x0e\x03\0\x04\0\0\0\0cm\x0f\x02\0
Fishing_Cmn_Max_p_001	\x0e\x02\0\0New Size Record!\x0f\x02\0\n\x0e\x02\0\0You earned the Cheep Cheep print.\x0f\x02\0
Fishing_Cmn_Max_g_001	\x0e\x02\0\0New Size Record!\x0f\x02\0\n\x0e\x02\0\0You earned the Blooper print.\x0f\x02\0
Fishing_Cmn_Collect_001	Way to go!\nYou caught a Collectible Treasure!\x0e\0\x04\0You've caught all the treasures in\nthis fishing spot!
Fishing_Talk_nokonoko_00	A bit late...
Fishing_Talk_nokonoko_01	A bit early...
Fishing_Talk_nokonoko_02	Now!
Fishing_Talk_nokonoko_03	Ooh!
Fishing_Talk_kinopio_00	Too late...
Fishing_Talk_kinopio_01	Too early...
Fishing_Talk_kinopio_02	Now!
Fishing_Talk_kinopio_03	Whoa!
Fishing_Talk_kinopio_05	It was a fake!
Fishing_Talk_kinopio_06	Huh? A Ninji?!
Fishing_Talk_kinopio_07	Oops. Sorry!
WorldClear_Title	{s[110]}\x0e\0\x01\x02\x05\0Congratulations!\x0e\0\x01\x02\xff\xff{s[100]}
WorldClear_Title_Sub	\x0e\0\x01\x02\x03\0おめでとう！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleRed_Sub	\x0e\0\x01\x02\x03\0あかカミテープ クリア！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleRed	\x0e\0\x01\x02\x05\0{s[100]}RED STREAMER CLEARED!{s[100]}\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleBlue_Sub	\x0e\0\x01\x02\x03\0あおカミテープ クリア！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleBlue	\x0e\0\x01\x02\x05\0{s[100]}BLUE STREAMER CLEARED!{s[100]}\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleYellow_Sub	\x0e\0\x01\x02\x03\0きいろカミテープ クリア！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleYellow	\x0e\0\x01\x02\x05\0{s[100]}YELLOW STREAMER CLEARED!{s[100]}\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleViolet_Sub	\x0e\0\x01\x02\x03\0むらさきカミテープ クリア！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleViolet	\x0e\0\x01\x02\x05\0{s[100]}PURPLE STREAMER CLEARED!{s[100]}\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleGreen_Sub	\x0e\0\x01\x02\x03\0みどりカミテープ クリア！\x0e\0\x01\x02\xff\xff
WorldClear_SubTitleGreen	\x0e\0\x01\x02\x05\0{s[100]}GREEN STREAMER CLEARED!{s[100]}\x0e\0\x01\x02\xff\xff
Kamipera_MaxUp	\x0e\0\x01\x02\x04\0\x0e\x03\x04\0MAX {s[100]}confetti increased!{s[100]}\x0f\x03\x04\x0e\0\x01\x02\xff\xff
Save_ask_olivia	Aren't you gonna save here?
Save_ask_olivia_1	Mario! Don't you need\nto save first?
Save_ask_bom	You didn't forget to save,\ndid you, Big M?
Save_ask_kmk	Hey, Mario! Don't tell me you're\nnot gonna save first...
Party_Wait_knpp	I'll just wait here.
Party_Wait_kmk	Don't have too much fun in there.
EyeCatch_PEN_Title	The Missile Maestro
EyeCatch_PEN	{c[cf2c12]}Colored Pencils{c[ffffff]}
EyeCatch_GOM_Title	{c[ffffff]}The Elastic Entertainer{c[ffffff]}
EyeCatch_GOM	{c[0677eb]}Rubber Band{c[ffffff]}
EyeCatch_HPC_Title	The {c[ffffff]}Disco Devil{c[ffffff]}
EyeCatch_HPC	{c[d6b918]}Hole Punch{c[ffffff]}
EyeCatch_TAP_Title	{c[ffffff]}The Shifty Sticker{c[ffffff]}
EyeCatch_TAP	{c[7a44a9]}Tape{c[ffffff]}
EyeCatch_SCS_Title	{c[ffffff]}The Dual-Bladed Duelist{c[ffffff]}
EyeCatch_SCS	{c[2e7611]}Scissors{c[ffffff]}
EyeCatch_STP_Title	{c[ffffff]}The Fanged Fastener{c[ffffff]}
EyeCatch_STP	Stapler
SongName_A	{s[150]}♪Thrills at Night{s[100]}
SongName_B	{s[150]}♪Heartbeat Skipper{s[100]}
SongName_C	{s[150]}♪Deep, Deep Vibes{s[100]}
SongName_D	{s[150]}♪M-A-X Power!{s[100]}
SongName_K	{s[150]}♪Pool Party (Jump In){s[100]}
SongName_J	{s[150]}♪Temple of Shrooms U.G.{s[100]}
NPC_Scared_00	Folded Soldiers are scary...
NPC_Scared_01	Paper Macho Soldiers are scary...
glossary.msbt
W0C1	Peach's Castle
W1C1	Whispering Woods
W1G1	Toad Town
W1C2	Graffiti Underground
W1G2	Picnic Road
W1G3	Overlook Mountain
