album.msbt
armor.msbt
Fighter00	みならいのよろい
theaterTalk010_Cmn_A_06	そっかー
theaterTalk020_Cmn_A_00	どんな{r2[えいが]}映画{/r2}？
theaterTalk020_Cmn_B_01	ミステリーだよ
theaterTalk020_Cmn_B_02	{r2[めいたんてい]}名探偵{/r2}が　\n{r2[じけん]}事件{/r2}を{r2[かいけつ]}解決{/r2}するの
theaterTalk020B_Cmn_A_01	…そういうことか
theaterTalk020B_Cmn_B_02	どういうこと？
theaterTalk020C_Cmn_A_00	{[0300|01cd]}…\n
theaterTalk021C_Cmn_A_00	{[0e00|02cd0000]}{r2[はんにん]}犯人{/r2}はキミだ！
theaterTalk020C_Cmn_B_01	そうだっけ？
theaterTalk030_Cmn_B_00	どんな{r2[えいが]}映画{/r2}？
theaterTalk030_Cmn_A_01	ホラーだよ
theaterTalk030_Cmn_B_02	ドキドキ…
theaterTalk030B_Cmn_A_00	ひぇぇ…
theaterTalk030B_Cmn_B_01	{size[7800]}ひゃーっ！{size[6400]}
theaterTalk030B_Cmn_A_02	{[0e00|02cd0000]}{size[9600]}ぎゃーっ！{size[6400]}
theaterTalk030B_Telop_00	{r2[じょうえいちゅう]}上映中{/r2}は　お{r2[しず]}静{/r2}かに
theaterTalk040_Cmn_B_00	どんな{r2[えいが]}映画{/r2}？
theaterTalk040_Cmn_A_01	アクション{r2[えいが]}映画{/r2}
theaterTalk040_Cmn_B_02	わくわく
theaterTalk040B_Cmn_A_00	すごい\n{r2[はくりょく]}迫力{/r2}だった！
theaterTalk040B_Cmn_B_01	かっこよかった！
theaterTalk040B_Cmn_B_03	あの{r2[しゅじんこう]}主人公{/r2}　なかまに\n{r2[はい]}入{/r2}ってくれないかな
theaterTalk050_Cmn_B_00	どんな{r2[えいが]}映画{/r2}？
theaterTalk050_Cmn_A_01	{r2[なが]}長{/r2}ーい{r2[えいが]}映画{/r2}
theaterTalk050_Cmn_B_02	{r2[なが]}長{/r2}いのかー
theaterTalk050_Cmn_A_03	{r2[お]}終{/r2}わったのう
theaterTalk050_Cmn_B_04	ホントに\n{r2[なが]}長{/r2}かったのう
theaterTalk050_Cmn_B_05	はっ
theaterTalk050_Cmn_B_06	{r2[ゆめ]}夢{/r2}か…
theaterTalk060_Cmn_B_00	どんな{r2[えいが]}映画{/r2}？
theaterTalk060_Cmn_A_01	ナゾの{r2[えいが]}映画{/r2}
theaterTalk060_Cmn_B_02	{[1201]}？
theaterTalk060B_Cmn_A_00	なるほど\nそういうことか
theaterTalk060B_Cmn_B_01	えっ\nどういうこと？
theaterTalk060B_Cmn_A_02	{r2[さいご]}最後{/r2}に　ナゾが\n{r2[と]}解{/r2}けたよね
theaterTalk060B_Cmn_B_03	そうだっけ？
theaterTalk070_Cmn_A_00	{r2[えいが]}映画{/r2}といえば！
theaterTalk070_Cmn_B_01	ポップコーン！
theaterTalk070_Cmn_B_02	いただきま－す
theaterTalk070_Cmn_A_03	そろそろ\nはじまるよ
theaterTalk070B_Cmn_A_00	いやー\nおもしろかったね
theaterTalk070B_Cmn_B_01	うん\nおいしかった！
theaterTalk080_Cmn_A_00	{[0e00|01cd0000]}{[0300|01cd]}\n{r2[ね]}寝{/r2}てる…
theaterTalk080_Cmn_A_01	{r2[えいが]}映画{/r2}\nはじまるよ
theaterTalk080_Cmn_B_02	んー
theaterTalk080_Cmn_A_03	いい{r2[はなし]}話{/r2}\nだったねー
theaterTalk080_Cmn_A_04	まだ{r2[ね]}寝{/r2}てる！
theaterTalk090_Cmn_A_00	ううっ
theaterTalk090_Cmn_B_01	{[0300|00cd]}\nどうしたの？
theaterTalk090_Cmn_A_02	{r2[かんどう]}感動{/r2}しちゃって
theaterTalk090_Cmn_B_03	そっか
theaterTalk090B_Cmn_A_00	ぶわーっ！
theaterTalk090B_Cmn_B_01	{[0e00|01cd0000]}まだ\n{r2[よこく]}予告{/r2}なんだけど…
beachTalk010_Cmn_A_00	えいっ
beachTalk010_Cmn_B_01	わっ
beachTalk010_Cmn_B_02	やったなー！
beachTalk010_Cmn_A_03	うぉーっ！
beachTalk020_Cmn_B_01	{[0e00|01cd0000]}なにしてるんだろ
beachTalk020_Cmn_A_05	じゅんび{r2[うんどう]}運動{/r2}\nおわり！
beachTalk020_Cmn_B_06	{[0e00|01cd0000]}じゅんび{r2[うんどう]}運動{/r2}\nだったんだ…
beachTalk020_Cmn_A_02	じゅんび{r2[うんどう]}運動{/r2}\nはじめ！
beachTalk030_Cmn_A_00	ビンが\n{r2[お]}落{/r2}ちてる
beachTalk030_Cmn_B_01	{r2[なか]}中{/r2}に　{r2[かみ]}紙{/r2}が\nはいってるよ
beachTalk030_Cmn_A_02	ボトルメールかな？
beachTalk030_Cmn_B_03	{r2[あ]}開{/r2}けてみてよ
beachTalk030_Cmn_A_04	お{r2[たから]}宝{/r2}の\n{r2[ちず]}地図{/r2}かも！
beachTalk030_Cmn_B_05	わくわく
beachTalk030_Cmn_A_06	{[0e01]}{[1201]}………
beachTalk030_Cmn_A_07	「ハズレ」\nだって…
beachTalk040_Cmn_A_01	{r2[うみ]}海{/r2}のあそび\nといえば？
beachTalk040_Cmn_A_02	{r2[すな]}砂{/r2}あそび！
beachTalk040_Cmn_B_02	ダイビング！
beachTalk040_Cmn_A_04	{r2[うみ]}海{/r2}の{r2[た]}食{/r2}べもの\nといえば？
beachTalk040_Cmn_A_05	かき{r2[ごおり]}氷{/r2}！
beachTalk040_Cmn_B_05	かき{r2[ごおり]}氷{/r2}！
beachTalk040_Cmn_A_06	{r2[た]}食{/r2}べたい！
beachTalk040_Cmn_B_07	{r2[た]}食{/r2}べよう！
beachTalk070_Cmn_A_00	ビンが\n{r2[お]}落{/r2}ちてる
beachTalk070_Cmn_B_01	{r2[なか]}中{/r2}に　なんか\n{r2[はい]}入{/r2}ってるよ
beachTalk070_Cmn_A_02	なんだろ？
beachTalk070_Cmn_B_03	{r2[あ]}開{/r2}けてみてよ
beachTalk070_Cmn_A_04	これは…
beachTalk080_Cmn_A_01	あはははー
beachTalk080_Cmn_A_02	つかまえてごらーん
beachTalk090_Cmn_A_00	{[0e00|01cd0000]}{[1900]}\nなにしてるんだろ？
beachTalk090_Cmn_A_01	{[0e00|01cd0000]}{r2[たの]}楽{/r2}しそう
beachTalk090_Cmn_A_02	{[0e01]}{[1201]}………
beachTalk090_Cmn_A_03	{[0302|00cd]}も\nやるー！
beachTalk090_Cmn_A_04	わーい
beachTalk090_Cmn_A_05	{[0e00|02cd0000]}{r2[せなか]}背中{/r2}\n{r2[あつ]}熱{/r2}ーっ！
beachTalk100_Cmn_A_01	ん？
beachTalk100_Cmn_A_02	ここに\nなにかあるの？
beachTalk100_Cmn_A_03	ありがとね
nightviewTalk010_Cmn_A_00	あっ\n{r2[なが]}流{/r2}れ{r2[ぼし]}星{/r2}！
nightviewTalk010_Cmn_B_01	{r2[なが]}流{/r2}れ{r2[ぼし]}星{/r2}に\n{r2[ねが]}願{/r2}いごとするとね
nightviewTalk010_Cmn_B_02	{r2[ねが]}願{/r2}いが\nかなうんだって
nightviewTalk010_Cmn_A_03	{[0300|01cd]}の\n{r2[ねが]}願{/r2}いごとって　なに？
nightviewTalk010_Cmn_B_04	{[0300|00cd]}と\nなかよくなりたい
nightviewTalk010_Cmn_B_05	{[0300|00cd]}の\n{r2[ねが]}願{/r2}いごとは？
nightviewTalk011_Cmn_A_06	{[0300|01cd]}と\nなかよくなりたい
nightviewTalk011_Cmn_A_07	{[0300|02cd]}と\nなかよくなりたい
nightviewTalk012_Cmn_B_08	そっかー
nightviewTalk020_Cmn_B_00	{r2[ぼうえんきょう]}望遠鏡{/r2}\nもってきたんだね
nightviewTalk020_Cmn_A_02	うん
nightviewTalk020_Cmn_B_03	{[0302|01cd]}にも\n{r2[み]}見{/r2}せて！
nightviewTalk020_Cmn_A_04	いいよ
nightviewTalk020_Cmn_B_05	わーっ\nまっくら
nightviewTalk020_Cmn_B_06	{r2[よる]}夜{/r2}の{r2[そら]}空{/r2}って\nくらいんだねー
nightviewTalk020_Cmn_A_07	あっ
nightviewTalk020_Cmn_A_08	{[0e00|01cd0000]}キャップ\nついてるー
nightviewTalk020_Cmn_A_09	ダメー
nightviewTalk020_Cmn_B_10	えーっ\nケチだなー
nightviewTalk020_Cmn_A_11	ウソウソ\nどうぞ
nightviewTalk020_Cmn_B_12	わーっ\nキレイ！
nightviewTalk030_Cmn_A_00	おーっ
nightviewTalk030_Cmn_B_01	{r2[はなび]}花火{/r2}\nキレイだねー
nightviewTalk030_Cmn_A_02	また\n{r2[あ]}上{/r2}がるよ
nightviewTalk030_Cmn_B_05	わわっ
nightviewTalk050_Cmn_A_00	わーっ
nightviewTalk050_Cmn_A_01	すごかったね
nightviewTalk050_Cmn_A_02	おーっ
nightviewTalk050_Cmn_A_03	キレイだねー
nightviewTalk060_Cmn_A_00	{r2[こんや]}今夜{/r2}は\nいいことあるよ
nightviewTalk060_Cmn_B_01	えっ\nなになに？
nightviewTalk060_Cmn_A_02	ちょっと\n{r2[ま]}待{/r2}ってね
nightviewTalk060_Cmn_B_03	なんだろー
nightviewTalk060_Cmn_A_04	そろそろかな
nightviewTalk060_Cmn_B_05	わー！
nightviewTalk060_Cmn_B_06	すごーい！
nightviewTalk070_Cmn_A_00	さむーい！
nightviewTalk070_Cmn_B_01	さむいねー
nightviewTalk070_Cmn_A_06	そうだ\nこんなときは…
nightviewTalk070_Cmn_A_07	ココアで\nホッとしよう
nightviewTalk070_Cmn_B_08	いいね！
nightviewTalk070_Cmn_A_09	あったまるー
nightviewTalk080_Cmn_A_00	{r2[よぞら]}夜空{/r2}\nキレイだねー
nightviewTalk080_Cmn_B_02	すいこまれそう
nightviewTalk080_Cmn_A_07	すいこまれてるー
nightviewTalk080_Cmn_A_08	ＵＦＯが　{r2[ひと]}人{/r2}を\nさらうんだって
nightviewTalk080_Cmn_B_09	あはは\nウソだー
nightviewTalk080_Cmn_A_10	さらわれてるよー
nightviewTalk090_Cmn_A_00	あっ\n{r2[なが]}流{/r2}れ{r2[ぼし]}星{/r2}！
nightviewTalk090_Cmn_A_01	{r2[なが]}流{/r2}れ{r2[ぼし]}星{/r2}に\n{r2[ねが]}願{/r2}い{r2[ごと]}事{/r2}するとね
nightviewTalk090_Cmn_A_02	{r2[ねが]}願{/r2}いが\nかなうんだって
nightviewTalk090_Cmn_A_03	{[1900]}の\n{r2[ねが]}願{/r2}い{r2[ごと]}事{/r2}って　なに？
nightviewTalk090_Cmn_A_04	かなうといいね
nightviewTalk090_Cmn_A_05	ニンジン　いっぱい\nたべたいです
nightviewTalk090_Cmn_A_06	はっ
nightviewTalk090_Cmn_A_07	{r2[ゆめ]}夢{/r2}か…
nightviewTalk100_Cmn_A_00	{r2[ほし]}星{/r2}が\nキレイだね
nightviewTalk100_Cmn_A_02	さむっ
nightviewTalk100_Cmn_A_03	あったかい
nightviewTalk100_Cmn_A_04	ありがとね\n{[1900]}
nightviewTalk100_Cmn_A_05	{[1900]}も\n{r2[さむ]}寒{/r2}いかー
ranchTalk020_Cmn_A_04	{[0300|00cd]}たちは　お{r2[ひるね]}昼寝{/r2}している
ranchTalk030_Cmn_A_00	ヒツジがいるー
ranchTalk030_Cmn_B_01	かわいいねー
ranchTalk030_Cmn_A_02	ヒツジの{r2[け]}毛{/r2}はね
ranchTalk030_Cmn_B_03	うん
ranchTalk030_Cmn_A_04	{r2[ふく]}服{/r2}や{r2[もうふ]}毛布{/r2}に\nなるんだよ
ranchTalk030_Cmn_B_05	そうなんだー
ranchTalk040_Cmn_A_00	ヒツジがいるー
ranchTalk040_Cmn_B_01	かわいいねー
ranchTalk040_Cmn_A_02	ヒツジといえば…
ranchTalk040_Cmn_B_03	うん
ranchTalk040_Cmn_A_04	{r2[くも]}雲{/r2}は　ヒツジの{r2[け]}毛{/r2}で\nできるんだよ
ranchTalk040_Cmn_A_05	{r2[ひつじぐも]}羊雲{/r2}は　ヒツジの{r2[け]}毛{/r2}で\nできてるんだよ
ranchTalk040_Cmn_B_05	えーっ\nホント！？
ranchTalk040_Cmn_A_06	ウソ
ranchTalk040_Cmn_A_07	ほら
ranchTalk060_Cmn_A_00	ヒツジがいるー
ranchTalk060_Cmn_B_01	かわいいねー
ranchTalk060_Cmn_A_04	メェー
ranchTalk060_Cmn_A_06	にてるでしょ？
ranchTalk060_Cmn_B_07	まだまだだね
ranchTalk060_Cmn_B_08	メェー！
ranchTalk060_Cmn_B_09	ヒヒーン！
ranchTalk060_Cmn_A_10	それは{r2[うま]}馬{/r2}
ranchTalk080_Cmn_A_00	おなか\nへったー
ranchTalk080_Cmn_B_01	おやつ\nたべよう
ranchTalk080_Cmn_A_02	{[1900]}！？
ranchTalk080_Cmn_B_03	おやつ…
ranchTalk080_Cmn_A_03	{r2[た]}食{/r2}べられちゃった！
ranchTalk080_Cmn_A_04	まだ　あるよ
ranchTalk090_Cmn_A_00	なみあしー
ranchTalk090_Cmn_A_01	はやあしー
ranchTalk090_Cmn_A_02	かけあしー
ranchTalk100_Cmn_A_00	おーい\n{[1900]}！
ranchTalk100_Cmn_A_01	{[1900]}は\n{r2[くさ]}草{/r2}を{r2[た]}食{/r2}べている
ranchTalk100_Cmn_A_02	そろそろ\n{r2[かえ]}帰{/r2}るよー！
ranchTalk100_Cmn_A_03	{[1900]}は\n{r2[くさ]}草{/r2}を{r2[た]}食{/r2}べるのに{r2[むちゅう]}夢中{/r2}だ
ranchTalk100_Cmn_A_04	しょうがないなー
ranchTalk100_Cmn_A_05	{r2[かえ]}帰{/r2}ろっか
fishingTalk010_Cmn_A_00	{r2[つ]}釣{/r2}れないなあ
fishingTalk010_Cmn_B_04	{r2[こころ]}心{/r2}を{r2[む]}無{/r2}にして\n{r2[つ]}釣{/r2}るのです
fishingTalk010_Cmn_A_05	{r2[む]}無{/r2}かー
fishingTalk010_Cmn_A_10	{r2[ね]}寝{/r2}てるー
fishingTalk020_Cmn_B_02	トイレ\n{r2[い]}行{/r2}ってくるね
fishingTalk020_Cmn_A_03	はーい
fishingTalk020_Cmn_A_05	わっ
fishingTalk020_Cmn_A_08	{[0300|01cd]}\nたすけてー！
fishingTalk020_Cmn_B_09	ムリー！
fishingTalk030_Cmn_A_00	{r2[きょう]}今日{/r2}は　なにが\n{r2[つ]}釣{/r2}れたかな？
fishingTalk030_Cmn_B_01	{r2[はっぴょう]}発表{/r2}します！
fishingTalk030_Cmn_B_02	フナが\n５{r2[ひき]}匹{/r2}！
fishingTalk030_Cmn_B_03	イワナが\n２{r2[ひき]}匹{/r2}！
fishingTalk030_Cmn_B_04	{r2[あ]}空{/r2}き{r2[かん]}缶{/r2}\n１０{r2[こ]}個{/r2}
fishingTalk030_Cmn_A_05	ポイ{r2[す]}捨{/r2}て\n{r2[きんし]}禁止{/r2}！
fishingTalk040_Cmn_A_00	{r2[つ]}釣{/r2}れないねー
fishingTalk040_Cmn_A_02	おっ！
fishingTalk040_Cmn_B_03	{r2[つ]}釣{/r2}れた？
fishingTalk040_Cmn_B_06	バナナかー
fishingTalk041_Cmn_A_04	{r2[つ]}釣{/r2}れたフリ
fishingTalk041_Cmn_A_05	ヤマメだー
fishingTalk041_Cmn_B_07	かわいい
fishingTalk041_Cmn_B_08	{r2[おおもの]}大物{/r2}だね！
fishingTalk050_Cmn_A_02	きたっ！
fishingTalk050_Cmn_A_03	これは\n{r2[おおもの]}大物{/r2}！
fishingTalk050_Cmn_B_06	がんばれー！
fishingTalk050_Cmn_A_04	ヤマメだー
fishingTalk050_Cmn_B_07	やったー！
fishingTalk060_Cmn_A_00	{r2[つ]}釣{/r2}れないねー
fishingTalk060_Cmn_B_01	そうだねー
fishingTalk060_Cmn_A_04	{r2[かえ]}帰{/r2}ろっか
fishingTalk060_Cmn_A_06	エサ\nついてないよ
fishingTalk060_Cmn_B_07	あっ！
fishingTalk070_Cmn_A_03	あっ！
fishingTalk070_Cmn_A_05	{r2[ひ]}引{/r2}っかかっちゃった
fishingTalk070_Cmn_A_08	しょうがないなー
fishingTalk070_Cmn_B_08	ラッキー！
fishingTalk080_Cmn_A_01	{r2[き]}来{/r2}たっ！
fishingTalk080_Cmn_A_02	なんで\nニンジンが…
fishingTalk080_Cmn_A_03	たべる？
fishingTalk080_Cmn_A_04	たべちゃった
fishingTalk090_Cmn_A_01	わっ
fishingTalk090_Cmn_A_02	{[0e00|02cd0000]}たすけてー！
fishingTalk090_Cmn_B_01	やったね
fishingTalk100_Cmn_A_01	{[0e00|01cd0000]}{[0e01]}{r2[つ]}釣{/r2}れないなー
fishingTalk100_Cmn_A_02	はっ
fishingTalk100_Cmn_A_03	{r2[ね]}寝{/r2}ちゃってた
fishingTalk100_Cmn_A_04	ありがとね
fishingTalk100_Cmn_A_05	{r2[つ]}釣{/r2}るよー！
karaokeTalk010_Cmn_A_00	{r2[うた]}歌{/r2}います！
karaokeTalk010_Cmn_A_01	{[1201]}ルンルン\nララ…
karaokeTalk010_Cmn_A_02	{[0300|01cd]}\nジャマしないで
karaokeTalk020_Cmn_B_02	{size[4b00]}ラララ～{size[6400]}
karaokeTalk020_Cmn_B_03	はずかしいよ
karaokeTalk020_Cmn_A_04	いっしょに\n{r2[うた]}歌{/r2}おうか
karaokeTalk020_Cmn_B_05	うん！
karaokeTalk020_Cmn_A_06	{[1201]}ラララ～\nル～ル～♪
karaokeTalk020_Cmn_B_06	{[1201]}ル～ル～\nラララ～♪
karaokeTalk030_Cmn_A_00	{[0300|01cd]}\n{r2[うた]}歌{/r2}　うまいねー
karaokeTalk030_Cmn_A_01	いつ\n{r2[れんしゅう]}練習{/r2}してるの？
karaokeTalk030_Cmn_B_01A	{r2[はし]}走{/r2}ってるときも！
karaokeTalk030_Cmn_B_01B	{r2[おこ]}怒{/r2}ってるときも！
karaokeTalk030_Cmn_B_01C	ダンス\nしてるときも！
karaokeTalk030_Cmn_B_02A	{r2[ね]}寝{/r2}てるときも！
karaokeTalk030_Cmn_B_02B	{r2[きん]}筋{/r2}トレ{r2[ちゅう]}中{/r2}も！
karaokeTalk030_Cmn_B_02C	{r2[たたか]}戦{/r2}ってるときも！
karaokeTalk030_Cmn_B_03	{r2[うた]}歌{/r2}い{r2[つづ]}続{/r2}ける！
karaokeTalk030_Cmn_A_04A	そうなんだー
karaokeTalk030_Cmn_A_04B	すごい！
karaokeTalk030_Cmn_A_04C	…{r2[たいへん]}大変{/r2}だね
karaokeTalk040_Cmn_A_00	{[1201]}{[0e00|02cd0000]}ガガガ～♪
karaokeTalk040_Cmn_B_01	{r2[おんち]}音痴{/r2}だなー
karaokeTalk040_Cmn_B_02	{[1201]}{[0e00|02cd0000]}ギギギ～♪
karaokeTalk040_Cmn_A_03	{[0300|01cd]}もねー
karaokeTalk040_Cmn_A_04	{[1201]}{[0e00|02cd0000]}ゲゲゲ～♪
karaokeTalk050_Cmn_B_00	もう　{r2[きょく]}曲{/r2}\n{r2[お]}終{/r2}わってるよ
karaokeTalk090_Cmn_B_00	{[0e00|01cd0000]}{[0300|00cd]}の\n{r2[うたごえ]}歌声{/r2}…
karaokeTalk090_Cmn_B_01	{[0e00|01cd0000]}ここち　いいな
museumTalk010_Cmn_A_00	あっ\nこの{r2[ぞう]}像{/r2}…
museumTalk010_Cmn_A_01	{[0300|02cd]}に\n{r2[に]}似{/r2}てない？
museumTalk010_Cmn_B_02	ホント\nそっくりだね
museumTalk010_Cmn_C_03	じゃーん\n{[0302|02cd]}でしたー
museumTalk020_Cmn_A_00	この{r2[びじゅつかん]}美術館{/r2}\n{r2[ひろ]}広{/r2}いねー
museumTalk020_Cmn_B_01	{r2[てんじぶつ]}展示物{/r2}\nいっぱいだ
museumTalk020_Cmn_A_02	ぜんぶ\n{r2[み]}見{/r2}てまわろう
museumTalk020_Cmn_B_03	うん！
museumTalk020_Cmn_B_06	ここで\n{r2[さいご]}最後{/r2}かな？
museumTalk020_Cmn_A_07	はー\nつかれたー
museumTalk020_Cmn_A_08	すばらしい\n{r2[さくひん]}作品{/r2}ばかり
museumTalk020_Cmn_B_09	{r2[げいじゅつ]}芸術{/r2}を\nたんのうした
museumTalk030_Cmn_A_00	この{r2[さくひん]}作品{/r2}はね
museumTalk030_Cmn_B_01	うん
museumTalk030_Cmn_A_02	１００{r2[ねん]}年{/r2}ほど{r2[まえ]}前{/r2}に\n{r2[えが]}描{/r2}かれたんだけど
museumTalk030_Cmn_A_03	{r2[とうじ]}当時{/r2}は　あまり\n{r2[ひょうか]}評価{/r2}されなかったんだ
museumTalk030_Cmn_A_04	でも\nその{r2[ご]}後{/r2}…
museumTalk030_Cmn_A_01	{[0300|00cd]}は　あつく{r2[かた]}語{/r2}る
museumTalk030_Cmn_B_03	…そうなんだ
museumTalk030_Cmn_B_04	くわしいね！
museumTalk050_Cmn_A_00	いやー\nいい{r2[え]}絵{/r2}だなー
museumTalk050_Cmn_B_01	そうかなー
museumTalk050_Cmn_A_02	わかる{r2[ひと]}人{/r2}には\nわかるんだよ
museumTalk050_Cmn_B_03	{[0300|00cd]}は\nわかるの？
museumTalk050_Cmn_A_04	もちろん！
museumTalk050_Cmn_B_05	ホントにー？
museumTalk060_Cmn_A_00	{r2[かんない]}館内{/r2}では\nお{r2[しず]}静{/r2}かに　だって
museumTalk060_Cmn_B_01	うん
museumTalk060_Cmn_A_02	{[0e01]}{[1201]}………
museumTalk060_Cmn_B_03	{[0e01]}{[1201]}………
museumTalk060_Cmn_A_04	ぷはー
museumTalk060_Cmn_B_06	{r2[いき]}息{/r2}とめなくても\nいいのに
shoppingTalk010_Cmn_A_00	なに\n{r2[か]}買{/r2}おっかなー
shoppingTalk010_Cmn_A_02	サイフ\nわすれた
shoppingTalk010_Cmn_B_03	しょうがないなー
shoppingTalk010_Cmn_B_04	{[0302|01cd]}が\n{r2[か]}買{/r2}ってあげるよ
shoppingTalk010_Cmn_A_05	じゃあ\n{r2[むし]}虫{/r2}めがね！
shoppingTalk010_Cmn_A_06	それと\n{r2[きん]}金{/r2}の{r2[ゆびわ]}指輪{/r2}とー
shoppingTalk010_Cmn_A_08	{r2[こうきゅうしゃ]}高級車{/r2}とー
shoppingTalk010_Cmn_B_09	ムチャいうなー！
shoppingTalk020_Cmn_A_00	このペンダント\nどうかな？
shoppingTalk020_Cmn_A_02	{[0300|01cd]}に\n{r2[にあ]}似合{/r2}いそう
shoppingTalk020_Cmn_B_02	えへへー
shoppingTalk020_Cmn_B_03	{[0300|00cd]}にも\n{r2[にあ]}似合{/r2}うと{r2[おも]}思{/r2}うなー
shoppingTalk020_Cmn_A_03	じゃあさ
shoppingTalk020_Cmn_A_04	おそろいにする？
shoppingTalk020_Cmn_B_05	するするー
shoppingTalk021_Cmn_B_05	それは\nちょっと
shoppingTalk030_Cmn_A_01	{[0300|01cd]}と\nはぐれちゃった
shoppingTalk030_Cmn_B_03	{[0300|00cd]}\nどこー？
shoppingTalk030_Cmn_A_05	{[0300|01cd]}！
shoppingTalk030_Cmn_B_06	{[0300|00cd]}！
shoppingTalk040_Cmn_B_02	くんくん
shoppingTalk040_Cmn_B_03	いいニオイ…
shoppingTalk040_Cmn_A_06	くんくん
shoppingTalk040_Cmn_A_07	おいしそうな\nニオイ…
shoppingTalk060_Cmn_A_00	すごい　{r2[ひと]}人{/r2}が\nならんでる
shoppingTalk060_Cmn_B_01	なんの\n{r2[ぎょうれつ]}行列{/r2}だろ？
shoppingTalk060_Cmn_A_02	{r2[み]}見{/r2}てくる！
shoppingTalk060_Cmn_B_04	どうだった？
shoppingTalk060_Cmn_A_05	ならんでる{r2[ひと]}人{/r2}に\n{r2[き]}聞{/r2}いたらね
shoppingTalk060_Cmn_A_06	その{r2[ひと]}人{/r2}も\nわかんないって
shoppingTalk061_Cmn_A_05	これ\n{r2[くば]}配{/r2}ってた
shoppingTalk070_Cmn_A_00	{r2[きょう]}今日{/r2}は　なんでも\n{r2[か]}買{/r2}ってあげるよ
shoppingTalk070_Cmn_A_01	{[1900]}\nなにが{r2[ほ]}欲{/r2}しい？
shoppingTalk070_Cmn_A_03	ニンジン\n{r2[す]}好{/r2}きだねー
shoppingTalk070_Cmn_B_01	あれっ\n{[1900]}？
shoppingTalk070_Cmn_B_02	リンゴも\nほしいの？
shoppingTalk080_Cmn_A_02	おなか\nへったね
shoppingTalk080_Cmn_B_04	なにか{r2[か]}買{/r2}って\n{r2[た]}食{/r2}べよう
shoppingTalk080_Cmn_A_05	{r2[きょう]}今日{/r2}は　{[0302|00cd]}が\nおごるよ
shoppingTalk080_Cmn_A_07	えっ　ぜんぶ\n{r2[う]}売{/r2}り{r2[き]}切{/r2}れ？
shoppingTalk081_Cmn_A_07	ホットドッグ\n２つ　ください
shoppingTalk090_Cmn_A_00	あれっ\n{[1900]}？
shoppingTalk090_Cmn_A_01	どこー？
shoppingTalk090_Cmn_A_02	そうだ！
shoppingTalk090_Cmn_A_03	{[0e00|02cd0000]}ニンジンだよー！
shoppingTalk090_Cmn_A_04	お{r2[さが]}探{/r2}しの\n{[1900]}です
shoppingTalk100_Cmn_A_00	なに\n{r2[か]}買{/r2}おうかな
shoppingTalk100_Cmn_A_01	{[1900]}は\nどれがいい？
shoppingTalk100_Cmn_A_02	やっぱり\nニンジンかー
shoppingTalk100_Cmn_A_03	ニンジンください
shoppingTalk100_Cmn_A_04	{r2[う]}売{/r2}り{r2[き]}切{/r2}れだって
parkTalk010_Cmn_A_00	{[0300|00cd]}…
parkTalk010_Cmn_B_01	うん？
parkTalk010_Cmn_A_01	えっと…
parkTalk010_Cmn_B_02	なになに？
parkTalk010_Cmn_A_02	{r2[はなげ]}鼻毛{/r2}でてるよ
parkTalk010_Cmn_A_03	デート\nたのしいね
parkTalk010_Cmn_A_04	おしり\n{r2[も]}燃{/r2}えてるよ
parkTalk020_Cmn_B_00	{[0302|01cd]}も\nボートこぎたい！
parkTalk020_Cmn_A_02	じゃあ　{r2[いっしょ]}一緒{/r2}に\nこごうか
parkTalk020_Cmn_A_03	せーの
parkTalk020_Cmn_A_05	あれ？
parkTalk020_Cmn_A_06	わーい！
parkTalk030_Cmn_A_00	{r2[あぶ]}危{/r2}ないよ
parkTalk030_Cmn_B_01	{r2[へいき]}平気{/r2}{r2[へいき]}平気{/r2}ー
parkTalk030_Cmn_A_02	だから\n{r2[い]}言{/r2}ったのに…
parkTalk060_Cmn_A_00	お{r2[ひる]}昼{/r2}ごはん\n{r2[た]}食{/r2}べよっか
parkTalk061_Cmn_B_02	あーっ！
parkTalk061_Cmn_A_03	はんぶんこ\nしよう
parkTalk070_Cmn_A_05	{[0300|00cd]}と\n{[0300|01cd]}…
parkTalk070_Cmn_C_06	{r2[たの]}楽{/r2}しそうだなー
parkTalk070_Cmn_B_07	デートかなー
parkTalk070_Cmn_C_08	うらやましいなー
parkTalk080_Cmn_A_00	{r2[かぜ]}風{/r2}が{r2[きも]}気持{/r2}ちいいね
parkTalk080_Cmn_A_01	あとで　{r2[すこ]}少{/r2}し\n{r2[はし]}走{/r2}ろっか
dateTicketGet_Solo_01	{[0300|00cd]}は\nデート{r2[けん]}券{/r2}を　{r2[かえ]}返{/r2}した
dateTicketGet_Solo_02	{[0300|00cd]}は\n{r2[かぜ]}風邪{/r2}で　デートできない
dateTicketGet_Solo_03	{r2[いま]}今{/r2}は　{[1900]}が　いない
DateMapTalk_Start_0	{r2[うみ]}海{/r2}に\n{r2[い]}行{/r2}こうか
DateMapTalk_Start_1	カフェで\nくつろごう
DateMapTalk_Start_2	レッツ\nフィッシング
DateMapTalk_Start_3	カラオケ\n{r2[い]}行{/r2}こう
DateMapTalk_Start_4	{r2[びじゅつかん]}美術館{/r2}に\n{r2[い]}行{/r2}ってみよう
DateMapTalk_Start_5	{r2[やけい]}夜景{/r2}を\n{r2[み]}見{/r2}に{r2[い]}行{/r2}こう
