album.msbt
armor.msbt
Fighter00	Squire Armor
Nose02	N\nSP\nthe/a\nthe/some
Bread00	N\nSP\nthe/a\nthe/some
Bread01	N\nSP\nthe/a\nthe/some
Bread02	N\nSP\nthe/a\nthe/some
Alien00	N\nSP\nthe/a\nthe/some
Alien01	N\nSP\nthe/a\nthe/some
Alien02	N\nSP\nthe/a\nthe/some
Mimit00	N\nSP\nthe/a\nthe/some
Mimit01	N\nSP\nthe/a\nthe/some
Mimit02	N\nSP\nthe/a\nthe/some
Mouse00	N\nSP\nthe/a\nthe/some
Mouse01	N\nSP\nthe/a\nthe/some
Mouse02	N\nSP\nthe/a\nthe/some
Satan00	N\nSP\nthe/a\nthe/some
Satan01	N\nSP\nthe/a\nthe/some
Satan02	N\nSP\nthe/a\nthe/some
Demon00	N\nSP\nthe/a\nthe/some
Demon01	N\nSP\nthe/a\nthe/some
Demon02	N\nSP\nthe/a\nthe/some
Serpent00	N\nSP\nthe/a\nthe/some
Serpent01	N\nSP\nthe/a\nthe/some
Serpent02	N\nSP\nthe/a\nthe/some
Soup00	N\nSP\nthe/a\nthe/some
Dog00	N\nSP\nthe/a\nthe/some
Dog01	N\nSP\nthe/a\nthe/some
Dog02	N\nSP\nthe/a\nthe/some
Puppet00	N\nSP\nthe/a\nthe/some
Puppet01	N\nSP\nthe/a\nthe/some
Puppet02	N\nSP\nthe/a\nthe/some
Burger00	N\nSP\nthe/a\nthe/some
Burger01	N\nSP\nthe/a\nthe/some
Burger02	N\nSP\nthe/a\nthe/some
DonerKebab00	N\nSP\nthe/a\nthe/some
Pizza00	N\nSP\nthe/a\nthe/some
Crepe00	N\nSP\nthe/a\nthe/some
FrozenFood00	N\nSP\nthe/a\nthe/some
Excite00	N\nSP\nthe/a\nthe/some
Excite01	N\nSP\nthe/a\nthe/some
Excite02	N\nSP\nthe/a\nthe/some
Harpy00	N\nSP\nthe/a\nthe/some
Harpy01	N\nSP\nthe/a\nthe/some
Harpy02	N\nSP\nthe/a\nthe/some
Dragon00	N\nSP\nthe/a\nthe/some
Dragon01	N\nSP\nthe/a\nthe/some
Dragon02	N\nSP\nthe/a\nthe/some
Mahimahi00	N\nSP\nthe/a\nthe/some
dish_desc.msbt
Slime00	A light flavor accompanies the \ngentle wiggle. Heaven on a spoon!
Slime01	There'll be no squabbling so long\nas this delicious jelly's wobbling!
Slime02	Melts in the mouth slowly and\nluxuriously. Mmm...
Golem00	Steak served on a heated golem\nhand! What a novel way to cook!
Golem01	Once fired up, golems don't cool\noff easily, so this steak stays HOT.
Golem02	Now THIS is a steak. Piping hot,\nand the choicest of cuts.
Goblin00	Just try to resist eating\nthis in massive bites.
Goblin01	Slowly aged to perfection. Best\nsavored in thick slices.
Goblin02	Succulent and moist, this is \nthe superlative goblin ham.
Butterfly00	Made from nectar gathered from\npink flowers by a discerning insect.
Butterfly01	Comes from purple flowers that\nonly grow on seaside cliffs.
Butterfly02	A rare, golden flower yields the\nnectar for this amazing honey.
Banshee00	Slightly sweet, slightly salty.\nA mysterious and flavorful drink.
Banshee01	A delicate aroma disguises the\npunch of magical power within.
Banshee02	So intensely full of magic, you \nmight wail like a banshee yourself.
Mushroom00	Delicious mushrooms for the\nfun guy (or girl) in your life!
Mushroom01	After a plateful, you won't\nhave mush room for more!
Mushroom02	The morel of this story is\nthe bigger, the better!
Gorilla00	For mucho muscles, you've gotta\ngo for gorilla protein.
Gorilla01	For aspirations of body and soul \nas strong and gentle as a gorilla.
Gorilla02	For muscle definition like you've\nnever even imagined possible!
Cake00	Who cares if it's nobody's \nbirthday? Cake's good any day.
Mole00	Can you see the yummy layers?\nIce cream's just the beginning!
Mole01	Layer after layer of goodness!\nWe're gonna need a bigger spoon.
Mole02	Silky chocolate, smooth ice\ncream, one irresistible parfait.
Cloud00	Light and fluffy as a cloud—a\ncloud that tastes like candy!
Cloud01	Don't you love the tingly feeling\non your tongue when it dissolves?
Cloud02	Soft and sweet as a dream.\nPillows should be filled with this.
Rock00	Hard as a rock, but apparently\nthat's part of the experience.
Rock01	Hard as a rock, but think of the\nworkout your jaws will get!
Rock02	Hard as a rock, so only the \nhardest teeth will win this fight.
EatPlant00	Fancy a cup of tea? Of course\nyou do. Sit down and drink up.
EatPlant01	Just the thing to calm you down\nafter a hard day's adventuring.
EatPlant02	A full-bodied brew for a moment\nof luxury to oneself. Aahh...
Devil00	In no way good for you. But it's \nso delicious, do you really care?
Devil01	Sweet, sticky, delicious. Make sure\nyou brush your teeth afterward!
Devil02	Can anyone resist this tempting\nslab of chocolatey cake?
Griffon00	Tender, gently roasted\ngriffin thigh meat.
Griffon01	Basted every 15 minutes for\ncrispy skin and juicy meat.
Griffon02	The essential centerpiece of any\ndinner party. Stuffing, anyone?
Mummy00	Mummy knows best with this\neasy-to-carry, chewy snack! Yum!
Mummy01	Just a bit spicy, and carefully \nwrapped up to keep hands clean.
Mummy02	For the hungriest of adventurers,\nthis jerky won't leave you wanting.
Scorpion00	Good nutritional benefits come in\nsmall, scorpion-shaped packages!
Scorpion01	Hard-core effects for \nhard-core foodies.
Scorpion02	Just look at it! Now eat up, and\nstrike your own fabulous pose!
Cobra00	This traditional desert food\nis fried to a perfect crispiness!
Cobra01	If it's meat, it's better fried. Dip\nit in mustard, and chow down.
Cobra02	Deep-fried and served with venom\ndipping sauce, this packs a punch!
Cactus00	Juice for the lazy juice fan.\nJust pop in a straw and sip!
Cactus01	Desert hydration done easy. \nYou can even eat the thorns!
Cactus02	Cactus juice is sweetest when the\nplant is in bloom, just like this.
Painting00	There's a face on this cookie. Do\nyou eat the eyes or nose first?
Painting01	Each color has its own unique\nflavor. How does the sky taste?
Painting02	Don't appreciate this masterpiece\nfor too long—it'll go stale!
Hieroglyph00	These hieroglyphs translate to\n"Wrote hieroglyphs on bread."
Hieroglyph01	These hieroglyphs translate to\n"Two slices are better than one!"
Hieroglyph02	These hieroglyphs translate to\n"Butter or syrup? Why not both?"
Penguin00	Swallow it headfirst, and it won't\nget stuck on the way down.
Penguin01	Fish from colder waters have lots\nof fat, so they're extra delicious.
Penguin02	Penguins hide these under \ntheir wings to save 'em for later.
Owl00	A small bowl of nuts stolen from\nthe cache of a very angry squirrel.
Owl01	Full of healthy fats and oils,\nnuts will keep you fuller longer!
Owl02	Mixed nuts. Sounds like my last\nfamily reunion. Right? Right?!
Wind00	A blend of lemon and fizzy\nsoda served in a tornado glass!
Wind01	Freshly squeezed lemonade\nis so refreshing after a long day.
Wind02	You know where the ice cream and\nsoda mix a bit? That's the best!
Snowman00	Cold seeped into your very bones?\nWarm up with some hot milk!
Snowman01	The companion to cold nights.\nDon't burn your tongue, now.
Snowman02	Full of warming spices, this'll give\na boost on the coldest of days.
Pharaoh00	Served in a ruby-and-gold bowl\nreserved for royal use.
Pharaoh01	For royalty, only the best will do.\nThis elite dish is no exception.
Pharaoh02	Carefully remove the tame \ncobra before enjoying the soup.
IceQueen00	For a blast of chilly, icy\nfreshness! Spine tingling!
IceQueen01	Have you ever had a mint so\nstrong it burned? You might now.
IceQueen02	A mint so icy, so full of arctic\nchill, that you'll be fresh all day.
Crystal00	Cool and crisp, this salad can \nbe found in many wintry lands.
Crystal01	Snow crystals cool and preserve\nthe sweet, crunchy salad beneath.
Crystal02	Careful now! Eat this chilly salad\ntoo quickly and your head'll hurt!
KingMeat00	Fresh from the spit, this choice\ncut is fit for the kingliest of kings.
Cheesecake00	Apparently it tastes even better\nstanding on its end. Give it a try!
Minotaur00	100% ethically sourced beef\nmakes for a sinfully good burger.
Minotaur01	Trust us, the fried egg lifts this\nburger to a new level of tasty.
Minotaur02	Imagine it. One mouthful of tender\ndelicious beefburger. Now eat it.
Fluff00	Hold your breath while eating,\nor they might just float away.
Fluff01	All fluffy and soft like the clouds\nin a gentle summer sky. Ahh...
Fluff02	They're so soft, you might not \nrealize you've eaten one at all.
Gremlin00	Popular among hobgoblins for its\nfat, sugar, and artificial contents.
Gremlin01	Where do you take your first bite?\nOn top? In the middle? The sides?
Gremlin02	A trio of the most popular\ndoughnuts. A great gift idea!
Snail00	Steamed in the shell for maximum\nflavor and served with butter.
Snail01	They're so pretty, it seems a \nshame to eat them!
Snail02	The beautiful shells offer a feast\nfor the eyes as well as the mouth.
Turkey00	Succulent turkey meat in a \nrich and flavorful spiced sauce.
Turkey01	Fluffy naan goes perfectly with\nthe tender chunks of turkey.
Turkey02	The highest quality ingredients and\nspices make a curry fit for a king!
Spider00	Just close your eyes and pretend\nit's crab instead of spider.
Spider01	Strangely, the aroma of fried\nspider is very tempting!
Spider02	Everyone's reluctant to eat spider,\nbut it's soon a family favorite!
Tomato00	Spaghetti. Tomato sauce. If it\nain't broke, don't fix it.
Tomato01	Rich tomato sauce and sprinkles\nof cheese enrobe tender spaghetti.
Tomato02	The secret of this sauce's depth\nis the sun-ripened tomatoes.
Frog00	Don't worry, no frogs were harmed\nin the making of this juice.
Frog01	Drink it too fast and you'll\nribbit instead of hiccup!
Frog02	The secret to an authentic frog\nsong is a bottle of this stuff.
Tadpole00	What do you mean, grown-ups eat\nthis stuff? It's for babies!
Tadpole01	Easy to eat, with a mild flavor\nand small veggie chunks too!
Tadpole02	Don't judge me—it's delicious and\ncomes with a cute bowl and spoon.
Skeleton00	Who doesn't like biscuits? Even\nbetter if it's in a cute shape.
Skeleton01	A biscuit's not a biscuit unless\nit has a good crunch like this one.
Skeleton02	The skull biscuit is extra special!\nLook, there's chocolate on it!
Bomb00	Be careful blowing bubbles with\nthis stuff. It's got extra pop.
Bomb01	What do you mean, you swallowed\nit? That can't be good for you.
Bomb02	How many bomble gums can\nyou fit in your mouth at once?
Cerberus00	Ever seen a three-headed hell dog\nfight itself for a hot dog? I have.
Cerberus01	Relish adds zing to the hot\ndog's deep, meaty flavor.
Cerberus02	Throw on some veggies to cover\nall food groups in one bite!
Armor00	The clue's in the name: this \nchilli is hot, hot, hot.
Armor01	So spicy you might singe your\nnose hair with a careless sniff.
Armor02	Hotter than a dragon's flame, \nonly for the bravest of souls! 
Sword00	A finely honed sword cuts the\nmost delicate sashimi morsels.
Sword01	Only a sword can cut sashimi so \nthin you can see through it.
Sword02	Tongue twister: super-sharp\nswords slice superior sashimi.
Shield00	Wash your shield, add seafood and\nwhite sauce, and bake until golden.
Shield01	You get extra dietary iron from\nusing your shield to cook!
Shield02	From cooking to protection, every\nhome should have a shield or two.
Nostrum00	A secret, magic recipe from the\nElven Retreat. Use in moderation!
IronBall00	The stew itself isn't spiky, but\nit doesn't hurt to chew carefully.
IronBall01	Between the heat and the spikes,\nit's best not to touch the bowl.
IronBall02	The taste is worth the risk of \npoking yourself.
Lizardman00	You'd think tail meat would be\nchewy, and you'd be right.
Lizardman01	Don't feel bad eating this. A\nlizard can regrow its tail easily.
Lizardman02	Served rare with a rich gravy.\nIt's no fairy tail—it's reality.
Monitor00	Everything's better with\npixelated edges. Even slime jelly.
Monitor01	Roast griffin—that special, 8-bit\ntaste from your childhood.
Monitor02	Don't settle for anything less\nthan an 8-bit golem steak.
Robot00	Not just for robots, but you'll\nhave to ignore the oily aftertaste.
Robot01	Glows a bit. Does that mean\nit's extra effective?
Robot02	Juice in a robotic cup, you say?\nThat'd be worth a try indeed!
Ufo00	In space they're solid, but Earth's\natmosphere makes them gummy.
Ufo01	Gummy squid? Gummy alien?\nWhat's this supposed to be?
Ufo02	Apparently his little gummy badge\nsays "captain" in an alien language.
Medusa00	Are they rocks or candy? Mind\nyour teeth as you find out.
Medusa01	Often sold as a joke gift since\nthey look like little pebbles.
Medusa02	These beautiful candies sparkle\nlike jewels. Still edible, though!
Hammer00	Whack even the toughest meat \nwith a hammer, and it'll be tender.
Hammer01	Why don't you try a bite? Fresh\nherbs really elevate the flavor.
Hammer02	A prize-winning meat tartare, \nwith crispy, organic potatoes. 
Nose00	Tea leaves, cup, and saucer are\nall carefully hand selected.
Nose01	Take a deep breath, and relax \nin the rich aroma of this tea.
Nose02	Highly prized tea leaves carefully\nbrewed for an intense experience.
Bread00	Bacon, lettuce, tomato, and cheese\nbetween gloriously fluffy bread.
Bread01	Whole-grain bread for the \nhealth-conscious individual!
Bread02	A unhinged jaw would be a huge\nhelp in taking a bite out of this.
Alien00	Designed to be easy to eat in\nzero gravity. Banana flavored!
Alien01	This food took longer to develop\nthan the newest spaceship, I hear.
Alien02	This will go down in history for \nmaking space nutrition bearable.
Mimit00	Fresh from the earth, and very\ncrunchy. Chomp chomp.
Mimit01	Snurps go wild for this dish of\nradishes, lettuce, and cucumber.
Mimit02	Vibrant, fresh veggies piled high\nfor a truly top-notch salad.
Mouse00	A rare, pink, and slightly sweet\ncheese favored by mice.
Mouse01	The holes always seem like a waste\nof perfectly good cheese to me.
Mouse02	It's a mouse tail on top, not a\ncherry. I think I'd prefer a cherry.
Satan00	The Dark Lord's favorite food.\nCan you bear the intense flavor?
Satan01	The ultimate deliciousness here\nhas been stepped up a notch.
Satan02	Unable to see anything but the\ntranscendent glow of perfection!
Demon00	It's a devil to build muscles, but\nit needn't be with this protein!
Demon01	You want muscles on your \nmuscles? This'll do the trick.
Demon02	No need to make a deal with the\ndevil for results with this protein.
Serpent00	Fluffy white meat sautéed in \na lemon-and-butter sauce.
Serpent01	Enjoy the crispy outside and\nsoft inside while it's piping hot.
Serpent02	Summer veggies are a perfect \ncomplement to a meunière.
Soup00	This Powdered Peaks specialty\nwill keep you toasty all winter.
Dog00	Delicious doggy doughnuts can\nbe delicious for humans too.
Dog01	As soft and fluffy as a \nfloppy little puppy ear.
Dog02	Warm and gentle, just like a\ndog. Smells a lot better, though.
Puppet00	One heck of a spicy kick. Gets you\ngoing first thing in the morning.
Puppet01	So spicy you'll cry. But after the\ntears comes a feeling of release.
Puppet02	The spiciest thing in all Miitopia.\nOnly for the bravest challengers.
Burger00	A fast-food favorite. Grab it\nwith both hands, and dig in.
Burger01	Juicy beef patty in a fluffy bun.\nOpen wide, and take a big bite!
Burger02	A burger so big it's obscene,\nwith melted cheese to boot.
DonerKebab00	Desert delicacy of savory meat \nwrapped in warm, soft bread.
Pizza00	A crispy slice of pizza baked \nin a geothermal brick oven.
Crepe00	Full of fruit from Peculia. You may\nfeel a bit peculiar after a nibble...
FrozenFood00	You've got to hand it to science.\nThree minutes for a meal isn't bad!
Excite00	Great for a nibble, or for when\nyou've lost your guitar pick.
Excite01	Jalapeño peppers and cheese \nadd a lot to these nachos.
Excite02	Nachos loaded with salsa, cheese,\njalapeños, and guacamole! All right!
Harpy00	Only the freshest eggs go into \nthis light-as-a-feather omelette.
Harpy01	Gently flavored and cooked to\na perfectly melty texture.
Harpy02	Smooth and delicate, this is quality\nyou'd expect of a top hotel.
Dragon00	A sweet, sun-ripened fruit \nfavored by dragons.
Dragon01	Succulent fruit is protected by a\nskin as hard as a dragon's scales.
Dragon02	It kind of looks like it's about to\nfly off on its own little wings!
Mahimahi00	Served whole and grilled to tender,\nflaky perfection. Fun to say, too!
dish_name.msbt
Slime00	Slime Jelly
Slime01	Slime Jelly ★
Slime02	Slime Jelly ★★
Golem00	Golem Steak
Golem01	Golem Steak ★
Golem02	Golem Steak ★★
Goblin00	Goblin Ham
Goblin01	Goblin Ham ★
Goblin02	Goblin Ham ★★
Butterfly00	Butterfly Honey
Butterfly01	Butterfly Honey ★
Butterfly02	Butterfly Honey ★★
Banshee00	Banshee Tears
Banshee01	Banshee Tears ★
Banshee02	Banshee Tears ★★
Mushroom00	Mushroom Sauté
Mushroom01	Mushroom Sauté ★
Mushroom02	Mushroom Sauté ★★
Gorilla00	Gorilla Protein
Gorilla01	Gorilla Protein ★
Gorilla02	Gorilla Protein ★★
Cake00	Cake
Mole00	Strata Sundae
Mole01	Strata Sundae ★
Mole02	Strata Sundae ★★
Cloud00	Cotton Candy
Cloud01	Cotton Candy ★
Cloud02	Cotton Candy ★★
Rock00	Choc Rock
Rock01	Choc Rock ★
Rock02	Choc Rock ★★
EatPlant00	Bitingly Bitter Tea
EatPlant01	Bitingly Bitter Tea ★
EatPlant02	Bitingly Bitter Tea ★★
Devil00	Devil's Food Cake
Devil01	Devil's Food Cake ★
Devil02	Devil's Food Cake ★★
Griffon00	Roast Griffin
Griffon01	Roast Griffin ★
Griffon02	Roast Griffin ★★
Mummy00	Mummy Jerky
Mummy01	Mummy Jerky ★
Mummy02	Mummy Jerky ★★
Scorpion00	BBQ Scorpion
Scorpion01	BBQ Scorpion ★
Scorpion02	BBQ Scorpion ★★
Cobra00	Fried Cobra
Cobra01	Fried Cobra ★
Cobra02	Fried Cobra ★★
Cactus00	Cactus Juice
Cactus01	Cactus Juice ★
Cactus02	Cactus Juice ★★
Painting00	Art Cookie
Painting01	Art Cookie ★
Painting02	Art Cookie ★★
Hieroglyph00	Hieroglyph Toast
Hieroglyph01	Hieroglyph Toast ★
Hieroglyph02	Hieroglyph Toast ★★
Penguin00	Penguin Treat
Penguin01	Penguin Treat ★
Penguin02	Penguin Treat ★★
Owl00	Forest Nuts
Owl01	Forest Nuts ★
Owl02	Forest Nuts ★★
Wind00	Tornado Lemonade
Wind01	Tornado Lemonade ★
Wind02	Tornado Lemonade ★★
Snowman00	Snowmilk
Snowman01	Snowmilk ★
Snowman02	Snowmilk ★★
Pharaoh00	Dynastic Soup
Pharaoh01	Dynastic Soup ★
Pharaoh02	Dynastic Soup ★★
IceQueen00	Icy Mints
IceQueen01	Icy Mints ★
IceQueen02	Icy Mints ★★
Crystal00	Iceberg Salad
Crystal01	Iceberg Salad ★
Crystal02	Iceberg Salad ★★
KingMeat00	Royal Roast
Cheesecake00	Cheesecake
Minotaur00	Beefburger
Minotaur01	Beefburger ★
Minotaur02	Beefburger ★★
Fluff00	Fluffy Marshmallows
Fluff01	Fluffy Marshmallows ★
Fluff02	Fluffy Marshmallows ★★
Gremlin00	Hobgob Doughnuts
Gremlin01	Hobgob Doughnuts ★
Gremlin02	Hobgob Doughnuts ★★
Snail00	Steamed Snails
Snail01	Steamed Snails ★
Snail02	Steamed Snails ★★
Turkey00	Turkey Curry
Turkey01	Turkey Curry ★
Turkey02	Turkey Curry ★★
Spider00	Spider Roll
Spider01	Spider Roll ★
Spider02	Spider Roll ★★
Tomato00	Tomato Spaghetti
Tomato01	Tomato Spaghetti ★
Tomato02	Tomato Spaghetti ★★
Frog00	Frog Juice
Frog01	Frog Juice ★
Frog02	Frog Juice ★★
Tadpole00	Baby Food
Tadpole01	Baby Food ★
Tadpole02	Baby Food ★★
Skeleton00	Bone Biscuit
Skeleton01	Bone Biscuit ★
Skeleton02	Bone Biscuit ★★
Bomb00	Bomble Gum
Bomb01	Bomble Gum ★
Bomb02	Bomble Gum ★★
Cerberus00	Hell Dog
Cerberus01	Hell Dog ★
Cerberus02	Hell Dog ★★
Armor00	Flaming Chilli Soup
Armor01	Flaming Chilli Soup ★
Armor02	Flaming Chilli Soup ★★
Sword00	Sword Sashimi
Sword01	Sword Sashimi ★
Sword02	Sword Sashimi ★★
Shield00	Shield Gratin
Shield01	Shield Gratin ★
Shield02	Shield Gratin ★★
Nostrum00	Elven Potion
IronBall00	Sharp Stew
IronBall01	Sharp Stew ★
IronBall02	Sharp Stew ★★
Lizardman00	Roast Lizard Tail
Lizardman01	Roast Lizard Tail ★
Lizardman02	Roast Lizard Tail ★★
Monitor00	Pixel Grub
Monitor01	Pixel Grub ★
Monitor02	Pixel Grub ★★
Robot00	Robojuice
Robot01	Robojuice ★
Robot02	Robojuice ★★
Ufo00	Alien Gummy Candy
Ufo01	Alien Gummy Candy ★
Ufo02	Alien Gummy Candy ★★
Medusa00	Rock Candy
Medusa01	Rock Candy ★
Medusa02	Rock Candy ★★
Hammer00	Tenderized Tartare
Hammer01	Tenderized Tartare ★
Hammer02	Tenderized Tartare ★★
Nose00	Fragrant Tea
Nose01	Fragrant Tea ★
Nose02	Fragrant Tea ★★
Bread00	Sandwich
Bread01	Sandwich ★
Bread02	Sandwich ★★
Alien00	Space Food
Alien01	Space Food ★
Alien02	Space Food ★★
Mimit00	Snurp Radish
Mimit01	Snurp Radish ★
Mimit02	Snurp Radish ★★
Mouse00	Mouse Treat
Mouse01	Mouse Treat ★
Mouse02	Mouse Treat ★★
Satan00	Ultimate Delicacy
Satan01	Ultimate Delicacy ★
Satan02	Ultimate Delicacy ★★
Demon00	Devil Protein
Demon01	Devil Protein ★
Demon02	Devil Protein ★★
Serpent00	Snake Meunière
Serpent01	Snake Meunière ★
Serpent02	Snake Meunière ★★
Soup00	Warming Soup
Dog00	Doggy Doughnut
Dog01	Doggy Doughnut ★
Dog02	Doggy Doughnut ★★
Puppet00	Puppet Pepper
Puppet01	Puppet Pepper ★
Puppet02	Puppet Pepper ★★
Burger00	Hamburger
Burger01	Hamburger ★
Burger02	Hamburger ★★
DonerKebab00	Doner Kebab
Pizza00	Geothermal Pizza
Crepe00	Mysterious Crepe
FrozenFood00	Frozen Ready Meal
Excite00	Guitar Pick Nachos
Excite01	Guitar Pick Nachos ★
Excite02	Guitar Pick Nachos ★★
Harpy00	Fluffy Omelette
Harpy01	Fluffy Omelette ★
Harpy02	Fluffy Omelette ★★
Dragon00	Dragon Fruit
Dragon01	Dragon Fruit ★
Dragon02	Dragon Fruit ★★
Mahimahi00	Grilled Mahimahi
dish_P.msbt
Slime00	Slime Jelly
Slime01	Slime Jelly ★
Slime02	Slime Jelly ★★
Golem00	Golem Steaks
Golem01	Golem Steaks ★
Golem02	Golem Steaks ★★
Goblin00	Goblin Ham
Goblin01	Goblin Ham ★
Goblin02	Goblin Ham ★★
Butterfly00	Butterfly Honey
Butterfly01	Butterfly Honey ★
Butterfly02	Butterfly Honey ★★
Banshee00	Banshee Tears
Banshee01	Banshee Tears ★
Banshee02	Banshee Tears ★★
Mushroom00	Mushroom Sauté
Mushroom01	Mushroom Sauté ★
Mushroom02	Mushroom Sauté ★★
Gorilla00	Gorilla Protein
Gorilla01	Gorilla Protein ★
Gorilla02	Gorilla Protein ★★
Cake00	Cake
Mole00	Strata Sundaes
Mole01	Strata Sundaes ★
Mole02	Strata Sundaes ★★
Cloud00	Cotton Candy
Cloud01	Cotton Candy ★
Cloud02	Cotton Candy ★★
Rock00	Choc Rocks
Rock01	Choc Rocks ★
Rock02	Choc Rocks ★★
EatPlant00	Bitingly Bitter Tea
EatPlant01	Bitingly Bitter Tea ★
EatPlant02	Bitingly Bitter Tea ★★
Devil00	Devil's Food Cake
Devil01	Devil's Food Cake ★
Devil02	Devil's Food Cake ★★
Griffon00	Roast Griffin
Griffon01	Roast Griffin ★
Griffon02	Roast Griffin ★★
Mummy00	Mummy Jerky
Mummy01	Mummy Jerky ★
Mummy02	Mummy Jerky ★★
Scorpion00	BBQ Scorpion
Scorpion01	BBQ Scorpion ★
Scorpion02	BBQ Scorpion ★★
Cobra00	Fried Cobra
Cobra01	Fried Cobra ★
Cobra02	Fried Cobra ★★
Cactus00	Cactus Juice
Cactus01	Cactus Juice ★
Cactus02	Cactus Juice ★★
Painting00	Art Cookies
Painting01	Art Cookies ★
Painting02	Art Cookies ★★
Hieroglyph00	Hieroglyph Toast
Hieroglyph01	Hieroglyph Toast ★
Hieroglyph02	Hieroglyph Toast ★★
Penguin00	Penguin Treats
Penguin01	Penguin Treats ★
Penguin02	Penguin Treats ★★
Owl00	Forest Nuts
Owl01	Forest Nuts ★
Owl02	Forest Nuts ★★
Wind00	Tornado Lemonade
Wind01	Tornado Lemonade ★
Wind02	Tornado Lemonade ★★
Snowman00	Snowmilk
Snowman01	Snowmilk ★
Snowman02	Snowmilk ★★
Pharaoh00	Dynastic Soup
Pharaoh01	Dynastic Soup ★
Pharaoh02	Dynastic Soup ★★
IceQueen00	Icy Mints
IceQueen01	Icy Mints ★
IceQueen02	Icy Mints ★★
Crystal00	Iceberg Salad
Crystal01	Iceberg Salad ★
Crystal02	Iceberg Salad ★★
KingMeat00	Royal Roasts
Cheesecake00	Cheesecake
Minotaur00	Beefburgers
Minotaur01	Beefburgers ★
Minotaur02	Beefburgers ★★
Fluff00	Fluffy Marshmallows
Fluff01	Fluffy Marshmallows ★
Fluff02	Fluffy Marshmallows ★★
Gremlin00	Hobgob Doughnuts
Gremlin01	Hobgob Doughnuts ★
Gremlin02	Hobgob Doughnuts ★★
Snail00	Steamed Snails
Snail01	Steamed Snails ★
Snail02	Steamed Snails ★★
Turkey00	Turkey Curry
Turkey01	Turkey Curry ★
Turkey02	Turkey Curry ★★
Spider00	Spider Rolls
Spider01	Spider Rolls ★
Spider02	Spider Rolls ★★
Tomato00	Tomato Spaghetti
Tomato01	Tomato Spaghetti ★
Tomato02	Tomato Spaghetti ★★
Frog00	Frog Juice
Frog01	Frog Juice ★
Frog02	Frog Juice ★★
Tadpole00	Baby Food
Tadpole01	Baby Food ★
Tadpole02	Baby Food ★★
Skeleton00	Bone Biscuits
Skeleton01	Bone Biscuits ★
Skeleton02	Bone Biscuits ★★
Bomb00	Bomble Gum
Bomb01	Bomble Gum ★
Bomb02	Bomble Gum ★★
Cerberus00	Hell Dogs
Cerberus01	Hell Dogs ★
Cerberus02	Hell Dogs ★★
Armor00	Flaming Chilli Soup
Armor01	Flaming Chilli Soup ★
Armor02	Flaming Chilli Soup ★★
Sword00	Sword Sashimi
Sword01	Sword Sashimi ★
Sword02	Sword Sashimi ★★
Shield00	Shield Gratin
Shield01	Shield Gratin ★
Shield02	Shield Gratin ★★
Nostrum00	Elven Potions
IronBall00	Sharp Stew
IronBall01	Sharp Stew ★
IronBall02	Sharp Stew ★★
Lizardman00	Roast Lizard Tails
Lizardman01	Roast Lizard Tails ★
Lizardman02	Roast Lizard Tails ★★
Monitor00	Pixel Grub
Monitor01	Pixel Grub ★
Monitor02	Pixel Grub ★★
Robot00	Robojuice
Robot01	Robojuice ★
Robot02	Robojuice ★★
Ufo00	Alien Gummy Candy
Ufo01	Alien Gummy Candy ★
Ufo02	Alien Gummy Candy ★★
Medusa00	Rock Candy
Medusa01	Rock Candy ★
Medusa02	Rock Candy ★★
Hammer00	Tenderized Tartare
Hammer01	Tenderized Tartare ★
Hammer02	Tenderized Tartare ★★
Nose00	Fragrant Tea
Nose01	Fragrant Tea ★
Nose02	Fragrant Tea ★★
Bread00	Sandwiches
Bread01	Sandwiches ★
Bread02	Sandwiches ★★
Alien00	Space Food
Alien01	Space Food ★
Alien02	Space Food ★★
Mimit00	Snurp Radishes
Mimit01	Snurp Radishes ★
Mimit02	Snurp Radishes ★★
Mouse00	Mouse Treats
Mouse01	Mouse Treats ★
Mouse02	Mouse Treats ★★
Satan00	Ultimate Delicacies
Satan01	Ultimate Delicacies ★
Satan02	Ultimate Delicacies ★★
Demon00	Devil Protein
Demon01	Devil Protein ★
Demon02	Devil Protein ★★
Serpent00	Snake Meunière
Serpent01	Snake Meunière ★
Serpent02	Snake Meunière ★★
Soup00	Warming Soup
Dog00	Doggy Doughnuts
Dog01	Doggy Doughnuts ★
Dog02	Doggy Doughnuts ★★
Puppet00	Puppet Pepper
Puppet01	Puppet Pepper ★
Puppet02	Puppet Pepper ★★
Burger00	Hamburgers
Burger01	Hamburgers ★
Burger02	Hamburgers ★★
DonerKebab00	Doner Kebabs
Pizza00	Geothermal Pizza
Crepe00	Mysterious Crepes
FrozenFood00	Frozen Ready Meals
Excite00	Guitar Pick Nachos
Excite01	Guitar Pick Nachos ★
Excite02	Guitar Pick Nachos ★★
Harpy00	Fluffy Omelettes
Harpy01	Fluffy Omelettes ★
Harpy02	Fluffy Omelettes ★★
Dragon00	Dragon Fruit
Dragon01	Dragon Fruit ★
Dragon02	Dragon Fruit ★★
Mahimahi00	Grilled Mahimahi
enemy.msbt
Burger0	Hamburger
Burger1	Hamburger Surprise
Burger2	Extra Spicy Burger
Slime0	Mini {[0401]} Slime
Slime1	Apple Jelly
Slime2	Peach Jelly
Slime3	Licorice Jelly
