Enemy.msbt
enemy_name_MARIO	马力欧
SL_ICE_FLOWER_M0	投出和敌人数量相同的冰球。\n空中的话，只能击中在低空的敌人。
SL_ICE_FLOWER_K_M0	把冰球投向所有的敌人。\n变成闪闪的，因此攻击力也提高了。
SL_ICE_FLOWER_KK_M0	发射闪耀的，强力的冰球。\n要是发射得顺利，威力会再提高一些。
SL_POW_BLOCK_M0	把地面的敌人弄得皱巴巴的。\n有２次机会，抓住时机好好敲吧。
SL_POW_BLOCK_K_M0	越是敲得好，越能高概率地使地面的\n敌人皱巴巴的，伤害程度也会提高。
SL_POW_BLOCK_KK_M0	通过敲击２次把敌人弄得皱巴巴的。\n因为是闪耀的，所以攻击力也会提高。
SL_NOKONOKO_KOURA_M0	踢龟壳把敌人踢飞掉。\n踢的时机恰当，威力会提高。
SL_NOKONOKO_KOURA_K_M0	被踢的龟壳会把其他的龟壳击飞。\n踩下喏库喏库一口气把敌人踢飞掉吧。
SL_NOKONOKO_KOURA_KK_M0	闪耀的龟壳会给敌人带来很大的伤害，\n若时机恰当，伤害会提高到２倍左右。
SL_KINOKO_M0	回复体力的重要的贴纸。只能在\n战斗中使用。想一直随身携带。
SL_KINOKO_K_M0	比起一般的蘑菇回复的量会有所提高。\n抓住马力欧高举双手的时机使用吧。
SL_KINOKO_KK_M0	闪耀的蘑菇，回复量也大幅提高。\n时机恰当会进一步得到回复的奖励。
SL_DEKA_1UP_KINOKO_M0	是个大的蘑菇，对身体很有帮助。\n在１０个回合当中会渐渐地回复。
SL_DEKA_1UP_KINOKO_K_M0	在１０个回合中一直闪耀回复。抓住\n双手高举的时机，回复量会更加提高。
SL_POISON_KINOKO_M0	马力欧竟然中毒了！但是在那种\n状态下碰敌人的话，就会……
SL_LEAF_M0	贴着叶子的期间，攻击会自动变成\n“好极了”，而且防御也会成功。
SL_LEAF_K_M0	效果和普通叶子贴纸完全一样。是个\n闪耀的，因此能在商店里卖个高价。
SL_DOOR_M0	打开秘密场所的门。\n也能从战斗中逃脱。
SL_SNOW_BALL_M0	用雪球加邦吐出的雪球，\n向地上的所有敌人发起强力的攻击。
SL_GABON_BALL_M0	是加邦从嘴里吐出的铁球。如果抓住\n投出的时机，还能在伤害上获得奖励。
SL_BARREL_M0	砸砖拳手扔出的木桶。虽然攻击只能对\n１个敌人，但即使在空中也能击中。
SL_SPANNER_M0	扳手仔投出的扳手。不仅仅是修理\n工具，还是比较强的投掷武器。
SL_BONE_M0	枯骨怪投出的骨头。因为很轻所以伤害\n程度也就那样。会是自己的骨头吗？
SL_BOOMERANG_M0	飞旋镖兄弟最爱的全体攻击武器。去时\n攻击地上敌人，归时攻击空中敌人。
SL_BOMB_M0	炸弹兵的炸弹。如果投得好，\n还可以给周围的敌人带来伤害。
SL_SOMBRERO_M0	听说墨西哥帽嘿虎投帽子\n是打算回馈粉丝的。
SL_THROW_KNIFE_M0	哈库最擅长的投掷武器。如果投出的\n时机恰当，伤害程度就会翻倍。
MUSEUM_SL_JAPANESE_SCISSORS	没有伸进手指的孔，因此要整个握住\n使用。也正因为这样，猜拳时不像\n一般的剪刀一样出剪刀，而是出石头。
MUSEUM_SL_HAIRCUT_SCISSORS	《理发之湖》　第４幕　\n由于恶魔的诅咒变成剪刀的公主，\n月夜在湖畔哀叹自己悲伤的命运，\n梦想着来世能与王子在一起。
MUSEUM_SL_SCISSORS	燕尾剪、理发剪和裁缝剪各擅长\n剪线、头发和布，但是单纯的剪刀\n是没有特殊技能的。只能尽力剪碎\n出现在眼前的纸。
MUSEUM_SL_CLOTH_SCISSORS	能拔出被刺在石头上的裁缝剪的，\n是能最大限度发挥裁缝剪的力量，\n并且能将它运用自如的人。\n也就是说，是个洋裁缝师傅。
MUSEUM_SL_BELLOWS	做了一个实验，把这个像鞋一样穿在\n两只脚上，用力踏步，排出空气，\n利用那个力量在空中行走，\n但最终还是失败了。
MUSEUM_SL_PAPER_FAN	拿着棒状的部分，上下或者左右移动\n而产生风的工具。虽说是为了凉快才\n去扇风的，但是太过于使劲反而会\n变热，所以效率不怎么高。
MUSEUM_SL_FAN	通过３枚叶片的高速旋转，\n使说话声音产生颤音的机器。\n但是伴随着运作，会产生大量的风，\n因此需要小心使用。
MUSEUM_SL_HANDY_CLEANER	轻巧到可以单手拿的东西，\n真不愧是吸尘器，食欲很旺盛。\n正因为这样才叫吸尘器小朋友吧。
MUSEUM_SL_UPLIGHT_CLEANER	中型的吸尘器。\n轻盈妖娆的步伐，优美的姿态，\n正因为这样才叫吸尘器妹妹吧。
MUSEUM_SL_CLEANER	强大的吸力，什么都能完整地吸进去，\n食量很大的壮汉。作为吸尘器的\n顶梁柱，从日常的打扫到年底大扫除，\n总是很用心地投入。
MUSEUM_SL_WATERING_CAN	从被打开的无数孔中喷出来的\n甘露般的淋水，使种子发芽，\n根部生长，叶子散开，花朵绽放，\n再制造种子，给纸带来伤害。
MUSEUM_SL_TAP	调节水流量的器具。\n巨大到足以灌溉绿洲，\n因此打开此开关需要\n有旋转跳那样强的力量。
MUSEUM_SL_KETTLE	煮好了也不会哔——哔——地喧哗，\n只是静静地从嘴里吐出热气，\n头部稍微咔哒地响一下，然后就默默地\n等待。老古董水壶是那样子的。
MUSEUM_SL_TRUMPET	开关３个阀门的同时送出空气\n产生激烈的音波，是叫人起床的闹钟，\n连栗子小子也会用。\n但是如何操作阀门还是个谜。
MUSEUM_SL_VIOLIN	将４把小提琴分别用弓压住弦之后，\n断断续续地向前后滑动，就会拉出\n很难听的四重奏，给与观众大大的\n失望感和精神上的伤害。
MUSEUM_SL_GUITAR	此演奏使用了推弦、颤音、点弦、\n回授、摇把颤音、勾弦、捶弦等技巧。
MUSEUM_SL_NEWSPAPER_BAT	有不好的新闻时就骨碌骨碌地卷起来，\n瞄准具有冲击性的瞬间来个全力挥杆。\n猛地击飞，好极了！\n但愿明天有个好新闻。
MUSEUM_SL_PLASTIC_BAT	虽说是塑料的玩具，但只要\n站在击球区，总是很认真地\n迎接比赛。打出击中心里的\n计分屏那样华丽的“好极了”！
MUSEUM_SL_BAT	集中精神，在球棒碰到的瞬间，\n抓住时机狠狠地挥下去，\n清脆的金属音回荡在整个球场，\n做到啦！一局定胜负满垒好极了！
MUSEUM_SL_ITTOKAN	仰望着天空向前走吧。那样\n即使突然从空中掉下个一斗罐\n也能马上察觉并躲避。
MUSEUM_SL_TUB	这个世道，不知道什么时候\n会从空中掉下铁盆。现代社会\n总是伴随着铁盆的危险。
MUSEUM_SL_DRUMKAN	一想到从空中掉下油桶的事情，\n就怕得晚上都睡不着觉。\n今天一天没掉油桶下来，\n就感到非常庆幸了。
MUSEUM_SL_LAMP	它的光芒不仅照亮黑暗的地方，\n也用来照亮敌人，从而达到精神上的\n追击。谁都会有心中黑暗的地方。
MUSEUM_SL_FLASHLIGHT	用镜片和反射板集中灯泡的光芒，\n容易握的形状更能准确地瞄准敌人。\n光线就像一把剑，\n双手一握就更像那么一回事了。
MUSEUM_SL_SEARCHLIGHT	像探照灯一样强烈的光线，不仅给敌人\n带来伤害，晃眼的光亮还可以使敌人的\n攻击很难命中。\n不要给你阳光你就灿烂！
MUSEUM_SL_BATTERY_BUTTON	储藏在小小身体里的电量变成正义\n之雷，对敌人给予制裁。外表看起来\n像纽扣一样很温和，但是心中被\n憎恨邪恶的心情充满了电。
MUSEUM_SL_BATTERY_1	强壮的体格中蓄满了正义的电量，\n怒火之心会把那变成闪电。\n为了让邪恶之人尝尝那一击，\n一直在云上面张望着地上。
MUSEUM_SL_BATTERY_CAR	发电量、容量都是最大级别的电池。\n发怒时会用大闪电把敌人一扫而光，\n但平常就是发动引擎呀，开开窗户呀，\n放放收音机呀，还是非常温和的。
MUSEUM_SL_BILLIARD_BALL	用手滚动写着数字的球，碰到叫球杆的\n杆子就会获得与那个数字相应的分数。\n９号球得分最高，这种得分方式\n叫做扎杆，也被叫做榨干。
MUSEUM_SL_CURLING_STONE	瞄准冰上的圆圈滑动石头，\n以看谁更接近圆圈为目标的竞赛。\n作为赏罚而进行的游戏就是\n输的队要用扫把打扫冰面。
MUSEUM_SL_BOWLING	发祥于全中湖的运动，是把纸球\n滚到纸的球道上，击倒纸球瓶。\n打球的时候，需穿着喷有\n特殊液体（防滑？）的鞋。
MUSEUM_SL_TROPHY	的军冠球龄保给发颁是这\n的持所像人把，杯奖的华豪\n。击攻行进了极好向投球圆\n。纸贴的样这是
MUSEUM_SL_MOBILE_PHONE	是一种通过主机的震动传声音的通信\n机器。是从２个纸杯和线改良过来的\n东西，不同的地方就是能不能看到线\n仅此而已，基本的结构是一样的。
MUSEUM_SL_JACKHAMMER	{d}“民谣　凿岩颂”{/d}\n因打孔的　凿子　哈～　地盘也沉下\n地鼠　吓得　伸出脸　嗨哟嗨哟\n压缩空气　月夜回荡　啊～哎哟哎哟
MUSEUM_SL_OIL_HEATER	正如其名，是把油加热的器具。\n通过内置的加热器把在主机内\n循环着的油加热，这个油还在\n食堂的厨房等地方用于炸食品等。
MUSEUM_SL_DRYER	正式名称叫做纸吹风机。\n通过内置的加热器和送风扇吹干\n湿纸的暖风送风机。有了这个，\n即使是掉进池子里也没有关系。
MUSEUM_SL_OVEN	火烤沙龙，通称“火沙龙”的地方\n所使用的大型烤箱。只要烤上几次，\n不管什么样的纸，\n都可以烤成漆黑的健康肤色。
MUSEUM_SL_MAGNIFYING_GLASS	用放大镜看了一下虫子，就跟虫子\n对上了眼神。虫子的眼睛很多，不过\n跟那些眼睛全都对上了眼神。用放大镜\n对上眼神的话，可不能假装看不见。
MUSEUM_SL_MATCH	唰地打开盒子，咔地取出１根火柴，\n哗地一划就呼地点着了。一开始\n忽闪忽闪的，然后噼——啪——的，\n最后扑呲一声灭掉了。
MUSEUM_SL_LIGHTER	对于纸来说火焰是非常危险的，\n只要前面的脚趾头稍微碰到火焰，\n就会一瞬间地扩散并燃烧到全身。\n使用时一定要多加注意火。
MUSEUM_SL_SHAVED_ICE	纸就算一口气吃掉沙冰，头也不会\n“叮——”地疼。只是稍微变湿一点\n而已。吃起来头不会“叮——”地\n疼的沙冰，好像有点不过瘾的感觉。
MUSEUM_SL_AIR_CONDITIONER	空调设备应该是冷气和暖气两个都可以\n使用的，但是使用冷气的时候把遥控器\n给弄丢了，所以现在不能叫做空调了，\n只能叫冷气机。
MUSEUM_SL_FRIDGE	买回来的冰淇淋\n不让别人吃掉的最好的方法\n就是不要放进冰箱里，\n而是当场马上吃掉。
MUSEUM_SL_JUICE	清凉舒爽！爆爆蘑菇！\n曾经以这个宣传口号风靡一时的\n碳酸饮料。自从变成低热量之后，\n就完全卖不掉了。
MUSEUM_SL_WATER_PISTOL	这把高性能的枪，将无数的纸\n弄得湿淋淋的。水箱的更换是\n需要经验的，如果好好地操作，\n就能补充更多的水吧。
MUSEUM_SL_DUCK	辛苦的单身母鸭独自抚养了４个孩子，\n鸭子妈妈的一击超乎想象的重。\n孩子的名字是马力子、马力藏、\n马力之介、马力安努。
MUSEUM_SL_POWDER_PUFF	粉扑厌倦了每天扑脸的生活，\n忽然想到了这个问题。\n是因为扑脸粉，而被称为粉扑了呢，\n还是因为是粉扑，所以才要扑脸呢。
MUSEUM_SL_SPONGE	海绵厌倦了每天洗碗的生活，\n去旅行了。然后发现了真正的自己。\n那就是，原来自己最喜欢的还是洗碗。
MUSEUM_SL_CAR_WASH_SPONGE	汽车清洁海绵厌倦了每天洗车的生活，\n断然地改变了每次都从车门开始洗的\n习惯，尝试从发动机罩开始洗了。\n这个简直是个非常大的冒险。
MUSEUM_SL_PILLOW	枕头是最轻巧且实用的睡眠器具。\n床需要两个人才搬得动，\n但是枕头只要一个穿着睡袍的女人\n夹在腋下就可以开开心心地搬运了。
MUSEUM_SL_BED	如果因为失眠而苦恼，就来贴这张贴纸\n吧。飘荡着舒服的声音和清香的味道，\n把你带入深深的睡眠之中。但是要小心\n不要被“好极了”的声音给吵醒。
MUSEUM_SL_CANOPY_BED	像是公主睡的床一样。\n但公主本身已经对这种\n豪华床感到厌倦了，\n希望有一天能睡一下马圈。
MUSEUM_SL_CELLOPHANE_TAPE	在细长带状的玻璃纸上涂上强力的粘合\n剂，然后贴很多层来固定，之后要用力\n地把它揭下来，导致身体被撕裂掉。\n对纸来说是非常恐怖的工具。
MUSEUM_SL_THUMBTACK	用锐利的针刺到身体的某一部分，\n然后让身体紧贴墙壁，被牢牢固定得\n不能动弹，而且就那么放着不管。\n对纸来说实在是很恐怖的工具。
MUSEUM_SL_STAPLER	咔哧咔哧咔哧，咔哧，咔哧咔哧，\n咔哧咔哧……咔哧……咔哧咔哧。\n（咬住很多的纸，用针固定住的俺……\n马上就要……完蛋了……吗）
MUSEUM_SL_FOOK	人生很像钓鱼。即使机会来了也\n绝不能焦急，要沉着地一直等待，\n这是最重要的。而且大的鱼，\n多半总是会逃跑的。
MUSEUM_SL_BALLOON	这个世上有两种人，一种是想弄破\n鼓起来的气球的人，还有一种是不想\n弄破的人，根据连续按键的速度，\n就知道你是哪种人了。
MUSEUM_SL_POCKET_WATCH	\n“没有时间，说这句话的时间\n　　　　　　　　才真正是浪费时间”
MUSEUM_SL_MANEKINEKO	抱着写了１０００００００金币的\n金板的独特姿势，就像在用手招呼\n金币一样，非常吉利。\n我给它起了个“招财猫”的名字。
MUSEUM_SL_HIGHHEEL	在森林里发现它，就拿回家了，\n结果尺寸不对穿不上，\n就作为喝饮料的杯子在使用。
MUSEUM_SL_GOAT	出生在能望到大雪山的小村庄。\n站在山顶上梦想着能吃饱纸的日子时，\n被可疑的秋千绑架了。
MUSEUM_SL_TURKEY	作为舞蹈者虽然在很多比赛中得了\n第一，如今仍在暗地里持续着舞蹈\n比赛。那就是他作为舞蹈者的信念。\n吃起来很好吃的。
MUSEUM_SL_CAKE	据说在生日蛋糕上插着和年龄\n相同数量的蜡烛，然后能一口气\n吹灭的话，就会发生好事情。\n用这张贴纸尝试一下吧。
MUSEUM_SL_BOOM_BOX	只要从立体声收录机飘出轻快的音乐，\n无论何时那里都能成为舞蹈场地。\n从小一起在街头长大的好朋友火鸡，\n跟他一起梦想着成功。
music_w0_01	{d}侦探马力欧{/d}\x0e\x01\x01\0
music_w0_02	{d}嘻嘻嚷嚷{/d}\x0e\x01\x01\0
music_w0_03	{d}贴纸智贴贴{/d}\x0e\x01\x01\0
music_w0_04	{d}蓝天、白云{/d}\x0e\x01\x01\0
music_w0_05	{d}晃晃悠悠的秋千{/d}\x0e\x01\x01\0
music_w0_06	{d}别叫我小人物{/d}\x0e\x01\x01\0
music_w0_07	{d}我的东西{/d}\x0e\x01\x01\0
music_w0_08	{d}无法停止的暴走{/d}\x0e\x01\x01\0
music_w0_09	{d}迫在眉睫{/d}\x0e\x01\x01\0
music_w0_10	{d}海市蜃楼的彼端{/d}\x0e\x01\x01\0
music_w0_11	{d}赤色羽翼{/d}\x0e\x01\x01\0
music_w0_12	{d}蓝色魔法师{/d}\x0e\x01\x01\0
music_w0_13	{d}剧毒森林{/d}\x0e\x01\x01\0
music_w0_14	{d}怒火中烧{/d}\x0e\x01\x01\0
music_w0_15	{d}抓不住{/d}\x0e\x01\x01\0
music_w0_16	{d}木乔 de 木乔{/d}\x0e\x01\x01\0
music_w0_17	{d}哀愁的波涛之间{/d}\x0e\x01\x01\0
music_w0_18	{d}闪浪海港的危机{/d}\x0e\x01\x01\0
music_w0_19	{d}嘘嘘鬼的狂热夜{/d}\x0e\x01\x01\0
music_w0_20	{d}恐怖公馆{/d}\x0e\x01\x01\0
music_w0_21	{d}乘缆车带我走{/d}\x0e\x01\x01\0
music_w0_22	{d}Go! Go! 手推车{/d}\x0e\x01\x01\0
music_w0_23	{d}丛林丛林{/d}\x0e\x01\x01\0
music_w0_24	{d}逼近的巨鱼{/d}\x0e\x01\x01\0
music_w0_25	{d}遗迹探险队{/d}\x0e\x01\x01\0
music_w0_26	{d}热浪滔天{/d}\x0e\x01\x01\0
music_w0_27	{d}战舰{/d}\x0e\x01\x01\0
music_w0_28	{d}展翅高飞{/d}\x0e\x01\x01\0
music_w0_29	{d}觉醒的大魔王{/d}\x0e\x01\x01\0
music_w0_30	{d}恐怖故事{/d}\x0e\x01\x01\0
museum_chief_kino_00	马力欧先生。\x0e\0\x04\0刚才谢谢你救了我。\x0e\0\x04\0想赶紧恢复骨碌骨碌地\n被卷起来的贴花小镇，\n可能有点太过于急切了，\x0e\0\x04\0当我回过神来的时候，\n已经在又暗又窄\n又薄的喷泉下面啦。\x0e\0\x04\0那么作为你救我的谢礼……\n请到这边来一下。
museum_chief_kino_01	无论如何我也想让小镇\n恢复原样……\x0e\0\x04\0其理由，\n就在这扇门的后面。\x0e\0\x04\0那请吧。
museum_chief_kino_02	怎么样，马力欧先生！\x0e\0\x04\0\x0e\x04\x02\0欢迎来到贴纸博物馆！\x0e\0\x04\0\x0e\x04\x02\0这里就是为了把世界上存在的\n各种各样的很优秀的贴纸\n流传给后世而建造的！\x0e\0\x04\0\x0e\x04\x02\0我耗尽个人财产，\n一个人默默地在地下\n进行建造的！\x0e\0\x04\0\x0e\x04\x02\0在王国里是最大\n又是唯一的贴纸博物馆！
museum_chief_kino_03	真厉害！\n你对那贴纸的爱，\n真令人感动呀！\x0e\0\x04\0\x0e\x04\x02\0在贴纸星里也没有\n这么优秀的博物馆呀！\n你真是太棒啦！\x0e\0\x04\0\x0e\x04\x02\0另外，在这里展示的\n贴纸有多少张呢！？
museum_chief_kino_04	嗯！\n重要的贴纸还一张都没有！
museum_chief_kino_05	听说马力欧先生也是\n非常非常喜爱贴纸的人……\n也就是说是我们的同伴！
museum_chief_kino_06	虽然跟我比起来\n还是差很多。
museum_chief_kino_07	那么更想让马力欧先生帮我\n收集要展示在这里的贴纸了！\x0e\0\x04\0\x0e\x04\x02\0同样是爱贴纸的人，肯定没有\n比这个更光荣的事情了！\n是吧，马力欧先生！
museum_chief_kino_08	马力欧，\n我非常赞成！\n来做贴纸收集吧。\x0e\0\x04\0不但能增长贴纸的知识，\n肯定还对寻找\n皇家贴纸有帮助的。\x0e\0\x04\0而且，等回到贴纸星后，\n我也能在大家面前炫耀我曾经\n帮助过贴纸博物馆的事啦！
museum_chief_kino_09	非常感谢！请一定要\n让这个贴纸博物馆完成！！\x0e\0\x04\0\x0e\x04\x02\0那就拜托了。
museum_chief_kino_talk_00	贴纸的展示场所定了下来，\n只要收集册里有那张贴纸，\n图案就会在画框中浮现出来。\x0e\0\x04\0贴的方法呢，马力欧先生\n饱含着对贴纸的热爱，\n应该不用说也知道的吧。\x0e\0\x04\0那么，\n博物馆的完成就拜托您啦！
museum_chief_kino_talk_01	贴上贴纸了呀！\n就这样继续下去，\n将博物馆完成吧。
museum_chief_kino_talk_02	博物馆的完成度是\n战斗贴纸　　\x0e\x03\x02\x08\0\0\x04\0%\0D\0／９６\n物品贴纸　　\x0e\x03\x02\x08\x01\0\x04\0%\0D\0／６４
museum_chief_kino_talk_03	博物馆的完成度是\n战斗贴纸　　\x0e\x03\x02\x08\0\0\x04\0%\0D\0／９６\n
museum_chief_kino_talk_04	努力把博物馆完成吧！
museum_chief_kino_talk_05	马力欧先生！\n终于完成战斗贴纸的展示区啦！\x0e\0\x04\0作为纪念\n会开放特别展示厅！
museum_chief_kino_talk_06	马力欧先生！\n终于完成物品贴纸的展示区啦！\x0e\0\x04\0作为纪念\n会开放特别展示厅！
museum_chief_kino_talk_07	马力欧先生！\n做到了！做到了呀！\x0e\0\x04\0\x0e\x04\x02\0终于！\n收集到所有的贴纸，\n完成了博物馆！\x0e\0\x04\0\x0e\x04\x02\0我多年以来的梦想\n终于实现啦！！
museum_chief_kino_talk_08	啊——！\n做到了呀！\x0e\0\x04\0\x0e\x04\x02\0我也帮了很多忙，\n所以当副馆长也可以吧！
museum_chief_kino_talk_09	可以呀！\n智贴贴副馆长！\x0e\0\x04\0\x0e\x04\x02\0马力欧先生是……\n嗯……，胡须看起来很合适，\n所以做名誉馆长怎么样！
museum_chief_kino_talk_10	马力欧先生是名誉馆长\n智贴贴小姐是副馆长\n请多多关照！\x0e\0\x04\0\x0e\x04\x02\0我每天都到这里来做客噢！
museum_guide_sound_01	请坐在沙发上，听听喜欢的BGM\n　放松放松吧。
museum_guide_chara_01	　用１金币就可以享受了。\n　看一下吗？\x0e\x03\04\0\0\x01\0\0\0d\0*\0m\0u\0s\0e\0u\0m\0_\0g\0u\0i\0d\0e\0_\0c\0h\0a\0r\0a\0_\0y\0n\0
museum_guide_chara_yn	看\n不看
museum_guide_chara_02	　因为没有金币，所以不能看。
StaffCredit.msbt
T00	纸片马力欧 超级贴纸
T01	STAFF CREDITS
T02	DIRECTORS
T41	DIRECTORS & SCENARIO
T03	LEVEL DESIGN
T04	PLANNING
T05	CHARACTER DESIGN
T06	MAP DESIGN
T07	MAP DESIGN SUPPORT
T08	BATTLE MAP DESIGN
T09	VISUAL EFFECTS & "THINGS" DESIGN
T10	"THINGS" DESIGN
T11	UI DESIGN
T12	TECHNICAL DESIGN
T13	MAIN PROGRAMMING
T14	PROGRAMMING
T15	SCRIPT
T16	SCRIPT SUPPORT
T17	SOUND DIRECTOR
T18	SOUND
T19	SOUND SUPPORT
T20	SOUND SUPERVISOR
T21	CHARACTER VOICES
T22	GRAPHIC SUPERVISORS
T23	ILLUSTRATION
T24	ILLUSTRATION SUPERVISOR
T25	ARTWORK
T26	MANUAL EDITING
T27	TECHNICAL SUPPORT
T28	SPECIAL THANKS
T29	NORTH AMERICAN \nLOCALIZATION MANAGEMENT
T30	NORTH AMERICAN LOCALIZATION
T42	NOE LOCALISATION MANAGEMENT
T43	NOE LOCALISATION
T44	LOCALIZATION MANAGEMENT
T45	LOCALIZATION COORDINATION
T46	KOREAN LOCALIZATION MANAGEMENT
T47	KOREAN LOCALIZATION
T48	KOREAN ARTWORK
T49	SIMPLIFIED CHINESE\nLOCALIZATION MANAGEMENT
T50	SIMPLIFIED CHINESE\nLOCALIZATION
T51	SIMPLIFIED CHINESE\nARTWORK
T52	TRADITIONAL CHINESE\nLOCALIZATION MANAGEMENT
T53	TRADITIONAL CHINESE\nLOCALIZATION
T54	TRADITIONAL CHINESE\nLOCALIZATION SUPPORT
T55	TRADITIONAL CHINESE\nARTWORK
T31	DEBUG
T32	DEBUG SUPPORT
T33	COORDINATION
T34	COORDINATION SUPPORT
T35	SUPERVISORS
T36	PROJECT MANAGEMENT
T37	PRODUCERS
T38	GENERAL PRODUCER
T39	EXECUTIVE PRODUCER
T40	Nintendo and INTELLIGENT SYSTEMS are\nthe authors of this software for the purpose\nof copyright. All rights reserved.\n\xa9 2012-2013 Nintendo\nProgram \xa92012-2013 Nintendo / INTELLIGENT SYSTEMS
N000	Naohiko Aoyama
N001	Taro Kudo
N002	Yukio Morimoto
N003	Toshitaka Muramatsu
N004	Tomomi Fujisawa
N005	Naoya Inui
N006	Masayuki Horikawa
N007	Ai Tsujimura
N008	Akira Ueda
N009	Masahide Miyata
N010	Takeo Enomoto
N011	Tomohiro Ozawa
N012	Madoka Kadono
N013	Koichiro Yamada
N014	Naoko Tsukamoto
N015	Shingo Igata
N016	Yuki Masuda
N017	Kayoko Murakami
N018	Shouko Kotsuki
N019	Satoko Kurihara
N020	Miho Sakamoto
N021	Shunsuke Takenaka
N022	Takanobu Tsujihata
N023	Hitomi Sakuma
N024	Sayoko Hayashi
N025	Takao Shimoeda
N026	Teruyuki Ishiko
N027	Junko Takagi
N028	Kei Shimura
N029	Atsumi Hosokawa
N030	Shingo Nakai
N031	Masayuki Hashimoto
N032	Nobuhiro Arai
N033	Shin Kazoe
N034	Koji Yokota
N035	Jun Nagashima
N036	Seimi Oshiro
N037	Akira Katsuta
N038	Sachiko Daigohou
N039	Hidemi Yamaguchi
N040	Megumi Yasue
N041	Kyoko Suzuki
N042	Naruki Sugeno
N043	Shiho Iwabuchi
N044	Takeshi Ando
N045	Jun'ya Kadono
N046	Kaoru Kita
N047	Youichi Tada
N048	Mitsuru Matsumoto
N049	Takanori Hino
N050	Naoki Habu
N051	James W Anderson
N052	Kazuhiro Tamura
N053	Yusuke Ozawa
N054	Koichi Kishi
N055	Motomu Chikaraishi
N056	Taro Kato
N057	Yusuke Murakami
N058	Tomohiro Obayashi
N059	Hiroki Azumada
N060	Naoyuki Ukeda
N061	Masahiro Oshinomi
N062	Yasuhiro Yokoyama
N063	Jun Kuronuma
N064	Takuya Sato
N065	Tsubasa Mizuno
N066	Isao Watanabe
N067	Masanobu Matsunaga
N068	Saki Kurata
N069	Shoh Murakami
N070	Yoshito Sekigawa
N071	Yasuhisa Baba
N072	Hiroki Morishita
N073	Masanori Adachi
N074	Kiyoshi Hazemoto
N075	Tomoko Sano
N076	Kosei Muraki
N077	Hiroaki Hanaoka
N078	Yasumasa Yamada
N079	Jumpei Ikawa
N080	Bungo Fujiwara
N081	Koji Kondo
N082	Kenny James
N083	Caety Sagoian
N084	Sam Kelly
N085	Kazumi Totaka
N086	Sanae Susaki
N087	Kanae Dohta
N088	Chiaki Aida
N089	Tsuyoshi Watanabe
N090	Naoya Hasegawa
N091	Yusuke Nakano
N092	Yuka Kotaki
N093	Ryota Kanno
N094	Ryo Koizumi
N095	Aki Sakurai
N096	Shingo Okamoto
N097	Kotaro Hiromatsu
N098	Tsutomu Kitanishi
N099	Taku Sugioka
N100	Ryota Kawade
N101	Kazuhito Norimoto
N102	Tsutomu Tei
N103	Toshio Sengoku
N104	Tohru Narihiro
N105	Naoki Nakano
N106	Kenji Imai
N107	Masakazu Umehara
N108	Kenichi Nishimaki
N109	Masahiro Higuchi
N110	Kenji Yamada
N111	Atsushi Ikuno
N112	Naoko Mori
N113	Daisuke Nakajima
N114	Makoto Katayama
N115	Mayuko Tsukamoto
N116	Atsunori Ina
N117	Hiroyuki Tashiro
N118	Naohiro Yasuhara
N119	Yoshihisa Isa
N120	Manabu Matumoto
N121	Yotaro Kiriyama
N122	Yoshinori Isoda
N123	Katsuhiko Kurahashi
N124	Shizue Kiriyama
N125	Atsushi Iio
N126	Kazuki Hamamura
N127	Leslie Swan
N128	Nate Bihldorff
N129	Billy Carroll
N130	Galia Rodriguez Hornedo
N131	Derek Seklecki
N132	Simplified Chinese\nProduct Testing Group
N133	Mario Club Co., Ltd.
N134	DIGITAL Hearts Co.,Ltd.
N135	Masashi Okamoto
N136	Jumpei Horita
N137	Kazuyuki Gofuku
N138	Ryuichi Nakada
N139	Shigeru Miyamoto
N140	Takashi Tezuka
N141	Keisuke Terasaki
N142	Kenji Nakajima
N143	Osamu Yamauchi
N144	Kensuke Tanabe
N145	Toshiyuki Nakamura
N146	Shinya Takahashi
N147	Satoru Iwata
N148	Takeru Kanazaki
N149	Daisuke Yasumatsu
N150	Yasuhito Fujisawa
N151	Takafumi Kaneko
N152	Takashi Akiyama
N153	Andy Fey
N154	Jan Peitzmeier
N155	Silvio Schmelz
N156	Federico Maggi
N157	Roby Liebetruth
N158	Claudia Smith
N159	Ciaran Edwards
N160	Emmanuel Adien
N161	Olivier Strag
N162	Pierre-Guillaume Mabboux
N163	Adriano Antonini
N164	Laura Innocenti
N165	Alessandro Pagano
N166	Jessica Ferlmann
N167	Nele Quegwer
N168	Thomas Ito
N169	Nils Dittbrenner
N170	Janine Wetherell
N171	Javier Mart\xedn \xc1lvarez
N172	Ales\xe1nder Valero Fern\xe1ndez
N173	Sof\xeda Mar\xedn Aguilar-Galindo
N174	Ainhoa Bernad Hurtado
N175	NOE Quality Assurance
N176	Kimiko Nakamichi
N177	Jonghoon Park
N178	Xu Xizhou
N179	Yu Fukaya
N180	Hyokjin Jung
N181	Jihyun Choi
N182	Dongyeon Kim
N183	Kwanja Lim
N184	Jiyoung Shin
N185	Siyoung An
N186	Shin'ichi Sasamoto
N187	Qiu Xiaochun
N188	Shen Jingdan
N189	Peng Yi
