Enemy.msbt
enemy_name_MARIO	Mario
SL_JUMP_M0	{c[000000]}A jump-and-stomp attack. A word to the\nwise: do NOT use this attack on spiked\nenemies or you'll regret it.{c[000000]}
SL_JUMP_K_M0	A pretty strong and pretty pretty\njump-and-stomp attack. Shininess aside,\nit's still a bad choice for spiked foes.\n
SL_JUMP_KK_M0	A fairly strong and fairly fair jump-and-\nstomp attack. No amount of flash will\nmake it good against spiky baddies.
SL_DEKA_JUMP_K_M0	A bit bigger and shinier than the \nstandard model, this jump attack also\nboasts some crumpling power.
SL_DODEKA_JUMP_KK_M0	A big, strong, shiny attack blessed with\ngreat power and solid crumpling ability.\nTell me this thing doesn't look cool.
SL_IRON_JUMP_M0	As the name implies, a battle sticker\nthat laughs in the face of spiked foes.\nFeel free to laugh along with it.
SL_IRON_JUMP_K_M0	An attack that delivers a slightly \nstronger stomp on spiked enemies.\nThough made of iron, it's quite light!
SL_IRON_JUMP_KK_M0	A compact and pretty powerful stomp\nthat doesn't mind spiked landings.\nWho knew iron could be so pretty?
SL_DEKA_IRON_JUMP_K_M0	A strong stomp attack designed for\nspiked enemies. You really would think\nsuch a big iron sticker would be heavy.
SL_DODEKA_IRON_JUMP_KK_M0	An extreme stomp attack that crushes\nany spiked enemy. This thing is almost\nnot fair in battle.
SL_BANE_JUMP_M0	A slightly weak attack befitting a\nslipper, but capable of up to ten jumps\nif your timing is on.
SL_BANE_JUMP_K_M0	A less-than-powerful attack that can\nstomp up to ten times using wonderful\nspring technology.
SL_BANE_JUMP_KK_M0	A flashy sticker that doesn't exactly\nlook cool, seeing as it's a slipper with a\nspring on it. But it can stomp ten times!
SL_DEKA_BANE_JUMP_K_M0	An attack whose size hides weak power.\nBut ten jumps does mean ten attacks, \nso it's got that going for it.
SL_DODEKA_BANE_JUMP_KK_M0	A big, shiny...slipper. Still, if you can\nland ten jumps, it's a MEAN slipper.\nSo just lay off with the slipper hate.
SL_TSUGI_JUMP_M0	An attack that lets you stomp foe after\nfoe with decreasing power, but only if \nyou have good jump timing.
SL_TSUGI_JUMP_K_M0	A Line Jump with a bit more oomph.\nTry to stomp each enemy three times,\nsince three is better than two or one.
SL_TSUGI_JUMP_KK_M0	A flashy-looking Line Jump with flashy-\nfeeling attack power. It's got the max\npower of the small Line Jump line.
SL_DEKA_TSUGI_JUMP_K_M0	A sticker whose jump in size mirrors a\njump in jumping-attack power. Foes will\nline up to take their whupping!
SL_DODEKA_TSUGI_JUMP_KK_M0	The strongest sticker in the Line Jump\nline. Enjoy the megapower as you\nstomp each enemy up to three times!
SL_BUNSIN_JUMP_KK_M0	An attack that sends four Marios\nleaping in succession. This attack can\nsometimes crumple foes too.
SL_DEKA_BUNSIN_JUMP_KK_M0	A sparkling clone attack with power\nbefitting the sticker's size and raw,\nuntamed sparklability.
SL_DODEKA_BUNSIN_JUMP_KK_M0	An attack that unleashes the four \nstrongest Marios and delivers a\nstrong crumpling effect. Wow.
SL_MUGEN_JUMP_KK_M0	An attack with weak power but unreal\nstamina. Go for the maximum 100 jumps.\nYes, you read that right.
SL_DEKA_MUGEN_JUMP_KK_M0	A slightly bigger sticker that still has\nweak power. But c'mon, 100 stomps!\n100 stomps is pretty solid.
SL_DODEKA_MUGEN_JUMP_KK_M0	An attack said to bring enlightenment if\nyou make your mind blank and become\none with your jump.
SL_RAGGED_HAMMER_M0	A battle sticker that doesn't look so \nhot. To be completely honest, it doesn't\nwork so hot, either.
SL_HAMMER_M0	A hammer that can pound enemies flat\nbut is useless against flying enemies.\nUse it wisely.
SL_HAMMER_K_M0	A stronger hammer attack. It will build\npower as you hold your windup, but \ndon't overdo it or the head will pop off!
SL_HAMMER_KK_M0	Like many others, a hammer that can\ndamage enemies near its main target.\nPlan for collateral damage!
SL_DEKA_HAMMER_K_M0	A big, shiny hammer boasting big, shiny\ndamage. Definitely do not miss your\nswing, or you'll be really bummed out.
SL_DODEKA_HAMMER_KK_M0	A hammer with ultimate attack power.\nThe main target and its neighbors get\nseriously BONKED.
SL_BUN_HAMMER_M0	An attack that strikes from the side.\nIf swung with good timing, it sends \nenemies flying.
SL_BUN_HAMMER_K_M0	A side-striking hammer attack that has \na chance of making an enemy dizzy,\nwhich could make its attacks miss.\n
SL_BUN_HAMMER_KK_M0	An attack that only hits a single \ntarget, but hits it really hard and might\nmake it dizzy.
SL_DEKA_BUN_HAMMER_K_M0	A big hammer attack with big damage,\nbut like all attacks, it's totally \ndependent on good timing.
SL_DODEKA_BUN_HAMMER_KK_M0	An attack whose mighty swing punishes\nfoes, launching them dramatically and\noften making them dizzy.
SL_PICO_HAMMER_M0	A hammer that really looks like a toy. \nLand up to five strikes for five times the\nannoyance. Squeaksqueaksqueak!
SL_PICO_HAMMER_K_M0	A shiny attack that is regrettably still\ntoylike. Still, delivering five strikes\nshould ease the shame of using it.
SL_PICO_HAMMER_KK_M0	A pretty flashy hammer attack. \nGet in five hits so you can hear the\nsqueaksqueaksqueaksqueaksqueak!
SL_DEKA_PICO_HAMMER_K_M0	Like other Eekhammers, its power gets\nstronger with each swing for a max of \nfive strikes. This one's bigger, though. 
SL_DODEKA_PICO_HAMMER_KK_M0	A megasized attack that packs a \nserious wallop for a toy. Get in five \nstrikes for perfection.
SL_MEGATON_HAMMER_M0	A hurlable hammer that, with good \ntiming, can damage all foes--even flying\nones. Bad timing just ain't gonna cut it.
SL_MEGATON_HAMMER_K_M0	An attack that, like other hammers,\nfails if held too long. If you throw it \ntoo fast, it'll hit only one foe.
SL_MEGATON_HAMMER_KK_M0	A hurlable hammer that, like others,\ndamages enemies in front the most but\ncan also hit subsequent targets.
SL_DEKA_MEGATON_HAMMER_K_M0	A decent-sized shiny hammer that falls\nfrom above as its targets gaze in awe,\nhelplessly watching doom approach.
SL_DODEKA_MEGATON_HAMMER_KK_M0	A big, pretty, very hurlable hammer. \nIn fact, it's almost too pretty to hurl.\nGood thing you put it in here.
SL_MEE_HAMMER_M0	A hammer that, with good timing, puts\nenemies to sleep. The fact that it deals\ndamage is a bonus.
SL_DEKA_MEE_HAMMER_K_M0	A hammer that can knock even the\nmost sleep-resistant enemy out.\nOf course, you've got to time it well.
SL_DODEKA_MEE_HAMMER_KK_M0	A hammer attack with good power that\nalso puts foes to bed. If you mess up the\ntiming, though, that's baaaaaaaad.
SL_BURNING_HAMMER_M0	A hammer whose tepid flames can fry\nsmall fry. If your timing's off, though,\nyou won't produce any flames.
SL_DEKA_BURNING_HAMMER_K_M0	A hot, flaming hammer attack that's \nnonetheless ineffective against the \nBuzzy Beetle family.
SL_DODEKA_BURNING_HAMMER_KK_M0	A flaming hammer attack that damages\nall foes that it strikes equally. We just \nwant to see you succeed, y'know?
SL_SEVERE_HAMMER_M0	A hammer that, if timed well, sends a\nfreezing arctic blast howling into the\nfaces of all enemies.
SL_DEKA_SEVERE_HAMMER_K_M0	A hammer attack that cold haters\nhate, but cold lovers love not hating.\nYou know what I mean?
SL_DODEKA_SEVERE_HAMMER_KK_M0	An attack that launches a really nasty\ncold wave boasting megaflash damage.\nMiss, and you hit zip.
SL_TOGE_HAT_M0	An attack that provides a spiky surprise\nfor attackers from above when you\ncrouch and hold it over your head.
SL_TOGE_HAT_K_M0	A stronger spiked-helmet attack, this\none hurts even more if you time your\npoke with the foe's landing.
SL_TOGE_HAT_KK_M0	A flashy spike attack that counters\nattacks from above with authority.\nTime it right, and OW!
SL_DEKA_BOOTS_M0	Attack-dodging boots. If you use them,\nthe attack power of any subsequent\njump-type stickers will go up.
SL_DEKA_BOOTS_K_M0	A defensive sticker that hugely boosts\nthe attack power of subsequent jump \nstickers. Definitely stick this one first!
SL_DEKA_TAIL_M0	A tail that repels attacks that come\nflying right at you. You've got to swing\nthat tail with good timing, though!
SL_DEKA_TAIL_K_M0	A shiny tail that smacks onrushing\nenemies and straight-flying projectiles.\nWhen you connect, it feels gooood.
SL_DEKA_FROG_M0	A froggy dodge maneuver that ups the\nattack power on subsequent stickers,\ntoo. Not bad for a frog.
SL_DEKA_FROG_K_M0	A shiny, froggy dodge that drastically\nboosts the attack power of subsequent\nstickers. Well done, frog.
SL_FIRE_FLOWER_M0	An attack that launches one fireball per\nenemy but doesn't reach flying foes.\nFireballs can't bounce that high.
SL_FIRE_FLOWER_K_M0	An attack that fires one shiny fireball\nper foe. Like others, this attack is a bit\nstronger if timed well.
SL_FIRE_FLOWER_KK_M0	An attack that greets each grounded\nand low-altitude foe with a strong,\nmade-to-order fireball. 
SL_ICE_FLOWER_M0	A chilly attack that serves an ice ball\nto each nonflying enemy. These ice\nballs are the opposite of refreshing.
SL_ICE_FLOWER_K_M0	A stronger ice-ball attack that strikes\nground-bound and low-altitude foes\nwith shiny chill damage.
SL_ICE_FLOWER_KK_M0	A flashy ice-ball attack that boasts\nboosted wintry power if you time your\nthrows correctly.
SL_POW_BLOCK_M0	An attack that can crumple grounded\nfoes. You get two chances at it, \nso time it well.
SL_POW_BLOCK_K_M0	An attack that offers higher damage\nand an elevated crumple rate if you\ntime it well.
SL_POW_BLOCK_KK_M0	A two-shot crumpler. As expected, \nits attack power is also higher due to\nextreme flashiness.
SL_NOKONOKO_KOURA_M0	A shell that knocks around foes when\nstomped and kicked. Time it well for \nmore power.
SL_NOKONOKO_KOURA_K_M0	A powerful shell that should remind you\nto pre-stomp Koopas in the field. Then\nyou can use them to scatter other foes.
SL_NOKONOKO_KOURA_KK_M0	A flashy shell that delivers big damage.\nThe damage on this attack nearly \ndoubles with good timing.
SL_KINOKO_M0	An all-important HP-restoring sticker\nthat can only be used during battle. \nAlways, ALWAYS carry one with you!
SL_KINOKO_K_M0	An item that increases HP more than a\nregular mushroom. Wait until you're\nreally flagging to use it!
SL_KINOKO_KK_M0	A flashy mushroom that greatly restores\nHP with flashy mushroom goodness.\nYou get bonus HP for good timing.
SL_DEKA_1UP_KINOKO_M0	A sticker that should teach you that\nbig mushrooms are great for you. This\none slowly restores HP over ten turns.
SL_DEKA_1UP_KINOKO_K_M0	A shiny HP restorer effective over ten\nturns. Time it with Mario's hands in the\nair for extra restorative power!
SL_POISON_KINOKO_M0	Oh no! An item that poisons you! \nBut hang on... What if you touch an\nenemy while poisoned...
SL_LEAF_M0	A helpful sticker that automatically\nmakes every attack Excellent and\nevery block successful.
SL_LEAF_K_M0	A sticker with the exact same effects of\nan ordinary leaf sticker. But look!\nIt's shiny! So it sells for more.
SL_DOOR_M0	A door that opens the way to a secret \nplace. This sticker can also be used to\nflee a battle.
SL_SNOW_BALL_M0	An icy snowball yacked up by a Snow\nSpike that hits all grounded foes with\na cold-blooded attack.
SL_GABON_BALL_M0	A spiky steel ball horked up by a Spike.\nThis bad boy deals bonus damage for\na well-timed throw!
SL_BARREL_M0	A wooden barrel thrown by a Broozer.\nThis thing is heavy, so be careful when\ntossing it.
SL_SPANNER_M0	A repair wrench tossed by Rocky \nWrenches. Time your toss well, because\nit'll affect the power of the spin!
SL_BONE_M0	Part of a Dry Bones? Some kind of bone,\nanyway. It hits with a satisfying DONK\nif thrown with enough force.
SL_BOOMERANG_M0	A boomerang beloved by the Boomerang\nBros. Put your elbow into it to get some\nforce into your throw!
SL_BOMB_M0	An unused bomb dropped by a Bob-omb. \nThis explosive has a dramatic effect if\ntossed properly.
SL_SOMBRERO_M0	A sombrero worn by Sombrero Guys. \nThe angle of the throw affects how cool\nthe attack turns out!
SL_THROW_KNIFE_M0	A throwing star favored by Ninjis. \nIt's easy to time this attack if you\nconcentrate.
MUSEUM_SL_JAPANESE_SCISSORS	When compressed by a team of Toads,\nthis catapult is capable of low-orbit\nlaunches. As the bladed end is lethal, \nthis was likely a discarded prototype.
MUSEUM_SL_HAIRCUT_SCISSORS	Like other bladed things, this requires a\ncommand Toad in each circular cockpit. \nHowever, the protruding flange suggests\na third operator is required for steering.
MUSEUM_SL_SCISSORS	When maneuvered by two skilled thing\ncaptains, this device cleaves anything.\nThis discovery will surely revolutionize\nthe Toad construction business.
MUSEUM_SL_CLOTH_SCISSORS	This massive, linked pair of sharpened\nblades was likely used for landscaping. \nTrained Toads can operate in tandem\nfrom the two oval command cockpits.
MUSEUM_SL_BELLOWS	Requiring an entire platoon of Toads to\noperate, this primitive pinwheel\nmotivator is a monument to inefficiency.
MUSEUM_SL_PAPER_FAN	Though its gigantic size limits its use to\nonly the largest of griddles, this ornate\nspatula is a sight to behold. The symbol\nis thought to mean "succulent pancake."
MUSEUM_SL_FAN	While voice modulators are not unheard\nof, this device is clearly the first built\nfor crowd use. It was likely used for\nintimidation at sporting events.
MUSEUM_SL_HANDY_CLEANER	The smallest of what is believed to be\na previously undiscovered type of\nsuction robot, this variation is highly\nmaneuverable and easily satiated.
MUSEUM_SL_UPLIGHT_CLEANER	A member of the Suction Thing family,\nthis variation waits for prey in an\nupright position, disguising itself as a\npart of the canopy. Then it strikes.
MUSEUM_SL_CLEANER	This mechanical thing appears to exist\nfor one purpose: to consume anything\nwithin reach. While not necessarily\nalive, it is most certainly hungry.
MUSEUM_SL_WATERING_CAN	This piece of demolition equipment is\nonly operable by highly trained Toads.\nOnce filled, targeted water sprinkles\ncan destabilize any paper edifice.
MUSEUM_SL_TAP	This hydroelectric-dam release valve\nmay once have functioned well, but\nthose days are long past. It now\nrequires a leaping Toad to activate it.
MUSEUM_SL_KETTLE	This ancient house alarm was designed\nfor icy climates. Placed by the furnace,\nits contents would boil when burglars\nturned the heat on, activating a siren.
MUSEUM_SL_TRUMPET	This valve-based alarm system requires\nthe operator to exhale as hard as\npossible into the apparatus. The result\nis a din trespassers won't soon forget.
MUSEUM_SL_VIOLIN	This audio-warfare thing requires a \nsquad of Toads to operate--one each to\nman the taut vibration hawsers and a\npair to manipulate the friction saw.
MUSEUM_SL_GUITAR	A fairly sophisticated audio weapon,\nthis thing utilizes electricity to\nminimize Toadpower. A single Toad can\nlaunch blistering assault "solos."
MUSEUM_SL_NEWSPAPER_BAT	A testament to the quiet strength of\npaper power, this triumphant rolled \ntube of separate sheets symbolizes how\nunity can bring forth might.
MUSEUM_SL_PLASTIC_BAT	While the width of this cylinder makes\nswinging at targets a breeze, its\naccuracy is bought with a loud bonking\nnoise sure to anger the neighbors.
MUSEUM_SL_BAT	This piece of wood has the power to\nsend round objects flying when swung\ncorrectly. The individual responsible for\nvandalizing it has yet to be identified.
MUSEUM_SL_ITTOKAN	This metal container could have been\nused for anything, but leading scholars\nbelieve it was almost certainly slept on\nby a cat at some point.
MUSEUM_SL_TUB	Plated in what is almost certainly gold,\nthis private, solar-powered hot tub was\nlikely overpaid for by a rich Toad who\nforgot that he was made of paper.
MUSEUM_SL_DRUMKAN	A debate rages about the contents of \nthis huge canister, but since breaching\nthe hull could ruin whatever's within,\nit stays sealed. Also, we can't open it. 
MUSEUM_SL_LAMP	This large bulb was engineered to house\nand protect a glowing filament, but a\nmajor design flaw allows all the precious\nlight to escape into the surroundings.
MUSEUM_SL_FLASHLIGHT	This compact lighthouse is designed to\nbe mobile, but the fact that it points\nstraight up when installed would lead\nto many a naval disaster.
MUSEUM_SL_SEARCHLIGHT	Our most learned academics remain\nstumped as to why anyone would install\nblinds on such a massive light source.\nIt kind of defeats the purpose.
MUSEUM_SL_BATTERY_BUTTON	This adorable little power source should\nnot, under any circumstances, be\ningested, no matter how hungry you are\nand how much it looks like candy.
MUSEUM_SL_BATTERY_1	All readings indicate that this cylinder\nharbors a huge amount of latent power.\nWe have attempted to access it, but a\nvigorous stick-poking met with failure.
MUSEUM_SL_BATTERY_CAR	Inside this device sleeps a power no\nToad could hope to control. In fact,\nyou'd probably better step back a bit.\nMaybe a little farther.
MUSEUM_SL_BILLIARD_BALL	This orb would be indistinguishable from\nother massive spheres if not for the \ninexplicable number on its side. For the\nlove of Toad, what does it MEAN?!
MUSEUM_SL_CURLING_STONE	It seems increasingly possible that this\nboulder spontaneously grew a handle\nout of its side. The wonders of nature\nare endless and often really weird.
MUSEUM_SL_BOWLING	Whether this orb was designed for\nbattle or merely construction, one thing\nis clear: the engineers who piloted it\nfrom the three Toad holes were brave.
MUSEUM_SL_TROPHY	This extravagant chalice looks pricey,\nbut functionally, it's a disaster. It's too\nbig for one Toad to drink out of, and \nwhat's that weird guy doing on top?
MUSEUM_SL_MOBILE_PHONE	For a device that appears to have but\na single purpose--violent vibration--\nthis thing has far too many buttons.
MUSEUM_SL_JACKHAMMER	What began as a training apparatus for\nan aspiring pogo-stick champion clearly\nspiraled out of control during the \ndevelopment phase.
MUSEUM_SL_OIL_HEATER	While most Toad breakfast scientists\nagree that this gargantuan machine\nis a toaster, none have had success\nwith the bread-insertion procedure.
MUSEUM_SL_DRYER	This large-scale rewarmer was likely\nutilized by primitive caterers, though\nit proved rather ineffective in both our\nquiche and chili-dog tests.
MUSEUM_SL_OVEN	For a supposedly high-end home feature,\nthis sauna is sorely lacking in seating,\nfancy perfumed steam waters and, most\nimportantly, a temperature control.
MUSEUM_SL_MAGNIFYING_GLASS	A leading Toad physicist burned\nbasically everything in the lab before\ndiscovering that this thing worked as\na magnification device.
MUSEUM_SL_MATCH	Under no circumstances should these\nsticks be rubbed against their own\npackaging. You just need to trust\nthe management on this one.
MUSEUM_SL_LIGHTER	This portable campfire works best when\nentrenched in cool earth. Deployment of\ns'mores is up to the camper, but have \nyou ever tried adding peanut butter?
MUSEUM_SL_SHAVED_ICE	Some frozen mountains can only be\nscaled by the burliest of Toad explorers.\nOthers can be scaled by any Toad with\na spoon and a lust for refreshment.
MUSEUM_SL_AIR_CONDITIONER	While researchers claim that this device\nhas a cooling effect, skeptics abound.\nIf anything, toting this thing around\nwould probably make you look uncool.
MUSEUM_SL_FRIDGE	Once thought to be a transportation\npod for northern Toads, this thing has\nsince proven to be a very effective \nstorage unit for management's lunch.
MUSEUM_SL_JUICE	Apparently, whatever mad scientist\ncreated this thing thought it would be\nfunny to load liquid into a highly\npressurized container. Ha ha.
MUSEUM_SL_WATER_PISTOL	In its current state, this liquid launcher\nis but a memory of wars long past.\nBut load it with water, and it becomes\nmore terrifying than you can imagine.
MUSEUM_SL_DUCK	There's been some speculation that this\nenormous synthetic duck suggests a\npast when Toads rode on birds, but\nthis theory has been roundly ridiculed.
MUSEUM_SL_POWDER_PUFF	Luxurious, if a bit dusty, this lush body\npillow was likely reclined upon by\nroyalty. It even SMELLS like royalty.
MUSEUM_SL_SPONGE	The bed of choice for Toads afflicted\nwith night sweats, this revolutionary\nmattress is as comfortable as it is\nabsorbent. Treat yourself today!
MUSEUM_SL_CAR_WASH_SPONGE	This liquid transporter can carry an\nabsolutely unbelievable amount of\nwhatever beverage you prefer, but be\nwarned: it gets HEAVY and MESSY.
MUSEUM_SL_PILLOW	This piece of emergency-response\nequipment helps fire brigades rescue\npeople from high buildings. It's also\ncrucial for battling nap attacks.
MUSEUM_SL_BED	While this thing resembles a common\nbed, it makes the typical paper bed of\nmanagement's childhood look like a \ncrumpled-up piece of used paper towel.
MUSEUM_SL_CANOPY_BED	This thing cannot be a bed. It has some\nbed-like characteristics, but there's no\nway--it's too nice. If you slept in that, \nyou'd dream of that exact same bed.
MUSEUM_SL_CELLOPHANE_TAPE	A variation of this thing has long been\nused by Toad security forces to restrain\nne'er-do-wells. It should not be used on\nyour little brother. I MEAN IT!
MUSEUM_SL_THUMBTACK	It's not uncommon for the younger \ngeneration of Toads to get paper\npiercings, but in general, they don't use\nsomething that affixes them to a wall.
MUSEUM_SL_STAPLER	This antiaircraft battery launches \ntwin-pronged missiles when propped \nopen but mangles the ordnance when \nfired in the prone position.
MUSEUM_SL_FOOK	We know what this thing is: a hook.\nWhat we don't know is what terrors of\nthe deep inspired a fisherman to make\nsomething so huge. And what of bait?
MUSEUM_SL_BALLOON	Friction tests conducted on this\nflotation transport resulted in one of\nthe worst Toad pile-ups in memory.\nEvery scientist was stuck to this thing.
MUSEUM_SL_POCKET_WATCH	While this thing can theoretically\nmanipulate time, every effort to use it\nto go back and avert that unfortunate \nchowder incident has failed.
MUSEUM_SL_MANEKINEKO	It's not uncommon to see a cat offering\nup a high-five--hence this sculpture.\nWe believe the symbol may mean\n"Down low! You're too slow."
MUSEUM_SL_HIGHHEEL	This single-Toad sleeping chamber offers\nthe snug fit and steep reclining angle\npopularized by certain celebrities.\nTrust us, it's really not comfortable.
MUSEUM_SL_GOAT	This statue of a voracious goat seems\ncute at first but becomes unsettling. \nWe're pretty sure it moved this one \ntime. And we swear we heard a baa.
MUSEUM_SL_TURKEY	This giant prehistoric bird was prepared\nfor a feast. That much is quite clear.\nBut was it brined? What kind of rub?\nCritical questions remain unanswered.
MUSEUM_SL_CAKE	A dessert of such magnitude comes\naround once in a long while, which is\nwhy this one is under surveillance.\nStep away from the display, sir.
MUSEUM_SL_BOOM_BOX	This portable party machine requires\ntwo Toads to transport, but it's well \nworth the effort if one wishes to rock\nanytime and anywhere.
music_w0_01	{d}Detective Mario{/d}\x0e\x01\x01\0
music_w0_02	{d}The Rampaging Din{/d}\x0e\x01\x01\0
music_w0_03	{d}Kersti the Sticker{/d}\x0e\x01\x01\0
music_w0_04	{d}Blue Skies, White Clouds{/d}\x0e\x01\x01\0
music_w0_05	{d}Swinging Swing{/d}\x0e\x01\x01\0
music_w0_06	{d}Don't Call Me Flunky{/d}\x0e\x01\x01\0
music_w0_07	{d}My Things{/d}\x0e\x01\x01\0
music_w0_08	{d}Unstoppable Fury{/d}\x0e\x01\x01\0
music_w0_09	{d}The Tension{/d}\x0e\x01\x01\0
music_w0_10	{d}A Thousand Miles Away{/d}\x0e\x01\x01\0
music_w0_11	{d}Scarlet Wings{/d}\x0e\x01\x01\0
music_w0_12	{d}The Blue Wizard{/d}\x0e\x01\x01\0
music_w0_13	{d}Woods of Poison{/d}\x0e\x01\x01\0
music_w0_14	{d}Because I'm Angry{/d}\x0e\x01\x01\0
music_w0_15	{d}Can't Catch Me{/d}\x0e\x01\x01\0
music_w0_16	{d}Snifit or Whiffit{/d}\x0e\x01\x01\0
music_w0_17	{d}Sorrow on the Waves{/d}\x0e\x01\x01\0
music_w0_18	{d}Danger at Surfshine Harbor{/d}\x0e\x01\x01\0
music_w0_19	{d}Boo Night Fever{/d}\x0e\x01\x01\0
music_w0_20	{d}The Enigmansion{/d}\x0e\x01\x01\0
music_w0_21	{d}Give Me a Lift{/d}\x0e\x01\x01\0
music_w0_22	{d}Go Go Trolley!{/d}\x0e\x01\x01\0
music_w0_23	{d}Jungly Jungle{/d}\x0e\x01\x01\0
music_w0_24	{d}Approach of the Giant Fish{/d}\x0e\x01\x01\0
music_w0_25	{d}Ruins Explorer{/d}\x0e\x01\x01\0
music_w0_26	{d}It's Hot (So Hot){/d}\x0e\x01\x01\0
music_w0_27	{d}Battleship{/d}\x0e\x01\x01\0
music_w0_28	{d}Flapping Wings Ascend{/d}\x0e\x01\x01\0
music_w0_29	{d}The Giant Arises{/d}\x0e\x01\x01\0
music_w0_30	{d}Scary Story{/d}\x0e\x01\x01\0
museum_chief_kino_00	Mario.\x0e\0\x04\0Thanks for saving me back there.\nI ain't gonna lie--I was in a pickle.\x0e\0\x04\0When the town was all burritoed up,\nI guess I got a little too stoked about\ngetting it back to normal...\x0e\0\x04\0Time came for the de-burrito procedure,\nand before I could say "boy howdy," \nI was smooshed into some kinda\nnetherworld under that fountain.\x0e\0\x04\0So, I gotta thank you for saving me...\nC'mon this-a-way.
museum_chief_kino_01	So yeah, I wanted to get the town back\nto normal more than anything...\x0e\0\x04\0And the reason is behind this door.\nCome on with me.
museum_chief_kino_02	Whatcha think, Mario?\x0e\0\x04\0\x0e\x04\x02\0Welcome to the Sticker Museum!\x0e\0\x04\0\x0e\x04\x02\0A place to preserve all the wondrous\nstickers in the world for posterity!\x0e\0\x04\0\x0e\x04\x02\0Yep, I invested my vast fortune and\nworked underground like a crazed mole\nto build this place all by my own self!\x0e\0\x04\0\x0e\x04\x02\0The greatest (and only) sticker museum\nin the entire kingdom! Hoo DILLY!
museum_chief_kino_03	How absolutely wonderful! Your love of\nstickers is truly moving!\x0e\0\x04\0\x0e\x04\x02\0Even the Sticker Star doesn't boast\na sticker museum this magnificent!\nYou are really something!\x0e\0\x04\0\x0e\x04\x02\0So... About how many stickers are you \nexhibiting here?
museum_chief_kino_04	Right! Well, about that... I can't say as\nI have many stickers yet. Well, any.
museum_chief_kino_05	But Mario, you look like a fella that's\ninto stickers, right? I mean, you just\nseem like you GET it. You're one of us.
museum_chief_kino_06	Well, not compared to some, but he\nknows his stuff.
museum_chief_kino_07	Right, yeah, so in that case, I think it\njust makes good sense to have ol' Mario\ncollect stickers for me to exhibit here!\x0e\0\x04\0\x0e\x04\x02\0I mean, the guy clearly loves stickers!\nAnd if you dig stickers, it's an honor to\ntake on such an important task, right?\nYou're helping CULTURE, am I right?
museum_chief_kino_08	Mario, I have to say, I completely agree!\nLet's collect stickers!\x0e\0\x04\0It'll deepen your knowledge of stickers,\nwhich is always a good thing, and I bet\nit'll be useful in our search for the \nRoyal Stickers.\x0e\0\x04\0And also, when I go back to the Sticker \nStar, I can brag about how I helped \nfound the sticker museum!
museum_chief_kino_09	YESSS! Aw, thanks a million!\nLet's do this sticker museum up nice!\x0e\0\x04\0\x0e\x04\x02\0Just DANDY that you're helping out!
museum_chief_kino_talk_00	I already picked the exhibition spot for\neach sticker, so if you have a certain\nsticker in your album, a ghostly image\nof that sticker will appear in the frame.\x0e\0\x04\0As for how to stick 'em, I don't suspect\nI need to tell such an enthusiast as\nyourself how to perform THAT operation.\x0e\0\x04\0Anyhoo, thanks for all your help!\nI'll have an intern whip up descriptions\nof any stickers you put up in here.\nGonna be the best sticker museum ever!
museum_chief_kino_talk_01	You stuck a sticker! That's the spirit!\nKeep rolling until this place is done!
museum_chief_kino_talk_02	{d}Sticker Museum Completion{/d}\n{d}Battle Stickers: \x0e\x03\x02\n\0\0\x06\0%\02\0d\0/96{/d}\n{d}Thing Stickers: \x0e\x03\x02\n\x01\0\x06\0%\02\0d\0/64{/d}
museum_chief_kino_talk_03	{d}Sticker Museum Completion{/d}\n{d}Battle Stickers: \x0e\x03\x02\n\0\0\x06\0%\02\0d\0/96{/d}
museum_chief_kino_talk_04	Let's get this sticker museum done up\nright, whatcha say?!
museum_chief_kino_talk_05	Mario! I can't believe it! You've finally\ncompleted the Battle Sticker section of\nthe museum! Diddly-dang-delightful!\x0e\0\x04\0Tell you what--to commemorate the \noccasion, I'm opening a special \nexhibition room! How'd you like THAT?
museum_chief_kino_talk_06	Mario! You just blew my mind, son!\nYou completed the Thing Sticker area\nof the museum! Diddly-dang-delicious!\x0e\0\x04\0Tell you what--to commemorate the \noccasion, I'm opening a special \nexhibition room! How'd you like THAT?
museum_chief_kino_talk_07	Mario! You did it! We did it!\x0e\0\x04\0\x0e\x04\x02\0Finally! You collected all the stickers!\nThe museum is totally complete!\x0e\0\x04\0\x0e\x04\x02\0My dream is fulfilled at long last!\nSuper-diddly-dang-DUPER!
museum_chief_kino_talk_08	YAAAAAAAAY! We did it!\x0e\0\x04\0\x0e\x04\x02\0So since I helped too, I can be the\nVice Curator, right?
museum_chief_kino_talk_09	Why, sure! Vice Curator Kersti!\x0e\0\x04\0\x0e\x04\x02\0And Mario... You've got a nice,\nhonorary-looking mustache there... \nHow does Honorary Curator sound?
museum_chief_kino_talk_10	Honorary Curator Mario and Vice\nCurator Kersti! You're looking good.\x0e\0\x04\0\x0e\x04\x02\0Don't you worry about a thing.\nI'll be right here, taking care of visitors\nevery dang day!
museum_guide_sound_01	Feel free to kick back on the sofa and \nrelax to your favorite background music.
museum_guide_chara_01	Take a gander for 1 coin?\x0e\x03\04\0\0\x01\0\0\0d\0*\0m\0u\0s\0e\0u\0m\0_\0g\0u\0i\0d\0e\0_\0c\0h\0a\0r\0a\0_\0y\0n\0
museum_guide_chara_yn	Yes\nNo
