BestScore\BestScore.msbt
BestScore_Title	最高得分
Contents_43_Description	一起友好地行动，迈向终点吧。
Contents_43_NXGuide_01	选择
Contents_43_NXGuide_02	抓起
Contents_43_NXGuide_11	移动
Contents_43_NXGuide_12	放开
Contents_44_Title	带路吧！自爆磁怪
Contents_44_Description	带小磁怪们去草丛吧。
Contents_44_NXGuide_01	选择
Contents_44_NXGuide_02	抓起
Contents_44_NXGuide_11	移动
Contents_44_NXGuide_12	放开
Contents_45_Title	找出三角形
Contents_45_Description	找出正三角形吧。
Contents_45_NXGuide_01	选择
Contents_45_NXGuide_02	确定
Contents_46_Title	宝可梦连一连
Contents_46_Description	用1条线连接相同的宝可梦吧。
Contents_46_NXGuide_01	选择
Contents_46_NXGuide_02	确定
Contents_46_NXGuide_11	画线\n擦掉
Contents_46_NXGuide_12	确定
Contents_47_Title	炎兔儿跳跳迷宫
Contents_47_Description	跃过墙壁，前往终点吧。
Contents_47_NXGuide_01	前进
Contents_48_Title	狙射树枭一球也不留
Contents_48_Description	用箭刺破所有气球吧。
Contents_48_NXGuide_01	选择
Contents_48_NXGuide_02	抓起
Contents_48_NXGuide_11	移动
Contents_48_NXGuide_12	放开
Contents_48_NXGuide_13	放回
Contents_49_Title	方块穿墙秀
Contents_49_Description	方块可以通过哪道墙呢？
Contents_49_NXGuide_01	选择
Contents_49_NXGuide_02	确定
Contents_50_Title	火球鼠亮谜底
Contents_50_Description	这是哪个方块的影子呢？
Contents_50_NXGuide_01	旋转
Contents_50_NXGuide_02	选择
Contents_50_NXGuide_03	确定
Contents_51_Title	堵堵地鼠洞
Contents_51_Description	用方块堵住洞穴吧。
Contents_51_NXGuide_01	选择
Contents_51_NXGuide_02	抓起
Contents_51_NXGuide_03	旋转
Contents_51_NXGuide_11	移动
Contents_51_NXGuide_12	放开
Contents_51_NXGuide_13	旋转
Contents_51_NXGuide_14	放回
Ingame\Result.msbt
Result_ContentsRsult_Title	各个题目的成果
Result_ContentsRsult_Correct	正确
Result_ContentsRsult_Time	时间
Result_TotalResult_Title	总成果
Result_TotalResult_Length_01	解开的线长是……
Result_TotalResult_Length_02	cm
Result_TotalResult_Length_cm_E	cm
Result_TotalResult_Highscore	BEST SCORE!!
Result_TotalResult_Next	OK
Result_RewardsCommon	缠在一起的线和思路都理顺了！\n获得了{[0105|00cd]}！
Result_RewardsCommon_OK	OK
Result_RewardsSmallItodma_02	5个小线团变成了{[0105|00cd]}！
Result_RewardsSmallItodma_OK	OK
Result_RewardsBonus_TitleOK	OK
Result_RewardsBonus_Common	努力解线{[0101|0300000000cd]}天！\n送你{[0105|00cd]}做纪念！
Machine\Machine.msbt
Machine_Title	布偶机
Machine_Create_Title	请选择要放入布偶机的线团
Machine_Create_ItodamaName	{[0105|00cd]}
Machine_Create_Title_OK	OK
Machine_Create_Nothing	没有线团
Machine_Create_New	NEW
Machine_Create_Success_01	{[0107]}做好了！
Machine_Create_Success_01_First	第一个{[0107]}做好了！
Machine_Create_Success_01_OK	OK
Machine_Create_Success_02	还有１个哦！！\n{[0107]}做好了！
Machine_Create_Success_02_First	还有１个哦！！\n第一个{[0107]}做好了！
Machine_Create_Success_02_OK	OK
Machine_Create_Catalog_01	{[0107]}做好了！
Machine_Probability_Title	出现概率
Machine_Probability_Button	%
Machine_Probability_Nui	{[0107]}
Machine_Probability_Percent	{[0102|02000000020000000001]}{size[5000]}%{size[6400]}
Machine_Probability_Caution_Button	注意事项
Machine_Probability_Caution_Title	注意事项
Machine_Probability_Caution	■关于出现概率的注意事项\n根据选择的线团不同，出现内容和出现概率也会有所不同。\n若通过购买下载内容等方式追加了出现的布偶种类，则各种布偶的获得概率会伴随种类数量的增加而降低。\n此外，显示的数字舍去了小数点后的数字，因此所有概率数值的合计结果可能不会是100%。\n※实际的出现概率并未进行四舍五入、向上取整或向下取整。\n\n■关于将线团投入布偶机的注意事项\n若持有“稍好的线团”，则会优先消耗“稍好的线团”。
Machine_Probability_Itodama	“{[0105|00cd]}”的出现概率
Machine_Probability_BigComment	※有25%的概率会再次抽选并额外出现1个布偶。
Mission\Mission.msbt
Mission_Title	小镇居民的愿望
Mission_Lively	{size[8c00]}{[0101|0600000000cd]}{size[6400]}
Mission_Lively_Slash	 / 
Mission_Lively_Deno	{[0101|0600000000cd]}
Mission_Lively_Next	距离下个等级还有 {[0101|0600000000cd]}
Mission_Lively_MAX	MAX
Mission_Lively_RankMAX	已达到最高等级
Mission_Detail_Give	要不就\n送那个吧！
Mission_Detail_Quit	还是等下次\n再说吧……
Mission_Detail_NuiSelect	请选择要送出的布偶
Mission_Detail_NuiSelect_want	想要的布偶
Mission_Achievement_CoMission_0011_1	1个“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0011_2	2个“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0011_3	3个“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0011_4	4个“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0021_1	1个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0021_2	2个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0021_3	3个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0021_4	4个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_CoMission_0031_1	这些布偶中的1个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_2	这些布偶中的2个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_3	这些布偶中的3个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_4	这些布偶中的3个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0041_1	不同布偶各1个
Mission_Achievement_CoMission_0041_2	“{[0109]}”尺寸的\n不同布偶各1个
Mission_Achievement_CoMission_0041_3	用“{[0106]}”制作的\n不同布偶各1个
Mission_Achievement_CoMission_0041_4	“{[0109]}”尺寸，\n用“{[0106]}”制作的\n不同布偶各1个
Mission_Achievement_CoMission_0051_1	相同布偶2个
Mission_Achievement_CoMission_0051_2	“{[0109]}”尺寸的相同布偶2个
Mission_Achievement_CoMission_0051_3	用“{[0106]}”制作的\n相同布偶2个
Mission_Achievement_CoMission_0051_4	“{[0109]}”尺寸，\n用“{[0106]}”制作的\n相同布偶2个
Mission_Achievement_CoMission_0061_1	1个{[0107]}的布偶
Mission_Achievement_CoMission_0061_2	这些布偶各1个：\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_3	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_4	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0011	1个{[0107]}的布偶
Mission_Achievement_SpMission_0021	3个不同的布偶
Mission_Achievement_SpMission_0022	4个不同的布偶
Mission_Achievement_SpMission_0023	4个“{[0109]}”或“{[0109]}”尺寸的\n不同的布偶
Mission_Achievement_SpMission_0031	1个“{[0109]}”或“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0032	1个用“{[0106]}”制作的\n“{[0109]}”或“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0033	1个用“{[0106]}”制作的\n“{[0109]}”或“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0041	1个用“{[0106]}”制作的布偶
Mission_Achievement_SpMission_0042	这些布偶中的1个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0043	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0051	1个{[0107]}的布偶
Mission_Achievement_SpMission_0052	1个{[0107]}的布偶
Mission_Achievement_SpMission_0053	1个{[0107]}的布偶
Mission_Achievement_SpMission_0061	1个“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0062	1个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0063	1个用“{[0106]}”制作的\n“{[0109]}”尺寸的布偶
Mission_Achievement_SpMission_0071	1个用“{[0106]}”制作的布偶
Mission_Achievement_SpMission_0072	这些布偶中的1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0073	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0081	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0091	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0101	1个{[0107]}的布偶
Mission_Achievement_SpMission_0102	1个{[0107]}的布偶
Mission_Achievement_SpMission_0111	1个{[0107]}的布偶
Mission_Achievement_SpMission_0121	1个{[0107]}的布偶
Mission_Achievement_SpMission_0131	1个{[0107]}的布偶
Mission_Achievement_SpMission_0132	1个{[0107]}的布偶
Mission_Achievement_SpMission_0133	1个{[0107]}的布偶
Mission_Achievement_SpMission_0141	1个{[0107]}的布偶
Mission_Achievement_SpMission_0142	1个{[0107]}的布偶
Mission_Achievement_SpMission_0143	1个{[0107]}的布偶
Mission_Achievement_SpMission_0151	1个{[0107]}的布偶
Mission_Achievement_SpMission_0161	1个{[0107]}的布偶
Mission_Achievement_SpMission_0162	{[0107]}的\n布偶1个
Mission_Achievement_SpMission_0171	1个{[0107]}的布偶
Mission_Achievement_SpMission_0172	1个{[0107]}的布偶
Mission_Achievement_SpMission_0173	这些布偶中的1个：\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0181	1个{[0107]}的布偶
Mission_Achievement_SpMission_0191	这些布偶中的1个：\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0201	这些布偶各1个：\n{[0107]}\n{[0107]}\n{[0107]}
Mission_NuiPokemon_List_Decide	送出
Mission_NuiPokemon_List_Rare	包含了稀有的布偶，\n确定要送出去吗？
Mission_NuiPokemon_List_Rare_Yes	OK
Mission_NuiPokemon_List_Rare_No	返回
Mission_NuiPokemon_List_Error	没有可以送出去的布偶。\n可以用布偶机制作新的布偶，\n或是把装饰在布偶房里的\n布偶收拾起来。
Mission_NuiPokemon_List_Error_OK	OK
Mission_Rewards_01	送出布偶后成为了朋友，\n获得了“{[0108|00cd]}”作为纪念！
Mission_Rewards_01_OK	OK
Mission_Rewards_02	友谊点数上升了{[0101|0400000000cd]}！
Mission_Rewards_02_OK	OK
Mission_Lively_Rewards_01	由于友谊等级提升，\n能盖在日历的“图章”种类增加了！
Mission_Lively_Rewards_01_OK	OK
Mission_TownLevel_01	一直很安逸的\n{size[8e00]}思巧镇{size[6400]}
Mission_TownLevel_02	感觉很快乐的\n{size[8e00]}思巧镇{size[6400]}
Mission_TownLevel_03	最近热度升高的\n{size[8e00]}思巧镇{size[6400]}
Mission_TownLevel_04	现在大受欢迎的\n{size[8e00]}思巧镇{size[6400]}
Mission_TownLevel_05	充满最棒笑容的\n{size[8e00]}思巧镇{size[6400]}
Mission\Quest.msbt
CoMission_0011_Title	想要这种尺寸的
CoMission_0011_Complete_01	这样一来就能努力工作了！\n谢谢你！
CoMission_0011_Request_11	上次多谢你了。\n果然被喜欢的东西包围着，\n工作也能更加顺利！\n可以请你再制作\n这种尺寸的布偶吗？
CoMission_0011_Request_21	我在找要放在\n办公室桌子上的布偶。\n我想要这种尺寸的，\n你有吗？
CoMission_0011_Request_31	下班回家后，\n要是有布偶在家里等我，\n那该多好啊。\n可以请你给我这种尺寸的布偶吗？
CoMission_0011_Request_41	最近上司好像很累的样子。\n我想在桌面放上布偶，\n让上司多少能放松一些。\n你有这种尺寸的吗？
CoMission_0021_Title	礼物爷爷
CoMission_0021_Complete_01	嚯嚯！\n这样一来就又能看到\n快乐的笑脸了！谢谢你！
CoMission_0021_Request_11	嚯嚯！\n我一直在找你啊！\n你能再帮帮忙吗？
CoMission_0021_Request_21	嚯嚯！\n一年到头都给镇子里的\n孩子们送去幸福，\n我就是那个礼物爷爷。\n你也愿意帮帮忙吗？
CoMission_0021_Request_31	嚯嚯！\n在这座小镇，\n有几个像我一样\n给孩子们送礼的爷爷。\n你也愿意帮帮忙吗？
CoMission_0021_Request_41	嚯嚯！\n我今天也要给镇子里的\n孩子们带去笑容咯。\n你也愿意帮帮忙吗？
CoMission_0031_Title	我在找这种宝可梦
CoMission_0031_Complete_01	哇！谢谢你！\n简直就像真的一样。
CoMission_0031_Request_11	嗨～你过得好吗？\n你看！这些宝可梦\n也是每只都好可爱啊。\n要再拜托你了！
CoMission_0031_Request_21	嗨～你看不看\n我和宝可梦们拍的照片？\n真想把这些孩子的布偶\n装饰在家里啊。
CoMission_0031_Request_31	嗨～这个视频里的宝可梦\n真的好可爱。\n我想拿这些孩子的布偶做装饰，\n你有没有呢？
CoMission_0031_Request_41	嗨～看看这张照片吧～\n宝可梦们聚过来\n跟我靠得这么近！\n好想装饰起来，留下美好回忆啊。
CoMission_0041_Title	就要不一样的！
CoMission_0041_Complete_01	谢谢！\n这两个都好可爱啊，真棒～！\n哥哥你想要哪个呢？
CoMission_0041_Request_11	上次谢谢你啦！\n我们两兄弟想要不一样的，\n可以吗？
CoMission_0041_Request_21	我们想要布偶，\n但就是不要一样的。
CoMission_0041_Request_31	我们的作业是画宝可梦，\n就想拿布偶来当模特。\n但我们两兄弟想画不一样的。
CoMission_0041_Request_41	妈妈要过生日了，\n我们想送她布偶当做礼物。\n但是我们两兄弟想送不一样的，\n你能帮帮忙吗？
CoMission_0051_Title	就要一样的！
CoMission_0051_Complete_01	谢谢你！这真是刚好适合\n我们的同款布偶，太开心了！
CoMission_0051_Request_11	啊！上次多谢你了！\n我们超喜欢你的布偶！\n可以再麻烦你吗？
CoMission_0051_Request_21	我们想要同款的布偶！\n有没有适合我们的呢？
CoMission_0051_Request_31	虽然我们爱吃的东西不一样，\n但喜欢的宝可梦是一样的，\n所以就想要同款的布偶。
CoMission_0051_Request_41	如果我们拿到不一样的布偶，\n最后肯定是要吵架的。\n所以要一样的才行。
CoMission_0061_Title	无可替代的宝可梦
CoMission_0061_Complete_01	太感谢啦！\n以后要是有什么事，\n我还可以再来拜托你吗？
CoMission_0061_Request_11	上次真是多谢你了。\n这次我偷偷地查了一下\n我孙子喜欢的宝可梦。\n帮我看看，你这里有吗？
CoMission_0061_Request_21	我孙子说啊，\n就想要这个宝可梦的布偶。\n但是我不太懂这些……
CoMission_0061_Request_31	我梦到了很～久以前\n遇到的宝可梦。\n总觉得很怀念，\n真想再见见面啊。\n这就是我说的宝可梦，你知道吗？
CoMission_0061_Request_41	你知道这只宝可梦吗？\n我孙子对它爱得不得了。\n感觉是挺可爱的，\n就连我自己也想要啰。
SpMission_0011_Title	正在烦恼的女孩
SpMission_0011_Request_01	怎么办……
SpMission_0011_Request_02	我最心爱的\n皮卡丘布偶不见了……
SpMission_0011_Complete_01	……是皮卡丘呀！！
SpMission_0011_Complete_02	谢谢你！！\n我会连同上个孩子那份加倍爱护它的！
SpMission_0021_Title	第一次音乐会
SpMission_0021_Request_01	我对演奏乐器\n很有信心哦。
SpMission_0021_Request_02	但是在很多人面前演奏\n还是第一次……\n你知不知道什么好的练习方法？
SpMission_0021_Complete_01	你是说让我把这些孩子\n当成是听众来练习……？\n明白了！我会试试的！
SpMission_0022_Title	在大舞台演奏
SpMission_0022_Request_01	我上次的演奏反响不错哦。\n毕竟我都练习过了，\n这也是自然的嘛……
SpMission_0022_Request_02	听说下次舞台\n会有更多听众要来。\n我才没有紧张哦！\n只要有布偶在，我就没问题。
SpMission_0022_Complete_01	是新的布偶！\n对了，我也要让这些孩子\n听听我的演奏。
SpMission_0023_Title	完美的演奏
SpMission_0023_Request_01	下次我要在大礼堂演奏，\n有很多大人也会来。\n这次我有一点紧张。
SpMission_0023_Request_02	那个……这次也帮我\n制作布偶好吗？
SpMission_0023_Complete_01	谢谢你！还有，这次的音乐会\n你要不要也来听呢？\n我会拿出完美的演奏哦。
SpMission_0031_Title	水手的伙伴
SpMission_0031_Request_01	嘿～！你知道吗？\n这座小镇的水手出海时\n会带上布偶作伴！\n感觉就像是护身符一样。
SpMission_0031_Request_02	我也又快要出海了，\n但是想让以前一直陪着我的搭档\n好好休息一下……\n所以我在找新搭档。
SpMission_0031_Complete_01	这个好！\n感觉很可靠，正是我想要的。\n请多关照啦，新搭档！
SpMission_0032_Title	水手启航
SpMission_0032_Request_01	嘿～！你听我说啊，\n我儿子终于快要\n迎来第一次出海啦。
SpMission_0032_Request_02	所以，我想给他找一个\n高大又耐水的搭档……\n能拜托你吗？
SpMission_0032_Complete_01	这个好！\n这样就能庆祝他启航啦。\n相信他会成为一名出色的水手！
SpMission_0033_Title	水手的旅程
SpMission_0033_Request_01	嘿～！听我跟你说说呗！\n这次的出海路线有点长，\n看来会是一段有些危险的旅程啊。
SpMission_0033_Request_02	我倒不是害怕，\n只是觉得如果有个能乘风破浪，\n又厉害又高大的搭档就好了……\n这事可以拜托你吗？
SpMission_0033_Complete_01	这个非常好！！\n如此一来，长途航行也能放心了！\n当然，之前的搭档\n我也会一起带去的。
SpMission_0041_Title	火热的激情
SpMission_0041_Request_01	嗨！\n你心中是否燃烧着\n火热的激情呢？
SpMission_0041_Request_02	我正在寻找能满足我这颗\n熊熊燃烧的心的伙伴！\n一起来火热地训练吧！
SpMission_0041_Complete_01	哇哦！这太火热了！\n这下无论何时何地\n我们都能一起火热地训练了！
SpMission_0042_Title	火热的伙伴们
SpMission_0042_Request_01	嗨！\n今天你的心中是否也\n燃烧着火热的激情呢？
SpMission_0042_Request_02	那之后，我对火热的\n宝可梦做了各种调查。\n我想啊，要是能有更多伙伴，\n就能更加火热地训练了！
SpMission_0042_Complete_01	哇哦！这太火热了！\n训练一定会更加顺利的！\n来吧，现在就开始练长跑！
SpMission_0043_Title	更加火热
SpMission_0043_Request_01	嗨！\n今天你的心中是否也\n燃烧着更加火热的激情呢？\n我当然也是……
SpMission_0043_Request_02	……虽然我很想这么说，\n但其实热度不太够。\n我想被更多伙伴包围，\n变得更加、更加地火热……
SpMission_0043_Complete_01	哇哦！这真是火热至极！\n火焰熊熊燃烧起来了！\n我的激情已经无法停止！\n火～～～热！！
SpMission_0051_Title	伊布迷绅士的生活
SpMission_0051_Request_01	我啊，非常喜欢伊布，\n喜欢得不得了。
SpMission_0051_Request_02	那颜色，那质感……\n如果伊布能陪在我身旁，\n我该会有多么心满意足啊。
SpMission_0051_Complete_01	谢谢你把它让给我。\n这颜色！这质感！\n正是我梦寐以求的啊。
SpMission_0052_Title	伊布迷绅士选礼物
SpMission_0052_Request_01	伊布进化后的样子有许多种类，\n我想每个人都会有\n适合自己的伊布。
SpMission_0052_Request_02	然后呢，下个月朋友过生日时，\n我想送冰伊布当作礼物。\n一定会很适合他的。
SpMission_0052_Complete_01	这美丽的光泽……！\n你做的布偶总是如此精美，\n我都有点不舍得送给朋友了。
SpMission_0053_Title	伊布迷绅士的梦想
SpMission_0053_Request_01	你知道仙子伊布吗？\n围绕着它全身的触角\n就像蝴蝶结一样，\n那优雅的姿态实在是太迷人了。
SpMission_0053_Request_02	不过，我还没见过\n能够还原它美感的布偶。\n但我想你应该能做出来，\n你觉得呢？
SpMission_0053_Complete_01	啊……\n这精致又优美的样子！\n我现在非常感动。\n真的太谢谢你了！
SpMission_0061_Title	小巧又可爱！
SpMission_0061_Request_01	哈喽～！\n我包上挂着的这个小家伙\n很可爱吧！？
SpMission_0061_Request_02	小巧又可爱，\n这种最棒了！\n我还想收集更多～
SpMission_0061_Complete_01	咦，它超级可爱啊！\n我现在就要把它挂在包包上！\n谢啦～！
SpMission_0062_Title	小巧又神奇！
SpMission_0062_Request_01	哈喽～！\n我最近也在收集其他\n可爱的布偶～
SpMission_0062_Request_02	比如小巧又神奇的布偶，\n真是太迷人了～！
SpMission_0062_Complete_01	好可爱～！\n就是这种软萌的感觉。\n你很懂行嘛！
SpMission_0063_Title	小巧的龙！？
SpMission_0063_Request_01	哈喽～！\n你听我说，\n我终于找到自己的最佳搭档了！
SpMission_0063_Request_02	身材小巧可爱\n却又很厉害的龙，\n是不是让人心动到不行！？
SpMission_0063_Complete_01	你果然是个天才！\n我以后也要像这孩子一样，\n变得超级无敌可爱！
SpMission_0071_Title	森林的宝可梦
SpMission_0071_Request_01	你好。\n我听说不管什么布偶\n你都能做出来，是真的吗？
SpMission_0071_Request_02	我非常喜欢能在森林里\n和我一起感受大自然的宝可梦。
SpMission_0071_Complete_01	你帮我做好了吗？谢谢！\n我感受到森林的\n气息与生机了……！
SpMission_0072_Title	想在森林中邂逅
SpMission_0072_Request_01	宝可梦都会生活在\n适合自己的环境里。\n在这座小镇的森林里，\n也住着各种各样的宝可梦。
SpMission_0072_Request_02	我很想和它们见上一面，\n可惜实在不容易。\n要怎么做才能让它们靠近我呢？
SpMission_0072_Complete_01	对！\n如果我带上这只布偶的话，\n说不定它们就会把我当成同伴，\n然后主动靠近我！
SpMission_0073_Title	森林里的伙伴围绕身边
SpMission_0073_Request_01	对了对了，\n我终于在这片森林里\n看到了我一直很想遇见的宝可梦！\n多亏了这只布偶！
SpMission_0073_Request_02	我想和它们变得更～加亲密，\n该怎么做才好呢？\n要是能大家一起玩耍，\n那就太棒了！
SpMission_0073_Complete_01	哇！好厉害……！\n有了这个，我感觉梦想就要实现了！\n谢谢你！
SpMission_0081_Title	喵！喵！喵！
SpMission_0081_Request_01	你呀你呀～\n身上有种既像太阳公公，\n又像毛线一样的香味呀～
SpMission_0081_Request_02	今天天气这么好，\n真想要被猫宝可梦包围着，\n在公园里睡午觉呢～
SpMission_0081_Complete_01	果然猫宝可梦\n就是好啊～\n大家快来一起睡午觉吧～
SpMission_0091_Title	迷上米立龙
SpMission_0091_Request_01	今天又是个钓鱼的好天气呀！\n这里的海营养丰富，\n可以钓到各种东西哦！
SpMission_0091_Request_02	话说，你知道米立龙吗？\n它有各种不同的样子，\n好像还特别聪明，\n平时都遇不太到。
SpMission_0091_Complete_01	个个都好可爱！\n如果我遇到了本尊，会告诉你的！
SpMission_0101_Title	我的风格
SpMission_0101_Request_01	做饭这件事，\n材料和技术都很重要，\n但真正必备的是风格！\n而无所畏惧地不断挑战\n正是我的风格！
SpMission_0101_Request_02	我深爱的宝可梦\n就是土狼犬。\n但是，因为不能带它进店里，\n所以我觉得有点孤单。
SpMission_0101_Complete_01	太完美啦！\n这下我做饭的动力\n也能更上一层楼了！
SpMission_0102_Title	风格升级
SpMission_0102_Request_01	多亏了你给我的土狼犬，\n我们店越来越受欢迎了！
SpMission_0102_Request_02	趁着这股好势头，\n我也想为店里的风格\n增添一些霸气的氛围。\n应该拿哪种布偶当装饰呢？
SpMission_0102_Complete_01	太完美啦！就是烈空坐！\n跟我们店顺势而上，\n迈向更高目标的风格真是绝配啊。
SpMission_0111_Title	无法解开的谜团
SpMission_0111_Request_01	我长年以来\n都在这座小镇当侦探……\n但是就连我也有\n一个无法解开的谜团。
SpMission_0111_Request_02	不是有种叫谜拟丘的宝可梦吗……？\n它里面究竟是什么样子，\n我真的很想知道。\n哪怕是布偶也可以，\n我就是想知道。
SpMission_0111_Complete_01	太棒了！\n这是解开谜团的第一步呀！\n我这就赶回事务所调查。
SpMission_0121_Title	甜品爱好者无法抵挡
SpMission_0121_Request_01	嗨，你也要吃蛋糕吗？\n我对甜品毫无抵抗力，\n小镇里的蛋糕店，\n我正在一家家吃过去呢。
SpMission_0121_Request_02	在店里我也会拍照，\n所以我想要外表甜甜的，\n能和蛋糕一起合影的朋友。
SpMission_0121_Complete_01	多么甜美，\n多么迷人的模样啊！\n这真是我最棒的朋友！
SpMission_0131_Title	丛林里的邂逅
SpMission_0131_Request_01	唔嗯！你愿意听听\n我的观察报告吗？\n前几天，我在森林里\n遇到了迷路的百足蜈蚣。
SpMission_0131_Request_02	可惜它当时跑掉了。\n但是，我好想再观察观察\n那独特的形态啊。
SpMission_0131_Complete_01	什、什么！？\n这不是和本尊\n一模一样的百足蜈蚣吗？！\n我得立刻开始观察！
SpMission_0132_Title	沙漠中的邂逅
SpMission_0132_Request_01	前几天我竟然\n在沙漠里亲眼看到\n穿山鼠蜷成了一团。\n它用滚动的方式移动，\n实在是太有趣了。
SpMission_0132_Request_02	嗯……不过我感觉\n能再见到它的几率很低……
SpMission_0132_Complete_01	这、这圆溜溜的形态！\n不就是穿山鼠本尊吗！？
SpMission_0133_Title	在阿罗拉地区的邂逅
SpMission_0133_Request_01	太惊人了！\n阿罗拉地区的穿山鼠\n居然是白色的！\n在不同的地方竟然有不同的样子，\n这真是不可思议……
SpMission_0133_Request_02	一想到在下次去阿罗拉地区\n探险之前都不能再观察它，\n我就好心痛……
SpMission_0133_Complete_01	就、就是这个！\n就是这个样子没有错。\n太棒了～！！
SpMission_0141_Title	爱操心的年纪
SpMission_0141_Request_01	哎，我说啊～\n你知道喷嚏熊吗？
SpMission_0141_Request_02	它总是流着鼻涕，\n看起来好像很冷的样子……\n我真想好好照顾它啊～
SpMission_0141_Complete_01	哎呀！好长的鼻涕！\n得赶紧把它带回家！\n我会尽全力照顾好它的。
SpMission_0142_Title	暖心的朋友
SpMission_0142_Request_01	哎，上次谢谢你啦！\n我现在可是很努力地\n在照顾喷嚏熊哦！
SpMission_0142_Request_02	不过虽然在暖和的房间里，\n喷嚏熊看起来还是很冷。\n所以，我想送它一个软绵绵的，\n还能当作床铺的朋友……
SpMission_0142_Complete_01	好软好～软！\n有这孩子陪着，喷嚏熊也能\n睡个好觉，恢复活力吧！
SpMission_0143_Title	朋友的守护
SpMission_0143_Request_01	哎，我说啊～\n喷嚏熊渐渐恢复活力啦！
SpMission_0143_Request_02	但我还是放心不下，\n所以这次想送喷嚏熊一个\n能守护它的强大朋友……
SpMission_0143_Complete_01	它看起来又厉害又温柔！\n这样喷嚏熊也能感到安心啦！
SpMission_0151_Title	感谢的心
SpMission_0151_Request_01	我为了连接起\n宝可梦、人和世界，\n正在走遍全世界进行研究。\n能请你听听我的愿望吗？
SpMission_0151_Request_02	有种幻之宝可梦，\n拥有能让荒芜大地开满花朵的力量，\n只要感受到感谢之情就会开花……\n据说它的名字叫做谢米。\n哪怕只有一次也好，我真想见见它。
SpMission_0151_Complete_01	这就是幻之宝可梦谢米！\n多么温暖又平和的模样啊……！\n光是见到它的模样\n我就好开心，谢谢你。
SpMission_0161_Title	想好好睡一觉
SpMission_0161_Request_01	你好……\n我最近，总睡不着……
SpMission_0161_Request_02	你知道有什么可以让人\n用全身紧紧抱住的布偶吗……？
SpMission_0161_Complete_01	这可……真不错……\n抱起来的感觉很扎实，\n看来我能做个好梦了……
SpMission_0162_Title	数咩利羊进梦乡
SpMission_0162_Request_01	你好……\n那个布偶，超棒……
SpMission_0162_Request_02	但我还是很难入睡……\n我听说只要数咩利羊的布偶，\n就能安稳地睡着……\n你可以给我吗……？
SpMission_0162_Complete_01	这可……真不错……\n摸起来的感觉也棒极了……\n看来不用数也能睡着……
SpMission_0171_Title	摩托骑士的搭档
SpMission_0171_Request_01	我正骑着摩托车\n到处旅行。\n这座小镇真不错啊。
SpMission_0171_Request_02	让我想起以前\n一起旅行的搭档了。\n要是能带着那家伙的布偶\n一起骑行该多好啊。
SpMission_0171_Complete_01	没错没错，就是这家伙！\n这股什么都不怕的劲儿！好怀念啊。\n谢谢你，我会好好珍惜它的。
SpMission_0172_Title	摩托骑士的时尚
SpMission_0172_Request_01	骑摩托车旅行时，\n时尚也很重要哦。\n因为这样就可以让别人\n看一眼就能懂你。
SpMission_0172_Request_02	我的时尚范本是钢铠鸦！\n它真的帅气极了！\n你能帮我做一个吗？
