BestScore\BestScore.msbt
BestScore_Title	ベストスコア
Contents_44_NXGuide_01	えらぶ
Contents_44_NXGuide_02	つかむ
Contents_44_NXGuide_11	うごかす
Contents_44_NXGuide_12	はなす
Contents_45_Title	さんかくみつけた
Contents_45_Description	せいさんかくけいを みつけよう
Contents_45_NXGuide_01	えらぶ
Contents_45_NXGuide_02	けってい
Contents_46_Title	つなげてポケモン
Contents_46_Description	おなじポケモンを いっぽんのせんでつなごう
Contents_46_NXGuide_01	えらぶ
Contents_46_NXGuide_02	けってい
Contents_46_NXGuide_11	せんをひく\nけす
Contents_46_NXGuide_12	けってい
Contents_47_Title	ヒバニーのジャンプでめいろ
Contents_47_Description	かべをとびこえながら ゴールにいこう
Contents_47_NXGuide_01	すすむ
Contents_48_Title	ジュナイパーのバルーンぜんぶわり
Contents_48_Description	やをつかって ふうせんをぜんぶわろう
Contents_48_NXGuide_01	えらぶ
Contents_48_NXGuide_02	つかむ
Contents_48_NXGuide_11	うごかす
Contents_48_NXGuide_12	はなす
Contents_48_NXGuide_13	もどす
Contents_49_Title	とおるのどっちでショー
Contents_49_Description	ブロックがとおるのは どっちのかべ？
Contents_49_NXGuide_01	えらぶ
Contents_49_NXGuide_02	けってい
Contents_50_Title	てらして！ヒノアラシ
Contents_50_Description	かげになっているブロックは どれ？
Contents_50_NXGuide_01	まわす
Contents_50_NXGuide_02	えらぶ
Contents_50_NXGuide_03	けってい
Contents_51_Title	ディグダのあなふさぎ
Contents_51_Description	ブロックをつかって あなをふさごう
Contents_51_NXGuide_01	えらぶ
Contents_51_NXGuide_02	つかむ
Contents_51_NXGuide_03	まわす
Contents_51_NXGuide_11	うごかす
Contents_51_NXGuide_12	はなす
Contents_51_NXGuide_13	まわす
Contents_51_NXGuide_14	もどす
Ingame\Result.msbt
Result_ContentsRsult_Title	問題ごとの結果
Result_ContentsRsult_Correct	せいかい
Result_ContentsRsult_Time	時間
Result_TotalResult_Title	トータルの結果
Result_TotalResult_Length_01	ほぐした糸の長さは……
Result_TotalResult_Length_02	cm
Result_TotalResult_Length_cm_E	cm
Result_TotalResult_Highscore	BEST SCORE!!
Result_TotalResult_Next	OK
Result_RewardsCommon	からまった糸も頭もほぐれた！\n{[0105|00cd]} を手に入れた！
Result_RewardsCommon_OK	OK
Result_RewardsSmallItodma_02	小さいイトダマ 5コが{[0105|00cd]} になった！
Result_RewardsSmallItodma_OK	OK
Result_RewardsBonus_TitleOK	OK
Result_RewardsBonus_Common	{[0101|0300000000cd]}日間「ほぐす」をがんばったきねんに\n{[0105|00cd]} をプレゼント！
Machine\Machine.msbt
Machine_Title	ぬいマシン
Machine_Create_Title	ぬいマシンに入れるイトダマをえらんでください
Machine_Create_ItodamaName	{[0105|00cd]}
Machine_Create_Title_OK	OK
Machine_Create_Nothing	イトダマがありません
Machine_Create_New	NEW
Machine_Create_Success_01	{[0107]} ができた！
Machine_Create_Success_01_First	はじめての {[0107]} ができた！
Machine_Create_Success_01_OK	OK
Machine_Create_Success_02	さらに、もう１つ！！\n{[0107]} ができた！
Machine_Create_Success_02_First	さらに、もう１つ！！\nはじめての {[0107]} ができた！
Machine_Create_Success_02_OK	OK
Machine_Create_Catalog_01	{[0107]} ができた！
Machine_Probability_Title	提供割合
Machine_Probability_Button	%
Machine_Probability_Nui	{[0107]}
Machine_Probability_Percent	{[0102|02000000020000000001]} {size[5000]}%{size[6400]}
Machine_Probability_Caution_Button	注意事項
Machine_Probability_Caution_Title	注意事項
Machine_Probability_Caution	■提供割合に関するご注意\n選択されたイトダマによって、提供内容や提供割合は異なります。\nダウンロードコンテンツの購入などにより、提供されるぬいぐるみの種類が追加されると、種類数の増加に伴い、各ぬいぐるみの獲得確率は低下します。\nなお、小数点以下は切り捨てで表示をしているため、全ての確率を合計しても100%にならない場合があります。\n※実際の提供割合は四捨五入、切り上げ、切り捨てなどを行っておりません。\n\n■ぬいマシンへのイトダマ投入に関するご注意\n「ちょっといいイトダマ」を持っている場合は、先に「ちょっといいイトダマ」から消費されます。
Machine_Probability_Itodama	「{[0105|00cd]}」の提供割合
Machine_Probability_BigComment	※25%の確率で再抽選を行い、追加でもう1つ提供されます。
Mission\Mission.msbt
Mission_Title	街の人のおねがい
Mission_Lively	{size[8c00]}{[0101|0600000000cd]}{size[6400]}
Mission_Lively_Slash	 / 
Mission_Lively_Deno	{[0101|0600000000cd]}
Mission_Lively_Next	つぎのレベルまで {[0101|0600000000cd]}
Mission_Lively_MAX	MAX
Mission_Lively_RankMAX	レベルが最大になりました
Mission_Detail_Give	あれを\nあげようかな！
Mission_Detail_Quit	また今度に\nしようかな……
Mission_Detail_NuiSelect	わたすぬいぐるみをえらんでください
Mission_Detail_NuiSelect_want	ほしい ぬいぐるみ
Mission_Achievement_CoMission_0011_1	サイズが「{[0109]}」のぬいぐるみを1つ
Mission_Achievement_CoMission_0011_2	サイズが「{[0109]}」のぬいぐるみを2つ
Mission_Achievement_CoMission_0011_3	サイズが「{[0109]}」のぬいぐるみを3つ
Mission_Achievement_CoMission_0011_4	サイズが「{[0109]}」のぬいぐるみを4つ
Mission_Achievement_CoMission_0021_1	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを1つ
Mission_Achievement_CoMission_0021_2	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを2つ
Mission_Achievement_CoMission_0021_3	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを3つ
Mission_Achievement_CoMission_0021_4	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを4つ
Mission_Achievement_CoMission_0031_1	このぬいぐるみの中から1つ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_2	このぬいぐるみの中から2つ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_3	このぬいぐるみの中から3つ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0031_4	このぬいぐるみの中から3つ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0041_1	それぞれちがうぬいぐるみを1つずつ
Mission_Achievement_CoMission_0041_2	サイズが「{[0109]}」で\nそれぞれちがうぬいぐるみを1つずつ
Mission_Achievement_CoMission_0041_3	「{[0106]}」でできた\nそれぞれちがうぬいぐるみを1つずつ
Mission_Achievement_CoMission_0041_4	サイズが「{[0109]}」で\n「{[0106]}」でできた\nそれぞれちがうぬいぐるみを1つずつ
Mission_Achievement_CoMission_0051_1	同じぬいぐるみを2つ
Mission_Achievement_CoMission_0051_2	サイズが「{[0109]}」で同じぬいぐるみを2つ
Mission_Achievement_CoMission_0051_3	「{[0106]}」でできた\n同じぬいぐるみを2つ
Mission_Achievement_CoMission_0051_4	サイズが「{[0109]}」で\n「{[0106]}」でできた\n同じぬいぐるみを2つ
Mission_Achievement_CoMission_0061_1	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_CoMission_0061_2	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_3	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_CoMission_0061_4	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0011	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0021	それぞれちがうぬいぐるみを3つ
Mission_Achievement_SpMission_0022	それぞれちがうぬいぐるみを4つ
Mission_Achievement_SpMission_0023	サイズが「{[0109]}」か「{[0109]}」で\nそれぞれちがうぬいぐるみを4つ
Mission_Achievement_SpMission_0031	サイズが「{[0109]}」か「{[0109]}」の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0032	「{[0106]}」でできた\nサイズが「{[0109]}」か「{[0109]}」の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0033	「{[0106]}」でできた\nサイズが「{[0109]}」か「{[0109]}」の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0041	「{[0106]}」でできた\nぬいぐるみを1つ
Mission_Achievement_SpMission_0042	このぬいぐるみの中から1つ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0043	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0051	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0052	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0053	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0061	サイズが「{[0109]}」のぬいぐるみを1つ
Mission_Achievement_SpMission_0062	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを1つ
Mission_Achievement_SpMission_0063	「{[0106]}」でできた\nサイズが「{[0109]}」のぬいぐるみを1つ
Mission_Achievement_SpMission_0071	「{[0106]}」でできた\nぬいぐるみを1つ
Mission_Achievement_SpMission_0072	このぬいぐるみの中から1つ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0073	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0081	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0091	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0101	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0102	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0111	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0121	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0131	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0132	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0133	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0141	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0142	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0143	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0151	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0161	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0162	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0171	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0172	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0173	このぬいぐるみの中から1つ\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0181	{[0107]} の\nぬいぐるみを1つ
Mission_Achievement_SpMission_0191	このぬいぐるみの中から1つ\n{[0107]}\n{[0107]}
Mission_Achievement_SpMission_0201	このぬいぐるみを1つずつ\n{[0107]}\n{[0107]}\n{[0107]}
Mission_NuiPokemon_List_Decide	わたす
Mission_NuiPokemon_List_Rare	めずらしいぬいぐるみが入っていますが\nわたしてもよろしいですか？
Mission_NuiPokemon_List_Rare_Yes	OK
Mission_NuiPokemon_List_Rare_No	もどる
Mission_NuiPokemon_List_Error	わたすことができるぬいぐるみがありません。\nぬいマシンで新しくつくるか、\nぬい部屋にかざってあるぬいぐるみを\nかたづけてください。
Mission_NuiPokemon_List_Error_OK	OK
Mission_Rewards_01	ぬいぐるみをわたしてフレンドになったきねんに\n「{[0108|00cd]}」をもらいました！
Mission_Rewards_01_OK	OK
Mission_Rewards_02	フレンズポイントが{[0101|0400000000cd]}上がった！
Mission_Rewards_02_OK	OK
Mission_Lively_Rewards_01	フレンズレベルが上がったので\nカレンダーでおせる「スタンプ」の種類がふえました！
Mission_Lively_Rewards_01_OK	OK
Mission_TownLevel_01	いつも おだやかな\n{size[8e00]}シンクタウン{size[6400]}
Mission_TownLevel_02	なんだか 楽しそうな\n{size[8e00]}シンクタウン{size[6400]}
Mission_TownLevel_03	ちまたで うわさの\n{size[8e00]}シンクタウン{size[6400]}
Mission_TownLevel_04	今 だいにんきの\n{size[8e00]}シンクタウン{size[6400]}
Mission_TownLevel_05	さいこうの 笑顔あふれる\n{size[8e00]}シンクタウン{size[6400]}
Mission\Quest.msbt
CoMission_0011_Title	この大きさのがほしい
CoMission_0011_Complete_01	これで　仕事も　がんばれます！\nありがとうございます！
CoMission_0011_Request_11	この前は　ありがとうございます。\nやっぱり　好きなものに　かこまれると\n仕事も　はかどりますよね！\nもうひとつ　このサイズで\nお願いしても　よろしいでしょうか？
CoMission_0011_Request_21	オフィスの　デスクにおく\nぬいぐるみを　さがしているんです。\nこんな　大きさの子が　ほしいのですけど\nありませんか？
CoMission_0011_Request_31	仕事を　終えて　家に　帰ったときに\n待ってくれている　ぬいぐるみが\nいると　いいですよね。\nこんな　大きさの子で　お願いできますか？
CoMission_0011_Request_41	最近　上司が　つかれているみたいです。\nぬいぐるみを　デスクに　おいて\n少しでも　なごんでくれればと　思って。\nこんな　大きさの　ありますか？
CoMission_0021_Title	プレゼントじいさん
CoMission_0021_Complete_01	ほっほう！\nこれで　また　よろこぶ　顔が\n見られるわい！　ありがとう！
CoMission_0021_Request_11	ほっほう！\nきみをさがしていたよ！\nまた　協力して　もらえんかの？
CoMission_0021_Request_21	ほっほう！\n年がら年じゅう　街の　子どもたちに\nしあわせを　運ぶ　プレゼントじいさん\nとは　わしのことじゃ。　\nきみも　協力して　くれんかの？
CoMission_0021_Request_31	ほっほう！\nこの街には　子どもたちに\nプレゼントを　とどける　わしのような\nじいさんが　何人か　いてな。\nきみも　協力して　くれんかの？
CoMission_0021_Request_41	ほっほう！\n今日も　街の　子どもたちに\n笑顔を　とどけるぞい。\nきみも　協力して　くれんかの？
CoMission_0031_Title	このポケモンをさがしています
CoMission_0031_Complete_01	わあ！　ありがとう！\nまるで　ほんものみたいだ。
CoMission_0031_Request_11	やぁやぁ　元気だったかい？\n見て！　今度の　ポケモンも\nみんな　かわいくてさ。\nまた　お願いするよ！
CoMission_0031_Request_21	やぁやぁ　ポケモンたちと　とった写真を\n見てくれるかい？\nこの子たちの　ぬいぐるみを\n家に　かざりたいと　思ってさ。
CoMission_0031_Request_31	やぁやぁ　この動画で　見た　ポケモンが\nほんと　かわいくてさ。\nこの子たちの　ぬいぐるみを\nかざりたいんだけど　あるかな？
CoMission_0031_Request_41	やぁやぁ　この　写真を　見ておくれよ～。\nポケモンたちが　こんなに　近くに\n集まってくれたんだ！\n思い出に　かざりたいな。
CoMission_0041_Title	べつべつのがいい！
CoMission_0041_Complete_01	ありがとう！\nどっちも　かわいくて　いいなあ！\nお兄ちゃんは　どっちがいい？
CoMission_0041_Request_11	この前は　ありがとう！\n兄弟　べつべつで　お願いしても　いい？
CoMission_0041_Request_21	ぼくたち　ぬいぐるみが　ほしいんだけど\n兄弟で　同じのは　いやなんだ。
CoMission_0041_Request_31	宿題で　ポケモンの　絵を　かくんだ。\nぬいぐるみを　モデルに　したいんだけど\n兄弟で　べつの　絵を　かきたいんだ。
CoMission_0041_Request_41	お母さんの　たんじょう日に　ぬいぐるみを\nプレゼント　したいんだ。\n二人で　べつべつの　ものを\nあげたいんだけど　お願いしても　いい？
CoMission_0051_Title	おそろいがいい！
CoMission_0051_Complete_01	ありがとう！　わたしたちに　ぴったりの\nおそろいで　うれしいわ！
CoMission_0051_Request_11	あ！　この前は　ありがとう！\nあなたの　ぬいぐるみ　大好き！\nまた　お願いしたいんだけど　いい？
CoMission_0051_Request_21	おそろいの　ぬいぐるみが　ほしいの！\nわたしたちに　に合うもの　ないかな？
CoMission_0051_Request_31	わたしたち　食べ物の　好みは　ちがうけど\nポケモンの　好みは　同じなの。\nだから　おそろいの　ぬいぐるみが\nほしいの。
CoMission_0051_Request_41	二人で　べつべつの　ぬいぐるみを\nもらっても　結局　けんかになっちゃうから\nおそろいの　ぬいぐるみが　いいの。
CoMission_0061_Title	こだわりのポケモン
CoMission_0061_Complete_01	助かったわ！　\n何か　あったら\nまた　たよっても　いいかしら？
CoMission_0061_Request_11	この前は　ありがとうね。\n今度は　孫の　好きな　ポケモンを\nこっそり　調べたのよ。\nこれなんだけど　あるかしらねえ。
CoMission_0061_Request_21	孫が　このポケモンの　ぬいぐるみが\nどうしても　ほしいって　言うの。\nでも　わたしじゃ　よく\n分からなくてねえ……
CoMission_0061_Request_31	むかーしに　出会った　ポケモンの\nゆめを　見てねえ。\nなんだか　なつかしくて　また会いたいと\n思っちゃったの。\nこの子なんだけど　分かるかしら？
CoMission_0061_Request_41	この　ポケモンを　知っているかしら？\n孫が　大切に　しているんだけど\nなんだか　かわいくて\nわたしも　ほしくなっちゃってねえ。
SpMission_0011_Title	こまっている女の子
SpMission_0011_Request_01	どうしよう……
SpMission_0011_Request_02	大切に　していた\nピカチュウの　ぬいぐるみを\nなくしちゃったの……
SpMission_0011_Complete_01	……ピカチュウだ！！
SpMission_0011_Complete_02	ありがとう！！\n前の子の分まで　大切にするね！
SpMission_0021_Title	はじめてのえんそう会
SpMission_0021_Request_01	ぼく　楽器の　えんそうには\n自信が　あるんだよ。
SpMission_0021_Request_02	でも　人前での　えんそうは\nはじめてで……\nなにか　いい練習方法　知らない？
SpMission_0021_Complete_01	この子たちを　お客さんだと思って\n練習する……？\n分かったよ！　試してみるよ！
SpMission_0022_Title	大きなステージでえんそうを
SpMission_0022_Request_01	この前の　えんそうの　ひょうばんが\nよかったんだよ。\n練習したんだから　あたりまえだけど……
SpMission_0022_Request_02	つぎのステージは　もっと　お客さんが\nふえるんだって。\n別にきんちょうとか　してないよ！\nぬいぐるみが　いれば　だいじょうぶ。
SpMission_0022_Complete_01	新しい　ぬいぐるみだ！\nそうだね　この子たちにも\nぼくの　えんそうを　きいてもらうよ。
SpMission_0023_Title	かんぺきなえんそうを
SpMission_0023_Request_01	今度は　大きなホールで　えんそうするから\nおとなも　たくさん　くるんだ。\n今回は　ちょっと　きんちょうしてるよ。
SpMission_0023_Request_02	あの……　また今回も　ぬいぐるみを\nつくってくれない？
SpMission_0023_Complete_01	ありがとう！　あと　今回は　きみも\nえんそうを　聞きに　きてくれないか？\nかんぺきな　えんそうを　してみせるから。
SpMission_0031_Title	船乗りのおとも
SpMission_0031_Request_01	ヨゥヨゥ！　知ってるか？\nこの街の　船乗りは　航海のおともに\nぬいぐるみの　あいぼうを\n持っていくのさ！\nおまもりみたいな　もんさ。
SpMission_0031_Request_02	オレも　また　航海に　出るんだが\n今までの　あいぼうは　もう　休ませて\nあげたくてね……\n新しい　あいぼうを　さがしているんだ。
SpMission_0031_Complete_01	こりゃあ　いい！\nたよりに　なりそうで　なによりだ。\nよろしくな　新しいあいぼう！
SpMission_0032_Title	船乗りの門出
SpMission_0032_Request_01	ヨゥヨゥ！　聞いてくれよ。\n今度　ついに　オレの　息子が\n船乗りデビュー　することに　なったんだ。
SpMission_0032_Request_02	そこで　水につよい　でっけぇ　あいぼうを\nおともさせて　やりたくてよ……\nお願いできるかい？
SpMission_0032_Complete_01	こりゃあ　いい！\nこれで　門出を　祝ってやれるよ。\nりっぱな　船乗りに　なってくれそうだ。
SpMission_0033_Title	船乗りの旅路
SpMission_0033_Request_01	ヨゥヨゥ！　聞いてくれるかい？\n今度の　航海は　ちょっと　長くて\nきけんな　旅路に　なりそうでよ。
SpMission_0033_Request_02	ビビってる　わけじゃねぇが\nあら波も　乗りこえられる\nつよくて　でっけぇ　あいぼうも\nいると　いいと　思ってよ……\nたのまれて　くれるかい？
SpMission_0033_Complete_01	こりゃあ　すごく　いい！！\nこれで　長旅も　安心だ！\nもちろん　これまでの　あいぼうも\nいっしょに　つれていくよ。
SpMission_0041_Title	アツいじょうねつ
SpMission_0041_Request_01	やあ！\nキミは　アツい　じょうねつに\nもえているかい？
SpMission_0041_Request_02	メラメラと　もえ上がる　この心を\nみたしてくれる　仲間を\nさがしているんだ。\nいっしょに　アツく　トレーニングしよう！
SpMission_0041_Complete_01	おお！　これは　アツい！\nこれで　いつでも　どこでも　いっしょに\nアツく　トレーニング　できるよ！
SpMission_0042_Title	アツい仲間たち
SpMission_0042_Request_01	やあ！\n今日の　キミも　アツい　じょうねつに\nもえているかい？
SpMission_0042_Request_02	あのあと　アツい　ポケモンについて\nいろいろ　調べてね。\nもっと　仲間が　いたら　より　アツく\nトレーニングできると　思うんだ！
SpMission_0042_Complete_01	おお！　これは　アツい！\nさらに　トレーニングが　はかどるよ！\nさあ　さっそく　走りこみだ！
SpMission_0043_Title	さらなるアツさを
SpMission_0043_Request_01	やあ！\n今日の　キミも　さらに　アツい\nじょうねつに　もえているかい？\nボクも　モチロン……
SpMission_0043_Request_02	……と　言いたいところ　なんだが\n実は　少し　アツさが　たりなくてね。\nもっと　たくさんの　仲間に　かこまれて\nもっと　もっと　アツくなりたい　と\n思っているんだ……
SpMission_0043_Complete_01	おお！　これは　さいこうに　アツい！\nメラメラと　もえてきたよ！\nボクの　じょうねつは　もう　止まらない！\nアツーーーい！！
SpMission_0051_Title	イーブイ好きしんしのにちじょう
SpMission_0051_Request_01	わたしはね　イーブイさんのことが\n好きで　好きで　たまらないんだ。
SpMission_0051_Request_02	あの色　あのしつかん。\nイーブイさんが　もし　そばに\nいてくれたら　どれだけ\nみたされるだろう。
SpMission_0051_Complete_01	ゆずってくれて　ありがとう。\nこの色！　このしつかん！\nこれこそ　わたしが\nもとめていたものだよ。
SpMission_0052_Title	イーブイ好きしんしのプレゼントえらび
SpMission_0052_Request_01	イーブイさんの　進化した　すがたには\nいろいろな　種類が　あってね。\n人それぞれに　ふさわしい\nイーブイさんが　いるはずなんだ。
SpMission_0052_Request_02	そこで　来月　たんじょう日の　友人に\nグレイシアさんを　プレゼントしたくてね。\nきっと　に合うと　思うんだよ。
SpMission_0052_Complete_01	この　うるわしい　つや……！\nこれまた　たまらない　出来栄えです。\n友人に　プレゼントするのが\nおしくなって　きてしまったよ。
SpMission_0053_Title	イーブイ好きしんしのゆめ
SpMission_0053_Request_01	ニンフィアさんを　知っているかい？\n全身に　リボンのような　しょっかくを\nまとった　ゆうがな　すがたが\nたまらないんだ。
SpMission_0053_Request_02	ただ　その　美しさを　さいげんできた\nぬいぐるみに　まだ　出会えていなくてね。\nきみになら　つくれると　思うんだが\nどうだろうか。
SpMission_0053_Complete_01	ああ……　この　せんさいで\nゆうびな　すがた！\nわたしは　今　とても　感動している。\n本当に　ありがとう！
SpMission_0061_Title	ちっちゃくてカワイイ！
SpMission_0061_Request_01	やっほ～！　\nあたしの　バッグに　ついてる\nこの子　カワイイでしょ！？
SpMission_0061_Request_02	ちっちゃくて　カワイイのが\nサイコーなんだよね！\nもっと　いっぱい　あつめたくってさ～。
SpMission_0061_Complete_01	え　ちょうカワイイじゃん！\nさっそく　バッグに　つけちゃうね！\nありがと～！
SpMission_0062_Title	ちっちゃくてふしぎ！
SpMission_0062_Request_01	やっほ～！\n最近　ほかの　カワイイ　ぬいぐるみも\nあつめててさ～。
SpMission_0062_Request_02	ちっちゃくて　ふしぎなぬいぐるみとか\nたまらないんだよねー！
SpMission_0062_Complete_01	カワイイ～！\nこの　ゆるふわな　感じ\nあんた　分かってんじゃん！
SpMission_0063_Title	ちっちゃなドラゴン！？
SpMission_0063_Request_01	やっほ～！\nついに　たどり着いた　あたしの\nベストマッチ　聞いて！
SpMission_0063_Request_02	ちっちゃくて　カワイイのに\nつよい　ドラゴンって\nサイコーに　ときめかない！？
SpMission_0063_Complete_01	あんた　やっぱ　天才じゃん！\nあたしも　この子　みたいに\nサイキョーの　カワイイに　なる予定！
SpMission_0071_Title	森のポケモン
SpMission_0071_Request_01	こんにちは。\nどんな　ぬいぐるみも\nつくってくれるって　ホント？
SpMission_0071_Request_02	ぼくは　森の中で　いっしょに\n自然を　感じられる　ポケモンが\n大好きなんだ。
SpMission_0071_Complete_01	つくってくれたの？　ありがとう！\n森の　いぶき　と　生命感を\n感じられるよ……！
SpMission_0072_Title	森で出会いたい
SpMission_0072_Request_01	ポケモンは　それぞれに　合った\nかんきょうで　くらしていて\nこの街の　森にも　いろんな\nポケモンが　住んでいるんだ。
SpMission_0072_Request_02	ぜひ一度　会ってみたいのだけど\nなかなか　むずかしくてね。\nどうしたら　よってきて　くれるかなあ。
SpMission_0072_Complete_01	そうだね！\nこのぬいぐるみを　持っていたら\n仲間だと　思って　近づいてきて\nくれるかもね！
SpMission_0073_Title	森の仲間にかこまれて
SpMission_0073_Request_01	そうそう　ついに　この森で\n会いたかった　ポケモンを\n見かけたんだよ！\nぬいぐるみの　おかげだよ！
SpMission_0073_Request_02	もっと　もっと　なかよくなるには\nどうしたら　いいのかな？\nみんなで　いっしょに　あそべたら\nすてきだよね！
SpMission_0073_Complete_01	わあ！　すごい……！\nこれで　ぼくの　ゆめが　かないそうだよ！\nありがとう！
SpMission_0081_Title	にゃん！にゃん！にゃん！
SpMission_0081_Request_01	キミキミぃ～。\nなんだか　おひさまのような\n毛糸のような　いいにおいが　するねぇ～。
SpMission_0081_Request_02	こんな　いい天気の　日には\nねこポケモンに　かこまれて\n公園で　おひるね　したいよねぇ～。
SpMission_0081_Complete_01	やっぱり　ねこポケモンって\nすてきだねぇ～。\nさっそく　みんなで　おひるねだねぇ～。
SpMission_0091_Title	シャリタツざんまい
SpMission_0091_Request_01	今日も　いい　つり日よりだね！\nここの　海は　栄養が　ゆたかで\nいろんな　ものが　つれるんだよ！
SpMission_0091_Request_02	ところで　シャリタツって　知ってる？\nいろんな　すがたが　いるんだけど\nなかなか　頭がいいらしくて\nめったに　出会えないんだ。
SpMission_0091_Complete_01	みんな　かわいい！\nほんものに　もし　出会えたら　教えるね！
SpMission_0101_Title	ぼくのスタイル
SpMission_0101_Request_01	料理には　そ材と　ぎじゅつも　だいじだが\n本当に　ひつようなのは　スタイル！\nそして　なにごとも　おそれず\nちょうせん　しつづけるのが\nぼくの　スタイルさ！
SpMission_0101_Request_02	そんな　ぼくが　こよなく　愛する\nポケモンが　ポチエナなんだ。\nでも　お店には　つれていけないから\nちょっと　さびしいんだよ。
SpMission_0101_Complete_01	エクセレント！\nこれで　料理への　モチベーションも\nより　上げることが　できるよ！
SpMission_0102_Title	ステップアップ・スタイル
SpMission_0102_Request_01	きみの　くれた　ポチエナの　おかげで\nお店の　にんきは　どんどん\n上がってるよ！
SpMission_0102_Request_02	その　いきおいに　あやかって\nお店の　スタイルに　ごうかいさも\n取り入れたくてね。\nどんな　ぬいぐるみを　かざればいいかな。
SpMission_0102_Complete_01	エクセレント！　レックウザ！\nまさに　いきおいに　乗って\n高みを　目指す　ぼくの\nお店にぴったりだ。
SpMission_0111_Title	かいめいできないなぞ
SpMission_0111_Request_01	わたしは　長年　この街で\nたんていをしていてね……\nただ　わたしにも　まだ\nかいめいできない　なぞが　あるんだ。
SpMission_0111_Request_02	ミミッキュって　いるだろう……？\nあの中が　どうなっているのか\nどうしても　知りたいんだ。\nぬいぐるみでも　いいから\n知りたいんだ。
SpMission_0111_Complete_01	すばらしい！\nなぞの　かいめいへの　第一歩だよ！\nさっそく　じむしょに　もどって\nちょうささせて　もらうよ。
SpMission_0121_Title	スイーツ好きにはたまらない
SpMission_0121_Request_01	やあ　きみも　ケーキ　食べるかい？\nぼくは　あまいものに　目がなくてね。\n街じゅうの　ケーキ屋さんを\nめぐっているんだ。
SpMission_0121_Request_02	お店で　写真も　とっているのだけど\nケーキと　いっしょに　写ってくれる\nスイートな　見た目の　友だちが\nほしいんだ。
SpMission_0121_Complete_01	なんて　あまくて　みりょく的な\nすがたなんだ！\nさいこうの　友だちだよ！
SpMission_0131_Title	ジャングルでの出会い
SpMission_0131_Request_01	むむ！　わたくしの　かんさつのほうこくを\n聞いて　くれますかな？\nこの前　森で　まいごの　フシデに\n出会いまして。
