common_Kawashima.msbt
Button_Back	返回
Tips1_Sudoku_21	這樣，所有該填寫{color[ff0c00ff]}１{color[000000ff]}的格子\n就確定了。
Tips1_Sudoku_22	接下來看看{color[ff0c00ff]}２{color[000000ff]}吧。
Tips1_Sudoku_23	用剛才的方法，\n可以先鎖定這兩個地方。
Tips1_Sudoku_24	可是，{color[ff0c00ff]}中央左邊{color[000000ff]}的方塊……
Tips1_Sudoku_25	還沒能知道\n該把２填進{color[ff0c00ff]}Ａ{color[000000ff]}還是{color[ff0c00ff]}Ｂ{color[000000ff]}。
Tips1_Sudoku_26	{color[ff0c00ff]}左下{color[000000ff]}的方塊也是一樣。
Tips1_Sudoku_27	這種時候就先{color[ff0c00ff]}擱置{color[000000ff]}它，\n思考其他數字吧。
Tips1_Sudoku_28	按順序調查３～９，\n就可以確定這些格子。
Tips1_Sudoku_29	在這個狀態下，雖然也可以\n重新調查剛才擱置的數字……
Tips1_Sudoku_30	不過空白的格子餘下不多，\n所以這一次就……
Tips1_Sudoku_31	「{color[ff0c00ff]}這個格子\n只能填寫這個數字{color[000000ff]}」
Tips1_Sudoku_32	就來尋找這樣的地方吧。
Tips1_Sudoku_33	{color[ff0c00ff]}Ａ{color[000000ff]}格子在同一個{color[ff0c00ff]}橫列{color[000000ff]}中，\n除了{color[ff0c00ff]}４{color[000000ff]}以外的數字都有了……
Tips1_Sudoku_34	所以確定是{color[ff0c00ff]}４{color[000000ff]}。
Tips1_Sudoku_35	至於{color[ff0c00ff]}Ｂ{color[000000ff]}格子，光看{color[ff0c00ff]}橫列{color[000000ff]}的話，\n只能知道要填寫{color[ff0c00ff]}６{color[000000ff]}或{color[ff0c00ff]}８{color[000000ff]}……
Tips1_Sudoku_36	不過因為{color[ff0c00ff]}直列{color[000000ff]}有{color[ff0c00ff]}８{color[000000ff]}……
Tips1_Sudoku_37	所以確定是{color[ff0c00ff]}６{color[000000ff]}。
Tips1_Sudoku_38	只要重覆使用\n這些方法……
Tips1_Sudoku_39	最後就可以填滿所有格子，\n{color[ff0c00ff]}大功告成！！{color[000000ff]}
Tips1_Sudoku_40	怎麼樣？\n很簡單吧。
Tips1_Sudoku_41	{color[ff0c00ff]}練習問題{color[000000ff]}可以復習\n在這裡說明過的技巧。
Tips1_Sudoku_42	請務必嘗試。
Tips2_Sudoku_01	問題逐漸變得困難的話……
Tips2_Sudoku_02	就會出現只靠初級技巧\n無法解決的問題。
Tips2_Sudoku_03	這次就一邊解開這題問題，\n一邊介紹{color[ff0c00ff]}中級技巧{color[000000ff]}吧。
Tips2_Sudoku_04	跟初級的時候一樣，\n集中看{color[ff0c00ff]}１個數字{color[000000ff]}……
Tips2_Sudoku_05	在各個{color[ff0c00ff]}方塊{color[000000ff]}尋找\n「{color[ff0c00ff]}這個數字只能填進這裡{color[000000ff]}」的格子。
Tips2_Sudoku_06	首先從{color[ff0c00ff]}１{color[000000ff]}開始。
Tips2_Sudoku_07	看來……沒有一個方塊\n可以鎖定１的位置呢。
Tips2_Sudoku_08	這個時候，\n就改變一下思考方式吧。
Tips2_Sudoku_09	有沒有１{color[ff0c00ff]}列{color[000000ff]}\n只有１個格子能填寫１呢？
Tips2_Sudoku_10	先集中看看{color[ff0c00ff]}最左邊{color[000000ff]}的直列吧。
Tips2_Sudoku_11	{color[ff0c00ff]}Ａ{color[000000ff]}格子在同一個方塊\n或橫列裡已經有１了……
Tips2_Sudoku_12	那就可以知道這一列\n只有這裡能填寫{color[ff0c00ff]}１{color[000000ff]}了。
Tips2_Sudoku_13	即使只集中看{color[ff0c00ff]}方塊{color[000000ff]}，\n也有方法找出這個１。
Tips2_Sudoku_14	{color[ff0c00ff]}中央左邊{color[000000ff]}的方塊中可以填寫１的，\n只有其中一個{color[ff0c00ff]}Ｂ{color[000000ff]}。
Tips2_Sudoku_15	那麼{color[ff0c00ff]}左上{color[000000ff]}方塊中與Ｂ同一列的{color[ff0c00ff]}Ｃ{color[000000ff]}，\n就肯定是１以外的數字了。
Tips2_Sudoku_16	然後看看同一個直、橫列中\n是否有１，就可以收窄候補範圍……
Tips2_Sudoku_17	這樣就能知道，\n{color[ff0c00ff]}這個方塊{color[000000ff]}內只有這裡可以填寫１了。
Tips2_Sudoku_18	就像這樣……
Tips2_Sudoku_19	如果可以填寫某個數字的格子\n只存在於{color[ff0c00ff]}方塊內的某一列{color[000000ff]}……
Tips2_Sudoku_20	就會成為調查\n其他方塊的數字的{color[ff0c00ff]}提示{color[000000ff]}。
Tips2_Sudoku_21	那麼，填寫這個１之後，\n其他方塊的１也能確定了。
Tips2_Sudoku_22	接下來就是{color[ff0c00ff]}２{color[000000ff]}。\n首先，{color[ff0c00ff]}左下{color[000000ff]}的方塊很簡單易懂吧。
Tips2_Sudoku_23	{color[ff0c00ff]}中央上方{color[000000ff]}的方塊中可以填寫２的，\n只有其中一個{color[ff0c00ff]}Ａ{color[000000ff]}……
Tips2_Sudoku_24	所以位於{color[ff0c00ff]}右上{color[000000ff]}方塊的\n{color[ff0c00ff]}Ｂ{color[000000ff]}無法填寫２。
Tips2_Sudoku_25	{color[ff0c00ff]}中央右邊{color[000000ff]}的方格中，\n可以填寫２的只有其中一個{color[ff0c00ff]}Ｃ{color[000000ff]}……
Tips2_Sudoku_26	所以位於{color[ff0c00ff]}右上{color[000000ff]}方塊的\n{color[ff0c00ff]}Ｄ{color[000000ff]}無法填寫２。
Tips2_Sudoku_27	因此，可以確定\n{color[ff0c00ff]}右上{color[000000ff]}方塊中填寫２的格子。
Tips2_Sudoku_28	就像這樣，{color[ff0c00ff]}把部分確定的結果\n綜合起來考慮{color[000000ff]}……
Tips2_Sudoku_29	就能找出無法使用初級方法\n來找出的數字。
Tips2_Sudoku_30	那麼，讓我們繼續吧。\n這次是{color[ff0c00ff]}３{color[000000ff]}。
Tips2_Sudoku_31	馬上就能找到\n這兩個３，對吧？
Tips2_Sudoku_32	{color[ff0c00ff]}中央左邊{color[000000ff]}方塊的３，\n看來只能填進{color[ff0c00ff]}Ａ{color[000000ff]}或{color[ff0c00ff]}Ｂ{color[000000ff]}。
Tips2_Sudoku_33	同樣地，{color[ff0c00ff]}中央右邊{color[000000ff]}方塊的３，\n也只能填進{color[ff0c00ff]}Ｃ{color[000000ff]}或{color[ff0c00ff]}Ｄ{color[000000ff]}。
Tips2_Sudoku_34	它們處於「{color[ff0c00ff]}Ａ{color[000000ff]}是３，{color[ff0c00ff]}Ｄ{color[000000ff]}就是３」，\n「{color[ff0c00ff]}Ｂ{color[000000ff]}是３，{color[ff0c00ff]}Ｃ{color[000000ff]}就是３」這樣的關係。
Tips2_Sudoku_35	不管是哪一邊，{color[ff0c00ff]}中央{color[000000ff]}方塊的所有{color[ff0c00ff]}Ｅ\n{color[000000ff]}都不可能是３。
Tips2_Sudoku_36	也就是說，{color[ff0c00ff]}中央{color[000000ff]}方塊的{color[ff0c00ff]}３{color[000000ff]}\n可以確定是這個格子了。
Tips2_Sudoku_37	像這樣，如果可以填寫某數字的格子\n{color[ff0c00ff]}只存在於方塊內的２列中{color[000000ff]}……
Tips2_Sudoku_38	當{color[ff0c00ff]}相同的２列存在於別的方塊{color[000000ff]}，\n就能當作{color[ff0c00ff]}提示{color[000000ff]}。
Tips2_Sudoku_39	集中看{color[ff0c00ff]}列{color[000000ff]}，\n也能找到這種模式。
Tips2_Sudoku_40	接下來，就可以用\n至今為止學會的技巧解開問題。
Tips2_Sudoku_41	一些沒有使用它來解開的問題，\n也可以使用這個技巧喔。
Tips2_Sudoku_42	它可以大幅{color[ff0c00ff]}提升解謎速度{color[000000ff]}，\n請務必{color[ff0c00ff]}純熟運用{color[000000ff]}。
Tips3_Sudoku_01	終於來到\n{color[ff0c00ff]}高級技巧{color[000000ff]}了。
Tips3_Sudoku_02	只要能純熟運用這些技巧，\n幾乎就能解開所有問題。
Tips3_Sudoku_03	這次就邊解開這題問題\n邊介紹吧。
Tips3_Sudoku_04	使用初級和中級的技巧，\n就可以填寫到這裡。
Tips3_Sudoku_05	可是，{color[ff0c00ff]}至今為止的做法{color[000000ff]}\n無法繼續解開問題。
Tips3_Sudoku_06	這個時候！
Tips3_Sudoku_07	就先調查一下\n{color[ff0c00ff]}有可能填進空格子的數字{color[000000ff]}吧。
Tips3_Sudoku_08	使用{color[ff0c00ff]}筆記功能{color[000000ff]}，\n記錄調查結果吧。
Tips3_Sudoku_09	那麼，我首先調查了\n上方３列的空格子。
Tips3_Sudoku_10	現在記錄了同一列或同一方塊內\n{color[ff0c00ff]}還沒填寫的數字{color[000000ff]}。
Tips3_Sudoku_11	其實根據這些資訊，\n已經可以確定這些{color[ff0c00ff]}３{color[000000ff]}了……
Tips3_Sudoku_12	要到達這一步，\n不是只有１種思考方式。
Tips3_Sudoku_13	我就在這裡\n說明４種思考方式吧。
Tips3_Sudoku_14	第一種是應用中級技巧時\n說明過的思考方式。
Tips3_Sudoku_15	來集中看{color[ff0c00ff]}中央上方{color[000000ff]}的方塊吧。
Tips3_Sudoku_16	因為從上數下來的{color[ff0c00ff]}第３列{color[000000ff]}中\n某個格子一定要填寫{color[ff0c00ff]}５{color[000000ff]}……
Tips3_Sudoku_17	所以同一列的這個格子\n{color[ff0c00ff]}不可能填寫５{color[000000ff]}。
Tips3_Sudoku_18	同樣地，這個格子\n也不能填寫{color[ff0c00ff]}７{color[000000ff]}。
Tips3_Sudoku_19	因此，左上方塊的{color[ff0c00ff]}３{color[000000ff]}就確定了。\n然後，右上方塊也能確定。
Tips3_Sudoku_20	雖然逐個數字觀察，\n也不會找到答案……
Tips3_Sudoku_21	不過只要像這樣，\n{color[ff0c00ff]}收窄可以填寫的數字範圍{color[000000ff]}……
Tips3_Sudoku_22	就會出現\n{color[ff0c00ff]}只能填寫１個數字{color[000000ff]}的格子。
Tips3_Sudoku_23	接下來是第２個思考方式。\n請集中看這{color[ff0c00ff]}２個格子{color[000000ff]}。
Tips3_Sudoku_24	不管是從{color[ff0c00ff]}右上的方塊{color[000000ff]}，\n還是從{color[ff0c00ff]}上面數下來的第３列{color[000000ff]}來想……
Tips3_Sudoku_25	{color[ff0c00ff]}１{color[000000ff]}和{color[ff0c00ff]}２{color[000000ff]}都只能填進\n這兩個格子。
Tips3_Sudoku_26	這兩個格子\n一個是{color[ff0c00ff]}１{color[000000ff]}，另一個是{color[ff0c00ff]}２{color[000000ff]}……
Tips3_Sudoku_27	不管怎麼樣，\n就是不可能填{color[ff0c00ff]}３{color[000000ff]}。
Tips3_Sudoku_28	因此，右上方塊的{color[ff0c00ff]}３{color[000000ff]}就確定了。\n接下來，左上方塊也能確定。
Tips3_Sudoku_29	像這樣，{color[ff0c00ff]}可以填寫２個數字的格子\n只有２個{color[000000ff]}時……
Tips3_Sudoku_30	就能知道這兩個格子\n{color[ff0c00ff]}不能填寫其他數字{color[000000ff]}。
Tips3_Sudoku_30_02	也有可能出現{color[ff0c00ff]}３個數字\n可以填寫３個格子{color[000000ff]}的情況。
Tips3_Sudoku_31	第３個思考方式，\n需要先準備一下……
Tips3_Sudoku_32	先來思考{color[ff0c00ff]}中央右邊{color[000000ff]}的方塊\n哪裡可以填寫{color[ff0c00ff]}５{color[000000ff]}吧。
Tips3_Sudoku_33	然後，跟第１種思考方式一樣，\n可以知道這裡不是{color[ff0c00ff]}５{color[000000ff]}。
Tips3_Sudoku_34	這樣一來，就能確定這兩個格子\n不是{color[ff0c00ff]}６{color[000000ff]}就是{color[ff0c00ff]}９{color[000000ff]}……
Tips3_Sudoku_35	這邊的格子是{color[ff0c00ff]}６{color[000000ff]}和{color[ff0c00ff]}９{color[000000ff]}以外的數字……\n也就是說，可以確定是{color[ff0c00ff]}５{color[000000ff]}了。
Tips3_Sudoku_36	這樣一來，這個格子\n就不可能填{color[ff0c00ff]}５{color[000000ff]}，所以肯定是{color[ff0c00ff]}３{color[000000ff]}，
Tips3_Sudoku_36_02	同樣地，這裡也確定是{color[ff0c00ff]}３{color[000000ff]}。
Tips3_Sudoku_37	這裡應用了第２種方式。
Tips3_Sudoku_38	當{color[ff0c00ff]}２個格子只能填寫\n２個相同數字{color[000000ff]}時……
Tips3_Sudoku_39	包含那２個格子的方塊或列\n就{color[ff0c00ff]}無法填寫那些數字{color[000000ff]}了。
Tips3_Sudoku_40	最後是第４種思考方式。\n請集中看這{color[ff0c00ff]}３個格子{color[000000ff]}。
Tips3_Sudoku_41	先不說如何組合，這些格子\n分別可以填寫{color[ff0c00ff]}５{color[000000ff]}、{color[ff0c00ff]}６{color[000000ff]}或{color[ff0c00ff]}９{color[000000ff]}。
Tips3_Sudoku_42	因此，{color[ff0c00ff]}同一個方塊{color[000000ff]}的這裡\n不會填寫{color[ff0c00ff]}５{color[000000ff]}、{color[ff0c00ff]}６{color[000000ff]}或{color[ff0c00ff]}９{color[000000ff]}。
Tips3_Sudoku_43	所以，就能確定是{color[ff0c00ff]}３{color[000000ff]}了。
Tips3_Sudoku_44	這跟第３種思考方式一樣，\n只是{color[ff0c00ff]}格子及數字變成３個{color[000000ff]}。
Tips3_Sudoku_45	覺得如何？
Tips3_Sudoku_46	面對困難的問題時，需要{color[ff0c00ff]}同時{color[000000ff]}思考\n{color[ff0c00ff]}多個數字及格子{color[000000ff]}。
Tips3_Sudoku_48	好了，確定這個３之後，\n剩下的就能輕鬆解開了。
Tips3_Sudoku_49	至今為止，我們看過\n各式各樣的技巧……
Tips3_Sudoku_50	不過數字拼圖的解決方法\n還不只有這些。
Tips3_Sudoku_51	{color[ff0c00ff]}尋找屬於自己的解決方法{color[000000ff]}\n也是解謎遊戲的一種樂趣。
Tips3_Sudoku_52	請挑戰各種問題，\n讓自己變得越來越熟練吧！！
Setting_DominantHand	你用{color[ff0c00ff]}哪隻手{color[000000ff]}書寫呢？
Setting_DominantHand_01	請用相反方向\n拿著Nintendo Switch主機。
Setting_Calendar	要在選單畫面顯示\n哪一種日曆呢？
Setting_5Recognition_01	寫「{color[ff0c00ff]}５{color[000000ff]}」的{color[ff0c00ff]}筆畫數{color[000000ff]}每次都一樣嗎？\n還是每次都不同？
Setting_5Recognition_02	你寫「５」的時候是{color[ff0c00ff]}１畫{color[000000ff]}，\n還是{color[ff0c00ff]}２畫{color[000000ff]}呢？
Setting_5Recognition_03	我已經調整為\n更容易識別了。
Setting_5Recognition_04	那麼，我先設定為「{color[ff0c00ff]}標準{color[000000ff]}」。
First_Left_01	是左手啊！
First_Left_02	有研究結果指出，慣用左手的人\n左右腦都可以用來控制運動……
First_Left_03	所以會比慣用右手的人\n更擅長運動。
First_Left_04	說起來，\n所謂大腦……
First_Left_05	糟了，一說起腦的話題就停不下來。\n我們還是進行下一步吧。
First_Left_06	雖然有點麻煩，\n但請把Nintendo Switch主機……
First_Left_07	用相反方向拿著。
First_02_01	啊，在開始{color[ff0c00ff]}腦年齡檢查{color[000000ff]}前，\n我要先問你，
First_02_02	在接下來開始的\n{color[ff0c00ff]}猜拳{color[000000ff]}測試中……
First_02_03	需要用「{color[ff0c00ff]}手{color[000000ff]}」來回答問題。\n你現在可以使用{color[ff0c00ff]}Joy-Con(R){color[000000ff]}嗎？
First_02_04	那麼，將進行{color[ff0c00ff]}手寫{color[000000ff]}的計算測驗。
First_02_20	這次要進行的測驗是\n{color[ff0c00ff]}「{[010d]}」{color[000000ff]}。
First_03_01	為了記錄腦年齡檢查\n或鍛鍊的結果……
First_03_02	將製作你專用的\n{color[ff0c00ff]}「個人資料」{color[000000ff]}。
First_03_03	請告訴我\n{color[ff0c00ff]}你的出生年月日{color[000000ff]}。
First_03_Confirm	是{color[ff0c00ff]}{b}年{[0106]}月{[0107]}日{color[000000ff]}，\n沒問題嗎？
First_03_Confirm_02	之後無法更改。\n是{color[ff0c00ff]}{b}年{[0106]}月{[0107]}日{color[000000ff]}沒錯吧？
First_U20_01	{color[ff0c00ff]}未滿２０歲{color[000000ff]}的你……
First_U20_02	請把這次的腦年齡結果\n當作一個{color[ff0c00ff]}大概{color[000000ff]}來看就好。
First_U20_03	因為你的大腦正處於\n還有很多可能性的時期……
First_U20_04	今後生活時，\n也請{color[ff0c00ff]}留意{color[000000ff]}要使用大腦喔。
First_afterBAC_01	對了，這次是{color[ff0c00ff]}非正式{color[000000ff]}的檢查，\n不會留下記錄。
First_afterBAC_02	在{color[ff0c00ff]}正式{color[000000ff]}的檢測，\n將會知道更詳細的結果。
First_01_01	{[0111]}，\n初次見面，你好！
First_01_02	我是在東北大學\n研究{color[ff0c00ff]}大腦{color[000000ff]}的川島隆太。
First_01_02_02	請多指教！
First_01_03	大腦功能會在{color[ff0c00ff]}２０歲{color[000000ff]}後\n逐漸衰退。
First_01_04	有沒有覺得自己\n最近常常忘東忘西，
First_01_05	無法想起別人的名字\n或是字的寫法，
First_01_06	或是無法忍耐，\n變得易怒……
First_01_07	有出現這些情況嗎？
First_01_08	你的{color[ff0c00ff]}大腦{color[000000ff]}還好嗎？
First_01_09	首先來測試一下\n你現在的{color[ff0c00ff]}腦年齡{color[000000ff]}吧。
First_01_10	我會使用２０多歲至７０多歲的\n被實驗者資料，
First_01_11	計算出你的成績\n與哪個年齡的成績最接近。
First_04_01	現代到處都是文明的利器，\n非常{color[ff0c00ff]}「輕鬆方便」{color[000000ff]}。
First_04_02	可是「輕鬆方便」\n也代表{color[ff0c00ff]}不會用腦跟身體{color[000000ff]}。
First_04_03	那麼，我們在做什麼事的時候\n會用腦呢？
First_04_04	我用可以把大腦活動{color[ff0c00ff]}圖像化{color[000000ff]}的\n最新機器檢測了一下。
First_04_05	請看這張腦的照片。
First_04_06	這是正在{color[ff0c00ff]}思考{color[000000ff]}的腦。
First_04_07	左腦的前額葉\n有少部分在運作。
First_04_08	這是正在看{color[ff0c00ff]}電視{color[000000ff]}的腦。
First_04_09	只有看事物的枕葉\n跟聽聲音的顳葉……
First_04_10	在左右腦中運作。
First_04_11	然後，這是正在快速解答\n{color[ff0c00ff]}簡單計算題{color[000000ff]}的腦。
First_04_12	可以看到左右腦的{color[ff0c00ff]}大部分地方{color[000000ff]}\n都正在活躍地運作。
First_04_13	{color[ff0c00ff]}朗讀{color[000000ff]}時的腦……
First_04_14	左右腦都有{color[ff0c00ff]}很多地方\n{color[000000ff]}正在運作。
First_04_15	根據這樣的研究，
First_04_16	本軟體的鍛鍊\n以{color[ff0c00ff]}簡單的計算題{color[000000ff]}開始，
First_04_17	希望可以為大腦中\n進行最高階工作的{color[ff0c00ff]}前額葉{color[000000ff]}……
First_04_18	帶來活化的效果。
First_04_19	本軟體僅收錄了……
First_04_20	{color[ff0c00ff]}測量{color[000000ff]}前額葉後\n{color[ff0c00ff]}確認到有活化效果{color[000000ff]}的鍛鍊。
First_04_21	另外，我們邀請了３２名年輕人\n及３２名老年人（各有１６名對照組）
First_04_22	遊玩以前同樣為了\n讓{color[ff0c00ff]}前額葉{color[000000ff]}活化而製作的……
First_04_23	{color[ff0c00ff]}Nintendo DS版{color[000000ff]}的\n「大人的DS大腦鍛鍊」。
First_04_24	在連續遊玩４星期，\n每星期５次，每次１５分鐘後，
First_04_25	有進行腦鍛鍊的組別……
First_04_26	腦的{color[ff0c00ff]}執行功能{color[000000ff]}與{color[ff0c00ff]}處理速度{color[000000ff]}\n都有所提升。
First_04_27	以上就是驗證結果。\n(Nouchi et al., 2013)
First_04_28	本軟體同樣以{color[ff0c00ff]}前額葉活化\n{color[000000ff]}為目的而製作……
First_04_29	可能也有助於\n提升大腦功能。
First_04_30	那麼，今後就跟我一起\n繼續{color[ff0c00ff]}鍛鍊{color[000000ff]}吧！
Training_effect_01	「計算２５」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_01_02	以及提升\n{color[ff0c00ff]}大腦的綜合能力{color[000000ff]}。
Training_effect_03	「數字拼圖」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}。
Training_effect_04	「手指計算」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_04_02	以及提升\n{color[ff0c00ff]}大腦的處理速度{color[000000ff]}。
Training_effect_05	「手指體操」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_05_02	以及提升\n{color[ff0c00ff]}大腦的處理速度{color[000000ff]}。
Training_effect_06	「前刻照片」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_06_02	以及提升{color[ff0c00ff]}記憶力{color[000000ff]}。
Training_effect_09	「計算１００」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_09_02	以及提升\n{color[ff0c00ff]}大腦的綜合能力{color[000000ff]}。
Training_effect_10	「數人數」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_10_02	以及提升\n{color[ff0c00ff]}記憶力{color[000000ff]}和{color[ff0c00ff]}集中力{color[000000ff]}。
Training_effect_11	「瞬間記憶」可能有助於\n{color[ff0c00ff]}前額葉活化{color[000000ff]}……
Training_effect_11_02	以及提升{color[ff0c00ff]}記憶力{color[000000ff]}。
TipsB_Start	我來分享一個\n{color[ff0c00ff]}跟腦有關的小知識{color[000000ff]}。
TipsB_2_22_01	與別人說話時，\n「{color[ff0c00ff]}看著對方的眼睛{color[000000ff]}」
TipsB_2_22_02	是最基本的喔。\n(Jeong et al., 2011)
TipsB_2_22_03	這樣可能有助於提升溝通能力，\n或是大腦{color[ff0c00ff]}活化{color[000000ff]}。
TipsB_2_54_01	要是有機會參加{color[ff0c00ff]}派對{color[000000ff]}……
TipsB_2_54_02	試試在嘈雜的環境裡
TipsB_2_54_03	{color[ff0c00ff]}細心聆聽某個人的聲音吧{color[000000ff]}。\n(Holdgraf et al., 2016)
TipsB_2_54_05	這樣可能有助於\n前額葉{color[ff0c00ff]}活化{color[000000ff]}喔。
TipsB_2_29_01	有結果指出，
TipsB_2_29_02	使用{color[ff0c00ff]}菜刀{color[000000ff]}做料理，\n可以使{color[ff0c00ff]}前額葉活化{color[000000ff]}。
TipsB_2_29_03	可能是因為很危險，\n所以要把{color[ff0c00ff]}注意力{color[000000ff]}集中在指尖。
TipsB_2_29_04	如果用削皮器，\n前額葉就不太會運作了。
TipsB_2_29_05	以上就是結果內容。
TipsB_2_29_06	多花{color[ff0c00ff]}工夫{color[000000ff]}使大腦{color[ff0c00ff]}活化{color[000000ff]}……
TipsB_2_29_07	也許會令料理更好吃呢。
TipsB_2_48_01	你會演奏{color[ff0c00ff]}樂器{color[000000ff]}嗎？
TipsB_2_48_02	{color[ff0c00ff]}演奏{color[000000ff]}可能有助於\n前額葉活化。
TipsB_2_48_03	不會的人也可以現在開始學習，\n培養興趣喔。
TipsB_2_48_04	雖然在你練習的時候，\n你身邊的人可能會很難受就是了。
TipsB_2_40_01	把汽車的車牌號碼等\n{color[ff0c00ff]}看到的數字{color[000000ff]}……
TipsB_2_40_02	進行{color[ff0c00ff]}「加、減、乘、除」{color[000000ff]}等計算，\n把答案變成{color[ff0c00ff]}１{color[000000ff]}吧。
TipsB_2_40_03	進行數字計算，\n可能有助於大腦活化喔。
TipsB_2_38_01	在工作或唸書前……
TipsB_2_38_02	花２～３分鐘把當天要做的事\n{color[ff0c00ff]}排好先後順序{color[000000ff]}吧。
TipsB_2_38_03	我認為這種行動\n也可能有助於{color[ff0c00ff]}大腦活化{color[000000ff]}。
TipsB_2_24_01	在努力工作或唸書後……
TipsB_2_24_02	來玩電動遊戲\n讓前額葉{color[ff0c00ff]}降溫{color[000000ff]}吧。
TipsB_2_24_03	透過讓前額葉休息，\n可能有助於提升效率喔。
TipsB_2_33_01	{color[ff0c00ff]}刺激{color[000000ff]}大腦\n可能有助於活化。
TipsB_2_33_02	不過，可不是敲打腦袋\n就可以的。
TipsB_2_33_03	例如去陌生的地方旅行等等……
TipsB_2_33_04	做出{color[ff0c00ff]}帶刺激性的行為{color[000000ff]}，\n可能有助於大腦活化。
TipsB_2_35_01	首先想像一下\n{color[ff0c00ff]}貓的形態{color[000000ff]}。
TipsB_2_35_02	然後想像一下\n{color[ff0c00ff]}梯子的形態{color[000000ff]}。
TipsB_2_35_03	接下來，想像一下{color[ff0c00ff]}「貓梯子」{color[000000ff]}這種\n虛構的東西。
TipsB_2_35_04	你想像到什麼呢？
TipsB_2_35_05	透過想像{color[ff0c00ff]}虛構的東西{color[000000ff]}，\n可能有助於{color[ff0c00ff]}前額葉{color[000000ff]}活化喔。
TipsB_2_37_01	最近有得到療癒嗎？
TipsB_2_37_02	得到療癒，\n也就是{color[ff0c00ff]}放鬆{color[000000ff]}的時候……
TipsB_2_37_03	前額葉似乎也能得到\n很好的休息喔。
TipsB_2_37_04	讓前額葉好好休息\n也是很重要的。
TipsB_2_27_01	最近有{color[ff0c00ff]}唸書{color[000000ff]}嗎？
TipsB_2_27_02	即使年紀大了，腦的{color[ff0c00ff]}突觸{color[000000ff]}\n與{color[ff0c00ff]}神經纖維{color[000000ff]}都會持續增加。
TipsB_2_27_03	可以說不管幾歲，\n{color[ff0c00ff]}唸書{color[000000ff]}對大腦都有好處。
TipsB_2_42_01	在極度{color[ff0c00ff]}緊張{color[000000ff]}的狀態下，\n{color[ff0c00ff]}前額葉{color[000000ff]}不會運作。
TipsB_2_42_02	這個時候，\n可以試試在腦裡……
TipsB_2_42_03	{color[ff0c00ff]}快速地{color[000000ff]}數數字。
TipsB_2_42_04	這是我推薦的\n用來消除緊張的方法。
TipsB_2_23_01	請你想想{color[ff0c00ff]}如何說謊欺騙{color[000000ff]}好朋友。
TipsB_2_23_02	例如玩撲克牌遊戲時，\n讓他選一張錯的牌等等。
TipsB_2_23_03	這個時候不只要思考方法，\n{color[ff0c00ff]}還要考慮對方的心理{color[000000ff]}……
TipsB_2_23_04	我想{color[ff0c00ff]}前額葉\n{color[000000ff]}應該會活躍運作喔。
TipsB_2_23_05	不過，如果這個謊言\n會破壞彼此間的信任……
TipsB_2_23_06	那還是請你\n停留在想像裡就好了。
TipsB_2_07_01	本軟體的主要目的\n是令{color[ff0c00ff]}額葉{color[000000ff]}部分活化。
TipsB_2_07_02	{color[ff0c00ff]}額葉{color[000000ff]}有著抑制忿怒、欲望等\n衝動的職責。
TipsB_2_07_03	小孩子容易衝動，\n正是因為{color[ff0c00ff]}額葉{color[000000ff]}仍未發育。
TipsB_2_07_04	如果{color[ff0c00ff]}額葉{color[000000ff]}功能衰退，\n大人也會無法控制感情。
TipsB_2_07_05	我是這麼認為的。
TipsB_2_07_06	真不想讓{color[ff0c00ff]}額葉{color[000000ff]}衰退啊。
TipsB_2_10_01	根據不同時間，
TipsB_2_10_02	腦的{color[ff0c00ff]}運作情況{color[000000ff]}也大不相同。\n（Schmidt et al., 2007）
TipsB_2_10_03	要讓鍛鍊的{color[ff0c00ff]}成績顯著進步{color[000000ff]}……
TipsB_2_10_04	請盡量每天在同樣的時間\n進行鍛鍊喔。
TipsB_2_08_01	剛開始鍛鍊時，\n成績會大幅進步……
TipsB_2_08_02	不過總有一天會碰壁，\n遇上成績停滯不前的時期。
TipsB_2_08_03	不過只要不放棄持續鍛鍊，\n就會迎來「突破期」，
TipsB_2_08_04	{color[ff0c00ff]}成績{color[000000ff]}又會再次{color[ff0c00ff]}大幅進步{color[000000ff]}。\n（Taylor & Smith, 1956）
TipsB_2_08_05	也許大腦會悄悄地\n儲存力量……
TipsB_2_08_06	為下一次飛躍做準備呢。
TipsB_2_14_01	最近應該有很多機會\n使用電郵或聊天軟體來溝通吧。
TipsB_2_14_02	透過機器對話……\n即使是用電話聊天，\n前額葉也不會活躍運作。
TipsB_2_14_03	以上是研究的結果。\n(Jeong et al., 2011)
TipsB_2_14_04	為了讓大腦活化，\n我還是推薦與人{color[ff0c00ff]}直接{color[000000ff]}見面對話。
