AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
StageChangeInfo10	{c[ffe614]}Hazards{c[000000]} on this stage\nmove at {c[ffe614]}double speed{c[000000]}!
StageChangeTitle13	Explosive Stage
StageChangeInfo13	Only {c[ffe614]}Bombers {c[000000]}and\n{c[ffe614]}Timed Dynamite{c[000000]} here!
StageChangeTitle14	Crackler Stage
StageChangeInfo14	The only items here\nare {c[ffe614]}Cracklers{c[000000]}!
StageChangeTitle15	Action Star Stage
StageChangeInfo15	The only items here\nare {c[ffe614]}Action Stars{c[000000]}!
RogueLevel1	Chapter 1
RogueSub1	Buddy Match Debut
RogueLevel2	Chapter 2
RogueSub2	Secret of the\nSubstitutes
RogueLevel3	Chapter 3
RogueSub3	Challenge from the\nKing and His Knight
RogueLevel4	Chapter 4
RogueSub4	Showdown with\nDestined Rivals
RogueLevel5	Final Chapter
RogueSub5	The Partners Who\nShook the Heavens
RogueFloor	{s[070]}FLOOR {s[100]}\x0e\x02\x01\0
RogueFloorTop	Summit
SingleLevelEasy	Easy
SingleLevelNormal	Normal
SingleLevelHard	Hard
SingleLevelVeryHard	Very Hard
SingleRound	{s[070]}Round {s[100]}\x0e\x02\x01\0
SingleFinalRound	Final Round
EnemyNameKirby	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
EnemyNameOther	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
Name_Boss_Unknown	???
Name_Boss_TwinWoods	Twin Woods
Name_Boss_DoublesEdge	Duo Edge
Name_Boss_KingDedede	King Dedede
Name_Boss_Metaknight	Meta Knight
Name_Boss_ShadowKirby	Shadow Kirby
Enemy1Level	{s[085]}Level {s[100]}\x0e\x02\x01\0
Enemy2Level	{s[085]}Level {s[100]}\x0e\x02\x01\0
ItemRoom.msbt
ItemRoomTitle	Item Room
NextInfo	{s[060]}Floors Left: {s[100]}{c[ffe614]}\x0e\x02\x01\0{c[000000]}
NextInfoLastFloor	{s[060]}Up Next: {s[100]}{s[080]}{c[ffe614]}Summit!{c[000000]}{s[100]}
HpRecovery	Health Recovered!\n{c[ffe614]}+\x0e\x02\x01\0{c[000000]}
Notice	Select an item and power up!
ItemNum	{s[070]}You have {s[100]}\x0e\x02\x01\0
Guide	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 Check stats
GaugeAttack	Attack
GaugeRecovery	Recovery-Item Boost
GaugeGhostPower	Ghost Boost
GaugeCharge	Charge Speed
GaugeScore	\x0e\x02\x02\0
GaugeScoreText	Score
GaugeDigits	\x0e\x02\x01\0
GaugePopupPlus	+\x0e\x02\x02\0
GaugePopupMinus	-\x0e\x02\x02\0
DialogItemText	 acquired!
DialogButton0	Keep going up!
DialogButton1	Save and quit.
FirstTime	Choose {c[ffe614]}one {c[000000]}item to power up\n{c[ffe614]}you {c[000000]}and your {c[ffe614]}buddy{c[000000]}! Whichever\none you choose, its effect will\nlast {c[ffe614]}all the way to the Summit{c[000000]}.
FirstTimeSave	Save complete.\nYou can continue playing\nfrom a {c[ffe614]}Bookmark Save{c[000000]}.
ItemName000	Maxim Tomato
DialogItemName000	Maxim Tomato
ItemInfo000	An extra-powerful {c[ffe614]}recovery {c[000000]}item.\nRestores {c[ffe614]}\x0e\x02\x01\0 health{c[000000]}.
ItemName001	Energy Drink
DialogItemName001	Energy Drink
ItemInfo001	A powerful {c[ffe614]}recovery {c[000000]}item.\nRestores \x0e\x02\x01\0{c[ffe614]} health{c[000000]}.
ItemName002	Cherry
DialogItemName002	Cherry
ItemInfo002	A {c[ffe614]}recovery {c[000000]}item.\nRestores \x0e\x02\x01\0{c[ffe614]} health{c[000000]}.
ItemName003	Attack Stone Lv. 1
DialogItemName003	Attack Stone Lv. 1
ItemInfo003	This stone makes you powerful.\nIt will raise {c[ffe614]}attack {c[000000]}power {c[ffe614]}a little{c[000000]}\nfor you and your buddy.
ItemName004	Attack Stone Lv. 2
DialogItemName004	Attack Stone Lv. 2
ItemInfo004	This stone makes you powerful.\nIt will raise {c[ffe614]}attack {c[000000]}power {c[ffe614]}somewhat\n{c[000000]}for you and your buddy.
ItemName005	Attack Stone Lv. 3
DialogItemName005	Attack Stone Lv. 3
ItemInfo005	This stone makes you powerful.\nIt will raise {c[ffe614]}attack {c[000000]}power {c[ffe614]}quite\na bit {c[000000]}for you and your buddy.
ItemName006	Attack Stone Lv. 4
DialogItemName006	Attack Stone Lv. 4
ItemInfo006	This stone makes you powerful.\nIt will raise {c[ffe614]}attack {c[000000]}power {c[ffe614]}a whole\nlot {c[000000]}for you and your buddy.
ItemName007	Cursed Attack Stone Lv. 5
DialogItemName007	Cursed Attack Stone Lv. 5
ItemInfo007	This stone makes you powerful. It will raise\n{c[ffe614]}attack {c[000000]}power {c[ffe614]}immensely {c[000000]}for you and your buddy...\nbut it will also {c[ffe614]}damage you{c[000000]} for {c[ffe614]}half your health{c[000000]}!
ItemName008	Health Stone Lv. 1
DialogItemName008	Health Stone Lv. 1
ItemInfo008	This stone makes you tough.\nIt will raise {c[ffe614]}maximum health {c[000000]}for\nyou and your buddy by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName009	Health Stone Lv. 2
DialogItemName009	Health Stone Lv. 2
ItemInfo009	This stone makes you tough.\nIt will raise {c[ffe614]}maximum health {c[000000]}for\nyou and your buddy by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName010	Health Stone Lv. 3
DialogItemName010	Health Stone Lv. 3
ItemInfo010	This stone makes you tough.\nIt will raise {c[ffe614]}maximum health {c[000000]}for\nyou and your buddy by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName011	Health Stone Lv. 4
DialogItemName011	Health Stone Lv. 4
ItemInfo011	This stone makes you tough.\nIt will raise {c[ffe614]}maximum health {c[000000]}for\nyou and your buddy by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName012	Cursed Health Stone Lv. 5
DialogItemName012	Cursed Health Stone Lv. 5
ItemInfo012	This stone makes you tough. It will raise {c[ffe614]}maximum\nhealth {c[000000]}for you and your buddy by {c[ffe614]}\x0e\x02\x01\0{c[000000]}...but it will\nalso {c[ffe614]}damage you{c[000000]} for {c[ffe614]}half your health{c[000000]}!
ItemName018	Recovery Stone Lv. 1
DialogItemName018	Recovery Stone Lv. 1
ItemInfo018	This stone makes you peppy.\nIt raises the power of {c[ffe614]}recovery items{c[000000]}\n{c[ffe614]}a little{c[000000]} for you and your buddy.
ItemName019	Recovery Stone Lv. 2
DialogItemName019	Recovery Stone Lv. 2
ItemInfo019	This stone makes you peppy.\nIt raises the power of {c[ffe614]}recovery items\nsomewhat{c[000000]} for you and your buddy.
ItemName020	Recovery Stone Lv. 3
DialogItemName020	Recovery Stone Lv. 3
ItemInfo020	This stone makes you peppy.\nIt raises the power of {c[ffe614]}recovery items{c[000000]}\n{c[ffe614]}quite a bit {c[000000]}for you and your buddy.
ItemName021	Recovery Stone Lv. 4
DialogItemName021	Recovery Stone Lv. 4
ItemInfo021	This stone makes you peppy.\nIt raises the power of {c[ffe614]}recovery items{c[000000]}\n{c[ffe614]}a whole lot{c[000000]} for you and your buddy.
ItemName022	Cursed Recovery Stone Lv. 5
DialogItemName022	Cursed Recovery Stone Lv. 5
ItemInfo022	This stone makes you peppy. It raises the power of\n{c[ffe614]}recovery {c[000000]}items {c[ffe614]}immensely {c[000000]}for you and your buddy...\nbut it will also {c[ffe614]}damage you{c[000000]} for {c[ffe614]}half your health{c[000000]}!
ItemName023	Buddy Skill Up
DialogItemName023	Buddy Skill Up
ItemInfo023	This very rare item {c[ffe614]}increases your buddy's\nskill{c[000000]}, making them stronger and more\neffective.
ItemName034	Ghost Stone Lv. 1
DialogItemName034	Ghost Stone Lv. 1
ItemInfo034	This stone makes you spooky. You'll\nbecome a ghost {c[ffe614]}a little{c[000000]} {c[ffe614]}faster{c[000000]}, and your\n{c[ffe614]}health {c[000000]}will increase {c[ffe614]}a little{c[000000]} after {c[ffe614]}reviving{c[000000]}.
ItemName035	Ghost Stone Lv. 2
DialogItemName035	Ghost Stone Lv. 2
ItemInfo035	This stone makes you spooky. You'll\nbecome a ghost {c[ffe614]}somewhat{c[000000]} {c[ffe614]}faster{c[000000]}, and your\n{c[ffe614]}health {c[000000]}will increase {c[ffe614]}somewhat{c[000000]} after {c[ffe614]}reviving{c[000000]}.
ItemName036	Ghost Stone Lv. 3
DialogItemName036	Ghost Stone Lv. 3
ItemInfo036	This stone makes you spooky. You'll\nbecome a ghost {c[ffe614]}quite a bit{c[000000]} {c[ffe614]}faster{c[000000]}, and your\n{c[ffe614]}health {c[000000]}will increase {c[ffe614]}quite a bit{c[000000]} after {c[ffe614]}reviving{c[000000]}.
ItemName037	Ghost Stone Lv. 4
DialogItemName037	Ghost Stone Lv. 4
ItemInfo037	This stone makes you spooky. You'll\nbecome a ghost {c[ffe614]}a whole lot{c[000000]} {c[ffe614]}faster{c[000000]}, and your\n{c[ffe614]}health {c[000000]}will increase {c[ffe614]}a whole lot{c[000000]} after {c[ffe614]}reviving{c[000000]}.
ItemName038	Cursed Ghost Stone Lv. 5
DialogItemName038	Cursed Ghost Stone Lv. 5
ItemInfo038	This stone makes you spooky. You'll become a ghost\n{c[ffe614]}immensely{c[000000]} faster and have {c[ffe614]}immensely {c[000000]}more {c[ffe614]}health {c[000000]}after\nreviving...but it'll damage you for {c[ffe614]}half your health{c[000000]}!
ItemName039	Quick-Charge Stone Lv. 1
DialogItemName039	Quick-Charge Stone Lv. 1
ItemInfo039	This stone makes you fired up.\nIt'll shorten the {c[ffe614]}charge time{c[000000]} for {c[ffe614]}charge{c[000000]}\nattacks {c[ffe614]}a little{c[000000]} for you and your buddy.
ItemName040	Quick-Charge Stone Lv. 2
DialogItemName040	Quick-Charge Stone Lv. 2
ItemInfo040	This stone makes you fired up.\nIt'll shorten the {c[ffe614]}charge time{c[000000]} for {c[ffe614]}charge{c[000000]}\nattacks {c[ffe614]}somewhat{c[000000]} for you and your buddy.
ItemName041	Quick-Charge Stone Lv. 3
DialogItemName041	Quick-Charge Stone Lv. 3
ItemInfo041	This stone makes you fired up.\nIt'll shorten the {c[ffe614]}charge time{c[000000]} for {c[ffe614]}charge{c[000000]}\nattacks {c[ffe614]}quite a bit{c[000000]} for you and your buddy.
ItemName042	Quick-Charge Stone Lv. 4
DialogItemName042	Quick-Charge Stone Lv. 4
ItemInfo042	This stone makes you fired up.\nIt'll shorten the {c[ffe614]}charge time{c[000000]} for {c[ffe614]}charge{c[000000]}\nattacks {c[ffe614]}a whole lot{c[000000]} for you and your buddy.
ItemName043	Cursed Quick-Charge Stone Lv. 5
DialogItemName043	Cursed Quick-Charge Stone Lv. 5
ItemInfo043	This stone makes you fired up. It'll shorten the {c[ffe614]}charge\ntime{c[000000]} for {c[ffe614]}charge {c[000000]}attacks {c[ffe614]}immensely {c[000000]}for you and your\nbuddy...but it will also damage you for {c[ffe614]}half your health{c[000000]}!
ItemName044	Bandana Waddle Dee Badge
DialogItemName044	Bandana Waddle Dee Badge
ItemInfo044	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Bandana Waddle Dee{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName045	Gooey Badge
DialogItemName045	Gooey Badge
ItemInfo045	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Gooey{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName046	Magolor Badge
DialogItemName046	Magolor Badge
ItemInfo046	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Magolor{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName047	Boss Badge
DialogItemName047	Boss Badge
ItemInfo047	This badge supercharges your {c[ffe614]}attack\n{c[000000]}power against {c[ffe614]}bosses {c[000000]}in the tower.
ItemName048	Mint Leaf Sticker
DialogItemName048	Mint Leaf Sticker
ItemInfo048	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of a {c[ffe614]}Mint Leaf{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName049	Anti-Mike Charm
DialogItemName049	Anti-Mike Charm
ItemInfo049	This charm reduces the damage\nfrom enemy {c[ffe614]}Mike {c[000000]}attacks by {c[ffe614]}75%{c[000000]}.
ItemName050	Crackler Sticker
DialogItemName050	Crackler Sticker
ItemInfo050	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of a {c[ffe614]}Crackler{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName051	Explosives Sticker
DialogItemName051	Explosives Sticker
ItemInfo051	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of {c[ffe614]}Timed Dynamite {c[000000]}and\n{c[ffe614]}Bombers {c[000000]}against enemies by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName052	Extension Sticker
DialogItemName052	Extension Sticker
ItemInfo052	Each sticker of this type extends\nthe {c[ffe614]}remaining time {c[000000]}for the battle by\n{c[ffe614]}\x0e\x02\x01\0 seconds{c[000000]}.
ItemName053	Auto-Heal Sticker
DialogItemName053	Auto-Heal Sticker
ItemInfo053	This sticker increases the {c[ffe614]}auto-heal\n{c[000000]}after winning a battle by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName054	Auto-Guard I
DialogItemName054	Auto-Guard I
ItemInfo054	This rare item {c[ffe614]}guards you automatically\n{c[000000]}every so often. It might end up saving you!
ItemName055	Auto-Guard II
DialogItemName055	Auto-Guard II
ItemInfo055	This very rare item {c[ffe614]}guards you automatically\n{c[000000]}sometimes. It might end up saving you!
ItemName056	Anti-Hazard Charm
DialogItemName056	Anti-Hazard Charm
ItemInfo056	This charm reduces the damage from\n{c[ffe614]}hazards{c[000000]} such as Magma and Springy\nHands by {c[ffe614]}50%{c[000000]}.
ItemName057	Anti-Explosion Charm
DialogItemName057	Anti-Explosion Charm
ItemInfo057	This charm greatly reduces the damage\nfrom {c[ffe614]}Timed Dynamite {c[000000]}and{c[ffe614]} Bombers{c[000000]}.
ItemName059	Anti-Gordo Charm
DialogItemName059	Anti-Gordo Charm
ItemInfo059	This charm reduces the damage from\n{c[ffe614]}Gordo Balls{c[000000]} and {c[ffe614]}Gordos {c[000000]}thrown by\nbosses by {c[ffe614]}75%{c[000000]}.
ItemName060	Zap Weapon Sticker
DialogItemName060	Zap Weapon Sticker
ItemInfo060	This sticker increases a {c[ffe614]}Zap Weapon{c[000000]}'s\ncharge speed and {c[ffe614]}doubles {c[000000]}its electric\n{c[ffe614]}attack {c[000000]}power.
ItemName061	Ice Container Breaking Sticker
DialogItemName061	Ice Container Breaking Sticker
ItemInfo061	This sticker helps you {c[ffe614]}break Ice Containers\n3 times{c[000000]} faster.
ItemName062	Quick-Cheer Sticker
DialogItemName062	Quick-Cheer Sticker
ItemInfo062	This sticker reduces by {c[ffe614]}half{c[000000]} the {c[ffe614]}time{c[000000]} it takes\nfor a successful {c[ffe614]}Cheer{c[000000]} dance. It also {c[ffe614]}doubles\n{c[000000]}the dance's {c[ffe614]}attack {c[000000]}power.
ItemName063	Score-Bonus Sticker
DialogItemName063	Score-Bonus Sticker
ItemInfo063	This sticker increases the {c[ffe614]}score {c[000000]}you\ncan get from a single battle {c[ffe614]}by 10%{c[000000]}.
ItemName064	Item Selection Plus
DialogItemName064	Item Selection Plus
ItemInfo064	This very rare gear {c[ffe614]}adds an extra\n{c[000000]}item slot in the {c[ffe614]}Item Room{c[000000]}.
ItemName065	Cursed Auto-Heal Ring
DialogItemName065	Cursed Auto-Heal Ring
ItemInfo065	A cursed ring. It {c[ffe614]}multiplies{c[000000]} the {c[ffe614]}auto-\nhealing{c[000000]} after a battle by {c[ffe614]}\x0e\x02\x01\0{c[000000]}...but in\nreturn, {c[ffe614]}no food will appear{c[000000]}.
ItemName066	Cursed Attack Ring
DialogItemName066	Cursed Attack Ring
ItemInfo066	A cursed ring. It {c[ffe614]}multiplies{c[000000]} your {c[ffe614]}attack\n{c[000000]}power by {c[ffe614]}\x0e\x02\x02\0{c[000000]}...but in return, your\n{c[ffe614]}maximum health is cut by 66%{c[000000]}.
ItemName067	Cursed Anti-Ghost Ring
DialogItemName067	Cursed Anti-Ghost Ring
ItemInfo067	A cursed ring. It stops your enemies from\n{c[ffe614]}becoming ghosts{c[000000]}...but in return, you and\nyour buddy {c[ffe614]}can't become ghosts{c[000000]} either.
ItemName069	Bronze Score Statue
DialogItemName069	Bronze Score Statue
ItemInfo069	This bronze statue of Kirby\nincreases your {c[ffe614]}score{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName070	Silver Score Statue
DialogItemName070	Silver Score Statue
ItemInfo070	This silver statue of Kirby\nincreases your {c[ffe614]}score{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName071	Gold Score Statue
DialogItemName071	Gold Score Statue
ItemInfo071	This gold statue of Kirby\nincreases your {c[ffe614]}score{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
RareItem	Rare!
SuperRareItem	Super\nRare!
RingThornsIconTwice	x2
LeftCount	\x0e\x02\x01\0
MenuBattleRuleSel.msbt
HeaderTitle	Rule Settings
OperationBack	\x0e\x04\x06\x022\0 Back
OptionItemTitle	Items
OptionItemValue0	None
OptionItemValue1	Normal
OptionItemValue2	Many
OptionItemRuleTitle	Item Settings
OptionItemRuleValue0	None
OptionItemRuleValue1	Recovery Only
OptionItemRuleValue2	No Recovery
OptionItemRuleValue3	No Buddy Star Blaster
OptionItemRuleValue4	Action Star Only
OptionItemRuleValue5	Cheer Pom-Poms Only
OptionItemRuleValue6	Dash Shoes Only
OptionItemRuleValue7	Mike Only
OptionItemRuleDisabled	None
OptionGimmickTitle	Hazards
OptionGimmickValue0	Off
OptionGimmickValue1	On
OptionGhostTitle	Ghosts
OptionGhostValue0	Disable
OptionGhostValue1	Enable
OptionGhostRevengeTitle	Revival Boost
OptionGhostRevengeValue0	Disable
OptionGhostRevengeValue1	Enable
OptionHandiTitle	Handicap
OptionHandiValue0	Manual
OptionHandiValue1	Auto
MenuBattleTypeSel.msbt
HeaderTitle	Battle Type
BattleTypeSolo	Solo
BattleTypeTeam	Team
OperationBack	\x0e\x04\x06\x022\0 Back
OperationBackNet	\x0e\x04\x06\x022\0 Exit
OperationSetting	\x0e\x04\x07\x023\0 Rule Settings
MenuBg.msbt
MenuCharaSel.msbt
HeaderTitleVs	Battle Mode
HeaderTitleRogueStart	Start {s[070]}from{s[100]} Floor 1
HeaderTitleRogueContinue	{s[070]}From {s[100]}Bookmark Save
HeaderTitleSingle	Single-Handed Mode
HeaderTitlePractice	Training Mode
HeaderTitleInetRandom	Random Match
HeaderTitleLocal	Local Play Mode
HeaderTitleInetFriend	Friend Match
OperationBack	\x0e\x04\x06\x022\0 Back
OperationChangeHat	\x0e\x04\x08\x024\0 Change Hat
OperationTeamShuffle	\x0e\x04\x07\x023\0 Shuffle Teams
ButtonDecide	Confirm
SelectPanelNameComputer1	CPU 1
SelectPanelNameComputer2	CPU 2
SelectPanelNameComputer3	CPU 3
SelectPanelNameGuest1	Guest 1
SelectPanelNameGuest2	Guest 2
SelectPanelNameGuest3	Guest 3
SelectPanelNameUser	\x0e\x02\n\0
SelectPanelHandicapOverSweet	Very Easy
SelectPanelHandicapSweet	Easy
SelectPanelHandicapNormal	Normal
SelectPanelHandicapHot	Hard
SelectPanelHandicapOverHot	Very Hard
SelectPanelAutoHandicapOverSweet	{s[070]}Auto-Adjust: {s[100]}Very Easy
SelectPanelAutoHandicapSweet	{s[070]}Auto-Adjust: {s[100]}Easy
SelectPanelAutoHandicapNormal	{s[070]}Auto-Adjust: {s[100]}Normal
SelectPanelAutoHandicapHot	{s[070]}Auto-Adjust: {s[100]}Hard
SelectPanelAutoHandicapOverHot	{s[070]}Auto-Adjust: {s[100]}Very Hard
HandicapSelectTitle	Handicap
HandicapSelectValueOverSweet	Very Easy
HandicapSelectValueSweet	Easy
HandicapSelectValueNormal	Normal
HandicapSelectValueHot	Hard
HandicapSelectValueOverHot	Very Hard
AILevelSelectTitle	CPU Level
GearIndicatorTitle	Hat
RogueRecordPanelLevel1	\x0e\x17\0\0Chapter 1\x0f\x17\0
RogueRecordPanelLevel2	\x0e\x17\0\0Chapter 2\x0f\x17\0
RogueRecordPanelLevel3	\x0e\x17\0\0Chapter 3\x0f\x17\0
RogueRecordPanelLevel4	\x0e\x17\0\0Chapter 4\x0f\x17\0
RogueRecordPanelLevel5	\x0e\x17\0\0Final Chapter\x0f\x17\0
RogueRecordPanelStages	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0F{s[100]}
RogueRecordPanelEmpty	-/{s[070]}-F{s[100]}
RogueRecordPanelHighscore	High Score
RogueSelectPanelWait	Stand by.
RogueDialogSelect1PSingle	First, select a character\nfor the {c[ff8c00]}player {c[000000]}to control!
RogueDialogSelect2PSingle	Next, select a {c[ff8c00]}buddy {c[000000]}character\nto be your partner.
RogueDialogSelect1PMulti	First, select a character\nfor {c[ff8c00]}P1 {c[000000]}to control!
RogueDialogSelect2PMulti	Next, select a {c[ff8c00]}buddy {c[000000]}character\nfor {c[ff8c00]}P2 {c[000000]}to control!
RogueDialogConfirmSuspended	You still have a {c[ff8c00]}Bookmark Save{c[000000]}.\nDelete this save and start {c[ff8c00]}from\nFloor 1{c[000000]}?
SingleDialogNotifyVeryHardOpened	You've unlocked the new\n{c[ff8c00]}Very Hard {c[000000]}difficulty level in\n{c[ff8c00]}Single-Handed Mode{c[000000]}!
SingleRecordPanelEasy	\x0e\x17\0\0Easy\x0f\x17\0
SingleRecordPanelNormal	\x0e\x17\0\0Normal\x0f\x17\0
SingleRecordPanelHard	\x0e\x17\0\0Hard\x0f\x17\0
SingleRecordPanelVeryHard	\x0e\x17\0\0Very Hard\x0f\x17\0
SingleRecordPanelTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
SingleRecordPanelEmpty	--:--{s[070]}.--{s[100]}
SingleRecordPanelBestTime	Best Time
PracticeTextPanel	Select a character.
InetRandomVS	VS
SelectPanelNameInetRandomOpponent	???
SelectPanelAbilityWhip	Whip
SelectPanelAbilityCutter	Cutter
SelectPanelAbilitySword	Sword
SelectPanelAbilityNinja	Ninja
SelectPanelAbilityParasol	Parasol
SelectPanelAbilityHammer	Hammer
SelectPanelAbilityBeam	Beam
SelectPanelAbilityFighter	Fighter
SelectPanelAbilityBomb	Bomb
SelectPanelAbilitySniper	Archer
SelectPanelAbilityBeetle	Beetle
SelectPanelAbilityBell	Bell
SelectPanelAbilityArtist	Artist
SelectPanelAbilityWrestler	Wrestler
SelectPanelAbilityYoyo	Yo-Yo
SelectPanelAbilityStick	Staff
SelectPanelAbilityWater	Water
SelectPanelAbilityMetaknight	Meta Knight
SelectPanelAbilityKingDedede	King Dedede
SelectPanelAbilityBandanaWaddledee	Bandana Waddle Dee
SelectPanelAbilityGooey	Gooey
SelectPanelAbilityMahoroa	Magolor
SelectPanelAbilityRandom	Random
DialogRogueOpenLv2	You got the key to {c[ff8c00]}Chapter 2{c[000000]}!\nOpen the new door and head to\nthe {c[ff8c00]}Summit {c[000000]}where King Dedede\nand Meta Knight await!
DialogRogueOpenLv3	You got the key to {c[ff8c00]}Chapter 3{c[000000]}!\nOpen the new door and head to\nthe {c[ff8c00]}Summit {c[000000]}where King Dedede\nand Meta Knight await you!
DialogRogueOpenLv4	You got the key to {c[ff8c00]}Chapter 4{c[000000]}!\nOpen the new door and head to\nthe {c[ff8c00]}Summit {c[000000]}where King Dedede\nand Meta Knight await you!
DialogRogueOpenLv5	A soaring tower has appeared!\nHere, you must start from {c[ff8c00]}Floor 1\n{c[000000]}if you get a {c[ff8c00]}game over{c[000000]}! Can you\nmaster this {c[ff8c00]}true challenge{c[000000]}?
DialogRogueAllCharacters	Kirby has been added to the\n{c[ff8c00]}buddy {c[000000]}choices for Story Mode!\nPick your favorite {c[ff8c00]}Kirby ability\n{c[000000]}as your buddy!
MenuHeader.msbt
MenuIndicator.msbt
MenuInetBattleTypeSel.msbt
HeaderTitleInetTop	Online Mode
OperationBack	\x0e\x04\x06\x022\0 Back
InetRandomMode	Random Match
InetFriendMode	Friend Match
MenuLRSelBtn.msbt
MenuLvSel.msbt
HeaderTitle	Difficulty
OperationBack	\x0e\x04\x06\x022\0 Back
LevelEasy	Easy
LevelNormal	Normal
LevelHard	Hard
LevelVeryHard	Very Hard
LevelNew	New
RecordTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
RecordEmpty	--:--{s[070]}.--{s[100]}
RecordBestTime	Best Time
ButtonStart	Start
NamePanelAbilityWhip	Whip
NamePanelAbilityCutter	Cutter
NamePanelAbilitySword	Sword
NamePanelAbilityNinja	Ninja
NamePanelAbilityParasol	Parasol
NamePanelAbilityHammer	Hammer
NamePanelAbilityBeam	Beam
NamePanelAbilityFighter	Fighter
NamePanelAbilityBomb	Bomb
NamePanelAbilitySniper	Archer
NamePanelAbilityBeetle	Beetle
NamePanelAbilityBell	Bell
NamePanelAbilityArtist	Artist
NamePanelAbilityWrestler	Wrestler
NamePanelAbilityYoyo	Yo-Yo
NamePanelAbilityStick	Staff
NamePanelAbilityWater	Water
NamePanelAbilityMetaknight	Meta Knight
NamePanelAbilityKingDedede	King Dedede
NamePanelAbilityBandanaWaddledee	Bandana Waddle Dee
NamePanelAbilityGooey	Gooey
NamePanelAbilityMahoroa	Magolor
MenuLvSelRogue.msbt
Rogue_HeaderTitleStart	Start {s[070]}from{s[100]} Floor 1
Rogue_HeaderTitleContinue	{s[070]}From {s[100]}Bookmark Save
OperationBack	\x0e\x04\x06\x022\0 Back
Rogue_Level1	Chapter 1
Rogue_Level2	Chapter 2
Rogue_Level3	Chapter 3
Rogue_Level4	Chapter 4
Rogue_Level5	Final Chapter
Rogue_Title1	Buddy Match Debut
Rogue_Title2	Secret of the Substitutes
Rogue_Title3	The King and His Knight
Rogue_Title4	Showdown with Destined Rivals
Rogue_Title5	The Partners Who Shook the Heavens
Rogue_HiScoreText	High Score
Rogue_HiScore	\x0e\x02\x01\0
Rogue_HiFloor	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0F{s[100]}
Rogue_NoFloor	--/{s[070]}--F{s[100]}
Rogue_StartText	Start
Rogue_ContinueText	{s[080]}Start from {s[100]}\x0e\x02\x01\0F
Rogue_AbilityWhip	Whip
Rogue_AbilityCutter	Cutter
Rogue_AbilitySword	Sword
Rogue_AbilityNinja	Ninja
Rogue_AbilityParasol	Parasol
Rogue_AbilityHammer	Hammer
Rogue_AbilityBeam	Beam
Rogue_AbilityFighter	Fighter
Rogue_AbilityBomb	Bomb
Rogue_AbilitySniper	Archer
Rogue_AbilityBeetle	Beetle
Rogue_AbilityBell	Bell
Rogue_AbilityArtist	Artist
Rogue_AbilityWrestler	Wrestler
Rogue_AbilityYoyo	Yo-Yo
Rogue_AbilityStick	Staff
Rogue_AbilityWater	Water
Rogue_AbilityMetaknight	Meta Knight
Rogue_AbilityDedede	King Dedede
Rogue_AbilityWaddledee	Bandana Waddle Dee
Rogue_AbilityGooey	Gooey
Rogue_AbilityMahoroa	Magolor
Rogue_DialogExplain	The {c[ff8c00]}Final Chapter{c[000000]} has an extra\nchallenge of making you {c[ff8c00]}start\nover from Floor 1{c[000000]} if you lose\na total of {c[ff8c00]}\x0e\x02\x02\0 times{c[000000]}.
