AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
ItemName048	さつまいも{r2[きょうか]}強化{/r2}シール
DialogItemName048	さつまいも{r2[きょうか]}強化{/r2}シール
ItemInfo048	{c[ffe614]}さつまいも{c[000000]}の {c[ffe614]}こうげきりょく{c[000000]}が\n1{r2[まい]}枚{/r2} ごとに {c[ffe614]}\x0e\x02\x01\0{r2[ばい]}倍{/r2}アップ{c[000000]}する シール。
ItemName049	マイクダメージのおまもり
DialogItemName049	マイクダメージのおまもり
ItemInfo049	てきが {r2[つか]}使{/r2}った {c[ffe614]}マイク{c[000000]}から\nうける ダメージが {c[ffe614]}1/4{c[000000]}に へる おまもり。
ItemName050	クラッカー{r2[きょうか]}強化{/r2}シール
DialogItemName050	クラッカー{r2[きょうか]}強化{/r2}シール
ItemInfo050	{c[ffe614]}クラッカー{c[000000]}の {c[ffe614]}こうげきりょく{c[000000]}が\n1{r2[まい]}枚{/r2} ごとに {c[ffe614]}\x0e\x02\x01\0{r2[ばい]}倍{/r2}アップ{c[000000]}する シール。
ItemName051	ばくはつアイテム{r2[きょうか]}強化{/r2}シール
DialogItemName051	ばくはつアイテム{r2[きょうか]}強化{/r2}シール
ItemInfo051	てきへの {c[ffe614]}タイマーダイナマイト{c[000000]}と{c[ffe614]}ボンバー{c[000000]}の\n{c[ffe614]}こうげきりょく{c[000000]}が 1{r2[まい]}枚{/r2} ごとに {c[ffe614]}\x0e\x02\x01\0{r2[ばい]}倍{/r2}アップ{c[000000]}する シール。
ItemName052	タイムボーナスシール
DialogItemName052	タイムボーナスシール
ItemInfo052	バトルの {c[ffe614]}のこり{r2[じかん]}時間{/r2}{c[000000]}が\n1{r2[まい]}枚{/r2} ごとに {c[ffe614]}\x0e\x02\x01\0{r2[びょう]}秒{/r2}{c[000000]} ふえる シール。
ItemName053	じどうかいふくシール
DialogItemName053	じどうかいふくシール
ItemInfo053	バトルに しょうりした あと、 たいりょくの\n{c[ffe614]}じどうかいふく{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}ふえる シール。
ItemName054	オートガードアップ {r2[レベル]}Lv{/r2}1
DialogItemName054	オートガードアップ {r2[レベル]}Lv{/r2}1
ItemInfo054	まれに {c[ffe614]}じどうでガード{c[000000]}してくれる\nもしもの{r2[とき]}時{/r2}に やくだつ レアアイテム。
ItemName055	オートガードアップ {r2[レベル]}Lv{/r2}2
DialogItemName055	オートガードアップ {r2[レベル]}Lv{/r2}2
ItemInfo055	ときどき {c[ffe614]}じどうでガード{c[000000]}してくれる\nもしもの{r2[とき]}時{/r2}に やくだつ スーパーレアアイテム！
ItemName056	{r2[ちけい]}地形{/r2}ダメージのおまもり
DialogItemName056	{r2[ちけい]}地形{/r2}ダメージのおまもり
ItemInfo056	マグマや ボヨヨンハンド などの {c[ffe614]}ステージのしかけ{c[000000]}から\nうける ダメージが {c[ffe614]}{r2[はんぶん]}半分{/r2}{c[000000]}に へる おまもり。
ItemName057	ばくはつダメージのおまもり
DialogItemName057	ばくはつダメージのおまもり
ItemInfo057	{c[ffe614]}タイマーダイナマイト{c[000000]}や {c[ffe614]}ボンバー{c[000000]}から\nうける ダメージが {c[ffe614]}かなり へる{c[000000]} おまもり。
ItemName059	ゴルドーダメージのおまもり
DialogItemName059	ゴルドーダメージのおまもり
ItemInfo059	{c[ffe614]}ゴルボール{c[000000]}や、 ボスが なげる{c[ffe614]}ゴルドー{c[000000]}から\nうけるダメージが {c[ffe614]}1/4{c[000000]}に へる おまもり。
ItemName060	バリッカウェポン{r2[きょうか]}強化{/r2}シール
DialogItemName060	バリッカウェポン{r2[きょうか]}強化{/r2}シール
ItemInfo060	{c[ffe614]}バリッカウェポン{c[000000]}の たまる {c[ffe614]}スピード{c[000000]}が {r2[あ]}上{/r2}がり、\nでんげきの {c[ffe614]}こうげきりょく{c[000000]}も{c[ffe614]} 2{r2[ばい]}倍{/r2}{c[000000]}に なる シール。
ItemName061	アイスコンテナはかいシール
DialogItemName061	アイスコンテナはかいシール
ItemInfo061	{c[ffe614]}アイスコンテナ{c[000000]}を {c[ffe614]}3{r2[ばい]}倍{/r2}{c[000000]} はやく\n{c[ffe614]}こわせる{c[000000]} ようになる シール。
ItemName062	おうえんポンポン{r2[こうそく]}高速{/r2}シール
DialogItemName062	おうえんポンポン{r2[こうそく]}高速{/r2}シール
ItemInfo062	{c[ffe614]}おうえんポンポン{c[000000]}の ダンス せいこうまでの\n{c[ffe614]}{r2[じかん]}時間{/r2}{c[000000]}が{c[ffe614]} {r2[はんぶん]}半分{/r2}{c[000000]}になり、 {c[ffe614]}こうげきりょく{c[000000]}も\n{c[ffe614]}2{r2[ばい]}倍{/r2}{c[000000]}に アップする シール。
ItemName063	スコアアップシール
DialogItemName063	スコアアップシール
ItemInfo063	1{r2[かい]}回{/r2}の バトルで ゲットできる {c[ffe614]}スコア{c[000000]}が\n{c[ffe614]}10％アップ{c[000000]}する シール。
ItemName064	アイテムセレクトプラス1
DialogItemName064	アイテムセレクトプラス1
ItemInfo064	スーパーレアな アイテム。\nなんと {c[ffe614]}アイテムルーム{c[000000]}に ならぶ アイテムが\n{c[ffe614]}ひとつふえる!{c[000000]}
ItemName065	{r2[のろ]}呪{/r2}いのリング・じどうかいふく
DialogItemName065	{r2[のろ]}呪{/r2}いのリング・じどうかいふく
ItemInfo065	のろわれた リング。\nバトル{r2[ご]}後{/r2}の {c[ffe614]}じどうかいふく{c[000000]}が なんと {c[ffe614]}\x0e\x02\x01\0{r2[ばい]}倍{/r2}{c[000000]}に アップ。\nかわりに{c[ffe614]} たべもの{c[000000]}が いっさい {c[ffe614]}{r2[で]}出{/r2}なくなる。{c[000000]}
ItemName066	{r2[のろ]}呪{/r2}いのリング・こうげきアップ
DialogItemName066	{r2[のろ]}呪{/r2}いのリング・こうげきアップ
ItemInfo066	のろわれた リング。\n{c[ffe614]}こうげきりょく{c[000000]}が なんと {c[ffe614]}\x0e\x02\x02\0{r2[ばい]}倍{/r2}{c[000000]}に アップ。\nかわりに {c[ffe614]}{r2[さいだい]}最大{/r2}たいりょくが 1/3{c[000000]}に なってしまう。
ItemName067	{r2[のろ]}呪{/r2}いのリング・ゴースト{r2[か]}化{/r2}なし
DialogItemName067	{r2[のろ]}呪{/r2}いのリング・ゴースト{r2[か]}化{/r2}なし
ItemInfo067	のろわれた リング。\nあいてを {c[ffe614]}ゴーストに させずに{c[000000]} たおせる。\nかわりに じぶんとバディも {c[ffe614]}ゴーストに なれない。{c[000000]}
ItemName069	スコアアップ・ブロンズ
DialogItemName069	スコアアップ・ブロンズ
ItemInfo069	とると {c[ffe614]}かくとくスコア{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする\nブロンズの カービィ{r2[ぞう]}像{/r2}。
ItemName070	スコアアップ・シルバー
DialogItemName070	スコアアップ・シルバー
ItemInfo070	とると {c[ffe614]}かくとくスコア{c[000000]}が{c[ffe614]} \x0e\x02\x01\0{c[000000]}アップする\nシルバーの カービィ{r2[ぞう]}像{/r2}。
ItemName071	スコアアップ・ゴールド
DialogItemName071	スコアアップ・ゴールド
ItemInfo071	とると {c[ffe614]}かくとくスコア{c[000000]}が {c[ffe614]}\x0e\x02\x01\0{c[000000]}アップする\nゴールドの カービィ{r2[ぞう]}像{/r2}。
RareItem	レア！
SuperRareItem	スーパー\nレア！
RingThornsIconTwice	{s[080]}×{s[100]}2
LeftCount	\x0e\x02\x01\0
MenuBattleRuleSel.msbt
HeaderTitle	{s[120]}ルールせってい{s[100]}
OperationBack	\x0e\x04\x06\x022\0とじる
OptionItemTitle	アイテム
OptionItemValue0	なし
OptionItemValue1	ふつう
OptionItemValue2	たくさん
OptionItemRuleTitle	アイテムルール
OptionItemRuleValue0	ルールなし
OptionItemRuleValue1	かいふくのみ
OptionItemRuleValue2	かいふくなし
OptionItemRuleValue3	バディシューティングスターなし
OptionItemRuleValue4	ハプニングスターのみ
OptionItemRuleValue5	おうえんポンポンのみ
OptionItemRuleValue6	ダッシュシューズのみ
OptionItemRuleValue7	マイクのみ
OptionItemRuleDisabled	なし
OptionGimmickTitle	しかけ
OptionGimmickValue0	なし
OptionGimmickValue1	あり
OptionGhostTitle	ゴースト
OptionGhostValue0	なし
OptionGhostValue1	あり
OptionGhostRevengeTitle	ゴーストふっかつ{r2[きょうか]}強化{/r2}
OptionGhostRevengeValue0	なし
OptionGhostRevengeValue1	あり
OptionHandiTitle	ハンデ
OptionHandiValue0	じぶんで
OptionHandiValue1	オート
MenuBattleTypeSel.msbt
HeaderTitle	バトルタイプ
BattleTypeSolo	こじん{r2[せん]}戦{/r2}
BattleTypeTeam	チーム{r2[せん]}戦{/r2}
OperationBack	\x0e\x04\x06\x022\0もどる
OperationBackNet	\x0e\x04\x06\x022\0おわる
OperationSetting	\x0e\x04\x07\x023\0ルールせってい
MenuBg.msbt
MenuCharaSel.msbt
HeaderTitleVs	{r2[たいせん]}対戦{/r2}モード
HeaderTitleRogueStart	1{r2[かい]}階{/r2}{s[070]}から {s[100]}はじめる
HeaderTitleRogueContinue	とちゅうセーブ{s[070]}から{s[100]}
HeaderTitleSingle	ひとりでモード
HeaderTitlePractice	トレーニングモード
HeaderTitleInetRandom	だれかとマッチ
HeaderTitleLocal	ローカルモード
HeaderTitleInetFriend	フレンドマッチ
OperationBack	\x0e\x04\x06\x022\0もどる
OperationChangeHat	\x0e\x04\x08\x024\0ぼうしへんこう
OperationTeamShuffle	\x0e\x04\x07\x023\0チームシャッフル
ButtonDecide	けってい
SelectPanelNameComputer1	CP1
SelectPanelNameComputer2	CP2
SelectPanelNameComputer3	CP3
SelectPanelNameGuest1	ゲスト1
SelectPanelNameGuest2	ゲスト2
SelectPanelNameGuest3	ゲスト3
SelectPanelNameUser	\x0e\x02\n\0
SelectPanelHandicapOverSweet	めちゃあま
SelectPanelHandicapSweet	あまい
SelectPanelHandicapNormal	ふつう
SelectPanelHandicapHot	キビシイ
SelectPanelHandicapOverHot	めちゃキビ
SelectPanelAutoHandicapOverSweet	{s[070]}オートハンデ：{s[100]}めちゃあま
SelectPanelAutoHandicapSweet	{s[070]}オートハンデ：{s[100]}あまい
SelectPanelAutoHandicapNormal	{s[070]}オートハンデ：{s[100]}ふつう
SelectPanelAutoHandicapHot	{s[070]}オートハンデ：{s[100]}キビシイ
SelectPanelAutoHandicapOverHot	{s[070]}オートハンデ：{s[100]}めちゃキビ
HandicapSelectTitle	ハンデ
HandicapSelectValueOverSweet	めちゃあま
HandicapSelectValueSweet	あまい
HandicapSelectValueNormal	ふつう
HandicapSelectValueHot	キビシイ
HandicapSelectValueOverHot	めちゃキビ
AILevelSelectTitle	CPレベル
GearIndicatorTitle	ぼうし
RogueRecordPanelLevel1	第1章
RogueRecordPanelLevel2	第2章
RogueRecordPanelLevel3	第3章
RogueRecordPanelLevel4	第4章
RogueRecordPanelLevel5	第5章
RogueRecordPanelStages	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0階{s[100]}
RogueRecordPanelEmpty	-/{s[070]}-階{s[100]}
RogueRecordPanelHighscore	ハイスコア
RogueSelectPanelWait	たいき{r2[ちゅう]}中{/r2}
RogueDialogSelect1PSingle	まずは {c[ff8c00]}プレイヤー{c[000000]}が そうさする\nキャラクターを せんたく しよう！
RogueDialogSelect2PSingle	つぎは なかまとなる {c[ff8c00]}バディ{c[000000]}を\nせんたく しよう！
RogueDialogSelect1PMulti	まずは {c[ff8c00]}1P{c[000000]}が そうさする\nキャラクターを せんたく しよう！
RogueDialogSelect2PMulti	つぎは {c[ff8c00]}2P{c[000000]}が そうさする\nなかまの {c[ff8c00]}バディ{c[000000]}を せんたく しよう！
RogueDialogConfirmSuspended	{c[ff8c00]}「とちゅうセーブ」{c[000000]}が のこって います。\nとちゅうまでの データを {r2[け]}消{/r2}して\n{c[ff8c00]}1{r2[かい]}階{/r2}から{c[000000]} はじめますか？
SingleDialogNotifyVeryHardOpened	{c[ff8c00]}ひとりでモード{c[000000]}の {r2[あら]}新{/r2}たな\nなんいど {c[ff8c00]}「めちゃむず」{c[000000]}に\nいどめるように なった！
SingleRecordPanelEasy	やさしい
SingleRecordPanelNormal	ふつう
SingleRecordPanelHard	むずかしい
SingleRecordPanelVeryHard	めちゃむず
SingleRecordPanelTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
SingleRecordPanelEmpty	--:--{s[070]}.--{s[100]}
SingleRecordPanelBestTime	ベストタイム
PracticeTextPanel	れんしゅうする キャラクターを\nえらんで ください。
InetRandomVS	VS
SelectPanelNameInetRandomOpponent	？？？
SelectPanelAbilityWhip	ウィップ
SelectPanelAbilityCutter	カッター
SelectPanelAbilitySword	ソード
SelectPanelAbilityNinja	ニンジャ
SelectPanelAbilityParasol	パラソル
SelectPanelAbilityHammer	ハンマー
SelectPanelAbilityBeam	ビーム
SelectPanelAbilityFighter	ファイター
SelectPanelAbilityBomb	ボム
SelectPanelAbilitySniper	スナイパー
SelectPanelAbilityBeetle	ビートル
SelectPanelAbilityBell	ベル
SelectPanelAbilityArtist	アーティスト
SelectPanelAbilityWrestler	レスラー
SelectPanelAbilityYoyo	ヨーヨー
SelectPanelAbilityStick	スティック
SelectPanelAbilityWater	ウォーター
SelectPanelAbilityMetaknight	メタナイト
SelectPanelAbilityKingDedede	デデデ大王
SelectPanelAbilityBandanaWaddledee	バンダナワドルディ
SelectPanelAbilityGooey	グーイ
SelectPanelAbilityMahoroa	マホロア
SelectPanelAbilityRandom	おまかせ
DialogRogueOpenLv2	{c[ff8c00]}{r2[だい]}第{/r2}2{r2[しょう]}章{/r2}{c[000000]}への カギを {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[あら]}新{/r2}たな トビラを ひらいて\nデデデ{r2[だいおう]}大王{/r2}と メタナイトが {r2[ま]}待{/r2}つ\n{c[ff8c00]}{r2[さいじょうかい]}最上階{/r2}{c[000000]}を めざそう！
DialogRogueOpenLv3	{c[ff8c00]}{r2[だい]}第{/r2}3{r2[しょう]}章{/r2}{c[000000]}への カギを {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[あら]}新{/r2}たな トビラを ひらいて\nデデデ{r2[だいおう]}大王{/r2}と メタナイトが {r2[ま]}待{/r2}つ\n{c[ff8c00]}{r2[さいじょうかい]}最上階{/r2}{c[000000]}を めざそう！
DialogRogueOpenLv4	{c[ff8c00]}{r2[だい]}第{/r2}4{r2[しょう]}章{/r2}{c[000000]}への カギを {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[あら]}新{/r2}たな トビラを ひらいて\nデデデ{r2[だいおう]}大王{/r2}と メタナイトが {r2[ま]}待{/r2}つ\n{c[ff8c00]}{r2[けっせん]}決戦{/r2}の {r2[さいじょうかい]}最上階{/r2}{c[000000]}を めざそう！
DialogRogueOpenLv5	{r2[てん]}天{/r2}を つらぬく {r2[とう]}塔{/r2}が あらわれた！\n{c[ff8c00]}ゲームオーバー{c[000000]}になると、 {c[ff8c00]}1{r2[かい]}階{/r2}から{c[000000]}\n{c[ff8c00]}やりなおし{c[000000]}の ゲキムズ なんいど！\n{c[ff8c00]}{r2[しん]}真{/r2}の {r2[けっせん]}決戦{/r2}{c[000000]}に いどむんだ！
DialogRogueAllCharacters	ストーリーモードで えらべる {c[ff8c00]}バディ{c[000000]}に\n{c[ff8c00]}カービィ{c[000000]}が ついか された！\n{r2[す]}好{/r2}きな {c[ff8c00]}のうりょく{c[000000]}の カービィを\nバディに えらんで みよう！
MenuHeader.msbt
MenuIndicator.msbt
MenuInetBattleTypeSel.msbt
HeaderTitleInetTop	オンラインモード
OperationBack	\x0e\x04\x06\x022\0もどる
InetRandomMode	だれかとマッチ
InetFriendMode	フレンドマッチ
MenuLRSelBtn.msbt
MenuLvSel.msbt
HeaderTitle	なんいど
OperationBack	\x0e\x04\x06\x022\0もどる
LevelEasy	やさしい
LevelNormal	ふつう
LevelHard	むずかしい
LevelVeryHard	めちゃむず
LevelNew	NEW
RecordTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
RecordEmpty	--:--{s[070]}.--{s[100]}
RecordBestTime	ベストタイム
ButtonStart	スタート
NamePanelAbilityWhip	ウィップ
NamePanelAbilityCutter	カッター
NamePanelAbilitySword	ソード
NamePanelAbilityNinja	ニンジャ
NamePanelAbilityParasol	パラソル
NamePanelAbilityHammer	ハンマー
NamePanelAbilityBeam	ビーム
NamePanelAbilityFighter	ファイター
NamePanelAbilityBomb	ボム
NamePanelAbilitySniper	スナイパー
NamePanelAbilityBeetle	ビートル
NamePanelAbilityBell	ベル
NamePanelAbilityArtist	アーティスト
NamePanelAbilityWrestler	レスラー
NamePanelAbilityYoyo	ヨーヨー
NamePanelAbilityStick	スティック
NamePanelAbilityWater	ウォーター
NamePanelAbilityMetaknight	メタナイト
NamePanelAbilityKingDedede	デデデ大王
NamePanelAbilityBandanaWaddledee	バンダナワドルディ
NamePanelAbilityGooey	グーイ
NamePanelAbilityMahoroa	マホロア
MenuLvSelRogue.msbt
Rogue_HeaderTitleStart	1{r2[かい]}階{/r2}{s[070]}から {s[100]}はじめる
Rogue_HeaderTitleContinue	とちゅうセーブ{s[070]}から{s[100]}
OperationBack	\x0e\x04\x06\x022\0もどる
Rogue_Level1	{r2[だい]}第{/r2}1{r2[しょう]}章{/r2}
Rogue_Level2	{r2[だい]}第{/r2}2{r2[しょう]}章{/r2}
Rogue_Level3	{r2[だい]}第{/r2}3{r2[しょう]}章{/r2}
Rogue_Level4	{r2[だい]}第{/r2}4{r2[しょう]}章{/r2}
Rogue_Level5	{r2[だい]}第{/r2}5{r2[しょう]}章{/r2}
Rogue_Title1	はじまりのバディマッチ
Rogue_Title2	{r2[かげむしゃ]}影武者{/r2}のヒミツ
Rogue_Title3	{r2[だいおう]}大王{/r2}と{r2[きし]}騎士{/r2}への{r2[ちょうせん]}挑戦{/r2}
Rogue_Title4	{r2[けっせん]}決戦{/r2}！{r2[しゅくめい]}宿命{/r2}のライバル{r2[たち]}達{/r2}
Rogue_Title5	{r2[しん]}真{/r2}の{r2[けっせん]}決戦{/r2}！{r2[てん]}天{/r2}を{r2[つらぬ]}貫{/r2}く{r2[きずな]}絆{/r2}
Rogue_HiScoreText	ハイスコア
Rogue_HiScore	\x0e\x02\x01\0
Rogue_HiFloor	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0{r2[かい]}階{/r2}{s[100]}
Rogue_NoFloor	--/{s[070]}--{r2[かい]}階{/r2}{s[100]}
Rogue_StartText	スタート
Rogue_ContinueText	\x0e\x02\x01\0{s[080]}{r2[かい]}階{/r2}からスタート{s[100]}
Rogue_AbilityWhip	ウィップ
Rogue_AbilityCutter	カッター
Rogue_AbilitySword	ソード
Rogue_AbilityNinja	ニンジャ
Rogue_AbilityParasol	パラソル
Rogue_AbilityHammer	ハンマー
Rogue_AbilityBeam	ビーム
Rogue_AbilityFighter	ファイター
Rogue_AbilityBomb	ボム
Rogue_AbilitySniper	スナイパー
Rogue_AbilityBeetle	ビートル
Rogue_AbilityBell	ベル
Rogue_AbilityArtist	アーティスト
Rogue_AbilityWrestler	レスラー
Rogue_AbilityYoyo	ヨーヨー
Rogue_AbilityStick	スティック
Rogue_AbilityWater	ウォーター
Rogue_AbilityMetaknight	メタナイト
Rogue_AbilityDedede	デデデ大王
Rogue_AbilityWaddledee	バンダナワドルディ
Rogue_AbilityGooey	グーイ
Rogue_AbilityMahoroa	マホロア
Rogue_DialogExplain	{c[ff8c00]}{r2[だい]}第{/r2}5{r2[しょう]}章{/r2}{c[000000]}は、 ごうけい{c[ff8c00]}\x0e\x02\x02\0{r2[かい]}回{/r2} {c[000000]}まけると\n{c[ff8c00]}1{r2[かい]}階{/r2}から やりなおし{c[000000]}になる\nめちゃハードな なんいどだ！
Rogue_DialogExplain2	{c[ff8c00]}のこり チャレンジ{r2[すう]}数{/r2}{c[000000]}に、\nそして {c[ff8c00]}アイテムえらび{c[000000]}に\n{r2[ちゅうい]}注意{/r2} しながら、\n{c[ff8c00]}{r2[しん]}真{/r2}の {r2[さいじょうかい]}最上階{/r2}{c[000000]}を めざそう！
MenuMatching.msbt
HeaderTitle	マッチング{r2[ちゅう]}中{/r2}
OperationBack	\x0e\x04\x06\x022\0もどる
CloseRoom	しめきる
UserNameFront	\x0e\x02\n\0
CpNameFront	\x0e\x17\x02\0CP\x0e\x02\x01\0\x0f\x17\x02
WaitingPlate	しばらく おまちください
WaitingPlate_WithoutBg	{r2[ぜんいん]}全員{/r2}そろうまで おまちください
MenuMemberSel.msbt
HeaderTitle	プレイヤーにんずう
PlayersCount1	1{s[070]}人{s[100]}
PlayersCount2	2{s[070]}人{s[100]}
PlayersCount3	3{s[070]}人{s[100]}
PlayersCount4	4{s[070]}人{s[100]}
OperationBack	\x0e\x04\x06\x022\0もどる
MenuMemberSelRogue.msbt
HeaderTitle	プレイヤーにんずう
PlayersCount1	1{s[070]}人{s[100]}
PlayersCount2	2{s[070]}人{s[100]}
OperationBack	\x0e\x04\x06\x022\0もどる
RogueStart	はじめる！
RogueContinue	とちゅうセーブ{s[070]}から{s[100]}
MenuPlayerBase.msbt
PlayerOk	OK
MenuPlayerCursor.msbt
MenuPlayerLamp.msbt
MenuPlayerNum.msbt
MenuRoomSel.msbt
HeaderTitle	グループせんたく
OperationBack	\x0e\x04\x06\x022\0もどる
OperationSearchRoom	\x0e\x04\n\x02a\0リストこうしん
NoRoom	グループが ありません。\n\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0で グループを つくるか、\n\x0e\x04\n\x02a\0で リストを {r2[こうしん]}更新{/r2}して ください。
NoRoomTrial	ぼしゅう{r2[ちゅう]}中{/r2}の グループが ありません。\n\x0e\x04\n\x02a\0でリストを {r2[こうしん]}更新{/r2}して ください。
CreateRoom	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0グループをつくる
HostName	\x0e\x02\n\0
MenuStageSel.msbt
HeaderTitle	ステージせんたく
OperationBack	\x0e\x04\x06\x022\0もどる
SelectPanelStageCastleLololo	キャッスルロロロ
SelectPanelStageBubblyClouds	バブリークラウズ
SelectPanelStageForestCoo	クーの{r2[もり]}森{/r2}
SelectPanelStageDededeRing	デデデリング
SelectPanelStageFactory	こうじょうけんがく
SelectPanelStageBoyoyonHand	ボヨヨンハンドステージ
SelectPanelStageDynaBlade	ダイナブレイドの{r2[す]}巣{/r2}
SelectPanelStageButterBuilding	バタービルディング
SelectPanelStageVolcano	ハルドラボ{r2[かざん]}火山{/r2}
SelectPanelStageRainbowResort	{r2[ゆめ]}夢{/r2}の{r2[いずみ]}泉{/r2}
SelectPanelStageRunawayTrain	ワドルディトレイン
SelectPanelStageGreenGreeting	グリーングリーティング
SelectPanelStageJambastion	{r2[あんこく]}暗黒{/r2}ようさいジャマハルダ{r2[まえ]}前{/r2}
SelectPanelStageSummit	{r2[てんくう]}天空{/r2}
SelectPanelStageGigavolt	{r2[てつきょへい]}鉄巨兵{/r2}ギガヴォルト
SelectPanelStageGigantGround	{r2[こかつ]}枯渇{/r2}した{r2[うみ]}海{/r2}
SelectPanelStageGourmetRace	{r2[げきとつ]}激突{/r2}！グルメレース
SelectPanelStageDededeTower	{r2[しゅくめい]}宿命{/r2}のライバルの{r2[ま]}間{/r2}
SelectPanelStageDededeTower2	{r2[てん]}天{/r2}を{r2[つらぬ]}貫{/r2}く{r2[きずな]}絆{/r2}の{r2[ま]}間{/r2}
SelectPanelStagePractice	トレーニング
SelectPanelStageRandom	おまかせ
MenuStartBtn.msbt
MenuTeamSel.msbt
HeaderTitle	チームわけ
SettingTeam	チーム
SettingDecide	けってい
SettingPlayerName	\x0e\x02\n\0
SettingGuestName1	ゲスト1
SettingGuestName2	ゲスト2
SettingGuestName3	ゲスト3
SettingCPName1	CP1
SettingCPName2	CP2
SettingCPName3	CP3
OperationBack	\x0e\x04\x06\x022\0もどる
OperationTeamShuffle	\x0e\x04\x07\x023\0チームシャッフル
MenuTutorial.msbt
ModeEveryoneTitle	{r2[たいせん]}対戦{/r2}モード
ModeEveryone	{c[ffe614]}コピーのうりょく{c[000000]}や {c[ffe614]}バディ{c[000000]}を えらんで バトル！\n{c[ffe614]}{r2[ひとり]}1人{/r2}{c[000000]}なら CPと、 {c[ffe614]}{r2[ふたり]}2人{/r2}{r2[いじょう]}以上{/r2}{c[000000]}なら おすそわけプレイで\n{c[ffe614]}{r2[さいだい]}最大{/r2}4{r2[にん]}人{/r2}{c[000000]}まで いっしょに あそべる！
ModeSomeoneTitle	だれかとマッチ
ModeSomeone	{c[ffe614]}インターネット{c[000000]}で {r2[せかいじゅう]}世界中{/r2}の だれかと\n{c[ffe614]}2{r2[たい]}対{/r2}2の チーム{r2[せん]}戦{/r2}{c[000000]}を たのしもう！ \n{r2[れんしょう]}連勝{/r2}を めざせ！
ModeRogueTitle	ストーリーモード
ModeRogue	てきが まちうける {c[ffe614]}タワー{c[000000]}を なかまである\n{c[ffe614]}バディ{c[000000]}と いっしょに かけのぼれ！ とちゅうで\n{c[ffe614]}アイテムを えらんで{c[000000]} パワーアップしながら すすもう！
ModeSingleTitle	ひとりでモード
ModeSingle	{c[ffe614]}ひとり{c[000000]}で いどむ、{c[ffe614]}{r2[ぜん]}全{/r2}9{r2[せん]}戦{/r2}{c[000000]}の {c[ffe614]}タイムアタック！{c[000000]}\n{c[ffe614]}なんいど{c[000000]}を えらんで チャレンジだ！
GhostTitle	ゴースト{r2[か]}化{/r2}
Ghost	やられても {c[ffe614]}ゴースト{c[000000]}になって {r2[たたか]}戦{/r2}いは つづく！\nてきに こうげき すれば {c[ffe614]}ふっかつ {c[000000]}できるぞ！
OldGame.msbt
ShopConfirmDialogEclair	ニンテンドーeショップの\n{c[ff8c00]}「{r2[ほし]}星{/r2}のカービィ　スターアライズ」{c[000000]}の\nページへ、 いどう しますか？
ShopConfirmDialogLime2	ニンテンドーeショップの\n{c[ff8c00]}「スーパーカービィハンターズ」{c[000000]}の\nページへ、 いどう しますか？
HardwareName_00	Nintendo Switch
HardwareName_01	ニンテンドー3DS
HardwareName_02	Wii U
ShopTitleTextParufe	星のカービィ トリプルデラックス
ShopTitleTextParufeDetail	{r2[よこほうこう]}横方向{/r2}だけでなく、ステージの{r2[てまえ]}手前{/r2}と{r2[おく]}奥{/r2}の{r2[い]}行{/r2}き{r2[き]}来{/r2}が{r2[かのう]}可能{/r2}なのが{r2[とくちょう]}特徴{/r2}。\n25{r2[しゅるい]}種類{/r2}のコピー{r2[のうりょく]}能力{/r2}のほかに、\n「ビッグバンすいこみ」で{r2[はくりょく]}迫力{/r2}のある{r2[あそ]}遊{/r2}びが{r2[たの]}楽{/r2}しめます。
ShopTitleTextPizza	カービィファイターズＺ
ShopTitleTextPizzaDetail	『{r2[ほし]}星{/r2}のカービィ トリプルデラックス』のサブゲームに{r2[しんようそ]}新要素{/r2}を{r2[ついか]}追加{/r2}。\n10{r2[しゅるい]}種類{/r2}のコピー{r2[のうりょく]}能力{/r2}から{r2[す]}好{/r2}きなものを{r2[えら]}選{/r2}んで{r2[たいせん]}対戦{/r2}します。\n4{r2[にん]}人{/r2}での{r2[つうしん]}通信{/r2}プレイも{r2[たの]}楽{/r2}しめます。
ShopTitleTextDrop	デデデ大王のデデデでデンＺ
