AchieveList.msbt
AchieveListCategoriesHeroKirby	能力
StageChangeInfo10	關卡{c[ffe614]}裝置{c[000000]}的\n移動{c[ffe614]}速度2倍{c[000000]}！
StageChangeTitle13	爆炸道具房間
StageChangeInfo13	出現的道具只有\n{c[ffe614]}漫步大炸彈{c[000000]}和{c[ffe614]}定時炸彈{c[000000]}！
StageChangeTitle14	炮台房間
StageChangeInfo14	出現的道具\n只有{c[ffe614]}炮台{c[000000]}！
StageChangeTitle15	事件星房間
StageChangeInfo15	出現的道具\n只有{c[ffe614]}事件星{c[000000]}！
RogueLevel1	{s[070]}第{s[100]}1{s[070]}章{s[100]}
RogueSub1	最初的搭檔比賽
RogueLevel2	{s[070]}第{s[100]}2{s[070]}章{s[100]}
RogueSub2	影武者的秘密
RogueLevel3	{s[070]}第{s[100]}3{s[070]}章{s[100]}
RogueSub3	對大王和騎士的挑戰
RogueLevel4	{s[070]}第{s[100]}4{s[070]}章{s[100]}
RogueSub4	決戰！宿命的對手們
RogueLevel5	{s[070]}第{s[100]}5{s[070]}章{s[100]}
RogueSub5	真正決戰！貫徹天空的牽絆
RogueFloor	\x0e\x02\x01\0{s[070]}層{s[100]}
RogueFloorTop	最上層
SingleLevelEasy	容易
SingleLevelNormal	普通
SingleLevelHard	困難
SingleLevelVeryHard	超難
SingleRound	{s[070]}第{s[100]}\x0e\x02\x01\0{s[070]}戰{s[100]}
SingleFinalRound	最終戰
EnemyNameKirby	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
EnemyNameOther	{s[070]}\x0e\x02\x0c\0{s[100]}\n\x0e\x02\x03\0
Name_Boss_Unknown	？？？
Name_Boss_TwinWoods	雙重大樹
Name_Boss_DoublesEdge	雙刃
Name_Boss_KingDedede	帝帝帝大王
Name_Boss_Metaknight	魅塔騎士
Name_Boss_ShadowKirby	暗影卡比
Enemy1Level	{s[085]}等級{s[100]}\x0e\x02\x01\0
Enemy2Level	{s[085]}等級{s[100]}\x0e\x02\x01\0
ItemRoom.msbt
ItemRoomTitle	道具房
NextInfo	{s[060]}剩下{s[100]}{c[ffe614]}\x0e\x02\x01\0{c[000000]}{s[060]}層{s[100]}
NextInfoLastFloor	{s[060]}下一層是{s[100]}{s[080]}{c[ffe614]}最上層{c[000000]}！{s[100]}
HpRecovery	體力 {c[ffe614]}+\x0e\x02\x01\0{c[000000]}\n回復！
Notice	選擇一個道具提升威力！
ItemNum	{s[070]}持有{s[100]}\x0e\x02\x01\0{s[070]}個{s[100]}
Guide	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0查看強度
GaugeAttack	攻擊力
GaugeRecovery	道具回復力
GaugeGhostPower	幽靈強化
GaugeCharge	蓄力速度
GaugeScore	\x0e\x02\x02\0
GaugeScoreText	分數
GaugeDigits	\x0e\x02\x01\0
GaugePopupPlus	+\x0e\x02\x02\0
GaugePopupMinus	-\x0e\x02\x02\0
DialogItemText	到手了！
DialogButton0	往上層前進！
DialogButton1	儲存後退出
FirstTime	選擇{c[ffe614]}一個{c[000000]}道具\n讓{c[ffe614]}自己{c[000000]}和{c[ffe614]}搭檔{c[000000]}提升威力吧！\n要選擇哪個，由你決定！\n效果會一直持續{c[ffe614]}到最上層{c[000000]}喔！
FirstTimeSave	已儲存。\n可以{c[ffe614]}從中途儲存{c[000000]}\n繼續遊玩。
ItemName000	M番茄
DialogItemName000	M番茄
ItemInfo000	非常厲害的{c[ffe614]}回復{c[000000]}道具。\n{c[ffe614]}體力{c[000000]}回復{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName001	元氣飲料
DialogItemName001	元氣飲料
ItemInfo001	厲害的{c[ffe614]}回復{c[000000]}道具。\n{c[ffe614]}體力{c[000000]}回復{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName002	櫻桃
DialogItemName002	櫻桃
ItemInfo002	{c[ffe614]}回復{c[000000]}道具。\n{c[ffe614]}體力{c[000000]}回復{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName003	攻擊石 Lv1
DialogItemName003	攻擊石 Lv1
ItemInfo003	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}攻擊力{c[000000]}會有{c[ffe614]}些許{c[000000]}提升。
ItemName004	攻擊石 Lv2
DialogItemName004	攻擊石 Lv2
ItemInfo004	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}攻擊力{c[000000]}會有{c[ffe614]}小幅度{c[000000]}提升。
ItemName005	攻擊石 Lv3
DialogItemName005	攻擊石 Lv3
ItemInfo005	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}攻擊力{c[000000]}會有{c[ffe614]}中幅度{c[000000]}提升。
ItemName006	攻擊石 Lv4
DialogItemName006	攻擊石 Lv4
ItemInfo006	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}攻擊力{c[000000]}會有{c[ffe614]}大幅度{c[000000]}提升。
ItemName007	攻擊石 Lv5 咒
DialogItemName007	攻擊石 Lv5 咒
ItemInfo007	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}攻擊力{c[000000]}會有{c[ffe614]}十分驚人的{c[000000]}提升……\n但是，會遭受到現在體力的{c[ffe614]}一半傷害{c[000000]}！
ItemName008	體力石 Lv1
DialogItemName008	體力石 Lv1
ItemInfo008	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}最大體力{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName009	體力石 Lv2
DialogItemName009	體力石 Lv2
ItemInfo009	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}最大體力{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName010	體力石 Lv3
DialogItemName010	體力石 Lv3
ItemInfo010	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}最大體力{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName011	體力石 Lv4
DialogItemName011	體力石 Lv4
ItemInfo011	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}最大體力{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。
ItemName012	體力石 Lv5 咒
DialogItemName012	體力石 Lv5 咒
ItemInfo012	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}最大體力{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}……\n但是，會遭受到現在體力的{c[ffe614]}一半傷害{c[000000]}！
ItemName018	回復石 Lv1
DialogItemName018	回復石 Lv1
ItemInfo018	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}道具回復力{c[000000]}會有{c[ffe614]}些許{c[000000]}提升。
ItemName019	回復石 Lv2
DialogItemName019	回復石 Lv2
ItemInfo019	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}道具回復力{c[000000]}會有{c[ffe614]}小幅度{c[000000]}提升。
ItemName020	回復石 Lv3
DialogItemName020	回復石 Lv3
ItemInfo020	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}道具回復力{c[000000]}會有{c[ffe614]}中幅度{c[000000]}提升。
ItemName021	回復石 Lv4
DialogItemName021	回復石 Lv4
ItemInfo021	取得後強度會上升的石頭。\n自己和搭檔的\n{c[ffe614]}道具回復力{c[000000]}會有{c[ffe614]}大幅度{c[000000]}提升。
ItemName022	回復石 Lv5 咒
DialogItemName022	回復石 Lv5 咒
ItemInfo022	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}道具回復力{c[000000]}會有{c[ffe614]}十分驚人的{c[000000]}提升……\n但是，會遭受到現在體力的{c[ffe614]}一半傷害{c[000000]}！
ItemName023	搭檔聰明提升
DialogItemName023	搭檔聰明提升
ItemInfo023	超級稀有的道具。\n取得後{c[ffe614]}搭檔聰明{c[000000]}會{c[ffe614]}提升{c[000000]}，\n變得比現在更強更可靠！
ItemName034	幽靈強化石 Lv1
DialogItemName034	幽靈強化石 Lv1
ItemInfo034	取得後強度會上升的石頭。\n成為幽靈所需的{c[ffe614]}時間{c[000000]}會有{c[ffe614]}些許{c[000000]}縮短，\n{c[ffe614]}復活{c[000000]}後的{c[ffe614]}體力{c[000000]}也會有{c[ffe614]}些許{c[000000]}上升。
ItemName035	幽靈強化石 Lv2
DialogItemName035	幽靈強化石 Lv2
ItemInfo035	取得後強度會上升的石頭。\n成為幽靈所需的{c[ffe614]}時間{c[000000]}會有{c[ffe614]}小幅度{c[000000]}縮短，\n{c[ffe614]}復活{c[000000]}後的{c[ffe614]}體力{c[000000]}也會有{c[ffe614]}小幅度{c[000000]}上升。
ItemName036	幽靈強化石 Lv3
DialogItemName036	幽靈強化石 Lv3
ItemInfo036	取得後強度會上升的石頭。\n成為幽靈所需的{c[ffe614]}時間{c[000000]}會有{c[ffe614]}中幅度{c[000000]}縮短，\n{c[ffe614]}復活{c[000000]}後的{c[ffe614]}體力{c[000000]}也會有{c[ffe614]}中幅度{c[000000]}上升。
ItemName037	幽靈強化石 Lv4
DialogItemName037	幽靈強化石 Lv4
ItemInfo037	取得後強度會上升的石頭。\n成為幽靈所需的{c[ffe614]}時間{c[000000]}會有{c[ffe614]}大幅度{c[000000]}縮短，\n{c[ffe614]}復活{c[000000]}後的{c[ffe614]}體力{c[000000]}也會有{c[ffe614]}大幅度{c[000000]}上升。
ItemName038	幽靈強化石 Lv5 咒
DialogItemName038	幽靈強化石 Lv5 咒
ItemInfo038	取得後強度會上升的石頭。成為幽靈所需的{c[ffe614]}時間{c[000000]}會有\n{c[ffe614]}十分驚人的{c[000000]}縮短，{c[ffe614]}復活{c[000000]}後的{c[ffe614]}體力{c[000000]}也會有\n{c[ffe614]}十分驚人的{c[000000]}上升……但是，會遭受到{c[ffe614]}一半傷害{c[000000]}！
ItemName039	高速蓄力石 Lv1
DialogItemName039	高速蓄力石 Lv1
ItemInfo039	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}蓄力{c[000000]}招式的\n{c[ffe614]}累積時間{c[000000]}會有{c[ffe614]}些許{c[000000]}縮短。
ItemName040	高速蓄力石 Lv2
DialogItemName040	高速蓄力石 Lv2
ItemInfo040	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}蓄力{c[000000]}招式的\n{c[ffe614]}累積時間{c[000000]}會有{c[ffe614]}小幅度{c[000000]}縮短。
ItemName041	高速蓄力石 Lv3
DialogItemName041	高速蓄力石 Lv3
ItemInfo041	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}蓄力{c[000000]}招式的\n{c[ffe614]}累積時間{c[000000]}會有{c[ffe614]}中幅度{c[000000]}縮短。
ItemName042	高速蓄力石 Lv4
DialogItemName042	高速蓄力石 Lv4
ItemInfo042	取得後強度會上升的石頭。\n自己和搭檔的{c[ffe614]}蓄力{c[000000]}招式的\n{c[ffe614]}累積時間{c[000000]}會有{c[ffe614]}大幅度{c[000000]}縮短。
ItemName043	高速蓄力石 Lv5 咒
DialogItemName043	高速蓄力石 Lv5 咒
ItemInfo043	取得後強度會上升的石頭。自己和搭檔的\n{c[ffe614]}蓄力{c[000000]}招式的{c[ffe614]}累積時間{c[000000]}會有{c[ffe614]}十分驚人的{c[000000]}縮短……\n但是，會遭受到現在體力的{c[ffe614]}一半傷害{c[000000]}！
ItemName044	頭巾瓦豆魯迪殺手徽章
DialogItemName044	頭巾瓦豆魯迪殺手徽章
ItemInfo044	對{c[ffe614]}頭巾瓦豆魯迪{c[000000]}的{c[ffe614]}攻擊力{c[000000]}提升\n{c[ffe614]}\x0e\x02\x01\0倍{c[000000]}的徽章。
ItemName045	蠱依殺手徽章
DialogItemName045	蠱依殺手徽章
ItemInfo045	對{c[ffe614]}蠱依{c[000000]}的{c[ffe614]}攻擊力{c[000000]}提升\n{c[ffe614]}\x0e\x02\x01\0倍{c[000000]}的徽章。
ItemName046	魔法洛亞殺手徽章
DialogItemName046	魔法洛亞殺手徽章
ItemInfo046	對{c[ffe614]}魔法洛亞{c[000000]}的{c[ffe614]}攻擊力{c[000000]}提升\n{c[ffe614]}\x0e\x02\x01\0倍{c[000000]}的徽章。
ItemName047	魔王殺手徽章
DialogItemName047	魔王殺手徽章
ItemInfo047	對守護塔的各種{c[ffe614]}魔王{c[000000]}的\n{c[ffe614]}攻擊力{c[000000]}提升{c[ffe614]}大幅度{c[000000]}的徽章。
ItemName048	薄荷葉強化貼紙
DialogItemName048	薄荷葉強化貼紙
ItemInfo048	{c[ffe614]}薄荷葉{c[000000]}的{c[ffe614]}攻擊力{c[000000]}\n每1張{c[ffe614]}提升\x0e\x02\x01\0倍{c[000000]}的貼紙。
ItemName049	麥克風傷害的守護
DialogItemName049	麥克風傷害的守護
ItemInfo049	將敵人使用{c[ffe614]}麥克風{c[000000]}所造成的傷害\n減少至{c[ffe614]}1/4{c[000000]}的守護。
ItemName050	炮台強化貼紙
DialogItemName050	炮台強化貼紙
ItemInfo050	{c[ffe614]}炮台{c[000000]}的{c[ffe614]}攻擊力{c[000000]}\n每1張{c[ffe614]}提升\x0e\x02\x01\0倍{c[000000]}的貼紙。
ItemName051	爆炸道具強化貼紙
DialogItemName051	爆炸道具強化貼紙
ItemInfo051	對敵人的{c[ffe614]}定時炸彈{c[000000]}和{c[ffe614]}漫步大炸彈{c[000000]}的{c[ffe614]}攻擊力{c[000000]}\n每1張{c[ffe614]}提升\x0e\x02\x01\0倍{c[000000]}的貼紙。
ItemName052	時間獎勵貼紙
DialogItemName052	時間獎勵貼紙
ItemInfo052	戰鬥的{c[ffe614]}剩餘時間{c[000000]}\n每1張增加{c[ffe614]}\x0e\x02\x01\0秒{c[000000]}的貼紙。
ItemName053	自動回復貼紙
DialogItemName053	自動回復貼紙
ItemInfo053	戰鬥勝利後，體力的\n{c[ffe614]}自動回復{c[000000]}增加{c[ffe614]}\x0e\x02\x01\0{c[000000]}的貼紙。
ItemName054	自動防禦提升 Lv1
DialogItemName054	自動防禦提升 Lv1
ItemInfo054	偶爾會{c[ffe614]}自動防禦{c[000000]}。\n有什麼萬一時，有用的稀有道具。
ItemName055	自動防禦提升 Lv2
DialogItemName055	自動防禦提升 Lv2
ItemInfo055	有時候會{c[ffe614]}自動防禦{c[000000]}。\n有什麼萬一時，有用的超級稀有道具！
ItemName056	地形傷害的守護
DialogItemName056	地形傷害的守護
ItemInfo056	將岩漿或彈力手之類的{c[ffe614]}關卡裝置{c[000000]}所造成的傷害\n減少至{c[ffe614]}一半{c[000000]}的守護。
ItemName057	爆炸傷害的守護
DialogItemName057	爆炸傷害的守護
ItemInfo057	將{c[ffe614]}定時炸彈{c[000000]}和{c[ffe614]}漫步大炸彈{c[000000]}所造成的傷害\n減少{c[ffe614]}相當多{c[000000]}的守護。
ItemName059	黑刺球傷害的守護
DialogItemName059	黑刺球傷害的守護
ItemInfo059	將{c[ffe614]}黑刺彈{c[000000]}或魔王投擲的{c[ffe614]}黑刺球{c[000000]}所造成的傷害\n減少至{c[ffe614]}1/4{c[000000]}的守護。
ItemName060	電氣武器強化貼紙
DialogItemName060	電氣武器強化貼紙
ItemInfo060	{c[ffe614]}電氣武器{c[000000]}的累積{c[ffe614]}速度{c[000000]}上升，\n電擊的{c[ffe614]}攻擊力{c[000000]}也會變成{c[ffe614]}2倍{c[000000]}的貼紙。
ItemName061	冰凍保存容器破壞貼紙
DialogItemName061	冰凍保存容器破壞貼紙
ItemInfo061	可以讓{c[ffe614]}冰凍保存容器{c[000000]}的\n{c[ffe614]}破壞{c[000000]}速度快{c[ffe614]}3倍{c[000000]}的貼紙。
ItemName062	啦啦彩球高速貼紙
DialogItemName062	啦啦彩球高速貼紙
ItemInfo062	讓{c[ffe614]}啦啦彩球{c[000000]}的舞蹈跳到\n成功的{c[ffe614]}時間{c[000000]}變成{c[ffe614]}一半{c[000000]}，\n{c[ffe614]}攻擊力{c[000000]}也提升{c[ffe614]}2倍{c[000000]}的貼紙。
ItemName063	分數提升貼紙
DialogItemName063	分數提升貼紙
ItemInfo063	1次戰鬥中可以取得的{c[ffe614]}分數{c[000000]}\n{c[ffe614]}提升10％{c[000000]}的貼紙。
ItemName064	道具選擇+1
DialogItemName064	道具選擇+1
ItemInfo064	超級稀有的道具。\n陳列在{c[ffe614]}道具房{c[000000]}的道具\n竟然會{c[ffe614]}增加一個{c[000000]}！
ItemName065	詛咒之環‧自動回復
DialogItemName065	詛咒之環‧自動回復
ItemInfo065	被詛咒之環。\n戰鬥後的{c[ffe614]}自動回復{c[000000]}竟然提升{c[ffe614]}\x0e\x02\x01\0倍{c[000000]}。\n但相對的，{c[ffe614]}食物{c[000000]}都{c[ffe614]}不會出現{c[000000]}。
ItemName066	詛咒之環‧攻擊提升
DialogItemName066	詛咒之環‧攻擊提升
ItemInfo066	被詛咒之環。\n{c[ffe614]}攻擊力{c[000000]}竟然提升{c[ffe614]}\x0e\x02\x02\0倍{c[000000]}。\n相對的，{c[ffe614]}最大體力{c[000000]}會變成{c[ffe614]}1/3{c[000000]}。
ItemName067	詛咒之環‧無幽靈化
DialogItemName067	詛咒之環‧無幽靈化
ItemInfo067	被詛咒之環。\n可以讓對手{c[ffe614]}不變成幽靈{c[000000]}並打倒。\n相對的，自己和搭檔也{c[ffe614]}不會變成幽靈{c[000000]}。
ItemName069	分數提升‧青銅
DialogItemName069	分數提升‧青銅
ItemInfo069	取得後{c[ffe614]}獲得分數{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。\n青銅的卡比像。
ItemName070	分數提升‧白銀
DialogItemName070	分數提升‧白銀
ItemInfo070	取得後{c[ffe614]}獲得分數{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。\n白銀的卡比像。
ItemName071	分數提升‧黃金
DialogItemName071	分數提升‧黃金
ItemInfo071	取得後{c[ffe614]}獲得分數{c[000000]}提升{c[ffe614]}\x0e\x02\x01\0{c[000000]}。\n黃金的卡比像。
RareItem	稀有！
SuperRareItem	超級\n稀有！
RingThornsIconTwice	{s[080]}×{s[100]}2
LeftCount	\x0e\x02\x01\0
MenuBattleRuleSel.msbt
HeaderTitle	{s[120]}規則設定{s[100]}
OperationBack	\x0e\x04\x06\x022\0關閉
OptionItemTitle	道具
OptionItemValue0	無
OptionItemValue1	普通
OptionItemValue2	大量
OptionItemRuleTitle	道具規則
OptionItemRuleValue0	無規則
OptionItemRuleValue1	只限回復
OptionItemRuleValue2	無回復
OptionItemRuleValue3	無搭檔發射之星
OptionItemRuleValue4	只限事件星
OptionItemRuleValue5	只限啦啦彩球
OptionItemRuleValue6	只限衝刺鞋
OptionItemRuleValue7	只限麥克風
OptionItemRuleDisabled	無
OptionGimmickTitle	裝置
OptionGimmickValue0	無
OptionGimmickValue1	有
OptionGhostTitle	幽靈
OptionGhostValue0	無
OptionGhostValue1	有
OptionGhostRevengeTitle	幽靈復活強化
OptionGhostRevengeValue0	無
OptionGhostRevengeValue1	有
OptionHandiTitle	不利條件
OptionHandiValue0	手動
OptionHandiValue1	自動
MenuBattleTypeSel.msbt
HeaderTitle	戰鬥類型
BattleTypeSolo	個人戰
BattleTypeTeam	團體戰
OperationBack	\x0e\x04\x06\x022\0返回
OperationBackNet	\x0e\x04\x06\x022\0結束
OperationSetting	\x0e\x04\x07\x023\0規則設定
MenuBg.msbt
MenuCharaSel.msbt
HeaderTitleVs	對戰模式
HeaderTitleRogueStart	{s[070]}從{s[100]}1層開始
HeaderTitleRogueContinue	{s[070]}從{s[100]}中途儲存{s[070]}繼續{s[100]}
HeaderTitleSingle	單人模式
HeaderTitlePractice	訓練模式
HeaderTitleInetRandom	和任何人配對
HeaderTitleLocal	鄰近主機模式
HeaderTitleInetFriend	朋友配對
OperationBack	\x0e\x04\x06\x022\0返回
OperationChangeHat	\x0e\x04\x08\x024\0更改帽子
OperationTeamShuffle	\x0e\x04\x07\x023\0隊伍洗牌
ButtonDecide	決定
SelectPanelNameComputer1	CP1
SelectPanelNameComputer2	CP2
SelectPanelNameComputer3	CP3
SelectPanelNameGuest1	來賓1
SelectPanelNameGuest2	來賓2
SelectPanelNameGuest3	來賓3
SelectPanelNameUser	\x0e\x02\n\0
SelectPanelHandicapOverSweet	超輕鬆
SelectPanelHandicapSweet	輕鬆
SelectPanelHandicapNormal	普通
SelectPanelHandicapHot	嚴峻
SelectPanelHandicapOverHot	超嚴峻
SelectPanelAutoHandicapOverSweet	{s[070]}自動不利條件：{s[100]}超輕鬆
SelectPanelAutoHandicapSweet	{s[070]}自動不利條件：{s[100]}輕鬆
SelectPanelAutoHandicapNormal	{s[070]}自動不利條件：{s[100]}普通
SelectPanelAutoHandicapHot	{s[070]}自動不利條件：{s[100]}嚴峻
SelectPanelAutoHandicapOverHot	{s[070]}自動不利條件：{s[100]}超嚴峻
HandicapSelectTitle	不利條件
HandicapSelectValueOverSweet	超輕鬆
HandicapSelectValueSweet	輕鬆
HandicapSelectValueNormal	普通
HandicapSelectValueHot	嚴峻
HandicapSelectValueOverHot	超嚴峻
AILevelSelectTitle	CP等級
GearIndicatorTitle	帽子
RogueRecordPanelLevel1	第1章
RogueRecordPanelLevel2	第2章
RogueRecordPanelLevel3	第3章
RogueRecordPanelLevel4	第4章
RogueRecordPanelLevel5	第5章
RogueRecordPanelStages	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0層{s[100]}
RogueRecordPanelEmpty	-/{s[070]}-層{s[100]}
RogueRecordPanelHighscore	最高分數
RogueSelectPanelWait	待機中
RogueDialogSelect1PSingle	首先選擇\n{c[ff8c00]}玩家{c[000000]}操作的角色吧！
RogueDialogSelect2PSingle	接著選擇\n成為同伴的{c[ff8c00]}搭檔{c[000000]}吧！
RogueDialogSelect1PMulti	首先選擇\n{c[ff8c00]}1P{c[000000]}操作的角色吧！
RogueDialogSelect2PMulti	接著選擇\n{c[ff8c00]}2P{c[000000]}操作的同伴{c[ff8c00]}搭檔{c[000000]}吧！
RogueDialogConfirmSuspended	有{c[ff8c00]}「中途儲存」{c[000000]}的紀錄。\n要刪除中途儲存的資料\n{c[ff8c00]}從1層{c[000000]}開始嗎？
SingleDialogNotifyVeryHardOpened	可以挑戰\n{c[ff8c00]}單人模式{c[000000]}的新難易度\n {c[ff8c00]}「超難」{c[000000]}了！
SingleRecordPanelEasy	容易
SingleRecordPanelNormal	普通
SingleRecordPanelHard	困難
SingleRecordPanelVeryHard	超難
SingleRecordPanelTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
SingleRecordPanelEmpty	--:--{s[070]}.--{s[100]}
SingleRecordPanelBestTime	最佳過關時間
PracticeTextPanel	請選擇要練習的角色。
InetRandomVS	VS
SelectPanelNameInetRandomOpponent	？？？
SelectPanelAbilityWhip	鞭子
SelectPanelAbilityCutter	彎刀
SelectPanelAbilitySword	利劍
SelectPanelAbilityNinja	忍者
SelectPanelAbilityParasol	陽傘
SelectPanelAbilityHammer	錘子
SelectPanelAbilityBeam	光束
SelectPanelAbilityFighter	格鬥家
SelectPanelAbilityBomb	炸彈
SelectPanelAbilitySniper	狙擊手
SelectPanelAbilityBeetle	獨角仙
SelectPanelAbilityBell	銅鈴
SelectPanelAbilityArtist	藝術家
SelectPanelAbilityWrestler	蒙面摔角手
SelectPanelAbilityYoyo	溜溜球
SelectPanelAbilityStick	如意棒
SelectPanelAbilityWater	清水
SelectPanelAbilityMetaknight	魅塔騎士
SelectPanelAbilityKingDedede	帝帝帝大王
SelectPanelAbilityBandanaWaddledee	頭巾瓦豆魯迪
SelectPanelAbilityGooey	蠱依
SelectPanelAbilityMahoroa	魔法洛亞
SelectPanelAbilityRandom	隨機
DialogRogueOpenLv2	獲得了前往{c[ff8c00]}第2章{c[000000]}的鑰匙！\n打開新的門，目標是\n帝帝帝大王和魅塔騎士\n等待著的{c[ff8c00]}最上層{c[000000]}！
DialogRogueOpenLv3	獲得了前往{c[ff8c00]}第3章{c[000000]}的鑰匙！\n打開新的門，目標是\n帝帝帝大王和魅塔騎士\n等待著的{c[ff8c00]}最上層{c[000000]}！
DialogRogueOpenLv4	獲得了前往{c[ff8c00]}第4章{c[000000]}的鑰匙！\n打開新的門，目標是\n帝帝帝大王和魅塔騎士\n等待著的{c[ff8c00]}決戰最上層{c[000000]}！
DialogRogueOpenLv5	貫徹天空的塔出現了！\n{c[ff8c00]}遊戲結束{c[000000]}的話，會{c[ff8c00]}從1層{c[000000]}\n{c[ff8c00]}重新再來{c[000000]}的激難難易度！\n挑戰{c[ff8c00]}真正決戰{c[000000]}！
DialogRogueAllCharacters	在故事模式可以選擇的{c[ff8c00]}搭檔{c[000000]}中\n追加了{c[ff8c00]}卡比{c[000000]}！ \n試著選擇喜愛{c[ff8c00]}能力{c[000000]}的卡比\n作為搭檔吧！
MenuHeader.msbt
MenuIndicator.msbt
MenuInetBattleTypeSel.msbt
HeaderTitleInetTop	線上模式
OperationBack	\x0e\x04\x06\x022\0返回
InetRandomMode	和任何人配對
InetFriendMode	朋友配對
MenuLRSelBtn.msbt
MenuLvSel.msbt
HeaderTitle	難易度
OperationBack	\x0e\x04\x06\x022\0返回
LevelEasy	容易
LevelNormal	普通
LevelHard	困難
LevelVeryHard	超難
LevelNew	NEW
RecordTime	\x0e\x02\x01\0:\x0e\x02\x01\0{s[070]}.\x0e\x02\x01\0{s[100]}
RecordEmpty	--:--{s[070]}.--{s[100]}
RecordBestTime	最佳過關時間
ButtonStart	開始
NamePanelAbilityWhip	鞭子
NamePanelAbilityCutter	彎刀
NamePanelAbilitySword	利劍
NamePanelAbilityNinja	忍者
NamePanelAbilityParasol	陽傘
NamePanelAbilityHammer	錘子
NamePanelAbilityBeam	光束
NamePanelAbilityFighter	格鬥家
NamePanelAbilityBomb	炸彈
NamePanelAbilitySniper	狙擊手
NamePanelAbilityBeetle	獨角仙
NamePanelAbilityBell	銅鈴
NamePanelAbilityArtist	藝術家
NamePanelAbilityWrestler	蒙面摔角手
NamePanelAbilityYoyo	溜溜球
NamePanelAbilityStick	如意棒
NamePanelAbilityWater	清水
NamePanelAbilityMetaknight	魅塔騎士
NamePanelAbilityKingDedede	帝帝帝大王
NamePanelAbilityBandanaWaddledee	頭巾瓦豆魯迪
NamePanelAbilityGooey	蠱依
NamePanelAbilityMahoroa	魔法洛亞
MenuLvSelRogue.msbt
Rogue_HeaderTitleStart	{s[070]}從{s[100]}1層開始
Rogue_HeaderTitleContinue	{s[070]}從{s[100]}中途儲存{s[070]}繼續{s[100]}
OperationBack	\x0e\x04\x06\x022\0返回
Rogue_Level1	第1章
Rogue_Level2	第2章
Rogue_Level3	第3章
Rogue_Level4	第4章
Rogue_Level5	第5章
Rogue_Title1	最初的搭檔比賽
Rogue_Title2	影武者的秘密
Rogue_Title3	對大王和騎士的挑戰
Rogue_Title4	決戰！宿命的對手們
Rogue_Title5	真正決戰！貫徹天空的牽絆
Rogue_HiScoreText	最高分數
Rogue_HiScore	\x0e\x02\x01\0
Rogue_HiFloor	\x0e\x02\x01\0/{s[070]}\x0e\x02\x01\0層{s[100]}
Rogue_NoFloor	--/{s[070]}--層{s[100]}
Rogue_StartText	開始
Rogue_ContinueText	{s[080]}從{s[100]}\x0e\x02\x01\0{s[080]}層開始{s[100]}
Rogue_AbilityWhip	鞭子
Rogue_AbilityCutter	彎刀
Rogue_AbilitySword	利劍
Rogue_AbilityNinja	忍者
Rogue_AbilityParasol	陽傘
Rogue_AbilityHammer	錘子
Rogue_AbilityBeam	光束
Rogue_AbilityFighter	格鬥家
Rogue_AbilityBomb	炸彈
Rogue_AbilitySniper	狙擊手
Rogue_AbilityBeetle	獨角仙
Rogue_AbilityBell	銅鈴
Rogue_AbilityArtist	藝術家
Rogue_AbilityWrestler	蒙面摔角手
Rogue_AbilityYoyo	溜溜球
