Glossary.msbt
glossary_Place01	Tail Cave
WitchGetPowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_003It's all ready, it is! Take care, as there's\nnot much there! \x0e\x01\x04\0\x0e\0\x04\0Why not try a bit in my hut?\x0e\x01\x04\0
WitchUsePowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_004Good job! Use it on your enemies and see \nwhat happens.\x0e\x01\x04\0\x0e\0\x04\0If you run out, go to the forest, pick some\ntoadstools, and I will make you more.\x0e\x01\x04\0\x0e\0\x04\0Come back without a toadstool and you\nmay have to pay a price for my leftovers...\x0e\x01\x04\0
TarinAfterRaccoon	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_002The last thing I kin remember was bitin' into\na big, juicy toadstool... Then, I had the\ndarndest dream... I was a raccoon!\x0e\x01\x04\0\x0e\0\x04\0Yeah, sounds strange, but it sure was fun!\x0e\x01\x04\0
Lv1Owl3_1	Hoot! Take the {c[d9456d]}key{c[ededed]} and go to the {c[0095ef]}Tail Cave{c[ededed]}.\x0e\x01\x04\0\x0e\0\x04\0Retrieve the instrument that is hidden there!\nGo now!\x0e\x01\x04\0\x0e\0\x04\0The {c[d9456d]}Wind Fish{c[ededed]} is waiting! Hooot!\x0e\x01\x04\0
Lv1BossMoldorm	BUZZZZZ! BUZZZZ! OUTZZZIDER!\x0e\x01\x06\0
Lv1GetViolin	You got the {c[d9456d]}Full Moon Cello{c[ededed]}!\x0e\x01\x06\0
Lv1Clear	{c[ededed]}\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0...SWAMP...\x0f\x01\0\x10\0\x0e\x01\x05\x04\xa0\x0f\0\0\x0e\x01\x0e\x04Ð\x07\0\0\x0e\0\x04\0\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0A path opens...in the blooms...\x0f\x01\0\x10\0{c[ededed]}{c[ededed]}\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv1Clear_Memory	...SWAMP...\x0e\x01\x04\0\x0e\0\x04\0A path opens...in the blooms...\x0e\x01\x04\0
Lv2Owl1_1	Hoooot! That is an {c[d9456d]}Instrument of the Sirens{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0I have to admit, at first I did not believe you\nwere real...\x0e\x01\x04\0\x0e\0\x04\0That instrument, along with the seven\nothers in the set, has the power to wake\nthe {c[d9456d]}Wind Fish{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0You must collect them all! I was instructed\nto give you directions...\x0e\x01\x04\0\x0e\0\x04\0Your next goal is north, in {c[0095ef]}Goponga Swamp{c[ededed]}!\nHoot, indeed!\x0e\x01\x04\0
Lv2ChildHappening1	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001Hey, buddy! It's serious! Yeah, really serious!\x0e\x01\x04\0
Lv2ChildHappening2	\x0e\x01\x0f\0Yeah, it is! The {c[d9456d]}moblins {c[ededed]}came to the village!\x0e\x01\x04\0
Lv2ChildHappening3	\x0e\x01\x0f\0Yeah, that's right! A whole gang of {c[d9456d]}moblins{c[ededed]}!\x0e\x01\x04\0
Lv2ChildHappening4	\x0e\x01\x0f\0Then... It's for real! They all went to the\nhouse...\x0e\x01\x04\0
Lv2ChildHappening5	\x0e\x01\x0f\0Yeah, that house, and then they did\nsomething at {c[0095ef]}BowWow's house{c[ededed]}!\x0e\x01\x04\0
Lv2ChildHappening6	\x0e\x01\x0f\0It was a really bad scene, with the\n{c[d9456d]}m-m-moblins{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0So, I mean, ahh!\x0e\x01\x04\0
Lv2ChildHappening7	It might be faster to find out for yourself\nwhat happened!\x0e\x01\x04\0
Lv2ChildHappening8	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001Hey, buddy! It's serious! Yeah, really serious!\x0e\x01\x04\0
Lv2ChildHappening9	\x0e\x01\x0f\0It was a really bad scene, with the\n{c[d9456d]}m-m-moblins{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0So, I mean, ahh!\x0e\x01\x04\0
Lv2MadamHappening	\x0e\x01\x0f\0\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_004AIEEEEEEEE! It's terrrrible! My BowWow was\ndognapped by...{c[d9456d]}M-M-MOBLINS{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0OHHH! AHHHH! Please! Somebody help\nmy poor {c[d9456d]}BowWow{c[ededed]}!\x0e\x01\x04\0
Lv2FirstMoblinCave	Ennh? Who's this suspicious-looking runt?!\nOK, boys, let's get ridda him!\x0e\x01\x04\0
Lv2MiniBossKingMoblin	You must be an assassin sent by Madam\nMeowMeow to rescue the {c[d9456d]}mutt{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0You came here to get me, but it is I who\nwill get you!\x0e\x01\x04\0
Lv2GetBowwow	You've saved {c[d9456d]}BowWow{c[ededed]}! What a\nfearsome beast!\x0e\x01\x04\0
Lv2Owl2_1	Hoot! That is a fearsome-looking animal\nyou have there!\x0e\x01\x04\0\x0e\0\x04\0Do not forget, the next {c[d9456d]}instrument{c[ededed]} is in\n{c[0095ef]}Goponga Swamp{c[ededed]}!\x0e\x01\x04\0
Lv2BossGenie	HO HO HO! I'm your bad guy this time!\nHO HO HO!\x0e\x01\x06\0
Lv2BossHint1	Uh! I can't move! But I am still all right.\x0e\x01\x04\0\x0e\0\x04\0{c[d9456d]}Your little sword won't break this bottle!{c[ededed]}\x0e\x01\x04\0\x0e\0\x04\0Even the walls here look tougher than that\ndinky thing!\x0e\x01\x04\0
Lv2BossHint2	NYAH NYAH! {c[d9456d]}You can't hurt me as long\nas I have my bottle{c[ededed]}!\x0e\x01\x04\0
Lv2BossBreakPot	Waaaah! You—you broke my bottle!\nWhy, you... You make me hopping mad!\x0e\x01\x04\0
Lv2GetHorn	You got the {c[d9456d]}Conch Horn{c[ededed]}!\x0e\x01\x06\0
Lv2Clear	\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0...PRAIRIE...\n...PRAIRIE...\x0f\x01\0\x10\0\x0e\x01\x05\x04\xa0\x0f\0\0\x0e\x01\x0e\x04Ð\x07\0\0\x0e\0\x04\0{c[ededed]}\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0The prairie is waiting...\x0f\x01\0\x10\0{c[ededed]}\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv2Clear_Memory	...PRAIRIE...\n...PRAIRIE...\x0e\x01\x04\0\x0e\0\x04\0The prairie is waiting...\x0e\x01\x04\0
Lv3ReturnBowwow1	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_005Ho ho ho! I really appreciate what you\ndid for my poor, precious BowWow!\x0e\x01\x04\0\x0e\0\x04\0You are such a nice boy! How can I ever\nrepay you? I know...\x0e\x01\x04\0
Lv3ReturnBowwow2	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_006SMOOOOOOOCH!\x0e\x01\x04\0
Lv3ReturnBowwow3	You got a reward from Madam\nMeowMeow!\x0e\x01\x04\0
Lv3ReturnBowwow4	...\x0e\x01\x04\0
Lv3ReturnBowwow5	L-l-lucky!\x0e\x01\x04\0
Lv3QuestRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001Salutations! You wouldn't know by the look\nof me, but I used to live in the castle!\x0e\x01\x04\0\x0e\0\x04\0My servants went berserk and I was forced\nto flee to my villa... \x0e\x01\x04\0\x0e\0\x04\0So, you're looking for something, are you?\nI may have just what you're after.\x0e\x01\x04\0\x0e\0\x04\0But first, I want you to retrieve the {c[d9456d]}golden\nleaf{c[ededed]} I left behind in the castle when I fled.\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0OK\x0e\0\x04\0\x0e\x01\t\0No way
Lv3QuestRichardForMemory	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001Salutations! You wouldn't know by the look\nof me, but I used to live in the castle!\x0e\x01\x04\0\x0e\0\x04\0My servants went berserk and I was forced\nto flee to my villa... \x0e\x01\x04\0\x0e\0\x04\0So, you're looking for something, are you?\nI may have just what you're after.\x0e\x01\x04\0\x0e\0\x04\0But first, I want you to retrieve the {c[d9456d]}golden\nleaves{c[ededed]} I left behind in the castle when I fled.\x0e\x01\x04\0
Lv3YesRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_002Smashing! To tell you the truth, there are\n{c[d9456d]}five leaves{c[ededed]}, and I want them all!\x0e\x01\x04\0\x0e\0\x04\0OK, you'll need to do some digging, so buy\na {c[d9456d]}shovel{c[ededed]}! Are you off then? Good luck!\x0e\x01\x04\0
Lv3NoRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_004Well, I never! I thought you looked\ncowardly, but... Please, leave me.\nJust get out of here!\x0e\x01\x04\0
Lv3CompGoldLeaf	At last! You got the final golden leaf!\x0e\x01\x04\0\x0e\0\x04\0Now go and see {c[d9456d]}Richard{c[ededed]} about that reward...\x0e\x01\x04\0
Lv3CompGoldLeaf_NoQuest	At last! You got a fifth {c[d9456d]}golden leaf{c[ededed]}!\n...This must be the last one, right?\x0e\x01\x04\0
Lv3ClearRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_003Ahh! Très bien! I see you have recovered all\nof the leaves!\x0e\x01\x04\0\x0e\0\x04\0Now, move this statue and you will find\nyour reward!\x0e\x01\x04\0
Lv3BossSlimeEye	NEENER NEENER! You can't find me!\x0e\x01\x04\0\x0e\0\x04\0NYAH NYAH!\x0e\x01\x04\0
Lv3GetBell	You got the {c[d9456d]}Sea Lily's Bell{c[ededed]}!\x0e\x01\x06\0
Lv3Clear	\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0...WATERFALL...\x0f\x01\0\x10\0\x0e\x01\x05\x04\xa0\x0f\0\0\x0e\x01\x0e\x04Ð\x07\0\0\x0e\0\x04\0{c[ededed]}\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0It is hidden in the waterfall...\x0f\x01\0\x10\0{c[ededed]}\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv3Clear_Memory	...WATERFALL...\x0e\x01\x04\0\x0e\0\x04\0It is hidden in the waterfall...\x0e\x01\x04\0
Lv4Owl1_1	Hoot! How many {c[d9456d]}instruments{c[ededed]} have you\ngotten so far?\x0e\x01\x04\0\x0e\0\x04\0When you play the instruments in front of\nthe egg, the {c[d9456d]}Wind Fish{c[ededed]} will wake and you\nwill leave this island.\x0e\x01\x04\0\x0e\0\x04\0Now, you must hasten to the {c[0095ef]}Yarna Desert{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0The dark, monstrous inhabitants of the sand\nwill show you the way! Hoot hoot!\x0e\x01\x04\0
Lv4QuestMarinBeach1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001Oh, \x0e\x01\x03\0, I'm glad you\nfound this place.\x0e\x01\x04\0
Lv4QuestMarinBeach2	Will you stay and talk to me for a while?\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0Yes!\x0e\0\x04\0No...
Lv4NoMarinBeach	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009OK, I'll just watch the waves for a while...\x0e\x01\x04\0
Lv4MarinBeach1	I wonder where these coconut trees\ncome from?\x0e\x01\x04\0
Lv4MarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003...Tarin says there is nothing beyond the sea.\x0e\x01\x04\0
Lv4MarinBeachPalm	But I believe there must be something\nover there...\x0e\x01\x04\0
Lv4MarinBeach3	...\x0e\x01\x04\0
Lv4MarinBeach4	When I discovered you,\n\x0e\x01\x03\0, my heart \nskipped a beat! \x0e\x01\x04\0\x0e\0\x04\0I thought, this person has come to give us\na message...\x0e\x01\x04\0
Lv4MarinBeach5	... ... ... ...\x0e\x01\x04\0
Lv4MarinBeach6	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009If I was a seagull, I would fly as far as\nI could!\x0e\x01\x04\0\x0e\0\x04\0I would fly to faraway places and sing\nfor many people!\x0e\x01\x04\0
Lv4MarinBeach7	If I wish to the {c[d9456d]}Wind Fish{c[ededed]}, I wonder if my\ndream will come true...\x0e\x01\x04\0
Lv4MarinBeach8	Hey! Are you listening? \n\x0e\x01\x03\0, are you \nlistening to me?\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0Yeah\x0e\0\x04\0\x0e\x01\t\0No...
Lv4YesMarinBeach1	I want to know everything about you...\x0e\x01\x04\0
Lv4YesMarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_008Err... Uhh, ha ha ha ha!\x0e\x01\x04\0
Lv4NoMarinBeach4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004Humph! Your head is always in the clouds!\nWill you please listen to me next time?!\x0e\x01\x04\0
Lv4MarinBeach11	\x0e\x01\x0b\x14\x12\0SE_NPC_MARIN_006_3Hunh? The {c[d9456d]}walrus {c[ededed]}wants me to go to him?\nWell, all right. Let's go!\x0e\x01\x04\0
Lv4GetMarin	You got {c[d9456d]}Marin{c[ededed]}! Is this your big chance?\x0e\x01\x04\0
Lv4WalrusNoMarin	ZZZ ZZZ ZZZ ZZZ...\n\x0e\x01\0\x01\x0e... \x0e\x01\0\x01\x0e...\x0e\x01\x04\0
Lv4WalrusWithMarin	Arfh! Arfh! Arf!\n\x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e! \x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e!\x0e\x01\x04\0\x0e\0\x04\0...\x0e\x01\0\x01\x0d?!\x0e\x01\x04\0
Lv4QuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001Yes, it's that lazy walrus! Shall we give him\na little surprise?\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0Yes\x0e\0\x04\0\x0e\x01\t\0No...
Lv4NoQuestWalrus	You're right—it would be mean to wake him\nup now! Let's let him sleep some more!\x0e\x01\x04\0
Lv4YesQuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_007Aha ha ha! Wow! He certainly woke with\na start!\x0e\x01\x04\0
Lv4ClearQuestWalrus1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005Hunh? Oh, he's calling me... It's the same as\nalways... Ha ha!\x0e\x01\x04\0
Lv4ClearQuestWalrus2	\x0e\x01\x03\0, I'm going to the\n{c[0095ef]}Animal Village{c[ededed]}! Please drop by, OK?\x0e\x01\x04\0
Lv4MiniBossLanmola	Annoyance! You are only getting in the way!\x0e\x01\x04\0
Lv4Owl2_1	Hoot! The shape of the key shows a fish,\nswimming up a cascade of water!\x0e\x01\x04\0\x0e\0\x04\0Go now to the {c[0095ef]}mountain waterfall{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0A leap from the top and you will reach\nyour goal!\x0e\x01\x04\0
StudyMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003Hey! That's a nice {c[d9456d]}ocarina{c[ededed]} you have there!\nWill you accompany me as I sing?\x0e\x01\x04\0
QuestMarinSong	So, how do you like it? It's really touching,\nisn't it? Does it stick in your mind?\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0Yes\x0e\0\x04\0\x0e\x01\t\0No
NoMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004Please! I want you to learn it! This song\nis my favorite!\x0e\x01\x04\0
GetMarinSong	You've learned the {c[d9456d]}Ballad of the Wind Fish{c[ededed]}!\x0e\x01\x04\0\x0e\0\x04\0This song will always remain in your heart!\x0e\x01\x04\0
YesMarinSong	Please remember this song! You should\nplay it every once in a while to keep it\nfresh in your mind!\x0e\x01\x04\0
Lv4BossAngler	BLOOOP! BLOOOP! GLUB! GLUB!\nOGGGH! FOOOOD! BLOOOOP! GLUB!\x0e\x01\x06\0
Lv4GetHarp	You got the {c[d9456d]}Surf Harp{c[ededed]}!\x0e\x01\x06\0
Lv4Clear	\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0...BAY...\x0f\x01\0\x10\0\x0e\x01\x05\x04\xa0\x0f\0\0\x0e\x01\x0e\x04Ð\x07\0\0\x0e\0\x04\0{c[ededed]}\x0e\x01\x0d\x04Ð\x07\0\0{c[a0ffff]}\x0e\x01\x10\0Your road goes into the bay...\x0f\x01\0\x10\0{c[ededed]}\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv4Clear_Memory	...BAY...\x0e\x01\x04\0\x0e\0\x04\0Your road goes into the bay...\x0e\x01\x04\0
QuestManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001I am {c[d9456d]}Manbo{c[ededed]}, child of the Sun Fish!\nHave you got an ocarina?\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0Yes\x0e\0\x04\0\x0e\x01\t\0No
NoManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001Very well... Glub blub bloop!\x0e\x01\x04\0
YesManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_003Ahaha! Then I can teach you my song!\nBloop!\x0e\x01\x04\0
GetManboSong	You've learned {c[d9456d]}Manbo's Mambo{c[ededed]}! When you\nget out of the water, play it!\x0e\x01\x04\0
NoneOcarinaManbo	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001Aha... You don't have an {c[d9456d]}ocarina{c[ededed]}, so...\nGlub glub!\x0e\x01\x04\0
Lv5GhostGoHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001...the house...take me...\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostGoHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001...the house...at the bay...\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostNoDungeon	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002N-n-no! ...N-not there!\x0e\x01\x04\0
Lv5GhostNearHouse	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001...Here! Enter...my house...\x0e\x01\x04\0
Lv5GhostHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_003...Nostalgia...\n...unchanged...\x0e\x01\x04\0
Lv5GhostHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002...boo hoo...\x0e\x01\x04\0
Lv5GhostHouse3	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001...Enough...\n...cemetery... \x0e\x01\x04\0\x0e\0\x04\0...Take me...my grave...\x0e\x01\x04\0
Lv5GhostGoGrave	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001...my grave...\x0e\x01\x05\x04Ð\x07\0\0\x0e\0\x04\0...take me...my grave...\n...with the flowers...\x0e\x01\x05\x04¸\x0b\0\0
Lv5GhostByebye	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_004...Thank you...\x0e\x01\x04\0\x0e\0\x04\0...a jar...for you...\n...put something inside...\x0e\x01\x04\0\x0e\0\x04\0...bye...bye...\x0e\x01\x04\0
Lv5Owl1_1	Hoot! It has been some time since our paths\ncrossed, lad.\x0e\x01\x04\0\x0e\0\x04\0You must dive into the waters of {c[0095ef]}Martha's\nBay{c[ededed]} to enter the Catfish's Maw...\x0e\x01\x04\0\x0e\0\x04\0The closer you get to the {c[d9456d]}Wind Fish{c[ededed]},\nthe more restless he sleeps.\x0e\x01\x04\0\x0e\0\x04\0Carry onward! Hoot!\x0e\x01\x04\0
Lv5MiniBoss1	Arrgh! I can't beat you! I'm outta here!\x0e\x01\x04\0
StaffCredit.msbt
Staff1	{c[a0ffff]}DIRECTOR{c[000000]}
Staff2	Mikiharu Oiwa
Staff3	{c[a0ffff]}PLANNING DIRECTOR{c[000000]}
Staff4	Hiroyuki Kuwata
Staff5	{c[a0ffff]}PLANNING SUB DIRECTOR{c[000000]}
Staff6	Rena Takada
Staff7	{c[a0ffff]}PLAYER DESIGN{c[000000]}
Staff8	Hidetomo Saito
Staff9	{c[a0ffff]}LEVEL DESIGN{c[000000]}
Staff10	Tatsumaro Tezuka\nJunichi Shinomiya\nRio Oguma\nMai Fujimura
Staff11	{c[a0ffff]}ENEMY DESIGN{c[000000]}
Staff12	Akihiko Matsuzawa\nKenichi Okawa
Staff13	{c[a0ffff]}BOSS DESIGN{c[000000]}
Staff14	Yasunori Marubayashi\nTomohiro Iwamoto
Staff15	{c[a0ffff]}CHAMBER DUNGEON DESIGN{c[000000]}
Staff16	Shuntarou Tahara\nEijiro Fujii
Staff17	{c[a0ffff]}EVENT DESIGN{c[000000]}
Staff18	Momoka Iseki
Staff19	{c[a0ffff]}MINIGAME DESIGN{c[000000]}
Staff20	Shino Nakamura
Staff21	{c[a0ffff]}UI DESIGN{c[000000]}
Staff22	Katsumi Kuga
Staff23	{c[a0ffff]}SYSTEM ARCHITECT{c[000000]}
Staff24	Yoshiki Ueda
Staff25	{c[a0ffff]}GAME SYSTEM DEVELOPMENT{c[000000]}
Staff26	Shun Moriya
Staff27	{c[a0ffff]}PLAYER PROGRAMMING{c[000000]}
Staff28	Shinji Takeda\nTatsuya Tamaru
Staff29	{c[a0ffff]}ACTOR PROGRAMMING{c[000000]}
Staff30	Junichi Hayasaka\nHitoshi Takayama\nTeppei Fujita\nDaisuke Haga\nHiroyuki Mabuchi
Staff31	{c[a0ffff]}CHAMBER DUNGEON PROGRAMMING{c[000000]}
Staff32	Shingo Watanabe
Staff33	{c[a0ffff]}UI PROGRAMMING{c[000000]}
Staff34	Naoki Nishikawa\nIkumi Kondo\nNobuhiro Mikami
Staff35	{c[a0ffff]}GRAPHICS PROGRAMMING{c[000000]}
Staff36	Kazumi Kobayashi\nShintaro Kashima
Staff37	{c[a0ffff]}PHYSICS PROGRAMMING{c[000000]}
Staff38	Takumi Furuya
Staff39	{c[a0ffff]}VFX PROGRAMMING{c[000000]}
Staff40	Michihiro Sakaida
Staff41	{c[a0ffff]}AUDIO PROGRAMMING{c[000000]}
Staff42	Kei Yokohama
Staff43	{c[a0ffff]}GAME TOOL DEVELOPMENT{c[000000]}
Staff44	Hiroki Sakurai
Staff45	{c[a0ffff]}SYSTEM TOOL DEVELOPMENT{c[000000]}
Staff46	Toshinori Shimono
Staff47	{c[a0ffff]}ART DIRECTOR{c[000000]}
Staff48	Kazuhiko Takahashi
Staff49	{c[a0ffff]}ART LEAD{c[000000]}
Staff50	Masaki Yasuda
Staff51	{c[a0ffff]}ART{c[000000]}
Staff52	Yumi Kikuoka\nChinatsu Kazuno\nMami Ikeda
Staff53	{c[a0ffff]}CHARACTER MODELING LEAD{c[000000]}
Staff54	Eiichi Amano
Staff55	{c[a0ffff]}CHARACTER MODELING{c[000000]}
Staff56	Sakurako Matsui\nTatsuya Awata\nKatsuo Sano\nToshio Yanagi\nYohei Fujimoto\nOtokazu Eda
Staff57	{c[a0ffff]}ANIMATION LEAD{c[000000]}
Staff58	Hiroyuki Sano
Staff59	{c[a0ffff]}ANIMATION{c[000000]}
Staff60	Yuta Okada\nIzumi Furuya\nYukiko Nakayama\nMasahiro Onoguchi\nIcchiku Miyamoto\nZheng Qifeng
Staff61	{c[a0ffff]}MAP MODELING LEAD{c[000000]}
Staff62	Satoshi Terada
Staff63	{c[a0ffff]}MAP MODELING{c[000000]}
Staff64	Riho Suzuki\nTomoka Tsuboi\nNozomi Murata\nRyota Ishizuka\nKatsuya Hiraoka\nYu Yamaguchi\nKaoru Akimoto\nMarina Takai
Staff65	{c[a0ffff]}VFX LEAD{c[000000]}
Staff66	Yutaka Kunimoto
Staff67	{c[a0ffff]}VFX{c[000000]}
Staff68	Ryo Saito\nAzumi Hattori
Staff69	{c[a0ffff]}UI LEAD{c[000000]}
Staff70	Yoshimitsu Sato
Staff71	{c[a0ffff]}UI{c[000000]}
Staff72	Yoshiki Yamada
Staff73	{c[a0ffff]}SOUND DESIGN LEAD{c[000000]}
Staff74	Yoshitaka Fujita
Staff75	{c[a0ffff]}SOUND EDITORS{c[000000]}
Staff76	Eiji Nakamura\nChiharu Minekawa\nKenichi Saito
Staff77	{c[a0ffff]}PROJECT MANAGEMENT (GREZZO)\n{c[000000]}
Staff78	Hideaki Matsuoka\nTakami Kuramochi\nAyako Shinkai
Staff79	{c[a0ffff]}SYSTEM ADMINISTRATION (GREZZO){c[000000]}
Staff80	Atsushi Ebisawa\nKazuki Kashiwakura
Staff81	{c[a0ffff]}BUSINESS ADMINISTRATION (GREZZO){c[000000]}
Staff82	Kazuhiro Tsurumi\nAzumi Nozaki\nReika Shima
Staff83	{c[a0ffff]}GENERAL MANAGEMENT (GREZZO){c[000000]}
Staff84	Koichi Ishii
Staff85	{c[a0ffff]}OP/ED ANIMATION{c[000000]}
Staff86	Tomoya Iwasawa\nOsamu Sasaki\nHideki Kanou\nTomonori Okada\nMaino Hikosaka\nJunichi Yamamoto\nOswaldo KATO
Staff87	{c[a0ffff]}GRAPHIC REFINING DIRECTORS{c[000000]}
Staff88	Yoshiki Haruhana\nKeijiro Inoue
Staff89	{c[a0ffff]}TECHNICAL SUPERVISOR{c[000000]}
Staff90	Takuhiro Dohta
Staff91	{c[a0ffff]}SOUND SUPERVISORS{c[000000]}
Staff92	Hajime Wakai\nTakahiro Watanabe
Staff93	{c[a0ffff]}ORIGINAL SUPERVISOR{c[000000]}
Staff94	Yoichi Yamada
Staff95	{c[a0ffff]}MUSIC & ARRANGEMENT{c[000000]}
Staff96	Ryo Nagamatsu
Staff97	{c[a0ffff]}VOICES{c[000000]}
Staff98	Mitsuki Saiga\nYuko Natsuyoshi\nKazuya Ichijo\nKousuke Takaguchi\nKyoko Yamaguchi\nMari Kiyohara\nMisaki Ikeda\nSeiro Ogino\nSerika Hiromatsu\nSyuuhei Takubo\nTaichi Takeda\nTakahiro Sumi\nTakuma Sasaki\nYo Kitazawa
Staff99	{c[a0ffff]}ILLUSTRATION{c[000000]}
Staff100	Yusuke Nakano\nItteki Nakama\nChiharu Sakiyama
Staff101	{c[a0ffff]}LOGO DESIGN{c[000000]}
Staff102	Keisuke Okubo\nTaku Ito\nYukihiko Hayashi\nPeng Yi\nSuzy Do
Staff103	{c[a0ffff]}NOA LOCALIZATION MANAGEMENT{c[000000]}
Staff104	Nate Bihldorff\nReiko Ninomiya\nRich Amtower\nTim O'Leary\nScot Ritchey\nMorgan Ritchie\nDan Owsen
Staff105	{c[a0ffff]}NOA LOCALIZATION{c[000000]}
Staff106	Sam AbouHarb\nBilly Carroll\nMarjolaine Drouin\nRaymond Elliget\nDutch Hixenbaugh\nRyan Nathaniel Kelley\nNich Maragos\nGalia Rodríguez Hornedo\nYanett Valor
Staff107	{c[a0ffff]}NOE LOCALISATION PRODUCERS{c[000000]}
Staff108	Chihiro Ogawa\nHanako Furuya
Staff109	{c[a0ffff]}NOE TRANSLATION{c[000000]}
Staff110	Araceli Mazon Figueroa\nGrzegorz Tadeusz Sadownik\nGrace Evelyn Yon\nDavid Causseque\nNatacha Faubert\nBruno Gramigna\nVincenzo Russo\nSven Pötzl\nHannah Siebert \nAlicia Vega Lamela\nAlfonso Diaz Jimenez\nThomas den Haan \nLennart Rotteveel \nAnton Ivancikovs \nDmitrii Kaloev
Staff111	{c[a0ffff]}NHL LOCALIZATION COORDINATION{c[000000]}
Staff112	Claudia Chang
Staff113	{c[a0ffff]}NHL TRANSLATION{c[000000]}
Staff114	Wang Zhong Long\nNatalie Yu
