Glossary.msbt
glossary_Place01	长尾大空洞
TarinAfterRaccoon	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_002呼～咬了一口蘑菇后，\n俺就做了个自己变成狸猫的梦。\x0e\x01\x04\0\n虽然不记得在梦里做了些什么，\n但总觉得过得很快乐唷！\x0e\x01\x04\0
Lv1Owl3_1	呜！\x0e\x01\x04\0\x0e\0\x04\0拿着那把钥匙，到村子南边的\n{c[0095ef]}长尾大空洞{c[ededed]}去吧。\x0e\x01\x04\0\n试着找出沉睡于\n洞穴深处的乐器！\x0e\x01\x04\0\n{c[d9456d]}风鱼{c[ededed]}在等着你呢。\n呜呜！呜呜！\x0e\x01\x04\0
Lv1BossMoldorm	嘎呼呼！！嘎呼呼！！\n外来者！碍事者！\x0e\x01\x06\0
Lv1GetViolin	是{c[d9456d]}满月小提琴{c[ededed]}！\x0e\x01\x06\0
Lv1Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……沼泽……于花朵遍开的沼泽处……\n延续着新的道路……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv1Clear_Memory	……沼泽……花朵盛开的沼泽处……\n延续着新的道路……\x0e\x01\x04\0
Lv2Owl1_1	呜呜！呜呜！\x0e\x01\x04\0\x0e\0\x04\0那正是{c[d9456d]}瑟莲的乐器{c[ededed]}！\x0e\x01\x04\0\x0e\0\x04\0孩子你果然是真正的使者！\n请原谅我多次的无礼……\x0e\x01\x04\0\n那乐器拥有唤醒\n{c[d9456d]}风鱼{c[ededed]}的力量。\x0e\x01\x04\0\n乐器总共有8件，\n得把这8件乐器全部集齐。\x0e\x01\x04\0\n我是被派来负责引导孩子你\n走上正确道路的信使。\x0e\x01\x04\0\n请前往位于北方的{c[0095ef]}果彭加沼泽{c[ededed]}。\n呜呜！\x0e\x01\x04\0
Lv2ChildHappening1	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001啊！大哥哥！糟糕了！\n糟糕了！你听我说！听我说！\x0e\x01\x04\0
Lv2ChildHappening2	\x0e\x01\x0f\0对啊！真的糟透了！\n刚刚{c[d9456d]}莫力布林{c[ededed]}到村子里……\x0e\x01\x04\0
Lv2ChildHappening3	\x0e\x01\x0f\0你听我说！刚刚有很多\n{c[d9456d]}莫力布林{c[ededed]}冲了过来！然后啊……\x0e\x01\x04\0
Lv2ChildHappening4	\x0e\x01\x0f\0对啊！他们立即冲到\n那个房子去……然后啊！听我说！\x0e\x01\x04\0
Lv2ChildHappening5	\x0e\x01\x0f\0那房子是{c[0095ef]}养了汪汪的那人{c[ededed]}的家……\n好像是……不！对啊，就是那一家！\x0e\x01\x04\0
Lv2ChildHappening6	\x0e\x01\x0f\0{c[d9456d]}莫力布林{c[ededed]}那群家伙！居然啊！\n就是……！你听我说……！\x0e\x01\x04\0
Lv2ChildHappening7	似乎自己去确认\n会比较快。\x0e\x01\x04\0
Lv2ChildHappening8	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001啊！大哥哥！糟糕了！\n糟糕了！你听我说！听我说！\x0e\x01\x04\0
Lv2ChildHappening9	\x0e\x01\x0f\0{c[d9456d]}莫力布林{c[ededed]}那群家伙！居然啊！\n就是……！你听我说……！\x0e\x01\x04\0
Lv2MadamHappening	\x0e\x01\x0f\0\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_004糟糕了！不得～了！\n我家{c[d9456d]}汪汪{c[ededed]}被莫、莫、\x0e\x01\x04\0\n{c[d9456d]}莫力布林{c[ededed]}给掳走了！\n啊啊！谁来救救{c[d9456d]}汪汪{c[ededed]}啊～！\x0e\x01\x04\0
Lv2FirstMoblinCave	唔！谁啊！？是个可疑的小鬼！\n大家都出来吧！快来～！\x0e\x01\x04\0
Lv2MiniBossKingMoblin	可恶！你是来抢回{c[d9456d]}汪汪{c[ededed]}的吗？\n那么，你就是汪汪的主人——\x0e\x01\x04\0\n喵喵夫人派来的刺客吧！\n看我反过来打败你！\x0e\x01\x04\0
Lv2GetBowwow	成功把{c[d9456d]}汪汪{c[ededed]}救出来了！\n靠近一看，果然还是很可怕。\x0e\x01\x04\0
Lv2Owl2_1	呜呜！呜呜！\x0e\x01\x04\0\x0e\0\x04\0你牵着一只生人勿近的家伙呢。\x0e\x01\x04\0\x0e\0\x04\0下一件瑟莲的乐器在\n{c[0095ef]}果彭加沼泽{c[ededed]}里。\x0e\x01\x04\0\n千万别忘记喔。\n呜呜！呜呜！\x0e\x01\x04\0
Lv2BossGenie	呼嘿嘿！你这次的对手\n是我！呼嘿嘿！\x0e\x01\x06\0
Lv2BossHint1	……唔！我不能动了！\n但没有问题。\x0e\x01\x04\0\n就凭你手上的{c[d9456d]}钝剑，\n是无法打破这个壶{c[ededed]}的！\x0e\x01\x04\0\n这里的墙壁，\n要比你的剑来得坚硬。\x0e\x01\x04\0
Lv2BossHint2	呼嘿嘿嘿！{c[d9456d]}只要这个壶还在，\n我就是不死之身{c[ededed]}唷！\x0e\x01\x04\0
Lv2BossBreakPot	你竟敢做出这种事！\n我绝对不会放过你！\x0e\x01\x04\0
Lv2GetHorn	找到{c[d9456d]}海螺号角{c[ededed]}了！\x0e\x01\x06\0
Lv2Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……草原……草原\n草原正在等待你……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv2Clear_Memory	……草原……草原，\n草原正在等着你……\x0e\x01\x04\0
Lv3ReturnBowwow1	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_005呵～呵呵呵。\n非常感谢你把汪汪救回来。\x0e\x01\x04\0\n你真是个善良的孩子呢。\n这是回礼。\x0e\x01\x04\0
Lv3ReturnBowwow2	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_006啾啵！！\x0e\x01\x04\0
Lv3ReturnBowwow3	……得到了\n喵喵夫人的回礼……\x0e\x01\x04\0
Lv3ReturnBowwow4	……………………\x0e\x01\x04\0
Lv3ReturnBowwow5	……真、真走运啊！\x0e\x01\x04\0
Lv3QuestRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001哟！别看我现在这样，\n我啊～也曾经在城堡里居住过的喔。\x0e\x01\x04\0\n但自从我的随从被怪物附身后，\n我啊～就从那里逃出来了……\x0e\x01\x04\0\n你能答应我的请求吗？\n会给你好东西报答你的。\x0e\x01\x04\0\n我啊～想你帮我从怪物手上，\n取回我在逃离城堡时留下的{c[d9456d]}黄金叶子{c[ededed]}！\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0我明白了\x0e\0\x04\0\x0e\x01\t\0才不管你呢
Lv3QuestRichardForMemory	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001哟！别看我现在这样，\n我啊～也曾经在城堡里居住过的喔。\x0e\x01\x04\0\n但自从我的随从被怪物附身后，\n我啊～就从那里逃出来了……\x0e\x01\x04\0\n你能答应我的请求吗？\n会给你好东西报答你的。\x0e\x01\x04\0\n我啊～想你帮我从怪物手上，\n取回我在逃离城堡时留下的{c[d9456d]}黄金叶子{c[ededed]}！\x0e\x01\x04\0
Lv3YesRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_002噢！我啊～真的非常感激你！\n其实那个{c[d9456d]}叶子{c[ededed]}总共有{c[d9456d]}5片{c[ededed]}呢。\x0e\x01\x04\0\n啊，回来之前记得买个{c[d9456d]}铁铲{c[ededed]}喔～！\n拜托你了～！\x0e\x01\x04\0
Lv3NoRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_004我啊～再也不想看见\n像你这种胆小鬼了！去去！走开！\x0e\x01\x04\0
Lv3CompGoldLeaf	终、终、终于……\n得到最后1片叶子了～～！\x0e\x01\x04\0\n总之，先拿着叶子回去找{c[d9456d]}理查德{c[ededed]}，\n问问他有关钥匙的事吧。\x0e\x01\x04\0
Lv3CompGoldLeaf_NoQuest	这是第5片{c[d9456d]}黄金叶子{c[ededed]}！\n……这大概是最后一片了吧。\x0e\x01\x04\0
Lv3ClearRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_003嗯～！好棒棒！\n叶子都集齐了！\x0e\x01\x04\0\n好！为了表达我的谢意，\n你来推一下这座青蛙石像吧！\x0e\x01\x04\0
Lv3BossSlimeEye	弹呀弹～！弹呀弹～！\n你猜我躲哪儿去了～！\x0e\x01\x04\0\n……可别撞墙壁！\x0e\x01\x04\0
Lv3GetBell	得到了{c[d9456d]}海百合铃铛{c[ededed]}！\x0e\x01\x06\0
Lv3Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……瀑布……被藏在……\n瀑布之中……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv3Clear_Memory	……瀑布……被藏在……\n瀑布之中……\x0e\x01\x04\0
Lv4Owl1_1	呜呜！\x0e\x01\x04\0\x0e\0\x04\0已经收集了多少件\n{c[d9456d]}瑟莲的乐器{c[ededed]}呢？\x0e\x01\x04\0\n当8件乐器同时奏起乐曲，\n{c[d9456d]}风鱼{c[ededed]}便会苏醒过来。\x0e\x01\x04\0\n届时，就是孩子你\n离开这座岛屿的时候吧。\x0e\x01\x04\0\n前往{c[0095ef]}亚那沙漠{c[ededed]}吧。\x0e\x01\x04\0\x0e\0\x04\0栖息于该处的黑色怪物\n将会为你的前路提供线索。\x0e\x01\x04\0\x0e\0\x04\0呜呜！呜呜！\x0e\x01\x04\0
Lv4QuestMarinBeach1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001哎呀，\x0e\x01\x03\0。\n原来你也知道这个地方啊。\x0e\x01\x04\0
Lv4QuestMarinBeach2	跟我聊聊好吗？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0好啊\x0e\0\x04\0不要
Lv4NoMarinBeach	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009这样啊……那我就在这里\n多待一会，看看海……\x0e\x01\x04\0
Lv4MarinBeach1	这个椰子\n到底是从哪里来的呢……\x0e\x01\x04\0
Lv4MarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003虽然塔林说过，\n海的另一端什么都没有……\x0e\x01\x04\0
Lv4MarinBeachPalm	但我相信，\n那里一定是有些什么的！\x0e\x01\x04\0
Lv4MarinBeach3	………………\x0e\x01\x04\0
Lv4MarinBeach4	当我找到\x0e\x01\x03\0的时候，\n我的心跳得很快。\x0e\x01\x04\0\n那时我在想，这个人一定是为了告知我们\n某些事情，而从海的另一端过来的。\x0e\x01\x04\0
Lv4MarinBeach5	………………\x0e\x01\x04\0
Lv4MarinBeach6	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009如果我是海鸥……\n我一定有多远就飞多远……\x0e\x01\x04\0\n飞到许多不同的地方，\n和许多不同的人合唱。\x0e\x01\x04\0
Lv4MarinBeach7	要是我向{c[d9456d]}“风鱼”{c[ededed]}许愿，\n我的愿望是否会成真呢……\x0e\x01\x04\0
Lv4MarinBeach8	哎，\x0e\x01\x03\0。你有在听吗？ \x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0完全没在听
Lv4YesMarinBeach1	要是有机会，\n真想去\x0e\x01\x03\0的故乡看看呢……\x0e\x01\x04\0
Lv4YesMarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_008我只是说说而已！呵呵……\x0e\x01\x04\0
Lv4NoMarinBeach4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004真是的！总是心不在焉……\n下次你要好好听我说话喔！\x0e\x01\x04\0
Lv4MarinBeach11	\x0e\x01\x0b\x14\x12\0SE_NPC_MARIN_006_3啊？{c[d9456d]}海象{c[ededed]}先生？？\n……可以喔！我跟你一起去吧！\x0e\x01\x04\0
Lv4GetMarin	太棒了！获得{c[d9456d]}玛林{c[ededed]}相助！\n机、机会来了！？\x0e\x01\x04\0
Lv4WalrusNoMarin	……啊呜……啊呜……\n……\x0e\x01\0\x01\x0e……\x0e\x01\0\x01\x0e……\x0e\x01\x04\0
Lv4WalrusWithMarin	啊呜！啊呜！\n\x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e ！ \x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e ！\x0e\x01\x04\0\n……\x0e\x01\0\x01\x0d ？？\x0e\x01\x04\0
Lv4QuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001哎呀？真是只懒洋洋的海象先生呢。\n要吓他一下吗？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0还是算了
Lv4NoQuestWalrus	也是呢。这样做他会很可怜的。\n我们就别去吵醒他吧！\x0e\x01\x04\0
Lv4YesQuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_007啊哈哈哈！刚醒来就很精神呢！\x0e\x01\x04\0
Lv4ClearQuestWalrus1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005咦？他在叫我……\n一定是想我做平时的那件事吧……呵呵呵。\x0e\x01\x04\0
Lv4ClearQuestWalrus2	我要去{c[0095ef]}动物村{c[ededed]}看看。\n\x0e\x01\x03\0，你也一定要来喔！\x0e\x01\x04\0
Lv4MiniBossLanmola	呜喀喀！呜喀喀！\n碍事！碍眼！\x0e\x01\x04\0
Lv4Owl2_1	呜呜！呜呜！\x0e\x01\x04\0\x0e\0\x04\0那支钥匙象征着\n于瀑布中逆流而上的鱼。\x0e\x01\x04\0\n呜！\n向{c[0095ef]}山中瀑布{c[ededed]}前进吧！\x0e\x01\x04\0\n登上水流的最高处后，\n只要向下一跃……\x0e\x01\x04\0\n呜呜！呜呜！\x0e\x01\x04\0
StudyMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003咦？你找来了个很棒的{c[d9456d]}笛子{c[ededed]}呢！\n试着配合我的歌声，吹奏看看。\x0e\x01\x04\0
QuestMarinSong	怎么样？这首歌很动人心弦对吧？\n你有好好记住吗？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0完全没有
NoMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004啊？你要好好记住喔！\n这可是我喜欢的歌呢。\x0e\x01\x04\0
GetMarinSong	学会了\n{c[d9456d]}风鱼之歌{c[ededed]}！\x0e\x01\x04\0\n玛林的歌声\n仍不绝于耳。\x0e\x01\x04\0
YesMarinSong	为免忘记这首歌，\n你偶尔要唱一下喔！\x0e\x01\x04\0
Lv4BossAngler	嘎啵啵～！噶吧啤吧噶啵！\n食物！来了！食物！来了！\x0e\x01\x06\0
Lv4GetHarp	找到{c[d9456d]}浪涛竖琴{c[ededed]}了！\x0e\x01\x06\0
Lv4Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……海湾……海湾之中……\n也延续着你该走的路……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv4Clear_Memory	……海湾……海湾之中……\n也延续着你该走的路……\x0e\x01\x04\0
QuestManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001我叫{c[d9456d]}曼波为五郎{c[ededed]}，\n是条小曼波鱼！\x0e\x01\x04\0\n你有带着{c[d9456d]}笛子{c[ededed]}吗？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0有喔\x0e\0\x04\0\x0e\x01\t\0没有
NoManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001这样啊……\n咕噜咕噜咕噜……\x0e\x01\x04\0
YesManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_003那么，我来教你1首歌吧！\x0e\x01\x04\0
GetManboSong	学会了{c[d9456d]}曼波鱼之曼波曲{c[ededed]}。\n离开水底后，试着吹奏一下吧！\x0e\x01\x04\0
NoneOcarinaManbo	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001啊，原来你没有{c[d9456d]}乐器{c[ededed]}……这样啊……\n咕噜咕噜咕噜……\x0e\x01\x04\0
Lv5GhostGoHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……带我……回家……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostGoHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……海湾的……家……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostNoDungeon	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002……不要！\n……我讨厌……那里……\x0e\x01\x04\0
Lv5GhostNearHouse	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……是这里了！\n……进去吧……这是我的家……\x0e\x01\x04\0
Lv5GhostHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_003……好怀念……\n……一切都没有变……\x0e\x01\x04\0
Lv5GhostHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002……呜呜呜呜……\x0e\x01\x04\0
Lv5GhostHouse3	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……可以了……已经够了……\n……我要回去……墓地……\x0e\x01\x04\0\n……带我回去……墓地……\x0e\x01\x04\0
Lv5GhostGoGrave	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……带我去……墓地……\x0e\x01\x05\x04Ð\x07\0\0\x0e\0\x04\0……开满花朵的……我的墓地……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostByebye	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_004……谢谢你……\x0e\x01\x04\0\x0e\0\x04\0……我的宝物……\n……送给你……拿去用吧……\x0e\x01\x04\0\n……拜拜……\x0e\x01\x04\0
Lv5Owl1_1	呜呜！呜呜！\x0e\x01\x04\0\x0e\0\x04\0孩子，好久不见了。\x0e\x01\x04\0\x0e\0\x04\0从玛莎海湾的水底\n进入{c[0095ef]}鲶鱼大嘴{c[ededed]}吧。\x0e\x01\x04\0\n随着孩子你越来越接近，\n{c[d9456d]}风鱼{c[ededed]}也开始有苏醒的迹象。\x0e\x01\x04\0\n继续前进吧……\n呜呜！呜呜！\x0e\x01\x04\0
Lv5MiniBoss1	可恶！打不赢你啊！\n暂时撤退！\x0e\x01\x04\0
StaffCredit.msbt
Staff1	{c[a0ffff]}DIRECTOR{c[000000]}
Staff2	Mikiharu Oiwa
Staff3	{c[a0ffff]}PLANNING DIRECTOR{c[000000]}
Staff4	Hiroyuki Kuwata
Staff5	{c[a0ffff]}PLANNING SUB DIRECTOR{c[000000]}
Staff6	Rena Takada
Staff7	{c[a0ffff]}PLAYER DESIGN{c[000000]}
Staff8	Hidetomo Saito
Staff9	{c[a0ffff]}LEVEL DESIGN{c[000000]}
Staff10	Tatsumaro Tezuka\nJunichi Shinomiya\nRio Oguma\nMai Fujimura
Staff11	{c[a0ffff]}ENEMY DESIGN{c[000000]}
Staff12	Akihiko Matsuzawa\nKenichi Okawa
Staff13	{c[a0ffff]}BOSS DESIGN{c[000000]}
Staff14	Yasunori Marubayashi\nTomohiro Iwamoto
Staff15	{c[a0ffff]}PANEL DUNGEON DESIGN{c[000000]}
Staff16	Shuntarou Tahara\nEijiro Fujii
Staff17	{c[a0ffff]}EVENT DESIGN{c[000000]}
Staff18	Momoka Iseki
Staff19	{c[a0ffff]}MINIGAME  DESIGN{c[000000]}
Staff20	Shino Nakamura
Staff21	{c[a0ffff]}UI DESIGN{c[000000]}
Staff22	Katsumi Kuga
Staff23	{c[a0ffff]}SYSTEM ARCHITECT{c[000000]}
Staff24	Yoshiki Ueda
Staff25	{c[a0ffff]}GAME SYSTEM DEVELOPMENT{c[000000]}
Staff26	Shun Moriya
Staff27	{c[a0ffff]}PLAYER PROGRAMMING{c[000000]}
Staff28	Shinji Takeda\nTatsuya Tamaru
Staff29	{c[a0ffff]}ACTOR PROGRAMMING{c[000000]}
Staff30	Junichi Hayasaka\nHitoshi Takayama\nTeppei Fujita\nDaisuke Haga\nHiroyuki Mabuchi
Staff31	{c[a0ffff]}PANEL DUNGEON PROGRAMMING{c[000000]}
Staff32	Shingo Watanabe
Staff33	{c[a0ffff]}UI PROGRAMMING{c[000000]}
Staff34	Naoki Nishikawa\nIkumi Kondo\nNobuhiro Mikami
Staff35	{c[a0ffff]}GRAPHICS PROGRAMMING{c[000000]}
Staff36	Kazumi Kobayashi\nShintaro Kashima
Staff37	{c[a0ffff]}PHYSICS PROGRAMMING{c[000000]}
Staff38	Takumi Furuya
Staff39	{c[a0ffff]}VFX PROGRAMMING{c[000000]}
Staff40	Michihiro Sakaida
Staff41	{c[a0ffff]}AUDIO PROGRAMMING{c[000000]}
Staff42	Kei Yokohama
Staff43	{c[a0ffff]}GAME TOOL DEVELOPMENT{c[000000]}
Staff44	Hiroki Sakurai
Staff45	{c[a0ffff]}SYSTEM TOOL DEVELOPMENT{c[000000]}
Staff46	Toshinori Shimono
Staff47	{c[a0ffff]}ART DIRECTOR{c[000000]}
Staff48	Kazuhiko Takahashi
Staff49	{c[a0ffff]}ART LEAD{c[000000]}
Staff50	Masaki Yasuda
Staff51	{c[a0ffff]}ART{c[000000]}
Staff52	Yumi Kikuoka\nChinatsu Kazuno\nMami Ikeda
Staff53	{c[a0ffff]}CHARACTER MODELING LEAD{c[000000]}
Staff54	Eiichi Amano
Staff55	{c[a0ffff]}CHARACTER MODELING{c[000000]}
Staff56	Sakurako Matsui\nTatsuya Awata\nKatsuo Sano\nToshio Yanagi\nYohei Fujimoto\nOtokazu Eda
Staff57	{c[a0ffff]}ANIMATION LEAD{c[000000]}
Staff58	Hiroyuki Sano
Staff59	{c[a0ffff]}ANIMATION{c[000000]}
Staff60	Yuta Okada\nIzumi Furuya\nYukiko Nakayama\nMasahiro Onoguchi\nIcchiku Miyamoto\nZheng Qifeng
Staff61	{c[a0ffff]}MAP MODELING LEAD{c[000000]}
Staff62	Satoshi Terada
Staff63	{c[a0ffff]}MAP MODELING{c[000000]}
Staff64	Riho Suzuki\nTomoka Tsuboi\nNozomi Murata\nRyota Ishizuka\nKatsuya Hiraoka\nYu Yamaguchi\nKaoru Akimoto\nMarina Takai
Staff65	{c[a0ffff]}VFX LEAD{c[000000]}
Staff66	Yutaka Kunimoto
Staff67	{c[a0ffff]}VFX{c[000000]}
Staff68	Ryo Saito\nAzumi Hattori
Staff69	{c[a0ffff]}UI LEAD{c[000000]}
Staff70	Yoshimitsu Sato
Staff71	{c[a0ffff]}UI{c[000000]}
Staff72	Yoshiki Yamada
Staff73	{c[a0ffff]}SOUND DESIGN LEAD{c[000000]}
Staff74	Yoshitaka Fujita
Staff75	{c[a0ffff]}SOUND EDITORS{c[000000]}
Staff76	Eiji Nakamura\nChiharu Minekawa\nKenichi Saito
Staff77	{c[a0ffff]}PROJECT MANAGEMENT (GREZZO)\n{c[000000]}
Staff78	Hideaki Matsuoka\nTakami Kuramochi\nAyako Shinkai
Staff79	{c[a0ffff]}SYSTEM ADMINISTRATION (GREZZO){c[000000]}
Staff80	Atsushi Ebisawa\nKazuki Kashiwakura
Staff81	{c[a0ffff]}BUSINESS ADMINISTRATION (GREZZO){c[000000]}
Staff82	Kazuhiro Tsurumi\nAzumi Nozaki\nReika Shima
Staff83	{c[a0ffff]}GENERAL MANAGEMENT (GREZZO){c[000000]}
Staff84	Koichi Ishii
Staff85	{c[a0ffff]}OP/ED ANIMATION{c[000000]}
Staff86	Tomoya Iwasawa\nOsamu Sasaki\nHideki Kanou\nTomonori Okada\nMaino Hikosaka\nJunichi Yamamoto\nOswaldo KATO
Staff87	{c[a0ffff]}GRAPHIC REFINING DIRECTORS{c[000000]}
Staff88	Yoshiki Haruhana\nKeijiro Inoue
Staff89	{c[a0ffff]}TECHNICAL SUPERVISOR{c[000000]}
Staff90	Takuhiro Dohta
Staff91	{c[a0ffff]}SOUND SUPERVISORS{c[000000]}
Staff92	Hajime Wakai\nTakahiro Watanabe
Staff93	{c[a0ffff]}ORIGINAL SUPERVISOR{c[000000]}
Staff94	Yoichi Yamada
Staff95	{c[a0ffff]}MUSIC & ARRANGEMENT{c[000000]}
Staff96	Ryo Nagamatsu
Staff97	{c[a0ffff]}VOICES{c[000000]}
Staff98	Mitsuki Saiga\nYuko Natsuyoshi\nKazuya Ichijo\nKousuke Takaguchi\nKyoko Yamaguchi\nMari Kiyohara\nMisaki Ikeda\nSeiro Ogino\nSerika Hiromatsu\nSyuuhei Takubo\nTaichi Takeda\nTakahiro Sumi\nTakuma Sasaki\nYo Kitazawa
Staff99	{c[a0ffff]}ILLUSTRATION{c[000000]}
Staff100	Yusuke Nakano\nItteki Nakama\nChiharu Sakiyama
Staff101	{c[a0ffff]}LOGO DESIGN{c[000000]}
Staff102	Keisuke Okubo\nTaku Ito\nYukihiko Hayashi\nPeng Yi\nSuzy Do
Staff103	{c[a0ffff]}NOA LOCALIZATION MANAGEMENT{c[000000]}
Staff104	Nate Bihldorff\nReiko Ninomiya\nRich Amtower\nTim O'Leary\nScot Ritchey\nMorgan Ritchie\nDan Owsen
Staff105	{c[a0ffff]}NOA LOCALIZATION{c[000000]}
Staff106	Sam AbouHarb\nBilly Carroll\nMarjolaine Drouin\nRaymond Elliget\nDutch Hixenbaugh\nRyan Kelley\nNich Maragos\nGalia Rodríguez Hornedo\nYanett Valor
Staff107	{c[a0ffff]}NOE LOCALISATION PRODUCERS{c[000000]}
Staff108	Chihiro Ogawa\nHanako Furuya
Staff109	{c[a0ffff]}NOE TRANSLATION{c[000000]}
Staff110	Araceli Mazon Figueroa\nGrzegorz Tadeusz Sadownik\nGrace Evelyn Yon\nDavid Causseque\nNatacha Faubert\nBruno Gramigna\nVincenzo Russo\nSven Pötzl\nHannah Siebert \nAlicia Vega Lamela\nAlfonso Diaz Jimenez\nThomas den Haan \nLennart Rotteveel \nAnton Ivancikovs \nDmitrii Kaloev
Staff111	{c[a0ffff]}NHL LOCALIZATION COORDINATION{c[000000]}
Staff112	Claudia Chang
Staff113	{c[a0ffff]}NHL TRANSLATION{c[000000]}
Staff114	Wang Zhong Long\nNatalie Yu
Staff115	{c[a0ffff]}iQue LOCALIZATION COORDINATION{c[000000]}
Staff116	Keisuke Fukushima
Staff117	{c[a0ffff]}iQue TRANSLATION{c[000000]}
Staff118	Yuan Jun
Staff119	{c[a0ffff]}NOK LOCALIZATION COORDINATION{c[000000]}
Staff120	Soonil Kim
Staff121	{c[a0ffff]}NOK TRANSLATION{c[000000]}
Staff122	Ryunjin Shin
Staff123	{c[a0ffff]}TESTING{c[000000]}
Staff124	Yasunori Shibayama\nRina Watanabe\nAndy Kolden\nSebastian Donnerstag\nZhang Jiong\nKiung Seoung
Staff125	{c[a0ffff]}PROJECT COORDINATION{c[000000]}
Staff126	Tomomi Sano\nMitsuo Iwamoto
Staff127	{c[a0ffff]}PRODUCTION MANAGEMENT{c[000000]}
Staff128	Daiki Iwamoto\nMakoto Miyanaga
Staff129	{c[a0ffff]}SPECIAL THANKS{c[000000]}
Staff130	Miyuya Tatsuno\nNaoki Kawamoto\nAkinori Ohashi\nDaichi Nakashima\nTsuyoshi Masada\nMahito Yokota
Staff131	Shigeru Miyamoto\nYoshiaki Koizumi\nTakashi Tezuka\nKensuke Tanabe\nKazuaki Morita\nJeff Miller
