Glossary.msbt
glossary_Place01	テールのほらあな
StudyMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003あれ？ ステキな{c[d9456d]}{r2[ふえ]}笛{/r2}{c[ededed]}を {r2[み]}見{/r2}つけたのね！\nわたしの {r2[うた]}歌{/r2}に{r2[あ]}合{/r2}わせて {r2[ふ]}吹{/r2}いてみて\x0e\x01\x04\0
QuestMarinSong	どう？ ハートにしみる{r2[うた]}歌{/r2}でしょ？\nちゃんと {r2[おぼ]}覚{/r2}えた？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0うん\x0e\0\x04\0\x0e\x01\t\0ちっとも
NoMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004えーっ！ ちゃんと {r2[おぼ]}覚{/r2}えてね！\nわたしの {r2[す]}好{/r2}きな{r2[うた]}歌{/r2}なんだから\x0e\x01\x04\0
GetMarinSong	{c[d9456d]}かぜのさかなの{r2[うた]}歌{/r2}{c[ededed]}を\n{r2[おし]}教{/r2}えてもらった！\x0e\x01\x04\0\nマリンの {r2[うたごえ]}歌声{/r2}が\nここちよく {r2[みみ]}耳{/r2}に{r2[のこ]}残{/r2}る\x0e\x01\x04\0
YesMarinSong	この{r2[うた]}歌{/r2} わすれないように\nときどき {r2[うた]}歌{/r2}ってね！\x0e\x01\x04\0
Lv4BossAngler	ガボボン！ ゴバベバッ ゴボン！\nエザ エザ ギダ！ ギダ！\x0e\x01\x06\0
Lv4GetHarp	{c[d9456d]}{r2[しおさい]}潮騒{/r2}のハープ{c[ededed]}を {r2[み]}見{/r2}つけた！\x0e\x01\x06\0
Lv4Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……{r2[い]}入{/r2}り{r2[え]}江{/r2}……{r2[い]}入{/r2}り{r2[え]}江{/r2}の{r2[なか]}中{/r2}にも\nオマエの {r2[ゆ]}行{/r2}く{r2[みち]}道{/r2}は {r2[つづ]}続{/r2}いている{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv4Clear_Memory	……{r2[い]}入{/r2}り{r2[え]}江{/r2}……{r2[い]}入{/r2}り{r2[え]}江{/r2}の{r2[なか]}中{/r2}にも\nオマエの {r2[ゆ]}行{/r2}く{r2[みち]}道{/r2}は {r2[つづ]}続{/r2}いている\x0e\x01\x04\0
QuestManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001ボク マンボウのこども\n{r2[なまえ]}名前{/r2}は {c[d9456d]}マンボためごろう{c[ededed]}！\x0e\x01\x04\0\nアンタ {c[d9456d]}{r2[ふえ]}笛{/r2}{c[ededed]} {r2[も]}持{/r2}ってる？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0あるよ\x0e\0\x04\0\x0e\x01\t\0{r2[も]}持{/r2}ってない
NoManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001あ そう…………\nブク ブク ブク\x0e\x01\x04\0
YesManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_003じゃ １{r2[きょく]}曲{/r2} {r2[おし]}教{/r2}えてあげる！\x0e\x01\x04\0
GetManboSong	{c[d9456d]}マンボウのマンボ{c[ededed]}を {r2[おぼ]}覚{/r2}えた。\n{r2[みず]}水{/r2}の{r2[そと]}外{/r2}へ {r2[で]}出{/r2}たら {r2[ふ]}吹{/r2}いてみよう\x0e\x01\x04\0
NoneOcarinaManbo	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001あ {c[d9456d]}{r2[がっき]}楽器{/r2}{c[ededed]}ないの……そう……\nブク ブク ブク\x0e\x01\x04\0
Lv5GhostGoHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……おうち……つれてって……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostGoHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……{r2[い]}入{/r2}り{r2[え]}江{/r2}の……おうち……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostNoDungeon	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002……いや！ ……そこ……いや……\x0e\x01\x04\0
Lv5GhostNearHouse	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……ここ！ ……{r2[はい]}入{/r2}って……\n……ボクの うち……\x0e\x01\x04\0
Lv5GhostHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_003…… なつかしい ……\n…… {r2[か]}変{/r2}わってない ……\x0e\x01\x04\0
Lv5GhostHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002…… ウッウッウッウッ ……\x0e\x01\x04\0
Lv5GhostHouse3	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……もう……いい……\n……お{r2[はか]}墓{/r2}……{r2[かえ]}帰{/r2}る……\x0e\x01\x04\0\n……お{r2[はか]}墓{/r2}……つれてって……\x0e\x01\x04\0
Lv5GhostGoGrave	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……お{r2[はか]}墓{/r2}……つれてって……\x0e\x01\x05\x04Ð\x07\0\0\x0e\0\x04\0……お{r2[はな]}花{/r2}にかこまれた……ボクのお{r2[はか]}墓{/r2}……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostByebye	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_004……ありがと……\x0e\x01\x04\0\x0e\0\x04\0……ボクの {r2[たからもの]}宝物{/r2}……\n……あげる……{r2[つか]}使{/r2}って……\x0e\x01\x04\0\n……バイ バイ……\x0e\x01\x04\0
Lv5Owl1_1	ホッホウ！ ホッホウ！\x0e\x01\x04\0\x0e\0\x04\0ごぶさたぢゃったのう ぼうや\x0e\x01\x04\0\x0e\0\x04\0マーサの{r2[い]}入{/r2}り{r2[え]}江{/r2}の {r2[ふか]}深{/r2}みより\n{c[0095ef]}ナマズの{r2[おおぐち]}大口{/r2}{c[ededed]}に {r2[はい]}入{/r2}られよ\x0e\x01\x04\0\n{c[d9456d]}かぜのさかな{c[ededed]}は ぼうやが\n{r2[ちかづ]}近付{/r2}くにつれ {r2[めざ]}目覚{/r2}めに{r2[む]}向{/r2}かう\x0e\x01\x04\0\n{r2[あゆ]}歩{/r2}み{r2[つづ]}続{/r2}けなされ……\nホッホウ！ ホッホウ！\x0e\x01\x04\0
Lv5MiniBoss1	チークショーッ！ かなわねーや！\nここは ひとまず タイサンするぜ！\x0e\x01\x04\0
StaffCredit.msbt
Staff1	{c[a0ffff]}DIRECTOR{c[000000]}
Staff2	Mikiharu Oiwa
Staff3	{c[a0ffff]}PLANNING DIRECTOR{c[000000]}
Staff4	Hiroyuki Kuwata
Staff5	{c[a0ffff]}PLANNING SUB DIRECTOR{c[000000]}
Staff6	Rena Takada
Staff7	{c[a0ffff]}PLAYER DESIGN{c[000000]}
Staff8	Hidetomo Saito
Staff9	{c[a0ffff]}LEVEL DESIGN{c[000000]}
Staff10	Tatsumaro Tezuka\nJunichi Shinomiya\nRio Oguma\nMai Fujimura
Staff11	{c[a0ffff]}ENEMY DESIGN{c[000000]}
Staff12	Akihiko Matsuzawa\nKenichi Okawa
Staff13	{c[a0ffff]}BOSS DESIGN{c[000000]}
Staff14	Yasunori Marubayashi\nTomohiro Iwamoto
Staff15	{c[a0ffff]}PANEL DUNGEON DESIGN{c[000000]}
Staff16	Shuntarou Tahara\nEijiro Fujii
Staff17	{c[a0ffff]}EVENT DESIGN{c[000000]}
Staff18	Momoka Iseki
Staff19	{c[a0ffff]}MINIGAME  DESIGN{c[000000]}
Staff20	Shino Nakamura
Staff21	{c[a0ffff]}UI DESIGN{c[000000]}
Staff22	Katsumi Kuga
Staff23	{c[a0ffff]}SYSTEM ARCHITECT{c[000000]}
Staff24	Yoshiki Ueda
Staff25	{c[a0ffff]}GAME SYSTEM DEVELOPMENT{c[000000]}
Staff26	Shun Moriya
Staff27	{c[a0ffff]}PLAYER PROGRAMMING{c[000000]}
Staff28	Shinji Takeda\nTatsuya Tamaru
Staff29	{c[a0ffff]}ACTOR PROGRAMMING{c[000000]}
Staff30	Junichi Hayasaka\nHitoshi Takayama\nTeppei Fujita\nDaisuke Haga\nHiroyuki Mabuchi
Staff31	{c[a0ffff]}PANEL DUNGEON PROGRAMMING{c[000000]}
Staff32	Shingo Watanabe
Staff33	{c[a0ffff]}UI PROGRAMMING{c[000000]}
Staff34	Naoki Nishikawa\nIkumi Kondo\nNobuhiro Mikami
Staff35	{c[a0ffff]}GRAPHICS PROGRAMMING{c[000000]}
Staff36	Kazumi Kobayashi\nShintaro Kashima
Staff37	{c[a0ffff]}PHYSICS PROGRAMMING{c[000000]}
Staff38	Takumi Furuya
Staff39	{c[a0ffff]}VFX PROGRAMMING{c[000000]}
Staff40	Michihiro Sakaida
Staff41	{c[a0ffff]}AUDIO PROGRAMMING{c[000000]}
Staff42	Kei Yokohama
Staff43	{c[a0ffff]}GAME TOOL DEVELOPMENT{c[000000]}
Staff44	Hiroki Sakurai
Staff45	{c[a0ffff]}SYSTEM TOOL DEVELOPMENT{c[000000]}
Staff46	Toshinori Shimono
Staff47	{c[a0ffff]}ART DIRECTOR{c[000000]}
Staff48	Kazuhiko Takahashi
Staff49	{c[a0ffff]}ART LEAD{c[000000]}
Staff50	Masaki Yasuda
Staff51	{c[a0ffff]}ART{c[000000]}
Staff52	Yumi Kikuoka\nChinatsu Kazuno\nMami Ikeda
Staff53	{c[a0ffff]}CHARACTER MODELING LEAD{c[000000]}
Staff54	Eiichi Amano
Staff55	{c[a0ffff]}CHARACTER MODELING{c[000000]}
Staff56	Sakurako Matsui\nTatsuya Awata\nKatsuo Sano\nToshio Yanagi\nYohei Fujimoto\nOtokazu Eda
Staff57	{c[a0ffff]}ANIMATION LEAD{c[000000]}
Staff58	Hiroyuki Sano
Staff59	{c[a0ffff]}ANIMATION{c[000000]}
Staff60	Yuta Okada\nIzumi Furuya\nYukiko Nakayama\nMasahiro Onoguchi\nIcchiku Miyamoto\nZheng Qifeng
Staff61	{c[a0ffff]}MAP MODELING LEAD{c[000000]}
Staff62	Satoshi Terada
Staff63	{c[a0ffff]}MAP MODELING{c[000000]}
Staff64	Riho Suzuki\nTomoka Tsuboi\nNozomi Murata\nRyota Ishizuka\nKatsuya Hiraoka\nYu Yamaguchi\nKaoru Akimoto\nMarina Takai
Staff65	{c[a0ffff]}VFX LEAD{c[000000]}
Staff66	Yutaka Kunimoto
Staff67	{c[a0ffff]}VFX{c[000000]}
Staff68	Ryo Saito\nAzumi Hattori
Staff69	{c[a0ffff]}UI LEAD{c[000000]}
Staff70	Yoshimitsu Sato
Staff71	{c[a0ffff]}UI{c[000000]}
Staff72	Yoshiki Yamada
Staff73	{c[a0ffff]}SOUND DESIGN LEAD{c[000000]}
Staff74	Yoshitaka Fujita
Staff75	{c[a0ffff]}SOUND EDITORS{c[000000]}
Staff76	Eiji Nakamura\nChiharu Minekawa\nKenichi Saito
Staff77	{c[a0ffff]}PROJECT MANAGEMENT (GREZZO)\n{c[000000]}
Staff78	Hideaki Matsuoka\nTakami Kuramochi\nAyako Shinkai
Staff79	{c[a0ffff]}SYSTEM ADMINISTRATION (GREZZO){c[000000]}
Staff80	Atsushi Ebisawa\nKazuki Kashiwakura
Staff81	{c[a0ffff]}BUSINESS ADMINISTRATION (GREZZO){c[000000]}
Staff82	Kazuhiro Tsurumi\nAzumi Nozaki\nReika Shima
Staff83	{c[a0ffff]}GENERAL MANAGEMENT (GREZZO){c[000000]}
Staff84	Koichi Ishii
Staff85	{c[a0ffff]}OP/ED ANIMATION{c[000000]}
Staff86	Tomoya Iwasawa\nOsamu Sasaki\nHideki Kanou\nTomonori Okada\nMaino Hikosaka\nJunichi Yamamoto\nOswaldo KATO
Staff87	{c[a0ffff]}GRAPHIC REFINING DIRECTORS{c[000000]}
Staff88	Yoshiki Haruhana\nKeijiro Inoue
Staff89	{c[a0ffff]}TECHNICAL SUPERVISOR{c[000000]}
Staff90	Takuhiro Dohta
Staff91	{c[a0ffff]}SOUND SUPERVISORS{c[000000]}
Staff92	Hajime Wakai\nTakahiro Watanabe
Staff93	{c[a0ffff]}ORIGINAL SUPERVISOR{c[000000]}
Staff94	Yoichi Yamada
Staff95	{c[a0ffff]}MUSIC & ARRANGEMENT{c[000000]}
Staff96	Ryo Nagamatsu
Staff97	{c[a0ffff]}VOICES{c[000000]}
Staff98	Mitsuki Saiga\nYuko Natsuyoshi\nKazuya Ichijo\nKousuke Takaguchi\nKyoko Yamaguchi\nMari Kiyohara\nMisaki Ikeda\nSeiro Ogino\nSerika Hiromatsu\nSyuuhei Takubo\nTaichi Takeda\nTakahiro Sumi\nTakuma Sasaki\nYo Kitazawa
Staff99	{c[a0ffff]}ILLUSTRATION{c[000000]}
Staff100	Yusuke Nakano\nItteki Nakama\nChiharu Sakiyama
Staff101	{c[a0ffff]}LOGO DESIGN{c[000000]}
Staff102	Keisuke Okubo\nTaku Ito\nYukihiko Hayashi\nPeng Yi\nSuzy Do
Staff103	{c[a0ffff]}NOA LOCALIZATION MANAGEMENT{c[000000]}
Staff104	Nate Bihldorff\nReiko Ninomiya\nRich Amtower\nTim O'Leary\nScot Ritchey\nMorgan Ritchie\nDan Owsen
Staff105	{c[a0ffff]}NOA LOCALIZATION{c[000000]}
Staff106	Sam AbouHarb\nBilly Carroll\nMarjolaine Drouin\nRaymond Elliget\nDutch Hixenbaugh\nRyan Kelley\nNich Maragos\nGalia Rodríguez Hornedo\nYanett Valor
Staff107	{c[a0ffff]}NOE LOCALISATION PRODUCERS{c[000000]}
Staff108	Chihiro Ogawa\nHanako Furuya
Staff109	{c[a0ffff]}NOE TRANSLATION{c[000000]}
Staff110	Araceli Mazon Figueroa\nGrzegorz Tadeusz Sadownik\nGrace Evelyn Yon\nDavid Causseque\nNatacha Faubert\nBruno Gramigna\nVincenzo Russo\nSven Pötzl\nHannah Siebert \nAlicia Vega Lamela\nAlfonso Diaz Jimenez\nThomas den Haan \nLennart Rotteveel \nAnton Ivancikovs \nDmitrii Kaloev
Staff111	{c[a0ffff]}NHL LOCALIZATION COORDINATION{c[000000]}
Staff112	Claudia Chang
Staff113	{c[a0ffff]}NHL TRANSLATION{c[000000]}
Staff114	Wang Zhong Long\nNatalie Yu
Staff115	{c[a0ffff]}iQue LOCALIZATION COORDINATION{c[000000]}
Staff116	Keisuke Fukushima
Staff117	{c[a0ffff]}iQue TRANSLATION{c[000000]}
Staff118	Yuan Jun
Staff119	{c[a0ffff]}NOK LOCALIZATION COORDINATION{c[000000]}
Staff120	Soonil Kim
Staff121	{c[a0ffff]}NOK TRANSLATION{c[000000]}
Staff122	Ryunjin Shin
Staff123	{c[a0ffff]}TESTING{c[000000]}
Staff124	Yasunori Shibayama\nRina Watanabe\nAndy Kolden\nSebastian Donnerstag\nZhang Jiong\nKiung Seoung
Staff125	{c[a0ffff]}PROJECT COORDINATION{c[000000]}
Staff126	Tomomi Sano\nMitsuo Iwamoto
Staff127	{c[a0ffff]}PRODUCTION MANAGEMENT{c[000000]}
Staff128	Daiki Iwamoto\nMakoto Miyanaga
Staff129	{c[a0ffff]}SPECIAL THANKS{c[000000]}
Staff130	Miyuya Tatsuno\nNaoki Kawamoto\nAkinori Ohashi\nDaichi Nakashima\nTsuyoshi Masada\nMahito Yokota
Staff131	Shigeru Miyamoto\nYoshiaki Koizumi\nTakashi Tezuka\nKensuke Tanabe\nKazuaki Morita\nJeff Miller
Staff132	GREZZO Co.,Ltd.\nDISION\nQUAD ARROW Co.,Ltd.\nCyclone-Entertainment\nSound Racer Ltd.\nDigital Works Entertainment\nKenproduction Co., Ltd.\nIMAGICA Lab.Inc.\nFace Music\nMario Club Co., Ltd.\nNOA Product Testing\nNOE Quality Assurance team\nDIGITAL HEARTS Co.,Ltd.
Staff133	Based on the Work of the Original Development Staff
Staff134	{c[a0ffff]}PRODUCER{c[000000]}
Staff135	Eiji Aonuma
Staff136	{c[a0ffff]}GENERAL PRODUCER{c[000000]}
Staff137	Shinya Takahashi
Staff138	{c[a0ffff]}EXECUTIVE PRODUCER{c[000000]}
Staff139	Shuntaro Furukawa
Staff140	Nintendo and GREZZO are the authors of this \nsoftware for the purpose of copyright. All rights reserved.\n\nNintendo et  GREZZO sont les auteurs de ce \nlogiciel au regard du droit d'auteur. Tous droits réservés.
Staff141	©1993-2019 Nintendo Codeveloped by GREZZO
Staff142	THE END
SubEvent.msbt
MarinSing1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001あっ！ \x0e\x01\x03\0。\nタリンは {r2[もり]}森{/r2}へ キノコとりに {r2[で]}出{/r2}かけちゃったの\x0e\x01\x04\0\nわたしは {r2[うた]}歌{/r2}うのが {r2[だいす]}大好{/r2}き！\n{r2[き]}聞{/r2}いて！ {c[d9456d]}かぜのさかなの{r2[うた]}歌{/r2}{c[ededed]}よ\x0e\x01\x04\0
FairySpring	\x0e\x01\x0b\x17\x15\0SE_NPC_GREATFAIRY_001{r2[きず]}傷{/r2}と つかれを いやしましょう。\n{r2[すこ]}少{/r2}しの{r2[あいだ]}間{/r2} {r2[め]}目{/r2}を{r2[と]}閉{/r2}じて……\x0e\x01\x04\0
FairySpring2	\x0e\x01\x0b\x17\x15\0SE_NPC_GREATFAIRY_003まだまだ{r2[げんき]}元気{/r2}そうですね。\nつかれた{r2[とき]}時{/r2}におたずねください\x0e\x01\x04\0
MarinSing2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003\x0e\x01\x03\0\nタリンは おうちで おひるねしてるの\x0e\x01\x04\0\nわたしは {r2[うた]}歌{/r2}を {r2[うた]}歌{/r2}うわ！\nそう {c[d9456d]}かぜのさかなの{r2[うた]}歌{/r2}{c[ededed]}よ\x0e\x01\x04\0
BlueSkalGuard1	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_001ようこそ！\n{r2[ふく]}服{/r2}のダンジョンへ！\x0e\x01\x04\0
RedSkalGuard2	\x0e\x01\x0b\x17\x15\0SE_NPC_MONBAN_RED_001{r2[おく]}奥{/r2}に{r2[すす]}進{/r2}むには\n{r2[まほう]}魔法{/r2}の{r2[こな]}粉{/r2}が {r2[ひつよう]}必要{/r2}だよ！\x0e\x01\x04\0
BlueSkalGuard3	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_004ボクに {r2[こえ]}声{/r2}をかけてくれたら\n{r2[う]}売{/r2}ってあげる！\x0e\x01\x04\0
RedSkalGuard4	\x0e\x01\x0b\x17\x15\0SE_NPC_MONBAN_RED_004あ {r2[こな]}粉{/r2} {r2[も]}持{/r2}ってる？ {r2[も]}持{/r2}ってないと{r2[こま]}困{/r2}るよ。\nあげてもいいけど ただじゃないよ\x0e\x01\x04\0
SellBlueGuard	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_001{r2[まほう]}魔法{/r2}の{r2[こな]}粉{/r2}　２０{r2[かいぶん]}回分{/r2} {c[d9456d]}１００ルピー{c[ededed]}\nお{r2[もと]}求{/r2}めになりますか？\x0e\x01\x07\0\x0e\0\x04\0なります！\x0e\0\x04\0\x0e\x01\t\0なりません
CheckBlueGuard	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_003お{r2[か]}買{/r2}い{r2[あ]}上{/r2}げ ありがとうございます！\x0e\x01\x04\0
BadBlueGuard	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_002それだけ {r2[こな]}粉{/r2}があるなら\n{r2[う]}売{/r2}らなくてもいいね！\x0e\x01\x04\0
NoBlueGuard	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_002お{r2[もと]}求{/r2}めの{r2[とき]}時{/r2}は またお{r2[こえ]}声{/r2}かけを\x0e\x01\x04\0
MoneyBlueGuard	\x0e\x01\x0b\x18\x16\0SE_NPC_MONBAN_BLUE_002むむむ…\nお{r2[かね]}金{/r2}がたりないね\x0e\x01\x04\0
BattleBossBlob	ボヨヨン！ オレたちが\nザコじゃないことを {r2[おも]}思{/r2}い{r2[し]}知{/r2}らせてやる！\x0e\x01\x04\0\nオマエの ニガテな アイツに{r2[へんしん]}変身{/r2}だ！\n{r2[けん]}剣{/r2}など {r2[き]}効{/r2}かぬゾ！\x0e\x01\x04\0
AttackBossBlob	バカめ {c[d9456d]}{r2[けん]}剣{/r2}など {r2[き]}効{/r2}かんわ！\n{c[ededed]}{r2[こな]}粉{/r2}でも テッポウでも {r2[も]}持{/r2}って{r2[こ]}来{/r2}い！\x0e\x01\x04\0
BattleStoneHinox	この よくばり{r2[もの]}者{/r2}め……\nさらに {r2[ちから]}力{/r2}を {r2[もと]}求{/r2}めるとは！\x0e\x01\x04\0\nオマエのような オロカモノは\nこの{r2[はか]}墓{/r2}の{r2[そこ]}底{/r2}で くち{r2[は]}果{/r2}てるがよい！\x0e\x01\x04\0
BattleEvilOrb	アンゼン アンゼン！\x0e\x01\x06\0
RevivalEvilOrb	フッカツ！ ……フリダシ！\x0e\x01\x04\0
PinchEvilOrb	ジカンカセギ……ジカンカセギ！\x0e\x01\x04\0
QuestGrandFairy1	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_001{r2[めざ]}目覚{/r2}めの{r2[ししゃ]}使者{/r2} \x0e\x01\x03\0 よ！\nよく ここまで たどり{r2[つ]}着{/r2}きました\x0e\x01\x04\0\nアナタを {r2[しかく]}資格{/r2}ある{r2[もの]}者{/r2}と {r2[みと]}認{/r2}め\n{r2[いろ]}色{/r2}の{r2[ちから]}力{/r2}を {r2[あた]}与{/r2}えましょう！\x0e\x01\x04\0
QuestGrandFairy7	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_001{r2[めざ]}目覚{/r2}めの{r2[ししゃ]}使者{/r2} \x0e\x01\x03\0 よ！\nアナタに{r2[いろ]}色{/r2}の{r2[ちから]}力{/r2}を {r2[あた]}与{/r2}えましょう！\x0e\x01\x04\0
QuestGrandFairy1_2	アナタが {r2[こうげき]}攻撃{/r2}の{r2[ちから]}力{/r2}を\n{r2[もと]}求{/r2}めるのならば {c[df1000]}{r2[あか]}赤{/r2}{c[ededed]}を！\x0e\x01\x04\0\n{r2[ぼうぎょ]}防御{/r2}の{r2[ちから]}力{/r2}を {r2[もと]}求{/r2}めるのならば\n{c[0095ef]}{r2[あお]}青{/r2}{c[ededed]}を {r2[えら]}選{/r2}びなさい！\x0e\x01\x04\0\nさあ どちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]}\x0e\0\x04\0{c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
QuestGrandFairy1_3	アナタが {r2[こうげき]}攻撃{/r2}の{r2[ちから]}力{/r2}を\n{r2[もと]}求{/r2}めるのならば {c[df1000]}{r2[あか]}赤{/r2}{c[ededed]}を！\x0e\x01\x04\0\n{r2[こうげき]}攻撃{/r2}の{r2[ちから]}力{/r2}も {r2[ぼうぎょ]}防御{/r2}の{r2[ちから]}力{/r2}も {r2[のぞ]}望{/r2}まないのなら\n{c[63e343]}{r2[みどり]}緑{/r2}{c[ededed]}を {r2[えら]}選{/r2}びなさい！\x0e\x01\x04\0\nさあ どちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]}\x0e\0\x04\0{c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
QuestGrandFairy1_4	アナタが {r2[ぼうぎょ]}防御{/r2}の{r2[ちから]}力{/r2}を\n{r2[もと]}求{/r2}めるのならば {c[0095ef]}{r2[あお]}青{/r2}{c[ededed]}を！\x0e\x01\x04\0\n{r2[こうげき]}攻撃{/r2}の{r2[ちから]}力{/r2}も {r2[ぼうぎょ]}防御{/r2}の{r2[ちから]}力{/r2}も {r2[のぞ]}望{/r2}まないのなら\n{c[63e343]}{r2[みどり]}緑{/r2}{c[ededed]}を {r2[えら]}選{/r2}びなさい！\x0e\x01\x04\0\nさあ どちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]}\x0e\0\x04\0{c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
QuestRedCloth	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_003{c[df1000]}{r2[あか]}赤{/r2}い{r2[ふく]}服{/r2}{c[ededed]}で よいのですね？\x0e\x01\x07\0\x0e\0\x04\0はい\x0e\0\x04\0\x0e\x01\t\0いいえ
QuestBlueCloth	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_003{c[0095ef]}{r2[あお]}青{/r2}い{r2[ふく]}服{/r2}{c[ededed]}で よいのですね？\x0e\x01\x07\0\x0e\0\x04\0はい\x0e\0\x04\0\x0e\x01\t\0いいえ
QuestGreenCloth	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_003{c[63e343]}{r2[みどり]}緑{/r2}の{r2[ふく]}服{/r2}{c[ededed]}で よいのですね？\x0e\x01\x07\0\x0e\0\x04\0はい\x0e\0\x04\0\x0e\x01\t\0いいえ
QuestGrandFairy2	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_002{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]} {c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]}\nどちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]}\x0e\0\x04\0{c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
QuestGrandFairy4	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_002{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]} {c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\nどちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[df1000]}{r2[こうげき]}攻撃{/r2}の{r2[あか]}赤{/r2}{c[ededed]}\x0e\0\x04\0{c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
QuestGrandFairy5	\x0e\x01\x0b\x17\x15\0SE_NPC_FAIRYQUEEN_002{c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]} {c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\nどちらを {r2[えら]}選{/r2}ぶのですか？\x0e\x01\x07\0\x0e\0\x04\0{c[0095ef]}{r2[ぼうぎょ]}防御{/r2}の{r2[あお]}青{/r2}{c[ededed]}\x0e\0\x04\0{c[63e343]}いつもの{r2[みどり]}緑{/r2}{c[ededed]}\x0e\0\x04\0\x0e\x01\t\0やっぱりやめる
