Glossary.msbt
glossary_Place01	長尾大空洞
WitchUsePowder	\x0e\x01\x0b\x12\x10\0SE_NPC_MAGIC_004沒錯，就是這樣。\n或許有些敵人會受魔法粉影響而產生變化。\x0e\x01\x04\0\n要是用完，就到森林把蘑菇帶過來吧。\n我再給你製作新的……\x0e\x01\x04\0\n如果沒有蘑菇，我也是可以把一些剩餘的分給你，\n但下次就得向你收錢了……\x0e\x01\x04\0
TarinAfterRaccoon	\x0e\x01\x0b\x12\x10\0SE_NPC_TARIN_002呼～咬了一口蘑菇後，\n俺就做了個自己變成了狸貓的夢。\x0e\x01\x04\0\n雖然不記得在夢裡做了些什麼，\n但總覺得過得很快樂的唷！\x0e\x01\x04\0
Lv1Owl3_1	嗚！\x0e\x01\x04\0\x0e\0\x04\0拿著那支鑰匙，到村子南面的\n{c[0095ef]}長尾大空洞{c[ededed]}去吧。\x0e\x01\x04\0\n試著找出沉睡於\n洞穴深處的樂器！\x0e\x01\x04\0\n{c[d9456d]}風魚{c[ededed]}在等著你呢。\n嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv1BossMoldorm	嘎呼呼！！嘎呼呼！！\n外來者！礙事者！\x0e\x01\x06\0
Lv1GetViolin	是{c[d9456d]}滿月小提琴{c[ededed]}！\x0e\x01\x06\0
Lv1Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……沼澤……於花朵遍開的沼澤處……\n延續著新的道路……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv1Clear_Memory	……沼澤……於花朵遍開的沼澤處……\n延續著新的道路……\x0e\x01\x04\0
Lv2Owl1_1	嗚嗚！嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0那正是{c[d9456d]}瑟蓮的樂器{c[ededed]}！\x0e\x01\x04\0\x0e\0\x04\0孩子你果然是真正的使者！\n請原諒吾多次的失敬……\x0e\x01\x04\0\n那樂器擁有喚醒\n{c[d9456d]}風魚{c[ededed]}的力量。\x0e\x01\x04\0\n樂器總共有８件，\n得把這８件樂器全部集齊。\x0e\x01\x04\0\n吾是被派來負責引導孩子你\n走上正確道路的信使。\x0e\x01\x04\0\n請前往位在北方的{c[0095ef]}果彭加沼澤{c[ededed]}。\n嗚嗚！\x0e\x01\x04\0
Lv2ChildHappening1	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001啊！大哥哥！糟糕了！\n糟糕了！你聽我說！聽我說！\x0e\x01\x04\0
Lv2ChildHappening2	\x0e\x01\x0f\0對啊！真的糟透了！\n剛剛{c[d9456d]}莫力布林{c[ededed]}到村子裡……\x0e\x01\x04\0
Lv2ChildHappening3	\x0e\x01\x0f\0你聽我說！剛剛有很多\n{c[d9456d]}莫力布林{c[ededed]}衝過來！然後啊……\x0e\x01\x04\0
Lv2ChildHappening4	\x0e\x01\x0f\0對啊！他們立即衝到\n那個房子去……然後啊！聽我說！\x0e\x01\x04\0
Lv2ChildHappening5	\x0e\x01\x0f\0那房子是{c[0095ef]}養了汪汪的那戶人{c[ededed]}的家……\n好像是……不！對啊，就是那一家！\x0e\x01\x04\0
Lv2ChildHappening6	\x0e\x01\x0f\0{c[d9456d]}莫力布林{c[ededed]}那群傢伙！居然啊！\n就是……！你聽我說……！\x0e\x01\x04\0
Lv2ChildHappening7	似乎自己去確認\n會比較快。\x0e\x01\x04\0
Lv2ChildHappening8	\x0e\x01\x0f\0\x0e\x01\x0b\x19\x17\0SE_NPC_QUADCHIRDREN_001啊！大哥哥！糟糕了！\n糟糕了！你聽我說！聽我說！\x0e\x01\x04\0
Lv2ChildHappening9	\x0e\x01\x0f\0{c[d9456d]}莫力布林{c[ededed]}那群傢伙！居然啊！\n就是……！你聽我說……！\x0e\x01\x04\0
Lv2MadamHappening	\x0e\x01\x0f\0\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_004糟糕了！不得～了！\n我家{c[d9456d]}汪汪{c[ededed]}被莫、莫、\x0e\x01\x04\0\n{c[d9456d]}莫力布林{c[ededed]}給擄走了！\n啊啊！誰來救救{c[d9456d]}汪汪{c[ededed]}啊～！\x0e\x01\x04\0
Lv2FirstMoblinCave	唔！誰啊！？是個可疑的小鬼！\n大家都出來吧！快來～！\x0e\x01\x04\0
Lv2MiniBossKingMoblin	可惡！你是來搶回{c[d9456d]}汪汪{c[ededed]}的嗎？\n那麼，你就是汪汪的主人——\x0e\x01\x04\0\n喵喵夫人派來的刺客吧！\n看我反過來打敗你！\x0e\x01\x04\0
Lv2GetBowwow	成功把{c[d9456d]}汪汪{c[ededed]}救出來了！\n靠近一看，果然還是很可怕。\x0e\x01\x04\0
Lv2Owl2_1	嗚嗚！嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0你牽著一隻生人勿近的傢伙呢。\x0e\x01\x04\0\x0e\0\x04\0下一件瑟蓮的樂器在\n{c[0095ef]}果彭加沼澤{c[ededed]}裡。\x0e\x01\x04\0\n千萬別忘記喔。\n嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv2BossGenie	呼嘿嘿！你這次的對手\n是我！呼嘿嘿！\x0e\x01\x06\0
Lv2BossHint1	……唔！我不能動了！\n但沒有問題。\x0e\x01\x04\0\n就憑你手上的{c[d9456d]}鈍劍，\n是無法打破這個壺{c[ededed]}的！\x0e\x01\x04\0\n這裡的牆壁，\n要比你的劍來得堅硬。\x0e\x01\x04\0
Lv2BossHint2	呼嘿嘿嘿！{c[d9456d]}只要這個壺還在，\n我就是不死之身{c[ededed]}唷！\x0e\x01\x04\0
Lv2BossBreakPot	你竟敢做出這種事！\n我絕對不會放過你！\x0e\x01\x04\0
Lv2GetHorn	找到{c[d9456d]}海螺號角{c[ededed]}了！\x0e\x01\x06\0
Lv2Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……草原……草原\n草原正在等待你……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv2Clear_Memory	……草原……草原\n草原正在等待你……\x0e\x01\x04\0
Lv3ReturnBowwow1	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_005呵～呵呵呵。\n非常感謝你把汪汪救回來。\x0e\x01\x04\0\n你真是個善良的孩子呢。\n這是回禮。\x0e\x01\x04\0
Lv3ReturnBowwow2	\x0e\x01\x0b\x12\x10\0SE_NPC_MADAM_006啾啵！！\x0e\x01\x04\0
Lv3ReturnBowwow3	……得到了\n喵喵夫人的回禮……\x0e\x01\x04\0
Lv3ReturnBowwow4	……………………\x0e\x01\x04\0
Lv3ReturnBowwow5	……真、真走運啊！\x0e\x01\x04\0
Lv3QuestRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001喲！別看我現在這樣，\n我啊～也曾經在城堡裡居住過的喔。\x0e\x01\x04\0\n但我的隨從被怪物附身，\n我啊～就從那裡逃出來了……\x0e\x01\x04\0\n你能答應我的請求嗎？\n會給你好東西報答你的啦。\x0e\x01\x04\0\n我啊～想你幫我從怪物手上，\n取回我在逃離城堡時留下的{c[d9456d]}黃金葉子{c[ededed]}！\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0我明白了\x0e\0\x04\0\x0e\x01\t\0才不管你呢
Lv3QuestRichardForMemory	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_001喲！別看我現在這樣，\n我啊～也曾經在城堡裡居住過的喔。\x0e\x01\x04\0\n但我的隨從被怪物附身，\n我啊～就從那裡逃出來了……\x0e\x01\x04\0\n你能答應我的請求嗎？\n會給你好東西報答你的啦。\x0e\x01\x04\0\n我啊～希望你幫我從怪物手上，\n取回在逃離城堡時留下的{c[d9456d]}黃金葉子{c[ededed]}！\x0e\x01\x04\0
Lv3YesRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_002噢！我啊～真的非常感激你！\n其實那個{c[d9456d]}葉子{c[ededed]}總共有{c[d9456d]}５片{c[ededed]}呢。\x0e\x01\x04\0\n啊，回來之前記得買個{c[d9456d]}鐵鏟{c[ededed]}喔～！\n拜託你了～！\x0e\x01\x04\0
Lv3NoRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_004我啊～再也不想看見\n像你這種膽小鬼！去去！走開！\x0e\x01\x04\0
Lv3CompGoldLeaf	終、終、終於……\n得到了最後１片葉子～～！\x0e\x01\x04\0\n總之，先拿著葉子回去找{c[d9456d]}理查德{c[ededed]}，\n問問他有關鑰匙的事吧。\x0e\x01\x04\0
Lv3CompGoldLeaf_NoQuest	這是第５片{c[d9456d]}黃金葉子{c[ededed]}！\n……這大概是最後一片了吧。\x0e\x01\x04\0
Lv3ClearRichard	\x0e\x01\x0b\x14\x12\0SE_NPC_RICHARD_003嗯～！好棒棒！\n葉子都集齊了！\x0e\x01\x04\0\n好！為了表達我的謝意，\n你來推一下這座青蛙石像吧！\x0e\x01\x04\0
Lv3BossSlimeEye	彈呀彈～！彈呀彈～！\n你猜我躲哪兒去了～！\x0e\x01\x04\0\n……可別撞牆壁！\x0e\x01\x04\0
Lv3GetBell	得到了{c[d9456d]}海百合鈴鐺{c[ededed]}！\x0e\x01\x06\0
Lv3Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……瀑布……被藏在……\n瀑布之中……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv3Clear_Memory	……瀑布……被藏在……\n瀑布之中……\x0e\x01\x04\0
Lv4Owl1_1	嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0已經收集了多少件\n{c[d9456d]}瑟蓮的樂器{c[ededed]}呢？\x0e\x01\x04\0\n當８件樂器八音齊奏，\n{c[d9456d]}風魚{c[ededed]}便會甦醒過來。\x0e\x01\x04\0\n屆時正是孩子你\n離開這座島嶼之時吧。\x0e\x01\x04\0\n前往{c[0095ef]}亞那沙漠{c[ededed]}吧。\x0e\x01\x04\0\x0e\0\x04\0棲息於該處的黑色怪物\n將會為你的前路提供線索。\x0e\x01\x04\0\x0e\0\x04\0嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv4QuestMarinBeach1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001哎呀，\x0e\x01\x03\0。\n原來你也知道這個地方啊。\x0e\x01\x04\0
Lv4QuestMarinBeach2	跟我聊一下好嗎？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0好啊\x0e\0\x04\0不要
Lv4NoMarinBeach	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009這樣啊……那我就在這裡\n多待一會，看看海……\x0e\x01\x04\0
Lv4MarinBeach1	這個椰子\n到底是從哪裡來的呢……\x0e\x01\x04\0
Lv4MarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003雖然塔林說過，\n海的另一端什麼都沒有……\x0e\x01\x04\0
Lv4MarinBeachPalm	但我相信，\n那裡一定是有些什麼的！\x0e\x01\x04\0
Lv4MarinBeach3	………………\x0e\x01\x04\0
Lv4MarinBeach4	當我找到\x0e\x01\x03\0的時候，\n我的心跳得很快。\x0e\x01\x04\0\n那時我在想，這個人一定是為了告知我們\n某些事情，而從海的另一端過來的。\x0e\x01\x04\0
Lv4MarinBeach5	………………\x0e\x01\x04\0
Lv4MarinBeach6	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_009如果我是海鷗……\n我一定有多遠就飛多遠……\x0e\x01\x04\0\n飛到許多不同的地方，\n和許多不同的人們合唱。\x0e\x01\x04\0
Lv4MarinBeach7	要是我向{c[d9456d]}「風魚」{c[ededed]}許願，\n我的願望是否會成真呢……\x0e\x01\x04\0
Lv4MarinBeach8	哎，\x0e\x01\x03\0。你有在聽嗎？ \x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0完全沒在聽
Lv4YesMarinBeach1	要是有機會，\n真想去\x0e\x01\x03\0的故鄉看看呢……\x0e\x01\x04\0
Lv4YesMarinBeach2	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_008我只是說說而已！呵呵……\x0e\x01\x04\0
Lv4NoMarinBeach4	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004真是的！總是心不在焉……\n下次你要好好聽我說話喔！\x0e\x01\x04\0
Lv4MarinBeach11	\x0e\x01\x0b\x14\x12\0SE_NPC_MARIN_006_3欸？{c[d9456d]}海象{c[ededed]}先生？？\n……可以喔！我跟你一起去吧！\x0e\x01\x04\0
Lv4GetMarin	太棒了！得到了{c[d9456d]}瑪林{c[ededed]}相助！\n機、機會來了！？\x0e\x01\x04\0
Lv4WalrusNoMarin	……啊嗚……啊嗚……\n……\x0e\x01\0\x01\x0e……\x0e\x01\0\x01\x0e……\x0e\x01\x04\0
Lv4WalrusWithMarin	啊嗚！啊嗚！\n\x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e ！ \x0e\x01\0\x01\x0e \x0e\x01\0\x01\x0e ！\x0e\x01\x04\0\n……\x0e\x01\0\x01\x0d ？？\x0e\x01\x04\0
Lv4QuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_001哎呀？真是隻懶洋洋的海象先生呢。\n要嚇他一下嗎？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0別這樣做
Lv4NoQuestWalrus	也是呢。這樣做他會很可憐的。\n我們就別去吵醒他吧！\x0e\x01\x04\0
Lv4YesQuestWalrus	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_007啊哈哈哈！剛醒來就很精神呢！\x0e\x01\x04\0
Lv4ClearQuestWalrus1	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_005咦？他在叫我……\n一定是想我做平時的那件事吧……呵呵呵。\x0e\x01\x04\0
Lv4ClearQuestWalrus2	我去{c[0095ef]}動物村{c[ededed]}看一下。\n\x0e\x01\x03\0也一定要來看看喔！\x0e\x01\x04\0
Lv4MiniBossLanmola	嗚喀喀！嗚喀喀！\n礙事！礙眼！\x0e\x01\x04\0
Lv4Owl2_1	嗚嗚！嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0那支鑰匙象徵著\n於瀑布中逆流而上的魚。\x0e\x01\x04\0\n嗚！\n向{c[0095ef]}山中瀑布{c[ededed]}前進吧！\x0e\x01\x04\0\n登上水流的最高處後，\n只要向下一躍……\x0e\x01\x04\0\n嗚嗚！嗚嗚！\x0e\x01\x04\0
StudyMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_003咦？你找來了個很棒的{c[d9456d]}笛子{c[ededed]}呢！\n試著配合我的歌聲，吹奏看看。\x0e\x01\x04\0
QuestMarinSong	怎麼樣？這首歌很動人心弦對吧？\n有好好記住嗎？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0嗯\x0e\0\x04\0\x0e\x01\t\0完全沒有
NoMarinSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MARIN_004欸～！你要好好記住喔！\n這可是我喜歡的歌呢。\x0e\x01\x04\0
GetMarinSong	學會了\n{c[d9456d]}風魚之歌{c[ededed]}！\x0e\x01\x04\0\n瑪林的歌聲\n仍不絕於耳。\x0e\x01\x04\0
YesMarinSong	為免忘記這首歌，\n你偶爾要唱一下喔！\x0e\x01\x04\0
Lv4BossAngler	嘎啵啵～！噶吧啤吧噶啵！\n食物！來了！食物！來了！\x0e\x01\x06\0
Lv4GetHarp	找到{c[d9456d]}浪濤豎琴{c[ededed]}了！\x0e\x01\x06\0
Lv4Clear	\x0e\x01\x0d\x04Ð\x07\0\0\x0e\x01\x10\0{c[a0ffff]}……海灣……海灣之中……\n也延續著你該走的路……{c[ededed]}\x0f\x01\0\x10\0\x0e\x01\x05\x04p\x17\0\0\x0e\x01\x0e\x04Ð\x07\0\0
Lv4Clear_Memory	……海灣……海灣之中……\n也延續著你該走的路……\x0e\x01\x04\0
QuestManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001我叫{c[d9456d]}曼波為五郎{c[ededed]}，\n是條小曼波魚！\x0e\x01\x04\0\n你有帶著{c[d9456d]}笛子{c[ededed]}嗎？\x0e\x01\x07\0\x0e\0\x04\0\x0e\x01\x08\0有喔\x0e\0\x04\0\x0e\x01\t\0沒有
NoManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001這樣啊……\n咕嚕咕嚕咕嚕……\x0e\x01\x04\0
YesManboSong	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_003那麼，我來教你１首歌吧！\x0e\x01\x04\0
GetManboSong	學會了{c[d9456d]}曼波魚之曼波曲{c[ededed]}。\n離開水底後，試著吹奏一下吧！\x0e\x01\x04\0
NoneOcarinaManbo	\x0e\x01\x0b\x12\x10\0SE_NPC_MANBO_001啊，原來你沒有{c[d9456d]}樂器{c[ededed]}……這樣啊……\n咕嚕咕嚕咕嚕……\x0e\x01\x04\0
Lv5GhostGoHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……帶我……回家……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostGoHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……海灣的……家……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostNoDungeon	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002……不要！……我討厭……那裡……\x0e\x01\x04\0
Lv5GhostNearHouse	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……是這裡了！……進去吧……\n……這是我的家……\x0e\x01\x04\0
Lv5GhostHouse1	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_003……好懷念……\n……一切都沒有變……\x0e\x01\x04\0
Lv5GhostHouse2	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_002……嗚嗚嗚嗚……\x0e\x01\x04\0
Lv5GhostHouse3	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……可以了……已經夠了……\n……我要回去……墓地……\x0e\x01\x04\0\n……帶我回去……墓地……\x0e\x01\x04\0
Lv5GhostGoGrave	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_001……帶我去……墓地……\x0e\x01\x05\x04Ð\x07\0\0\x0e\0\x04\0……滿布花朵的……我的墓地……\x0e\x01\x05\x04Ð\x07\0\0
Lv5GhostByebye	\x0e\x01\x0b\x12\x10\0SE_NPC_GHOST_004……謝謝你……\x0e\x01\x04\0\x0e\0\x04\0……我的寶物……\n……送給你……拿去用吧……\x0e\x01\x04\0\n……拜拜……\x0e\x01\x04\0
Lv5Owl1_1	嗚嗚！嗚嗚！\x0e\x01\x04\0\x0e\0\x04\0孩子，好久不見了。\x0e\x01\x04\0\x0e\0\x04\0從瑪莎海灣的水底\n進入{c[0095ef]}鯰魚大嘴{c[ededed]}吧。\x0e\x01\x04\0\n隨著孩子你越來越接近，\n{c[d9456d]}風魚{c[ededed]}也開始有甦醒的跡象。\x0e\x01\x04\0\n繼續前進吧……\n嗚嗚！嗚嗚！\x0e\x01\x04\0
Lv5MiniBoss1	可惡！打不贏你啊！\n暫時撤退！\x0e\x01\x04\0
StaffCredit.msbt
Staff1	{c[a0ffff]}DIRECTOR{c[000000]}
Staff2	Mikiharu Oiwa
Staff3	{c[a0ffff]}PLANNING DIRECTOR{c[000000]}
Staff4	Hiroyuki Kuwata
Staff5	{c[a0ffff]}PLANNING SUB DIRECTOR{c[000000]}
Staff6	Rena Takada
Staff7	{c[a0ffff]}PLAYER DESIGN{c[000000]}
Staff8	Hidetomo Saito
Staff9	{c[a0ffff]}LEVEL DESIGN{c[000000]}
Staff10	Tatsumaro Tezuka\nJunichi Shinomiya\nRio Oguma\nMai Fujimura
Staff11	{c[a0ffff]}ENEMY DESIGN{c[000000]}
Staff12	Akihiko Matsuzawa\nKenichi Okawa
Staff13	{c[a0ffff]}BOSS DESIGN{c[000000]}
Staff14	Yasunori Marubayashi\nTomohiro Iwamoto
Staff15	{c[a0ffff]}PANEL DUNGEON DESIGN{c[000000]}
Staff16	Shuntarou Tahara\nEijiro Fujii
Staff17	{c[a0ffff]}EVENT DESIGN{c[000000]}
Staff18	Momoka Iseki
Staff19	{c[a0ffff]}MINIGAME  DESIGN{c[000000]}
Staff20	Shino Nakamura
Staff21	{c[a0ffff]}UI DESIGN{c[000000]}
Staff22	Katsumi Kuga
Staff23	{c[a0ffff]}SYSTEM ARCHITECT{c[000000]}
Staff24	Yoshiki Ueda
Staff25	{c[a0ffff]}GAME SYSTEM DEVELOPMENT{c[000000]}
Staff26	Shun Moriya
Staff27	{c[a0ffff]}PLAYER PROGRAMMING{c[000000]}
Staff28	Shinji Takeda\nTatsuya Tamaru
Staff29	{c[a0ffff]}ACTOR PROGRAMMING{c[000000]}
Staff30	Junichi Hayasaka\nHitoshi Takayama\nTeppei Fujita\nDaisuke Haga\nHiroyuki Mabuchi
Staff31	{c[a0ffff]}PANEL DUNGEON PROGRAMMING{c[000000]}
Staff32	Shingo Watanabe
Staff33	{c[a0ffff]}UI PROGRAMMING{c[000000]}
Staff34	Naoki Nishikawa\nIkumi Kondo\nNobuhiro Mikami
Staff35	{c[a0ffff]}GRAPHICS PROGRAMMING{c[000000]}
Staff36	Kazumi Kobayashi\nShintaro Kashima
Staff37	{c[a0ffff]}PHYSICS PROGRAMMING{c[000000]}
Staff38	Takumi Furuya
Staff39	{c[a0ffff]}VFX PROGRAMMING{c[000000]}
Staff40	Michihiro Sakaida
Staff41	{c[a0ffff]}AUDIO PROGRAMMING{c[000000]}
Staff42	Kei Yokohama
Staff43	{c[a0ffff]}GAME TOOL DEVELOPMENT{c[000000]}
Staff44	Hiroki Sakurai
Staff45	{c[a0ffff]}SYSTEM TOOL DEVELOPMENT{c[000000]}
Staff46	Toshinori Shimono
Staff47	{c[a0ffff]}ART DIRECTOR{c[000000]}
Staff48	Kazuhiko Takahashi
Staff49	{c[a0ffff]}ART LEAD{c[000000]}
Staff50	Masaki Yasuda
Staff51	{c[a0ffff]}ART{c[000000]}
Staff52	Yumi Kikuoka\nChinatsu Kazuno\nMami Ikeda
Staff53	{c[a0ffff]}CHARACTER MODELING LEAD{c[000000]}
Staff54	Eiichi Amano
Staff55	{c[a0ffff]}CHARACTER MODELING{c[000000]}
Staff56	Sakurako Matsui\nTatsuya Awata\nKatsuo Sano\nToshio Yanagi\nYohei Fujimoto\nOtokazu Eda
Staff57	{c[a0ffff]}ANIMATION LEAD{c[000000]}
Staff58	Hiroyuki Sano
Staff59	{c[a0ffff]}ANIMATION{c[000000]}
Staff60	Yuta Okada\nIzumi Furuya\nYukiko Nakayama\nMasahiro Onoguchi\nIcchiku Miyamoto\nZheng Qifeng
Staff61	{c[a0ffff]}MAP MODELING LEAD{c[000000]}
Staff62	Satoshi Terada
Staff63	{c[a0ffff]}MAP MODELING{c[000000]}
Staff64	Riho Suzuki\nTomoka Tsuboi\nNozomi Murata\nRyota Ishizuka\nKatsuya Hiraoka\nYu Yamaguchi\nKaoru Akimoto\nMarina Takai
Staff65	{c[a0ffff]}VFX LEAD{c[000000]}
Staff66	Yutaka Kunimoto
Staff67	{c[a0ffff]}VFX{c[000000]}
Staff68	Ryo Saito\nAzumi Hattori
Staff69	{c[a0ffff]}UI LEAD{c[000000]}
Staff70	Yoshimitsu Sato
Staff71	{c[a0ffff]}UI{c[000000]}
Staff72	Yoshiki Yamada
Staff73	{c[a0ffff]}SOUND DESIGN LEAD{c[000000]}
Staff74	Yoshitaka Fujita
Staff75	{c[a0ffff]}SOUND EDITORS{c[000000]}
Staff76	Eiji Nakamura\nChiharu Minekawa\nKenichi Saito
Staff77	{c[a0ffff]}PROJECT MANAGEMENT (GREZZO)\n{c[000000]}
Staff78	Hideaki Matsuoka\nTakami Kuramochi\nAyako Shinkai
Staff79	{c[a0ffff]}SYSTEM ADMINISTRATION (GREZZO){c[000000]}
Staff80	Atsushi Ebisawa\nKazuki Kashiwakura
Staff81	{c[a0ffff]}BUSINESS ADMINISTRATION (GREZZO){c[000000]}
Staff82	Kazuhiro Tsurumi\nAzumi Nozaki\nReika Shima
Staff83	{c[a0ffff]}GENERAL MANAGEMENT (GREZZO){c[000000]}
Staff84	Koichi Ishii
Staff85	{c[a0ffff]}OP/ED ANIMATION{c[000000]}
Staff86	Tomoya Iwasawa\nOsamu Sasaki\nHideki Kanou\nTomonori Okada\nMaino Hikosaka\nJunichi Yamamoto\nOswaldo KATO
Staff87	{c[a0ffff]}GRAPHIC REFINING DIRECTORS{c[000000]}
Staff88	Yoshiki Haruhana\nKeijiro Inoue
Staff89	{c[a0ffff]}TECHNICAL SUPERVISOR{c[000000]}
Staff90	Takuhiro Dohta
Staff91	{c[a0ffff]}SOUND SUPERVISORS{c[000000]}
Staff92	Hajime Wakai\nTakahiro Watanabe
Staff93	{c[a0ffff]}ORIGINAL SUPERVISOR{c[000000]}
Staff94	Yoichi Yamada
Staff95	{c[a0ffff]}MUSIC & ARRANGEMENT{c[000000]}
Staff96	Ryo Nagamatsu
Staff97	{c[a0ffff]}VOICES{c[000000]}
Staff98	Mitsuki Saiga\nYuko Natsuyoshi\nKazuya Ichijo\nKousuke Takaguchi\nKyoko Yamaguchi\nMari Kiyohara\nMisaki Ikeda\nSeiro Ogino\nSerika Hiromatsu\nSyuuhei Takubo\nTaichi Takeda\nTakahiro Sumi\nTakuma Sasaki\nYo Kitazawa
Staff99	{c[a0ffff]}ILLUSTRATION{c[000000]}
Staff100	Yusuke Nakano\nItteki Nakama\nChiharu Sakiyama
Staff101	{c[a0ffff]}LOGO DESIGN{c[000000]}
Staff102	Keisuke Okubo\nTaku Ito\nYukihiko Hayashi\nPeng Yi\nSuzy Do
Staff103	{c[a0ffff]}NOA LOCALIZATION MANAGEMENT{c[000000]}
Staff104	Nate Bihldorff\nReiko Ninomiya\nRich Amtower\nTim O'Leary\nScot Ritchey\nMorgan Ritchie\nDan Owsen
Staff105	{c[a0ffff]}NOA LOCALIZATION{c[000000]}
Staff106	Sam AbouHarb\nBilly Carroll\nMarjolaine Drouin\nRaymond Elliget\nDutch Hixenbaugh\nRyan Kelley\nNich Maragos\nGalia Rodríguez Hornedo\nYanett Valor
Staff107	{c[a0ffff]}NOE LOCALISATION PRODUCERS{c[000000]}
Staff108	Chihiro Ogawa\nHanako Furuya
Staff109	{c[a0ffff]}NOE TRANSLATION{c[000000]}
Staff110	Araceli Mazon Figueroa\nGrzegorz Tadeusz Sadownik\nGrace Evelyn Yon\nDavid Causseque\nNatacha Faubert\nBruno Gramigna\nVincenzo Russo\nSven Pötzl\nHannah Siebert \nAlicia Vega Lamela\nAlfonso Diaz Jimenez\nThomas den Haan \nLennart Rotteveel \nAnton Ivancikovs \nDmitrii Kaloev
Staff111	{c[a0ffff]}NHL LOCALIZATION COORDINATION{c[000000]}
Staff112	Claudia Chang
Staff113	{c[a0ffff]}NHL TRANSLATION{c[000000]}
Staff114	Wang Zhong Long\nNatalie Yu
Staff115	{c[a0ffff]}iQue LOCALIZATION COORDINATION{c[000000]}
Staff116	Keisuke Fukushima
Staff117	{c[a0ffff]}iQue TRANSLATION{c[000000]}
Staff118	Yuan Jun
Staff119	{c[a0ffff]}NOK LOCALIZATION COORDINATION{c[000000]}
Staff120	Soonil Kim
Staff121	{c[a0ffff]}NOK TRANSLATION{c[000000]}
Staff122	Ryunjin Shin
Staff123	{c[a0ffff]}TESTING{c[000000]}
Staff124	Yasunori Shibayama\nRina Watanabe\nAndy Kolden\nSebastian Donnerstag\nZhang Jiong\nKiung Seoung
Staff125	{c[a0ffff]}PROJECT COORDINATION{c[000000]}
