FlowchartMsg_USen_szs\ActivityAchievements.msbt
Conjunction00	Furthermore!
Pre_ExtLap30_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0H-hey! How long have you guys been\nstanding there?!
Pre_ExtLap30_3	\x0e\n\x01\x10\x0e\0N\0o\0t\0i\0c\0e\01\0Wait, are you interested in Allegra?
Pre_ExtLap30_4	\x0e\n\n\x0e\x0c\0S\0h\0o\0u\0t\01\0N-no! What are you talking about?\nCome on, it's time to train!
Pre_ExtLap31_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0It looks like things are going better\nbetween Abdonis and his mother.
Pre_ExtLap31_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0Solar Plexia still seems to be in a\nrotten mood, though.
Pre_ExtLap31_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Well, you did steal her sphere of light\nand still haven't given it back...
Pre_ExtLap31_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Ohhhh, right. Eh, next time I see her, I'll\nbring her some spherical protein candy.
Pre_ExtLap32_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Armando was so hung up on getting a\ngirlfriend. I don't get it.
Pre_ExtLap32_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0If you're only improving your body for the\nattention of others, you'll never be happy.\nGotta learn to love yourself first.
Pre_ExtLap32_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Aren't you secretly hoping to get Allegra's\nattention?
Pre_ExtLap32_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0NOT THE POINT!
Pre_ExtLap33_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0By the way...
Pre_ExtLap33_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0How old are you now?
Pre_ExtLap33_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0You know, I've never thought about it...\nI have no idea!
Pre_ExtLap33_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Me neither!
Pre_ExtLap36_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0In fitness, everyone has a different starting\npoint.
Pre_ExtLap36_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0But as for training...
Pre_ExtLap36_3	\x0e\n\x01\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0The ones who do the work get the win!
Pre_ExtLap36_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0You don't luck your way into great results!
Pre_ExtLap38_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0In general, I don't recommend training\njust one part of the body...
Pre_ExtLap38_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0I feel like my lower back was getting a\nworkout of its own while I trained my abs.
Pre_ExtLap38_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Many people have the same experience!\nCore exercises can work all kinds of areas!
Pre_ExtLap38_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0That's why we're gonna work those abs of\nyours today!
Pre_ExtLap40_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0I've been feeling kinda weak lately.
Pre_ExtLap40_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0Specifically in my legs. Hoof... Hoo boy.
Pre_ExtLap40_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Are you having trouble pumping your legs\nup and down on all these swings?
Pre_ExtLap40_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0None of your business! But we ARE gonna\nfocus on leg training today, so get ready!
Pre_ExtLap42_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Have you ever really LOOKED at your\nupper arms?
Pre_ExtLap42_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0See how MY arms are like mountains?\nI like to imagine tiny climbers trying to\nwork their way to the summit.
Pre_ExtLap42_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Hm. Do YOU see little climbers on YOUR\narms, \x0e\x0b\0\0?
Pre_ExtLap42_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Don't fret. That's why you and me are\nfocusing on our arms today!
Pre_ExtLap43_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0You can think of your body as\nindividual parts...
Pre_ExtLap43_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0But I like to think of it as one, big,\nmusclebound machine.
Pre_ExtLap43_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Good point! We've been working your \narms, legs, and abs separately...\nIt's time to rethink that!
Pre_ExtLap43_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Totally! Today's training will use everything!\nWe're going to work that whole machine\nuntil parts are flying off the handle!
Pre_ExtLap49_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Most people think of squats as a lower-\nbody-only exercise.
Pre_ExtLap49_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0By using good form...
Pre_ExtLap49_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0It's a full-body exercise!
Pre_ExtLap49_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Always remember your form! It's important\nto get the most out of each exercise.
Pre_ExtLap50_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0So the thing with knee lifts is...
Pre_ExtLap50_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0You gotta keep your core engaged and\nuse good form.
Pre_ExtLap50_3	\x0e\n\x01\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\01\0That's right! You should also look forward,\nnot down at your legs!
Pre_ExtLap50_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Yup. But enough warming up—let's get on\nour workout for today!
Pre_ExtLap51_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0So when you engage your hips...
Pre_ExtLap51_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0You gotta go slow, with your chest\nperpendicular to the floor.
Pre_ExtLap51_3	\x0e\n\x01\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\01\0Oh, and don't lock your knees when \nyou stand up!
Pre_ExtLap51_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Hey! I was gonna say that!
Pre_ExtLap53_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0There's another big thing to keep in mind\nbesides good form.
Pre_ExtLap53_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0You know what it is, Ring?
Pre_ExtLap53_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Yup! Proper breathing!
Pre_ExtLap53_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Don't hold your breath! Always make sure\nto breathe when you're training!
Pre_ExtLap54_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0'Sup?
Pre_ExtLap54_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0I know you're training, but are you\ntaking some rest days, too?
Pre_ExtLap54_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0Of course! But not too many, 'cause we\ndon't want to lose the muscle we've\nbuilt up!
Pre_ExtLap54_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Exactly! You gotta keep a balance!
Pre_ExtLap55_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0We're always kinda teasing each other.\nYou want to try complimenting each other\nsometimes?
Pre_ExtLap55_2	{s[150]}\x0e\n\n\x0e\x0c\0S\0h\0o\0u\0t\01\0Lookin' wiry there, Ring!{s[100]}
Pre_ExtLap55_3	\x0e\n\x01\x0e\x0c\0L\0a\0u\0g\0h\01\0Your shoulders are like delicious,\njuicy melons, Dragaux!
Pre_ExtLap55_4	\x0e\n\n\x10\x0e\0D\0a\0m\0a\0g\0e\00\0Your head-fire is a lovely shade of orange,\n\x0e\x0b\0\0!
Pre_ExtLap56_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0All right, I get it now.
Pre_ExtLap56_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0I see why people use these things.
Pre_ExtLap56_3	\x0e\n\x01\x10\x0e\0N\0o\0t\0i\0c\0e\00\0Right? Just sitting on a balance ball trains\nthe core, but it's a lot tougher than it\nlooks!
Pre_ExtLap56_4	\x0e\n\n\x0e\x0c\0T\0i\0r\0e\0d\01\0Yeah, I want to do it for longer...but I need\nto get to my other training before I spend\nall day on this thing!
Pre_ExtLap59_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Hey, Ring...
Pre_ExtLap59_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0How are your hams?
Pre_ExtLap59_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0I love them! It's my favorite egg\naccompaniment!
Pre_ExtLap59_4	\x0e\n\n\x0e\x0c\0T\0i\0r\0e\0d\01\0No, ham as in "hamstring." I guess I can't\nexpect you to know names for body parts\nyou don't have.
Pre_ExtLap61_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Hey, Ring, you know what I've always\nloved since we were kids together?
Pre_ExtLap61_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0I'll give you a hint: it's round, and it's hard\nlike metal.
Pre_ExtLap61_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0*gasp*\nCould it be...m-me?!
Pre_ExtLap61_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0What?! No! I was talking about a six-pack!\nAre you embarrassed? I'd be embarrassed\nif I were you.
Pre_ExtLap63_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0When I was a kid, there was something\nelse I wanted besides a chiseled six-pack.
Pre_ExtLap63_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0Wanna guess what it was?
Pre_ExtLap63_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0C-could it be...me...this time?
Pre_ExtLap63_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0No, you ninny! I meant toned glutes!\nTalk about a one-track mind...
Pre_ExtLap65_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0When I was a kid, there was something I\nwas after besides a chiseled six-pack and\ntoned glutes.
Pre_ExtLap65_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0You wanna guess, or are you done\nhumiliating yourself?
Pre_ExtLap65_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0This time it HAS to be me! There's nothing\nelse left!
Pre_ExtLap65_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0No, nitwit! Biceps like BOULDERS!\nI'd look for another partner if I were\nyou, \x0e\x0b\0\0.
Pre_ExtLap66_1	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0I always dreamed of a chiseled six-pack,\ntoned glutes, and boulder-sized biceps...
Pre_ExtLap66_2	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\00\0But one day I looked at myself and\nrealized I had all of those things.
Pre_ExtLap66_3	\x0e\n\x01\x0c\n\0C\0a\0l\0l\01\0And that's when you finally realized that\nwhat you really wanted all along was true\nfriendship?
Pre_ExtLap66_4	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Wow. If you ever want a new\nworkout partner, just let me know,\n\x0e\x0b\0\0.
FlowchartMsg_USen_szs\Demo_WBLast.msbt
WBLast01	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0'Sup, Ring. 'Sup, \x0e\x0b\0\0.\nI gotta hand it to you two.
WBLast02	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0The two of you have put me through the\nwringer like I ain't seen in forever!
WBLast03	Be careful!
WBLast04	Dragaux...? Could it be...?
WBLast05	\x0e\n\n\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\00\0My power is almost complete...
WBLast06	\x0e\n\n\x12\x10\0R\0e\0g\0r\0e\0t\0N\01\0But I still need more.
WBLast07	\x0e\n\n\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0Like the power the two of you got.\nThat'll do fine.
WBLast08	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0Once I take that, I'm gonna be...\nMega Super Awesome Dragaux...um...DX!
WBLast09	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0You've gotten a buncha steps in, huh?\nCovered every land, not once but twice!
WBLast10	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Thanks to you, I've gotten some killer\ntraining in!
WBLast11	\x0e\n\x01\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0Yeah!
WBLast12	\x0e\n\x01\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0I'm amazed at your ability to handle\nanything, \x0e\x0b\0\0!
WBLast13	\x0e\n\n\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\00\0Thanks to the two of you...
WBLast14	\x0e\n\n\x12\x10\0R\0e\0g\0r\0e\0t\0N\01\0I've finally harnessed the power of the\ndark influence... Now I'm in the driver's\nseat for real!
WBLast15	\x0e\n\n\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0That's the good news.
WBLast16	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0The bad news is that I'm gonna use every\nscrap of it to pound you into the mat!
WBLast17	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0Three times? You walked across this land\nTHREE TIMES?
WBLast18	\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0Not bad, \x0e\x0b\0\0.
WBLast19	\x0e\n\x01\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0That's right!
WBLast20	\x0e\n\x01\x10\x0e\0R\0e\0g\0r\0e\0t\01\0Although...
WBLast21	\x0e\n\n\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\00\0Not now, Ring.
WBLast22	\x0e\n\n\x12\x10\0R\0e\0g\0r\0e\0t\0N\01\0Listen up, \x0e\x0b\0\0.
WBLast23	\x0e\n\n\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0My—no, \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿOUR combined\npower is no joke. This is the strongest\nwe've EVER been!
WBLast24	\x0e\n\n\x0e\x0c\0A\0n\0g\0r\0y\01\0That was your final warning. If you're still\ngame to face us after that...let's do this!
FlowchartMsg_USen_szs\DynStretchReady.msbt
DynStretchReady00	All right! Let's start the day with a good\n\x0e\0\x03\x02\x01\0dynamic stretch\x0e\0\x03\x02ÿÿ!
DynStretchReady01	Oh! I'm so sorry! I forgot to tell you!
DynStretchReady02	When you do a dynamic stretch, you'll\nearn some \x0e\0\x03\x02\x01\0EXP in Adventure mode\x0e\0\x03\x02ÿÿ!
DynStretchReady03	So, want to get in some stretching?\x0e\x01\x04\x06\n\0\x0b\0\0\x01
DynStretchReady04	OK, then let's get started!
DynStretchReady06	No worries. We'll skip it for today!
DynStretchReady08	Great job! That was a dynamic stretch to\nbe proud of!
DynStretchReady13	Be careful to avoid injury.
DynStretchReady09	What do you say we start the day with\nanother dynamic stretch?\x0e\x01\x04\x06\n\0\x0b\0\0\x01
DynStretchReady10	Take it away, Tipp!
DynStretchReady11	Oh? You'd rather skip it today?\nSure thing.
DynStretchReady12	Now then, get ready to stretch!\x0e\x01\x04\x06\n\0\x0b\0\0\x01
DynStretchReady14	Would you like to do some dynamic\nstretching before you begin?\x0e\x01\x04\x06\n\0\x0b\0\0\x01
DynStretchReady15	Understood. Then let's get started!
0010	Let's stretch!
0011	No stretching today!
FlowchartMsg_USen_szs\ExerciseLevel.msbt
ExerciseLevel02	By the way, how has your \x0e\0\x03\x02\x01\0Ring Fitness\x0e\0\x03\x02ÿÿ\nbeen going?\x0e\x01\x06\n\x03\0\x02\0\x01\0\0\0\0\x04
ExerciseLevel44	How has your \x0e\0\x03\x02\x01\0Ring Fitness\x0e\0\x03\x02ÿÿ been going?\x0e\x01\x06\n\x03\0\x02\0\x01\0\0\0\0\x04
ExerciseLevel06	I see. Try \x0e\0\x03\x02\x01\0increasing \x0e\0\x03\x02ÿÿyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ... \nbut don't overexert yourself!\x0e\x01\x05\x08\x08\0\t\0\x10\0\0\x03
ExerciseLevel41	If you want a little more challenge, try\n\x0e\0\x03\x02\x01\0increasing \x0e\0\x03\x02ÿÿyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ. But don't\noverexert yourself!\x0e\x01\x04\x06\x08\0\t\0\0\x02
ExerciseLevel05	If you're not feeling challenged, try\n\x0e\0\x03\x02\x01\0increasing \x0e\0\x03\x02ÿÿyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ. But don't\noverexert yourself!\x0e\x01\x05\x08\x08\0\t\0\x10\0\0\x03
ExerciseLevel40	Got some energy left? Wanna \x0e\0\x03\x02\x01\0increase\x0e\0\x03\x02ÿÿ\nyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ? Just don't overdo it!\x0e\x01\x04\x06\x08\0\t\0\0\x02
ExerciseLevel04	In that case, do you want to continue\nwith the \x0e\0\x03\x02\x01\0same difficulty level\x0e\0\x03\x02ÿÿ today?\x0e\x01\x06\n\x07\0\r\0\x0f\0\x10\0\0\x04
ExerciseLevel39	How shall we set today's \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x05\x08\x07\0\r\0\x0f\0\0\x03
ExerciseLevel03	A little too much, huh? Well, good effort!\nShould we bring down the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x05\x08\x04\0\x05\0\x10\0\0\x03
ExerciseLevel38	If it feels tough, try \x0e\0\x03\x02\x01\0lowering \x0e\0\x03\x02ÿÿthe \x0e\0\x03\x02\x01\0difficulty\nlevel\x0e\0\x03\x02ÿÿ. \x0e\x01\x04\x06\x04\0\x05\0\0\x02
ExerciseLevel07	OK. I'll lower your \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ by \x0e\0\x03\x02\x01\03\x0e\0\x03\x02ÿÿ.
ExerciseLevel48	Got it. Lowering your \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ by \x0e\0\x03\x02\x01\05\x0e\0\x03\x02ÿÿ.
ExerciseLevel08	I like your enthusiasm! Let's go ahead and\nincrease the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ by \x0e\0\x03\x02\x01\02\x0e\0\x03\x02ÿÿ, but don't\noverexert yourself!
ExerciseLevel09	The basic goal of Ring Fitness is to start\neach day a little further along.
ExerciseLevel10	Different moves help challenge your body\nin different ways.
ExerciseLevel11	Be sure to stick with an exercise routine\nthat's right \x0e\0\x03\x02\x01\0for you\x0e\0\x03\x02ÿÿ.
ExerciseLevel12	If it feels TOO easy, try increasing the\n\x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ, but don't overdo it!
ExerciseLevel13	Remember that your hard work has many\nbenefits!
ExerciseLevel14	Go ahead—try it out!
ExerciseLevel15	You're doing great!
ExerciseLevel16	I bumped up the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ by \x0e\0\x03\x02\x01\04\x0e\0\x03\x02ÿÿ.
ExerciseLevel25	Would you like to adjust the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ\nfor today?\x0e\x01\x06\n\r\0\x0e\0\x0f\0\x11\0\x01\x04
ExerciseLevel18	Ah! How much should we increase\nit by? Remember not to overdo it!\x0e\x01\x05\x08\x14\0\x15\0\x16\0\x01\x03
ExerciseLevel17	Whoa...
ExerciseLevel19	If you say so!
ExerciseLevel49	Wow! I'm increasing your \x0e\0\x03\x02\x01\0difficulty level\n\x0e\0\x03\x02ÿÿby \x0e\0\x03\x02\x01\03\x0e\0\x03\x02ÿÿ! But don't overdo it!
ExerciseLevel50	If that turns out to be difficult, don't\noverdo it. Change your settings in\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\x01\0My Menu\x0e\0\x03\x02ÿÿ.
ExerciseLevel51	Great! Let's try increasing the \x0e\0\x03\x02\x01\0difficulty\nlevel \x0e\0\x03\x02ÿÿby \x0e\0\x03\x02\x01\02\x0e\0\x03\x02ÿÿ. But don't overdo it!
ExerciseLevel20	You can always reset it in \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\x01\0My Menu\x0e\0\x03\x02ÿÿ\nif you want to make a change!
ExerciseLevel52	Right, let's increase the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ\nby \x0e\0\x03\x02\x01\01\x0e\0\x03\x02ÿÿ.
ExerciseLevel53	Be proud of the progress you're making!
ExerciseLevel54	You've got this!
ExerciseLevel21	OK! We'll keep going at this pace.
ExerciseLevel22	It's important not to take on more than\nyou can handle! Let's lower the difficulty\nlevel by 1 or 2.\x0e\x01\x04\x06\x17\0\x18\0\0\x02
ExerciseLevel24	Got it. I'll bring the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ down\nby \x0e\0\x03\x02\x01\02\x0e\0\x03\x02ÿÿ.
ExerciseLevel36	Sure! Let's bring the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ down\nby \x0e\0\x03\x02\x01\01\x0e\0\x03\x02ÿÿ.
ExerciseLevel23	If you want a bit more challenge,\ntry increasing the difficulty level.
ExerciseLevel26	Good question! Let me explain.
ExerciseLevel27	The challenge of Ring Fitness is\ndetermined by the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ.
ExerciseLevel29	If you bump the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ up, then\nthe exercises get a little more challenging.
ExerciseLevel35	But challenging yourself a little more,\nbit by bit, can be fun!
ExerciseLevel30	That said, you don't want to overdo it,\nso make sure \x0e\0\x03\x02\x01\0not to increase it too much\x0e\0\x03\x02ÿÿ.
ExerciseLevel31	Make sure to exercise within the range of\nyour ability, and decrease the \x0e\0\x03\x02\x01\0difficulty\nlevel\x0e\0\x03\x02ÿÿ to avoid overexerting yourself.
ExerciseLevel42	If you hit a level that's too hard to keep\nup, then \x0e\0\x03\x02\x01\0lower\x0e\0\x03\x02ÿÿ the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ.
ExerciseLevel43	If you feel like you can still do more,\nyou can \x0e\0\x03\x02\x01\0increase \x0e\0\x03\x02ÿÿyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ.
ExerciseLevel37	Find the \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ that suits you best!
ExerciseLevel32	Do you want to make any adjustments to\nyour \x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ now?\x0e\x01\x05\x08\r\0\x0e\0\x0f\0\x01\x03
ExerciseLevel33	Hey, uh...
ExerciseLevel34	Is it annoying you to tell me "keep it like\nit is now" every time?\x0e\x01\x04\x06\x12\0\x13\0\0\x02
ExerciseLevel45	Cool! Then I'll keep checking in with you,\njust in case.
ExerciseLevel46	Whoops! In that case, I'll hold off on\nasking you about it for a while.
ExerciseLevel47	Huh. Looks like the difficulty level is\nalready \x0e\0\x03\x02\x01\0as high as it'll go\x0e\0\x03\x02ÿÿ.
ExerciseLevel55	Er... It looks like I can't lower the difficulty\nlevel any more than it already is.
ExerciseLevel56	Let's just stick with this difficulty level,\nshall we?
ExerciseLevel57	Whoa!
ExerciseLevel58	That's the highest\x0e\0\x03\x02\x01\0 difficulty level\x0e\0\x03\x02ÿÿ!\nMake sure not to overexert yourself!
ExerciseLevel59	The difficulty level is now set at \x0e\0\x03\x02\x01\030\x0e\0\x03\x02ÿÿ!
ExerciseLevel60	This'll bring the difficulty level down to\nits lowest setting.
ExerciseLevel61	Your current difficulty level is \x0e\0\x03\x02\x01\01\x0e\0\x03\x02ÿÿ.
ExerciseLevel62	Want to make any adjustments to your\n\x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x05\x08\x0e\0\x0f\0\x11\0\0\x03
ExerciseLevel63	Want to make any adjustments to your\n\x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x05\x08\r\0\x0e\0\x11\0\x01\x03
ExerciseLevel64	Any changes you want to make to your\n\x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x04\x06\x0e\0\x0f\0\0\x02
ExerciseLevel65	Any changes you want to make to your\n\x0e\0\x03\x02\x01\0difficulty level\x0e\0\x03\x02ÿÿ?\x0e\x01\x04\x06\r\0\x0e\0\x01\x02
0000	The difficulty level is\ntoo high
0001	I think this is about right.
0002	I might want a little more\nchallenge
0003	Easy!
0004	Make it easier
0005	Keep going as is!
0007	Keep it at this level
0008	Let's add a little challenge
0009	It's fine as is
0013	Let's add a little challenge
0014	Keep it like this
0015	Bring it down a notch
0016	What's a "difficulty level"?
0017	Tell me about difficulty
0018	It's not annoying at all
0019	A little bit, yeah
0020	Let's add some challenge!
0021	A decent amount
0022	Just a little bit
0023	A fair amount less
0024	A little bit less
FlowchartMsg_USen_szs\Extra_Dragon.msbt
ExtraD	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0Welcome to my... No. Wait.\n\n\nWelcome to OUR Dragaux Stadium!\n\n\n\x0e\n\n\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0Don't pull your punches just because we're\nfriends now. Come at me with everything\nyou've got!
ExtraD1	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0Heh. You kept me waiting.\n\n\nThis Dragaux Stadium was specially\ndesigned for upper-body training.\n\n\x0e\n\n\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0We brought in a world-famous architect to\ncapture the raw emotions of—
ExtraD2	\x0e\n\x01\x0e\x0c\0H\0a\0p\0p\0y\00\0Upper body! That's just what we need!\nHow perfect, \x0e\x0b\0\0!\n\nAll right! Let's get this thing started!
ExtraD3	\x0e\n\n\n\x08\0S\0a\0d\00\0But... {s[075]}Some of the construction details are really cool...{s[100]}
ExtraD4	\x0e\n\n\x10\x0e\0N\0o\0t\0i\0c\0e\00\0Finished with your warm-up?\n\n\n\x0e\n\n\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0This time, we'll use conveyor belts to\nprovide steady resistance against your\nlower body.\nIf you can't conquer these conveyor belts,\nyou won't stand a chance against me.\nLet's see some hustle!
ExtraD5	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0This Dragaux Stadium uses Sporta's own\nrivers as a training resource.\n\n\x0e\n\n\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0You'd best prepare yourself before\ndiving in.
