FlowchartMsg_JPja_szs\ActivityAchievements.msbt
Conjunction00	さらに…!
M_GL126	\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\01\0子供達も日々成長しておるようじゃ\n\n\x0e\n\x0b\x16\x14\0T\0a\0l\0k\0A\0g\0r\0e\0e\00\0ワシらも負けておれん\nたまには己をりっせんとのぅ 
M_GL127	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0というと?
M_GL128	\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\00\0そうだのぅ…… 限られたスキルで\n己をりっするというのはどうじゃ?
M_GL115	\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\01\0子供達には負けておれんわい\x0e\x01\0\x04<\0\0\0
M_GL119	\x0e\n\x0b\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\01\0ワシの充実の……\x0e\x01\x03\x04È\0\0\0
M_GL129	\x0e\n\x0b\x0e\x0c\0S\0c\0a\0r\0e\01\0せかんどらいふ!\x0e\x01\x03\x04÷\0\0\0
M_GL121	\x0e\n\x0b\x0e\x0c\0T\0i\0r\0e\0d\00\0まったく…… 手合せする度に強くなりおって……\nおヌシの成長には 驚かされっぱなしじゃわい\x0e\x01\x03\x04,\x01\0\0
M_GL130	\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\01\0おヌシがこの地を 訪れてくれるだけで\nスーパーキッズのやる気もあがるというもの\n頑張る者の姿というのは\nそれほど人をひきつけるものなんじゃ
M_GL122	\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\01\0かくいうワシも\nおヌシの姿に魅せられた1人じゃがのぅ\x0e\x01\0\x04<\0\0\0
M_GL123	\x0e\n\x0b\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\01\0誠心誠意 心を込めて……\x0e\x01\x03\x04È\0\0\0
M_GL120	\x0e\n\x0b\x0e\x0c\0S\0c\0a\0r\0e\01\0もてなさんとのぅ……\x0e\x01\x03\x04÷\0\0\0
M_GL125	\x0e\n\x0b\x0e\x0c\0T\0i\0r\0e\0d\00\0次からは もう少し手厚く\nもてなしても良さそうじゃのぅ……\x0e\x01\x03\x04,\x01\0\0
M_GL131	\x0e\n\x0b\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\01\0スーパーキッズにも\nおヌシという目標ができたようじゃし\n\x0e\n\x0b\x0e\x0c\0L\0a\0u\0g\0h\00\0ワシも本格的に せかんどらいふの\n準備をしても良い頃かもしれんのぅ
FlowchartMsg_JPja_szs\Main_GhostTown.msbt
M_GT00	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0うわっ\nすごい霧……
M_GT01	なんかちょっと……\n不気味だね……
M_GT02	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0それにしてもさっき\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ドラゴ\x0e\0\x03\x02ÿÿが言ってた\n『\x0e\0\x03\x02\0\0あの力\x0e\0\x03\x02ÿÿ』って何だろう……
M_GT183	この霧も 『\x0e\0\x03\x02\0\0あの力\x0e\0\x03\x02ÿÿ』ってのも……\n嫌な予感しかしないよ……
M_GT184	\x0e\n\n\n\x08\0S\0a\0d\01\0行ったか……\n\n俺の『あの力』を完成させるためには\n時間が必要だからな\n\x0e\n\n\x0e\x0c\0T\0h\0i\0n\0k\01\0この『霧』と『アイツ』がいれば\nいい時間かせぎになるだろう……
M_GT03	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\00\0なんだか\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿでも出そうだね\n\x0e\x0b\0\0 は\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿとか平気?
M_GT04	\x0eÉ\n\x08\x02\0|0\x02\0\x8f0 \x0eÉ\n\x08\x02\0ÕP\x02\0Áyは全然平気だよ!\nそもそも \x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿなんて存在しな…
M_GT05	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\01\0……\n……
M_GT06	\x0e\n\0\x0e\x0c\0S\0c\0a\0r\0e\01\0{s[150]}でたー!!!!{s[100]}
M_GT07	\x0e\n\x1b\x02\0\0{s[150]}!!{s[100]}
M_GT08	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\01\0み……見た? \x0e\x0b\0\0!\nあれって…… 本物…… だよね?
M_GT11	\x0e\n\0\x0e\x0c\0H\0a\0p\0p\0y\01\0はは…… 霧のせいで\n錯覚でも起こしちゃったかな……\x0e\x01\x03\x04È\0\0\0
M_GT12	\x0e\n\0\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物は平気なんだけどね……\x0e\x01\x03\x04È\0\0\0
M_GT13	\x0e\n\0\x0c\n\0E\0a\0s\0e\00\0それにしても……\nこの霧 やっかいだね……\x0e\x01\x03\x04È\0\0\0
M_GT15	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\01\0ねえ \x0e\x0b\0\0……\n\x0eÉ\n\x0e\x04\0ÕP\x890\x06\0Áy_0a0は何も見なかったよね……見えてないよね?
M_GT14	\x0e\n\0\n\x08\0S\0a\0d\01\0この霧……\nいつまで続くんだろ……\x0e\x01\x03\x04È\0\0\0
M_GT16	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\01\0いない……
M_GT17	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\00\0こっちにもいない……
M_GT18	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\00\0や…… やっぱり見えるよね……\n見えるよね? \x0e\x0b\0\0……
M_GT19	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0でも あの\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿ……\n何か探してるみたいだったね?
M_GT20	もしかしたら……\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ドラゴ\x0e\0\x03\x02ÿÿが何か関係あるのかも!
M_GT21	\x0e\n\0\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0ちょっと 後をつけてみようか…
M_GT22	……距離とりながら
M_GT23	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0思い出した!\x0e\x01\x03\x04\x96\0\0\0
M_GT24	ここは昔は 子供達の笑い声であふれる\nにぎやかな場所だったんだ……\x0e\x01\x03\x04È\0\0\0
M_GT25	\x0e\n\0\n\x08\0S\0a\0d\00\0なんでこんなさびしい場所に\nなっちゃってるんだろ……\x0e\x01\x03\x04È\0\0\0
M_GT26	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\01\0ちょっと怖いけど……\nあの\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿの後をつけてみよう
M_GT27	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0魔物にオバケは見えてるのかな?\x0e\x01\x03\x04´\0\0\0
M_GT28	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\00\0みんな……\nいない……
M_GT29	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0あっ 消えた!!
M_GT30	この先には 確か\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0街\x0e\0\x03\x02ÿÿがあったような……
M_GT171	\x0e\n\0\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0街\x0e\0\x03\x02ÿÿまでいけば\nあの\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿの事何かわかるかもね
M_GT172	\x0e\n\0\x0e\x0c\0L\0a\0u\0g\0h\00\0ほらやっぱり\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0街\x0e\0\x03\x02ÿÿがある!
M_GT173	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0でも人の気配がないというか……\nなんというか……
M_GT31	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0街に来たのに……
M_GT32	\x0e\n\0\n\x08\0S\0a\0d\01\0この重苦しい空気は\nなんだろ……
M_GT33	\x0e\n\x12\x0e\x0c\0P\0a\0n\0i\0c\01\0あの～\n\n私の\x0e\0\x03\x02\0\0子供\x0e\0\x03\x02ÿÿを見かけませんでしたか?\n\n私と同じ黄色い髪をした\n\x0e\0\x03\x02\0\0女の子\x0e\0\x03\x02ÿÿなんですが……
M_GT34	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0\x0e\0\x03\x02\0\0女の子\x0e\0\x03\x02ÿÿどころか\n\x0e\0\x03\x02\0\0子供\x0e\0\x03\x02ÿÿの声すら 聞こえなかったけど……
M_GT80	\x0e\n\x12\x0c\n\0E\0a\0s\0e\00\0そんな……
M_GT83	\x0e\n\x12\x0e\x0c\0S\0c\0a\0r\0e\01\0{s[150]}私の\x0e\0\x03\x02\0\0レイ\x0e\0\x03\x02ÿÿちゃぁぁぁぁん{s[100]}
M_GT82	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\01\0マーミさん 落ち着くんじゃ!
M_GT35	アンタ 外から来たのかい?\n\nこの街だけじゃなく\n国中どこを探しても \x0e\0\x03\x02\0\0子供\x0e\0\x03\x02ÿÿなんかいやしないよ
M_GT36	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\01\0みんな 突然消えちまったんだ……
M_GT37	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\01\0消えた?
M_GT38	\x0e\n\x15\x10\x0e\0R\0e\0g\0r\0e\0t\00\0\x0e\0\x03\x02\0\0子供達\x0e\0\x03\x02ÿÿがどこに行ったのか……\n生きているのかどうかすら わからん状態でな…\nせめてどこかで\n幸せに暮らしてくれてたらいいんだが……
M_GT39	\x0e\n\0\x0e\x0c\0P\0a\0n\0i\0c\00\0\x0e\0\x03\x02\0\0子供が消えた\x0e\0\x03\x02ÿÿって……\n一体 何が起こってるんだ?
M_GT85	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\01\0残るはあそこしかない……\nきっとみんな そこにいるはず……
M_GT86	\x0e\n\0\x0e\x0c\0H\0a\0p\0p\0y\00\0あ…… あの\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿ!
M_GT174	\x0e\n\x11\x0e\x0c\0S\0c\0a\0r\0e\01\0やっぱり……\nここだ……
M_GT175	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0チョット!\n君!!
M_GT176	\x0e\n\x1b\x02\0\0!!
M_GT177	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\01\0私が……見える…の?
M_GT178	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0君は一体何を探してるんだい?
M_GT179	\x0e\n\x11\x10\x0e\0D\0a\0m\0a\0g\0e\00\0お願い……\nここに\x0e\0\x03\x02\0\0みんな\x0e\0\x03\x02ÿÿがいるの……\n悪いやつに捕まってるの……\n\n\x0e\n\x11\x0e\x0c\0P\0a\0n\0i\0c\01\0ここから\n\x0e\0\x03\x02\0\0みんな\x0e\0\x03\x02ÿÿを出してあげて……
M_GT180	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0あの声…… まだ\x0e\0\x03\x02\0\0子供\x0e\0\x03\x02ÿÿだよね……\nもしかして \x0e\0\x03\x02\0\0みんな\x0e\0\x03\x02ÿÿって……\x0e\x01\x03\x04È\0\0\0
M_GT87	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0わー! あのでっかい\x0e\0\x03\x02\0\0魔物\x0e\0\x03\x02ÿÿがいなくなったぞ!\n逃げろ―!
M_GT181	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0わわ なんだなんだ!
M_GT40	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0あれ?\nお兄ちゃん 僕が見えるの?
M_GT41	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0あれ?\nお姉ちゃん 僕が見えるの?
M_GT43	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\00\0みんなー!\n僕達が見えるオトナの人 見つけたよ!
M_GT44	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\01\0え? ホント?\nねえ オニイサン 本当に私達が見えるの?
M_GT45	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\00\0え? ホント?\nねえ オネエサン 本当に私達が見えるの?
M_GT47	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0わわっ!\n沢山でてきた!
M_GT48	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0ごめんよ  僕らが見えるオトナの人に\nやっと会えて みんなうれしいんだよ
M_GT49	目覚めたら こんな姿になってて……\n\nパパやママにいくら話しかけても\n全然気づいてくれなくて……
M_GT50	\x0e\n\x11\x10\x0e\0R\0e\0g\0r\0e\0t\00\0そしたら 魔物がやってきて\n僕らをここに閉じ込めちゃったんだ……
M_GT51	\x0e\n\x11\n\x08\0S\0a\0d\00\0ここから出られたのはいいけど……\n僕らはずっとこの姿のままなのかな……
M_GT52	\x0e\n\x11\x0e\x0c\0P\0a\0n\0i\0c\00\0うわーん\nぱぱぁ…… ままぁ……
M_GT182	\x0e\n\0\x10\x0e\0D\0a\0m\0a\0g\0e\01\0一体どうなってるんだ??\n何でこんなことに??
M_GT81	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0そういえば \x0eÉ\n\x0e\x04\0ÕP\x890\x06\0Áy_0a0に助けを求めてきた\n\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿさんは…… どこに行ったんだろ?
M_GT84	とりあえず この辺りを\nもっと調べよう!
M_GT53	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0みんなを助けてくれて\nありがとう!
M_GT54	私 この姿になったあの日\n街の外にいて……
M_GT55	\x0e\n\x11\x10\x0e\0R\0e\0g\0r\0e\0t\01\0急いで 戻ってきたんだけど\nみんなの姿はなくて……
M_GT56	だからずっと探してたの
M_GT57	\x0e\n\x11\n\x08\0S\0a\0d\01\0でもあの\x0e\0\x03\x02\0\0魔物\x0e\0\x03\x02ÿÿがいなくなっても\n元に戻らないなんて……
M_GT58	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0その姿になった時\n何か変わったことはなかった?
M_GT59	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\00\0そういえば 姿が変わる前の日に\n\x0e\0\x03\x02\0\0腹筋体操\x0e\0\x03\x02ÿÿのイベントがあったかなぁ……
M_GT60	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0ふっきんたいそう!!
M_GT61	……といえば\nもう\x0e\0\x03\x02\0\0あの人\x0e\0\x03\x02ÿÿしか……!
M_GT62	\x0e\n\x11\x0c\n\0C\0a\0l\0l\01\0いつも自分の腹筋とお話してる\n面白い先生だったよ!
M_GT63	\x0e\n\0\n\x08\0S\0a\0d\00\0……もう疑いようがないね
M_GT169	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0まさか\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0フッキンリー\x0e\0\x03\x02ÿÿさんが\n今回の事件の黒幕だったなんて……\x0e\x01\x03\x04È\0\0\0
M_GT170	どうりで\n\x0e\0\x03\x02\0\0黄色い魔物\x0e\0\x03\x02ÿÿが 多いわけだね……\x0e\x01\x03\x04È\0\0\0
M_GT66	\x0e\n\0\x0c\n\0C\0a\0l\0l\00\0さあ 謎も解けたことだし\n後は\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0フッキンリー\x0e\0\x03\x02ÿÿさんの所へ向かうだけだね
M_GT67	……でも\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0フッキンリー\x0e\0\x03\x02ÿÿさんがいるってことは……\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ドラゴ\x0e\0\x03\x02ÿÿは どこに行ったんだろ??
M_GT68	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ドラゴ\x0e\0\x03\x02ÿÿが言い残した\n『\x0e\0\x03\x02\0\0あの力\x0e\0\x03\x02ÿÿ』ってのが気になるんだよなぁ……
M_GT96	\x0e\n\r\x0e\x0c\0L\0a\0u\0g\0h\01\0やあ \x0e\x0b\0\0\nこの霧のなか よくここまで来られたね
M_GT97	霧がでてきたら その場を動かないようにって\n習わなかったのかい?
M_GT98	\x0e\n\0\x0e\x0c\0H\0a\0p\0p\0y\00\0フッキンリーさん!
M_GT99	子供達を オバケの姿に変えたのは\nアナタなんですか?
M_GT100	\x0e\n\r\x0e\x0c\0L\0a\0u\0g\0h\00\0ああ その事かい?\nほら 子供って 苦手でさぁ
M_GT101	\x0e\n\0\n\x08\0S\0a\0d\00\0やっぱりそうなんだね……
M_GT102	\x0e\n\r\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0子供達を\n元の姿に戻す方法はただ一つ……
M_GT103	ふっ \x0e\x0b\0\0 なら\nもう わかってるだろ?
M_GT104	\x0e\n\0\x0e\x0c\0S\0c\0a\0r\0e\00\0子供達を\nあのままに しておくわけにはいかない!\nちょっと \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0フッキンリー\x0e\0\x03\x02ÿÿさんに\nお灸をすえに行かないとね!
M_GT105	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\00\0なんで \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0フッキンリー\x0e\0\x03\x02ÿÿさんは\n子供達の姿を変えたんだろう……?\x0e\x01\x03\x04È\0\0\0
M_GT106	\x0e\n\r\x0e\x0c\0T\0h\0i\0n\0k\01\0子供の無邪気さは\n時に 凶器になる……\x0e\x01\0\x04<\0\0\0\n\x0e\n\r\x10\x0e\0D\0a\0m\0a\0g\0e\01\0君は 凶器をふりまわす奴らを\n野放しにしておくって言うのかい?\x0e\x01\0\x04<\0\0\0
M_GT107	\x0e\n\r\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0僕の\x0e\0\x03\x02\0\0シックスパック\x0e\0\x03\x02ÿÿはハードだけど……\x0e\x01\x03\x04È\0\0\0
M_GT108	\x0e\n\r\x0e\x0c\0S\0h\0o\0u\0t\00\0僕のハートはデリケートなのさ!\x0e\x01\x03\x04æ\0\0\0
M_GT109	\x0e\n\r\x10\x0e\0D\0a\0m\0a\0g\0e\00\0くっ…… ハートだけじゃなく\n僕のシックスパックまで ブレイクするとはね……\x0e\x01\x03\x04,\x01\0\0
M_GT110	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\00\0これで子供達も元に戻ったかな
M_GT111	\x0e\n\r\x0e\x0c\0T\0i\0r\0e\0d\00\0イタタタ……\n全く 君には困ったもんだね
M_GT112	\x0e\0\x03\x02\0\0\x0e\n\0\x0e\x0c\0A\0n\0g\0r\0y\01\0フッキンリー\x0e\0\x03\x02ÿÿさん!\nなぜ 子供達をオバケに変えたりしたんだ!?
M_GT113	\x0e\n\r\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0なぜって\nそれは……
M_GT114	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\01\0わー!\n元に戻った!
M_GT115	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0お兄ちゃんが元に戻してくれたんだね\nありがとう!
M_GT116	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0お姉ちゃんが元に戻してくれたんだね\nありがとう!
M_GT117	\x0e\n\0\x10\x0e\0N\0o\0t\0i\0c\0e\00\0君は……
M_GT118	\x0e\n\x11\x0c\n\0C\0a\0l\0l\00\0私だよ!\nさっきまで一緒にいた\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿだよ!
M_GT119	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0ああ!\nあの\x0e\0\x03\x02\0\0オバケ\x0e\0\x03\x02ÿÿの……!
M_GT141	元に戻ったんだね!\nよかった!
M_GT120	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\01\0あれ……\nそこにいるのは…… 腹筋の……
M_GT121	\x0e\n\x1b\x02\0\0!!
M_GT122	\x0e\n\x11\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\00\0腹筋の\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿだ!
M_GT123	\x0e\n\r\x0e\x0c\0P\0a\0n\0i\0c\01\0\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿじゃない!\n\n\x0e\0\x03\x02\0\0おニイさん\x0e\0\x03\x02ÿÿだって 何度も言ってるだろ!
M_GT124	\x0e\n\0\x0e\x0c\0T\0h\0i\0n\0k\01\0もしかして 子供達を\nオバケに変えたのって……
M_GT125	\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿって言われたから?
M_GT126	\x0e\n\r\n\x08\0S\0a\0d\01\0せっかく みんなに腹筋体操を\n教えに行ったのにさ……
M_GT127	\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿなんて……\n\n\x0e\n\r\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\00\0\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿなんて\nヒドイじゃないか!\n僕はまだ二十歳なのに!
M_GT128	\x0e\n\0\n\x08\0S\0a\0d\00\0まあ 子供の無邪気さって\n確かに 心をえぐってくることがあるよね……
M_GT129	\x0e\n\x11\x10\x0e\0D\0a\0m\0a\0g\0e\00\0\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿ\nどうして腹筋体操お休みしちゃったの?
M_GT130	腹筋体操のお陰で メタボ予防になるって\nパパもママも 喜んでたんだよ!\n\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0だから またみんなに\n腹筋体操教えてね!
M_GT134	\x0e\n\r\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0{s[075]}くっ…… かわいい……{s[100]}
M_GT135	\x0e\n\r\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0そんなに喜んでもらってたとは\n思わなかったよ……\n大人気ないことしちゃったね……
M_GT137	\x0e\n\r\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0ごめんよ おじょうちゃん\n\x0e\0\x03\x02\0\0おニイさん\x0e\0\x03\x02ÿÿは もう行かないといけないんだ……
M_GT131	\x0e\0\x03\x02\0\0おニイさん\x0e\0\x03\x02ÿÿは もう腹筋体操を\n教えにいけないけど\n\x0e\n\r\x0e\x0c\0L\0a\0u\0g\0h\01\0君達の筋肉には\x0e\0\x03\x02\0\0おニイさん\x0e\0\x03\x02ÿÿのマッスルメモリーが\n残ってるはずだよ!
M_GT136	\x0e\n\x11\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0まっするめもりー?
M_GT138	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\01\0よくわかんないけど わかったよ!\n\x0e\0\x03\x02\0\0オジちゃん\x0e\0\x03\x02ÿÿ!
M_GT139	\x0e\n\x1b\x02\0\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ
M_GT140	\x0e\n\0\x10\x0e\0D\0a\0m\0a\0g\0e\00\0バトルよりもダメージ受けちゃってるかも……
M_GT142	\x0e\n\r\x10\x0e\0R\0e\0g\0r\0e\0t\00\0っていうか\nなぜ君がおニイちゃんで 僕がオジちゃんなんだ!
M_GT143	\x0e\n\r\x10\x0e\0R\0e\0g\0r\0e\0t\00\0っていうか\nなぜ君がおネエちゃんで 僕がオジちゃんなんだ!
M_GT144	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0ゲッ!\n矛先がこっちに来た!
M_GT132	と…… とりあえず子供達は元に戻ったし\n\x0eÉ\n\x0e\x04\0ÕP\x890\x06\0Áy_0a0は次の国へ 逃げ……向かおう!
M_GT152	\x0e\n\r\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\00\0くびれっ くびれっ 腰のくびれをつくるには～♪\n\n\x0e\n\r\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0ふくしゃきん ふくしゃきん\n{r2[ふくしゃきん]}腹斜筋{/r2}を鍛えましょ～♪\n\x0e\n\r\x0e\x0c\0H\0a\0p\0p\0y\01\0バンザイツイスト ロシアンツイスト!\nバンザイコシフリ スワイショウ♪
M_GT153	\x0e\n\0\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0そ その歌!
M_GT154	\x0e\n\r\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0お やっと来たね～\n\n待ちくたびれて\nスムージーも飲み干しちゃったよ～
M_GT155	\x0e\n\r\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0{s[150]}そうだ!{s[100]}
M_GT156	\x0e\n\r\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\00\0今回のトレーニングは\nスムージーを使うのをやめてみようか?\n自分の力だけで困難を切り抜けることで\n自分への自信にもつながるし\nスムージーのありがたさも実感できる……
M_GT157	\x0e\n\r\x0e\x0c\0L\0a\0u\0g\0h\01\0サイッコーのトレーニングだと思わないかい?
M_GT158	\x0e\n\0\x0c\n\0C\0a\0l\0l\01\0スムージーが使えないのは不安だけど\n慎重に進めば きっと大丈夫だよ!\x0e\x01\x03\x04È\0\0\0
M_GT159	\x0e\n\r\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0お疲れ～\nいいトレーニングになったろ?
M_GT160	\x0e\n\r\x0e\x0c\0T\0h\0i\0n\0k\00\0当たり前だと思ってることって\nそのありがたさに気づきにくいんだよね\n\x0e\n\r\x14\x12\0T\0a\0l\0k\0C\0a\0l\0l\00\0こうやって トレーニング出来るだけで\n僕らは恵まれてるって事\n忘れないようにしないとね
M_GT161	\x0e\n\n\x12\x10\0S\0u\0p\0r\0i\0s\0e\01\0バンザイツイスト ロシアンツイスト!\nバンザイコシフリ スワイショウ♪\n……\n……\n\x0e\n\n\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\01\0というわけで 
M_GT162	\x0e\n\n\x0e\x0c\0H\0a\0p\0p\0y\00\0今回は腹を集中して鍛えるぞ!\n準備はいいか?
M_GT163	\x0e\n\0\x0c\n\0C\0a\0l\0l\00\0今回もお腹にしっかり効きそうなメニューだけど\n常に腹筋を意識しながらやると更にいいかも!\x0e\x01\x03\x04È\0\0\0
