bag
SS_bag_000	YOUR MONEY
BTL_STRID_SET_RedCard_2T	[VAR 0102(0000)] held up its Red Card against\n[VAR 0100(000B)]’s [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_Y	The wild [VAR 0102(0000)] held up its Red Card\nagainst [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_Y2Y	The wild [VAR 0102(0000)] held up its Red Card against\nthe wild [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_E	The opposing [VAR 0102(0000)] held up its Red Card\nagainst [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_E2E	The opposing [VAR 0102(0000)] held up its Red Card against\nthe opposing [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_T	[VAR 0100(000A)]’s [VAR 0102(0000)] held up its Red Card\nagainst [VAR 0102(0001)]!
BTL_STRID_SET_RedCard_T2T	[VAR 0100(000A)]’s [VAR 0102(0000)] held up its Red Card\nagainst [VAR 0100(000B)]’s [VAR 0102(0001)]!
BTL_STRID_SET_GotuGotuMet	[VAR 0102(0000)] was hurt by the Rocky Helmet!
BTL_STRID_SET_GotuGotuMet_Y	The wild [VAR 0102(0000)] was hurt by the Rocky Helmet!
BTL_STRID_SET_GotuGotuMet_E	The opposing [VAR 0102(0000)] was hurt by\nthe Rocky Helmet!
BTL_STRID_SET_GotuGotuMet_T	[VAR 0100(000A)]’s [VAR 0102(0000)] was hurt by\nthe Rocky Helmet!
BTL_STRID_SET_MoraibiExe	The power of [VAR 0102(0000)]’s Fire-type moves rose!
BTL_STRID_SET_MoraibiExe_Y	The power of the wild [VAR 0102(0000)]’s Fire-type\nmoves rose!
BTL_STRID_SET_MoraibiExe_E	The power of the opposing [VAR 0102(0000)]’s Fire-type\nmoves rose!
BTL_STRID_SET_MoraibiExe_T	The power of [VAR 0100(000A)]’s [VAR 0102(0000)]’s\nFire-type moves rose!
BTL_STRID_SET_Samehada	[VAR 0102(0000)] was hurt!
BTL_STRID_SET_Samehada_Y	The wild [VAR 0102(0000)] was hurt!
BTL_STRID_SET_Samehada_E	The opposing [VAR 0102(0000)] was hurt!
BTL_STRID_SET_Samehada_T	[VAR 0100(000A)]’s [VAR 0102(0000)] was hurt!
BTL_STRID_SET_YotimuExe	[VAR 0102(0000)]’s [VAR 0107(0001)] was revealed!
BTL_STRID_SET_YotimuExe_Y	The wild [VAR 0102(0000)]’s [VAR 0107(0001)]\nwas revealed!
BTL_STRID_SET_YotimuExe_E	The opposing [VAR 0102(0000)]’s [VAR 0107(0001)]\nwas revealed!
BTL_STRID_SET_YotimuExe_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s\n[VAR 0107(0001)] was revealed!
BTL_STRID_SET_Kikenyoti	[VAR 0102(0000)] shuddered!
BTL_STRID_SET_Kikenyoti_Y	The wild [VAR 0102(0000)] shuddered!
BTL_STRID_SET_Kikenyoti_E	The opposing [VAR 0102(0000)] shuddered!
BTL_STRID_SET_Kikenyoti_T	[VAR 0100(000A)]’s [VAR 0102(0000)] shuddered!
BTL_STRID_SET_Omitoosi	[VAR 0102(0000)] frisked [VAR 0102(0001)] and found\nits [VAR 0109(0002)]!
BTL_STRID_SET_Omitoosi_Y	The wild [VAR 0102(0000)] frisked [VAR 0102(0001)] and\nfound its [VAR 0109(0002)]!
BTL_STRID_SET_Omitoosi_E	The opposing [VAR 0102(0000)] frisked [VAR 0102(0001)] and\nfound its [VAR 0109(0002)]!
BTL_STRID_SET_Omitoosi_T	[VAR 0100(000A)]’s [VAR 0102(0000)] frisked\n[VAR 0102(0001)] and found its [VAR 0109(0002)]!
BTL_STRID_SET_Katayaburi	[VAR 0102(0000)] breaks the mold!
BTL_STRID_SET_Katayaburi_Y	The wild [VAR 0102(0000)] breaks the mold!
BTL_STRID_SET_Katayaburi_E	The opposing [VAR 0102(0000)] breaks the mold!
BTL_STRID_SET_Katayaburi_T	[VAR 0100(000A)]’s [VAR 0102(0000)] breaks the mold!
BTL_STRID_SET_Namake	[VAR 0102(0000)] is loafing around!
BTL_STRID_SET_Namake_Y	The wild [VAR 0102(0000)] is loafing around!
BTL_STRID_SET_Namake_E	The opposing [VAR 0102(0000)] is loafing around!
BTL_STRID_SET_Namake_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is loafing around!
BTL_STRID_SET_WazaRecv	[VAR 0102(0000)] took the attack!
BTL_STRID_SET_WazaRecv_Y	The wild [VAR 0102(0000)] took the attack!
BTL_STRID_SET_WazaRecv_E	The opposing [VAR 0102(0000)] took the attack!
BTL_STRID_SET_WazaRecv_T	[VAR 0100(000A)]’s [VAR 0102(0000)] took the attack!
BTL_STRID_SET_Fumin	[VAR 0102(0000)] stayed awake!
BTL_STRID_SET_Fumin_Y	The wild [VAR 0102(0000)] stayed awake!
BTL_STRID_SET_Fumin_E	The opposing [VAR 0102(0000)] stayed awake!
BTL_STRID_SET_Fumin_T	[VAR 0100(000A)]’s [VAR 0102(0000)] stayed awake!
BTL_STRID_SET_Kyuuban	[VAR 0102(0000)] is anchored in place with its suction cups!
BTL_STRID_SET_Kyuuban_Y	The wild [VAR 0102(0000)] is anchored in place with its\nsuction cups!
BTL_STRID_SET_Kyuuban_E	The opposing [VAR 0102(0000)] is anchored in place with its\nsuction cups!
BTL_STRID_SET_Kyuuban_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is anchored in place\nwith its suction cups!
BTL_STRID_SET_HedoroEki	[VAR 0102(0000)] sucked up the liquid ooze!
BTL_STRID_SET_HedoroEki_Y	The wild [VAR 0102(0000)] sucked up the liquid ooze!
BTL_STRID_SET_HedoroEki_E	The opposing [VAR 0102(0000)] sucked up the liquid ooze!
BTL_STRID_SET_HedoroEki_T	[VAR 0100(000A)]’s [VAR 0102(0000)] sucked up\nthe liquid ooze!
BTL_STRID_SET_WaruiTeguse	[VAR 0102(0000)] had its [VAR 0109(0001)] stolen!
BTL_STRID_SET_WaruiTeguse_Y	The wild [VAR 0102(0000)] had its\n[VAR 0109(0001)] stolen!
BTL_STRID_SET_WaruiTeguse_E	The opposing [VAR 0102(0000)] had its\n[VAR 0109(0001)] stolen!
BTL_STRID_SET_WaruiTeguse_T	[VAR 0100(000A)]’s [VAR 0102(0000)] had its\n[VAR 0109(0001)] stolen!
BTL_STRID_SET_IkarinoTubo	[VAR 0102(0000)] maxed its Attack!
BTL_STRID_SET_IkarinoTubo_Y	The wild [VAR 0102(0000)] maxed its Attack!
BTL_STRID_SET_IkarinoTubo_E	The opposing [VAR 0102(0000)] maxed its Attack!
BTL_STRID_SET_IkarinoTubo_T	[VAR 0100(000A)]’s [VAR 0102(0000)] maxed its Attack!
BTL_STRID_SET_NightMare	[VAR 0102(0000)] is tormented!
BTL_STRID_SET_NightMare_Y	The wild [VAR 0102(0000)] is tormented!
BTL_STRID_SET_NightMare_E	The opposing [VAR 0102(0000)] is tormented!
BTL_STRID_SET_NightMare_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is tormented!
BTL_STRID_SET_Pressure	[VAR 0102(0000)] is exerting its pressure!
BTL_STRID_SET_Pressure_Y	The wild [VAR 0102(0000)] is exerting its pressure!
BTL_STRID_SET_Pressure_E	The opposing [VAR 0102(0000)] is exerting its pressure!
BTL_STRID_SET_Pressure_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is exerting its pressure!
BTL_STRID_SET_Monohiroi	[VAR 0102(0000)] found [VAR 1305(-001)][VAR 010A(0001)]!
BTL_STRID_SET_Monohiroi_Y	The wild [VAR 0102(0000)] found\n[VAR 1305(-001)][VAR 010A(0001)]!
BTL_STRID_SET_Monohiroi_E	The opposing [VAR 0102(0000)] found\n[VAR 1305(-001)][VAR 010A(0001)]!
BTL_STRID_SET_Monohiroi_T	[VAR 0100(000A)]’s [VAR 0102(0000)] found\n[VAR 1305(-001)][VAR 010A(0001)]!
BTL_STRID_SET_Nenchaku	[VAR 0102(0000)]’s item cannot be removed!
BTL_STRID_SET_Nenchaku_Y	The wild [VAR 0102(0000)]’s item cannot be removed!
BTL_STRID_SET_Nenchaku_E	The opposing [VAR 0102(0000)]’s item cannot be removed!
BTL_STRID_SET_Nenchaku_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s item cannot\nbe removed!
BTL_STRID_SET_SlowStartON	[VAR 0102(0000)] can’t get it going!
BTL_STRID_SET_SlowStartON_Y	The wild [VAR 0102(0000)] can’t get it going!
BTL_STRID_SET_SlowStartON_E	The opposing [VAR 0102(0000)] can’t get it going!
BTL_STRID_SET_SlowStartON_T	[VAR 0100(000A)]’s [VAR 0102(0000)] can’t get it going!
BTL_STRID_SET_SlowStartOFF	[VAR 0102(0000)] finally got its act together!
BTL_STRID_SET_SlowStartOFF_Y	The wild [VAR 0102(0000)] finally got its act together!
BTL_STRID_SET_SlowStartOFF_E	The opposing [VAR 0102(0000)] finally got its act together!
BTL_STRID_SET_SlowStartOFF_T	[VAR 0100(000A)]’s [VAR 0102(0000)] finally got its\nact together!
BTL_STRID_SET_SkillSwap	[VAR 0102(0000)] swapped Abilities with its target!
BTL_STRID_SET_SkillSwap_Y	The wild [VAR 0102(0000)] swapped Abilities with its target!
BTL_STRID_SET_SkillSwap_E	The opposing [VAR 0102(0000)] swapped Abilities\nwith its target!
BTL_STRID_SET_SkillSwap_T	[VAR 0100(000A)]’s [VAR 0102(0000)] swapped Abilities with\nits target!
BTL_STRID_SET_Koraeru_Ready	[VAR 0102(0000)] braced itself!
BTL_STRID_SET_Koraeru_Ready_Y	The wild [VAR 0102(0000)] braced itself!
BTL_STRID_SET_Koraeru_Ready_E	The opposing [VAR 0102(0000)] braced itself!
BTL_STRID_SET_Koraeru_Ready_T	[VAR 0100(000A)]’s [VAR 0102(0000)] braced itself!
BTL_STRID_SET_Koraeru_Exe	[VAR 0102(0000)] endured the hit!
BTL_STRID_SET_Koraeru_Exe_Y	The wild [VAR 0102(0000)] endured the hit!
BTL_STRID_SET_Koraeru_Exe_E	The opposing [VAR 0102(0000)] endured the hit!
BTL_STRID_SET_Koraeru_Exe_T	[VAR 0100(000A)]’s [VAR 0102(0000)] endured the hit!
BTL_STRID_SET_MamoruReady	[VAR 0102(0000)] protected itself!
BTL_STRID_SET_MamoruReady_Y	The wild [VAR 0102(0000)] protected itself!
BTL_STRID_SET_MamoruReady_E	The opposing [VAR 0102(0000)] protected itself!
BTL_STRID_SET_MamoruReady_T	[VAR 0100(000A)]’s [VAR 0102(0000)] protected itself!
BTL_STRID_SET_MamoruBreak	It broke through [VAR 0102(0000)]’s protection!
BTL_STRID_SET_MamoruBreak_Y	It broke through the wild [VAR 0102(0000)]’s protection!
BTL_STRID_SET_MamoruBreak_E	It broke through the opposing\n[VAR 0102(0000)]’s protection!
BTL_STRID_SET_MamoruBreak_T	It broke through [VAR 0100(000A)]’s\n[VAR 0102(0000)]’s protection!
BTL_STRID_SET_Mamoru	[VAR 0102(0000)] protected itself!
BTL_STRID_SET_Mamoru_Y	The wild [VAR 0102(0000)] protected itself!
BTL_STRID_SET_Mamoru_E	The opposing [VAR 0102(0000)] protected itself!
BTL_STRID_SET_Mamoru_T	[VAR 0100(000A)]’s [VAR 0102(0000)] protected itself!
BTL_STRID_SET_Feint	[VAR 0102(0000)] fell for the feint!
BTL_STRID_SET_Feint_Y	The wild [VAR 0102(0000)] fell for the feint!
BTL_STRID_SET_Feint_E	The opposing [VAR 0102(0000)] fell for the feint!
BTL_STRID_SET_Feint_T	[VAR 0100(000A)]’s [VAR 0102(0000)] fell for the feint!
BTL_STRID_SET_SoraWoTobu	[VAR 0102(0000)] flew up high!
BTL_STRID_SET_SoraWoTobu_Y	The wild [VAR 0102(0000)] flew up high!
BTL_STRID_SET_SoraWoTobu_E	The opposing [VAR 0102(0000)] flew up high!
BTL_STRID_SET_SoraWoTobu_T	[VAR 0100(000A)]’s [VAR 0102(0000)] flew up high!
BTL_STRID_SET_Ikari	[VAR 0102(0000)]’s rage is building!
BTL_STRID_SET_Ikari_Y	The wild [VAR 0102(0000)]’s rage is building!
BTL_STRID_SET_Ikari_E	The opposing [VAR 0102(0000)]’s rage is building!
BTL_STRID_SET_Ikari_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s rage is building!
BTL_STRID_SET_Diving	[VAR 0102(0000)] hid underwater!
BTL_STRID_SET_Diving_Y	The wild [VAR 0102(0000)] hid underwater!
BTL_STRID_SET_Diving_E	The opposing [VAR 0102(0000)] hid underwater!
BTL_STRID_SET_Diving_T	[VAR 0100(000A)]’s [VAR 0102(0000)] hid underwater!
BTL_STRID_SET_AnaWoHoru	[VAR 0102(0000)] burrowed its way under the ground!
BTL_STRID_SET_AnaWoHoru_Y	The wild [VAR 0102(0000)] burrowed its way\nunder the ground!
BTL_STRID_SET_AnaWoHoru_E	The opposing [VAR 0102(0000)] burrowed its way\nunder the ground!
BTL_STRID_SET_AnaWoHoru_T	[VAR 0100(000A)]’s [VAR 0102(0000)] burrowed its way under\nthe ground!
BTL_STRID_SET_ShadowDive	[VAR 0102(0000)] vanished instantly!
BTL_STRID_SET_ShadowDive_Y	The wild [VAR 0102(0000)] vanished instantly!
BTL_STRID_SET_ShadowDive_E	The opposing [VAR 0102(0000)] vanished instantly!
BTL_STRID_SET_ShadowDive_T	[VAR 0100(000A)]’s [VAR 0102(0000)] vanished instantly!
BTL_STRID_SET_Tobihaneru	[VAR 0102(0000)] sprang up!
BTL_STRID_SET_Tobihaneru_Y	The wild [VAR 0102(0000)] sprang up!
BTL_STRID_SET_Tobihaneru_E	The opposing [VAR 0102(0000)] sprang up!
BTL_STRID_SET_Tobihaneru_T	[VAR 0100(000A)]’s [VAR 0102(0000)] sprang up!
BTL_STRID_SET_GodBird	[VAR 0102(0000)] became cloaked in a harsh light!
BTL_STRID_SET_GodBird_Y	The wild [VAR 0102(0000)] became cloaked in a harsh light!
BTL_STRID_SET_GodBird_E	The opposing [VAR 0102(0000)] became cloaked in\na harsh light!
BTL_STRID_SET_GodBird_T	[VAR 0100(000A)]’s [VAR 0102(0000)] became cloaked\nin a harsh light!
BTL_STRID_SET_SolarBeam	[VAR 0102(0000)] absorbed light!
BTL_STRID_SET_SolarBeam_Y	The wild [VAR 0102(0000)] absorbed light!
BTL_STRID_SET_SolarBeam_E	The opposing [VAR 0102(0000)] absorbed light!
BTL_STRID_SET_SolarBeam_T	[VAR 0100(000A)]’s [VAR 0102(0000)] absorbed light!
BTL_STRID_SET_RocketZutuki	[VAR 0102(0000)] tucked in its head!
BTL_STRID_SET_RocketZutuki_Y	The wild [VAR 0102(0000)] tucked in its head!
BTL_STRID_SET_RocketZutuki_E	The opposing [VAR 0102(0000)] tucked in its head!
BTL_STRID_SET_RocketZutuki_T	[VAR 0100(000A)]’s [VAR 0102(0000)] tucked in its head!
BTL_STRID_SET_Encore	[VAR 0102(0000)] must do an encore!
BTL_STRID_SET_Encore_Y	The wild [VAR 0102(0000)] must do an encore!
BTL_STRID_SET_Encore_E	The opposing [VAR 0102(0000)] must do an encore!
BTL_STRID_SET_Encore_T	[VAR 0100(000A)]’s [VAR 0102(0000)] must do an encore!
BTL_STRID_SET_EncoreCure	[VAR 0102(0000)]’s encore ended!
BTL_STRID_SET_EncoreCure_Y	The wild [VAR 0102(0000)]’s encore ended!
BTL_STRID_SET_EncoreCure_E	The opposing [VAR 0102(0000)]’s encore ended!
BTL_STRID_SET_EncoreCure_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s encore ended!
BTL_STRID_SET_Ieki	[VAR 0102(0000)]’s Ability was suppressed!
BTL_STRID_SET_Ieki_Y	The wild [VAR 0102(0000)]’s Ability was suppressed!
BTL_STRID_SET_Ieki_E	The opposing [VAR 0102(0000)]’s Ability was suppressed!
BTL_STRID_SET_Ieki_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s Ability was suppressed!
BTL_STRID_SET_Chouhatu	[VAR 0102(0000)] fell for the taunt!
BTL_STRID_SET_Chouhatu_Y	The wild [VAR 0102(0000)] fell for the taunt!
BTL_STRID_SET_Chouhatu_E	The opposing [VAR 0102(0000)] fell for the taunt!
BTL_STRID_SET_Chouhatu_T	[VAR 0100(000A)]’s [VAR 0102(0000)] fell for the taunt!
BTL_STRID_SET_ChouhatuWarn	[VAR 0102(0000)] can’t use [VAR 0107(0001)] after\nthe taunt!
BTL_STRID_SET_ChouhatuWarn_Y	The wild [VAR 0102(0000)] can’t use [VAR 0107(0001)]\nafter the taunt!
BTL_STRID_SET_ChouhatuWarn_E	The opposing [VAR 0102(0000)] can’t use\n[VAR 0107(0001)] after the taunt!
BTL_STRID_SET_ChouhatuWarn_T	[VAR 0100(000A)]’s [VAR 0102(0000)] can’t use\n[VAR 0107(0001)] after the taunt!
BTL_STRID_SET_ChouhatuCure	[VAR 0102(0000)] shook off the taunt!
BTL_STRID_SET_ChouhatuCure_Y	The wild [VAR 0102(0000)] shook off the taunt!
BTL_STRID_SET_ChouhatuCure_E	The opposing [VAR 0102(0000)] shook off the taunt!
BTL_STRID_SET_ChouhatuCure_T	[VAR 0100(000A)]’s [VAR 0102(0000)] shook off the taunt!
BTL_STRID_SET_Ichamon	[VAR 0102(0000)] was subjected to torment!
BTL_STRID_SET_Ichamon_Y	The wild [VAR 0102(0000)] was subjected to torment!
BTL_STRID_SET_Ichamon_E	The opposing [VAR 0102(0000)] was subjected to torment!
BTL_STRID_SET_Ichamon_T	[VAR 0100(000A)]’s [VAR 0102(0000)] was subjected\nto torment!
BTL_STRID_SET_IchamonWarn	[VAR 0102(0000)] can’t use the same move twice in a row due\nto the torment!
BTL_STRID_SET_IchamonWarn_Y	The wild [VAR 0102(0000)] can’t use the same move twice in\na row due to the torment!
BTL_STRID_SET_IchamonWarn_E	The opposing [VAR 0102(0000)] can’t use the same move\ntwice in a row due to the torment!
BTL_STRID_SET_IchamonWarn_T	[VAR 0100(000A)]’s [VAR 0102(0000)] can’t use the same\nmove twice in a row due to the torment!
BTL_STRID_SET_IchamonCure	[VAR 0102(0000)] is no longer tormented!
BTL_STRID_SET_IchamonCure_Y	The wild [VAR 0102(0000)] is no longer tormented!
BTL_STRID_SET_IchamonCure_E	The opposing [VAR 0102(0000)] is no longer tormented!
BTL_STRID_SET_IchamonCure_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is no longer tormented!
BTL_STRID_SET_Fuuin	[VAR 0102(0000)] sealed any moves its target shares with it!
BTL_STRID_SET_Fuuin_Y	The wild [VAR 0102(0000)] sealed any moves its target shares\nwith it!
BTL_STRID_SET_Fuuin_E	The opposing [VAR 0102(0000)] sealed any moves its target\nshares with it!
BTL_STRID_SET_Fuuin_T	[VAR 0100(000A)]’s [VAR 0102(0000)] sealed any moves its\ntarget shares with it!
BTL_STRID_SET_FuuinWarn	[VAR 0102(0000)] can’t use its\nsealed [VAR 0107(0001)]!
BTL_STRID_SET_FuuinWarn_Y	The wild [VAR 0102(0000)] can’t use its\nsealed [VAR 0107(0001)]!
BTL_STRID_SET_FuuinWarn_E	The opposing [VAR 0102(0000)] can’t use its\nsealed [VAR 0107(0001)]!
BTL_STRID_SET_FuuinWarn_T	[VAR 0100(000A)]’s [VAR 0102(0000)] can’t use its\nsealed [VAR 0107(0001)]!
BTL_STRID_SET_Kanasibari	[VAR 0102(0000)]’s [VAR 0107(0001)] was disabled!
BTL_STRID_SET_Kanasibari_Y	The wild [VAR 0102(0000)]’s [VAR 0107(0001)]\nwas disabled!
BTL_STRID_SET_Kanasibari_E	The opposing [VAR 0102(0000)]’s [VAR 0107(0001)]\nwas disabled!
BTL_STRID_SET_Kanasibari_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s\n[VAR 0107(0001)] was disabled!
BTL_STRID_SET_KanasibariWarn	[VAR 0102(0000)]’s [VAR 0107(0001)]\nis disabled!
BTL_STRID_SET_KanasibariWarn_Y	The wild [VAR 0102(0000)]’s [VAR 0107(0001)]\nis disabled!
BTL_STRID_SET_KanasibariWarn_E	The opposing [VAR 0102(0000)]’s [VAR 0107(0001)]\nis disabled!
BTL_STRID_SET_KanasibariWarn_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s\n[VAR 0107(0001)] is disabled!
BTL_STRID_SET_KanasibariCure	[VAR 0102(0000)]’s move is no longer disabled!
BTL_STRID_SET_KanasibariCure_Y	The wild [VAR 0102(0000)]’s move is no longer disabled!
BTL_STRID_SET_KanasibariCure_E	The opposing [VAR 0102(0000)]’s move is no\nlonger disabled!
BTL_STRID_SET_KanasibariCure_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s move is no\nlonger disabled!
BTL_STRID_SET_AquaRing	[VAR 0102(0000)] surrounded itself with a veil of water!
BTL_STRID_SET_AquaRing_Y	The wild [VAR 0102(0000)] surrounded itself with a veil\nof water!
BTL_STRID_SET_AquaRing_E	The opposing [VAR 0102(0000)] surrounded itself with a veil\nof water!
BTL_STRID_SET_AquaRing_T	[VAR 0100(000A)]’s [VAR 0102(0000)] surrounded itself with\na veil of water!
BTL_STRID_SET_AquaRingRecover	A veil of water restored [VAR 0102(0000)]’s HP!
BTL_STRID_SET_AquaRingRecover_Y	A veil of water restored the wild [VAR 0102(0000)]’s HP!
BTL_STRID_SET_AquaRingRecover_E	A veil of water restored the opposing [VAR 0102(0000)]’s HP!
BTL_STRID_SET_AquaRingRecover_T	A veil of water restored [VAR 0100(000A)]’s\n[VAR 0102(0000)]’s HP!
BTL_STRID_SET_Yadorigi	[VAR 0102(0000)] was seeded!
BTL_STRID_SET_Yadorigi_Y	The wild [VAR 0102(0000)] was seeded!
BTL_STRID_SET_Yadorigi_E	The opposing [VAR 0102(0000)] was seeded!
BTL_STRID_SET_Yadorigi_T	[VAR 0100(000A)]’s [VAR 0102(0000)] was seeded!
BTL_STRID_SET_YadorigiTurn	[VAR 0102(0000)]’s health is sapped by Leech Seed!
BTL_STRID_SET_YadorigiTurn_Y	The wild [VAR 0102(0000)]’s health is sapped by\nLeech Seed!
BTL_STRID_SET_YadorigiTurn_E	The opposing [VAR 0102(0000)]’s health is sapped by\nLeech Seed!
BTL_STRID_SET_YadorigiTurn_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s health is\nsapped by Leech Seed!
BTL_STRID_SET_Haradaiko	[VAR 0102(0000)] cut its own HP and maximized its Attack!
BTL_STRID_SET_Haradaiko_Y	The wild [VAR 0102(0000)] cut its own HP and maximized\nits Attack!
BTL_STRID_SET_Haradaiko_E	The opposing [VAR 0102(0000)] cut its own HP and\nmaximized its Attack!
BTL_STRID_SET_Haradaiko_T	[VAR 0100(000A)]’s [VAR 0102(0000)] cut its own HP and\nmaximized its Attack!
BTL_STRID_SET_KiaiPunch	[VAR 0102(0000)] is tightening its focus!
BTL_STRID_SET_KiaiPunch_Y	The wild [VAR 0102(0000)] is tightening its focus!
BTL_STRID_SET_KiaiPunch_E	The opposing [VAR 0102(0000)] is tightening its focus!
BTL_STRID_SET_KiaiPunch_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is tightening its focus!
BTL_STRID_SET_Narikiri	[VAR 0102(0000)] copied [VAR 0102(0001)]’s\n[VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_2Y	[VAR 0102(0000)] copied the wild [VAR 0102(0001)]’s\n[VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_2E	[VAR 0102(0000)] copied the opposing [VAR 0102(0001)]’s\n[VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_2T	[VAR 0102(0000)] copied [VAR 0100(000B)]’s\n[VAR 0102(0001)]’s [VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_Y	The wild [VAR 0102(0000)] copied [VAR 0102(0001)]’s\n[VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_Y2Y	The wild [VAR 0102(0000)] copied the wild\n[VAR 0102(0001)]’s [VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_E	The opposing [VAR 0102(0000)] copied [VAR 0102(0001)]’s\n[VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_E2E	The opposing [VAR 0102(0000)] copied the opposing\n[VAR 0102(0001)]’s [VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_T	[VAR 0100(000A)]’s [VAR 0102(0000)] copied\n[VAR 0102(0001)]’s [VAR 0106(0002)] Ability!
BTL_STRID_SET_Narikiri_T2T	[VAR 0100(000A)]’s [VAR 0102(0000)] copied [VAR 0100(000B)]’s\n[VAR 0102(0001)]’s [VAR 0106(0002)] Ability!
BTL_STRID_SET_MichidureReady	[VAR 0102(0000)] is hoping to take its attacker down with it!
BTL_STRID_SET_MichidureReady_Y	The wild [VAR 0102(0000)] is hoping to take its attacker\ndown with it!
BTL_STRID_SET_MichidureReady_E	The opposing [VAR 0102(0000)] is hoping to take its attacker\ndown with it!
BTL_STRID_SET_MichidureReady_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is hoping to take its\nattacker down with it!
BTL_STRID_SET_MichidureDone	[VAR 0102(0000)] took its attacker down with it!
BTL_STRID_SET_MichidureDone_Y	The wild [VAR 0102(0000)] took its attacker down with it!
BTL_STRID_SET_MichidureDone_E	The opposing [VAR 0102(0000)] took its attacker down\nwith it!
BTL_STRID_SET_MichidureDone_T	[VAR 0100(000A)]’s [VAR 0102(0000)] took its attacker down\nwith it!
BTL_STRID_SET_OnnenReady	[VAR 0102(0000)] wants its target to bear a grudge!
BTL_STRID_SET_OnnenReady_Y	The wild [VAR 0102(0000)] wants its target to bear a grudge!
BTL_STRID_SET_OnnenReady_E	The opposing [VAR 0102(0000)] wants its target to bear\na grudge!
BTL_STRID_SET_OnnenReady_T	[VAR 0100(000A)]’s [VAR 0102(0000)] wants its target to\nbear a grudge!
BTL_STRID_SET_OnnenDone	[VAR 0102(0000)]’s [VAR 0107(0001)] lost all of its PP\ndue to the grudge!
BTL_STRID_SET_OnnenDone_Y	The wild [VAR 0102(0000)]’s [VAR 0107(0001)] lost all\nof its PP due to the grudge!
BTL_STRID_SET_OnnenDone_E	The opposing [VAR 0102(0000)]’s [VAR 0107(0001)]\nlost all of its PP due to the grudge!
BTL_STRID_SET_OnnenDone_T	[VAR 0100(000A)]’s [VAR 0102(0000)]’s\n[VAR 0107(0001)] lost all of its PP due to the grudge!
BTL_STRID_SET_Nemuru	[VAR 0102(0000)] slept and became healthy!
BTL_STRID_SET_Nemuru_Y	The wild [VAR 0102(0000)] slept and became healthy!
BTL_STRID_SET_Nemuru_E	The opposing [VAR 0102(0000)] slept and became healthy!
BTL_STRID_SET_Nemuru_T	[VAR 0100(000A)]’s [VAR 0102(0000)] slept and\nbecame healthy!
BTL_STRID_SET_Urami	It reduced the PP of [VAR 0102(0000)]’s\n[VAR 0107(0001)] by [VAR 0200(0002)]!
BTL_STRID_SET_Urami_Y	It reduced the PP of the wild [VAR 0102(0000)]’s\n[VAR 0107(0001)] by [VAR 0200(0002)]!
BTL_STRID_SET_Urami_E	It reduced the PP of the opposing [VAR 0102(0000)]’s\n[VAR 0107(0001)] by [VAR 0200(0002)]!
BTL_STRID_SET_Urami_T	It reduced the PP of [VAR 0100(000A)]’s [VAR 0102(0000)]’s\n[VAR 0107(0001)] by [VAR 0200(0002)]!
BTL_STRID_SET_Hensin	[VAR 0102(0000)] transformed into [VAR 0102(0001)]!
BTL_STRID_SET_Hensin_2Y	[VAR 0102(0000)] transformed into\nthe wild [VAR 0102(0001)]!
BTL_STRID_SET_Hensin_2E	[VAR 0102(0000)] transformed into\nthe opposing [VAR 0102(0001)]!
BTL_STRID_SET_Hensin_2T	[VAR 0102(0000)] transformed into\n[VAR 0100(000B)]’s [VAR 0102(0001)]!
BTL_STRID_SET_Hensin_Y	The wild [VAR 0102(0000)] transformed\ninto [VAR 0102(0001)]!
