bag
SS_bag_000	零用錢
ATKMSG_Y_583	野生的[VAR 0101(0000)]使出了\n嬉鬧！
ATKMSG_E_583	對手的[VAR 0101(0000)]使出了\n嬉鬧！
ATKMSG_T_583	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n嬉鬧！
ATKMSG_M_584	[VAR 0101(0000)]使出了\n妖精之風！
ATKMSG_Y_584	野生的[VAR 0101(0000)]使出了\n妖精之風！
ATKMSG_E_584	對手的[VAR 0101(0000)]使出了\n妖精之風！
ATKMSG_T_584	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n妖精之風！
ATKMSG_M_585	[VAR 0101(0000)]使出了\n月亮之力！
ATKMSG_Y_585	野生的[VAR 0101(0000)]使出了\n月亮之力！
ATKMSG_E_585	對手的[VAR 0101(0000)]使出了\n月亮之力！
ATKMSG_T_585	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n月亮之力！
ATKMSG_M_586	[VAR 0101(0000)]使出了\n爆音波！
ATKMSG_Y_586	野生的[VAR 0101(0000)]使出了\n爆音波！
ATKMSG_E_586	對手的[VAR 0101(0000)]使出了\n爆音波！
ATKMSG_T_586	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n爆音波！
ATKMSG_M_589	[VAR 0101(0000)]使出了\n和睦相處！
ATKMSG_Y_589	野生的[VAR 0101(0000)]使出了\n和睦相處！
ATKMSG_E_589	對手的[VAR 0101(0000)]使出了\n和睦相處！
ATKMSG_T_589	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n和睦相處！
ATKMSG_M_590	[VAR 0101(0000)]使出了\n密語！
ATKMSG_Y_590	野生的[VAR 0101(0000)]使出了\n密語！
ATKMSG_E_590	對手的[VAR 0101(0000)]使出了\n密語！
ATKMSG_T_590	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n密語！
ATKMSG_M_595	[VAR 0101(0000)]使出了\n魔法火焰！
ATKMSG_Y_595	野生的[VAR 0101(0000)]使出了\n魔法火焰！
ATKMSG_E_595	對手的[VAR 0101(0000)]使出了\n魔法火焰！
ATKMSG_T_595	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n魔法火焰！
ATKMSG_M_596	[VAR 0101(0000)]使出了\n尖刺防守！
ATKMSG_Y_596	野生的[VAR 0101(0000)]使出了\n尖刺防守！
ATKMSG_E_596	對手的[VAR 0101(0000)]使出了\n尖刺防守！
ATKMSG_T_596	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n尖刺防守！
ATKMSG_M_597	[VAR 0101(0000)]使出了\n芳香薄霧！
ATKMSG_Y_597	野生的[VAR 0101(0000)]使出了\n芳香薄霧！
ATKMSG_E_597	對手的[VAR 0101(0000)]使出了\n芳香薄霧！
ATKMSG_T_597	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n芳香薄霧！
ATKMSG_M_598	[VAR 0101(0000)]使出了\n怪異電波！
ATKMSG_Y_598	野生的[VAR 0101(0000)]使出了\n怪異電波！
ATKMSG_E_598	對手的[VAR 0101(0000)]使出了\n怪異電波！
ATKMSG_T_598	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n怪異電波！
ATKMSG_M_599	[VAR 0101(0000)]使出了\n毒液陷阱！
ATKMSG_Y_599	野生的[VAR 0101(0000)]使出了\n毒液陷阱！
ATKMSG_E_599	對手的[VAR 0101(0000)]使出了\n毒液陷阱！
ATKMSG_T_599	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n毒液陷阱！
ATKMSG_M_602	[VAR 0101(0000)]使出了\n磁場操控！
ATKMSG_Y_602	野生的[VAR 0101(0000)]使出了\n磁場操控！
ATKMSG_E_602	對手的[VAR 0101(0000)]使出了\n磁場操控！
ATKMSG_T_602	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n磁場操控！
ATKMSG_M_604	[VAR 0101(0000)]使出了\n電氣場地！
ATKMSG_Y_604	野生的[VAR 0101(0000)]使出了\n電氣場地！
ATKMSG_E_604	對手的[VAR 0101(0000)]使出了\n電氣場地！
ATKMSG_T_604	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n電氣場地！
ATKMSG_M_605	[VAR 0101(0000)]使出了\n魔法閃耀！
ATKMSG_Y_605	野生的[VAR 0101(0000)]使出了\n魔法閃耀！
ATKMSG_E_605	對手的[VAR 0101(0000)]使出了\n魔法閃耀！
ATKMSG_T_605	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n魔法閃耀！
ATKMSG_M_608	[VAR 0101(0000)]使出了\n圓瞳！
ATKMSG_Y_608	野生的[VAR 0101(0000)]使出了\n圓瞳！
ATKMSG_E_608	對手的[VAR 0101(0000)]使出了\n圓瞳！
ATKMSG_T_608	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n圓瞳！
ATKMSG_M_609	[VAR 0101(0000)]使出了\n蹭蹭臉頰！
ATKMSG_Y_609	野生的[VAR 0101(0000)]使出了\n蹭蹭臉頰！
ATKMSG_E_609	對手的[VAR 0101(0000)]使出了\n蹭蹭臉頰！
ATKMSG_T_609	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n蹭蹭臉頰！
ATKMSG_M_611	[VAR 0101(0000)]使出了\n死纏爛打！
ATKMSG_Y_611	野生的[VAR 0101(0000)]使出了\n死纏爛打！
ATKMSG_E_611	對手的[VAR 0101(0000)]使出了\n死纏爛打！
ATKMSG_T_611	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n死纏爛打！
ATKMSG_M_612	[VAR 0101(0000)]使出了\n增強拳！
ATKMSG_Y_612	野生的[VAR 0101(0000)]使出了\n增強拳！
ATKMSG_E_612	對手的[VAR 0101(0000)]使出了\n增強拳！
ATKMSG_T_612	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n增強拳！
ATKMSG_M_618	[VAR 0101(0000)]使出了\n根源波動！
ATKMSG_Y_618	野生的[VAR 0101(0000)]使出了\n根源波動！
ATKMSG_E_618	對手的[VAR 0101(0000)]使出了\n根源波動！
ATKMSG_T_618	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n根源波動！
ATKMSG_M_619	[VAR 0101(0000)]使出了\n斷崖之劍！
ATKMSG_Y_619	野生的[VAR 0101(0000)]使出了\n斷崖之劍！
ATKMSG_E_619	對手的[VAR 0101(0000)]使出了\n斷崖之劍！
ATKMSG_T_619	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n斷崖之劍！
ATKMSG_M_620	[VAR 0101(0000)]使出了\n畫龍點睛！
ATKMSG_Y_620	野生的[VAR 0101(0000)]使出了\n畫龍點睛！
ATKMSG_E_620	對手的[VAR 0101(0000)]使出了\n畫龍點睛！
ATKMSG_T_620	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n畫龍點睛！
ATKMSG_M_667	[VAR 0101(0000)]使出了\n十萬馬力！
ATKMSG_Y_667	野生的[VAR 0101(0000)]使出了\n十萬馬力！
ATKMSG_E_667	對手的[VAR 0101(0000)]使出了\n十萬馬力！
ATKMSG_T_667	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n十萬馬力！
ATKMSG_M_668	[VAR 0101(0000)]使出了\n吸取力量！
ATKMSG_Y_668	野生的[VAR 0101(0000)]使出了\n吸取力量！
ATKMSG_E_668	對手的[VAR 0101(0000)]使出了\n吸取力量！
ATKMSG_T_668	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n吸取力量！
ATKMSG_M_670	[VAR 0101(0000)]使出了\n樹葉！
ATKMSG_Y_670	野生的[VAR 0101(0000)]使出了\n樹葉！
ATKMSG_E_670	對手的[VAR 0101(0000)]使出了\n樹葉！
ATKMSG_T_670	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n樹葉！
ATKMSG_M_673	[VAR 0101(0000)]使出了\n磨礪！
ATKMSG_Y_673	野生的[VAR 0101(0000)]使出了\n磨礪！
ATKMSG_E_673	對手的[VAR 0101(0000)]使出了\n磨礪！
ATKMSG_T_673	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n磨礪！
ATKMSG_M_675	[VAR 0101(0000)]使出了\n地獄突刺！
ATKMSG_Y_675	野生的[VAR 0101(0000)]使出了\n地獄突刺！
ATKMSG_E_675	對手的[VAR 0101(0000)]使出了\n地獄突刺！
ATKMSG_T_675	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n地獄突刺！
ATKMSG_M_679	[VAR 0101(0000)]使出了\n猛撲！
ATKMSG_Y_679	野生的[VAR 0101(0000)]使出了\n猛撲！
ATKMSG_E_679	對手的[VAR 0101(0000)]使出了\n猛撲！
ATKMSG_T_679	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n猛撲！
ATKMSG_M_682	[VAR 0101(0000)]使出了\n燃盡！
ATKMSG_Y_682	野生的[VAR 0101(0000)]使出了\n燃盡！
ATKMSG_E_682	對手的[VAR 0101(0000)]使出了\n燃盡！
ATKMSG_T_682	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n燃盡！
ATKMSG_M_684	[VAR 0101(0000)]使出了\n修長之角！
ATKMSG_Y_684	野生的[VAR 0101(0000)]使出了\n修長之角！
ATKMSG_E_684	對手的[VAR 0101(0000)]使出了\n修長之角！
ATKMSG_T_684	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n修長之角！
ATKMSG_M_694	[VAR 0101(0000)]使出了\n極光幕！
ATKMSG_Y_694	野生的[VAR 0101(0000)]使出了\n極光幕！
ATKMSG_E_694	對手的[VAR 0101(0000)]使出了\n極光幕！
ATKMSG_T_694	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n極光幕！
ATKMSG_M_707	[VAR 0101(0000)]使出了\n跺腳！
ATKMSG_Y_707	野生的[VAR 0101(0000)]使出了\n跺腳！
ATKMSG_E_707	對手的[VAR 0101(0000)]使出了\n跺腳！
ATKMSG_T_707	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n跺腳！
ATKMSG_M_710	[VAR 0101(0000)]使出了\n水流裂破！
ATKMSG_Y_710	野生的[VAR 0101(0000)]使出了\n水流裂破！
ATKMSG_E_710	對手的[VAR 0101(0000)]使出了\n水流裂破！
ATKMSG_T_710	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n水流裂破！
ATKMSG_M_715	[VAR 0101(0000)]使出了\n淚眼汪汪！
ATKMSG_Y_715	野生的[VAR 0101(0000)]使出了\n淚眼汪汪！
ATKMSG_E_715	對手的[VAR 0101(0000)]使出了\n淚眼汪汪！
ATKMSG_T_715	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n淚眼汪汪！
ATKMSG_M_776	[VAR 0101(0000)]使出了\n撲擊！
ATKMSG_Y_776	野生的[VAR 0101(0000)]使出了\n撲擊！
ATKMSG_E_776	對手的[VAR 0101(0000)]使出了\n撲擊！
ATKMSG_T_776	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n撲擊！
ATKMSG_M_791	[VAR 0101(0000)]使出了\n生命水滴！
ATKMSG_Y_791	野生的[VAR 0101(0000)]使出了\n生命水滴！
ATKMSG_E_791	對手的[VAR 0101(0000)]使出了\n生命水滴！
ATKMSG_T_791	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n生命水滴！
ATKMSG_M_672	[VAR 0101(0000)]使出了\n毒絲！
ATKMSG_Y_672	野生的[VAR 0101(0000)]使出了\n毒絲！
ATKMSG_E_672	對手的[VAR 0101(0000)]使出了\n毒絲！
ATKMSG_T_672	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n毒絲！
ATKMSG_M_692	[VAR 0101(0000)]使出了\n龍錘！
ATKMSG_Y_692	野生的[VAR 0101(0000)]使出了\n龍錘！
ATKMSG_E_692	對手的[VAR 0101(0000)]使出了\n龍錘！
ATKMSG_T_692	[VAR 0100(000A)]的[VAR 0101(0000)]使出了\n龍錘！
btl_bgm_select
btl_pokelist
msg_ui_btl_pokelist_lv	Lv.[VAR 0202(0000)]
msg_ui_btl_pokelist_pokename	[VAR 0102(0000)]
msg_ui_btl_pokelist_hp_01	/
msg_ui_btl_pokelist_hp_02	[VAR 0202(0000)]
msg_ui_btl_pokelist_hp_03	[VAR 0202(0000)]
msg_ui_btl_pokelist_help_00	確定
msg_ui_btl_pokelist_help_02	返回
msg_ui_btl_pokelist_help_03	重新選擇
msg_ui_btl_pokelist_wazaname	[VAR 0107(0000)]
msg_ui_btl_pokelist_tokusei	特性
msg_ui_btl_pokelist_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_pokelist_type	屬性
msg_ui_btl_pokelist_pp_04	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_btl_pokelist_egg	無法讓蛋出場戰鬥。
msg_ui_btl_pokelist_state_00	戰鬥中
msg_ui_btl_pokelist_state_01	可以戰鬥
msg_ui_btl_pokelist_state_02	無法戰鬥
msg_ui_btl_pokelist_state_03	同伴
msg_ui_btl_pokelist_state_04	正在等待……
msg_ui_btl_pokelist_waza_00	分類
msg_ui_btl_pokelist_waza_01	威力
msg_ui_btl_pokelist_waza_02	命中
msg_ui_btl_pokelist_waza_03	[VAR 0202(0000)]
msg_ui_btl_pokelist_waza_04	[VAR 0202(0000)]
msg_ui_btl_pokelist_waza_05	-
msg_ui_btl_pokelist_sel_00	替換寶可夢
msg_ui_btl_pokelist_sel_01	查看能力
msg_ui_btl_pokelist_sel_02	回復
msg_ui_btl_pokelist_sel_03	取消
msg_ui_btl_pokelist_error_00	[VAR 0102(0000)]已經在戰鬥了。
msg_ui_btl_pokelist_error_02	無法讓寶可夢回來！
msg_ui_btl_pokelist_error_03	[VAR 0102(0000)]已沒有精力再戰了！
msg_ui_btl_pokelist_error_04	[VAR 0102(0000)]已經被選中了。
msg_ui_btl_pokelist_sel_04	派出到左側
msg_ui_btl_pokelist_sel_05	派出到右側
msg_ui_btl_pokelist_playername	[VAR 0100(0000)]
msg_ui_btl_pokelist_kouka_00	效果絕佳
msg_ui_btl_pokelist_kouka_01	有效果
msg_ui_btl_pokelist_kouka_02	效果不好
msg_ui_btl_pokelist_kouka_03	沒有效果
btl_pokeselect
msg_ui_btl_pokeselect_top_no_00	[VAR FF00(0000)]１號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_no_01	[VAR FF00(0000)]２號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_no_02	[VAR FF00(0000)]３號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_no_03	[VAR FF00(0000)]４號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_no_04	[VAR FF00(0000)]５號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_no_05	[VAR FF00(0000)]６號[VAR FF00(0000)]
msg_ui_btl_pokeselect_top_end	完成
msg_ui_btl_pokeselect_top_count_00	[VAR 0200(0000)]
msg_ui_btl_pokeselect_top_count_01	/
msg_ui_btl_pokeselect_top_lv	Lv.[VAR 0202(0000)]
msg_ui_btl_pokeselect_top_hp_00	[VAR 0203(0000)]
msg_ui_btl_pokeselect_top_hp_01	/
msg_ui_btl_pokeselect_top_pokename	[VAR 0102(0000)]
msg_ui_btl_pokeselect_top_selecttime_00	SELECT TIME
msg_ui_btl_pokeselect_top_selecttime_01	[VAR 0201(0000)]:[VAR 0201(0001)]
msg_ui_btl_pokeselect_option_00	確定
msg_ui_btl_pokeselect_option_01	返回
msg_ui_btl_pokeselect_option_02	確認對手
msg_ui_btl_pokeselect_item_00	[VAR 0109(0000)]
msg_ui_btl_pokeselect_top_context_01	參加
msg_ui_btl_pokeselect_top_context_02	不參加
msg_ui_btl_pokeselect_top_context_03	查看能力
msg_ui_btl_pokeselect_top_context_04	退出
msg_ui_btl_pokeselect_top_context_06	最多只能讓[VAR 0200(0000)]隻寶可夢參加！
msg_ui_btl_pokeselect_top_context_07	還未選擇必須參加的寶可夢。
msg_ui_btl_pokeselect_wait_playername_00	[VAR 0100(0000)]
msg_ui_btl_pokeselect_wait_playername_01	[VAR 0100(0000)]
msg_ui_btl_pokeselect_wait_00	正在等待連線……\n請稍候片刻。
mes_pokelist_13_10	正在等待……
mes_pokelist_30_01	[VAR 0200(0000)]/[VAR 0200(0001)]
btl_set
BTL_STRID_SET_Dead	[VAR 0102(0000)]倒下了！
BTL_STRID_SET_Dead_Y	野生的[VAR 0102(0000)]倒下了！
BTL_STRID_SET_Dead_E	對手的[VAR 0102(0000)]倒下了！
BTL_STRID_SET_Dead_T	[VAR 0100(000A)]的[VAR 0102(0000)]倒下了！
BTL_STRID_SET_Relive	[VAR 0102(0000)]\n恢復了活力！
BTL_STRID_SET_Relive_Y	野生的[VAR 0102(0000)]\n恢復了活力！
BTL_STRID_SET_Relive_E	對手的[VAR 0102(0000)]\n恢復了活力！
BTL_STRID_SET_Relive_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n恢復了活力！
BTL_STRID_SET_AffGood_1	對[VAR 0102(0000)]\n效果絕佳！
BTL_STRID_SET_AffGood_1_Y	對野生的[VAR 0102(0000)]\n效果絕佳！
BTL_STRID_SET_AffGood_1_E	對對手的[VAR 0102(0000)]\n效果絕佳！
BTL_STRID_SET_AffGood_1_T	對[VAR 0100(000A)]的[VAR 0102(0000)]\n效果絕佳！
BTL_STRID_SET_AffGood_2	對[VAR 0102(0000)]和[VAR 0102(0001)]\n效果絕佳！
BTL_STRID_SET_AffGood_2_Y	對野生的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果絕佳！
BTL_STRID_SET_AffGood_2_E	對對手的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果絕佳！
BTL_STRID_SET_AffGood_2_T	對[VAR 0100(000A)]的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果絕佳！
BTL_STRID_SET_AffGood_3	對[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果絕佳！
BTL_STRID_SET_AffGood_3_Y	對野生的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果絕佳！
BTL_STRID_SET_AffGood_3_E	對對手的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果絕佳！
BTL_STRID_SET_AffGood_3_T	對[VAR 0100(000A)]的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果絕佳！
BTL_STRID_SET_AffGood_4	對[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果絕佳！
BTL_STRID_SET_AffGood_4_Y	對野生的[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果絕佳！
BTL_STRID_SET_AffGood_4_E	對對手的[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果絕佳！
BTL_STRID_SET_AffGood_4_T	對[VAR 0100(000A)]的[VAR 0102(0000)]、[VAR 0102(0001)]、\n[VAR 0102(0002)]和[VAR 0102(0003)]效果絕佳！
BTL_STRID_SET_AffBad_1	對[VAR 0102(0000)]\n效果不好。
BTL_STRID_SET_AffBad_1_Y	對野生的[VAR 0102(0000)]\n效果不好。
BTL_STRID_SET_AffBad_1_E	對對手的[VAR 0102(0000)]\n效果不好。
BTL_STRID_SET_AffBad_1_T	對[VAR 0100(000A)]的[VAR 0102(0000)]\n效果不好。
BTL_STRID_SET_AffBad_2	對[VAR 0102(0000)]和[VAR 0102(0001)]\n效果不好。
BTL_STRID_SET_AffBad_2_Y	對野生的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果不好。
BTL_STRID_SET_AffBad_2_E	對對手的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果不好。
BTL_STRID_SET_AffBad_2_T	對[VAR 0100(000A)]的[VAR 0102(0000)]和[VAR 0102(0001)]\n效果不好。
BTL_STRID_SET_AffBad_3	對[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果不好。
BTL_STRID_SET_AffBad_3_Y	對野生的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果不好。
BTL_STRID_SET_AffBad_3_E	對對手的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果不好。
BTL_STRID_SET_AffBad_3_T	對[VAR 0100(000A)]的[VAR 0102(0000)]、[VAR 0102(0001)]和\n[VAR 0102(0002)]效果不好。
BTL_STRID_SET_AffBad_4	對[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果不好。
BTL_STRID_SET_AffBad_4_Y	對野生的[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果不好。
BTL_STRID_SET_AffBad_4_E	對對手的[VAR 0102(0000)]、[VAR 0102(0001)]、[VAR 0102(0002)]和\n[VAR 0102(0003)]效果不好。
BTL_STRID_SET_AffBad_4_T	對[VAR 0100(000A)]的[VAR 0102(0000)]、[VAR 0102(0001)]、\n[VAR 0102(0002)]和[VAR 0102(0003)]效果不好。
BTL_STRID_SET_WazaFailPoke	但是，對[VAR 0102(0000)]\n沒有效果！
BTL_STRID_SET_WazaFailPoke_Y	但是，對野生的[VAR 0102(0000)]\n沒有效果！！
BTL_STRID_SET_WazaFailPoke_E	但是，對對手的[VAR 0102(0000)]\n沒有效果！！
BTL_STRID_SET_WazaFailPoke_T	但是，對[VAR 0100(000A)]的[VAR 0102(0000)]\n沒有效果！！
BTL_STRID_SET_Rankup_ATK	[VAR 0102(0000)]的\n攻擊提高了！
BTL_STRID_SET_Rankup_ATK_Y	野生的[VAR 0102(0000)]的\n攻擊提高了！
BTL_STRID_SET_Rankup_ATK_E	對手的[VAR 0102(0000)]的\n攻擊提高了！
BTL_STRID_SET_Rankup_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n攻擊提高了！
BTL_STRID_SET_Rankup_DEF	[VAR 0102(0000)]的\n防禦提高了！
BTL_STRID_SET_Rankup_DEF_Y	野生的[VAR 0102(0000)]的\n防禦提高了！
BTL_STRID_SET_Rankup_DEF_E	對手的[VAR 0102(0000)]的\n防禦提高了！
BTL_STRID_SET_Rankup_DEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n防禦提高了！
BTL_STRID_SET_Rankup_SPATK	[VAR 0102(0000)]的\n特攻提高了！
BTL_STRID_SET_Rankup_SPATK_Y	野生的[VAR 0102(0000)]的\n特攻提高了！
BTL_STRID_SET_Rankup_SPATK_E	對手的[VAR 0102(0000)]的\n特攻提高了！
BTL_STRID_SET_Rankup_SPATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n特攻提高了！
BTL_STRID_SET_Rankup_SPDEF	[VAR 0102(0000)]的\n特防提高了！
BTL_STRID_SET_Rankup_SPDEF_Y	野生的[VAR 0102(0000)]的\n特防提高了！
BTL_STRID_SET_Rankup_SPDEF_E	對手的[VAR 0102(0000)]的\n特防提高了！
BTL_STRID_SET_Rankup_SPDEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n特防提高了！
BTL_STRID_SET_Rankup_AGI	[VAR 0102(0000)]的\n速度提高了！
BTL_STRID_SET_Rankup_AGI_Y	野生的[VAR 0102(0000)]的\n速度提高了！
BTL_STRID_SET_Rankup_AGI_E	對手的[VAR 0102(0000)]的\n速度提高了！
BTL_STRID_SET_Rankup_AGI_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n速度提高了！
BTL_STRID_SET_Rankup_HIT	[VAR 0102(0000)]的\n命中率提高了！
BTL_STRID_SET_Rankup_HIT_Y	野生的[VAR 0102(0000)]的\n命中率提高了！
BTL_STRID_SET_Rankup_HIT_E	對手的[VAR 0102(0000)]的\n命中率提高了！
BTL_STRID_SET_Rankup_HIT_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n命中率提高了！
BTL_STRID_SET_Rankup_AVOID	[VAR 0102(0000)]的\n閃避率提高了！
BTL_STRID_SET_Rankup_AVOID_Y	野生的[VAR 0102(0000)]的\n閃避率提高了！
BTL_STRID_SET_Rankup_AVOID_E	對手的[VAR 0102(0000)]的\n閃避率提高了！
BTL_STRID_SET_Rankup_AVOID_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n閃避率提高了！
BTL_STRID_SET_RankupLv2_ATK	[VAR 0102(0000)]的\n攻擊大幅提高了！
BTL_STRID_SET_RankupLv2_ATK_Y	野生的[VAR 0102(0000)]的\n攻擊大幅提高了！
BTL_STRID_SET_RankupLv2_ATK_E	對手的[VAR 0102(0000)]的\n攻擊大幅提高了！
BTL_STRID_SET_RankupLv2_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n攻擊大幅提高了！
BTL_STRID_SET_RankupLv2_DEF	[VAR 0102(0000)]的\n防禦大幅提高了！
BTL_STRID_SET_RankupLv2_DEF_Y	野生的[VAR 0102(0000)]的\n防禦大幅提高了！
BTL_STRID_SET_RankupLv2_DEF_E	對手的[VAR 0102(0000)]的\n防禦大幅提高了！
BTL_STRID_SET_RankupLv2_DEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n防禦大幅提高了！
BTL_STRID_SET_RankupLv2_SPATK	[VAR 0102(0000)]的\n特攻大幅提高了！
BTL_STRID_SET_RankupLv2_SPATK_Y	野生的[VAR 0102(0000)]的\n特攻大幅提高了！
BTL_STRID_SET_RankupLv2_SPATK_E	對手的[VAR 0102(0000)]的\n特攻大幅提高了！
BTL_STRID_SET_RankupLv2_SPATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n特攻大幅提高了！
BTL_STRID_SET_RankupLv2_SPDEF	[VAR 0102(0000)]的\n特防大幅提高了！
BTL_STRID_SET_RankupLv2_SPDEF_Y	野生的[VAR 0102(0000)]的\n特防大幅提高了！
BTL_STRID_SET_RankupLv2_SPDEF_E	對手的[VAR 0102(0000)]的\n特防大幅提高了！
BTL_STRID_SET_RankupLv2_SPDEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n特防大幅提高了！
BTL_STRID_SET_RankupLv2_AGI	[VAR 0102(0000)]的\n速度大幅提高了！
BTL_STRID_SET_RankupLv2_AGI_Y	野生的[VAR 0102(0000)]的\n速度大幅提高了！
BTL_STRID_SET_RankupLv2_AGI_E	對手的[VAR 0102(0000)]的\n速度大幅提高了！
BTL_STRID_SET_RankupLv2_AGI_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n速度大幅提高了！
BTL_STRID_SET_RankupLv2_HIT	[VAR 0102(0000)]的\n命中率大幅提高了！
BTL_STRID_SET_RankupLv2_HIT_Y	野生的[VAR 0102(0000)]的\n命中率大幅提高了！
BTL_STRID_SET_RankupLv2_HIT_E	對手的[VAR 0102(0000)]的\n命中率大幅提高了！
BTL_STRID_SET_RankupLv2_HIT_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n命中率大幅提高了！
BTL_STRID_SET_RankupLv2_AVOID	[VAR 0102(0000)]的\n閃避率大幅提高了！
BTL_STRID_SET_RankupLv2_AVOID_Y	野生的[VAR 0102(0000)]的\n閃避率大幅提高了！
BTL_STRID_SET_RankupLv2_AVOID_E	對手的[VAR 0102(0000)]的\n閃避率大幅提高了！
BTL_STRID_SET_RankupLv2_AVOID_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n閃避率大幅提高了！
BTL_STRID_SET_RankupLv3_ATK	[VAR 0102(0000)]的\n攻擊極大幅提高了！
BTL_STRID_SET_RankupLv3_ATK_Y	野生的[VAR 0102(0000)]的\n攻擊極大幅提高了！
BTL_STRID_SET_RankupLv3_ATK_E	對手的[VAR 0102(0000)]的\n攻擊極大幅提高了！
BTL_STRID_SET_RankupLv3_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n攻擊極大幅提高了！
BTL_STRID_SET_RankupLv3_DEF	[VAR 0102(0000)]的\n防禦極大幅提高了！
