bag
SS_bag_000	零花钱
BTL_STRID_SET_KaifukuFuji	[VAR 0102(0000)]的\n回复行为被封住了！
BTL_STRID_SET_KaifukuFuji_Y	野生的[VAR 0102(0000)]的\n回复行为被封住了！
BTL_STRID_SET_KaifukuFuji_E	对手的[VAR 0102(0000)]的\n回复行为被封住了！
BTL_STRID_SET_KaifukuFuji_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n回复行为被封住了！
BTL_STRID_SET_KaifukuFujiCure	[VAR 0102(0000)]的\n回复封锁的效果消失了！
BTL_STRID_SET_KaifukuFujiCure_Y	野生的[VAR 0102(0000)]的\n回复封锁的效果消失了！
BTL_STRID_SET_KaifukuFujiCure_E	对手的[VAR 0102(0000)]的\n回复封锁的效果消失了！
BTL_STRID_SET_KaifukuFujiCure_T	[VAR 0100(000A)]的[VAR 0102(0000)]的\n回复封锁的效果消失了！
BTL_STRID_SET_KaifukuFujiExe	[VAR 0102(0000)]\n因回复封锁而无法回复！
BTL_STRID_SET_KaifukuFujiExe_Y	野生的[VAR 0102(0000)]\n因回复封锁而无法回复！
BTL_STRID_SET_KaifukuFujiExe_E	对手的[VAR 0102(0000)]\n因回复封锁而无法回复！
BTL_STRID_SET_KaifukuFujiExe_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n因回复封锁而无法回复！
BTL_STRID_SET_KaifukuFujiWarn	[VAR 0102(0000)]因回复封锁\n而无法使出[VAR 0107(0001)]！
BTL_STRID_SET_KaifukuFujiWarn_Y	野生的[VAR 0102(0000)]因回复封锁\n而无法使出[VAR 0107(0001)]！
BTL_STRID_SET_KaifukuFujiWarn_E	对手的[VAR 0102(0000)]因回复封锁\n而无法使出[VAR 0107(0001)]！
BTL_STRID_SET_KaifukuFujiWarn_T	[VAR 0100(000A)]的[VAR 0102(0000)]因回复封锁\n而无法使出[VAR 0107(0001)]！
BTL_STRID_SET_HPFull	但是，[VAR 0102(0000)]的\n体力是全满的！
BTL_STRID_SET_HPFull_Y	但是，野生的[VAR 0102(0000)]的\n体力是全满的！
BTL_STRID_SET_HPFull_E	但是，对手的[VAR 0102(0000)]的\n体力是全满的！
BTL_STRID_SET_HPFull_T	但是，[VAR 0100(000A)]的[VAR 0102(0000)]的\n体力是全满的！
BTL_STRID_SET_ChangePokeType	[VAR 0102(0000)]\n变成了[VAR 0103(0001)]属性！
BTL_STRID_SET_ChangePokeType_Y	野生的[VAR 0102(0000)]\n变成了[VAR 0103(0001)]属性！
BTL_STRID_SET_ChangePokeType_E	对手的[VAR 0102(0000)]\n变成了[VAR 0103(0001)]属性！
BTL_STRID_SET_ChangePokeType_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n变成了[VAR 0103(0001)]属性！
BTL_STRID_SET_ExPokeType	[VAR 0102(0000)]\n增加了[VAR 0103(0001)]属性！
BTL_STRID_SET_ExPokeType_Y	野生的[VAR 0102(0000)]\n增加了[VAR 0103(0001)]属性！
BTL_STRID_SET_ExPokeType_E	对手的[VAR 0102(0000)]\n增加了[VAR 0103(0001)]属性！
BTL_STRID_SET_ExPokeType_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n增加了[VAR 0103(0001)]属性！
BTL_STRID_SET_Drain	从[VAR 0102(0000)]那里\n吸取了体力！
BTL_STRID_SET_Drain_Y	从野生的[VAR 0102(0000)]那里\n吸取了体力！
BTL_STRID_SET_Drain_E	从对手的[VAR 0102(0000)]那里\n吸取了体力！
BTL_STRID_SET_Drain_T	从[VAR 0100(000A)]的[VAR 0102(0000)]那里\n吸取了体力！
BTL_STRID_SET_HazureJibaku	[VAR 0102(0000)]因势头过猛\n而撞到了地面！
BTL_STRID_SET_HazureJibaku_Y	野生的[VAR 0102(0000)]因势头过猛\n而撞到了地面！
BTL_STRID_SET_HazureJibaku_E	对手的[VAR 0102(0000)]因势头过猛\n而撞到了地面！
BTL_STRID_SET_HazureJibaku_T	[VAR 0100(000A)]的[VAR 0102(0000)]因势头过猛\n而撞到了地面！
BTL_STRID_SET_WazaCantUse	[VAR 0102(0000)]\n无法使用[VAR 0107(0001)]！
BTL_STRID_SET_WazaCantUse_Y	野生的[VAR 0102(0000)]\n无法使用[VAR 0107(0001)]！
BTL_STRID_SET_WazaCantUse_E	对手的[VAR 0102(0000)]\n无法使用[VAR 0107(0001)]！
BTL_STRID_SET_WazaCantUse_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n无法使用[VAR 0107(0001)]！
BTL_STRID_SET_UseItem_RecoverHP	[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了体力！
BTL_STRID_SET_UseItem_RecoverHP_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了体力！
BTL_STRID_SET_UseItem_RecoverHP_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了体力！
BTL_STRID_SET_UseItem_RecoverHP_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了体力！
BTL_STRID_SET_UseItem_RecoverPP	[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了[VAR 0107(0002)]的ＰＰ！
BTL_STRID_SET_UseItem_RecoverPP_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了[VAR 0107(0002)]的ＰＰ！
BTL_STRID_SET_UseItem_RecoverPP_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了[VAR 0107(0002)]的ＰＰ！
BTL_STRID_SET_UseItem_RecoverPP_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了[VAR 0107(0002)]的ＰＰ！
BTL_STRID_SET_UseItem_RecoverLittle	[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了少许HP。
BTL_STRID_SET_UseItem_RecoverLittle_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了少许HP。
BTL_STRID_SET_UseItem_RecoverLittle_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了少许HP。
BTL_STRID_SET_UseItem_RecoverLittle_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n回复了少许HP。
BTL_STRID_SET_UseItem_CureDoku	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了中毒！
BTL_STRID_SET_UseItem_CureDoku_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了中毒！
BTL_STRID_SET_UseItem_CureDoku_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了中毒！
BTL_STRID_SET_UseItem_CureDoku_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了中毒！
BTL_STRID_SET_UseItem_CureMahi	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了麻痹！
BTL_STRID_SET_UseItem_CureMahi_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了麻痹！
BTL_STRID_SET_UseItem_CureMahi_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了麻痹！
BTL_STRID_SET_UseItem_CureMahi_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了麻痹！
BTL_STRID_SET_UseItem_CureNemuri	[VAR 0102(0000)]用[VAR 0109(0001)]\n让自己醒过来了！
BTL_STRID_SET_UseItem_CureNemuri_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n让自己醒过来了！
BTL_STRID_SET_UseItem_CureNemuri_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n让自己醒过来了！
BTL_STRID_SET_UseItem_CureNemuri_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n让自己醒过来了！
BTL_STRID_SET_UseItem_CureKoori	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了冰冻状态！
BTL_STRID_SET_UseItem_CureKoori_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了冰冻状态！
BTL_STRID_SET_UseItem_CureKoori_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了冰冻状态！
BTL_STRID_SET_UseItem_CureKoori_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了冰冻状态！
BTL_STRID_SET_UseItem_CureYakedo	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了灼伤！
BTL_STRID_SET_UseItem_CureYakedo_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了灼伤！
BTL_STRID_SET_UseItem_CureYakedo_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了灼伤！
BTL_STRID_SET_UseItem_CureYakedo_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了灼伤！
BTL_STRID_SET_UseItem_CureKonran	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了混乱！
BTL_STRID_SET_UseItem_CureKonran_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了混乱！
BTL_STRID_SET_UseItem_CureKonran_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了混乱！
BTL_STRID_SET_UseItem_CureKonran_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了混乱！
BTL_STRID_SET_UseItem_CureMero	[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了着迷状态！
BTL_STRID_SET_UseItem_CureMero_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了着迷状态！
BTL_STRID_SET_UseItem_CureMero_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了着迷状态！
BTL_STRID_SET_UseItem_CureMero_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n治愈了着迷状态！
BTL_STRID_SET_UseItem_Rankup_ATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了攻击！
BTL_STRID_SET_UseItem_Rankup_ATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了攻击！
BTL_STRID_SET_UseItem_Rankup_ATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了攻击！
BTL_STRID_SET_UseItem_Rankup_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了攻击！
BTL_STRID_SET_UseItem_Rankup_DEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了防御！
BTL_STRID_SET_UseItem_Rankup_DEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了防御！
BTL_STRID_SET_UseItem_Rankup_DEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了防御！
BTL_STRID_SET_UseItem_Rankup_DEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了防御！
BTL_STRID_SET_UseItem_Rankup_SPATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特攻！
BTL_STRID_SET_UseItem_Rankup_SPATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特攻！
BTL_STRID_SET_UseItem_Rankup_SPATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特攻！
BTL_STRID_SET_UseItem_Rankup_SPATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特攻！
BTL_STRID_SET_UseItem_Rankup_SPDEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特防！
BTL_STRID_SET_UseItem_Rankup_SPDEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特防！
BTL_STRID_SET_UseItem_Rankup_SPDEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特防！
BTL_STRID_SET_UseItem_Rankup_SPDEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了特防！
BTL_STRID_SET_UseItem_Rankup_AGI	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了速度！
BTL_STRID_SET_UseItem_Rankup_AGI_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了速度！
BTL_STRID_SET_UseItem_Rankup_AGI_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了速度！
BTL_STRID_SET_UseItem_Rankup_AGI_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了速度！
BTL_STRID_SET_UseItem_Rankup_HIT	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了命中率！
BTL_STRID_SET_UseItem_Rankup_HIT_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了命中率！
BTL_STRID_SET_UseItem_Rankup_HIT_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了命中率！
BTL_STRID_SET_UseItem_Rankup_HIT_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了命中率！
BTL_STRID_SET_UseItem_Rankup_AVOID	[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了闪避率！
BTL_STRID_SET_UseItem_Rankup_AVOID_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了闪避率！
BTL_STRID_SET_UseItem_Rankup_AVOID_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了闪避率！
BTL_STRID_SET_UseItem_Rankup_AVOID_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx_ATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx_ATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx_ATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx_DEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx_DEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx_DEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx_DEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx_SPATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx_SPATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx_SPATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx_SPATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx_SPDEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx_SPDEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx_SPDEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx_SPDEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx_AGI	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx_AGI_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx_AGI_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx_AGI_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx_HIT	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx_HIT_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx_HIT_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx_HIT_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx_AVOID	[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx_AVOID_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx_AVOID_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx_AVOID_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n大幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx2_ATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx2_ATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx2_ATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx2_ATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了攻击！
BTL_STRID_SET_UseItem_RankupEx2_DEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx2_DEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx2_DEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx2_DEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了防御！
BTL_STRID_SET_UseItem_RankupEx2_SPATK	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx2_SPATK_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx2_SPATK_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx2_SPATK_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特攻！
BTL_STRID_SET_UseItem_RankupEx2_SPDEF	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx2_SPDEF_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx2_SPDEF_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx2_SPDEF_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了特防！
BTL_STRID_SET_UseItem_RankupEx2_AGI	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx2_AGI_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx2_AGI_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx2_AGI_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了速度！
BTL_STRID_SET_UseItem_RankupEx2_HIT	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx2_HIT_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx2_HIT_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx2_HIT_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了命中率！
BTL_STRID_SET_UseItem_RankupEx2_AVOID	[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx2_AVOID_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx2_AVOID_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了闪避率！
BTL_STRID_SET_UseItem_RankupEx2_AVOID_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n巨幅提高了闪避率！
BTL_STRID_SET_UseItem_Rankup_Critical	[VAR 0102(0000)]\n使用了[VAR 0109(0001)]，拿出了干劲！
BTL_STRID_SET_UseItem_Rankup_Critical_Y	野生的[VAR 0102(0000)]\n使用了[VAR 0109(0001)]，拿出了干劲！
BTL_STRID_SET_UseItem_Rankup_Critical_E	对手的[VAR 0102(0000)]\n使用了[VAR 0109(0001)]，拿出了干劲！
BTL_STRID_SET_UseItem_Rankup_Critical_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n使用了[VAR 0109(0001)]，拿出了干劲！
BTL_STRID_SET_UseItem_Kemuridama	[VAR 0102(0000)]\n使用其所携带的[VAR 0109(0001)]逃走了！
BTL_STRID_SET_UseItem_Kemuridama_Y	野生的[VAR 0102(0000)]\n使用其所携带的[VAR 0109(0001)]逃走了！
BTL_STRID_SET_UseItem_Kemuridama_E	对手的[VAR 0102(0000)]\n使用其所携带的[VAR 0109(0001)]逃走了！
BTL_STRID_SET_UseItem_Kemuridama_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n使用其所携带的[VAR 0109(0001)]逃走了！
BTL_STRID_SET_KoraeItem	[VAR 0102(0000)]\n用[VAR 0109(0001)]撑住了！
BTL_STRID_SET_KoraeItem_Y	野生的[VAR 0102(0000)]\n用[VAR 0109(0001)]撑住了！
BTL_STRID_SET_KoraeItem_E	对手的[VAR 0102(0000)]\n用[VAR 0109(0001)]撑住了！
BTL_STRID_SET_KoraeItem_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n用[VAR 0109(0001)]撑住了！
BTL_STRID_SET_RankRecoverItem	[VAR 0102(0000)]用[VAR 0109(0001)]\n复原了能力！
BTL_STRID_SET_RankRecoverItem_Y	野生的[VAR 0102(0000)]用[VAR 0109(0001)]\n复原了能力！
BTL_STRID_SET_RankRecoverItem_E	对手的[VAR 0102(0000)]用[VAR 0109(0001)]\n复原了能力！
BTL_STRID_SET_RankRecoverItem_T	[VAR 0100(000A)]的[VAR 0102(0000)]用[VAR 0109(0001)]\n复原了能力！
BTL_STRID_SET_InochiNoTama	[VAR 0102(0000)]的生命\n被少量削减了！
BTL_STRID_SET_InochiNoTama_Y	野生的[VAR 0102(0000)]的生命\n被少量削减了！
BTL_STRID_SET_InochiNoTama_E	对手的[VAR 0102(0000)]的生命\n被少量削减了！
BTL_STRID_SET_InochiNoTama_T	[VAR 0100(000A)]的[VAR 0102(0000)]的生命\n被少量削减了！
BTL_STRID_SET_PokeNotExist	……但是，[VAR 0102(0000)]\n不在这里！
BTL_STRID_SET_PokeNotExist_Y	……但是，野生的[VAR 0102(0000)]\n不在这里！
BTL_STRID_SET_PokeNotExist_E	……但是，对手的[VAR 0102(0000)]\n不在这里！
BTL_STRID_SET_PokeNotExist_T	……但是，[VAR 0100(000A)]的[VAR 0102(0000)]\n不在这里！
BTL_STRID_SET_PokeHaveNotItem	……但是，[VAR 0102(0000)]\n没有携带可使用的道具！
BTL_STRID_SET_PokeHaveNotItem_Y	……但是，野生的[VAR 0102(0000)]\n没有携带可使用的道具！
BTL_STRID_SET_PokeHaveNotItem_E	……但是，对手的[VAR 0102(0000)]\n没有携带可使用的道具！
BTL_STRID_SET_PokeHaveNotItem_T	……但是，[VAR 0100(000A)]的[VAR 0102(0000)]\n没有携带可使用的道具！
BTL_STRID_SET_UseItem_TameSkip	[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n充满了力量！
BTL_STRID_SET_UseItem_TameSkip_Y	野生的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n充满了力量！
BTL_STRID_SET_UseItem_TameSkip_E	对手的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n充满了力量！
BTL_STRID_SET_UseItem_TameSkip_T	[VAR 0100(000A)]的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n充满了力量！
BTL_STRID_SET_UseItem_PriorityUpOnce	[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n行动变快了！
BTL_STRID_SET_UseItem_PriorityUpOnce_Y	野生的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n行动变快了！
BTL_STRID_SET_UseItem_PriorityUpOnce_E	对手的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n行动变快了！
BTL_STRID_SET_UseItem_PriorityUpOnce_T	[VAR 0100(000A)]的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n行动变快了！
BTL_STRID_SET_UseItem_HitRatioUpOnce	[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n下次使出的招式更容易击中对手了！
BTL_STRID_SET_UseItem_HitRatioUpOnce_Y	野生的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n下次使出的招式更容易击中对手了！
BTL_STRID_SET_UseItem_HitRatioUpOnce_E	对手的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n下次使出的招式更容易击中对手了！
BTL_STRID_SET_UseItem_HitRatioUpOnce_T	[VAR 0100(000A)]的[VAR 0102(0000)]用了[VAR 0109(0001)]后，\n下次使出的招式更容易击中对手了！
BTL_STRID_SET_UseItem_DamageOpponent	[VAR 0102(0000)]\n因[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_2Y	[VAR 0102(0000)]\n因野生的[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_2E	[VAR 0102(0000)]\n因对手的[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_2T	[VAR 0102(0000)]因[VAR 0100(000B)]的\n[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_Y	野生的[VAR 0102(0000)]\n因[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_Y2Y	野生的[VAR 0102(0000)]\n因野生的[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
BTL_STRID_SET_UseItem_DamageOpponent_E	对手的[VAR 0102(0000)]\n因[VAR 0102(0001)]的[VAR 0109(0002)]\r\n而受到了伤害！
