msg_bgm+zh_tw.msbt
bgm_arrange	改編
mel_sp_various_help_camera_fix	畫面不會縮放也不會移動！
mel_sp_various_help_camera_down	以稍微俯視的視角進行戰鬥。
mel_sp_various_caption_1c	{[0102|00cd]}{[0102|01cd]}{[0102|02cd]}{[0102|03cd]}{[0102|04cd]}{[0102|05cd]}{[0102|06cd]}亂鬥
mel_sp_various_cmn_0c	普通
mel_sp_various_size_0_1c	巨大
mel_sp_various_size_0_2c	巨大
mel_sp_various_size_1_1c	小型
mel_sp_various_size_1_2c	小型
mel_sp_various_head_0_1c	花
mel_sp_various_head_0_2c	花
mel_sp_various_head_1_1c	兔耳
mel_sp_various_head_1_2c	兔耳
mel_sp_various_equip_0_1c	金屬
mel_sp_various_equip_0_2c	金屬
mel_sp_various_equip_1_1c	透明
mel_sp_various_equip_1_2c	透明
mel_sp_various_equip_2_1c	尾巴
mel_sp_various_equip_2_2c	尾巴
mel_sp_various_equip_3_1c	Rocket Belt 
mel_sp_various_equip_3_2c	Rocket Belt 
mel_sp_various_equip_4_1c	旋轉
mel_sp_various_equip_4_2c	旋轉
mel_sp_various_equip_5_1c	Back-Shield 
mel_sp_various_equip_5_2c	Back-Shield 
mel_sp_various_state_0_1c	咖哩
mel_sp_various_state_0_2c	咖哩
mel_sp_various_state_1_1c	反射
mel_sp_various_state_1_2c	反射
mel_sp_various_weight_0_1c	輕盈
mel_sp_various_weight_0_2c	輕盈
mel_sp_various_weight_1_1c	沉重
mel_sp_various_weight_1_2c	沉重
mel_sp_various_speed_0_1c	緩慢
mel_sp_various_speed_0_2c	緩慢
mel_sp_various_speed_1_1c	快速
mel_sp_various_speed_1_2c	快速
mel_sp_various_camera_0_1c	固定畫面
mel_sp_various_camera_0_2c	固定畫面
mel_sp_various_camera_1_1c	俯視畫面
mel_sp_various_camera_1_2c	俯視畫面
mel_sp_various_size_0_3c	巨大
mel_sp_various_size_1_3c	小型
mel_sp_various_head_0_3c	花
mel_sp_various_head_1_3c	兔耳
mel_sp_various_equip_0_3c	金屬
mel_sp_various_equip_1_3c	透明
mel_sp_various_equip_2_3c	尾巴
mel_sp_various_equip_3_3c	Rocket Belt 
mel_sp_various_equip_4_3c	旋轉
mel_sp_various_equip_5_3c	Back-Shield 
mel_sp_various_state_0_3c	咖哩
mel_sp_various_state_1_3c	反射
mel_sp_various_weight_0_3c	輕盈
mel_sp_various_weight_1_3c	沉重
mel_sp_various_speed_0_3c	緩慢
mel_sp_various_speed_1_3c	快速
mel_sp_various_camera_0_3c	固定畫面
mel_sp_various_camera_1_3c	俯視畫面
mel_tournament_title_default	大亂鬥特別盃淘汰賽
mel_tournament_guest_n	訪客 {[0100|000200cd]}
mel_tournament_cp_n	CP {[0100|000200cd]}
mel_tournament_keyboard_tourn_nam	請輸入淘汰賽名稱。
mel_tournament_keyboard_tourn_letters_n	可以輸入{[0100|000000cd]}個字。
mel_tournament_amiibo_reading_help	這是用FP參加的淘汰賽。\r\n請將要出場的amiibo點觸NFC範圍。
mel_tournament_amiibo_reading_help_team	這是與FP組搭檔參加的淘汰賽。\r\n請將搭檔amiibo點觸NFC範圍。
mel_tournament_member_title	設定參加人數
mel_tournament_member_player_num	合計參加者
mel_tournament_member_player_num_n	{[0100|000000cd]}
mel_tournament_member_cp_num	CP數
mel_tournament_member_cp_num_n	{[0100|000000cd]}
mel_tournament_member_sum_00	合計
mel_tournament_member_sum_01	人
mel_tournament_member_sum_n	{[0100|000000cd]}
mel_tournament_member_help_player_num	請輸入包括CP在內的合計人數（4～32人）
mel_tournament_member_help_cp_num	請輸入CP的參加人數
mel_tournament_member_ok_guide	{[0105|0e00]}
mel_tournament_member_ok	OK
mel_tournament_type_title	選擇淘汰賽賽程表
mel_tournament_type_select_a	A
mel_tournament_type_select_b	B
mel_tournament_type_select_c	C
mel_tournament_type_select_d	D
mel_tournament_type_active	{[0102|00cd]}
mel_tournament_type_pattern_2	{[0100|000000cd]} - {[0100|010000cd]}
mel_tournament_type_pattern_3	{[0100|000000cd]} - {[0100|010000cd]} - {[0100|020000cd]}
mel_tournament_type_pattern_4	{[0100|000000cd]} - {[0100|010000cd]} - {[0100|020000cd]} - {[0100|030000cd]}
mel_tournament_type_pattern_5	{[0100|000000cd]} - {[0100|010000cd]} - {[0100|020000cd]} - {[0100|030000cd]} - {[0100|040000cd]}
mel_tournament_type_active_txt_04	總比賽數：{[0100|000000cd]}
mel_tournament_type_help_select	請選擇淘汰賽的形式
mel_tournament_confirm_title	{[0101|00cd]}
mel_tournament_confirm_rule	{[0100|000000cd]}人 / {[0101|01cd]}
mel_tournament_confirm_title_edit_btn	編輯標題
mel_tournament_confirm_rule_edit_btn	規則
mel_tournament_confirm_shuffle_btn	刷新組合
mel_tournament_confirm_ok_guide	{[0105|0e00]}
mel_tournament_confirm_ok	準備完畢
mel_tournament_standby_title	{[0101|00cd]}
mel_tournament_standby_rule	{[0100|000000cd]}人 / {[0101|01cd]}
mel_tournament_standby_date	{[0103|0004]}
mel_tournament_standby_start	{[0105|0e00]}開始
mel_tournament_chart_round_title	第{[0100|000000cd]}回合
mel_tournament_chart_round_title_final	決賽
mel_tournament_chart_round_title_semifinal	準決賽
mel_tournament_chart_start_guide	{[0105|0600]}
mel_tournament_chart_start	開始
mel_tournament_chart_exit_guide	{[0105|0e00]}
mel_tournament_chart_exit	結束
mel_tournament_chart_title	{[0101|00cd]}
mel_tournament_chart_rule	{[0100|000000cd]}人 / {[0101|01cd]}
mel_tournament_chart_round	第{[0100|000000cd]}回合{color[aaaaaaff]} 第{[0100|010000cd]}場比賽{color[000000ff]}
mel_tournament_chart_round_semifinal	準決賽 {color[aaaaaaff]}第{[0100|000000cd]}場比賽{color[000000ff]}
mel_tournament_chart_round_final	決賽
mel_tournament_chart_final_result	最後結果
mel_tournament_chart_next	NEXT
mel_tournament_chart_result_nam	{[0101|00cd]}
mel_tournament_chart_result_win	WIN
mel_tournament_chart_result_champ	CHAMPION
mel_tournament_chart_result_final_01	冠軍!!
mel_tournament_chart_result_final_02	亞軍
mel_tournament_chart_result_final_03	季軍
mel_tournament_chart_result_final_04	殿軍
mel_tournament_chart_result_best8	BEST 8
mel_tournament_chart_result_best16	BEST 16
mel_tournament_chart_result_date	{[0103|0000]}
mel_tournament_chart_absence	缺賽
mel_tournament_chart_continue_guide	{[0105|0e00]}
mel_tournament_chart_continue	下一場比賽
mel_tournament_chart_end_guide	{[0105|0700]}
mel_tournament_chart_end	結束
mel_tournament_chart_online_wait	其他人的比賽結束前請稍待片刻
mel_tournament_chart_replay_guide	{[0105|0600]}
mel_tournament_chart_replay	播放重播
mel_tournament_match_cp	CP
mel_tournament_match_fp	FP
mel_sp_allbattle_continue_guide	{[0105|0e00]}
mel_sp_allbattle_continue	繼續遊玩
mel_sp_allbattle_end_guide	{[0105|0700]}
mel_sp_allbattle_end	結束
mel_sp_allbattle_nam	{[0101|00cd]}
mel_sp_allbattle_player_n	玩家{[0100|000000cd]}
mel_sp_allbattle_computer_n	電腦{[0100|000000cd]}
mel_sp_allbattle_winner	WINNER
mel_sp_allbattle_fighter_name	{[0102|00cd]}
mel_sp_allbattle_draw	DRAW
mel_standard_world_pw	世界戰鬥力
mel_standard_world_pw_n	{[0100|000000cd]}
mel_standard_world_pw_team_n	{[0100|000000cd]}
mel_standard_score	得分
mel_standard_score_n	{[0100|000000cd]}
mel_kumite_opponent	×{[0100|000000cd]}
mel_kumite_world_pw	世界戰鬥力
mel_kumite_world_pw_score	{[0100|000000cd]}
mel_kumite_result	RESULT
mel_kumite_high_score	最高記錄
mel_kumite_high_score_team	隊伍最高記錄
mel_kumite_high_score_no1	No.1最高記錄
mel_kumite_defeated_score	贏了{[0100|000000cd]}人
mel_kumite_clear_time	{[0104|0003]}.{[0100|010200cd]}
mel_kumite_retry_btn	{[0105|0800]}
mel_kumite_retry	重來
mel_kumite_back_btn	{[0105|0700]}
mel_kumite_back_chr	返回
mel_kumite_back_stg	返回
mel_kumite_success_hundred	達成100人勝出！
mel_homerun_distance_n	{[0100|000000cd]}
mel_homerun_distance_decimal_n	.{[0100|000300cd]}
mel_homerun_distance_km	{size[4b00]}公里{size[6400]}
mel_homerun_world_pw_n	{[0100|000000cd]}
mel_homerun_fast_motion_guide	{[0105|0700]}
mel_homerun_fast_motion	快速播放
mel_homerun_result	RESULT
mel_homerun_result_high_score	最高記錄
mel_homerun_result_high_score_team	隊伍最高記錄
mel_homerun_result_highest_score	No.1最高記錄
mel_homerun_result_distance_n	{[0100|000000cd]}
mel_homerun_result_distance_decimal_n	.{[0100|000300cd]}
mel_homerun_result_distance_km	公里
mel_homerun_result_world_pw	世界戰鬥力
mel_homerun_result_world_pw_n	{[0100|000000cd]}
mel_homerun_result_save_replay_guide	{[0105|0900]}
mel_homerun_result_save_replay	儲存重播
mel_homerun_result_retry_guide	{[0105|0600]}
mel_homerun_result_retry	重來
mel_homerun_result_back_guide	{[0105|0700]}
mel_homerun_result_back	返回
mel_homerun_more_times	還有
mel_homerun_more_times_n	{[0100|000000cd]}
mel_homerun_more_times_ct	次
mel_homerun_next_guide	{[0105|0600]}
mel_homerun_distance_difference_n	{[0100|000000cd]}{size[4100]}.{[0100|010300cd]}{size[6400]}
mel_homerun_player_name	{[0101|00cd]}
mel_homerun_order_guide	{[0105|0600]}
mel_homerun_digit	0123456789.,
mel_training_camera_btn_y	{[0105|0900]}
mel_training_camera	鏡頭
mel_training_camera_normal	通常
mel_training_camera_more_expand	更加放大
mel_training_camera_expand	放大
mel_training_camera_fixing	固定
mel_training_speed_control_frame	輸入{[0106|0000]}前進１幀
mel_training_speed_slow0	×0.75
mel_training_speed_slow1	×0.5
mel_training_speed_slow2	×0.25
mel_training_speed_quick	×1.5
mel_training_dmg	傷害
mel_training_dmg_n	{[0100|000000cd]}.
mel_training_dmg_decimal_n	{[0100|000100cd]}
mel_training_hit	連續命中數
mel_training_hit_n	{[0100|000000cd]}
mel_training_dmg_sum	合計傷害
mel_training_dmg_sum_n	{[0100|000000cd]}.
mel_training_dmg_sum_decimal_n	{[0100|000100cd]}
mel_training_item	道具
mel_training_other	其他設定
mel_training_retry_btn	{[0105|0a00]} + {[0105|0b00]} + {[0105|0600]}
mel_training_retry	重置位置
mel_training_end	訓練結束
mel_training_help_cp_quantity	增減對手的數量
mel_training_help_cp_dmg	可以自由改變對手的累積傷害
mel_training_help_cp_dmg_fixing	即使攻擊，對手的累積傷害也不會增加
mel_training_help_cp_dmg_fixing_off	攻擊後，對手的累積傷害增加（普通狀態）
mel_training_help_trajectory	攻擊後，顯示對手累積傷害為0％【紅】、50％【綠】、100％【藍】時被擊飛的軌跡
mel_training_help_trajectory_off	不顯示對手的被擊飛軌跡
mel_training_help_cp_movement_stop	在原地保持站立不動的狀態
mel_training_help_cp_movement_lv_n	根據鬥士選擇畫面裡選擇的對手等級行動，數字越大實力越強
mel_training_help_cp_movement_walk	以避免從場地落下的模式持續走動
mel_training_help_cp_movement_escape	以遠離玩家的模式移動
mel_training_help_cp_movement_jump	在原地反覆跳躍
mel_training_help_cp_movement_attack	在原地持續使出普通必殺技
mel_training_help_cp_movement_smash_side	在原地持續使出猛擊（橫向）
mel_training_help_cp_movement_operation	連接控制器之後可以操控對手
mel_training_help_menu_change2	更詳盡的設定請選這裡
mel_training_help_time_normal	變成正常的時間流動
mel_training_help_time_frame	暫停後按下{[0106|0000]}逐幀前進，長按按鍵即可加速播放
mel_training_help_time_slow0	時間流動變得稍慢
mel_training_help_time_slow1	時間流動變得緩慢
mel_training_help_time_slow2	時間流動變得非常緩慢
mel_training_help_time_quick	時間流動變快
mel_training_help_hit	在畫面右側顯示攻擊對手的連續命中次數與給予傷害
mel_training_help_hit_off	不在畫面右側顯示給予對手的連續攻擊命中次數與傷害
mel_training_help_invincible	攻擊打不中時發【藍】光，打得中但不會受傷害時發【綠】光
mel_training_help_invincible_off	讓變成無敵的部分不發光
mel_training_help_shift0	對手遭到連續攻擊或被擊飛時不會逃脫和調整方向
mel_training_help_shift1	對手遭到連續攻擊或被擊飛時會稍微逃脫和調整方向
mel_training_help_shift2	對手遭到連續攻擊或被擊飛時會盡量逃脫和調整方向
mel_training_help_same_offset	如果反覆進行同樣的攻擊，給予的傷害會變小
mel_training_help_same_offset_off	即使反覆進行同樣的攻擊，給予的傷害也不會變化
mel_training_help_dmg_pl1	可以自由改變1P的累積傷害
mel_training_help_item	拿出道具，試試效果
mel_training_help_end	結束「訓練」
mel_training_help_pokemon_random	寶可夢隨機登場
mel_training_help_assist_random	輔助模型隨機登場
mel_training_line_cp_quantity	ＣＰ數
mel_training_line_cp_dmg	CP傷害％
mel_training_line_fp_dmg	FP傷害％
mel_training_line_fixing_dmg	固定傷害
mel_training_line_trajectory	擊飛預測線
mel_training_line_cp_movement	CP的狀態
mel_training_line_speed	速度
mel_training_line_hit	連續命中
mel_training_line_invincible	無敵
mel_training_line_shift	CP的位移
mel_training_line_same_offset	同招傷害遞減
mel_training_line_dmg_pl1	１P傷害％
mel_training_off	OFF
mel_training_on	ON
mel_training_cp_stop	停止
mel_training_cp_lv_n	CP （Lv.{[0100|000000cd]}）
mel_training_cp_walk	步行
mel_training_cp_escape	逃走
mel_training_cp_jump	跳躍
mel_training_cp_attack	普通必殺技
mel_training_cp_smash_side	猛擊（橫向）
mel_training_cp_operation	操作
mel_training_speed0	×１
mel_training_speed1	輸入{[0106|0000]}前進１幀
mel_training_speed2	×0.75
mel_training_speed3	×0.5
mel_training_speed4	×0.25
mel_training_speed7	×1.5
mel_training_hit0	顯示
mel_training_hit1	不顯示
mel_training_invincible0	看不見
mel_training_invincible1	看得見
mel_training_shift0	不會
mel_training_shift1	稍微
mel_training_shift2	非常
mel_training_wazalist_guide	{[0105|0d00]}
mel_training_wazalist	招式列表
mel_training_any	隨機
mel_training_back_item	返回道具畫面
mel_training_back_training	返回訓練選單
mel_pause_pause	PAUSE
mel_pause_player	{[0102|00cd]} PAUSE
mel_pause_restart	繼續
mel_pause_restart_camera	視角操作
mel_pause_sp_move_list	招式列表
mel_pause_con_connect	連接控制器
mel_pause_end	結束
mel_pause_end_btn	{[0105|0a00]} + {[0105|0b00]} + {[0105|0600]} + {[0105|0e00]}
mel_pause_capture_btn	{[0105|0600]}
mel_pause_capture	截圖
mel_pause_scaling_btn	{[0105|0c00]} {[0105|0d00]}
mel_pause_scaling	拉遠 / 拉近
mel_pause_turn_btn	{[0105|1400]}
mel_pause_turn	環繞
mel_pause_shift_btn	{[0105|1300]}
mel_pause_shift	偏移
mel_pause_delete_btn	{[0105|0800]} + {[0105|0200]}
mel_pause_delete	取消顯示
mel_pause_gyro_btn	
mel_pause_frame_btn	{[0105|0a00]}
mel_pause_frame	逐幀播放
mel_pause_roll	{[0105|0800]} + {[0105|0c00]} {[0105|0d00]}
mel_pause_roll_txt	傾斜
mel_pause_angle	{[0105|0900]} + {[0105|0c00]} {[0105|0d00]}
mel_pause_angle_txt	調整畫面角度
mel_pause_filter_guide	{[0105|1100]}
mel_pause_camframe_guide	{[0105|1000]}
mel_pause_apply_total	{[0100|000000cd]}/{[0100|010000cd]}
mel_pause_camera_reset	{[0105|0800]} + {[0105|0100]}
mel_pause_camera_reset_vr	
mel_pause_camera_reset_txt	重置視角
mel_replay_play_next_fighter_btn	{[0105|0800]} + {[0105|0400]}
mel_replay_play_next_fighter	下一個鬥士
mel_replay_play_back_fighter_btn	{[0105|0800]} + {[0105|0300]}
mel_replay_play_back_fighter	上一個鬥士
mel_replay_play_throw_btn	{[0105|0900]} + {[0105|0100]}
mel_replay_play_throw	慢速播放
mel_replay_play_skip_btn	{[0105|0900]} + {[0105|0200]}
mel_replay_play_skip	快速播放
mel_replay_play_normal_btn	{[0105|0700]}
mel_replay_play_normal	正常播放
mel_pause_filter_00	無濾鏡
mel_pause_filter_01	特寫
mel_pause_filter_02	鮮豔
mel_pause_filter_03	鮮明
mel_pause_filter_04	綠色調
mel_pause_filter_05	紅色調
mel_pause_filter_06	黑色調
mel_pause_filter_07	褐色調
mel_pause_filter_08	舊色調
mel_pause_filter_09	柔和
mel_pause_filter_10	彩色漫畫
mel_pause_filter_11	黑白漫畫
mel_pause_filter_12	負片
mel_pause_filter_13	雙色調（黑）
mel_pause_filter_14	雙色調
mel_pause_filter_15	雙色調（白）
mel_pause_camframe_00	無邊框
mel_pause_camframe_01	2.35:1
mel_pause_camframe_02	底片
mel_pause_camframe_03	畫框
mel_pause_camframe_04	羊皮紙
mel_pause_camframe_05	畫布
mel_pause_camframe_06	集中線：黑
mel_pause_camframe_07	集中線：白
mel_pause_camframe_08	花朵
mel_pause_camframe_09	星星
mel_pause_camframe_10	黑筆刷
mel_pause_camframe_11	白筆刷
mel_pause_camframe_12	黑標準字1
mel_pause_camframe_13	黑標準字2
mel_pause_camframe_14	黑標準字3
mel_pause_camframe_15	黑標準字4
mel_pause_camframe_16	白標準字1
mel_pause_camframe_17	白標準字2
mel_pause_camframe_18	白標準字3
mel_pause_camframe_19	白標準字4
mel_pause_hiteffect_off	無命中特效
mel_pause_effect_off	無特效
mel_pause_effect_on	有特效
mel_pause_effect_guide	{[0105|0800]} + {[0105|1100]}
mel_pause_cam_gc_lr	{size[7800]}{size[6400]}{size[7800]}{size[6400]}
mel_pause_cam_gc_x_lr	{size[7800]}{size[6400]} + {size[7800]}{size[6400]}{size[7800]}{size[6400]}
mel_pause_cam_gc_y_lr	{size[7800]}{size[6400]} + {size[7800]}{size[6400]}{size[7800]}{size[6400]}
mel_pause_cam_gc_z	{size[7800]}{size[6400]}
mel_pause_cam_gc_x_down	{size[7800]}{size[6400]} + 
mel_pause_cam_gc_x_up	{size[7800]}{size[6400]} + 
mel_pause_cam_gc_x_leftright	{size[7800]}{size[6400]} + 
mel_pause_cam_gc_stick_l	{size[6400]}{size[6400]}
mel_pause_cam_gc_stick_c	{size[6400]}{size[6400]}
mel_pause_cam_replay_gc_x_left	{size[7800]}{size[6400]} + 
mel_pause_cam_replay_gc_x_right	{size[7800]}{size[6400]} + 
mel_pause_cam_replay_gc_y_up	{size[7800]}{size[6400]} + 
mel_pause_cam_replay_gc_y_down	{size[7800]}{size[6400]} + 
mel_pause_cam_replay_gc_b	
mel_pause_kumite_retry	重新嘗試
mel_wazalist_final_arts	最後的絕招
mel_wazalist_other_fighter_guide	{[0105|0800]}
mel_wazalist_other_fighter	列表
mel_wazalist_open_guide_02	{[0106|0000]}
mel_wazalist_open_guide_01	{[0100|000000cd]}
mel_wazalist_open_guide_03	/
mel_wazalist_open_guide_04	{[0100|000000cd]}
mel_wazalist_fighter_ptrainer	{[0102|00cd]} （{[0102|01cd]}）
mel_wazalist_fighter_num	{[0102|00cd]} {[0102|01cd]}
mel_wazalist_fighter_ptrainer_num	{[0102|00cd]} {[0102|01cd]} （{[0102|02cd]}）
mel_wazalist_fighter_mii_num	{[0100|000000cd]} {[0102|01cd]}
mel_result_item_00	擊落
mel_result_item_01	墜下
mel_result_item_02	自毀
mel_result_item_03	合計
mel_result_item_04	全滅
mel_result_item_07	擊落數
mel_result_item_08	被擊落數
mel_result_item_09	自己墜落數
mel_result_item_10	給予傷害
mel_result_item_11	受到傷害
mel_result_item_12	回復傷害
mel_result_item_13	最大累積傷害
mel_result_item_14	被擊飛總距離
mel_result_item_15	在地面的時間
mel_result_item_16	在空中的時間
mel_result_item_17	在水中的時間
mel_result_item_18	攻擊命中率
mel_result_item_19	地面攻擊數
mel_result_item_20	空中攻擊數
mel_result_item_21	猛擊數
mel_result_item_22	抓住輸入數
mel_result_item_23	投擲數
mel_result_item_24	攀住邊緣次數
mel_result_item_25	飛行道具數
mel_result_item_26	道具取得數
mel_result_item_27	被擊飛最高速度
mel_result_item_28	擊飛最高速度
mel_result_item_29	最長無攻擊時間
mel_result_item_30	變身時間
mel_result_item_31	最後的絕招
mel_result_item_32	攻擊隊友
mel_result_item_35	命魂
mel_result_item_36	世界戰鬥力
mel_result_item_unit_07	{[0100|000000cd]}{size[4b00]}次{size[6400]}
mel_result_item_unit_08	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_09	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_10	{[0100|000000cd]} {size[4b00]}％{size[6400]}
mel_result_item_unit_10_hp	{[0100|000000cd]} {size[4b00]}HP{size[6400]}
mel_result_item_unit_11	{[0100|000000cd]} {size[4b00]}％{size[6400]}
mel_result_item_unit_11_hp	{[0100|000000cd]} {size[4b00]}HP{size[6400]}
mel_result_item_unit_12	{[0100|000000cd]} {size[4b00]}％{size[6400]}
mel_result_item_unit_12_hp	{[0100|000000cd]} {size[4b00]}HP{size[6400]}
mel_result_item_unit_13	{[0100|000000cd]} {size[4b00]}％{size[6400]}
mel_result_item_unit_13_hp	{[0100|000000cd]} {size[4b00]}HP{size[6400]}
mel_result_item_unit_14	{[0100|000000cd]} {size[4b00]}m{size[6400]}
mel_result_item_unit_15	{[0100|000000cd]} {size[4b00]}秒{size[6400]}
mel_result_item_unit_16	{[0100|000000cd]} {size[4b00]}秒{size[6400]}
mel_result_item_unit_17	{[0100|000000cd]} {size[4b00]}秒{size[6400]}
mel_result_item_unit_18	{[0100|000000cd]} {size[4b00]}％{size[6400]}
mel_result_item_unit_19	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_20	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_21	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_22	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_23	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_24	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_25	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_26	{[0100|000000cd]} {size[4b00]}個{size[6400]}
mel_result_item_unit_27	{[0100|000000cd]} {size[4b00]}km/h{size[6400]}
mel_result_item_unit_28	{[0100|000000cd]} {size[4b00]}km/h{size[6400]}
mel_result_item_unit_29	{[0100|000000cd]} {size[4b00]}秒{size[6400]}
mel_result_item_unit_30	{[0100|000000cd]} {size[4b00]}秒{size[6400]}
mel_result_item_unit_31	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_32	{[0100|000000cd]} {size[4b00]}次{size[6400]}
mel_result_item_unit_35_00	Lv.{[0100|000000cd]}
mel_result_item_unit_36	{[0100|000000cd]}
mel_result_vip_can_enter	可以進入VIP賽了。
mel_result_vip_drop_out	如果在下次對戰中墊底，\r\n就會脫離VIP賽。
mel_result_ok	OK
mel_result_guide_ok	{[0105|0600]}
mel_result_save_replay_guide	{[0105|0900]}
mel_result_save_replay	儲存重播
mel_result_player_n	玩家{[0100|000000cd]}
mel_result_computer_n	電腦{[0100|000000cd]}
mel_result_team_red	RED TEAM
mel_result_team_blue	BLUE TEAM
mel_result_team_green	GREEN TEAM
mel_result_team_yellow	YELLOW TEAM
mel_result_rank_1	1
mel_result_rank_2	2
mel_result_rank_3	3
mel_result_rank_4	4
mel_result_rank_5	5
mel_result_rank_6	6
mel_result_rank_7	7
mel_result_rank_8	8
mel_result_player_nam	{[0101|00cd]}
mel_result_mii_nam	{[0101|00cd]}
mel_result_fp_nam	{[0101|00cd]}
mel_result_result_end	READY FOR\r\nTHE NEXT\r\nBATTLE
mel_result_result_end2	READY FOR\r\nTHE NEXT BATTLE
mel_result_not_dead	---
mel_result_dead_time	{[0104|0004]}
mel_result_no_contest	NO CONTEST
mel_result_countdown	{[0100|000000cd]}
mel_result_draw	DRAW
mel_result_convention_score	大賽得分
mel_result_convention_score_n	{[0100|000000cd]}
mel_result_homerun_first_time	第1回合
mel_result_homerun_second_time	第2回合
mel_result_homerun_score	記錄
mel_result_homerun_r1_score_n	{[0100|000000cd]}{size[4100]}.{[0100|010300cd]}{size[6400]}
mel_result_homerun_r1_score_unit	公里
mel_result_homerun_r2_score_n	{[0100|000000cd]}{size[4100]}.{[0100|010300cd]}{size[6400]}
mel_result_homerun_r2_score_unit	公里
mel_result_homerun_score_n	{[0100|000000cd]}{size[4600]}.{[0100|010300cd]}{size[6400]}
mel_result_homerun_score_unit	公里
mel_result_homerun_world_pw	世界戰鬥力
mel_result_homerun_r1_world_pw_n	{[0100|000000cd]}
mel_result_homerun_r2_world_pw_n	{[0100|000000cd]}
mel_result_homerun_record	記錄
mel_result_homerun_result	結果發表
mel_result_homerun_next	繼續
mel_team_competition_member_0	先鋒
mel_team_competition_member_1	次鋒
mel_team_competition_member_2	中堅
mel_team_competition_member_2_3vs3	中堅
mel_team_competition_member_3	副將
mel_team_competition_member_4	大將
mel_team_competition_member_4_3vs3	大將
mel_team_competition_sort_txt_0	請選擇
mel_team_competition_sort_auto_guide	{[0105|0800]}
mel_team_competition_sort_auto	隨機
mel_team_competition_sort_member_guide_0	{[0105|0600]}
mel_team_competition_sort_member_guide_1	{[0105|1200]}
mel_team_competition_sort_ok	OK
mel_team_competition_game	第{[0100|000000cd]}回合
mel_team_competition_press	{[0105|0600]}
mel_team_competition_submenu_guide	{[0105|0800]}
mel_team_competition_submenu_guide_1	{[0105|0900]}
mel_team_competition_submenu_txt_0	變更控制器
mel_team_competition_submenu_txt_1	儲存重播
mel_team_competition_match_title	團體戰
mel_team_competition_match_team_red	TEAM RED
mel_team_competition_match_team_blue	TEAM BLUE
mel_team_competition_match_vs	VS
mel_team_competition_progress_next_guide	{[0105|0600]}
mel_team_competition_progress_next	繼續
mel_team_competition_progress_exit_guide	{[0105|0700]}
mel_team_competition_progress_exit	結束
mel_team_competition_progress_gold	獲得金幣
mel_team_competition_progress_gold_n	{[0100|000000cd]}
mel_team_competition_progress_result	結果
mel_team_competition_lv	{size[4e00]}Lv.{size[6400]}{[0100|000000cd]}
mel_team_competition_sp_lv	Lv.{[0100|000000cd]}
mel_team_competition_ready	READY!
mel_team_competition_grade_up_possible	可超化
mel_team_competition_result_ok_guide	{[0105|0600]}
mel_team_competition_result_ok	OK
mel_team_competition_result_victory	VICTORY
mel_team_competition_result_red	TEAM RED
mel_team_competition_result_blue	TEAM BLUE
mel_team_competition_matchup_rule_wins_3vs3	先取得2勝
mel_team_competition_matchup_rule_wins_5vs5	先取得3勝
mel_team_chara_select_rule_detail	{[0102|00cd]} {[0102|01cd]} {[0107|02000100]}{[0104|0304]}\x0f\x01\x07
mel_team_chara_select_rule_vs_0	3
mel_team_chara_select_rule_vs	VS
mel_team_chara_select_rule_vs_1	5
mel_team_chara_select_rule_help_0	請選擇對戰人數
mel_team_chara_select_cp_all	全員設為CP
mel_team_chara_select_cp	CP
mel_team_chara_select_all_change_guide	{[0106|0000]}
mel_team_chara_select_all_change	隊伍全員
mel_team_chara_select_medal_n	{[0100|000000cd]}
mel_team_chara_select_next_btn	{[0105|0e00]}
mel_team_chara_select_amiibo_reading_cancel_btn	{[0105|0700]}
mel_team_chara_select_amiibo_reading_cancel	退出
mel_team_chara_select_connect_waiting	正在等待對手連接
mel_mockbattle_wanted	召集中
mel_mockbattle_end_reception	申請截止
mel_mockbattle_entry	ENTRY!
mel_mockbattle_hope_join	希望參加中
mel_mockbattle_preparation	準備中
mel_mockbattle_setting_rule	規則設定中
mel_mockbattle_sel_stage	場地選擇中
mel_mockbattle_sel_fighter	選擇鬥士中
mel_mockbattle_check_rule	確認規則中
mel_mockbattle_battle	亂鬥中
mel_mockbattle_ok	準備OK!
mel_mockbattle_result	結算中
mel_mockbattle_bye	Bye
mel_mockbattle_dmg_n	{[0100|000000cd]}
mel_mockbattle_dmg_decimal_n	.{[0100|000000cd]}%
mel_mockbattle_remaining_time	{[0100|000000cd]}
mel_mockbattle_state_wait	正在召集對戰對手
mel_mockbattle_state_soon	即將開始
