msg_bgm+us_en.msbt
bgm_arrange	Remix
mnu_record_fighters_help_records_20	Your win rate for your last 50 battles.
mnu_record_fighters_help_records_21	The number of times you placed in roughly the top 40%.
mnu_record_fighters_help_records_22	The rate you placed in roughly the top 40% in your last 10 battles.
mnu_record_fighters_help_records_23	The rate you placed in roughly the top 40% in your last 50 battles.
mnu_record_fighters_help_records_24	Total damage dealt to opponents using a specific fighter.
mnu_record_fighters_help_records_25	Total damage received from opponents when using a specific fighter.
mnu_record_fighters_help_records_26	Total amount of damage recovered.
mnu_record_fighters_help_records_27	Most damage a specific fighter has taken in one battle.
mnu_record_fighters_help_records_28	Number of times you've taken part in a Sudden Death showdown.
mnu_record_fighters_help_records_29	Number of times you've won during Sudden Death.
mnu_record_fighters_help_records_30	Number of Final Smashes used.
mnu_record_fighters_help_records_31	Proportion of play time per fighter.
mnu_record_fighters_help_records_32	Total distance you've walked or ran on the ground.
mnu_record_fighters_help_records_33	Total vertical distance you've traveled using jumps/specials.
mnu_record_fighters_help_records_34	Total distance fallen.
mnu_record_fighters_help_records_35	Total distance launched by attacks from opponents.
mnu_record_fighters_help_records_36	Total distance swam.
mnu_record_fighters_help_records_37	Number of times you drowned and it counted as a KO.
mnu_record_fighters_help_records_38	Total number of times items were picked up.
mnu_record_fighters_help_records_39	View the highest Global Smash Power recorded in your online battles.
mnu_record_fighters_unit	{[0102|00cd]}
mnu_record_fighters_unit_count	Count
mnu_record_fighters_unit_percent	Percentage
mnu_record_fighters_unit_time	Hours:Minutes
mnu_record_fighters_unit_meter	Meters
mnu_record_fighters_spirits_fight_guide	{[0105|0a00]}
mnu_record_fighters_spirits_fight	Spirits On
mnu_record_fighters_spirits_none	Spirits Off
mnu_record_fighters_fighter_nam	{[0102|00cd]}
mnu_record_fighters_playername	Name
mnu_record_fighters_player_nam	{[0101|00cd]}
mnu_record_fighters_count	{[0100|000000cd]}
mnu_record_fighters_count_decimal	{[0100|000000cd]}.{[0100|010200cd]} times
mnu_record_fighters_percent	{[0100|000000cd]}%
mnu_record_fighters_percent_decimal	{[0100|000000cd]}.{[0100|010200cd]}%
mnu_record_fighters_time	{[0104|0001]}
mnu_record_fighters_meter	{[0100|000000cd]} m
mnu_record_fighters_rank	(Rank {[0100|000000cd]})
mnu_record_fighters_no_rank_bracket	(Rank --)
mnu_record_fighters_fighter_change_guide	{[0105|0a00]} {[0105|0b00]}
mnu_record_fighters_fighter_change	Change Fighter
mnu_record_fighters_records_00	KOs
mnu_record_fighters_records_01	KOs: Avg. per Battle
mnu_record_fighters_records_02	KOs: Tilt Attack
mnu_record_fighters_records_03	KOs: Smash Attack
mnu_record_fighters_records_04	KOs: Air Attack
mnu_record_fighters_records_05	KOs: Special Move
mnu_record_fighters_records_06	KOs: Meteor Smash
mnu_record_fighters_records_07	KOs: Throw
mnu_record_fighters_records_08	KOs: Item
mnu_record_fighters_records_09	KOs: Final Smash
mnu_record_fighters_records_10	KOs: Other
mnu_record_fighters_records_11	Falls
mnu_record_fighters_records_12	Self-Destructs
mnu_record_fighters_records_13	Total Falls
mnu_record_fighters_records_14	Average Falls per Battle
mnu_record_fighters_records_15	Battles
mnu_record_fighters_records_16	Play Time
mnu_record_fighters_records_17	Victories (Smash Mode)
mnu_record_fighters_records_18	Last-Place Finishes
mnu_record_fighters_records_19	Win Rate (Last 10)
mnu_record_fighters_records_20	Win Rate (Last 50)
mnu_record_fighters_records_21	Strong Finishes
mnu_record_fighters_records_22	Strong Finish Rate (Last 10)
mnu_record_fighters_records_23	Strong Finish Rate (Last 50)
mnu_record_fighters_records_24	Damage Given
mnu_record_fighters_records_25	Damage Taken
mnu_record_fighters_records_26	Damage Recovered
mnu_record_fighters_records_27	Peak Damage
mnu_record_fighters_records_28	Total Sudden Deaths
mnu_record_fighters_records_29	Sudden Death Wins
mnu_record_fighters_records_30	Final Smashes
mnu_record_fighters_records_31	Play %
mnu_record_fighters_records_32	Distance Walked
mnu_record_fighters_records_33	Distance Jumped
mnu_record_fighters_records_34	Distance Fallen
mnu_record_fighters_records_35	Distance Launched
mnu_record_fighters_records_36	Distance Swam
mnu_record_fighters_records_37	Drownings
mnu_record_fighters_records_38	Items Grabbed
mnu_record_fighters_records_39	Highest Online Global Smash Power
mnu_record_opponents_card_title	Smash Tags
mnu_opponents_card_sort_guide	{[0105|0900]}
mnu_opponents_card_sort_00	By Order Obtained
mnu_opponents_card_sort_01	By Wins
mnu_opponents_card_sort_02	By Favorites
mnu_opponents_card_sort_03	Friends
mnu_opponents_card_buy_guide	{[0105|0b00]}
mnu_opponents_card_sell	Sell
mnu_opponents_card_win	{[010b|00000000]}
mnu_opponents_card_win_n	Wins: {size[8200]}{[0100|000000cd]}{size[6400]}
mnu_opponents_card_sum_n	{[0100|000000cd]} Tags
mnu_opponents_card_favorite_guide	{[0105|0c00]}
mnu_opponents_card_favorite	Favorite
mnu_opponents_card_nam	{[0101|00cd]}
mnu_opponents_win_n	{size[6d00]}{[0100|000000cd]}{size[6400]} Wins
mnu_opponents_sell_cancel_guide	{[0105|0b00]}
mnu_opponents_sell_cancel	Quit
mnu_opponents_sell_check_guide	{[0105|0800]}
mnu_opponents_sell_check	Select All
mnu_opponents_sell_gold_n	{[0100|00ff00cd]}
mnu_opponents_sell_get_gold_n	+{[0100|00ff00cd]}
mnu_opponents_sell_card_n	{[0100|000000cd]}
mnu_opponents_new	NEW
mnu_clear_getter_l_guide	{[0105|0a00]}
mnu_clear_getter_page_name_melee	Smash
mnu_clear_getter_page_name_standard	Classic Mode
mnu_clear_getter_page_name_spirits	Spirit Board
mnu_clear_getter_page_name_spirits_2	Spirits
mnu_clear_getter_page_name_campaign	Adventure
mnu_clear_getter_page_name_other	Games & More
mnu_clear_getter_page_name_online	Online
mnu_clear_getter_page_name_etc	Other
mnu_clear_getter_r_guide	{[0105|0b00]}
mnu_clear_getter_clear_n	{[0100|000000cd]}
mnu_clear_getter_all_n	/{[0100|000000cd]}
mnu_clear_getter_icon_lock	?
mnu_clear_getter_item_lock	???
mnu_clear_getter_sp_n	{[0100|000000cd]} SP
mnu_clear_getter_title_lock	???
mnu_clear_getter_mission_lock	???
mnu_clear_getter_hammer_n	{[0100|000000cd]}
mnu_clear_getter_complete	COMPLETE
mnu_clear_getter_need_clear	Tiles to Next Use: {[0100|000000cd]} 
mnu_clear_getter_0000_txt	As Simon, use a Final Smash.
mnu_clear_getter_0001_txt	KO an opponent by hitting them with a 9 from\r\nMr. Game & Watch's side special, Judge.
mnu_clear_getter_0002_txt	Play Custom Smash with {[0100|000000cd]} or more special conditions.
mnu_clear_getter_0003_txt	As PAC-MAN, get a score of 7650 with his Final Smash.
mnu_clear_getter_0004_txt	KO an opponent by using an item.
mnu_clear_getter_0005_txt	KO {[0100|010000cd]} people within {[0100|000000cd]} seconds of starting in Super Sudden Death.
mnu_clear_getter_0006_txt	Battle with 8 fighters.
mnu_clear_getter_0007_txt	As Little Mac, hit an opponent with a KO Uppercut in Boxing Ring.
mnu_clear_getter_0008_txt	As Incineroar, deal {[0100|000000cd]}% or more damage to an\r\nopponent with a single attack.
mnu_clear_getter_0009_txt	As Inkling, bury a Lv. {[0100|000000cd]} CPU into the ground {[0100|010000cd]} times\r\nwith the side special, Splat Roller.
mnu_clear_getter_0010_txt	As Robin, use a flurry attack to KO a Lv. {[0100|010000cd]} CPU in a {[0100|000000cd]}-player battle. This\r\nmust be done within {[0100|020000cd]} minutes, with spirits off, and without handicaps.
mnu_clear_getter_0011_txt	As Cloud, hit an opponent with his side special, Cross Slash,\r\nwhile the Limit Gauge is charged.
mnu_clear_getter_0012_txt	As Isabelle, damage an opponent {[0100|000000cd]} times in a single\r\nbattle with her side special, Fishing Rod.
mnu_clear_getter_0013_txt	Beat a Lv. {[0100|010000cd]} CPU by at least {[0100|020000cd]} points in a {[0100|000000cd]}-player battle. This must\r\nbe done within {[0100|030000cd]} minutes, with spirits off, and without handicaps.
mnu_clear_getter_0014_txt	Beat a Lv. {[0100|010000cd]} CPU by at least {[0100|020000cd]} points in a {[0100|000000cd]}-player battle. This must\r\nbe done within {[0100|030000cd]} minutes, with spirits off, and without handicaps.
mnu_clear_getter_0015_txt	Beat a Lv. {[0100|010000cd]} CPU by at least {[0100|020000cd]} points in a {[0100|000000cd]}-player battle. This must\r\nbe done within {[0100|030000cd]} minutes, with spirits off, and without handicaps.
mnu_clear_getter_0016_txt	Beat a Lv. {[0100|010000cd]} CPU by at least {[0100|020000cd]} points in a {[0100|000000cd]}-player stock or stamina\r\nbattle. This must be done with spirits off, and without handicaps.
mnu_clear_getter_0017_txt	Beat a Lv. {[0100|010000cd]} CPU by at least {[0100|020000cd]} points in a {[0100|000000cd]}-player stock or stamina\r\nbattle. This must be done with spirits off, and without handicaps.
mnu_clear_getter_0018_txt	Beat a Lv. {[0100|010000cd]} CPU in a {[0100|000000cd]}-player battle. You must have a {[0100|020000cd]}% handicap,\r\nthe CPU must have a {[0100|030000cd]}% handicap, and spirits must be off.
mnu_clear_getter_0019_txt	Beat a Lv. {[0100|010000cd]} CPU in a {[0100|000000cd]}-player battle. You must have a {[0100|020000cd]}% handicap,\r\nthe CPU must have a {[0100|030000cd]}% handicap, and spirits must be off.
mnu_clear_getter_0020_txt	Beat a Lv. {[0100|010000cd]} CPU in a {[0100|000000cd]}-player battle. This must be done\r\nwith {[0100|020000cd]} stamina, with spirits off, and without handicaps.
mnu_clear_getter_0021_txt	Beat a Lv. {[0100|010000cd]} CPU in a {[0100|000000cd]}-player battle. This must be done\r\nwith {[0100|020000cd]} stamina, with spirits off, and without handicaps.
mnu_clear_getter_0022_txt	Use Ridley's down special, Skewer, for a critical hit\r\non an opponent {[0100|000000cd]} times within a single battle.
mnu_clear_getter_0023_txt	Reach {[0100|000000cd]}% or more damage during battle.
mnu_clear_getter_0024_txt	Against {[0100|010000cd]} Lv. {[0100|000000cd]} CPUs, KO {[0100|020000cd]} opponents with a meteor smash. This must\r\nbe done within {[0100|030000cd]} minutes, with spirits off, and without handicaps.
mnu_clear_getter_0025_txt	Get {[0100|000000cd]} KOs within the first minute of a battle.
mnu_clear_getter_0026_txt	Finish a {[0100|000000cd]}-participant tourney with a\r\nhuman player as the winner.
mnu_clear_getter_0027_txt	Finish a Squad Strike.
mnu_clear_getter_0028_txt	Clear intensity {[0100|000000cd]}.{[0100|010000cd]}.
mnu_clear_getter_0029_txt	As Snake, clear intensity {[0100|000000cd]}.{[0100|010000cd]} without using any continues.
mnu_clear_getter_0030_txt	KO a total of {[0100|000000cd]} opponents in Horde Battle.
mnu_clear_getter_0031_txt	As King K. Rool, reach the goal in Bonus Game within {[0100|000000cd]} seconds.
mnu_clear_getter_0032_txt	Get {[0100|000000cd]} or more points in the credits.
mnu_clear_getter_0033_txt	KO fighters from Pokémon {[0100|000000cd]} times.
mnu_clear_getter_0034_txt	Defeat the Demon King, Ganon.
mnu_clear_getter_0035_txt	As Greninja, score {[0100|000000cd]} points or more in Bonus Game.
mnu_clear_getter_0036_txt	Defeat Dracula.
mnu_clear_getter_0037_txt	KO fighters from Fire Emblem {[0100|000000cd]} times.
mnu_clear_getter_0038_txt	KO giant fighters {[0100|000000cd]} times.
mnu_clear_getter_0039_txt	Use a ticket {[0100|000000cd]} times.
mnu_clear_getter_0040_txt	Play {[0100|000000cd]} total rounds of Team Battle.
mnu_clear_getter_0041_txt	As Mega Man, clear Classic Mode.
mnu_clear_getter_0042_txt	As Palutena, clear Classic Mode.
mnu_clear_getter_0043_txt	Clear Classic Mode with an intensity of {[0100|000000cd]}.{[0100|010000cd]} or higher.
mnu_clear_getter_0044_txt	Obtain {[0100|000000cd]} recovery items and clear Classic Mode.
mnu_clear_getter_0045_txt	Win against an Advanced class {[0100|000000cd]} times without using a spirit team.
mnu_clear_getter_0046_txt	Free {[0100|000000cd]} spirits in a row without hitting the shield or using\r\nFree the Spirit items.
mnu_clear_getter_0047_txt	Use {[0100|000000cd]} board items on the Spirit Board.
mnu_clear_getter_0048_txt	Get {[0100|000000cd]}SP (Spirit Points).
mnu_clear_getter_0049_txt	Win against a Novice class {[0100|000000cd]} times.
mnu_clear_getter_0050_txt	Challenge an Advanced class {[0100|000000cd]} times.
mnu_clear_getter_0051_txt	Win against an Ace class.
mnu_clear_getter_0052_txt	Use a spirit team in a battle against a Spirit Board opponent.
mnu_clear_getter_0053_txt	Win against a Legend class.
mnu_clear_getter_0054_txt	Win against a Legend class {[0100|000000cd]} times.
mnu_clear_getter_0055_txt	Seek out a bounty target {[0100|000000cd]} times.
mnu_clear_getter_0056_txt	Have {[0100|000000cd]} or more bounties waiting to appear.
mnu_clear_getter_0057_txt	Use a battle item {[0100|000000cd]} times.
mnu_clear_getter_0058_txt	Enhance a spirit {[0100|000000cd]} times in Level Up.
mnu_clear_getter_0059_txt	Obtain a Legend class by using Summon.
mnu_clear_getter_0060_txt	Get {[0100|000000cd]} cores from dismissing spirits.
mnu_clear_getter_0061_txt	Sell items {[0100|000000cd]} times in Items.
mnu_clear_getter_0062_txt	Leave a spirit at the Dojo {[0100|000000cd]} times.
mnu_clear_getter_0063_txt	Leave a spirit at the Gym {[0100|000000cd]} times.
mnu_clear_getter_0064_txt	Leave a spirit at Explore {[0100|000000cd]} times.
mnu_clear_getter_0065_txt	Collect {[0100|000000cd]} unique spirits.
mnu_clear_getter_0066_txt	Collect {[0100|000000cd]} unique spirits.
mnu_clear_getter_0067_txt	Awaken a fighter.
mnu_clear_getter_0068_txt	Awaken {[0100|000000cd]} fighters.
mnu_clear_getter_0069_txt	Awaken {[0100|000000cd]} fighters.
mnu_clear_getter_0070_txt	Awaken all fighters.
mnu_clear_getter_0071_txt	Battle in Adventure mode and rescue {[0100|000000cd]} spirits.
mnu_clear_getter_0072_txt	Unlock the Gym.
mnu_clear_getter_0073_txt	Unlock a Dojo.
mnu_clear_getter_0074_txt	Unlock Explore.
mnu_clear_getter_0075_txt	Unlock a Store.
mnu_clear_getter_0076_txt	Unlock all facilities.
mnu_clear_getter_0077_txt	Obtain an Adventure Skill.
mnu_clear_getter_0078_txt	Obtain all Adventure Skills.
mnu_clear_getter_0079_txt	Remove an obstacle on the map using a spirit's abilities.
mnu_clear_getter_0080_txt	Remove all obstacles in the Light Realm.
mnu_clear_getter_0081_txt	Open {[0100|000000cd]} treasure chests.
mnu_clear_getter_0082_txt	Win against Galeem.
mnu_clear_getter_0083_txt	Win against Dharkon.
mnu_clear_getter_0084_txt	See the true ending.
mnu_clear_getter_0085_txt	Clear Adventure mode.
mnu_clear_getter_0086_txt	Start New Game+.
mnu_clear_getter_0087_txt	Rescue {[0100|000000cd]} spirits in Adventure mode.
mnu_clear_getter_0088_txt	Rescue {[0100|000000cd]} spirits in Adventure mode.
mnu_clear_getter_0089_txt	Win in all the battles.
mnu_clear_getter_0090_txt	Win in the final round without being KO'd.
mnu_clear_getter_0091_txt	As Ganondorf, clear the first stage of the final battle without being KO'd.
mnu_clear_getter_0092_txt	Play Century Smash alone on Great Plateau Tower, and clear it\r\nwithin {[0100|000000cd]} minutes.
mnu_clear_getter_0093_txt	As Ken, clear Century Smash alone using only special moves.
mnu_clear_getter_0094_txt	As Wolf, clear Century Smash alone within {[0100|000000cd]} minutes.
mnu_clear_getter_0095_txt	Play Century Smash alone and clear it\r\nwithin {[0100|000000cd]} minutes.
mnu_clear_getter_0096_txt	As Luigi, play solo All-Star Smash and deal\r\ndamage with a taunt {[0100|000000cd]} times.
mnu_clear_getter_0097_txt	Play All-Star Smash alone, and KO an opponent with a meteor smash.
mnu_clear_getter_0098_txt	Play All-Star Smash alone and KO an opponent {[0100|000000cd]} times.
mnu_clear_getter_0099_txt	Get {[0100|000000cd]} KOs in Cruel Smash while playing solo.
mnu_clear_getter_0100_txt	Get {[0100|000000cd]} continuous hits in Training.
mnu_clear_getter_0101_txt	Get {[0100|000000cd]} types of Mii Headgear.
mnu_clear_getter_0102_txt	Get {[0100|000000cd]} types of Mii Outfits.
mnu_clear_getter_0103_txt	Have the game powered on for a total of {[0100|000000cd]} hours.
mnu_clear_getter_0104_txt	Purchase an item during a Sunday sale in the Vault Shop.
mnu_clear_getter_0105_txt	Acquire a total of {[0100|000000cd]}G or more.
mnu_clear_getter_0106_txt	Acquire a total of {[0100|000000cd]} Spirit Points (SP) or more.
mnu_clear_getter_0107_txt	Create a playlist in Sounds.
mnu_clear_getter_0108_txt	Have access to {[0100|000000cd]} or more music tracks in Sounds.
mnu_clear_getter_0109_txt	Create {[0100|000000cd]} Mii Fighters.
mnu_clear_getter_0110_txt	Unlock {[0100|000000cd]} fighters, other than Mii Fighters.
mnu_clear_getter_0111_txt	Get a total of {[0100|000000cd]} KOs.
mnu_clear_getter_0112_txt	Complete {[0100|000000cd]} Quickplay battles.
mnu_clear_getter_0113_txt	Complete {[0100|000000cd]} Quickplay battles.
mnu_clear_getter_0114_txt	Complete {[0100|000000cd]} Quickplay battles.
mnu_clear_getter_0115_txt	Defeat an opponent with a higher Global Smash Power than\r\nyou {[0100|000000cd]} times in Quickplay.
mnu_clear_getter_0116_txt	Defeat an opponent with a higher Global Smash Power than\r\nyou {[0100|000000cd]} times in Quickplay.
mnu_clear_getter_0117_txt	Use at least {[0100|000000cd]} different fighters in Quickplay.
mnu_clear_getter_0118_txt	Use at least {[0100|000000cd]} different fighters in Quickplay.
mnu_clear_getter_0119_txt	Get {[0100|000000cd]} KOs in a single Quickplay battle.
mnu_clear_getter_0120_txt	Claim {[0100|000000cd]} smash tags.
mnu_clear_getter_0121_txt	Claim {[0100|000000cd]} smash tags.
mnu_clear_getter_0122_txt	Claim {[0100|000000cd]} smash tags.
mnu_clear_getter_0123_txt	Participate in {[0100|000000cd]} arena battles.
mnu_clear_getter_hide_0000_txt	Win against ???
mnu_clear_getter_hide_0001_txt	See ???
mnu_clear_getter_hide_0002_txt	?????????
mnu_smaknowledge_category_fighter	Fighters
mnu_smaknowledge_category_fighter_common	Techniques
mnu_smaknowledge_category_spirit	Spirits
mnu_smaknowledge_category_item	Items
mnu_smaknowledge_category_stage	Stages
mnu_smaknowledge_category_etc	Other
mnu_smaknowledge_category_help_fighter_each	Learn about each fighter's moves and characteristics.
mnu_smaknowledge_category_help_fighter_common	Learn about battle techniques common to all fighters.
mnu_smaknowledge_category_help_spirit	Learn about Adventure mode and how to use spirits.
mnu_smaknowledge_category_help_item	Learn about items, assist trophies, Pokémon, and more.
mnu_smaknowledge_category_help_stage	Learn about the characteristics and hazards of the stages.
mnu_smaknowledge_category_help_etc	Learn about different modes, rankings, and more.
mnu_smaknowledge_list_text	{[0102|00cd]}
mnu_smaknowledge_stage_title	Stage
mnu_smaknowledge_list_fighter_title	Fighter
mnu_smaknowledge_list_fighter_common_title	Techniques
mnu_smaknowledge_list_stage_title	Stages
mnu_smaknowledge_list_spirits_title	Spirits
mnu_smaknowledge_list_item_title	Items
mnu_smaknowledge_list_etc_title	Other
mnu_smaknowledge_list_title	{[0102|00cd]}
mnu_smaknowledge_list_cat_00	All
mnu_smaknowledge_list_cat_item_01	Basic Items
mnu_smaknowledge_list_cat_item_02	Poké Balls
mnu_smaknowledge_list_cat_item_03	Assist Trophies
mnu_smaknowledge_list_cat_l_guide	{[0105|0a00]}
mnu_smaknowledge_list_cat_r_guide	{[0105|0b00]}
mnu_smaknowledge_list_n	{[0100|000000cd]}
mnu_smaknowledge_load_guide	{[0105|0600]}
mnu_shop_gold_n	{[0100|000000cd]}
mnu_shop_top_item_sale	-{[0100|000000cd]}%
mnu_shop_item_price_g_n	{[0100|000000cd]}
mnu_shop_top_item_soldout	SOLD OUT
mnu_shop_buy_cancel_btn	Cancel
mnu_shop_buy_get_btn	Buy
mnu_shop_buy_get_one_btn	Buy
mnu_shop_buy_possession	Owned:
mnu_shop_buy_possession_n	{[0100|000000cd]}
mnu_shop_buy_power	Power
mnu_shop_buy_power_n	{[0100|000000cd]}
mnu_shop_buy_attack_n	{[0100|000000cd]}
mnu_shop_buy_guard_n	{[0100|000000cd]}
mnu_shop_buy_personality	Trait
mnu_shop_buy_slot	Slot
mnu_shop_buy_slot_none	None
mnu_shop_buy_skill_detail	Skill
mnu_shop_buy_cost	Cost
mnu_shop_mii_equip_possible	Equippable Type:
mnu_shop_mii_differ_fight	Brawler
mnu_shop_mii_differ_sword	Swordfighter
mnu_shop_mii_differ_gun	Gunner
mnu_shop_help_spirit_fighter	An image of the fighter can be viewed in the Spirit List.
mnu_shop_help_spirit_energy_s	Increase a spirit's level by a little bit.
mnu_shop_help_spirit_energy_m	Increase a spirit's level.
mnu_shop_help_spirit_energy_l	Increase a spirit's level by a lot.
mnu_shop_help_spirit_all_shuffle	Change all of the Spirit Board.
mnu_shop_help_spirit_all_attacker	Change all of the Spirit Board to primaries.
mnu_shop_help_spirit_all_supporter	Change all of the Spirit Board to supports.
mnu_shop_help_spirit_retry_ticket	Fight a spirit that has vanished from the Spirit Board in the past.
mnu_shop_help_spirit_reloaded	The empty slots on the Spirit Board will be filled up immediately.
mnu_shop_help_spirit_damage_50	Use on the Spirit Board to deal 50% damage.
mnu_shop_help_spirit_charge_jamming	Use on the Spirit Board to interfere with the opponent's FS Meter.
mnu_shop_help_spirit_escort_weaken	Use on the Spirit Board to make the minion fighters weaker.
mnu_shop_help_spirit_apply_flower	Use on the Spirit Board to slowly deal small amounts of damage.
mnu_shop_help_spirit_item_lock	Use on the Spirit Board to make items not appear in the battle.
mnu_shop_help_spirit_roulette_luck_up	The shield will become smaller during Free the Spirit.
mnu_shop_help_spirit_roulette_speed	Slows shield rotation during Free the Spirit.
mnu_shop_help_sound_arrange	Remix
mnu_shop_help_sound_arrange_new	New Remix
mnu_shop_help_sound_source	Source:
mnu_shop_help_standard_ticket	Get more rewards in Classic Mode! Or spend it for a rematch!
mnu_record_play_with_title	Past Opponents
mnu_playing_together_nickname	{[0101|00cd]}
mnu_playing_together_date	{[0103|0000]}
mnu_playing_together_time	{[0104|0101]}
mnu_playing_together_past_opponents_profile	Details
mnu_playing_together_report	Report
mnu_playing_together_reported	Reported
mnu_playing_together_fp_nam	{[0101|00cd]}
mnu_playing_together_fp	FP
mnu_online_room_create	Create Arena
mnu_online_room_search	Join Arena
mnu_online_room_friendroom	Friends' Arenas
mnu_online_room_favoriteroom	Public Arenas
mnu_online_room_passwordroom	Passworded Arenas
mnu_online_room_roomid	Enter Arena ID
mnu_online_room_help_create	Create an arena with rules of your choosing.
mnu_online_room_help_search	Find and join an arena that someone else created.
mnu_online_room_help_friendroom	Browse arenas created by people on your friend list.
mnu_online_room_help_favoriteroom	Browse public arenas based on your preferences.
mnu_online_room_help_roomid	Search for an arena using an arena ID.
mnu_online_room_keyboad_help_roomid	Enter arena ID.
mnu_online_room_create_title	Create Arena
mnu_online_room_create_password_guide	{[0105|0800]}
mnu_online_room_create_password_on	Password
mnu_online_room_create_password_off	No Password
mnu_online_room_setting_purpose	Type
mnu_online_room_setting_limit	Visibility
mnu_online_room_setting_form	Format
mnu_online_room_setting_rule	Rules
mnu_online_room_setting_replace	Rotation
mnu_online_room_purpose_anyone	All Skill Levels
mnu_online_room_purpose_serious	Glorious Smashers
mnu_online_room_purpose_beginner	Beginners Only
mnu_online_room_purpose_intermediate_senior	Veteran Players
mnu_online_room_purpose_anything	Anything Goes
mnu_online_room_purpose_free	Playground
mnu_online_room_purpose_amiibo	amiibo Battle
mnu_online_room_purpose_vip	Elite Only
mnu_online_room_limit_anyone	Public
mnu_online_room_limit_friend	Friends
mnu_online_room_form_four	4-Player Smash
mnu_online_room_form_three	3-Player Smash
mnu_online_room_form_one_one	1-on-1
mnu_online_room_form_team	Team Battle
mnu_online_room_rule_name	{[0101|00cd]}
mnu_online_room_replace_loser_two	Bottom Two Leave
mnu_online_room_replace_loser_one	Bottom One Leaves
mnu_online_room_replace_loser	Loser Leaves
mnu_online_room_replace_winner_two	Top Two Leave
mnu_online_room_replace_winner_one	Top One Leaves
mnu_online_room_replace_winner	Winner Leaves
mnu_online_room_create_detail_setting_guide	{[0105|0900]}
mnu_online_room_create_detail_setting	More Settings
mnu_online_room_help_purpose_anyone	Everyone is welcome!
mnu_online_room_help_purpose_serious	For top-tier players who don't mess around.
mnu_online_room_help_purpose_beginner	For those with low Global Smash Power only!
mnu_online_room_help_purpose_intermediate_senior	For experienced players who want a challenge.
mnu_online_room_help_purpose_vip	For players who can participate in Elite Smash.
mnu_online_room_help_purpose_anything	Fight seriously or not—anything goes!
mnu_online_room_help_purpose_free	Goof off! Throws only! Whatever you want!
mnu_online_room_help_purpose_amiibo	Pit an FP you've trained against another player's FP!
mnu_online_room_help_limit_anyone	Anyone can join.
mnu_online_room_help_limit_friend	Only friends can join.
mnu_online_room_help_form_four	Battle with up to four players at a time.
mnu_online_room_help_form_three	Battle with up to three players at a time.
mnu_online_room_help_form_one_one	Square off against a single opponent.
mnu_online_room_help_form_team	Split into teams and fight.
mnu_online_room_help_rule_name	Select the rules to use in the battle.
mnu_online_room_help_replace_winner_two	The two highest-placing players go to the back of the line.
mnu_online_room_help_replace_winner_one	The first-place player goes to the back of the line.
mnu_online_room_help_replace_winner	The winning team goes to the back of the line.
mnu_online_room_help_replace_loser_two	The two lowest-placing players go to the back of the line.
mnu_online_room_help_replace_loser_one	The last-place player goes to the back of the line.
mnu_online_room_help_replace_loser	The losing team goes to the back of the line.
mnu_online_room_create_detail	More Settings
mnu_online_room_setting_player_number	Max Players
mnu_online_room_setting_stage	Stage
mnu_online_room_setting_stgcreate	Custom Stages
mnu_online_room_setting_amiibo	amiibo
mnu_online_room_setting_spirits	Spirits
mnu_online_room_setting_voicechat	Voice Chat
mnu_online_room_setting_roombgm	Room Music
mnu_online_room_player_number_n	{[0100|000000cd]}
mnu_online_room_stage_previously_select	Choice
mnu_online_room_stage_random	Random
mnu_online_room_stage_random_battlefield	Random Battlefield
mnu_online_room_stage_random_end	Random Ω Form
mnu_online_room_stage_random_battlefield_end	Random Battlefield and Ω Form
mnu_online_room_stgcreate_off	Off
mnu_online_room_stgcreate_on	On
mnu_online_room_amiibo_off	Off
mnu_online_room_amiibo_on	On
mnu_online_room_passwordroom_off	Do not include
mnu_online_room_passwordroom_on	Include
mnu_online_room_spirits_off	Off
mnu_online_room_spirits_on	On
mnu_online_room_voicechat_off	Off
mnu_online_room_voicechat_on	On
mnu_online_room_help_setting_player_number	The number of people who\r\ncan enter the arena.
mnu_online_room_help_stage_previously_select	One player's preferred stage\r\nwill be selected at random.
mnu_online_room_help_stage_random	One of the game's stages\r\nwill be selected at random.
mnu_online_room_help_stage_random_battlefield	A random Battlefield form\r\nstage will be selected.
mnu_online_room_help_stage_random_end	A random Ω Form stage will be selected.
mnu_online_room_help_stage_random_battlefield_end	A random stage in either Battlefield\r\nor Ω Form will be selected.
mnu_online_room_help_stgcreate_off	Custom stages disabled.
mnu_online_room_help_stgcreate_on	Custom stages enabled.
mnu_online_room_help_amiibo_off	FPs are not allowed.
mnu_online_room_help_amiibo_on	FPs are allowed.
mnu_online_room_help_spirits_off	Fight without the help of spirits.
mnu_online_room_help_spirits_on	Fight with the help of spirits.
mnu_online_room_help_voicechat_off	Disable voice chat between players.
mnu_online_room_help_voicechat_on	Enable voice chat through the\r\nNintendo Switch Online app.
mnu_online_room_help_setting_roombgm	Select the music that will play in the arena.
mnu_online_room_keyboad_help_room_name	Enter the name of the arena.
mnu_online_room_create_room_name	Arena Name
mnu_online_room_create_room_nam	{[0101|00cd]}
mnu_online_room_create_host_account	{[0101|00cd]}
mnu_online_room_create_password	{[0101|00cd]}
mnu_online_room_cancel_btn	Cancel
mnu_online_room_create_make_btn	Create Arena
mnu_online_room_create_search	Arena Search
mnu_online_room_purpose_all	Any
mnu_online_room_form_all	Any
mnu_online_room_rule_all	Any
mnu_online_room_rule_time	Time
