msg_bgm+zh_cn.msbt
bgm_arrange	改编
bgm_title_1610	The Working Matador - FATAL FURY 2
bgm_copyright_1610	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1611	Duck Dub Dub {size[5000]}(Duck, You Too) -{size[6400]} FATAL FURY SPECIAL
bgm_copyright_1611	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1612	Soy Sauce for Geese - FATAL FURY SPECIAL
bgm_copyright_1612	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1613	Art of Fighting Ver.230000000.0 - FATAL FURY SPECIAL
bgm_author_1613	收录：FATAL FURY SPECIAL
bgm_copyright_1613	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1614	Big Shot! - FATAL FURY 3
bgm_copyright_1614	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1616	11th Street - FATAL FURY WILD AMBITION
bgm_author_1616	编曲负责人：Junichi Nakatsuru [中鶴 潤一]
bgm_copyright_1616	作曲：SNK CORPORATION\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1617	Ne! - KOF '94
bgm_copyright_1617	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1618	Stormy Saxophone 2 - KOF '96
bgm_author_1618	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_1618	作曲：SNK CORPORATION\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1620	W.W.III - KOF XIV
bgm_author_1620	收录：THE KING OF FIGHTERS XIV
bgm_copyright_1620	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1621	176th Street - KOF '99
bgm_author_1621	收录：THE KING OF FIGHTERS '99
bgm_copyright_1621	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1622	Terry115 - KOF 2000
bgm_copyright_1622	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1623	Street Dancer - KOF XI
bgm_copyright_1623	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1624	ESAKA!! - KOF 2002 UM
bgm_author_1624	收录：THE KING OF FIGHTERS 2002 UNLIMITED MATCH
bgm_copyright_1624	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1625	DESERT REQUIEM ~Operation02UM~ - KOF 2002 UM
bgm_author_1625	收录：THE KING OF FIGHTERS 2002 UNLIMITED MATCH
bgm_copyright_1625	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1626	KD-0079+ - KOF 2002 UM
bgm_author_1626	收录：THE KING OF FIGHTERS 2002 UNLIMITED MATCH
bgm_copyright_1626	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1627	Undercover - KOF 2002 UM
bgm_copyright_1627	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1628	Cutting Edge - KOF 2002 UM
bgm_copyright_1628	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1629	The Second Joker - KOF XIII
bgm_copyright_1629	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1630	Esaka Continues... - KOF XIII
bgm_copyright_1630	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1631	Wild Street - KOF XIII
bgm_copyright_1631	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1632	Tame a Bad Boy - KOF XIII
bgm_copyright_1632	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1633	KDD-0063 - KOF XIII
bgm_copyright_1633	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1634	Yappari ESAKA - KOF XIV
bgm_copyright_1634	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1635	Departure from South Town - KOF XIV
bgm_copyright_1635	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1636	Soy Sauce for Geese - KOF XIV
bgm_author_1636	收录：THE KING OF FIGHTERS XIV
bgm_copyright_1636	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1637	IKARI - KOF XIV
bgm_author_1637	收录：THE KING OF FIGHTERS XIV
bgm_copyright_1637	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1638	New Order - KOF XIV
bgm_author_1638	收录：THE KING OF FIGHTERS XIV
bgm_copyright_1638	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1639	Theme of SYD - Alpha Mission
bgm_author_1639	编曲负责人：Yoshihito Yano [矢野 義人]
bgm_copyright_1639	作曲：SNK CORPORATION\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1640	Forest World - Athena
bgm_author_1640	编曲负责人：Takafumi Sato [佐藤 貴文]
bgm_copyright_1640	作曲：SNK CORPORATION\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1641	Psycho Soldier Theme
bgm_author_1641	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_1641	作词作曲：SNK CORPORATION\r\n编曲：Ancient-corp.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1642	Psycho Soldier Theme (Overseas Version)
bgm_author_1642	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_1642	作词作曲：SNK CORPORATION\r\n编曲：Ancient-corp.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1643	ART of FIGHT - Art of Fighting
bgm_author_1643	编曲负责人：Rio Hamamoto [濱本 理央]
bgm_copyright_1643	作曲：SNK CORPORATION\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1644	Tuna - SAMURAI SHODOWN
bgm_copyright_1644	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1645	Banquet of Nature - SAMURAI SHODOWN
bgm_author_1645	编曲负责人：Masami Ueda [上田 雅美]
bgm_copyright_1645	作曲：SNK CORPORATION\r\n编曲：MIYABI GAME AUDIO INC.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1646	Gaia - SAMURAI SHODOWN
bgm_author_1646	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_1646	作曲：SNK CORPORATION\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1647	Kuri Kinton Flavor - KOF XIV
bgm_author_1647	收录：THE KING OF FIGHTERS XIV
bgm_copyright_1647	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1648	Main Theme from Metal Slug - METAL SLUG
bgm_author_1648	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_1648	作曲：SNK CORPORATION\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1649	Assault Theme - METAL SLUG 1-3
bgm_author_1649	编曲负责人：LindaAI-CUE
bgm_copyright_1649	作曲：SNK CORPORATION\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright SNK CORPORATION\r\nArrangement Copyright Nintendo
bgm_title_1650	Judgment - METAL SLUG 2
bgm_copyright_1650	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1651	Blue Water Fangs (The Island of Dr. Moreau) - METAL SLUG 3
bgm_copyright_1651	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1652	Final Attack - METAL SLUG 1-6
bgm_copyright_1652	Composition and arrangement Copyright SNK CORPORATION.
bgm_title_1701	Fire Emblem: Three Houses Main Theme (JP)
bgm_author_1701	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_1701	作曲：INTELLIGENT SYSTEMS\r\n编曲：Cygames, Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_1702	Fire Emblem: Three Houses Main Theme
bgm_author_1702	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_1702	作曲：INTELLIGENT SYSTEMS\r\n编曲：Cygames, Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_1703	Fódlan Winds
bgm_copyright_1703	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1801	Floral Fury
bgm_copyright_1801	Composition and arrangement Copyright StudioMDHR
bgm_title_1704	The Edge of Dawn (Seasons of Warfare) (JP)
bgm_copyright_1704	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1705	The Edge of Dawn (Seasons of Warfare)
bgm_copyright_1705	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1706	Tearing Through Heaven
bgm_copyright_1706	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1707	Chasing Daybreak
bgm_copyright_1707	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1708	Blue Skies and a Battle
bgm_copyright_1708	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1709	Between Heaven and Earth
bgm_copyright_1709	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1710	The Apex of the World
bgm_copyright_1710	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1711	Paths That Will Never Cross
bgm_copyright_1711	Composition and arrangement Copyright\r\nNintendo / INTELLIGENT SYSTEMS
bgm_title_1901	ARMS Grand Prix Official Theme Song
bgm_author_1901	编曲负责人：Atsuko Asahi [朝日 温子]
bgm_copyright_1901	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_1902	Ramen Bowl
bgm_author_1902	编曲负责人：Atsuko Asahi [朝日 温子]
bgm_copyright_1902	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_1903	Spring Stadium
bgm_copyright_1903	Composition and arrangement Copyright Nintendo
bgm_title_1904	Ribbon Ring
bgm_copyright_1904	Composition and arrangement Copyright Nintendo
bgm_title_1905	Ninja College
bgm_copyright_1905	Composition and arrangement Copyright Nintendo
bgm_title_1906	Mausoleum
bgm_copyright_1906	Composition and arrangement Copyright Nintendo
bgm_title_1907	Scrapyard
bgm_copyright_1907	Composition and arrangement Copyright Nintendo
bgm_title_1908	Cinema Deux
bgm_copyright_1908	Composition and arrangement Copyright Nintendo
bgm_title_1909	Buster Beach
bgm_copyright_1909	Composition and arrangement Copyright Nintendo
bgm_title_1910	Snake Park
bgm_copyright_1910	Composition and arrangement Copyright Nintendo
bgm_title_1911	DNA Lab
bgm_copyright_1911	Composition and arrangement Copyright Nintendo
bgm_title_1912	Via Dolce
bgm_copyright_1912	Composition and arrangement Copyright Nintendo
bgm_title_1913	Temple Grounds
bgm_copyright_1913	Composition and arrangement Copyright Nintendo
bgm_title_1914	Sparring Ring
bgm_copyright_1914	Composition and arrangement Copyright Nintendo
bgm_title_1915	[NAME REDACTED]
bgm_copyright_1915	Composition and arrangement Copyright Nintendo
bgm_title_1916	Sky Arena
bgm_copyright_1916	Composition and arrangement Copyright Nintendo
bgm_title_1917	Vs. Hedlok
bgm_copyright_1917	Composition and arrangement Copyright Nintendo
bgm_title_1918	ARMS Grand Prix Final Battle
bgm_copyright_1918	Composition and arrangement Copyright Nintendo
bgm_title_2001	Glide
bgm_author_2001	编曲负责人：Hiroki Hashimoto [橋本 大樹]
bgm_copyright_2001	作曲：Mojang AB\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2002	Toys on a Tear
bgm_author_2002	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_2002	作曲：Mojang AB\r\n编曲：Ancient-corp.\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2003	Earth
bgm_author_2003	编曲负责人：Mitsuhiro Kitadani [北谷 光浩]
bgm_copyright_2003	作曲：Mojang AB\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2004	Halland / Dalarna
bgm_author_2004	编曲负责人：ACE (TOMOri Kudo / CHiCO) [ACE (工藤ともり / CHiCO)]
bgm_copyright_2004	作曲：Mojang AB\r\n编曲：SEKAI WALKER Producers LLC.\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2005	The Arch-Illager
bgm_author_2005	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_2005	作曲：Mojang AB\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2006	Clockwork Crafter
bgm_copyright_2006	Composition and arrangement Copyright Mojang AB
bgm_title_2007	Dance of the Blocks
bgm_author_2007	编曲负责人：Yoko Shimomura [下村 陽子]
bgm_copyright_2007	作曲：Mojang AB\r\n编曲：Midiplex Co., Ltd.\r\nComposition Copyright Mojang AB\r\nArrangement Copyright Nintendo
bgm_title_2101	Opening - Bombing Mission
bgm_author_2101	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_2101	作曲：SQUARE ENIX CO., LTD.\r\n编曲：Ancient-corp.\r\n© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2102	Main Theme of FINAL FANTASY VII
bgm_author_2102	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_2102	作曲：SQUARE ENIX CO., LTD.\r\n© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2103	JENOVA
bgm_copyright_2103	© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2104	Cosmo Canyon
bgm_author_2104	编曲负责人：Yoko Shimomura [下村 陽子]
bgm_copyright_2104	作曲：SQUARE ENIX CO., LTD.\r\n编曲：midiplex\r\n© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2105	Aerith's Theme
bgm_author_2105	编曲负责人：Keiichi Okabe [岡部 啓一]
bgm_copyright_2105	作曲：SQUARE ENIX CO., LTD.\r\n编曲：MONACA\r\n© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2106	One-Winged Angel
bgm_copyright_2106	© 1997 SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2107	Those Who Fight (AC Version)
bgm_copyright_2107	© SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2108	Those Who Fight Further (AC Version)
bgm_copyright_2108	© SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2109	Advent: One-Winged Angel
bgm_copyright_2109	© SQUARE ENIX CO., LTD.\r\nAll Rights Reserved.
bgm_title_2201	Xenoblade Chronicles 2 Medley
bgm_author_2201	编曲负责人：ACE (TOMOri Kudo / CHiCO) [ACE (工藤ともり / CHiCO)]
bgm_copyright_2201	编曲：SEKAI WALKER Producers LLC.\r\nComposition Copyright ACE / Kenji Hiramatsu\r\nArrangement Copyright Nintendo
bgm_title_2202	Tiger! Tiger!
bgm_author_2202	编曲负责人：Yuzo Koshiro [古代 祐三]
bgm_copyright_2202	编曲：Ancient-corp.\r\nComposition Copyright Manami Kiyota\r\nArrangement Copyright Nintendo
bgm_title_2203	Counterattack
bgm_author_2203	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_2203	编曲：FILM SCORE LLC\r\nComposition Copyright Kenji Hiramatsu\r\nArrangement Copyright Nintendo
bgm_title_2204	Argentum
bgm_copyright_2204	Composition and arrangement Copyright\r\nACE
bgm_title_2205	A Ship in a Stormy Sea
bgm_copyright_2205	Composition and arrangement Copyright\r\nACE
bgm_title_2206	Exploration
bgm_copyright_2206	Composition and arrangement Copyright\r\nACE
bgm_title_2207	Crossing Swords
bgm_copyright_2207	Composition and arrangement Copyright\r\nKenji Hiramatsu
bgm_title_2208	Incoming!
bgm_copyright_2208	Composition and arrangement Copyright\r\nACE
bgm_title_2209	Gormott
bgm_copyright_2209	Composition and arrangement Copyright\r\nACE
bgm_title_2211	Death Match with Torna
bgm_copyright_2211	Composition and arrangement Copyright\r\nACE
bgm_title_2213	You Will Recall Our Names
bgm_copyright_2213	Composition and arrangement Copyright\r\nKenji Hiramatsu
bgm_title_2214	Driver Vs
bgm_copyright_2214	Composition and arrangement Copyright\r\nACE
bgm_title_2216	Mor Ardain - Roaming the Wastes -
bgm_copyright_2216	Composition and arrangement Copyright\r\nKenji Hiramatsu
bgm_title_2217	Bringer of Chaos! Ultimate
bgm_copyright_2217	Composition and arrangement Copyright\r\nACE
bgm_title_2218	Praetor Amalthus - The Acting God -
bgm_copyright_2218	Composition and arrangement Copyright\r\nYasunori Mitsuda
bgm_title_2219	Battle!!/Torna
bgm_copyright_2219	Composition and arrangement Copyright\r\nKenji Hiramatsu
bgm_title_2301	Marine Stadium, Japan
bgm_copyright_2301	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2302	Chicago, U.S.A.
bgm_copyright_2302	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2303	Kyoto, Japan
bgm_copyright_2303	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2304	Heihachi Mishima, the King of Iron Fist
bgm_copyright_2304	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2305	Kazuya Mishima, Devil Kazuya
bgm_author_2305	编曲负责人：Yusuke Kudo [工藤 祐介]
bgm_copyright_2305	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2306	Emotionless Passion
bgm_copyright_2306	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2307	Attract -Embu- / Character Select
bgm_copyright_2307	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2308	Hwoarang
bgm_copyright_2308	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2309	Jin Kazama
bgm_copyright_2309	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2310	Heihachi Mishima
bgm_copyright_2310	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2311	Opening Movie
bgm_copyright_2311	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2312	Jin Stage
bgm_copyright_2312	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2313	Kitsch
bgm_copyright_2313	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2314	Bit Crusher
bgm_copyright_2314	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2315	Red Hot Fist
bgm_copyright_2315	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2316	Moonlit Wilderness
bgm_copyright_2316	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2317	Poolside
bgm_copyright_2317	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2318	Snow Castle
bgm_copyright_2318	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2319	Into Nirvana
bgm_copyright_2319	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2320	RESURRECTION
bgm_copyright_2320	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2321	Ethno Evening
bgm_copyright_2321	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2322	YUKI
bgm_copyright_2322	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2323	Only One Fight
bgm_copyright_2323	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2324	Dist Thins Out
bgm_author_2324	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_2324	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2325	Karma
bgm_author_2325	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_2325	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2326	Arisa
bgm_copyright_2326	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2327	Yodeling in Meadow Hill
bgm_copyright_2327	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2328	Abyss of Time
bgm_copyright_2328	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2329	Plucking Tulips
bgm_copyright_2329	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2330	Landscape Under the Ghost-Kaminano
bgm_author_2330	编曲负责人：ACE (TOMOri Kudo / CHiCO) [ACE (工藤ともり / CHiCO)]
bgm_copyright_2330	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：SEKAI WALKER Producers LLC.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2331	New World Order
bgm_copyright_2331	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2332	No Easy Way Out
bgm_copyright_2332	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2333	Heat Haze Shadow
bgm_copyright_2333	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2334	Dojo {size[5000]}(Japanese-Style Mix){size[6400]}
bgm_author_2334	编曲负责人：Rio Hamamoto [濱本 理央]
bgm_copyright_2334	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2335	DUOMO DI SIRIO 1st
bgm_copyright_2335	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2336	Moonsiders 1st
bgm_author_2336	编曲负责人：Yoko Shimomura [下村 陽子]
bgm_copyright_2336	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：Midiplex Co., Ltd.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2337	Desperate Struggle
bgm_author_2337	编曲负责人：Nobuko Toda [戸田 信子]
bgm_copyright_2337	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：FILM SCORE LLC\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2338	Aloneness
bgm_author_2338	编曲负责人：Yu Sugimoto [杉本 雄]
bgm_copyright_2338	作曲：BANDAI NAMCO Entertainment Inc.\r\n编曲：BANDAI NAMCO Studios Inc.\r\nComposition Copyright BANDAI NAMCO Entertainment Inc.\r\nArrangement Copyright Nintendo
bgm_title_2339	Kazuya Mishima, Devil Kazuya
bgm_copyright_2339	Composition Copyright BANDAI NAMCO Entertainment Inc.
bgm_title_2401	Burning Town
bgm_copyright_2401	Composition and arrangement Copyright BOZON
bgm_title_2501	Night of Fate
bgm_author_2501	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2501	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2502	Destiny's Force
bgm_author_2502	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2502	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2503	Shrouding Dark Cloud
bgm_author_2503	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2503	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2504	Hand in Hand
bgm_author_2504	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2504	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2505	Blast Away! -Gummi Ship II-
bgm_author_2505	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2505	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2506	Hollow Bastion
bgm_author_2506	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2506	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2507	Scherzo Di Notte
bgm_author_2507	收录：KINGDOM HEARTS HD 1.5 ReMIX
bgm_copyright_2507	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2508	Fragments of Sorrow
bgm_author_2508	收录：KINGDOM HEARTS HD 2.5 ReMIX
bgm_copyright_2508	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2509	Destati
bgm_author_2509	收录：KINGDOM HEARTS
bgm_copyright_2509	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
bgm_title_2510	Dearly Beloved -Swing Version-
bgm_author_2510	收录：KINGDOM HEARTS Melody of Memory
bgm_copyright_2510	The Walt Disney Company (Japan) Ltd. All Rights Reserved.
msg_campaign+zh_cn.msbt
cam_title_star_light	灯火之星
cam_title_press_any_btn	PRESS ANY BUTTON
cam_menu_organize	编辑
cam_menu_spirits_management	管理命魂
cam_menu_tree	技能树
cam_menu_etc	etc.
cam_menu_facility	设施
cam_menu_shop	商店
cam_menu_fighter	斗士
cam_menu_spirits_set	命魂组合
cam_menu_spirits_set_recommend	随机
cam_menu_breed	培育
cam_menu_return	归还
cam_menu_recall	召唤
cam_menu_tree_mark	!
cam_menu_etc_title	etc.
cam_menu_etc_very_easy	难易度（非常容易）
cam_menu_etc_easy	难易度（容易）
cam_menu_etc_normal	难易度（普通）
cam_menu_etc_hard	难易度（困难）
cam_menu_etc_button_option	按键选项
cam_menu_etc_directory	名册
cam_menu_etc_how_to_play	教学
cam_menu_etc_save	保存
cam_menu_etc_spirits_directory	命魂名册
cam_menu_etc_item_list	道具
cam_menu_etc_help_grade	更改敌人强度。
cam_menu_etc_help_button_option	根据每个名字改变操作方法。
cam_menu_etc_help_directory	查看收集到的命魂和道具。
cam_menu_etc_help_how_to_play	可以查看冒险模式的玩法。
cam_menu_etc_help_save	记录至今的冒险。
cam_menu_etc_help_spirits_directory	名留游戏青史的诸多角色们！
cam_menu_etc_help_item_list	查看和出售便利的道具。
cam_map_name_light	光之世界
cam_map_name_dark	暗之世界
cam_map_name_last	最终决战
cam_submap_name_koopa	熔岩城
cam_submap_name_woods	森丘
cam_submap_name_base	基地
cam_submap_name_temple	光之神殿
cam_submap_name_power_plant	电力工厂
cam_submap_name_dark_marx	谜之空间
cam_submap_name_dark_dracula	Dracula's Castle
cam_submap_name_dark_ganon	圣地
cam_submap_name_log_house	DK岛
cam_submap_name_world_tour	世界旅行
cam_submap_name_star	美食大赛
cam_info_piece_spirit_master	大师
cam_info_piece_boss_unknown	？？？
cam_info_action_guide	{[0105|0600]}
cam_info_zoom_guide	{[0105|0a00]}
cam_info_zoom	整体地图
cam_info_tilt_guide	{[0105|0b00]}
cam_info_tilt	倾斜
cam_info_menu_guide	{[0105|0800]} / {[0105|0e00]}
cam_info_menu	菜单
cam_info_menu_new_n	{[0100|000000cd]}
cam_info_return	长按返回
cam_info_return_short	返回
cam_info_silver_cannonball_n	{[0100|000000cd]}
cam_info_zapfish_n	{[0100|000000cd]}
cam_info_food_n	{[0100|000000cd]}
cam_theme_matchup_unknown	？？？
cam_save_data_1	1
cam_save_data_2	2
cam_save_data_3	3
cam_save_no_data	从头开始
cam_save_date	（{[0103|0000]}　{[0104|0100]}）
cam_save_clear	CLEAR!
cam_save_level_sele	选择难易度
cam_save_level_very_easy	非常容易
cam_save_level_easy	容易
cam_save_level_normal	普通
cam_save_level_hard	困难
cam_save_help_very_easy	敌人会变得更弱。
cam_save_help_easy	敌人变弱
cam_save_help_normal	敌人强度适中（推荐）
cam_save_help_hard	敌人变强
cam_save_num_area	保存数据{[0100|000000cd]}
cam_save_playtime	游戏时间
