msg_bgm+jp_ja.msbt
bgm_arrange	アレンジ
bgm_author_0576	編曲者：ACE (工藤ともり / CHiCO)
bgm_copyright_0576	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0577	スーパーマリオ64 : メインテーマ
bgm_copyright_0577	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0578	スーパーマリオ64 : メインテーマ
bgm_author_0578	編曲担当：川田 宏行
bgm_copyright_0578	作曲者：任天堂(株)\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0579	スライダー
bgm_author_0579	編曲担当：酒井 省吾
bgm_copyright_0579	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0580	スライダー
bgm_copyright_0580	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0581	ドルピックタウン
bgm_copyright_0581	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0582	リコハーバー
bgm_copyright_0582	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0583	New スーパーマリオブラザーズ : メインテーマ
bgm_author_0583	編曲担当：酒井 省吾
bgm_copyright_0583	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0584	Super Mario Galaxy
bgm_copyright_0584	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0585	エッグプラネット
bgm_author_0585	編曲担当：戸田 信子 / 鈴木 克崇
bgm_copyright_0585	作曲者：任天堂(株)\r\n編曲者：FILM SCORE LLC\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0586	エッグプラネット
bgm_copyright_0586	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0587	天文台のロゼッタ / チコのテーマ
bgm_author_0587	編曲者：清田 愛未
bgm_copyright_0587	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0588	ウィンドガーデン
bgm_copyright_0588	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0589	Theme of SMG2
bgm_copyright_0589	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0590	星船はゆく
bgm_copyright_0590	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0591	空島
bgm_copyright_0591	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0592	新銀河帝国
bgm_copyright_0592	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0593	マグマモンスター
bgm_copyright_0593	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0594	宿命の決戦
bgm_copyright_0594	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0595	地上BGM / 水中BGM {size[5000]}(スーパーマリオ 3Dランド){size[6400]}
bgm_author_0595	編曲担当：Jesahm
bgm_copyright_0595	作曲者：任天堂(株)\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0596	アスレチック {size[5000]}(New スーパーマリオブラザーズ 2){size[6400]}
bgm_author_0596	編曲担当：高濱 祐輔
bgm_copyright_0596	作曲者：任天堂(株)\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0597	地上BGM {size[5000]}(New スーパーマリオブラザーズ 2){size[6400]}
bgm_copyright_0597	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0598	地上BGM {size[5000]}(New スーパーマリオブラザーズ U){size[6400]}
bgm_copyright_0598	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0599	スーパーベルの丘
bgm_copyright_0599	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0600	スーパータワーの決戦２
bgm_copyright_0600	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0601	チャンピオンシップロード
bgm_author_0601	収録：スーパーマリオ 3Dワールド
bgm_copyright_0601	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0602	スーパーマリオメーカー : タイトル
bgm_author_0602	編曲担当：春日 沙樹
bgm_copyright_0602	作曲者：任天堂(株)\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0603	ダイナフォー
bgm_copyright_0603	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0604	ニュードンク・シティ
bgm_copyright_0604	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0605	Jump Up, Super Star!
bgm_copyright_0605	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0606	バンド演奏 地上BGM {size[5000]}(スーパーマリオブラザーズ){size[6400]}
bgm_author_0606	収録：スーパーマリオ オデッセイ
bgm_copyright_0606	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0607	スチームガーデン
bgm_copyright_0607	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0608	Break Free (Lead the Way)
bgm_copyright_0608	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0609	ザラザラ砂漠
bgm_author_0609	編曲担当：下村 陽子
bgm_copyright_0609	作曲者：midiplex\r\n編曲者：midiplex\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0610	ちょいと強い奴らに要注意!?
bgm_copyright_0610	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0611	イン・ザ・ファイナル
bgm_copyright_0611	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0612	ペーパーマリオ メドレー
bgm_author_0612	編曲担当：春日 沙樹
bgm_copyright_0612	作曲者：(株)インテリジェントシステムズ・任天堂(株)\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0613	TRY AND TRY!
bgm_author_0613	編曲担当：下村 陽子
bgm_copyright_0613	作曲者：midiplex\r\n編曲者：midiplex\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0614	急げば間に合う！
bgm_copyright_0614	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0615	トリオで大混戦！！！
bgm_copyright_0615	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0616	アタック・エンド・ラン！
bgm_copyright_0616	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0617	バトル！ {size[5000]}(ペーパーマリオ カラースプラッシュ){size[6400]}
bgm_copyright_0617	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0618	これがボコスカバトル！
bgm_copyright_0618	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0619	マリオパーティ アイランドツアー : タイトル
bgm_copyright_0619	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0620	ロケットレースギャラクシー
bgm_copyright_0620	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0621	マリオテニス / マリオゴルフ
bgm_author_0621	編曲者：桜庭 統
bgm_copyright_0621	作曲者：桜庭 統\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0622	ワールドツアー
bgm_copyright_0622	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0623	スタジアムのテーマ {size[5000]}(マリオテニス ウルトラスマッシュ){size[6400]}
bgm_copyright_0623	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0624	キングダムスタジアム：夜
bgm_copyright_0624	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0625	カントリーフィールド：先攻側
bgm_copyright_0625	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0626	ルイージマンション : メインテーマ [X]
bgm_author_0626	編曲担当：酒井 省吾
bgm_copyright_0626	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0627	ルイージマンション シリーズメドレー
bgm_author_0627	編曲担当：川田 宏行
bgm_copyright_0627	作曲者：任天堂(株)・Next Level Games Inc.\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0628	探索 -ウラメ～シ屋敷Ver.- {size[5000]}(instrumental){size[6400]}
bgm_copyright_0628	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0629	マリオブラザーズ
bgm_author_0629	編曲担当：酒井 省吾
bgm_copyright_0629	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0630	Fever
bgm_author_0630	編曲担当：酒井 省吾
bgm_copyright_0630	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0631	Chill [X]
bgm_author_0631	編曲者：岩崎 正明
bgm_copyright_0631	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0632	Chill [for]
bgm_author_0632	編曲者：Hirokazu Tanaka. ex
bgm_copyright_0632	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0633	マリオペイント メドレー
bgm_author_0633	編曲担当：Taku Inoue
bgm_copyright_0633	作曲者：任天堂(株)\r\n編曲者：(株)バンダイナムコスタジオ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0634	旅立ちのひっこ抜き峠
bgm_copyright_0634	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0635	火ふき山の主
bgm_copyright_0635	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0636	マリオvs.ドンキーコング みんなでミニランド : タイトル
bgm_copyright_0636	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0637	ローリングヒルズ A
bgm_author_0637	収録：マリオvs.ドンキーコング みんなでミニランド
bgm_copyright_0637	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0638	地上BGM {size[5000]}(スーパーマリオシリーズ){size[6400]}
bgm_title_0639	Jump Up, Super Star!
bgm_title_0640	バンド演奏 地上BGM {size[5000]}(スーパーマリオブラザーズ){size[6400]}
bgm_author_0120	編曲担当：中鶴 潤一
bgm_author_0121	編曲担当：中鶴 潤一
bgm_author_0122	編曲担当：杉本 雄
bgm_author_0388	編曲担当：酒井 省吾
bgm_title_0641	マリオテニス エースのテーマ
bgm_copyright_0641	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0642	スタジアムのテーマ {size[5000]}(マリオテニス エース){size[6400]}
bgm_copyright_0642	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0646	ポケットモンスター 赤・緑 : メインテーマ [64]
bgm_copyright_0646	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0647	ポケットモンスター 赤・緑 : メインテーマ [DX]
bgm_author_0647	編曲担当：酒井 省吾
bgm_copyright_0647	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0648	ポケットモンスター 赤・緑 : メインテーマ [X]
bgm_author_0648	編曲者：桃井 聖司
bgm_copyright_0648	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0649	トキワへの道－マサラより / ニビシティ {size[5000]}(ポケットモンスター 赤・緑){size[6400]}
bgm_author_0649	編曲担当：酒井 省吾
bgm_copyright_0649	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0650	ポケモンセンター {size[5000]}(ポケットモンスター 赤・緑){size[6400]}
bgm_author_0650	編曲担当：石坂 健太郎
bgm_copyright_0650	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0651	ポケモンジム / 進化 {size[5000]}(ポケットモンスター 赤・緑){size[6400]}
bgm_author_0651	編曲者：おおくま けんいち
bgm_copyright_0651	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0652	ポケットモンスター 赤・緑 メドレー
bgm_author_0652	編曲担当：安藤 浩和
bgm_copyright_0652	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0653	ポケットモンスター 金・銀 メドレー
bgm_author_0653	編曲担当：安藤 浩和
bgm_copyright_0653	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0654	戦闘！野生ポケモン {size[5000]}(ポケットモンスター ルビー・サファイア){size[6400]}
bgm_author_0654	編曲担当：酒井 省吾
bgm_copyright_0654	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。　\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0655	チャンピオンロード {size[5000]}(ポケットモンスター ルビー・サファイア){size[6400]}
bgm_author_0655	編曲者：桜庭 統
bgm_copyright_0655	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0656	戦闘！野生ポケモン {size[5000]}(ポケットモンスター ダイヤモンド・パール){size[6400]}
bgm_author_0656	編曲者：辻横 由佳
bgm_copyright_0656	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0657	戦闘！ギンガ団
bgm_author_0657	編曲者：甲田 雅人
bgm_copyright_0657	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0658	209ばんどうろ {size[5000]}(ポケットモンスター ダイヤモンド・パール){size[6400]}
bgm_author_0658	編曲担当：酒井 省吾
bgm_copyright_0658	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。　\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0659	戦闘！ディアルガ・パルキア / やりのはしら
bgm_author_0659	編曲担当：西 隆宏
bgm_copyright_0659	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。　\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0660	戦闘！チャンピオン / チャンピオンシロナ
bgm_author_0660	編曲担当：片岡 真央
bgm_copyright_0660	作曲者：(株)ゲームフリーク\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0661	10ばんどうろ {size[5000]}(ポケットモンスターブラック・ホワイト){size[6400]}
bgm_author_0661	編曲担当：下村 陽子
bgm_copyright_0661	作曲者：(株)ゲームフリーク\r\n編曲者：midiplex\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0662	Nの城
bgm_author_0662	編曲担当：景山 将太
bgm_copyright_0662	作曲者：(株)ゲームフリーク\r\n編曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0663	戦闘！ゼクロム・レシラム
bgm_author_0663	編曲担当：朝日 温子
bgm_copyright_0663	作曲者：(株)ゲームフリーク\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0664	23ばんどうろ {size[5000]}(ポケットモンスターブラック2・ホワイト2){size[6400]}
bgm_author_0664	編曲者：辻横 由佳
bgm_copyright_0664	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0665	戦闘！野生ポケモン {size[5000]}(ポケットモンスター X・Y){size[6400]}
bgm_copyright_0665	この楽曲の作曲及び編曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。
bgm_title_0666	戦闘！トレーナー {size[5000]}(ポケットモンスター X・Y){size[6400]}
bgm_author_0666	編曲担当：古代 祐三
bgm_copyright_0666	作曲者：(株)ゲームフリーク\r\n編曲者：(株)エインシャント\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0667	戦闘！フレア団
bgm_author_0667	編曲者：桜庭 統
bgm_copyright_0667	作曲者：(株)ゲームフリーク\r\nこの楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。\r\n編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0668	ミアレシティ
bgm_copyright_0668	この楽曲の作曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。
bgm_title_0669	チャンピオンロード {size[5000]}(ポケットモンスター X・Y){size[6400]}
bgm_copyright_0669	この楽曲の作曲及び編曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。
bgm_title_0670	戦闘！チャンピオン {size[5000]}(ポケットモンスター X・Y){size[6400]}
bgm_copyright_0670	この楽曲の作曲及び編曲に係る著作権は、(株)ポケモン、任天堂(株)、\r\n(株)クリーチャーズ及び(株)ゲームフリークに帰属します。
bgm_title_0676	フラットゾーン
bgm_author_0676	作曲担当：安藤 浩和
bgm_copyright_0676	作曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、\r\n任天堂(株)及び(株)ハル研究所に帰属します。
bgm_title_0677	フラットゾーン2
bgm_author_0677	作曲者：おおくま けんいち
bgm_copyright_0677	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0681	パルテナの鏡 : タイトル
bgm_author_0681	編曲者：伊藤 賢治
bgm_copyright_0681	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0682	パルテナの鏡 原曲メドレー
bgm_copyright_0682	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0683	冥府界
bgm_author_0683	編曲担当：酒井 省吾
bgm_copyright_0683	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0684	地上界
bgm_author_0684	編曲担当：飯吉 新
bgm_copyright_0684	作曲者：任天堂(株)\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0685	ボス戦 1 {size[5000]}(新・光神話 パルテナの鏡){size[6400]}
bgm_copyright_0685	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0686	マグナのテーマ
bgm_copyright_0686	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0687	ブラックピットのテーマ
bgm_copyright_0687	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0688	星賊船
bgm_author_0688	作曲担当：岩垂 徳行\r\n編曲者：岩垂 徳行
bgm_copyright_0688	作曲者：(有)ツーファイブ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0689	ハデスのテーマ
bgm_copyright_0689	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0690	初期化爆弾の恐怖
bgm_author_0690	編曲担当：古代 祐三
bgm_copyright_0690	作曲者：(株)エインシャント\r\n編曲者：(株)エインシャント\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0691	雷雲の庭園
bgm_copyright_0691	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0692	銀河の聖域
bgm_author_0692	編曲担当：高田 雅史
bgm_copyright_0692	作曲者：サウンドプレステージ(同)\r\n編曲者：サウンドプレステージ(同)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0693	崩壊エンジェランド
bgm_author_0693	編曲者：清田 愛未
bgm_copyright_0693	作曲者：(株)エインシャント・桜庭 統\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0696	メイド イン ワリオ
bgm_author_0696	編曲担当：尾崎 景吾
bgm_copyright_0696	作曲者：任天堂(株)\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0697	メイド イン ワリオ メドレー
bgm_author_0697	編曲担当：吉冨 亮二
bgm_copyright_0697	作曲者：任天堂(株)\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0698	アシュリーのテーマ [X]
bgm_author_0698	編曲者：ササキ トモコ\r\n歌：ササキトモコと東京ハイジ合唱団
bgm_copyright_0698	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0699	Ashley's Song
bgm_author_0699	編曲者：ササキ トモコ\r\n歌：Emily McIntosh, Terry Lauber, James Cowan
bgm_copyright_0699	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0700	アシュリーのテーマ [for]
bgm_author_0700	編曲担当：岡部 啓一
bgm_copyright_0700	作曲者：任天堂(株)\r\n編曲者：MONACA\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0701	マイクがスキ☆スキ
bgm_author_0701	編曲者：高田 雅史\r\n歌：福田淳 と ghm sound team
bgm_copyright_0701	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0702	Mike's Song
bgm_author_0702	編曲者：高田 雅史\r\n歌：Terry Lauber, James Cowan
bgm_copyright_0702	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0703	こちら☆モナピザ
bgm_author_0703	編曲担当：西 隆宏\r\n歌：Gakkie & Kubocci
bgm_copyright_0703	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0704	Mona Pizza's Song
bgm_author_0704	編曲担当：西 隆宏\r\n歌：Christina Peyser, Nate Bihldorff, Andy Hartpence
bgm_copyright_0704	作曲者：(株)インテリジェントシステムズ\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0705	いせき {size[5000]}(ワリオランドシェイク){size[6400]}
bgm_copyright_0705	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0706	ゲーマー
bgm_copyright_0706	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0707	メイド イン ワリオ
bgm_title_0708	ゲーマー
bgm_title_0711	ピクミン : メインテーマ
bgm_copyright_0711	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0712	希望の森
bgm_copyright_0712	この楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0713	ステージクリア / タイトル {size[5000]}(ピクミン){size[6400]}
bgm_author_0713	編曲担当：石坂 健太郎
bgm_copyright_0713	作曲者：任天堂(株)\r\n編曲者：(株)ハル研究所\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0714	環境音
bgm_author_0714	編曲担当：西 隆宏
bgm_copyright_0714	作曲者：任天堂(株)\r\n編曲者：(株)ゲームアーツ\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0715	ワールドマップ {size[5000]}(ピクミン2){size[6400]}
bgm_author_0715	編曲担当：光田 康典
