aaa.msbt
pro_00	Mail call!{b}
kuji_bomb_062_1	You don't have enough coins.\n{[0100|fa000000]}How unlucky for you.{b}{[0004]}Everyone really misses the lottery.{[0100|fa000000]}\nPlease save up and help me get it\nrolling again.{b}
johoyaperfect_00	Good afternoon to you, sir!{[0100|fa000000]} I am\ncalled Grifty, the traveling minstrel.{b}{[0004]}I spend my days here in leisure,\nspinning tales that spin the senses!{b}{[0004]}I know but a few of the stories that\nsurround the town of Rogueport...{b}{[0004]}If you like, I can share them with\nyou...{[0100|fa000000]}but it will require just a\nfew coins.{b}{[0004]}Is there a tale you want to hear?{[0100|fa000000]}\nThese are the tales I can tell you now.{b}
johoyaperfect_00_01	Good day to you, sir! Is there a tale\nyou want to hear?{[0100|fa000000]} These are the\ntales I can tell you now.
johoyaperfect_01	For a mere {[0300|0100000000000000]} coins, I can\nshare with you the tale of\n{[030e|0000000000000000]}...{[0101]}
johoyaperfect_02	{[010d|00000000010000009600000028000000]}Tell me!\nNo, thanks!
johoyaperfect_03	If ever there is a tale you wish to\nhear, just ask.{b}
johoyaperfect_08	I believe I've shared the tale of\n{[030e|0000000000000000]} before.\nDid you want to hear it again?{b}{[0101]}
johoyaperfect_07	If there is another tale you wish to\nhear, just ask.{b}
johoyaperfect_09	Pardon me, but you seem to have\ninsufficient funds for my talents.{[0100|fa000000]} I will\nshare my art once you have the coin.
jperfect_code_0000	{color[202060ff]}Ages ago, a city flourished here in\npeace and splendor...{b}{[0004]}but it was destroyed in a single day\nby a demon from the dark beyond.{b}{[0004]}Historians claim a great calamity\nbefell the city, but nay...{[0100|fa000000]}'twas\na demon.{b}{[0004]}The city sank below ground, and one\nquarter of the old city became the\ndemon's den.{b}{[0004]}This demon put fear into the hearts\nof all men and sent out minions to\ntake the land.{b}{[0004]}And its den—its palace—grew rich\nwith the treasures stolen from all\nover the world.{b}{color[000000b2]}{[0101]}
jperfect_code_0001	{color[202060ff]}In order to increase its already\nformidable power...{b}{[0004]}the demon created Crystal Stars to\nhold the essence of the heavens.{b}{[0004]}These stars were scattered across\nthe land, the better to exert the\ndemon's influence.{b}{[0004]}One of the castles built to contain\nthese stars still stands near\nPetal Meadows.{b}{color[000000b2]}{[0101]}
jperfect_code_0002	{color[202060ff]}The demon built a dungeon near its\npalace and filled it with terrifying\nmonsters...{b}{[0004]}All those who fell into disfavor were\nthrown into this dungeon to rot...{b}{[0004]}Yea, and the demon also had three\ndragon pets: {[0100|fa000000]}Hooktail, Gloomtail,\nand Bonetail.{b}{[0004]}These dragons flew across the land,\nspreading fear and sorrow over all.{b}{[0004]}The dragons' remains have never\nbeen found, and even now, some\nnervously wonder if they still live...{b}{color[000000b2]}{[0101]}
jperfect_code_0003	{color[202060ff]}One day, there came a hero who\ncould vanquish the fell demon.{b}{[0004]}The young Toad from Petal Meadows\nwas strong of arm but shy of voice...{b}{[0004]}All those around the boy teased him\nendlessly about the way he spoke.{b}{[0004]}But when the demon cast its\nfearful gaze across the lands\nand reached out...{b}{[0004]}the young Toad used his strength\nand honor to defend his people.{b}{[0004]}And he became a hero to all, despite\nhis odd voice.{color[000000b2]}{b}{[0101]}
jperfect_code_0004	{color[202060ff]}There was a wise Goomba from\nBoggly Woods gifted in knowledge\nof the world.{b}{[0004]}When beasts rose to take the woods,\nthis knowledge helped the people\nfight them.{b}{[0004]}And this Goomba, who knew the way\nthat every monster would attack...{b}{[0004]}she began to think of a way to banish\nall monsters from the land...{color[000000b2]}{b}{[0101]}
jperfect_code_0005	{color[202060ff]}A Koopa who traveled the world\nalone learned of the darkness\ncovering the land...{b}{[0004]}He went alone wherever evil dwelt,\nand banished it with shell and sheer\nbravado.{b}{[0004]}The monsters grew to fear this\nscar-riddled Koopa who thwarted\nthem at every turn.{b}{[0004]}But the brave Koopa was finally\ntaken in a trap set for him by\nthe monsters.{b}{[0004]}But then a Boo who fought with the\nmonsters came and used her magic\nto free him.{b}{[0004]}The brave Koopa's spirit had melted\nthe heart of the cold Boo lass...{color[000000b2]}{b}{[0101]}
jperfect_code_0006	{color[202060ff]}The Boo used her powerful magic\nto learn more about the evil\nthey faced...{b}{[0004]}"We cannot destroy this darkness\nalone," she decided, her face a\ngrim mask.{b}{[0004]}"We need the Toad hero of Petal\nMeadows and the wise Goomba of\nBoggly Woods."{b}{[0004]}The Boo's magic drew the four heroes\ntogether to send the demon from\nthe world.{b}{[0004]}And so, the four heroes finally set\nout for the Palace of Shadow...{color[000000b2]}{b}{[0101]}
jperfect_code_0007	{color[202060ff]}The power of the world-devouring\ndemon was greater than any could\nimagine...{b}{[0004]}But the wise Goomba soon realized\nthat this was the power of the\nCrystal Stars...{b}{[0004]}She thought of a way to take\nthe stars and use them against\nthe demon.{b}{[0004]}She told the other heroes her plan\nand set it in motion, banishing\ntheir fears.{b}{[0004]}The Boo's magic and the Toad's\nstrength created a gap in the\ndemon's defenses...{b}{[0004]}At that moment, the brave Koopa\nseized the stars...{b}{[0004]}And succeeded in badly damaging\nthe demon...{color[000000b2]}{b}{[0101]}
jperfect_code_0008	{color[202060ff]}But even the brave Koopa's stroke\nwas not enough to end the demon's\nreign...{b}{[0004]}The wise Goomba thought of another\nuse for the Crystal Stars in that\ndire hour...{b}{[0004]}She suggested sealing the demon\nforever with the Crystal Stars.{[0100|fa000000]}\nAll agreed.{b}{[0004]}The heroes matched their strengths\nwith the power of the Crystal Stars...{b}{[0004]}And they successfully sealed the\ndemon's soul within the deepest part\nof the palace.{b}{[0004]}Together, they made it so that only\nall seven stars could break the seal...{color[000000b2]}{b}{[0101]}
jperfect_code_0009	{color[202060ff]}The four heroes thought they had\nsealed away the demon and all of\nits powers...{b}{[0004]}But the demon used a tiny opening\nbefore the seal was complete to curse\nthem all.{b}{[0004]}While holding the Crystal Stars,\nthey'd feel nothing, but when they\nlet them go...{b}{[0004]}A black chest would appear to seal\ntheir souls within.{b}{[0004]}The four heroes traveled the world,\nscattering the stars so the seal\nwould remain.{b}{[0004]}But the last four stars each carried\nthe curse, which claimed each hero...{color[000000b2]}{b}{[0101]}
jperfect_code_0010	{color[202060ff]}The hiding places of many of the\nCrystal Stars have now faded\ninto legend.{b}{[0004]}But some say that the wise Goomba\nhid one in the Great Tree.{b}{[0004]}At that time, many monsters\nwandered in the nearby\nBoggly Woods.{b}{[0004]}The tiny Punies living in the woods\nwere constantly tormented by the\nfierce monsters.{b}{[0004]}Pitying them, the Goomba hollowed\nout the Great Tree for the Punies to\nlive in.{b}{[0004]}The Punies were so grateful that\nthey swore to protect the Crystal\nStar there...{color[000000b2]}{b}{[0101]}
jperfect_code_0011	{color[202060ff]}Once the Boo heroine hid her star in\na steeple, she was trapped in the\nnearby town...{b}{[0004]}Some say the Crystal Star lies in that\nsteeple still...{color[000000b2]}{b}{[0101]}
jperfect_code_0012	{color[202060ff]}The Koopa hero went to a southern\nisle to hide his star where none would\nfind it.{b}{[0004]}But the Koopa was so tired from his\njourney that the pirate Cortez stole\nit easily.{b}{[0004]}In that very instant, the brave Koopa\nwas trapped in an inescapable chest.{b}{[0004]}But Cortez did not realize the\npower of the star and lost it among\nhis treasures...{color[000000b2]}{b}{[0101]}
jperfect_code_0013	{color[202060ff]}The strong Toad held his star and\ncontinued his arduous journey.{b}{[0004]}But eventually the miles took their\ntoll upon him, and he collapsed.{b}{[0004]}A traveling healer happened by and\nsaved his life...{b}{[0004]}but the Toad knew his fate was to\nbe trapped in the chest when the\nstar was gone...{b}{[0004]}So he asked this healer to hide\nthe star in a secret place known\nto no one...{color[000000b2]}{b}{[0101]}
jperfect_code_0014	{color[202060ff]}After the demon was sealed within\nthe Palace of Shadow...{b}{[0004]}many refused to come near that\nplace of terror.{b}{[0004]}But as the years passed, entire\ngenerations forgot...{b}{[0004]}and the penniless and the immoral\nbegan to congregate in this once-\nbarren place...{b}{[0004]}This place soon became a populous\nharbor, the town of Rogueport...{b}{[0004]}And some even began to say that\nthe underground city held a\nlegendary treasure.{b}{[0004]}But they were unaware that the\ndemon slept beneath them still...{color[000000b2]}{b}{[0101]}
jperfect_code_0015	{color[202060ff]}The heroes knew that the seal might\nnot last forever...{b}{[0004]}and they sought to make the Crystal\nStars available to one who might\nneed them...{b}{[0004]}So, before going to their individual\ndooms, they made a map to all\nthe stars.{b}{[0004]}And to prevent an evil force from\nmisusing this map...{b}{[0004]}they placed it in a box that could\nonly be opened by the pure of heart.{color[000000b2]}{b}{[0101]}
jperfect_title_0000	The Fearsome Demon
jperfect_title_0001	The Crystal Stars
jperfect_title_0002	Dragons and Dungeons
jperfect_title_0003	The Hero Who Arose
jperfect_title_0004	The Wise Goomba
jperfect_title_0005	The Stalwart Koopa
jperfect_title_0006	The Four Heroes
jperfect_title_0007	The Duel with the Demon
jperfect_title_0008	The Demon Sealed Within
jperfect_title_0009	The Demon's Curse
jperfect_title_0010	The Great Tree and Punies
jperfect_title_0011	The Boo Heroine's Last Days
jperfect_title_0012	The Pirate King Cortez
jperfect_title_0013	The Toad Hero's Final Days
jperfect_title_0014	All Becomes Legend
jperfect_title_0015	The Magical Map
jperfect_list_0000	The Fearsome Demon
jperfect_list_0001	The Crystal Stars
jperfect_list_0002	Dragons and Dungeons
jperfect_list_0003	The Hero Who Arose
jperfect_list_0004	The Wise Goomba
jperfect_list_0005	The Stalwart Koopa
jperfect_list_0006	The Four Heroes
jperfect_list_0007	The Duel with the Demon
jperfect_list_0008	The Demon Sealed Within
jperfect_list_0009	The Demon's Curse
jperfect_list_0010	The Great Tree and Punies
jperfect_list_0011	The Boo Heroine's Last Days
jperfect_list_0012	The Pirate King Cortez
jperfect_list_0013	The Toad Hero's Final Days
jperfect_list_0014	All Becomes Legend
jperfect_list_0015	The Magical Map
salari_before_000	Hey!{[0100|fa000000]} You're Mario!{b}
salari_before_001	Wow!{[0100|fa000000]} This is so cool!{[0100|fa000000]} I never thought\nI'd meet a celebrity out here!{b}{[0004]}Ooo!{[0100|fa000000]} I know!{[0100|fa000000]} Do you want to make an\ninvestment, Mario?{b}
salari_before_002	My name's Lumpy, and I'm heading\nout to Dry Dry Desert to prospect\nfor oil!{b}{[0004]}I've lived my life hoping to get rich\nquick...{[0100|fa000000]}and now my chance has come!{b}{[0004]}{[0101]}But I still don't have enough start-up\nfunds.{[0100|fa000000]} Could you please lend me\nsome money?{b}
salari_before_003	Ah! {[0100|fa000000]}Mario!{[0100|fa000000]} You come again!{b}{[0004]}{[0101]}My dream is to get rich quick!{[0100|fa000000]}\nI'm gonna strike oil and strike\nit rich!{b}
salari_before_004	I'm accepting initial investments of\n100 coins or more.{[0101]}
salari_before_011	I'm still accepting investments.\nCan I ask for your further support?{[0101]}
salari_before_005	{[010d|0000000001000000af00000028000000]}I'll invest!\nNo way, bub!
salari_before_006	Thank you so much.{[0100|fa000000]} You won't\nregret it!{b}
salari_before_012	I'll keep accepting investments, so\nlet's chat again in the future!
salari_before_007	Ah, thank you so much!{[0004]}To think you'd be willing to invest\nso much money into my endeavor...{[0100|fa000000]}\nThis should be more than enough!{[0004]}{[0101]}I promise you...{[0100|64000000]} I. {[0100|64000000]}WILL.{[0100|64000000]} STRIKE.{[0100|64000000]} OIL.{[0100|fa000000]}\nSo expect good news!{b}
salari_before_008	Fine.{[0100|fa000000]} Whatever.{[0100|fa000000]} Be that way,\nit's your call.{b}{[0004]}{[0101]}I'll be here for a while yet, in case you\ncome to your senses and want to\ninvest.{[0100|fa000000]} Just let me know!{b}
salari_before_009	Oh! {[0100|fa000000]}Hm...{[0100|fa000000]} This is awkward. {[0100|fa000000]}You don't\nactually have 100 coins, Mario. But\nI appreciate that you believe in me!{[0004]}If you find yourself with some coins\nto burn later though, I'd be glad to\naccept your investment!
salari_before_010	Ah, my benefactor, Mario! {[0100|fa000000]}Thanks to\nyou and your coins, I'm all ready to\nget out there and strike it rich!{b}{[0004]}{[0101]}Your timing is perfect—I was just\nabout to leave! {[0100|fa000000]}And I'm so excited to\nbegin my adventure that I'm shaking!{b}
salari_after_000	Ah!{[0100|fa000000]} Mario!{[0100|fa000000]} It's me!{[0100|fa000000]} Lumpy!{[0100|fa000000]} Don't\nyou remember?{b}{[0004]}I went to Dry Dry Desert to drill\nfor oil? {[0100|fa000000]}Ring a bell?{b}
salari_after_020	Oh!{[0100|fa000000]} You must be Mario!{[0100|fa000000]} My name is\nLumpy and...
salari_after_000_1	I...{b}
salari_after_000_2	I...{b}
salari_after_001	{[0307|00004040]}I did it!{[0100|fa000000]} I totally struck oil!{[0307|0000803f]}{b}
salari_after_001_1	{[0307|00004040]}You're not gonna believe this!{[0100|64000000]}\nI struck oil in Dry Dry Desert!{[0307|0000803f]}
salari_after_002	There were times that I was covered\nin dust—weak and ready to give up!{[0100|fa000000]}\nBut... {[0100|fa000000]}But...{b}{[0004]}But I never lost sight of the dream...{[0100|fa000000]}\nAnd one day, I finally seized it!{b}{[0004]}{[0101]}And you believed in me all this\ntime, Mario! {[0100|fa000000]}You sure did!{[0100|fa000000]} Thank\nyou so much!{b}{[0004]}{[0101]}I want to return your loan with a little\nmore just to show my appreciation!{b}{[0004]}Please, take this—{[0100|fa000000]}{[0300|0000000000000000]} coins!{b}
salari_after_003	You received {[0300|0000000000000000]} coins!{b}
salari_after_004	Boy, thanks for everything!{[0100|fa000000]} Now you\nhave some capital to start your\nown venture!{b}{[0004]}Just don't let your dream die, Mario!{b}{[0004]}I know you'll make it someday!{[0100|fa000000]}\nJust like I did!{b}
salari_after_005	There were times that I was covered\nin dust, weak, and ready to give up!{[0100|fa000000]}\nBut... {[0100|fa000000]}But...{b}{[0004]}But I never lost sight of the dream...{[0100|fa000000]}\nAnd one day, I finally seized it!{b}{[0004]}Just don't let your dream die, Mario!{b}{[0004]}I know you'll make it someday!{[0100|fa000000]}\nJust like I did!{b}
salari_after_019	And also...{[0100|fa000000]}I, uh, kept a journal of my\ntrip.{[0100|fa000000]} Do you want to read it?
salari_after_006	Ah!{[0100|fa000000]} Mario!{[0100|fa000000]} How's it going?{[0100|fa000000]} Did you\ncome to read my journal?
salari_after_021	Hey, Mario!{[0100|fa000000]} How's it going?{[0100|fa000000]} What's on\nyour mind?{[0101]}
salari_after_022	Anything else you need?{[0101]}
salari_after_023	{[010d|0000000002000000af00000028000000]}I'm here for my coins.\nI'll read your journal.\nNothing really.
salari_after_028	{[010d|0000000001000000af00000028000000]}I'll read your journal.\nNothing really.
salari_after_024	Ah, yes, your coins!{[0100|fa000000]} They come with\nmy gratitude as well of course.{[0100|fa000000]}\nPlease take these {[0300|0000000000000000]} coins!
salari_after_025	Hm? You've got all the coins you\ncan carry right now.{[0100|fa000000]} Once you take\ncare of that, come back for these.
salari_after_026	I'll keep holding on to the {[0300|0000000000000000]} coins\nI can't give you right now.{[0100|fa000000]} Stop by\nagain sometime for them!
salari_after_027	Let me thank you for your support\nonce again!{[0100|fa000000]} I can't wait to see what\nyou go out and do for your venture!
salari_after_029	...Well, this isn't going as planned.\nYou've already got a lot. Hmm.
salari_after_008_00	Part {[0300|0000000000000000]}:
salari_after_008_01	The Night Before
salari_after_008_02	The Buzzar Fiend
salari_after_008_03	A Helping Hand
salari_after_008_04	A Reliable Guide
salari_after_008_05	The Digging Point
salari_after_008_06	The Long Dig
salari_after_008_07	The Wrap-Up
salari_after_009	{[0203]}{[0200]}The Night Before\x0f\x02\0{b}{[0004]}I'm finally off tomorrow! I've filled\nmy pack with cheese, and I'm ready\nto go!{b}{[0004]}My to-do list is crossed off. I owe so\nmuch to all of my investors... Not\njust money!{b}{[0004]}The old get-rich-quick dream...but\nthis is different. I have a reason...{b}{[0004]}See, I owe it to my hometown. It's so\ncold there, people are constantly\nshivering.{b}{[0004]}If I find oil and send it there, then\npeople can use it to heat their homes.{b}{[0004]}Oil will make me rich and them happy.\nIt seems to be the perfect goal, right?{b}{[0004]}I have always, always...had this\ndream, since I was very small.{b}{[0004]}Of course, getting rich is a big part of\nit too, but who doesn't want money?{b}{[0004]}Money! Money! Cover me with it,\nplease! Hahhhhhhhhhhh... Well,\nenough for tonight...{b}
salari_after_010	{[0203]}{[0200]}The Buzzar Fiend\x0f\x02\0{b}{[0004]}Why did it have to turn out like this?{b}{[0004]}I got to Toad Town by boat, then took\na train to the foot of Mt. Rugged.{b}{[0004]}Unfortunately, you can only get from\nMt. Rugged to Dry Dry Desert on foot.{b}{[0004]}And tragedy waited for me as I\nslogged faithfully up that winding\ntrail...{b}{[0004]}It was a huge, awful vulture! I had\nread about it in my travel brochures!{b}{[0004]}This Buzzar accosted all travelers on\nMt. Rugged!{b}{[0004]}I hightailed it, but Buzzar had me in\nits sights.{b}{[0004]}I felt a piercing jolt as its claws dug\ndeep into my backpack.{b}{[0004]}After dropping me onto a cliff, Buzzar\nseemed to forget me and disappear.{b}{[0004]}I let out a sigh of relief, but when I\ntouched my back, I noticed my pack\nwas gone!{b}{[0004]}My pack! In it was all my food and\nmoney to start the operation! No!{b}{[0004]}That mangy Buzzar made off with\neverything of importance to me!{b}{[0004]}All I have left is this journal, a shovel\nto dig for oil, and my life...{b}{[0004]}But perhaps living is miracle enough...\nor so I'd like to believe.{b}{[0004]}But now...I can't turn back. I climbed\ndown the mountain to the desert.{b}{[0004]}The Dry Dry Desert sprawls out before\nme, beckoning dreamers and fools...{b}{[0004]}I am both, and I set out with a heart\nfull of dread...{b}
salari_after_011	{[0203]}{[0200]}A Helping Hand\x0f\x02\0{b}{[0004]}I am now in a place called\nDry Dry Outpost.{b}{[0004]}Someone pulled me, lifeless and\nparched, from the merciless\ndesert floor...{b}{[0004]}It was a Koopa with a fine mustache\nnamed Kolorado. An angel in a\npith helmet...{b}{[0004]}He was a world-traveling adventurer-\narchaeologist.{b}{[0004]}I told him about Buzzar...{b}{[0004]}And my quest for oil...and my dreams\nof riches and warmth for my people...{b}{[0004]}After I spoke at length, he gave me\nfood and water.{b}{[0004]}I asked him why he should be so kind,\nand he looked into the distance\nand said...{b}{[0004]}"Turning one's back on an ambitious\ndreamer...{b}{[0004]}"invites others to do the same to you,\nold boy.{b}{[0004]}"I just... I just want to believe in every\ndream this sad old world can muster."{b}{[0004]}This guy, he still chases his own\ndreams, dusty dreams of archaeology.{b}{[0004]}We stayed up all night discussing\neach other's dreams. It was great.{b}
salari_after_012	{[0203]}{[0200]}A Reliable Guide\x0f\x02\0{b}{[0004]}I am now at a desert oasis.{b}{[0004]}After Kolorado left, I set out from Dry\nDry Outpost to find my digging point.{b}{[0004]}But the desert is so wide...\nIt's impossible to find anything\nwithout a guide.{b}{[0004]}I had no idea where I was going, and\nmy head was splitting in the heat.{b}{[0004]}My throat was burning and scratchy...\nWas I awake? Was I asleep?{b}{[0004]}I heard a voice calling to me from\nfar away...{b}{[0004]}"Hey, are you a nice guy? If\nyou're a nice guy, then give\nme something nice."{b}{[0004]}I didn't have the food or water I\nreceived from Kolorado. I had nothing.{b}{[0004]}"Why do you lie here? If you are a\nnice guy, give me a nice thing, and\nI will help."{b}{[0004]}I croaked, "All I have is...{b}{[0004]}\n"All I have is my dream..."\n{b}{[0004]}When I next awoke, I was at this oasis.{b}{[0004]}"You're awake!" I heard!{b}{[0004]}There was a Little Mouser there in\na gray head scarf.{b}{[0004]}"My name is Moustafa. You had\nnothing to give, but I got something\nnice anyway!"{b}{[0004]}I don't know how or why, but it\nseems I'd been saved by yet\nanother stranger...{b}{[0004]}"Do you need a guide? If there is\nsomewhere you want to go, I will\ntake you."{b}{[0004]}Unbelievable! I've actually found a\nreliable guide.{b}
salari_after_013	{[0203]}{[0200]}The Digging Point\x0f\x02\0{b}{[0004]}We're here! I'm finally at the spot\nwhere I'm supposed to dig for oil!{b}{[0004]}I was told to draw a line from a blue\ncactus to a cactus-like rock...{b}{[0004]}I went north a precise distance from\nthe exact termination point...{b}{[0004]}I ended up here, at a point between\nDry Dry Ruins and the oasis...{b}{[0004]}Moustafa has guided me this far with\nskill and bravery...{b}{[0004]}He said, "You are a nice guy. Your\ndream will come true. Moustafa\nbelieves this."{b}{[0004]}He left then, leaving me to fight this\nbattle on my own!{b}{[0004]}All I have to do is dig here until I find\noil. That's all...{b}{[0004]}I stocked up on lemons and limes at\nthe oasis, so I should last a few days.{b}{[0004]}I MUST find that oil!{b}
salari_after_014	{[0203]}{[0200]}The Long Dig\x0f\x02\0{b}{[0004]}I am digging...for oil now, and...my\nhand shakes...as I write these...\nperhaps final...words...{b}{[0004]}I have been digging...from sunup to\nsundown...but...still no sign of...that\nsweet crude...{b}{[0004]}Maybe...I've just picked...a dry\nspot...in this cursed spot...in this\ncursed desert...{b}{[0004]}But...I'm sure this...is where\nMerluvlee...told me to dig...\nYes...I'm sure of it...{b}{[0004]}There's...no more...food...or water...\nand even my hopes...have dwindled...\nto nothing...{b}{[0004]}Ahhh...this is it...my dream...dies\nhere...with me...under these...\nunforgiving skies...{b}{[0004]}My...dream...{b}{[0004]}My...{b}{[0004]}My?{b}{[0004]}Wait...no...this is not it... My dream...\nis of something...else... Yes...\nsomething else...{b}{[0004]}Dig...{b}{[0004]}\nKeep...digging...{b}{[0004]}\n\nI...must...keep...digging...{b}{[0004]}Arms...move...body...work...find...oil...{b}
salari_after_015	{[0203]}{[0200]}The Wrap-Up\x0f\x02\0{b}{[0004]}I am now on a boat back to dear\nRogueport.{b}{[0004]}I did it! I finally struck oil in that\ndry desert!{b}{[0004]}I have left the day-to-day operation\nto my men in the field, and now\nreturn home.{b}{[0004]}It all came true... Striking it rich...\nFinding oil... My dream...{b}{[0004]}But...somewhere along the way, this\nbecame more than just my dream.{b}{[0004]}So many people have helped to make\nthis dream happen. So many...{b}{[0004]}"You had nothing to give, but I\ngot something nice anyway!"\nDear Moustafa...{b}{[0004]}"I just want to believe in every\ndream this sad world can muster."\nAh, Kolorado...{b}{[0004]}People who lent me money...and gave\nme food...and showed me the way...{b}{[0004]}So many hands reaching out to\nhelp me...{b}{[0004]}I must do something for all of them!\nThat feeling has pushed me even\nharder...{b}{[0004]}I must share this feeling with the\npeople who helped me as I struggled!{b}{[0004]}I must share these words that have\nseared themselves into my heart...{b}{[0004]}{[0203]}{[0200]}Dreams come true.\x0f\x02\0{[0100|f4010000]}\n{[0202]}-Lumpy-\x0f\x02\x02{b}
salari_after_016	Heh...{[0100|fa000000]} Yeah, that's a little\nembarrassing.{[0100|fa000000]} Read another?
salari_after_018	I see.{b}{[0004]}Well, I'll just be here, thinking about\nwhat to do next, so say hi anytime.{b}
irai_list_01	No available trouble requests.
irai_list_02	All requests completed!
irai_00	Hey. {[0100|fa000000]}Is this your first time to the\nTrouble Center? Then I'll explain how\nour service works. Listen up good!
irai_01	{[010d|00000000010000009600000028000000]}Yes.\nNo.
irai_02	I see.
irai_03	This Trouble Center is where people\ncome with troubles.{[0100|fa000000]} That's why it's\nnamed that. {b}{[0004]}If you want to see what kind of\ntroubles people have, check that\nbulletin board.{b}{[0004]}If you're a nice guy, you'll choose\nsomeone and try to help them out.\n{[0100|fa000000]}If not, not.{b}{[0004]}Help someone out and they'll give\nyou a reward, probably.{[0100|fa000000]} Not a bad\ndeal, eh?{b}{[0004]}But remember!{[0100|fa000000]} If you decide not to\nsolve a trouble, you have to pay\nto cancel.{b}{[0004]}You got that?{[0100|fa000000]} Well, good.{[0100|fa000000]} Then go\nhelp someone out!{b}
irai_04	Hoo, boy...{[0100|fa000000]} I told you to listen good!{b}{[0004]}This Trouble Center is where people\ncome with troubles.{[0100|fa000000]} That's why it's\nnamed that. {b}{[0004]}If you want to see what kind of\ntroubles people have, check that\nbulletin board.{b}{[0004]}If you're a nice guy, you'll choose\nsomeone and try to help them out.\n{[0100|fa000000]}If not, not.{b}{[0004]}Help someone out and they'll give\nyou a reward, probably.{[0100|fa000000]} Not a bad\ndeal, eh?{b}{[0004]}But remember!{[0100|fa000000]} If you decide not to\nsolve a trouble, you have to pay\nto cancel.{b}{[0004]}You got all that?{[0100|fa000000]} Good!{[0100|fa000000]} I hate\nexplaining it over and over, so\ndon't ask me again!{b}
irai_06	Look at the board if you wanna\naccept a trouble request, will ya?{[0004]}Or are ya wanting an explanation\non this here Trouble Center?{[0101]}
irai_75	Hmmm...{[0100|fa000000]} All right then!{[0100|fa000000]} I'll spell it out\nfor you!{[0100|fa000000]} Listen up!{b}{[0004]}This Trouble Center is where people\ncome with troubles.{[0100|fa000000]} That's why it's\nnamed that. {b}{[0004]}If you want to see what kind of\ntroubles people have, check that\nbulletin board.{b}{[0004]}If you're a nice guy, you'll choose\nsomeone and try to help them out.\n{[0100|fa000000]}If not, not.{b}{[0004]}Help someone out and they'll give\nyou a reward, probably.{[0100|fa000000]} Not a bad\ndeal, eh?{b}{[0004]}But remember!{[0100|fa000000]} If you decide not to\nsolve a trouble, you have to pay\nto cancel.{b}{[0004]}You got all that?{[0100|fa000000]} Good.{[0100|fa000000]} Explaining it\nis a mouthful, so don't make me do\nit again!{b}
irai_07	You got a question?{[0101]}
irai_79	Got another question?{[0101]}
irai_08	{[010d|0000000003000000540100003c000000]}Yeah, about this trouble...\nI want to cancel!\nWhat is this place?\nI'm good.
irai_09	If you want to get out of this, it'll\ncost you 30 coins. What do you\nwanna do?{[0101]}
irai_76	{[010d|0000000001000000540100003c000000]}Cancel.\nCancel that cancel.
irai_10	Then I'll just take your cancellation\nfee now.{b}{[0004]}I'll take any items you got as part\nof the request{[0100|fa000000]} and return them to\ntheir owners.{b}{[0004]}If you want to take on any other\ntroubles, check the board, you\ngiver-upper.{b}
irai_77	Then I'll just take your cancellation\nfee. I'll also take items you got as\npart of the request and return them.
irai_11	Hey! {[0100|fa000000]}You don't have enough coins!{[0100|fa000000]}\nYou get mugged? You'll just have to\ntry to resolve this trouble.{b}
irai_12	You'll just have to resolve this\nthing. Good luck.{b}
irai_78	You can only take on one request at\na time. Cancel your current one if you\nwant to accept a different one.
irai_13	You've taken on Garf's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\nhouse at the very back of east\nRogueport.{b}
irai_14	You've taken on McGoomba's\ntrouble, looks like.{b}{[0004]}You're gonna make contact behind\nZess T.'s house in Rogueport Square.{b}
irai_15	You've taken on Arfur's trouble,\nlooks like.{b}{[0004]}You're gonna make contact outside\nthis building.{b}
irai_16	You've taken on Goomther's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in\nRogueport Square.{b}
irai_17	You've taken on Mousimilian's\ntrouble, looks like.{b}{[0004]}You're gonna make contact in front\nof the shop in Rogueport Square.{b}
irai_18	You've taken on Bomberto's trouble,\nlooks like.{b}{[0004]}You're gonna make contact at\nRogueport Harbor.{b}
irai_19	You've taken on Koopook's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in\nHooktail Castle.{b}
irai_20	You've taken on the Petalburg\nmayor's trouble, looks like.{b}{[0004]}You're gonna make contact in the\npink house in Petalburg.{b}
irai_21	You've taken on Plenn T.'s trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\nshop in Rogueport Square.{b}
irai_22	You've taken on the Puni elder's\ntrouble, looks like.{b}{[0004]}You're gonna make contact in\nthe Great Tree in Boggly Woods.{b}
irai_23	You've taken on Lahla's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\nPianta Parlor in west Rogueport.{b}
irai_24	You've taken on Pine T. Jr.'s trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\nentrance to the Pit of 100 Trials\nbelow Rogueport.{b}
irai_25	You've taken on Jolene's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\nGlitz Pit in Glitzville.{b}
irai_26	You've taken on Merlee's trouble,\nlooks like.{b}{[0004]}You're gonna make contact in the\ncharmer's hut underneath Rogueport.{b}
irai_27	You've taken on Bub-ulber's trouble,\nlooks like.{b}{[0004]}You're gonna make contact\nin Petalburg.{b}
