aaa.msbt
pro_00	有您的信～
gor_03_045	虽然弟弟从来不肯踏出家门，\n但我还是偶尔陪他玩玩好了……{[0004]}嗯，{[0100|fa000000]}\n下次找他一起踢足球吧。
gor_03_046	我问弟弟要不要一起踢足球，\n他非常高兴。{[0004]}早知道他会这么高兴，\n我应该早点找他一起玩就对了。{[0004]}不过作为弥补，\n以后我会多多和他一起玩的。
gor_03_047	我昨天和弟弟一起踢了足球。{[0100|fa000000]}\n我们玩得非常开心。{[0004]}而且他挺有天赋的。{[0004]}我们明天也要一起玩，\n我非常期待。
gor_03_048	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你说孩子他爸会担心我？{[0100|fa000000]}\n完～全没问题。{[0004]}{[030a|01000000]}因为我老公只要写他的小说\n就能活下去了♪{[030a|00000000]}
gor_03_049	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你说我家里人会担心我？{[0100|fa000000]}\n完～全没问题。{[0004]}{[030a|01000000]}因为我家里人都喜欢各忙各的♪{[030a|00000000]}
gor_03_050	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你说我家里人会担心我？{[0100|fa000000]}\n完～全没问题。{[0004]}{[030a|01000000]}因为我家里人都各有各的生活方式嘛♪{[030a|00000000]}
gor_03_051	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你问我做饭怎么办？{[0100|fa000000]}\n完～全没问题。{[0004]}{[030a|01000000]}因为我们家吃饭都是买现成的♪{[030a|00000000]}
gor_03_052	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你问我做饭怎么办？{[0100|fa000000]}\n应该没问题吧。{[0004]}{[030a|01000000]}因为我们家吃饭都是买现成的♪{[030a|00000000]}
gor_03_053	每次打游戏，\n我最开心的就是在这台机器上看排行榜。{[0100|fa000000]}\n我一整天都会泡在这里。{[0004]}{[0101]}咦？{[0100|fa000000]}\n你说孩子们很可怜？{[0004]}…………{[0004]}{[0101]}{[030a|01000000]}没问题。{[0100|fa000000]}\n我们家孩子都可坚强了♪{[030a|00000000]}{[0004]}{[0101]}{[0100|fa000000]}不过偶尔也给他们做点什么东西吃吧……
gor_03_054	我昨天给孩子们做了意大利面，{[0004]}{[030a|01000000]}他们都非常高兴♪{[0004]}既然他们这么高兴，\n今后有空就给他们做做饭吧♪{[030a|00000000]}{[0004]}{[0101]}{[0100|64000000]}……不过，\n我还是很难不来\n看这台机器上的排行榜。
gor_03_055	{[0101]}{[030a|01000000]}前段时间，\n我们全家人一起去旅游了。{[0004]}和家人共度时光{[0100|fa000000]}\n真的很棒♪{[030a|00000000]}{[0004]}{[0101]}虽然我还是很难不来\n看这台机器上的排行榜……{[0004]}{[0101]}{[030a|01000000]}但我会更加珍惜\n和家人共度的时光♪
gor_03_056	今天也在床上躺了一天……{[0004]}算了，{[0100|fa000000]}\n反正我都这么有钱了！
gor_03_057	今天也在床上躺了一天……{[0004]}对了，我昨天炸弹兵抽奖\n中了１等奖，\n但我一步也没踏出家门……{[0004]}我应该去领奖金的……{[0004]}算了，{[0100|fa000000]}\n反正我都这么有钱了！
gor_03_058	今天也在床上躺了一天……{[0004]}算了，{[0100|fa000000]}\n反正因为伟大的冈萨雷兹获胜，\n我变得更加有钱了！
gor_03_059	今天也在床上躺了一天……{[0004]}算了，{[0100|fa000000]}\n反正通过网上拍卖，\n我变得更加有钱了！
gor_03_060	今天也在床上躺了一天……{[0004]}算了，{[0100|fa000000]}\n反正通过卖掉无人岛，\n我变得更加有钱了！
gor_03_061	今天也在床上躺了一天……{[0004]}{[0101]}算了……{[0100|64000000]}不对，{[0100|fa000000]}\n不能算了。{[0004]}我虽然这么有钱，\n但是不知道怎么花钱。{[0004]}你根本不懂我的心情。
gor_03_062	昨天久违地下了床，\n去外面散了散步。\n天空真蓝啊。{[0004]}我都忘了天空是如此湛蓝。{[0004]}不管再怎么有钱，\n也买不来那片湛蓝的天空吧。{[0004]}我好像有些明白\n该怎么使用那些花不完的钱了。
gor_03_063	有人想把《纸片马力欧》\n这本小说改编成电影。{[0004]}他希望我能帮忙。{[0004]}我也看过那本小说，非常有趣。{[0100|fa000000]}\n很令人感动。{[0004]}{[0101]}我认为，这才是花不完的钱的\n正确使用方法。{[0004]}也许我差不多该爬下床了。
gor_03_064	啊……{[0100|fa000000]}\n真舒适。{[0004]}我很喜欢这里。{[0100|fa000000]}\n整个恶棍镇，\n只有这里能让我放松。
gor_03_065	啊……{[0100|fa000000]}\n真舒适。{[0004]}我很喜欢这里。{[0100|fa000000]}\n整个恶棍镇，\n只有这里能让我放松。
gor_03_066	啊……{[0100|fa000000]}\n真舒适。{[0004]}我喜欢花朵，所以别人都嘲笑我，\n说我是个奇怪的栗宝宝。\n但我完全不在意。
gor_03_067	啊……{[0100|fa000000]}\n真舒适。{[0004]}在花花草草间发发呆，\n就会觉得非常轻松。{[0100|fa000000]}\n我是不是太累了啊？
gor_03_068	啊……{[0100|fa000000]}\n真舒适。{[0004]}在花花草草间发发呆，\n就会觉得非常轻松。{[0100|fa000000]}\n我是不是太累了啊？
gor_03_069	啊……{[0100|fa000000]}\n真舒适。{[0004]}一整天坐在地上，\n看着人们忙忙碌碌，\n可真舒适。
gor_03_070	啊……{[0100|fa000000]}\n真舒适。{[0004]}我一整天都眺望着喷泉，\n不知为何完全看不腻。{[0100|fa000000]}\n我是不是太累了啊？
gor_03_071	啊……{[0100|fa000000]}\n真舒适。{[0004]}我一整天都眺望着飘动的云朵，\n不知为何完全看不腻。{[0100|fa000000]}\n我一定是累坏了。
gor_03_072	呼……{[0100|fa000000]}\n虽然这座城镇全是恶棍，\n但来到这一带就能松口气了。{[0004]}多亏蒙特奥内大人管理得好，\n我才能放下心来尽情购物。
gor_03_072_01	{[0307|00004040]}啊！{[0307|0000803f]}{[0100|fa000000]}\n库萝妲夫人！？{[0004]}{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n我是你的粉丝！{[0100|fa000000]}\n没想到能在这种地方遇见你，我好激动！
gor_03_073	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_073_01	{[0307|00004040]}啊！{[0307|0000803f]}{[0100|fa000000]}\n库萝妲夫人！？{[0004]}{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n我是你的粉丝！{[0100|fa000000]}\n没想到能在这种地方遇见你，我好激动！
gor_03_074	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_074_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}我喜欢你的出道作《仲冬昼之梦》！{[0100|fa000000]}\n我看了３次呢！！
gor_03_075	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_075_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}你的代表作《欧姆雷特》太感人了！{[0100|fa000000]}\n我看了１０次呢！！
gor_03_076	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_076_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}你的代表作《欧姆雷特》太感人了！{[0100|fa000000]}\n我看了１００次呢！！
gor_03_077	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_077_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}你的代表作《割纸魅影》实在太精彩了！{[0004]}我看了１０次呢！！
gor_03_078	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}但我喜欢的库萝妲夫人\n前阵子告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_078_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}你的代表作《割纸魅影》实在太精彩了！{[0004]}我看了１００次呢！！
gor_03_079	我的兴趣是观赏戏剧。{[0004]}正因为住在这种城镇，\n才会格外向往华丽的舞台。{[0004]}{[0101]}我本来还在\n为我喜欢的库萝妲夫人\n终于重返舞台而开心……{[0004]}结果最近\n她又告别舞台了……{[0004]}作为她的粉丝，实在非常难过……
gor_03_079_01	{[0309|01000000]}呀～～～！！{[0309|00000000]}{[0100|fa000000]}\n没想到会遇见库萝妲夫人！{[0004]}你的最新作品《纸片马力欧》\n真是巅峰之作！！{[0004]}我打算看个１０００次！！
gor_03_mail3_00_kur	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_03_mail3_00_nok	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_03_mail3_00_win	马力欧！{[0100|fa000000]}\n一定是碧姬发来的邮件哟。
gor_03_mail3_00_yos	冈萨雷兹！{[0100|fa000000]}\n你好像收到邮件了。
gor_03_mail3_01	马力欧：\n我得知了一个惊人的消息。{[0004]}他们的目的是征服世界。{[0004]}为此，他们企图集齐星之石，\n拿到传说中的宝藏。{[0004]}虽然不知宝藏究竟是什么，\n但总而言之，请你尽快拿到星之石。{[0004]}我也会尽量收集信息。{[0100|f4010000]}\n{[0202]}碧姬\x0f\x02\x02
gor_03_mail3_02_kur	征……征服世界！？{[0100|fa000000]}\n总觉得事态严重起来了……
gor_03_mail3_02_nok	征……征服世界！？{[0100|fa000000]}\n总觉得事态严重起来了……
gor_03_mail3_02_win	征……征服世界！？{[0100|fa000000]}\n总觉得事态严重起来了呢……
gor_03_mail3_02_yos	征……征服世界！？{[0100|fa000000]}\n总觉得事态严重起来了……
kyaku1_00_00	嗨，你怎么样？{[0004]}咦？我吗？{[0100|fa000000]}\n我今天状态绝佳！{[0004]}说起来，你想不想要这里的会员卡？\n有会员卡的话，就可以游玩\n更多小游戏了。{[0004]}对了……{[0100|fa000000]}\n要是你多多帮助有困难的人，\n说不定会有人转赠给你呢。
kyaku1_00	嗨，你怎么样？{[0004]}咦？我吗？{[0100|fa000000]}\n我今天也状态绝佳！{[0100|2c010000]}\n已经挣了一大把了！！
kyaku1_01	嗨，你怎么样？{[0004]}什么什么？{[0100|fa000000]}\n你在找这里的经营者蒙特奥内？{[0004]}这样啊……{[0100|fa000000]}\n关于黑道上的事，\n东区的史奈尔说不定知道些什么。
kyaku4_00_00	这里由黑手党巨头——\n“蒙特奥内家族”的老大经营。{[0004]}在这里可以游玩有趣的小游戏，\n赚取蒙特，兑换豪华奖品。{[0004]}多多游玩，多多兑换吧！
kyaku4_00	在这里玩游戏不用金币，\n用的是一种叫蒙特的代币。{[0004]}可以在那边的兑币机\n用３枚金币兑换１枚蒙特。{[0004]}但是蒙特不能反过来兑换成金币，\n要注意哦。
irai_11_001	欢迎光临～！！{[0004]}哇！{[0100|fa000000]}\n你看了我的委托过来的对吧！{[0004]}我好高兴。{[0100|fa000000]}\n来！这是送你的！{[0100|fa000000]}
irai_11_003	呵呵呵，要对别人保密哦！{[0110]}{[0100|f4010000]}\x0f\x01\x10\n咦，怎么了？{[0110]}{[0100|f4010000]}\x0f\x01\x10\n你好像不太满意？
irai_11_004	算了，{[0100|fa000000]}\n这里是开心的游乐场！{[0004]}尽情游玩，\n大赚一笔吧！
irai_19_00	你愿意接受我的委托吗？{[0100|fa000000]}\n来了个口风严的人真是太好了。{[0004]}其实从热带小岛回来时，\n我不小心把结婚戒指弄丢了。{[0004]}我不能当着蒙妮的面\n兴师动众地去找，\n所以想请你偷偷帮我找一找。{[0004]}戒指是回到恶棍镇以后弄丢的，\n所以一定是掉在镇上的某处。{[0004]}万一蒙妮知道了这件事，\n恐怕会让我对她说１００遍我爱你也不止。{[0100|fa000000]}\n万事拜托了。
irai_19_01	怎么样？{[0100|fa000000]}\n能找到我的结婚戒指吗？{[0004]}{[0101]}{[030a|01000000]}唉——{[030a|00000000]}{[0100|fa000000]}\n戒指应该就掉在镇上的某处……{[0004]}万一蒙妮知道了这件事，\n恐怕会让我对她说１００００遍我爱你。
irai_19_02	你找到了！？
irai_19_03	我的戒指！！{[0100|fa000000]}\n谢谢你，马力欧。{[0100|fa000000]}\n我要对你表示衷心的感谢。{[0004]}这是报酬，你就收下吧。
irai_19_04	最近我心虚得\n都不敢直视蒙妮，{[0100|fa000000]}\n现在突然好想见她啊。{[0004]}那我先失陪了。
irai_19_05	蒙妮——{[0100|b6030000]}
gor_04_000	比起乘坐列车，\n我更喜欢在这里望着它。{[0004]}毕竟如果乘上去，\n就没法欣赏我最爱的\n列车的外观了啊？{[0004]}{[0101]}……开玩笑的。{[0100|fa000000]}\n其实我满心想乘车，\n但根本没钱买车票。
gor_04_001	比起乘坐列车，\n我更喜欢在这里望着它。{[0004]}毕竟如果乘上去，\n就没法欣赏我最爱的\n列车的外观了啊？{[0004]}{[0101]}……开玩笑的。{[0100|fa000000]}\n其实我满心想乘车，\n但根本没钱买车票。
gor_04_002	我时常想象这趟列车\n风驰电掣地奔驰在荒野上的样子。{[0004]}乌黑锃亮的车身无惧于\n狂风毫不留情的吹打，\n一往无前……{[0004]}怎么样，很令人激动吧！？{[0004]}虽然我现在没钱，\n但我希望总有一天，\n自己能乘上这趟列车。
gor_04_003	我时常想象这趟列车\n风驰电掣地奔驰在荒野上的样子。{[0004]}乌黑锃亮的车身无惧于\n狂风毫不留情的吹打，\n一往无前……{[0004]}怎么样，很令人雀跃吧！？{[0004]}虽然我现在没钱，\n但我希望总有一天，\n自己能乘上这趟列车。
gor_04_004	我时常想象这趟列车\n风驰电掣地奔驰在荒野上的样子。{[0004]}乌黑锃亮的车身无惧于\n狂风毫不留情的吹打，\n一往无前……{[0004]}怎么样，很帅气吧！？{[0004]}虽然我现在没钱，\n但我希望总有一天，\n自己能乘上这趟列车。
gor_04_005	你有列车票啊？{[0100|fa000000]}\n真厉害啊。{[0100|fa000000]}\n我也要努力攒钱。{[0004]}我当然知道\n这不是那么容易的事。{[0004]}{[0101]}但我总有一天，\n一定要乘上这趟豪华高速列车！{[0004]}话说回来，\n瞧这流线型的车身，\n无论看多久都看不腻啊。
gor_04_006	你有列车票啊？{[0100|fa000000]}\n真厉害啊。{[0100|fa000000]}\n我也要努力攒钱。{[0004]}我当然知道\n这不是那么容易的事。{[0004]}{[0101]}但我总有一天，\n一定要乘上这趟豪华高速列车！{[0004]}话说回来，\n瞧这流线型的车身，\n无论看多久都看不腻啊。
gor_04_007	我也好想要一张列车票啊。{[0100|fa000000]}\n我当然知道\n这不是那么容易的事。{[0004]}但我坚信自己总有一天\n能乘上这趟豪华高速列车。{[0100|fa000000]}\n只靠自己的力量。
gor_04_008	啊，车站站台真棒啊{[0004]}迄今为止，这里肯定发生了\n无数戏剧性的邂逅～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[030a|00000000]}
gor_04_009	啊，车站站台真棒啊{[0004]}迄今为止，这里肯定发生了\n无数戏剧性的邂逅～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[030a|00000000]}
gor_04_010	啊，迄今为止，这里肯定发生了\n无数感伤的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我眼泪都要掉下来了～～！{[030a|00000000]}
gor_04_011	啊，迄今为止，这里肯定发生了\n无数寂寞的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我眼泪都要掉下来了～～！{[030a|00000000]}
gor_04_012	啊，迄今为止，这里肯定发生了\n无数痛苦的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我眼泪都要掉下来了～～！{[030a|00000000]}
gor_04_013	啊，迄今为止，这里肯定发生了\n无数潇洒的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我眼泪都要掉下来了～～！{[030a|00000000]}
gor_04_014	啊，迄今为止，这里肯定发生了\n无数凄美的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我也好想来一次凄美的离别～～！{[030a|00000000]}{[0004]}啊！？{[0100|fa000000]}\n在那之前得先谈个恋爱才行！
gor_04_015	啊，迄今为止，这里肯定发生了\n无数凄美的离别～！{[0004]}啊～\n{[030a|01000000]}{[0100|fa000000]}真让人向往～～！{[0100|fa000000]}\n我也好想来一次凄美的离别～～！{[030a|00000000]}{[0004]}啊！？{[0100|fa000000]}\n在那之前得先谈个恋爱才行！
gor_04_mail6_00_kur	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_00_nok	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_00_win	马力欧！{[0100|fa000000]}\n一定是碧姬发来的邮件哟。
gor_04_mail6_00_yos	冈萨雷兹！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_00_viv	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_00_bom	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_00_chu	马力欧！{[0100|fa000000]}\n一定是碧姬公主发来的邮件。
gor_04_mail6_01	马力欧：\n我知道我被抓到哪里了。{[0004]}这里是“月亮”。{[0100|fa000000]}\n就是夜空中的那轮“月亮”。{[0101]}{b}{[0004]}另外，我还得知了一件更惊人的事。{[0004]}为了让“魔物的灵魂”复活，\n需要我的……
gor_04_mail6_02_kur	月……月亮！？{[0100|fa000000]}\n碧姬公主在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
gor_04_mail6_02_nok	月……月亮！？{[0100|fa000000]}\n碧姬公主在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
gor_04_mail6_02_win	月……月亮！？{[0100|fa000000]}\n碧姬在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了哟……{[0101]}{b}{[0004]}难道碧姬出什么事了！？{[0101]}{b}
gor_04_mail6_02_yos	月……月亮！？{[0100|fa000000]}\n碧姬公主在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
gor_04_mail6_02_viv	啊……！{[0100|fa000000]}\n碧姬公主在月亮上……{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了呢……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
gor_04_mail6_02_bom	月……月亮！？{[0100|fa000000]}\n碧姬公主在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
gor_04_mail6_02_chu	月……月亮！？{[0100|fa000000]}\n碧姬公主在月亮上？{[0004]}而且……{[0100|fa000000]}\n邮件到一半就中断了呢……{[0101]}{b}{[0004]}难道碧姬公主出什么事了！？{[0101]}{b}
hikou_00	本飞船开往乌龙街。{[0100|fa000000]}\n要搭乘飞船吗？{[0101]}
hikou_01	{[010d|00000000010000009600000028000000]}要\n不要
hikou_02	那么，搭乘时请小心脚下。
hikou_03	衷心期待你再度搭乘。
hikou_06	祝你度过一段愉快的空中之旅。
hikou_07	本飞船开往乌龙街。{[0100|fa000000]}\n如需搭乘，请出示飞船票。
hikou_08	票已确认无误。{[0100|fa000000]}\n请问现在要搭乘吗？{[0101]}
hikou_09	票已确认无误。{[0100|fa000000]}\n那么，搭乘时请小心脚下。
train_00	本列车是开往比亮丽山庄的\n豪华高速列车。{[0100|fa000000]}\n要搭乘列车吗？{[0101]}
train_01	{[010d|00000000010000009600000028000000]}要\n不要
train_02	衷心期待你再度搭乘。
train_04	那么，搭乘时请小心脚下。
train_06	距离下次发车\n还有一段时间。
train_07	出发～！
train_08	本列车是开往比亮丽山庄的\n豪华高速列车。{[0100|fa000000]}\n如需搭乘，请出示列车票。
train_09	票已确认无误。{[0100|fa000000]}\n请问现在要搭乘吗？{[0101]}
train_10	票已确认无误。{[0100|fa000000]}\n正在进行发车准备，\n请稍候片刻。
train_11	票已确认无误。{[0100|fa000000]}\n那么，搭乘时请小心脚下。
pro_04	你好，马力欧。\n我正在周游蘑菇王国。{[0004]}真不敢相信！我在旅途中，\n得到了一张神奇的藏宝图。{[0004]}{[0101]}在一个叫恶棍镇的城镇，\n一位卖东西的老婆婆给我的盒子里，\n就装着这张地图。{[0004]}但是光凭我一个人，\n恐怕很难找到宝藏……{[0004]}所以我想请马力欧帮我一起寻宝。\n可以吗？{[0004]}我把藏宝图随信寄给你了。\n拿着它来镇上找我吧。{[0004]}我在恶棍镇的港口等你。\n（请一定要来。）{[0100|f4010000]}\n{[0202]}碧姬\x0f\x02\x02
gor_shop.msbt
gor_01_cook_000	哦，{[0100|fa000000]}是你啊。{b}{[0101]}
gor_01_cook_000_1	哦，{[0100|fa000000]}是你啊。{b}\n你看上去精神不错。{b}{[0101]}
gor_01_cook_001	我是南希。{[0100|fa000000]}\n别看我这样，我很擅长料理哦。{[0004]}只要你带来材料，\n让我给你露一手也行哦。{[0004]}那么事不宜迟，\n我这就给你做点什么吧？{b}{[0101]}
gor_01_cook_002	要我给你做点什么吗？{b}{[0101]}
gor_01_cook_003	喂，你听我说！！{[0004]}那本传说中只要看了\n就能成为料理高手的书，\n我总算知道它在哪里了！{[0004]}我已经去东区的“烦恼委托中心”\n提出了委托，看有没有人愿意帮我找！{[0004]}你要是愿意接受我的委托，\n就去烦恼委托中心看看吧。{[0100|fa000000]}\n报酬很丰厚哦！{[0004]}算了，先不说这些……{[0100|fa000000]}\n要我给你做点什么吗？{b}{[0101]}
gor_01_cook_004	好了，{[0100|fa000000]}\n要我给你做点什么吗？{b}{[0101]}
gor_01_cook_005	……喂，我说你啊。{[0100|fa000000]}\n这不是一点料理材料都没带吗？{[0004]}没有材料的话，我可做不了料理。\n下次来不要忘了带上材料。
gor_01_cook_024	……喂，我说你啊。{[0100|fa000000]}\n身上带的道具不够啊。\n用１个材料的料理倒是能给你做。{b}{[0101]}
gor_01_cook_012	嗯嗯，那么……{[0100|fa000000]}\n我就用“{[030e|0000000000000000]}”\n给你做料理了。{[0101]}
gor_01_cook_013	那么，我就用“{[030e|0000000000000000]}”\n和“{[030e|0100000000000000]}”给你做料理了。{[0101]}
gor_01_cook_014	哦？{[0100|fa000000]}不做了吗？{[0100|fa000000]}\n好吧，有空再来哦。
gor_01_cook_015	那我要开始烹饪了，\n乖乖等着哦！
gor_01_cook_016	{[030a|01000000]}哼哼哼哼～哼哼哼～♪{[0100|d0070000]}
gor_01_cook_017	久等了。{[0100|fa000000]}\n做得非常可口哦。{b}{[0101]}
gor_01_cook_018	久等了。{[0100|fa000000]}\n很不错的料理哦。{b}{[0101]}
gor_01_cook_019	久等了。{[0100|fa000000]}\n但不知合不合你的口味……{b}{[0101]}
gor_01_cook_020	很遗憾，料理失败了。{[0100|fa000000]}\n偶尔也会发生这种事啦。{b}{[0101]}
gor_01_cook_021	……{[0100|fa000000]}\n我也不太明白怎么回事，\n总之做出了这种东西。{b}{[0101]}
gor_01_cook_022	给你，拿去吧。
gor_01_cook_023	还要做点什么吗？
gor_01_cook_oncestop	{[0300|0000000000000000]}{[0101]}
gor_01_select	{[010d|00000000010000009600000028000000]}是\n否
gor_01_cook_select_1	{[010d|0000000002000000d700000050000000]}用１个材料制作\n用２个材料制作\n不做了
badgeshop_00	{[0101]}装备“{[030e|0000000000000000]}”\n需要“{[0300|0200000000000000]}”ＢＰ！\n售价{[0300|0100000000000000]}枚金币，您意下如何！？{[0101]}
badgeshop_01	{[0307|00004040]}哦……{[0307|0000803f]}{[0100|fa000000]}\n十分抱歉，\n您的金币似乎不够哦{[0307|00004040]}！！{[0307|0000803f]}
badgeshop_02	您持有的徽章已经满了{[0307|00004040]}！{[0307|0000803f]}\n请将徽章卖出后\n再来购买{[0307|00004040]}！！{[0307|0000803f]}
badgeshop_03	{[0307|00004040]}谢谢惠顾！！{[0307|0000803f]}
badgeshop_12	{[0307|00004040]}欢迎光临{[0307|0000803f]}{[0100|fa000000]}徽章商店“甜心啾啾”！\n欢迎{[0307|00004040]}！{[0307|0000803f]}{[0100|64000000]}欢迎{[0307|00004040]}！！{[0307|0000803f]}{[0100|64000000]}欢迎{[0307|00004040]}！！！{[0307|0000803f]}{[0004]}因为您是初次光临，\n请允许我先介绍一下本店！！{b}{[0101]}
badgeshop_13	那边的货架上陈列的是\n本店的推荐徽章！！{[0004]}想购买其他徽章时，\n请去最右边的纸箱处\n寻找您想要的商品！！！{[0004]}{[0101]}以上就是关于本店的说明。\n需要我再讲一次吗！？{[0101]}
badgeshop_14	那么！{b}{[0101]}
badgeshop_15	那祝您购物愉快！
badgeshop_16	那么我再重新讲一次！！！
badgeshop_04	{[0307|00004040]}欢迎光临{[0307|0000803f]}{[0100|fa000000]}徽章商店“甜心啾啾”{[0307|00004040]}！{[0307|0000803f]}\n{[0307|00004040]}好了！{[0307|0000803f]}{[0100|fa000000]}您有什么需要{[0307|00004040]}！？{[0307|0000803f]}{[0101]}
badgeshop_04_1	您还有什么需要吗！？{[0101]}
badgeshop_06	哦{[0307|00004040]}！？{[0307|0000803f]}{[0100|fa000000]}\n您好像１个徽章也没带哦{[0307|00004040]}！{[0307|0000803f]}
badgeshop_08	您要卖掉“{[030e|0000000000000000]}”吗{[0307|00004040]}！？{[0307|0000803f]}\n收购价是{[0300|0100000000000000]}枚金币！{[0101]}
badgeshop_08_1	“{[030e|0000000000000000]}”现在装备在您身上，\n确定要卖掉吗{[0307|00004040]}！？{[0307|0000803f]}\n收购价是{[0300|0100000000000000]}枚金币！{[0101]}
badgeshop_22	{[0307|00004040]}欢迎再来！！{[0307|0000803f]}
badgeshop_23	{[010d|0000000002000000c30000003c000000]}我来卖东西\n关于徽章店\n没什么
badgeshop_24	{[010d|00000000010000009600000028000000]}要\n不要
badgeshop_37	{[0307|00004040]}{[0309|01000000]}十分抱歉！{[0309|00000000]}{[0307|0000803f]}{[0100|fa000000]}\n本店徽章均已售罄～{[0307|00004040]}！！{[0307|0000803f]}
