aaa.msbt
pro_00	有信喔～
gor_02_035	{[0200]}{color[e61b00cc]}煩惱委託中心{color[000000b2]}\x0f\x02\0\n　　　　目前外出中。\n　　　　請下次再來。
irai_01_00	就是你接下了我的委託嗎？{[0100|fa000000]}\n那你快去幫我找啊。{[0004]}我的鑰匙被人撿走，\n要是他擅自闖進來就糟了，\n所以我會待在這裡看家。{[0004]}我應該是去徽章店時弄丟了鑰匙，\n但也不是很確定。
irai_01_01	我的鑰匙被人撿走，\n要是他擅自闖進來就糟了，\n所以我會待在這裡看家。{[0004]}我應該是去徽章店時弄丟了鑰匙，\n但也不是很確定。
irai_01_02	你找到了嗎？
irai_01_03	哦，是我家的鑰匙！{[0004]}這下終於可以進家門了。{[0100|fa000000]}\n謝啦！{[0004]}這是你的報酬，收下吧。
irai_02_04	是交易物啊……{[0100|fa000000]}\n我確實收下了。{[0004]}你幫我跟瑪克栗說一下……{[0100|fa000000]}\n我會妥善處理掉，\n不會讓任何人發現。{[0004]}還有，這次的事情你最好全部忘掉。{[0100|fa000000]}\n這也是為了你好。{[0004]}千萬別忘記這點啊。{[0110]}{[0100|f4010000]}\x0f\x01\x10\n不對，給我忘掉！{[0004]}之後你就去找瑪克栗\n領取該領的報酬吧。{[0004]}委託要好好向委託人回報之後\n才算是完成喔！
irai_03_00	你幫我調查價格了嗎？{[0101]}
irai_03_00_s	{[010d|00000000010000009600000028000000]}是的\n還沒
irai_03_01	拜託你了。{[0004]}我想知道的是\n惡棍鎮那間商店的……{[0004]}「火之花」「好孩子快入睡」，\n還有「清爽飲料」的價格。
irai_03_02	哦！這樣啊。{[0100|fa000000]}\n那快點告訴我吧。{[0004]}首先……{[0100|fa000000]}\n「火之花」是多少錢？{[0101]}
irai_03_02_s	{[010d|00000000ffffffffb90000003c000000]}1金幣\n10金幣\n90金幣
irai_03_03	………………{[0100|fa000000]}\n………………{[0100|fa000000]}\n…………原來如此。{[0004]}那麼，「好孩子快入睡」是多少錢？{[0101]}
irai_03_03_s	{[010d|00000000ffffffffb90000003c000000]}8金幣\n15金幣\n25金幣
irai_03_04	………………{[0100|fa000000]}\n………………{[0100|fa000000]}\n這樣啊…………{[0004]}那麼最後一個問題，\n「清爽飲料」是多少錢？{[0101]}
irai_03_04_s	{[010d|00000000ffffffffc80000003c000000]}3金幣\n15金幣\n198金幣
irai_03_05	………………{[0100|fa000000]}\n………………{[0100|fa000000]}\n…………唔，傷腦筋。{[0004]}狀況有點棘手呢。{[0100|fa000000]}\n想不到會賣這種價格……{[0004]}嗯～{[0100|fa000000]}\n看來在這個鎮上開店也賺不到錢。{[0004]}不過，這個資訊很有幫助。{[0100|fa000000]}\n這是你的報酬。
irai_04_003	嗯？你是誰啊？{[0100|fa000000]}\n沒事的話快走開。{[0004]}……什麼？{[0100|fa000000]}\n要我把出老千賺到的錢還來？{[0004]}原來你是討債的啊！！{[0100|fa000000]}\n可惡！\n我才不會在這種地方被你抓到！！
irai_13_001	我收到奇諾席可娃的聯絡了。{[0100|fa000000]}\n然後呢？我要收拾哪個傢伙啊？
irai_13_002	什麼？{[0100|c8000000]}是東西嗎？{[0100|c8000000]}\n算了，都沒差啦。{[0100|c8000000]}\n所以你要我收拾什麼東西？
irai_13_004	看來這是最後一個了。{[0100|fa000000]}\n我還是第一次接到這麼臭的工作。{[0004]}你也做了很臭的工作，\n記得去找奇諾席可娃\n領取該領的報酬喔。
irai_13_005	還有什麼事嗎？
irai_oku_00	唔！{[0100|fa000000]}\n怎麼會這樣！！{[0100|fa000000]}\n你發現秘密入口了嗎？{[0004]}因為常常有人提出\n很不妙的委託內容……{[0004]}千萬別跟大家說\n「煩惱委託中心」是我們經營的喔。
irai_oku_01	你想承接委託的話，\n麻煩從正門進來吧。{[0004]}因為常常有人提出\n很不妙的委託內容……{[0004]}我再強調一次，\n千萬別跟大家說是我們經營的喔。
monosiri_follow_00	發現垃圾桶裡的紙屑背面寫著\n「{[030e|0000000000000000]}」的資訊。{[0004]}已收錄進「百科知識列表」當中。
monosiri_follow_01	發現了一張寫著\n「{[030e|0000000000000000]}」資訊的紙。\n已收錄進「百科知識列表」當中。
monosiri_follow_02	垃圾桶內空無一物。
mac_2_041	嗯嗯……{[0100|f4010000]}\n話說，這位客人，\n你的鬍子是什麼顏色呢？{[0101]}
mac_2_041_select	{[010d|00000000ffffffff8700000050000000]}紅色\n藍色\n黃色\n黑色
mac_2_042	啊，我搞錯問題了！{[0004]}呃～重來一次……{[0004]}嘿嘿，\n客人喜歡什麼顏色呢？{[0101]}
mac_2_043	嗯嗯……{[0100|fa000000]}\n暗號沒有錯。{[0004]}原來如此，\n你是蒙特奧內認識的人呀！
mac_2_043_01	我已經把門打開了。{[0100|fa000000]}\n請進吧。
mac_2_044	原來如此，這樣啊。{[0004]}{[0101]}歡迎再次光臨。{[0100|64000000]}\n再見。
mac_2_044_01	你是什麼人？{[0100|fa000000]}\n知道這裡是蒙特奧內家族的辦公室嗎？{[0004]}沒事的話快點滾出去。
mac_2_044_02	這裡是蒙特奧內家族的辦公室！{[0100|fa000000]}\n別說你不知道！
mac_2_044_03	沒事的話快點滾出去！
mac_2_044_04	要是你敢對老大不敬……{[0100|fa000000]}\n應該知道會有什麼下場吧？
mac_2_044_05	啊，彼頓
mac_2_045	你是誰啊？{[0004]}我現在心情很差。{[0100|fa000000]}\n要是敢跟我瞎扯，\n小心我給你苦頭吃。
mac_2_046	什麼！？{[0100|fa000000]}\n你想要飛船票！？{[0004]}{[0101]}哦……{[0004]}居然敢為了這種事跑來拜託我這個\n人人聞之色變的蒙特奧內，\n膽子不小嘛。
mac_2_047	你竟敢拜託老大這種事！{[0100|fa000000]}\n無禮的傢伙！
mac_2_048	你這傢伙！{[0100|fa000000]}\n我看你很想吃苦頭喔！
mac_2_049	沒事，先等一下。{[0004]}這老兄很有膽量。{[0100|fa000000]}\n先聽他把話說完吧。{[0004]}等聽完再讓他吃苦頭也不遲。{[0004]}好了，讓我聽聽你想要飛船票的\n理由是什麼吧。
mac_2_050	什麼？{[0100|fa000000]}\n你要拯救被抓走的女人？{[0004]}所以正在蒐集叫做星之石的東西？
mac_2_051	星之石……{[0004]}就是這座城鎮的寶物傳說裡\n提到的那個星之石吧？
mac_2_052	太好笑了吧！{[0100|fa000000]}\n這幫傢伙居然相信那種童話故事。
mac_2_053_kur	什麼嘛！{[0100|fa000000]}\n真的有寶物啦！！
mac_2_053_nok	沒那回事！{[0100|fa000000]}\n寶物是真的存在！！
mac_2_053_win	什麼嘛！{[0100|fa000000]}\n寶物是真的存在唷！！
mac_2_056	我不在乎傳說中的寶物是否真的存在。{[0004]}{[0101]}不過，我很中意\n你想拯救心愛的女人這一點。{[0004]}{[0307|00004040]}所以我決定了！{[0307|0000803f]}{[0004]}只要你們遵照我的指示，\n我就把飛船票給你們。{[0101]}{b}
mac_2_057_kur	你到底要我們做什麼？
mac_2_057_nok	你究竟要我們做什麼？
mac_2_057_win	你到底要我們做什麼呢？
mac_2_060	沒什麼，這件事情很簡單。{[0004]}其實啊……{[0100|fa000000]}\n我的女兒和我們的二當家私奔了。{[0004]}不過他們才剛離開沒多久，{[0100|2c010000]}\n應該還在這個城鎮的某處才對。{[0004]}我希望你能找到\n我女兒蒙妮和二當家彼頓，\n並把他們帶過來。{[0004]}如果沒辦法把他們帶過來，\n只要告訴我在哪裡就行了。{[0004]}剩下的事情我會妥善處理。
mac_2_061	{[0101]}老大！{[0004]}{[0101]}怎麼能把這種事\n交給這群來路不明的傢伙！
mac_2_062	{[0101]}對啊！{[0100|fa000000]}\n請把尋找大小姐的任務\n交給我們吧！
mac_2_063	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}吵死了！{size[6400]}\x0f\x02\0{[0307|0000803f]}
mac_2_125	還不是因為你們找不到人，\n我才得不顧顏面地拜託這幫人！！{[0004]}我已經決定了，\n你們少囉嗦！！！
mac_2_064	老大，非常抱歉。
mac_2_065	我們管太多了！
mac_2_066	知道就好。
mac_2_067	總之事情就是這樣。{[0100|fa000000]}\n幫我把女兒他們找回來吧。{[0004]}我女兒蒙妮\n還有彼頓\n{[0101]}長這個樣子。{[0108|0e0063005f006d005f006f006a006f0006005a005f003100fa000000370000009a99993e00000000]}{[0108|100063005f006d005f00770061006b00610006005a005f0031005e010000370000009a99993e00000000]}{[0110]}{[0100|fa000000]}\x0f\x01\x10{b}
mac_2_068	不過，我想你應該明白。{[0100|fa000000]}\n要是沒找到我的女兒，\n你就得吃苦頭了……
mac_2_069	我女兒他們沒離開很久。{[0100|2c010000]}\n應該還在這個城鎮的某處才對。{[0004]}我女兒蒙妮\n還有彼頓\n{[0101]}長這個樣子。{[0108|0e0063005f006d005f006f006a006f0006005a005f003100fa000000370000009a99993e00000000]}{[0108|100063005f006d005f00770061006b00610006005a005f0031005e010000370000009a99993e00000000]}{[0100|f4010000]}{b}{[0004]}聽好了！{[0100|fa000000]}\n要是沒找到我女兒，\n你就得吃苦頭了……
mac_2_070	我能理解老大的心情。{[0100|fa000000]}\n但是我也希望大小姐能得到幸福。
mac_2_071	既然他們要私奔，\n搞不好是打算逃到大海的另一頭，\n到很遠的地方去。{[0004]}老實說……大哥之前那麼照顧我，\n我不想去抓他。
mac_2_088	哦，是你啊。{[0004]}怎麼樣啊？{[0100|fa000000]}\n你知道他們在哪裡了嗎？{[0101]}
mac_2_088_yesno	{[010d|00000000ffffffffc800000050000000]}告訴他\n不告訴他
mac_2_089	這樣啊？{[0100|fa000000]}\n他們在惡棍港是吧。{[0004]}你做得很好。{[0100|fa000000]}\n我會依照約定，\n幫你準備飛船票。
mac_2_090	喂，你們幾個！{[0100|fa000000]}\n那兩個傢伙在惡棍港。{[0100|fa000000]}\n該走啦！
mac_2_091	{[0307|00004040]}什麼！？{[0307|0000803f]}{[0100|fa000000]}\n你不知道他們在哪裡？{[0004]}這樣你還敢若無其事地回來，\n根本是看不起我。{[0004]}{[0101]}我會好好跟你算這筆帳！
mac_2_092	{[0203]}{[0307|00004040]}{[0200]}{size[dc00]}爸爸，等一下！{size[6400]}\x0f\x02\0
mac_2_093	{[0307|00004040]}蒙妮！！
mac_2_094	{[0307|00004040]}老大！{[0307|0000803f]}{[0100|fa000000]}\n真的非常抱歉！！
mac_2_095	{[0307|00004040]}彼頓！{[0307|0000803f]}{[0100|fa000000]}\n你居然還有臉回來！
mac_2_096	求求你，不要責備彼頓！{[0100|fa000000]}\n主動找他私奔的人是我。{[0004]}而且他還一直勸我\n要回來和爸爸說清楚！
mac_2_097	{[0307|00004040]}老大！{[0307|0000803f]}{[0100|fa000000]}\n你要對我怎樣都可以。{[0004]}請你原諒大小姐吧！！
mac_2_098	{[0307|00004040]}爸爸！{[0307|0000803f]}{[0100|fa000000]}\n不好的人是我。{[0004]}你要罰的話就罰我吧！！
mac_2_099	{[0307|00004040]}老大！{[0307|0000803f]}{[0100|fa000000]}\n一切都是我的責任！！
mac_2_100	{[0307|00004040]}爸爸！
mac_2_101	{[0307|00004040]}老大！
mac_2_102	{[0309|01000000]}啊～～～！！{[0309|00000000]}{[0004]}{[0101]}{[0307|00004040]}閉嘴！吵死了！！！！！！！！
mac_2_103	{[0307|00004040]}蒙妮！{[0100|fa000000]}\n我已經受不了你這個女兒了。
mac_2_104	{[0307|00004040]}還有彼頓！{[0307|0000803f]}{[0004]}虧我那麼照顧你，\n你居然恩將仇報。{[0004]}真是讓我太失望了。
mac_2_105	{[0307|00004040]}爸爸！！
mac_2_106	{[0307|00004040]}老大！！
mac_2_107	我不想再看到你們的臉了！{[0004]}還不快從我的面前消失！！{[0004]}{[0100|fa000000]}……你們以為我會這樣說對吧！？{[0100|fa000000]}{b}{[0004]}{[0307|00004040]}沒錯！！！{[0100|f4010000]}\n隨便你們要結婚\n還是幹嘛都可以啦！！！！{[0101]}{b}
mac_2_108	{[0307|00004040]}爸爸！！！！！！！！！！！！！！
mac_2_109	{[0307|00004040]}爸爸！{[0100|c8000000]}{[0307|0000803f]}……叫錯了。{[0110]}{[0100|2c010000]}\x0f\x01\x10\n{[0307|00004040]}老大！！！！！！！！！！！！！！
mac_2_110	爸爸，謝謝你！{[0100|fa000000]}\n謝謝你原諒我們！！
mac_2_111	{[0307|00004040]}老大！{[0307|0000803f]}{[0100|fa000000]}\n我一定會讓大小姐幸福的！！
mac_2_112	夠了，快點離開！\n{[0100|fa000000]}{[0101]}{size[4300]}嗚嗚……{size[6400]}
mac_2_113	大小姐，{[0100|fa000000]}\n祝你幸福！！
mac_2_114	大哥！{[0100|fa000000]}\n真是太好了！！{[0004]}雖然結局很老套，\n但感覺很不錯喔！
mac_2_115	再見了，爸爸！{[0100|fa000000]}\n真的很謝謝你！！
mac_2_116_buka1	雖然老大現在心情很低落，\n但一定馬上就會打起精神來。{[0004]}比起這個，{[0100|fa000000]}\n你不是說過想要飛船票嗎？
mac_2_116_buka2	事情好像圓滿落幕了。{[0100|fa000000]}\n這都是你的功勞。
mac_2_116	你還在這裡啊？
mac_2_117	哼！{[0100|fa000000]}\n雖然最後演變成這個局面！{[0004]}但總之你找到我女兒他們，\n並且帶來了我的面前。{[0004]}約定就是約定。{[0100|fa000000]}\n我就把飛船票給你吧。
mac_2_118	可惡！{[0100|fa000000]}\n那傢伙居然露出\n我從來沒見過的耀眼笑容！！{[0004]}早知道就不要拜託你了！{[0100|fa000000]}\n謝啦！
mac_2_119	我不想再見到你那張苦瓜臉了！{[0100|fa000000]}\n下次再來啊！
mac_2_120	我已經把票給你了，\n還不快走！{[0100|fa000000]}\n好好加油啊！
mac_2_121	不管怎麼說，\n老大還是很擔心大小姐。
mac_2_122	別看老大那樣，他其實很害羞。\n總是不肯說出真心話。{[0004]}其實老大還是很感謝你啦。
mac_2_123_kur	太好了，瑪利歐。{[0100|fa000000]}\n這樣我們就能去烏龍街了！{[0101]}{b}
mac_2_123_nok	太棒了，瑪利歐。{[0100|fa000000]}\n這樣我們就能去烏龍街了！{[0101]}{b}
mac_2_123_win	太好了，瑪利歐。{[0100|fa000000]}\n這樣我們就能去烏龍街了唷！{[0101]}{b}
mac_5_009	哦，是你啊。{[0100|fa000000]}\n又有事要找老大嗎？
mac_5_010	如你所見。{[0100|fa000000]}\n老大現在正臥病在床。
mac_5_011	{[030a|01000000]}嗯……嗯……
mac_5_012	{[030a|01000000]}嗯……蒙妮……
mac_5_013	唉，沒想到……{[0004]}大小姐離開之後，\n老大居然會因為寂寞過度而生病……
mac_5_014	現在大哥不在，\n再加上老大變成這個狀態……{[0004]}最近盜賊團那幫傢伙\n越來越囂張了。{[0004]}話說回來……{[0101]}{[0100|fa000000]}\n你來這裡有什麼事？
mac_5_015	什麼！{[0100|fa000000]}\n那個超級有錢人才能搭的\n豪華高速列車的車票？
mac_5_016	你是說，你想要那個嗎？
mac_5_017	嗯……{[0100|fa000000]}\n這種事情我們也無能為力。
mac_5_018	這種扯到錢的事情，\n果然還是得由老大……
mac_5_019	{[030a|01000000]}蒙～妮……
mac_5_020	唉，老大這個模樣，\n真讓人看不下去……
mac_5_021	要是能讓老大見上\n大小姐一面的話……
mac_5_022_kur	蒙妮和彼頓應該在\n熱帶小島上對吧？
mac_5_022_nok	蒙妮和彼頓他們\n應該在熱帶小島上吧？
mac_5_022_win	蒙妮和彼頓應該在\n熱帶小島上對不對？
mac_5_022_yos	蒙妮和彼頓應該在\n熱帶小島上吧？
mac_5_022_viv	蒙妮和彼頓就在\n熱帶小島上對吧？
mac_5_022_bom	蒙妮和彼頓？{[0100|fa000000]}\n是在熱帶小島上遇到的\n那兩個傢伙嗎？
mac_5_022_chu	蒙妮和彼頓的話，\n應該在熱帶小島上沒錯吧？
mac_5_023	{[0307|00004040]}你！{[0100|64000000]}你說什麼！？
mac_5_024	{[0307|00004040]}你知道大小姐在哪裡！？
mac_5_025	{[0307|00004040]}真的嗎！？
mac_5_026	{[0307|00004040]}你要是敢說謊，\n除了要吞一千根針之外，\n我還會讓你吃苦頭喔！！
mac_5_027	既然這樣，{[0100|fa000000]}\n你去把大小姐帶來吧！{[0004]}雖然我們很想要自己去，\n但總不能把老大丟著不管。
mac_5_028	對了！{[0100|fa000000]}\n如果你能把大小姐帶回來……{[0004]}我們就去拜託老大\n幫你弄到列車票。{[0100|fa000000]}\n拜託你了！{[0101]}
mac_5_028_yesno	{[010d|00000000ffffffffaf00000050000000]}我會照辦\n我不要
mac_5_029	你說什麼！？{[0100|fa000000]}\n你不肯聽我們的請求嗎！？
mac_5_030	看來你很想吃苦頭喔！{[0101]}
mac_5_030_yesno	{[010d|00000000ffffffffd700000050000000]}我會照辦\n我知道了
mac_5_031	{[0101]}哦，這就對了！
mac_5_032	哎呀，我就知道\n你這種明理人一定會接受。{[0100|fa000000]}\n那就萬事拜託啦。
mac_5_033	好了，快去把大小姐帶過來吧。
mac_5_034	這樣一來，\n老大就會幫你弄到列車票。{[0004]}{[0100|fa000000]}{[0101]}{size[4300]}大概吧……{size[6400]}
mac_5_035	自從你去小島之後，\n老大的病情就變得更嚴重了。
mac_5_036	喂！{[0100|fa000000]}\n快點把大小姐帶來啊！！
mac_5_037	{[030a|01000000]}蒙妮～～～
mac_5_040	爸爸！爸爸！{[0100|fa000000]}\n快醒醒啊！！
mac_5_041	老大！
mac_5_042	自從你去小島之後，\n老大的病情就變得更嚴重了。
mac_5_043	明明大小姐和大哥已經回來了……
mac_5_044	{[0307|00004040]}爸爸！{[0307|0000803f]}{[0100|fa000000]}\n是我啊！我是蒙妮！
mac_5_045	{[0307|00004040]}老大！
mac_5_046	……………………{[0004]}……………………{[0004]}……………………{[0004]}蒙妮……………………？
mac_5_047	{[0307|00004040]}爸爸！！
mac_5_048	{[0307|00004040]}老大！！
mac_5_049	哦，蒙妮！{[0100|fa000000]}\n你回來啦！！{[0100|fa000000]}\n還有彼頓也是！
mac_5_050	是啊，爸爸！{[0004]}我一聽說爸爸病倒，\n就拋下一切趕回來了！！
mac_5_051	蒙妮……彼頓……{[0100|fa000000]}\n是我不好。{[0100|fa000000]}\n我太頑固了。{[0004]}雖然事到如今我不該說這種話，\n但你們之後可以一直待在這裡嗎？{[0004]}你們不在的話，我會很寂寞。{[0100|fa000000]}\n而且我年紀也大了……
mac_5_052	這次似乎給大家添了不少麻煩。{[0004]}看來我這個「死神蒙特奧內」也老了……{[0004]}{[0100|fa000000]}是時候了。{[0100|fa000000]}\n我決定就此引退。
mac_5_053	{[0307|00004040]}爸爸！{[0100|ee020000]}
mac_5_054	{[0307|00004040]}這怎麼行！{[0100|ee020000]}
mac_5_055	{[0307|00004040]}不會吧！！{[0100|ee020000]}
mac_5_056	{[0307|00004040]}老大！！！{[0100|ee020000]}
mac_5_057	然後……{[0100|64000000]}我打算……{[0100|2c010000]}\n讓彼頓來繼承這個位子。{[0004]}彼頓，聽好了。{[0100|fa000000]}\n從今天起，\n你就是蒙特奧內家族的老大！
mac_5_058	{[0307|00004040]}什麼！？{[0307|0000803f]}{[0004]}老大，這怎麼行……{[0100|fa000000]}\n老大還很健壯啊！{[0004]}而且我怎麼有資格……
mac_5_059	不，我從很久以前\n就決定要這麼做了。{[0004]}你一定辦得到。{[0100|fa000000]}\n我看人的眼光很準。{[0004]}{[0101]}今後你就和蒙妮\n以及其他同伴一起壯大家族吧。
mac_5_060	{[0307|00004040]}老大！！！！
mac_5_061	瑪利歐。{[0100|fa000000]}\n看來我受了你不少照顧啊。
mac_5_062	那個……
mac_5_063	關於這件事……
mac_5_064	到底是什麼事！？
mac_5_065	其實我們和這傢伙約好了。{[0004]}如果他能把大小姐帶回來，\n我們就會拜託老大\n幫忙弄到豪華高速列車的車票……
mac_5_066	哇哈哈哈哈哈……{[0100|fa000000]}\n什麼嘛，原來是這種事！{[0004]}過來吧。{[0100|fa000000]}\n區區一兩張車票，\n想拿多少就儘管拿！！
mac_5_067	呼……{[0100|ee020000]}
mac_5_068	呼……{[0100|ee020000]}
mac_5_069	歡迎你隨時再來玩。
mac_5_070	好了，我已經引退了。{[0100|fa000000]}\n該離開這裡啦。
mac_5_071	爸爸！！！！
mac_5_072	老大！！！！
mac_5_073	彼頓，你才是老大吧！{[0100|fa000000]}\n要好好做啊，聽到沒！！
mac_5_074	彼頓！{[0100|fa000000]}\n今後我們也要一起努力喔！！
mac_5_075	好的，大小姐！
mac_5_076	不要再叫我大小姐了！{[0100|fa000000]}\n叫我蒙妮！！
mac_5_077	{[0307|00004040]}咦？{[0307|0000803f]}{[0004]}蒙、{[0100|64000000]}蒙、{[0100|64000000]}蒙、{[0100|64000000]}蒙、{[0100|64000000]}蒙……{[0100|fa000000]}\n蒙妮……？
mac_5_078	{[0307|00004040]}是，親愛的！{[0307|0000803f]}　{[0100|fa000000]}\n……呵呵呵
mac_5_079	大哥……{[0004]}不對，老大！{[0100|fa000000]}\n今後還請多多關照！
mac_5_080	我們會永遠追隨老大！
mac_5_081	瑪利歐，謝謝你幫了這麼多忙！{[0101]}{b}
mac_5_082	隨時歡迎你來玩。
mac_5_083	你這傢伙挺能幹的嘛。{[0101]}{b}
mac_5_084	對啊！{[0100|fa000000]}\n甚至希望你可以加入我們家族呢。
mac_5_900_kur	這樣一來就能去比亮麗山莊了。{[0004]}我們得快點拿到第6顆星之石才行。
mac_5_900_nok	這樣就能去比亮麗山莊了！{[0004]}我們快去取得第6顆星之石吧！
mac_5_900_win	這樣總算能去比亮麗山莊了。{[0004]}我們快去取得第6顆星之石吧
mac_5_900_yos	這下能去比亮麗山莊啦！{[0004]}我們快去取得第6顆星之石吧！
mac_5_900_viv	這樣我們就能去比亮麗山莊了！{[0004]}必須快點得到第6顆星之石才行♪
mac_5_900_bom	這樣就能去比亮麗山莊了……{[0004]}我們快去拿第6顆星之石吧。
mac_5_900_chu	這樣就能去比亮麗山莊了呢。{[0004]}我們趕緊去取得第6顆星之石吧！
mac_5_901	嘻嘻嘻嘻……{[0110]}{[0100|f4010000]}\x0f\x01\x10\n我聽到囉，我聽到囉。
mac_5_902	原來如此，\n第6顆星之石在比亮麗山莊啊。{[0004]}{[0101]}謝謝你告訴我這個消息。
mac_5_903_kur	啊！{[0100|fa000000]}\n你是魔裘琳！！
mac_5_903_nok	啊！{[0100|fa000000]}\n你是魔裘琳！！
mac_5_903_win	哎呀！{[0100|fa000000]}\n你是誰！？
mac_5_903_yos	啊！{[0100|fa000000]}\n你是魔裘琳！！
mac_5_903_viv	啊！{[0100|fa000000]}\n姊姊！！
mac_5_903_bom	嗯！？{[0100|fa000000]}\n你是誰啊！！
mac_5_903_chu	哎呀！{[0100|fa000000]}\n你是誰！？
mac_5_904	老實說我很想在這裡\n把你和叛徒薇薇安解決掉……{[0004]}但光靠我一個人太吃力了。{[0100|fa000000]}\n今天就先放你們一馬。{[0004]}不過，我會搶先一步\n到比亮麗山莊收下星之石。{[0004]}嘻嘻嘻嘻……
mac_5_905_kur	瑪利歐，這下不妙！{[0100|fa000000]}\n得比他們更早到比亮麗山莊才行。{[0004]}我們快去惡棍站吧！
mac_5_905_nok	瑪利歐，這下不妙了！{[0100|fa000000]}\n必須比他們更早到比亮麗山莊才行……{[0004]}我們快去惡棍站吧！
mac_5_905_win	瑪利歐，這下不妙了唷！{[0100|fa000000]}\n要比他們更早到比亮麗山莊才行。{[0004]}我們快去惡棍站吧！
mac_5_905_yos	岡薩雷茲，這下糟糕啦！{[0100|fa000000]}\n必須比他們更早到比亮麗山莊才行。{[0004]}我們快去惡棍站吧！
mac_5_905_viv	瑪利歐，這下不妙了！{[0100|fa000000]}\n要比姊姊更早到比亮麗山莊才行。{[0004]}我們快去惡棍站吧！
mac_5_905_bom	瑪利歐，情況不妙啊！{[0100|fa000000]}\n要比他們更早到比亮麗山莊才行……{[0004]}我們快去惡棍站吧！
mac_5_905_chu	瑪利歐，不好了！{[0100|fa000000]}\n必須比他們更早趕到比亮麗山莊才行……{[0004]}我們快去惡棍站吧！
gor_03_01_03	哦，是你啊。{[0100|fa000000]}\n別老是露出一副苦瓜臉嘛！{[0004]}露出那種表情怎麼救得了\n心愛的女人呢？{[0100|fa000000]}\n總之你好好加油吧！
gor_03_01_05	哦，是你啊。\n真是受到你不少照顧了。\n混蛋，我是在感謝你啊！
gor_03_01_06	哦，是你啊。\n蒙妮和彼頓還好嗎？{[0004]}我雖然知道不需要擔心他們，\n但還是想問問。別太在意啊。
gor_03_01_07	哦，是你啊。\n蒙妮和彼頓還好嗎？{[0004]}你不需要偶爾去看看他們，\n然後向我報告喔！
gor_03_01_08	哦，是你啊。\n前陣子天空雖然變得一片漆黑，\n不過好像沒發生什麼事情。{[0004]}畢竟那種天色會害這裡做不了生意嘛！\n感謝老天保佑！
gor_03_02_02	這裡是蒙特奧內家族的辦公室！{[0100|fa000000]}\n別說你不知道！
gor_03_02_03	哦，是你啊！{[0100|fa000000]}\n偶爾也來這裡露個臉吧！{[0004]}別看老大那樣，\n他好像滿喜歡你的喔！
gor_03_02_05	我們會好好支持大哥……{[0100|fa000000]}\n不，是新老大才對！
gor_03_02_06	哦，是你啊！{[0004]}新蒙特奧內家族可說是一帆風順啊！
gor_03_02_07	哦，是你啊！{[0100|fa000000]}\n快看看大哥……{[0100|fa000000]}\n不，是新老大才對！{[0004]}怎麼樣？{[0100|fa000000]}\n他是不是越來越有老大的風範了？
gor_03_02_08	哦，是你啊！{[0100|fa000000]}\n……不對，\n不能再用這種輕率的稱呼了！{[0004]}畢竟你可是拯救世界的英雄——\n瑪利歐大人啊！{[0100|fa000000]}\n連我也與有榮焉！
gor_03_03_02	沒事的話{[0100|fa000000]}\n快點滾出去！
gor_03_03_03	謝啦！{[0100|fa000000]}\n下次再來！
gor_03_03_05	彼頓大哥平常人很好，\n但生氣起來很可怕喔。{[0100|fa000000]}\n還有人稱他為「殲滅者彼頓」……{[0004]}以前有100個小混混\n來找彼頓大哥的麻煩，\n結果他一個人就把所有人都解決了。{[0004]}只要大哥在，我們就有如神助。{[0100|fa000000]}\n以後蒙特奧內家族一定會越來越壯大。
gor_03_03_06	我們不會因為換了彼頓大哥當老大，\n就讓盜賊團那幫傢伙囂張下去！{[0004]}我們會比之前盯得更緊！
gor_03_03_07	不愧是彼頓大哥。{[0100|fa000000]}\n盜賊團那幫傢伙\n嚇得連來打聲招呼都不敢！
gor_03_03_08	老是和盜賊團為敵也不是辦法……{[0004]}好吧……{[0100|fa000000]}\n我就出一分力，為雙方的和好鋪路吧。{[0004]}不知為何，\n只要看到你就會產生這個念頭。{[0100|fa000000]}\n你這個人真是令人傷腦筋。
gor_03_04_01	我會和彼頓兩個人一起好好撐起家族！{[0004]}{[0101]}還會建構新的家庭……{[0100|fa000000]}\n討厭，我真是的！{[0100|fa000000]}\n呵呵呵呵
gor_03_04_02	送子鳥能不能快點來找我們呢？{[0004]}討厭，我真是的！\n呵呵呵呵
gor_03_04_03	我和彼頓明明很親密，\n可是送子鳥卻遲遲不出現……{[0004]}這讓我有點憂鬱……
gor_03_04_04	世界恢復和平了！{[0100|fa000000]}\n瑪利歐，這都是你的功勞喔。{[0100|fa000000]}\n謝謝你！{[0004]}對了！{[0100|fa000000]}\n我決定要把我們生的小孩\n取名為瑪利歐
gor_03_05_01	大大小小的事情都麻煩你幫忙，\n真是不好意思。{[0004]}如果有我們蒙特奧內家族能幫上的忙，\n不用客氣，儘管開口！
gor_03_05_02	我和大小姐……{[0100|fa000000]}\n不對，我和蒙妮兩個人\n一定會把家族撐起來！
gor_03_05_03	送子鳥啊……{[0100|fa000000]}\n瑪利歐，我問你，\n幸福是什麼呢……{[0004]}哎呀，這可不行！{[0100|fa000000]}\n身為蒙特奧內家族的老大，\n我不能說這種喪氣話……
