aaa.msbt
pro_00	ゆうびんで～す
gor_02_031_06	よう　ヒゲのダンナ！{[0100|fa000000]}\nオレさま　むしょくピエールのことを\nおぼえていてくれたかい？{[0004]}とうぞくは　やめることにしたんだが\nオレさまは　どうしても\nスネイルおやぶんの　そばに　いたいんだ{[0004]}{[0101]}ううむ・・・{[0100|fa000000]}\nそうは　いっても　とうぞく　いがいで\nおやぶんのために　なることって・・・{[0004]}なにを　やれば　いいんだろうな？{[0100|fa000000]}\nオレさまって　アタマ　わるいのかな？{[0100|fa000000]}\nははは・・・
gor_02_031_07	よう　ヒゲのダンナ！{[0100|fa000000]}\nオレさま　むしょくピエールのことを\nおぼえていてくれたかい？{[0004]}とうぞくは　やめることにしたんだが\nオレさまは　どうしても\nスネイルおやぶんの　そばに　いたいんだ{[0004]}{[0101]}ううむ・・・{[0100|fa000000]}\nそうは　いっても　とうぞく　いがいで\nおやぶんのために　なることって・・・{[0004]}なにを　やれば　いいんだろうな？{[0100|fa000000]}\nオレさまって　アタマ　わるいのかな？{[0100|fa000000]}\nははは・・・
gor_02_031_08	よう　ヒゲのダンナ！{[0100|fa000000]}\nオレさま　むしょくピエールのことを\nおぼえていてくれたかい？{[0004]}あんた　カゲの{r2[じょおう]}女王{/r2}を　たおしたんだって？{[0100|fa000000]}\nすげえなあ・・・！{[0004]}オレさまも　とうぞく　いがいで\nおやぶんのために　なることを\nまじめに　かんがえてみるよ
gor_02_032_00	そこの　おなやみセンターは\nこの　{r2[ひがし]}東{/r2}エリアの{r2[なか]}中{/r2}でも　ゆいいつ\nほかのところの　{r2[ひと]}人{/r2}が　やってくる{r2[ばしょ]}場所{/r2}だ{[0004]}もし　{r2[みせ]}店{/r2}が　あいていたら\nいちど　のぞいてみると　いいぜ
gor_02_032_01	この{r2[ひがし]}東{/r2}エリアと　よばれる{r2[ばしょ]}場所{/r2}は\nちあんは　わるいし　ひどいところだ{[0004]}このへんに　すんでいる　ヤツらの\nたくましさは　なかなかのものだぜ{[0004]}カネが　ないヤツほど　{r2[い]}生{/r2}きるのに\nひっしだからな・・・
gor_02_032_02	オレ　{[0100|64000000]}いちど　スネイルおやぶんに\nあいたいと　おもってるんだけどな・・・{[0004]}いったい　どこに\nとうぞくだんの　アジトが　あるのか\nわからねえんだよ{[0004]}ウワサによると　このあたりに\nヒミツのぬけ{r2[みち]}道{/r2}が　あるらしいんだがな{[0100|fa000000]}\n{r2[ひと]}人{/r2}が　{r2[とお]}通{/r2}れそうな{r2[みち]}道{/r2}なんて　ありゃしねえ
gor_02_032_03	めぐまれない{r2[ばしょ]}場所{/r2}に　すんでいたヤツって\nけっこう　{r2[おおもの]}大物{/r2}になることが　あるんだぜ{[0004]}ビンボーぐらしを　することで\nめぐまれない{r2[ひと]}人{/r2}たちの　キモチが\nわかるように　なるんだろうな{[0004]}この{r2[ひがし]}東{/r2}エリアでも　{r2[おおもの]}大物{/r2}になるヤツが\nいないとは　かぎらないぜ{[0110]}{[0100|f4010000]}\x0f\x01\x10\nもちろん　いるとも　かぎらないがな
gor_02_032_04	いつも　ここにいる　ボーロンのやつ{[0100|64000000]}\n{r2[きょう]}今日{/r2}は　どこへ　{r2[い]}行{/r2}きやがったんだ？{[0004]}ちょいと　いっしょに\nカネもうけの{r2[はなし]}話{/r2}を　そうだんしようと\nおもってたのによう{[0004]}もし　アイツを　{r2[み]}見{/r2}つけたら\nオレが　さがしてたって　いっといてくれ
gor_02_032_05	たしかに　カネは　ほしいが\nそんなに　たくさんは　いらねえな{[0004]}カネなんて　あれば　あるほど\nもっと　ほしいって　おもうように\nなるものだからな{[0004]}なかまたちと　{r2[たす]}助{/r2}け{r2[あ]}合{/r2}って　たのしく\n{r2[い]}生{/r2}きていければ　まんぞくさ{[0110]}{[0100|f4010000]}\x0f\x01\x10\nそれで　いいと　おもってるんだ
gor_02_032_06	たしかに　カネは　ほしいが\nそんなに　たくさんは　いらねえな{[0004]}カネなんて　あれば　あるほど\nもっと　ほしいって　おもうように\nなるものだからな{[0004]}なかまたちと　{r2[たす]}助{/r2}け{r2[あ]}合{/r2}って　たのしく\n{r2[い]}生{/r2}きていければ　まんぞくさ{[0110]}{[0100|f4010000]}\x0f\x01\x10\nそれで　いいと　おもってるんだ
gor_02_032_07	オレは　たしかに　ゴロツキさ{[0100|fa000000]}\nだが　オレにも　ポリシーは　ある{[0004]}オレは　カネもちしか　ねらわねえ{[0100|fa000000]}\nカネに　こまってるヤツから\nうばうなんてことは　できねえ
gor_02_032_08	こんな　オレでも　{r2[そら]}空{/r2}が　まっくらに\nなったときは　{r2[せかい]}世界{/r2}が　{r2[ぶじ]}無事{/r2}で\nありますようにと　いのったんだ{[0004]}そしたら　{r2[そら]}空{/r2}が　はれていったんだぜ！{[0100|fa000000]}\nオレが　{r2[てん]}天{/r2}に　いのったおかげだとは\nいわないけどよお・・・{[0004]}いや　{r2[ほんとう]}本当{/r2}に　よかった・・・{[0100|fa000000]}\nこれからは　ドロボーを　やめて\nまじめに　{r2[い]}生{/r2}きようと　おもうんだ
gor_02_033_00	ここは　ゴロツキタウンの　{r2[ひがし]}東{/r2}エリア{[0100|2c010000]}\nとうぞくだんの　スネイルおやぶんの\nナワバリなのさ{[0004]}まあ　{r2[あ]}空{/r2}いてるのか　{r2[あ]}空{/r2}いてないのか\nわからねえ　たてものばかりの\nシケた{r2[ばしょ]}場所{/r2}だけどな{[0004]}{[0101]}{r2[よう]}用{/r2}もなしに　こんなところに\nフラフラ　やってきたって\nいいことなんか　ねえぜ
gor_02_033_01	このあたりは　とうぞくだんの\nスネイルおやぶんの　ナワバリなのさ{[0004]}{[0101]}おっと　どんな{r2[よう]}用{/r2}が　あるかしらんが\nスネイルおやぶんに　あおうと　おもっても\nそう　かんたんには　あえないぜ
gor_02_033_02	このあたりは　とうぞくだんの\nスネイルおやぶんの　ナワバリなのさ{[0004]}スネイルおやぶんは　ふだんは　{r2[ひとめ]}人目{/r2}に\nつかない　ウラ{r2[どお]}通{/r2}りに　いるから\nあまり　あうことはねえと　おもうがな
gor_02_033_03	このあたりは　とうぞくだんの\nスネイルおやぶんの　ナワバリなのさ{[0004]}{[0101]}おっと　どんな{r2[よう]}用{/r2}が　あるかしらんが\nスネイルおやぶんに　あおうと　おもっても\nそう　かんたんには　あえないぜ
gor_02_033_04	この{r2[あいだ]}間{/r2}　ダレかが　ヤネから　ヤネへと\nかれいに　{r2[と]}飛{/r2}びはねているのを　{r2[み]}見{/r2}たんだ{[0100|2c010000]}\nいや～　{[0100|64000000]}さっそうと　していたねぇ{[0004]}{[0101]}でも　ひょっとしたら　アレ{[0100|fa000000]}\nドロボーかも　しれねえな・・・{[0004]}そんでもって　えんとつから\nしのびこんだりするんだよな
gor_02_033_05	やっぱり　モンテオーネより\nスネイルおやぶんのほうが\nだんぜん　いいよな！{[0004]}いや　じつはオイラ　りょうほうとも\nあったことがないから　そうぞうだけで\nいってるんだけどね・・・
gor_02_033_06	モンテオーネ・ファミリーの　ボスが\nモンテオーネから　わかがしらの\nピートンに　なったらしいじゃねえか！{[0004]}・・・って　オイラは　ピートンにも\nあったことが　ないんだけどね
gor_02_033_07	モンテオーネ・ファミリーの　ボスが\nモンテオーネから　わかがしらの\nピートンに　なったらしいじゃねえか！{[0004]}・・・って　オイラは　ピートンにも\nあったことが　ないんだけどね
gor_02_033_08	スネイルより　モンテオーネより\nピートンよりも・・・{[0004]}あんたが　{r2[いちばん]}一番{/r2}　スゴイ　オトコさ！{[0004]}その　{r2[いちばん]}一番{/r2}　スゴイ　オトコに\nあったことが　あるオレは\nなんて　しあわせもの　なんだろう・・・
gor_02_033_00_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_01_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_02_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_03_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_04_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_05_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_06_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_07_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_033_08_2	へへへ　{r2[きょう]}今日{/r2}も　カードで　イカサマして\nボロもうけしてやったぜ！{[0004]}けど　ちょっと　あしが　ついちまって\nここに　かくれてるんだ{[0004]}オレを　ココで　{r2[み]}見{/r2}たことは\nダレにも　いうなよな
gor_02_034_00	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの
gor_02_034_01	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの
gor_02_034_02	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}きっと　ボクの　{r2[ぜんせ]}前世{/r2}は\nカビとか　ダンゴムシなんだよ\nそんな{r2[ぜんせ]}前世{/r2}でも　かまわないさ{[0004]}だって　くらくて　ジメジメしたとこ\n{r2[だい]}大{/r2}スキなんだもん！
gor_02_034_03	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}え？\nこの{r2[まち]}街{/r2}には　{r2[ちか]}地下{/r2}が　あるから\nそこへ　{r2[い]}行{/r2}けば　いいじゃないかって？{[0004]}うん　{r2[ちか]}地下{/r2}は　ジメってて　いいよね\nでも　そこまで{r2[い]}行{/r2}くのに　たいようの{r2[ひかり]}光{/r2}を\nあびちゃうのは　いやだな
gor_02_034_04	どんな{r2[よう]}用{/r2}で　ウスグラ{r2[むら]}村{/r2}へ　{r2[い]}行{/r2}くのか\nしらないけど　がんばってね{[0004]}クラガリさんも　おうえんしてるからさ
gor_02_034_06	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}ウスグラ{r2[むら]}村{/r2}は　どうだった？\nなかなか　うすぐらくて\nいいところだったでしょ？{[0004]}もう　ずいぶん　かえってないなぁ{[0100|fa000000]}\nたまには　かえってみようかな
gor_02_034_07	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}ウスグラ{r2[むら]}村{/r2}の　{r2[そんちょう]}村長{/r2}は\nボクの　おじいさんなんだ{[0004]}え？　ブタに　なってたって？{[0100|fa000000]}\nあはは・・・{[0100|fa000000]}\nおもしろい　ウソを　いう{r2[ひと]}人{/r2}だなあ・・・
gor_02_034_08	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}ウスグラ{r2[むら]}村{/r2}も　いいけれど\nこの{r2[まち]}街{/r2}も　スキだなあ{[0004]}だって　うすぐらくて　ジメジメしてる\nだけでなく　ここにすむ　{r2[ひと]}人{/r2}たちまでも\nなんだか　ジメジメしてるからね
gor_02_034_09	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}この{r2[せかい]}世界{/r2}　すべてが\nうすぐらくなって　ジメジメしたら\nサイコーなのになあ・・・
gor_02_034_10	ボク　クラガリさん{[0100|fa000000]}\nうすぐらいところが　{r2[だい]}大{/r2}スキなの{[0004]}こないだ　{r2[せかい]}世界{/r2}が　まっくらに\nなったでしょ？{[0004]}{r2[せかい]}世界{/r2}が　まっくらに　なったらいいのに\nなんて　おもってたら　{r2[ほんとう]}本当{/r2}に\nまっくらに　なっちゃったんだ！{[0004]}でもね　あの　くらい　かんじは\nぜんぜん　ちがうんだ\nなんだか　こわかったよ・・・{[0004]}もとに　もどってくれて　{r2[ほんとう]}本当{/r2}に\nよかったよ！{[0004]}ボクは　もう　{r2[せかい]}世界{/r2}が　まっくらに\nなれば　いいのに　なんて\nおもわないことに　したよ
gor_02_035	{[0200]}{color[e61b00cc]}おなやみセンター{color[000000b2]}\x0f\x02\0\n　　　　ただいま　るすに　しています\n　　　　また　こんど　きてください
irai_01_00	あんたが　オレの　いらいを\nうけてくれたのか？{[0100|fa000000]}\nじゃあ　とっとと　さがしてきてくれよ{[0004]}ダレかに　カギを　ひろわれて\n{r2[かって]}勝手{/r2}に　{r2[はい]}入{/r2}られちゃ　こまるから\nオレは　ここで　{r2[いえ]}家{/r2}の{r2[ばん]}番{/r2}を　してるよ{[0004]}カギは　バッジ{r2[や]}屋{/r2}に　{r2[い]}行{/r2}ったときに\nおとしたと　おもうんだがなぁ\nはっきりとは　わからないんだ
irai_01_01	ダレかに　カギを　ひろわれて\n{r2[かって]}勝手{/r2}に　{r2[はい]}入{/r2}られちゃ　こまるから\nオレは　ここで　{r2[いえ]}家{/r2}の{r2[ばん]}番{/r2}を　してるよ{[0004]}カギは　バッジ{r2[や]}屋{/r2}に　{r2[い]}行{/r2}ったときに\nおとしたと　おもうんだがなぁ\nはっきりとは　わからないんだ
irai_01_02	{r2[み]}見{/r2}つかったか？
irai_01_03	おお　オレんちのカギ！{[0004]}これで　やっと　マイホームに　{r2[はい]}入{/r2}れるぜ{[0100|fa000000]}\nありがとよ！{[0004]}これは　ほうしゅうだ　うけとんな
irai_02_04	ブツだな・・・{[0100|fa000000]}\nたしかに　うけとったぜ{[0004]}これは　ダレにも　{r2[み]}見{/r2}つからないように\nバッチリ　しょぶんしておいてやる{[0100|fa000000]}\nマークリーにも　そう　{r2[つた]}伝{/r2}えてくれ{[0004]}それから　{r2[こんかい]}今回{/r2}のことは\nキレイサッパリ　わすれるこった{[0100|fa000000]}\nそれが　オマエのためだ{[0004]}そのことを　わすれるんじゃないぞ{[0110]}{[0100|f4010000]}\x0f\x01\x10\nイヤ　わすれろよ！{[0004]}あとは　マークリーから\nほうしゅうを　キッチリ　うけとりな{[0004]}いらい{r2[にん]}人{/r2}への　ほうこくまで\nキッチリこなして　やっと\nいらいは　かんりょうだからな！
irai_03_00	ねだんの　ちょうさを　してくれたのか？{[0101]}
irai_03_00_s	{[010d|00000000010000009600000028000000]}は　い\nいいえ
irai_03_01	よろしく　たのむぜ{[0004]}ねだんが　しりたいのは\nゴロツキタウンに　ある{r2[みせ]}店{/r2}の・・・{[0004]}『ファイアフラワー』『ねむれよいこよ』\n『スッキリドリンク』の　ねだんだ
irai_03_02	おっ！　そうか{[0100|fa000000]}\nじゃあ　さっそく　おしえてくれ{[0004]}まず・・・{[0100|fa000000]}\n『ファイアフラワー』は　いくらだったんだ？{[0101]}
irai_03_02_s	{[010d|00000000ffffffffb90000003c000000]}１コイン\n１０コイン\n９０コイン
irai_03_03	・・・・・・・・・・・・・・・・{[0100|fa000000]}\n・・・・・・・・・・・・・・・・{[0100|fa000000]}\n・・・・・・・・・・・なるほどぉ{[0004]}それで　『ねむれよいこよ』は\nいくらだったんだ？{[0101]}
irai_03_03_s	{[010d|00000000ffffffffb90000003c000000]}８コイン\n１５コイン\n２５コイン
irai_03_04	・・・・・・・・・・・・・・・・{[0100|fa000000]}\n・・・・・・・・・・・・・・・・{[0100|fa000000]}\nそうかぁ・・・・・・・・・・・・{[0004]}じゃあ　さいごに\n『スッキリドリンク』は\nいくらだったんだ？{[0101]}
irai_03_04_s	{[010d|00000000ffffffffc80000003c000000]}３コイン\n１５コイン\n１９８コイン
irai_03_05	・・・・・・・・・・・・・・・・{[0100|fa000000]}\n・・・・・・・・・・・・・・・・{[0100|fa000000]}\n・・・・・・・・くぅ　ツライなぁ{[0004]}なかなか　きびしい　ねだんだな{[0100|fa000000]}\nまさか　そんな　ねだんで\n{r2[う]}売{/r2}っているとは・・・{[0004]}う～ん{[0100|fa000000]}\nどうやら　この{r2[まち]}街{/r2}で　{r2[みせ]}店{/r2}を　かまえても\nもうけられそうに　ないようだな{[0004]}だが　さんこうに　なったぜ{[0100|fa000000]}\nこれは　ほうしゅうだ
irai_04_003	ん？　なんだ　おまえは{[0100|fa000000]}\n{r2[よう]}用{/r2}が　ないなら　あっちに　{r2[い]}行{/r2}きな{[0004]}・・・え？{[0100|fa000000]}\nイカサマしたカネを　かえせ？{[0004]}おまえ　とりたて{r2[や]}屋{/r2}なのか！！{[0100|fa000000]}\nくそうっ　こんなところで\nつかまって　たまるかっ！！
irai_13_001	キノシコワから　れんらくは　うけているぜ{[0100|fa000000]}\nで？　かたづけてほしいって　ヤツは\nどこの　どいつだい？
irai_13_002	え？{[0100|c8000000]}　モノ？{[0100|c8000000]}\nま　どっちだって　かまわねーぜ{[0100|c8000000]}\nそれで　なにを　かたづけてほしいんだ？
irai_13_004	どうやら　コイツで　おわりのようだな{[0100|fa000000]}\nこんなに　くさい　しごとは\nはじめてだったぜ{[0004]}アンタも　くさい　しごとをしたぶん\nキノシコワから　タップリ\nほうしゅうを　いただいてきな
irai_13_005	まだ　なにか　あるかい？
irai_oku_00	！{[0100|fa000000]}\nなんてこった！！{[0100|fa000000]}\nひみつの{r2[い]}入{/r2}り{r2[ぐち]}口{/r2}に　{r2[き]}気{/r2}がついたのか？{[0004]}ヤバイ　ないようの　いらいを\nけっこう　{r2[だ]}出{/r2}しているんでね・・・{[0004]}オレたちが　『おなやみセンター』を\nけいえいしてるってことは\nみんなには　ひみつに　しておいてくれよ
irai_oku_01	もしも　いらいを　うけたいんだったら\nオモテに　まわってくれ{[0004]}ヤバイ　ないようの　いらいを\nけっこう　{r2[だ]}出{/r2}しているんでね・・・{[0004]}くどいようだが　オレたちが\nけいえいしてるってことは\nみんなには　ひみつに　しておいてくれよ
monosiri_follow_00	ゴミ{r2[ばこ]}箱{/r2}の{r2[なか]}中{/r2}の　{r2[かみ]}紙{/r2}クズのウラに\n『{[030e|0000000000000000]}』の　じょうほうが\nかかれているのを　{r2[み]}見{/r2}つけた{[0004]}『ものしりリスト』に\nじょうほうを　かきうつした
monosiri_follow_01	『{[030e|0000000000000000]}』の　じょうほうが\nかかれた　{r2[かみ]}紙{/r2}を　{r2[み]}見{/r2}つけた\n『ものしりリスト』に　かきうつした
monosiri_follow_02	ゴミ{r2[ばこ]}箱{/r2}の{r2[なか]}中{/r2}は　カラッポだ
mac_2_041	うんうん・・・{[0100|f4010000]}\nところで　お{r2[きゃく]}客{/r2}さん\nあなたの　おヒゲは　{r2[なにいろ]}何色{/r2}ですか？{[0101]}
mac_2_041_select	{[010d|00000000ffffffff8700000050000000]}{r2[あかいろ]}赤色{/r2}\n{r2[あおいろ]}青色{/r2}\n{r2[きいろ]}黄色{/r2}\n{r2[くろいろ]}黒色{/r2}
mac_2_042	あっ　しつもんを\nまちがえちゃった！{[0004]}えーっと　やり{r2[なお]}直{/r2}し・・・{[0004]}えへ\nお{r2[きゃく]}客{/r2}さんの　スキな{r2[いろ]}色{/r2}は　{r2[なにいろ]}何色{/r2}ですか？{[0101]}
mac_2_043	うんうん・・・{[0100|fa000000]}\n{r2[あ]}合{/r2}いことばも　バッチリ{[0004]}なるほど　モンテオーネさんの\nおしりあいの{r2[かた]}方{/r2}ですね！
mac_2_043_01	トビラを　{r2[とお]}通{/r2}れるようにしました{[0100|fa000000]}\nさあ　どうぞ
mac_2_044	なるほど　そうですか{[0004]}{[0101]}では　また　ごりようください{[0100|64000000]}\nさようなら
mac_2_044_01	なんだ　おめえは？{[0100|fa000000]}\nここが　モンテオーネ・ファミリーの\nオフィスと　しって　{r2[はい]}入{/r2}ってきたのか？{[0004]}{r2[よう]}用{/r2}が　ねえヤツぁ　サッサと　{r2[で]}出{/r2}ていきな
mac_2_044_02	ここは　モンテオーネ・ファミリーの\nオフィスだ！{[0100|fa000000]}\nしらないとは　いわせないぜ！
mac_2_044_03	{r2[よう]}用{/r2}が　ねえヤツぁ　サッサと　{r2[で]}出{/r2}て{r2[い]}行{/r2}きな！
mac_2_044_04	ボスに　おかしなマネを　したら・・・{[0100|fa000000]}\nどうなるか　わかってんだろうな？
mac_2_044_05	ああ　ピートン
mac_2_045	なんだ　おめえは？{[0004]}オレは　いま　キゲンが　わるいんだ{[0100|fa000000]}\nヘタなことを　ぬかしたら\nちょいと　イタイ{r2[め]}目{/r2}に　あってもらうぜ
mac_2_046	なに！？{[0100|fa000000]}\n{r2[ひこう]}飛行{/r2}{r2[せん]}船{/r2}のチケットが　ほしいだと！{[0004]}{[0101]}ほほう・・・{[0004]}なく{r2[こ]}子{/r2}も　だまる　このモンテオーネに\nそんなことを　たのみに　くるとは\nいい　どきょうしてるじゃねえか
mac_2_047	ボスに　なんてことを！{[0100|fa000000]}\nふてぇ　やろうだ！
mac_2_048	おめえ！{[0100|fa000000]}\nイタイ{r2[め]}目{/r2}に　あいたいみてぇだな！
mac_2_049	まあ　まて{[0004]}どきょうが　いい　にいちゃんだ{[0100|fa000000]}\n{r2[はなし]}話{/r2}くらい　きいてやろうじゃねえか{[0004]}イタイ{r2[め]}目{/r2}に　あってもらうのは\nそれからでも　おそくはねぇ{[0004]}さあ　{r2[ひこうせん]}飛行船{/r2}のチケットが　ほしい\nりゆうを　きかせてもらおうか
mac_2_050	なに？{[0100|fa000000]}\nさらわれた　オンナを　{r2[たす]}助{/r2}け{r2[だ]}出{/r2}したい？{[0004]}そのために　スターストーンってのを\nあつめているだと？
mac_2_051	スターストーンって・・・{[0004]}この{r2[まち]}街{/r2}の　お{r2[たからでんせつ]}宝伝説{/r2}に　{r2[で]}出{/r2}てくる\nあの　スターストーンだろ？
mac_2_052	けっさくだ！{[0100|fa000000]}\nコイツら　あんな　おとぎ{r2[ばなし]}話{/r2}を\nしんじているのかよ
mac_2_053_kur	なによ！{[0100|fa000000]}\n{r2[たから]}宝{/r2}は　ホントに　あるんだから！！
mac_2_053_nok	そんなこと　ありません！{[0100|fa000000]}\n{r2[たから]}宝{/r2}は　{r2[ほんとう]}本当{/r2}に　あるのです！！
mac_2_053_win	なによン！{[0100|fa000000]}\n{r2[たから]}宝{/r2}は　ホントに　あるのよン！！
mac_2_056	{r2[でんせつ]}伝説{/r2}の{r2[たから]}宝{/r2}が　{r2[ほんとう]}本当{/r2}に　あるのか　どうかは\nどうでもいい{[0004]}{[0101]}だが　ほれた　オンナを\n{r2[たす]}助{/r2}け{r2[だ]}出{/r2}したいってのは　{r2[き]}気{/r2}に{r2[い]}入{/r2}った{[0004]}{[0307|00004040]}そこでだ！{[0307|0000803f]}{[0004]}オレの　いうことを　きいてくれたら\n{r2[ひこうせん]}飛行船{/r2}のチケットを　やろうじゃねえか{[0101]}{b}
mac_2_057_kur	いったい　なにを？
mac_2_057_nok	いったい　なにを？
mac_2_057_win	いったい　なにかしらン？
mac_2_060	なあに　かんたんなことだ{[0004]}じつはな・・・{[0100|fa000000]}\nオレの{r2[むすめ]}娘{/r2}が　ウチの　わかがしらと\nかけおちしやがったんだ{[0004]}だが　いなくなってから\nそんなに　{r2[じかん]}時間{/r2}は　たっていない{[0100|2c010000]}\nまだ　この{r2[まち]}街{/r2}の　どこかに　いるはずだ{[0004]}おめえには　オレの{r2[むすめ]}娘{/r2}　モニーと\nわかがしら　ピートンを\n{r2[み]}見{/r2}つけて　つれてきてほしい{[0004]}つれてくるのが　ムリなら\nどこにいるかだけ　おしえてくれればいい{[0004]}あとは　この　オレが\nキッチリ　おとしまえを　つけてやる
mac_2_061	{[0101]}ボス！{[0004]}{[0101]}こんな　どこの　ウマのホネとも\nわからねえヤツに　そんなこと\nたのむだなんて！
mac_2_062	{[0101]}そうです！{[0100|fa000000]}\nおじょうさんを　{r2[み]}見{/r2}つけるのは\nオレたちに　まかせてくださいよ！
mac_2_063	{[0203]}{[0307|00004040]}{[0200]}{size[fa00]}うるせえ！{size[6400]}\x0f\x02\0{[0307|0000803f]}
mac_2_125	おめえらが　{r2[み]}見{/r2}つけられねえから\nハジを　しのんで　コイツらに\nたのんでんじゃねえか！！{[0004]}オレの　きめたことに\nガタガタ　いうんじゃねえ！！！
mac_2_064	もうしわけありません　ボス
mac_2_065	{r2[で]}出{/r2}すぎたマネを　しました！
mac_2_066	わかりゃあ　いいんだよ
mac_2_067	まあ　そういうわけだ{[0100|fa000000]}\n{r2[むすめ]}娘{/r2}たちを　{r2[み]}見{/r2}つけてきてくれ{[0004]}{r2[むすめ]}娘{/r2}のモニーと\nピートンは\n{[0101]}こんなカオだ{[0108|0e0063005f006d005f006f006a006f0006005a005f003100fa000000370000009a99993e00000000]}{[0108|100063005f006d005f00770061006b00610006005a005f0031005e010000370000009a99993e00000000]}{[0110]}{[0100|fa000000]}\x0f\x01\x10{b}
mac_2_068	だが　わかってんだろうな{[0100|fa000000]}\nもし　{r2[むすめ]}娘{/r2}を　{r2[み]}見{/r2}つけられなかったら\nちょいと　イタイ{r2[め]}目{/r2}に　あってもらうぜ・・・
mac_2_069	{r2[むすめ]}娘{/r2}たちが　いなくなってから\nそんなに　{r2[じかん]}時間{/r2}は　たっていない{[0100|2c010000]}\nまだ　この{r2[まち]}街{/r2}の　どこかに　いるはずだ{[0004]}{r2[むすめ]}娘{/r2}のモニーと\nピートンは\n{[0101]}こんなカオだ{[0108|0e0063005f006d005f006f006a006f0006005a005f003100fa000000370000009a99993e00000000]}{[0108|100063005f006d005f00770061006b00610006005a005f0031005e010000370000009a99993e00000000]}{[0100|f4010000]}{b}{[0004]}いいな！{[0100|fa000000]}\nもし　{r2[むすめ]}娘{/r2}を　{r2[み]}見{/r2}つけられなかったら\nちょいと　イタイ{r2[め]}目{/r2}に　あってもらうぜ・・・
mac_2_070	ボスの　キモチは　もっともだ{[0100|fa000000]}\nでも　オレ　おじょうさんにも\nしあわせに　なってもらいてえんだ
mac_2_071	かけおちってことは　もしかすると\n{r2[うみ]}海{/r2}のむこうの　とおいところまで\nにげようとしてるのかも　しれねえな{[0004]}・・・{r2[ほんとう]}本当{/r2}のことを　いえば　オレも\nさんざん　{r2[せわ]}世話{/r2}になった　アニキを\nつかまえたくは　ねえんだけどな
mac_2_088	おう　おめえか{[0004]}で　どうだ{[0100|fa000000]}\nアイツらが　いる{r2[ばしょ]}場所{/r2}は　わかったか？{[0101]}
mac_2_088_yesno	{[010d|00000000ffffffffc800000050000000]}おしえる\nおしえない
