0.msbt
ActionScore_AvoidKouraB	躲避刺刺龟壳！
DlgNetPlayRule00_00012	道具
DlgNetPlayRule01_00000	规则确认
DlgNetPlayRule01_00003	瞄准队友
DlgNews00_00000	NEWS
DlgNews01_00000	NEWS
DlgNewsContent00_00000	NEW
DlgPresentList00_00000	获得道具一览
DlgResultAction00_00000	动作内容
DlgResultAction00_00001	动作次数：
DlgResultActionContent00_00000	COMBO
DlgReview00_00000	{color[ffdc00ff]}感谢您游玩\r\n《马力欧卡丁车 巡回赛》！{color[000000ff]}\r\n\r\n是否玩得很开心呢？
DlgReview00_00001	是
DlgReview00_00002	否
DlgSeasonReward00_00000	参加巡回赛，\r\n获取黄金礼物！
DlgSeasonReward00_00001	通过黄金挑战，\r\n获取特殊的别针徽章！
DlgSeasonReward00_00002	200cc开启！
DlgSeasonReward00_00005	关于黄金通行证的更多详情
DlgSeasonReward00_00006	使用黄金通行证，立刻获得！
DlgSeasonReward00_00007	查看更多
DlgSeasonReward00_00008	注意事项
DlgSeasonReward00_00009	关于支付/解除/继承
DlgSeasonReward00_00011	购买时，请先确认注意事项。
DlgSeasonReward00_00013	滚动来查看！
DlgSeasonReward00_00017	水管中的物品
DlgSeasonReward00_00018	续订可以升级特典！
DlgSeasonReward00_00019	※更新黄金通行证的付费有效期，\r\n　每1个月可领取一次礼物。
DlgSeasonReward00_00020	每1个月
DlgSeasonReward00_00021	每3个月
DlgSeasonReward01_00000	使用黄金通行证，立刻获得！
DlgSeasonReward02_00000	·已新增特殊的巡回赛礼物！\r\n·已新增特殊的挑战！\r\n·已能参加所有cc的比赛了！
DlgSeasonReward06_00000	争取达到实力S及以上吧！
DlgSeasonReward06_00001	购买黄金通行证\r\n即可获得特典！
DlgSeasonRewardContinue00_00004	{color[ffdc00ff]}非常感谢您\r\n续订黄金通行证！{color[000000ff]}
DlgSeasonRewardContinue00_00005	※续订黄金通行证，\r\n　每1个月可领取一次礼物。
DlgSeasonRewardContinue00_00006	领取礼物
DlgSeasonRewardOpen00_00000	巡回赛礼物
DlgSeasonRewardOpen00_00001	使用1张星星票券\r\n可以获得1个崇高之星。
DlgSeasonRewardOpenDone00_00000	巡回赛礼物已打开！
DlgSeasonRewardOpenDone00_00001	巡回赛礼物已打开！\r\n赶快接收吧。
DlgSetting00_00001	语言
DlgSetting00_00002	主音量
DlgSetting00_00007	帮助和咨询
DlgSetting00_00008	Game Center
DlgSetting00_00009	Google Play实绩
DlgSetting00_00011	重新开始
DlgSetting00_00014	设置
DlgSetting00_00021	其他
DlgSettingConfirm00_00000	确定
DlgSettingConfirm00_00001	退出
DlgSettingConfirm00_00002	为进行确认，\r\n请再次输入昵称。
DlgSettingConfirm00_00003	昵称：
DlgSettingHelp00_00001	客户服务
DlgSettingHelp00_00002	使用协议
DlgSettingHelp00_00003	隐私政策
DlgSettingHelp00_00006	关于数据的使用
DlgSettingHelp00_00007	意见
DlgSettingHelp00_00008	关于此app
DlgSettingHelp00_00009	帮助和咨询
DlgSettingHelp00_00010	游戏技巧
DlgSettingUseInformation00 _00000	发送使用信息
DlgSettingUseInformation00_00000	{color[ffdc00ff]}无法发送使用信息{color[000000ff]}
DlgShare00_00000	分享
DlgShop00_00000	剩余
DlgShop00_00001	精选
DlgShop01_00000	游玩多人游戏\r\n 来发射水管吧！
DlgShop01_00001	购买黄金通行证后\r\n计量表的增加会变为2倍。
DlgShopBoxContent00_00003	详情
DlgShopBoxContent00_00004	重置
DlgShopSpecialOffer00_00001	额外奖励
DlgShopSpecialOffer00_00005	详情
DlgShopSpecialOffer00Premium00_00000	购买该挑战卡后，\r\n不设达成挑战的期限。\r\n\r\n尊享挑战以挑战卡为单位购买。\r\n\r\n获得全部礼物后，\r\n挑战卡会在下次巡回赛开始时消失。
DlgShopSpecialOffer00Premium00_00001	购买挑战卡来领略\r\n尊享挑战的趣味吧！\r\n\r\n如果已经达成挑战，\r\n购买后将即刻获得礼物！
DlgShopSpecialOfferRecommend00_00000	特殊优惠
DlgShopSpecialOfferRecommend00_00002	当下限定！\r\n超值的优惠！
DlgShopSpecialOfferRecommend00_00003	详情
DlgSoundVolume00_00092	Max
DlgSoundVolume00_00094	Min
DlgTemplate_00175	在《马力欧卡丁车 巡回赛》中，\r\n为了向用户提供个性化服务，\r\n以及对广告发送和\r\n崩溃信息进行分析，\r\n会获取用户在本app的使用信息。\r\n如果想要停止本公司基于此目的\r\n而进行的信息获取，\r\n请取消勾选“发送使用信息”。\r\n\r\n※更改后的设置\r\n会在重启本app后生效。\r\n※要停止本app外的广告发送，\r\n请更改所使用设备的设置。
DlgTicketTarget01_00000	喜爱的角色
DlgTicketTarget01_00001	请选择\r\n喜爱的角色。
DlgTutorialBattle00_00000	 {color[ffdc00ff]}破坏{color[000000ff]}劲敌的{color[ffdc00ff]}气球{color[000000ff]}吧！
DlgTutorialBattle00_00001	使用{color[ffdc00ff]}道具{color[000000ff]}击中，\r\n或使用{color[ffdc00ff]}冲刺蘑菇{color[000000ff]}冲撞\r\n来破坏劲敌的气球吧！
DlgTutorialDrift00_00000	来{color[ffdc00ff]}漂移{color[000000ff]}吧！
DlgTutorialDrift00_00001	{color[ffdc00ff]}在“漂移”按键上滑动{color[000000ff]}，\r\n立刻就能漂移！
DlgTutorialDrift00_00002	出现火花后，松开手指就能使出迷你加速！
DlgTutorialDriverSelect00_00000	选择{color[ffdc00ff]}擅长赛道{color[000000ff]}的\r\n角色吧！
DlgTutorialHold00_00001	左右：方向盘\r\n上下：道具
DlgTutorialLandscape00_00000	 可以选用横向画面来进行比赛！
DlgTutorialLandscape00_00001	比赛时的画面可以通过“设置”来进行更改。\r\n\r\n还可以进行更多其他修改，\r\n试着寻找到适合自己的设置吧！
DlgTutorialMii00_00000	 选择Mii来比赛吧！
DlgTutorialMii00_00001	将赠送用来参加\r\n 比赛的服装！
DlgTutorialMii00_00002	OK
DlgTutorialRanking00_00000	关于排行榜
DlgTutorialRanking00_00001	争取在排行榜杯赛的\r\n总得分内名列前茅。
DlgTutorialRanking00_00002	名列前茅
DlgTutorialRanking00_00003	 联赛提升！
DlgTutorialRanking00_00004	 还得到了很棒的礼物！
DlgTutorialRankUp00_00001	OK
DlgTutorialStar00_00000	收集{color[ffdc00ff]}崇高之星{color[000000ff]}\r\n来获得巡回赛礼物！
DlgUnlock01_00000	 完成挑战！
DlgUserRank00_00000	赛车手级别
DlgUserRank00_00003	提升到下一级别的话……
DlgUserRank00_00004	开启
DlgUserRank00_00005	级别提升礼物
DlgUserRank00_00006	终点分数提升
DlgUserRank00_00007	根据比赛或对战的排名计量表将增加或减少！\r\n在不同的赛道上行驶得越多，就越容易增加。
DlgUserRank00_00008	通过终点时的分数将提升。\r\n终点分数将由cc和排名决定。\r\n※对战只有排名
DlgWappen00_00000	要戴上这枚\r\n别针徽章吗？
DlgWappen01_00000	已戴上这枚\r\n别针徽章。
DlgWappenBook00_00000	黄金通行证
DlgWappenBook01_00000	已完成\r\n 全部挑战！
DlgWappenBookContent00_00003	请等待挑战解锁。
DlgWappenBookContent01_00001	关于SUPER WIN挑战
EulaContent_GdprFirst_2	如果选择{color[ffdc00ff]}同意{color[000000ff]}，\r\n就表示您已同意使用协议\r\n并已阅读过隐私政策。
EulaContent_GdprSecond_2	如果选择{color[ffdc00ff]}同意{color[000000ff]}，\r\n就表示您已同意使用协议\r\n并已阅读过隐私政策。
EulaContent_NotGdprFirst_2	请确认以下项目，\r\n在{color[ffdc00ff]}勾选了您同意的全部项目{color[000000ff]}后，\r\n再进行下一步。
EulaContent_NotGdprSecond_2	请确认以下项目，\r\n在{color[ffdc00ff]}勾选了您同意的全部项目{color[000000ff]}后，\r\n再进行下一步。
EulaTitle_First	游戏开始前
EulaTitle_Second	游戏开始前
ExtraCoinAmount_Unknown	??
FocusDlgShop00_00000	使用红宝石\r\n发射水管吧！
FocusMainMenu00_00000	在菜单中\r\n可以发射水管。
FocusMainMenu01_00000	去商店\r\n看一看吧！
FocusSubMenu00_00000	使用红宝石\r\n发射水管吧！
GetItemReason_BingoClear	完成！
GetItemReason_BingoLineClear	宾果！
GetItemReason_ChallengeClear	完成挑战！
GetItemReason_CourseScoreBonus	分数奖励！
GetItemReason_CupClear	完成杯赛！
GetItemReason_EventClear	过关奖励！
GetItemReason_EventMission	特殊奖励！
GetItemReason_FestivalTeamLose	VS巡回赛 第2名奖励！
GetItemReason_FestivalTeamWin	VS巡回赛 第1名奖励！
GetItemReason_FriendRankingBonus	好友礼物！
GetItemReason_GreetCoinReceive	问候金币
GetItemReason_LoginBonus	登录奖励
GetItemReason_QuickStart	 今日挑战完成！
GetItemReason_RankingBonus	排行榜奖励
GetItemReason_SeasonReward	巡回赛礼物
GetItemReason_TreasureBoxTutorial	首次完成杯赛！
GetItemReason_UserRankUp	级别提升礼物！
LevelMeterState_Locked	（LOCK）
LevelMeterState_Max	（MAX）
MainMenu00_00017	距离下次挑战
Maintenance_Button_Application	前往标题画面
Maintenance_Button_P2P	OK
Maintenance_Content_Application	现在正在维护。\r\n\r\n请过一段时间后再试。
Maintenance_Content_P2P	现在正在维护。\r\n\r\n请过一段时间后再试。
Meter07_00000	2倍奖励！
Notification_JoinNextBattle	会合进入下一场对战。
Notification_JoinNextRace	会合进入下一条赛道。
Notification_LobbyOpened	收到参加多人游戏的邀请。
Ownership00_00001	持有的票券数：
ScreenshotShare_HashTag00	#MarioKartTour
ScreenshotShare_HashTag01	#MKTPerfectShot
Setting00_00001	操作方法
Setting00_00002	声音
SettingToggleItem_AutoDrift_Description	如果选择打开，点触画面时会开始漂移。\r\n通过画面下方的按键可以靠点触控制方向盘。
SettingToggleItem_AutoDrift_Title	手动漂移
SettingToggleItem_AutoItem_Description	如果选择打开，获得道具箱时\r\n会自动使用持有的道具。
SettingToggleItem_AutoItem_Title	自动道具
SettingToggleItem_Bgm_Description	如果选择关闭，\r\n游戏时将不会播放背景音乐。
SettingToggleItem_Bgm_Title	背景音乐
SettingToggleItem_GyroInput_Description	倾斜设备控制方向盘。\r\n※无法在没有感应器的设备上使用。
SettingToggleItem_GyroInput_Title	陀螺仪方向盘
SettingToggleItem_HundleBtn_Description	将显示方向盘（或者漂移）按键。
SettingToggleItem_HundleBtn_Title	方向盘/漂移 按键
SettingToggleItem_Landscape_Title	横向
SettingToggleItem_Portrait_Title	纵向
SettingToggleItem_PowerSaving_Description	如果选择打开，将能减少电量消耗。\r\n游戏画面将切换到省电模式。
SettingToggleItem_PowerSaving_Title	省电模式
SettingToggleItem_RaceGuide_Description	如果关闭，\r\n智能驾驶功能将变弱。
SettingToggleItem_RaceGuide_Title	智能驾驶
SettingToggleItem_Separate_Description	打开时\r\n左边：方向盘　右边：道具
SettingToggleItem_Separate_Title	横向握持操作
SettingToggleItem_SeparateBothSteering_Description	与纵向相同
SettingToggleItem_SeparateLeftSteering_Description	左边：方向盘\r\n右边：道具
SettingToggleItem_SeparateRightSteering_Description	左边：道具\r\n右边：方向盘
SettingToggleItem_VariableAspect_Title	纵横向
TreasureBoxReason_AllCupClear	全杯赛完成！
TreasureBoxReason_First	向下拉，\r\n然后发射吧！
TreasureBoxReason_QuickStart	 今日挑战完成！
Cancel	取消
Close	 
Multiply	 × 
NALogin	Nintendo Account管理
OK	OK
Plus	 +
Reboot	前往标题画面
Retry	重试
RestTime_Zero	结束
Slash	 / 
Colon	: 
Percentage	%
5.msbt
BingoChallengeBuy_GoldPass	购买黄金通行证来解锁
BingoChallengeBuy_PremiumChallenge	购买挑战卡来解锁
BingoChallengeComplete_NotObtained	完成挑战卡\r\n就能获得礼物！
BingoChallengeComplete_Obtained	已获取
BingoChallengeSelectedCell_Achieved	已达成
BingoChallengeSelectedCell_EquipWappen	装备
BtnNetPlayLobby_Lobby	正在和好友或附近的人游玩。
BtnNetPlayLobby_RandomBattleOpenRule	正在游玩对战。
BtnNetPlayLobby_RandomRaceOpenRule	正在游玩比赛。
CcDifficulty_50cc	缓慢
CcDifficulty_100cc	高速
CcDifficulty_150cc	超高速！
CcDifficulty_200cc	极速！！
CoinRaceConfirm_NotTicket	要使用红宝石\r\n开始金币冲冲冲吗？
CoinRaceConfirm_Ticket	要使用金币冲冲冲票券\r\n开始金币冲冲冲吗？
CostButton_CoinRaceTicket	金币冲冲冲
CostButton_CupConstructTicket	使用票券
CostButton_FirstPremiumPass	免费体验后　1个月
CostButton_NominatedProduct	交换
CostButton_PremiumPass	1个月
CostButton_ScoreUpTicket	强化
CostButton_SeasonRewardPointTicketForCup	使用票券
CostButton_SeasonRewardPointTicketForGift	使用票券
CostButton_SkillTicket	强化
CostButton_StaminaRecovery	交换
CostButton_UnlockScoreTicket	使用票券
CostRestCount_Item_0	交换完毕
CostRestCount_Item_1	剩余1次
CostRestCount_Item_10	剩余10次
CostRestCount_Item_2	剩余2次
CostRestCount_Item_3	剩余3次
CostRestCount_Item_4	剩余4次
CostRestCount_Item_5	剩余5次
CostRestCount_Item_6	剩余6次
CostRestCount_Item_7	剩余7次
CostRestCount_Item_8	剩余8次
CostRestCount_Item_9	剩余9次
CostRestCount_Item_Unknown	交换
CostRestCount_RealCurrency_0	已购买
CostRestCount_RealCurrency_1	剩余1次
CostRestCount_RealCurrency_10	剩余10次
CostRestCount_RealCurrency_2	剩余2次
CostRestCount_RealCurrency_3	剩余3次
CostRestCount_RealCurrency_4	剩余4次
CostRestCount_RealCurrency_5	剩余5次
CostRestCount_RealCurrency_6	剩余6次
CostRestCount_RealCurrency_7	剩余7次
CostRestCount_RealCurrency_8	剩余8次
CostRestCount_RealCurrency_9	剩余9次
CostRestCount_RealCurrency_Unknown	购买
CostRestCount_VirtualCurrency_0	交换完毕
CostRestCount_VirtualCurrency_1	剩余1次
CostRestCount_VirtualCurrency_10	剩余10次
CostRestCount_VirtualCurrency_2	剩余2次
CostRestCount_VirtualCurrency_3	剩余3次
CostRestCount_VirtualCurrency_4	剩余4次
CostRestCount_VirtualCurrency_5	剩余5次
CostRestCount_VirtualCurrency_6	剩余6次
CostRestCount_VirtualCurrency_7	剩余7次
CostRestCount_VirtualCurrency_8	剩余8次
CostRestCount_VirtualCurrency_9	剩余9次
CostRestCount_VirtualCurrency_Unknown	交换
CourseType_Battle	开始对战！
CourseType_Bonus	奖励挑战
CourseType_FriendChallenge	两人合作挑战
CourseType_Normal	开始比赛！
CupNormalCourseClearCondition_Rank_1	以第1名完成比赛！
CupNormalCourseClearCondition_Rank_2	以第2名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_3	以第3名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_4	以第4名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_5	以第5名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_6	以第6名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_7	以第7名或更好的名次完成比赛！
CupNormalCourseClearCondition_Rank_8	以第8名或更好的名次完成比赛！
CupOpenTicket_LackOfPoint	使用1张星星票券\r\n可以获得1个崇高之星。
CupOpenTicket_Wait	使用1张加速票券\r\n可以将所有杯赛的规划\r\n缩短1天。
CupOptionButton_Challenge	挑战
CupOptionButton_CupConstructTicket	加速票券
CupOptionButton_Manual	游戏技巧
CupOptionButton_PremiumPass	黄金通行证
CupOptionButton_SeasonRewardPointTicket	星星票券
CustomizeContentType_Driver	角色
CustomizeContentType_Machine	车辆
CustomizeContentType_Wing	滑翔翼
DescriptionRanking00_00000	各排名所能获得的礼物
DiscountRate_Rate10Percent	10% OFF
DiscountRate_Rate15Percent	15% OFF
DiscountRate_Rate20Percent	20% OFF
DiscountRate_Rate25Percent	25% OFF
DiscountRate_Rate30Percent	30% OFF
DiscountRate_Rate35Percent	35% OFF
DiscountRate_Rate40Percent	40% OFF
DiscountRate_Rate45Percent	45% OFF
DiscountRate_Rate50Percent	50% OFF
DiscountRate_Rate55Percent	55% OFF
DiscountRate_Rate5Percent	5% OFF
DiscountRate_Rate60Percent	60% OFF
DiscountRate_Rate65Percent	65% OFF
DiscountRate_Rate70Percent	70% OFF
DiscountRate_Rate75Percent	75% OFF
DiscountRate_Rate80Percent	80% OFF
DiscountRate_Rate85Percent	85% OFF
DiscountRate_Rate90Percent	90% OFF
DiscountRate_Rate95Percent	95% OFF
DiscountRate_Sale	特卖
EmpCourse_00000	选择Mii服装来参加比赛吧！
EndingTreasureState_Locked	完成全部的杯赛\r\n来发射特别的水管吧！
EndingTreasureState_Opened	恭喜您完成了\r\n全部的杯赛！\r\n\r\n完成最后的奖励挑战，\r\n即可再一次观看结尾。
EventRaceEntryBase00_00003	破坏劲敌的气球！
FesResult00_00000	VS巡回赛结果
FesResult00_00001	获胜队伍
FesTeamSelect00_00000	来选择队伍吧！
FesTeamSelect00_00001	选择支持的队伍，\r\n获得队长！
FesTeamSelect00_00002	VS
FesTeamSelect00_00003	VS巡回赛开始！
FesTeamSelect00_00004	通过比赛来支持队伍吧！
FesTeamSelect00_00005	什么是VS巡回赛？
FestivalTeamResult_Lose	　
FestivalTeamResult_Win	你所在的队伍获胜！！
FriendCodeShare_FriendHashTag	#MarioKartTourPlayerID
FriendConfirmButton_Add	成为好友
FriendConfirmButton_AddCancel	删除好友申请
FriendConfirmButton_Delete	删除
FriendConfirmButton_MultiPlayNonGoldPass	关于黄金通行证
FriendConfirmButton_Request	申请
FriendConfirmButton_SendGreetCoin	发送问候金币
FriendConfirmContent_Add	要和此人成为好友吗？
FriendConfirmContent_Added	已成为好友。
FriendConfirmContent_Delete	要删除此好友吗？
FriendConfirmContent_MultiPlayBattle	正在会合进入对战。\r\n可能会需要一些时间。
FriendConfirmContent_MultiPlayGold	正在会合进入黄金配对。\r\n可能会需要一些时间。
FriendConfirmContent_MultiPlayLobby	正在进入房间。\r\n可能会需要一些时间。
FriendConfirmContent_MultiPlayNonGoldPass	必需持有黄金通行证\r\n才可以会合进入黄金配对。
FriendConfirmContent_MultiPlayRace	正在会合进入比赛。\r\n可能会需要一些时间。
FriendConfirmContent_Request	要向此人申请好友吗？
FriendConfirmContent_Requested	已申请好友。
FriendConfirmContent_SendGreetCoin	要向该好友\r\n发送金币吗？\r\n（自己的金币不会减少。）
FriendConfirmTitle_Add	添加好友
FriendConfirmTitle_Delete	删除好友
FriendConfirmTitle_Request	申请好友
FriendConfirmTitle_SendGreetCoin	问候金币
GoodCourseHeaderType_Driver_Good	从道具箱获得2个道具
GoodCourseHeaderType_Driver_MoreGood	从道具箱获得3个道具
GoodCourseHeaderType_Driver_Normal	从道具箱获得1个道具
GoodCourseHeaderType_Machine_Good	所有动作 分数1.5倍
GoodCourseHeaderType_Machine_MoreGood	所有动作 分数2倍
GoodCourseHeaderType_Machine_Normal	所有动作 分数1倍
GoodCourseHeaderType_Wing_Good	连击会容易衔接 奖励2倍
GoodCourseHeaderType_Wing_MoreGood	连击更容易衔接 奖励3倍
GoodCourseHeaderType_Wing_Normal	连击衔接 奖励1倍
MainMenu00_00002	还需
MainMenu00_00009	免费1次！
MainMenu00_00010	收集到崇高之星了。
MainMenu00_00013	奖励时间中
MainMenu00_00015	所获奖牌也会贡献给队伍！
MainMenu00_00016	今日挑战
MainMenuCharaSelect00_00000	以规定的角色/车辆/滑翔翼\r\n完成比赛！
MainMenuCharaSelect00_00001	依照本次的规则，不可选择。
MainMenuCharaSelect00_00002	游戏技巧
MainMenuCharaSelect00_00003	如何获得大量分数？
MainMenuCharaSelect00_00005	破坏劲敌的气球！
MainMenuCharaSelect00_00008	cc
MainMenuEmphasis_ActiveFriend	正在和好友游玩。
MainMenuEmphasis_ActiveFriend_Lobby	正在和好友或附近的人游玩。
MainMenuEmphasis_ActiveFriend_RandomBattleOpenRule	正在游玩对战。
MainMenuEmphasis_ActiveFriend_RandomRaceOpenRule	正在游玩比赛。
MainMenuEmphasis_FriendRequest	收到好友申请！
MainMenuEmphasis_GreetCoin	收到好友发来的金币！
MainMenuEmphasis_Inquiry	收到咨询的答复。
MainMenuEmphasis_LeagueShop	联赛商店升级！
MainMenuEmphasis_NominatedProductOpened	今日阵容数量增加！
MainMenuEmphasis_NominatedProductUpdated	今日精选更新！
MainMenuEmphasis_P2PEventRace	正在举办两人合作挑战！
MainMenuEmphasis_PremiumChallengeCompleted	有已经完成的尊享挑战！
MainMenuEmphasis_PremiumChallengeNew	新尊享挑战登场！
MainMenuEmphasis_PremiumSeasonPass	通过黄金通行证来获得更多！
MainMenuEmphasis_Present	收到礼物！
MainMenuEmphasis_PrivateAnnouncement	有您的通知。
MainMenuEmphasis_SeasonSummary	已归纳上次的巡回赛记录。
MainMenuEmphasis_SpecialOffer	去商店看一看吧！
MainMenuEmphasis_SuperWin	SUPER WIN 开始！
MainMenuEmphasis_TreasureBox	有新的水管！
MainMenuEmphasis_WeeklyEvent	奖牌商店开店！
MainMenuNewsContent00_00000	{color[ffdc00ff]}【每日挑战】{color[000000ff]}
MainMenuNewsContent00_00002	请期待明天的挑战！
MainMenuTreasureBoxRestTime_Free	免费的期限
MainMenuTreasureBoxRestTime_NotFree	水管的期限
MenuUser01_00002	MAX
MiiCommonButton_AddConfirm	添加
MiiCommonButton_RemoveConfirm	删除
MiiCommonButton_Share	分享
MiiCommonButton_UnknownCode	OK
MiiCommonDescription_AddConfirm	要添加这个Mii吗？\r\n\r\n{size[5000]}{color[b9cce9ff]}其他玩家将在比赛或排行榜中\r\n看到添加的Mii。{color[000000ff]}{size[6400]}
MiiCommonDescription_AddConfirmMii	要添加这个Mii吗？
MiiCommonDescription_RemoveConfirm	要删除这个Mii吗？
MiiCommonDescription_Share	要分享这个Mii吗？
MiiCommonDescription_UnknownCode	该《马力欧卡丁车 巡回赛》的Mii号码不存在。
MiiNumberShare_HashTag00	#MarioKartTourMii
NetPlayEventTitle00_00002	两人合作
NetPlayEventTitle00_00008	SUPER WIN
NetPlayEventTitle00_00010	两人合作
NetPlayLobby00_00001	会合号码：
NetPlayLobby00_00002	开始
NetPlayResult00_00000	最终结果
NetPlayResult00_00001	最终结果
NetPlayResult00_00002	获胜奖励！
NetPlayResult00_00004	参加奖励
NetPlayTop00_00000	全球
NetPlayTop00_00002_Ver1.4	与好友游玩
NetPlayTop00_00002	与好友或附近的人游玩
NetPlayTop00_00003	创建房间
NetPlayTop00_00006	今日规则
NetPlayTop00_00008	- 目标是3连胜！ -
NetPlayTop00_00009	SUPER WIN
NetPlayTop00_00011	比赛
NetPlayTop00_00012	对战
NetPlayTop00_00025	争取在比赛中获得3连胜！
NetPlayTop00_00026	SUPER WIN
NetPlayTop00_00027	争取在对战中获得3连胜！
NetPlayTop00_00028	SUPER WIN
NetPlayTop00_00029	两人合作
NewsCategory_Campaign	宣传活动
NewsCategory_Event	活动
NewsCategory_Important	重要
NewsCategory_Maintenance	维护
NewsCategory_NewComer	新登场
NewsCategory_Others	通知
NewsCategory_Present	巡回赛
NewsCategory_Private	给您的
NewsCategory_Update	更新
NextPowerUpInfoDynamicMessageType_SkillMax	无法再强化
NominatedProduct_Buy	交换
NotOpenCup_LackOfAmount	通过比赛或挑战\r\n收集崇高之星吧！
NotOpenCup_PrevCupNotClear	准备完成！\r\n\r\n{color[ff5000ff]}完成上一杯赛{color[000000ff]}，\r\n开启新的杯赛吧！
NotOpenCup_Wait	正在规划赛道。\r\n请稍等片刻。
NotOpenCup_WaitTreasure	新的水管出现后\r\n就可以发射！
PartsPowerUpContent_ScoreUnlock	要使用分数开放票券\r\n进一步提升分数吗？
PartsPowerUpContent_ScoreUp	要使用分数提升票券\r\n提升分数吗？
PartsPowerUpContent_SkillUp	要使用等级提升票券\r\n提升等级吗？
PartsPowerUpContentTitle_Course1	升级为非常擅长的赛道！
PartsPowerUpContentTitle_Course2	升级为非常擅长的赛道！
PartsPowerUpContentTitle_Course3	升级为非常擅长的赛道！
PartsPowerUpContentTitle_Skill	特殊技能强化！
PartsPowerUpTitle_ScoreUnlock	开放分数
PartsPowerUpTitle_ScoreUp	提升分数
PartsPowerUpTitle_SkillUp	提升等级
PremiumPassAttention00_First	·{color[ffdc00ff]}免费{color[000000ff]}体验期间为{color[ffdc00ff]}2周{color[000000ff]}。\r\n　只要在免费体验期间结束的24小时前解除，\r\n　就不会产生任何费用。\r\n·免费体验仅适用于新用户。\r\n·续订特典会在更新付费黄金通行证时发送。\r\n　从免费体验更新到付费黄金通行证不在发送范围内。\r\n·付费购买的黄金通行证的有效期为购买后的1个月。\r\n·有效期过后无需再办理购买手续，会自动为您购买\r\n　同样的黄金通行证，可以继续使用。\r\n·{color[ffdc00ff]}即使中途解除，在有效期限内也可以接收特典。{color[000000ff]}\r\n·关于支付、解除、继承，请查看“常见问题”的\r\n　“关于支付/解除/继承”。\r\n·{color[ffdc00ff]}有效期到期的黄金通行证的特典，将于有效期到期后的下一次\r\n　“日期变更点（世界通用UTC6:00，\r\n　CST（中国时间）14:00）”前有效。{color[000000ff]}\r\n·更改成不同OS的设备后，\r\n　要想重新购买黄金通行证的用户，\r\n　请先解除之前平台上的黄金通行证后再购买。\r\n·如果在更新黄金通行证后的下1个月内不进行登录，\r\n　将不可领取续订特典，敬请注意。\r\n　※例如，如果在2个月的更新期间中1次都没有进行登录，\r\n    那么之后在登录时只能够领取\r\n    第2个月的续订特典。\r\n·黄金通行证有效期到期后，\r\n  将不可领取续订特典，敬请注意。\r\n·仅限初次发送的续订特典每个账号限发送1次。\r\n·解除后，如果在有效期结束后的7日内再次购买，\r\n　则视为续订。\r\n　※从第8日起再次购买，\r\n　　续订状态则从0个月开始计算。
PremiumPassAttention00_Second	·付费购买的黄金通行证的有效期为购买后的1个月。\r\n·有效期过后无需再办理购买手续，会自动为您购买\r\n　同样的黄金通行证，可以继续使用。\r\n·{color[ffdc00ff]}即使中途解除，在有效期限内也可以接收特典。{color[000000ff]}\r\n·关于支付、解除、继承，请查看“常见问题”的\r\n　“关于支付/解除/继承”。\r\n·{color[ffdc00ff]}有效期到期的黄金通行证的特典，将于有效期到期后的下一次\r\n　“日期变更点（世界通用UTC6:00，\r\n　CST（中国时间）14:00）”前有效。{color[000000ff]}\r\n·更改成不同OS的设备后，\r\n　要想重新购买黄金通行证的用户，\r\n　请先解除之前平台上的黄金通行证后再购买。\r\n·如果在更新黄金通行证后的下1个月内不进行登录，\r\n　将不可领取续订特典，敬请注意。\r\n　※例如，如果在2个月的更新期间中1次都没有进行登录，\r\n    那么之后在登录时只能够领取\r\n    第2个月的续订特典。\r\n·黄金通行证有效期到期后，\r\n  将不可领取续订特典，敬请注意。\r\n·仅限初次发送的续订特典每个账号限发送1次。\r\n·解除后，如果在有效期结束后的7日内再次购买，\r\n　则视为续订。\r\n　※从第8日起再次购买，\r\n　　续订状态则从0个月开始计算。\r\n·续订特典会在更新付费黄金通行证时发送。\r\n　从免费体验更新到付费黄金通行证不在发送范围内。
PremiumPassAttention01_First_Android	使用Android的用户\r\n·{color[ffdc00ff]}已使用同一Google账号进行过体验的用户\r\n　无法享受免费体验。{color[000000ff]}\r\n·不管是在免费体验期间或是已付费购买，\r\n　只要不停止黄金通行证的自动续订，就会无限期地自动更新有效期。\r\n·{color[ffdc00ff]}如果需要解除，请在距离有效期到期还有24小时以上时，\r\n　停止自动续订。{color[000000ff]}\r\n·只有购买了黄金通行证的Google账号和Nintendo Account\r\n　才能享受黄金通行证的相关服务。\r\n·{color[ffdc00ff]}自动订阅时，若不顾Google账号付款失败，\r\n　仍设置其他Google账号购买黄金通行证，\r\n　便有可能造成重复购买，\r\n　敬请注意。{color[000000ff]}\r\n·确定付费购买黄金通行证后，\r\n　您的Google账号会被收取费用。\r\n·{color[ffdc00ff]}可以按下面的步骤\r\n　确认黄金通行证的有效期和停止自动更新。\r\n　Play 商店 ＞ Google账号 ＞ 付款和订阅\r\n　＞［订阅］{color[000000ff]}
