0.msbt
ActionScore_AvoidKouraB	Spiny Shell dodged!
PremiumPassAttention00_Second	・The Gold Pass paid subscription is valid for a\r\nperiod of one month from the day you subscribe.\r\n・When the term of validity ends, there is no\r\nneed to resubscribe. Your subscription for the same\r\nGold Pass will be automatically renewed, and on\r\nan ongoing basis until you cancel it.\r\n・{color[ffdc00ff]}You can receive bonuses during the term of validity\r\neven if you cancel your subscription during that term.{color[000000ff]}\r\n・For information about payments, cancellations, and\r\ntransfers, see About Payments/Cancellations/\r\nTransfers under Frequently Asked Questions.\r\n・{color[ffdc00ff]}Bonuses from a Gold Pass that has expired will\r\nbe available until the next worldwide date change\r\ntime (6:00 AM UTC, or 11:00 PM PDT/10:00 PM PST)\r\nafter expiration.{color[000000ff]}\r\n・If you wish to start a new Gold Pass subscription\r\nafter changing to a device with a different OS,\r\nplease do so after canceling the subscription on the\r\noriginal device's OS.\r\n・The continuous Gold Pass subscription rewards\r\ncannot be received if you do not log in within one\r\nmonth of renewing your Gold Pass. For example,\r\nif you renew your Gold Pass for two months in a\r\nrow but do not log in during that time, you will get\r\nonly the continuous Gold Pass subscription\r\nrewards for the second month when you log in\r\nagain.\r\n・The continuous Gold Pass subscription\r\nrewards cannot be received once your Gold Pass\r\nsubscription has expired.\r\n・The continuous Gold Pass subscription reward\r\ngiven for first month of continuation is limited to\r\none per account.\r\n・After you cancel, you will still be viable for\r\ncontinuation if you resubscribe to the Gold Pass\r\nwithin seven days after the end of your previous\r\nvalidity period.\r\nNote: If you resubscribe to the Gold Pass after\r\neight or more days have passed, the continuation\r\ncount will reset to zero months.\r\n・The continuous Gold Pass subscription rewards\r\nare given when the paid subscription of the Gold\r\nPass is renewed. If subscribed to the free trial,\r\nyou will not receive your first continuous Gold\r\nPass subscription reward until the paid renewal\r\nthat occurs the month after the free trial period\r\nends.
PremiumPassAttention01_First_Android	To Android users:\r\n・{color[ffdc00ff]}Google accounts that have completed the free\r\ntrial in the past may not be used to participate\r\nin it again.{color[000000ff]}\r\n・Both during the free trial period and during a\r\npaid subscription period, if you do not cancel\r\nautomatic renewal before the Gold Pass term of\r\nvalidity ends, your Gold Pass will automatically\r\nbe renewed, and on an ongoing basis until you\r\ncancel it.\r\n・{color[ffdc00ff]}When canceling your subscription, please cancel\r\nautomatic renewal 24 hours or more before the\r\nterm of validity ends.{color[000000ff]}\r\n・The Gold Pass can only be used with the\r\nGoogle Account and Nintendo Account that were\r\nused to subscribe.\r\n・{color[ffdc00ff]}Please be aware that even if a transaction fails\r\nwhen attempting to automatically renew a Gold Pass\r\non a Google account, if you set up a different Google\r\naccount and subscribe to the Gold Pass, it may\r\nregister as a duplicate subscription.{color[000000ff]}\r\n・Your Google account will be billed when you confirm\r\nyour paid subscription.\r\n・{color[ffdc00ff]}You can check your Gold Pass term of validity or\r\ncancel automatic renewal from the following location:\r\nPlay Store > Google Account >\r\nPayments and Subscriptions > Subscriptions{color[000000ff]}
PremiumPassAttention01_First_iOS	To iOS users:\r\n・{color[ffdc00ff]}Apple Accounts that have completed the free trial in\r\nthe past may not be used to participate in it again.{color[000000ff]}\r\n・Both during the free trial period and during a paid\r\nsubscription period, if you do not cancel automatic\r\nrenewal before the Gold Pass term of validity ends,\r\nyour Gold Pass will automatically be renewed, and\r\non an ongoing basis until you cancel it.\r\n・{color[ffdc00ff]}When canceling your subscription, please cancel\r\nautomatic renewal 24 hours or more before the term\r\nof validity ends.{color[000000ff]}\r\n・The Gold Pass can only be used with the Apple\r\nAccount and Nintendo Account that were used\r\nto subscribe.\r\n・Your Apple Account will be billed when you\r\nconfirm your paid subscription.\r\n・{color[ffdc00ff]}You can check your Gold Pass term of validity or\r\ncancel automatic renewal from the following location:\r\nSettings > Your name > Subscriptions\r\nNote: the above wording varies based on the version\r\nof the operating system that you are running, so\r\nplease contact the App Store if you are in need of\r\nfurther guidance.{color[000000ff]}
PremiumPassAttention01_Second_Android	To Android users:\r\n・Both during the free trial period and during a paid\r\nsubscription period, if you do not cancel automatic\r\nrenewal before the Gold Pass term of validity ends,\r\nyour Gold Pass will automatically be renewed, and\r\non an ongoing basis until you cancel it.\r\n・{color[ffdc00ff]}When canceling your subscription, please cancel\r\nautomatic renewal 24 hours or more before the\r\nterm of validity ends.{color[000000ff]}\r\n・The Gold Pass can only be used with the Google\r\nAccount and Nintendo Account that were used\r\nto subscribe.\r\n・{color[ffdc00ff]}Please be aware that even if a transaction fails\r\nwhen attempting to automatically renew a Gold\r\nPass on a Google account, if you set up a\r\ndifferent Google account and subscribe to the\r\nGold Pass, it may register as a duplicate\r\nsubscription.{color[000000ff]}\r\n・{color[ffdc00ff]}You can check your Gold Pass term of validity or\r\ncancel automatic renewals from the following\r\nlocation: Play Store > Google Account >\r\nPayments and Subscriptions > Subscriptions.{color[000000ff]}
PremiumPassAttention01_Second_iOS	To iOS users:\r\n・Both during the free trial period and during a paid\r\nsubscription period, if you do not cancel automatic\r\nrenewal before the Gold Pass term of validity ends,\r\nyour Gold Pass will automatically be renewed, and\r\non an ongoing basis until you cancel it.\r\n{color[ffdc00ff]}・When canceling your subscription, please cancel\r\nautomatic renewal 24 hours or more before the\r\nterm of validity ends.{color[000000ff]}\r\n・The Gold Pass can only be used with the Apple\r\nAccount and Nintendo Account that were used\r\nto subscribe.\r\n{color[ffdc00ff]}・You can check your Gold Pass term of validity or\r\ncancel automatic renewal from the following location:\r\nSettings > Your name > Subscriptions\r\nNote: the above wording varies based on the version\r\nof the operating system that you are running, so\r\nplease contact the App Store if you are in need\r\nof further guidance.{color[000000ff]}
PremiumPassBannerDescription_FreeTrial	With Gold Pass, it's\r\nalways fun to play!
PremiumPassBannerDescription_Subscribed	Benefits of a Continuous\r\nGold Pass Subscription
Present00_00001	There's nothing here!
PresentContent00_00000	Expires: Never
PresentContent00_00001	Accept
PresentTop00_00004	Gift Box
PresentTop00_00005	Accept All
ProductBuyError_Max	--
ProductBuyError_Soldout_Item	Exchanged
ProductBuyError_Soldout_RealCurrency	Purchased
ProductBuyError_Soldout_VirtualCurrency	Exchanged
Profile00_00000	Player Info
Profile00_00001	Tour Records
Profile00_00002	Favorite Drivers
Profile00_00003	Driver List
Profile00_00004	Could not retrieve total points.
Profile00_00006	Records
Profile00_00007	Total Points
Profile00_00008	Course High Scores
Profile00_00009	Past Tours' Stats
Profile00_00010	Multiplayer Race
Profile00_00011	Multiplayer Battle
ProfileRecord_DriverNum	Drivers
ProfileRecord_HighLeague	Highest Tier
ProfileRecord_HighScore	Highest Score
ProfileRecord_HighUdemae	Highest Grade
ProfileRecord_Invalid	-
ProfileRecord_MachineNum	Karts
ProfileRecord_RandomMatchWinNum	Number of wins
ProfileRecord_SuperWinNum	Achieved Kart Pro
ProfileRecord_WingNum	Gliders
ProfileTitle_Friend	Profile
ProfileTitle_Mine	Profile
ProfileTitle_RivalAI	Profile
ProfileTitle_RivalHuman	Profile
PromotionCourseNum_1	+1 favorite course
PromotionCourseNum_2	+2 favorite courses
PromotionCourseNum_3	+3 favorite courses
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_1	1 Balloon / 2 Teams / Bob-ombs only
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_2	2 Balloons / 2 Teams / Bob-ombs only
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_3	3 Balloons / 2 Teams / Bob-ombs only
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_1	1 Balloon / 1 Item / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_2	2 Balloons / 1 Item / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_3	3 Balloons / 1 Item / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_1	1 Balloon / 2 Items / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_2	2 Balloons / 2 Items / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_3	3 Balloons / 2 Items / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_1	1 Balloon / 2 Teams / Shells only
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_2	2 Balloons / 2 Teams / Shells only
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_3	3 Balloons / 2 Teams / Shells only
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_1	1 Balloon / Frenzy on / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_2	2 Balloons / Frenzy on / 2 Teams
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_3	3 Balloons / Frenzy on / 2 Teams 
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_1	1 Balloon / Bob-ombs only
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_2	2 Balloons / Bob-ombs only
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_3	3 Balloons / Bob-ombs only
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_1	1 Balloon / 1 Item
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_2	2 Balloons / 1 Item
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_3	3 Balloons / 1 Item
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_1	1 Balloon / 2 Items
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_2	2 Balloons / 2 Items
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_3	3 Balloons / 2 Items
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_1	1 Balloon / Shells only
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_2	2 Balloons / Shells only
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_3	3 Balloons / Shells only
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_1	1 Balloon / Frenzy on
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_2	2 Balloons / Frenzy on
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_3	3 Balloons / Frenzy on
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_1	1 Balloon / Bob-ombs only
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_2	2 Balloons / Bob-ombs only
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_3	3 Balloons / Bob-ombs only
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_1	1 Balloon / 1 Item
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_2	2 Balloons / 1 Item
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_3	3 Balloons / 1 Item
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_1	1 Balloon / 2 Items
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_2	2 Balloons / 2 Items
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_3	3 Balloons / 2 Items
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_1	1 Balloon / Shells only
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_2	2 Balloons / Shells only
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_3	3 Balloons / Shells only
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_1	1 Balloon / Frenzy on
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_2	2 Balloons / Frenzy on
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_3	3 Balloons / Frenzy on
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_advantaged	200cc / default item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_fix1	200cc / 1 item slot / 2 teams
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_fix2	200cc / 2 item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_advantaged	100cc / default item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_fix1	100cc / 1 item slot / 2 teams
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_fix2	100cc / 2 item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_advantaged	150cc / default item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_fix1	150cc / 1 item slot / 2 teams
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_fix2	150cc / 2 item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_advantaged	50cc / default item slots / 2 teams
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_fix1	50cc / 1 item slot / 2 teams
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_fix2	50cc / 2 item slots / 2 teams
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_advantaged	200cc / default item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_fix1	200cc / 1 item slot / 3 teams
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_fix2	200cc / 2 item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_advantaged	100cc / default item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_fix1	100cc / 1 item slot / 3 teams
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_fix2	100cc / 2 item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_advantaged	150cc / default item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_fix1	150cc / 1 item slot / 3 teams
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_fix2	150cc / 2 item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_advantaged	50cc / default item slots / 3 teams
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_fix1	50cc / 1 item slot / 3 teams
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_fix2	50cc / 2 item slots / 3 teams
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_advantaged	200cc / default item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_fix1	200cc / 1 item slot / 4 teams
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_fix2	200cc / 2 item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_advantaged	100cc / default item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_fix1	100cc / 1 item slot / 4 teams
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_fix2	100cc / 2 item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_advantaged	150cc / default item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_fix1	150cc / 1 item slot / 4 teams
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_fix2	150cc / 2 item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_advantaged	50cc / default item slots / 4 teams
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_fix1	50cc / 1 item slot / 4 teams
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_fix2	50cc / 2 item slots / 4 teams
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_advantaged	200cc / default item slots
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_fix1	200cc / 1 item slot
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_fix2	200cc / 2 item slots
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_advantaged	100cc / default item slots
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_fix1	100cc / 1 item slot
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_fix2	100cc / 2 item slots
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_advantaged	150cc / default item slots
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_fix1	150cc / 1 item slot
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_fix2	150cc / 2 item slots
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_advantaged	50cc / default item slots
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_fix1	50cc / 1 item slot
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_fix2	50cc / 2 item slots
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_advantaged	200cc / default item slots
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_fix1	200cc / 1 item slot
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_fix2	200cc / 2 item slots
pvp_rule_teamnum_none_enginelevel_cc100_itemslotnum_advantaged	100cc / default item slots
pvp_rule_teamnum_none_enginelevel_cc100_itemslotnum_fix1	100cc / 1 item slot
pvp_rule_teamnum_none_enginelevel_cc100_itemslotnum_fix2	100cc / 2 item slots
pvp_rule_teamnum_none_enginelevel_cc150_itemslotnum_advantaged	150cc / default item slots
pvp_rule_teamnum_none_enginelevel_cc150_itemslotnum_fix1	150cc / 1 item slot
pvp_rule_teamnum_none_enginelevel_cc150_itemslotnum_fix2	150cc / 2 item slots
pvp_rule_teamnum_none_enginelevel_cc50_itemslotnum_advantaged	50cc / default item slots
pvp_rule_teamnum_none_enginelevel_cc50_itemslotnum_fix1	50cc / 1 item slot
pvp_rule_teamnum_none_enginelevel_cc50_itemslotnum_fix2	50cc / 2 item slots
PvPPinCodePlaceHolder_0	Enter the room code.
PvPPinCodeShare_HashTag	#MarioKartTour
PvPPinCodeShare_Message	Enter this code to race with me!
PvPPinCodeShare_PinTitle	Room Code: 
PvPPremiumPassExplanation_WithoutPvPTreasure	・ Your performance will have a greater\r\nimpact on your grade.\r\n・ You can raise your grade to S+6.\r\n・ Your grade will not drop below S.
PvPPremiumPassExplanation_WithPvPTreasure	・ Your performance will have a greater\r\nimpact on your grade.\r\n・ You can raise your grade to S+9.\r\n・ Your grade will not drop below S.\r\n・ The multiplayer pipe gauge will fill twice\r\nas fast.
PvPRuleBalloonNum_Num1	1
PvPRuleBalloonNum_Num2	2
PvPRuleBalloonNum_Num3	3
PvPRuleBattleNum_Race12	12 battles
PvPRuleBattleNum_Race3	3 battles
PvPRuleBattleNum_Race6	6 battles
PvPRuleCOMKart_Activate	Yes
PvPRuleCOMKart_Deactivate	No
PvPRuleItemSlotNum_Advantaged	Default
PvPRuleItemSlotNum_Fix1	1
PvPRuleItemSlotNum_Fix2	2
PvPRuleJoinAcceptType_Full	Anyone
PvPRuleJoinAcceptType_OnlyToken	Room Code
PvPRuleLimitedToItem_OnlyBomhei	Bob-ombs only
PvPRuleLimitedToItem_OnlyKoura	Shells only
PvPRuleRaceNum_Race12	12 races
PvPRuleRaceNum_Race3	3 races
PvPRuleRaceNum_Race6	6 races
PvPRuleTeamNum_Activate2	2 Teams
PvPRuleTeamNum_Activate3	3 Teams
PvPRuleTeamNum_Activate4	4 Teams
PvPRuleTeamNum_Deactivate	No Teams
PvPRuleTeamNum_FesRule	Team Rally
PvpTopWinCount_1	1-Win Streak
PvpTopWinCount_2	2-Win Streak
PvPWait_Type0	Searching for opponents...
PvPWait_Type1	Please wait...
PvPWait_Type2	Searching for opponents of\r\na similar multiplayer rank...
PvPWait_Type3	Please wait...
PvPWaitLobbyMatch_Type0	Searching for players...
PvPWaitLobbyMatch_Type1	Please wait...
PvPWaitLobbyMatch_Type2	Starting soon!
PvPWaitLobbyMatch_Type3	Please wait...
PvPWaitLobbyMatchTips_Type0	You can earn up to 100 coins per\r\nday while waiting for matches.
PvPWaitLobbyMatchTips_Type1	At the start of a match, tap your driver before\r\nthe countdown begins to see what happens!
PvPWaitLobbyMatchTips_Type14	Tap an opponent before a race\r\nbegins to take a closer look!
PvPWaitLobbyMatchTips_Type2	You can wipe away Blooper\r\nink by swiping the screen.
PvPWaitLobbyMatchTips_Type3	After you finish a match, drag your finger in\r\ndifferent directions to rotate the camera.
PvPWaitLobbyMatchTips_Type4	Hearts can protect you from all \r\nkinds of hazards. Even Lightning!
PvPWaitLobbyMatchTips_Type5	If you drive directly behind an opponent,\r\nyou'll enter their slipstream for a speed boost.
PvPWaitLobbyMatchTips_Type6	You can give a Spiny Shell the slip by using\r\na Mushroom at just the right time.
PvPWaitLobbyMatchTips_Type7	If an opponent has a Mushroom at the ready,\r\ndrive near it and see what happens.
PvPWaitLobbyMatchTips_Type8	You can find the Super Star\r\nitem in multiplayer races.
PvPWaitLobbyMatchTips_Type9	Swipe up to throw an item forward or\r\ndown to throw an item backward.
PvPWaitLobbyMatchTips_Type10	Rules for multiplayer change daily.
PvPWaitLobbyMatchTips_Type11	You can move the camera around\r\nbefore the match begins.
PvPWaitLobbyMatchTips_Type12	Players at the back of the pack may\r\nget better things from Item Boxes.
PvPWaitLobbyMatchTips_Type13	Special skills vary from driver to driver.
PvPWaitPlayerEntryList_Type0	Searching for players...
PvPWaitPlayerEntryList_Type1	Please wait...
PvPWaitPlayerEntryList_Type2	Starting soon!
PvPWaitPlayerEntryList_Type3	Please wait...
PvPWaitPlayerEntryListTips_Type0	You can earn up to 100 coins per\r\nday while waiting for matches.
PvPWaitPlayerEntryListTips_Type1	At the start of a match, tap your driver before\r\nthe countdown begins to see what happens!
PvPWaitPlayerEntryListTips_Type14	Tap an opponent before a race\r\nbegins to take a closer look!
PvPWaitPlayerEntryListTips_Type2	You can wipe away Blooper\r\nink by swiping the screen.
PvPWaitPlayerEntryListTips_Type3	After you finish a match, drag your finger in\r\ndifferent directions to rotate the camera.
PvPWaitPlayerEntryListTips_Type4	Hearts can protect you from all \r\nkinds of hazards. Even Lightning!
PvPWaitPlayerEntryListTips_Type5	If you drive directly behind an opponent, you'll\r\nenter their slipstream for a speed boost.
PvPWaitPlayerEntryListTips_Type6	You can give a Spiny Shell the slip by using\r\na Mushroom at just the right time.
PvPWaitPlayerEntryListTips_Type7	If an opponent has a Mushroom at the ready,\r\ndrive near it and see what happens.
PvPWaitPlayerEntryListTips_Type8	You can find the Super Star\r\nitem in multiplayer races.
PvPWaitPlayerEntryListTips_Type9	Swipe up to throw an item forward or\r\ndown to throw an item backward.
PvPWaitPlayerEntryListTips_Type10	Rules for multiplayer change daily.
PvPWaitPlayerEntryListTips_Type11	You can move the camera around\r\nbefore the match begins.
PvPWaitPlayerEntryListTips_Type12	Players at the back of the pack may\r\nget better things from Item Boxes.
PvPWaitPlayerEntryListTips_Type13	Special skills vary from driver to driver.
PvPWaitRamdomMatchTips_Type0	You can earn up to 100 coins per\r\nday while waiting for matches.
PvPWaitRamdomMatchTips_Type1	At the start of a match, tap your driver before\r\nthe countdown begins to see what happens!
PvPWaitRamdomMatchTips_Type14	Tap an opponent before a race\r\nbegins to take a closer look!
PvPWaitRamdomMatchTips_Type2	You can wipe away Blooper\r\nink by swiping the screen.
PvPWaitRamdomMatchTips_Type3	After you finish a match, drag your finger in\r\ndifferent directions to rotate the camera.
PvPWaitRamdomMatchTips_Type4	Hearts can protect you from all \r\nkinds of hazards. Even Lightning!
PvPWaitRamdomMatchTips_Type5	If you drive directly behind an opponent,\r\nyou'll enter their slipstream for a speed boost.
PvPWaitRamdomMatchTips_Type6	You can give a Spiny Shell the slip by using\r\na Mushroom at just the right time.
PvPWaitRamdomMatchTips_Type7	If an opponent has a Mushroom at the ready,\r\ndrive near it and see what happens.
PvPWaitRamdomMatchTips_Type8	You can find the Super Star\r\nitem in multiplayer races.
PvPWaitRamdomMatchTips_Type9	Swipe up to throw an item forward or\r\ndown to throw an item backward.
PvPWaitRamdomMatchTips_Type10	Rules for multiplayer change daily.
PvPWaitRamdomMatchTips_Type11	You can move the camera around\r\nbefore the match begins.
PvPWaitRamdomMatchTips_Type12	Players at the back of the pack may\r\nget better things from Item Boxes.
PvPWaitRamdomMatchTips_Type13	Special skills vary from driver to driver.
Ranking00_00000	This Week's Ranking
Ranking00_00001	Friend Ranking
Ranking00_00002	Opponents
Ranking00_00003	Friends
Ranking00_00004	Add Friend
Ranking00_00005	Previous Ranking
Ranking00_00006	Everyone's Total
RankingHeader_CurrentWeek	This Week's Ranking
RankingHeader_LeagueShop	Tier Shop
RankingHeader_PrevWeek	Previous Ranking
RankingLeagueRank00_00000	Tier
RankingRankChange_Title_Down	Tier Down
RankingRankChange_Title_Keep	Tier Unchanged
RankingSeparator_Down1	▼ One Tier Down ▼
RankingSeparator_Down2	▼ Two Tiers Down ▼
RankingSeparator_Down3	▼ Three Tiers Down ▼
RankingSeparator_Up1	▲ One Tier Up ▲
RankingSeparator_Up2	▲ Two Tiers Up ▲
RankingSeparator_Up3	▲ Three Tiers Up ▲
RankRaceEntryLandscapeBase00_00000	Try holding your device sideways!
RankRaceEntryLandscapeBase00_00001	This Match Will Be a No-Teams Match\r\n{size[4b00]}{color[808080ff]}Everyone was on the same team{color[000000ff]}{size[6400]}
RankRaceEntryNow00_00000	Entering
RankRaceEntryOther00_00000	Entering match...
Season00_00002	Now open!
Setting00_00000	System
Setting00_00001	Control Method
Setting00_00002	Sound
Setting00_00003	Race Screen
Setting00_00004	Total Points
Setting00_00007	Upgrade to the Gold Pass!
Setting00_00011	Nintendo Account
ShopContent00_00000	Remaining: 
ShopSpecialOffer00_00000	Purchased
ShopSpecialOffer00_00001	(
ShopSpecialOffer00_00002	)
ShopSpecialOffer00_00003	With Gold Pass, it's\r\nalways fun to play!
ShopSpecialOffer00_00004	You can try a two-week free trial!
ShopSpecialOffer00_00011	Free trial is active.
ShopTop00_00000	Daily Selects
ShopTop01_00000	Shop
ShopTop01_00001	Token Shop
ShopTop01_00002	Event tokens collected in one event\r\nwill not be carried over to the next.
ShopTop01_00007	Mii Racing Suit Shop
ShopTop01_00008	Lineup
ShopTop01_00009	About the Mii Racing Suit Shop
ShopTop01_00010	Spotlight Shop
ShopTop01_00011	Daily Spotlight
ShopTop01_00012	About the Spotlight Shop
ShopTopContentType_SpecialOffer	Special Offer
ShopTopContentType_TourPass	Gold Pass
SkillLevel_Max	Maximum level reached.
SkillLevel_NotMax	Duplicates have been merged\r\nto enhance the skill level.
SpecialOfferRestCount_0	Can't purchase.
SpecialOfferRestCount_1	Purchase (1 Left)
SpecialOfferRestCount_10	10 left
SpecialOfferRestCount_2	2 left
SpecialOfferRestCount_3	3 left
SpecialOfferRestCount_4	4 left
SpecialOfferRestCount_5	5 left
SpecialOfferRestCount_6	6 left
SpecialOfferRestCount_7	7 left
SpecialOfferRestCount_8	8 left
SpecialOfferRestCount_9	9 left
SpecialOfferRestCount_RealCurrency_0	Purchased
SpecialOfferRestCount_RealCurrency_1	1 left
SpecialOfferRestCount_RealCurrency_10	10 left
SpecialOfferRestCount_RealCurrency_2	2 left
SpecialOfferRestCount_RealCurrency_3	3 left
SpecialOfferRestCount_RealCurrency_4	4 left
SpecialOfferRestCount_RealCurrency_5	5 left
SpecialOfferRestCount_RealCurrency_6	6 left
SpecialOfferRestCount_RealCurrency_7	7 left
SpecialOfferRestCount_RealCurrency_8	8 left
SpecialOfferRestCount_RealCurrency_9	9 left
SpecialOfferRestCount_RealCurrency_Unknown	購入する
SpecialOfferRestCount_TourPass_0	Purchased
SpecialOfferRestCount_TourPass_1	Per month
SpecialOfferRestCount_VirtualCurrency_0	Exchanged
SpecialOfferRestCount_VirtualCurrency_1	1 left
SpecialOfferRestCount_VirtualCurrency_10	10 left
SpecialOfferRestCount_VirtualCurrency_2	2 left
SpecialOfferRestCount_VirtualCurrency_3	3 left
SpecialOfferRestCount_VirtualCurrency_4	4 left
SpecialOfferRestCount_VirtualCurrency_5	5 left
SpecialOfferRestCount_VirtualCurrency_6	6 left
SpecialOfferRestCount_VirtualCurrency_7	7 left
