0.msbt
ActionScore_AvoidKouraB	避開刺刺龜殼！
CourseType_Normal	開始比賽！
CupNormalCourseClearCondition_Rank_1	以第1名過關！
CupNormalCourseClearCondition_Rank_2	以第2名或以上名次過關！
CupNormalCourseClearCondition_Rank_3	以第3名或以上名次過關！
CupNormalCourseClearCondition_Rank_4	以第4名或以上名次過關！
CupNormalCourseClearCondition_Rank_5	以第5名或以上名次過關！
CupNormalCourseClearCondition_Rank_6	以第6名或以上名次過關！
CupNormalCourseClearCondition_Rank_7	以第7名或以上名次過關！
CupNormalCourseClearCondition_Rank_8	以第8名或以上名次過關！
CupOpenTicket_LackOfPoint	使用1張星星票券，\r\n可以獲取1顆崇高之星。
CupOpenTicket_Wait	使用1張加速票券，\r\n可以將所有盃賽的設置\r\n提前1天。
CupOptionButton_Challenge	挑戰
CupOptionButton_CupConstructTicket	加速票券
CupOptionButton_Manual	遊玩秘訣
CupOptionButton_PremiumPass	黃金通行證
CupOptionButton_SeasonRewardPointTicket	星星票券
CustomizeContentType_Driver	角色
CustomizeContentType_Machine	車輛
CustomizeContentType_Wing	滑翔翼
DescriptionRanking00_00000	各名次能獲取的禮物
DiscountRate_Rate10Percent	10% OFF
DiscountRate_Rate15Percent	15% OFF
DiscountRate_Rate20Percent	20% OFF
DiscountRate_Rate25Percent	25% OFF
DiscountRate_Rate30Percent	30% OFF
DiscountRate_Rate35Percent	35% OFF
DiscountRate_Rate40Percent	40% OFF
DiscountRate_Rate45Percent	45% OFF
DiscountRate_Rate50Percent	50% OFF
DiscountRate_Rate55Percent	55% OFF
DiscountRate_Rate5Percent	5% OFF
DiscountRate_Rate60Percent	60% OFF
DiscountRate_Rate65Percent	65% OFF
DiscountRate_Rate70Percent	70% OFF
DiscountRate_Rate75Percent	75% OFF
DiscountRate_Rate80Percent	80% OFF
DiscountRate_Rate85Percent	85% OFF
DiscountRate_Rate90Percent	90% OFF
DiscountRate_Rate95Percent	95% OFF
DiscountRate_Sale	特賣
EmpCourse_00000	穿上Mii服裝來比賽吧！
EndingTreasureState_Locked	完成所有盃賽，\r\n來發射特殊的水管吧！
EndingTreasureState_Opened	恭喜你完成了\r\n所有盃賽！\r\n\r\n只要達成最後的獎勵挑戰，\r\n就可以再看一次巡迴賽回顧。
EventRaceEntryBase00_00003	弄破勁敵的氣球吧！
FesResult00_00000	VS巡迴賽結果
FesResult00_00001	獲勝隊伍
FesTeamSelect00_00000	選擇隊伍吧！
FesTeamSelect00_00001	選擇支持的隊伍，\r\n獲得隊長！
FesTeamSelect00_00002	VS
FesTeamSelect00_00003	VS巡迴賽開幕！
FesTeamSelect00_00004	進行比賽來支持隊伍吧！
FesTeamSelect00_00005	VS巡迴賽是什麼？
FestivalTeamResult_Lose	　
FestivalTeamResult_Win	是你的隊伍獲勝！！
FriendCodeShare_FriendHashTag	#MarioKartTourPlayerID
FriendConfirmButton_Add	成為好友
FriendConfirmButton_AddCancel	刪除好友申請
FriendConfirmButton_Delete	刪除
FriendConfirmButton_MultiPlayNonGoldPass	關於黃金通行證
FriendConfirmButton_Request	申請
FriendConfirmButton_SendGreetCoin	發送問候金幣
FriendConfirmContent_Add	要和此人成為好友嗎？
FriendConfirmContent_Added	成為好友了。
FriendConfirmContent_Delete	要刪除此位好友嗎？
FriendConfirmContent_MultiPlayBattle	將在對戰中會合。\r\n等待時間可能較長。
FriendConfirmContent_MultiPlayGold	將在黃金配對中會合。\r\n等待時間可能較長。
FriendConfirmContent_MultiPlayLobby	即將進入大廳。\r\n等待時間可能較長。
FriendConfirmContent_MultiPlayNonGoldPass	需持有黃金通行證\r\n才能在黃金配對中會合。
FriendConfirmContent_MultiPlayRace	將在比賽中會合。\r\n等待時間可能較長。
FriendConfirmContent_Request	要向此人\r\n發出好友申請嗎？
FriendConfirmContent_Requested	已發出好友申請。
FriendConfirmContent_SendGreetCoin	要向此位好友\r\n發送金幣嗎？\r\n（自己的金幣不會因此減少）
FriendConfirmTitle_Add	承認好友
FriendConfirmTitle_Delete	刪除好友
FriendConfirmTitle_Request	好友申請
FriendConfirmTitle_SendGreetCoin	問候金幣
GoodCourseHeaderType_Driver_Good	從道具箱獲得2個道具
GoodCourseHeaderType_Driver_MoreGood	從道具箱獲得3個道具
GoodCourseHeaderType_Driver_Normal	從道具箱獲得1個道具
GoodCourseHeaderType_Machine_Good	所有動作分數1.5倍
GoodCourseHeaderType_Machine_MoreGood	所有動作分數2倍
GoodCourseHeaderType_Machine_Normal	所有動作分數1倍
GoodCourseHeaderType_Wing_Good	連段容易連接 獎勵2倍
GoodCourseHeaderType_Wing_MoreGood	連段更容易連接 獎勵3倍
GoodCourseHeaderType_Wing_Normal	連段連接 獎勵1倍
MainMenu00_00002	還需
MainMenu00_00009	免費1次！
MainMenu00_00010	收集到崇高之星了。
MainMenu00_00013	獎勵時間中
MainMenu00_00015	隊伍也會獲得加算到的獎牌！
MainMenu00_00016	今日挑戰
MainMenuCharaSelect00_00000	用指定的角色/車輛/滑翔翼\r\n過關吧！
MainMenuCharaSelect00_00001	根據本次規則，無法選擇。
MainMenuCharaSelect00_00002	遊玩秘訣
MainMenuCharaSelect00_00003	要如何獲得大量分數呢？
MainMenuCharaSelect00_00005	弄破勁敵的氣球吧！
MainMenuCharaSelect00_00008	cc
MainMenuEmphasis_ActiveFriend	正與好友遊玩中。
MainMenuEmphasis_ActiveFriend_Lobby	正與好友或附近的人遊玩中。
MainMenuEmphasis_ActiveFriend_RandomBattleOpenRule	正在遊玩對戰。
MainMenuEmphasis_ActiveFriend_RandomRaceOpenRule	正在遊玩比賽。
MainMenuEmphasis_FriendRequest	收到了好友申請！
MainMenuEmphasis_GreetCoin	收到好友送來的金幣了！
MainMenuEmphasis_Inquiry	您諮詢的問題已有回覆。
MainMenuEmphasis_LeagueShop	聯賽商店升級！
MainMenuEmphasis_NominatedProductOpened	今日陣容數量增加了！
MainMenuEmphasis_NominatedProductUpdated	今日精選更新！
MainMenuEmphasis_P2PEventRace	兩人合作挑戰 舉辦中！
MainMenuEmphasis_PremiumChallengeCompleted	已完成尊享挑戰！
MainMenuEmphasis_PremiumChallengeNew	新的尊享挑戰登場！
MainMenuEmphasis_PremiumSeasonPass	以黃金通行證獲得更多禮物！
MainMenuEmphasis_Present	收到了禮物！
MainMenuEmphasis_PrivateAnnouncement	有給您的通知。
MainMenuEmphasis_SeasonSummary	上次的巡迴賽紀錄已整理完成。
MainMenuEmphasis_SpecialOffer	查看一下商店內的內容吧！
MainMenuEmphasis_SuperWin	SUPER WIN 開始！
MainMenuEmphasis_TreasureBox	有新的水管！
MainMenuEmphasis_WeeklyEvent	獎牌商店開店！
MainMenuNewsContent00_00000	{color[ffdc00ff]}【每日挑戰】{color[000000ff]}
MainMenuNewsContent00_00002	請期待明天的挑戰吧！
MainMenuTreasureBoxRestTime_Free	免費的期限
MainMenuTreasureBoxRestTime_NotFree	水管的期限
MenuUser01_00002	MAX
MiiCommonButton_AddConfirm	添加
MiiCommonButton_RemoveConfirm	刪除
MiiCommonButton_Share	分享
MiiCommonButton_UnknownCode	OK
MiiCommonDescription_AddConfirm	要添加這個Mii嗎？\r\n\r\n{size[5000]}{color[b9cce9ff]}添加的Mii會在比賽或排行榜中\r\n對其他玩家顯示。{color[000000ff]}{size[6400]}
MiiCommonDescription_AddConfirmMii	要添加這個Mii嗎？
MiiCommonDescription_RemoveConfirm	要刪除這個Mii嗎？
MiiCommonDescription_Share	要分享這個Mii嗎？
MiiCommonDescription_UnknownCode	這串《瑪利歐賽車 巡迴賽》的\r\nMii號碼不存在。
MiiNumberShare_HashTag00	#MarioKartTourMii
NetPlayEventTitle00_00002	兩人合作
NetPlayEventTitle00_00008	SUPER WIN
NetPlayEventTitle00_00010	兩人合作
NetPlayLobby00_00001	會合代碼：
NetPlayLobby00_00002	開始
NetPlayResult00_00000	最終結果
NetPlayResult00_00001	最終結果
NetPlayResult00_00002	勝利獎勵！
NetPlayResult00_00004	參加獎勵
NetPlayTop00_00000	全世界
NetPlayTop00_00002_Ver1.4	與好友遊玩
NetPlayTop00_00002	與好友或附近的人遊玩
NetPlayTop00_00003	創建大廳
NetPlayTop00_00006	今日規則
NetPlayTop00_00008	- 目標3連勝！ -
NetPlayTop00_00009	SUPER WIN
NetPlayTop00_00011	比賽
NetPlayTop00_00012	對戰
NetPlayTop00_00025	在比賽中以3連勝為目標吧！
NetPlayTop00_00026	SUPER WIN
NetPlayTop00_00027	在對戰中以3連勝為目標吧！
NetPlayTop00_00028	SUPER WIN
NetPlayTop00_00029	兩人合作
NewsCategory_Campaign	宣傳活動
NewsCategory_Event	活動
NewsCategory_Important	重要
NewsCategory_Maintenance	維護
NewsCategory_NewComer	新登場
NewsCategory_Others	通知
NewsCategory_Present	巡迴賽
NewsCategory_Private	給您的
NewsCategory_Update	更新
NextPowerUpInfoDynamicMessageType_SkillMax	無法繼續強化了。
NominatedProduct_Buy	交換
NotOpenCup_LackOfAmount	透過比賽或挑戰\r\n收集崇高之星吧！
NotOpenCup_PrevCupNotClear	準備好了！\r\n\r\n{color[ff5000ff]}完成前一個盃賽{color[000000ff]}，\r\n開放新的盃賽吧！
NotOpenCup_Wait	正在設置賽道，\r\n請稍待一下。
NotOpenCup_WaitTreasure	等到新的水管出現\r\n就可以發射！
PartsPowerUpContent_ScoreUnlock	要使用分數解鎖票券，\r\n讓分數可以進一步強化嗎？
PartsPowerUpContent_ScoreUp	要使用分數提升票券，\r\n強化分數嗎？
PartsPowerUpContent_SkillUp	要使用等級提升票券，\r\n強化等級嗎？
PartsPowerUpContentTitle_Course1	升級成非常擅長的賽道！
PartsPowerUpContentTitle_Course2	升級成非常擅長的賽道！
PartsPowerUpContentTitle_Course3	升級成非常擅長的賽道！
PartsPowerUpContentTitle_Skill	特殊技能強化！
PartsPowerUpTitle_ScoreUnlock	分數解鎖
PartsPowerUpTitle_ScoreUp	分數強化
PartsPowerUpTitle_SkillUp	等級強化
PremiumPassAttention00_First	‧{color[ffdc00ff]}免費{color[000000ff]}體驗期間為最初{color[ffdc00ff]}2週{color[000000ff]}。\r\n　只要在免費體驗期間結束前的24小時內解約，\r\n　就不會產生任何費用。\r\n‧免費體驗僅限於新加入的用戶。\r\n‧繼續加入特典將在有償黃金通行證更新時發送，\r\n　從免費體驗更新成有償黃金通行證的情況則不在發送範圍內。\r\n‧有償黃金通行證的有效期間是從加入日算起1個月。\r\n‧快要過有效期間時，無須辦理再加入的手續，\r\n　會自動加入同樣的黃金通行證，可以繼續使用。\r\n‧{color[ffdc00ff]}就算中途解約，在有效期間中也可以領取特典。{color[000000ff]}\r\n‧關於支付、解約及繼承，請查看「常見詢問」中的\r\n　「關於支付/解約/繼承」。\r\n‧{color[ffdc00ff]}有效期間結束後的黃金通行證特典，\r\n　到有效期間結束後的下個「換日時間\r\n　（世界共通UTC6:00，台灣及香港時間14:00。）」前均有效。\r\n{color[000000ff]}‧更改成不同OS的機型後，\r\n　要重新加入黃金通行證的用戶，\r\n　請先於之前使用的OS上解約之後再加入。\r\n‧如果在黃金通行證更新後的下1個月內都不曾登入遊戲，\r\n　將無法領取繼續加入特典，敬請注意。\r\n　※例如，在2個月的黃金通行證更新期間中從未登入遊戲，\r\n　　那麼之後再次登入遊戲時，\r\n　　將只能領取第2個月的繼續加入特典。\r\n‧黃金通行證的有效期間結束後，\r\n　將無法領取繼續加入特典，敬請注意。\r\n‧僅限首次更新時發送的繼續加入特典，每個帳號只會發送1次。\r\n‧解約後，只要在有效期間結束後7天內再次購買，\r\n　仍會被視為繼續加入。\r\n　※若超過8天後才再次加入，則繼續加入狀況將從0個月開始\r\n　　重新計算。
PremiumPassAttention00_Second	‧有償黃金通行證的有效期間是從加入日算起1個月。\r\n‧快要過有效期間時，無須辦理再加入的手續，\r\n　會自動加入同樣的黃金通行證，可以繼續使用。\r\n‧{color[ffdc00ff]}就算中途解約，在有效期間中也可以領取特典。{color[000000ff]}\r\n‧關於支付、解約及繼承，請查看「常見詢問」中的\r\n　「關於支付/解約/繼承」。\r\n‧{color[ffdc00ff]}有效期間結束後的黃金通行證特典，\r\n　到有效期間結束後的下個「換日時間\r\n　（世界共通UTC6:00，台灣及香港時間14:00。）」前均有效。{color[000000ff]}\r\n‧更改成不同OS的機型後，\r\n　要重新加入黃金通行證的用戶，\r\n　請先於之前使用的OS上解約之後再加入。\r\n‧如果在黃金通行證更新後的下1個月內都不曾登入遊戲，\r\n　將無法領取繼續加入特典，敬請注意。\r\n　※例如，在2個月的黃金通行證更新期間中從未登入遊戲，\r\n　　那麼之後再次登入遊戲時，\r\n　　將只能領取第2個月的繼續加入特典。\r\n‧黃金通行證的有效期間結束後，\r\n　將無法領取繼續加入特典，敬請注意。\r\n‧僅限首次更新時發送的繼續加入特典，每個帳號只會發送1次。\r\n‧解約後，只要在有效期間結束後7天內再次購買，\r\n　仍會被視為繼續加入。\r\n　※若超過8天後才再次加入，則繼續加入狀況將從0個月開始\r\n　　重新計算。\r\n‧繼續加入特典將在有償黃金通行證更新時發送，\r\n　從免費體驗更新成有償黃金通行證的情況則不在發送範圍內。
PremiumPassAttention01_First_Android	致使用Android的用戶\r\n‧{color[ffdc00ff]}已使用相同Google帳號進行過體驗的玩家，\r\n　無法再次進行免費體驗。{color[000000ff]}\r\n‧無論是在免費體驗期間中或是有償加入，\r\n　如果不停止黃金通行證的自動繼續更新，\r\n　黃金通行證將會自動更新有效期間。\r\n‧{color[ffdc00ff]}解約時，請於有效期間結束前24小時或以上\r\n　停止自動繼續更新。{color[000000ff]}\r\n‧僅限於加入黃金通行證的Google帳號和\r\n　Nintendo Account才能使用黃金通行證。\r\n‧{color[ffdc00ff]}在自動更新時，如果於Google帳號沒有成功結算的狀態下，\r\n　設定別的Google帳號來加入黃金通行證，\r\n　那麼有可能會導致該遊戲帳號重複加入通行證，\r\n　敬請多加注意。{color[000000ff]}\r\n‧確定加入有償的黃金通行證時，\r\n　所使用的Google帳號將會進行扣款。\r\n‧{color[ffdc00ff]}可以從下面的步驟確認\r\n　黃金通行證的有效期限和停止自動繼續更新。\r\n　Play商店 ＞ Google帳號 ＞ 付款與訂閱 ＞ ［訂閱］{color[000000ff]}
PremiumPassAttention01_First_iOS	致使用iOS的用戶\r\n‧{color[ffdc00ff]}已使用相同 Apple ID 進行過體驗的玩家，無法再次進行免費體驗。{color[000000ff]}\r\n‧無論是在免費體驗期間中或是有償加入，\r\n　如果不停止黃金通行證的自動繼續更新，\r\n　黃金通行證將會自動更新有效期間。\r\n‧{color[ffdc00ff]}解約時，請於有效期間結束前24小時或以上\r\n　停止自動繼續更新。{color[000000ff]}\r\n‧僅限於加入黃金通行證的Apple ID和\r\n　Nintendo Account才能使用黃金通行證。\r\n‧確定加入有償的黃金通行證時，\r\n　所使用的Apple ID將會進行扣款。\r\n‧{color[ffdc00ff]}可以從下面的步驟確認\r\n　黃金通行證的有效期限和停止自動繼續更新。\r\n　設定 ＞ iTunes 與 App Store ＞ Apple ID ＞ \r\n　檢視Apple ID ＞ 登錄或訂閱\r\n　※根據不同版本的OS，顯示的項目可能有所不同，\r\n　　詳情請向App Store諮詢。{color[000000ff]}
PremiumPassAttention01_Second_Android	致使用Android的用戶\r\n‧無論是在免費體驗期間中或是有償加入，\r\n　如果不停止黃金通行證的自動繼續更新，\r\n　黃金通行證將會自動更新有效期間。\r\n‧{color[ffdc00ff]}解約時，請於有效期間結束前24小時或以上\r\n　停止自動繼續更新。{color[000000ff]}\r\n‧僅限於加入黃金通行證的Google帳號和\r\n　Nintendo Account才能使用黃金通行證。\r\n‧{color[ffdc00ff]}在自動更新時，如果於Google帳號沒有成功結算的狀態下，\r\n　設定別的Google帳號來加入黃金通行證，\r\n　那麼有可能會導致該遊戲帳號重複加入通行證，\r\n　敬請多加注意。{color[000000ff]}\r\n‧{color[ffdc00ff]}可以從下面的步驟確認\r\n　黃金通行證的有效期限和停止自動繼續更新。\r\n　Play商店 ＞ Google帳號 ＞ 付款與訂閱 ＞ ［訂閱］{color[000000ff]}
PremiumPassAttention01_Second_iOS	致使用iOS的用戶\r\n‧無論是在免費體驗期間中或是有償加入，\r\n　如果不停止黃金通行證的自動繼續更新，\r\n　黃金通行證將會自動更新有效期間。\r\n‧{color[ffdc00ff]}解約時，請於有效期間結束前24小時或以上\r\n　停止自動繼續更新。{color[000000ff]}\r\n‧僅限於加入黃金通行證的Apple ID和\r\n　Nintendo Account才能使用黃金通行證。\r\n‧{color[ffdc00ff]}可以從下面的步驟確認\r\n　黃金通行證的有效期限和停止自動繼續更新。\r\n　設定 ＞ iTunes 與 App Store ＞ Apple ID ＞ \r\n　檢視Apple ID ＞ 登錄或訂閱\r\n　※根據不同版本的OS，顯示的項目可能有所不同，\r\n　　詳情請向App Store諮詢。{color[000000ff]}
PremiumPassBannerDescription_FreeTrial	使用黃金通行證 就能暢快遊玩！
PremiumPassBannerDescription_Subscribed	繼續加入黃金通行證\r\n特典就會升級！
Present00_00001	所有禮物領取完畢。
PresentContent00_00000	沒有領取期限
PresentContent00_00001	領取
PresentTop00_00004	禮物盒
PresentTop00_00005	全部領取
ProductBuyError_Max	--
ProductBuyError_Soldout_Item	交換完畢
ProductBuyError_Soldout_RealCurrency	購買完畢
ProductBuyError_Soldout_VirtualCurrency	交換完畢
Profile00_00000	玩家資訊
Profile00_00001	巡迴賽紀錄
Profile00_00002	喜愛角色
Profile00_00003	角色一覽
Profile00_00004	無法取得合計分數。
Profile00_00006	紀錄
Profile00_00007	合計分數
Profile00_00008	各賽道的高分紀錄
Profile00_00009	過去的巡迴賽紀錄
Profile00_00010	多人比賽
Profile00_00011	多人對戰
ProfileRecord_DriverNum	角色數
ProfileRecord_HighLeague	最高聯賽
ProfileRecord_HighScore	最高得分
ProfileRecord_HighUdemae	最高實力
ProfileRecord_Invalid	-
ProfileRecord_MachineNum	車輛數
ProfileRecord_RandomMatchWinNum	獲勝次數
ProfileRecord_SuperWinNum	SUPER WIN 達成次數
ProfileRecord_WingNum	滑翔翼數
ProfileTitle_Friend	檔案
ProfileTitle_Mine	檔案
ProfileTitle_RivalAI	檔案
ProfileTitle_RivalHuman	檔案
PromotionCourseNum_1	非常擅長的賽道 +1
PromotionCourseNum_2	非常擅長的賽道 +2
PromotionCourseNum_3	非常擅長的賽道 +3
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_1	1個氣球　2隊制　限用炸彈兵
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_2	2個氣球　2隊制　限用炸彈兵
pvp_battle_rule_teamnum_2_itemlimit_bombonly_balloonnum_3	3個氣球　2隊制　限用炸彈兵
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_1	1個氣球　1個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_2	2個氣球　1個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_fix1_balloonnum_3	3個氣球　1個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_1	1個氣球　2個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_2	2個氣球　2個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_fix2_balloonnum_3	3個氣球　2個道具　2隊制
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_1	1個氣球　2隊制　限用龜殼
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_2	2個氣球　2隊制　限用龜殼
pvp_battle_rule_teamnum_2_itemlimit_kouraonly_balloonnum_3	3個氣球　2隊制　限用龜殼
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_1	1個氣球　開放狂熱　2隊制
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_2	2個氣球　開放狂熱　2隊制
pvp_battle_rule_teamnum_2_itemlimit_origitem_balloonnum_3	3個氣球　開放狂熱　2隊制
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_1	1個氣球　限用炸彈兵
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_2	2個氣球　限用炸彈兵
pvp_battle_rule_teamnum_fes_itemlimit_bombonly_balloonnum_3	3個氣球　限用炸彈兵
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_1	1個氣球　1個道具
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_2	2個氣球　1個道具
pvp_battle_rule_teamnum_fes_itemlimit_fix1_balloonnum_3	3個氣球　1個道具
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_1	1個氣球　2個道具
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_2	2個氣球　2個道具
pvp_battle_rule_teamnum_fes_itemlimit_fix2_balloonnum_3	3個氣球　2個道具
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_1	1個氣球　限用龜殼
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_2	2個氣球　限用龜殼
pvp_battle_rule_teamnum_fes_itemlimit_kouraonly_balloonnum_3	3個氣球　限用龜殼
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_1	1個氣球　開放狂熱
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_2	2個氣球　開放狂熱
pvp_battle_rule_teamnum_fes_itemlimit_origitem_balloonnum_3	3個氣球　開放狂熱
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_1	1個氣球　限用炸彈兵
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_2	2個氣球　限用炸彈兵
pvp_battle_rule_teamnum_none_itemlimit_bombonly_balloonnum_3	3個氣球　限用炸彈兵
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_1	1個氣球　1個道具
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_2	2個氣球　1個道具
pvp_battle_rule_teamnum_none_itemlimit_fix1_balloonnum_3	3個氣球　1個道具
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_1	1個氣球　2個道具
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_2	2個氣球　2個道具
pvp_battle_rule_teamnum_none_itemlimit_fix2_balloonnum_3	3個氣球　2個道具
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_1	1個氣球　限用龜殼
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_2	2個氣球　限用龜殼
pvp_battle_rule_teamnum_none_itemlimit_kouraonly_balloonnum_3	3個氣球　限用龜殼
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_1	1個氣球　開放狂熱
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_2	2個氣球　開放狂熱
pvp_battle_rule_teamnum_none_itemlimit_origitem_balloonnum_3	3個氣球　開放狂熱
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_advantaged	200cc　開放狂熱　2隊制
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_fix1	200cc　1個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc200_itemslotnum_fix2	200cc　2個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_advantaged	100cc　開放狂熱　2隊制
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_fix1	100cc　1個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc100_itemslotnum_fix2	100cc　2個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_advantaged	150cc　開放狂熱　2隊制
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_fix1	150cc　1個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc150_itemslotnum_fix2	150cc　2個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_advantaged	50cc　開放狂熱　2隊制
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_fix1	50cc　1個道具　2隊制
pvp_rule_teamnum_2_enginelevel_cc50_itemslotnum_fix2	50cc　2個道具　2隊制
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_advantaged	200cc　開放狂熱　3隊制
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_fix1	200cc　1個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc200_itemslotnum_fix2	200cc　2個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_advantaged	100cc　開放狂熱　3隊制
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_fix1	100cc　1個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc100_itemslotnum_fix2	100cc　2個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_advantaged	150cc　開放狂熱　3隊制
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_fix1	150cc　1個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc150_itemslotnum_fix2	150cc　2個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_advantaged	50cc　開放狂熱　3隊制
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_fix1	50cc　1個道具　3隊制
pvp_rule_teamnum_3_enginelevel_cc50_itemslotnum_fix2	50cc　2個道具　3隊制
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_advantaged	200cc　開放狂熱　4隊制
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_fix1	200cc　1個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc200_itemslotnum_fix2	200cc　2個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_advantaged	100cc　開放狂熱　4隊制
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_fix1	100cc　1個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc100_itemslotnum_fix2	100cc　2個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_advantaged	150cc　開放狂熱　4隊制
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_fix1	150cc　1個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc150_itemslotnum_fix2	150cc　2個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_advantaged	50cc　開放狂熱　4隊制
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_fix1	50cc　1個道具　4隊制
pvp_rule_teamnum_4_enginelevel_cc50_itemslotnum_fix2	50cc　2個道具　4隊制
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_advantaged	200cc　開放狂熱
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_fix1	200cc　1個道具
pvp_rule_teamnum_fes_enginelevel_cc200_itemslotnum_fix2	200cc　2個道具
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_advantaged	100cc　開放狂熱
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_fix1	100cc　1個道具
pvp_rule_teamnum_fes_enginelevel_cc100_itemslotnum_fix2	100cc　2個道具
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_advantaged	150cc　開放狂熱
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_fix1	150cc　1個道具
pvp_rule_teamnum_fes_enginelevel_cc150_itemslotnum_fix2	150cc　2個道具
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_advantaged	50cc　開放狂熱
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_fix1	50cc　1個道具
pvp_rule_teamnum_fes_enginelevel_cc50_itemslotnum_fix2	50cc　2個道具
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_advantaged	200cc　開放狂熱
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_fix1	200cc　1個道具
pvp_rule_teamnum_none_enginelevel_cc200_itemslotnum_fix2	200cc　2個道具
