0.msbt
ActionScore_AvoidKouraB	トゲゾーかいひ！
80x-4715	フレンドと\r\nフレンドリクエスト\r\nの合計が上限に達しています
80x-5300	ニンテンドーアカウントとの連携が\r\nキャンセルされました
80x-5301	ブラウザを起動できません\r\n\r\n本体の設定でブラウザの起動を\r\n制限している可能性があります
80x-5303	ニンテンドーアカウントのログインが\r\n正しく行われませんでした\r\n\r\nもう一度やりなおしてください 
80x-5304	フレンドおすすめ機能が無効のため\r\nニンテンドーアカウントからの\r\nデータ取得ができません
80x-5305	連携しているニンテンドーアカウントが\r\n確認できませんでした
80x-5310	ニンテンドーアカウントとの連携が\r\nキャンセルされました
80x-5311	このニンテンドーアカウントは既に\r\n他のゲームアカウントと連携済みです
80x-5315	ニンテンドーアカウントとの連携が\r\nキャンセルされました
80x-5316	ブラウザを起動できません\r\n\r\n本体の設定でブラウザの起動を\r\n制限している可能性があります
80x-5317	タイムアウトしました\r\n\r\nもう一度連携をやりなおしてください
80x-5319	ニンテンドーアカウントとの連携が\r\nキャンセルされました
80x-5320	ブラウザを起動できません\r\n\r\n本体の設定でブラウザの起動を\r\n制限している可能性があります
80x-5321	タイムアウトしました\r\n\r\nもう一度連携をやりなおしてください
80x-5322	ニンテンドーアカウントとの連携が\r\nキャンセルされました
80x-5323	ブラウザを起動できません\r\n\r\n本体の設定でブラウザの起動を\r\n制限している可能性があります
80x-5324	タイムアウトしました\r\n\r\nもう一度連携をやりなおしてください
80x-5326	タイムアウトしました\r\n\r\nもう一度連携をやりなおしてください
80x-5329	タイムアウトしました\r\n\r\nもう一度連携をやりなおしてください
80x-5400	処理がキャンセルされました
80x-5401	購入できませんでした
80x-5404	購入できませんでした
80x-5406	購入できませんでした
80x-5407	処理がキャンセルされました
80x-5408	保護者が承認してから\r\n購入状態の復元処理を実行してください
80x-5409	購入が制限されています
80x-5411	購入できませんでした
80x-5412	購入状態の復元処理を実行してください
80x-5413	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-5414	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-5405	購入状態の復元処理がキャンセルされました
80x-5502	プレイヤーが存在しません\t
80x-5602	ルビーが たりません
80x-6801	このアカウントIDは既に\r\n他のプレイヤーと連携済みです
80x-6802	現在フレンドを作ることができません
80x-6803	既に連携を解除しています
80x-6902	ルビーが たりません
80x-6903	処理がキャンセルされました
80x-6904	購入できませんでした
80x-7200	エラーが発生しました\r\n\r\nGoogleアカウントにサインイン\r\nしていない可能性があります
80x-7205	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-7208	データ取得に失敗しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7209	エラーが発生しました\r\n\r\nGoogleアカウントにサインイン\r\nしていない可能性があります
80x-7214	このApple ID、Googleアカウントでは\r\n加入が制限されている可能性があります
80x-7215	保護者が承認してから\r\n購入状態の復元処理を実行してください
80x-7218	既に加入済みです
80x-7219	購入できませんでした
80x-7220	加入に失敗しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7223	購入処理が失敗しました\r\n\r\nしばらくしてから\r\n購入状態の復元処理を実行してください
80x-7225	提供期間が終了しました
80x-7226	処理がキャンセルされました
80x-7228	データ取得に失敗しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7231	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-7232	処理に失敗しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7233	異なるOSで既に加入済みです
80x-7235	エラーが発生しました\r\n\r\nGoogleアカウントにサインイン\r\nしていない可能性があります
80x-7238	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-7243	エラーが発生しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7245	エラーが発生しました\r\n\r\nGoogleアカウントにサインイン\r\nしていない可能性があります
80x-7250	エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
80x-7251	データ取得に失敗しました\r\n\r\nApple ID、Googleアカウントを\r\n確認してください
80x-7254	処理が失敗しました\r\n\r\nしばらくしてから\r\n購入状態の復元処理を実行してください
80x-7256	異なるOSで既に加入済みです
80x-7400	ただいまメンテナンス中です\r\n\r\n終了までしばらくお待ちください
80x-7401	マルチプレイの\r\n開催期間は\r\nおしらせをご覧ください
80x-7402	マルチプレイを遊ぶには\r\nアプリを最新バージョンに\r\n更新してください
818-xxxx	通信エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
819-xxxx	通信エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
3.msbt
AddMiiComplete_Content	Miiを追加しました
ApplicationExitConfirm_Content	アプリを終了します\r\nよろしいですか？
ApplicationExitConfirm_Button_0	アプリを終了する
DataRepairComplete_Title	データ修復
DataRepairComplete_Content	データ修復が完了しました\r\n\r\nタイトルにもどります
DataRepairConfirm_Title	どうしても正常に起動しない場合
DataRepairConfirm_Content	キャッシュデータを削除して\r\n再度データをダウンロードすることで\r\n正常に起動できる場合があります\r\n\r\n{color[ffdc00ff]}※セーブデータは削除されません\r\n※修復には長時間かかることがあります\r\nWi-Fi環境でのダウンロードを\r\nおすすめします{color[000000ff]}
DataRepairConfirm_Button_0	キャッシュを削除して修復する
EulaDisagree_Content	同意していただけなかったので\r\nこのアプリをプレイすることは\r\nできません
EulaDisagree_UsOrEu_Content	利用規約とプライバシーポリシーを\r\nご確認いただいていないため\r\nご利用いただけません
ExitLobbyConfirm_Button_0	退出する
ExitLobbyConfirm_Content	ロビーから退出します
FacebookLinked_Content	Facebookと連携しました\r\n\r\n『マリオカート ツアー』をプレイしている\r\nフレンド候補が表示されるようになります
FacebookLinkFailed_Content	Facebookとの連携が\r\nキャンセルされました
FacebookLinkUpdate_Button_0	フレンド候補を 最新状態に更新
FacebookLinkUpdate_Button_1	連携を解除
FacebookLinkUpdate_Content	フレンド候補を\r\n最新のものに更新しますか？
FacebookLinkUpdate_Title	Facebook連携
FacebookLinkUpdateFailed_Content	Facebookとの更新が\r\nキャンセルされました
FacebookUnlinked_Content	Facebookとの連携を\r\n解除しました
FacebookUnlinkFailed_Content	Facebookとの連携解除が\r\nキャンセルされました
ForceVersionUp_Button_0	更新手順
ForceVersionUp_Button_1	ストアを確認
ForceVersionUp_Content	引き続き遊ぶには\r\nアプリを最新バージョンに\r\n更新してください
FriendDeleteAcceptComplete_Content	フレンド申請を削除しました
FriendDeleteComplete_Content	フレンドを削除しました
FriendMyFriendIdInput_Content	ご自身はフレンド登録できません
FriendNotExist_Content	このIDのプレイヤーは存在しません
FriendNotExist_Title	相手のID
FriendRequestComplete_Content	フレンド申請しました
FriendRequestNotExist_Content	このフレンド申請は削除されています
GPSPermitExplanation0_Content	位置情報の利用を 許可すると\r\n近くのライバルと レースが楽しめます！
GPSPermitExplanation1_Content	詳細な位置情報の\r\n利用を 許可しないと\r\n近くのライバルが 見つけられません\r\n\r\n端末の設定画面から 変更できます
GreetCoinSendFailed_Content	エラーが発生しました\r\n\r\n24時間後に再度あいさつコインを\r\nおくれるようになります
IdCopyComplete_Content	IDをコピーしました\r\n\r\nコピーしたIDは\r\nメールなどにペーストできます
LackOfCoin_Content	コインが たりません\r\n\r\n「コインラッシュ」で\r\nコインを大量ゲットしますか？
LackOfCoin_Button_0	コインラッシュ
LackOfCupConstructTicket_Content	チケットが たりません\r\n\r\nギフトなどから ゲットできます
LackOfCupConstructTicket_Title	チケットが たりません
LackOfItem_Content	メダルが たりません\r\n\r\n期間中に レースやバトルで\r\nメダルを あつめましょう！
LackOfPvPTreasurePurchasableNum_Content	マルチプレイをあそんで\r\nゲージを ためて\r\n ドカンを打ち上げよう！
LackOfSeasonRewardPointTicket_Content	チケットが たりません\r\n\r\nギフトなどから ゲットできます
LackOfSeasonRewardPointTicket_Title	チケットが たりません
LackOfTicket_Content	チケットが たりません\r\n\r\nギフトなどから ゲットできます
LackOfTreasureBoxContents_Content	ドカンの中身が\r\n打ち上げ回数より少なくなっています\r\n\r\nドカンの中身をリセットしてから\r\n打ち上げますか？
LackOfTreasureBoxContents_Button_0	リセットする
LackOfVirtualCurrency_Content	ルビーの数が たりません\r\n\r\nルビーを購入しますか？
LackOfVirtualCurrency_Button_0	ルビーを購入する
LackOfVirtualCurrency_Title	ルビーが たりません
LanguageSelectAndRebootConfirm_Content	言語を変更します\r\n\r\nタイトル画面に戻りますが\r\nよろしいですか？
LanguageSelectAndRebootConfirm_Button_0	変更する
LanguageSelectConfirm_Content	選択した言語を\r\n設定します
LanguageSelectConfirm_Button_0	OK
LobbyFull_Button_0	OK
LobbyFull_Content	ロビーが解散したか満員です\r\n\r\nしばらくしてから\r\nもう一度お試しください
LobbyNonexistent_Content	ロビーがみつかりませんでした
MiiSuitShopAbout_Content	【Miiスーツのセール】\r\nセールになっている Miiスーツは\r\nツアー中1回目に限り\r\nいつもよりもお得に交換できます\r\n\r\n【Miiスーツのベースポイント】\r\nMiiスーツの種類が1つふえるごとに\r\nすべてのMiiスーツのベースポイント+10！\r\n\r\n【第1コースがパワーアップ】\r\n今回のツアーでは 全カップの第1コースが\r\n得意なコースや とても得意なコースに\r\nパワーアップ！\r\n\r\n※ Miiスーツは 今後ランキングの報酬などでも\r\n再登場する可能性があります\r\n\r\n※ 将来Miiスーツが増えた際\r\nベースポイントがアップする種類数に\r\n上限が設定される可能性があります\r\n\r\n※ レベル最大のMiiスーツと交換した分は\r\nコインになります
NintendoAccountAlreadyLinked_Title	ニンテンドーアカウント連携済み
NintendoAccountAlreadyLinked_Content	すでにニンテンドーアカウントが\r\n連携されています
NintendoAccountInvalidRegion_Content	連携しようとしている\r\nニンテンドーアカウントの\r\n国・地域設定では\r\n本アプリを利用できません
NintendoAccountInvalidRegion_Button_0	ニンテンドーアカウント管理
NintendoAccountLinkCancel_Content	ニンテンドーアカウントとの連携が\r\nキャンセルされました
NintendoAccountLinkDescription_Content	ニンテンドーアカウントと\r\n連携すると\r\nセーブデータをバックアップできます\r\n\r\n連携しますか？
NintendoAccountLinkDescription_Button_0	連携する
NintendoAccountLinkFailed_Title	ニンテンドーアカウント連携失敗
NintendoAccountLinkFailed_Content	ニンテンドーアカウントの連携に\r\n失敗しました
NintendoAccountLinked_Title	ニンテンドーアカウント連携完了
NintendoAccountLinked_Content	ニンテンドーアカウントとの連携が\r\n完了しました
NintendoAccountRemoveComplete_Content	ニンテンドーアカウント連携を解除し\r\nセーブデータを削除しました\r\n\r\nアプリを終了してください
NintendoAccountRemoveConfirm1_Content	『マリオカート ツアー』と\r\nニンテンドーアカウントの\r\n連携を解除すると\r\n{color[ffdc00ff]}『マリオカート ツアー』のセーブデータが\r\n同時に削除されます{color[000000ff]}\r\n\r\n連携を解除しますか？
NintendoAccountRemoveConfirm1_Button_0	解除する
NintendoAccountRemoveConfirm1_Button_1	やっぱりやめる
NintendoAccountRemoveConfirm2_Content	{color[ffdc00ff]}一度削除したセーブデータは 復旧できません\r\n\r\nまた 削除されたルビーの 払い戻しもできません\r\n\r\nセーブデータを削除しても\r\nゴールドパスの購入状態は継続されます{color[000000ff]}\r\n\r\n本当に セーブデータをすべて消しますか？
NintendoAccountRemoveConfirm2_Button_0	セーブデータをすべて消す
NintendoAccountRemoveConfirm2_Button_1	やっぱりやめる
AllSpaceNameError_Content	空白のみは使えません\r\n別のニックネームを入力してください
NintendoAccountUpdated_Content	ニンテンドーアカウントを\r\n再確認する必要があります
NintendoAccountUpdated_Button_0	ニンテンドーアカウント管理
NumberNameError_Content	6個以上の数字は使えません\r\n別のニックネームを入力してください
InvalidUserName_Content	利用できない文字が含まれています\r\n別のニックネームを入力してください
NgWord_Content	このニックネームは使えません\r\n別のニックネームを入力してください
DifferentNickName_Content	ニックネームが違います
P2PBetaPremiumPassOnly_Content_Ver1.4	マルチプレイ\r\nβテストの開催期間は\r\nおしらせをご覧ください\r\n\r\nβテストの参加には\r\nゴールドパスが必要です
P2PBetaPremiumPassOnly_Content	マルチプレイの\r\n開催期間は\r\nおしらせをご覧ください
P2PCannotFindPinLobby_Content	入力された合流コードのロビーは\r\nありません\r\n\r\nコードが間違っていないか\r\nご確認ください
P2PCannotGetGPS_Content	詳細な位置情報が\r\n取得できません\r\n\r\n端末の位置情報の設定か\r\n電波環境を確認してください
P2PCannotGetToken_Content	合流コードを用意できませんでした\r\n\r\nしばらくしてから\r\nもう一度お試しください
P2PCommonNetworkError_Content	通信エラーが発生しました\r\n\r\nしばらくしてから\r\nもう一度お試しください
P2PForceVersionUp_Button_0	更新手順
P2PForceVersionUp_Button_1	ストアを確認
P2PForceVersionUp_Content	マルチプレイを遊ぶには\r\nアプリを最新バージョンに\r\n更新してください
P2PLobbyAttention_Button_0	ロビーをつくる
P2PLobbyAttention_Content	ロビーをつくったあと\r\nアプリをバックグラウンドにすると\r\n10秒ほどでロビーが解散します
P2PNeedRecreateFoundLobby_Content	このロビーは\r\nエラーが起きているようです\r\n\r\n相手にロビーを\r\n作り直してもらってください
P2PRandomMatchPremiumPassOnly_Button_0	ゴールドパスとは
P2PRandomMatchPremiumPassOnly_Content	ゴールドマッチをプレイするには\r\nゴールドパスが必要です
P2PSentInviteFriend_Content	おさそいを送りました
PhotoLibraryPermitExplanation0_Content	端末の写真・メディアへの\r\nアクセスを許可すると\r\n撮影した写真を自動で\r\n保存することができます
PhotoLibraryPermitExplanation1_Content	写真にアクセスできません\r\n\r\n写真を保存するには\r\n本体設定から写真への\r\nアクセスを許可してください\r\n（SNSなどへのシェアは可能です）
PickUpShopInfo_Content	今日のピックアップの内容は\r\n毎日入れかわります\r\n\r\nお急ぎチケットをつかうと\r\n今日のピックアップの内容を\r\n1日1回入れかえることができます\r\n\r\n※ 登場するキャラ/マシン/グライダーは \r\n今後ショップなどでも\r\n再登場する可能性があります\r\n\r\n※ レベル最大のキャラ/マシン/グライダーと\r\n交換した分はコインになります
PickUpShopInfo2_Content	今日のピックアップの内容は\r\n毎日入れかわります\r\n\r\nお急ぎチケットを 1枚つかうと\r\n今日のピックアップを\r\n1回入れかえることが できます\r\n※1日3回まで\r\n\r\n【ピックアップショップのセール】\r\nセールのキャラ/マシン/グライダーは\r\nツアー中1回目に限り\r\nいつもよりお得に交換できます\r\n\r\n※ 登場するキャラ/マシン/グライダーは \r\n今後ショップなどでも\r\n再登場する可能性があります\r\n\r\n※ レベル最大のキャラ/マシン/グライダーと\r\n交換した分はコインになります
PremiumChallengePurchaseCancel_Content	プレミアムチャレンジシートの購入を\r\nキャンセルしました
PremiumChallengePurchaseCancel_Title	購入キャンセル
PremiumChallengePurchaseLimit_Content	プレミアムチャレンジシートは\r\n最大15枚まで\r\n\r\nいま持っているプレミアムチャレンジを\r\nコンプしてからご購入ください！
PremiumChallengePurchaseLimit_Title	チャレンジシートが いっぱいです
PremiumPassPurchaseCancel_Content	ゴールドパスの購入を\r\nキャンセルしました
PremiumPassPurchaseCancel_Title	購入キャンセル
PurchaseCompleteFail_Content	復元可能なコンテンツは\r\nありません
PurchaseCompleteSuccess_Content	購入状態を復元しました
PurchaseRecoverConfirm_Content	前回の購入処理が\r\n途中で終了しているようです\r\n\r\n購入状態を復元します
PurchaseRecoverEmpty_Content	復元できるものは\r\nありません
PurchaseRecoverSuccess_Content	購入状態を復元しました
RemoveMiiComplete_Content	Miiを削除しました
RewardReceive_Title	報酬受取
RewardReceive_Content	報酬をすべて受け取りました
SaveAgreeEulaFailed_Content	エラーが発生しました\r\n\r\n端末に十分な空き容量がない可能性があります\r\n端末のデータを削除してから\r\nもう一度お試しください
SaveDeleteConfirm1_Content	セーブデータをすべて消して\r\nゲームを最初から はじめますか？\r\n\r\n{color[ffdc00ff]}※セーブデータを消すと\r\n　復旧できません\r\n※アプリ自体は消えません{color[000000ff]}
SaveDeleteConfirm1_Button_0	セーブデータをすべて消す
SaveDeleteConfirm1_Button_1	やめる
ScheduledRestart_Content	更新があるため\r\nタイトルにもどります
ScoreLevelMax_Content	ベースポイントの\r\n上限になりました！
ScoreLevelUnlockable_Content	ポイントアンロックチケットをつかうと\r\nさらにベースポイントを強化できます
ServiceClose_Title	サービス終了
ServiceClose_Content	サービスは終了しました
SpecialOfferPurchaseCancel_Content	スペシャルオファーの購入を\r\nキャンセルしました
SpecialOfferPurchaseCancel_Title	購入キャンセル
SpecialOfferPurchaseComplete_Content	スペシャルオファーを\r\n購入しました
StoreReviewFun_Button_0	書く
StoreReviewFun_Button_1	やめる
StoreReviewFun_Content	ありがとうございます！\r\n\r\nもし よろしければ\r\nご意見をお聞かせください
StoreReviewFun_Title	ご意見・ご感想
StoreReviewNotFun_Button_0	書く
StoreReviewNotFun_Button_1	やめる
StoreReviewNotFun_Content	ご不満に思っている事や\r\n改善して欲しい事はありますか？\r\n\r\nもし よろしければ\r\nご意見をお聞かせください
StoreReviewNotFun_Title	ご意見・ご感想
TreasureBoxResetComplete_Content	ドカンの中身を\r\nリセットしました
TreasureBoxResetConfirm_Content	ドカンの中身を{color[ffdc00ff]}リセット{color[000000ff]}して\r\n満タンに戻します\r\n\r\nドカンをリセットしますか？
TreasureBoxResetConfirm_Button_0	リセットする
TreasureBoxResetConfirm2_Content	{color[ffdc00ff]}ウルトラレア{color[000000ff]}\r\nもしくは{color[ffdc00ff]}ピックアップ{color[000000ff]}が\r\nドカンに残っています\r\n\r\nリセットしてよろしいですか？
TreasureBoxResetConfirm2_Button_0	リセットする
TwitterLinked_Content	Twitterと連携しました\r\n\r\n『マリオカート ツアー』をプレイしている\r\nフレンド候補が表示されるようになります
TwitterLinkFailed_Content	Twitterとの連携が\r\nキャンセルされました
TwitterLinkUpdate_Button_0	フレンド候補を 最新状態に更新
TwitterLinkUpdate_Button_1	連携を解除
TwitterLinkUpdate_Content	フレンド候補を\r\n最新のものに更新しますか？
TwitterLinkUpdate_Title	Twitter連携
TwitterLinkUpdateFailed_Content	Twitterとの更新が\r\nキャンセルされました
TwitterUnlinked_Content	Twitterとの連携を\r\n解除しました
TwitterUnlinkFailed_Content	Twitterとの連携解除が\r\nキャンセルされました
UnsupportedRegion_Content	連携しようとしている\r\nニンテンドーアカウントの\r\n国・地域設定では\r\n本アプリを利用できません
UnsupportedRegion_Button_0	ニンテンドーアカウント管理
VirtualCurrencyAgeCheck_Title	年齢確認
VirtualCurrencyAgeCheck_Content	20歳未満の方は\r\n毎月のルビーの購入に\r\n上限があります\r\n(150個/月まで)\r\n\r\nあなたの年齢を\r\nえらんでください。
VirtualCurrencyAgeCheck_Button_0	20歳未満
VirtualCurrencyAgeCheck_Button_1	20歳以上
VirtualCurrencyCancel_Title	購入キャンセル
VirtualCurrencyCancel_Content	ルビーの購入を\r\nキャンセルしました
VirtualCurrencyLimitOver_Title	購入上限数オーバー
VirtualCurrencyLimitOver_Content	20歳未満の方は\r\n毎月のルビーの購入に\r\n上限があります\r\n\r\n今月の\r\n購入上限数を超えているため\r\n購入できません
4.msbt
BackButton_LeavePvPSession	退出する
BtnCheckBox03_00000	チームメンバーをねらう
BtnCheckBox03_00001	アカこうらやゲッソーなどのアイテムが\r\nチームメンバーにも ねらいをさだめます
BtnCmnRace00_00000	レースであそぶ
BtnCustomizeCmn03_00000	ポイント
BtnCustomizeCmn04_00000	レベル
BtnCustomizePrice00_00001	--
BtnDlgCheckCamera00_00000	みまわす
BtnDlgCheckWappenBook00_00000	すべて
BtnDlgCup00_00000	 トライ！
BtnDlgFriendCancel00_00000	フレンド解消
BtnDlgGreetingCoin00_00000	あいさつコイン
BtnDlgGreetingCoin00_00001	フレンドにあいさつコインをおくってみよう！
BtnDlgLobbyInvite00_00000	おさそい
BtnDlgLobbyInvite00_00001	フレンドをおさそいできます
BtnDlgManual00_00001	コンプリートしたシートの表示/非表示を きりかえます
BtnDlgNetPlayRule00_00000	ルール
BtnDlgNewsList00_00000	リスト
BtnDlgNewsList00_00001	あなた宛のお知らせがあります
BtnDlgPin00_00000	合流コード
BtnDlgSetting00_00000	設定
BtnDlgStarTicket00_00000	スターチケット
BtnDynamic00_00002	ニックネームを入力してください
BtnDynamicFriendCode00_00000	相手のIDを入力してください
BtnDynamicName01_00000	ニックネームを入力してください
BtnFriend00_00000	フレンド申請を受けました
BtnLinkSeasonReward00_00000	ウデマエS以上を めざそう！
BtnMainMenuCourse01_00000	ふうせんバトル
BtnMainMenuCupSelect00_00001	あと
BtnNetPlayRandom00_00000	開催中！
BtnNetPlayRandom00_00001	準備中
BtnNetPlayRandom00_00002	次のツアーで オープン予定
BtnNetPlayRandom00_00006	SUPER WIN
BtnRankingContent00_00000	フレンドのプロフィールを見てみよう！
BtnShopBuy02_00000	獲得コイン×
BtnShopBuyCurrency00_00001	購入する
BtnShopSpecialOffer02_00001	{size[5300]}まずは2週間 無料で体験！{size[6400]}
BtnShopSpecialOffer02_00003	申し込む
BtnSub04_00002	購入期限
BtnSubMiiAdd00_00000	Mii追加
BtnSubMiiDelete00_00000	Mii削除
BtnSubNext00_00000	つぎへ
BtnSubRetry01_00000	もういちど
CantGetRankingDetail_AI	ハイスコアを取得できませんでした
CantGetRankingDetail_OtherPlayer	記録がありません
Celebration_Content_CupClear	くりかえし走りこんで\r\nベストスコアをのばしましょう！
Celebration_Content_License	ドライバーズライセンスを\r\n登録しました！
Celebration_Content_OpenCc_100	ドライバーランクがアップして\r\n新しい cc がオープンしました
Celebration_Content_OpenCc_150	ドライバーランクがアップして\r\n新しい cc がオープンしました
Celebration_Content_OpenCc_200	ゴールドパスで\r\n新しい cc がオープンしました
Celebration_Content_PremiumPass	・ゴールドギフトがオープン！\r\n・ゴールドチャレンジがオープン！\r\n・200cc がオープン！
Celebration_Content_UserRankUp	レースやバトルでもらえる\r\nゴールポイントがアップします！
Celebration_Title_CupClear	カップ フィニッシュ！
Celebration_Title_LeagueUp	リーグがアップしました！
Celebration_Title_License	登録完了！
Celebration_Title_OpenCc_100	100ccオープン！
Celebration_Title_OpenCc_150	150ccオープン！
Celebration_Title_OpenCc_200	200ccオープン！
Celebration_Title_PremiumPass	ゴールドパスをゲットしました！
Celebration_Title_UserRankUp	ドライバーランクアップ！
CupRaceIndex_0	1st レース
CupRaceIndex_1	2nd レース
CupRaceIndex_2	3rd レース
CupRaceIndex_3	ファイナルレース
CupRaceIndex_Bonus	ボーナスゲーム
CupRaceIndex_Last	ファイナルレース
Days_1	1日目
Days_10	10日目
Days_11	11日目
Days_12	12日目
Days_13	13日目
Days_14	14日目
Days_2	2日目
Days_3	3日目
Days_4	4日目
Days_5	5日目
Days_6	6日目
Days_7	7日目
Days_8	8日目
Days_9	9日目
DlgBalloonTarget00_00000	ふうせんリスト
DlgBalloonTarget00_00001	バトルで使う ふうせんを\r\nえらんでください
DlgBootHelp00_00001	カスタマーサポート
DlgBootHelp00_00002	どうしても正常に起動しない場合
DlgBootHelp00_00003	ID：
DlgBootHelp00_00004	前回起動時に\r\nタイトル画面でアプリが終了したようです\r\n\r\n何度も発生するようでしたら\r\n下記をご確認ください
DlgBootHelp00_00120	前回 途中で終了しました
DlgBootHelp00_00121	Ver. 
DlgBuySelectOpen00_00000	今日のラインナップ
DlgBuySelectOpen00_00001	お急ぎチケットを 1枚つかうと\r\n今日のラインナップを\r\n入れかえることが できます
DlgBuySelectOpen01_00000	今日のピックアップ
DlgBuySelectOpen01_00001	お急ぎチケットを 1枚つかうと\r\n今日のピックアップを\r\n入れかえることが できます
DlgBuySelectOpen01_00003	お急ぎチケットを 1枚つかうと\r\n今日のピックアップを1回入れかえることが できます\r\n※1日3回まで
DlgCC00_00000	ccをえらんでください
DlgCharaSelect00_00006	ショップ
DlgCoin01_00000	獲得コイン×
DlgCoinEntryContent00_00000	300枚以上の コイン山もりコースを爆走！\r\n{color[ffdc00ff]}ゴールドマリオ{color[000000ff]}で コインを大量ゲット！
DlgCoinExchange00_00000	最大数より多く手に入れた分は\r\nコインと交換します
DlgCourseResult00_00002	ツアーベスト
DlgCourseResult00_00003	これまでのベスト
DlgCourseResult01_00002	ツアーベスト
DlgCupOpenDone00_00000	 カップ オープン！
DlgCupOpenDone00_00001	グランドスターが あつまって\r\n新しいカップがオープンしました！
DlgCurrency00_00000	ルビーの購入
DlgCurrency00_00001	購入処理の完了
DlgCurrency00_00002	{color[ffdc00ff]}購入できるルビーが無いか\r\nOSの設定で購入制限されています{color[000000ff]}
DlgCurrency00_00003	注意事項をご確認のうえ\r\n購入する金額を選択してください
DlgCurrency00_00004	購入したルビーは\r\nご使用のOS以外の『マリオカート ツアー』では\r\n利用できないので ご注意ください\r\n\r\nサービス分は\r\n無償入手のルビーとして扱われ\r\n残高内訳画面で残高確認できます
DlgCurrency00_00005	ルビー以外のアイテムは\r\nサービスアイテムとなります\r\n
DlgCurrency00_00006	購入したルビーは\r\nご使用のOS以外の『マリオカート ツアー』では\r\n利用できないので ご注意ください\r\n\r\nサービス分は\r\n無償入手のルビーとして扱われ\r\n残高内訳画面で残高確認できます。
DlgCurrencyContent00_00000	サービス
DlgCustomize04_00000	 Miiをえらぼう！
DlgCustomize07_00001	まだ 持っていません
DlgCustomize08_00001	ゴールドパスについて
DlgCustomize08_00002	ゴールドパス購入でオープンします
DlgCustomizeContent00_00000	とても得意なコース
DlgCustomizeContent00_00001	スペシャルスキル
DlgCustomizeContent00_00002	得意なコース
DlgCustomizeContent00_00005	レベルアップで さらにパワーアップ！
DlgCustomizeContent00_00006	ありません
DlgCustomizeContent00_00007	ありません
DlgCustomizeItem02_00001	ゴールドパスについて
DlgCustomizeItem02_00002	ゴールドパス購入でオープンします
DlgCustomizeLevelContent00_00001	コインすいこみ
DlgCustomizePowerUp00_00004	ゲージ +
DlgCustomizePowerUpContent01_00001	すべてのMiiスーツ
DlgCustomizePowerUpContent01_00002	Miiスーツの種類が1つふえるごとに\r\nすべてのMiiスーツのベースポイント +10！
DlgCustomizePowerUpTEST_00001	強化後：
DlgDailyChallenge00_00000	デイリーチャレンジ
DlgDailyChallenge00_00001	今日のチャレンジ
DlgDailyChallenge00_00002	今回のギフトはこちら
DlgDailyChallenge00_00003	ドカンの中身について
DlgDownload00_00000	データダウンロード
DlgDownload00_00001	最新のデータを\r\nダウンロードします\r\n\r\nWi-Fi環境でのダウンロードを\r\nオススメします
DlgDownload00_00002	データサイズ：
DlgDownload00_00003	 MB
DlgDownload00_00004	ダウンロード
DlgDownload00_00005	練習しながらダウンロード
DlgDrift00_00000	操作方法を えらんでください
DlgDrift00_00001	かんたん
DlgDrift00_00002	左右スライドで ハンドル操作\r\n{color[ffdc00ff]}まずは ここから！{color[000000ff]}
DlgDrift00_00003	ドリフト
DlgDrift00_00004	左右スライドで すぐにドリフト\r\n{color[ffdc00ff]}上級者むけ{color[000000ff]}
DlgDrift00_00005	※ あとから設定を変更できます
DlgError00_00000	サポートコード: 
DlgError00_00001	詳細はこちら
DlgEula00_00001	利用規約
DlgEula00_00002	プライバシーポリシー
DlgEula00_00003	同意する
DlgEula00_00004	同意しない
DlgFesTeamConfirmation00_00000	このチームにする？
DlgFesTeamConfirmation00_00001	※応援するチームは後から変更できません
DlgFesTeamConfirmation00_00002	このチームに決めた！
DlgFriend00_00000	フレンド追加
DlgFriend00_00002	フレンド申請
DlgFriend00_00003	IDでさがす
DlgFriend00_00004	相手のIDを入力してください
DlgFriend00_00006	ニンテンドーアカウントのフレンド
DlgFriend00_00007	ニンテンドーアカウントのフレンドが\r\nここに表示されます
DlgFriendCode00_00000	あなたのID
DlgFriendCode00_00001	あなたのIDをコピーしました\r\nメールなどに貼り付けできます
DlgListTitleLanguage_00	言語
DlgMaintenance00_00001	メンテナンス期間
DlgMaintenance00_Period	未定
DlgMii00_00000	マリオカート ツアー のMii番号
DlgMii00_00001	追加したMiiは レースやランキングなどで\r\n他のユーザーに表示されます
