CheckSaveData.msbt
CreateFile	正在创建{c[dc000d]}保存数据{c[000000]}，\n请稍等片刻。
NetGroupWaitCommonLo	请稍等片刻。
NetGroupMakeGroupText	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0创建团队
RoomSelectNotFoundInfoText	目前没有正在招募同伴的探索。\n按\x0e\x04\n\x02a\0键可以{c[dc000d]}更新列表{c[000000]}，\n也可以按\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0键\n{c[dc000d]}创建新的团队{c[000000]}进行探索。
RoomSelectNotFoundInfoText2	目前没有正在招募同伴的探索。\n按\x0e\x04\n\x02a\0可以{c[dc000d]}更新列表{c[000000]}。\n此外，用{c[dc000d]}“选择配对”{c[000000]}也可能会找到同伴，\n也请试试看吧。
NetErrorDefaultText	发生{c[dc000d]}连接错误{c[000000]}。\n将返回模式选择。
NetEndConfirmDialogWindowText	要退出游戏，\n并{c[dc000d]}解散{c[000000]}团队吗？
NetEndConfirmClientDialogWindowText	要{c[dc000d]}退出游戏{c[000000]}，\n返回探索选择吗？
NetQuestDecideConfirmDialogWindowText	要挑战\n{c[dc000d]}\x0e\x02\x02\0{c[000000]}吗？
MotivationText	干劲
CashConsumptionText	要吃{c[dc000d]}\x0e\x02\x01\0个{c[000000]}苹果宝石\n来回复\x0e\x05\x04\x024\0干劲（故事）吗？
CashConsumptionText2	要吃{c[dc000d]}\x0e\x02\x01\0个{c[000000]}苹果宝石\n来回复\x0e\x05\x05\x025\0干劲（热闹）吗？
InsufficientMaxMotivationText	{c[dc000d]}干劲{c[000000]}的{c[dc000d]}最大值{c[000000]}不足。\n如果想挑战这个探索，\n需要先{c[dc000d]}提升等级{c[000000]}。
HeaderUpModeSelectText	模式选择
HeaderUpWaiwaiSelectText	热闹探索
HeaderUpInetSelectText	线上广场
NewForAreaSelect	NEW
HeaderUpAreaSelectText	区域选择
HeaderUpQuestSelectText	探索选择
HeaderUpJobSelectText	职业选择
HeaderUpArmsSelectText	武器选择
HeaderUpHatSelectText	防具选择
HeaderUpMemberCheckSelectText	成员选择
HeaderUpBuddySelectText	朋友选择
HeaderUpSetupSelectText	准备
HeaderUpSupportSelectText	辅助道具
HeaderUpRoomSelectText	探索选择
ModeSelectSingleBodyText	打倒到处作乱的{c[ff4b32]}敌人{c[000000]}，拯救{c[ff4b32]}噗噗噗王国{c[000000]}吧！\n如果拥有多个手柄，\n最多可以{c[ff4b32]}4人{c[000000]}一起游玩哦！
ModeSelectMultiBodyText	一个人也好，跟大家一起也好，{c[ff4b32]}热闹{c[000000]}战斗吧！\n能得到比“故事探索”更多的{c[ff4b32]}奖赏{c[000000]}哦！
ModeSelectInTutorialBodyText	选择{c[ff4b32]}探索{c[000000]}，\n{c[ff4b32]}出击{c[000000]}去战斗吧！
WaiwaiInetBodyText	消耗较少{c[ff4b32]}干劲{c[000000]}的超值探索！\n通过{c[ff4b32]}互联网{c[000000]}跟全世界的同伴一起战斗吧！
WaiwaiLocalBodyText	带着Nintendo Switch，\n以{c[ff4b32]}本地联机{c[000000]}跟附近的人一起战斗吧！
WaiwaiSingleBodyText	跟{c[ff4b32]}旅人{c[000000]}或是{c[ff4b32]}朋友{c[000000]}一起挑战热闹探索！\n如果拥有多个手柄，\n最多可以{c[ff4b32]}4人{c[000000]}一起游玩哦！
InetOmakaseBodyText	通过互联网游玩“热闹探索”吧！\n出击进行{c[ff4b32]}委托配对所选择的探索{c[000000]}！
InetErandeBodyText	通过互联网游玩“热闹探索”吧！\n出击进行{c[ff4b32]}自己所选择的探索{c[000000]}！
InetFriendBodyText	通过互联网游玩“热闹探索”吧！\n{c[ff4b32]}跟朋友一起{c[000000]}出击！
AreaBtn1	海岸
AreaBtn2	沙丘
AreaBtn3	古迹
AreaBtn4	火山
AreaBtn5	天空
AreaBtn6	大决战
AreaBtn7	草原
AreaBtn8	梦幻异界
QuestBtnMotivationText	干劲
QuestBtnCashText	苹果
QuestSelectMissionText	任务
QuestSelectRewardMaterialText	报酬
QuestSelectRewardMaterialNum	\x0e\x02\x01\0
QuestSelectMotivationNum	\x0e\x02\x01\0
QuestSelectRankedBossText	\x0e\x02\x02\0\x0e\x02\x02\0
BuddyBtnLevelText	等级
BuddyLevelText	等级
BuddyBraveRankText	勇者级别
BuddyBraveRankNum	\x0e\x02\x01\0
BuddyLimitText	还能出击\x0e\x02\x01\0次。
SetupJobBtn	\x0e\x04\x05\x021\0改变职业
SetupJobBtnNoIcon	改变职业
SetupArmsBtn	更改武器
SetupHatBtn	更改防具
AreaUnlockedText	{c[dc000d]}新的探索{c[000000]}\n出现了！
QuestUnlockedText	用苹果宝石的力量\n成功开辟了{c[dc000d]}通往探索的道路{c[000000]}！
QuestUnlockFailedForNet	{c[dc000d]}苹果宝石{c[000000]}不足。
MotivationShortForNet	\x0e\x05\x05\x025\0干劲（热闹）不足。
UnlockCheckText	要使用{c[dc000d]}\x0e\x02\x01\0个{c[000000]}苹果宝石，\n{c[dc000d]}开放{c[000000]}这个探索吗？
SupportItemConsumptionText	是否确定要\n使用{c[dc000d]}\x0e\x02\x0b\0{c[000000]}？
SupportItemUseText	{s[120]}\x0e\x02\x01\0{s[100]}/\x0e\x02\x01\0
SupportItemExpUpRestTimeMinText	\x0e\x02\x01\0 分
SupportItemExpUpRestTimeSecText	\x0e\x02\x01\0 秒
SupportItemUsedCountText	{s[100]}×{s[100]}{s[120]}\x0e\x02\x01\0{s[100]}
SupportItemToShopBtn	前往杂货店
TipsTownTreeHeaderText	在杂货店购买苹果宝石
TipsTownTreeBodyText	只要购买{c[ffde00]}苹果宝石{c[000000]}，{c[ffde00]}树{c[000000]}就会成长！\n能够采摘的苹果将会增加！
TipsTownCropHeaderText	采摘苹果宝石
TipsTownCropBodyText	{c[ffde00]}苹果宝石{c[000000]}在采摘后经过{c[ffde00]}12小时\n{c[000000]}就会再次结出鲜红的果实！
TipsTownTrophyHeaderText	达成勇者任务
TipsTownTrophyBodyText	只要{c[ffde00]}达成勇者任务{c[000000]}，\n就能得到{c[ffde00]}苹果宝石{c[000000]}等奖赏！
TipsTownTrophyAppleHeaderText	苹果宝石不够用的时候
TipsTownTrophyAppleBodyText	试着{c[ffde00]}达成勇者任务{c[000000]}吧！\n能够在人物简介进行确认哦！
TipsTownBookHeaderText	会一直发挥效果的辅助之书
TipsTownBookBodyText	在{c[ffde00]}杂货店{c[000000]}里能购买{c[ffde00]}提升获得碎片数量{c[000000]}的书\n以及{c[ffde00]}让干劲更容易回复{c[000000]}的书！
TipsTownBookEnhanceHeaderText	集齐辅助之书吧
TipsTownBookEnhanceBodyText	{c[ffde00]}辅助之书{c[000000]}共有{c[ffde00]}6本{c[000000]}！\n每次购买都能得到更强的效果！
TipsTownSupplementHeaderText	属于消耗品的辅助药
TipsTownSupplementBodyText	使用提升{c[ffde00]}攻击{c[000000]}与{c[ffde00]}体力{c[000000]}的{c[ffde00]}药{c[000000]}，\n让探索中的战斗更加有利！
TipsTownEquipmentHeaderText	收集装备吧
TipsTownEquipmentBodyText	购买更加{c[ffde00]}稀有的装备{c[000000]}，\n增强{c[ffde00]}攻击{c[000000]}与{c[ffde00]}体力{c[000000]}吧！
TipsTownRareMaterialHeaderText	通过战斗取得稀有碎片
TipsTownRareMaterialBodyText	{c[ffde00]}勇者级别{c[000000]}越高，就越容易掉落\n购买{c[ffde00]}稀有装备{c[000000]}时所需要的{c[ffde00]}稀有碎片{c[000000]}！
TipsTownBellHeaderText	旅人之钟
TipsTownBellBodyText	敲响小镇的{c[ffde00]}钟{c[000000]}，就会有{c[ffde00]}旅人{c[000000]}造访！\n能够成为朋友一起前往探索哦！
TipsTownTraveller3HeaderText	与旅人分别
TipsTownTraveller3BodyText	{c[ffde00]}一起前往过1次{c[000000]}探索后，\n{c[ffde00]}旅人{c[000000]}就会离开小镇！
TipsTownMemberHeaderText	更换朋友
TipsTownMemberBodyText	在{c[ffde00]}成员选择{c[000000]}中，\n能够替换在探索中一起战斗的{c[ffde00]}朋友{c[000000]}！
TipsTownExpBallHeaderText	属于消耗品的经验值球
TipsTownExpBallBodyText	使用{c[ffde00]}经验值球{c[000000]}后的30分钟内\n取得的经验值会提升为{c[ffde00]}2倍{c[000000]}！
TipsTownEquipSeriesHeaderText	以成套装备来提升威力
TipsTownEquipSeriesBodyText	只要装备{c[ffde00]}稀有度相同{c[000000]}的武器与防具，\n装备的性能就会提升！
TipsTownResidentHeaderText	小镇会变得更热闹
TipsTownResidentBodyText	只要推进故事，\n{c[ffde00]}小镇{c[000000]}的{c[ffde00]}居民{c[000000]}就会逐渐增加！
TipsTownWatchwordHeaderText	通过暗号取得道具
TipsTownWatchwordBodyText	在小镇的{c[ffde00]}祠堂{c[000000]}输入{c[ffde00]}暗号{c[000000]}，\n就能得到道具！
TipsTownAmiiboHeaderText	通过amiibo像取得道具
TipsTownAmiiboBodyText	在小镇的{c[ffde00]}amiibo像{c[000000]}使用{c[ffde00]}amiibo{c[000000]}，\n就能取得道具！
TipsTownWaiwaiOverviewHeaderText	热闹探索
TipsTownWaiwaiOverviewBodyText	如果无法独自在{c[ffde00]}热闹探索{c[000000]}中获胜，\n就用线上或本地联机游玩吧！
TipsTownWaiwaiOnlineHeaderText	线上广场
TipsTownWaiwaiOnlineBodyText	在{c[ffde00]}热闹探索{c[000000]}的{c[ffde00]}线上广场{c[000000]}，\n能和线上的其他人一起游玩！
TipsTownGoMultiHeaderText	和全世界的猎人队游玩
TipsTownGoMultiBodyText	在{c[ffde00]}线上广场{c[000000]}能和全世界的人们游玩！\n还可以得到{c[ffde00]}1.3倍{c[000000]}的经验值哦！
TipsTownMatchOverviewHeaderText	委托配对与选择配对
TipsTownMatchOverviewBodyText	如果使用{c[ffde00]}委托配对{c[000000]}，会随机前往某个探索。\n如果使用{c[ffde00]}选择配对{c[000000]}，则会前往自己选择的探索。
TipsTownForgeZHeaderText	装备的强化
TipsTownForgeZBodyText	所有装备都能进行{c[ffde00]}DX强化{c[000000]}！\n强化后，性能会大幅提升哦！
TipsTownForgeSZHeaderText	装备的终极强化
TipsTownForgeSZBodyText	所有装备都能进行最强的{c[ffde00]}SDX强化{c[000000]}！\n强化后，性能会有十分惊人的提升哦！
TipsTownMiniExpBallHeaderText	能轻松使用的迷你经验值球
TipsTownMiniExpBallBodyText	使用{c[ffde00]}迷你经验值球{c[000000]}后的10分钟内\n取得的经验值会提升为{c[ffde00]}1.5倍{c[000000]}！
TipsTownChangeHomeHeaderText	切换小镇
TipsTownChangeHomeBodyText	在小镇的边缘持续按住\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0\n就能前往{c[ffde00]}另一个小镇{c[000000]}！
TipsTownSharingHeaderText	以分享游玩进行故事探索
TipsTownSharingBodyText	如果拥有多个手柄，\n最多可以{c[ffde00]}4人{c[000000]}一起游玩哦！
TipsTownEquipSaleHeaderText	装备特卖
TipsTownEquipSaleBodyText	老旧的装备偶尔会进行{c[ffde00]}特卖{c[000000]}。\n最便宜时能用{c[ffde00]}50%折扣{c[000000]}购买！
TipsTownLuckyOverviewHeaderText	幸运探索
TipsTownLuckyOverviewBodyText	{c[ffde00]}幸运探索{c[000000]}是能通过线上或\n本地联机游玩的超值探索！
TipsTownNpcEquipHeaderText	购买朋友的装备吧
TipsTownNpcEquipBodyText	为了取得胜利，{c[ffde00]}朋友{c[000000]}的装备也很重要。\n帮他们购买{c[ffde00]}各种职业{c[000000]}的装备吧！
TipsTownJobBookHeaderText	购买职业之书来提升威力
TipsTownJobBookBodyText	在杂货店购买{c[ffde00]}职业之书{c[000000]}，\n自己职业的强度将会永久提升！
TipsTownJemPresentHeaderText	苹果宝石赠礼
TipsTownJemPresentBodyText	有时候杂货店会\n{c[ffde00]}赠送{c[000000]}苹果宝石！
TipsTownProfileHeaderText	通过人物简介确认任务
TipsTownProfileBodyText	{c[ffde00]}勇者任务{c[000000]}的相关信息\n能从{c[ffde00]}人物简介{c[000000]}进行确认！
TitleCopyright	©2019 HAL Laboratory, Inc. / Nintendo
QuestGiveUpConfirmText	要{c[dc000d]}结束{c[000000]}探索吗？
ContinueWaitDialog	有其他玩家正在选择，\n请稍候片刻。
BuddyEquipChangeRandom	\x0e\x04\x07\x023\0随机装备
BuddyEquipChangeRecommend	\x0e\x04\x07\x023\0推荐装备
MessageTutorialMultiModeStartDlog	由于卡比们的活跃，\n{c[dc000d]}热闹探索{c[000000]}已开放！\n比故事探索更容易收集到\n{c[dc000d]}碎片{c[000000]}与{c[dc000d]}苹果宝石{c[000000]}哦！
MessageTutorialDoubleMotivBar	游玩{c[dc000d]}故事探索{c[000000]}\n要使用\x0e\x05\x04\x024\0干劲（故事）。\n游玩{c[dc000d]}热闹探索\n{c[000000]}则需要\x0e\x05\x05\x025\0干劲（热闹）。
KeyBossUnlockedMainPhase04	阻挡去路的{c[dc000d]}试炼探索{c[000000]}\n出现了！
KeyBossUnlockedMainPhase07	只要有骚动的地方，\n一定都会有那个斗篷男的踪影……\n通过{c[dc000d]}试炼探索{c[000000]}，查出他的真面目吧！
KeyBossUnlockedMainPhase11	阻挡去路的{c[dc000d]}试炼探索{c[000000]}\n出现了！
KeyBossUnlockedMainPhase14	阻挡去路的{c[dc000d]}试炼探索{c[000000]}\n出现了！
KeyBossUnlockedMainPhase17	终于要找到那个斗篷男了……！？\n勇闯{c[dc000d]}试炼探索，{c[000000]}\n确认那身影的真面目吧！
KeyBossUnlockedMainPhase21	终于找到了\n在幕后操纵一切的斗篷男！\n勇闯{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase22	四头守护神出现了！\n挑战{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase23	美丽的侵略者出现了！\n挑战{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase24	终于把来自异世界的魔法师\n逼入绝境了！\n勇闯一决胜负的{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase28	带有剧毒的云出现了！\n挑战{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase31	美丽的侵略者再次降临！\n挑战{c[dc000d]}试炼探索{c[000000]}吧！
KeyBossUnlockedMainPhase32	是时候结束这一切了！\n赢得{c[dc000d]}最终决战{c[000000]}，\n让王国恢复和平吧！
KeyBossUnlockedMainPhase33	这就是真正的最终决战……\n{c[dc000d]}真 最终决战{c[000000]}出现了！\n和同伴一起拯救世界吧！\n超级卡比猎人队！
KeyBossUnlockedMainPhase38	远古英雄再度降临……！\n{c[dc000d]}试炼探索{c[000000]}出现了！
KeyBossUnlockedMainPhase39	一心只想复仇的\n异世界魔法师再次降临……！\n极超级别的{c[dc000d]}试炼探索{c[000000]}出现了！
KeyBossUnlockedMainPhase40	被唤醒的终极黑暗之王\n在众人面前阻碍了去路……！\n极超级别的{c[dc000d]}试炼探索{c[000000]}出现了！
KeyBossUnlockedMainPhase41	只有被选中的勇者才能挑战\n名副其实的最终决战……\n{c[dc000d]}真 最终决战EX{c[000000]}出现了！\n赢得胜利吧！超级卡比猎人队！！
PenaltySuspended2	由于上次进行线上游戏时{c[dc000d]}连接中断{c[000000]}，\n因此在一定时间内无法进行线上游戏。\n预计还有约\x0e\x02\x01\0小时\x0e\x02\x01\0分钟才能连接。
PenaltyNotSuspended	上次进行线上游戏时发生了{c[dc000d]}连接中断{c[000000]}，\n此状况若持续发生，\n将可能导致暂时{c[dc000d]}无法进行线上游戏{c[000000]}。\n请先确认您的网络状况后再次尝试。
FriendLocalClientWait	正与队长连接中。\n请稍候片刻……
ConfirmAlone	要独自一人{c[dc000d]}出击{c[000000]}吗？\n（如果选择不出击，\n则会以{c[dc000d]}“委托配对”{c[000000]}搜寻探索。）
TutorialMultiQuestDialog	干劲分为\x0e\x05\x04\x024\0{c[dc000d]}故事探索{c[000000]}与\n\x0e\x05\x05\x025\0{c[dc000d]}热闹探索{c[000000]}两种哦！\n请试着轮流游玩吧！
SortDefault	排序：按委托配对
SortNotCleared	排序：按尚未过关的任务数
SortDifficultyDesc	排序：按推荐等级 高
SortDifficultyAsc	排序：按推荐等级 低
SortPersonNum	排序：按参加人数
SortLuckyQuest	排序：按是否有幸运探索
MemberCheckNetGuestIn	有玩家参加了团队！
MemberCheckNetGuestOut	有玩家离开了团队。
RecommendLevel	推荐等级：\x0e\x02\x01\0
NetErrorCommon	发生连接错误。
NetErrorSessionCreate	建立团队失败。
NetErrorSessionJoin	无法参加团队。\n该团队可能人数已满，\n或是已经出击。
NetErrorSessionAuto	配对失败。
NetErrorHostLeft	队长解散了团队。
NetErrorStationDecreased	将解散团队。
NetErrorInetSomebodyDisconnect	由于连接发生异常，\n探索已中途结束。
InetDisconnect	连接已中断。\n请勿主动中断联机。\n请先确认您的网络状况后，\n再次尝试。
MemberSelectOK	OK
LQuestApp	出现了幸运探索！
WaitOtherPlayers	正在等待其他参加者……
MelonMission2.msbt
HeaderText	勇者任务
RankText	勇者级别
RankNumText	{s[135]}\x0e\x02\x01\0{s[100]}{s[060]} {s[100]}{s[100]}/\x0e\x02\x01\0{s[100]}
RewardTitleText	奖赏
ClosedTrophyBtnText	？？？？
HeaderBtnTextLevel	玩家等级
HeaderBtnTextShop	杂货店
HeaderBtnTextOther1	其他1
HeaderBtnTextOther2	其他2
HeaderBtnTextOther3	其他3
HeaderBtnTextMain1	故事1
HeaderBtnTextMain2	故事2
HeaderBtnTextMain3	故事3
HeaderBtnTextMain4	故事4
HeaderBtnTextWaiwai1	热闹1
HeaderBtnTextWaiwai2	热闹2
HeaderBtnTextWaiwai3	热闹3
HeaderBtnTextWaiwai4	热闹4
HeaderBtnTextWaiwai5	热闹5
HeaderBtnTextWaiwai6	热闹6
HeaderBtnTextWaiwai7	热闹7
HeaderBtnTextWaiwai8	热闹8
HeaderBtnTextWaiwai9	热闹9
HeaderBtnPageText	{s[135]}\x0e\x02\x01\0{s[100]}{s[050]} {s[100]}/\x0e\x02\x01\0
Area1Stage1Mission1	通过“盔角虫”。
Area1Stage1Mission2	在“盔角虫”中{c[dc000d]}没有任何人力竭{c[000000]}。
Area1Stage1Mission3	使用职业\x0e\x05\0\x020\0\n通过“盔角虫”。
Area1Stage1Mission4	通过“盔角虫”时\n获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area1Stage2Mission1	通过“大型\x0e\x17\0\0・\x0f\x17\0枪瓦豆鲁迪”。
Area1Stage2Mission2	在“大型\x0e\x17\0\0・\x0f\x17\0枪瓦豆鲁迪”中\n使用职业\x0e\x05\0\x020\0的招式{c[dc000d]}“回旋斩”{c[000000]}命中敌人。
Area1Stage2Mission3	使用职业\x0e\x05\x01\x021\0\n通过“大型\x0e\x17\0\0・\x0f\x17\0枪瓦豆鲁迪”。
Area1Stage2Mission4	通过“大型\x0e\x17\0\0・\x0f\x17\0枪瓦豆鲁迪”时\n获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area1Stage3Mission1	通过“瓦豆鲁笃老大”。
Area1Stage3Mission2	在“瓦豆鲁笃老大”中{c[dc000d]}没有任何人力竭{c[000000]}。
Area1Stage3Mission3	使用职业\x0e\x05\x03\x023\0\n通过“瓦豆鲁笃老大”。
Area1Stage3Mission4	通过“瓦豆鲁笃老大”时\n获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area2Stage1Mission1	通过“冰霜先生”。
Area2Stage1Mission2	在“冰霜先生”中\n由玩家使出{c[dc000d]}用嘴喂食{c[000000]}。
Area2Stage1Mission3	使用职业\x0e\x05\x02\x022\0\n通过“冰霜先生”。
Area2Stage1Mission4	通过“冰霜先生”时\n获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area2Stage2Mission1	通过“炎刃”。
Area2Stage2Mission2	{c[dc000d]}防御{c[000000]}“炎刃”的攻击。
Area2Stage2Mission3	在玩家等级{c[dc000d]}7或以上{c[000000]}的情况下\n通过“炎刃”。
Area2Stage2Mission4	通过“炎刃”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area2Stage3Mission1	通过“大块头”。
Area2Stage3Mission2	在“大块头”中\n获得{c[dc000d]}快速通关奖励{c[000000]}。
Area2Stage3Mission3	与{c[dc000d]}旅人{c[000000]}一同出击\n前往“大块头”。
Area2Stage3Mission4	通过“大块头”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area3Stage1Mission1	通过“双重 大型队伍”。
Area3Stage1Mission2	在“双重 大型队伍”中\n使用职业\x0e\x05\x01\x021\0的招式{c[dc000d]}“鬼杀火焰锤”{c[000000]}命中敌人。
Area3Stage1Mission3	在{c[dc000d]}4人分别使用不同职业{c[000000]}的情况下\n通过“双重 大型队伍”。
Area3Stage1Mission4	通过“双重 大型队伍”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area3Stage2Mission1	通过“异次元梦魇”。
Area3Stage2Mission2	在玩家等级{c[dc000d]}15或以上{c[000000]}的情况下\n通过“异次元梦魇”。
Area3Stage2Mission3	{c[dc000d]}防御2次{c[000000]}“异次元梦魇”的攻击。
Area3Stage2Mission4	通过“异次元梦魇”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area1Stage4Mission1	通过“高：庞大刃”。
Area1Stage4Mission2	在{c[dc000d]}4人分别使用不同职业{c[000000]}的情况下\n通过“高：庞大刃”，\n并获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area1Stage4Mission3	在“高：庞大刃”中\n使用职业\x0e\x05\x03\x023\0{c[dc000d]}停止敌人的时间{c[000000]}。
Area1Stage4Mission4	通过“高：庞大刃”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area2Stage4Mission1	通过“高：锤星猩”。
Area2Stage4Mission2	使用职业\x0e\x05\x01\x021\0通过“高：锤星猩”，\n并获得{c[dc000d]}白银勋章或以上{c[000000]}的评价。
Area2Stage4Mission3	在{c[dc000d]}4人职业{c[000000]}都是\x0e\x05\x01\x021\0的情况下\n通过“高：锤星猩”。
Area2Stage4Mission4	通过“高：锤星猩”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area3Stage3Mission1	通过“高：风语大树”。
Area3Stage3Mission2	使用职业\x0e\x05\x02\x022\0\n通过“高：风语大树”。
Area3Stage3Mission3	在“高：风语大树”中\n使用职业\x0e\x05\x02\x022\0\n由自己使出治愈地带来{c[dc000d]}回复同伴{c[000000]}。
Area3Stage3Mission4	通过“高：风语大树”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area4Stage1Mission1	通过“高：三重 大型队伍”。
Area4Stage1Mission2	使用职业\x0e\x05\x03\x023\0通过“高：三重 大型队伍”，\n并获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area4Stage1Mission3	在“高：三重 大型队伍”中\n{c[dc000d]}没有任何人力竭{c[000000]}。
Area4Stage1Mission4	通过“高：三重 大型队伍”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area1Stage5Mission1	通过“高：冻霜弯刀骑士老大”。
Area1Stage5Mission2	在玩家等级{c[dc000d]}22或以上{c[000000]}的情况下\n通过“高：冻霜弯刀骑士老大”。
Area1Stage5Mission3	通过“高：冻霜弯刀骑士老大”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area1Stage5Mission4	在{c[dc000d]}50秒内{c[000000]}通过\n“高：冻霜弯刀骑士老大”。
Area1Stage6Mission1	通过“高：毒波洛斯”。
Area1Stage6Mission2	使用职业\x0e\x05\0\x020\0装备{c[dc000d]}“疾风”套装{c[000000]}\n通过“高：毒波洛斯”。
Area1Stage6Mission3	使用职业\x0e\x05\0\x020\0通过“高：毒波洛斯”，\n并获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area1Stage6Mission4	通过“高：毒波洛斯”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area2Stage5Mission1	通过“高：大洛啪”。
Area2Stage5Mission2	在{c[dc000d]}4人职业{c[000000]}都是\x0e\x05\x03\x023\0的情况下\n通过“高：大洛啪”。
Area2Stage5Mission3	使用职业\x0e\x05\x03\x023\0装备{c[dc000d]}“魔法师”套装{c[000000]}\n通过“高：大洛啪”。
Area2Stage5Mission4	通过“高：大洛啪”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area3Stage4Mission1	通过“高：盔角虫”。
Area3Stage4Mission2	在{c[dc000d]}没有任何人力竭{c[000000]}的情况下\n通过“高：盔角虫”。
Area3Stage4Mission3	在{c[dc000d]}4人分别使用不同职业{c[000000]}的情况下\n通过“高：盔角虫”。
Area3Stage4Mission4	通过“高：盔角虫”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area4Stage2Mission1	通过“高：火山蛙”。
Area4Stage2Mission2	在玩家等级{c[dc000d]}25或以上{c[000000]}的情况下\n通过“高：火山蛙”。
Area4Stage2Mission3	通过“高：火山蛙”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area4Stage2Mission4	在{c[dc000d]}40秒内{c[000000]}通过\n“高：火山蛙”。
Area3Stage5Mission1	通过“高：独眼云”。
Area3Stage5Mission2	使用职业\x0e\x05\x01\x021\0装备{c[dc000d]}“白虎”套装{c[000000]}\n通过“高：独眼云”。
Area3Stage5Mission3	通过“高：独眼云”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area3Stage5Mission4	通过“高：独眼云”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area5Stage1Mission1	通过“高：电龙”。
Area5Stage1Mission2	在{c[dc000d]}4人职业{c[000000]}都是\x0e\x05\0\x020\0的情况下\n通过“高：电龙”。
Area5Stage1Mission3	在“高：电龙”中{c[dc000d]}没有任何人力竭{c[000000]}。
Area5Stage1Mission4	通过“高：电龙”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area5Stage2Mission1	通过“高：龙帝亚”。
Area5Stage2Mission2	使用职业\x0e\x05\x02\x022\0装备{c[dc000d]}“治愈师”套装{c[000000]}\n通过“高：龙帝亚”。
Area5Stage2Mission3	通过“高：龙帝亚”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area5Stage2Mission4	通过“高：龙帝亚”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area5Stage3Mission1	通过“高：塔狼蛛”。
Area5Stage3Mission2	在玩家等级{c[dc000d]}34或以上{c[000000]}的情况下\n通过“高：塔狼蛛”。
Area5Stage3Mission3	通过“高：塔狼蛛”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area5Stage3Mission4	在{c[dc000d]}40秒内{c[000000]}通过\n“高：塔狼蛛”。
Area1Stage7Mission1	通过“鬼：冰龙”。
Area1Stage7Mission2	在{c[dc000d]}4人职业{c[000000]}都是\x0e\x05\x02\x022\0的情况下\n通过“鬼：冰龙”。
Area1Stage7Mission3	通过“鬼：冰龙”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area1Stage7Mission4	通过“鬼：冰龙”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area2Stage6Mission1	通过“鬼：弯刀骑士老大”。
Area2Stage6Mission2	使用职业\x0e\x05\0\x020\0\n通过“鬼：弯刀骑士老大”。
Area2Stage6Mission3	通过“鬼：弯刀骑士老大”时\n获得{c[dc000d]}黄金勋章或以上{c[000000]}的评价。
Area2Stage6Mission4	通过“鬼：弯刀骑士老大”时\n获得{c[dc000d]}白金勋章{c[000000]}。
Area3Stage6Mission1	通过“鬼：锤星猩”。
Area3Stage6Mission2	使用职业\x0e\x05\x01\x021\0\n通过“鬼：锤星猩”。
Area3Stage6Mission3	用职业\x0e\x05\x01\x021\0的招式{c[dc000d]}“鬼杀火焰锤”{c[000000]}\n给予“鬼：锤星猩”最后一击。
