CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
Area4Stage2Mission1	通過「高：火山蛙」探索。
Area4Stage2Mission2	在玩家等級{c[dc000d]}25以上{c[000000]}的情況下\n通過「高：火山蛙」探索。
Area4Stage2Mission3	於通過「高：火山蛙」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area4Stage2Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「高：火山蛙」探索。
Area3Stage5Mission1	通過「高：獨眼雲」探索。
Area3Stage5Mission2	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「白虎」套裝{c[000000]}\n通過「高：獨眼雲」探索。
Area3Stage5Mission3	於通過「高：獨眼雲」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area3Stage5Mission4	於通過「高：獨眼雲」探索時獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage1Mission1	通過「高：電龍」探索。
Area5Stage1Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\0\x020\0的情況下\n通過「高：電龍」探索。
Area5Stage1Mission3	在「高：電龍」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
Area5Stage1Mission4	於通過「高：電龍」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage2Mission1	通過「高：龍帝亞」探索。
Area5Stage2Mission2	使用職業\x0e\x05\x02\x022\0裝備{c[dc000d]}「治癒師」套裝{c[000000]}\n通過「高：龍帝亞」探索。
Area5Stage2Mission3	於通過「高：龍帝亞」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area5Stage2Mission4	於通過「高：龍帝亞」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage3Mission1	通過「高：塔狼蛛」探索。
Area5Stage3Mission2	在玩家等級{c[dc000d]}34以上{c[000000]}的情況下\n通過「高：塔狼蛛」探索。
Area5Stage3Mission3	於通過「高：塔狼蛛」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage3Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「高：塔狼蛛」探索。
Area1Stage7Mission1	通過「鬼：冰龍」探索。
Area1Stage7Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\x02\x022\0的情況下\n通過「鬼：冰龍」探索。
Area1Stage7Mission3	於通過「鬼：冰龍」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area1Stage7Mission4	於通過「鬼：冰龍」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area2Stage6Mission1	通過「鬼：彎刀騎士老大」探索。
Area2Stage6Mission2	使用職業\x0e\x05\0\x020\0\n通過「鬼：彎刀騎士老大」探索。
Area2Stage6Mission3	於通過「鬼：彎刀騎士老大」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area2Stage6Mission4	於通過「鬼：彎刀騎士老大」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area3Stage6Mission1	通過「鬼：錘星猩」探索。
Area3Stage6Mission2	使用職業\x0e\x05\x01\x021\0\n通過「鬼：錘星猩」探索。
Area3Stage6Mission3	用職業\x0e\x05\x01\x021\0的招式{c[dc000d]}「鬼殺火焰錘」{c[000000]}\n給予「鬼：錘星猩」最後一擊。
Area3Stage6Mission4	於通過「鬼：錘星猩」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area3Stage7Mission1	通過「鬼：風語大樹」探索。
Area3Stage7Mission2	使用職業\x0e\x05\x03\x023\0\n通過「鬼：風語大樹」探索。
Area3Stage7Mission3	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「克洛諾斯」套裝{c[000000]}\n通過「鬼：風語大樹」探索。
Area3Stage7Mission4	於通過「鬼：風語大樹」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area4Stage3Mission1	通過「鬼：火焰加爾波洛斯」探索。
Area4Stage3Mission2	在「鬼：火焰加爾波洛斯」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
Area4Stage3Mission3	於通過「鬼：火焰加爾波洛斯」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area4Stage3Mission4	於通過「鬼：火焰加爾波洛斯」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area4Stage4Mission1	通過「鬼：冰霜先生」探索。
Area4Stage4Mission2	使用職業\x0e\x05\x02\x022\0\n通過「鬼：冰霜先生」探索。
Area4Stage4Mission3	在「鬼：冰霜先生」探索中，\n使用職業\x0e\x05\x02\x022\0\n由自己使出治癒地帶{c[dc000d]}回復同伴2次{c[000000]}。
Area4Stage4Mission4	於通過「鬼：冰霜先生」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage4Mission1	通過「鬼：大洛啪」探索。
Area5Stage4Mission2	使用職業\x0e\x05\x03\x023\0通過「鬼：大洛啪」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area5Stage4Mission3	在「鬼：大洛啪」探索中，\n使用職業\x0e\x05\x03\x023\0{c[dc000d]}停止敵人的時間{c[000000]}。
Area5Stage4Mission4	於通過「鬼：大洛啪」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage5Mission1	通過「鬼：異次元夢魘」探索。
Area5Stage5Mission2	在玩家等級{c[dc000d]}42以上{c[000000]}的情況下\n通過「鬼：異次元夢魘」探索。
Area5Stage5Mission3	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「鬼：異次元夢魘」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area5Stage5Mission4	在{c[dc000d]}50秒內{c[000000]}通過\n「鬼：異次元夢魘」探索。
Area6Stage1Mission1	通過「鬼：龍帝亞EX」探索。
Area6Stage1Mission2	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「深淵金屬」套裝{c[000000]}\n通過「鬼：龍帝亞EX」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area6Stage1Mission3	於通過「鬼：龍帝亞EX」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area6Stage1Mission4	在{c[dc000d]}50秒內{c[000000]}通過\n「鬼：龍帝亞EX」探索。
Area6Stage2Mission1	通過「鬼：異次元蘇姿」探索。
Area6Stage2Mission2	在{c[dc000d]}4人分別使用不同職業{c[000000]}的情況下\n通過「鬼：異次元蘇姿」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area6Stage2Mission3	於通過「鬼：異次元蘇姿」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area6Stage2Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「鬼：異次元蘇姿」探索。
Area6Stage3Mission1	通過「鬼：D大王‧意向」探索。
Area6Stage3Mission2	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「闇意向」套裝{c[000000]}\n通過「鬼：D大王‧意向」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area6Stage3Mission3	於通過「鬼：D大王‧意向」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area6Stage3Mission4	在{c[dc000d]}50秒內{c[000000]}通過\n「鬼：D大王‧意向」探索。
Area7Stage1Mission1	通過「神：四重 大型隊伍」探索。
Area7Stage1Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\x02\x022\0的情況下\n通過「神：四重 大型隊伍」探索。
Area7Stage1Mission3	在「神：四重 大型隊伍」探索中\n{c[dc000d]}沒有任何人力竭{c[000000]}。
Area7Stage1Mission4	於通過「神：四重 大型隊伍」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area1Stage8Mission1	通過「神：大塊頭」探索。
Area1Stage8Mission2	使用職業\x0e\x05\x01\x021\0\n通過「神：大塊頭」探索。
Area1Stage8Mission3	於通過「神：大塊頭」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area1Stage8Mission4	於通過「神：大塊頭」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area2Stage7Mission1	通過「神：電火花錘星猩」探索。
Area2Stage7Mission2	裝備{c[dc000d]}DX強化的武器\n{c[000000]}通過「神：電火花錘星猩」探索。
Area2Stage7Mission3	以{c[dc000d]}好友隕石\n{c[000000]}給予「神：電火花錘星猩」最後一擊。
Area2Stage7Mission4	於通過「神：電火花錘星猩」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area3Stage8Mission1	通過「神：毒波洛斯」探索。
Area3Stage8Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\x01\x021\0的情況下\n通過「神：毒波洛斯」探索。
Area3Stage8Mission3	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「恐龍」套裝{c[000000]}\n通過「神：毒波洛斯」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area3Stage8Mission4	於通過「神：毒波洛斯」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area4Stage5Mission1	通過「神：炎刃」探索。
Area4Stage5Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\0\x020\0的情況下\n通過「神：炎刃」探索。
Area4Stage5Mission3	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「魚魚」套裝{c[000000]}\n通過「神：炎刃」探索。
Area4Stage5Mission4	於通過「神：炎刃」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area5Stage6Mission1	通過「神：泳將先生」探索。
Area5Stage6Mission2	在「神：泳將先生」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
Area5Stage6Mission3	與{c[dc000d]}旅人{c[000000]}一同出擊\n前往「神：泳將先生」探索。
Area5Stage6Mission4	於通過「神：泳將先生」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area7Stage2Mission1	通過「神：盔角蟲」探索。
Area7Stage2Mission2	裝備{c[dc000d]}DX強化的防具{c[000000]}\n通過「神：盔角蟲」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area7Stage2Mission3	以{c[dc000d]}好友隕石\n{c[000000]}給予「神：盔角蟲」最後一擊。
Area7Stage2Mission4	於通過「神：盔角蟲」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area7Stage3Mission1	通過「神：凍霜彎刀騎士老大」探索。
Area7Stage3Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\x03\x023\0的情況下\n通過「神：凍霜彎刀騎士老大」探索。
Area7Stage3Mission3	於通過「神：凍霜彎刀騎士老大」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area7Stage3Mission4	在{c[dc000d]}45秒內{c[000000]}通過\n「神：凍霜彎刀騎士老大」探索。
Area2Stage8Mission1	通過「神：毒液獨眼雲」探索。
Area2Stage8Mission2	在玩家等級{c[dc000d]}52以上{c[000000]}的情況下\n通過「神：毒液獨眼雲」探索。
Area2Stage8Mission3	於通過「神：毒液獨眼雲」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area2Stage8Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「神：毒液獨眼雲」探索。
Area1Stage9Mission1	通過「神：大洛啪」探索。
Area1Stage9Mission2	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\x03\x023\0的情況下\n通過「神：大洛啪」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area1Stage9Mission3	裝備{c[dc000d]}DX強化的武器{c[000000]}\n通過「神：大洛啪」探索。
Area1Stage9Mission4	於通過「神：大洛啪」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area3Stage9Mission1	通過「神：電龍」探索。
Area3Stage9Mission2	使用職業\x0e\x05\x02\x022\0裝備{c[dc000d]}「瘋狂」套裝{c[000000]}\n通過「神：電龍」探索。
Area3Stage9Mission3	於通過「神：電龍」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area3Stage9Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「神：電龍」探索。
Area5Stage7Mission1	通過「神：傳送帕托利斯」探索。
Area5Stage7Mission2	在{c[dc000d]}4人分別使用不同職業{c[000000]}的情況下\n通過「神：傳送帕托利斯」探索。
Area5Stage7Mission3	在{c[dc000d]}4人分別使用不同職業{c[000000]}的情況下\n通過「神：傳送帕托利斯」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area5Stage7Mission4	於通過「神：傳送帕托利斯」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area7Stage4Mission1	通過「神：火焰加爾波洛斯」探索。
Area7Stage4Mission2	使用職業\x0e\x05\x02\x022\0\n通過「神：火焰加爾波洛斯」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area7Stage4Mission3	在「神：火焰加爾波洛斯」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
Area7Stage4Mission4	於通過「神：火焰加爾波洛斯」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area8Stage1Mission1	通過「神：Pres.異次元蘇姿」探索。
Area8Stage1Mission2	在{c[dc000d]}4人分別使用不同職業{c[000000]}的情況下\n通過「神：Pres.異次元蘇姿」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area8Stage1Mission3	於通過「神：Pres.異次元蘇姿」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area8Stage1Mission4	在{c[dc000d]}50秒內{c[000000]}通過\n「神：Pres.異次元蘇姿」探索。
Area8Stage2Mission1	通過「神：最終決戰」探索。
Area8Stage2Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「羽冥蝶」套裝{c[000000]}\n通過「神：最終決戰」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
Area8Stage2Mission3	於通過「神：最終決戰」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
Area8Stage2Mission4	在{c[dc000d]}50秒內{c[000000]}通過\n「神：最終決戰」探索。
Area8Stage3Mission1	通過「超：真 最終決戰」探索。
Area8Stage3Mission2	使用任何職業，\n裝備{c[dc000d]}「新手」套裝{c[000000]}\n通過「超：真 最終決戰」探索。
Area8Stage3Mission3	在玩家等級{c[dc000d]}70以上{c[000000]}的情況下\n通過「超：真 最終決戰」探索。
Area8Stage3Mission4	在{c[dc000d]}1分鐘內{c[000000]}通過\n「超：真 最終決戰」探索。
WArea1Stage1Mission1	通過「電火花錘星猩」探索。
WArea1Stage1Mission2	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「英勇錘」{c[000000]}\n通過「電火花錘星猩」探索。
WArea1Stage1Mission3	使用職業\x0e\x05\x01\x021\0\n通過「電火花錘星猩」探索。
WArea1Stage1Mission4	於通過「電火花錘星猩」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea1Stage1Mission5	通過「電火花錘星猩」探索，\n並且在探索中{c[dc000d]}破壞2次敵人的椰子炸彈{c[000000]}。
WArea1Stage1Mission6	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「英勇錘」{c[000000]}\n通過「電火花錘星猩」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage1Mission7	使用職業\x0e\x05\x01\x021\0\n通過「電火花錘星猩」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage1Mission8	在{c[dc000d]}25秒內{c[000000]}通過\n「電火花錘星猩」探索。
WArea1Stage2Mission1	通過「盔角蟲」探索。
WArea1Stage2Mission2	在使用了{c[dc000d]}攻擊藥{c[000000]}的情況下\n通過「盔角蟲」探索。
WArea1Stage2Mission3	於通過「盔角蟲」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea1Stage2Mission4	在{c[dc000d]}40秒內{c[000000]}通過\n「盔角蟲」探索。
WArea1Stage2Mission5	在{c[dc000d]}沒有受到過{c[000000]}敵人{c[dc000d]}任何傷害{c[000000]}的情況下\n通過「盔角蟲」探索。
WArea1Stage2Mission6	以任意職業裝備{c[dc000d]}「新手」套裝{c[000000]}\n通過「盔角蟲」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage2Mission7	在{c[dc000d]}4人分別使用不同職業{c[000000]}的情況下\n通過「盔角蟲」探索。
WArea1Stage2Mission8	在{c[dc000d]}25秒內{c[000000]}通過\n「盔角蟲」探索。
WArea2Stage1Mission1	通過「隊伍‧起始」探索。
WArea2Stage1Mission2	在{c[dc000d]}使用了體力藥{c[000000]}的情況下\n通過「隊伍‧起始」探索。
WArea2Stage1Mission3	在「隊伍‧起始」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
WArea2Stage1Mission4	於通過「隊伍‧起始」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea2Stage1Mission5	以任意職業裝備{c[dc000d]}稀有度5以上的{c[000000]}武器\n通過「隊伍‧起始」探索。
WArea2Stage1Mission6	使用職業\x0e\x05\x02\x022\0\n通過「隊伍‧起始」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage1Mission7	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「隊伍‧起始」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage1Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「隊伍‧起始」探索。
WArea1Stage3Mission1	通過「炎刃」探索。
WArea1Stage3Mission2	使用職業\x0e\x05\0\x020\0\n通過「炎刃」探索。
WArea1Stage3Mission3	使用職業\x0e\x05\x03\x023\0\n通過「炎刃」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea1Stage3Mission4	於通過「炎刃」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea1Stage3Mission5	使用職業\x0e\x05\0\x020\0\n通過「炎刃」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage3Mission6	用職業\x0e\x05\0\x020\0的招式{c[dc000d]}「龍捲斬」{c[000000]}\n給予「炎刃」最後一擊。
WArea1Stage3Mission7	在玩家等級{c[dc000d]}14以上{c[000000]}的情況下\n通過「炎刃」探索。
WArea1Stage3Mission8	在{c[dc000d]}25秒內{c[000000]}通過\n「炎刃」探索。
WArea2Stage2Mission1	通過「雙重 大型隊伍」探索。
WArea2Stage2Mission2	使用職業\x0e\x05\x02\x022\0\n通過「雙重 大型隊伍」探索。
WArea2Stage2Mission3	於通過「雙重 大型隊伍」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea2Stage2Mission4	於通過「雙重 大型隊伍」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea2Stage2Mission5	使用職業\x0e\x05\x02\x022\0\n通過「雙重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage2Mission6	使用職業\x0e\x05\x02\x022\0裝備{c[dc000d]}「醫生」套裝{c[000000]}\n通過「雙重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage2Mission7	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「雙重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage2Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「雙重 大型隊伍」探索。
WArea3Stage1Mission1	通過「彎刀騎士老大」探索。
WArea3Stage1Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「劍士」套裝{c[000000]}\n通過「彎刀騎士老大」探索。
WArea3Stage1Mission3	於通過「彎刀騎士老大」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea3Stage1Mission4	在{c[dc000d]}45秒內{c[000000]}通過\n「彎刀騎士老大」探索。
WArea3Stage1Mission5	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「劍士」套裝{c[000000]}\n通過「彎刀騎士老大」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage1Mission6	使用職業\x0e\x05\x02\x022\0裝備{c[dc000d]}「學士之頭巾」{c[000000]}\n通過「彎刀騎士老大」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage1Mission7	在{c[dc000d]}不使用好友隕石{c[000000]}的情況下\n通過「彎刀騎士老大」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage1Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「彎刀騎士老大」探索。
WArea2Stage3Mission1	通過「高：獨眼雲」探索。
WArea2Stage3Mission2	使用職業\x0e\x05\x01\x021\0\n通過「高：獨眼雲」探索。
WArea2Stage3Mission3	在「高：獨眼雲」探索中，使用職業\x0e\x05\x01\x021\0的招式\n{c[dc000d]}「鬼殺火焰錘」{c[000000]}命中敵人2次。
WArea2Stage3Mission4	於通過「高：獨眼雲」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea2Stage3Mission5	使用職業\x0e\x05\x01\x021\0\n通過「高：獨眼雲」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage3Mission6	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「重戰士」套裝{c[000000]}\n通過「高：獨眼雲」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage3Mission7	用職業\x0e\x05\x01\x021\0的招式{c[dc000d]}「鬼殺火焰錘」{c[000000]}\n給予「高：獨眼雲」最後一擊。
WArea2Stage3Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「高：獨眼雲」探索。
WArea1Stage4Mission1	通過「高：大塊頭」探索。
WArea1Stage4Mission2	在「高：大塊頭」探索中{c[dc000d]}沒有任何人力竭{c[000000]}。
WArea1Stage4Mission3	於通過「高：大塊頭」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea1Stage4Mission4	於通過「高：大塊頭」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea1Stage4Mission5	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「魔法師」套裝{c[000000]}\n通過「高：大塊頭」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage4Mission6	在「高：大塊頭」探索中，\n使用職業\x0e\x05\x03\x023\0{c[dc000d]}停止敵人的時間{c[000000]}。
WArea1Stage4Mission7	在{c[dc000d]}自己沒有被壓扁過{c[000000]}的情況下\n通過「高：大塊頭」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage4Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「高：大塊頭」探索。
WArea3Stage2Mission1	通過「高：隊伍‧堅若磐石」探索。
WArea3Stage2Mission2	使用職業\x0e\x05\0\x020\0\n通過「高：隊伍‧堅若磐石」探索。
WArea3Stage2Mission3	在「高：隊伍‧堅若磐石」探索中，\n使用職業\x0e\x05\0\x020\0的招式{c[dc000d]}「龍捲斬」{c[000000]}命中敵人2次。
WArea3Stage2Mission4	於通過「高：隊伍‧堅若磐石」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea3Stage2Mission5	使用職業\x0e\x05\0\x020\0\n通過「高：隊伍‧堅若磐石」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage2Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「高：隊伍‧堅若磐石」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage2Mission7	用職業\x0e\x05\0\x020\0的招式{c[dc000d]}「龍捲斬」{c[000000]}\n給予「高：隊伍‧堅若磐石」最後一擊。
WArea3Stage2Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「高：隊伍‧堅若磐石」探索。
WArea1Stage5Mission1	通過「高：泳將先生」探索。
WArea1Stage5Mission2	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「玫瑰」套裝{c[000000]}\n通過「高：泳將先生」探索。
WArea1Stage5Mission3	於通過「高：泳將先生」探索時\n獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea1Stage5Mission4	於通過「高：泳將先生」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea1Stage5Mission5	於通過「高：泳將先生」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage5Mission6	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「玫瑰」套裝{c[000000]}\n通過「高：泳將先生」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage5Mission7	在{c[dc000d]}自己沒有被壓扁過{c[000000]}的情況下\n通過「高：泳將先生」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea1Stage5Mission8	在{c[dc000d]}30秒內{c[000000]}通過\n「高：泳將先生」探索。
WArea2Stage4Mission1	通過「高：隊伍‧一刀兩半」探索。
WArea2Stage4Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「獨角獸」套裝{c[000000]}\n通過「高：隊伍‧一刀兩半」探索。
WArea2Stage4Mission3	在{c[dc000d]}4人職業{c[000000]}都是\x0e\x05\0\x020\0的情況下\n通過「高：隊伍‧一刀兩半」探索。
WArea2Stage4Mission4	於通過「高：隊伍‧一刀兩半」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea2Stage4Mission5	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「疾風之劍」{c[000000]}\n通過「高：隊伍‧一刀兩半」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage4Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「高：隊伍‧一刀兩半」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea2Stage4Mission7	在{c[dc000d]}沒有受到過{c[000000]}敵人{c[dc000d]}任何傷害{c[000000]}的情況下\n通過「高：隊伍‧一刀兩半」探索。
WArea2Stage4Mission8	在{c[dc000d]}35秒內{c[000000]}通過\n「高：隊伍‧一刀兩半」探索。
WArea3Stage3Mission1	通過「高：三重 大型隊伍」探索。
WArea3Stage3Mission2	使用職業\x0e\x05\x01\x021\0\n通過「高：三重 大型隊伍」探索，\n並獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea3Stage3Mission3	在「高：三重 大型隊伍」探索中\n{c[dc000d]}沒有任何人力竭{c[000000]}。
WArea3Stage3Mission4	於通過「高：三重 大型隊伍」探索時\n獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea3Stage3Mission5	使用職業\x0e\x05\x01\x021\0\n通過「高：三重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage3Mission6	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「勇氣」套裝{c[000000]}\n通過「高：三重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage3Mission7	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「白兔」套裝{c[000000]}\n通過「高：三重 大型隊伍」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea3Stage3Mission8	在{c[dc000d]}35秒內{c[000000]}通過\n「高：三重 大型隊伍」探索。
WArea4Stage1Mission1	通過「高：毒波洛斯」探索。
WArea4Stage1Mission2	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}「野獸」套裝{c[000000]}\n通過「高：毒波洛斯」探索，\n並獲得{c[dc000d]}白銀勳章以上{c[000000]}的評價。
WArea4Stage1Mission3	在「高：毒波洛斯」探索中，\n使用職業\x0e\x05\x01\x021\0的招式{c[dc000d]}「鬼殺火焰錘」{c[000000]}命中敵人2次。
