CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	亲爱的……\n艾多……！艾多娜……
COMN_RT0010_00180_NARR	是噩梦般的侵略者，\n打碎了一切希望。
COMN_PR0010_00010_JANN	这是恶魔眷属！？
COMN_PR0010_00020_JANN	而且是被别人召唤来的！？
COMN_PR0010_00030_JANN	除了我们之外，还有谁会……
COMN_PR0010_00040_BAYO	看来得问问这些胡闹的新面孔了。
COMN_SP1010_00010_JANN	它们都已经渗透到这里来了……
COMN_SP1010_00020_JANN	但从这个设施的装备来看……要找的那个男人，\n肯定早就预料到会有赫姆库鲁斯来袭。
COMN_SP1020_00010_JANN	只能祈祷西格鲁兹博士平安无事了。
COMN_SP2010_00010_NARR	你想说那个男人是拯救世界的英雄？
COMN_SP2010_00020_NARR	不是那个意思。\n不对……或许这么说也没错。
COMN_SP2010_00030_NARR	我们所在的世界对平行世界有着深入研究，\n早就意识到了有其他世界存在。
COMN_SP2010_00040_NARR	并且确立了沟通方式，\n成功联系上了这个世界的秘密机构……
COMN_SP2010_00050_NARR	机构负责人与西格鲁兹博士一起\n发现了“混沌的齿轮”的存在。
COMN_SP2010_00060_NARR	只要得到他的协助，就能用“混沌的齿轮”\n侵入阿尔法宇宙……
COMN_SP2010_00065_NARR	所以……
COMN_SP2010_00070_NARR	你就来到了这个世界啊。
COMN_SP2010_00080_NARR	不过，所谓的协助具体是做什么呢？
COMN_SP2010_00090_NARR	你为什么这么信赖他？
COMN_SP2010_00100_NARR	因为他是辛裘拉利提的……
COMN_SP3010_00010_JANN	就在前面……不会错的。\n希望我能赶上。
COMN_SP4010_00010_JANN	果然来了。
COMN_SP4010_00020_DOCT	这里跟外界相连。出口有屏障，\n只要能逃到那边……
COMN_SP4020_00010_JANN	这群家伙真烦人。\n看来你对它们来说特别重要。
COMN_SP4020_00020_DOCT	所以我才会躲在那里。\n可不能让它们轻易抓到我……
COMN_SP4020_00030_DOCT	对了！\n虽然有点可惜，但还是把这个基地送给它们吧。
COMN_SP4020_00040_DOCT	再附赠一场盛大的烟花。
COMN_SP4025_00010_DOCT	准备好了吗？
COMN_SP4025_00020_JANN	我不讨厌花里胡哨的事物。\n随时都行。
COMN_SP4025_00030_DOCT	那就上吧。
COMN_SP4030_00010_DOCT	哦？看来这场烟花没法让敌人满足啊。
COMN_SP4030_00020_JANN	那就用暗影魔女的做法来满足它们吧！
COMN_SP4040_00010_JANN	最后就得来个大高潮啊！
COMN_SP4110_00010_DOCT	这位勇敢的小姐，请问怎么称呼？
COMN_SP4110_00020_JANN	叫我贞德就好。
COMN_SP4110_00030_DOCT	贞德，请多指教。
COMN_SP4110_00040_DOCT	接下来要怎么做？
COMN_SP4110_00050_JANN	我想跟博士你介绍一位朋友，\n所以才到这里来接你。
COMN_TA0610_00010_BET0	怎么？\n看来你根本无法确定我会战败啊。
COMN_TA0620_00010_BET0	还没完……我不会让你确定的。
COMN_TA0630_00010_BET0	我会……\n用我的真相……率先确定现象。
COMN_TA1200_00010_FSOL	怎么会这样……\n法国已经完了吗……
COMN_TA1300_00010_FSOL	不能放弃。\n剩下的人都跟我来！！
COMN_TA1400_00010_FSOL	警戒上空，敌人随时可能袭击。
COMN_TA1300_00020_FSOL	别离得太远，守好四周！\n要是被那东西碰到就完了！
COMN_TA9000_00010_RODN	呵呵呵……
COMN_TA9000_00030_RODN	也不知道有多久没和你好好比试一下了。\n自那时起，我几乎每天都盼着这一天的到来。
COMN_TA9000_00040_RODN	先说好，无论结果如何，都不许有怨言啊。\n来，打个痛快吧！
COMN_TA9100_00010_RODN	呜哈……呼、呼、呼……
COMN_TA9100_00020_RODN	你现在还挺能打的嘛……！
COMN_TA9100_00030_RODN	都输得这么惨了，也没法找借口了。
COMN_TA9100_00040_RODN	毕竟我也是个恶魔，这次就痛快认输了……\n不过仅限这一次！
COMN_TA9900_00010_NARR	哦，来自主练习啊，你还真自律啊！
COMN_TA9900_00020_NARR	这里你可以随便用，\n只不过你总是没个轻重……
COMN_TA9900_00030_NARR	总之别把我的店给砸了啊。
CHAPTER/common_ev
ECOM_EV0000_00000_NARR	在光明、黑暗与混沌层层交织的世界中……
ECOM_EV0000_00010_NARR	已去世的父亲……曾对幼小的我说过。
ECOM_EV0000_00020_NARR	人生没有分叉路。
ECOM_EV0000_00030_NARR	人类只是在拨开草丛前行，\n在身后留下一道淡淡的轨迹罢了。
ECOM_EV0000_00040_NARR	但神奇的是，如果你回头望去，\n会发现似乎曾经走过那道轨迹……
ECOM_EV0000_00050_NARR	有时会发现那道轨迹是如此的强而有力，\n仿佛有人陪着你一起走过。
ECOM_EV0000_00060_NARR	虽然我相信……真相只有一个。
ECOM_EV0000_00070_NARR	但其他世界的另一个我，\n或许在探索各种不同的可能性……
ECOM_EV0000_00080_NARR	经过重重累加后形成的最为鲜明的轨迹，\n或许才会成为刻入历史的真相……
ECOM_EV6060_00010_FIXR	来……做个了断吧。
ECOM_EV6060_00020_BET0	不……呜……还没完……
ECOM_EV0010_00010_GIRL	该死！
ECOM_EV0010_00020_CAPT	别去！
ECOM_EV0010_00030_CAPT	有些事只有你能做到！
ECOM_EV0010_00040_CAPT	这是最后一个超世界越境装置。
ECOM_EV0010_00070_BET0	薇欧拉……
ECOM_EV0010_00080_BET0	快……去……
ECOM_EV0010_00100_CAPT	薇欧拉，快走！ 
ECOM_EV0010_00110_CAPT	之后就……拜托你了！
ECOM_EV0010_00120_GIRL	西格鲁兹！
ECOM_EV0010_00130_GIRL	你这恶魔！
ECOM_EV0010_00140_GIRL	该死！！
ECOM_EV0010_00160_GIRL	我一定会回来找你的！
ECOM_EV0020_00010_GIRL	拜托，趁还来得及……请给我力量！
ECOM_EV0020_00020_ENZO	好烫！？
ECOM_EV0020_00030_BAYO	恩佐，今天的天气预报怎么说？
ECOM_EV0020_00040_ENZO	啊？看一眼不就知道了。\n万里无云，最适合打棒球了。
ECOM_EV0020_00050_ENZO	你知道这代表什么吧？
ECOM_EV0020_00060_ENZO	我好不容易弄到了开幕赛的票，\n结果被你带着到处转，好好的日子全毁了！
ECOM_EV0020_00070_ENZO	你倒是看着我啊！
ECOM_EV0020_00080_ENZO	你知道我费了多大劲才搞到这东西的吗！
ECOM_EV0020_00100_ENZO	哇！喂！你干什么啊！
ECOM_EV0020_00120_BAYO	那可真是不好意思了。
ECOM_EV0020_00130_BAYO	不过这是你自己承诺的啊？\n等解决完了麻烦事，就会满足我的所有要求。
ECOM_EV0020_00140_ENZO	可那也是有限度的……
ECOM_EV0020_00150_BAYO	快，开车吧。
ECOM_EV0020_00160_ENZO	又要去哪里啊！
ECOM_EV0020_00170_ENZO	我从一大早开车开到现在了。
ECOM_EV0020_00180_ENZO	该死，连这家伙都给我闹脾气！
ECOM_EV0020_00190_ENZO	喂，别乱来啊！这可是我昨天刚到的新车！
ECOM_EV0020_00200_BAYO	好，开车吧。
ECOM_EV0020_00210_RODN	真不太平……
ECOM_EV0020_00220_ENZO	气死人了！连比赛也打得这么糟。
ECOM_EV0020_00230_ENZO	我说啊，你不是说要跟人见面吗？\n那人呢？
ECOM_EV0020_00240_ENZO	购物……公园……这次又要去看海！？
ECOM_EV0020_00250_ENZO	哈，你该不会是忘了要去哪碰面吧？
ECOM_EV0020_00260_ENZO	什……哇！！
ECOM_EV0020_00270_ENZO	突、突然间发生什么了！？
ECOM_EV0020_00280_ENZO	喂！不是吧……
ECOM_EV0020_00290_GIRL	拜托，趁还来得及……请给我力量！
ECOM_EV0020_00300_ENZO	喂，搞什么啊。\n你该不会要跟我说碰面时间其实是明天吧？
ECOM_EV0020_00310_BAYO	不，碰面时间就是今天，地点就是这儿。
ECOM_EV0020_00320_ENZO	什么？
ECOM_EV0020_00330_BAYO	恩佐，你在这里等着。
ECOM_EV0020_00340_BAYO	你听好了，等在“这里”，一步也不许动。
ECOM_EV0020_00350_ENZO	一步也不许动是什么意思啊？\n怎、怎么了啊……？
ECOM_EV0020_00360_ENZO	你、你别走啊！\n我到底要在这里待多久啊？喂！
ECOM_EV0020_00400_ENZO	真是的……跟她扯上关系绝对没好事，\n可我偏偏总是被她抓住把柄。
ECOM_EV0020_00410_ENZO	嗯？
ECOM_EV0020_00420_ENZO	下雨了？天怎么突然就阴了？
ECOM_EV0020_00430_ENZO	那是什么啊？
ECOM_EV0020_00440_ENZO	不、不是吧，上面一发光就不会有好事啊！？
ECOM_EV0020_ACT010_ENZO	给我等……！？
ECOM_EV0020_00450_ENZO	女……女人？
ECOM_EV0020_00460_ENZO	怎么回事，她是从哪掉下来的？
ECOM_EV0020_00470_ENZO	这张脸……好像在哪见过？
ECOM_EV0020_00480_ENZO	哇，喂！？
ECOM_EV0020_00490_GIRL	求求你……带我走……
ECOM_EV0020_00500_ENZO	怎、怎么突然跟我说这个！？我可没那闲……
ECOM_EV0020_00510_ENZO	你、你要去哪……！？
ECOM_EV0020_00520_GIRL	蓓优……妮塔……
ECOM_EV0020_00530_ENZO	一个两个都这样……我又不是出租车司机……
ECOM_EV0020_ACT020_NPCM	那是什么啊！？
ECOM_EV0020_00540_ENZO	怎、怎么了啊，是因为这个女人吗？
ECOM_EV0020_00550_ENZO	她是突然从上面掉下来的。\n我什么也不知道，我跟她没任何关系！
ECOM_EV0020_00560_ENZO	怎、怎么了？
ECOM_EV0020_00570_ENZO	那个女的又捅娄子了？
ECOM_EV0020_00580_ENZO	啊——！？
ECOM_EV0020_00590_ENZO	你对我刚买的新车做什么呢！？
ECOM_EV0020_00600_ENZO	该死……搞什么啊！？
ECOM_EV0020_00610_ENZO	混账东西，这样我还怎么开车啊！
ECOM_EV0020_00620_ENZO	搞什么啊，喂……骗人的吧！
ECOM_EV0020_00630_ENZO	饶、饶了我吧！\n我老婆跟孩子都在等着呢！
ECOM_EV0020_00640_ENZO	罗丹……？
ECOM_EV0020_00650_RODN	快逃吧。\n你还有账没还清，死了可不好办。
ECOM_EV0020_00710_RODN	看着挺眼生。
ECOM_EV0020_00720_RODN	你是什么人？
ECOM_EV0020_00730_RODN	这是……
ECOM_EV0020_00740_BAYO	我下单的东西做好了吗？
ECOM_EV0020_00750_RODN	放在车上呢……你等一下。
ECOM_EV0020_00760_BAYO	我还挺喜欢这个城市的，\n你还是去别处办这种没品的聚会吧！
ECOM_EV0030_00005_BAYO	所以我才讨厌便宜货……
ECOM_EV0030_00010_RODN	看来果然不好办啊。
ECOM_EV0030_00020_BAYO	这可没个准。赶紧把我要的货给我。
ECOM_EV0030_00025_RODN	给！
ECOM_EV0030_00030_RODN	真漂亮。
ECOM_EV0030_00040_RODN	不过这行得通吗？\n跟以往的客人似乎不太一样啊。
ECOM_EV0030_00050_BAYO	都是些没见过的生面孔啊。\n那就给你们表演一场压箱底的假面舞蹈吧。
ECOM_EV0035_00005_BAYO	那是什么？
ECOM_EV0035_00010_BAYO	并不是越大就一定越好哦。
ECOM_EV0040_00020_RODN	它们不是天界的居民。\n对魔界的家伙来说也算不上好吃。
ECOM_EV0040_00030_RODN	蓓优妮塔，你打算怎么做？
ECOM_EV0040_00040_RODN	说起来，我也真是没想到会乱成这样。
ECOM_EV0040_00050_RODN	哦……古代魔导术 “恶魔奴隶” 啊。
ECOM_EV0040_00060_RODN	能用那种术法的人竟然还存在啊。
ECOM_EV0050_00010_BAYO	这些家伙到底……？
ECOM_EV0050_00020_BAYO	贞德……！！
ECOM_EV0050_00030_JANN	有话之后再说。
ECOM_EV0050_00035_JANN	要上了！
ECOM_EV0060_00005_BAYO	贞德！！
ECOM_EV0060_00010_BAYO	贞德！！
ECOM_EV0060_00020_BAYO	害羞鬼，你终于肯露面了。\n我问你，你的饲主在哪？
ECOM_EV0070_00005_BAYO	贞德！
ECOM_EV0070_00010_BAYO	你是疯了吗，居然会帮我们！？
ECOM_EV0070_00020_RODN	我有话跟你说。
ECOM_EV0070_00030_RODN	这里说话不方便，得找个安静的地方。
ECOM_EV2000_00010_JANN	没想到被敌人抢先了。\n我想尽量避免战斗……
ECOM_EV2000_00020_JANN	得感谢它们选择正面突破，\n屋顶的防御要薄弱很多。
ECOM_EV2010_00010_JANN	竟能阻断与魔界的联系……\n这究竟是什么设施？
ECOM_EV2010_00020_JANN	算了。\n我一人就足以对付这些家伙！
ECOM_EV4010_00010_JANN	博士……很荣幸与你见面。
ECOM_EV5000_00010_DOCT	你是谁？
ECOM_EV5000_00020_JANN	你认识名叫薇欧拉的少女吗？\n是她让我来的。
ECOM_EV5000_00030_DOCT	我不认识她……\n但我能猜到你的来意。
ECOM_EV5000_00040_DOCT	你想知道如何前往阿尔法宇宙。
ECOM_EV5000_00050_JANN	没错，那事情就好办了。
ECOM_EV5000_00060_DOCT	我的同胞啊，我一直都在等待着你的到来。\n请尽管使唤我吧。
ECOM_EV5000_00070_DOCT	不过……
ECOM_EV5000_00080_JANN	不过什么？
ECOM_EV5000_00090_DOCT	希望你能抽空陪我聊聊天。
ECOM_EV5000_00100_JANN	完全没问题。\n这样一来，漫长的旅途里也不会觉得无聊。
ECOM_EV5000_00110_DOCT	那就赶紧准备行李出门吧。\n跟我来。
ECOM_EV5000_00120_JANN	要用这个……可是……
ECOM_EV5000_00130_DOCT	我们走吧。\n看来这一定会是趟有趣的旅行。
ECOM_EV5000_00140_JANN	全速前进！
ECOM_EV5010_00010_JANN	我们走吧，这个坐起来多少能舒服些。
ECOM_EV7000_00010_ENZO	好痛啊，你个混蛋！没长眼睛啊！\n给我当心点啊！真是的！
ECOM_EV7000_00020_ENZO	啊，原来是你啊。\n真拿你没办法……
ECOM_EV7000_00030_ENZO	……啊，不对！
ECOM_EV7000_00040_ENZO	你之前干的那活也太敷衍了吧？\n拜你所赐，我的脑袋啊……
ECOM_EV7000_00045_ENZO	差点就那么飞出去了！
ECOM_EV7000_00050_ENZO	你也真是的……
ECOM_EV7000_00060_ENZO	不，没什么，跟你没关系。
ECOM_EV7000_00070_ENZO	我知道，要买法棍对吧？\n我肯定会记得买的。
ECOM_EV7000_00080_ENZO	放心，我不会中途跑去干别的事！\n一定把刚出炉的面包飞快带给你，保证还是热腾腾！
ECOM_EV7000_00090_RODN	你又逃课了？
ECOM_EV7000_00100_RODN	你一天到晚就知道窝在这儿，\n到时候你爸又得找我算账了。
ECOM_EV7000_00110_GIRL	今天学校放假啊。我、我可没骗你哦？
ECOM_EV7000_00120_GIRL	行啦，有什么委托吗？\n我想接个能让人神清气爽的活！
ECOM_EV7000_00130_RODN	唉……\n维修漏雨屋顶、拆解卡车、寻找走失猫咪……
ECOM_EV7000_00140_RODN	击退废弃小屋里的亡灵……
ECOM_EV7000_00150_GIRL	就决定是这个了！\n那我走啦！
ECOM_EV7000_00155_GIRL	小柴猫！
ECOM_EV7000_00160_RODN	薇欧拉……这个得从你的报酬里扣，\n这家伙的伙食费也是。
ECOM_EV7000_00170_RODN	啊，对了……工作的时候不该这么称呼你。
ECOM_EV7000_00180_RODN	记得守好家里的门禁。
ECOM_EV7000_00185_RODN	蓓优妮塔。
ECOM_EV7000_00190_GIRL	OK！\nLet's dance, baby !
UI/core_name
COP_BOOK_NAME_01	万华解体新书
COP_BOOK_NAME_02	魔界兽记
COP_BOOK_NAME_03	拉古那阶级论
COP_BOOK_NAME_04	伪典 所罗门的小钥匙
COP_BOOK_NAME_05	拾取物图录
COP_BOOK_NAME_06	笔记
COP_BOOK_NAME_07	登场人物回忆录
COP_BOOK_NAME_10	魔女解体新书 第三版
COP_BOOK_NAME_11	魔导术大全
CORE_HOMUN_NAME_01	史特拉图斯
CORE_HOMUN_NAME_02	聂布罗素斯
CORE_HOMUN_NAME_03	卡辅
CORE_HOMUN_NAME_04	拉迪亚图斯
CORE_HOMUN_NAME_05	拉库诺素斯
CORE_HOMUN_NAME_06	贝鲁奇杜斯
CORE_HOMUN_NAME_07	梅迪奥库利斯
CORE_HOMUN_NAME_08	弗洛库斯
CORE_HOMUN_NAME_09	弗拉图斯
CORE_HOMUN_NAME_10	帕努斯
CORE_HOMUN_NAME_11	杜普利卡图斯
CORE_HOMUN_NAME_12	姆卢斯
CORE_HOMUN_NAME_13	库姆洛林布斯
CORE_HOMUN_NAME_14	阿士佩拉图斯
CORE_HOMUN_NAME_15	沃鲁图斯
CORE_HOMUN_NAME_16	卡斯堤拉努斯
CORE_HOMUN_NAME_17	壬波史特拉图斯
CORE_HOMUN_NAME_18	图巴
CORE_HOMUN_NAME_19	欧帕库斯
CORE_HOMUN_NAME_20	维尔迦
CORE_HOMUN_NAME_21	阿乌雷欧雷
CORE_HOMUN_NAME_22	康捷斯图斯
CORE_HOMUN_NAME_23	杰尼图斯
CORE_HOMUN_NAME_24	史皮萨图斯
CORE_HOMUN_NAME_25	乌米利斯
CORE_HOMUN_NAME_26	伊利迪生特
CORE_HOMUN_NAME_27	伊利迪生特·核心
CORE_HOMUN_NAME_28	统治者·伊利迪生特
CORE_HOMUN_NAME_29	派罗库姆路斯
CORE_HOMUN_NAME_30	统治者·派罗库姆路斯
CORE_HOMUN_NAME_31	奇罗史特拉图斯
CORE_HOMUN_NAME_32	奇罗库姆路斯
CORE_HOMUN_NAME_33	史特托库姆路斯
CORE_HOMUN_NAME_34	辛裘拉利提 混沌体
CORE_HOMUN_NAME_35	辛裘拉利提 安定体
CORE_HOMUN_NAME_36	辛裘拉利提 确定体
CORE_HOMUN_NAME_37	安西努斯
CORE_BOSS_NAME_01	斯特莱德
CORE_BOSS_NAME_02	黑暗亚当
CORE_BOSS_NAME_03	黑暗夏娃
CORE_BOSS_ALIAS_01	迷茫者
CORE_BOSS_ALIAS_02	渴求真相的复仇者
CORE_BOSS_ALIAS_03	斗争与破坏的魔女
CORE_BEAST_NAME_01	蝴蝶夫人
CORE_BEAST_NAME_91	蝴蝶女王
CORE_BEAST_NAME_02	格摩拉
CORE_BEAST_NAME_92	罪·格摩拉
CORE_BEAST_NAME_03	蜘蛛亡灵
CORE_BEAST_NAME_93	幻象
CORE_BEAST_NAME_04	玛法斯
CORE_BEAST_NAME_05	拉波斯
CORE_BEAST_NAME_06	巴尔
CORE_BEAST_NAME_94	巴尔·西卜
CORE_BEAST_NAME_07	米克特兰特库特利
CORE_BEAST_NAME_08	爱娜温
CORE_BEAST_NAME_09	战斗机关车 轰怨
CORE_BEAST_NAME_10	多足海怪
CORE_BEAST_NAME_11	暗影钟楼
CORE_BEAST_NAME_12	恶魔罗丹
CORE_BEAST_NAME_13	小柴猫
CORE_BEAST_NAME_14	冥河夫人
CORE_BEAST_NAME_16	[ICON:MICTLAN ]形态Y
CORE_BEAST_NAME_17	[ICON:MICTLAN ]形态X
CORE_BEAST_NAME_18	[ICON:LABOLAS ]正分裂为五只
CORE_BEAST_NAME_19	[ICON:TOWER ]暗影盔甲
CORE_ANGEL_NAME_01	亲和
CORE_ANGEL_NAME_02	挚爱
CORE_ANGEL_NAME_03	恩典
CORE_ANGEL_NAME_04	荣耀
CORE_ANGEL_NAME_05	接纳
CORE_ANGEL_NAME_06	荣誉
CORE_ANGEL_NAME_07	勇敢
CORE_ANGEL_NAME_08	佛提图多
CORE_GOLEM_NAME_01	魔像
CORE_ANGEL_CLASS_01	下级三队 天使
CORE_ANGEL_CLASS_02	中级三队 能天使
CORE_ANGEL_CLASS_03	中级三队 力天使
CORE_ANGEL_CLASS_04	中级三队 力天使
CORE_ANGEL_CLASS_05	下级三队 天使
CORE_ANGEL_CLASS_06	下级三队 大天使
CORE_ANGEL_CLASS_07	上级三队 智天使
CORE_ANGEL_CLASS_08	传说
CORE_GOLEM_ALIAS_01	天魔导器
CORE_DEMON_NAME_01	丑陋
CORE_DEMON_NAME_02	痛楚
CORE_DEMON_ALIAS_01	渴望仇恨者
CORE_DEMON_ALIAS_02	刻划痛苦者
CORE_MONEY_NAME_01	胚胎结晶
CORE_MONEY_NAME_02	光环
CORE_MONEY_NAME_03	宝晶
COP_NAME_IT_I_001	绿月桂
COP_NAME_IT_I_002	紫蝴蝶
COP_NAME_IT_O_001	曼陀罗的根
COP_NAME_IT_O_002	独角兽的角
COP_NAME_IT_O_003	烤蝾螈
COP_NAME_IT_O_004	棒棒糖\n翠绿香草
COP_NAME_IT_O_005	大棒棒糖\n翠绿香草
COP_NAME_IT_O_006	棒棒糖\n艳紫魔法
COP_NAME_IT_O_007	大棒棒糖\n艳紫魔法
COP_NAME_IT_O_008	棒棒糖\n血腥玫瑰
COP_NAME_IT_O_009	大棒棒糖\n血腥玫瑰
COP_NAME_IT_O_010	棒棒糖\n澄黄之月
COP_NAME_IT_O_011	大棒棒糖\n澄黄之月
COP_NAME_IT_O_012	米达斯之证
COP_NAME_IT_O_013	炙热鲜红针筒
COP_NAME_IT_R_001	白金券
COP_NAME_IT_R_002	唱片
COP_NAME_IT_R_007	模型盒01
COP_NAME_IT_R_008	模型盒02
COP_NAME_IT_R_009	模型盒03
COP_NAME_IT_R_010	模型盒04
COP_NAME_IT_R_011	模型盒05
COP_NAME_IT_R_062	模型盒06
COP_NAME_IT_R_063	模型盒07
COP_NAME_IT_R_064	模型盒08
COP_NAME_IT_R_065	模型盒09
COP_NAME_IT_R_066	模型盒10
COP_NAME_IT_R_067	模型盒11
COP_NAME_IT_R_068	模型盒12
COP_NAME_IT_R_069	模型盒13
COP_NAME_IT_R_070	模型盒14
COP_NAME_IT_R_071	模型盒15
COP_NAME_IT_R_072	模型盒16
COP_NAME_IT_R_073	模型盒17
COP_NAME_IT_R_074	模型盒18
COP_NAME_IT_R_075	模型盒19
COP_NAME_IT_R_076	模型盒20
COP_NAME_IT_R_077	模型盒21
COP_NAME_IT_R_078	模型盒22
COP_NAME_IT_R_079	模型盒23
COP_NAME_IT_R_080	模型盒24
COP_NAME_IT_R_081	模型盒25
COP_NAME_IT_R_082	模型盒26
COP_NAME_IT_R_083	模型盒27
COP_NAME_IT_R_084	模型盒28
COP_NAME_IT_R_085	模型盒29
COP_NAME_IT_R_086	模型盒30
COP_NAME_IT_R_087	模型盒31
COP_NAME_IT_R_088	模型盒32
COP_NAME_IT_R_089	模型盒33
COP_NAME_IT_R_012	卡牌游戏包01
COP_NAME_IT_R_013	卡牌游戏包02
COP_NAME_IT_R_014	卡牌游戏包03
COP_NAME_IT_R_015	卡牌游戏包04
COP_NAME_IT_R_016	卡牌游戏包05
COP_NAME_IT_R_180	卡牌游戏包06
COP_NAME_IT_R_181	卡牌游戏包07
COP_NAME_IT_R_182	卡牌游戏包08
COP_NAME_IT_R_183	卡牌游戏包09
COP_NAME_IT_R_184	卡牌游戏包10
COP_NAME_IT_R_999	超级换装镜3
COP_NAME_IT_R_018	超级换装镜β1
COP_NAME_IT_R_019	超级换装镜β2
COP_NAME_IT_R_020	超级换装镜β3
COP_NAME_IT_R_021	超级换装镜β4
COP_NAME_IT_R_022	超级换装镜
COP_NAME_IT_R_023	超级换装镜2
COP_NAME_IT_R_025	火烧酷刑猫（白）
COP_NAME_IT_R_026	火烧酷刑猫（红）
COP_NAME_IT_R_027	打钉酷刑猫（白）
COP_NAME_IT_R_028	打钉酷刑猫（橘）
COP_NAME_IT_R_029	电击酷刑猫（白）
COP_NAME_IT_R_030	电击酷刑猫（紫）
COP_NAME_IT_R_031	嗜血酷刑猫（白）
COP_NAME_IT_R_032	嗜血酷刑猫（绿）
COP_NAME_IT_R_033	小天使（白）
COP_NAME_IT_R_034	小天使（黑）
COP_NAME_IT_R_035	小鸡
COP_NAME_IT_R_036	Nintendo Switch
COP_NAME_IT_R_998	陈旧的绘本
COP_NAME_IT_R_042	睡犬雕像
COP_NAME_IT_R_043	知名大楼摆饰
COP_NAME_IT_R_044	手提灯笼
COP_NAME_IT_R_045	投石器磁铁
COP_NAME_IT_R_046	武将摆饰
COP_NAME_IT_R_047	仙人水墨画
COP_NAME_IT_R_048	风神沙漏
COP_NAME_IT_R_049	毒蛙抱枕
COP_NAME_IT_R_050	仪式面具
COP_NAME_IT_R_051	迷你凯旋门
COP_NAME_IT_R_052	观光巴士铁牌
COP_NAME_IT_R_053	观光景点磁铁
COP_NAME_IT_R_111	模型盒
COP_NAME_IT_R_112	卡牌游戏包
COP_NAME_IT_R_100	调色子弹\nβ1原型
COP_NAME_IT_R_101	调色子弹1\nβ1红色
COP_NAME_IT_R_102	调色子弹2\nβ1黑色
COP_NAME_IT_R_103	调色子弹3\nβ1橙色
COP_NAME_IT_R_104	调色子弹4\nβ1黄色
COP_NAME_IT_R_105	调色子弹5\nβ1绿色
COP_NAME_IT_R_106	调色子弹6\nβ1蓝色
COP_NAME_IT_R_107	调色子弹7\nβ1粉色
COP_NAME_IT_R_120	头发颜色 β1黑色
COP_NAME_IT_R_121	头发颜色 β1银色
COP_NAME_IT_R_122	头发颜色 β1红色
COP_NAME_IT_R_126	头发颜色 β1紫色
COP_NAME_IT_R_127	头发颜色 β1粉色
COP_NAME_IT_R_123	头发颜色 β1黄色
COP_NAME_IT_R_124	头发颜色 β1绿色
COP_NAME_IT_R_125	头发颜色 β1橙色
COP_NAME_IT_R_150	镜框颜色\nβ1黑色
COP_NAME_IT_R_151	镜框颜色\nβ1红色
COP_NAME_IT_R_152	镜框颜色\nβ1深蓝
COP_NAME_IT_R_153	镜框颜色\nβ1橙色
COP_NAME_IT_R_154	镜框颜色\nβ1粉色
COP_NAME_IT_R_155	镜框颜色\nβ1黄色
COP_NAME_IT_R_156	镜框颜色\nβ1绿色
COP_NAME_IT_R_157	镜框颜色\nβ1白色
COP_NAME_IT_R_200	调色子弹\nβ2原型
COP_NAME_IT_R_201	调色子弹9\nβ2黄色
COP_NAME_IT_R_202	调色子弹10\nβ2黑色
COP_NAME_IT_R_203	调色子弹11\nβ2橙色
COP_NAME_IT_R_204	调色子弹12\nβ2祖母绿
COP_NAME_IT_R_205	调色子弹13\nβ2蓝色
COP_NAME_IT_R_206	调色子弹14\nβ2紫色
COP_NAME_IT_R_207	调色子弹15\nβ2白色
COP_NAME_IT_R_220	头发颜色 β2黑色
COP_NAME_IT_R_221	头发颜色 β2银色
COP_NAME_IT_R_222	头发颜色 β2红色
COP_NAME_IT_R_226	头发颜色 β2紫色
COP_NAME_IT_R_227	头发颜色 β2粉色
COP_NAME_IT_R_223	头发颜色 β2黄色
COP_NAME_IT_R_224	头发颜色 β2绿色
COP_NAME_IT_R_225	头发颜色 β2橙色
COP_NAME_IT_R_300	调色子弹\nβ3原型
COP_NAME_IT_R_301	调色子弹16\nβ3蓝色
COP_NAME_IT_R_302	调色子弹17\nβ3红色
COP_NAME_IT_R_303	调色子弹18\nβ3黄色
COP_NAME_IT_R_304	调色子弹19\nβ3祖母绿
COP_NAME_IT_R_305	调色子弹20\nβ3浅紫
COP_NAME_IT_R_306	调色子弹21\nβ3黑色
COP_NAME_IT_R_307	调色子弹22\nβ3绢白
COP_NAME_IT_R_320	头发颜色 β3黑色
COP_NAME_IT_R_321	头发颜色 β3银色
COP_NAME_IT_R_322	头发颜色 β3红色
COP_NAME_IT_R_326	头发颜色 β3紫色
COP_NAME_IT_R_327	头发颜色 β3粉色
COP_NAME_IT_R_323	头发颜色 β3黄色
COP_NAME_IT_R_324	头发颜色 β3绿色
COP_NAME_IT_R_325	头发颜色 β3橙色
COP_NAME_IT_R_400	调色子弹\nβ4原型
COP_NAME_IT_R_401	调色子弹23\nβ4深蓝
COP_NAME_IT_R_402	调色子弹24\nβ4红色
COP_NAME_IT_R_403	调色子弹25\nβ4酒红
COP_NAME_IT_R_404	调色子弹26\nβ4黑色
COP_NAME_IT_R_405	调色子弹27\nβ4浅蓝
COP_NAME_IT_R_406	调色子弹28\nβ4紫色
COP_NAME_IT_R_407	调色子弹29\nβ4银色
COP_NAME_IT_R_420	头发颜色 β4黑色
COP_NAME_IT_R_421	头发颜色 β4银色
COP_NAME_IT_R_422	头发颜色 β4红色
COP_NAME_IT_R_426	头发颜色 β4紫色
