CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	カカア…\nエド…！ エドナ…
C14_EV6130_00010_BAYO	やりなさい 本当に…一人前になりたいのならね
C14_EV6130_00020_BAYO	レッスンはすべて終わりよ ヴィオラ
C14_EV6130_00030_BAYO	…でも 今のあんたには 私からもっといい名前を\nプレゼントしようかしら？
C14_EV6130_00040_GIRL	ありがとう マミー\nそのプレゼント 受け取るよ
CHAPTER/chapter14_ta
C14_TA0010_00010_BAYO	浸食が……止まってる？\nどういうこと？
C14_TA0010_00020_BAYO	…あれは？
C14_TA0100_00010_FIXB	精々足掻いてみせてくれ
C14_TA0200_00010_FIXR	君の存在は想定外だったが…\n事象の確定は揺るがないのだよ
C14_TA0610_00010_BAYO	どうしたの？\n私の負けすら確定できてないじゃない
C14_TA0620_00010_BAYO	まだよ…確定なんて……させない
C14_TA0630_00010_BAYO	先に私が……\n私の真実で…事象を確定してあげる
C14_TA0650_00010_BAYO	その姿も見慣れてきたわね\nお陰でどんな顔だったか忘れてしまいそうよ
C14_TA0650_00020_WOLF	そりゃないぜ まったく…
C14_TA0650_00030_WOLF	でも この顔もなかなかのもんだろ？\nきっと元がいいからだな
C14_TA0650_00040_BAYO	フフッ どうだったかしら…\nさぁ 戦いに集中しましょう！
C14_TA0650_00050_WOLF	そうだな この戦いの果てにある真実を見届け\n俺たちの事象を確定させてやろうぜ！
CHAPTER/common_ev
ECOM_EV0000_00000_NARR	光と闇と混沌が織りなす　幾重にも重なる世界で……
ECOM_EV0000_00010_NARR	子供の頃…死んだ父が話してくれた
ECOM_EV0000_00020_NARR	人生に分かれ道なんてない
ECOM_EV0000_00030_NARR	人はただ 草をかき分けて歩き続け\nその後ろに一筋のかすかな軌跡ができるだけだ
ECOM_EV0000_00040_NARR	だけど不思議なことに ふと振り返ってみると\nその軌跡を以前も歩いたことがあるような気がしたり ―
ECOM_EV0000_00050_NARR	まるで誰かが一緒に歩いてくれたかのような\n力強い軌跡が刻まれていることがある
ECOM_EV0000_00060_NARR	真実は常に一つ そう信じていたけど ―
ECOM_EV0000_00070_NARR	もしかしたら どこか別の世界にいる自分が\nあらゆる可能性を探求し ―
ECOM_EV0000_00080_NARR	幾重にも重なって最も鮮明に浮かび上がった軌跡こそが\n真実として歴史に刻まれるのかも知れない と…
ECOM_EV6060_00010_FIXR	終わりにしよう…さぁ
ECOM_EV6060_00020_BET0	いいえ…くっ…まだよ……
ECOM_EV0010_00010_GIRL	クッソッ！
ECOM_EV0010_00020_CAPT	行くな！
ECOM_EV0010_00030_CAPT	お前にしかできないことがある！
ECOM_EV0010_00040_CAPT	最後の超世界越境装置だ
ECOM_EV0010_00070_BET0	…ヴィオ…ラ…
ECOM_EV0010_00080_BET0	…行きな…さい…
ECOM_EV0010_00100_CAPT	ヴィオラ！ 行くんだ！ 
ECOM_EV0010_00110_CAPT	後は………頼んだぞ…！
ECOM_EV0010_00120_GIRL	シグルズー！！
ECOM_EV0010_00130_GIRL	悪魔め…！
ECOM_EV0010_00140_GIRL	畜生ッ！！！
ECOM_EV0010_00160_GIRL	必ず 貴様の前に戻ってくるからな…！
ECOM_EV0020_00010_GIRL	頼む 力を貸してくれ…手遅れになる前に！
ECOM_EV0020_00020_ENZO	あっち！？
ECOM_EV0020_00030_BAYO	エンツォ 今日の天気予報はどうだったっけ？
ECOM_EV0020_00040_ENZO	ああ？見りゃ分かるだろ\n雲ひとつなくパーッと晴れて 最高の野球日和だぜ
ECOM_EV0020_00050_ENZO	それがどういう意味か分かるか？
ECOM_EV0020_00060_ENZO	せっかく手に入れた開幕戦のチケットが\nお前に連れ回されてパァになった最低の日ってことだよ！
ECOM_EV0020_00070_ENZO	お前なにソッポ向いてやがる！
ECOM_EV0020_00080_ENZO	これを手に入れるのにどれだけ苦労したと思ってんだよ！
ECOM_EV0020_00100_ENZO	ぬわーー…とと、おい！！いきなり何しやがる！！
ECOM_EV0020_00120_BAYO	それは気の毒だったわね
ECOM_EV0020_00130_BAYO	でも、あんたが約束したのよ？\n面倒な仕事を片付けてくれたら 言うことを何でも聞くって
ECOM_EV0020_00140_ENZO	何でもって言ったって限度が…
ECOM_EV0020_00150_BAYO	さぁ 車を出して
ECOM_EV0020_00160_ENZO	まだ連れまわすつもりかよ！
ECOM_EV0020_00170_ENZO	いったい朝から どれだけ車を転がしてると思ってんだよ
ECOM_EV0020_00180_ENZO	クソッ こいつまで機嫌が悪いときやがる！
ECOM_EV0020_00190_ENZO	おい 無茶するなよ！ 昨日届いたばかりの俺の新車を ―
ECOM_EV0020_00200_BAYO	はい 車を出して
ECOM_EV0020_00210_RODN	荒れるな…
ECOM_EV0020_00220_ENZO	まったく！試合も散々だぜ
ECOM_EV0020_00230_ENZO	だいたいなぁ お前 人と会うって言ってたじゃねえか\nそれが何だよ？
ECOM_EV0020_00240_ENZO	買い物だ…公園だ…今度は海が見える所 だ？！
ECOM_EV0020_00250_ENZO	ははーん さては待ち合わせ場所を忘れちまったんだろ？
ECOM_EV0020_00260_ENZO	なっ うわあああっ！！
ECOM_EV0020_00270_ENZO	な なんだよ 急に！？
ECOM_EV0020_00280_ENZO	おい！…………おいおい
ECOM_EV0020_00290_GIRL	頼む 力を貸してくれ…手遅れになる前に！
ECOM_EV0020_00300_ENZO	おい なんだよ\nまさか「待ち合わせは明日でした」なんて言うんじゃねえだろうな？
ECOM_EV0020_00310_BAYO	いいえ 待ち合わせは 今日 この場所よ
ECOM_EV0020_00320_ENZO	なにぃ？
ECOM_EV0020_00330_BAYO	エンツォ あんたはここで待ってて
ECOM_EV0020_00340_BAYO	いい？ "ここ"で待ってるのよ 一歩も動かないで
ECOM_EV0020_00350_ENZO	一歩も ってどういうことだよ？\nななっ なんだよ…？
ECOM_EV0020_00360_ENZO	お おい！\nここにいろって 一体いつまで待ってりゃいいんだよ？おーい！
ECOM_EV0020_00400_ENZO	まったく…あいつに関わるとロクなことにならねえってのに\nどうして俺はすぐ弱みを握られちまうんだ！
ECOM_EV0020_00410_ENZO	ああん？
ECOM_EV0020_00420_ENZO	雨かぁ？……いつの間にこんなに曇ったんだ？
ECOM_EV0020_00430_ENZO	なんだ ありゃあ？
ECOM_EV0020_00440_ENZO	お おい 上から光ってのは いつもロクなことが起きねえぞ！？
ECOM_EV0020_ACT010_ENZO	ちょっまっ！？
ECOM_EV0020_00450_ENZO	お…女？
ECOM_EV0020_00460_ENZO	なんだ 一体どこから落ちてきやがった？
ECOM_EV0020_00470_ENZO	…この顔 どこかで見たような…？
ECOM_EV0020_00480_ENZO	うぉぅお おい！？
ECOM_EV0020_00490_GIRL	頼む…連れて行って…くれ…
ECOM_EV0020_00500_ENZO	なっ なんなんだいきなり！？ ヒマじゃ…
ECOM_EV0020_00510_ENZO	ど、どこへ…！？
ECOM_EV0020_00520_GIRL	ベヨ…ネッタ…
ECOM_EV0020_00530_ENZO	どいつも こいつも…俺はタクシーじゃあねえんだぜ
ECOM_EV0020_ACT020_NPCM	なんだあれ？！
ECOM_EV0020_00540_ENZO	な なんだよ この女か？
ECOM_EV0020_00550_ENZO	こいつは急に上から降ってきたんだ\n俺は知らねえ 俺とは何の関係も…！
ECOM_EV0020_00560_ENZO	な なんだ？
ECOM_EV0020_00570_ENZO	あの女 また何かやらかしやがったのか？
ECOM_EV0020_00580_ENZO	ああああーッ！？
ECOM_EV0020_00590_ENZO	買ったばかりの車に何しやがる！？
ECOM_EV0020_00600_ENZO	畜生……なんだってんだ！？
ECOM_EV0020_00610_ENZO	くそったれ これじゃあ車が出せねえじゃねえか！
ECOM_EV0020_00620_ENZO	なんだよ おい…嘘だろぉ！！
ECOM_EV0020_00630_ENZO	か 勘弁してくれ！\nカカアもチビたちも待ってんだ！
ECOM_EV0020_00640_ENZO	ロダン…？
ECOM_EV0020_00650_RODN	早く逃げな\nツケを払う前に死なれちゃ困る
ECOM_EV0020_00710_RODN	見ない顔だな
ECOM_EV0020_00720_RODN	お前さん 何者だ？
ECOM_EV0020_00730_RODN	こいつは…
ECOM_EV0020_00740_BAYO	注文の品はもう出来てる？
ECOM_EV0020_00750_RODN	車に積んである……待ってな
ECOM_EV0020_00760_BAYO	私、結構この街気に入ってるのよ\n下品なパーティーは他でやって頂戴！
ECOM_EV0030_00005_BAYO	これだから安物は嫌いなのよ…
ECOM_EV0030_00010_RODN	さすがに 手を焼いてるようだな
ECOM_EV0030_00020_BAYO	…どうかしら 冷めないうちに注文したものを頂戴
ECOM_EV0030_00025_RODN	ほらよ！
ECOM_EV0030_00030_RODN	ビューティフル
ECOM_EV0030_00040_RODN	だが、うまくいくもんかな？\n今までのお客さんとは ちょっと違うようだぜ
ECOM_EV0030_00050_BAYO	あんたたち 見ない顔ね\nそれじゃ とっておきの仮面舞踏を見せてあげるわ
ECOM_EV0035_00005_BAYO	あれは…？
ECOM_EV0035_00010_BAYO	大きければイイってもんじゃないのよ
ECOM_EV0040_00020_RODN	…相手は天界の住人じゃねえ\n魔界の連中にとって うまい餌じゃねえのさ
ECOM_EV0040_00030_RODN	どうする ベヨネッタ？
ECOM_EV0040_00040_RODN	それにしても ここまで荒れるとはな。
ECOM_EV0040_00050_RODN	ほう…古代魔導術 "デーモン・スレイブ" か
ECOM_EV0040_00060_RODN	あんな術を使えるやつが まだいたとはな
ECOM_EV0050_00010_BAYO	こいつらは一体…？
ECOM_EV0050_00020_BAYO	ジャンヌ…！！
ECOM_EV0050_00030_JANN	無駄口は後だ
ECOM_EV0050_00035_JANN	行くぞ！
ECOM_EV0060_00005_BAYO	ジャンヌ！
ECOM_EV0060_00010_BAYO	ジャンヌ！！
ECOM_EV0060_00020_BAYO	やっと顔を出したわね 恥ずかしがり屋さん\nねぇ アンタの飼い主はどこにいるのかしら？
ECOM_EV0070_00005_BAYO	ジャンヌ！
ECOM_EV0070_00010_BAYO	あんたが私たちを助けてくれるなんて 気でも違ったの！？
ECOM_EV0070_00020_RODN	話がある
ECOM_EV0070_00030_RODN	ここじゃなんだ 静かなところへ行こうぜ
ECOM_EV2000_00010_JANN	まさか敵に先回りされているとはな\nなるべく戦闘は回避したいところだが…
ECOM_EV2000_00020_JANN	奴らが正面突破してくれているお陰で\n屋上は手薄なようだ
ECOM_EV2010_00010_JANN	魔界へのアクセスが遮断されているだと…\nこの施設は一体？
ECOM_EV2010_00020_JANN	まぁいい\nこんな奴らの相手は 我が身一つで充分だ！
ECOM_EV4010_00010_JANN	博士…お目にかかれて光栄だ
ECOM_EV5000_00010_DOCT	君は 誰だ…？
ECOM_EV5000_00020_JANN	ヴィオラという少女を知っているか？\n私はその使いだ
ECOM_EV5000_00030_DOCT	知らないな…\nだが 君の用件は想像がつく
ECOM_EV5000_00040_DOCT	…アルファ・バースへ行くための方法だ
ECOM_EV5000_00050_JANN	その通りだ 話が早い
ECOM_EV5000_00060_DOCT	我が同胞よ 君が来るのを待っていた\nこの私を 何なりと利用するがいい
ECOM_EV5000_00070_DOCT	ただし…
ECOM_EV5000_00080_JANN	ただし？
ECOM_EV5000_00090_DOCT	たまに話し相手になってくれるのならばな
ECOM_EV5000_00100_JANN	私で良ければお安い御用だ\n長旅の間お互い退屈しなさそうだ
ECOM_EV5000_00110_DOCT	では、さっそく支度をしよう\nついて来たまえ
ECOM_EV5000_00120_JANN	これを使うか…しかし
ECOM_EV5000_00130_DOCT	さぁ 行こう\n楽しい旅になりそうだ 間違いない
ECOM_EV5000_00140_JANN	フルスロットルで行くぞ！
ECOM_EV5010_00010_JANN	さぁ行こう 乗り心地は多少マシなはずだ
ECOM_EV7000_00010_ENZO	いっいてえな、この野郎！どこ見てやがる\n気をつけろってんだ まったく！
ECOM_EV7000_00020_ENZO	…あ なんだ お前か\nしょうがねえ奴だな…
ECOM_EV7000_00030_ENZO	…って じゃねえや！
ECOM_EV7000_00040_ENZO	お前！ この間の仕事、適当にやりやがっただろ？\nおかげで俺の首が―
ECOM_EV7000_00045_ENZO	飛ぶところだったんだぞ！
ECOM_EV7000_00050_ENZO	まったく お前は －
ECOM_EV7000_00060_ENZO	は？…いやぁ な なっなんでもねえ こっちの話
ECOM_EV7000_00070_ENZO	わかってるよ バゲットだろ？\n忘れずに買って帰るって
ECOM_EV7000_00080_ENZO	寄り道なんかしねえ！超特急だ！焼きたてをホッカホカの\nまま持って帰ってやらあ！待ってておくれよ
ECOM_EV7000_00090_RODN	また学校をサボったのか？
ECOM_EV7000_00100_RODN	こんなところに入り浸って お前の親父に\nネチネチと責められるのは俺なんだぜ。
ECOM_EV7000_00110_GIRL	今日は休校なんだよ…ホ、ホントだからな？
ECOM_EV7000_00120_GIRL	それより 何か依頼はないの？\nスカっと気分が晴れるようなやつ！
ECOM_EV7000_00130_RODN	雨漏りの修理 トラックの解体 迷子の猫探しに…
ECOM_EV7000_00140_RODN	廃屋に現れる亡霊退治…
ECOM_EV7000_00150_GIRL	これ いただき！\nんじゃ 行ってきまーす！
ECOM_EV7000_00155_GIRL	チェシャ！
ECOM_EV7000_00160_RODN	ヴィオラ…今のは報酬から差っ引いとくぜ\nそいつのエサ代もな
ECOM_EV7000_00170_RODN	ああ そうだ…仕事の時はこう呼ぶんだったな
ECOM_EV7000_00180_RODN	家の門限は守れよ
ECOM_EV7000_00185_RODN	ベヨネッタ
ECOM_EV7000_00190_GIRL	OK！\nLet's dance, baby !
CHAPTER/common
COMN_CROW01_00020_BAYO	中々楽しいレースだったわ
COMN_CROW02_00030_BAYO	もう 手間をかけさせるんだから
COMN_CROW01_00120_GIRL	なかなかいい勝負だったな！
COMN_CROW02_00130_GIRL	ったく 手間かけさせんなよな
COMN_CAT01_00020_BAYO	可愛い子に懐かれちゃったわね
COMN_CAT02_00030_BAYO	こらこら 慌てないで 落ち着いて
COMN_CAT02_00120_GIRL	かわいいやつめ 大人しくしろ
COMN_CAT03_00130_GIRL	魔女と黒猫って最高の組み合わせだよな
COMN_FROG01_00020_BAYO	こんな所で歌ってたのね
COMN_FROG03_00040_BAYO	あらあら 跳ね回っちゃって\n楽しそうね
COMN_FROG02_00120_GIRL	いつまでも歌ってないで一緒に行こうぜ
COMN_FROG03_00130_GIRL	お前 なんかしっとりしてるな
COMN_CLOCK01_00010_BAYO	さあ アナタのホントの姿を見せて頂戴
COMN_RT0010_00090_NARR	父の話は難解だったけど\nなぜか幼い私の心に深く響いた
COMN_RT0010_00100_NARR	そしてその話を思い出すたび\n私は空を見上げて空想した
COMN_RT0010_00110_NARR	もしかして…どこかで別の私が\n私と同じように草をかき分けて歩いているのだろうか？
COMN_RT0010_00120_NARR	私と同じ軌跡を辿って\n一緒に旅をしてくれているのだろうか？
COMN_RT0010_00130_NARR	その空想は どんなアニメやSF小説よりも\n幼い私を虜にした
COMN_RT0010_00140_NARR	そして、成長した今も\n私は心のどこかで信じていた
COMN_RT0010_00150_NARR	いつか別の世界にいる父が\n私の前に現れて ―
COMN_RT0010_00160_NARR	昔のように、ストロベリーのキャンディーを\nパッと出してくれるに違いない、と…
COMN_RT0010_00170_NARR	…でも 遠い世界から\n私たちの前にやって来たのは ―
COMN_RT0010_00180_NARR	すべての希望を打ち砕く\n悪夢のような侵略者だった
COMN_PR0010_00010_JANN	これは 魔の眷属！？
COMN_PR0010_00020_JANN	しかも 何者かによって召喚されている…！？
COMN_PR0010_00030_JANN	我々以外に 一体誰が…！
COMN_PR0010_00040_BAYO	暴れてる新顔の連中に聞いてみる必要がありそうね
COMN_SP1010_00010_JANN	こんなところにまで奴らの手が…
COMN_SP1010_00020_JANN	だがこの施設の装備…ターゲットの男は\nホムンクルスの襲来を予想していたとみて間違いない
COMN_SP1020_00010_JANN	シグルズ博士とやらの無事を祈るしかないな
COMN_SP2010_00010_NARR	その男が世界を救うヒーローだとでも言うのか？
COMN_SP2010_00020_NARR	そうじゃない\n…いや そう言っても間違いじゃないかも知れない
COMN_SP2010_00030_NARR	私たちの世界では 並行世界の研究が進んでいて\n早くからその存在を認識していた
COMN_SP2010_00040_NARR	そして交信方法を確立し この世界の極秘機関との\nコンタクトに成功 ―
COMN_SP2010_00050_NARR	その機関の責任者、シグルズ博士とともに\n「混沌の歯車」の存在を突き止めたんだ
COMN_SP2010_00060_NARR	彼の協力が得られれば 「混沌の歯車」を使って\nアルファ・バースへ侵入することが出来る
COMN_SP2010_00065_NARR	だから…
COMN_SP2010_00070_NARR	…お前がこの世界へやって来たってわけか
COMN_SP2010_00080_NARR	だが その男の協力とは一体何なのだ？
COMN_SP2010_00090_NARR	なぜその男をそれほど信頼している？
COMN_SP2010_00100_NARR	だって 彼は シンギュラリティの…
COMN_SP3010_00010_JANN	この先に…間違いない\n間に合ってくれればいいがな
COMN_SP4010_00010_JANN	やはり来たか
COMN_SP4010_00020_DOCT	ここは外に繋がっている 出口には隔壁があるから\nそこまで逃げ切ることができれば…
COMN_SP4020_00010_JANN	しつこい奴らだ それにしても貴方は\n彼らにとっても余程の存在らしいな
COMN_SP4020_00020_DOCT	だからこそ あの場所で身を潜めていたのだ\nだがみすみす捕まるわけにはいかない…
COMN_SP4020_00030_DOCT	そうだ！\n少し惜しいが 彼らにこの基地をプレゼントしてやろう
COMN_SP4020_00040_DOCT	オマケに大きな花火をつけて ね
COMN_SP4025_00010_DOCT	準備はいいかな？
COMN_SP4025_00020_JANN	派手なのは嫌いではない\nいつでもどうぞ
COMN_SP4025_00030_DOCT	では いくぞ
COMN_SP4030_00010_DOCT	ほう、この花火では満足できないようだ
COMN_SP4030_00020_JANN	ならばアンブラの流儀で満足させてやろう！
COMN_SP4040_00010_JANN	最後はこうでなくてはな！
COMN_SP4110_00010_DOCT	勇敢なお嬢さん 名は何という？
COMN_SP4110_00020_JANN	ジャンヌでいい
COMN_SP4110_00030_DOCT	よろしく ジャンヌ
COMN_SP4110_00040_DOCT	さて これからどうする？
COMN_SP4110_00050_JANN	博士に紹介したい友がいる\nそのために ここへお迎えに上がったのだ
COMN_TA0610_00010_BET0	どうしたの？\n私の負けすら確定できてないじゃない
COMN_TA0620_00010_BET0	まだよ…確定なんて……させない
COMN_TA0630_00010_BET0	先に私が……\n私の真実で…事象を確定してあげる
COMN_TA1200_00010_FSOL	なんてことだ…\nフランスはもう終わりなのか……
COMN_TA1300_00010_FSOL	諦めてたまるか。\nいくぞ 残っている者は私に続け！！
COMN_TA1400_00010_FSOL	上空を警戒しろ いつ襲ってくるかわからんぞ
COMN_TA1300_00020_FSOL	あまり離れるな！四方を固めろ！\nあれに取りつかれたら おしまいだ！！
COMN_TA9000_00010_RODN	クックック…
COMN_TA9000_00030_RODN	…お前と本気でやるのは、いつぶりだったっけな\nあれ以来この日が来るのを毎日待ってたような気がするぜ
COMN_TA9000_00040_RODN	お互い どうなっても恨みっこなしだ\nさぁ お楽しみといこうぜ！
COMN_TA9100_00010_RODN	グハッ…ハァ ハァ ハァ…
COMN_TA9100_00020_RODN	随分やるようになったじゃねえか…！
COMN_TA9100_00030_RODN	ここまでやられちまっちゃあ 言い訳はできねえ。
COMN_TA9100_00040_RODN	俺も悪魔だ 潔く負けを認めるぜ\n……今回はな！
COMN_TA9900_00010_NARR	ほぉ 自主練習とは良い心がけじゃないか！
COMN_TA9900_00020_NARR	自由に使っていいが お前は加減ってものを\n知らないからな…
COMN_TA9900_00030_NARR	とにかく店を壊すんじゃないぞ
UI/core_name
COP_BOOK_NAME_01	万華解体新書
COP_BOOK_NAME_02	魔界獣記
COP_BOOK_NAME_03	ラグナ位階論
COP_BOOK_NAME_04	偽典レメゲトン
COP_BOOK_NAME_05	拾得物図録
COP_BOOK_NAME_06	手記
COP_BOOK_NAME_07	登場人物回顧録
COP_BOOK_NAME_10	魔女の解体新書 第三版
COP_BOOK_NAME_11	魔導術大全
CORE_HOMUN_NAME_01	ストラトゥス
CORE_HOMUN_NAME_02	ネビュラシス
CORE_HOMUN_NAME_03	カウム
CORE_HOMUN_NAME_04	ラジアトゥス
CORE_HOMUN_NAME_05	ラクノサス
CORE_HOMUN_NAME_06	ペルルシダス
CORE_HOMUN_NAME_07	メディオクリス
CORE_HOMUN_NAME_08	フロッカス
CORE_HOMUN_NAME_09	フラクタス
CORE_HOMUN_NAME_10	パヌス
CORE_HOMUN_NAME_11	ドュプリケイタス
CORE_HOMUN_NAME_12	ミュラス
CORE_HOMUN_NAME_13	キュムロニンバス
CORE_HOMUN_NAME_14	アスペラトゥス
CORE_HOMUN_NAME_15	ヴォルトゥス
CORE_HOMUN_NAME_16	キャステルラヌス
CORE_HOMUN_NAME_17	ニンボストラトゥス
CORE_HOMUN_NAME_18	チューバ
CORE_HOMUN_NAME_19	オパカス
CORE_HOMUN_NAME_20	ビルガ
CORE_HOMUN_NAME_21	オーレオール
CORE_HOMUN_NAME_22	コンジェストゥス
CORE_HOMUN_NAME_23	ジェニタス
CORE_HOMUN_NAME_24	スピッサティス
CORE_HOMUN_NAME_25	ヒューミリス
CORE_HOMUN_NAME_26	イリデンセント
CORE_HOMUN_NAME_27	イリデンセント・コア
CORE_HOMUN_NAME_28	アーク・イリデンセント
CORE_HOMUN_NAME_29	パイロキュムラス
CORE_HOMUN_NAME_30	アーク・パイロキュムラス
CORE_HOMUN_NAME_31	シーロストラトゥス
CORE_HOMUN_NAME_32	シーロキュムラス
CORE_HOMUN_NAME_33	ストラトキュムラス
CORE_HOMUN_NAME_34	シンギュラリティ　混沌体
CORE_HOMUN_NAME_35	シンギュラリティ　安定体
CORE_HOMUN_NAME_36	シンギュラリティ　確定体
CORE_HOMUN_NAME_37	アンシヌス
CORE_BOSS_NAME_01	ストライダー
CORE_BOSS_NAME_02	ダーク・アダム
CORE_BOSS_NAME_03	ダーク・イヴ
CORE_BOSS_ALIAS_01	彷徨い迷うもの
CORE_BOSS_ALIAS_02	真実を乞う復讐者
CORE_BOSS_ALIAS_03	闘争と破壊の魔女
CORE_BEAST_NAME_01	マダム・バタフライ
CORE_BEAST_NAME_91	クィーン・バタフライ
CORE_BEAST_NAME_02	ゴモラ
CORE_BEAST_NAME_92	罪・ゴモラ
CORE_BEAST_NAME_03	ファンタズマラネア
CORE_BEAST_NAME_93	ザ・ファントム
CORE_BEAST_NAME_04	マルファス
CORE_BEAST_NAME_05	ラボラス
CORE_BEAST_NAME_06	バアル
CORE_BEAST_NAME_94	バアル・ゼブル
CORE_BEAST_NAME_07	ミクトランテクートリ
CORE_BEAST_NAME_08	アルラウネ
CORE_BEAST_NAME_09	戦闘機関車 轟怨
CORE_BEAST_NAME_10	クラーケン
CORE_BEAST_NAME_11	アンブラの時計塔
CORE_BEAST_NAME_12	デビルロダン
CORE_BEAST_NAME_13	チェシャ
CORE_BEAST_NAME_14	マダム・ステュクス
CORE_BEAST_NAME_16	[ICON:MICTLAN ]フォーメーションY
CORE_BEAST_NAME_17	[ICON:MICTLAN ]フォーメーションX
CORE_BEAST_NAME_18	[ICON:LABOLAS ]五体に分裂中
CORE_BEAST_NAME_19	[ICON:TOWER ]アンブランアーマー
CORE_ANGEL_NAME_01	アフィニティ
CORE_ANGEL_NAME_02	ビラブド
CORE_ANGEL_NAME_03	グレイス
CORE_ANGEL_NAME_04	グローリー
CORE_ANGEL_NAME_05	アクセプタンス
CORE_ANGEL_NAME_06	アコレイド
CORE_ANGEL_NAME_07	ヴァリアンス
CORE_ANGEL_NAME_08	フォルティトゥード
CORE_GOLEM_NAME_01	ゴーレム
CORE_ANGEL_CLASS_01	下級三隊　天使
CORE_ANGEL_CLASS_02	中級三隊　能天使
CORE_ANGEL_CLASS_03	中級三隊　力天使
CORE_ANGEL_CLASS_04	中級三隊　力天使
CORE_ANGEL_CLASS_05	下級三隊　天使
CORE_ANGEL_CLASS_06	下級三隊　大天使
CORE_ANGEL_CLASS_07	上級三隊　智天使
CORE_ANGEL_CLASS_08	アウディティオ
CORE_GOLEM_ALIAS_01	天魔導器
CORE_DEMON_NAME_01	ヒディアス
CORE_DEMON_NAME_02	ペイン
CORE_DEMON_ALIAS_01	憎しみに飢えるもの
CORE_DEMON_ALIAS_02	痛みを刻むもの
CORE_MONEY_NAME_01	エンブリオ
CORE_MONEY_NAME_02	ヘイロウ
CORE_MONEY_NAME_03	オーブ
COP_NAME_IT_I_001	グリーンローレル
COP_NAME_IT_I_002	パープルバタフライ
COP_NAME_IT_O_001	マンドラゴラの根
COP_NAME_IT_O_002	一角獣の角
COP_NAME_IT_O_003	イモリの黒焼き
COP_NAME_IT_O_004	ロリポップ\nグリーンハーブ
COP_NAME_IT_O_005	メガロリポップ\nグリーンハーブ
COP_NAME_IT_O_006	ロリポップ\nパープルマジック
COP_NAME_IT_O_007	メガロリポップ\nパープルマジック
COP_NAME_IT_O_008	ロリポップ\nブラディローズ
COP_NAME_IT_O_009	メガロリポップ\nブラディローズ
COP_NAME_IT_O_010	ロリポップ\nイエロームーン
COP_NAME_IT_O_011	メガロリポップ\nイエロームーン
COP_NAME_IT_O_012	ミダスの証
COP_NAME_IT_O_013	レッドホットショット
COP_NAME_IT_R_001	プラチナチケット
COP_NAME_IT_R_002	レコード
COP_NAME_IT_R_007	フィギュアボックス01
COP_NAME_IT_R_008	フィギュアボックス02
COP_NAME_IT_R_009	フィギュアボックス03
COP_NAME_IT_R_010	フィギュアボックス04
COP_NAME_IT_R_011	フィギュアボックス05
COP_NAME_IT_R_062	フィギュアボックス06
COP_NAME_IT_R_063	フィギュアボックス07
COP_NAME_IT_R_064	フィギュアボックス08
COP_NAME_IT_R_065	フィギュアボックス09
COP_NAME_IT_R_066	フィギュアボックス10
COP_NAME_IT_R_067	フィギュアボックス11
COP_NAME_IT_R_068	フィギュアボックス12
COP_NAME_IT_R_069	フィギュアボックス13
COP_NAME_IT_R_070	フィギュアボックス14
COP_NAME_IT_R_071	フィギュアボックス15
COP_NAME_IT_R_072	フィギュアボックス16
COP_NAME_IT_R_073	フィギュアボックス17
COP_NAME_IT_R_074	フィギュアボックス18
COP_NAME_IT_R_075	フィギュアボックス19
COP_NAME_IT_R_076	フィギュアボックス20
COP_NAME_IT_R_077	フィギュアボックス21
COP_NAME_IT_R_078	フィギュアボックス22
COP_NAME_IT_R_079	フィギュアボックス23
COP_NAME_IT_R_080	フィギュアボックス24
COP_NAME_IT_R_081	フィギュアボックス25
COP_NAME_IT_R_082	フィギュアボックス26
COP_NAME_IT_R_083	フィギュアボックス27
COP_NAME_IT_R_084	フィギュアボックス28
COP_NAME_IT_R_085	フィギュアボックス29
COP_NAME_IT_R_086	フィギュアボックス30
COP_NAME_IT_R_087	フィギュアボックス31
COP_NAME_IT_R_088	フィギュアボックス32
COP_NAME_IT_R_089	フィギュアボックス33
COP_NAME_IT_R_012	カードパック01
COP_NAME_IT_R_013	カードパック02
COP_NAME_IT_R_014	カードパック03
COP_NAME_IT_R_015	カードパック04
COP_NAME_IT_R_016	カードパック05
COP_NAME_IT_R_180	カードパック06
COP_NAME_IT_R_181	カードパック07
COP_NAME_IT_R_182	カードパック08
COP_NAME_IT_R_183	カードパック09
COP_NAME_IT_R_184	カードパック10
COP_NAME_IT_R_999	スーパーミラー3
COP_NAME_IT_R_018	スーパーミラーβ1
COP_NAME_IT_R_019	スーパーミラーβ2
COP_NAME_IT_R_020	スーパーミラーβ3
COP_NAME_IT_R_021	スーパーミラーβ4
COP_NAME_IT_R_022	スーパーミラー
COP_NAME_IT_R_023	スーパーミラー2
COP_NAME_IT_R_025	ステキューション\nキャッツ(白)
COP_NAME_IT_R_026	ステキューション\nキャッツ(赤)
COP_NAME_IT_R_027	タッキューション\nキャッツ(白)
COP_NAME_IT_R_028	タッキューション\nキャッツ(橙)
COP_NAME_IT_R_029	エレキューション\nキャッツ(白)
COP_NAME_IT_R_030	エレキューション\nキャッツ(紫)
COP_NAME_IT_R_031	スキュアキューション\nキャッツ(白)
COP_NAME_IT_R_032	スキュアキューション\nキャッツ(緑)
