bag.dat
msg_ui_bag_okodukai_00	しょじきん
BTL_STRID_STD_Encount_Wild_Ride_strong	うわっ！　とても　つよそうな\n[VAR 0101(0000)]が　とびかかってきた！
BTL_STRID_STD_Encount_Wild_Legend_strong	とても　つよそうな\n[VAR 0101(0000)]が　あらわれた！
BTL_STRID_STD_EscapeProhibit2	あばれている　ポケモンを\nほうっては　おけない！
BTL_STRID_STD_EscapeProhibit3	あばれている　ザシアンを\nほうっては　おけない！
BTL_STRID_STD_EscapeProhibit4	あばれている　ザマゼンタを\nほうっては　おけない！
BTL_STRID_STD_itemlost	[VAR 0109(0000)]は　やくめを　おえ\nなくなって　しまった……
BTL_STRID_STD_RAID_Boss_19_you	[VAR 0100(0000)]は　おうえん　した！
BTL_STRID_STD_RAID_Boss_20_you	[VAR 0100(0000)]の　おうえんが　あたりの\nダイマックスパワーで　ぞうふくされた！
BTL_STRID_STD_PutMulti_NPC_and_NPC	[VAR 010E(0000)]の　[VAR 0100(0001)]は\n[VAR 0102(0002)]を　くりだした！\r\n[VAR 010E(0003)]の　[VAR 0100(0004)]は\n[VAR 0102(0005)]を　くりだした！
BTL_STRID_STD_PutMulti_Myself_and_NPC	ゆけっ！　[VAR 0102(0000)]！\r\n[VAR 010E(0001)]の　[VAR 0100(0002)]は\n[VAR 0102(0003)]を　くりだした！
BTL_STRID_STD_PutMulti_Player_and_Player	[VAR 0100(0000)]は\n[VAR 0102(0001)]を　くりだした！\r\n[VAR 0100(0002)]は\n[VAR 0102(0003)]を　くりだした！
BTL_STRID_STD_PutMulti_Myself_and_Player	ゆけっ！　[VAR 0102(0000)]！\r\n[VAR 0100(0001)]は\n[VAR 0102(0002)]を　くりだした！
BTL_STRID_STD_GShockWave_PP_Reduce_E	あいての　ポケモンの\nＰＰが　へった！
BTL_STRID_STD_PutMulti_Ally_Player	[VAR 0100(0000)]は\n[VAR 0102(0001)]を　くりだした！
BTL_STRID_STD_GShockWave_SideEffect_Kusa	みかたの　ポケモンが\nムチの　もうだに　つつまれた！
BTL_STRID_STD_GShockWave_SideEffect_Kusa_E	あいての　ポケモンが\nムチの　もうだに　つつまれた！
BTL_STRID_STD_GShockWave_SideEffect_Mizu	みかたの　ポケモンが\nみずの　ながれに　つつまれた！
BTL_STRID_STD_GShockWave_SideEffect_Mizu_E	あいての　ポケモンが\nみずの　ながれに　つつまれた！
BTL_STRID_STD_Encount_Yadon	あっ！　はや～い　ヤドンだ！\nたおして　どうぎセットを　とりもどそう！
BTL_STRID_STD_Ball_NG_Yadon	はや～い　ヤドンは\nししょうの　ポケモン！\r\nつかまえることは　できない！
BTL_STRID_STD_Chika_01	これ　いじょう　たんけんを\nつづけることが　できない！
BTL_STRID_STD_Chika_02	[VAR 0101(0000)]を　つかまえずに\nさきに　すすむことに　した！
BTL_STRID_STD_BossOn_N	[VAR 0102(0000)]は\nあらぶるちからに　みちあふれている！
BTL_STRID_STD_BossOn_O	[VAR 0102(0000)]は\nやせいの　ちからに　みちあふれている！
BTL_STRID_STD_BossOn_G	[VAR 0102(0000)]は\nすさまじいちからに　みちあふれている！
BTL_STRID_STD_BossOn_L	[VAR 0102(0000)]は\nおおいなるちからに　みちあふれている！
BTL_STRID_STD_BossFinish_N	[VAR 0102(0000)]の\nあらぶるちからが　よわまった！
BTL_STRID_STD_BossFinish_L	[VAR 0102(0000)]の\nおおいなるちからが　よわまった！
dressup.dat
msg_ui_dressup_money_00	[~ 0]
msg_ui_dressup_name_01	[VAR 01C1(0000)]
msg_ui_dressup_color_00	[VAR 01C2(0000)]
msg_ui_dressup_purchased_00	こうにゅうずみ
msg_ui_dressup_soldout_00	アイテムは　ありません
msg_ui_dressup_select_00	はい
msg_ui_dressup_select_01	いいえ
msg_ui_dressup_message_00	[VAR 0206(0000,0000)]円に　なりますが\nよろしい　ですか？
msg_ui_dressup_message_01	[VAR 0206(0000,0000)]円に　なります\c\nいまの　すがたでは　つけられませんが\nよろしい　ですか？
msg_ui_dressup_message_02	おかねが　たりません！\c
msg_ui_dressup_message_03	こちらの　アイテムは\nすでに　こうにゅうずみ　です\c
msg_ui_dressup_message_06	ありがとうございます！　こうにゅうした\nアイテムに　きがえますか？
msg_ui_dressup_message_07	ありがとうございます！\c
msg_ui_dressup_message_08	この　ふくそうに　きがえますか？
msg_ui_dressup_message_09	[~ 14]
msg_ui_dressup_message_10	おかいものは\nもう　よろしいですか？
msg_ui_dressup_message_11	きがえるのを　やめますか？
msg_ui_dressup_not_equip_00	いまの　かみがたでは\nつけられません
msg_ui_dressup_button_00	けってい
msg_ui_dressup_button_01	おわる
msg_ui_dressup_button_02	[~ 20]
msg_ui_dressup_button_03	はずす
msg_ui_dressup_button_04	きがえる
msg_ui_dressup_button_05	[~ 23]
msg_ui_dressup_button_06	[~ 24]
msg_ui_dressup_button_07	[~ 25]
msg_ui_dressup_button_08	[~ 26]
msg_ui_dressup_button_09	[~ 27]
msg_ui_dressup_button_10	[~ 28]
msg_ui_dressup_button_11	[~ 29]
msg_ui_dressup_button_12	きがえずおわる
msg_ui_dressup_button_13	かう
msg_ui_dressup_button_14	かいものをやめる
msg_ui_dressup_money_01	[VAR 0206(0000,0000)]円
msg_ui_dressup_money_02	[VAR 0205(0000,0000)]円
msg_ui_dressup_state_00	[~ 35]
msg_ui_dressup_state_01	[~ 36]
msg_ui_dressup_optionbar_00	えらぶ
msg_ui_dressup_optionbar_01	やめる
msg_ui_dressup_message_12	[~ 39]
msg_ui_dressup_message_13	[~ 40]
msg_ui_dressup_message_14	[~ 41]
msg_ui_dressup_message_15	[~ 42]
msg_ui_dressup_message_16	[~ 43]
msg_ui_dressup_message_17	[~ 44]
msg_ui_dressup_select_02	[~ 45]
msg_ui_dressup_select_03	[~ 46]
msg_ui_dressup_select_04	[~ 47]
msg_ui_dressup_money_03	-[VAR 0206(0000,0000)]
initial.dat
initial_p0	えいすうじ
initial_00	ア
initial_01	イ
initial_02	ウ
initial_03	エ
initial_04	オ
initial_05	カ
initial_06	キ
initial_07	ク
initial_08	ケ
initial_09	コ
initial_10	サ
initial_11	シ
initial_12	ス
initial_13	セ
initial_14	ソ
initial_15	タ
initial_16	チ
initial_17	ツ
initial_18	テ
initial_19	ト
initial_20	ナ
initial_21	ニ
initial_22	ヌ
initial_23	ネ
initial_24	ノ
initial_25	ハ
initial_26	ヒ
initial_27	フ
initial_28	ヘ
initial_29	ホ
initial_30	マ
initial_31	ミ
initial_32	ム
initial_33	メ
initial_34	モ
initial_35	ヤ
initial_36	ユ
initial_37	ヨ
initial_38	ラ
initial_39	リ
initial_40	ル
initial_41	レ
initial_42	ロ
initial_43	ワ
initial_44	ヲ
initial_45	ン
mystery.dat
msg_o_mystery_win_02	ポケモンが　いっぱいですが\nおくりものを　うけとりますか？
msg_o_mystery_win_03	ごちゅうい！\nシリアルコード　または　あいことばで\nおくりものを　うけとっている　とき\nほんたいの　でんげんが　きれたり\nつうしんが　できなくなると\nその　シリアルコードや　あいことばは\nしようできなくなる　ことが　あります\nほんたいの　バッテリーの　ざんりょうや\nつうしんに　もんだいが　ないか\nごかくにん　ください
msg_o_mystery_win_03_p	[~ 2]
msg_o_mystery_win_04	ごちゅうい！\nシリアルコード　または　あいことばの\nにゅうりょくに　つづけて\nしっぱいしたため\nにゅうりょく　できません\n\nしばらく　じかんが　たってから\nおこしください
msg_o_mystery_win_04_p	[~ 4]
msg_o_mystery_win_05	かくにん　しています\nでんげんを　きらないでください……
msg_o_mystery_win_05_p	つうしん　しています\nでんげんを　きらないでください……
msg_o_mystery_win_06	もういちど　シリアルコード　または\nあいことばを　いれますか？
msg_o_mystery_win_07	おくりものを　さがしています
msg_o_mystery_win_08	おくりものの　うけとりに\nしっぱい　しました
msg_o_mystery_win_09	おくりものが\nありませんでした
msg_o_mystery_win_11	うけとる　おくりものを\nえらんでください
msg_o_mystery_win_12	うけとるのを　やめますか？
msg_o_mystery_win_13	この　おくりものは\nいちど　うけとったことが　あるので\nうけとることが　できません
msg_o_mystery_win_14	ポケモンが　いっぱいで\nうけとれません\nてもち　または　ポケモンボックスに　いる\nポケモンを　せいりしてから　おためしください
msg_o_mystery_win_15	おくりものを　うけとっています\nでんげんを　きらないでください……
msg_o_mystery_win_16	おくりものを　みつけましたが\nげんざい　あそんでいる　ソフトでは\nうけとることが　できません\n
msg_o_mystery_win_17	[~ 17]
msg_o_mystery_win_18	せつぞく　しています\nしばらく　おまちください
msg_o_mystery_win_19	[~ 19]
msg_o_mystery_win_20	[~ 20]
msg_o_mystery_win_21	ポケモンボックスを\nかくにん　してみましょう！\c
msg_o_mystery_win_22	てもちの　ポケモンを\nかくにん　してみましょう！\c
msg_o_mystery_win_23	つうしん　しています\nでんげんを　きらないでください
msg_o_mystery_win_24	[~ 24]
msg_o_mystery_win_27	[~ 25]
msg_o_mystery_win_29	[~ 26]
msg_o_mystery_win_30	せつだん　しています\nしばらく　おまちください
msg_o_mystery_win_31	[~ 28]
msg_o_mystery_win_32	[~ 29]
msg_o_mystery_win_33	[~ 30]
msg_o_mystery_win_34	この　おくりものは　１にち１かいだけ\nうけとれます\n\nいちど　うけとったら\nつぎのひに　なるまで\nこの　おくりものは　うけとれませんので\nごちゅうい　ください
msg_o_mystery_win_35	この　おくりものは\n１にちに　１かい　うけとれます\n\nほんじつ　うけとっているため\nうけとれません\n\nつぎのひに　なったら\nまた　うけとれます
msg_o_mystery_win_36	１にち　１かい　うけとれる\nおくりものは　１０けん　までです\n\nきょうは　すでに\n１０けん　うけとっているため\nうけとれません\n\nつぎのひに　なったら\nまた　うけとれます
msg_o_mystery_win_37	[~ 34]
msg_o_mystery_win_38	シリアルコード　または　あいことばが\nまちがっています\n\nごちゅうい！\nシリアルコード　または　あいことばを\nつづけて　まちがえたため\nしばらく　にゅうりょくが　できません\nじかんを　おいて　おためしください
msg_o_mystery_win_38_p	シリアルコード　または　あいことばが\nまちがっています\n\nごちゅうい！\nシリアルコード　または　あいことばを\nつづけて　まちがえたため\nしばらく　にゅうりょくが　できません\nじかんを　おいて　おためしください
msg_o_mystery_win_39	[~ 37]
msg_o_mystery_serial_error_11	シリアルコード　または　あいことばが\nまちがっています\n\nおてもちの　シリアルコード　または\nあいことばを　ごかくにん　ください\n\nつづけて　まちがえると\nしばらく　にゅうりょく　できなくなります\nごちゅうい　ください
msg_o_mystery_serial_error_11_p	シリアルコード　または　あいことばが\nまちがっています\n\nおてもちの　シリアルコード　または\nあいことばを　ごかくにん　ください\n\nまた　つづけて　まちがえると\nしばらく　にゅうりょく　できなくなります\nごちゅうい　ください
msg_o_mystery_serial_error_12	この　シリアルコードは\nほかの　セーブデータで　しようちゅう　です
msg_o_mystery_serial_error_12_p	[~ 41]
msg_o_mystery_serial_error_13	この　シリアルコード　または\nあいことばの　おくりものは\nまだ　うけとることが　できません
msg_o_mystery_serial_error_13_p	[~ 43]
msg_o_mystery_serial_error_14	この　シリアルコード　または\nあいことばは\nゆうこうきげんが　すぎています
msg_o_mystery_serial_error_14_p	[~ 45]
msg_o_mystery_serial_error_15	この　シリアルコード　または\nあいことばの　おくりものは\nおてもちの　タイトルでは\nうけとることが　できません
msg_o_mystery_serial_error_15_p	[~ 47]
msg_o_mystery_serial_error_16	シリアルコード　または　あいことばの\nこうしんに　しっぱい　しました\n\nこの　おくりものの　うけとりは\nかんりょう　していません
msg_o_mystery_serial_error_16_p	[~ 49]
msg_o_mystery_serial_error_17	この　シリアルコード　または\nあいことばで　うけとれる　おくりものは\nすでに　うけとっています
msg_o_mystery_serial_error_17_p	[~ 51]
msg_o_mystery_serial_error_18	この　シリアルコードは\nしようずみ　です\n\nいちど　しようした　シリアルコードは\nほかの　セーブデータでも　しようできません
msg_o_mystery_serial_error_18_p	[~ 53]
msg_o_mystery_serial_error_22	シリアルコード　または　あいことばを\nつづけて　まちがえたため\nしばらく　せつぞく　できません\n\nじかんを　おいて　おためしください
msg_o_mystery_serial_error_22_p	[~ 55]
msg_o_mystery_sel_01	はい
msg_o_mystery_sel_02	いいえ
msg_o_mystery_sel_03	インターネットで　うけとる
msg_o_mystery_sel_04	シリアルコード／あいことばで　うけとる
msg_o_mystery_sel_05	おくりものを　かくにんする
msg_o_mystery_sel_06	もどる
msg_o_mystery_sel_09	[~ 62]
msg_o_mystery_sel_11	えらぶ
msg_o_mystery_sel_12	ふしぎなおくりものを　うけとる
msg_o_mystery_sel_13	[~ 65]
msg_o_mystery_sel_14	[~ 66]
msg_o_mystery_sel_15	[~ 67]
msg_o_mystery_cap_01	[VAR 0200(0000)]
msg_o_mystery_cap_02	[VAR 012E(0000)]
msg_o_mystery_cap_04	[VAR 0101(0005)]を　うけとりました！
msg_o_mystery_cap_05	[VAR 0109(0005)]×[VAR 0202(0006)]\nを　うけとりました！
msg_o_mystery_cap_05_s	[VAR 0109(0005)]×[VAR 0202(0006)]\nを　うけとりました！
msg_o_mystery_cap_06	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\nを　うけとりました！
msg_o_mystery_cap_07	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\nを　うけとりました！
msg_o_mystery_cap_08	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\nを　うけとりました！
msg_o_mystery_cap_09	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\n[VAR 0109(000D)]×[VAR 0202(000E)]\nを　うけとりました！
msg_o_mystery_cap_10	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\n[VAR 0109(000D)]×[VAR 0202(000E)]\n[VAR 0109(000F)]×[VAR 0202(0010)]\nを　うけとりました！
msg_o_mystery_cap_11	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]
msg_o_mystery_cap_14	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]（UTC+[VAR 0201(0005)]:[VAR 0201(0006)]）
msg_o_mystery_cap_15	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]（UTC-[VAR 0201(0005)]:[VAR 0201(0006)]）
msg_o_mystery_cap_16	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]（UTC±[VAR 0201(0005)]）
msg_o_mystery_cap_17	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]（UTC+[VAR 0201(0005)]）
msg_o_mystery_cap_18	20[VAR 0201(0000)].[VAR 0201(0001)].[VAR 0201(0002)] [VAR 0201(0003)]:[VAR 0201(0004)]（UTC-[VAR 0201(0005)]）
msg_o_mystery_cap_20	[VAR 012E(0000)]
msg_o_mystery_cap_21	[VAR 0101(0005)]を　うけとりました！
msg_o_mystery_cap_22	[VAR 0109(0005)]×[VAR 0202(0006)]\nを　うけとりました！
msg_o_mystery_cap_05_s_00	[VAR 0109(0005)]×[VAR 0202(0006)]\nを　うけとりました！
msg_o_mystery_cap_23	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\nを　うけとりました！
msg_o_mystery_cap_24	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\nを　うけとりました！
msg_o_mystery_cap_25	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\nを　うけとりました！
msg_o_mystery_cap_26	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\n[VAR 0109(000D)]×[VAR 0202(000E)]\nを　うけとりました！
msg_o_mystery_cap_27	[VAR 0109(0005)]×[VAR 0202(0006)]\n[VAR 0109(0007)]×[VAR 0202(0008)]\n[VAR 0109(0009)]×[VAR 0202(000A)]\n[VAR 0109(000B)]×[VAR 0202(000C)]\n[VAR 0109(000D)]×[VAR 0202(000E)]\n[VAR 0109(000F)]×[VAR 0202(0010)]\nを　うけとりました！
msg_o_mystery_cap_28	[VAR 012E(0000)]
msg_o_mystery_cap_29	[VAR 01C1(0005)]\nを　うけとりました！
msg_o_mystery_cap_30	[VAR 01C1(0005)]\n[VAR 01C1(0006)]\nを　うけとりました！
msg_o_mystery_cap_31	[VAR 01C1(0005)]\n[VAR 01C1(0006)]\n[VAR 01C1(0007)]\nを　うけとりました！
msg_o_mystery_cap_32	[VAR 01C1(0005)]\n[VAR 01C1(0006)]\n[VAR 01C1(0007)]\n[VAR 01C1(0008)]\nを　うけとりました！
msg_o_mystery_cap_33	[VAR 01C1(0005)]\n[VAR 01C1(0006)]\n[VAR 01C1(0007)]\n[VAR 01C1(0008)]\n[VAR 01C1(0009)]\nを　うけとりました！
msg_o_mystery_cap_34	[VAR 01C1(0005)]\n[VAR 01C1(0006)]\n[VAR 01C1(0007)]\n[VAR 01C1(0008)]\n[VAR 01C1(0009)]\n[VAR 01C1(000A)]\nを　うけとりました！
msg_o_mystery_cap_35	バトルポイントを　[VAR 0204(0005,0000)]BP\nうけとりました！
msg_o_mystery_cap_36	おこづかいを　[VAR 0206(0005,0000)]円\nうけとりました！
msg_o_mystery_cap_37	ポケモンの　タマゴを\nうけとりました！
mb_ctr_win_01	[~ 103]
mb_ctr_win_02	[~ 104]
mb_ctr_win_03	[~ 105]
mb_ctr_win_04	[~ 106]
mb_ctr_win_07	[~ 107]
mb_ctr_win_08	[~ 108]
mb_ctr_win_09	[~ 109]
mb_ctr_win_10	[~ 110]
mb_ctr_win_11	[~ 111]
mb_ctr_win_14	[~ 112]
mb_ctr_win_16	[~ 113]
mb_ctr_win_17	[~ 114]
mb_ctr_win_18	[~ 115]
mb_ctr_win_19	[~ 116]
mb_ctr_win_20	[~ 117]
mb_ctr_win_20_s	[~ 118]
mb_ctr_win_25	[~ 119]
mb_ctr_win_35	[~ 120]
mb_ctr_win_36	[~ 121]
mb_ctr_win_37	[~ 122]
mb_ctr_win_38	[~ 123]
mb_ctr_win_39	[~ 124]
mb_ctr_win_40	[~ 125]
mb_ctr_win_41	[~ 126]
mb_ctr_win_42	[~ 127]
mb_ctr_win_45	[~ 128]
mb_ctr_win_46	[~ 129]
mb_ctr_cap_01	[~ 130]
mb_ctr_cap_03	[~ 131]
mb_ctr_cap_04	[~ 132]
mb_ctr_cap_05	[~ 133]
mb_ctr_cap_06	[~ 134]
mb_ctr_cap_07	[~ 135]
mb_ctr_cap_08	[~ 136]
mb_ctr_cap_09	[~ 137]
mb_ctr_cap_10	[~ 138]
mb_ctr_sel_01	[~ 139]
mb_ctr_sel_02	[~ 140]
msg_o_mystery_win_40	うけとりりれきは　ありません\c
msg_o_mystery_title_01	りれき
msg_o_mystery_title_02	うけとった　おくりもの
msg_o_mystery_win_41	インターネットを\nせつだん　しました\c
netmenu.dat
netmenu_sel_01	[~ 0]
netmenu_sel_02	[~ 1]
netmenu_sel_03	[~ 2]
netmenu_sel_04	[~ 3]
netmenu_sel_05	[~ 4]
netmenu_cap_01	[~ 5]
pokedex.dat
msg_ui_pokedex_01_01	[VAR 0105(0000)]
msg_ui_pokedex_02_01	とうろく
msg_ui_pokedex_02_02	かんせい
msg_ui_pokedex_02_03	[VAR 0202(0000)]
msg_ui_pokedex_02_04	ほかく
msg_ui_pokedex_03_01	ずかん　もくひょう
msg_ui_pokedex_03_02	けんきゅう　かんりょう！
msg_ui_pokedex_03_03	[VAR 0105(0000)]の　ずかん　[VAR 0201(0001)]ページ　かんせい！
msg_ui_pokedex_03_04	ポケモン研究ポイント
msg_ui_pokedex_03_05	つぎの団員ランクまで　あと
msg_ui_pokedex_03_06	[VAR 0204(0000,0000)]pt
msg_ui_pokedex_03_07	[VAR 0204(0000,0000)]pt
msg_ui_pokedex_03_08	だんいんらんくめい
msg_ui_pokedex_04_01	ひょうし
msg_ui_pokedex_04_02	ヒスイぜんいき
msg_ui_pokedex_04_03	アンノーンメモ
msg_ui_pokedex_04_04	こんかいのこうしん
msg_ui_pokedex_05_01	発見順
msg_ui_pokedex_05_02	ばんごうじゅん
msg_ui_pokedex_05_03	ごじゅうおんじゅん
msg_ui_pokedex_05_04	けんきゅうどじゅん
msg_ui_pokedex_10_01	[VAR 0101(0000)]
msg_ui_pokedex_10_02	[VAR 0104(0000)]
msg_ui_pokedex_10_03	No.[VAR 0202(0000)]
msg_ui_pokedex_11_01	すがた
msg_ui_pokedex_11_02	[VAR 0201(0000)]
msg_ui_pokedex_11_03	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_pokedex_12_01	たかさ
msg_ui_pokedex_12_02	おもさ
msg_ui_pokedex_12_03	？？？？？？
msg_ui_pokedex_12_04	???.?m
msg_ui_pokedex_12_05	???.?kg
msg_ui_pokedex_12_06	～
msg_ui_pokedex_12_10	？？？？？？
msg_ui_pokedex_12_11	？？？？？？
msg_ui_pokedex_12_12	？？？？？？
msg_ui_pokedex_12_13	なし
msg_ui_pokedex_13_01	すきなエサ
msg_ui_pokedex_13_02	もっているもの
msg_ui_pokedex_13_10	なし
msg_ui_pokedex_13_11	ミツ
msg_ui_pokedex_13_12	イナホ
msg_ui_pokedex_13_13	マメ
msg_ui_pokedex_13_14	キノコ
msg_ui_pokedex_13_15	ミネラル
msg_ui_pokedex_13_20	[VAR 01DB(0000)]/[VAR 01DB(0001)]
msg_ui_pokedex_14_01	[VAR 0109(0000)]
msg_ui_pokedex_15_01	みほうこく
msg_ui_pokedex_15_02	かんせい！
msg_ui_pokedex_15_03	かんぺき！
msg_ui_pokedex_15_04	けんきゅうレベル
msg_ui_pokedex_15_05	みほうこくタスク…[VAR 0201(0000)]
msg_ui_pokedex_15_06	[VAR 0201(0000)]
msg_ui_pokedex_15_07	?
msg_ui_pokedex_16_00	まだ見たことがないポケモン\nどこにいるか　探してみよう。
msg_ui_pokedex_16_01	あらたに発見したポケモン\n捕まえて博士に報告しよう。
msg_ui_pokedex_16_02	あらたにゲットしたポケモン\n博士に報告しよう。
msg_ui_pokedex_16_03	研究中のポケモン\n図鑑タスクを　こなし\nページを　完成させよう。
msg_ui_pokedex_17_01	しゃしんなし
msg_ui_pokedex_18_01	けんきゅうぶそく
msg_ui_pokedex_20_01	[VAR 0101(0000)]　のずかんタスク
msg_ui_pokedex_20_02	[VAR 0202(0000)]
msg_ui_pokedex_20_03	？？？？？？　のずかんタスク
msg_ui_pokedex_21_01	つかまえたかず
msg_ui_pokedex_21_02	たおしたかず
msg_ui_pokedex_21_03	エサをあげたかず
msg_ui_pokedex_21_04	わざ「[VAR 0107(0000)]」をみたかず
msg_ui_pokedex_21_05	確認した姿種類
msg_ui_pokedex_21_06	つかまえたばしょのかず
msg_ui_pokedex_21_07	おおきいサイズをつかまえたかず
msg_ui_pokedex_21_08	ちいさいサイズをつかまえたかず
msg_ui_pokedex_21_09	おもいサイズをつかまえたかず
msg_ui_pokedex_21_10	かるいサイズをつかまえたかず
msg_ui_pokedex_21_11	[VAR 0103(0000)]タイプの技で倒した数
msg_ui_pokedex_21_12	オヤブンを捕まえた数
msg_ui_pokedex_21_13	進化させた数
msg_ui_pokedex_21_14	疲れさせた数
msg_ui_pokedex_21_15	見つからずに捕まえた数
msg_ui_pokedex_21_16	ばりばりだまでビビらせた数
msg_ui_pokedex_21_17	ポケモンこけしで引き寄せた数
msg_ui_pokedex_21_18	チカラワザをみた数
msg_ui_pokedex_21_19	ハヤワザをみた数
msg_ui_pokedex_21_20	朝に捕まえた数
msg_ui_pokedex_21_21	昼に捕まえた数
msg_ui_pokedex_21_22	夕方に捕まえた数
msg_ui_pokedex_21_23	夜に捕まえた数
msg_ui_pokedex_21_24	日中に捕まえた数
msg_ui_pokedex_21_25	木から飛び出たところを見た数
msg_ui_pokedex_21_26	落ち葉から飛び出たところを見た数
msg_ui_pokedex_21_27	雪から飛び出たところを見た数
msg_ui_pokedex_21_30	鉱床から飛び出たところを見た数
msg_ui_pokedex_21_29	ヤチボウズから飛び出たところを見た数
msg_ui_pokedex_21_28	寝ているところを捕まえた数
msg_ui_pokedex_21_31	上空にいるところを捕まえた数
msg_ui_pokedex_21_32	雨宿りしているところを捕まえた数
msg_ui_pokedex_21_33	仲間呼びするところをみた数
msg_ui_pokedex_21_34	ミツを吸っているときに捕まえた数
msg_ui_pokedex_21_35	トレーニングしているところを捕まえた数
msg_ui_pokedex_21_50	アルセウスを託された
msg_ui_pokedex_quest_006	カラサリスとマユルドの違いを調査
msg_ui_pokedex_quest_007	暗闇の中　自由自在に飛ぶズバットの調査
msg_ui_pokedex_quest_012	ムラでいたずらを繰り返すビッパの調査
msg_ui_pokedex_quest_015	イーブイの進化について調査
msg_ui_pokedex_quest_017	パラセクトのキノコの調査
msg_ui_pokedex_quest_018	ミニポニータ調査
msg_ui_pokedex_quest_019	こどもと遊ぶフワンテの調査
msg_ui_pokedex_quest_026	頭をかかえたコダック調査
msg_ui_pokedex_quest_032	元気がないウソッキーの調査
msg_ui_pokedex_quest_036	怪しい動きをするバリヤードの調査
msg_ui_pokedex_quest_039	ミツハニーのミツの味の調査
msg_ui_pokedex_quest_052	[~ 110]
msg_ui_pokedex_quest_053	パチリスに適した戦い方の調査
msg_ui_pokedex_quest_058	グレッグルの毒から作るくすりの調査
msg_ui_pokedex_quest_066	ことわざ「迷子にノズパス」の調査
msg_ui_pokedex_quest_072	[~ 114]
msg_ui_pokedex_quest_073	満月の夜　ピッピが踊るか調査
msg_ui_pokedex_quest_085	ウリムーの特技の調査
msg_ui_pokedex_quest_089	人を助けるハピナスの習性を調査
msg_ui_pokedex_quest_092	アローラ地方のロコンの調査
msg_ui_pokedex_quest_094	民家に住み着いたチリーンの調査
msg_ui_pokedex_22_01	けんきゅうほうほう　ふめい
msg_ui_pokedex_23_01	ほうほうみてい
msg_ui_pokedex_24_01	?
msg_ui_pokedex_30_01	[VAR 0101(0000)]　の主な生息地
msg_ui_pokedex_30_02	そうぐうけいこう
msg_ui_pokedex_30_03	せいそくしていない
msg_ui_pokedex_30_04	せいそくち　ふめい
msg_ui_pokedex_30_05	せいそくち　ちょうさちゅう
msg_ui_pokedex_30_06	？？？？？？　の主な生息地
msg_ui_pokedex_30_07	？？？？？？
msg_ui_pokedex_40_01	アンノーンちょうさメモ
msg_ui_pokedex_40_02	つかまえたすがた　[VAR 0201(0000)]/28
msg_ui_pokedex_50_01	戻る
msg_ui_pokedex_50_02	じょうほう
msg_ui_pokedex_50_03	ならびかえ
msg_ui_pokedex_50_04	動き
msg_ui_pokedex_50_05	すがた
msg_ui_pokedex_50_06	いろ
msg_ui_pokedex_50_07	うしろ
msg_ui_pokedex_50_08	うごき＆なきごえ
msg_ui_pokedex_50_09	停止＆再生
msg_ui_pokedex_50_10	オヤブン
msg_ui_pokedex_50_11	情報\[[VAR 0200(0000)]/3]
msg_ui_pokedex_50_12	開く
