bag.dat
msg_ui_bag_okodukai_00	Money
BTL_STRID_SET_MegaRayquazaEvo	[~ 1684]
BTL_STRID_SET_MegaRayquazaEvo_Y	[~ 1685]
BTL_STRID_SET_MegaRayquazaEvo_E	[~ 1686]
BTL_STRID_SET_MegaRayquazaEvo_T	[~ 1687]
BTL_STRID_SET_ZenryokuPower	[~ 1688]
BTL_STRID_SET_ZenryokuPower_Y	[~ 1689]
BTL_STRID_SET_ZenryokuPower_E	[~ 1690]
BTL_STRID_SET_ZenryokuPower_T	[~ 1691]
BTL_STRID_SET_AuraEffect_None	[~ 1692]
BTL_STRID_SET_AuraEffect_None_Y	[~ 1693]
BTL_STRID_SET_AuraEffect_None_E	[~ 1694]
BTL_STRID_SET_AuraEffect_None_T	[~ 1695]
BTL_STRID_SET_AuraEffect_Rankup_Critical	[~ 1696]
BTL_STRID_SET_AuraEffect_Rankup_Critical_Y	[~ 1697]
BTL_STRID_SET_AuraEffect_Rankup_Critical_E	[~ 1698]
BTL_STRID_SET_AuraEffect_Rankup_Critical_T	[~ 1699]
BTL_STRID_SET_AuraEffect_Rankup_ATK	[~ 1700]
BTL_STRID_SET_AuraEffect_Rankup_ATK_Y	[~ 1701]
BTL_STRID_SET_AuraEffect_Rankup_ATK_E	[~ 1702]
BTL_STRID_SET_AuraEffect_Rankup_ATK_T	[~ 1703]
BTL_STRID_SET_AuraEffect_Rankup_DEF	[~ 1704]
BTL_STRID_SET_AuraEffect_Rankup_DEF_Y	[~ 1705]
BTL_STRID_SET_AuraEffect_Rankup_DEF_E	[~ 1706]
BTL_STRID_SET_AuraEffect_Rankup_DEF_T	[~ 1707]
BTL_STRID_SET_AuraEffect_Rankup_SPATK	[~ 1708]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_Y	[~ 1709]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_E	[~ 1710]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_T	[~ 1711]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF	[~ 1712]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_Y	[~ 1713]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_E	[~ 1714]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_T	[~ 1715]
BTL_STRID_SET_AuraEffect_Rankup_AGI	[~ 1716]
BTL_STRID_SET_AuraEffect_Rankup_AGI_Y	[~ 1717]
BTL_STRID_SET_AuraEffect_Rankup_AGI_E	[~ 1718]
BTL_STRID_SET_AuraEffect_Rankup_AGI_T	[~ 1719]
BTL_STRID_SET_AuraEffect_Rankup_HIT	[~ 1720]
BTL_STRID_SET_AuraEffect_Rankup_HIT_Y	[~ 1721]
BTL_STRID_SET_AuraEffect_Rankup_HIT_E	[~ 1722]
BTL_STRID_SET_AuraEffect_Rankup_HIT_T	[~ 1723]
BTL_STRID_SET_AuraEffect_Rankup_AVOID	[~ 1724]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_Y	[~ 1725]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_E	[~ 1726]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_T	[~ 1727]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK	[~ 1728]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_Y	[~ 1729]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_E	[~ 1730]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_T	[~ 1731]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF	[~ 1732]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_Y	[~ 1733]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_E	[~ 1734]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_T	[~ 1735]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK	[~ 1736]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_Y	[~ 1737]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_E	[~ 1738]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_T	[~ 1739]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF	[~ 1740]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_Y	[~ 1741]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_E	[~ 1742]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_T	[~ 1743]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI	[~ 1744]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_Y	[~ 1745]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_E	[~ 1746]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_T	[~ 1747]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT	[~ 1748]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_Y	[~ 1749]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_E	[~ 1750]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_T	[~ 1751]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID	[~ 1752]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_Y	[~ 1753]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_E	[~ 1754]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_T	[~ 1755]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK	[~ 1756]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_Y	[~ 1757]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_E	[~ 1758]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_T	[~ 1759]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF	[~ 1760]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_Y	[~ 1761]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_E	[~ 1762]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_T	[~ 1763]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK	[~ 1764]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_Y	[~ 1765]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_E	[~ 1766]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_T	[~ 1767]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF	[~ 1768]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_Y	[~ 1769]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_E	[~ 1770]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_T	[~ 1771]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI	[~ 1772]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_Y	[~ 1773]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_E	[~ 1774]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_T	[~ 1775]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT	[~ 1776]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_Y	[~ 1777]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_E	[~ 1778]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_T	[~ 1779]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID	[~ 1780]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_Y	[~ 1781]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_E	[~ 1782]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_T	[~ 1783]
BTL_STRID_SET_AuraEffect_Rankup_Multi5	[~ 1784]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_Y	[~ 1785]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_E	[~ 1786]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_T	[~ 1787]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5	[~ 1788]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_Y	[~ 1789]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_E	[~ 1790]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_T	[~ 1791]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5	[~ 1792]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_Y	[~ 1793]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_E	[~ 1794]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_T	[~ 1795]
BTL_STRID_SET_AuraEffect_RankRecover	[~ 1796]
BTL_STRID_SET_AuraEffect_RankRecover_Y	[~ 1797]
BTL_STRID_SET_AuraEffect_RankRecover_E	[~ 1798]
BTL_STRID_SET_AuraEffect_RankRecover_T	[~ 1799]
BTL_STRID_SET_AuraEffect_HPRecover	[~ 1800]
BTL_STRID_SET_AuraEffect_HPRecover_Y	[~ 1801]
BTL_STRID_SET_AuraEffect_HPRecover_E	[~ 1802]
BTL_STRID_SET_AuraEffect_HPRecover_T	[~ 1803]
BTL_STRID_SET_AuraEffect_FriendHPRecover	[~ 1804]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Y	[~ 1805]
BTL_STRID_SET_AuraEffect_FriendHPRecover_E	[~ 1806]
BTL_STRID_SET_AuraEffect_FriendHPRecover_T	[~ 1807]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive	[~ 1808]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_Y	[~ 1809]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_E	[~ 1810]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_T	[~ 1811]
BTL_STRID_SET_AuraEffect_Konoyubitomare	[~ 1812]
BTL_STRID_SET_AuraEffect_Konoyubitomare_Y	[~ 1813]
BTL_STRID_SET_AuraEffect_Konoyubitomare_E	[~ 1814]
BTL_STRID_SET_AuraEffect_Konoyubitomare_T	[~ 1815]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru	[~ 1816]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_Y	[~ 1817]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_E	[~ 1818]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_T	[~ 1819]
BTL_STRID_SET_AuraReqWaza_Oumugaesi	[~ 1820]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_Y	[~ 1821]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_E	[~ 1822]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_T	[~ 1823]
BTL_STRID_SET_AuraReqWaza_Sizennotikara	[~ 1824]
BTL_STRID_SET_AuraReqWaza_Sizennotikara_Y	[~ 1825]
BTL_STRID_SET_AuraReqWaza_Sizennotikara_E	[~ 1826]
BTL_STRID_SET_AuraReqWaza_Sizennotikara_T	[~ 1827]
BTL_STRID_SET_AuraReqWaza_Nekonote	[~ 1828]
BTL_STRID_SET_AuraReqWaza_Nekonote_Y	[~ 1829]
BTL_STRID_SET_AuraReqWaza_Nekonote_E	[~ 1830]
BTL_STRID_SET_AuraReqWaza_Nekonote_T	[~ 1831]
BTL_STRID_SET_AuraReqWaza_Sakidori	[~ 1832]
BTL_STRID_SET_AuraReqWaza_Sakidori_Y	[~ 1833]
BTL_STRID_SET_AuraReqWaza_Sakidori_E	[~ 1834]
BTL_STRID_SET_AuraReqWaza_Sakidori_T	[~ 1835]
BTL_STRID_SET_AuraReqWaza_Negoto	[~ 1836]
BTL_STRID_SET_AuraReqWaza_Negoto_Y	[~ 1837]
BTL_STRID_SET_AuraReqWaza_Negoto_E	[~ 1838]
BTL_STRID_SET_AuraReqWaza_Negoto_T	[~ 1839]
BTL_STRID_SET_AuraReqWaza_Manekko	[~ 1840]
BTL_STRID_SET_AuraReqWaza_Manekko_Y	[~ 1841]
BTL_STRID_SET_AuraReqWaza_Manekko_E	[~ 1842]
BTL_STRID_SET_AuraReqWaza_Manekko_T	[~ 1843]
BTL_STRID_SET_CorePunisher	[~ 1844]
BTL_STRID_SET_CorePunisher_Y	[~ 1845]
BTL_STRID_SET_CorePunisher_E	[~ 1846]
BTL_STRID_SET_CorePunisher_T	[~ 1847]
BTL_STRID_SET_Togisumasu	[~ 1848]
BTL_STRID_SET_Togisumasu_Y	[~ 1849]
BTL_STRID_SET_Togisumasu_E	[~ 1850]
BTL_STRID_SET_Togisumasu_T	[~ 1851]
BTL_STRID_SET_SpeedSwap	[~ 1852]
BTL_STRID_SET_SpeedSwap_Y	[~ 1853]
BTL_STRID_SET_SpeedSwap_E	[~ 1854]
BTL_STRID_SET_SpeedSwap_T	[~ 1855]
BTL_STRID_SET_Moetukiru	[~ 1856]
BTL_STRID_SET_Moetukiru_Y	[~ 1857]
BTL_STRID_SET_Moetukiru_E	[~ 1858]
BTL_STRID_SET_Moetukiru_T	[~ 1859]
BTL_STRID_SET_Zigokuduki_Warn	[~ 1860]
BTL_STRID_SET_Zigokuduki_Warn_Y	[~ 1861]
BTL_STRID_SET_Zigokuduki_Warn_E	[~ 1862]
BTL_STRID_SET_Zigokuduki_Warn_T	[~ 1863]
BTL_STRID_SET_Gyogun_On	[~ 1864]
BTL_STRID_SET_Gyogun_On_Y	[~ 1865]
BTL_STRID_SET_Gyogun_On_E	[~ 1866]
BTL_STRID_SET_Gyogun_On_T	[~ 1867]
BTL_STRID_SET_Gyogun_Off	[~ 1868]
BTL_STRID_SET_Gyogun_Off_Y	[~ 1869]
BTL_STRID_SET_Gyogun_Off_E	[~ 1870]
BTL_STRID_SET_Gyogun_Off_T	[~ 1871]
BTL_STRID_SET_PhychoField_Protect	[~ 1872]
BTL_STRID_SET_PhychoField_Protect_Y	[~ 1873]
BTL_STRID_SET_PhychoField_Protect_E	[~ 1874]
BTL_STRID_SET_PhychoField_Protect_T	[~ 1875]
BTL_STRID_SET_SpotLight	[~ 1876]
BTL_STRID_SET_SpotLight_Y	[~ 1877]
BTL_STRID_SET_SpotLight_E	[~ 1878]
BTL_STRID_SET_SpotLight_T	[~ 1879]
BTL_STRID_SET_KutibasiCanon	[~ 1880]
BTL_STRID_SET_KutibasiCanon_Y	[~ 1881]
BTL_STRID_SET_KutibasiCanon_E	[~ 1882]
BTL_STRID_SET_KutibasiCanon_T	[~ 1883]
BTL_STRID_SET_TrapShell_Start	[~ 1884]
BTL_STRID_SET_TrapShell_Start_Y	[~ 1885]
BTL_STRID_SET_TrapShell_Start_E	[~ 1886]
BTL_STRID_SET_TrapShell_Start_T	[~ 1887]
BTL_STRID_SET_TrapShell_Failed	[~ 1888]
BTL_STRID_SET_TrapShell_Failed_Y	[~ 1889]
BTL_STRID_SET_TrapShell_Failed_E	[~ 1890]
BTL_STRID_SET_TrapShell_Failed_T	[~ 1891]
BTL_STRID_SET_Saihai	[~ 1892]
BTL_STRID_SET_Saihai_2Y	[~ 1893]
BTL_STRID_SET_Saihai_2E	[~ 1894]
BTL_STRID_SET_Saihai_2T	[~ 1895]
BTL_STRID_SET_Saihai_Y	[~ 1896]
BTL_STRID_SET_Saihai_Y2Y	[~ 1897]
BTL_STRID_SET_Saihai_E	[~ 1898]
BTL_STRID_SET_Saihai_E2E	[~ 1899]
BTL_STRID_SET_Saihai_T	[~ 1900]
BTL_STRID_SET_Saihai_T2T	[~ 1901]
BTL_STRID_SET_Receiver	[~ 1902]
BTL_STRID_SET_Receiver_Y	[~ 1903]
BTL_STRID_SET_Receiver_E	[~ 1904]
BTL_STRID_SET_Receiver_T	[~ 1905]
BTL_STRID_SET_ZettaiNemuri	[~ 1906]
BTL_STRID_SET_ZettaiNemuri_Y	[~ 1907]
BTL_STRID_SET_ZettaiNemuri_E	[~ 1908]
BTL_STRID_SET_ZettaiNemuri_T	[~ 1909]
BTL_STRID_SET_Bakenokawa	[~ 1910]
BTL_STRID_SET_Bakenokawa_Y	[~ 1911]
BTL_STRID_SET_Bakenokawa_E	[~ 1912]
BTL_STRID_SET_Bakenokawa_T	[~ 1913]
BTL_STRID_SET_Kizunahenge	[~ 1914]
BTL_STRID_SET_Kizunahenge_Y	[~ 1915]
BTL_STRID_SET_Kizunahenge_E	[~ 1916]
BTL_STRID_SET_Kizunahenge_T	[~ 1917]
BTL_STRID_SET_Kizunahenge2	[~ 1918]
BTL_STRID_SET_Kizunahenge2_Y	[~ 1919]
BTL_STRID_SET_Kizunahenge2_E	[~ 1920]
BTL_STRID_SET_Kizunahenge2_T	[~ 1921]
BTL_STRID_SET_SwarmChange	[~ 1922]
BTL_STRID_SET_SwarmChange_Y	[~ 1923]
BTL_STRID_SET_SwarmChange_E	[~ 1924]
BTL_STRID_SET_SwarmChange_T	[~ 1925]
BTL_STRID_SET_protectpierce	[~ 1926]
BTL_STRID_SET_protectpierce_Y	[~ 1927]
BTL_STRID_SET_protectpierce_E	[~ 1928]
BTL_STRID_SET_protectpierce_T	[~ 1929]
BTL_STRID_SET_BougoPat	[~ 1930]
BTL_STRID_SET_BougoPat_Y	[~ 1931]
BTL_STRID_SET_BougoPat_E	[~ 1932]
BTL_STRID_SET_BougoPat_T	[~ 1933]
BTL_STRID_SET_ShadowSteal	[~ 1934]
BTL_STRID_SET_ShadowSteal_Y	[~ 1935]
BTL_STRID_SET_ShadowSteal_E	[~ 1936]
BTL_STRID_SET_ShadowSteal_T	[~ 1937]
BTL_STRID_SET_dummy_08	[~ 1938]
BTL_STRID_SET_dummy_Y_08	[~ 1939]
BTL_STRID_SET_dummy_E_08	[~ 1940]
BTL_STRID_SET_dummy_N_08	[~ 1941]
BTL_STRID_SET_dummy_09	[~ 1942]
BTL_STRID_SET_dummy_Y_09	[~ 1943]
BTL_STRID_SET_dummy_E_09	[~ 1944]
BTL_STRID_SET_dummy_N_09	[~ 1945]
BTL_STRID_SET_dummy_10	[~ 1946]
BTL_STRID_SET_dummy_Y_10	[~ 1947]
BTL_STRID_SET_dummy_E_10	[~ 1948]
BTL_STRID_SET_dummy_N_10	[~ 1949]
BTL_STRID_SET_UltraBurstStart	[~ 1950]
BTL_STRID_SET_UltraBurstStart_Y	[~ 1951]
BTL_STRID_SET_UltraBurstStart_E	[~ 1952]
BTL_STRID_SET_UltraBurstStart_T	[~ 1953]
BTL_STRID_SET_UltraBurst	[~ 1954]
BTL_STRID_SET_UltraBurst_Y	[~ 1955]
BTL_STRID_SET_UltraBurst_E	[~ 1956]
BTL_STRID_SET_UltraBurst_T	[~ 1957]
BTL_STRID_SET_Haisuinozin	[~ 1958]
BTL_STRID_SET_Haisuinozin_Y	[~ 1959]
BTL_STRID_SET_Haisuinozin_E	[~ 1960]
BTL_STRID_SET_Haisuinozin_T	[~ 1961]
BTL_STRID_SET_TarShot	[~ 1962]
BTL_STRID_SET_TarShot_Y	[~ 1963]
BTL_STRID_SET_TarShot_E	[~ 1964]
BTL_STRID_SET_TarShot_T	[~ 1965]
BTL_STRID_SET_WazaFail_TargetIsG	[~ 1966]
BTL_STRID_SET_WazaFail_TargetIsG_Y	[~ 1967]
BTL_STRID_SET_WazaFail_TargetIsG_E	[~ 1968]
BTL_STRID_SET_WazaFail_TargetIsG_T	[~ 1969]
BTL_STRID_SET_CourtChange	[~ 1970]
BTL_STRID_SET_CourtChange_Y	[~ 1971]
BTL_STRID_SET_CourtChange_E	[~ 1972]
BTL_STRID_SET_CourtChange_T	[~ 1973]
BTL_STRID_SET_Torabasami	[~ 1974]
BTL_STRID_SET_Torabasami_Y	[~ 1975]
BTL_STRID_SET_Torabasami_E	[~ 1976]
BTL_STRID_SET_Torabasami_T	[~ 1977]
BTL_STRID_SET_Takogatame	[~ 1978]
BTL_STRID_SET_Takogatame_Y	[~ 1979]
BTL_STRID_SET_Takogatame_E	[~ 1980]
BTL_STRID_SET_Takogatame_T	[~ 1981]
BTL_STRID_SET_StealthRockDamage_Hagane	[~ 1982]
BTL_STRID_SET_StealthRockDamage_Hagane_Y	[~ 1983]
BTL_STRID_SET_StealthRockDamage_Hagane_E	[~ 1984]
BTL_STRID_SET_StealthRockDamage_Hagane_T	[~ 1985]
BTL_STRID_SET_GShockWave_SideEffect_Honoo_Damage	[~ 1986]
BTL_STRID_SET_GShockWave_SideEffect_Honoo_Damage_Y	[~ 1987]
BTL_STRID_SET_GShockWave_SideEffect_Honoo_Damage_E	[~ 1988]
BTL_STRID_SET_GShockWave_SideEffect_Honoo_Damage_T	[~ 1989]
BTL_STRID_SET_GShockWave_SideEffect_Iwa_Damage	[~ 1990]
BTL_STRID_SET_GShockWave_SideEffect_Iwa_Damage_Y	[~ 1991]
BTL_STRID_SET_GShockWave_SideEffect_Iwa_Damage_E	[~ 1992]
BTL_STRID_SET_GShockWave_SideEffect_Iwa_Damage_T	[~ 1993]
BTL_STRID_SET_DassyutuPack	[~ 1994]
BTL_STRID_SET_DassyutuPack_Y	[~ 1995]
BTL_STRID_SET_DassyutuPack_E	[~ 1996]
BTL_STRID_SET_DassyutuPack_T	[~ 1997]
BTL_STRID_SET_Libero	[~ 1998]
BTL_STRID_SET_Libero_Y	[~ 1999]
BTL_STRID_SET_Libero_E	[~ 2000]
BTL_STRID_SET_Libero_T	[~ 2001]
BTL_STRID_SET_Gitai	[~ 2002]
BTL_STRID_SET_Gitai_Y	[~ 2003]
BTL_STRID_SET_Gitai_E	[~ 2004]
BTL_STRID_SET_Gitai_T	[~ 2005]
BTL_STRID_SET_GShockWave_PP_Reduce	[~ 2006]
BTL_STRID_SET_GShockWave_PP_Reduce_Y	[~ 2007]
BTL_STRID_SET_GShockWave_PP_Reduce_E	[~ 2008]
BTL_STRID_SET_GShockWave_PP_Reduce_T	[~ 2009]
BTL_STRID_SET_Hikizuriorosu	[~ 2010]
BTL_STRID_SET_Hikizuriorosu_Y	[~ 2011]
BTL_STRID_SET_Hikizuriorosu_E	[~ 2012]
BTL_STRID_SET_Hikizuriorosu_T	[~ 2013]
BTL_STRID_SET_Meteoburasuta	[~ 2014]
BTL_STRID_SET_Meteoburasuta_Y	[~ 2015]
BTL_STRID_SET_Meteoburasuta_E	[~ 2016]
BTL_STRID_SET_Meteoburasuta_T	[~ 2017]
BTL_STRID_SET_Porutagaisuto	[~ 2018]
BTL_STRID_SET_Porutagaisuto_Y	[~ 2019]
BTL_STRID_SET_Porutagaisuto_E	[~ 2020]
BTL_STRID_SET_Porutagaisuto_T	[~ 2021]
BTL_STRID_SET_Fushokugasu	[~ 2022]
BTL_STRID_SET_Fushokugasu_2Y	[~ 2023]
BTL_STRID_SET_Fushokugasu_2E	[~ 2024]
BTL_STRID_SET_Fushokugasu_2T	[~ 2025]
BTL_STRID_SET_Fushokugasu_Y	[~ 2026]
BTL_STRID_SET_Fushokugasu_Y2Y	[~ 2027]
BTL_STRID_SET_Fushokugasu_E	[~ 2028]
BTL_STRID_SET_Fushokugasu_E2E	[~ 2029]
BTL_STRID_SET_Fushokugasu_T	[~ 2030]
BTL_STRID_SET_Fushokugasu_T2T	[~ 2031]
BTL_STRID_SET_Ganguruhiru	[~ 2032]
BTL_STRID_SET_Ganguruhiru_Y	[~ 2033]
BTL_STRID_SET_Ganguruhiru_E	[~ 2034]
BTL_STRID_SET_Ganguruhiru_T	[~ 2035]
BTL_STRID_SET_GShockWave_SideEffect_Kusa_Damage	[~ 2036]
BTL_STRID_SET_GShockWave_SideEffect_Kusa_Damage_Y	[~ 2037]
BTL_STRID_SET_GShockWave_SideEffect_Kusa_Damage_E	[~ 2038]
BTL_STRID_SET_GShockWave_SideEffect_Kusa_Damage_T	[~ 2039]
BTL_STRID_SET_GShockWave_SideEffect_Mizu_Damage	[~ 2040]
BTL_STRID_SET_GShockWave_SideEffect_Mizu_Damage_Y	[~ 2041]
BTL_STRID_SET_GShockWave_SideEffect_Mizu_Damage_E	[~ 2042]
BTL_STRID_SET_GShockWave_SideEffect_Mizu_Damage_T	[~ 2043]
BTL_STRID_SET_QuickDraw	[~ 2044]
BTL_STRID_SET_QuickDraw_Y	[~ 2045]
BTL_STRID_SET_QuickDraw_E	[~ 2046]
BTL_STRID_SET_QuickDraw_T	[~ 2047]
BTL_STRID_SET_Fushokugasu_T_00	[~ 2048]
BTL_STRID_SET_Fushokugasu_T_01	[~ 2049]
BTL_STRID_SET_Fushokugasu_T_02	[~ 2050]
BTL_STRID_SET_Fushokugasu_T_03	[~ 2051]
BTL_STRID_SET_Sandapurizun_Start	[~ 2052]
BTL_STRID_SET_Sandapurizun_Start_2Y	[~ 2053]
BTL_STRID_SET_Sandapurizun_Start_2E	[~ 2054]
BTL_STRID_SET_Sandapurizun_Start_2T	[~ 2055]
BTL_STRID_SET_Sandapurizun_Start_Y	[~ 2056]
BTL_STRID_SET_Sandapurizun_Start_Y2Y	[~ 2057]
BTL_STRID_SET_Sandapurizun_Start_E	[~ 2058]
BTL_STRID_SET_Sandapurizun_Start_E2E	[~ 2059]
BTL_STRID_SET_Sandapurizun_Start_T	[~ 2060]
BTL_STRID_SET_Sandapurizun_Start_T2T	[~ 2061]
BTL_STRID_SET_Zinbaittai	[~ 2062]
BTL_STRID_SET_Zinbaittai_Y	[~ 2063]
BTL_STRID_SET_Zinbaittai_E	[~ 2064]
BTL_STRID_SET_Zinbaittai_T	[~ 2065]
BTL_STRID_SET_NemukeGet	[~ 2066]
BTL_STRID_SET_NemukeGet_Y	[~ 2067]
BTL_STRID_SET_NemukeGet_E	[~ 2068]
BTL_STRID_SET_NemukeGet_T	[~ 2069]
BTL_STRID_SET_NemukeAct	[~ 2070]
BTL_STRID_SET_NemukeAct_Y	[~ 2071]
BTL_STRID_SET_NemukeAct_E	[~ 2072]
BTL_STRID_SET_NemukeAct_T	[~ 2073]
BTL_STRID_SET_NemukeWake	[VAR 0102(0000)] fought off its drowsiness!
BTL_STRID_SET_NemukeWake_Y	The wild [VAR 0102(0000)] fought off its drowsiness!
BTL_STRID_SET_NemukeWake_E	The opposing [VAR 0102(0000)] fought off its drowsiness!
BTL_STRID_SET_NemukeWake_T	[VAR BD06(0000)][VAR 0100(000A)]’s [VAR 0102(0000)] fought off\nits drowsiness!
BTL_STRID_SET_NemukeAlready	[VAR 0102(0000)] is already drowsy.
BTL_STRID_SET_NemukeAlready_Y	The wild [VAR 0102(0000)] is already drowsy.
BTL_STRID_SET_NemukeAlready_E	The opposing [VAR 0102(0000)] is already drowsy.
BTL_STRID_SET_NemukeAlready_T	[VAR 0100(000A)]’s [VAR 0102(0000)] is already drowsy.
BTL_STRID_SET_NemukeNoEffect	[VAR 0102(0000)] stays wide awake!
BTL_STRID_SET_NemukeNoEffect_Y	The wild [VAR 0102(0000)] stays wide awake!
BTL_STRID_SET_NemukeNoEffect_E	The opposing [VAR 0102(0000)] stays wide awake!
BTL_STRID_SET_NemukeNoEffect_T	[VAR 0100(000A)]’s [VAR 0102(0000)] stays wide awake!
BTL_STRID_SET_SimoyakeGet	[~ 2086]
BTL_STRID_SET_SimoyakeGet_Y	[~ 2087]
BTL_STRID_SET_SimoyakeGet_E	[~ 2088]
BTL_STRID_SET_SimoyakeGet_T	[~ 2089]
BTL_STRID_SET_SimoyakeDamage	[~ 2090]
BTL_STRID_SET_SimoyakeDamage_Y	[~ 2091]
BTL_STRID_SET_SimoyakeDamage_E	[~ 2092]
BTL_STRID_SET_SimoyakeDamage_T	[~ 2093]
BTL_STRID_SET_SimoyakeCure	[VAR 0102(0000)]’s frostbite was healed!
BTL_STRID_SET_SimoyakeCure_Y	The wild [VAR 0102(0000)]’s frostbite was healed!
BTL_STRID_SET_SimoyakeCure_E	The opposing [VAR 0102(0000)]’s frostbite was healed!
BTL_STRID_SET_SimoyakeCure_T	[VAR BD06(0000)][VAR 0100(000A)]’s [VAR 0102(0000)] was healed\nof its frostbite!
BTL_STRID_SET_SimoyakeAlready	[VAR 0102(0000)] already has frostbite.
BTL_STRID_SET_SimoyakeAlready_Y	The wild [VAR 0102(0000)] already has frostbite.
