amulet.dat
msg_amulet_001	我正在向守護祝慶村的\n御護石表達感謝。[VAR 0114(005D)]
msg_ev020001_talk_03	小卡比獸也辛苦了。[VAR 0114(000F)]
msg_ev020001_talk_12	來，我來幫對戰後的\n寶可夢們恢復活力。[VAR 0114(000F)]
msg_ev020001_talk_13	我給[VAR 1100(00FF,0101)]你妳一些好東西吧。\c\n你們會從材料製作些有的沒的東西不是嗎？\n叫工藝製作來著的？[VAR 0114(000F)]
msg_ev020001_talk_04	[VAR 1100(00FF,0101)]你妳和寶可夢默契十足地\n戰鬥的樣子很棒！\c\n簡直就像是英雄！在我小時候聽的\n故事裡登場的傳說的英雄！[VAR 0114(000F)]
msg_ev020001_talk_05	我決定了！\n這個委託就交給[VAR 1100(00FF,0101)]你妳。\c\n委託的內容是\n打倒大鬧角鹿高崗的頭目！[VAR 0114(000F)]
msg_ev020001_talk_06	所謂的頭目，簡單說就是\n大得不得了的寶可夢。\c\n[VAR 1100(00FF,0101)]你妳會來角鹿高崗，對吧？[VAR 0114(000F)]
msg_ev020001_sys_01	阿爾宙斯手機\n出現了反應……
msg_ev020001_talk_07	[VAR 1100(00FF,0101)]你妳那個怪東西，\n是會顯示目的地嗎？[VAR 0114(0006)]
msg_ev020001_talk_07_m	[VAR 1100(00FF,0101)]你妳的那個……\n會告訴[VAR 1100(00FF,0101)]你妳該去哪裡呢。[VAR 0114(0007)]
msg_ev020001_talk_08	[VAR 1100(00FF,0101)]你妳的地圖還真別緻！\n這就是銀河隊的技術嗎？[VAR 0114(000F)]
msg_ev020001_talk_09	角鹿高崗的確是在那個方向，\n[VAR 1100(00FF,0101)]你妳的地圖沒錯。[VAR 0114(000F)]
msg_ev020001_talk_10	那麼就交給[VAR 1100(00FF,0101)]你妳了！\n我相信是[VAR 1100(00FF,0101)]你妳的話，頭目也沒啥好怕的！[VAR 0114(0006)]
msg_ev020001_talk_10_m	那麼，就拜託[VAR 1100(00FF,0101)]你妳了。[VAR 0114(0007)]
msg_ev020001_talk_11	[VAR 1100(00FF,0101)]你妳這個調查組的新面孔\n真是不得了！[VAR 0114(000F)]
msg_chap02_null_15	[~ 16]
msg_ev019000_talk_01	我們去見阿米吧。[VAR 0114(0006)]
msg_ev019000_talk_02	就像博士說的，\n阿米是金剛隊的人。[VAR 0114(0006)]
msg_ev019000_talk_03	據說金剛隊是借助寶可夢的力量\n在洗翠地區生活。[VAR 0114(0006)]
msg_ev019000_talk_04	這次的委託，\n[VAR 0100(0000)]一定沒問題的。\r\n那我在大志坡的盡頭等[VAR 1100(00FF,0101)]你妳喔。[VAR 0114(0006)]
msg_ev019000_talk_01_m	早安。\n今天我們也要去執行任務呢。[VAR 0114(0007)]
msg_ev019000_talk_02_m	阿米是金剛隊的人。\c\n金剛隊的人們借助著寶可夢的力量\n在洗翠地區生活。[VAR 0114(0007)]
msg_ev019000_talk_03_m	這次的委託恐怕不簡單，\n但我相信[VAR 0100(0000)]一定沒問題的。\r\n那麼我在大志坡的盡頭等[VAR 1100(00FF,0101)]你妳喔。[VAR 0114(0007)]
msg_chap02_null_09	[~ 24]
msg_ev019000_talk_05	我們要去原野基地\n找阿米了解情況，不是嗎？\r\n不知道為什麼博士也去那裡了……[VAR 0114(0006)]
msg_ev019000_talk_04_m	阿米的話，應該正在\n原野基地那裡等我們。\r\n不知道為什麼博士也到那裡去了……[VAR 0114(0007)]
msg_chap02_null_11	[~ 27]
msg_ev020100_talk_02	話說回來，[VAR 1100(00FF,0101)]你妳知道\n什麼是神奧大尊嗎？[VAR 0114(000F)]
msg_ev020100_list_01	當然！
msg_ev020100_list_02	這個嘛……
msg_ev020100_talk_03	[VAR 1100(00FF,0101)]你妳真是了不起。\c\n但就怕[VAR 1100(00FF,0101)]你妳聽到的內容不可靠，\n所以我還是簡單說明一下吧。[VAR 0114(000F)]
msg_ev020100_talk_04	真拿[VAR 1100(00FF,0101)]你妳沒辦法。\n讓我來簡單地說明一下。[VAR 0114(000F)]
msg_ev020100_talk_05	人們認為神奧大尊操控時間\n創造了宇宙。\c\n因此才有洗翠這片大地誕生，\n寶可夢們也得以在這裡生活。[VAR 0114(000F)]
msg_ev020100_talk_06	神奧大尊是如此地偉大，\n因此有一群崇敬神奧大尊的人\r\n就跨越大海聚集並定居在洗翠地區。\c\n而這群人正是金剛隊。[VAR 0114(000F)]
msg_ev020100_talk_07	不過……據說神奧大尊\n在很久很久以前便隱身，\r\n幾乎不會出現。[VAR 0114(000F)]
msg_ev020100_talk_08	但直到今日，與神奧大尊有淵源\n的寶可夢仍舊存在。\c\n而負責照顧這些寶可夢的\n正是我們場長。[VAR 0114(000F)]
msg_ev020100_talk_09	出現在角鹿高崗的寶可夢，\n也繼承著受到神奧大尊庇佑的\r\n寶可夢的血統呢！[VAR 0114(000F)]
msg_ev020100_talk_10	好，我們走吧。[VAR 0114(000F)]
msg_chap02_null_46	[~ 39]
msg_ev022000_talk_01	哎呀哎呀……\n他是你們那裡的博士對吧？[VAR 0114(000F)]
msg_ev022000_talk_11	呼……\n看來我趕上了。[VAR 0114(0005)]
msg_ev022000_talk_12	身為寶可夢的研究者，\n不論如何我都想來觀察頭目。[VAR 0114(0005)]
msg_ev022000_talk_02	那是你的工作嘛。\n只要不會打擾到我們，沒什麼不行的。[VAR 0114(000F)]
msg_ev022000_talk_03	角鹿高崗……\c\n一直以來這裡是我們向\n與神奧大尊有淵源的寶可夢的子孫\r\n獻上貢品的地方。[VAR 0114(000F)]
msg_ev022000_talk_04	叮～～～嗡！！
msg_ev022000_talk_05	……不是那傢伙喔。\c\n那是隻麻煩的寶可夢，\n總愛來搗亂呢。[VAR 0114(000F)]
msg_ev022000_talk_06	[VAR 0100(0000)]，\n拜託[VAR 1100(00FF,0101)]你妳去擊退那傢伙吧！\r\n我會幫[VAR 1100(00FF,0101)]你妳的寶可夢恢復活力的。[VAR 0114(000F)]
msg_ev022000_talk_07	那隻寶可夢……\n好大！\c\n原來如此！牠就是被稱為頭目，\n並且讓人畏懼的寶可夢啊！[VAR 0114(0005)]
msg_ev022000_talk_08	沒錯！所謂的頭目\n指的就是又大又強的寶可夢！\c\n而且牠們還會特別的招式，\n沒有什麼比牠們更棘手了！[VAR 0114(000F)]
msg_ev022000_talk_09	讓牠從骨子裡嚐嚐[VAR 1100(00FF,0101)]你妳的厲害吧！[VAR 0114(000F)]
msg_ev022000_talk_10	[VAR 0100(0000)]！\n龐大的身軀本身就是一種武器！\r\n想必牠擁有不俗的攻擊力和體力。\c\n如果要和牠對戰，我建議[VAR 1100(00FF,0101)]你妳先做好準備。\n例如確認[VAR 1100(00FF,0101)]你妳帶在身邊的寶可夢，\r\n並且讓牠們學會強力的招式之類的。[VAR 0114(0005)]
msg_chap02_null_38	[~ 52]
msg_ev022200_talk_01	叮～～～嗡！！
msg_chap02_null_37	[~ 54]
msg_ev022210_talk_02	[VAR 1100(00FF,0101)]你妳真是了不起。\n竟然能打倒頭目，\r\n簡直就像傳說的英雄一樣！[VAR 0114(000F)]
msg_ev022210_talk_13	我得幫[VAR 1100(00FF,0101)]你妳的寶可夢\n恢復活力才行。[VAR 0114(000F)]
msg_ev022210_talk_03	啾～～嗯！！
msg_ev022210_talk_04	What……發生了什麼事！？[VAR 0114(0005)]
msg_ev022210_talk_05	尊貴的詭角鹿！！[VAR 0114(000F)]
msg_ev022210_talk_06	………………\n………………
msg_ev022210_talk_07	您注視著[VAR 0100(0000)]的眼神\n是如此地溫柔……謝謝您。[VAR 0114(000F)]
msg_ev022210_talk_08	真是太好了呢。\n看來詭角鹿牠也很中意[VAR 1100(00FF,0101)]你妳。\c\n[VAR 1100(00FF,0101)]你妳知道嗎？詭角鹿會載著人\n奔馳在洗翠的大地上，\r\n是非常可貴的寶可夢。[VAR 0114(000F)]
msg_ev022210_talk_09	太厲害了！太厲害了，詭角鹿！\n會讓人騎乘的寶可夢……\r\n簡直就像阿羅拉的坐騎寶可夢一樣呢！[VAR 0114(0005)]
msg_ev022210_talk_10	拉苯博士，你沒受傷吧？[VAR 0114(0006)]
msg_ev022210_talk_11	星月組長交代我了。\c\n她說要是[VAR 0100(0000)]完成了委託，\n應該就可以搭建基地營了。[VAR 0114(0006)]
msg_ev022210_talk_10_m	拉苯博士！\n[VAR 0100(0000)]！[VAR 0114(0007)]
msg_ev022210_talk_11_m	是星月組長交代我來的。\c\n她說如果[VAR 0100(0000)]完成了委託，\n應該就可以搭建基地營了。[VAR 0114(0007)]
msg_ev022210_talk_16	這是剛石和隊長之間決定的事。\n不過，就這樣增加基地營，\r\n真的沒問題嗎？[VAR 0114(0005)]
msg_ev022210_talk_17	神奧大尊創造的洗翠地區，\n是屬於寶可夢的大地。\c\n如果你們要和寶可夢共同生存的話，\n使用土地也沒問題的。[VAR 0114(000F)]
msg_ev022210_talk_18	而且詭角鹿似乎也\n很中意[VAR 0100(0000)]。[VAR 0114(000F)]
msg_ev022210_talk_12	謝謝啦！我會把[VAR 1100(00FF,0101)]你妳的精彩表現\n告訴金剛隊的首領的。\r\n下次我再去向[VAR 1100(00FF,0101)]你妳正式道謝。[VAR 0114(000F)]
msg_ev022210_talk_14	和寶可夢共存共榮啊……\n為此，我們需要去了解寶可夢。\r\n所以更是要完成圖鑑才行了。[VAR 0114(0006)]
msg_ev022210_talk_15	建築組就快抵達了。\n這麼一來就可以搭建基地營了。[VAR 0114(0006)]
msg_ev022210_talk_14_m	和寶可夢共存共榮……\n為了達成這個目標，我們要更理解寶可夢，\r\n不再畏懼牠們，去完成圖鑑才行！[VAR 0114(0007)]
msg_ev022210_talk_15_m	等建築組抵達之後，\n就可以搭建基地營了呢。[VAR 0114(0007)]
msg_chap02_null_47	[~ 76]
msg_ev022220_talk_01	在角鹿高崗的基地營，\n那就命名叫高崗基地吧。[VAR 0114(0005)]
msg_ev022220_talk_02	在出祝慶村的時候，\n只要選擇高崗基地作為目的地，\r\n就能從這裡開始調查囉。[VAR 0114(0005)]
msg_ev022220_talk_03	據點變多的話，\n調查也會變得比較容易。[VAR 0114(0006)]
msg_ev022220_talk_04	那麼，我們就像平常一樣，\n到芋滿亭集合吧。[VAR 0114(0006)]
msg_ev022220_talk_03_m	據點增加的話，\n調查也會變得比較容易呢。[VAR 0114(0007)]
msg_ev022220_talk_04_m	辛苦大家了。\n那我們到芋滿亭去吧。[VAR 0114(0007)]
msg_chap02_null_12	[~ 83]
msg_ev022400_talk_01	石月，老樣子給我來芋餅吧！\n今天也要３人份喔，please！[VAR 0114(0005)]
msg_ev022400_talk_02	你們聽說了嗎？今天一早到現在，\n大家都在討論著有隻狂暴的劈斧螳螂……\c\n去確認狀況的隊員還被牠襲擊，\n連醫療組都手忙腳亂的呢。[VAR 0114(000E)]
msg_ev022400_talk_03	聽說有隻劈斧螳螂\n被暴雷給打中後就變得很怪……\r\n你說的就是牠吧？[VAR 0114(0005)]
msg_ev022400_talk_04	萬一發生了什麼事，\n調查組會負責調查的。\c\n雖然去調查未知的寶可夢\n一定會伴隨著危險，\r\n但調查組裡有[VAR 0100(0000)]在！[VAR 0114(0005)]
msg_ev022400_talk_05	不過，據說劈斧螳螂可是遠比\n頭目還來得強大的寶可夢耶。[VAR 0114(0006)]
msg_ev022400_talk_05_m	不過，劈斧螳螂的強大，\n是頭目完全不能相比的。[VAR 0114(0007)]
msg_ev022400_talk_06	包括牠究竟有多強大在內，\n我們的職責就是要去調查！\c\n而調查時重要的就是\n清晰的頭腦以及強韌的體魄。\r\n因此，睡眠也十分重要。[VAR 0114(0005)]
msg_chap02_null_13	[~ 91]
msg_ev022410_talk_01	[VAR 0100(0000)]，[VAR 1100(00FF,0101)]你妳起來了嗎～？[VAR 0114(0006)]
msg_ev022410_talk_02	老大他！！\c\n馬加木隊長他\n要[VAR 1100(00FF,0101)]你妳立刻到隊長室！！[VAR 0114(0006)]
msg_ev022410_talk_01_m	早安，\n[VAR 0100(0000)]。[VAR 0114(0007)]
msg_ev022410_talk_02_m	在[VAR 1100(00FF,0101)]你妳被馬加木隊長扔飛之前，\n最好趕快到隊長室喔。[VAR 0114(0007)]
msg_chap02_null_33	[~ 96]
msg_ev025000_talk_01	[VAR 1100(00FF,0101)]你妳有睡好嗎？[VAR 0114(0006)]
msg_ev025000_talk_01_m	那我們趕快到總部去吧。[VAR 0114(0007)]
msg_ev025000_talk_02	喲！妳總算領悟了嗎？\n崇敬虛假的神奧大尊只是在白費時間罷了。[VAR 0114(000A)]
msg_ev025000_talk_03	什麼掌管宇宙時間的神奧大尊！\c\n我們那創造了宇宙與空間的\n神奧大尊才是本尊！[VAR 0114(000B)]
msg_ev025000_talk_04	哼！就算擁有無限的空間，\n你們也不懂得怎麼運用啊！[VAR 0114(000A)]
msg_ev025000_talk_05	哎呀？聽你這口氣，\n意思是說你們就很有效率地\r\n在運用時間是吧！[VAR 0114(000B)]
msg_ev025000_talk_06	哈！想不到妳還能準時到……\n珍珠隊還挺令人佩服的嘛！\c\n我還以為妳會被那大得莫名其妙的空間給\n耍得團團轉，迷路到天邊去了咧。[VAR 0114(000A)]
msg_ev025000_talk_07	啥？空間是神奧大尊\n賜給我們珍珠隊的寶物，\r\n也就是世界的根基！我不可能會迷路！[VAR 0114(000B)]
msg_ev025000_talk_08	算了！和妳吵這種無聊的架，\n才真的是浪費時間！\c\n神奧大尊可是會動怒的。\n走，去見馬加木大哥！[VAR 0114(000A)]
msg_ev025000_talk_09	啥？先挑釁的人是你吧……！[VAR 0114(000B)]
msg_ev025000_talk_10	還是老樣子啊……[VAR 0114(0006)]
msg_ev025000_talk_11	剛剛的那兩個人……\n男的是十分珍惜時間的\r\n金剛隊的首領，剛石。[VAR 0114(0006)]
msg_ev025000_talk_12	少女則是將空間視為世界根基的\n珍珠隊的首領，叫做珠貝。[VAR 0114(0006)]
msg_ev025000_talk_13	那兩個人只要一碰頭，\n就會像那樣吵個沒完沒了。\c\n畢竟聽說他們的上一代\n也是死對頭啊。[VAR 0114(0006)]
msg_ev025000_talk_14	總之，[VAR 0100(0000)]。\c\n隊長在找[VAR 1100(00FF,0101)]你妳。\n[VAR 1100(00FF,0101)]你妳還是趕快到隊長室吧。[VAR 0114(0006)]
msg_ev025000_talk_10_m	他們一出現，\n周圍的氣氛就會大轉變呢……[VAR 0114(0007)]
msg_ev025000_talk_11_m	剛剛的那兩個人……\n非常重視空間的女性是\r\n珍珠隊的首領，珠貝。[VAR 0114(0007)]
msg_ev025000_talk_12_m	一直說著時間、時間的男性\n則是金剛隊的首領，剛石。[VAR 0114(0007)]
msg_ev025000_talk_13_m	雖然金剛隊和珍珠隊\n現在終於彼此井水不犯河水，\r\n但聽說以前曾是紛爭不斷。[VAR 0114(0007)]
msg_ev025000_talk_14_m	比起這個，老大他……\c\n馬加木隊長在找[VAR 1100(00FF,0101)]你妳。\n我想[VAR 1100(00FF,0101)]你妳還是趕快到隊長室去比較好。[VAR 0114(0007)]
msg_chap02_null_14	[~ 117]
msg_ev025200_talk_01	馬加木大哥，\n到底要拿劈斧螳螂怎麼辦啊！？\c\n雖說牠的祖先是侍奉神奧大尊，\n為神奧大尊而戰的寶可夢，\r\n但現在牠大鬧到難以容忍啊。[VAR 0114(000A)]
msg_ev025200_talk_02	剛石啊……\n你還真是唐突呢。[VAR 0114(0009)]
msg_ev025200_talk_03	時間寶貴，\n可不能浪費。[VAR 0114(000A)]
msg_ev025200_talk_04	那麼，你是要我對珍珠隊\n重要的王採取什麼行動嗎？[VAR 0114(0009)]
msg_ev025200_talk_05	誰叫牠是珍珠隊的王，\n我們金剛隊可沒辦法出手啊。\c\n要是出了手，\n就會又像上一代那樣起衝突的。[VAR 0114(000A)]
msg_ev025200_talk_06	但是啊，馬加木大哥這裡\n也有人受傷了不是嗎？\r\n就這樣放任牠，真的好嗎？[VAR 0114(000A)]
msg_ev025200_talk_07	既然牠是珍珠隊崇敬的王，\n就該由我們珍珠隊自己來擊倒……\r\n金剛隊，你言下之意就是這意思吧？[VAR 0114(000B)]
msg_ev025200_talk_08	啊？我心裡是那麼想啊。\n但我可沒說出口。[VAR 0114(000A)]
msg_ev025200_talk_09	那還不是一樣！笨蛋！\c\n話說回來，身為王的劈斧螳螂\n為什麼會狂暴地大鬧都還是個謎啊。[VAR 0114(000B)]
msg_ev025200_talk_10	這我也很好奇。\n畢竟在金剛隊的歷史上也是頭一遭。[VAR 0114(000A)]
msg_ev025200_talk_11	唔嗯～[VAR 1100(00FF,0101)]你妳來了啊。[VAR 0114(0009)]
msg_ev025200_talk_12	這是[VAR 0100(0000)]。\n[VAR 1100(00FF,0101)]他她剛加入調查組。[VAR 0114(0009)]
msg_ev025200_talk_13	這個名字……！阿米告訴我囉。\n聽說詭角鹿很中意[VAR 1100(00FF,0101)]你妳呢！[VAR 0114(000A)]
msg_ev025200_talk_14	原來如此！[VAR 1100(00FF,0101)]你妳就是那個\n從時空裂縫掉下來的厲害傢伙啊！[VAR 0114(000A)]
msg_ev025200_talk_34	我叫剛石！\n金剛隊隊主，剛石！\c\n……首領這個稱呼太老氣了，\n[VAR 1100(00FF,0101)]你妳可別那樣叫我啊。[VAR 0114(000A)]
msg_ev025200_talk_15	時空裂縫的另一側……\n也就是神奧大尊可能存在的地方。\r\n難道[VAR 1100(00FF,0101)]你妳來自那個空間嗎？[VAR 0114(000B)]
msg_ev025200_talk_35	我叫珠貝！我率領珍珠隊，\n是深謀遠慮的首領。\c\n[VAR 1100(00FF,0101)]你妳真的穿過了裂縫嗎？\n這實在讓人難以置信……[VAR 0114(000B)]
msg_ev025200_talk_16	怎麼樣？先讓這個人去\n調查劈斧螳螂看看吧。[VAR 0114(0009)]
msg_ev025200_talk_17	讓這個從裂縫掉下來的\n可疑新人去調查劈斧螳螂？[VAR 0114(000B)]
msg_ev025200_talk_18	作為首領，妳不也是個新人嗎？[VAR 0114(000A)]
msg_ev025200_talk_19	身為首領，重要的不是上任的年數，\n而是一顆不畏懼洗翠這片廣闊大地的心！[VAR 0114(000B)]
msg_ev025200_talk_20	那樣的話，\n讓新人去不也沒差嗎？\c\n很好！馬加木大哥，\n我贊成你的提議。[VAR 0114(000A)]
msg_ev025200_talk_21	就讓我來見識見識，銀河隊\n用球捕捉寶可夢的本事吧。[VAR 0114(000A)]
msg_ev025200_talk_22	我就是看不慣那些事情……！\c\n神奧大尊創造了洗翠這片大地\n是為了要讓寶可夢棲息。\c\n我們人類是寶可夢的朋友，\n與牠們並不需要什麼上下關係。[VAR 0114(000B)]
msg_ev025200_talk_23	銀河隊之所以使用球，\n並非為了支配，而是為了共存。\r\n總之，這件事先交給我們吧。[VAR 0114(0009)]
msg_ev025200_talk_24	[VAR 0100(0000)]啊，任務來了。\n去調查劈斧螳螂！[VAR 0114(0009)]
msg_ev025200_talk_25	遵命
msg_ev025200_talk_26	這個嘛……
msg_ev025200_talk_27	覺得[VAR 1100(00FF,0101)]你妳這個空中掉下來的人\n很可疑的人仍不在少數。[VAR 0114(0009)]
msg_ev025200_talk_28	為了贏得信任，\n鞠躬盡瘁地貢獻[VAR 1100(00FF,0101)]你妳的能力吧。[VAR 0114(0009)]
msg_ev025200_talk_29	沒錯！\n這就是所謂的刻不容緩！[VAR 0114(000A)]
msg_ev025200_talk_30	森林王劈斧螳螂……\n牠的祖先是受到神奧大尊\r\n賜予力量的寶可夢……\r\n強大的程度可不是其他寶可夢能相比的。[VAR 0114(000B)]
msg_ev025200_talk_31	我們銀河隊，\n是後來才到洗翠地區的外來者。\c\n不可和金剛隊、珍珠隊起紛爭……\n[VAR 1100(00FF,0101)]你妳明白吧？[VAR 0114(0009)]
msg_ev025200_talk_33	為了在洗翠繼續生活下去，\n就必須去調查寶可夢。\c\n有些情況下，我們必須制伏\n與我們敵對或帶來傷害的寶可夢才行。[VAR 0114(0009)]
msg_ev025200_talk_32	[VAR 0100(0000)]，\n前來調查組室。\r\n我要說明隊長交付的任務。[VAR 0114(0008)]
msg_chap02_null_31	[~ 153]
msg_ev025400_talk_01	[VAR 0100(0000)]！[VAR 0114(0005)]
msg_ev025400_talk_02	拉苯博士，請說明。[VAR 0114(0008)]
msg_ev025400_talk_03	[VAR 0100(0000)]！\c\n[VAR 1100(00FF,0101)]你妳要去調查劈斧螳螂，\n並且了解牠變狂暴的理由對嗎？\r\n但是，劈斧螳螂非常地強大！[VAR 0114(0005)]
msg_ev025400_talk_04	之前被劈斧螳螂襲擊的警衛組，\n曾對著牠投出精靈球……[VAR 0114(0005)]
msg_ev025400_talk_05	但據說絲毫都不像是能成功捕捉。\n這似乎也不是因為牠性情凶猛的關係。[VAR 0114(0005)]
msg_ev025400_talk_06	我要確認。\c\n這個任務極為危險，\n[VAR 1100(00FF,0101)]你妳確定要接受是嗎？[VAR 0114(0008)]
msg_ev025400_list_01	當然
msg_ev025400_list_02	我想拒絕
msg_ev025400_talk_07	很好。\n我提供[VAR 1100(00FF,0101)]你妳情報。[VAR 0114(0008)]
msg_ev025400_talk_08	我會提供情報。\n去完成任務吧。[VAR 0114(0008)]
msg_ev025400_talk_09	對金剛隊與珍珠隊來說，\n被稱為王的寶可夢\r\n是神奧大尊的使者。\c\n據說他們會在王喜歡的地方……\n也就是「王場」獻上貢品，\r\n舉行表達感謝的祭典。[VAR 0114(0008)]
msg_ev025400_talk_10	那麼，只要知道獻給\n劈斧螳螂的貢品需要哪些材料，\r\n或許就能作為一種對策。[VAR 0114(0005)]
msg_ev025400_talk_11	[VAR 0100(0000)]！\n我有事找[VAR 1100(00FF,0101)]你妳。[VAR 0114(000F)]
msg_ev025400_talk_12	聽好了。時空裂縫的另一側\n或許是神奧大尊所在的世界。\c\n而金剛隊崇敬的神奧大尊，\n是掌控時間的存在……！[VAR 0114(000A)]
msg_ev025400_talk_13	[VAR 1100(00FF,0101)]你妳從時空裂縫掉了下來。\n也就是說……\r\n[VAR 1100(00FF,0101)]你妳可能超越了時間！\c\n我想拜託\n如此驚人的[VAR 1100(00FF,0101)]你妳！\c\n不只是調查劈斧螳螂，\n我拜託[VAR 1100(00FF,0101)]你妳設法去鎮撫牠吧！[VAR 0114(000A)]
msg_ev025400_talk_14	剛石，我們現在\n正好在說這件事！[VAR 0114(0005)]
msg_ev025400_talk_15	哦，你就是那位\n傳聞中的學者教授啊。\r\n下次教教我一些事吧！[VAR 0114(000A)]
msg_ev025400_talk_16	那麼，我們繼續剛剛的話題！[VAR 0114(000A)]
msg_ev025400_talk_17	森林王劈斧螳螂是\n珍珠隊崇敬的寶可夢。\c\n對珍珠隊那群人來說，\n肯定想要自己解決這個問題，\r\n也很難開口請銀河隊幫忙吧。[VAR 0114(000A)]
msg_ev025400_talk_18	此外我們金剛隊也有同樣的困擾。\c\n在遙遠的山中，金剛隊負責\n照顧的王也變得很狂暴……[VAR 0114(000A)]
msg_ev025400_talk_19	的確，金剛隊和珍珠隊之間\n有過一段紛爭的歷史。\c\n但是啊，既然我們都生活在洗翠，\n問題就得由大家來解決才行。[VAR 0114(000A)]
msg_ev025400_talk_20	不過，能和強大寶可夢\n對戰的強者可說是少之又少。\r\n[VAR 1100(00FF,0101)]你妳是我們的希望啊！[VAR 0114(000F)]
msg_ev025400_talk_21	劈斧螳螂在深幽森林的盡頭，\n也就是巨木戰場。\r\n那裡的場長名字叫做菊伊！[VAR 0114(000F)]
msg_ev025400_talk_22	他是個頭腦靈活的孩子，\n但也有些少根筋的地方。\c\n關於他最喜歡的劈斧螳螂的事，\n[VAR 1100(00FF,0101)]你妳不用問，他就會通通告訴[VAR 1100(00FF,0101)]你妳的。[VAR 0114(000F)]
msg_ev025400_talk_23	總之就拜託[VAR 1100(00FF,0101)]你妳了！\n[VAR 1100(00FF,0101)]你妳的話一定沒問題的！再見啦！[VAR 0114(000A)]
msg_ev025400_talk_24	說完想說的話就閃人……\n這就是所謂的時間寶貴嗎？[VAR 0114(0006)]
msg_ev025400_talk_24_m	說完要說的話之後就消失了呢……\n原來如此，這就是所謂的時間寶貴呀。[VAR 0114(0007)]
msg_ev025400_talk_25	剛石他們說的沒錯。\n如果要去調查劈斧螳螂，\r\n最好的方法就是去牠所在的地方。[VAR 0114(0005)]
msg_ev025400_talk_26	巨木戰場的話，\n我建議[VAR 1100(00FF,0101)]你妳從剛完成的高崗基地過去吧。\c\n還有，去放牧場選好靠得住的\n寶可夢也很重要。[VAR 0114(0006)]
msg_ev025400_talk_27	巨木戰場的話，\n我建議[VAR 1100(00FF,0101)]你妳從剛完成的高崗基地過去喔。\c\n對了！在放牧場挑選好\n要帶去的寶可夢也很重要。[VAR 0114(0007)]
msg_ev025400_talk_28	如果[VAR 1100(00FF,0101)]你妳無法行動了，\n寶可夢的調查就會停擺。\c\n我想避免這種情況發生。\n[VAR 1100(00FF,0101)]你妳也不想失去食衣住行的保障吧。[VAR 0114(0008)]
msg_chap02_null_32	[~ 185]
msg_ev025500_talk_01	撿不了材料……\n腰包立刻就滿了……\c\n我說[VAR 1100(00FF,0101)]你妳，[VAR 1100(00FF,0101)]你妳要是有這種經驗的話，\n聽聽看我的話吧。絕不會讓[VAR 1100(00FF,0101)]你妳失望的。[VAR 0114(009D)]
msg_chap02_null_35	[~ 187]
msg_ev025600_talk_01	[VAR 1100(00FF,0101)]你妳還好嗎！？[VAR 0114(000C)]
msg_ev025600_talk_02	[VAR 1100(00FF,0101)]你妳已經能靈活運用\n秘招・背襲術了嗎？[VAR 0114(000C)]
msg_ev025600_talk_03	總之，\n請收下好傷藥！\c\n調查組去調查寶可夢，\n也能讓我有更多做生意的機會。\r\n所以這正是所謂的投資未來。[VAR 0114(000C)]
msg_ev025600_talk_04	那麼，我要去調查遺跡，\n就先走一步了。[VAR 0114(000C)]
msg_chap02_null_36	[~ 192]
msg_ev025600_talk_05	[~ 193]
msg_ev025600_talk_06	[~ 194]
msg_ev025600_talk_07	[~ 195]
msg_ev025600_talk_08	[~ 196]
msg_ev025600_talk_09	[~ 197]
msg_ev025600_talk_10	[~ 198]
msg_chap02_null_16	[~ 199]
msg_ev025800_talk_25	讓強大的頭目安分下來的[VAR 1100(00FF,0101)]你妳，\n我可是很肯定[VAR 1100(00FF,0101)]你妳的實力喔。[VAR 0114(000A)]
msg_ev025800_talk_26	用[VAR 1100(00FF,0101)]你妳那個不可思議的地圖，\n找不到巨木戰場在哪裡嗎？[VAR 0114(000F)]
msg_chap02_null_17	[~ 202]
msg_ev026000_talk_01	我是珍珠隊的菊伊，\n是負責照顧劈斧螳螂的場長。[VAR 0114(0010)]
msg_ev026000_talk_02	我說[VAR 1100(00FF,0101)]你妳！[VAR 1100(00FF,0101)]你妳是專程\n來見劈斧螳螂的吧！[VAR 0114(0010)]
msg_ev026000_talk_03	我明白，我都～明白。\c\n因為又強又帥的劈斧螳螂，\n變得更強、更帥氣了嘛！[VAR 0114(0010)]
msg_ev026000_talk_04	但是我不能讓[VAR 1100(00FF,0101)]你妳見牠！\n因為現在的劈斧螳螂實在太強大了。\c\n先前的雷電恐怕是神奧大尊的力量。\n牠被擊中之後變得更強了。[VAR 0114(0010)]
msg_ev026000_list_01	通融一下吧
msg_ev026000_list_02	那就算了
msg_ev026000_talk_05	什麼！[VAR 1100(00FF,0101)]你妳對劈斧螳螂的滿腔熱情，\n讓菊伊我也深受感動。[VAR 0114(0010)]
msg_ev026000_talk_06	什麼！[VAR 1100(00FF,0101)]你妳對劈斧螳螂的熱情，\n只有這種程度嗎？[VAR 0114(0010)]
msg_ev026000_talk_07	不管怎樣，\n[VAR 1100(00FF,0101)]你妳的想法都無關緊要。\c\n因為珠貝已經再三交代過，\n不能讓任何人靠近劈斧螳螂！[VAR 0114(0010)]
msg_ev026000_talk_08	菊伊我和自豪的搭檔黏黏寶\n會一起把[VAR 1100(00FF,0101)]你妳給趕走的！[VAR 0114(0010)]
msg_ev026000_list_05	樂意奉陪
