JPJP.msbt
[0552A456]_CombatVisor	コンバットバイザー
[500EC6A0]_SpaceJumpBootsDescription	{color[89d6ffff]}スペースジャンプ：{color[000000ff]}\n{r2[きどうりょく]}機動力{/r2}のある{r2[すいしん]}推進{/r2}エネルギー{r2[ふんしゃ]}噴射{/r2}ブーツで、サムスの{r2[ちょうやくりょく]}跳躍力{/r2}を{r2[ひやく]}飛躍{/r2}{r2[てき]}的{/r2}に{r2[ぞうだい]}増大{/r2}させます。\n\n{[0100|05cd]} で{color[ffaf00ff]}ジャンプ{color[000000ff]}。そのジャンプ{r2[ちゅう]}中{/r2}に{color[ffaf00ff]}{r2[さい]}再{/r2}{r2[ど]}度{/r2} {color[000000ff]}{[0100|05cd]} {color[ffaf00ff]}を{r2[お]}押{/r2}す{color[000000ff]}と、その{r2[いち]}位置{/r2}から、{r2[さら]}更{/r2}に{color[ffaf00ff]}もう{r2[いちど]}一度{/r2}ジャンプ{color[000000ff]}します。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}スペースジャンプ{color[000000ff]}は{color[ffaf00ff]}タイミング{color[000000ff]}が{r2[じゅうよう]}重要{/r2}だ。\nより{r2[とお]}遠{/r2}く{r2[たか]}高{/r2}く{r2[と]}飛{/r2}ぶためには、コツが{r2[ひつよう]}必要{/r2}になる。\n\nまた、{r2[てき]}敵{/r2}からの{color[ffaf00ff]}{r2[こうげき]}攻撃{/r2}{r2[かいひ]}回避{/r2}{color[000000ff]}にも、この{r2[のうりょく]}能力{/r2}は{r2[ひ]}非{/r2}{r2[じょう]}常{/r2}に{color[ffaf00ff]}{r2[ゆうこう]}有効{/r2}{color[000000ff]}である。
[500EC6A0]_GrappleBeamDescription	{color[89d6ffff]}グラップリングビーム：{color[000000ff]}\n{r2[たてもの]}建物{/r2}の{r2[てんじょう]}天井{/r2}などに{r2[せっち]}設置{/r2}された{color[ffaf00ff]}グラップルポイント{color[000000ff]}から、{color[ffaf00ff]}ぶら{r2[さ]}下{/r2}がる{color[000000ff]}ことが{r2[かのう]}可能{/r2}なロープ{r2[じょう]}状{/r2}のビームです。\n{color[ffaf00ff]}スイング{color[000000ff]}により、スペースジャンプでも{r2[とうたつ]}到達{/r2}できない{r2[きょり]}距離{/r2}を{color[ffaf00ff]}{r2[いどう]}移動{/r2}{color[000000ff]}できます。\n\n{color[ffaf00ff]}グラップルポイント{color[000000ff]} {[0101|220054005800540052005f0047006c00790070006800470072006100700070006c0065000100]} を {[0100|0bcd]} で{color[ffaf00ff]}ロックオン{color[000000ff]}し{r2[つづ]}続{/r2}けると、{color[ffaf00ff]}グラップリングビーム{color[000000ff]}を{r2[はっしゃ]}発射{/r2}することができます。 \n{[0100|0bcd]} を{r2[お]}押{/r2}している{r2[あいだ]}間{/r2}、ぶら{r2[さ]}下{/r2}がった{r2[じょうたい]}状態{/r2}を{r2[い]}維{/r2}{r2[じ]}持{/r2}し、{color[ffaf00ff]}{r2[はな]}放{/r2}すと{r2[かいじょ]}解除{/r2}{color[000000ff]}されます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nスイング{r2[ちゅう]}中{/r2}に {[0101|320054005800540052005f004c0053007400690063006b004c00650066007400520069006700680074005f0041006e0069006d000800]} で、スイングの{color[ffaf00ff]}{r2[ほうこう]}方向{/r2}を{r2[か]}変{/r2}えられる{color[000000ff]}ようだ。
[500EC6A0]_MissileLauncherDescription	{color[89d6ffff]}ミサイル：{color[000000ff]}\nアームキャノン{r2[ない]}内{/r2}に{r2[そうび]}装備{/r2}された、{color[ffaf00ff]}{r2[ついび]}追尾{/r2}{r2[きのう]}機能{/r2}{color[000000ff]}を{r2[も]}持{/r2}つ{color[ffaf00ff]}ミサイル{color[000000ff]}です。\n\n{color[ffaf00ff]}{r2[しょき]}初期{/r2}{r2[そうび]}装備{/r2}は５{r2[はつ]}発{/r2}{color[000000ff]}で、{color[ffaf00ff]}ミサイルタンク{color[000000ff]}を{r2[かくとく]}獲得{/r2}すると、{r2[しょじ]}所持{/r2}{r2[すう]}数{/r2}の{color[ffaf00ff]}{r2[じょうげん]}上限{/r2}が５{r2[はつ]}発{/r2}{r2[ぞうか]}増加{/r2}{color[000000ff]}します。\n\n{[0100|06cd]} で{color[ffaf00ff]}ミサイル{color[000000ff]}を{r2[はっしゃ]}発射{/r2}。\n{[0100|30cd]} で、ビーム{r2[はっしゃかのうじょうたい]}発射可能状態{/r2}に{r2[もど]}戻{/r2}ります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}ロックオン{color[000000ff]}{r2[かんりょう]}完了{/r2}{r2[ご]}後{/r2}に{r2[はっしゃ]}発射{/r2}した{color[ffaf00ff]}ミサイル{color[000000ff]}は、{r2[てき]}敵{/r2}を{r2[ほそく]}捕捉{/r2}し、{color[ffaf00ff]}{r2[ついげき]}追撃{/r2}{color[000000ff]}する。\n{r2[こうげきりょく]}攻撃力{/r2}も{r2[たか]}高{/r2}く、{r2[ざんりょう]}残量{/r2}に{r2[ちゅうい]}注意{/r2}して{r2[つか]}使{/r2}いたい。
[500EC6A0]_PowerSuitDescription	{color[89d6ffff]}ノーマルスーツ：{color[000000ff]}\n{r2[ちょうじんぞく]}鳥人族{/r2}の{r2[がい]}外{/r2}{r2[こっかく]}骨格{/r2}を{r2[もと]}基{/r2}に{color[ffaf00ff]}サムス・アラン{r2[せんよう]}専用{/r2}{color[000000ff]}に{r2[かいりょう]}改良{/r2}された、{r2[きほん]}基本{/r2}{r2[がた]}型{/r2}の{color[ffaf00ff]}パワードスーツ{color[000000ff]}です。  \n\n{r2[きほん]}基本{/r2}{r2[てき]}的{/r2}な{r2[せいめい]}生命{/r2}{r2[いじ]}維持{/r2}{r2[そうち]}装置{/r2}や{r2[ぼうぎょ]}防御{/r2}{r2[きのう]}機能{/r2}は{r2[そな]}備{/r2}わっていますが、{color[ffaf00ff]}バリアスーツに{r2[おと]}劣{/r2}り{color[000000ff]}ます。 \n{color[ffaf00ff]}「モジュール{r2[きのう]}機能{/r2}」{color[000000ff]}により、{r2[あら]}新{/r2}たな{r2[ぶき]}武器{/r2}やバイザー、その{r2[た]}他{/r2}の{color[ffaf00ff]}{r2[きのう]}機能{/r2}を{r2[ついか]}追加{/r2}{color[000000ff]}{r2[かのう]}可能{/r2}です。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nより{r2[こうりつ]}効率{/r2}{r2[てき]}的{/r2}な{r2[せんとう]}戦闘{/r2}を{r2[おこな]}行{/r2}うため、{color[ffaf00ff]}ノーマルスーツの{r2[きょうか]}強化{/r2}{color[000000ff]}を{r2[いそ]}急{/r2}がねばならない。
[500EC6A0]_VariaSuitDescription	{color[89d6ffff]}バリアスーツ：{color[000000ff]}\n{color[ffaf00ff]}{r2[たいねつ]}耐熱{/r2}{r2[きのう]}機能{/r2}が{r2[きょうか]}強化{/r2}{color[000000ff]}されたパワードスーツです。\n\n{color[ffaf00ff]}ノーマルスーツより{color[000000ff]}も{r2[ぼうぎょ]}防御{/r2}{r2[きのう]}機能{/r2}がわずかに{color[ffaf00ff]}{r2[こう]}向{/r2}{r2[じょう]}上{/r2}{color[000000ff]}し、ダメージが{r2[すこ]}少{/r2}し{r2[けいげん]}軽減{/r2}されます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[たいねつ]}耐熱{/r2}{r2[きのう]}機能{/r2}は、{r2[かんぜん]}完全{/r2}ではない。{color[ffaf00ff]}{r2[きょくど]}極度{/r2}の{r2[こうおん]}高温{/r2}{color[000000ff]}に{r2[たい]}対{/r2}しては、{r2[ひ]}引{/r2}き{r2[つづ]}続{/r2}き{color[ffaf00ff]}{r2[ちゅうい]}注意{/r2}{color[000000ff]}が{r2[ひつよう]}必要{/r2}だ。
[500EC6A0]_GravitySuitDescription	{color[89d6ffff]}グラビティスーツ：{color[000000ff]}\n{color[ffaf00ff]}{r2[たいねつ]}耐熱{/r2}{r2[きのう]}機能{/r2}{color[000000ff]}に{r2[くわ]}加{/r2}え、{color[ffaf00ff]}{r2[すいちゅう]}水中{/r2}{color[000000ff]}での{color[ffaf00ff]}{r2[こうどう]}行動{/r2}{r2[きのう]}機能{/r2}が{r2[きょうか]}強化{/r2}{color[000000ff]}されたパワードスーツです。\n\n{color[ffaf00ff]}バリアスーツより{color[000000ff]}も{r2[ぼうぎょ]}防御{/r2}{r2[きのう]}機能{/r2}が{color[ffaf00ff]}{r2[こうじょう]}向上{/r2}{color[000000ff]}し、{r2[てき]}敵{/r2}からのダメージは{r2[さら]}更{/r2}に{r2[けいげん]}軽減{/r2}されています。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[ゆうがい]}有害{/r2}な{r2[えきたい]}液体{/r2}には{r2[たいせい]}耐性{/r2}がなく、ダメージを{r2[う]}受{/r2}けてしまう。\n\n{color[ffaf00ff]}{r2[すいちゅう]}水中{/r2}{color[000000ff]}におけるバイザー{r2[きのう]}機能{/r2}も{r2[こうじょう]}向上{/r2}し、{color[ffaf00ff]}{r2[しかい]}視界{/r2}が{r2[せんめい]}鮮明{/r2}{color[000000ff]}になったようだ。
[500EC6A0]_PhazonSuitDescription	{color[89d6ffff]}フェイゾンスーツ：{color[000000ff]}\n{r2[しんにゅう]}侵入{/r2}した{color[ffaf00ff]}フェイゾン{color[000000ff]}により、パワードスーツが{color[ffaf00ff]}フェイゾンスーツ{color[000000ff]}に{r2[へんか]}変化{/r2}しました。\n\nフェイゾン{r2[ぶっしつ]}物質{/r2}への{r2[たいせい]}耐性{/r2}が{r2[う]}生{/r2}まれ、{color[ffaf00ff]}フェイゾンからのダメージを{r2[むこう]}無効{/r2}{r2[か]}化{/r2}{color[000000ff]}します。\n{r2[さら]}更{/r2}に、{color[ffaf00ff]}{r2[ぼうぎょ]}防御{/r2}{r2[きのう]}機能{/r2}も{r2[きょうか]}強化{/r2}{color[000000ff]}され、ダメージが{r2[おおはば]}大幅{/r2}に{r2[けいげん]}軽減{/r2}されています。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nスーツは、{color[ffaf00ff]}{r2[すべ]}全{/r2}てのフェイゾン{color[000000ff]}{r2[ぶっしつ]}物質{/r2}に{r2[たい]}対{/r2}して{color[ffaf00ff]}{r2[たい]}耐{/r2}{r2[せい]}性{/r2}がある{r2[わけ]}訳{/r2}ではない{color[000000ff]}ようだ。
[500EC6A0]_EnergyTankDescription	{color[89d6ffff]}エネルギータンク：{color[000000ff]}\nスーツをシールドする{color[ffaf00ff]}エネルギー{color[000000ff]}の{r2[さいだい]}最大{/r2}{r2[ち]}値{/r2}を{color[ffaf00ff]}100ポイント{r2[ぞうか]}増加{/r2}{color[000000ff]}させます。\n\nまた、その{r2[さい]}際{/r2}、エネルギーが{color[ffaf00ff]}{r2[さいだい]}最大{/r2}{r2[ち]}値{/r2}まで{r2[かいふく]}回復{/r2}{color[000000ff]}します。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nより{r2[かこく]}過酷{/r2}な{r2[せんとう]}戦闘{/r2}に{r2[たいおう]}対応{/r2}するため、できるだけ{r2[おお]}多{/r2}くの{color[ffaf00ff]}エネルギータンク{color[000000ff]}を{r2[み]}見{/r2}つけたい。
[500EC6A0]_MorphBallDescription	{color[89d6ffff]}モーフボール：{color[000000ff]}\n{color[ffaf00ff]}パワードスーツ{color[000000ff]}のモーフィング{r2[きのう]}機能{/r2}により、{color[ffaf00ff]}{r2[　きゅうじょう]}球状{/r2}に{r2[へんけい]}変形{/r2}{color[000000ff]}した{r2[じょうたい]}状態{/r2}が{color[ffaf00ff]}モーフボール{color[000000ff]}です。\n\n{[0100|13cd]} で{color[ffaf00ff]}モーフボール{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わり、{r2[さいど]}再度{/r2}{r2[お]}押{/r2}すと{r2[もと]}元{/r2}に{r2[もど]}戻{/r2}ります。\n{[0101|320054005800540052005f004c0053007400690063006b004c00650066007400520069006700680074005f0041006e0069006d000800]} で{r2[いどう]}移動{/r2}とその{r2[ほうこう]}方向{/r2}を{r2[そうさ]}操作{/r2}できます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nパワードスーツと{r2[どうよう]}同様{/r2}{color[ffaf00ff]}モーフボール{color[000000ff]}の{r2[ほう]}方{/r2}にも{color[ffaf00ff]}モジュール{r2[きのう]}機能{/r2}{color[000000ff]}があるので、{r2[せいのう]}性能{/r2}を{r2[あ]}上{/r2}げていきたい。
[500EC6A0]_BoostBallDescription	{color[89d6ffff]}ブーストボール：{color[000000ff]}\nモーフボールに{color[ffaf00ff]}{r2[かそく]}加速{/r2}{r2[きのう]}機能{/r2}{color[000000ff]}が{r2[ついか]}追加{/r2}された{r2[じょうたい]}状態{/r2}が{color[ffaf00ff]}ブーストボール{color[000000ff]}です。\n\n{[0100|31cd]} を{r2[お]}押{/r2}し{r2[つづ]}続{/r2}け{color[ffaf00ff]}{r2[はな]}放{/r2}すと{r2[かそく]}加速{/r2}{color[000000ff]}します。\n{r2[お]}押{/r2}し{r2[つづ]}続{/r2}ける{r2[じかん]}時間{/r2}が{r2[なが]}長{/r2}いほど、{r2[かそく]}加速{/r2}{r2[じかん]}時間{/r2}も{r2[の]}延{/r2}びます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}「ハーフパイプ」{color[000000ff]}と{r2[よ]}呼{/r2}ばれるＵ{r2[じ]}字{/r2}{r2[がた]}型{/r2}の{r2[ちけい]}地形{/r2}では、{r2[こうかちゅう]}降下中{/r2}にチャージして、{r2[はんたい]}反対{/r2}{r2[がわ]}側{/r2}の{r2[かべ]}壁{/r2}を{r2[のぼ]}登{/r2}る{r2[とき]}時{/r2}に{color[ffaf00ff]}タイミング{r2[よ]}良{/r2}くブースト{color[000000ff]}させると{r2[たか]}高{/r2}い{r2[ばしょ]}場所{/r2}に{r2[とうたつ]}到達{/r2}できる。
[500EC6A0]_SpiderBallDescription	{color[89d6ffff]}スパイダーボール：{color[000000ff]}\nモーフボールに{color[ffaf00ff]}{r2[たいじ]}帯磁{/r2}{r2[きのう]}機能{/r2}{color[000000ff]}が{r2[ついか]}追加{/r2}された{r2[じょうたい]}状態{/r2}です。\n\n{[0100|0ccd]} で{color[ffaf00ff]}レールトラック{color[000000ff]}に{r2[は]}張{/r2}り{r2[つ]}付{/r2}いて、 {[0101|320054005800540052005f004c0053007400690063006b004c00650066007400520069006700680074005f0041006e0069006d000800]} でトラック{r2[じょう]}上{/r2}を{r2[いどう]}移動{/r2}{r2[かのう]}可能{/r2}。{[0100|0ccd]} を{color[ffaf00ff]}{r2[はな]}放{/r2}すと{color[000000ff]}トラックから{color[ffaf00ff]}{r2[りだつ]}離脱{/r2}{color[000000ff]}します。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nトラック{r2[じょう]}上{/r2}で、{color[ffaf00ff]}ボム{color[000000ff]}を{r2[しよう]}使用{/r2}すると{color[ffaf00ff]}ボムジャンプ{color[000000ff]}ができるようだ。
[500EC6A0]_BombDescription	{color[89d6ffff]}ボム：{color[000000ff]}\n{color[ffaf00ff]}モーフボール{color[000000ff]}モードの{r2[ひょうじゅんぶき]}標準武器{/r2}です。\n{r2[てき]}敵{/r2}にダメージを{r2[あた]}与{/r2}える{r2[ほか]}他{/r2}に、{color[ffaf00ff]}{r2[かべ]}壁{/r2}を{r2[こわ]}壊{/r2}したり{color[000000ff]}、{r2[とくてい]}特定{/r2}の{color[ffaf00ff]}{r2[そうち]}装置{/r2}を{r2[さどう]}作動{/r2}{color[000000ff]}させたりできます。\n\n{[0100|30cd]} で、{color[ffaf00ff]}ボム{color[000000ff]}を{r2[さいこう]}最高{/r2}{color[ffaf00ff]}３{r2[ぱつ]}発{/r2}{color[000000ff]}まで{color[ffaf00ff]}{r2[れんぞく]}連続{/r2}して{r2[せっ]}設{/r2}{r2[ち]}置{/r2}{color[000000ff]}できます。\nまた、{color[ffaf00ff]}ボム{color[000000ff]}の{r2[ばくふう]}爆風{/r2}を{r2[りよう]}利用{/r2}すると{color[ffaf00ff]}ボムジャンプ{color[000000ff]}が{r2[かのう]}可能{/r2}です。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}サンドストーン{color[000000ff]}や、{color[ffaf00ff]}タロニック{r2[ごうきん]}合金{/r2}{color[000000ff]}などで{r2[こう]}構{/r2}{r2[せい]}成{/r2}された{r2[ぶっしつ]}物質{/r2}を{color[ffaf00ff]}{r2[はかい]}破壊{/r2}{color[000000ff]}できる。
[500EC6A0]_PowerBombDescription	{color[89d6ffff]}パワーボム：{color[000000ff]}\n{color[ffaf00ff]}モーフボール{color[000000ff]}モードにおける{r2[きょうりょく]}強力{/r2}な{r2[ぶき]}武器{/r2}で、その{r2[た]}他{/r2}の{r2[ぶき]}武器{/r2}の{r2[なか]}中{/r2}でも{color[ffaf00ff]}トップクラスの{r2[はかいりょく]}破壊力{/r2}{color[000000ff]}を{r2[ほこ]}誇{/r2}ります。\n\n{[0100|06cd]} で{r2[せっち]}設置{/r2}しますが、{r2[れんぞく]}連続{/r2}{r2[せっち]}設置{/r2}できません。\n{r2[しょき]}初期{/r2}{r2[そうび]}装備{/r2}は４{r2[はつ]}発{/r2}です。\n{color[ffaf00ff]}パワーボムタンク{color[000000ff]}を{r2[かくとく]}獲得{/r2}すると、{r2[しょじ]}所持{/r2}{r2[すう]}数{/r2}の{r2[じょう]}上{/r2}{r2[げん]}限{/r2}が{color[ffaf00ff]}１{r2[ぱつ]}発{/r2}{r2[ぞうか]}増加{/r2}{color[000000ff]}します。 \n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[こう]}高{/r2}{r2[こうど]}硬度{/r2}の{color[ffaf00ff]}ベンデジウム{color[000000ff]}の{color[ffaf00ff]}{r2[はかい]}破壊{/r2}{color[000000ff]}も{r2[かのう]}可能{/r2}だ。\n{r2[しょじ]}所持{/r2}{r2[すう]}数{/r2}が{r2[すく]}少{/r2}ないので、{r2[つか]}使{/r2}うタイミングが{r2[じゅうよう]}重要{/r2}だ。
[500EC6A0]_ChargeBeamDescription	{color[89d6ffff]}チャージビーム：{color[000000ff]}\nビームのエネルギーをアームキャノン{r2[ないぶ]}内部{/r2}で{r2[ぞうふく]}増幅{/r2}し、{r2[いっき]}一気{/r2}に{r2[ほうしゅつ]}放出{/r2}します。\n\n{[0100|30cd]} を{r2[お]}押{/r2}し{r2[つづ]}続{/r2}けるとチャージし、{r2[はな]}放{/r2}すと{r2[はっしゃ]}発射{/r2}します。\n\n{color[ffaf00ff]}チャージ{r2[ちゅう]}中{/r2}{color[000000ff]}に、{r2[かいふく]}回復{/r2}アイテムを{color[ffaf00ff]}{r2[ひ]}引{/r2}き{r2[よ]}寄{/r2}せる{r2[のう]}能{/r2}{r2[りょく]}力{/r2}{color[000000ff]}もあります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nチャージする{color[ffaf00ff]}{r2[じかん]}時間{/r2}の{r2[なが]}長{/r2}さ{color[000000ff]}によって、{color[ffaf00ff]}{r2[はかいりょく]}破壊力{/r2}が{r2[ちが]}違{/r2}う{color[000000ff]}ようだ。
[500EC6A0]_BeamComboDescription	{color[89d6ffff]}チャージコンボ：{color[000000ff]}\n{color[ffaf00ff]}「ミサイル」{color[000000ff]}に、{color[ffaf00ff]}「チャージビーム」{color[000000ff]}の{r2[こうか]}効果{/r2}を{color[ffaf00ff]}{r2[がったい]}合体{/r2}{color[000000ff]}させた{r2[こうげき]}攻撃{/r2}です。\n\nこの{r2[がったい]}合体{/r2}{r2[こうげき]}攻撃{/r2}によって、{r2[つうじょうこうげき]}通常攻撃{/r2}よりも{r2[きょうりょく]}強力{/r2}な{color[ffaf00ff]}{r2[はかいりょく]}破壊力{/r2}{color[000000ff]}を{r2[う]}生{/r2}み{r2[だ]}出{/r2}すことが{r2[かのう]}可能{/r2}です。\n{[0100|30cd]} でビームをフルにチャージしてから {[0100|30cd]} を{r2[お]}押{/r2}したまま、{[0100|06cd]} を{r2[お]}押{/r2}すと{r2[はつどう]}発動{/r2}します。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}チャージコンボ{color[000000ff]}に{r2[かん]}関{/r2}する{r2[くわ]}詳{/r2}しい{r2[じょうほう]}情報{/r2}は、それぞれのアイテムを{r2[にゅうしゅ]}入手{/r2}{r2[ご]}後{/r2}{color[ffaf00ff]}ここに{r2[きろく]}記録{/r2}{color[000000ff]}しよう。\n
[500EC6A0]_On	オン
[500EC6A0]_Off	オフ
[500EC6A0]_TrophyMode	ズーム
[500EC6A0]_LegendExit	終了
[500EC6A0]_LegendBack	戻る
[500EC6A0]_LegendNext	決定
[500EC6A0]_VisorBeamSwitchOn	ON
[500EC6A0]_VisorBeamSwitchOff	OFF
[500EC6A0]_HudLanaguageEnglish	English
[500EC6A0]_HudLanaguageJapanese	日本語
[95019A7A]_MainText	M I S S I O N  C O M P L E T E
[95019A7A]_PercentageComplete	回収率 \{0}％
[95019A7A]_TotalTime	プレイタイム \{0}:\{1}
[95019A7A]_HardModeUnlocked	ハードモードが解除されました！
[95019A7A]_MessageContinue	{[0100|1ccd]} 続ける
[6A403A19]_CombatVisor	{size[5a00]}コンバット\nバイザー{size[6400]}
[6A403A19]_ScanVisor	{size[5a00]}スキャン\nバイザー{size[6400]}
[6A403A19]_XRayVisor	{size[5a00]}Ｘレイ\nバイザー{size[6400]}
[6A403A19]_ThermoVisor	{size[5a00]}サーモ\nバイザー{size[6400]}
[6A403A19]_PowerBeam	{size[5a00]}パワー\nビーム{size[6400]}
[6A403A19]_IceBeam	{size[5a00]}アイス\nビーム{size[6400]}
[6A403A19]_WaveBeam	{size[5a00]}ウエイブ\nビーム{size[6400]}
[6A403A19]_PlasmaBeam	{size[5a00]}プラズマ\nビーム{size[6400]}
[6A403A19]_EnergyLow	{size[5a00]}エネルギー残量：少{size[6400]}
[6A403A19]_ThreatProximity	{size[5a00]}危険{size[6400]}
[6A403A19]_ThreatDamage	{size[5a00]}ダメージ{size[6400]}
[6A403A19]_MissileWarning	{size[5a00]}残量：少{size[6400]}
[6A403A19]_MissileDepleted	{size[5a00]}残量：なし{size[6400]}
[6A403A19]_DownloadingMessage	{size[5a00]}スキャニング…{size[6400]}
[6A403A19]_DownloadedMessage	{size[5a00]}スキャン完了{size[6400]}
[6A403A19]_ScanOutOfRangeMessage	{size[5a00]}スキャンレンジオーバー{size[6400]}
[6A403A19]_Boss0ParasiteQueen	パラサイトクイーン
[6A403A19]_Boss1Flagra	フラーグラ
[6A403A19]_Boss2Thardus	サーダス
[6A403A19]_Boss3OmegaPirate	オメガパイレーツ
[6A403A19]_Boss4Ridley	メタリドリー
[6A403A19]_Boss5MetroidPrime	メトロイドプライム
[0B6267A0]_CombatVisor	{size[5a00]}Combat\nVisor{size[6400]}
[0B6267A0]_ScanVisor	{size[5a00]}Scan\nVisor{size[6400]}
[0B6267A0]_XRayVisor	{size[5a00]}X-Ray\nVisor{size[6400]}
[0B6267A0]_ThermoVisor	{size[5a00]}Thermal\nVisor{size[6400]}
[0B6267A0]_PowerBeam	{size[5a00]}Power\nBeam{size[6400]}
[0B6267A0]_IceBeam	{size[5a00]}Ice\nBeam{size[6400]}
[0B6267A0]_WaveBeam	{size[5a00]}Wave\nBeam{size[6400]}
[0B6267A0]_PlasmaBeam	{size[5a00]}Plasma\nBeam{size[6400]}
[0B6267A0]_EnergyLow	{size[5a00]}Energy Low{size[6400]}
[0B6267A0]_ThreatProximity	{size[5a00]}Warning{size[6400]}
[0B6267A0]_ThreatDamage	{size[5a00]}Damage{size[6400]}
[0B6267A0]_MissileWarning	{size[5a00]}Missiles\nLow{size[6400]}
[0B6267A0]_MissileDepleted	{size[5a00]}Depleted{size[6400]}
[0B6267A0]_DownloadingMessage	{size[5a00]}Scanning...{size[6400]}
[0B6267A0]_DownloadedMessage	{size[5a00]}Scan complete.{size[6400]}
[0B6267A0]_ScanOutOfRangeMessage	{size[5a00]}Object out of scanning range.{size[6400]}
[0B6267A0]_Boss0ParasiteQueen	Parasite Queen
[0B6267A0]_Boss1Flagra	Flaahgra
[0B6267A0]_Boss2Thardus	Thardus
[0B6267A0]_Boss3OmegaPirate	Omega Pirate
[0B6267A0]_Boss4Ridley	Meta Ridley
[0B6267A0]_Boss5MetroidPrime	Metroid Prime
[0552A456]_InstructionsA	{[0100|1ccd]}
[0552A456]_ScreenshotSource	メトロイドプライム
[0552A456]_RestoreDefaultsMenu	デフォルトに{r2[もど]}戻{/r2}しますか？
[0552A456]_MapLegendText_PurpleDoorText	ウェイブビーム
[0552A456]_MapLegendText_WhiteDoorText	アイスビーム
[0552A456]_MapLegendText_RedDoorText	プラズマビーム
[0552A456]_MapLegendText_GreyDoorText	ミサイル
[0552A456]_MapLegendText_NotVisible	？？？
[19C3F7F7]_SaveFileEndGame	ここでセーブを{r2[おこな]}行{/r2}うと、\nこのファイルはクリアデータとなります。\n{r2[つぎ]}次{/r2}にこのファイルを{r2[えら]}選{/r2}ぶと、ゲームは{r2[さいしょ]}最初{/r2}から{r2[はじ]}始{/r2}まります。\n\nセーブしてよろしいですか？
[500EC6A0]_ZoomButton	{[0100|29cd]}
[500EC6A0]_NextButton	{[0100|1ccd]}
[500EC6A0]_BackButton	{[0100|1dcd]}
[500EC6A0]_ExitButton	{[0100|17cd]}
[500EC6A0]_ShiftLeftButton	{[0100|2ccd]}
[500EC6A0]_ShiftRightButton	{[0100|2dcd]}
[500EC6A0]_NextButtonPressed	{[0101|2a0054005800540052005f00500061007500730065004e0065007800740050007200650073007300650064000100]}
[500EC6A0]_BackButtonPressed	{[0101|2a0054005800540052005f00500061007500730065004200610063006b0050007200650073007300650064000100]}
[500EC6A0]_ExitButtonPressed	{[0101|2a0054005800540052005f0050006100750073006500450078006900740050007200650073007300650064000100]}
[500EC6A0]_ShiftLeftButtonPressed	{[0101|260054005800540052005f005a006f006f006d004f007500740050007200650073007300650064000100]}
[500EC6A0]_ShiftRightButtonPressed	{[0101|240054005800540052005f005a006f006f006d0049006e0050007200650073007300650064000100]}
[500EC6A0]_LockOnFreeAim	ロックオン\nフリーエイム
[500EC6A0]_ReverseJumpFireControls	{size[5a00]}ビーム/ジャンプ{size[6400]}\n入 れ 替 え
[500EC6A0]_Sensitivity	カメラの\n反応精度
[500EC6A0]_QuestionMarks	？？？
