A0.asset
A0_1023_PIKACHU_100_1000	鋼鎧鴉那傢伙，\n竟然把我重要的帽子給帶走了。
A1_1740_TIM_100_2000	先生？所以您就是……？
A1_1740_CLAUDIA_100_2000	我是克勞蒂亞・丹尼斯。\n是桑傑夫・丹尼斯的妻子。
A1_1740_TIM_100_3000	不好意思，\n我們有些事想要請教。
A1_1740_CLAUDIA_100_3000	這件事不需要你費心。
A1_1740_CLAUDIA_100_4000	你請回吧。\n事件已經解決了。
A1_1740_TIM_100_4000	咦……？這是怎麼回事？
A1_1740_CLAUDIA_100_5000	警察已經說了，\n管家巴恩斯就是犯人。
A1_1740_CLAUDIA_100_6000	那一定就是他沒錯了。
A1_1740_TIM_100_5000	我們的確聽說了他被列為嫌犯。
A1_1740_TIM_100_6000	但是還不能就此確定他是犯人。
A1_1740_CLAUDIA_100_7000	你跟我先生說的話一模一樣呢。
A1_1740_CLAUDIA_100_8000	但是，無論如何，\n犯人一定就是巴恩斯。
A1_1740_CLAUDIA_100_9000	<color=#F39800FF>巴恩斯的夥伴鴨寶寶做了壞事，\n我可是都看到了喔？</color>
A1_1740_TIM_100_7000	您有目擊到犯案的當下嗎！？
A1_1740_PIKACHU_100_1000	<color=#F39800FF>巴恩斯的夥伴鴨寶寶\n涉及了犯案？</color>
A1_1740_CLAUDIA_100_10000	你看起來不相信我說的話呢。
A1_1740_CLAUDIA_200_1000	你還想問什麼？
A1_1740_TIM_200_1000	不好意思，希望您能夠配合。
A1_1740_SEL_0_1000	關於案發現場
A1_1740_SEL_0_2000	關於巴恩斯
A1_1740_SEL_0_3000	關於鴨寶寶
A1_1740_SEL_0_4000	關於極光之露
A1_1740_SEL_0_5000	關於卡蒂狗的食物
A1_1740_TIM_300_1000	您說您有看到犯案的當下，\n這是真的嗎？
A1_1740_CLAUDIA_300_1000	這個嘛，如果你問我是不是確實看到了，\n那倒也不是那麼一回事就是了……
A1_1740_PIKACHU_300_1000	嗯……？
A1_1740_CLAUDIA_300_2000	但是，\n我看見了關鍵性的一幕。
A1_1740_TIM_300_2000	您究竟看到了什麼？
A1_1740_CLAUDIA_300_3000	事件發生的時候，\n我在２樓自己的房間裡喝著紅茶。
A1_1740_CLAUDIA_300_4000	那個時候，我看見窗戶外\n有一隻鳥寶可夢在飛。
A1_1740_TIM_300_3000	鳥寶可夢？
A1_1740_CLAUDIA_300_5000	<color=#F39800FF>是的，因為是一隻藍色的鳥寶可夢，\n那肯定就是鴨寶寶了。</color>
A1_1740_PIKACHU_300_2000	在窗邊和寶石保管室裡，\n的確是有掉下的藍色的羽毛。
A1_1740_PIKACHU_300_3000	原來那是鴨寶寶的羽毛啊。
A1_1740_CLAUDIA_300_6000	我想，那一定是牠正把\n寶石拿走的時候了。
A1_1740_CLAUDIA_300_7000	而且在那之前，\n我還聽到了細微的金屬聲。
A1_1740_TIM_300_4000	金屬聲？\n您知道那是什麼東西的聲音嗎？
A1_1740_CLAUDIA_300_8000	那我就不知道了。\n但是，寶石保管室被弄得亂七八糟，對吧？
A1_1740_CLAUDIA_300_9000	應該就是在那時候，\n牠弄壞了什麼東西吧。
A1_1740_CLAUDIA_300_10000	實際上，我也聽說房間裡面\n到處都是鴨寶寶的羽毛。
A1_1740_CLAUDIA_300_11000	這些不就充分證明了\n巴恩斯就是犯人嗎？
A1_1740_PIKACHU_300_4000	嗯～聽起來她似乎\n過於先入為主了。
A1_1740_PIKACHU_300_5000	除了見到飛走的藍色鳥寶可夢，\n然後聽到金屬聲之外，其他都是純屬推測。
A1_1740_TIM_300_5000	是啊。
A1_1740_TIM_300_6000	克勞蒂亞夫人，只有您剛剛說的內容，\n恐怕很難過濾出犯人。
A1_1740_CLAUDIA_300_12000	那你們就給我早點找到犯人，\n把寶石拿回來！
A1_1740_CLAUDIA_300_13000	我先生不就是為了這個目的\n才雇了你們嗎？
A1_1740_PIKACHU_300_6000	唉……雖然我知道事情讓妳很煩躁，\n但也別遷怒在我們身上啊……
A1_1740_TIM_400_1000	丹尼斯先生說，\n他不認為巴恩斯先生是犯人。
A1_1740_CLAUDIA_400_1000	嗯，我想也是。\n因為他是個老好人嘛。
A1_1740_CLAUDIA_400_2000	特別是對巴恩斯就更是這樣了。
A1_1740_TIM_400_2000	他們之間的信任那麼深厚嗎？
A1_1740_CLAUDIA_400_3000	我聽說巴恩斯從很久以前，\n就已經在服侍這個家裡的人了。
A1_1740_CLAUDIA_400_4000	也就是說，\n是在我跟我先生相遇之前。
A1_1740_CLAUDIA_400_5000	我猜也就是因為這樣，\n巴恩斯才老是護著我先生吧。
A1_1740_TIM_400_3000	這句話是什麼意思……？
A1_1740_CLAUDIA_400_6000	當我跟我先生意見不合的時候，\n巴恩斯總是會站在我先生那邊。
A1_1740_CLAUDIA_400_7000	雖然他好像覺得自己沒偏袒任何人就是了。
A1_1740_CLAUDIA_400_8000	他對於自己的偏心毫無自覺，\n又是另一個糟糕的地方！
A1_1740_PIKACHU_400_1000	克勞蒂亞對巴恩斯\n似乎有不少意見呢。
A1_1740_PIKACHU_400_2000	說不定這也是讓她一口咬定\n巴恩斯是犯人的原因？
A1_1740_TIM_500_1000	能多告訴我們一些\n鴨寶寶這隻寶可夢的事嗎？
A1_1740_CLAUDIA_500_1000	<color=#F39800FF>鴨寶寶是巴恩斯的夥伴。</color>
A1_1740_CLAUDIA_500_2000	<color=#F39800FF>牠很喜歡巴恩斯，\n總是跟巴恩斯在一起。</color>
A1_1740_TIM_500_2000	按照您先前的說法，\n牠好像跟這個事件有關。
A1_1740_TIM_500_3000	鴨寶寶是連那種事情也\n辦得到的寶可夢嗎？
A1_1740_CLAUDIA_500_3000	是啊。牠有時候好像\n還會幫忙巴恩斯買東西。
A1_1740_CLAUDIA_500_4000	拿出寶石這點程度的小事，\n牠應該很有可能辦得到吧。
A1_1740_PIKACHU_500_1000	先不論鴨寶寶\n到底有沒有偷寶石……
A1_1740_PIKACHU_500_2000	牠跟巴恩斯很要好，\n這一點倒是可以確定了。
A1_1740_CLAUDIA_600_1000	極光之露可是非常珍貴的寶石。
A1_1740_TIM_600_1000	是的。\n丹尼斯先生也是這麼告訴我們。
A1_1740_CLAUDIA_600_2000	……極光之露到底有多貴重，\n你真的明白嗎？
A1_1740_TIM_600_2000	咦……？
A1_1740_CLAUDIA_600_3000	看你一臉就寫著不明白呢！
A1_1740_PIKACHU_600_1000	他本來就是長這副樣子。
A1_1740_CLAUDIA_600_4000	……不過，我也很懷疑我先生\n到底懂不懂它的價值就是了。
A1_1740_CLAUDIA_600_5000	好不容易才到手的極光之露，\n他竟然要把它捐贈給萊姆市。
A1_1740_TIM_600_3000	克勞蒂亞夫人您反對他\n捐贈極光之露啊。
A1_1740_CLAUDIA_600_6000	當然了！這種秘寶，\n不應該隨便地公開！
A1_1740_CLAUDIA_600_7000	應該只讓一小部分的人\n靜靜地觀賞它才是！
A1_1740_PIKACHU_600_2000	她看起來一點都不像是\n會靜靜觀賞的類型……
A1_1740_CLAUDIA_700_1000	我不太清楚卡蒂狗平常的食物。
A1_1740_CLAUDIA_700_2000	你還是去問問透納吧。
A1_1740_TIM_700_1000	今天卡蒂狗在吃飯的時候，\n您有看到嗎？
A1_1740_CLAUDIA_700_3000	我沒看到。\n雖然平常也不會去看就是了。
A1_1740_CLAUDIA_700_4000	<color=#F39800FF>寶可夢是在別的房間吃飯，\n和我們人類在不同地方。</color>
A1_1740_CLAUDIA_700_5000	要是在同一個房間裡，寶可夢的毛\n會掉進料理裡面，所以我要求要分開。
A1_1740_PIKACHU_700_1000	喂喂，這番話會讓寶可夢對妳的\n好感度暴跌啊。
A1_1760_PIXY_100_1000	皮～可西！
A1_1760_PIKACHU_100_1000	是皮可西。牠似乎是\n丹尼斯的妻子克勞蒂亞的夥伴。
A1_1760_PIKACHU_100_2000	我可以問你一些事嗎？
A1_1760_PIXY_100_2000	皮可西！
A1_1760_PIKACHU_100_3000	什、什麼啊，\n別那麼凶嘛。
A1_1760_TIM_100_1000	怎麼了？
A1_1760_PIKACHU_100_4000	牠對我們有戒心。
A1_1760_PIKACHU_100_5000	大概是因為這個事件，\n讓牠變得敏感吧。
A1_1760_PIXY_200_1000	皮可西！
A1_1760_PIKACHU_200_1000	牠對我們還是有戒心。\n晚點再來吧。
A1_1770_DHPOLICEMAN01_100_1000	那麼，巴恩斯先生。\n請暫時在豪宅裡等候。
A1_1770_SECRETBURNS_100_1000	謝謝。
A1_1770_PIKACHU_100_1000	喂，好像有誰出來了。\n我們去看看吧。
A1_1770_TIM_100_1000	嗯！
A1_1790_NONAMEBURNS_100_1000	唉……\n為什麼我非得被警察懷疑呢……
A1_1790_TIM_100_1000	你就是巴恩斯先生嗎？
A1_1790_NONAMEBURNS_100_2000	哎呀，請問你是……？
A1_1790_TIM_100_2000	我是偵探提姆・古德曼。\n受到丹尼斯先生的委託，正在調查這個事件。
A1_1790_NONAMEBURNS_100_3000	丹尼斯老爺的委託……\n是這樣子啊……
A1_1790_BURNS_100_4000	失禮了，我還沒自我介紹。\n我是布蘭登・巴恩斯。
A1_1790_BURNS_100_5000	在這個丹尼斯家裡擔任管家。
A1_1790_TIM_100_3000	巴恩斯先生，你方便的話，\n能讓我請教一些事嗎？
A1_1790_TIM_100_4000	雖然你剛結束警方的偵訊，\n可能已經很累……
A1_1790_BURNS_100_6000	不，請不用擔心這種事情。
A1_1790_BURNS_100_7000	既然是丹尼斯老爺的委託，\n那麼提供協助就是我的職責。
A1_1790_TIM_100_5000	謝謝你。
A1_1790_BURNS_100_8000	那麼，我該從何說起呢？
A1_1790_BURNS_200_1000	如果是我知道的事情，\n都可以告訴你。
A1_1790_SEL_0_1000	關於事件發生時的狀況
A1_1790_SEL_0_2000	關於犯人
A1_1790_SEL_0_3000	關於鴨寶寶
A1_1790_SEL_0_4000	關於極光之露
A1_1790_SEL_0_5000	關於卡蒂狗的食物
A1_1790_BURNS_300_1000	在事件發生的時候，\n我正好出門了。
A1_1790_BURNS_300_2000	我是辦完事情之後，\n一回到宅邸就發現發生了事件。
A1_1790_BURNS_300_3000	我聽到透納的叫聲從２樓傳來。
A1_1790_BURNS_300_4000	當我急忙趕到２樓去的時候，\n就發現透納倒在寶石保管室之前。
A1_1790_PIKACHU_300_1000	這麼說來，巴恩斯是\n第一個發現這事件的人囉。
A1_1790_TIM_300_1000	你有沒有看到犯人，\n或是他的夥伴寶可夢？
A1_1790_BURNS_300_5000	不，我什麼都沒看見……
A1_1790_PIKACHU_300_2000	嗯嗯？如果巴恩斯用樓梯上樓，\n應該會撞見犯人才是。
A1_1790_PIKACHU_300_3000	既然說沒看到，\n那麼犯人是從２樓逃走的嗎？
A1_1790_TIM_300_2000	你當時有進去寶石保管室檢查嗎？
A1_1790_BURNS_300_6000	保管室的門開著，我往裡頭一看，\n發現極光之露不見了。
A1_1790_BURNS_300_7000	所以我就急忙地聯絡了\n丹尼斯老爺跟警察。
A1_1790_TIM_300_3000	有沒有誰能證明\n你當時的這些行動？
A1_1790_BURNS_300_8000	很可惜地……
A1_1790_BURNS_300_9000	當克勞蒂亞夫人聽到聲音從自己的\n房間出來時，已經是那之後的事了。
A1_1790_BURNS_300_10000	還有，當時待在宅邸裡面的\n只有卡蒂狗跟皮可西……
A1_1790_BURNS_300_11000	畢竟人類也不可能有辦法跟寶可夢溝通，\n所以沒有人能證明我的清白。
A1_1790_PIKACHU_300_4000	嗯，原來如此……\n豪宅裡的寶可夢們嗎……
A1_1790_TIM_400_1000	巴恩斯先生，你想得到犯人可能是誰嗎？
A1_1790_BURNS_400_1000	這我就沒有頭緒了……
A1_1790_BURNS_400_2000	但是，<color=#F39800FF>可以自由使用保管室鑰匙的\n只有丹尼斯老爺和我而已。</color>
A1_1790_BURNS_400_3000	因為卡蒂狗平時都非常\n盡忠職守地保護著鑰匙。
A1_1790_BURNS_400_4000	其他人是很難奪走鑰匙的。
A1_1790_BURNS_400_5000	在這樣的狀況下，警察會懷疑我，\n大概也是無可厚非的吧。
A1_1790_BURNS_400_6000	但是，我不可能會做出如此荒唐的事情。
A1_1790_PIKACHU_400_1000	嗯，只有兩個人能使用鑰匙，\n看來這是可以確定的了。
A1_1790_BURNS_500_1000	<color=#F39800FF>鴨寶寶是我重要的夥伴。</color>
A1_1790_BURNS_500_2000	請看看這張照片！
A1_1790_TIM_500_1000	這就是鴨寶寶嗎？
A1_1790_BURNS_500_3000	沒錯！看看牠漂亮的羽毛，\n牠是不是很可愛？
A1_1790_BURNS_500_4000	可還不只這樣。
A1_1790_BURNS_500_5000	這孩子非常聰明，\n還會幫忙我的工作……！
A1_1790_BURNS_500_6000	啊……不好意思……
A1_1790_BURNS_500_7000	只要提到那孩子的事情，\n我就會變得有點忘我。
A1_1790_TIM_500_2000	沒關係，請不用在意。
A1_1790_TIM_500_3000	你剛才說牠會幫忙工作，\n那麼牠都幫些什麼事？
A1_1790_BURNS_500_8000	我想想……
A1_1790_BURNS_500_9000	<color=#F39800FF>比如說牠會幫我去咖啡館，\n買咖啡豆回來。</color>
A1_1790_PIKACHU_500_1000	哦～去買咖啡豆啊。
A1_1790_BURNS_500_10000	你知道這附近有一間咖啡店，\n叫做「高帽咖啡館」嗎？
A1_1790_BURNS_500_11000	牠會定期單獨到那間店，\n去幫我買東西回來。
A1_1790_PIKACHU_500_2000	特地選擇那間店，\n是為了買高帽特調吧。
A1_1790_PIKACHU_500_3000	真不愧是萊姆市數一數二的大富豪，\n喝得出一流的味道喔。
A1_1790_BURNS_500_12000	今天我也拜託牠去幫忙買東西，\n但是牠到現在似乎都還沒從咖啡館回來。
A1_1790_BURNS_500_13000	牠到底跑去哪裡了呢……
A1_1790_TIM_500_4000	關於鴨寶寶可能在哪裡，\n你有什麼頭緒嗎？
A1_1790_BURNS_500_14000	很遺憾，我不知道……
A1_1790_TIM_500_5000	散落在事件現場的羽毛\n是鴨寶寶的沒錯吧？
A1_1790_BURNS_500_15000	是的，沒錯。
A1_1790_BURNS_500_16000	但是，到底是為什麼\n鴨寶寶的羽毛會掉在那裡呢……
A1_1790_BURNS_500_17000	我一想到牠會不會是被捲入這次的事件，\n就覺得好擔心……
A1_1790_BURNS_600_1000	極光之露是丹尼斯老爺\n最為珍惜的寶石。
A1_1790_BURNS_600_2000	為了獲得那個寶石，\n老爺費了很多苦心。
A1_1790_BURNS_600_3000	極光之露可以說是\n寶石商人丹尼斯至今的努力結晶。
A1_1790_BURNS_600_4000	我不能原諒偷走那個寶石的犯人。
A1_1790_PIKACHU_600_1000	雖然說得很有禮貌，\n但是聽得出背後有澎湃的感情喔。
A1_1790_BURNS_600_5000	提姆先生，請你務必要找到極光之露。
A1_1790_TIM_600_1000	這是當然的。
A1_1790_BURNS_700_1000	<color=#F39800FF>我很了解卡蒂狗對於食物的喜好。</color>
A1_1790_BURNS_700_2000	卡蒂狗特別喜歡吃甜食……
A1_1790_BURNS_700_3000	在我以前負責牠的食物的時候，\n我總是為牠準備了甜甜的點心。
A1_1790_PIKACHU_700_1000	巴恩斯！你真是個大好人耶。
A1_1790_PIKACHU_700_2000	我說提姆，你也可以\n再多給我一些點心吃喔。
A1_1790_BURNS_700_4000	……皮卡丘怎麼感覺突然變了個樣子，\n請問牠還好嗎？
A1_1790_TIM_700_1000	這是常有的事，請不用在意。
A1_1800_PIKACHU_100_1000	如果光是聽巴恩斯說的話，\n也難怪警察會懷疑他了。
A1_1800_TIM_100_1000	是啊，至少有其他的目擊者就好了。
A1_1800_PIKACHU_100_2000	說到這回事，提姆，\n你是不是忘了什麼呀？
A1_1800_TIM_100_2000	咦……？
A1_1800_PIKACHU_100_3000	巴恩斯不是說，事件發生時\n卡蒂狗和皮可西都在豪宅裡嗎？
A1_1800_TIM_100_3000	對喔，寶可夢牠們搞不好有看到什麼！
A1_1800_PIKACHU_100_4000	就是這麼一回事！\n接下來就包在我身上！
A1_1800_PIKACHU_100_5000	我們去向牠們打聽消息吧，提姆！
A1_1810_PIKACHU_100_1000	卡蒂狗，抱歉，我知道你現在很消沉，\n但我可以問你一些事嗎？
A1_1810_GARDIE_100_1000	卡蒂……？
A1_1810_PIKACHU_100_2000	我們來這裡，\n是為了要捉出犯人。
A1_1810_PIKACHU_100_3000	為了達成這件事，我們需要你的幫忙。
A1_1810_GARDIE_100_2000	卡蒂……\n卡蒂，卡蒂。
A1_1810_PIKACHU_100_4000	為了桑傑先生，你願意幫忙？\n謝謝你喔。
A1_1810_TIM_100_1000	桑傑先生？
A1_1810_PIKACHU_100_5000	卡蒂狗似乎是這麼叫丹尼斯的。
A1_1810_TIM_100_2000	我懂了。因為是「桑傑夫・丹尼斯」，\n所以叫桑傑先生啊。
A1_1810_PIKACHU_100_6000	那麼，卡蒂狗，\n這就讓我們問幾個問題吧。
A1_1810_GARDIE_200_1000	卡蒂～
A1_1810_PIKACHU_200_1000	牠說儘管問。
A1_1810_SEL_0_1000	關於卡蒂狗
A1_1810_SEL_0_2000	關於事件發生時的狀況
A1_1810_SEL_0_3000	關於巴恩斯
A1_1810_SEL_0_4000	關於卡蒂狗擅長的事
A1_1810_GARDIE_300_1000	卡蒂。
A1_1810_PIKACHU_300_1000	身為丹尼斯的夥伴，\n你的職責就是守護這棟豪宅啊。
A1_1810_PIKACHU_300_2000	寶石保管室的鑰匙\n就是掛在你的脖子上，對吧。
A1_1810_GARDIE_300_2000	卡蒂蒂！
A1_1810_PIKACHU_300_3000	那是丹尼斯重要的東西，\n所以你一直好好地保管著啊。
A1_1810_GARDIE_300_3000	卡蒂卡蒂。
A1_1810_PIKACHU_300_4000	你絕對不讓丹尼斯和巴恩斯以外的\n人類碰到鑰匙啊。
A1_1810_GARDIE_300_4000	卡蒂蒂……
A1_1810_PIKACHU_300_5000	所以這次的事情\n讓你覺得自己有責任啊。
A1_1810_TIM_300_1000	卡蒂狗很有責任感呢。
A1_1810_PIKACHU_300_6000	別擔心，\n我們一定會解決這個事件的。
A1_1810_PIKACHU_400_1000	你記得事件發生時的狀況嗎？
A1_1810_GARDIE_400_1000	卡蒂……
A1_1810_PIKACHU_400_2000	你當時在睡午覺，什麼都不知道啊。
A1_1810_GARDIE_400_2000	……卡蒂卡蒂。
A1_1810_PIKACHU_400_3000	什麼？是因為今天的早餐太好吃，\n讓你吃了太多的關係？
A1_1810_PIKACHU_400_4000	我能了解那種感覺耶～
A1_1810_TIM_400_1000	你在說什麼東西啊？
A1_1810_GARDIE_400_3000	卡蒂，卡蒂卡蒂。
A1_1810_PIKACHU_400_5000	你是在巴恩斯回來時醒來的。\n也就是差不多在事件發生的前一刻囉。
A1_1810_PIKACHU_400_6000	而那時候，\n重要的鑰匙也已經不見了呀。
A1_1810_GARDIE_400_4000	卡蒂……嗚。
A1_1810_PIKACHU_400_7000	這樣啊，你很不甘心……
A1_1810_GARDIE_400_5000	卡蒂卡蒂！
A1_1810_PIKACHU_400_8000	要是能捉到犯人，\n你什麼都願意幫忙？
A1_1810_PIKACHU_400_9000	謝謝你喔。
A1_1810_PIKACHU_400_10000	要是有什麼需要，\n我們會請你幫一把的。
A1_1810_GARDIE_500_1000	卡蒂，卡蒂卡蒂。
A1_1810_PIKACHU_500_1000	牠說巴恩斯很紳士，\n是個好心人。
A1_1810_PIKACHU_500_2000	他和丹尼斯的感情也很好，\n卡蒂狗沒見過他們兩人吵架。
A1_1810_TIM_500_1000	的確丹尼斯先生看起來\n很信任巴恩斯先生嘛。
A1_1810_GARDIE_500_2000	卡蒂卡蒂！
A1_1810_PIKACHU_500_3000	卡蒂狗說牠也很喜歡巴恩斯喔。
A1_1810_TIM_500_2000	聽了卡蒂狗的說法，\n的確很難認為他是犯人。
A1_1810_PIKACHU_600_1000	你有沒有什麼擅長的事，\n可以幫我們捉到犯人？
A1_1810_GARDIE_600_1000	卡蒂！
A1_1810_PIKACHU_600_2000	牠說<color=#F39800FF>「我對自己的嗅覺很有信心！」</color>呢。
A1_1810_TIM_600_1000	既然有靈敏的嗅覺，\n說不定能夠追蹤氣味喔。
A1_1810_PIKACHU_600_3000	沒錯，這會是個方法。
A1_1815_TIM_100_1000	卡蒂狗說的那些話，內容似乎\n無法證明巴恩斯先生的清白。
A1_1815_PIKACHU_100_1000	再來就只剩下皮可西囉。
A1_1815_PIKACHU_100_2000	我會用我的好口才\n去說服皮可西的。
A1_1815_TIM_100_2000	拜託你囉，皮卡丘。
A1_1820_PIXY_100_1000	皮可西！
A1_1820_PIKACHU_100_1000	你們這兩個小偷又來了！？
A1_1820_PIKACHU_100_2000	不不不，\n我們才不是小偷呢。
A1_1820_PIKACHU_100_3000	我們反倒是來捉小偷的名偵探。\n拜託了，讓我們問幾個問題吧。
A1_1820_PIXY_100_2000	皮可西？
A1_1820_PIKACHU_100_4000	嗯，是真的。\n你可以相信我們。
A1_1820_PIXY_100_3000	皮可西……？
A1_1820_PIKACHU_100_5000	嗯，如果你能幫我們，\n克勞蒂亞的心情一定也會變好的。
A1_1820_PIXY_100_4000	皮可西。
A1_1820_PIKACHU_100_6000	你願意和我們聊聊了嗎？\n謝謝你喔。
A1_1820_TIM_100_1000	皮可西是在擔心我們會不會對\n克勞蒂亞夫人做什麼不好的事啊。
A1_1820_PIKACHU_200_1000	皮可西，我可以問你一些事嗎？
A1_1820_PIXY_200_1000	皮可西！
A1_1820_SEL_0_1000	關於皮可西
A1_1820_SEL_0_2000	關於事件發生時的狀況
A1_1820_SEL_0_3000	關於巴恩斯
A1_1820_SEL_0_4000	關於皮可西擅長的事
A1_1820_PIKACHU_300_1000	你在這棟豪宅裡負責什麼事？
A1_1820_PIXY_300_1000	皮可西！
A1_1820_PIKACHU_300_2000	沒負責什麼。硬要說的話，\n就是陪在克勞蒂亞的身邊啊。
A1_1820_PIKACHU_300_3000	她的個性那麼難搞，\n要陪著她也不容易吧？
A1_1820_PIXY_300_2000	皮可西！
A1_1820_PIKACHU_300_4000	克勞蒂亞並不是壞人，是吧？
A1_1820_PIKACHU_300_5000	抱歉，我不是要說她的壞話。
A1_1820_PIXY_300_3000	皮可西。
A1_1820_PIKACHU_300_6000	克勞蒂亞總是和人在吵架。
A1_1820_PIKACHU_300_7000	但是和你單獨在一起的時候，\n她就會後悔那些事。
A1_1820_PIKACHU_300_8000	你的工作就是\n在這種時候安慰她啊。
A1_1820_PIKACHU_300_9000	想不到你挺體貼的嘛。
A1_1820_TIM_300_1000	對克勞蒂亞夫人而言，\n皮可西想必是不可或缺的存在吧。
A1_1820_PIKACHU_400_1000	今天有沒有發生什麼\n奇怪的事情？
A1_1820_PIXY_400_1000	皮可西……
A1_1820_PIKACHU_400_2000	牠說，<color=#F39800FF>今天早上在屋子裡玩著玩著，\n就突然感到睏</color>。
A1_1820_PIXY_400_2000	皮可西。
A1_1820_PIKACHU_400_3000	牠就那樣睡著了，\n所以不知道發生了什麼事。
A1_1820_TIM_400_1000	這樣啊……真可惜。
A1_1820_PIKACHU_500_1000	你覺得巴恩斯如何？\n你和巴恩斯感情好嗎？
A1_1820_PIXY_500_1000	皮可西……
A1_1820_PIKACHU_500_2000	克勞蒂亞不怎麼喜歡巴恩斯……
A1_1820_PIKACHU_500_3000	所以皮可西也盡量不去\n和巴恩斯有牽扯。
A1_1820_PIXY_500_2000	皮可西。
A1_1820_PIKACHU_500_4000	牠說，雖然這樣，\n但牠不覺得巴恩斯是個壞人。
A1_1820_PIKACHU_500_5000	今天牠們也是一起趕到\n倒下的透納身邊的。
A1_1820_TIM_500_1000	那意思是牠看到了巴恩斯先生\n在照顧透納先生？
A1_1820_PIKACHU_500_6000	似乎就是這麼一回事。
A1_1820_PIKACHU_500_7000	皮可西！再更詳細告訴我們\n當時的情況吧！
A1_1820_PIXY_500_3000	皮可西。
A1_1820_PIKACHU_500_8000	皮可西牠上午都在\n玄關附近打瞌睡。
A1_1820_PIKACHU_500_9000	牠在巴恩斯從外面回來時睡醒了，\n所以就在玄關迎接了巴恩斯。
A1_1820_PIXY_500_4000	皮可西，\n皮可西！
A1_1820_PIKACHU_500_10000	<color=#F39800FF>那時候從２樓傳來了叫聲，\n所以牠和巴恩斯一起上去２樓……</color>
A1_1820_PIKACHU_500_11000	然後看到了透納倒在地上，\n讓牠嚇了一跳！
A1_1820_TIM_500_2000	也就是說，透納先生遭到襲擊時……\n巴恩斯先生人在１樓！
A1_1820_PIXY_600_1000	皮可西！
A1_1820_PIKACHU_600_1000	牠說<color=#F39800FF>牠的耳朵比其他寶可夢都要好呢！</color>
A1_1820_PIXY_600_2000	皮可西。
A1_1820_PIKACHU_600_2000	哦……你能聽見豪宅裡所有房間的\n腳步聲和說話聲啊。
A1_1820_TIM_600_1000	那是很厲害的專長耶！
A1_1820_PIKACHU_600_3000	對了，皮可西連１公里外的聲音\n都能聽得見呢。
A1_1820_TIM_600_2000	１公里！？\n那不是人類所能擁有的聽力呢。
A1_1820_PIXY_600_3000	皮可西！？\n皮可西！
A1_1820_PIKACHU_600_4000	牠要你別那麼大聲。\n聽見太大的聲音會讓牠很難受。
A1_1820_TIM_600_3000	啊，抱歉喔，皮可西。\n我會多加注意。
A1_1830_BRAD_100_1000	名偵探，你有什麼事？
A1_1830_TIM_100_1000	巴恩斯先生的偵訊已經結束了吧？
A1_1830_BRAD_100_2000	可以說算是告一段落了吧。\n因為我們還沒把證據蒐集完全呢。
A1_1830_BRAD_100_3000	巴恩斯是這個事件的嫌犯。\n這件事沒有改變。
A1_1830_TIM_100_2000	你不介意的話，\n可以讓我問一些事嗎？
A1_1830_BRAD_100_4000	是無所謂。但是，\n我是不會把搜查的情報告訴你的。
A1_1830_BRAD_200_1000	你還有什麼事？
A1_1830_SEL_0_1000	關於巴恩斯
A1_1830_SEL_0_2000	關於搜查的進展
A1_1830_TIM_300_1000	警察之所以懷疑巴恩斯先生，\n果然還是鑰匙的關係嗎？
A1_1830_BRAD_300_1000	這你果然知道嗎……\n嗯，就是這樣沒錯。
A1_1830_BRAD_300_2000	能拿到鑰匙的，\n只有當家的丹尼斯先生跟管家的巴恩斯。
A1_1830_BRAD_300_3000	這不太可能是丹尼斯先生的自導自演。\n所以理所當然會認為是巴恩斯偷的。
A1_1830_BRAD_300_4000	更何況，他的夥伴鴨寶寶的羽毛，\n還掉在事件的現場。
A1_1830_BRAD_300_5000	巴恩斯使用鑰匙進入寶石保管室，\n然後叫鴨寶寶把寶石帶走。
A1_1830_BRAD_300_6000	以上，就是我的見解。
A1_1830_TIM_300_2000	原來如此……
A1_1830_BRAD_300_7000	我們還沒掌握到決定性的證據。
A1_1830_BRAD_300_8000	但是，我們會找到逃跑的鴨寶寶，\n而且一定會找到證據。
A1_1830_TIM_300_3000	我也會作為一名偵探繼續調查的。
A1_1830_BRAD_300_9000	哼，你高興就行。
A1_1830_TIM_400_1000	你有在調查巴恩斯先生以外的人嗎？
A1_1830_BRAD_400_1000	那當然了。這棟豪宅裡面的人，\n我們已經都問過一遍了。
A1_1830_TIM_400_2000	能不能告訴我布萊德先生\n你對大家的印象呢？
A1_1830_BRAD_400_2000	……算了，如果你只是想問這個的話，\n告訴你也無所謂。
A1_1830_BRAD_400_3000	巴恩斯被列為嫌犯，\n讓丹尼斯先生很是焦急。
A1_1830_BRAD_400_4000	而他的妻子克勞蒂亞夫人，\n現在情緒非常地激動。
A1_1830_BRAD_400_5000	一直叫我們早點結束搜查。
A1_1830_PIKACHU_400_1000	布萊德也真辛苦。\n我挺同情他的。
A1_1830_BRAD_400_6000	傭人透納先生則十分配合搜查。
A1_1830_BRAD_400_7000	在他昏過去之前發生的事，\n他都一五一十地告訴我了。
A1_1830_BRAD_400_8000	嗯，我也就只能說到這邊了。
A1_1830_TIM_400_3000	謝謝，我會當作參考。
A1_1830_PIKACHU_400_2000	警察可以向人類打聽情報，\n但沒辦法向寶可夢問話。
