A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A0_SRT_BUTLER_600_10_NOMESSAGE	うーむ
A0_SRT_TABUNNE_600_10_NOMESSAGE	タブンネ......（こまったわ......）
A0_SRT_FREFUWAN_1200_10_NOMESSAGE	フレフレー（それそれー）
A0_SRT_MAMEPATO02_1200_10_NOMESSAGE	パア？（あれ？）
A0_SRT_PIKACHU_1200_2	よっしゃー
A0_SRT_MAMEPATO03_1200_10_NOMESSAGE	パァー　パァー（やったー　やったー）
A0_SRT_PIKACHU_1200_5_NOMESSAGE	ワッハッハ
A0_SRT_PIKACHU_1200_10	よかったな
A0_SRT_ARMORGA_1700_10_NOMESSAGE	汎用ボイス
A0_SRT_BUTLER_1700_10	また現れたな
A0_SRT_ANASSY_1700_10_NOMESSAGE	汎用ボイス
A0_SRT_BUTLER_1700_20	おい！　追跡するぞ
A0_SRT_OHPOLICEWOMAN01_1700_10	はい
A0_SRT_PIKACHU_1400_10	うわ！　ナッシーじゃないか！
A0_SRT_ANASSY_1400_10_NOMESSAGE	（やあー）
A0_SRT_PIKACHU_1500_10	苦労させやがって……
A0_SRT_PIKACHU_1500_20	よっ
A0_SRT_PIKACHU_1500_30	やっぱ　こっちの方がしっくりくるな
A0_SRT_TIM_1500_10	そうだね　似合ってるよ
A0_SRT_PIKACHU_1500_40	この帽子は……
A0_SRT_PIKACHU_1500_50	ハリーとコンビを結成したときに\n記念にもらったんだ
A0_SRT_NOFACEANNOUNCE03_1500_10	授章式を再開いたします\n参加者の皆さまは　会場へおもどりください
A0_SRT_TIM_1500_20	あ！　早く授章式にもどらないと
A0_SRT_PIKACHU_1500_60	アーマーガアめ……\n今日のところは見逃してやるぜ
A0_SRT_IRENE_1800_10	ティム\n今日は立派だったわよ
A0_SRT_SOPHIA_1800_10	お兄ちゃんってスゴイね！
A0_SRT_TIM_1800_10	そうかな？
A0_SRT_SOPHIA_1800_14	お兄ちゃんたちの活躍は\n誰だって知ってるよ
A0_SRT_SOPHIA_1800_18	「イーブイ誘拐事件」に\n「連続カセキ盗難事件」
A0_SRT_IRENE_1800_16	それに\n「ライムタワー立てこもり事件」ね
A0_SRT_IRENE_1800_23	「Ｒ事件」なんて\n映画化されたじゃない！
A0_SRT_SOPHIA_1800_22	あの映画　すっごくおもしろかったけど\nわたしとお母さんが　登場しなかったよね
A0_SRT_TIM_1800_25	よくわからないけど\n映画には映画の都合があるんじゃない？
A0_SRT_SOPHIA_1800_26	うん　そうかもね……
A0_SRT_SOPHIA_1800_30	そうそう！　ずっと気になってたんだけど
A0_SRT_SOPHIA_1800_40	この子がパパのピカチュウ？
A0_SRT_TIM_1800_40	そうだよ\nいまは　ぼくの相棒だけどね
A0_SRT_SOPHIA_1800_50	ふーん……
A0_SRT_PIKACHU_1800_10	なんだなんだ？　じっと見つめて
A0_SRT_IRENE_1800_30	パパのピンチを何度も救ったそうよ
A0_SRT_SOPHIA_1800_60	へー
A0_SRT_TIM_1800_50	あ　ピカチュウ！\nニュースの時間だよ
A0_SRT_TIM_1800_60	アーマーガアの続報があるかも
A0_SRT_PIKACHU_1800_20	ああ
A0_SRT_SOPHIA_1800_70	……
A0_SRT_EMILIA_1900_10	視聴者から寄せられた\n映像によりますと
A0_SRT_EMILIA_1900_20	ライムシティ北東の山中にて
A0_SRT_EMILIA_1900_30	ポケモンが原因と思われる爆発が\n確認されました
A0_SRT_EMILIA_1900_40	最近多発しているポケモンによる\n事故との関連があるとみて
A0_SRT_EMILIA_1900_50	ライム警察と新設された\nポケモン保護局が捜査中です
A0_SRT_EMILIA_1900_60	以上\nエミリア・クリスティーでした
A0_SRT_PIKACHU_1900_10	おい　いまの見たか？
A0_SRT_TIM_1900_10	この事件\n父さんと関係がなければいいけど
A0_SRT_PIKACHU_1900_20	そうだな……
A0_SRT_TIM_1900_20	２年前　ミュウツーは
A0_SRT_TIM_1900_30	父さんは生きてて\nあきらめなければ　かならず会えるって
A0_SRT_PIKACHU_1900_30	ヤツはハリー捜しの\n唯一の手がかりだからな
A0_SRT_IRENE_1900_10	ピカチュウとコソコソばなし？
A0_SRT_IRENE_1900_20	ポケモンに話しかけてるなんて\nハリーに　そっくりね
A0_SRT_TIM_1900_40	え？　そうなんだ……
A0_Telop.asset
A0_POKEMON_NAME_010	ピカチュウ
A0_POKEMON_DESCRIPTION_010	ピカッとひらめく名探偵
A0_POKEMON_NAME_020	タブンネ
A0_POKEMON_DESCRIPTION_020	耳をすまして体調チェック
A0_POKEMON_NAME_030	フレフワン
A0_POKEMON_DESCRIPTION_030	魅惑のフレグランス
A0_POKEMON_NAME_050	マメパト
A0_POKEMON_DESCRIPTION_050	ライムシティの公園暮らし
A0_POKEMON_NAME_060	カジッチュ
A0_POKEMON_DESCRIPTION_060	リンゴの中がマイホーム
A0_POKEMON_NAME_070	ナッシー
A0_POKEMON_NAMEREGION_070	アローラのすがた
A0_POKEMON_DESCRIPTION_070	そびえたつトロピカル
A0_POKEMON_NAME_080	アーマーガア
A0_POKEMON_DESCRIPTION_080	翼で風切る　ハガネ鳥
A0_POKEMON_NAME_090	ネイティオ
A0_POKEMON_DESCRIPTION_090	遥か彼方を見通す眼
A0_POKEMON_NAME_100	コイル
A0_POKEMON_DESCRIPTION_100	電磁波で空中浮遊
A0_PERSON_NAME_010	ウィル・バトラー
A0_PERSON_DESCRIPTION_010	ポケモン保護局　局長
A0_PERSON_NAME_020	ハワード・マイヤーズ
A0_PERSON_DESCRIPTION_020	ライムシティ市長
A0_PERSON_NAME_030	ティム・グッドマン
A0_PERSON_DESCRIPTION_030	赤いパーカーがトレードマーク
A0_PERSON_NAME_040	ソフィア・グッドマン
A0_PERSON_DESCRIPTION_040	ティムの妹
A0_PERSON_NAME_050	アイリーン・グッドマン
A0_PERSON_DESCRIPTION_050	ティムの母親
A0_Tracker.asset
A0_TRACKER_TRACKER_1000_10	ピカチュウのところに行こう
A0_TRACKER_TRACKER_1100_10	アーマーガアを捜そう
A0_TRACKER_TRACKER_1200_10	マメパトたちから話を聞こう
A0_TRACKER_TRACKER_1300_10	ポケモンたちに聞き込みしよう
A0_TRACKER_TRACKER_1400_10	アーマーガアが　飛んで行った方に行こう
A0_TRACKER_TRACKER_1500_10	あたりを調べよう
A0_TRACKER_TRACKER_1600_10	現場検証しよう
A0_TRACKER_TRACKER_1700_10	テレビをチェックしよう
A0_TRACKER_TRACKER_2300_10	方向ボタン（左）を押そう
A0_TRACKER_TRACKER_2400_10	木を調べてみよう
A1.asset
A1_10100_DKWOMANMID01_200_1000	さっきは　ありがとうございました\n探偵さん
A1_10100_DKWOMANMID01_200_2000	わたし　今日は一日　ヨーテリーちゃんと\n遊んで過ごすことにしたの
A1_10100_TIM_200_1000	いいですね\nきっと喜ぶと思います
A1_10100_PIKACHU_200_1000	ああ　思い切り遊びたい　と\n言っていたからな
A1_10100_DKWOMANMID01_200_3000	ヨーテリーちゃんを捜して　つかれたけど\n遊んでると　つかれを忘れられるわ！
A1_10100_DKWOMANMID01_300_1000	うちのヨーテリーちゃんは\n静かなところが　好きなの
A1_10100_DKWOMANMID01_300_2000	早く見つかるといいのだけれど……
A1_10110_YORTERRIE_400_1000	クゥ～ン
A1_10110_TIM_400_1000	あ　ピカチュウ\nこのポケモンは　もしや？
A1_10110_PIKACHU_400_1000	ああ　ヨーテリーだ
A1_10110_PIKACHU_400_2000	デニス邸の前で会った女性のパートナーかもな\n話を聞いてみるか
A1_10110_PIKACHU_400_3000	なあ　おまえ\nこんなところで　なにしてるんだ？
A1_10110_YORTERRIE_400_2000	キャン？
A1_10110_PIKACHU_400_4000	ふ～む　そうだったのか
A1_10110_PIKACHU_400_5000	どうやら　夢中で走りまわってたら\n知らない場所に来てしまったようだ
A1_10110_TIM_400_2000	さっきの　女性が\n言った通りだったね
A1_10110_YORTERRIE_400_3000	クゥン……
A1_10110_PIKACHU_400_6000	パートナーに会いたい　だってよ
A1_10110_TIM_400_3000	よし\nすぐ知らせて　連れて来るよ！
A1_10110_DKWOMANMID01_400_1000	ヨーテリーちゃん！\n見つかって　よかったわ……！
A1_10110_YORTERRIE_400_4000	キャン！
A1_10110_DKWOMANMID01_400_2000	ヨーテリーちゃんを見つけてくれて\n本当にありがとうございました！
A1_10110_TIM_400_4000	どういたしまして\nお役に立てて　よかったです
A1_10110_YORTERRIE_400_5000	クゥン……
A1_10110_DKWOMANMID01_400_3000	……その様子　きっと　遊び足りなくて\n走っていっちゃったのね？
A1_10110_YORTERRIE_400_6000	クゥン……
A1_10110_DKWOMANMID01_400_4000	いいわ　今日は　いっしょに\n好きなだけ遊びましょ！
A1_10110_YORTERRIE_400_7000	クゥ～ン
A1_10110_PIKACHU_400_7000	これで一件落着だな
A1_10110_TIM_400_5000	うん\n喜んでもらえて　よかったね
A1_10120_YORTERRIE_100_1000	キャン！　キャン！
A1_10120_TIM_100_1000	今度からは　迷子にならないようにね
A1_10130_DKWOMANMID01_100_1000	え……？\nお願いを聞いてくれないの！？
A1_10130_DCPOLICEWOMAN02_100_1000	お気持ちはお察ししますが　\nいまは　事件現場を離れられないので……
A1_10130_DKWOMANMID01_100_2000	そんな……
A1_10130_PIKACHU_100_1000	あの女性　なにか　困りごとを\nかかえている様子だな
A1_10130_TIM_100_1000	そうみたいだね
A1_10130_TIM_100_2000	ぼくらの事件とは関係なさそうだけど\n困っている人は　助けてあげたいね
A1_10130_PIKACHU_100_2000	いい心がけだ　ティム\n困りごとを　かかえた人や　ポケモンがいたら
A1_10130_PIKACHU_100_3000	できるかぎり　助けよう\nそれでこそ　この街の名探偵だ
A1_10130_PIKACHU_100_4000	……ただし　優先すべきはいまの事件調査だ\n余力があれば　対応しよう
A1_10130_TIM_100_3000	うん\nひとまずは　あの人に話を聞いてみるよ
A1_10130_PIKACHU_100_5000	ああ　そうだな
A1_10130_TIM_100_4000	あの　どうかしましたか？
A1_10130_DKWOMANMID01_100_3000	うちのヨーテリーちゃんが\nいなくなってしまったの……
A1_10130_TIM_100_5000	え！？　なにがあったんです？
A1_10130_DKWOMANMID01_100_4000	憩いの公園でいっしょに\nおさんぽをしていたんだけど
A1_10130_DKWOMANMID01_100_5000	ただ　楽しくなっちゃったのか\n突然すごい勢いで駆け出しちゃって……
A1_10130_DKWOMANMID01_100_6000	もう　あちこち捜しまわって\nヘトヘトだわ
A1_10130_DKWOMANMID01_100_7000	あの警察官　迷子捜しを受け付けてくれなくて\nもう　どうしたらいいのか……
A1_10130_TIM_100_6000	これは見過ごせないね
A1_10130_PIKACHU_100_6000	そうだな　人助けは探偵として当然\nポケモン捜しとなれば　なおさらだ
A1_10130_TIM_100_7000	あの　ぼくたちもお手伝いします\n探偵ですから　迷子を捜すのは得意なんです
A1_10130_DKWOMANMID01_100_8000	あら　本当？　助かるわ！！
A1_10130_TIM_100_8000	さっそくですが　ヨーテリーが行きそうな場所に\n心当たりはありませんか？
A1_10130_DKWOMANMID01_100_9000	そうね　公園の中は\nだいたい捜したんだけど……
A1_10130_DKWOMANMID01_100_10000	でも　まだ街の方には行ってないわね
A1_10130_DKWOMANMID01_100_11000	それとあの子　静かなところが　好きなの\nでもそんな場所　あったかしら？
A1_10130_TIM_100_9000	それだけ情報が　あれば\nなんとか　なりそうです！
A1_10130_TIM_100_10000	後は　ぼくたちで捜しますから\nここで待っていてください
A1_10130_DKWOMANMID01_100_12000	いそがしそうなのに　わるいわね\nヨーテリーちゃんのこと　お願い！
A1_10130_PIKACHU_100_7000	調査中　ヨーテリーを見かけたら\n話しかけてみようぜ
A1_10200_ABURIBBON_400_1000	ブブブッ
A1_10200_PIKACHU_400_1000	アブリーたちを見つけてくれて\nありがとう　だってよ
A1_10200_TIM_400_1000	ピカチュウとガーディの\nおかげだね
A1_10200_ABURIBBON_500_1000	アブッ
A1_10200_TIM_500_1000	なんだかすごく\nあわててるみたいだね
A1_10200_PIKACHU_500_1000	アブリーが帰ってこなくて\n心配なんだ
A1_10200_PIKACHU_500_2000	アブリーを見つけるには\nガーディのちからを借りないとな
A1_10200_TIM_600_1000	アブリボンだ
A1_10200_PIKACHU_600_1000	花粉やミツを混ぜていろんな団子を\nつくることができるポケモンだな
A1_10200_ABURIBBON_600_1000	ブブブッ
A1_10200_TIM_600_2000	なんだか　いそがしそうだね
A1_10200_ABURIBBON_600_2000	アッブゥー
A1_10200_PIKACHU_600_2000	仲間のアブリーたちが食べる\n団子をつくってあげているらしい
A1_10200_PIKACHU_600_3000	食べ盛りだから　たくさん\n用意しないといけないみたいだ
A1_10200_TIM_600_3000	みんなのために大変だね\nじゃましないで見守ってあげよう
A1_10200_ABURIBBON_700_1000	アブッ
A1_10200_PIKACHU_700_1000	団子づくりで　いそがしい　ってさ
A1_10200_TIM_800_1000	アブリボンだ
A1_10200_PIKACHU_800_1000	花粉やミツを混ぜていろんな団子を\nつくることができるポケモンだな
A1_10200_ABURIBBON_800_1000	ブブブッ
A1_10200_TIM_800_2000	なんだか　いそがしそうだね
A1_10200_ABURIBBON_800_2000	アッブゥー
A1_10200_PIKACHU_800_2000	仲間のアブリーたちが食べる\n団子をつくってあげているらしい
A1_10200_PIKACHU_800_3000	食べ盛りだから　たくさん\n用意しないといけないみたいだ
A1_10200_TIM_800_3000	みんなのために大変だね\nじゃましないで見守ってあげよう
A1_1030_TIM_100_1000	さあ　行こうピカチュウ
A1_1030_PIKACHU_100_1000	ちょっと待て　ティム
A1_1030_TIM_100_2000	え？　どうしたの？
A1_1030_PIKACHU_100_2000	いや　あせるんじゃない
A1_1030_PIKACHU_100_3000	よい調査と正しい推理のためには\n心の余裕が必要だ
A1_1030_TIM_100_3000	まあ……\nそれは　そうかもしれないけど
A1_10300_DKBOY01_200_1000	ラビフット！\nもっと速いパスを出してくれ！
A1_10300_TIM_200_1000	すごい気合いだ……！\n試合が楽しみだな
A1_10300_DKBOY01_300_1000	サッカーがうまいポケモン　見つかった？
A1_10300_TIM_300_1000	ごめんね　まだ捜してる途中だから\n待っててね
A1_10300_DKBOY01_400_1000	はあ……　このままじゃマズイなあ……
A1_10300_PIKACHU_400_1000	おや？　この少年\n困りごとを　かかえてそうだな
A1_10300_TIM_400_1000	どうしたの　キミ？\n浮かない顔してるね
A1_10300_DKBOY01_400_2000	あ　テレビに出てた探偵さんと\nピカチュウだ！
A1_10300_DKBOY01_400_3000	そうだ！　探偵さんなら\nなんとかしてくれるかも！
A1_10300_TIM_400_2000	いったい　なにがあったの？
A1_10300_DKBOY01_400_4000	あのさ　今度タンティ公園ＦＣと\nサッカーの試合をするんだ
A1_10300_PIKACHU_400_2000	タンティ公園ＦＣ？\nあそこにそんなチームがあったのか
A1_10300_DKBOY01_400_5000	そこにズルズキンがパートナーのヤツがいて\nそいつらがすっげえ強いんだよ
A1_10300_DKBOY01_400_6000	このままじゃ　試合をしても\n負けちゃうかもしれない
A1_10300_DKBOY01_400_7000	だから　オレもポケモンをパートナーにして\nいっしょにプレイしたいんだ！
A1_10300_DKBOY01_400_8000	でも　サッカーがうまいポケモンが\nなかなか見つからなくて……
A1_10300_PIKACHU_400_3000	なるほどな……\n足わざが得意なヤツを捜す必要があるな
A1_10300_DKBOY01_400_9000	ねえ　探偵さん　サッカーが\nうまいポケモンに　心当たりはない？
A1_10300_TIM_400_3000	うーん　すぐには思いつかないな\nでも　見つけたら教えてあげるよ
A1_10300_DKBOY01_400_10000	本当！？　ありがとう　探偵さん！
A1_10300_PIKACHU_400_4000	サッカーがうまいポケモンか\nさて　ライムシティにいればいいんだが……
A1_10310_PIKACHU_400_1000	ラビフットだ\nこんなところで　なにしてるんだ？
A1_10310_RABBIFUTO_400_1000	ビィ
A1_10310_PIKACHU_400_2000	なるほど　これからひとりで\nドリブルを練習しようとしてたのか
A1_10310_TIM_400_1000	ドリブルの練習？
A1_10310_PIKACHU_400_3000	ラビフットは足わざが得意なポケモンで\nいつも　練習してるんだ
A1_10310_TIM_400_2000	それなら　サッカーの試合に\n出てくれるかもしれないね
A1_10310_PIKACHU_400_4000	たしかに　こいつはそうとうな\nテクニシャンって話だからな！
A1_10310_PIKACHU_400_5000	おい　ラビフット　おまえとボール遊びを\nしたがってる少年がいるんだ
A1_10310_PIKACHU_400_6000	よければ　相手をしてやってくれないか？
A1_10310_RABBIFUTO_400_2000	ビィ！
A1_10310_PIKACHU_400_7000	おお　やってくれるか！
A1_10310_TIM_400_3000	よかった！\nじゃあ　あの子を呼んで来るよ！
A1_10310_RABBIFUTO_400_3000	ビィ！　ビーフゥー！
A1_10310_DKBOY01_400_1000	この目……　す　すごいやる気だ！\n探偵さん　このポケモン　すごいよ！
A1_10310_TIM_400_4000	話しかけてごらん\nきっと　特訓に付き合ってくれるよ
A1_10310_DKBOY01_400_2000	本当に？　ラビフット\nオレといっしょに　サッカーしよう！
A1_10310_RABBIFUTO_400_4000	ビィ　ビーフゥー
A1_10310_DKBOY01_400_3000	うなずいてくれた……\nありがとう　ラビフット！
A1_10310_DKBOY01_400_4000	よし　さっそく特訓開始だ！\nこれで　きっと試合に勝てるぞ！
A1_10310_TIM_400_5000	がんばってね　応援してるよ
A1_10310_DKBOY01_400_5000	うん　ありがとう！
A1_10310_DKBOY01_400_6000	それじゃあ　これからよろしくな\nラビフット！
A1_10310_RABBIFUTO_400_5000	ビィ！
A1_10310_PIKACHU_400_8000	あんなに早く意気投合するとは\nサッカー好きに言葉は　いらないみたいだな
A1_10310_TIM_400_6000	言葉がわからなくても\n気持ちが伝わったんだね……
A1_10310_PIKACHU_500_1000	ラビフットだ\n足わざが得意なポケモンだ
A1_10310_RABBIFUTO_500_1000	ビィ
A1_10310_TIM_500_1000	なんて言ってるの　ピカチュウ？
A1_10310_PIKACHU_500_2000	いまは練習メニューを考えているから\n静かにしてくれ　だそうだ
A1_10310_TIM_500_2000	そっか\nなら　そっとしておいてあげよう
A1_10320_RABBIFUTO_100_1000	ビーフゥー！
A1_10320_TIM_100_1000	すごいはりきっているね！
A1_10320_PIKACHU_100_1000	お互いパートナーが見つかって\nうれしいんだろうな
A1_1040_PIKACHU_100_1000	おいおい　無視しないでくれよ
A1_10400_WOMANQUIZ_200_1000	また今度　クイズ出してあげるね！
A1_10400_WOMANQUIZ_300_1000	さあ　最後のクイズの答えはわかったかな？
A1_10400_TIM_300_1000	はい　その答えはズバリ\nタイレーツ　ですね？
A1_10400_WOMANQUIZ_300_2000	ピンポーン！　大正解！
A1_10400_WOMANQUIZ_300_3000	タイレーツはね　６匹で１匹っていう\nちょっと　変わったポケモンよ
A1_10400_WOMANQUIZ_300_4000	先頭のヘイチョーが　仲間のヘイに命令して\n統制を　図っているわ
A1_10400_WOMANQUIZ_300_5000	隊列をチェンジしながら　戦って\nチームワークで　勝利をおさめるのよ！
A1_10400_TIM_300_2000	おもしろい　ポケモンですね
A1_10400_PIKACHU_300_1000	だが　ヘイチョーがポンコツだと\nへイたちも　苦労しそうだ
A1_10400_DODEKABASHI_300_1000	カバシ！
A1_10400_PIKACHU_300_2000	……ああ　すまん　口がわるかったな\nこれからは　気をつけるよ
A1_10400_WOMANQUIZ_300_6000	さて　今日のクイズは\nこれでオシマイよ！
A1_10400_WOMANQUIZ_300_7000	クイズとポケモン雑学のおもしろさ\n感じてもらえたかな？
A1_10400_TIM_300_3000	ええ　とっても勉強になりました
A1_10400_WOMANQUIZ_300_8000	そう！　それはよかった！\n今度もまた　クイズを用意してくるね！
A1_10400_TIM_300_4000	あー　そうですね\nお手柔らかに　お願いします……
A1_10400_PIKACHU_300_3000	できれば　こういうクイズは\nヒマなときに出してもらいたいな
A1_10400_DODEKABASHI_300_2000	カバシ
A1_10400_PIKACHU_300_4000	ああ　またな　ドデカバシ
A1_10400_WOMANQUIZ_400_1000	いつも仲よし！　グループで行動してる\nポケモンは　だーれだ？
A1_10400_WOMANQUIZ_400_2000	答えのポケモンが　わかったら\nわたしに　教えてね！
A1_10400_WOMANQUIZ_500_1000	探偵さん\n第２問の答え　わかったかな？
A1_10400_TIM_500_1000	はい\n答えは　チョロネコですね？
A1_10400_WOMANQUIZ_500_2000	ピンポン　ピンポン　大正解！
A1_10400_WOMANQUIZ_500_3000	チョロネコは　よく人のものを盗むの
A1_10400_WOMANQUIZ_500_4000	取り返そうとすると　ツメで引っかかれる\nことがあるから　注意してね
A1_10400_PIKACHU_500_1000	あのチョロネコは　そこまで乱暴なヤツじゃ\nなかったけどな
A1_10400_TIM_500_2000	でも　今後は気をつけた方が　いいかもね
A1_10400_PIKACHU_500_2000	まあ　そうだな\nケガはしたくないものな
A1_10400_DODEKABASHI_500_1000	カバシ？
A1_10400_PIKACHU_500_3000	クイズも意外といいものだろう？　だってよ
A1_10400_TIM_500_3000	たしかに　ポケモンのことを\nくわしく知るきっかけになるね
A1_10400_WOMANQUIZ_500_5000	さあ　クイズを続けるわよ！\n第３問！
A1_10400_WOMANQUIZ_500_6000	いつも仲よし！　グループで行動してる\nポケモンは　だーれだ？
A1_10400_TIM_500_4000	グループで行動するポケモン……\n群れで行動するってことかな？
A1_10400_WOMANQUIZ_500_7000	そうじゃないわ　このポケモンは\nグループで１匹と数えるのよ
A1_10400_TIM_500_5000	そんなポケモンがいるんですか？
A1_10400_PIKACHU_500_4000	ドデカバシ　ヒントをくれないか？
A1_10400_DODEKABASHI_500_2000	カバシ
A1_10400_PIKACHU_500_5000	……ふん　つれないヤツだ
A1_10400_WOMANQUIZ_500_8000	とってもユニークな姿の　ポケモンよ\nがんばって　探してきてね！
A1_10400_WOMANQUIZ_600_1000	愛くるしい見た目で　油断させて\n盗みをはたらくポケモンは　だーれだ？
A1_10400_WOMANQUIZ_600_2000	答えのポケモンが　わかったら\nわたしに　教えてね！
A1_10400_WOMANQUIZ_700_1000	さあ　探偵さん\n第１問の答えは　わかったかな？
A1_10400_TIM_700_1000	ええ　バッチリわかりました\n答えは　ベロリンガですね？
A1_10400_WOMANQUIZ_700_2000	ピンポン　ピンポン　大正解！
A1_10400_WOMANQUIZ_700_3000	ベロリンガはね　なが～い舌を操って\n獲物をしとめるポケモンなの
A1_10400_WOMANQUIZ_700_4000	舌でなめられると　ビリビリしびれたり\nかゆみが止まらなくなると言うわ
A1_10400_TIM_700_2000	そうなんだ　なめられないでよかった
A1_10400_PIKACHU_700_1000	想像するだけで\nむずがゆく　なってくるぜ……
A1_10400_DODEKABASHI_700_1000	カバシ
A1_10400_PIKACHU_700_2000	ああ　忠告ありがとよ　ドデカバシ\nベロリンガの舌には気をつけるさ
A1_10400_WOMANQUIZ_700_5000	ま　１問目だし\nこれは簡単すぎたわね
A1_10400_TIM_700_3000	１問目ってことは\n次の問題があるんですか？
A1_10400_WOMANQUIZ_700_6000	もちろん！　ここからが本番よ！\nでは　第２問！
A1_10400_WOMANQUIZ_700_7000	愛くるしい見た目で　油断させて\n盗みをはたらくポケモンは　だーれだ？
A1_10400_PIKACHU_700_3000	おいおい　新たな事件を\n起こされるのは　ごめんだぞ！
A1_10400_TIM_700_4000	盗みをはたらくポケモン……\nいったいどんなポケモンだろう
A1_10400_PIKACHU_700_4000	愛くるしい見た目というのが\n手がかりだな
A1_10400_DODEKABASHI_700_2000	ドカ……
A1_10400_PIKACHU_700_5000	おまえじゃなさそうだな　ドデカバシ
A1_10400_DODEKABASHI_700_3000	カバシ
A1_10400_PIKACHU_700_6000	だよな\nなら　また街で探してみるか　ティム
A1_10400_WOMANQUIZ_800_1000	なが～い舌で\n獲物を狙ってるポケモンは　だーれだ？
A1_10400_WOMANQUIZ_800_2000	正解のポケモンは　この街にいるから\n探してみてね！
A1_10410_BERORINGA_400_1000	ベ～ロべ～
A1_10410_TIM_400_1000	それにしても\nこんなところで　なにやってるんだろう？
A1_10410_PIKACHU_400_1000	おやつを探してるみたいだ\n見つけたら　すぐに　なめはじめるだろうな
A1_10410_BERORINGA_500_1000	ベ～ロべ～
A1_10410_TIM_500_1000	なが～い舌　だ\nこんなに　のびるのか……
A1_10410_PIKACHU_500_1000	おい　ティム　さっきのクイズ\nこのベロリンガが正解かもな
A1_10410_TIM_500_2000	きっと　そうだね\nクイズハカセのところに行って答えよう
A1_10410_BERORINGA_600_1000	ベ～ロべ～
A1_10410_TIM_600_1000	長い舌だなあ
A1_10420_CHORONEKO_400_1000	チョロ～ン♪
A1_10420_TIM_400_1000	もう人のものを盗ったりしちゃダメだよ
A1_10420_CHORONEKO_500_1000	チョロ～ン♪
A1_10420_TIM_500_1000	かわいらしいポケモンがいるね
A1_10420_PIKACHU_500_1000	こいつはチョロネコだな
A1_10420_CHORONEKO_500_2000	チョロ～ン♪
A1_10420_TIM_500_2000	このポケモン　やたらとあまえてくるなあ
A1_10420_TIM_500_3000	いまは　いそがしいから\nまた後で遊んであげるね
A1_10420_PIKACHU_500_2000	待て　ティム\nポケットの中を確認してみろ！
A1_10420_TIM_500_4000	え？\n急にどうしたの？
A1_10420_TIM_500_5000	あ……！\nぼくのペンがなくなってる！
A1_10420_PIKACHU_500_3000	やっぱりな\nチョロネコ　おまえの仕業だな？
A1_10420_PIKACHU_500_4000	名探偵の目は　ごまかせないぞ\nさあ　返すんだ
A1_10420_CHORONEKO_500_3000	チョロ……
A1_10420_TIM_500_6000	あ　ぼくのペン！
A1_10420_PIKACHU_500_5000	まったく\nこのチョロネコ　油断ならないヤツだ
A1_10420_TIM_500_7000	うん　危ないところだった
A1_10420_PIKACHU_500_6000	だが　クイズの答えがわかったな
A1_10420_TIM_500_8000	そうだね　答えはチョロネコだ\nクイズハカセに報告に行こう！
A1_10420_CHORONEKO_600_1000	チョロ～ン♪
A1_10420_TIM_600_1000	このポケモン　すごくあまえてくるね
A1_10430_TAIRETSU_400_1000	タイッ！
A1_10430_TIM_400_1000	タイレーツは　別行動したくなることは\nないのかな
A1_10430_PIKACHU_400_1000	おそらく　ないだろうな\nバラバラに動いてるところは見たことがない
A1_10430_TAIRETSU_500_1000	タイッ！
A1_10430_TIM_500_1000	すごいなあ……\n動きが　きっちり　そろってる
A1_10430_PIKACHU_500_1000	こいつらは　タイレーツだな\nいつも６匹で行動してるんだ
A1_10430_TAIRETSU_500_2000	ターイ　タイ　タイ　ターイッ！
A1_10430_PIKACHU_500_2000	いまは陣形確認とトレーニングの\n最中らしい
A1_10430_TIM_500_2000	ピカチュウ　このタイレーツって\nクイズハカセが言ってた　ポケモンかな？
A1_10430_PIKACHU_500_3000	たしかに　こいつらは６匹で１匹\nバッチリ　特徴と一致するな
A1_10430_TIM_500_3000	よし\nそれじゃあ　報告しに　行こうか
A1_10430_TAIRETSU_600_1000	タイッ！
A1_10430_TIM_600_1000	動きがピッタリそろってる\nすごいポケモンがいるんだなあ
A1_10440_NONAMEWOMANQUIZ_100_1000	はじめまして　探偵さん！\nお会いできて光栄だわ！
A1_10440_TIM_100_1000	あ　はい　はじめまして\nなにか　ご用ですか……？
A1_10440_NONAMEWOMANQUIZ_100_2000	あれっ？　わたしのこと知らない？\n同じライム大学の有名人よ？
A1_10440_PIKACHU_100_1000	有名人？\nティム　なにか知ってるか？
A1_10440_TIM_100_2000	ちょっと心当たりがないなあ
A1_10440_WOMANQUIZ_100_3000	わたしは「クイズハカセ」って呼ばれてるの！\nまだ学生なんだけどね！
A1_10440_WOMANQUIZ_100_4000	こっちはパートナーのドデカバシ！\nよろしくね！
A1_10440_TIM_100_3000	クイズハカセ　ですか……
A1_10440_WOMANQUIZ_100_5000	そうなの！\nわたしは　ポケモン学を専攻していてね
A1_10440_WOMANQUIZ_100_6000	学んだ知識を　みんなに広めたくて\nいろんな人にクイズを出してるの！
A1_10440_PIKACHU_100_2000	それで　ついたあだ名が　クイズハカセ　か\nかなりの変わり者だな
A1_10440_DODEKABASHI_100_1000	カバシ　カバシ
