A0.asset
A0_1023_PIKACHU_100_1000	钢铠鸦那家伙，\n把我的宝贝帽子给拿走了！
A2_3330_PCMANMID03_400_2000	我最讨厌事件了！\n都不能静下心来好好吃饭！
A2_3340_TIM_100_1000	你好，可以问你点事吗？
A2_3340_PXWOMANMID01_100_1000	要问什么呢？
A2_3340_PXWOMANMID01_200_1000	有什么事吗？
A2_3340_SEL_0_1000	关于皮卡丘
A2_3340_SEL_0_2000	关于被收容的宝可梦
A2_3340_TIM_300_1000	前天，也就是喷泉广场的呆呆兽石像\n被破坏那天，你见到过皮卡丘吗？
A2_3340_PXWOMANMID01_300_1000	哦，前天喷泉广场那里闹出好大动静呢。
A2_3340_PXWOMANMID01_300_2000	我虽然一直待在这里，\n但没见到皮卡丘。
A2_3340_RACHEL_300_1000	也就是说，犯案的皮卡丘\n没来这个广场……？
A2_3340_TIM_400_1000	最近，你有见过\n宝可梦被带走收容的情况吗？
A2_3340_PXWOMANMID01_400_1000	我听说有宝可梦\n在踩镲咖啡馆前引起了事件。
A2_3340_PXWOMANMID01_400_2000	但我没亲眼见过，\n具体的事我也不清楚。
A2_3350_PAWOMANMID03_100_1000	天气这么好，\n正适合享受悠闲时光呢。
A2_3350_TIM_100_1000	是啊……不过\n我们没办法太悠闲……
A2_3350_PAWOMANMID03_100_2000	哎呀，你们看起来忙慌慌的。\n遇上什么麻烦了吗？
A2_3350_PAWOMANMID03_200_1000	我能帮上什么忙吗？
A2_3350_SEL_0_1000	关于皮卡丘
A2_3350_SEL_0_2000	关于被收容的宝可梦
A2_3350_TIM_300_1000	前天，也就是喷泉广场的呆呆兽石像\n被破坏那天，你见到过皮卡丘吗？
A2_3350_PAWOMANMID03_300_1000	莫鲁贝可和咚咚鼠我倒是见到了，\n但没见到皮卡丘呢。
A2_3350_RACHEL_300_1000	蒂姆，你说有没有可能\n是莫鲁贝可或者咚咚鼠干的？
A2_3350_TIM_300_2000	很遗憾，\n我认为不太可能。
A2_3350_TIM_300_3000	巴特勒局长说过，\n他手上有皮卡丘犯案的证据。
A2_3350_TIM_300_4000	但我认为那是\n别的皮卡丘。
A2_3350_TIM_400_1000	最近，你有见过\n宝可梦被带走收容的情况吗？
A2_3350_PAWOMANMID03_400_1000	听倒是听说过，\n好像有宝可梦偷了别人的贵重物品。
A2_3350_PAWOMANMID03_400_2000	得千万小心呢……\n要看好自己的行李。
A2_3360_PAPOLICEWOMAN01_100_1000	唉……\n最近市里的气氛都变了。
A2_3360_PAPOLICEWOMAN01_100_2000	宝可梦接二连三地引发问题……\n真令人吃惊。
A2_3370_PAPOLICEWOMAN01_100_1000	收容宝可梦的工作突然增多，\n真令人吃惊。
A2_3380_PHPOLICEWOMAN01_100_1000	事件好像日益增多了……
A2_3380_PHPOLICEWOMAN01_100_2000	必须时刻做好奔赴现场的准备……
A2_3390_PHPOLICEWOMAN01_100_1000	无论什么时候发生事件，\n我都会立刻赶到的！
A2_3400_RACHEL_100_1000	调查一下花店的花坛吧。
A2_3410_TIM_100_1000	看来这就是所谓\n被千面避役毁坏的花吧。
A2_3410_TIM_200_1000	再调查一次花坛看看吧。
A2_3420_TIM_100_1000	好，调查看看吧。
A2_3420_TIM_200_1000	没有什么地方看漏了吧。
A2_3430_TIM_5000_1000	还有地方没调查。
A2_3440_TIM_100_1000	是花店的招牌，\n好像没什么奇怪的地方。
A2_3450_RACHEL_100_1000	这个花盆里的花好少啊。
A2_3450_TIM_100_1000	花翻倒了，\n这是千面避役干的吗……？
A2_3460_TIM_100_1000	是花店的盆栽，\n光是看着，内心就能感到平静。
A2_3470_TIM_100_1000	是花店的盆栽，\n有好闻的花香。
A2_3480_TIM_100_1000	<color=#F39800FF>墙壁上残留着划痕……\n切口像是锋利刀刃划出来的。</color>
A2_3480_RACHEL_100_1000	说起刀刃，千面避役的尾巴\n的确像匕首一样……
A2_3480_PHWOMAN01_100_1000	但我的千面避役\n从来没使用过尾巴呀。
A2_3500_TIM_100_1000	没有什么可调查的了。
A2_3510_TIM_100_1000	在意的地方基本都调查过了吧。
A2_3520_RACHEL_100_1000	据说莫鲁贝可\n在踩镲咖啡馆前引发了事件对吧。
A2_3520_TIM_100_1000	是的，\n调查看看有没有痕迹吧。
A2_3530_TIM_100_1000	据说莫鲁贝可偷了食物……\n得好好调查一下才行。
A2_3530_TIM_200_1000	没有什么地方看漏了吧。
A2_3540_TIM_100_1000	好，调查看看吧。
A2_3540_TIM_200_1000	再调查一次看看吧。
A2_3550_TIM_5000_1000	还有地方没调查……
A2_3560_TIM_100_1000	是咖啡杯，\n没什么奇怪的地方。
A2_3570_TIM_100_1000	是踩镲咖啡馆的菜单，\n照片上的三明治看上去很好吃！
A2_3580_TIM_100_1000	是咖啡馆的窗户，\n擦得很干净。
A2_3590_TIM_100_1000	地面和墙壁被烧得焦黑。
A2_3590_PKMAN01_100_1000	据保护局的人所说，<color=#F39800FF>莫鲁贝可失控了，\n使出了“气场轮”。</color>
A2_3590_RACHEL_100_1000	“气场轮”是根据宝可梦的状态\n改变属性的招式。
A2_3590_PKMAN01_100_2000	如果是“空腹花纹”，就是恶属性，\n如果是“满腹花纹”，就是电属性哦。
A2_3590_RACHEL_100_2000	电属性的招式也的确\n会造成这种焦痕……
A2_3590_TIM_100_2000	这样一来，事情就会变成莫鲁贝可\n明明不饿，却偷了别人的食物。
A2_3590_RACHEL_100_3000	……没错。\n到底是怎么回事呢？
A2_3610_TIM_100_1000	没有什么可调查的了。
A2_3620_TIM_100_1000	在意的地方基本都调查过了吧。
A2_3630_TIM_100_1000	咦？\n那个人是……
A2_3650_RACHEL_100_1000	我有很多事想问你！
A2_3650_RACHEL_100_2000	你究竟向我爸爸\n灌输了什么？
A2_3650_RACHEL_100_3000	管理宝可梦的政策\n也是你提出来的吗？
A2_3650_MURDOCH_100_1000	哎呀，天啦……\n看来大小姐心情不太好啊。
A2_3650_MURDOCH_100_2000	看来我们还是改日再谈比较好。
A2_3650_MURDOCH_100_3000	那我就先告辞了，\n再见！
A2_3650_RACHEL_100_4000	真是的……\n居然还没回答我就走掉了。
A2_3650_TIM_100_1000	是不是因为瑞秋你逼问得太过了……
A2_3660_TIM_100_1000	捣蛋小妖是在汉堡店前\n引发事件的。
A2_3660_TIM_100_2000	找找事件的线索吧。
A2_3670_TIM_100_1000	捣蛋小妖就是在这里偷了别人的贵重物品，\n不知道有没有线索。
A2_3670_TIM_200_1000	没有什么地方看漏了吧。
A2_3680_TIM_100_1000	好，调查看看吧。
A2_3690_TIM_5000_1000	还有地方没调查……
A2_3700_TIM_100_1000	是汉堡店的菜单，\n汉堡看上去很好吃啊……
A2_3710_TIM_100_1000	是吉祥物大舌舔的石像，\n做得真不错啊。
A2_3720_TIM_100_1000	是汉堡店的海报，\n上面写着优惠活动的信息。
A2_3730_TIM_100_1000	是写有汉堡店店名的霓虹灯招牌，\n没什么奇怪的地方。
A2_3740_TIM_100_1000	<color=#F39800FF>地上掉着亮闪闪的硬币。</color>
A2_3740_TIM_100_2000	这是捣蛋小妖的事件发生时掉的吗……？
A2_3740_RACHEL_100_1000	要是那样的话，有些不自然呢。
A2_3740_TIM_100_3000	我记得捣蛋小妖喜欢发光的东西……
A2_3740_PHMAN02_100_1000	你说得对，\n如果是捣蛋小妖的话，会把硬币也捡起来。
A2_3740_TIM_100_4000	既然是这样，\n那为什么这里会有硬币……？
A2_3760_TIM_100_1000	没有什么可调查的了。
A2_3770_TIM_100_1000	在意的地方基本都调查过了吧。
A2_3780_TIM_100_1000	对宝可梦收容了解得最详细的是……
A2_3780_RACHEL_100_1000	宝可梦保护局的人，还有警察对吧。
A2_3780_TIM_100_2000	但霍利迪探长并不清楚详情。
A2_3780_RACHEL_100_2000	那我们去问问其他警察吧。
A2_3780_TIM_100_3000	有道理，\n总之先去问问看吧。
A2_3790_PAPOLICEMAN01_100_1000	最近事件多发，请注意安全哦。
A2_3790_TIM_100_1000	不好意思，\n我有几个问题想请教一下……
A2_3790_PAPOLICEMAN01_200_1000	经常有事件发生，请你们要多加小心啊。
A2_3790_SEL_0_1000	关于宝可梦收容
A2_3790_PAPOLICEMAN01_300_1000	有什么需要帮忙的吗？
A2_3790_TIM_300_1000	其实我们正在找\n负责宝可梦收容工作的人。
A2_3790_PAPOLICEMAN01_300_2000	收容宝可梦并不是我负责的。
A2_3790_PAPOLICEMAN01_300_3000	因为我承担着\n这个警察局的警卫工作。
A2_3790_RACHEL_300_1000	我们有些事想问问\n负责收容宝可梦的人……
A2_3790_PAPOLICEMAN01_300_4000	这样的话，你们可以去问警察局后面\n停车场里的那两个人。
A2_3800_PAPOLICEWOMAN01_100_1000	收容宝可梦的工作突然增多，\n真令人吃惊。
A2_3800_TIM_100_1000	我们正想问一下\n有关收容宝可梦的事情……
A2_3800_PAPOLICEWOMAN01_100_2000	哦？你们真是怪人。
A2_3800_PAPOLICEWOMAN01_200_1000	又来了啊，\n你们对警察有兴趣吗？
A2_3800_SEL_0_1000	关于宝可梦的收容
A2_3800_TIM_300_1000	你负责的是\n收容宝可梦的工作吗？
A2_3800_PAPOLICEWOMAN01_300_1000	嗯，是啊，\n最近全都是宝可梦收容的工作。
A2_3800_PAPOLICEWOMAN01_300_2000	其实这些要是宝可梦保护局\n能自己处理就好了……
A2_3800_PAPOLICEWOMAN01_300_3000	保护局是个新组织，因为人手不够，\n所以工作才堆到了我们这些警察头上。
A2_3800_TIM_300_2000	警察自己的工作都够多了，这可真够呛啊。
A2_3800_PAPOLICEWOMAN01_300_4000	不，倒也不是。\n明面上是说警察忙不过来……
A2_3800_PAPOLICEWOMAN01_300_4500	因此才设立了保护局。
A2_3800_PAPOLICEWOMAN01_300_5000	但偷偷告诉你，\n<color=#F39800FF>其实警察没有忙到那个程度</color>。
A2_3800_PAPOLICEWOMAN01_300_5500	设立保护局，\n其中应该也有市长的意思。
A2_3800_PAPOLICEWOMAN01_300_6000	虽然这话听起来有些理所当然，\n但人类和宝可梦是不同的。
A2_3800_RACHEL_300_1000	毕竟宝可梦的个性\n真的是五花八门呢……
A2_3800_PAPOLICEWOMAN01_300_7000	嗯，没错，\n所以我们必须应对各种各样的情况。
A2_3800_PAPOLICEWOMAN01_300_8000	虽然有时候很辛苦，\n但这是市长和保护局的方针，所以没办法。
A2_3810_PHPOLICEWOMAN01_100_1000	要是遇到什么事件，请尽管来找我们！\n这就是我们警察的工作！
A2_3810_TIM_100_1000	不好意思，\n我有几件事想请教一下……
A2_3810_PHPOLICEWOMAN01_100_2000	你问我吗？只要是我知道的，\n我都会如实回答的！
A2_3810_PHPOLICEWOMAN01_200_1000	还有什么需要帮忙的吗？
A2_3810_SEL_0_1000	关于宝可梦收容
A2_3810_TIM_300_1000	你负责的是\n收容宝可梦的工作吗？
A2_3810_PHPOLICEWOMAN01_300_1000	嗯，没错！
A2_3810_PHPOLICEWOMAN01_300_2000	现在正值宝可梦友谊周，\n所以我格外留心！
A2_3810_TIM_300_2000	宝可梦友谊周……\n最近霍华德市长在宣传这个呢。
A2_3810_PHPOLICEWOMAN01_300_3000	没错！<color=#F39800FF>宝可梦友谊周设立的\n契机正是两年前的Ｒ事件！</color>
A2_3810_PHPOLICEWOMAN01_300_4000	人类与宝可梦\n和平共生的理想……
A2_3810_PHPOLICEWOMAN01_300_5000	我们警察努力工作，\n正是为了守护这份和平！
A2_3810_RACHEL_300_1000	这、这样啊，\n真可靠呢！
A2_3810_PHPOLICEWOMAN01_300_6000	如果有什么事件，我们会第一时间赶到，\n请放心！
A2_3810_PHPOLICEWOMAN01_300_7000	最近的技术好厉害啊！\n监控摄像头绝不会漏拍任何事件！
A2_3810_TIM_300_3000	是这么厉害的摄像头啊？
A2_3810_PHPOLICEWOMAN01_300_8000	是的！<color=#F39800FF>最近所有事件里的\n关键时刻都被拍得一清二楚！</color>
A2_3810_TIM_300_4000	所有的事件都……？
A2_3810_RACHEL_300_2000	那确实厉害，不过也有些不可思议，\n不会太巧了吗？
A2_3810_PHPOLICEWOMAN01_300_9000	监控摄像头虽然没有那么多，\n但性能一定很好吧！
A2_3820_TIM_100_1000	我迄今为止一直以为\n还有另外一只皮卡丘……
A2_3820_TIM_100_2000	或许换个想法比较好。
A2_3820_RACHEL_100_1000	什么意思？
A2_3820_TIM_100_3000	这么多宝可梦在短时间内引发事件，\n然后被带走收容。
A2_3820_TIM_100_4000	而且犯案时\n还正好被监控摄像头拍到了关键的瞬间。
A2_3820_TIM_100_5000	比起挨个准备引发事件的\n宝可梦们的替身……
A2_3820_TIM_100_6000	不如找一只\n能冒充成各种宝可梦的宝可梦。
A2_3820_TIM_100_7000	只要有这样的宝可梦……
A2_3820_RACHEL_100_2000	是啊！如果有那样的宝可梦……
A2_3820_RACHEL_100_3000	也就能解释为什么在这么短的时间里\n会发生那么多起事件了！
A2_3820_TIM_100_8000	我们该找的是……
A2_3820_RACHEL_100_4000	可以“冒充”的宝可梦对吧！
A2_3820_TIM_100_9000	嗯，我们继续打听消息吧！
A2_3825_SECRETPKWOMANOLD01_100_1000	喂～百变怪～
A2_3825_TIM_100_1000	怎么回事……有人在叫谁吗？
A2_3825_SECRETPKWOMANOLD01_100_2000	百变怪～\n……唉，跑到哪里去了呢。
A2_3825_RACHEL_100_1000	啊，会不会是百变怪的同伴！？
A2_3825_TIM_100_2000	好像是从广场那边传来的，\n我们去看看吧！
A2_3830_TIM_100_1000	你好，\n可以问你点事吗？
A2_3830_PKWOMANOLD01_100_1000	……嗯，可以啊。\n这样也是帮我排解寂寞，我还要谢谢你们。
A2_3830_PKWOMANOLD01_200_1000	看样子你们好像有什么想问的。
A2_3830_SEL_0_1000	关于烦心的事
A2_3830_TIM_300_1000	发生什么事了吗？
A2_3830_PKWOMANOLD01_300_1000	其实我家的百变怪\n前不久走丢了。
A2_3830_TIM_300_2000	刚刚是你在喊它啊。
A2_3830_PKWOMANOLD01_300_2000	我一直在找它，但又找不到，\n担心得不得了……
A2_3830_RACHEL_300_1000	真希望能快点找到……
A2_3830_PKWOMANOLD01_300_4000	谢谢你的安慰。\n好想再见到百变怪啊。
A2_3830_PKWOMANOLD01_300_5000	百变怪可以“变身”成\n各种东西来玩耍。
A2_3830_PKWOMANOLD01_300_6000	但<color=#F39800FF>那孩子不太擅长“变身”，\n只能还原自己见过的部分。</color>
A2_3830_PKWOMANOLD01_300_7000	所以外形会有点奇怪，\n但这点也很可爱……
A2_3840_RACHEL_100_1000	婆婆好可怜啊。
A2_3840_TIM_100_1000	她说百变怪前不久走丢了对吧。
A2_3840_RACHEL_100_2000	该不会是卷入事件里了吧……\n毕竟它和我们正在找的宝可梦特征很吻合。
A2_3840_TIM_100_2000	嗯，有这个可能。
A2_3840_RACHEL_100_3000	有没有办法能确认一下呢？
A2_3840_TIM_100_4000	对了，皮卡丘。
A2_3840_RACHEL_100_4000	皮卡丘？
A2_3840_TIM_100_5000	啊，那个……嗯，\n应该差不多可以会面了。
A2_3840_TIM_100_6000	我想去和皮卡丘聊聊……不对，\n是告诉它……总之去看看吧。
A2_3840_RACHEL_100_5000	我不是皮卡丘的同伴，\n也可以一起去会面吗？
A2_3840_TIM_100_7000	嗯，应该没问题。\n我们一起去吧。
A2_3850_PHPOLICEWOMAN01_100_1000	由我来向您说明\n和同伴会面时的守则。
A2_3850_PHPOLICEWOMAN01_100_2000	您可以在\n下午时段和同伴会面。
A2_3850_PHPOLICEWOMAN01_100_3000	每天最多只能会面２次，\n并且不能连续会面。
A2_3850_PHPOLICEWOMAN01_100_4000	您要和同伴会面吗？
A2_3850_SEL_0_1000	会面
A2_3850_SEL_0_2000	再等等
A2_3850_PHPOLICEWOMAN01_300_1000	那我来为您带路。
A2_3850_TIM_400_1000	不好意思，\n我再稍微准备一下。
A2_3910_RACHEL_100_1000	这里就是会面室啊，\n我有点紧张……
A2_3910_TIM_100_1000	对了，\n瑞秋你是第一次来啊。
A2_3910_TIM_100_2000	……啊。
A2_3910_RACHEL_100_2000	怎么了？蒂姆？
A2_3910_TIM_100_3000	不，没什么……\n瑞秋，你等我一下。
A2_3910_TIM_100_4000	……怎么办。
A2_3910_TIM_100_5000	我一直都没告诉过别人，\n我能和皮卡丘说话……
A2_3910_TIM_100_6000	要是在这里和皮卡丘交谈，\n肯定会引起瑞秋的怀疑。
A2_3910_TIM_100_7000	……为了今后还能一起调查事件，\n或许只能和她坦白了。
A2_3910_RACHEL_100_3000	蒂姆，你还好吗？\n看你愁眉不展的……
A2_3910_TIM_100_8000	…………
A2_3923_RACHEL_100_1000	…………
A2_3923_TIM_100_1000	……突然知道这件事，\n你肯定很惊讶吧。
A2_3923_TIM_100_2000	你不相信也没关系，\n但是……
A2_3923_RACHEL_100_2000	……好厉害。
A2_3923_TIM_100_3000	咦？
A2_3923_RACHEL_100_3000	好厉害啊，蒂姆！\n你居然能和宝可梦说话，我好羡慕你！
A2_3923_RACHEL_100_4000	这样啊，你说和皮卡丘一起推理……\n原来真的是字面意思上的一起啊！
A2_3923_RACHEL_100_5000	你到底是怎么才变得\n能和它说话的？
A2_3923_TIM_100_4000	我自己也不清楚为什么，\n但我就是能听懂皮卡丘说的话。
A2_3923_TIM_100_5000	其他宝可梦说的话我就听不懂，\n都是皮卡丘帮我翻译的。
A2_3923_RACHEL_100_6000	这样啊……\n皮卡丘好聪明啊！
A2_3923_RACHEL_100_7000	你能听懂皮卡丘说的话，\n说不定正是因为你们深深信赖彼此！
A2_3923_TIM_100_6000	唔……\n初次见面的时候，我就能听懂了……
A2_3923_RACHEL_100_8000	难道不是因为\n你们从一开始就心有灵犀吗？
A2_3923_TIM_100_7000	是这样吗……？
A2_3923_TIM_100_8000	要提到信赖，\n我觉得瑞秋你也很厉害哦。
A2_3923_TIM_100_9000	你努力学习有关宝可梦的事，\n又很会替它们考虑……
A2_3923_RACHEL_100_9000	谢谢，\n听你这么说我很高兴。
A2_3923_RACHEL_100_10000	……我从很久很～久以前\n就希望能加深与宝可梦之间的理解。
A2_3923_TIM_100_10000	从那么久以前吗？
A2_3923_RACHEL_100_11000	嗯，我小时候啊，\n被宝可梦救过呢。
A2_3930_RACHEL_100_1000	我直到现在都记得清清楚楚。
A2_3930_RACHEL_100_2000	当时那只圈圈熊\n的确和我心意相通……
A2_3930_RACHEL_100_3000	我把这件事告诉爸爸妈妈后，\n他们和我说……
A2_3930_RACHEL_100_4000	宝可梦和人类，\n原本就是这样的关系。
A2_3930_RACHEL_100_5000	但爸爸却变了……
A2_3930_RACHEL_100_6000	他居然想试图管理\n无辜的宝可梦们……
A2_3930_TIM_100_1000	……我很能理解你的心情。
A2_3930_RACHEL_100_7000	谢谢你，蒂姆。
A2_3940_RACHEL_100_1000	皮卡丘怎么还没来呀。
A2_3940_RACHEL_100_2000	我虽然听不懂它说的话，\n但是光看见它，应该也能松口气。
A2_3940_TIM_100_1000	是啊，我昨天来会面的时候，\n也是这种心情。
A2_3960_PAPOLICEMAN02_100_1000	皮卡丘已经带来了！
A2_3960_PIKACHU_100_1000	好了，不知道蒂姆的推理有没有进展呢。
A2_3970_PIKACHU_100_1000	嗨，蒂姆。\n很高兴你来看我。
A2_3970_TIM_100_1000	你看起来也平安无事，太好了。
A2_3970_PIKACHU_100_2000	还有瑞秋也来了啊。
A2_3970_PIKACHU_100_3000	……喂，这样没关系吗，蒂姆？\n她会看到我们谈话的。
A2_3970_TIM_100_2000	是的，不过我刚刚\n已经跟瑞秋坦白了。
A2_3970_TIM_100_3000	我告诉了她，我能和你对话。
A2_3970_PIKACHU_100_4000	……你还真下得了决心啊。\n她相信你了吗？
A2_3970_TIM_100_4000	嗯，\n她甚至说很羡慕我。
A2_3970_PIKACHU_100_5000	哈哈哈！那太好了！\n瑞秋真是个奇特的女孩子。
A2_3970_PIKACHU_100_6000	不过毕竟有警察在，\n我们说话时还是小点声。
A2_3970_TIM_100_5000	没问题，我知道的。
A2_3970_PIKACHU_100_7000	好，那就直奔主题吧，\n我有件事要向蒂姆你报告。
A2_3970_PIKACHU_100_8000	房间里的宝可梦们\n愿意帮忙了。
A2_3970_PIKACHU_100_9000	我现在可以在警察局内部\n到处调查了哦。
A2_3970_TIM_100_6000	那可真厉害！\n你们能友好相处真是太好了。
A2_3970_PIKACHU_100_10000	倒也没有特别友好，\n算了，这些都无所谓。
A2_3970_PIKACHU_100_11000	我还有很多话想和你说，\n我们共享一下信息吧。
A2_3970_PIKACHU_200_1000	有什么想确认的吗？
A2_3970_SEL_0_1000	皮卡丘找到的东西
A2_3970_SEL_0_2000	另一只皮卡丘的去向
A2_3970_SEL_0_3000	关于警察局里的宝可梦
A2_3970_PIKACHU_300_1000	我找到了喷泉广场事件\n犯案时的照片，你看看这个。
A2_3970_TIM_300_1000	上面拍到了皮卡丘……！
A2_3970_PIKACHU_300_2000	以防万一我先声明一下，这可不是我！\n而是真正犯案的皮卡丘。
A2_3970_TIM_300_2000	但这张照片连帽子都拍到了。
A2_3970_PIKACHU_300_3000	应该是有人为了嫁祸给我\n特意准备的吧。
A2_3970_PIKACHU_300_4000	这很明显不是我吧？
A2_3970_TIM_300_3000	嗯，<color=#F39800FF>这个地方少了背上的花纹。</color>
A2_3970_PIKACHU_300_5000	嗯，而且这个背上的机器\n也很让人在意。
A2_3970_PIKACHU_300_6000	<color=#F39800FF>它背上的东西，\n和我现在背上的是一样的</color>。
A2_3970_TIM_300_4000	我昨天在市里打听了一下\n有关这个机器的消息。
A2_3970_TIM_300_5000	根据目击证言来看，\n这个机器能让宝可梦安分下来。
A2_3970_PIKACHU_300_7000	也就是说，这机器是用来防止失控的？
A2_3970_PIKACHU_400_1000	你查到犯案的皮卡丘\n去哪里了吗？
A2_3970_TIM_400_1000	……我没查到它的去向。\n虽然它留下了脚印，但中途就消失了。
A2_3970_PIKACHU_400_2000	……这样啊。
A2_3970_TIM_400_2000	抱歉，皮卡丘。\n我没能证明你的清白。
A2_3970_PIKACHU_400_3000	喂，别道歉啊。\n我知道蒂姆你很努力了。
A2_3970_PIKACHU_400_4000	找不到也没办法，\n重点是接下来该怎么办。
A2_3970_TIM_400_3000	关于这一点，\n我认为有一个皮卡丘的替身……
A2_3970_TIM_400_4000	换句话说，可能有一只宝可梦\n冒充成了你。
A2_3970_PIKACHU_400_5000	原来如此……\n蒂姆，你这个想法很有趣。
A2_3970_TIM_500_1000	话说回来，都是哪些宝可梦\n愿意帮你的忙？
A2_3970_PIKACHU_500_1000	有好几只，\n其中最可靠的就是伦琴猫了。
A2_3970_PIKACHU_500_2000	虽然有些难以相处，但它有透视能力，\n<color=#F39800FF>还能使用强力的电属性招式</color>。
A2_3970_TIM_500_2000	透视听起来很好用啊，\n还会用强力的电属性招式啊……
A2_3970_PIKACHU_500_3000	事先申明，\n我认为不是伦琴猫干的。
A2_3970_PIKACHU_500_4000	如果是它干的，\n那保护局就没必要把我抓走了。
A2_3970_TIM_500_3000	这么一说，确实有道理。
A2_3970_PIKACHU_500_5000	对了，蒂姆。\n伦琴猫拜托我给你捎句话。
A2_3970_TIM_500_4000	给我捎句话？
A2_3970_PIKACHU_500_6000	伦琴猫想知道它在外面的朋友，\n大狼犬怎么样了。
A2_3970_PIKACHU_500_7000	它们好像发生过争吵，\n所以它很在意大狼犬之后怎么样了。
A2_3970_PIKACHU_500_8000	它说大狼犬经常出现在第二大道。
A2_3970_TIM_500_5000	我明白了。\n等我找到大狼犬，会来跟你报告的。
A2_3970_PIKACHU_500_9000	拜托你了，蒂姆。
A2_3980_PIKACHU_100_1000	另外，关于冒充成我的宝可梦，\n你有头绪了吗？
A2_3980_TIM_100_1000	我有一些猜测，\n打算重新推理一遍看看。
A2_3990_RACHEL_100_1000	你和皮卡丘都说些什么了？
A2_3990_TIM_100_1000	皮卡丘似乎在警察局里\n展开了调查。
A2_3990_RACHEL_100_2000	好厉害！\n就像间谍一样呢。
A2_3990_PIKACHU_100_1000	喂，我不是间谍，\n我是名侦探。
A2_3990_RACHEL_200_1000	要是我也能\n听懂宝可梦说话就好了。
A2_3995_PHPOLICEMAN01_100_1000	站岗好无聊啊……
A2_4000_TIM_100_1000	如果保护局和警察\n是在利用百变怪……
A2_4000_PIKACHU_100_1000	那就说明，他们有些邪恶的企图。
A2_4000_TIM_100_2000	是吗……
A2_4000_PIKACHU_100_2000	怎么了？蒂姆？
A2_4000_TIM_100_3000	我在市里调查时，\n有好几次看见了布拉德先生。
A2_4000_TIM_100_4000	他似乎正在调查\n已经调查完毕的事发现场……
A2_4000_PIKACHU_100_3000	听上去好可疑啊。
A2_4000_TIM_100_5000	虽然不太想怀疑布拉德先生，\n但总觉得有蹊跷。
A2_4000_PIKACHU_100_4000	布拉德虽然不太讨人喜欢，\n但我们也认识两年多了。
A2_4000_PIKACHU_100_5000	我实在不忍心怀疑他，不过……
A2_4000_PIKACHU_100_6000	调查一下布拉德吧，蒂姆。
A2_4000_TIM_100_6000	可是……
A2_4000_PIKACHU_100_7000	蒂姆，你是侦探吧？
A2_4000_PIKACHU_100_8000	调查是为了查明真相，\n而不是找布拉德的麻烦。
A2_4000_TIM_100_7000	……你说得对，我明白了。
A2_4000_PIKACHU_100_9000	另外，记得也调查一下四方形机器。
A2_4000_PIKACHU_100_10000	它能让宝可梦安分下来这点\n我是知道了。
A2_4000_PIKACHU_100_11000	但光是这样，有些事还没办法解释。
A2_4000_TIM_100_8000	是啊，被摄像头拍到的皮卡丘\n的确破坏了呆呆兽石像。
A2_4000_TIM_100_9000	那个机器说不定还有别的功能。
A2_40010_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40010_TIM_100_2000	要再整理一次思路吗？
A2_40010_SEL_0_1000	要
A2_40010_SEL_0_2000	不要
A2_40010_TIM_300_1000	引发事件的宝可梦\n好像在喷泉广场破坏了什么东西。
A2_40010_TIM_300_2000	仔细调查一下\n现场被破坏的东西吧。
A2_40010_TIM_300_3000	说不定能从痕迹\n找到和犯案有关的宝可梦的线索。
A2_40010_TIM_400_1000	还是之后再说吧。
A2_40020_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40020_TIM_100_2000	要再整理一次思路吗？
A2_40020_SEL_0_1000	要
A2_40020_SEL_0_2000	不要
A2_40020_TIM_300_1000	有没有人在事发当时\n见过皮卡丘呢。
A2_40020_TIM_300_2000	说起来，它说过\n自己晚上常去踩镲咖啡馆。
A2_40020_TIM_300_3000	去踩镲咖啡馆打听一下，\n说不定有人见过皮卡丘。
A2_40020_TIM_400_1000	还是之后再说吧。
A2_40025_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40025_TIM_100_2000	要再整理一次思路吗？
A2_40025_SEL_0_1000	要
A2_40025_SEL_0_2000	不要
A2_40025_TIM_300_1000	光凭我手头的线索，\n恐怕很难进行推理。
A2_40025_TIM_300_2000	或许去和皮卡丘谈谈比较好。
A2_40025_TIM_400_1000	还是之后再说吧。
A2_40030_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40030_TIM_100_2000	要再整理一次思路吗？
A2_40030_SEL_0_1000	要
A2_40030_SEL_0_2000	不要
A2_40030_TIM_300_1000	引发事件的另一只皮卡丘\n去哪里了呢？
A2_40030_TIM_300_2000	去喷泉广场打听看看吧。
A2_40030_TIM_300_3000	应该是有目击者的。
A2_40030_TIM_400_1000	还是之后再说吧。
A2_40035_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40035_TIM_100_2000	要再整理一次思路吗？
A2_40035_SEL_0_1000	要
A2_40035_SEL_0_2000	不要
A2_40035_TIM_300_1000	布拉德先生当时似乎在调查什么。
A2_40035_TIM_300_2000	调查他所调查的地方，\n说不定能发现什么。
A2_40035_TIM_400_1000	还是之后再说吧。
A2_40040_TIM_100_1000	我感觉调查陷入瓶颈了。
A2_40040_TIM_100_2000	要再整理一次思路吗？
A2_40040_SEL_0_1000	要
A2_40040_SEL_0_2000	不要
