A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A1_1790_BURNS_500_12000	きょうも　かいだしを　\nおねがい　していたのですが\nカフェから　もどってきた　ようすもなく
A1_1790_BURNS_500_13000	いったい　どこに　いってしまったのか……
A1_1790_TIM_500_4000	コアルヒーの　いばしょに\nこころあたりは　ないんですね
A1_1790_BURNS_500_14000	ざんねんながら……
A1_1790_TIM_500_5000	げんばに　ちらばっていた　はねは\nコアルヒーの　ものですよね？
A1_1790_BURNS_500_15000	ええ　まちがいありません
A1_1790_BURNS_500_16000	しかしなぜ　あそこに\nコアルヒーの　はねが　おちていたのか……
A1_1790_BURNS_500_17000	じけんに　まきこまれたのではと　おもうと\nきが　きで　なりません……
A1_1790_BURNS_600_1000	オーロラのしずくは\nデニスさまが　いちばん　だいじに\nなさっている　ほうせきです
A1_1790_BURNS_600_2000	あの　ほうせきを　てにいれるために\nたいへんな　くろうを　なさいました
A1_1790_BURNS_600_3000	オーロラのしずくは　いわば\nほうせきしょうデニスの\nどりょくの　けっしょうなのです
A1_1790_BURNS_600_4000	あの　ほうせきを\nぬすんだ　はんにんの　ことを\nわたくしは　ゆるせません
A1_1790_PIKACHU_600_1000	くちょうは　ていねいだが\nかなり　かんじょうが　こもっているな
A1_1790_BURNS_600_5000	ティムさん\nかならず　オーロラのしずくを\nみつけてくださいませ
A1_1790_TIM_600_1000	ええ　それはもちろん
A1_1790_BURNS_700_1000	<color=#F39800FF>ガーディの　たべものの　すききらいは\nよく　しっております</color>
A1_1790_BURNS_700_2000	ガーディは　とくに\nあまいものが　すきでしてね……
A1_1790_BURNS_700_3000	わたくしが　しょくじがかりを\nしていた　ころは\nあまいデザートを　よういしておりました
A1_1790_PIKACHU_700_1000	バーンズ！　いいヤツじゃねえか
A1_1790_PIKACHU_700_2000	なあ　ティムも　もっと　オレに\nおやつを　くれても　いいんだぞ？
A1_1790_BURNS_700_4000	……ピカチュウの　ようすが\nきゅうに　かわりましたが\nだいじょうぶでしょうか？
A1_1790_TIM_700_1000	よくあることなんで\nきにしないでください
A1_1800_PIKACHU_100_1000	バーンズの　はなしを　きいた\nかぎりだと　けいさつが　うたがうのも\nしかたない　きがするな
A1_1800_TIM_100_1000	そうだね　せめて　だれか　ほかに\nもくげきしゃが　いてくれれば\nいいんだけど
A1_1800_PIKACHU_100_2000	それなんだが　なにか\nわすれちゃいないか　ティム？
A1_1800_TIM_100_2000	え……？
A1_1800_PIKACHU_100_3000	バーンズは　じけんとうじ　やしきに\nガーディと　ピクシーが　いた\nって　いってただろ
A1_1800_TIM_100_3000	そうか　ポケモンたちなら\nなにか　みてるかも　しれないね！
A1_1800_PIKACHU_100_4000	そういうことだ！\nこっからは　オレに　まかせとけ！
A1_1800_PIKACHU_100_5000	あいつらに　ききこみに　いくぞ\nティム！
A1_1810_PIKACHU_100_1000	ガーディ\nおちこんでるところ　わるいが\nすこし　はなしを　きかせてもらえるか？
A1_1810_GARDIE_100_1000	ガウ……？
A1_1810_PIKACHU_100_2000	オレたちは\nはんにんを　つかまえるために　きたんだ
A1_1810_PIKACHU_100_3000	そのためには\nおまえの　きょうりょくが　ひつようなんだ
A1_1810_GARDIE_100_2000	ガウ……\nガウ　ガウン
A1_1810_PIKACHU_100_4000	サンジーさんの　ためなら\nきょうりょく　するって？\nありがとよ
A1_1810_TIM_100_1000	サンジーさん？
A1_1810_PIKACHU_100_5000	ガーディは　デニスのことを\nそう　よんでる　みたいだな
A1_1810_TIM_100_2000	なるほど「サンジーヴ・デニス」だから\nサンジーさん　なのか
A1_1810_PIKACHU_100_6000	それじゃあ　ガーディ\nさっそく　はなしを　きかせてくれ
A1_1810_GARDIE_200_1000	ガウー
A1_1810_PIKACHU_200_1000	なんでも　きいて　だとよ
A1_1810_SEL_0_1000	ガーディに　ついて
A1_1810_SEL_0_2000	じけんとうじの　じょうきょう
A1_1810_SEL_0_3000	バーンズさんに　ついて
A1_1810_SEL_0_4000	ガーディの　とくぎに　ついて
A1_1810_GARDIE_300_1000	ガウ
A1_1810_PIKACHU_300_1000	デニスの　パートナーとして\nやしきを　まもるのが\nおまえの　やくめか
A1_1810_PIKACHU_300_2000	ほうせきほかんしつの　カギは\nおまえの　くびに　ついてたんだよな
A1_1810_GARDIE_300_2000	ガウウ！
A1_1810_PIKACHU_300_3000	デニスの　たいせつな　ものだから\nしっかり　まもっていたのか
A1_1810_GARDIE_300_3000	ガウガウ
A1_1810_PIKACHU_300_4000	デニスと　バーンズいがいの　にんげんには\nけっして　さわらせないように\nしてたそうだ
A1_1810_GARDIE_300_4000	ガウウ……
A1_1810_PIKACHU_300_5000	だからこそ　こんかいの　ことに\nせきにんを　かんじてるのか
A1_1810_TIM_300_1000	ガーディは　せきにんかんが\nつよいこ　なんだね
A1_1810_PIKACHU_300_6000	しんぱいするな　じけんは　オレたちが\nかならず　かいけつ　してやるよ
A1_1810_PIKACHU_400_1000	じけんとうじの　ことで\nなにか　おぼえていることは　ないか？
A1_1810_GARDIE_400_1000	ガウ……
A1_1810_PIKACHU_400_2000	ひるねを　していたから　わからない　か
A1_1810_GARDIE_400_2000	……ガウガウ
A1_1810_PIKACHU_400_3000	なに？　けさの　ごはんが　おいしくて\nたべすぎたのが　げんいん？
A1_1810_PIKACHU_400_4000	その　きもちは　わかるなあ
A1_1810_TIM_400_1000	なんの　はなしを　してるのさ
A1_1810_GARDIE_400_3000	ガウ　ガウガウ
A1_1810_PIKACHU_400_5000	めを　さましたのは　バーンズが\nかえってきたとき\nつまり　さわぎが　おきる　ちょくぜんか
A1_1810_PIKACHU_400_6000	そのときには　たいせつな　カギも\nなくしてしまっていたんだな
A1_1810_GARDIE_400_4000	ガウ……ン
A1_1810_PIKACHU_400_7000	そうか　くやしいのか……
A1_1810_GARDIE_400_5000	ガウガウッ！
A1_1810_PIKACHU_400_8000	はんにんを　つかまえられるのなら\nどんなことでも　てつだう　だと？
A1_1810_PIKACHU_400_9000	ありがとよ
A1_1810_PIKACHU_400_10000	なにか　あれば　そのときは\nおまえの　ちからを　たよらせてもらうぜ
A1_1810_GARDIE_500_1000	ガウ　ガウガウ
A1_1810_PIKACHU_500_1000	バーンズは　とても　しんしてきで\nやさしい　ひとだと　いってるな
A1_1810_PIKACHU_500_2000	デニスとも　なかが　よくて\nケンカを　したところも\nみたこと　ないそうだ
A1_1810_TIM_500_1000	デニスさんは　バーンズさんの　ことを\nしんらいしている　ようすだったものね
A1_1810_GARDIE_500_2000	ガウガウ！
A1_1810_PIKACHU_500_3000	ガーディも　バーンズは　すきだってよ
A1_1810_TIM_500_2000	ガーディの　はなしを　きく　ぶんには\nたしかに　はんにんとは　おもいづらいね
A1_1810_PIKACHU_600_1000	おまえは　はんにんを　つかまえるのに\nやくだつような　とくぎは\nもってたり　しないか？
A1_1810_GARDIE_600_1000	ガウ！
A1_1810_PIKACHU_600_2000	<color=#F39800FF>はなの　よさには　じしんが　あるんだ！</color>\nだってよ
A1_1810_TIM_600_1000	はなが　いいなら\nニオイを　おえるかも　しれないね
A1_1810_PIKACHU_600_3000	そうだな　しゅだんとしては　ありだな
A1_1815_TIM_100_1000	ガーディのはなしだと　バーンズさんの\nむじつを　しょうめいできそうな\nはなしは　なかったね
A1_1815_PIKACHU_100_1000	あと　のこっているのは　ピクシーだな
A1_1815_PIKACHU_100_2000	オレが　うまいこといって\nピクシーを　せっとくしてやるよ
A1_1815_TIM_100_2000	たのんだよ　ピカチュウ
A1_1820_PIXY_100_1000	ピクシー！
A1_1820_PIKACHU_100_1000	またきたな　ドロボー　だと！？
A1_1820_PIKACHU_100_2000	ちがうちがう\nオレたちは　ドロボーなんかじゃない
A1_1820_PIKACHU_100_3000	むしろ　そいつを　つかまえに　きた\nめいたんていだ\nなんとか　はなしを　きかせてくれないか
A1_1820_PIXY_100_2000	ピクシー？
A1_1820_PIKACHU_100_4000	ああ　ほんとうだとも\nしんじてくれよ
A1_1820_PIXY_100_3000	ピクシ……？
A1_1820_PIKACHU_100_5000	ああ　オレたちに\nきょうりょく　してくれれば\nきっと　クラウディアの　きげんも　なおる
A1_1820_PIXY_100_4000	ピクシー
A1_1820_PIKACHU_100_6000	はなしてくれる　きに　なったか\nありがとよ
A1_1820_TIM_100_1000	ピクシーは　ぼくたちが\nクラウディアさんに　わるさを　しないか\nしんぱい　だったのか
A1_1820_PIKACHU_200_1000	ピクシー　はなしを　きかせてもらえるか？
A1_1820_PIXY_200_1000	ピクシー！
A1_1820_SEL_0_1000	ピクシーに　ついて
A1_1820_SEL_0_2000	じけんとうじの　じょうきょう
A1_1820_SEL_0_3000	バーンズさんに　ついて
A1_1820_SEL_0_4000	ピクシーの　とくぎに　ついて
A1_1820_PIKACHU_300_1000	おまえは　この　やしきで\nどんな　しごとを　しているんだ？
A1_1820_PIXY_300_1000	ピクシー！
A1_1820_PIKACHU_300_2000	そんなものは　ない\nしいて　いえば　クラウディアと\nいっしょに　いるのが　やくめ　か
A1_1820_PIKACHU_300_3000	あんなに　きむずかしい　ヤツだと\nいっしょに　いるのも\nたいへんじゃないか？
A1_1820_PIXY_300_2000	ピクシー！
A1_1820_PIKACHU_300_4000	クラウディアは　わるいひとじゃない\nだと？
A1_1820_PIKACHU_300_5000	すまん\nわるぐちを　いうつもりは　なかった
A1_1820_PIXY_300_3000	ピクシー
A1_1820_PIKACHU_300_6000	クラウディアは　いつも　だれかと\nケンカを　している
A1_1820_PIKACHU_300_7000	でも　ふたりきりに　なると\nそれを　こうかいする
A1_1820_PIKACHU_300_8000	そんなときに　なぐさめてやるのが\nおまえの　やくめなのか
A1_1820_PIKACHU_300_9000	いがいと　やさしいヤツなんだな
A1_1820_TIM_300_1000	クラウディアさんに　とっても\nなくては　ならない　そんざいなんだろうね
A1_1820_PIKACHU_400_1000	きょう　なにか\nおかしなことが　おきなかったか？
A1_1820_PIXY_400_1000	ピクシ……
A1_1820_PIKACHU_400_2000	<color=#F39800FF>あさ　やしきの　なかで　あそんでいたら\nねむくなった</color>そうだ
A1_1820_PIXY_400_2000	ピクシー
A1_1820_PIKACHU_400_3000	そのまま　ねてしまったから　そのあとは\nなにが　おきたかは　わからない　だとさ
A1_1820_TIM_400_1000	そっか……\nそれは　ざんねんだね
A1_1820_PIKACHU_500_1000	バーンズのことを　どう　おもう？\nバーンズとは　なかが　よかったか？
A1_1820_PIXY_500_1000	ピクシ……
A1_1820_PIKACHU_500_2000	クラウディアが　バーンズのことを\nよく　おもっていない……
A1_1820_PIKACHU_500_3000	だから　ピクシーは　バーンズとは　あまり\nかかわらないように　していたらしい
A1_1820_PIXY_500_2000	ピクシー
A1_1820_PIKACHU_500_4000	でも　わるいひとじゃないと　おもうわ\nと　いってるな
A1_1820_PIKACHU_500_5000	きょう　たおれた　ターナーの　ところにも\nいっしょに　かけつけたそうだ
A1_1820_TIM_500_1000	それは　バーンズさんが　ターナーさんを\nかいほうするところを　みてたってこと？
A1_1820_PIKACHU_500_6000	そういうことに　なるな
A1_1820_PIKACHU_500_7000	ピクシー！　そのときの　ようすを\nもうすこし　くわしく　おしえてくれ！
A1_1820_PIXY_500_3000	ピクシー
A1_1820_PIKACHU_500_8000	ごぜんちゅう　ピクシーは\nげんかんの　ちかくで\nうたたねを　していたそうだ
A1_1820_PIKACHU_500_9000	そとから　バーンズが　かえってきたときに\nめがさめて　かれを\nげんかんで　でむかえたそうだ
A1_1820_PIXY_500_4000	ピクシー\nピクシー！
A1_1820_PIKACHU_500_10000	<color=#F39800FF>そのとき　２Ｆから\nさけびごえが　きこえたから　バーンズと\nいっしょに　２Ｆに　あがって……</color>
A1_1820_PIKACHU_500_11000	そこで　たおれている　ターナーを　みて\nおどろいたのか！
A1_1820_TIM_500_2000	つまり　ターナーさんが\nおそわれたとき……\nバーンズさんは　１Ｆに　いたんだ！
A1_1820_PIXY_600_1000	ピクシー！
A1_1820_PIKACHU_600_1000	<color=#F39800FF>わたし　ほかの　ポケモンより\nみみが　いいのよ！</color>　ってさ
A1_1820_PIXY_600_2000	ピクシー
A1_1820_PIKACHU_600_2000	ほお……　やしきの　すべての　へやの\nあしおとや　はなしごえを　ききとれるのか
A1_1820_TIM_600_1000	それは　すごい　とくぎだね！
A1_1820_PIKACHU_600_3000	そういえば　ピクシーは　１キロさきの\nおとすら　ききとれるんだったな
A1_1820_TIM_600_2000	１キロ！？\nにんげんでは　かんがえられない\nみみの　よさだね
A1_1820_PIXY_600_3000	ピクシー！？\nピクシー！
A1_1820_PIKACHU_600_4000	あんまり　おおきな　こえを\nださないで　ってさ\nおおごえを　きくのは　つらいらしい
A1_1820_TIM_600_3000	あ　ごめんね　ピクシー\nこんごは　きをつけるよ
A1_1830_BRAD_100_1000	なんの　ようかな　めいたんていクン
A1_1830_TIM_100_1000	バーンズさんの　じじょうちょうしゅは\nもう　おわったんですよね？
A1_1830_BRAD_100_2000	とりあえず　といったところだ\nまだ　しょうこが　そろっていないからね
A1_1830_BRAD_100_3000	バーンズが　ようぎしゃであることに\nかわりは　ないさ
A1_1830_TIM_100_2000	もし　よければ\nはなしを　きかせてもらえませんか？
A1_1830_BRAD_100_4000	かまわないが　わたしは　キミに\nそうさじょうほうを\nおしえるつもりは　ないよ
A1_1830_BRAD_200_1000	まだ　なにか\nようが　あるのかね？
A1_1830_SEL_0_1000	バーンズさんに　ついて
A1_1830_SEL_0_2000	そうさの　じょうきょう
A1_1830_TIM_300_1000	けいさつが　バーンズさんを\nうたがっているのは　やはり\nカギが　りゆう　なんですか？
A1_1830_BRAD_300_1000	それぐらいは　しっているのか……\nまあ　そのとおりだとも
A1_1830_BRAD_300_2000	カギを　てに　とれるのは\nしゅじんの　デニスしと\nしつじの　バーンズだけ
A1_1830_BRAD_300_3000	デニスしの　じさくじえんとは\nかんがえにくい　バーンズが　ぬすんだと\nかんがえるのが　しぜんだ
A1_1830_BRAD_300_4000	さらに　いえば\nげんばには　パートナーである\nコアルヒーの　はねが　おちていた
A1_1830_BRAD_300_5000	バーンズが　カギを　つかって\nほうせきほかんしつに　はいり\nコアルヒーに　ほうせきを　もちさらせた
A1_1830_BRAD_300_6000	いじょうが　わたしの　みたてだよ
A1_1830_TIM_300_2000	なるほど……
A1_1830_BRAD_300_7000	まだ　けっていてきな　しょうこが　ない
A1_1830_BRAD_300_8000	だが　にげた　コアルヒーを　みつけ\nかならず　しょうこを　つかんでみせるさ
A1_1830_TIM_300_3000	ぼくも　たんていとして　ひきつづき\nしらべさせてもらいますよ
A1_1830_BRAD_300_9000	ふん　すきに　したまえ
A1_1830_TIM_400_1000	バーンズさん　いがいの\nひとたちの　ことは　しらべていますか？
A1_1830_BRAD_400_1000	とうぜんだ\nこの　やしきの　ひとびとからは\nひととおり　はなしを　きいている
A1_1830_TIM_400_2000	ブラッドさんから　みた\nいんしょう　だけでも\nきかせてもらえますか？
A1_1830_BRAD_400_2000	……まあ　そのくらいの　ことなら\nいいだろう
A1_1830_BRAD_400_3000	デニスしは　バーンズに\nようぎが　かかった　ことで\nどうようしている　ようすだ
A1_1830_BRAD_400_4000	つまの　クラウディアしは\nどうにも　かんじょうてきに　なっているな
A1_1830_BRAD_400_5000	はやく　そうさを　おわらせろと\nしきりに　いってくる
A1_1830_PIKACHU_400_1000	ブラッドも　たいへんだ\nどうじょう　するぜ
A1_1830_BRAD_400_6000	しようにんの　ターナーしは\nそうさに　きょうりょくてきだ
A1_1830_BRAD_400_7000	かれが　きを　うしなうまえの\nできごとに　ついて\nいろいろと　はなしを　きかせてもらったよ
A1_1830_BRAD_400_8000	ま　わたしから　いえるのは\nこんなところだ
A1_1830_TIM_400_3000	ありがとうございます\nさんこうに　させていただきます
A1_1830_PIKACHU_400_2000	けいさつは　にんげんからは\nはなしを　きけるが\nポケモンからは　きけない
A1_1830_PIKACHU_400_3000	ポケモンから　じょうほうを　あつめれば\nより　せいかくなことが\nわかるかもしれんぞ
A1_1840_LIVOLT01_100_1000	ライボ……
A1_1840_PIKACHU_100_1000	おいおい\nそんなに　にらむなよ　ライボルト
A1_1840_LIVOLT01_100_2000	ライボッ！
A1_1840_PIKACHU_100_2000	あんしんしろって\nけいさつの　しごとの\nじゃまは　しないから
A1_1840_TIM_100_1000	ブラッドさんの　ライボルト\nしごと　ねっしんだね……
A1_1840_PIKACHU_100_3000	そうだな　こいつが　みはってるから\nだれかが　しょうこを　かくそうとしても\nすぐに　バレる
A1_1840_PIKACHU_100_4000	そういう　いみでは　こころづよいが……
A1_1840_LIVOLT01_100_3000	ライボッ！
A1_1840_PIKACHU_100_5000	オレに　たいする　あたりの　つよさは\nもうすこし　なんとか　ならないかな……
A1_1840_LIVOLT01_200_1000	ライボ！
A1_1840_PIKACHU_200_1000	なんだよ！？\nオレが　おまえに　なにしたっつうんだよ！
A1_1850_DHPOLICEMAN01_100_1000	この　へやは　けいさつが　しらべています\nぶがいしゃの　たちいりは\nごえんりょください
A1_1860_PIKACHU_100_1000	バーンズの　じじょうちょうしゅは\nおわったが　まだ　けいさつが\nへやを　しらべてるみたいだな
A1_1860_TIM_100_1000	そうだね\nほかの　ばしょを　しらべよう
A1_1870_PIKACHU_100_1000	これいじょう　ちょうさを　すすめるには\nまちで　じょうほうを\nあつめるしか　なさそうだ
A1_1870_TIM_100_1000	でも　どこに　いけば　いいんだろう？
A1_1870_TIM_100_2000	コアルヒーを　おうか\nあかいポケモンを　さがすか……
A1_1870_PIKACHU_100_2000	まよっているなら\nコアルヒーの　ゆくえから\nおってみたら　どうだ？
A1_1870_PIKACHU_100_3000	あかいポケモンよりは\nてがかりが　あると　おもうんだ
A1_1870_TIM_100_3000	たしか　きょうも　かいだしを\nおねがいしていたって　はなしだったよね
A1_1870_PIKACHU_100_4000	もしかしたら　ハイハットカフェに\nいったのかもしれないな
A1_1870_TIM_100_4000	そうだね\nじゃあ　カフェのほうを　さがしてみようか
A1_1870_PIKACHU_100_5000	よし\nそうときまれば　いくぞ　ティム！
A1_19001_TIM_100_1000	ぼくたちが　もらった　くんしょうだね
A1_19001_PIKACHU_100_1000	めいたんていとしての\nかつやくの　あかしだな\nこれからも　がんばろうぜ　ティム
A1_19010_PIKACHU_100_1000	うーん　あまい　ニオイが　たまらない\nミツハニーの　ミツを　つかってるな
A1_19010_TIM_100_1000	ちょうさが　おわったら\nたべに　こようね
A1_19030_TIM_100_1000	いろんな　きのみを　つかった\nメニューが　あるよ
A1_19030_PIKACHU_100_1000	これだけ　あれば　どんな　ポケモンの\nこのみにも　こたえられるな
A1_19040_TIM_100_1000	「きんいろの　ぎょうてん」　という\nえ　だって\nえがかれているのは……
A1_19040_PIKACHU_100_1000	でんせつに　とうじょうする　ポケモン\nホウオウだな
A1_19040_PIKACHU_100_2000	にじいろに　ひかりかがやく　ハネで\nえいえんの　しあわせを　もたらすそうだ
A1_19040_TIM_100_2000	にじいろか……　この　えも　キレイだけど\nほんものは　もっと　キレイなんだろうね
A1_1905_MAMEPATO01_100_1000	プルッポー
A1_1905_PIKACHU_100_1000	おう　マメパトじゃないか！\nもう　げんきに　なったのか　よかったな
A1_1905_MAMEPATO01_100_2000	プル？
A1_1905_PIKACHU_100_2000	どちらさまって……\nこのまえ　たすけてやったじゃないか？
A1_1905_MAMEPATO01_100_3000	プル？
A1_1905_PIKACHU_100_3000	すっかり　わすれてやがる……
A1_1905_TIM_100_1000	マメパトは　わすれっぽいからね
A1_1905_MAMEPATO01_200_1000	プルッポー
A1_1905_PIKACHU_200_1000	はじめまして　じゃない\nさっきも　あっただろう
A1_19050_TIM_100_1000	「ぎんいろの　はとう」　という\nえ　だって\nえがかれているのは……
A1_19050_PIKACHU_100_1000	うみの　かみと　よばれる　ポケモン\nルギアだな
A1_19050_PIKACHU_100_2000	ふかい　うみの　そこに\nすんでるって　ウワサだが\nすがたを　みた　ヤツは　いないらしい
A1_19050_TIM_100_2000	うみの　そこか……\nふつうに　くらしてたら\nあうのは　むずかしそうだね
A1_19070_TIM_100_1000	しごとの　どうぐが　おいてある\nふだんは　しょさいとしても\nつかってるのかな？
A1_19080_PIKACHU_100_1000	らいきゃくようの　こうちゃだ\nオレは　コーヒーが　よかったんだがな
A1_1910_ELFUUN01_100_1000	エル？
A1_1910_ELFUUN02_100_1000	エールー！
A1_1910_TIM_100_1000	なにを　たのしそうに\nはなしてるんだろう？
A1_1910_PIKACHU_100_1000	なんど　きても　この　まちは\nにぎやかで　たのしいって　はなしているな
A1_1910_TIM_100_2000	このこたち\nなにか　みてたりしないかな？
A1_1910_PIKACHU_100_2000	そうだな\nはなしを　きいてみるか
A1_1910_TIM_200_1000	はなしを　きかせてもらっても　いいかな？
A1_1910_ELFUUN01_200_1000	エル！
A1_1910_ELFUUN02_200_1000	エルー！
A1_1910_SEL_0_1000	エルフーンに　ついて
A1_1910_SEL_0_2000	ワタに　ついて
A1_1910_SEL_0_3000	デニスていに\nはいった　ほうほう
A1_1910_SEL_0_4000	あかいポケモンに　ついて
A1_1910_SEL_0_5000	コアルヒーに　ついて
A1_1910_ELFUUN01_300_1000	エルー！
A1_1910_PIKACHU_300_1000	ふむ　おまえたちは　きせつふうに　のって\nせかいじゅうを　たびしているのか
A1_1910_TIM_300_1000	エルフーンが　くると\nまちが　いつもより　にぎやかに　なるよね
A1_1910_ELFUUN02_300_1000	エルー！
A1_1910_PIKACHU_300_2000	そうか　また　すぐに　このまちから\nでていくことに　なっちまうんだな
A1_1910_ELFUUN01_300_2000	エルー！
A1_1910_PIKACHU_300_3000	ここは　いろんなポケモンに　あえるから\nまいとし　くるのが　たのしみなのか
A1_1910_PIKACHU_300_4000	そういってもらえると\nオレたちも　うれしいぜ
A1_1910_TIM_400_1000	この　ワタって\nキミたちの　ものじゃないかな？
A1_1910_ELFUUN01_400_1000	エル　エルー！
A1_1910_PIKACHU_400_1000	<color=#F39800FF>じぶんたちのもの</color>だと\nいってるな
A1_1910_TIM_400_2000	じつは　これ　デニスさんの　おやしきで\nみつけたんだけど
A1_1910_TIM_400_3000	もしかして　キミたち\nおやしきに　いったりしてない？
A1_1910_ELFUUN01_400_2000	エルー？
A1_1910_PIKACHU_400_2000	いったかもしれないし\nいってないかもしれない　だと？
A1_1910_PIKACHU_400_3000	おいおい……\nそれくらい　ちゃんと　おぼえててくれ
A1_1910_ELFUUN02_400_1000	エル！
A1_1910_PIKACHU_400_4000	おっ！\nこっちのヤツは　おぼえていたか！
A1_1910_TIM_400_4000	なんて　いってるの？
A1_1910_PIKACHU_400_5000	ともだちと　あそんでるときに\nやしきの　なかに\nはいったきが　するそうだ
A1_1910_TIM_400_5000	きがする　か\nいまいち　はっきりしないね
A1_1910_PIKACHU_400_6000	そうだな……\nもうすこし　くわしく　きいてみるか
A1_1910_PIKACHU_500_1000	やしきに　はいったかもって　いってたが\nどうやって　はいったんだ？
A1_1910_ELFUUN01_500_1000	エル！
A1_1910_PIKACHU_500_2000	ともだちを　つれて\nまどから　はいった　か\nなんで　そんなことを　したんだ？
A1_1910_ELFUUN02_500_1000	エルー……
A1_1910_PIKACHU_500_3000	きょうは　あさごはんを　たべてからの\nきおくが　ないだと？\nなんだ　そりゃ？
A1_1910_PIKACHU_500_4000	たのむ　だいじなことなんだ\nおもいだしてくれ
A1_1910_ELFUUN01_500_2000	エルー
A1_1910_PIKACHU_500_5000	しらない　にんげんに　おねがいされた？
A1_1910_PIKACHU_500_6000	そいつは　どんなヤツだったんだ？
A1_1910_ELFUUN02_500_2000	エールー
A1_1910_PIKACHU_500_7000	ぜんぜん　しらない　にんげんだったから\nおぼえてない　か
A1_1910_PIKACHU_500_8000	おまえ　ドロボーの　かたぼうを\nかついじゃったかも　しれないんだぞ
A1_1910_ELFUUN01_500_3000	エールー……？
A1_1910_PIKACHU_500_9000	そんなこと　いわれても　わからない　か
A1_1910_TIM_500_1000	エルフーンは　なにも　しらずに\nじけんに　かかわっちゃったってこと？
A1_1910_PIKACHU_500_10000	じけんに　かかわった　という\nにんしきすら　ないだろうよ
A1_1910_PIKACHU_500_11000	イタズラを　するのは\nこいつらの　しゅうせいだ\nやっかいだな
A1_1910_PIKACHU_600_1000	ふたりは　このあたりで\nあかいポケモンを　みかけたりしてないか？
A1_1910_ELFUUN01_600_1000	エル！
A1_1910_PIKACHU_600_2000	あかいポケモンなら\nさいきん　コマタナと\nともだちに　なった　か
A1_1910_TIM_600_1000	コマタナって？
A1_1910_PIKACHU_600_3000	ぜんしんが　はものに　なっている\nポケモンだ
A1_1910_PIKACHU_600_4000	たしかに　コマタナは\nあかい　たいしょくを　しているな
A1_1910_ELFUUN02_600_1000	エルフン！　フン！
A1_1910_PIKACHU_600_5000	コマタナとは　いこいのこうえんの\nみはらしだいで　よく　あうのか
A1_1910_PIKACHU_600_6000	かぜが　ある　ひに　コマタナを　つかんで\nとおくまで　とぶ　あそびを\nしてるらしいな
A1_1910_ELFUUN01_600_2000	エル！
A1_1910_PIKACHU_600_7000	よく　いこいのこうえんから　ここまで\nいっしょに　とんでくるんだそうだ
A1_1910_TIM_600_2000	いこいのこうえんって\nこのさきにある　こうえんの　ことだよね
A1_1910_PIKACHU_600_8000	ああ　みはらしだいは\nそのおくだな
A1_1910_TIM_600_3000	そこにいけば\nコマタナが　いるかも　しれないね
A1_1910_TIM_600_4000	さいきんだと　いつ\nコマタナと　あそんだのか\nおぼえてないかな？
A1_1910_ELFUUN01_600_3000	エルー？
A1_1910_ELFUUN02_600_2000	エルル？
A1_1910_PIKACHU_600_9000	ここの　ところ　まいにち　あそんでて\nきょうも　いっしょに　あそんだ　か
A1_1910_TIM_600_5000	なら　ぼくらも　そこに　いけば\nあえるかもしれないね
A1_1910_ELFUUN01_600_4000	エル……
A1_1910_PIKACHU_600_10000	<color=#F39800FF>コマタナに　あうなら\nおきにいりの　いわの\nあつかいには　きをつけろ</color>だと？
A1_1910_TIM_600_6000	おきにいりの　いわ？
A1_1910_ELFUUN01_600_5000	エル　エル！
A1_1910_PIKACHU_600_11000	コマタナが　だいじに　してる　いわが\nみはらしだいに　あるらしいんだ
A1_1910_PIKACHU_600_12000	まえに　それを　ふんでしまって\nおもいっきり　おこられたんだと
A1_1910_TIM_600_7000	それは　こわいね
A1_1910_TIM_600_8000	ぼくたちも　きをつけよう
A1_1910_TIM_700_1000	コアルヒーを\nみかけたことは　ないかな？
A1_1910_ELFUUN01_700_1000	エル？
A1_1910_ELFUUN02_700_1000	エールー
A1_1910_ELFUUN01_700_2000	エルエル！
A1_1910_PIKACHU_700_1000	わかった　わかった！\nおまえたちは　みてないんだな？
A1_1910_ELFUUN02_700_2000	エルフー！
A1_1910_TIM_700_2000	みてないのか\nどこに　いっちゃったんだろう……
A1_19110_PIKACHU_100_1000	いい　ドラムセットを　つかってるな\nどれ　ひとつ　ためしてみるか
A1_19110_TIM_100_1000	やめときなよ　えいぎょうちゅうだよ
A1_19120_PIKACHU_100_1000	パブロの　ピアノだ
A1_19120_TIM_100_1000	おみせが　いそがしいと　パブロさんも\nピアノを　ひく　じかんが　なさそうだね
A1_19130_PIKACHU_100_1000	コントラバスとは\nまた　しゃれた　がっきが　あるじゃないか
A1_19130_PIKACHU_100_2000	どれ　ひとつ　ためしてみるか
A1_19130_TIM_100_1000	やめときなって　えいぎょうちゅうだよ
A1_19140_TIM_100_1000	レコードに　がくふ\nパブロさんの　コレクションだね
A1_19140_PIKACHU_100_1000	ねんだいものから　さいしんきょくまで\nそろえてある\nおんがくの　しゅみが　ひろいな
A1_19150_PIKACHU_100_1000	しってるか？\nこれは　コンガって　がっきだ\nりょうてで　たたいて　リズムをきざむんだ
A1_19150_PIKACHU_100_2000	これなら　オレでも　たたけるぞ
A1_19150_TIM_100_1000	もう　そんなことしてる\nばあいじゃ　ないでしょ
