Battle\COMMON.msbt
NOT_MOVE	様子を見ている…
017	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0017_pc1003\0あー…そういうことですか。
018	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0018_pc1003\0よしイツキ、マイコさんに騙された\n可哀想なツバサちゃんを慰めに行こうぜ！
SEL_01_01	行ってらっしゃい。
019	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0019_pc1001\0行ってらっしゃい。
020	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0020_pc1003\0かー、あっさりしてんなあ！\nこのむっつり大臣め！
021	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0021_pc1001\0むっつりって…。\nトウマが水着の女の子、見たいだけだろうに。\n俺には関係ないじゃないか。
022	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0022_pc1003\0そういうとこが、むっつりだってんだ！\n後で後悔するなよ！
SEL_01_02	…ツバサの邪魔になる。
023	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0023_pc1001\0…ツバサの邪魔になるんじゃないか？
024	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0024_pc1003\0黙れ、このエセ紳士！\n後で後悔するなよ！
025	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0025_pc1004\0それにしても…\n撮影するカメラマンは、あの人か…\n因果ね……。
026	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0026_pc1001\0マイコさん、そのカメラマンのこと\n知ってるんですか？
027	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0027_pc1004\0ええ。\n\x0e\0\x03\x02\x02\0彫ノ澤允\x0e\0\x03\x02ÿÿ…業界では有名なカメラマンよ。
028	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0028_pc1004\0女性の最も美しい瞬間と角度を捉え、\nその魅力を最大限に発揮できる…\n素晴らしい才能を持った益荒男。
029	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0029_pc1004\0な～んて、書き立てるマスコミもいるけど、\n私に言わせればモデルが良かっただけね。
030	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0030_pc1001\0モデル…ですか？
031	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0031_pc1004\0ええ。\n実は私、昔\x0e\0\x03\x02\x02\0グラビアモデル\x0e\0\x03\x02ÿÿやってたのよ。
032	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0032_pc1001\0そ、そうなんですか？
033	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0033_pc1004\0ええ。その頃に何度か彫ノ澤と組んで\n仕事したけど並…\nより、ちょっと上くらいだったわ、うん。
034	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0034_pc1004\0まあ、さすがに今は、あの頃より腕上げて…\n一流になってるのかもしれないけどね。
035	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0035_pc1001\0一流…そんなにいいカメラマンだったら、\nどうしてマイコさんさっき浮かない顔\nしてたんですか。
036	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0036_pc1004\0……浮かない顔？\nやっだイツキ君！\nそんな顔してないわよー。
037	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0037_pc1001\0あ、そういえば……。
038	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0038_pc1004\0ん？　どうしたの？
SEL_02_01	実は雑誌に気になる記事が…。
039	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0039_pc1001\0実は雑誌に気になる記事が…あったので。
SEL_02_02	やっぱり何でもないです。
040	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0040_pc1001\0やっぱり何でもないです。
041	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0041_pc1004\0イツキく～ん。\n言いかけて途中でやめるの、良くないわよー？\nマイコさんとの間に秘密を作る気？
042	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0042_pc1001\0秘密とかじゃないですよ。\nちょっと雑誌読んでて\n気になる記事があっただけで。
043	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0043_pc1004\0どんな内容だったの？
044	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0044_pc1001\0どうも最近\n\x0e\0\x03\x02\x02\0モデルの失踪事件\x0e\0\x03\x02ÿÿが続いてるらしいです。\n…それで、もしかしたらって思って。
045	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0045_pc1004\0確かに…ミラージュがらみの可能性があるわね。\n分かった、コネを使って\nちょっと探りを入れてみるわ。
046	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0046_pc1001\0お願いします。
047	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0047_pc1004\0となると、ツバサちゃんがちょっと心配ね。\nイツキ君、ボディガードってことで\nツバサちゃんのとこ行ってちょうだい。
048	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0048_pc1004\0ツバサちゃんは\x0e\0\x03\x02\x02\0ダイバーＴＶ\x0e\0\x03\x02ÿÿ本社ビル…\n\x0e\0\x03\x02\x02\0だいたま展望台\x0e\0\x03\x02ÿÿがあるビルね。\nそこのスタジオで撮影してるわ。
049	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0049_pc1001\0分かりました。
050	\x0e\x04\0\x1b\x18\0EVT_m2042_03_0050_pc1004\0じゃあ、ツバサちゃんのこと頼んだわね。
051	\x0e\x04\0\x1b\x18\0EVT_m2042_03_3000_pc1004\0ちなみに、今回の撮影には\nツバサちゃんだけじゃなくて、\n他のタレントも来るわよー。
052	\x0e\x04\0\x1b\x18\0EVT_m2042_03_3001_pc1004\0それじゃ、初のモデル撮影、\n頑張ってきなさい。
053	\x0e\x04\0\x1b\x18\0EVT_m2042_03_3002_pc1002\0は、はい！　行ってきます！
054	\x0e\x04\0\x1b\x18\0EVT_m2042_03_3003_pc1004\0ええ。\n実は私、昔モデルやってたのよ。\nファッション関係の、ね。
Event\m2043_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0001_pc1005\0マモリ、忘れ物はないデスカ？
002	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0002_pc1007\0私は大丈夫ですけど…\nおじちゃん、今日こそハンカチ\nもってきてますよね？
003	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0003_pc1005\0オー、ミステイク！\n今日も忘れてしまいましタ！！
004	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0004_pc1007\0まったく…\n仕方ないおじちゃんですね。
005	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0005_pc1007\0私、今日も１枚余計に持ってきてますから…\n使ってください。
006	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0006_pc1005\0サンキュー、マモリ！\nまさに三次元に舞い降りた天使デース！
007	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0007_pc1007\0天使なんて、大げさです。
008	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0008_pc1004\0マモリちゃん、\nそろそろスタジオに行く時間でしょ？\nアヤハが待ってるわよ。
009	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0009_pc1007\0あ、そうでした！！
010	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0010_pc1004\0ほら、イツキ君もお見送り！
011	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0011_pc1001\0いってらっしゃい、\n仕事頑張って。
012	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0012_pc1007\0はい。頑張ります。\nそれじゃあ、行ってきますね。
013	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0013_pc1004\0また、マモリちゃんのハンカチ借りたの？
014	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0014_pc1005\0またとか言うナ！
015	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0015_pc1004\0知ってる？　イツキ君。\nバリィってばマモリちゃんにハンカチ借りたくて\nわざと、ハンカチ持ってきてないのよ。
016	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0016_pc1005\0な、何が悪いデース！\n私は、源まもり非公式私設応援団の\n会員第１号デスヨ！？
017	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0017_pc1001\0いや、応援団関係ないんじゃ…。
018	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0018_pc1005\0汚れを知らないピュア、\n守ってあげたくなるプリティー、\n万人を癒やす笑顔のチアフル…！
019	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0019_pc1005\0源まもりという奇跡の少女が\n汚れてしまわないよう守るのが、\n非公式私設応援団の役目なのデース！！
020	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0020_pc1001\0……。
021	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0021_pc1004\0イツキ君はレンチン…\n『\x0e\0\x03\x02\x02\0レンチンアイドル・まもりん\x0e\0\x03\x02ÿÿ』知ってる？
022	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0022_pc1001\0あ、はい、名前だけですけど。\nマモリが出てる番組、ですよね？
023	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0023_pc1004\0うん、そう。\nレンチン、視聴率がすごくよくてね。
024	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0024_pc1005\0マモリのおかげデース。\nマモリはアイドル子役として、\n人気急上昇中なのデースヨ！
025	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0025_pc1004\0とまあ、こういうファンが増えてるのよ。
026	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0026_pc1004\0で、どうにかして、この人気を、\n歌の方につなげたいんだけど…。
027	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0027_pc1001\0そういえばマモリ…\nたくさん歌の仕事できるようになりたいって\n言ってましたね。
028	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0028_pc1004\0素直でなんにでも一生懸命だし、\n今の仕事も楽しんではいるみたいだけど、\n本当はもっと歌の仕事をあげたいのよね…。
029	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0029_pc1005\0タレントとしての彼女もかわいいですが、\nマモリは、本当に歌うことが大好き…\n早く、歌手として輝く姿がみたいデース！
030	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0030_pc1005\0だから、非公式私設応援団長として、\n何かマモリのためにできること探しマース！
031	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0031_pc1004\0バリィ、マモリちゃんのことになると、\nさらにヤバイ感じよね。
032	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0032_pc1001\0……そうですね。
033	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0033_pc1004\0有名ミュージシャンだった頃の面影ゼロ…\n昔は\x0e\0\x03\x02\x02\0ミラージュマスター\x0e\0\x03\x02ÿÿでもあったのにね。
034	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0034_pc1001\0え、ミラージュマスター！？
035	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0035_pc1004\0ええ。\nでも、彼はかつて強力な敵と戦って、\nその力を使い果たしてしまった…。
036	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0036_pc1004\0その時に彼のミラージュも消えてしまったの…。
037	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0037_pc1004\0そのことに責任を感じたバリィは、\nふさぎ込むようになって…\n音楽業界から姿を消したの。
038	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0038_pc1004\0その後いろいろあって…\n結局今はトレーナーをしてる。
039	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0039_pc1001\0人に歴史あり、ですね…。
040	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0040_pc1001\0…あの、この事務所にいるってことは、\nもしかして、マモリもマスターなんですか？
041	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0041_pc1004\0マモリちゃんは、マスターじゃないわよ。\n\x0e\0\x03\x02\x02\0マスター候補\x0e\0\x03\x02ÿÿ、ではあるけどね。
042	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0042_pc1001\0候補？　それじゃあ、マモリも\nミラージュの事件のこと知ってるんですか？
043	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0043_pc1004\0ううん、まだ何も教えてないわ。
044	\x0e\x04\0\x1b\x18\0EVT_m2043_01_1000_pc1004\0素質はあるけど…\nあんな小さな子を戦いに巻き込んで\nいいものか…まだ迷っててね。
045	\x0e\x04\0\x1b\x18\0EVT_m2043_01_1001_pc1004\0そだけどイツキ君…もしもの時は\nあの子の事…よろしくね。
046	\x0e\x04\0\x1b\x18\0EVT_m2043_01_1002_pc1001\0分かりました。
047	\x0e\x04\0\x1b\x18\0EVT_m2043_01_0047_pc1004\0…と、私も出かける時間だわ。\nそれじゃね、イツキ君。
048	数日後…。
Event\m2044_01.msbt
001	（俺も\x0e\0\x03\x02\x02\0だいたま\x0e\0\x03\x02ÿÿに急ごう…）
002	（…………）
003	（返事なし…。\nトウマ、ＴＯＰＩＣを見てないな…）
Event\m2045_01.msbt
035	\x0e\x04\0\x18\x15\0EVT_REPLY_0002_np1103\0じゃあな。
001	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0001_np1116\0おや？　キミは…確か１０６で…。
002	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0002_pc1001\0あ…\x0e\0\x03\x02\x02\0旗中\x0e\0\x03\x02ÿÿさん？
003	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0003_np1116\0そうか、やっぱりキミとは\n１０６で会ってたんだな…。
004	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0004_np1116\0え～っと、キミの名前は…。
005	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0005_pc1001\0蒼井樹です。
006	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0006_np1116\0蒼井君ね。\nキミは、あの時１０６で何があったのか、\n覚えているかい？
007	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0007_np1116\0僕はどうにも、\nあの時の記憶が曖昧で…。
008	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0008_np1116\0何か奇妙な場所をさまよっていたような…。\nだが、それは夢だったような気もする…。
009	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0009_np1116\0正直、キミとどうやって出会ったのかも\nはっきり覚えていないんだ。\n思い出そうとすると頭が混乱して…。
010	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0010_np1116\0どうして僕は何も覚えていないんだ…？
011	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0011_pc1001\0えっと、それは……。
012	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0012_pc1003\0お、イツキ。ここにいたのか。
013	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0013_pc1003\0はぁ…せっかくここまで来たのに、\n撮影スタジオに入れなかったぜ。
014	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0014_pc1003\0あれ、旗中さんじゃないですか。こんちはっす！
015	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0015_np1116\0ああ、キミも…１０６が変になった時いたよね？
016	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0016_pc1003\0すみません、旗中さん。\n俺、コイツつれて急いで\n行かないといけないとこあるんで。
017	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0017_pc1001\0旗中さん、それじゃ失礼します。
018	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0018_np1116\0あ、ああ。また…。
019	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0019_pc1001\0旗中さん、イドラスフィアのこと\nかなり気にしてるみたいだった。
020	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1000_pc1003\0マジかー…。\n変に深入りしてこないことを祈りたいな。\n下手にミラージュに絡むのは危険だ。
036	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1001_pc1001\0そうだね。
021	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0021_pc1003\0つか、聞いてくれよ！　せっかく\nツバサちゃんを応援しようと思ったのによ、\n撮影スタジオに入れなかったんだよ…！
022	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0022_pc1001\0関係者以外立ち入り禁止なんだな…。
023	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0023_pc1003\0しかも、なんかトラブルがあったらしくて\n撮影は中止になったみたいなんだわ。
024	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0024_pc1001\0トラブルって…\nまさかミラージュがらみ？
025	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0025_pc1003\0いや、撮影されてたグラドルたち、\nみんな何事もなく帰って行ってた。
026	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0026_pc1003\0遠目に見ただけだったけど、\n帰ってくグラドルの中に、\nツバサちゃんもいたぜ。
027	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0027_pc1001\0そっか。
028	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0028_pc1003\0なんでミラージュがらみだと思ったんだ？
029	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0029_pc1001\0ほら、前にコンビニで立ち読みした雑誌に\nグラビアモデルが失踪する事件が\n数件起きてるってあったじゃないか。
030	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0030_pc1003\0ああ、あの時の記事か…。
031	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0031_pc1001\0ミラージュがらみって確証はないけど、\nなんだか引っかかって。
032	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0032_pc1001\0で、それをマイコさんに話したら、\nボディガード代わりにツバサのところに\n行くことになったんだ。
033	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0033_pc1001\0まあ、\nボディガード必要じゃなかったみたいだけど。
034	\x0e\x04\0\x1b\x18\0EVT_m2045_01_0034_pc1003\0だな。さて、目的は空振りに終わったし、\n俺はこの辺を少しぶらぶらして帰るよ。\nんじゃな！
037	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1002_pc1003\0つか、聞いてくれよ！　せっかく\nツバサちゃんを応援しようと思ったのによー。
038	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1003_pc1003\0なんかトラブルがあったらしくて\n撮影は中止になったみたいなんだわ。
039	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1004_pc1003\0カメラマンの彫ノ澤さん…\n…すっげー怒っててさー。\nツバサちゃん大丈夫かな…って、おい！
040	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1005_pc1003\0見ろよ、イツキ。\n噂をすれば…アレが彫ノ澤さんだぜ？
041	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1006_pc1001\0あの人が…カメラマン…。
042	\x0e\x04\0\x1b\x18\0EVT_m2045_01_1007_pc1003\0ってかイツキは\nなんでミラージュがらみだと思ったんだ？
043	\x0e\x04\0\x1b\x18\0EVT_m2045_01_3000_pc1003\0俺の方も仕事が早く終わったからさ\nツバサちゃんのこと見に\n撮影スタジオに行ってきたんだ。
044	\x0e\x04\0\x1b\x18\0EVT_m2045_01_3001_pc1003\0あ、そうだ。\nツバサちゃんの撮影のことなんだけどさ。\n俺、スタジオにまで行ったんだわ。
045	\x0e\x04\0\x1b\x18\0EVT_m2045_01_3002_pc1003\0なんかトラブルがあったらしくて\n撮影は中止になったらしいぜ。
046	\x0e\x04\0\x1b\x18\0EVT_m2045_01_3003_pc1003\0いや、撮影されてたモデルの子たち、\nみんな何事もなく帰って行ってた。
047	\x0e\x04\0\x1b\x18\0EVT_m2045_01_3004_pc1001\0ほら、前にコンビニで立ち読みした雑誌に\nモデルが失踪する事件が\n数件起きてるってあったじゃないか。
Event\m2046_01.msbt
001	（…行くか）
Event\m2047_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m2047_01_0001_pc1004\0おーい、イツキ君。こっちよ。
002	\x0e\x04\0\x1b\x18\0EVT_m2047_01_0002_pc1001\0あ、はい。
Event\m2047_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0001_pc1004\0よく来てくれたわね。\n好きなもの頼んでいいわよ。\nここは私のおごり。
002	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0002_pc1001\0ありがとうございます。\nじゃあ、コーヒーで。
003	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0003_pc1001\0マイコさんって酒飲みのイメージありますけど、\nカフェでコーヒー飲んでると\nカッコいいですね。
004	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0004_pc1004\0それ、褒められてるのか\n遠まわしにダメ出しされてるのか…\n分からないんだけど。
SEL_01_01	もちろん褒めてますよ。
005	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0005_pc1001\0もちろん褒めてますよ。
006	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0006_pc1004\0本当に？
007	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0007_pc1001\0本当ですって。
008	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0008_pc1004\0なんにせよ、私のイメージが\nのんべえになってるのは確実よね…。
SEL_01_02	ギャップを感じてるだけです。
009	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0009_pc1001\0ギャップを感じてるだけです。普段との。
010	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0010_pc1004\0うん…やっぱり褒められてないわね。
011	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0011_pc1004\0おかしいわねぇ、\nそんなつもりはないんだけど。
012	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0012_pc1004\0でも、グラビアの仕事やめてから、\nちょっとお酒の量増えちゃったのは\n事実なのよねー。
013	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0013_pc1001\0そういえば、マイコさん\nなんでグラビアやめちゃったんですか？
014	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0014_pc1001\0マイコさんだったら、今でも現役を\n続けられそうですけど。
015	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0015_pc1004\0うーん……。\nま、いろいろあってね。
016	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0016_pc1001\0…いろいろですか。
017	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0017_pc1004\0そそ。イイ女には秘密があるっていうでしょ？\nだから、ひ、み、つ。
018	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0018_pc1004\0ところでイツキ君、撮影どうだった？
019	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0019_pc1001\0俺が行った時にはもう解散になってました。\nどうもトラブルがあって、中止なったらしくて。
020	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0020_pc1004\0トラブルって……。\nイツキ君がここに来てるってことは\nツバサちゃんは無事なのよね。
021	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0021_pc1001\0ええ。ツバサをストーキングしてた\nトウマからの情報ですけど。
022	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0022_pc1004\0トウマ君も変なところで役立つわね。\n今回は…何もなかったみたいで良かったわ。
023	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0023_pc1001\0今回はって…どういう意味ですか？
024	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0024_pc1004\0実は、これを話そうとして呼び出したんだけど、\nイツキ君が気にしていたグラドル失踪事件…。
025	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0025_pc1004\0失踪しているグラドルは…みんな\n失踪直前に彫ノ澤允と仕事をしているの。
026	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0026_pc1001\0え…。
027	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0027_pc1004\0調べてて、私も驚いちゃったわよ。
028	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0028_pc1004\0というか、聞いてよイツキ君。\n私の写真集がバカ売れしたおかげで、\n彫ノ澤は有名になれたのよ？
029	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0029_pc1004\0だってのに、こんな失踪事件に巻き込まれて…\nあのバカ。
030	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0030_pc1004\0片っ端からオファー受けるから\nこんなことになるのよ……っ。
031	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0031_pc1001\0…マイコさん？
032	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0032_pc1004\0…って、話が思いっきり脱線したわね。
033	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0033_pc1004\0話を戻すと、まだ数自体は少ないけど…\n失踪者全員が彫ノ澤に撮影されているとなると、\nさすがに偶然とは思えないのよ。
034	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0034_pc1004\0間違いなく、近いうちに警察も動き出す。\nでも…これがもしミラージュ絡みの事件だと\nすると、警察じゃなくて私たちの領分よ。
035	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0035_pc1001\0……。
036	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0036_pc1004\0ツバサちゃんももう、\n彫ノ澤の撮影オファーを受けた者の１人…。
037	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0037_pc1004\0失踪したグラドルと同じように\nなんらかの被害を受けないとも限らない。
038	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0038_pc1004\0だから…\nツバサちゃんのことはイツキ君が守ってあげて。
039	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0039_pc1001\0…分かりました。
040	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0040_pc1004\0よし。じゃあイツキ君は先に事務所に帰って、\nツバサちゃんの安全を確認してあげてね。
041	\x0e\x04\0\x1b\x18\0EVT_m2047_02_0041_pc1004\0私は、もう少し彫ノ澤について\n調べてみるわ。\nそれじゃあ、お願いね。
Event\m2048_01.msbt
001	\x0e\x04\0\x18\x15\0EVT_REPLY_0087_pc1001\0ツバサ。
Event\m2048_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0001_pc1002\0あ、イツキ君。\nどうしたの？
002	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0002_pc1001\0今日の撮影、問題はなかった？\n特に、カメラマンに何か…。
003	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0003_pc1002\0え？\nううん、何もなかったよ。
004	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0004_pc1002\0むしろ…問題があったのは私の方…。
005	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0005_pc1002\0はあ……。
006	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0006_pc1001\0どうかした？
007	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0007_pc1002\0ちょっと…今日の撮影、うまくいかなくて…。
008	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0008_pc1002\0…カメラマンさん、怒って帰っちゃったの。
009	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0009_pc1001\0そういえば、撮影やけに早く\n終わったらしいけど…\nもしかしてそのせい？
010	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0010_pc1002\0あ、うん…\n撮影に来てた他の人にも迷惑をかけちゃった。
SEL_01_01	そっか…。
011	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0011_pc1001\0そっか…。
012	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0012_pc1002\0うん…。
013	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0013_pc1002\0でも…。
014	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0014_pc1002\0今回は失敗しちゃったけど、\n次は失敗しないように、\n頑張るしかないよね…。
015	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0015_pc1001\0ああ、頑張るしかないんだ…。
SEL_01_02	失敗は誰にでもあるよ。
016	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0016_pc1001\0失敗は誰にでもあるよ。\n今回のことを糧にできるといいんだろうけど。
017	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0017_pc1002\0うん。
018	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0018_pc1001\0悩みとかあったら聞くから、遠慮しないで。\n話すだけでも何か掴めるかもしれないし。
019	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0019_pc1002\0ありがと。イツキ君。
020	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0020_pc1001\0あと、少しなら愚痴も聞くよ。
021	\x0e\x04\0\x1b\x18\0EVT_m2048_02_0021_pc1002\0ふふ、愚痴は少しだけなんだ？
