Battle\COMMON.msbt
NOT_MOVE	正在观察情况……
CS_ENEMY_68	使我方单体的行动次数增加１次。
CS_ENEMY_69	召换我方幻影。
CS_ENEMY_71	在３次行动内\n提升我方全体的攻击力。
CS_ENEMY_72	在３次行动内\n提升我方全体的防御力。
CS_ENEMY_73	在３次行动内\n提升我方全体的命中率、回避率。
CS_ENEMY_74	物理\xb7枪／给予敌方单体小幅伤害。
CS_ENEMY_75	物理\xb7斧／给予敌方单体小幅伤害。
CS_ENEMY_79	使我方单体从无法战斗的状态中复活。
CS_ENEMY_80	回复我方单体的中毒状态。
SS_BUFFER_08	魔法\xb7火焰／从剑属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_09	物理\xb7剑／从弓属性技能进行协奏，\n给予小幅伤害。\n只能从特殊技能进行协奏。
SS_BUFFER_10	物理\xb7弓／从剑属性技能进行协奏，\n给予小幅伤害。\n只能从特殊技能进行协奏。
SS_BUFFER_11	物理\xb7斧／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_12	魔法\xb7冰冻／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_16	魔法\xb7火焰／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_17	魔法\xb7火焰／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_18	魔法\xb7火焰／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_19	魔法\xb7火焰／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_21	魔法\xb7冰冻／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_22	魔法\xb7冰冻／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_23	魔法\xb7冰冻／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_24	魔法\xb7冰冻／从弓属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_25	魔法\xb7电击／从冰冻属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_26	魔法\xb7电击／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_28	魔法\xb7电击／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_29	魔法\xb7冲击／从枪属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_30	魔法\xb7冲击／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_34	魔法\xb7冲击／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_36	魔法\xb7冲击／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_42	物理\xb7冰冻／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_ENEMY_01	物理\xb7枪／从冲击属性技能进行协奏，\n给予小幅伤害，并使其陷入中毒状态。
SS_ENEMY_02	物理\xb7冲击／从枪属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_05	从枪属性技能进行协奏，\n使全体陷入中毒状态。
SS_ENEMY_06	物理\xb7兽／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_07	物理\xb7弓／从弓属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_08	从冰冻属性技能进行协奏，\n使敌人陷入睡眠状态。
SS_ENEMY_11	物理\xb7斧／从斧属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_12	物理\xb7斧／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_13	从肉体属性技能进行协奏，\n使敌人陷入睡眠状态。
SS_ENEMY_14	物理\xb7兽／从电击属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_16	物理\xb7兽／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_18	物理\xb7剑／从兽属性技能进行协奏，\n无视“抗性”给予大幅伤害。
SS_ENEMY_19	魔法\xb7肉体／从剑属性技能进行协奏，\n吸收ＨＰ及ＥＰ。
SS_ENEMY_20	物理\xb7兽／从肉体属性技能进行协奏，\n给予大幅伤害，并使其陷入封印状态。
SS_ENEMY_21	魔法\xb7肉体／从冰冻属性技能进行协奏，\n吸收ＨＰ。
SS_ENEMY_23	物理\xb7火焰／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_24	物理\xb7冰冻／从冰冻属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_28	物理\xb7弓／从弓属性技能进行协奏，\n给予中幅伤害。
SS_ENEMY_29	魔法\xb7火焰／从枪属性技能进行协奏，\n给予敌方全体中幅伤害，并使其陷入中毒状态。
SS_ENEMY_30	物理\xb7斧／从斧属性技能进行协奏，\n给予中幅伤害。
SS_ENEMY_31	从枪属性技能进行协奏，\n使其陷入混乱状态。
SS_ENEMY_32	魔法\xb7火焰／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_ENEMY_34	物理\xb7斧／从枪属性技能进行协奏，\n给予中幅伤害。
SS_ENEMY_35	魔法\xb7电击／从电击属性技能进行协奏，\n给予小幅伤害。
SS_ENEMY_36	物理\xb7斧／从枪、冲击属性技能进行协奏，\n给予小幅伤害。
AS_FIRE_UP_1	提升火焰属性攻击的威力。
AS_COLD_UP_1	提升冰冻属性攻击的威力。
AS_SHOCK_UP_1	提升电击属性攻击的威力。
AS_IMPACT_UP_1	提升冲击属性攻击的威力。
AS_FIRE_UP_2	大幅提升火焰属性攻击的威力。
AS_COLD_UP_2	大幅提升冰冻属性攻击的威力。
AS_SHOCK_UP_2	大幅提升电击属性攻击的威力。
AS_IMPACT_UP_2	大幅提升冲击属性攻击的威力。
AS_SWORD_UP_2	大幅提升剑属性攻击的威力。
AS_SPEAR_UP_2	大幅提升枪属性攻击的威力。
AS_BOW_UP_2	大幅提升弓属性攻击的威力。
AS_AXE_UP_2	大幅提升斧属性攻击的威力。
AS_ITSUKI_1	攻击时，将对象的防御力减半再攻击，\n并吸收一半的伤害化为ＨＰ。\n有一定几率发动。
AS_ITSUKI_2	提升克制技能的克制威力。
AS_TSUBASA_1	行动时小幅回复ＨＰ。\n身为后备成员时不会回复。
AS_TSUBASA_2	命中率、回避率上升。
AS_TOUMA_1	攻击时，将对象的防御力减半再攻击。\n有一定几率发动。
AS_KIRIA_1	行动时微量回复ＥＰ。\n身为后备成员时不会回复。
AS_KIRIA_2	提升魔法攻击的威力。
AS_ELEY_2	提升暴击时的伤害。
AS_MAMORI_1	受到伤害时，有一定几率\n发动防御效果。
AS_YASHIRO_1	攻击时，吸收一半伤害化为ＨＰ。\n有一定几率发动。
SS_BUFFER_51	魔法\xb7冰冻／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_52	魔法\xb7冰冻／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_53	魔法\xb7冰冻／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_54	魔法\xb7冰冻／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_55	魔法\xb7冰冻／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_56	魔法\xb7冰冻／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_57	魔法\xb7电击／从斧属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_58	魔法\xb7电击／从弓属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_59	魔法\xb7电击／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_60	魔法\xb7电击／从弓属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_61	魔法\xb7冲击／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_62	魔法\xb7冲击／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_63	魔法\xb7冲击／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_64	魔法\xb7冲击／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_65	物理\xb7剑／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_66	物理\xb7剑／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_67	物理\xb7剑／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_69	物理\xb7剑／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_70	物理\xb7剑／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_71	物理\xb7剑／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_72	物理\xb7剑／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_73	物理\xb7枪／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_74	物理\xb7枪／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_76	物理\xb7枪／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_77	物理\xb7枪／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_78	物理\xb7枪／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_80	物理\xb7斧／从弓属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_82	物理\xb7斧／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_83	物理\xb7斧／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_84	物理\xb7斧／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_85	物理\xb7弓／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_86	物理\xb7弓／从火焰属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_87	物理\xb7弓／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_88	物理\xb7弓／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_90	物理\xb7弓／从斧属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_91	物理\xb7火焰／从枪属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_92	物理\xb7火焰／从冰冻属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_93	物理\xb7火焰／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_94	物理\xb7火焰／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_95	物理\xb7火焰／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_97	物理\xb7火焰／从剑属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_98	物理\xb7火焰／从冰冻属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_99	物理\xb7火焰／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_100	物理\xb7火焰／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_101	物理\xb7火焰／从冰冻属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_102	物理\xb7火焰／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_103	物理\xb7冰冻／从剑属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_104	物理\xb7冰冻／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_105	物理\xb7冰冻／从弓属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_106	物理\xb7冰冻／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_107	物理\xb7冰冻／从冲击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_108	物理\xb7冰冻／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_109	物理\xb7冰冻／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_110	物理\xb7冰冻／从弓属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_111	物理\xb7电击／从剑属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_112	物理\xb7电击／从枪属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_113	物理\xb7电击／从电击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_114	物理\xb7电击／从剑属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_115	物理\xb7电击／从枪属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_116	物理\xb7电击／从电击属性技能进行协奏，\n给予中幅伤害。
SS_BUFFER_117	物理\xb7火焰／从斧属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_118	物理\xb7电击／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_119	物理\xb7冰冻／从冰冻属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_120	物理\xb7剑／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_121	物理\xb7冰冻／从冲击属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_122	物理\xb7冲击／从火焰属性技能进行协奏，\n给予小幅伤害。
SS_BUFFER_123	物理\xb7剑／从剑、枪、斧、弓属性进行协奏，\n给予敌方小幅伤害。
SS_BUFFER_124	物理\xb7冲击／从剑、枪、斧、弓属性进行协奏，\n给予敌方小幅伤害。
SS_BUFFER_125	魔法\xb7火焰／从火焰、冰冻、电击、冲击、灵性、\n肉体属性进行协奏，给予敌方小幅伤害。
Common\SkillName.msbt
CS_DUMMY	假指令
CS_SWORD	攻击
CS_SPEAR	攻击
CS_AXE	攻击
CS_BOW	攻击
CS_CANE	攻击
CS_GUARD	防御
CS_FIRE_1	亚基
CS_COLD_1	布芙
CS_SHOCK_1	吉欧
CS_IMPACT_1	赞恩
CS_FIRE_2	亚基拉欧
CS_COLD_2	布芙拉
CS_SHOCK_2	吉欧加
CS_IMPACT_2	赞恩玛
CS_FIRE_3	亚基达因
CS_COLD_3	布芙达因
CS_SHOCK_3	吉欧达因
CS_IMPACT_3	赞恩达因
CS_A_FIRE_1	玛哈拉基
CS_A_COLD_1	玛哈布芙
CS_A_SHOCK_1	玛哈吉欧
CS_A_IMPACT_1	玛哈赞恩
CS_A_FIRE_2	玛哈拉基达因
CS_A_COLD_2	玛哈布芙达因
CS_A_SHOCK_2	玛哈吉欧达因
CS_A_IMPACT_2	玛哈赞恩达因
CS_MEGIDO_1	米吉多
CS_MEGIDO_2	米吉多拉翁
CS_MIIL	流动
CS_SLIME	史莱姆
CS_GOETIA	盖提亚
CS_DRAIN_HP_1	吸血
CS_DRAIN_MP_1	吸魔
CS_DRAIN_HP_2	超吸血
CS_DRAIN_MP_2	超吸魔
CS_SUICIDE_1	自爆
CS_SUICIDE_2	献予审判的祭品
CS_F_SWORD_1	火焰击
CS_I_SWORD_1	旋风击
CS_F_SWORD_2	猛焰击
CS_C_SWORD_2	猛冰击
CS_I_SWORD_2	猛风击
CS_F_SPEAR_1	火焰击
CS_I_SPEAR_1	旋风击
CS_F_SPEAR_2	猛焰击
CS_S_SPEAR_2	猛雷击
CS_F_AXE_1	火焰击
CS_F_AXE_2	猛焰击
CS_C_AXE_2	猛冰击
CS_S_AXE_2	猛雷击
CS_F_BOW_1	火焰击
CS_C_BOW_1	冰冻击
CS_S_BOW_1	雷电击
CS_F_BOW_2	猛焰击
CS_S_BOW_2	猛雷击
CS_STR_SWORD_1	斩击
CS_STR_SPEAR_1	串刺
CS_STR_BOW_1	尖刺射击
CS_STR_AXE_1	强力一击
CS_STR_SWORD_2	绝命剑
CS_STR_SPEAR_2	俯冲突击
CS_STR_BOW_2	弱点射击
CS_STR_AXE_2	刚杀断
CS_A_STR_SWORD_1	灼热波浪
CS_A_STR_SPEAR_1	枪雨
CS_A_STR_BOW_1	箭雨
CS_A_STR_BOW_2	刹那五月雨击
CS_SP_DG_SWORD_1	屠龙剑
CS_SP_DG_SWORD_2	灭龙门
CS_SP_KN_SWORD_1	杀马剑
CS_SP_KN_SWORD_2	刀光剑影
CS_SP_AM_SWORD_1	破甲剑
CS_SP_AM_SWORD_2	金刚破碎
CS_SP_KN_SPEAR_1	杀马枪
CS_SP_KN_SPEAR_2	刀光剑影
CS_SP_KN_AM_SWORD	弑双剑
CS_POISON_1	波伊佐玛
CS_CHARM_1	马琳卡琳
CS_SLEEP_1	永眠
CS_PANIC_1	普林帕
CS_CLOSE_1	玛卡加玛
CS_POISON_2	毒之吐息
CS_CHARM_2	性感之舞
CS_SLEEP_2	摇篮曲
CS_PANIC_2	颠塔拉弗
CS_CLOSE_2	玛卡加玛翁
CS_HEAL_1	迪亚
CS_HEAL_2	迪亚拉玛
CS_HEAL_3	迪亚拉翰
CS_A_HEAL_1	梅迪亚
CS_A_HEAL_2	梅迪拉玛
CS_A_HEAL_3	梅迪亚拉翰
CS_FULL_HEAL	黄泉祷告
CS_C_POISON	波兹姆迪
CS_C_CHARM	查姆迪
CS_C_SLP_PNC	帕特拉
CS_C_CLOSE	克洛兹迪
CS_C_ALLBAD	甘露
CS_RES_1	利卡姆
CS_RES_2	萨玛利卡姆
CS_SACRIFICE	利卡姆多拉
CS_DODGE_SPEAR	豪雷击
CS_COUNTER_SWORD_1	反击
CS_COUNTER_SWORD_2	真\xb7反击
CS_CHASE_SWORD_1	无想利剑
CS_CHASE_SWORD_2	虚空穿
CS_CHASE_SWORD_3	大迁徙
CS_CHASE_SWORD_4	巨人之战
CS_CHASE_SWORD_5	豪雷击
CS_CHASE_SPEAR_1	豪风击
CS_CHASE_SPEAR_2	豪风击
CS_CHASE_SPEAR_3	豪焰击
CS_CHASE_SPEAR_4	豪风击
CS_CHASE_AXE_1	豪冰击
CS_CHASE_AXE_2	豪风击
CS_CHASE_AXE_3	金刚破碎
CS_CHASE_AXE_4	摧心重击
CS_CHASE_BOW_1	豪焰击
CS_CHASE_BOW_2	豪冰击
CS_CHASE_BOW_3	豪雷击
CS_CHASE_BOW_4	豪焰击
CS_PHY_GUARD	提特拉防御
CS_MGC_GUARD	玛卡拉防御
CS_PHY_REFLECT	提特拉康
CS_MGC_REFLECT	玛卡拉康
CS_BUFF_ATK	塔尔卡加
CS_BUFF_SPD	斯库卡加
CS_BUFF_DEF	拉库卡加
CS_C_DEBUFF	迪坤达
CS_CHARGE	蓄力
CS_CONCENT	专心致志
CS_PROTECT_AXE_1	替身
CS_CONTROL_ENEMY_2	束缚重压
CS_PROVOKE_2	标记
CS_HIDE_2	隐身
CS_DEBUFF_ATK	塔伦达
CS_DEBUFF_SPD	斯坤达
CS_DEBUFF_DEF	拉坤达
CS_C_BUFF	迪卡加
CS_A_DEBUFF	女巫诅咒
CS_DEBUFF_ATK_EX	咆哮
CS_DEBUFF_SPD_EX	浓雾吐息
CS_ESCAPE	特拉芙里
CS_RETURN	特拉博托
CS_ESTOMA	厄斯托玛
CS_RIBERAMA	利贝拉玛
CS_LIGHTOMA	莱托玛
CS_SLOWLI	史劳玛
CS_GRYDYNE	雷神之槌
CS_RIBERAON	利贝拉翁
CS_SPINATTACK	明星辉光
CS_MONSTER	攻击
CS_POISON_SPEAR	毒串刺
CS_DEB_ATK_SWORD	断牙
CS_DEB_DEF_AXE	破甲
CS_DEB_SPD_SPEAR	断腿
CS_POISON_BOW	剧毒射击
CS_CHARM_BOW	魅惑射击
CS_PANIC_BOW	迷幻射击
CS_AURA	辉光
CS_RIZAIA	魔吸
CS_NARGA	那迦
CS_FIRE_4	火山爆焰
CS_COLD_4	寒冰冻雪
CS_SHOCK_4	托隆
CS_IMPACT_4	埃克斯卡利伯
CS_BARRIER_BREAK	护罩破坏
CS_BUFFER_27	诱惑姿势
CS_BUFFER_28	诱惑姿势
CS_BUFFER_29	线索……
CS_BUFFER_30	犯人……
CS_BUFFER_31	神龙的加护
CM_ESCAPE	逃走
CS_ENEMY_01	三选一问题！
CS_ENEMY_02	给单细胞的蠢蛋惩罚
CS_ENEMY_03	漆黑嫉妒
CS_ENEMY_05	冲撞
CS_ENEMY_06	死亡圆盘
CS_ENEMY_07	闪光灯
CS_ENEMY_08	截取拷贝
CS_ENEMY_09	斯库卡加
CS_ENEMY_11	横冲直撞
CS_ENEMY_14	僵尸噬咬
CS_ENEMY_17	这就是表演哟！
CS_ENEMY_18	要重拍哟！
CS_ENEMY_21	不净之火
CS_ENEMY_25	天之马蹄
CS_ENEMY_26	摩忽
CS_ENEMY_27	迷幻控制
CS_ENEMY_28	心智波动
CS_ENEMY_29	自我崩溃
CS_ENEMY_30	自我崩溃
CS_ENEMY_31	当我的盾牌吧
CS_ENEMY_32	全方位死亡圆盘
CS_ENEMY_33	尾巴
CS_ENEMY_34	巨牙
CS_ENEMY_35	业火
CS_ENEMY_36	暗之吐息
CS_ENEMY_37	星云爆焰
CS_ENEMY_38	能量虹吸
CS_ENEMY_39	暗之吐息
CS_ENEMY_40	神怒之日
CS_ENEMY_41	灰色的尸妆
CS_ENEMY_43	黑豹之咆哮
CS_ENEMY_44	击溃碍事者！
CS_ENEMY_45	巨木倒
CS_ENEMY_46	深沉拥抱
CS_ENEMY_47	百万吨冲撞
CS_ENEMY_49	愤怒之万魔
CS_ENEMY_50	招集
SS_MAGIC_01	追枪火焰
SS_MAGIC_02	追斧火焰
SS_MAGIC_04	追火火焰
SS_MAGIC_05	追风火焰
SS_MAGIC_06	追剑冰雪
SS_MAGIC_07	追枪冰雪
SS_MAGIC_08	追斧冰雪
SS_MAGIC_10	追枪雷电
SS_MAGIC_11	追火雷电
SS_MAGIC_12	追风雷电
SS_MAGIC_13	追枪狂雷
SS_MAGIC_14	追火风雷电
SS_MAGIC_15	追剑烈风
SS_MAGIC_16	追斧烈风
SS_ATTR_ATK_01	追剑火击
SS_ATTR_ATK_03	追火火击
SS_ATTR_ATK_05	追剑冰击
SS_ATTR_ATK_10	追枪风击
SS_ATTR_ATK_11	追冰风击
SS_ATTR_ATK_13	追风风击
SS_SWORD_01	追剑一闪
SS_SWORD_02	追枪一闪
SS_SWORD_03	追斧一闪
SS_SWORD_04	追弓一闪
SS_SWORD_05	追火一闪
SS_SWORD_06	追冰一闪
SS_SWORD_07	追剑一闪\xb7强
SS_SPEAR_01	追剑突击
SS_SPEAR_02	追枪突击
SS_SPEAR_03	追斧突击
SS_SPEAR_05	追火突击
SS_SPEAR_06	追冰突击
SS_SPEAR_07	追雷突击
SS_SPEAR_08	追风突击
SS_SPEAR_09	追剑突击\xb7强
SS_AXE_01	追剑两断
SS_AXE_02	追枪两断
SS_AXE_03	追弓两断
SS_AXE_04	追冰两断
SS_AXE_05	追雷两断
SS_AXE_06	追剑两断\xb7强
SS_BOW_01	追剑狙击
SS_BOW_02	追枪狙击
SS_BOW_05	追冰狙击
SS_BOW_06	追雷狙击
SS_BOW_07	追风狙击
SS_BOW_08	追剑狙击\xb7强
US_UNIT_01	Ｇｉｖｅ　Ｍｅ！！
US_UNIT_02	追梦☆少女
US_UNIT_03	穿越隧道
US_UNIT_04	闪耀流星
US_UNIT_05	梦幻共演
US_UNIT_06	最终破灭
US_UNIT_07	疯狂马戏团
US_UNIT_08	爱全为你
MS_1001_1	虚空斩波
MS_1001_2	震天大雷
MS_1002_1	天际之舞
MS_1002_2	壮丽终曲
MS_1003_1	暴虐爆冲
MS_1003_2	爆速忘我
MS_1009_1	漫天飞雪
MS_1009_2	寒霜透骨
MS_1006_1	一箭定局
MS_1006_2	无人生还
MS_1007_1	战斧轰炸
MS_1007_2	大切断
MS_1008_1	怨敌降服
MS_1008_2	因果切断
ES_1001_1	模特姿势
ES_1001_2	和声
ES_1001_3	坚定不移的决心
ES_1002_1	出道微笑
ES_1002_2	恋翼爱吻？
ES_1002_3	Ｆｌｙ～你这道风～
ES_1003_1	猛牛爆冲
ES_1003_2	盖亚的细语
ES_1003_3	凰牙坏炎枪
ES_1009_1	迷宫
ES_1009_2	粉彩时光
ES_1006_1	怦然单恋
ES_1006_2	恐怖猎人
ES_1006_3	命运之箭
ES_1007_1	微波料理☆Ｈｅａｒｔ
ES_1007_2	微波料理☆Ｓｏｕｌ
ES_1007_3	雨声的Ｍｅｍｏｒｙ
ES_1008_1	饥饿男子
ES_1008_2	神秘的转学生
ES_1008_3	精密手术
IM_HEAL_1	伤药
IM_HEAL_2	魔石
IM_HEAL_3	宝玉
IM_A_HEAL_1	急救箱
IM_A_HEAL_2	马卡叶
IM_A_HEAL_3	宝玉环
IM_C_POISON	解毒剂
IM_C_SLP_PNC	帕特拉石
IM_C_CHARM	解魅惑剂
IM_C_CLOSE	解封印剂
IM_C_ALLBAD	甘露汽水
IM_C_DEAD_1	返道玉
IM_C_DEAD_2	返魂香
IM_MP_HEAL_1	脉轮糖球
IM_MP_HEAL_2	脉轮水壶
IM_HPMP_HEAL_1	苏摩水滴
IM_HPMP_HEAL_2	苏摩
IM_SP_ITEM_1	投枪
IM_SP_ITEM_2	掷斧
IM_SP_ITEM_3	飞镖
IM_F_ITEM	玛哈拉基石
IM_C_ITEM	玛哈布芙石
IM_S_ITEM	玛哈吉欧石
IM_I_ITEM	玛哈赞恩石
IM_M_ITEM	米吉多石
IM_POISON	毒箭
IM_SLEEP	睡眠砂
IM_CHARM	点水雀羽毛
IM_CLOSE	玛卡加玛石
IM_REF_MGC	魔反镜
IM_REF_PHY	物反镜
IM_DEKAJA	迪卡加石
IM_DEKUNDA	迪坤达石
IM_ESCAPE	烟雾机
IM_BUFFER_01	清凉饮料
IM_BUFFER_02	能量饮料
IM_BUFFER_03	盒装冰棒
IM_BUFFER_04	小朋友糖果
IM_BUFFER_05	袖珍面纸
IM_BUFFER_06	罐头掌声
AS_HIT_UP_1	百发百中
AS_CRI_UP_1	夜叉魂
AS_DODGE_UP_1	回避碎步
AS_HEAL_UP_1	回复专精
AS_CRI_UP_2	修罗魂
AS_DODGE_UP_2	回避轻羽
AS_HEAL_UP_2	回复极致
AS_SW_MIKIRI	剑识破
AS_SP_MIKIRI	枪识破
AS_BW_MIKIRI	箭识破
AS_AX_MIKIRI	斧识破
AS_STR_UP_1	力量昂扬
AS_DEX_UP_1	技能昂扬
AS_MAG_UP_1	魔力昂扬
AS_SPD_UP_1	速度昂扬
AS_DEF_UP_1	防守昂扬
AS_MDF_UP_1	魔防昂扬
AS_HP_UP_2	二分之活泉
AS_MP_UP_2	二分之魔脉
AS_STR_UP_2	力量激昂
AS_DEX_UP_2	技能激昂
AS_MAG_UP_2	魔力激昂
AS_SPD_UP_2	速度激昂
AS_DEF_UP_2	防守激昂
AS_MDF_UP_2	魔防激昂
AS_SWORD_UP	剑专精
AS_SPEAR_UP	枪专精
AS_BOW_UP	弓专精
AS_AXE_UP	斧专精
AS_RES_SW_1	剑受身
AS_RES_SP_1	枪受身
AS_RES_BW_1	箭受身
AS_RES_AX_1	斧受身
AS_F_RESIST	火焰抗性
AS_C_RESIST	冰冻抗性
AS_S_RESIST	电击抗性
AS_I_RESIST	冲击抗性
AS_F_BLOCK	火焰无效
AS_C_BLOCK	冰冻无效
AS_S_BLOCK	电击无效
AS_I_BLOCK	冲击无效
AS_F_ABSORB	火焰吸收
AS_C_ABSORB	冰冻吸收
AS_S_ABSORB	电击吸收
AS_I_ABSORB	冲击吸收
AS_F_REFLECT	火焰反弹
AS_C_REFLECT	冰冻反弹
AS_S_REFLECT	电击反弹
AS_I_REFLECT	冲击反弹
AS_W_PROTEC_1	慈爱之盾
AS_W_PROTEC_2	宠爱之盾
AS_HIT_ORDER_1	拘束之刃
AS_HIT_ORDER_2	支配之刃
AS_ORDER_UP_1	提早行动
AS_ORDER_UP_2	先发制人
AS_GUARD_POISON	毒防御
AS_GUARD_SLEEP	睡眠防御
AS_GUARD_CHARM	魅惑防御
AS_GUARD_PANIC	混乱防御
AS_GUARD_CLOSE	封印防御
AS_GUARD_ALLBAD	许葵厄亚的加护
AS_PIERCE_1	贯穿
AS_PIERCE_2	超贯穿
AS_END_HEAL_1	胜利气息
AS_END_HEAL_3	胜利脉轮
AS_END_HEAL_4	胜利咆哮
AS_COUNTER_1	反击
AS_COUNTER_2	猛反击
AS_COUNTER_3	超反击
AS_EXP_UP_1	观摩的成长
AS_SKILL_UP_1	磨练
AS_PHY_PROV	挑衅
AS_PHY_HIDE	影
AS_BUFFER_02	斗魂
AS_BUFFER_03	塔尔卡加发动
AS_BUFFER_04	拉库卡加发动
AS_BUFFER_05	斯库卡加发动
AS_ENEMY_04	再生
