aoc_error.txt
aoc_error_01	需要新增内容\n才能继续前进。
flavor_info_sour_04_lv3	相当容易获得宝物。
flavor_info_sour_05_lv1	容易获得球。
flavor_info_sour_05_lv2	很容易获得球。
flavor_info_sour_05_lv3	相当容易获得球。
flavor_info_sour_06_lv1	容易获得特别的道具。
flavor_info_sour_06_lv2	很容易获得特别的道具。
flavor_info_sour_06_lv3	相当容易获得特别的道具。
flavor_info_sour_07_lv1	容易获得硬币。
flavor_info_sour_07_lv2	很容易获得硬币。
flavor_info_sour_07_lv3	相当容易获得硬币。
flavor_info_sour_08_lv1	※オミット
flavor_info_sour_08_lv2	※オミット
flavor_info_sour_08_lv3	※オミット
flavor_info_sour_09_lv1	※オミット
flavor_info_sour_09_lv2	※オミット
flavor_info_sour_09_lv3	※オミット
flavor_info_sour_10_lv1	容易累积超级能。
flavor_info_sour_10_lv2	很容易累积超级能。
flavor_info_sour_10_lv3	相当容易累积超级能。
flavor_info_sour_11_lv1	超级进化的维持时间会变长。
flavor_info_sour_11_lv2	超级进化的维持时间会大幅变长。
flavor_info_sour_11_lv3	超级进化的维持时间会巨幅变长。
flavor_info_bitter_01_lv1	同行宝可梦的防御会提高。
flavor_info_bitter_01_lv2	同行宝可梦的防御会大幅提高。
flavor_info_bitter_01_lv3	同行宝可梦的防御会巨幅提高。
flavor_info_bitter_02_lv1	同行宝可梦的特防会提高。
flavor_info_bitter_02_lv2	同行宝可梦的特防会大幅提高。
flavor_info_bitter_02_lv3	同行宝可梦的特防会巨幅提高。
flavor_info_bitter_03_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_03_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_03_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_04_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_04_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_04_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_05_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_05_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_05_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_06_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_06_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_06_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_07_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_07_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_07_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_08_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_08_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_08_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_09_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_09_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_09_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_10_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_10_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_10_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_11_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_11_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_11_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_12_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_12_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_12_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_13_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_13_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_13_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_14_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_14_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_14_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_15_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_15_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_15_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_16_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_16_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_16_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_17_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_17_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_17_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_18_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_18_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_18_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_19_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_19_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_19_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_bitter_20_lv1	特定属性的招式伤害会减少。
flavor_info_bitter_20_lv2	特定属性的招式伤害会大幅减少。
flavor_info_bitter_20_lv3	特定属性的招式伤害会巨幅减少。
flavor_info_fresh_01_lv1	大型宝可梦的遭遇率会提高。
flavor_info_fresh_01_lv2	大型宝可梦的遭遇率会大幅提高。
flavor_info_fresh_01_lv3	大型宝可梦的遭遇率会巨幅提高。
flavor_info_fresh_02_lv1	小型宝可梦的遭遇率会提高。
flavor_info_fresh_02_lv2	小型宝可梦的遭遇率会大幅提高。
flavor_info_fresh_02_lv3	小型宝可梦的遭遇率会巨幅提高。
flavor_info_fresh_03_lv1	遇见的宝可梦数量会增加。
flavor_info_fresh_03_lv2	遇见的宝可梦数量会大幅增加。
flavor_info_fresh_03_lv3	遇见的宝可梦数量会巨幅增加。
flavor_info_fresh_04_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_04_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_04_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_05_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_05_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_05_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_06_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_06_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_06_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_07_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_07_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_07_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_08_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_08_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_08_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_09_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_09_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_09_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_10_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_10_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_10_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_11_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_11_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_11_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_12_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_12_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_12_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_13_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_13_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_13_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_14_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_14_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_14_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_15_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_15_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_15_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_16_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_16_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_16_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_17_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_17_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_17_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_18_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_18_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_18_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_19_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_19_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_19_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_20_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_20_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_20_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_21_lv1	容易捕捉特定属性的宝可梦。
flavor_info_fresh_21_lv2	很容易捕捉特定属性的宝可梦。
flavor_info_fresh_21_lv3	相当容易捕捉特定属性的宝可梦。
flavor_info_fresh_22_lv1	容易捕捉所有属性的宝可梦。
flavor_info_fresh_22_lv2	很容易捕捉所有属性的宝可梦。
flavor_info_fresh_22_lv3	相当容易捕捉所有属性的宝可梦。
flavor_info_sp_01	能够进入空中的巨大扭洞。
flavor_info_sp_02	能够进入朱红色扭洞。
flavor_info_sp_03	能够进入靛蓝色扭洞。
flavor_info_sp_04	能够进入翠绿色扭洞。
flavor_info_sp_05	能够进入带有奔雷的扭洞。
msg_c2d31fce121ff93ea6d426aae0fe92b7	[~ 787]
flavor_detail_sweet_01_lv1	遇见头目宝可梦的可能性会提高。
flavor_detail_sweet_01_lv2	遇见头目宝可梦的可能性会大幅提高。
flavor_detail_sweet_01_lv3	遇见头目宝可梦的可能性会巨幅提高。
flavor_detail_sweet_03_lv1	遇见一般属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_03_lv2	遇见一般属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_03_lv3	遇见一般属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_04_lv1	遇见火属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_04_lv2	遇见火属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_04_lv3	遇见火属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_05_lv1	遇见水属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_05_lv2	遇见水属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_05_lv3	遇见水属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_06_lv1	遇见电属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_06_lv2	遇见电属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_06_lv3	遇见电属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_07_lv1	遇见草属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_07_lv2	遇见草属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_07_lv3	遇见草属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_08_lv1	遇见冰属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_08_lv2	遇见冰属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_08_lv3	遇见冰属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_09_lv1	遇见格斗属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_09_lv2	遇见格斗属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_09_lv3	遇见格斗属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_10_lv1	遇见毒属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_10_lv2	遇见毒属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_10_lv3	遇见毒属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_11_lv1	遇见地面属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_11_lv2	遇见地面属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_11_lv3	遇见地面属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_12_lv1	遇见飞行属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_12_lv2	遇见飞行属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_12_lv3	遇见飞行属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_13_lv1	遇见超能力属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_13_lv2	遇见超能力属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_13_lv3	遇见超能力属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_14_lv1	遇见虫属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_14_lv2	遇见虫属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_14_lv3	遇见虫属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_15_lv1	遇见岩石属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_15_lv2	遇见岩石属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_15_lv3	遇见岩石属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_16_lv1	遇见幽灵属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_16_lv2	遇见幽灵属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_16_lv3	遇见幽灵属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_17_lv1	遇见龙属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_17_lv2	遇见龙属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_17_lv3	遇见龙属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_18_lv1	遇见恶属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_18_lv2	遇见恶属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_18_lv3	遇见恶属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_19_lv1	遇见钢属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_19_lv2	遇见钢属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_19_lv3	遇见钢属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_20_lv1	遇见妖精属性的\n异色宝可梦的可能性会提高。
flavor_detail_sweet_20_lv2	遇见妖精属性的\n异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_20_lv3	遇见妖精属性的\n异色宝可梦的可能性会巨幅提高。
flavor_detail_sweet_21_lv1	遇见异色宝可梦的可能性会提高。
flavor_detail_sweet_21_lv2	遇见异色宝可梦的可能性会大幅提高。
flavor_detail_sweet_21_lv3	遇见异色宝可梦的可能性会巨幅提高。
flavor_detail_spicy_01_lv1	同行宝可梦的攻击能力会提高。
flavor_detail_spicy_01_lv2	同行宝可梦的攻击能力会大幅提高。
flavor_detail_spicy_01_lv3	同行宝可梦的攻击能力会巨幅提高。
flavor_detail_spicy_02_lv1	同行宝可梦的特攻能力会提高。
flavor_detail_spicy_02_lv2	同行宝可梦的特攻能力会大幅提高。
flavor_detail_spicy_02_lv3	同行宝可梦的特攻能力会巨幅提高。
flavor_detail_spicy_03_lv1	同行宝可梦使出的\n一般属性的招式威力会提高。
flavor_detail_spicy_03_lv2	同行宝可梦使出的\n一般属性的招式威力会大幅提高。
flavor_detail_spicy_03_lv3	同行宝可梦使出的\n一般属性的招式威力会巨幅提高。
flavor_detail_spicy_04_lv1	同行宝可梦使出的\n火属性的招式威力会提高。
flavor_detail_spicy_04_lv2	同行宝可梦使出的\n火属性的招式威力会大幅提高。
flavor_detail_spicy_04_lv3	同行宝可梦使出的\n火属性的招式威力会巨幅提高。
flavor_detail_spicy_05_lv1	同行宝可梦使出的\n水属性的招式威力会提高。
flavor_detail_spicy_05_lv2	同行宝可梦使出的\n水属性的招式威力会大幅提高。
flavor_detail_spicy_05_lv3	同行宝可梦使出的\n水属性的招式威力会巨幅提高。
flavor_detail_spicy_06_lv1	同行宝可梦使出的\n电属性的招式威力会提高。
flavor_detail_spicy_06_lv2	同行宝可梦使出的\n电属性的招式威力会大幅提高。
flavor_detail_spicy_06_lv3	同行宝可梦使出的\n电属性的招式威力会巨幅提高。
flavor_detail_spicy_07_lv1	同行宝可梦使出的\n草属性的招式威力会提高。
flavor_detail_spicy_07_lv2	同行宝可梦使出的\n草属性的招式威力会大幅提高。
flavor_detail_spicy_07_lv3	同行宝可梦使出的\n草属性的招式威力会巨幅提高。
flavor_detail_spicy_08_lv1	同行宝可梦使出的\n冰属性的招式威力会提高。
flavor_detail_spicy_08_lv2	同行宝可梦使出的\n冰属性的招式威力会大幅提高。
flavor_detail_spicy_08_lv3	同行宝可梦使出的\n冰属性的招式威力会巨幅提高。
flavor_detail_spicy_09_lv1	同行宝可梦使出的\n格斗属性的招式威力会提高。
flavor_detail_spicy_09_lv2	同行宝可梦使出的\n格斗属性的招式威力会大幅提高。
flavor_detail_spicy_09_lv3	同行宝可梦使出的\n格斗属性的招式威力会巨幅提高。
flavor_detail_spicy_10_lv1	同行宝可梦使出的\n毒属性的招式威力会提高。
flavor_detail_spicy_10_lv2	同行宝可梦使出的\n毒属性的招式威力会大幅提高。
flavor_detail_spicy_10_lv3	同行宝可梦使出的\n毒属性的招式威力会巨幅提高。
flavor_detail_spicy_11_lv1	同行宝可梦使出的\n地面属性的招式威力会提高。
flavor_detail_spicy_11_lv2	同行宝可梦使出的\n地面属性的招式威力会大幅提高。
flavor_detail_spicy_11_lv3	同行宝可梦使出的\n地面属性的招式威力会巨幅提高。
flavor_detail_spicy_12_lv1	同行宝可梦使出的\n飞行属性的招式威力会提高。
flavor_detail_spicy_12_lv2	同行宝可梦使出的\n飞行属性的招式威力会大幅提高。
flavor_detail_spicy_12_lv3	同行宝可梦使出的\n飞行属性的招式威力会巨幅提高。
flavor_detail_spicy_13_lv1	同行宝可梦使出的\n超能力属性的招式威力会提高。
flavor_detail_spicy_13_lv2	同行宝可梦使出的\n超能力属性的招式威力会大幅提高。
flavor_detail_spicy_13_lv3	同行宝可梦使出的\n超能力属性的招式威力会巨幅提高。
flavor_detail_spicy_14_lv1	同行宝可梦使出的\n虫属性的招式威力会提高。
flavor_detail_spicy_14_lv2	同行宝可梦使出的\n虫属性的招式威力会大幅提高。
flavor_detail_spicy_14_lv3	同行宝可梦使出的\n虫属性的招式威力会巨幅提高。
flavor_detail_spicy_15_lv1	同行宝可梦使出的\n岩石属性的招式威力会提高。
flavor_detail_spicy_15_lv2	同行宝可梦使出的\n岩石属性的招式威力会大幅提高。
flavor_detail_spicy_15_lv3	同行宝可梦使出的\n岩石属性的招式威力会巨幅提高。
flavor_detail_spicy_16_lv1	同行宝可梦使出的\n幽灵属性的招式威力会提高。
flavor_detail_spicy_16_lv2	同行宝可梦使出的\n幽灵属性的招式威力会大幅提高。
flavor_detail_spicy_16_lv3	同行宝可梦使出的\n幽灵属性的招式威力会巨幅提高。
flavor_detail_spicy_17_lv1	同行宝可梦使出的\n龙属性的招式威力会提高。
flavor_detail_spicy_17_lv2	同行宝可梦使出的\n龙属性的招式威力会大幅提高。
flavor_detail_spicy_17_lv3	同行宝可梦使出的\n龙属性的招式威力会巨幅提高。
flavor_detail_spicy_18_lv1	同行宝可梦使出的\n恶属性的招式威力会提高。
flavor_detail_spicy_18_lv2	同行宝可梦使出的\n恶属性的招式威力会大幅提高。
flavor_detail_spicy_18_lv3	同行宝可梦使出的\n恶属性的招式威力会巨幅提高。
flavor_detail_spicy_19_lv1	同行宝可梦使出的\n钢属性的招式威力会提高。
flavor_detail_spicy_19_lv2	同行宝可梦使出的\n钢属性的招式威力会大幅提高。
flavor_detail_spicy_19_lv3	同行宝可梦使出的\n钢属性的招式威力会巨幅提高。
flavor_detail_spicy_20_lv1	同行宝可梦使出的\n妖精属性的招式威力会提高。
flavor_detail_spicy_20_lv2	同行宝可梦使出的\n妖精属性的招式威力会大幅提高。
flavor_detail_spicy_20_lv3	同行宝可梦使出的\n妖精属性的招式威力会巨幅提高。
flavor_detail_spicy_21_lv1	同行宝可梦的速度能力会提高。
flavor_detail_spicy_21_lv2	同行宝可梦的速度能力会大幅提高。
flavor_detail_spicy_21_lv3	同行宝可梦的速度能力会巨幅提高。
flavor_detail_sour_01_lv1	从浮在空中的巨球中\n一次出现的道具数量会增加。
flavor_detail_sour_01_lv2	从浮在空中的巨球中\n一次出现的道具数量会大幅增加。
flavor_detail_sour_01_lv3	从浮在空中的巨球中\n一次出现的道具数量会巨幅增加。
flavor_detail_sour_02_lv1	容易从浮在空中的巨球中\n获得异次元树果。
flavor_detail_sour_02_lv2	很容易从浮在空中的巨球中\n获得异次元树果。
flavor_detail_sour_02_lv3	相当容易从浮在空中的巨球中\n获得异次元树果。
flavor_detail_sour_03_lv1	容易从浮在空中的巨球中\n获得经验糖果。
flavor_detail_sour_03_lv2	很容易从浮在空中的巨球中\n获得经验糖果。
flavor_detail_sour_03_lv3	相当容易从浮在空中的巨球中\n获得经验糖果。
flavor_detail_sour_04_lv1	容易从浮在空中的巨球中\n获得能卖出高价的宝物。
flavor_detail_sour_04_lv2	很容易从浮在空中的巨球中\n获得能卖出高价的宝物。
flavor_detail_sour_04_lv3	相当容易从浮在空中的巨球中\n获得能卖出高价的宝物。
flavor_detail_sour_05_lv1	容易从浮在空中的巨球中\n获得捕捉宝可梦用的球。
flavor_detail_sour_05_lv2	很容易从浮在空中的巨球中\n获得捕捉宝可梦用的球。
flavor_detail_sour_05_lv3	相当容易从浮在空中的巨球中\n获得捕捉宝可梦用的球。
flavor_detail_sour_06_lv1	容易从浮在空中的巨球中\n获得拥有特别效果的道具。
flavor_detail_sour_06_lv2	很容易从浮在空中的巨球中\n获得拥有特别效果的道具。
flavor_detail_sour_06_lv3	相当容易从浮在空中的巨球中\n获得拥有特别效果的道具。
flavor_detail_sour_07_lv1	容易从浮在空中的巨球中\n获得索财灵的硬币。
flavor_detail_sour_07_lv2	很容易从浮在空中的巨球中\n获得索财灵的硬币。
flavor_detail_sour_07_lv3	相当容易从浮在空中的巨球中\n获得索财灵的硬币。
flavor_detail_sour_10_lv1	容易累积\n超级进化所需的超级能。
flavor_detail_sour_10_lv2	很容易累积\n超级进化所需的超级能。
flavor_detail_sour_10_lv3	相当容易累积\n超级进化所需的超级能。
flavor_detail_sour_11_lv1	超级进化时，\n超级能会不容易减少。
flavor_detail_sour_11_lv2	超级进化时，\n超级能会很不容易减少。
flavor_detail_sour_11_lv3	超级进化时，\n超级能会相当不容易减少。
flavor_detail_bitter_01_lv1	同行宝可梦的防御能力会提高。
flavor_detail_bitter_01_lv2	同行宝可梦的防御能力会大幅提高。
flavor_detail_bitter_01_lv3	同行宝可梦的防御能力会巨幅提高。
flavor_detail_bitter_02_lv1	同行宝可梦的特防能力会提高。
flavor_detail_bitter_02_lv2	同行宝可梦的特防能力会大幅提高。
flavor_detail_bitter_02_lv3	同行宝可梦的特防能力会巨幅提高。
flavor_detail_bitter_03_lv1	被对手的宝可梦用一般属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_03_lv2	被对手的宝可梦用一般属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_03_lv3	被对手的宝可梦用一般属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_04_lv1	被对手的宝可梦用火属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_04_lv2	被对手的宝可梦用火属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_04_lv3	被对手的宝可梦用火属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_05_lv1	被对手的宝可梦用水属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_05_lv2	被对手的宝可梦用水属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_05_lv3	被对手的宝可梦用水属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_06_lv1	被对手的宝可梦用电属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_06_lv2	被对手的宝可梦用电属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_06_lv3	被对手的宝可梦用电属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_07_lv1	被对手的宝可梦用草属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_07_lv2	被对手的宝可梦用草属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_07_lv3	被对手的宝可梦用草属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_08_lv1	被对手的宝可梦用冰属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_08_lv2	被对手的宝可梦用冰属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_08_lv3	被对手的宝可梦用冰属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_09_lv1	被对手的宝可梦用格斗属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_09_lv2	被对手的宝可梦用格斗属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_09_lv3	被对手的宝可梦用格斗属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_10_lv1	被对手的宝可梦用毒属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_10_lv2	被对手的宝可梦用毒属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_10_lv3	被对手的宝可梦用毒属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_11_lv1	被对手的宝可梦用地面属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_11_lv2	被对手的宝可梦用地面属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_11_lv3	被对手的宝可梦用地面属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_12_lv1	被对手的宝可梦用飞行属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_12_lv2	被对手的宝可梦用飞行属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_12_lv3	被对手的宝可梦用飞行属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_13_lv1	被对手的宝可梦用超能力属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_13_lv2	被对手的宝可梦用超能力属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_13_lv3	被对手的宝可梦用超能力属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_14_lv1	被对手的宝可梦用虫属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_14_lv2	被对手的宝可梦用虫属性的招式攻击时，\n受到的伤害会大幅减少。
flavor_detail_bitter_14_lv3	被对手的宝可梦用虫属性的招式攻击时，\n受到的伤害会巨幅减少。
flavor_detail_bitter_15_lv1	被对手的宝可梦用岩石属性的招式攻击时，\n受到的伤害会减少。
flavor_detail_bitter_15_lv2	被对手的宝可梦用岩石属性的招式攻击时，\n受到的伤害会大幅减少。
