aoc_error.txt
aoc_error_01	ここから{先|さき}は\n{追加|ついか}コンテンツが{必要|ひつよう}です。
msg_Ev_d01_0100_talk_10	{本来|ほんらい}であればそちらの{反応|はんのう}の{調査|ちょうさ}も\nクエーサー{社|しゃ}で{担当|たんとう}するべきなのですが[VAR 0114(000E)]
msg_Ev_d01_0100_talk_11	タワーの{後始末|あとしまつ}と{都市開発|としかいはつ}で\nマスカットさんの{会社|かいしゃ}も{忙|いそが}しいやん[VAR 0114(0013)]
msg_Ev_d01_0100_talk_12	そこでサビ{組|ぐみ}で{調査|ちょうさ}を{請|う}けおったんや\nすべてみんなで{守|まも}った{街|まち}のためやで！\r\n{街|まち}のみんなを{働|はたら}かせるためちゃうで[VAR 0114(0013)]
msg_Ev_d01_0100_talk_13	で{調査|ちょうさ}してたら\nメディオプラザ{上空|じょうくう}のあれや[VAR 0114(0013)]
msg_Ev_d01_0100_talk_14	オマエらエムゼット{団|だん}は\nほんまなんにでも{絡|から}んでるなあ[VAR 0114(0013)]
msg_Ev_d01_0100_talk_15	それでオマエらなにを{知|し}ってるんや？\n{洗|あら}いざらい{吐|は}いてもらうで[VAR 0114(0013)]
msg_Ev_d01_0100_talk_16	みなさんの{情報|じょうほう}をまとめると\c\nアンシャさんのドーナツと\nフーパの{技|わざ}によって\r\nひずみの{先|さき}にある{空間|くうかん}に{入|はい}れたと[VAR 0114(000E)]
msg_Ev_d01_0100_talk_17	オレらが{検知|けんち}したのは\nそのけったいな{空間|くうかん}というわけやな[VAR 0114(0013)]
msg_Ev_d01_0100_talk_18	フーパが{使|つか}ったのはおそらく\nいじげんホールという{技|わざ}でしょう[VAR 0114(000E)]
msg_Ev_d01_0100_talk_19	いじげんホールという{技|わざ}と\nミアレに{似|に}た{空間|くうかん}……[VAR 0114(0013)]
msg_Ev_d01_0100_talk_39	{決|き}まりや！　{謎|なぞ}の{空間|くうかん}は\n「[VAR FF00(0006)]{異次元|いじげん}ミアレ[VAR FF00(0000)]」と{呼|よ}ぶで[VAR 0114(0013)]
msg_Ev_d01_0100_talk_20	ここから{大事|だいじ}な{話|はなし}や！\c\nタワー{上空|じょうくう}のひずみを{調|しら}べるために\n{異次元|いじげん}ミアレの{情報|じょうほう}がほしい[VAR 0114(0013)]
msg_Ev_d01_0100_talk_21	それで{異次元|いじげん}ミアレに{入|はい}るには[VAR 0114(0013)]
msg_Ev_d01_0100_talk_22	そちらのレディと[VAR 0114(0013)]
msg_Ev_d01_0100_talk_23	ポケモンの{協力|きょうりょく}が{必要|ひつよう}やんな[VAR 0114(0013)]
msg_Ev_d01_0100_talk_24	なあ　わかるやろ\nそちらの{依頼人|いらいにん}を{客人|きゃくじん}として{扱|あつか}い\c\nオマエらエムゼット{団|だん}で\n{異次元|いじげん}ミアレを{調査|ちょうさ}してくれや[VAR 0114(0013)]
msg_Ev_d01_0100_select_01	もちろんです
msg_Ev_d01_0100_select_02	アンシャもですか？
msg_Ev_d01_0100_talk_25	それを{決|き}めるのはオマエやないで\n{本人|ほんにん}がどうしたいかやろ[VAR 0114(0013)]
msg_Ev_d01_0100_talk_26	あたくしは{異次元|いじげん}ミアレについて\n{詳|くわ}しく{知|し}りたいです！[VAR 0114(01A5)]
msg_Ev_d01_0100_talk_27	おおきに[VAR 0114(0013)]
msg_Ev_d01_0100_talk_28	とはいえレディに\n{危|あぶ}ないことはさせられへん[VAR 0114(0013)]
msg_Ev_d01_0100_talk_29	[VAR 0100(0000)]！　オマエが{責任持|せきにんも}って\n{異次元|いじげん}ミアレを{調査|ちょうさ}するんやで[VAR 0114(0013)]
msg_Ev_d01_0100_talk_40	とはいえミアレ{全部|ぜんぶ}を{回|まわ}って\nひずみを{探|さが}すのは{大変|たいへん}やんな[VAR 0114(0013)]
msg_Ev_d01_0100_talk_41	ですので[VAR 0100(0000)]さんの\nマップ{機能|きのう}を{強化|きょうか}いたします[VAR 0114(000E)]
msg_Ev_d01_0100_talk_50	タワー{上空|じょうくう}のひずみ！\nなんの{情報|じょうほう}もなかったやろ？[VAR 0114(0013)]
msg_Ev_d01_0100_talk_51	なんとかして{調査|ちょうさ}せな\n{手|て}の{打|う}ちようもあらへんねん！[VAR 0114(0013)]
msg_Ev_d01_0100_talk_42	それと{地図上|ちずじょう}には{他|ほか}にも\n{異次元|いじげん}のひずみが{表示|ひょうじ}されてたやろ[VAR 0114(0013)]
msg_Ev_d01_0100_talk_43	ただな……{異次元|いじげん}のひずみが\nいつまでも{存在|そんざい}する{保証|ほしょう}はないで[VAR 0114(0013)]
msg_Ev_d01_0100_select_03	どういうことですか？
msg_Ev_d01_0100_select_04	{消|き}えるのですか？
msg_Ev_d01_0100_talk_44	でたり{消|き}えたりするもんらしいな[VAR 0114(0013)]
msg_Ev_d01_0100_talk_45	そのへんのことも{含|ふく}めて\n{異次元|いじげん}ミアレの{調査|ちょうさ}を{頼|たの}んだで！[VAR 0114(0013)]
msg_Ev_d01_0100_talk_46	なにを{調査|ちょうさ}してほしいかは\n{異次元|いじげん}ミアレに{入|はい}ったら{連絡|れんらく}するわ[VAR 0114(0013)]
msg_Ev_d01_0100_talk_47	ではあたくしは\nドーナツを{一生懸命|いっしょうけんめい}つくります！[VAR 0114(01A5)]
msg_Ev_d01_0100_talk_48	[VAR 0100(0000)]さん\nホテルＺでドーナツをつくりましょう！[VAR 0114(01A5)]
msg_Ev_d01_0100_talk_30	サビ{組|ぐみ}にうまく{使|つか}われている{感|かん}じですが\n{調査|ちょうさ}の{必要性|ひつようせい}はわかります[VAR 0114(000B)]
msg_Ev_d01_0100_talk_31	そうだよねえ\nアンシャちゃんのためにも{調|しら}べないと[VAR 0114(000C)]
msg_Ev_d01_0100_talk_49	[VAR 0100(0000)]さん\nこちらを{調査|ちょうさ}に{役立|やくだ}ててください[VAR 0114(000E)]
msg_Ev_d01_0100_talk_32	{異次元|いじげん}について{調|しら}べるんは\nミアレのポケモンや{人|ひと}が\r\n{安心|あんしん}して{暮|く}らすためやで！[VAR 0114(0013)]
msg_Ev_d01_0100_talk_33	ほながんばろや！[VAR 0114(0013)]
msg_Ev_d01_0100_talk_34	ミアレシティのみなさまには\nひずみについて{調査中|ちょうさちゅう}だと\r\nクエーサー{社|しゃ}から{広報|こうほう}いたします[VAR 0114(000E)]
msg_Ev_d01_0100_talk_35	さっそくホテルでアンシャちゃんに\nドーナツをつくってもらおっか！[VAR 0114(000C)]
msg_Ev_d01_0100_talk_36	そやな\nなにかあったら{連絡|れんらく}するさかい[VAR 0114(0013)]
msg_Ev_d01_0100_talk_37	それでは{失礼|しつれい}いたします[VAR 0114(01A5)]
msg_Ev_d01_0100_wait_01	ちゃっちゃとドーナツを{用意|ようい}して\n{異次元|いじげん}ミアレを{調|しら}べてな！[VAR 0114(0013)]
msg_Ev_d01_0100_wait_02	エムゼット{団|だん}のみなさん\nどうぞよろしくお{願|ねが}いいたします[VAR 0114(0014)]
msg_Ev_d01_0100_wait_03	{異次元|いじげん}のひずみ……\n{大|おお}きな{騒動|そうどう}にならなければよいのですが[VAR 0114(000E)]
msg_dbdfb25045bbac102854418e1675e14a	[~ 83]
msg_Ev_d01_0200_talk_01	アンシャちゃんの\nドーナツづくりはお{見事|みごと}だね！[VAR 0114(000C)]
msg_Ev_d01_0200_talk_02	ドーナツ{屋|や}？\nホテルの{新|あたら}しいサービスか[VAR 0114(0007)]
msg_Ev_d01_0200_talk_03	おっ！\nめずらしいポケモンがいるね[VAR 0114(0007)]
msg_Ev_d01_0200_talk_04	ピィヒャ？
msg_Ev_d01_0200_talk_05	いたずらポケモンのフーパ\c\n{空間|くうかん}をゆがめるという\n{不思議|ふしぎ}なリングを{持|も}っているとか[VAR 0114(0007)]
msg_Ev_d01_0200_talk_06	それはいったんおいといて……[VAR 0114(0007)]
msg_Ev_d01_0200_talk_18	[VAR 0100(0000)]\nあのマンキーはなに？[VAR 0114(0007)]
msg_Ev_d01_0200_talk_07	ミアレにいないポケモンの\nデータが{送|おく}られてきたから{調|しら}べたところ[VAR 0114(0007)]
msg_Ev_d01_0200_talk_08	{一部|いちぶ}の{界隈|かいわい}で{盛|も}りあがっている\n{異次元|いじげん}の{話|はなし}に{関係|かんけい}しているようだね[VAR 0114(0007)]
msg_Ev_d01_0200_talk_09	{異次元|いじげん}で{出会|であ}ったポケモンから\nおもしろいデータも{得|え}られそうだし\r\nそういうのは{乗|の}っからないとね[VAR 0114(0007)]
msg_Ev_d01_0200_talk_10	……{仕事|しごと}を{増|ふ}やすのは\nあたしの{本意|ほんい}ではないけどさ[VAR 0114(0007)]
msg_Ev_d01_0200_talk_11	{要|よう}するに……\nあなたの{図鑑|ずかん}をパワーアップします！[VAR 0114(0007)]
msg_Ev_d01_0200_talk_12	ポケモン{図鑑|ずかん}がアップデートされて\n{異次元図鑑|いじげんずかん}を{確認|かくにん}できるようになった！
msg_Ev_d01_0200_talk_13	これで{異次元|いじげん}に{行|い}く{楽|たの}しみが{増|ふ}えたね\nそれじゃよろしくー！[VAR 0114(0007)]
msg_Ev_d01_0200_talk_14	あの……\nいまのにぎやかな{方|かた}は？[VAR 0114(01A5)]
msg_Ev_d01_0200_talk_15	ポケモン{研究所|けんきゅうじょ}の{所長代理|しょちょうだいり}です\c\nモミジリサーチを{押|お}しつけてくる\nステキな{方|かた}ですが{忘|わす}れてください[VAR 0114(000B)]
msg_Ev_d01_0200_talk_16	とにかく！\c\n{異次元|いじげん}ミアレを{調査|ちょうさ}するには\nひずみの{場所|ばしょ}を{調|しら}べるんだよね[VAR 0114(000C)]
msg_Ev_d01_0200_talk_17	はい！　アンシャも\n{調査|ちょうさ}のためにドーナツをつくります[VAR 0114(01A5)]
msg_Ev_d01_0200_wait_01	サビ{組事務所|ぐみじむしょ}の{緊張感|きんちょうかん}……[VAR 0114(000C)]
msg_Ev_d01_0200_wait_02	それにしてもあの{奇妙|きみょう}な{空間|くうかん}は\n{一体|いったい}なんだったのでしょうか？[VAR 0114(000B)]
msg_Ev_d01_0200_wait_03	アンシャは{目的|もくてき}のためでしたら\nどこにでも{参|まい}ります！[VAR 0114(01A5)]
msg_Ev_d01_0200_wait_04	ピィヒャー
msg_Ev_d01_0200_wait_05	きゅるる
msg_1f10ca2bd20bac53b2026c134f49fdbb	[~ 107]
msg_Ev_d01_1000_sys_01	{異次元|いじげん}のひずみだ……\nアンシャのドーナツを{用意|ようい}しよう！
msg_Ev_d01_1000_sys_02	{異次元|いじげん}のひずみだ……\c\nフーパにドーナツを{食|た}べてもらって\n{異次元|いじげん}ミアレに{入|はい}りますか？
msg_Ev_d01_1000_select_01	{開|あ}けてもらう
msg_Ev_d01_1000_select_02	{今|いま}はやめておく
msg_4a32274889f90b3417aab94685e19968	[~ 112]
msg_Ev_d01_1010_talk_01	[VAR 0100(0000)]さん　おつかれさまです\n{異次元|いじげん}ミアレに{入|はい}られたようですね[VAR 0114(0014)]
msg_Ev_d01_1010_talk_02	カラスバさまにおつなぎいたします[VAR 0114(0014)]
msg_Ev_d01_1010_talk_03	ドーナツの{材料集|ざいりょうあつ}めごくろうさん\nアンシャとフーパに{感謝|かんしゃ}せんとなあ[VAR 0114(0013)]
msg_Ev_d01_1010_talk_04	{異次元|いじげん}ミアレを{調|しら}べるために\n「[VAR FF00(0006)]{異次元|いじげん}{調査|ちょうさ}{依頼|いらい}[VAR FF00(0000)]」を{送|おく}るで[VAR 0114(0013)]
msg_Ev_d01_1010_talk_05	{要|よう}するに{異次元|いじげん}ミアレで\nなにをすべきかまとめたもんや[VAR 0114(0013)]
msg_Ev_d01_1010_talk_06	７０００ポイントほど{集|あつ}めてくれたら\nデータ{解析|かいせき}が{進|すす}んで{助|たす}かるわ！[VAR 0114(0013)]
msg_Ev_d01_1010_talk_07	ポイントを{集|あつ}めるには{異次元|いじげん}ミアレを\nいくつかまわる{必要|ひつよう}があるやろけどな[VAR 0114(0013)]
msg_Ev_d01_1010_talk_08	ほな　おきばりやす[VAR 0114(0013)]
msg_Ev_d01_1010_sys_09	{異次元|いじげん}ミアレから{脱出|だっしゅつ}しますか？
msg_Ev_d01_1010_select_01	{脱出|だっしゅつ}する
msg_Ev_d01_1010_select_02	{調査|ちょうさ}を{続|つづ}ける
msg_Ev_d01_1010_sys_10	{戦|たたか}いをあきらめて\n{異次元|いじげん}ミアレから{脱出|だっしゅつ}しますか？
msg_Ev_d01_1010_wait_01	きのみを{手|て}に{入|い}れるなら\n８{番|ばん}ワイルドゾーンとかにある\r\n{売店|ばいてん}で{買|か}うのがいいかも[VAR 0114(000C)]
msg_Ev_d01_1010_wait_02	{異次元|いじげん}ミアレの{調査|ちょうさ}のために\nドーナツをつくってもらいましょう[VAR 0114(000B)]
msg_a7fd68922d56873595b1a105df8d960b	[~ 127]
msg_Ev_d01_1100_talk_01	おつかれさまです[VAR 0114(0014)]
msg_Ev_d01_1100_talk_02	{貴方|あなた}のおかげで{異次元|いじげん}ミアレの{調査|ちょうさ}に\n{必要|ひつよう}なポイントが{集|あつ}まりました[VAR 0114(0014)]
msg_Ev_d01_1100_talk_03	{心|こころ}より{感謝|かんしゃ}いたします[VAR 0114(0014)]
msg_Ev_d01_1100_talk_04	{今後|こんご}の{対応|たいおう}について{話|はな}しあうため\nカラスバさまの{部屋|へや}にお{越|こ}しください[VAR 0114(0014)]
msg_Ev_d01_1100_talk_05	それでは\nよろしくお{願|ねが}いいたします[VAR 0114(0014)]
msg_c7250285b9255eff79d728bd41156689	[~ 133]
msg_Ev_d01_1200_talk_28_f	{人助|ひとだす}けが{終|お}わったところで\nカラスバさんに{呼|よ}び{出|だ}されてさ[VAR 0114(0006)]
msg_Ev_d01_1200_talk_28_m	{人助|ひとだす}けが{終|お}わったところで\nカラスバさんに{呼|よ}び{出|だ}されて{待|ま}ってたし[VAR 0114(0005)]
msg_Ev_d01_1200_talk_01	おそろいやんな[VAR 0114(0013)]
msg_Ev_d01_1200_talk_02	マスカットさん\n{判明|はんめい}したことを{教|おし}えてもらおか[VAR 0114(0013)]
msg_Ev_d01_1200_talk_03	{承知|しょうち}いたしました[VAR 0114(000E)]
msg_Ev_d01_1200_talk_04	[VAR 0100(0000)]さんの{調査|ちょうさ}により\n{次|つぎ}のことが{判明|はんめい}いたしました[VAR 0114(000E)]
msg_Ev_d01_1200_talk_05	まず{異次元|いじげん}ミアレの{影響|えいきょう}が\n{現実|げんじつ}のミアレに{及|およ}ぶ{可能性|かのうせい}があります[VAR 0114(000E)]
msg_Ev_d01_1200_talk_06	{具体的|ぐたいてき}にいうと{異次元|いじげん}ミアレで\n{観測|かんそく}できるポケモンたちが\r\nミアレに{来|く}る{可能性|かのうせい}があります[VAR 0114(000E)]
msg_Ev_d01_1200_talk_07	ほんまミアレシティは\nポケモンにも{人気|にんき}の{街|まち}やな[VAR 0114(0013)]
msg_Ev_d01_1200_talk_08	さらに{異次元|いじげん}ミアレによっては\n{暴走|ぼうそう}メガシンカするポケモンを\r\n{内包|ないほう}している{場合|ばあい}もあるようです[VAR 0114(000E)]
msg_Ev_d01_1200_talk_11_f	{暴走|ぼうそう}メガシンカ！？[VAR 0114(0006)]
msg_Ev_d01_1200_talk_11_m	{暴走|ぼうそう}メガシンカ！？[VAR 0114(0005)]
msg_Ev_d01_1200_talk_12_f	{異次元|いじげん}ミアレで{出会|であ}ったポケモンって\nなぜか{強|つよ}いんだよな\c\nさすがにオレと[VAR 0100(0000)]だけで\n{暴走|ぼうそう}メガシンカの{相手|あいて}は{厳|きび}しいぜ[VAR 0114(0006)]
msg_Ev_d01_1200_talk_12_m	{異次元|いじげん}ミアレで{出会|であ}ったポケモンって\nなぜだか{異様|いよう}に{強|つよ}いし\c\nあたしと[VAR 0100(0000)]だけで\n{暴走|ぼうそう}メガシンカの{相手|あいて}はきついよ[VAR 0114(0005)]
msg_Ev_d01_1200_talk_13	そやねん！　{異次元|いじげん}のポケモンの{強|つよ}さは\nまさに{異次元|いじげん}レベルやねん\c\nしかも{異次元|いじげん}ミアレは\n４{人以上|にんいじょう}で{入|はい}ると{不安定|ふあんてい}になるんや[VAR 0114(0013)]
msg_Ev_d01_1200_talk_14	そこでオレは{考|かんが}えたで！\c\nデウロやピュールの{代|か}わりができる\n{強|つよ}いトレーナーがいたらええねん[VAR 0114(0013)]
msg_Ev_d01_1200_talk_15_f	ＺＡロワイヤル{最高|さいこう}ランクの\nオレと[VAR 0100(0000)]に{匹敵|ひってき}する\r\n{強|つよ}いトレーナーがいるのか？[VAR 0114(0006)]
msg_Ev_d01_1200_talk_15_m	ＺＡロワイヤル{最高|さいこう}ランクの\nあたしと[VAR 0100(0000)]と{互角|ごかく}の\r\n{強|つよ}いトレーナーっていますか？[VAR 0114(0005)]
msg_Ev_d01_1200_talk_16	いはるねん！[VAR 0114(0013)]
msg_Ev_d01_1200_select_01	カナリィさん？
msg_Ev_d01_1200_select_02	シローさん？
msg_Ev_d01_1200_select_03	ユカリさん？
msg_Ev_d01_1200_select_04	カラスバさん？
msg_Ev_d01_1200_select_05	グリさん？
msg_Ev_d01_1200_talk_22	あかんあかん\nアイツは{異次元|いじげん}ミアレで{遊|あそ}ぶやん[VAR 0114(0013)]
msg_Ev_d01_1200_talk_23	シロー？　{使|つか}いようはあるけど\nアイツに{説明|せつめい}するのメンドーやん[VAR 0114(0013)]
msg_Ev_d01_1200_talk_24	ユカリ？　アイツこそ\nユカリゾーンで{閉|と}じ{込|こ}めたほうがええで[VAR 0114(0013)]
msg_Ev_d01_1200_talk_25	オレ？　かまへんけど{高|たか}くつくで[VAR 0114(0013)]
msg_Ev_d01_1200_talk_26	グリなあ……{強|つよ}いけど\nなに{考|かんが}えてるかわからんしなあ[VAR 0114(0013)]
msg_Ev_d01_1200_talk_27	{紹介|しょうかい}するんはこの{人|ひと}や！[VAR 0114(0013)]
msg_Ev_d01_1200_talk_17	[VAR 0100(0000)]だね[VAR 0114(0004)]
msg_Ev_d01_1200_talk_18	あたしは\nメガシンカ{継承者|けいしょうしゃ}のコルニ！[VAR 0114(0192)]
msg_Ev_d01_1200_talk_19	さっそくだけど\nあなたの{腕前|うでまえ}を{試|ため}します！[VAR 0114(0192)]
msg_Ev_d01_1200_talk_20	それやったらオレの\nバトルコートを{使|つこ}たらええで！\c\nきったはったの{勝負|しょうぶ}を{繰|く}り{広|ひろ}げた\n{神聖|しんせい}なバトルコートやさかい[VAR 0114(0013)]
msg_Ev_d01_1200_talk_21	{感謝|かんしゃ}します！\c\n[VAR 0100(0000)]\nあたしをワクワクさせてよ[VAR 0114(0192)]
msg_Ev_d01_1200_wait_01_f	どうして[VAR 0100(0000)]なんだよ\nオレとも{戦|たたか}ってほしいぜ[VAR 0114(0006)]
msg_Ev_d01_1200_wait_01_m	どうしてあたしじゃなくて\n[VAR 0100(0000)]の{腕前|うでまえ}を{試|ため}すの？[VAR 0114(0005)]
msg_Ev_d01_1200_wait_05	せっかくやし\nオレらも{見学|けんがく}させてもらおか[VAR 0114(0013)]
msg_Ev_d01_1200_wait_06	この{部屋|へや}の\nバトルコートをお{使|つか}いください[VAR 0114(0014)]
msg_Ev_d01_1200_wait_08	{名勝負|めいしょうぶ}に{期待|きたい}ですね[VAR 0114(000E)]
msg_4b9284a0c215f91bc09cae599e71772e	[~ 174]
msg_Ev_d01_2100_talk_01	ミアレの{街|まち}を……みんなを{救|すく}うため\nジガルデをメガシンカさせたトレーナー[VAR 0114(0192)]
msg_Ev_d01_2100_talk_02	その{実力|じつりょく}を{知|し}るには\nポケモン{勝負|しょうぶ}が{一番|いちばん}だからね[VAR 0114(0192)]
msg_Ev_d01_2100_talk_03	ひとつだけリクエストするね！[VAR 0114(0192)]
msg_Ev_d01_2100_talk_04	あなたのメガシンカが\nどのようなものか{勝負|しょうぶ}でみせてよ！[VAR 0114(0192)]
msg_Ev_d01_2100_talk_05	ということで[VAR 0114(0192)]
msg_Ev_d01_2100_talk_06	{行|い}くよ……！[VAR 0114(0192)]
msg_f3a2fb856d960c23cd8209ad8f8b3ef9	[~ 181]
msg_Ev_d01_2100_btl_01	{勝負|しょうぶ}する{前|まえ}にもいったけど\nあなたのメガシンカをみせてよ！[VAR 0114(0192)]
msg_Ev_d01_2100_btl_02	{命|いのち}　{爆発|ばくはつ}ッ！！[VAR 0114(0192)]
msg_b68f656a0e99346c8390c49efd55ef1d	[~ 184]
msg_Ev_d01_2110_talk_01	ミアレシティを{救|すく}った\n{英雄|えいゆう}の{強|つよ}さってそんなもの？[VAR 0114(0192)]
msg_caddcb8d224fad9f071682922237dc73	[~ 186]
msg_Ev_d01_2120_talk_01	メガシンカを{使|つか}わずに\nあたしに{勝|か}つなんて……\c\nでも{真|しん}の{実力|じつりょく}を{知|し}るため\nあなたのメガシンカをみせてほしい！[VAR 0114(0192)]
msg_Ev_d01_2120_sys_02	コルニとのポケモン{勝負|しょうぶ}では\n{自分|じぶん}のポケモンをメガシンカさせよう！
msg_31c0fea5c1c015a24c4f67ac6aa58bfa	[~ 189]
msg_Ev_d01_2130_talk_01	おもしろいトレーナーさんだね！[VAR 0114(0192)]
msg_Ev_d01_2130_talk_02	あなたのメガシンカから\nまっすぐな{優|やさ}しさを{感|かん}じたよ！[VAR 0114(0192)]
msg_Ev_d01_2130_talk_03	メガシンカはポケモンの\nさらなる{力|ちから}を{引|ひ}きだす{現象|げんしょう}！[VAR 0114(0192)]
msg_Ev_d01_2130_talk_04	ただし{強|つよ}すぎる{力|ちから}は\nポケモンに{負荷|ふか}をかけることもある……\r\n{暴走|ぼうそう}メガシンカがまさにそうだよね[VAR 0114(0192)]
msg_Ev_d01_2130_talk_05	あたしはメガシンカ{継承者|けいしょうしゃ}として\n{暴走|ぼうそう}メガシンカで{苦|くる}しむポケモンを\r\n{助|たす}けるためあなたたちに{協力|きょうりょく}するから！[VAR 0114(0192)]
msg_Ev_d01_2130_talk_06	な！　この{人|ひと}やったら{百人力|ひゃくにんりき}やろ[VAR 0114(0013)]
msg_Ev_d01_2130_talk_07_f	さすがカラスバさん！[VAR 0114(0006)]
msg_Ev_d01_2130_talk_07_m	カラスバさん\nありがとうございます！[VAR 0114(0005)]
msg_Ev_d01_2130_talk_08	どうせ{出会|であ}う{運命|うんめい}やったんを\nたまたまオレがつないだだけや[VAR 0114(0013)]
msg_Ev_d01_2130_talk_09	そや\nマスカットさんがゆうてたで[VAR 0114(0013)]
msg_Ev_d01_2130_talk_10	{異次元|いじげん}ミアレにいる\n{暴走|ぼうそう}メガシンカポケモンは\r\nかならず{捕獲|ほかく}してくれってな[VAR 0114(0013)]
msg_Ev_d01_2130_talk_15	もうひとつ\c\nマスカットさんいわく\n{異次元|いじげん}きのみが{大事|だいじ}らしいで[VAR 0114(0013)]
msg_Ev_d01_2130_select_01	{手|て}に{入|い}れました
msg_Ev_d01_2130_select_02	なんですか？
msg_Ev_d01_2130_talk_16	もう{知|し}ってるんか\nさすがやんな！[VAR 0114(0013)]
msg_Ev_d01_2130_talk_17	{異次元|いじげん}ミアレでみつかるきのみを\n[VAR FF00(0006)]{異次元|いじげん}きのみ[VAR FF00(0000)]と{呼|よ}んでるんや[VAR 0114(0013)]
msg_Ev_d01_2130_talk_18	{異次元|いじげん}きのみをたっぷり{使|つか}った\nドーナツやったら{暴走|ぼうそう}メガシンカする\r\nポケモンとも{渡|わた}り{合|あ}えるようになるで！[VAR 0114(0013)]
msg_Ev_d01_2130_talk_19	たまたま{手元|てもと}にあるさかい\nひとつわけたるわ！[VAR 0114(0013)]
msg_Ev_d01_2130_talk_11	{暴走|ぼうそう}メガシンカを{鎮|しず}めるために\nあたしはなにをすればいい？[VAR 0114(0192)]
msg_Ev_d01_2130_talk_12_f	[VAR FF00(0006)]ルージュ１{番地|ばんち}[VAR FF00(0000)]にある\n{異次元|いじげん}のひずみから\r\n{異次元|いじげん}ミアレに{入|はい}ります！[VAR 0114(0006)]
msg_Ev_d01_2130_talk_12_m	[VAR FF00(0006)]ルージュ１{番地|ばんち}[VAR FF00(0000)]にある\n{異次元|いじげん}のひずみから\r\n{異次元|いじげん}ミアレに{入|はい}りましょう[VAR 0114(0005)]
msg_Ev_d01_2130_talk_13	それじゃルージュ１{番地|ばんち}で\n{待|ま}ってるよ！　じゃーねー！[VAR 0114(0192)]
msg_Ev_d01_2130_talk_14	ほなあとは{頼|たの}んだで[VAR 0114(0013)]
msg_Ev_d01_2130_wait_01	ご{武運|ぶうん}をお{祈|いの}りしております[VAR 0114(0014)]
msg_Ev_d01_2130_wait_02	{引|ひ}き{続|つづ}きよろしくお{願|ねが}いいたします[VAR 0114(000E)]
msg_260d959965db3e4d68a8816cc3009429	[~ 215]
msg_Ev_d01_3000_talk_02	これが{異次元|いじげん}のひずみ……\n{指|ゆび}とか{入|い}れたくなる{奇妙|きみょう}さだね[VAR 0114(0192)]
msg_Ev_d01_3000_talk_08	クエーサーからのお{知|し}らせがなかったら\n{街|まち}のみんなが{大騒|おおさわ}ぎしてたよねー[VAR 0114(0192)]
msg_Ev_d01_3000_talk_01	{異次元|いじげん}ミアレ{内部|ないぶ}に\nメガエネルギーが{充満|じゅうまん}しています\c\n{中|なか}にいるポケモンが\n{暴走|ぼうそう}メガシンカする{可能性大|かのうせいだい}！\r\n{異次元|いじげん}ミアレに{入|はい}って{鎮|しず}めますか？
msg_Ev_d01_3000_select_01	{異次元|いじげん}ミアレに{入|はい}る
msg_Ev_d01_3000_select_02	{準備|じゅんび}する
msg_Ev_d01_3000_talk_03_f	コルニさん\nオレも{行|い}きますよ！[VAR 0114(0006)]
msg_Ev_d01_3000_talk_03_m	ちょっと！\nあたしも{一緒|いっしょ}に{行|い}くし[VAR 0114(0005)]
msg_Ev_d01_3000_talk_06	あっ　ごめーん！\c\nどのポケモンが{暴走|ぼうそう}メガシンカするのか\n{気|き}になって{忘|わす}れてたよ！[VAR 0114(0192)]
msg_Ev_d01_3000_talk_07	それでは３{人|にん}そろったところで\n{異次元|いじげん}ミアレに{入|はい}るとしましょー！[VAR 0114(0192)]
msg_Ev_d01_3000_talk_09	よろしく　フーパ！[VAR 0114(0192)]
msg_Ev_d01_3000_talk_04	ドーナツがないとひずみから\n{異次元|いじげん}ミアレに{入|はい}れないんでしょ[VAR 0114(0192)]
msg_Ev_d01_3000_talk_05	[VAR 0100(0000)]　{待|ま}って！\c\n{暴走|ぼうそう}メガシンカする\nポケモンを{捕|つか}まえないといけないのに\r\nボックスがいっぱいだよ[VAR 0114(0192)]
msg_ec1ba47d86d2df73d97ff19eab358e04	[~ 228]
msg_Ev_d01_3010_talk_01	なるほど！\nあのアブソルが{暴走|ぼうそう}メガシンカするんだ[VAR 0114(0192)]
msg_Ev_d01_3010_talk_02	ねー　アブソルがメガシンカすると\nどうなるか{知|し}ってる？[VAR 0114(0192)]
msg_Ev_d01_3010_select_01	{特攻|とくこう}が{増|ま}します
msg_Ev_d01_3010_select_02	すばやさが{増|ま}します
msg_Ev_d01_3010_talk_03	{詳|くわ}しいね！\c\nって[VAR 0100(0000)]は{暴走|ぼうそう}した\nメガアブソルと{戦|たたか}ったんだよね\r\nＡＺさんが{教|おし}えてくれたよ[VAR 0114(0192)]
msg_Ev_d01_3010_talk_04_f	メガアブソルと{戦|たたか}った[VAR 0100(0000)]と\nメガシンカ{継承者|けいしょうしゃ}のコルニさんがいれば\r\n{暴走|ぼうそう}メガシンカしても{必|かなら}ず{鎮|しず}められる！[VAR 0114(0006)]
msg_Ev_d01_3010_talk_04_m	メガアブソルと{戦|たたか}った[VAR 0100(0000)]と\nメガシンカ{継承者|けいしょうしゃ}のコルニさんがいれば\r\n{暴走|ぼうそう}メガシンカしても{必|かなら}ず{鎮|しず}められるし[VAR 0114(0005)]
msg_Ev_d01_3010_wait_01_f	みんながベストを{尽|つ}くせば\nアブソルを{鎮|しず}められるよな！[VAR 0114(0006)]
