aoc_error.txt
aoc_error_01	需要擁有新增內容\n才能繼續前進。
flavor_detail_sweet_17_lv1	遇見龍屬性的異色寶可夢的\n可能性會提高。
flavor_detail_sweet_17_lv2	遇見龍屬性的異色寶可夢的\n可能性會提高相當多。
flavor_detail_sweet_17_lv3	遇見龍屬性的異色寶可夢的\n可能性會提高非常多。
flavor_detail_sweet_18_lv1	遇見惡屬性的異色寶可夢的\n可能性會提高。
flavor_detail_sweet_18_lv2	遇見惡屬性的異色寶可夢的\n可能性會提高相當多。
flavor_detail_sweet_18_lv3	遇見惡屬性的異色寶可夢的\n可能性會提高非常多。
flavor_detail_sweet_19_lv1	遇見鋼屬性的異色寶可夢的\n可能性會提高。
flavor_detail_sweet_19_lv2	遇見鋼屬性的異色寶可夢的\n可能性會提高相當多。
flavor_detail_sweet_19_lv3	遇見鋼屬性的異色寶可夢的\n可能性會提高非常多。
flavor_detail_sweet_20_lv1	遇見妖精屬性的異色寶可夢的\n可能性會提高。
flavor_detail_sweet_20_lv2	遇見妖精屬性的異色寶可夢的\n可能性會提高相當多。
flavor_detail_sweet_20_lv3	遇見妖精屬性的異色寶可夢的\n可能性會提高非常多。
flavor_detail_sweet_21_lv1	遇見異色寶可夢的\n可能性會提高。
flavor_detail_sweet_21_lv2	遇見異色寶可夢的\n可能性會提高相當多。
flavor_detail_sweet_21_lv3	遇見異色寶可夢的\n可能性會提高非常多。
flavor_detail_spicy_01_lv1	同行寶可夢的\n攻擊能力會提高。
flavor_detail_spicy_01_lv2	同行寶可夢的\n攻擊能力會提高相當多。
flavor_detail_spicy_01_lv3	同行寶可夢的\n攻擊能力會提高非常多。
flavor_detail_spicy_02_lv1	同行寶可夢的\n特攻能力會提高。
flavor_detail_spicy_02_lv2	同行寶可夢的\n特攻能力會提高相當多。
flavor_detail_spicy_02_lv3	同行寶可夢的\n特攻能力會提高非常多。
flavor_detail_spicy_03_lv1	同行寶可夢使出的\n一般屬性的招式威力會提高。
flavor_detail_spicy_03_lv2	同行寶可夢使出的\n一般屬性的招式威力會提高相當多。
flavor_detail_spicy_03_lv3	同行寶可夢使出的\n一般屬性的招式威力會提高非常多。
flavor_detail_spicy_04_lv1	同行寶可夢使出的\n火屬性的招式威力會提高。
flavor_detail_spicy_04_lv2	同行寶可夢使出的\n火屬性的招式威力會提高相當多。
flavor_detail_spicy_04_lv3	同行寶可夢使出的\n火屬性的招式威力會提高非常多。
flavor_detail_spicy_05_lv1	同行寶可夢使出的\n水屬性的招式威力會提高。
flavor_detail_spicy_05_lv2	同行寶可夢使出的\n水屬性的招式威力會提高相當多。
flavor_detail_spicy_05_lv3	同行寶可夢使出的\n水屬性的招式威力會提高非常多。
flavor_detail_spicy_06_lv1	同行寶可夢使出的\n電屬性的招式威力會提高。
flavor_detail_spicy_06_lv2	同行寶可夢使出的\n電屬性的招式威力會提高相當多。
flavor_detail_spicy_06_lv3	同行寶可夢使出的\n電屬性的招式威力會提高非常多。
flavor_detail_spicy_07_lv1	同行寶可夢使出的\n草屬性的招式威力會提高。
flavor_detail_spicy_07_lv2	同行寶可夢使出的\n草屬性的招式威力會提高相當多。
flavor_detail_spicy_07_lv3	同行寶可夢使出的\n草屬性的招式威力會提高非常多。
flavor_detail_spicy_08_lv1	同行寶可夢使出的\n冰屬性的招式威力會提高。
flavor_detail_spicy_08_lv2	同行寶可夢使出的\n冰屬性的招式威力會提高相當多。
flavor_detail_spicy_08_lv3	同行寶可夢使出的\n冰屬性的招式威力會提高非常多。
flavor_detail_spicy_09_lv1	同行寶可夢使出的\n格鬥屬性的招式威力會提高。
flavor_detail_spicy_09_lv2	同行寶可夢使出的\n格鬥屬性的招式威力會提高相當多。
flavor_detail_spicy_09_lv3	同行寶可夢使出的\n格鬥屬性的招式威力會提高非常多。
flavor_detail_spicy_10_lv1	同行寶可夢使出的\n毒屬性的招式威力會提高。
flavor_detail_spicy_10_lv2	同行寶可夢使出的\n毒屬性的招式威力會提高相當多。
flavor_detail_spicy_10_lv3	同行寶可夢使出的\n毒屬性的招式威力會提高非常多。
flavor_detail_spicy_11_lv1	同行寶可夢使出的\n地面屬性的招式威力會提高。
flavor_detail_spicy_11_lv2	同行寶可夢使出的\n地面屬性的招式威力會提高相當多。
flavor_detail_spicy_11_lv3	同行寶可夢使出的\n地面屬性的招式威力會提高非常多。
flavor_detail_spicy_12_lv1	同行寶可夢使出的\n飛行屬性的招式威力會提高。
flavor_detail_spicy_12_lv2	同行寶可夢使出的\n飛行屬性的招式威力會提高相當多。
flavor_detail_spicy_12_lv3	同行寶可夢使出的\n飛行屬性的招式威力會提高非常多。
flavor_detail_spicy_13_lv1	同行寶可夢使出的\n超能力屬性的招式威力會提高。
flavor_detail_spicy_13_lv2	同行寶可夢使出的\n超能力屬性的招式威力會提高相當多。
flavor_detail_spicy_13_lv3	同行寶可夢使出的\n超能力屬性的招式威力會提高非常多。
flavor_detail_spicy_14_lv1	同行寶可夢使出的\n蟲屬性的招式威力會提高。
flavor_detail_spicy_14_lv2	同行寶可夢使出的\n蟲屬性的招式威力會提高相當多。
flavor_detail_spicy_14_lv3	同行寶可夢使出的\n蟲屬性的招式威力會提高非常多。
flavor_detail_spicy_15_lv1	同行寶可夢使出的\n岩石屬性的招式威力會提高。
flavor_detail_spicy_15_lv2	同行寶可夢使出的\n岩石屬性的招式威力會提高相當多。
flavor_detail_spicy_15_lv3	同行寶可夢使出的\n岩石屬性的招式威力會提高非常多。
flavor_detail_spicy_16_lv1	同行寶可夢使出的\n幽靈屬性的招式威力會提高。
flavor_detail_spicy_16_lv2	同行寶可夢使出的\n幽靈屬性的招式威力會提高相當多。
flavor_detail_spicy_16_lv3	同行寶可夢使出的\n幽靈屬性的招式威力會提高非常多。
flavor_detail_spicy_17_lv1	同行寶可夢使出的\n龍屬性的招式威力會提高。
flavor_detail_spicy_17_lv2	同行寶可夢使出的\n龍屬性的招式威力會提高相當多。
flavor_detail_spicy_17_lv3	同行寶可夢使出的\n龍屬性的招式威力會提高非常多。
flavor_detail_spicy_18_lv1	同行寶可夢使出的\n惡屬性的招式威力會提高。
flavor_detail_spicy_18_lv2	同行寶可夢使出的\n惡屬性的招式威力會提高相當多。
flavor_detail_spicy_18_lv3	同行寶可夢使出的\n惡屬性的招式威力會提高非常多。
flavor_detail_spicy_19_lv1	同行寶可夢使出的\n鋼屬性的招式威力會提高。
flavor_detail_spicy_19_lv2	同行寶可夢使出的\n鋼屬性的招式威力會提高相當多。
flavor_detail_spicy_19_lv3	同行寶可夢使出的\n鋼屬性的招式威力會提高非常多。
flavor_detail_spicy_20_lv1	同行寶可夢使出的\n妖精屬性的招式威力會提高。
flavor_detail_spicy_20_lv2	同行寶可夢使出的\n妖精屬性的招式威力會提高相當多。
flavor_detail_spicy_20_lv3	同行寶可夢使出的\n妖精屬性的招式威力會提高非常多。
flavor_detail_spicy_21_lv1	同行寶可夢的\n速度能力會提高。
flavor_detail_spicy_21_lv2	同行寶可夢的\n速度能力會提高相當多。
flavor_detail_spicy_21_lv3	同行寶可夢的\n速度能力會提高非常多。
flavor_detail_sour_01_lv1	從飄浮在空中的巨球中\n一次出現的\n道具數量會增加。
flavor_detail_sour_01_lv2	從飄浮在空中的巨球中\n一次出現的\n道具數量會增加相當多。
flavor_detail_sour_01_lv3	從飄浮在空中的巨球中\n一次出現的\n道具數量會增加非常多。
flavor_detail_sour_02_lv1	能更容易\n從飄浮在空中的巨球中\n獲得異次元樹果。
flavor_detail_sour_02_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得異次元樹果。
flavor_detail_sour_02_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得異次元樹果。
flavor_detail_sour_03_lv1	能更容易\n從飄浮在空中的巨球中\n獲得經驗糖果。
flavor_detail_sour_03_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得經驗糖果。
flavor_detail_sour_03_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得經驗糖果。
flavor_detail_sour_04_lv1	能更容易\n從飄浮在空中的巨球中\n獲得可高價售出的寶物。
flavor_detail_sour_04_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得可高價售出的寶物。
flavor_detail_sour_04_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得可高價售出的寶物。
flavor_detail_sour_05_lv1	能更容易\n從飄浮在空中的巨球中\n獲得捕捉寶可夢用的球。
flavor_detail_sour_05_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得捕捉寶可夢用的球。
flavor_detail_sour_05_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得捕捉寶可夢用的球。
flavor_detail_sour_06_lv1	能更容易\n從飄浮在空中的巨球中\n獲得有特別效果的道具。
flavor_detail_sour_06_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得有特別效果的道具。
flavor_detail_sour_06_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得有特別效果的道具。
flavor_detail_sour_07_lv1	能更容易\n從飄浮在空中的巨球中\n獲得索財靈的硬幣。
flavor_detail_sour_07_lv2	能相當容易\n從飄浮在空中的巨球中\n獲得索財靈的硬幣。
flavor_detail_sour_07_lv3	能非常容易\n從飄浮在空中的巨球中\n獲得索財靈的硬幣。
flavor_detail_sour_10_lv1	能更容易累積\n超級進化所需的超級能。
flavor_detail_sour_10_lv2	能相當容易累積\n超級進化所需的超級能。
flavor_detail_sour_10_lv3	能非常容易累積\n超級進化所需的超級能。
flavor_detail_sour_11_lv1	超級進化時，\n超級能會變得不容易減少。
flavor_detail_sour_11_lv2	超級進化時，\n超級能會變得相當不容易減少。
flavor_detail_sour_11_lv3	超級進化時，\n超級能會變得非常不容易減少。
flavor_detail_bitter_01_lv1	同行寶可夢的\n防禦能力會提高。
flavor_detail_bitter_01_lv2	同行寶可夢的\n防禦能力會提高相當多。
flavor_detail_bitter_01_lv3	同行寶可夢的\n防禦能力會提高非常多。
flavor_detail_bitter_02_lv1	同行寶可夢的\n特防能力會提高。
flavor_detail_bitter_02_lv2	同行寶可夢的\n特防能力會提高相當多。
flavor_detail_bitter_02_lv3	同行寶可夢的\n特防能力會提高非常多。
flavor_detail_bitter_03_lv1	對手寶可夢用一般屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_03_lv2	對手寶可夢用一般屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_03_lv3	對手寶可夢用一般屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_04_lv1	對手寶可夢用火屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_04_lv2	對手寶可夢用火屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_04_lv3	對手寶可夢用火屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_05_lv1	對手寶可夢用水屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_05_lv2	對手寶可夢用水屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_05_lv3	對手寶可夢用水屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_06_lv1	對手寶可夢用電屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_06_lv2	對手寶可夢用電屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_06_lv3	對手寶可夢用電屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_07_lv1	對手寶可夢用草屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_07_lv2	對手寶可夢用草屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_07_lv3	對手寶可夢用草屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_08_lv1	對手寶可夢用冰屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_08_lv2	對手寶可夢用冰屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_08_lv3	對手寶可夢用冰屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_09_lv1	對手寶可夢用格鬥屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_09_lv2	對手寶可夢用格鬥屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_09_lv3	對手寶可夢用格鬥屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_10_lv1	對手寶可夢用毒屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_10_lv2	對手寶可夢用毒屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_10_lv3	對手寶可夢用毒屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_11_lv1	對手寶可夢用地面屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_11_lv2	對手寶可夢用地面屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_11_lv3	對手寶可夢用地面屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_12_lv1	對手寶可夢用飛行屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_12_lv2	對手寶可夢用飛行屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_12_lv3	對手寶可夢用飛行屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_13_lv1	對手寶可夢用超能力屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_13_lv2	對手寶可夢用超能力屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_13_lv3	對手寶可夢用超能力屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_14_lv1	對手寶可夢用蟲屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_14_lv2	對手寶可夢用蟲屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_14_lv3	對手寶可夢用蟲屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_15_lv1	對手寶可夢用岩石屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_15_lv2	對手寶可夢用岩石屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_15_lv3	對手寶可夢用岩石屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_16_lv1	對手寶可夢用幽靈屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_16_lv2	對手寶可夢用幽靈屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_16_lv3	對手寶可夢用幽靈屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_17_lv1	對手寶可夢用龍屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_17_lv2	對手寶可夢用龍屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_17_lv3	對手寶可夢用龍屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_18_lv1	對手寶可夢用惡屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_18_lv2	對手寶可夢用惡屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_18_lv3	對手寶可夢用惡屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_19_lv1	對手寶可夢用鋼屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_19_lv2	對手寶可夢用鋼屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_19_lv3	對手寶可夢用鋼屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_bitter_20_lv1	對手寶可夢用妖精屬性的招式攻擊時，\n受到的傷害會減少。
flavor_detail_bitter_20_lv2	對手寶可夢用妖精屬性的招式攻擊時，\n受到的傷害會減少相當多。
flavor_detail_bitter_20_lv3	對手寶可夢用妖精屬性的招式攻擊時，\n受到的傷害會減少非常多。
flavor_detail_fresh_01_lv1	遇見大尺寸的寶可夢的\n可能性會提高。
flavor_detail_fresh_01_lv2	遇見大尺寸的寶可夢的\n可能性會提高相當多。
flavor_detail_fresh_01_lv3	遇見大尺寸的寶可夢的\n可能性會提高非常多。
flavor_detail_fresh_02_lv1	遇見小尺寸的寶可夢的\n可能性會提高。
flavor_detail_fresh_02_lv2	遇見小尺寸的寶可夢的\n可能性會提高相當多。
flavor_detail_fresh_02_lv3	遇見小尺寸的寶可夢的\n可能性會提高非常多。
flavor_detail_fresh_03_lv1	遇見的寶可夢數量\n會比平時增加。
flavor_detail_fresh_03_lv2	遇見的寶可夢數量\n會比平時增加相當多。
flavor_detail_fresh_03_lv3	遇見的寶可夢數量\n會比平時增加非常多。
flavor_detail_fresh_04_lv1	更容易捕捉\n一般屬性的寶可夢。
flavor_detail_fresh_04_lv2	相當容易捕捉\n一般屬性的寶可夢。
flavor_detail_fresh_04_lv3	非常容易捕捉\n一般屬性的寶可夢。
flavor_detail_fresh_05_lv1	更容易捕捉\n火屬性的寶可夢。
flavor_detail_fresh_05_lv2	相當容易捕捉\n火屬性的寶可夢。
flavor_detail_fresh_05_lv3	非常容易捕捉\n火屬性的寶可夢。
flavor_detail_fresh_06_lv1	更容易捕捉\n水屬性的寶可夢。
flavor_detail_fresh_06_lv2	相當容易捕捉\n水屬性的寶可夢。
flavor_detail_fresh_06_lv3	非常容易捕捉\n水屬性的寶可夢。
flavor_detail_fresh_07_lv1	更容易捕捉\n電屬性的寶可夢。
flavor_detail_fresh_07_lv2	相當容易捕捉\n電屬性的寶可夢。
flavor_detail_fresh_07_lv3	非常容易捕捉\n電屬性的寶可夢。
flavor_detail_fresh_08_lv1	更容易捕捉\n草屬性的寶可夢。
flavor_detail_fresh_08_lv2	相當容易捕捉\n草屬性的寶可夢。
flavor_detail_fresh_08_lv3	非常容易捕捉\n草屬性的寶可夢。
flavor_detail_fresh_09_lv1	更容易捕捉\n冰屬性的寶可夢。
flavor_detail_fresh_09_lv2	相當容易捕捉\n冰屬性的寶可夢。
flavor_detail_fresh_09_lv3	非常容易捕捉\n冰屬性的寶可夢。
flavor_detail_fresh_10_lv1	更容易捕捉\n格鬥屬性的寶可夢。
flavor_detail_fresh_10_lv2	相當容易捕捉\n格鬥屬性的寶可夢。
flavor_detail_fresh_10_lv3	非常容易捕捉\n格鬥屬性的寶可夢。
flavor_detail_fresh_11_lv1	更容易捕捉\n毒屬性的寶可夢。
flavor_detail_fresh_11_lv2	相當容易捕捉\n毒屬性的寶可夢。
flavor_detail_fresh_11_lv3	非常容易捕捉\n毒屬性的寶可夢。
flavor_detail_fresh_12_lv1	更容易捕捉\n地面屬性的寶可夢。
flavor_detail_fresh_12_lv2	相當容易捕捉\n地面屬性的寶可夢。
flavor_detail_fresh_12_lv3	非常容易捕捉\n地面屬性的寶可夢。
flavor_detail_fresh_13_lv1	更容易捕捉\n飛行屬性的寶可夢。
flavor_detail_fresh_13_lv2	相當容易捕捉\n飛行屬性的寶可夢。
flavor_detail_fresh_13_lv3	非常容易捕捉\n飛行屬性的寶可夢。
flavor_detail_fresh_14_lv1	更容易捕捉\n超能力屬性的寶可夢。
flavor_detail_fresh_14_lv2	相當容易捕捉\n超能力屬性的寶可夢。
flavor_detail_fresh_14_lv3	非常容易捕捉\n超能力屬性的寶可夢。
flavor_detail_fresh_15_lv1	更容易捕捉\n蟲屬性的寶可夢。
flavor_detail_fresh_15_lv2	相當容易捕捉\n蟲屬性的寶可夢。
flavor_detail_fresh_15_lv3	非常容易捕捉\n蟲屬性的寶可夢。
flavor_detail_fresh_16_lv1	更容易捕捉\n岩石屬性的寶可夢。
flavor_detail_fresh_16_lv2	相當容易捕捉\n岩石屬性的寶可夢。
flavor_detail_fresh_16_lv3	非常容易捕捉\n岩石屬性的寶可夢。
flavor_detail_fresh_17_lv1	更容易捕捉\n幽靈屬性的寶可夢。
flavor_detail_fresh_17_lv2	相當容易捕捉\n幽靈屬性的寶可夢。
flavor_detail_fresh_17_lv3	非常容易捕捉\n幽靈屬性的寶可夢。
flavor_detail_fresh_18_lv1	更容易捕捉\n龍屬性的寶可夢。
flavor_detail_fresh_18_lv2	相當容易捕捉\n龍屬性的寶可夢。
flavor_detail_fresh_18_lv3	非常容易捕捉\n龍屬性的寶可夢。
flavor_detail_fresh_19_lv1	更容易捕捉\n惡屬性的寶可夢。
flavor_detail_fresh_19_lv2	相當容易捕捉\n惡屬性的寶可夢。
flavor_detail_fresh_19_lv3	非常容易捕捉\n惡屬性的寶可夢。
flavor_detail_fresh_20_lv1	更容易捕捉\n鋼屬性的寶可夢。
flavor_detail_fresh_20_lv2	相當容易捕捉\n鋼屬性的寶可夢。
flavor_detail_fresh_20_lv3	非常容易捕捉\n鋼屬性的寶可夢。
flavor_detail_fresh_21_lv1	更容易捕捉\n妖精屬性的寶可夢。
flavor_detail_fresh_21_lv2	相當容易捕捉\n妖精屬性的寶可夢。
flavor_detail_fresh_21_lv3	非常容易捕捉\n妖精屬性的寶可夢。
flavor_detail_fresh_22_lv1	更容易捕捉\n所有的寶可夢。
flavor_detail_fresh_22_lv2	相當容易捕捉\n所有的寶可夢。
flavor_detail_fresh_22_lv3	非常容易捕捉\n所有的寶可夢。
flavor_detail_sp_01	能夠穿進出現在\n稜鏡塔上空的\n巨大異次元扭洞。
flavor_detail_sp_02	能夠穿進據說有\n固拉多潛伏其中的\n朱紅色異次元扭洞。
flavor_detail_sp_03	能夠穿進據說有\n蓋歐卡潛伏其中的\n靛藍色異次元扭洞。
flavor_detail_sp_04	能夠穿進據說有\n烈空坐潛伏其中的\n翠綠色異次元扭洞。
flavor_detail_sp_05	能夠穿進\n奔雷迸發的\n黃色異次元扭洞。
donut_name.txt
msg_d41d8cd98f00b204e9800998ecf8427e	[~ 0]
donut_kurabo_sweet	[VAR 0133(0000)]櫻子蛋白霜[VAR 01D9(0001)]
donut_kurabo_spicy	[VAR 0133(0000)]櫻子咖哩[VAR 01D9(0001)]
donut_kurabo_sour	[VAR 0133(0000)]櫻子蜜餞[VAR 01D9(0001)]
donut_kurabo_bitter	[VAR 0133(0000)]櫻子巧克力[VAR 01D9(0001)]
donut_kurabo_fresh	[VAR 0133(0000)]櫻子鮮奶油[VAR 01D9(0001)]
donut_kurabo_mix	[VAR 0133(0000)]櫻子綜合[VAR 01D9(0001)]
donut_kago_sweet	[VAR 0133(0000)]零餘蛋白霜[VAR 01D9(0001)]
donut_kago_spicy	[VAR 0133(0000)]零餘咖哩[VAR 01D9(0001)]
donut_kago_sour	[VAR 0133(0000)]零餘蜜餞[VAR 01D9(0001)]
donut_kago_bitter	[VAR 0133(0000)]零餘巧克力[VAR 01D9(0001)]
donut_kago_fresh	[VAR 0133(0000)]零餘鮮奶油[VAR 01D9(0001)]
donut_kago_mix	[VAR 0133(0000)]零餘綜合[VAR 01D9(0001)]
donut_momon_sweet	[VAR 0133(0000)]桃桃蛋白霜[VAR 01D9(0001)]
donut_momon_spicy	[VAR 0133(0000)]桃桃咖哩[VAR 01D9(0001)]
donut_momon_sour	[VAR 0133(0000)]桃桃蜜餞[VAR 01D9(0001)]
donut_momon_bitter	[VAR 0133(0000)]桃桃巧克力[VAR 01D9(0001)]
donut_momon_fresh	[VAR 0133(0000)]桃桃鮮奶油[VAR 01D9(0001)]
donut_momon_mix	[VAR 0133(0000)]桃桃綜合[VAR 01D9(0001)]
donut_chigo_sweet	[VAR 0133(0000)]莓莓蛋白霜[VAR 01D9(0001)]
donut_chigo_spicy	[VAR 0133(0000)]莓莓咖哩[VAR 01D9(0001)]
donut_chigo_sour	[VAR 0133(0000)]莓莓蜜餞[VAR 01D9(0001)]
donut_chigo_bitter	[VAR 0133(0000)]莓莓巧克力[VAR 01D9(0001)]
donut_chigo_fresh	[VAR 0133(0000)]莓莓鮮奶油[VAR 01D9(0001)]
donut_chigo_mix	[VAR 0133(0000)]莓莓綜合[VAR 01D9(0001)]
donut_nanashi_sweet	[VAR 0133(0000)]利木蛋白霜[VAR 01D9(0001)]
donut_nanashi_spicy	[VAR 0133(0000)]利木咖哩[VAR 01D9(0001)]
donut_nanashi_sour	[VAR 0133(0000)]利木蜜餞[VAR 01D9(0001)]
donut_nanashi_bitter	[VAR 0133(0000)]利木巧克力[VAR 01D9(0001)]
donut_nanashi_fresh	[VAR 0133(0000)]利木鮮奶油[VAR 01D9(0001)]
donut_nanashi_mix	[VAR 0133(0000)]利木綜合[VAR 01D9(0001)]
donut_oren_sweet	[VAR 0133(0000)]橙橙蛋白霜[VAR 01D9(0001)]
donut_oren_spicy	[VAR 0133(0000)]橙橙咖哩[VAR 01D9(0001)]
donut_oren_sour	[VAR 0133(0000)]橙橙蜜餞[VAR 01D9(0001)]
donut_oren_bitter	[VAR 0133(0000)]橙橙巧克力[VAR 01D9(0001)]
donut_oren_fresh	[VAR 0133(0000)]橙橙鮮奶油[VAR 01D9(0001)]
donut_oren_mix	[VAR 0133(0000)]橙橙綜合[VAR 01D9(0001)]
donut_ki_sweet	[VAR 0133(0000)]柿仔蛋白霜[VAR 01D9(0001)]
donut_ki_spicy	[VAR 0133(0000)]柿仔咖哩[VAR 01D9(0001)]
donut_ki_sour	[VAR 0133(0000)]柿仔蜜餞[VAR 01D9(0001)]
donut_ki_bitter	[VAR 0133(0000)]柿仔巧克力[VAR 01D9(0001)]
donut_ki_fresh	[VAR 0133(0000)]柿仔鮮奶油[VAR 01D9(0001)]
donut_ki_mix	[VAR 0133(0000)]柿仔綜合[VAR 01D9(0001)]
donut_ramu_sweet	[VAR 0133(0000)]木子蛋白霜[VAR 01D9(0001)]
donut_ramu_spicy	[VAR 0133(0000)]木子咖哩[VAR 01D9(0001)]
donut_ramu_sour	[VAR 0133(0000)]木子蜜餞[VAR 01D9(0001)]
donut_ramu_bitter	[VAR 0133(0000)]木子巧克力[VAR 01D9(0001)]
donut_ramu_fresh	[VAR 0133(0000)]木子鮮奶油[VAR 01D9(0001)]
donut_ramu_mix	[VAR 0133(0000)]木子綜合[VAR 01D9(0001)]
donut_obon_sweet	[VAR 0133(0000)]文柚蛋白霜[VAR 01D9(0001)]
donut_obon_spicy	[VAR 0133(0000)]文柚咖哩[VAR 01D9(0001)]
donut_obon_sour	[VAR 0133(0000)]文柚蜜餞[VAR 01D9(0001)]
donut_obon_bitter	[VAR 0133(0000)]文柚巧克力[VAR 01D9(0001)]
donut_obon_fresh	[VAR 0133(0000)]文柚鮮奶油[VAR 01D9(0001)]
donut_obon_mix	[VAR 0133(0000)]文柚綜合[VAR 01D9(0001)]
donut_zaroku_sweet	[VAR 0133(0000)]榴石蛋白霜[VAR 01D9(0001)]
donut_zaroku_spicy	[VAR 0133(0000)]榴石咖哩[VAR 01D9(0001)]
donut_zaroku_sour	[VAR 0133(0000)]榴石蜜餞[VAR 01D9(0001)]
donut_zaroku_bitter	[VAR 0133(0000)]榴石巧克力[VAR 01D9(0001)]
donut_zaroku_fresh	[VAR 0133(0000)]榴石鮮奶油[VAR 01D9(0001)]
donut_zaroku_mix	[VAR 0133(0000)]榴石綜合[VAR 01D9(0001)]
donut_nekobu_sweet	[VAR 0133(0000)]藻根蛋白霜[VAR 01D9(0001)]
donut_nekobu_spicy	[VAR 0133(0000)]藻根咖哩[VAR 01D9(0001)]
donut_nekobu_sour	[VAR 0133(0000)]藻根蜜餞[VAR 01D9(0001)]
donut_nekobu_bitter	[VAR 0133(0000)]藻根巧克力[VAR 01D9(0001)]
donut_nekobu_fresh	[VAR 0133(0000)]藻根鮮奶油[VAR 01D9(0001)]
donut_nekobu_mix	[VAR 0133(0000)]藻根綜合[VAR 01D9(0001)]
donut_taporu_sweet	[VAR 0133(0000)]比巴蛋白霜[VAR 01D9(0001)]
donut_taporu_spicy	[VAR 0133(0000)]比巴咖哩[VAR 01D9(0001)]
