common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
Test_Results07_02_02	如果记得朋友的生日，\n说不定能成为受欢迎的人！
Test_Results07_03_01	你最好的类别是{color[ff1010ff]}分析{color[000000ff]}！
Test_Results07_03_02	只要改变一下观点，\n复杂的事物也会看起来很简单！
Test_Results07_04_01	你最好的类别是{color[ff1010ff]}数字{color[000000ff]}！
Test_Results07_04_02	擅长数字的话，\n在各方面都会很便利！
Test_Results07_05_01	你最好的类别是{color[ff1010ff]}知觉{color[000000ff]}！
Test_Results07_05_02	精准捕捉眼前看到的事物\n是非常重要的！
Test_Results08_cmm	另外！
Test_Results08_01_01	你的{color[ff1010ff]}直觉{color[000000ff]}还有进步的空间呢！\n这就是需要按摩放松的地方！
Test_Results08_02_01	你的{color[ff1010ff]}记忆{color[000000ff]}还有进步的空间呢！\n这就是需要按摩放松的地方！
Test_Results08_03_01	你的{color[ff1010ff]}分析{color[000000ff]}还有进步的空间呢！\n这就是需要按摩放松的地方！
Test_Results08_04_01	你的{color[ff1010ff]}数字{color[000000ff]}还有进步的空间呢！\n这就是需要按摩放松的地方！
Test_Results08_05_01	你的{color[ff1010ff]}知觉{color[000000ff]}还有进步的空间呢！\n这就是需要按摩放松的地方！
Test_Results09_cmm	然后……
Test_Results09_01_01	试着冷静下来，\n减少失误，提高正确率吧！
Test_Results09_02_01	试着用最快的速度\n回答问题吧！
Test_Results09_03_01	保持冷静，减少失误的话，\n灵活度应该会提升很多！
Test_Results09_04_01	若能更快且更正确地回答问题，\n灵活度应该会提升很多！
Test_Results09_05_01	要继续提升灵活度的话，\n就只能专心在考题上了！
Test_Results09_05_02	目标！突破极限！
Test_Results10_cmn	最后！
Test_Results10_01_01	你的灵活度\n似乎还有进步的空间哦！
Test_Results10_01_02	首先，在不同的伸展中\n以获得高分为目标吧！
Test_Results10_02_01	如果在测试中出现了\n不擅长的考题……
Test_Results10_02_02	不要给大脑太多压力，\n冷静地面对吧♪
Test_Results10_03_01	如果是平常的你，\n应该会表现得更好吧！？
Test_Results10_03_02	偶尔让大脑休息一下，\n会更神清气爽哦！
Test_Results10_04_01	你的大脑\n应该更灵活的！
Test_Results10_04_02	这种时候最好就是\n什么都不做，好好休息一下！
Test_Results10_05_01	测试的灵活度\n感觉很不错！
Test_Results10_05_02	进行各种伸展，\n朝更高的目标迈进吧！
Test_Results10_06_01	现在的你持续伸展的话，\n一定会更加进步的！一定！
Test_Results10_06_02	无论是伸展还是测试，\n都要以获得更高的分数为目标哦！
Test_Results10_07_01	如果是平常的你，\n应该会表现得更好吧！？
Test_Results10_07_02	偶尔让大脑休息一下，\n会更神清气爽哦！
Test_Results10_08_01	这次的状态\n跟平常不太一样呢。
Test_Results10_08_02	累了就先休息！\n我会一直等你的！
Test_Results10_09_01	这次测试的灵活度\n实在太棒了！
Test_Results10_09_02	如果有这样的灵活度，\n伸展的记录也会进步的！
Test_Results10_10_01	测试的灵活度\n感觉非常不错！
Test_Results10_10_02	这样的话，说不定可以\n在伸展中获得新奖牌哦！
Test_Results10_11_01	灵活度感觉很不错，\n但你应该可以变得更加灵活的！
Test_Results10_11_02	无论是伸展还是测试，\n都要以获得更高的分数为目标哦！
Test_Results10_12_01	跟伸展的记录相比的话，\n还有不少进步空间呢！
Test_Results10_12_02	期待在测试中也能看到你\n与生俱来的灵活度！
Test_Results10_13_01	大脑竟然这么灵活，\n我太惊讶了！
Test_Results10_13_02	请一定要试着在伸展中\n收集到金秤奖牌哦！
Test_Results10_14_01	你在收集\n伸展的金秤奖牌吗？
Test_Results10_14_02	如果是你的话，\n一定能收集到吧！
Test_Results10_15_01	现在的你，\n大脑非常灵活！
Test_Results10_15_02	无论是伸展还是测试，\n只要找到诀窍，就应该会进步的！
Test_Results10_16_01	这次的结果几乎\n如实地反映出你的实力！
Test_Results10_16_02	伸展的灵活度非常不错！\n也很期待你在测试的表现！
Test_Results10_17_01	看看测试的结果……\n大脑非常灵活！
Test_Results10_17_02	请你也一定要在伸展中\n按摩放松大脑！
Test_Results10_18_01	多么了不起的潜力！\n测试结果真的太棒了！
Test_Results10_18_02	希望你在伸展中按摩放松大脑，\n朝更高的目标迈进！
Test_Results10_19_01	无论是测试还是伸展，\n灵活度都非常不错呢！
Test_Results10_19_02	你可以以更高的段位或奖牌为目标！\n也可以进行幽灵对战！都可以哦！
Test_Results10_20_01	测试的灵活度也非常不错！\n是持续伸展的结果呢！
Test_Results10_20_02	这样持续下去的话，\n真好奇你的大脑能变得多灵活！
Test_Results10_21_01	虽然测试的灵活度很不错，\n但你几乎没有去伸展……？
Test_Results10_21_02	难道你……\n是隐藏的灵活大脑！？
Test_Results10_21_03	请务必试看看各种伸展！
Test_Results10_21_04	收集金秤奖牌的话，\n可能会发生什么事！？
Test_Results10_22_01	以你的大脑灵活度来说……
Test_Results10_22_02	应该可以在伸展中\n不断地获得金秤奖牌！
Test_Results10_22_03	其实那面奖牌\n是我亲手制作的！
Test_Results10_23_01	测试的结果\n实在太棒了！
Test_Results10_23_02	这是你持续伸展的成果啊！！
Test_Results10_24_01	无论是测试还是伸展，\n都太棒了！！
Test_Results10_24_02	{[0100]}！\n你是本校的模范生！！
Test_Results11_01_01	那么……
Test_Results11_01_01_01	我要根据灵活度\n来发表你的{color[ff1010ff]}头脑类型{color[000000ff]}！
Test_Results11_01_02	这是你这次的头脑类型！
Event_Birthday_01	……咦？\n难道说今天是……
Event_Birthday_02	你的生日！生日快乐！\n{[0100]}！！
Event_Birthday_03	继续让大脑\n变得更加灵活吧！
Event_Birthday_04	今后也请你多多指教哦！
Event_Comp_Outfits_01	哦！终于！\n获得了最后一套服装！！
Event_Comp_Outfits_02	{color[ff1010ff]}全部的服装{color[000000ff]}都收集完成了！\n恭喜你！！！
Event_Comp_Outfits_03	能在灵活脑学校遇到你，\n真是太好了！谢谢你！
Event_Comp_Greets_01	什么！\n竟然想到最后一个招呼语了！
Event_Comp_Greets_02	{color[ff1010ff]}全部的招呼语{color[000000ff]}都收集完成了！\n恭喜你！！！
Event_Comp_Greets_03	竟然可以想到这个……\n你的大脑太灵活了，真让人羡慕！
Battle_Giveup_01	幽灵的记录\n到此为止！
Battle_Giveup_02	对方的幽灵\n终止了！
Startup_Talk_01_01	嗨！嗨！\n你好啊！
Startup_Talk_01_02	欢迎来到\n灵活脑学校！
Startup_Talk_01_03	我是校长，\n可以叫我{color[ff1010ff]}秤博士{color[000000ff]}。
Startup_Talk_01_04	最近，大脑\n有点僵硬吧？
Startup_Talk_01_05	本校准备了各式各样\n替僵硬大脑按摩放松的考题。
Startup_Talk_01_05_02	来！一起开始伸展大脑吧！
Startup_Talk_01_06	马上为你办入学手续，\n请告诉我你的信息。
Startup_Talk_01_07	首先，\n请告诉我你的{color[ff1010ff]}年龄{color[000000ff]}！
Startup_Talk_09_01	然后，\n请告诉我你的{color[ff1010ff]}造型{color[000000ff]}！
Startup_Talk_09_02	之后也可以更改哦。
Startup_Talk_03_01	那么，\n请告诉我你的{color[ff1010ff]}职业{color[000000ff]}。
Startup_Talk_03_02	请选择跟你真正的职业\n最接近的选项哦。
Startup_Talk_02_01	然后！\n请告诉我你的{color[ff1010ff]}介绍词{color[000000ff]}！
Startup_Talk_02_02	之后也可以更改，\n所以现在任意选也没关系哦！
Startup_Talk_04_01	最后！\n请换上本校的{color[ff1010ff]}服装{color[000000ff]}！
Startup_Talk_04_02	服装之后也可以更改，\n所以任意选就可以了！
Startup_Talk_06_01	我一直在等待像你一样的学生出现！\n啊，对了……
Startup_Talk_06_02	小孩子的话，\n推荐使用{color[ff1010ff]}简易辅助{color[000000ff]}！
Startup_Talk_07_01	接下来！\n为你介绍{color[ff1010ff]}在线功能{color[000000ff]}！
Startup_Talk_07_02	在{color[ff1010ff]}幽灵对战{color[000000ff]}和{color[ff1010ff]}排名\n{color[000000ff]}互相竞争吧！
Startup_Talk_05_01	欢迎你！\n{[0100]}！
Startup_Talk_05_02	入学手续已经办好了！
Startup_Talk_05_03	那么！\n灵活脑学校，开学啦！
Startup_Talk_08_01	那么，\n首先是……
Startup_Talk_08_02	在{color[ff1010ff]}伸展{color[000000ff]}中\n稍微放松一下大脑吧！
Startup_Talk_Str_01	锵锵！\n这就是本校引以为傲的{color[ff1010ff]}伸展{color[000000ff]}！
Startup_Talk_Str_02	我推荐从{color[ff1010ff]}直觉{color[000000ff]}类别开始！
Startup_Talk_GameSelect_01	要试试看\n{color[ff1010ff]}配图鼹鼠{color[000000ff]}吗？
Startup_Talk_Game_01	有{color[ff1010ff]}按键{color[000000ff]}和{color[ff1010ff]}触控\n{color[000000ff]}两种玩法哦！
Startup_Talk_Finish_01	第一次体验灵活脑学校，\n感觉如何？
Startup_Talk_Finish_02	你的灵活大脑之路\n才刚开始！
Startup_Talk_Finish_03	请尽情按摩放松！\n目标是超级灵活大脑！
Startup_Talk_Gst_01	欢迎来到幽灵对战！\n{[0100]}！
Startup_Talk_Gst_02	你问我{color[ff1010ff]}幽灵{color[000000ff]}是什么啊……
Startup_Talk_Gst_03	就是当有人在{color[ff1010ff]}伸展{color[000000ff]}或{color[ff1010ff]}测试{color[000000ff]}中\n解考题的时候……
Startup_Talk_Gst_04	其过程被一五一十地\n{color[ff1010ff]}记录{color[000000ff]}下来的东西。
Startup_Talk_Gst_05	竟然！\n幽灵就是记录……
Startup_Talk_Gst_06	{color[ff1010ff]}即使不在同一个时间游玩，{color[000000ff]}\n也能够互相对战哦！
Startup_Talk_Gst_07	好的！\n请选择要对战的对手吧！
Startup_Talk_Gst_Wld_01	在和世界的幽灵对战中\n可以看到{color[ff1010ff]}灵活度世界排名{color[000000ff]}！
Startup_Talk_Gst_Wld_02	随着对战的次数增加，\n对方的幽灵也会越来越强！
Startup_Talk_Gst_Wld_03	好的！\n请选择要对战的幽灵吧！
Startup_Talk_Avt_01	更改服装和发型，\n改变一下形象吧！
Startup_Talk_Avt_02	服装可以在伸展等地方\n累积金币后获得！
Startup_Talk_Cfg_01	在这里可以更改\n自己的造型和个人档案哦！
Test_Infomation_01	通过5种类别的考题\n测量你的大脑灵活度！
Tips_Start	呵呵！\n告诉你一个灵活冷知识……
Tips_End	以上就是灵活冷知识！
Tips_01_01	收集到{color[ff1010ff]}金秤奖牌{color[000000ff]}的话，\n好像会发生什么事……
Tips_01_02	虽然一路会很艰辛，\n但还是去挑战看看吧！
Tips_02_01	金和银奖牌\n各有{color[ff1010ff]}3个种类{color[000000ff]}！
Tips_02_02	就算是颜色一样的奖牌，\n★越多，就代表越厉害！
Tips_03_01	获得{color[ff1010ff]}10枚{color[000000ff]}金币后，\n我就会送你{color[ff1010ff]}服装{color[000000ff]}！
Tips_03_02	敬请期待会获得什么吧！\n也有帽子和饰品哦！
Tips_04_01	{color[ff1010ff]}服装{color[000000ff]}总共有\n300套！
Tips_04_02	请收集不同的服装，\n找到自己喜欢的配搭吧♪
Tips_05_01	答对的速度{color[ff1010ff]}越快{color[000000ff]}，\n灵活度会提升越多。
Tips_05_02	总而言之，快速地答对！\n这就是诀窍！
Tips_06_01	答对{color[ff1010ff]}越多{color[000000ff]}困难的考题，\n灵活度会提升越多。
Tips_06_02	考题的难度提升后，\n反而是机会哦！
Tips_07_01	你知道自己记载在\n幽灵对战菜单的{color[ff1010ff]}幽灵ID{color[000000ff]}吗？
Tips_07_02	你的{color[ff1010ff]}最佳记录幽灵\n{color[000000ff]}会被保存在ID里。
Tips_07_03	把{color[ff1010ff]}幽灵ID{color[000000ff]}告诉其他人看看吧！\n也可以和朋友以外的人对战哦！
Tips_08_01	在{color[ff1010ff]}派对{color[000000ff]}中可以选择\n考题的{color[ff1010ff]}难易度{color[000000ff]}！
Tips_08_02	从超级简单的考题到\n超级困难的考题，共有{color[ff1010ff]}6个阶段{color[000000ff]}。
Tips_08_03	配合各自不同的实力，\n可以自由地选择！
Tips_08_04	只要更改{color[ff1010ff]}难易度{color[000000ff]}，\n无论是小孩子还是大人都可以一起游玩哦！
Tips_09_01	偶尔停在{color[ff1010ff]}标题画面{color[000000ff]}看看吧。
Tips_09_02	竟然！你是不是听得见\n我在喃喃自语啊？
Tips_09_03	虽然不知道这对你\n有没有帮助……！
Tips_10_01	啊！我去一下厕所！
Tips_10_02	就是啊……当考题做到一半时，\n总有会想要{color[ff1010ff]}暂停{color[000000ff]}的时候吧？
Tips_10_03	这种时候只要按下{color[ff1010ff]}＋键{color[000000ff]}或{color[ff1010ff]}－键{color[000000ff]}，\n就可以返回菜单画面了。
Tips_10_04	无论做什么，\n切忌心浮气躁。
Tips_11_01	在幽灵对战中，\n打败{color[ff1010ff]}强劲{color[000000ff]}的幽灵后……
Tips_11_02	我就会送你奖励金币♪\n请务必挑战看看哦！
Tips_12_01	在{color[ff1010ff]}2人{color[000000ff]}游玩派对时，\n选择“{color[ff1010ff]}用触控{color[000000ff]}”的话……
Tips_12_02	竟然！可以跟对方\n面对面直接对战！
Tips_13_01	在幽灵对战前互相交流的\n{color[ff1010ff]}招呼语{color[000000ff]}……
Tips_13_02	等到对战获胜后，\n你应该就会想到新的{color[ff1010ff]}招呼语{color[000000ff]}了！
Tips_13_03	到时候会想到怎样的{color[ff1010ff]}招呼语{color[000000ff]}呢？\n敬请期待吧！
Tips_14_01	可以在幽灵对战中使用的\n{color[ff1010ff]}招呼语{color[000000ff]}共有40种以上！
Tips_14_02	随着不断按摩放松大脑，\n词汇量也会随之增加！
Tips_15_01	在幽灵对战的“{color[ff1010ff]}用幽灵ID搜索{color[000000ff]}”中，\n输入{color[ff1010ff]}自己的幽灵ID{color[000000ff]}……
Tips_15_02	竟然！可以跟自己的\n最佳记录幽灵对战！
Tips_16_01	其实通过{color[ff1010ff]}测试{color[000000ff]}就会知道，\n在头脑段位中存在着一个梦幻的段位……
Tips_16_02	那就是“{color[ff1010ff]}灵活大脑王{color[000000ff]}”！
Tips_16_03	关于这个段位，我有些话想说，\n但还是等下次有机会再说吧……
TitleGreet_01_01	嗯嗯……哈唔……
TitleGreet_01_02	早上好。
TitleGreet_02_01	早上好！
TitleGreet_03_01	你好！
TitleGreet_04_01	你好！
TitleGreet_05_01	晚上好！
TitleGreet_06_01	嗯嗯嗯……唔……
TitleGreet_06_02	晚上好。
TitleTimeTalk_00_01	你好，你好，\n你今天心情怎么样？
TitleTimeTalk_00_02	我跟平常没什么两样。
TitleTimeTalk_00_03	好的！\n那就开始吧？
TitleTimeTalk_01_01	新的一天开始了。
TitleTimeTalk_01_02	希望今天对你来说\n会是很棒的一天……
TitleTimeTalk_01_03	好的！\n那就开始吧。
TitleTimeTalk_02_01	你起得真早呢。\n我也是早上精神比较好哦。
TitleTimeTalk_02_02	好的！好的！好的！
TitleTimeTalk_02_03	我的状态超级好！
TitleTimeTalk_02_04	好的！\n那要开始了吗？
TitleTimeTalk_03_01	你起得真早呢。\n我也是早上比较有精神哦。
TitleTimeTalk_03_02	好的！好的！好的！
TitleTimeTalk_03_03	啊……！\n我的腰啊！！
TitleTimeTalk_03_04	啊咿！\n那就开始吧……
TitleTimeTalk_04_01	早晨的空气很清新，\n很好闻呢！
TitleTimeTalk_04_02	简单来说，好闻的程度\n大概仅次于烤肉的味道。
TitleTimeTalk_04_03	好的！\n那要开始了吗？
TitleTimeTalk_05_01	好的、好的、好的！\n好的、好的、好的！
TitleTimeTalk_05_02	唔……\n咦，你问我在做什么？
TitleTimeTalk_05_03	我在做“灵活体操”，\n这是我每天早上必做的事！
TitleTimeTalk_05_04	好的！\n那就开始吧？
TitleTimeTalk_06_01	啦啦啦～♪\n唔呼呼～♪
TitleTimeTalk_06_02	嗯……本校有很多这种\n会不知不觉就哼出来的旋律！
TitleTimeTalk_06_03	偶尔让大脑休息一下，\n聆听这些旋律看看吧！
TitleTimeTalk_06_04	好的！\n那要开始了吗？
TitleTimeTalk_07_01	其实我对服装仪容\n很有要求的……
TitleTimeTalk_07_02	我最自豪的是这胡须♪\n要花我一个小时来打理呢！
TitleTimeTalk_07_03	好的！\n那要开始了吗？
TitleTimeTalk_08_01	听说在地球刚诞生的时期……
TitleTimeTalk_08_02	曾经一连好几年\n都一直下着雨呢。
TitleTimeTalk_08_03	很不可思议吧？
TitleTimeTalk_08_04	我们觉得是理所当然的事物……
TitleTimeTalk_08_05	其实只是偶然的产物呢。
TitleTimeTalk_08_06	一连好几年\n都一直下着雨的话……
TitleTimeTalk_08_07	到底要何时才能\n晒衣服呢……
TitleTimeTalk_08_08	好的！\n那就开始吧。
TitleTimeTalk_09_01	你有跟其他人较量过\n大脑的灵活度吗？
TitleTimeTalk_09_02	话说很久以前，我的灵活大脑\n可是所向披靡，无人能敌呢……
TitleTimeTalk_09_03	不过，有一位传说中的强者\n把我打得落花流水。
TitleTimeTalk_09_04	他的大脑灵活度，\n简直可以用“王”来称呼……！
TitleTimeTalk_09_05	因为那个人的关系，\n我才准备了头脑段位——
TitleTimeTalk_09_06	灵活大脑王！
TitleTimeTalk_09_07	传说中的头脑段位“灵活大脑王”\n就是因此而生的。
TitleTimeTalk_09_08	那么，要开始了吗？
TitleTimeTalk_10_01	吃过午餐了吗？\n我现在才准备要去呢。
TitleTimeTalk_10_02	啦～啦啦～啦啦啦～\n今天要吃什么好呢～？
TitleTimeTalk_10_03	呵呵呵，\n光用想的就觉得开心！
TitleTimeTalk_10_04	好的！\n那要开始了吗？
TitleTimeTalk_11_01	吃过午餐了吗？\n我已经吃饱了哦。
TitleTimeTalk_11_02	也就是说！我现在的大脑里，\n满满的都是“点心”！
TitleTimeTalk_11_03	好的！\n那要开始了吗？
TitleTimeTalk_12_01	其实我很怕热。
TitleTimeTalk_12_02	所以大部分的时间\n我都躲在学校里。
TitleTimeTalk_12_03	穿上这身套装后，\n全身都是热气……
TitleTimeTalk_12_04	噢……\n这种事不能讲出来。
TitleTimeTalk_12_05	好的！\n那要开始了吗？
TitleTimeTalk_13_01	今天也要……\n好好地……
TitleTimeTalk_13_02	让大脑……
TitleTimeTalk_13_03	………………\n………………
TitleTimeTalk_13_04	……啊！
TitleTimeTalk_13_05	不、不好意思！\n我不小心睡着了。
TitleTimeTalk_13_06	好的！\n那就开始吧？
TitleTimeTalk_14_01	午餐吃得太饱\n就会昏昏欲睡呢。
TitleTimeTalk_14_02	这种时候！
TitleTimeTalk_14_03	就要无视旁人的眼光，\n翩翩地跳起舞来！
TitleTimeTalk_14_04	但这样做……\n也不太可行……
TitleTimeTalk_14_05	所以还是要\n好好睡觉啦！
TitleTimeTalk_14_06	这就是灵活脑学校的\n基本方针！
TitleTimeTalk_14_07	好的！\n那要开始了吗？
TitleTimeTalk_15_01	其实呢，你别看我这样，\n我是很容易感到沮丧的……
TitleTimeTalk_15_02	但只要一被夸奖，\n又会立刻得意起来……
TitleTimeTalk_15_03	最后还是会\n觉得沮丧。
TitleTimeTalk_15_03_02	我就是这么灵活多变……
TitleTimeTalk_15_04	……好的！\n那要开始了吗？
TitleTimeTalk_16_01	人家说勇气有两种。
TitleTimeTalk_16_02	一种是做的勇气，另一种是不做的勇气。
TitleTimeTalk_16_03	人们常常为了该选择哪一种而犹豫不决。
TitleTimeTalk_16_04	其实我现在\n正在减肥……
TitleTimeTalk_16_05	但今天的点心是灵活大脑布丁，\n到底该不该吃呢？还是不要吃好了？
TitleTimeTalk_16_06	好烦恼、好烦恼哦……\n还是决定吃吧！
TitleTimeTalk_16_07	虽然做这个决定需要鼓起很大的勇气，\n不过我是不会后悔的！
TitleTimeTalk_16_08	好的！\n那要开始了吗？
TitleTimeTalk_17_01	黄昏时飘来阵阵的\n咖哩香……
TitleTimeTalk_17_02	让我想念起\n家乡的母亲。
TitleTimeTalk_17_03	……\n好怀念啊……
TitleTimeTalk_17_04	……\n妈，你过得好吗……
TitleTimeTalk_17_05	噢……不好意思！\n那要开始了吗？
TitleTimeTalk_19_01	不知道为什么，\n黄昏总是特别感伤……
TitleTimeTalk_19_02	想着想着……\n肚子就饿了起来。
TitleTimeTalk_19_03	好的！\n那要开始了吗？
TitleTimeTalk_20_01	总觉得好像\n以前也经历过同样的事……
TitleTimeTalk_20_02	是不是曾经有过这种\n好像突然想起些什么的时刻呢？
TitleTimeTalk_20_03	这种感觉就叫做\n“既视感”。
TitleTimeTalk_20_04	啊！我以前好像\n也说过同样的话呢……
TitleTimeTalk_20_05	好的！\n那要开始了吗？
TitleTimeTalk_21_01	今天快要结束了呢。
TitleTimeTalk_21_02	对你来说，\n这是怎样的一天呢？
TitleTimeTalk_21_03	灵活的大脑，\n有派上用场吗？
TitleTimeTalk_21_04	…………
TitleTimeTalk_21_04_02	有、有派上用场吧？
TitleTimeTalk_21_05	好的！\n那要开始了吗？
TitleTimeTalk_22_01	吃过晚餐了吗？\n我现在才准备要去呢。
TitleTimeTalk_22_02	呵呵呵，今晚的菜单是……\n滑嫩可口的煎蛋卷！
TitleTimeTalk_22_03	身为灵活脑学校的校长，\n对煎蛋的灵活度可是相当讲究的！
TitleTimeTalk_22_04	好的！\n那要开始了吗？
TitleTimeTalk_23_01	已经吃过晚餐了吗？
TitleTimeTalk_23_02	我吃得太饱了……
TitleTimeTalk_23_03	身体好像变得重重的……
TitleTimeTalk_23_04	喂！不要盯着我脚下的磅秤看啦！
TitleTimeTalk_23_05	好的！\n那要开始了吗？
TitleTimeTalk_24_01	………………
TitleTimeTalk_24_02	……怎么样？\n有注意到我哪里不一样吗？
TitleTimeTalk_24_03	………………
TitleTimeTalk_24_04	我换眼镜了，\n可是好像不换比较好……
TitleTimeTalk_24_05	好的！\n那要开始了吗？
TitleTimeTalk_26_01	……在这宁静的夜晚，\n是不是很想要说点鬼故事呢？
TitleTimeTalk_26_02	………………\n………………
TitleTimeTalk_26_03	呀！不要这样！\n我很怕听那种故事的！
TitleTimeTalk_26_04	好的！\n那就直接开始，开始吧！
TitleTimeTalk_27_01	洗澡最能够消除\n一整天的疲劳呢。
TitleTimeTalk_27_02	我在洗澡的时候\n也会把这身套装给脱了……
TitleTimeTalk_27_03	噢……\n这种事不能讲出来。
TitleTimeTalk_27_04	好的！\n那要开始了吗？
TitleTimeTalk_28_01	虽然任何事都要\n讲求平衡……
TitleTimeTalk_28_02	但本校对于大脑\n只讲求“灵活度”……
TitleTimeTalk_28_03	大脑越灵活，\n就代表你越厉害！！
TitleTimeTalk_28_04	……就是这样。
TitleTimeTalk_28_04_02	请尽全力\n按摩放松大脑吧！
TitleTimeTalk_28_05	好的！\n那要开始了吗？
TitleTimeTalk_29_01	睡眠不足的话，\n大脑就会常常放空……
TitleTimeTalk_29_02	所以还是尽量不要太晚睡吧……
TitleTimeTalk_29_03	好的！\n那要开始了吗？
TitleTimeTalk_30_01	你应该知道地球是圆的吧？\n不过……
TitleTimeTalk_30_02	要是地球是其他形状的话，\n这世界会变成怎样呢？
TitleTimeTalk_30_03	我只要一开始思考这件事，\n就会睡不着了！
TitleTimeTalk_30_04	噢……\n那要开始了吗？
TitleTimeTalk_31_01	世界上应该有很多\n无法解释的现象吧？
TitleTimeTalk_31_02	以前的人会把这些现象\n称之为“魔法”或“奇迹”。
TitleTimeTalk_31_03	像我这样的生物\n应该也会……
TitleTimeTalk_31_04	被以前的人称之为\n“魔法”或“奇迹”吧？
TitleTimeTalk_31_05	好的！\n那要开始了吗？
TitleTimeTalk_32_01	所谓的“灵活”\n是什么呢……
TitleTimeTalk_32_02	对我来说，\n这可是永远的课题呢。
TitleTimeTalk_32_03	这个“地球”，\n其实也满灵活的。
TitleTimeTalk_32_04	不过，地球的灵活度……\n究竟是多少呢？
TitleTimeTalk_32_07	“灵活度”这个课题\n是无法测量的！
TitleTimeTalk_32_08	好的！\n那要开始了吗？
TitleTalk_01	100年后的未来\n会是什么样子呢？
TitleTalk_02	嗯唔……\n人类将何去何从呢？
TitleTalk_03	宇宙的尽头\n会是什么样子呢？
TitleTalk_04	……最近这身套装\n变得越来越紧了啊。
TitleTalk_05	……明天会是晴天吗？
TitleTalk_06	……肚子好饿啊。
TitleTalk_07	……好想漂浮在\n无人岛的海上啊。
TitleTalk_08	……要是我身体的结实度\n能跟上大脑的灵活度就好了啊。
Error_NoGhost_01	找不到幽灵……
Error_NoPlayLog_01	找不到幽灵……
Error_NoConnection_01	无法搜索幽灵……
Battle_Announce	{color[ff1010ff]}{[0100]}\n{color[000000ff]}和你的幽灵对战了！
Battle_Announce_V	你的幽灵\n打败{color[ff1010ff]}{[0100]}{color[000000ff]}了！
Battle_SeasonReset_01	开始新的赛季了！
Battle_SeasonReset_02	最后对战时的排名，\n在这里！
Battle_SeasonReset_03	排名已经重新整理了！\n一鼓作气地向前迈进吧！
Party_Result_01	这次的派对结果是……
Battle_CatchUpChance_01	{color[ff1010ff]}{[0100]}{color[000000ff]}\n得到奖励机会！
Battle_CatchUpChance_02	下一题最快答对的话，\n{color[ff1010ff]}＋40分{color[000000ff]}！
Battle_CatchUpChance_03	大脑准备好之后，\n就开始吧！
Party_CatchUpChance_C01	低于{color[ff1010ff]}50分{color[000000ff]}的人\n得到奖励机会！
Party_CatchUpChance_D02	下一题答对的话，\n{color[ff1010ff]}＋50分{color[000000ff]}！
BattleMenu_Continue3_01	还要继续吗？\n今天已经是{color[ff1010ff]}第3次{color[000000ff]}了！
BattleMenu_Continue3_02	那么……\n我去把{color[ff1010ff]}强劲的幽灵{color[000000ff]}叫过来！
common_MenuTerm.msbt
Back	 返回
Back_T	返回
Stop	 退出
Support	简易辅助
Stretch	伸展
SpStretch	超级伸展
Test	测试
Battle	幽灵对战
Party	派对
Costume	服装
Ranking	排名
Config	设定
Single	主要
StaffCredit	工作人员
Yawarakado	灵活度
Yawarakado2	灵活度
Yawarakado_Value	{size[3200]}灵活度　{size[6400]}{[0101]}
AtamaClass	头脑段位
Best	最佳
Recommend	推荐！
Point	分
Win_00	胜
Win_sg	胜
Win_pl	胜
Party_Touch_Control	请点触画面。
Date	{[010c]}/{[010d]}/{[010e]}
ATAMACLASS0000000	8级
ATAMACLASS0000001	7级
ATAMACLASS0000002	6级
ATAMACLASS0000003	5级
ATAMACLASS0000004	4级
ATAMACLASS0000005	3级
ATAMACLASS0000006	2级
ATAMACLASS0000007	1级
ATAMACLASS0000008	初段
ATAMACLASS0000009	2段
ATAMACLASS0000010	3段
ATAMACLASS0000011	4段
ATAMACLASS0000012	5段
ATAMACLASS0000013	6段
ATAMACLASS0000014	7段
ATAMACLASS0000015	8段
ATAMACLASS0000016	灵活大脑王
CHARTTYPE0000000	直觉型
CHARTTYPE0000001	记忆型
CHARTTYPE0000002	分析型
CHARTTYPE0000003	数字型
CHARTTYPE0000004	知觉型
CHARTTYPE0000010	直觉·记忆型
CHARTTYPE0000011	直觉·分析型
CHARTTYPE0000012	直觉·数字型
CHARTTYPE0000013	直觉·知觉型
CHARTTYPE0000014	记忆·直觉型
CHARTTYPE0000015	记忆·分析型
CHARTTYPE0000016	记忆·数字型
CHARTTYPE0000017	记忆·知觉型
CHARTTYPE0000018	分析·直觉型
CHARTTYPE0000019	分析·记忆型
CHARTTYPE0000020	分析·数字型
CHARTTYPE0000021	分析·知觉型
CHARTTYPE0000022	数字·直觉型
CHARTTYPE0000023	数字·记忆型
CHARTTYPE0000024	数字·分析型
CHARTTYPE0000025	数字·知觉型
CHARTTYPE0000026	知觉·直觉型
CHARTTYPE0000027	知觉·记忆型
CHARTTYPE0000028	知觉·分析型
CHARTTYPE0000029	知觉·数字型
CHARTTYPE0000030	不明确型
CHARTTYPE0000031	直觉缺乏型
CHARTTYPE0000032	记忆缺乏型
CHARTTYPE0000033	分析缺乏型
CHARTTYPE0000034	数字缺乏型
CHARTTYPE0000035	知觉缺乏型
CHARTTYPE0000036	均衡型
CHARTTYPE0000054	全方位万能型
CHARTTYPE0000056	潜力型
WaitConnecting	连接中……
Month_01	1月赛季
Month_02	2月赛季
Month_03	3月赛季
