common_AvatarCustomize.msbt
AVATARCLOTHES0000000	しろいＴシャツ
Event_CompP_PtMedals_04	{r2[じゅくちょう]}塾長{/r2}として\nこんなにウレシイことはありません…
Event_CompP_PtMedals_05	こころから オメデトーといわせてください！\n{[0100]}さん ありがとう！！！！！
Test_Results01_01_01	おつかれさまでした！
Test_Results02_01_01	はじめてのテスト、\nいかがでしたか？
Test_Results02_01_02	テストのけっかは\n{color[ff1010ff]}やわらか{r2[ど]}度{/r2}{color[000000ff]}で あらわします
Test_Results02_01_03	やわらか{r2[ど]}度{/r2}の{color[ff1010ff]}すうじがおおきい{color[000000ff]}ほど\nスゴイのです！
Test_Results02_01_04	ちなみに…
Test_Results02_01_05	ワタクシは\nやわらか{r2[ど]}度{/r2}{color[ff1010ff]}3300{color[000000ff]}くらいです
Test_Results02_01_06	ストレッチをしていない\nイッパンのかたは{color[ff1010ff]}1500{color[000000ff]}くらい…
Test_Results02_01_06_02	かんたんサポートのかたなら\n{color[ff1010ff]}250{color[000000ff]}くらいなので…
Test_Results02_01_07	ワタクシ、けっこうスゴイのです！\nエヘン！
Test_Results02_01_08	…ハイ！ ということで\nテストのけっかをみてみましょう！
Test_Results02_02_01	では さっそく\nテストのけっかをみてみましょう！
Test_Results03_01_01	フム！ ベストきろくには\nおよびませんでした！
Test_Results03_01_02	ま、そんなこともありますよね！\nあたまを きりかえていきましょう！
Test_Results03_02_01	コ、コレは！もみほぐしドコロいっぱい\nダイヤのげんせきです！
Test_Results03_03_01	フム！ これは\nもみほぐしがいのある やわらかさ！
Test_Results03_04_01	ホー！\nほどよく ほぐれた やわらかさ！
Test_Results03_05_01	オッ！\nイイカンジの やわらかさ！
Test_Results03_06_01	ホッホー！\nこれは かなりの やわらかさ！
Test_Results03_07_01	オオッ！スバラシイ！\nワタクシと おなじくらいのやわらかさ！
Test_Results03_07_02	{[0100]}さん…\nなかなかやりますね
Test_Results03_08_01	ナ、ナント！\nアンビリーバボ―！！
Test_Results03_08_02	このワタクシをこえる\nやわらかあたまとは…！
Test_Results03_08_03	あとで しばらく\nひとりにさせてください…
Test_Results03_09_01	ウヒャァ！\nしんじられない！！
Test_Results03_09_02	ワタクシの やわらかあたまを\nはるかにこえています…！
Test_Results04_01_01	それでは\n{color[ff1010ff]}あたま{r2[だんい]}段位{/r2}{color[000000ff]}をはっぴょうします！
Test_Results05_01_01	オメデトーございます！
Test_Results05_01_02	こちらが いまのアナタの\n{color[ff1010ff]}あたま{r2[だんい]}段位{/r2}{color[000000ff]}です！
Test_Results05_01_03	ここからが スタートです！\nいっしょに たかみをめざしましょう！
Test_Results05_02_01	こちらが こんかいの\n{color[ff1010ff]}あたま{r2[だんい]}段位{/r2}{color[000000ff]}です！
Test_Results05_03_01	キタ！！\nあたらしい {color[ff1010ff]}あたま{r2[だんい]}段位{/r2}{color[000000ff]}になりました！
Test_Results05_03_02	アナタの かのうせいは\nこれからも ムゲンダイです！
Test_Results05_04_01	ナ…ナ…ナント！\n{color[ff1010ff]}柔王（やわらかおう）{color[000000ff]}ですと！！！！！
Test_Results05_04_02	やわらかあたまをキワめた あかし…\nでんせつの あたま{r2[だんい]}段位{/r2}です…！
Test_Results05_04_03	{r2[じゅくせい]}塾生{/r2}に{color[ff1010ff]}{r2[やわらかおう]}柔王{/r2}{color[000000ff]}がいるなんて…\nワタクシ、ハナが たかいです！！
Test_Results05_05_01	すでにアナタは\n{r2[やわらかおう]}柔王{/r2}の{r2[だんい]}段位{/r2}をもっています
Test_Results05_05_02	{r2[やわらかおう]}柔王{/r2}がいることは\n{r2[とうじゅく]}当塾{/r2}のじまんです！
Test_Results05_05_03	これからも ベストきろくをめざして\nもみほぐしてください！
Test_Results06_01_01	では テストけっかを\nくわしく みてみましょう！
Test_Results07_ZZ_01	…と おもいましたが くわしくは\nテストになれてからにしましょう！
Test_Results07_00_01	まず！こんかいは\nとてもバランスがイイ！
Test_Results07_00_02	このままバランスよく ほぐすもよし！\nとくいジャンルをみつけて ほぐすもよし！
Test_Results07_cmm	まずは！
Test_Results07_01_01	イチバンよかった\nジャンルは {color[ff1010ff]}{r2[ちょっかん]}直感{/r2}{color[000000ff]}！
Test_Results07_01_02	ここぞというとき\nカンは たよりになるものです！
Test_Results07_02_01	イチバンよかった\nジャンルは {color[ff1010ff]}{r2[きおく]}記憶{/r2}{color[000000ff]}！
Test_Results07_02_02	トモダチのたんじょうびを おぼえたら\nにんきモノになれるかも！
Test_Results07_03_01	イチバンよかった\nジャンルは {color[ff1010ff]}{r2[ぶんせき]}分析{/r2}{color[000000ff]}！
Test_Results07_03_02	フクザツなことも、みかたをかえれば\nシンプルにみえてくる！
Test_Results07_04_01	イチバンよかった\nジャンルは {color[ff1010ff]}{r2[すうじ]}数字{/r2}{color[000000ff]}！
Test_Results07_04_02	{r2[すうじ]}数字{/r2}につよいと\nいろいろベンリです！
Test_Results07_05_01	イチバンよかった\nジャンルは {color[ff1010ff]}{r2[ちかく]}知覚{/r2}{color[000000ff]}！
Test_Results07_05_02	めにみえるものを\nせいかくにとらえることはタイセツ！
Test_Results08_cmm	さらに！
Test_Results08_01_01	{color[ff1010ff]}{r2[ちょっかん]}直感{/r2}{color[000000ff]}に のびしろがありますね！\nここが もみほぐしドコロ！
Test_Results08_02_01	{color[ff1010ff]}{r2[きおく]}記憶{/r2}{color[000000ff]}に のびしろがありますね！\nここが もみほぐしドコロ！
Test_Results08_03_01	{color[ff1010ff]}{r2[ぶんせき]}分析{/r2}{color[000000ff]}に のびしろがありますね！\nここが もみほぐしドコロ！
Test_Results08_04_01	{color[ff1010ff]}{r2[すうじ]}数字{/r2}{color[000000ff]}に のびしろがありますね！\nここが もみほぐしドコロ！
Test_Results08_05_01	{color[ff1010ff]}{r2[ちかく]}知覚{/r2}{color[000000ff]}に のびしろがありますね！\nここが もみほぐしドコロ！
Test_Results09_cmm	あとは…
Test_Results09_01_01	おちついて ミスをへらして\nせいかいを ふやしてみましょう！
Test_Results09_02_01	できるだけ すばやく\nこたえてみましょう！
Test_Results09_03_01	もっとおちついて ミスをへらせば\nさらにやわらか{r2[ど]}度{/r2}はアップするハズ！
Test_Results09_04_01	もっとすばやく せいかいできたら\nさらにやわらか{r2[ど]}度{/r2}はアップするハズ！
Test_Results09_05_01	ここから やわらか{r2[ど]}度{/r2}をのばすためには\nもんだいに{r2[しゅうちゅう]}集中{/r2}するのみ！
Test_Results09_05_02	めざせ！ゲンカイトッパ！
Test_Results10_cmn	さいごに！
Test_Results10_01_01	アナタのやわらか{r2[ど]}度{/r2}は\nまだまだ のびそうですよ！
Test_Results10_01_02	まずは いろんなストレッチで\nハイスコアをめざしましょう！
Test_Results10_02_01	もし ニガテなもんだいが\nテストに でたら…
Test_Results10_02_02	あたまのチカラをぬいて\nおちついて いきましょう♪
Test_Results10_03_01	いつもの アナタなら\nもうすこし いけたかも！？
Test_Results10_03_02	たまには あたまを やすめて\nリフレッシュしてみましょう！
Test_Results10_04_01	アナタのあたまは\nもっと やわらかいハズ！
Test_Results10_04_02	こういうときは なにもせず\nゆっくり やすむのがイチバン！
Test_Results10_05_01	テストのやわらか{r2[ど]}度{/r2}は\nイイかんじでした！
Test_Results10_05_02	いろんなストレッチをやって\nもっとたかみを めざしてみましょう！
Test_Results10_06_01	いまのアナタはストレッチをつめば\nもっとのびる！はず！
Test_Results10_06_02	ストレッチもテストも\nどんどんハイスコアを ねらいましょう！
Test_Results10_07_01	いつもの アナタなら\nもうすこし いけたかも！？
Test_Results10_07_02	たまには あたまを やすめて\nリフレッシュしてみましょう！
Test_Results10_08_01	こんかいは いつもの\nチョーシと ちがったようですね
Test_Results10_08_02	つかれたら まずは やすむ！\nワタクシ、いつでも まっていますよ！
Test_Results10_09_01	こんかいのテスト\nスバラシイ やわらかさです！
Test_Results10_09_02	このやわらかさなら\nストレッチの きろくも のびますよ！
Test_Results10_10_01	テストのやわらか{r2[ど]}度{/r2}\nかなりイイかんじです！
Test_Results10_10_02	これなら ストレッチで\nあたらしいメダルを ねらえるかも！
Test_Results10_11_01	イイかんじのやわらか{r2[ど]}度{/r2}でしたが\nアナタはもっと やわらかくなれるハズ！
Test_Results10_11_02	ストレッチもテストも\nどんどんハイスコアを ねらいましょう！
Test_Results10_12_01	ストレッチのきろくと くらべると\nまだまだ いけそうですね！
Test_Results10_12_02	テストでも もちまえの\nやわらかさを キタイしています！
Test_Results10_13_01	こんなに やわらかあたまとは\nおどろきました！
Test_Results10_13_02	ぜひ ストレッチで {r2[きん]}金{/r2}のハカリメダルを\nあつめてみてください！
Test_Results10_14_01	ストレッチの {r2[きん]}金{/r2}のハカリメダルは\nあつまってますか？
Test_Results10_14_02	アナタなら きっと\nあつめられるでしょう！
Test_Results10_15_01	いまのアナタは\nかなりの やわらかあたま！
Test_Results10_15_02	ストレッチもテストも コツをつかめば \nさらに のびるはずですよ！
Test_Results10_16_01	こんかいは ほぼ\nじつりょくどおりの けっかでした！
Test_Results10_16_02	ストレッチは かなりのやわらか{r2[ど]}度{/r2}！\nテストもキタイしています！
Test_Results10_17_01	テストのけっかをみますと…\nかなりの やわらかあたまです！
Test_Results10_17_02	ぜひ ストレッチでも\nあたまを もみほぐしてください！
Test_Results10_18_01	なんというポテンシャル！\nスバラシイ テストけっかでした！
Test_Results10_18_02	ストレッチで あたまを もみほぐして\nさらなる たかみを めざしてほしい！
Test_Results10_19_01	テストもストレッチも\nかなりの やわらか{r2[ど]}度{/r2}ですね！
Test_Results10_19_02	さらなる{r2[だんい]}段位{/r2}やメダルをめざすもヨシ！\nゴーストバトルするもヨシ！ですよ！
Test_Results10_20_01	テストも かなりのやわらか{r2[ど]}度{/r2}ですね！\nストレッチをつみかさねた けっかですね！
Test_Results10_20_02	このまま つみかさねたら\nどこまで やわらかくなるのでしょーか！
Test_Results10_21_01	テストは かなりのやわらか{r2[ど]}度{/r2}でしたが\nストレッチはほとんど やっていない…？
Test_Results10_21_02	もしや アナタ…\nかくれ やわらかあたま！？
Test_Results10_21_03	ぜひぜひ いろんな\nストレッチを やってみてください！
Test_Results10_21_04	{r2[きん]}金{/r2}のハカリメダルをあつめると\nなにかがおこるかも！？
Test_Results10_22_01	アナタのあたまの\nやわらかさならば…
Test_Results10_22_02	ストレッチで {r2[きん]}金{/r2}のハカリメダルが\nザクザクとれそう！
Test_Results10_22_03	じつは あのメダル\nワタクシのてづくりなのです！
Test_Results10_23_01	じつに スバラシイ\nテストのけっかでした！
Test_Results10_23_02	つみかさねてきた\nストレッチの タマモノですね！！
Test_Results10_24_01	テストもストレッチも\nじつに スバラシイ！！
Test_Results10_24_02	{[0100]}さん！\nアナタは{r2[じゅくせい]}塾生{/r2}のカガミです！！
Test_Results11_01_01	それでは…
Test_Results11_01_01_01	やわらか{r2[ど]}度{/r2}をもとに\n{color[ff1010ff]}あたまタイプ{color[000000ff]}をはっぴょうします！
Test_Results11_01_02	こんかいの\nあたまタイプはコチラ！
Event_Birthday_01	…オヤ？\nもしかすると きょうは…
Event_Birthday_02	なーんて！ ハッピーバースデー！\n{[0100]}さん！！
Event_Birthday_03	これから ますます\nやわらかあたまで まいりましょう！
Event_Birthday_04	これからも すえなが～く！\nヨロシク おねがいしますね！
Event_Comp_Outfits_01	オオーッ！ついに！\nさいごの いしょうをゲット！！
Event_Comp_Outfits_02	{color[ff1010ff]}すべての いしょう{color[000000ff]} コンプリート！\nオメデトーございます！！！
Event_Comp_Outfits_03	やわらかあたま{r2[じゅく]}塾{/r2}で\nアナタにあえてヨカッタ！ありがとう！
Event_Comp_Greets_01	ナント！\nさいごの あいさつを ひらめきましたね！
Event_Comp_Greets_02	{color[ff1010ff]}すべての あいさつ{color[000000ff]} コンプリート！\nオメデトーございます！！！
Event_Comp_Greets_03	こんなに ひらめくなんて…\nやわらかあたますぎて ウラヤマシイ！
Battle_Giveup_01	ゴーストのきろくは\nここまで！
Battle_Giveup_02	あいてのゴーストが\nギブアップしました！
Startup_Talk_01_01	ハイ！ハイ！\nドーモ ドーモ！
Startup_Talk_01_02	ようこそ！\nやわらかあたま{r2[じゅく]}塾{/r2}へ！
Startup_Talk_01_03	ワタクシ {r2[じゅくちょう]}塾長{/r2}の\n{color[ff1010ff]}ハカリ{color[000000ff]}ともうします
Startup_Talk_01_04	さいきん、あたま\nカタくなっていませんか？
Startup_Talk_01_05	{r2[とうじゅく]}当塾{/r2}は カタイあたまを もみほぐす\nさまざまなもんだいを よういしています
Startup_Talk_01_05_02	サァ！いっしょに\nあたまのストレッチをはじめましょう！
Startup_Talk_01_06	さっそく{r2[じゅくせいとうろく]}塾生登録{/r2}しますので\nアナタのことをおしえてください
Startup_Talk_01_07	まずは\n{color[ff1010ff]}ねんれい{color[000000ff]}を おしえてください！
Startup_Talk_09_01	つづいて アナタの\n{color[ff1010ff]}スタイル{color[000000ff]}をおしえてください！
Startup_Talk_09_02	あとで\nかえることもできますよ
Startup_Talk_03_01	それでは アナタの\n{color[ff1010ff]}しょくぎょう{color[000000ff]}を おしえてください
Startup_Talk_03_02	ホントのしょくぎょうに ちかいものを\nえらんでくださいね
Startup_Talk_02_01	つぎに！ アナタの\n{color[ff1010ff]}キャッチフレーズ{color[000000ff]}を おしえてください！
Startup_Talk_02_02	あとで かえられますので\nいまはテキトーに えらんでみてください！
Startup_Talk_04_01	さいごに！ {r2[とうじゅく]}当塾{/r2}の\n{color[ff1010ff]}いしょう{color[000000ff]}に きがえてください！
Startup_Talk_04_02	コチラも あとから かえられますので\nおきがるにドーゾ！
Startup_Talk_06_01	アナタみたいなかたを まってました！\nあ、そうそう…
Startup_Talk_06_02	ちいさいおこさまには\n{color[ff1010ff]}かんたんサポート{color[000000ff]}をオススメします！
Startup_Talk_07_01	それから！\n{color[ff1010ff]}オンライン{r2[きのう]}機能{/r2}{color[000000ff]}のごあんないです！
Startup_Talk_07_02	{color[ff1010ff]}ゴーストバトル{color[000000ff]}や{color[ff1010ff]}ランキング{color[000000ff]}で\nきそいあいましょう！
Startup_Talk_05_01	ようこそ！\n{[0100]}さん！
Startup_Talk_05_02	これで{r2[じゅくせいとうろく]}塾生登録{/r2}はオシマイ！
Startup_Talk_05_03	それでは！\nやわらかあたま{r2[じゅく]}塾{/r2}をはじめましょう！
Startup_Talk_08_01	それでは\nまず はじめに…
Startup_Talk_08_02	{color[ff1010ff]}ストレッチ{color[000000ff]}で\nかる～く あたまを ほぐしてみましょう！
Startup_Talk_Str_01	ジャジャーン！\nこちらが{r2[とうじゅく]}当塾{/r2}じまんの{color[ff1010ff]}ストレッチ{color[000000ff]}！
Startup_Talk_Str_02	さいしょは\n{color[ff1010ff]}{r2[ちょっかん]}直感{/r2}{color[000000ff]}のジャンルがオススメです！
Startup_Talk_GameSelect_01	{color[ff1010ff]}えあわせモグラ{color[000000ff]}は\nいかがでしょ？
Startup_Talk_Game_01	{color[ff1010ff]}ボタン{color[000000ff]}と{color[ff1010ff]}タッチ{color[000000ff]}\nどちらでも あそべますよ！
Startup_Talk_Finish_01	はじめてのやわらかあたま{r2[じゅく]}塾{/r2}、\nいかがでしたか？
Startup_Talk_Finish_02	アナタのやわらかあたま{r2[みち]}道{/r2}は\nはじまったばかり！
Startup_Talk_Finish_03	ぞんぶんに もみほぐしてください！\nめざせ！ チョーやわらかあたま！
Startup_Talk_Gst_01	ゴーストバトルへようこそ！\n{[0100]}さん！
Startup_Talk_Gst_02	{color[ff1010ff]}ゴースト{color[000000ff]}とはなにかと\nもうしますと…
Startup_Talk_Gst_03	だれかが {color[ff1010ff]}ストレッチ{color[000000ff]}や{color[ff1010ff]}テスト{color[000000ff]}で\nもんだいを といている ようすが…
Startup_Talk_Gst_04	そっくり そのまま\n{color[ff1010ff]}きろく{color[000000ff]}されたものなのです！
Startup_Talk_Gst_05	そしてなんと！\nゴーストは きろくなので…
Startup_Talk_Gst_06	{color[ff1010ff]}おなじじかんに あそんでいなくても{color[000000ff]}\nだれかと たいせんできるのです！
Startup_Talk_Gst_07	サァ！\nバトルのあいてを えらんでください！
Startup_Talk_Gst_Wld_01	{r2[せかい]}世界{/r2}のゴーストとのバトルでは\n{color[ff1010ff]}やわらか{r2[せかい]}世界{/r2}ランキング{color[000000ff]}がわかります！
Startup_Talk_Gst_Wld_02	バトルするほど あいてのゴーストも\nつよくなってくるでしょう！
Startup_Talk_Gst_Wld_03	サァ！ \nバトルするゴーストをえらんでください！
Startup_Talk_Avt_01	いしょう や かみがた をかえて\nイメチェンしましょう！
Startup_Talk_Avt_02	いしょうは ストレッチなどで\nコインをためてゲット！
Startup_Talk_Cfg_01	ここは じぶんのスタイルや\nプロフィールをかえられますよ
Test_Infomation_01	５つのジャンルの もんだいで\nあたまの やわらか{r2[ど]}度{/r2}をハカリます！
Tips_Start	オホン！\nここで やわらかマメちしきを ひとつ…
Tips_End	いじょう！\nやわらかマメちしきでした！
Tips_01_01	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル{color[000000ff]}をあつめると\nなにかが おこる…
Tips_01_02	みちのりはタイヘンですが\nチャレンジしてみてください！
Tips_02_01	{r2[きん]}金{/r2}と{r2[ぎん]}銀{/r2}のメダルは\nそれぞれ{color[ff1010ff]}３しゅるい{color[000000ff]}あります！
Tips_02_02	おなじいろのメダルでも\n★が おおいほど スゴイのです！
Tips_03_01	コインを{color[ff1010ff]}10まい {color[000000ff]}ゲットしたら\n{color[ff1010ff]}いしょう{color[000000ff]}をプレゼントします！
Tips_03_02	なにがでるかは おたのしみ！\nかぶりものや アクセサリーもありますよ！
Tips_04_01	{color[ff1010ff]}いしょう{color[000000ff]}はぜんぶで\n300いじょう あります！
Tips_04_02	たくさんあつめて おきにいりの\nくみあわせを みつけてくださいね♪
Tips_05_01	{color[ff1010ff]}すばやく{color[000000ff]} せいかい すればするほど\nやわらか{r2[ど]}度{/r2}は おおきくアップします
Tips_05_02	とにかく すばやく せいかいする！\nコレがポイントです！
Tips_06_01	{color[ff1010ff]}ムズカシイ{color[000000ff]}もんだいに せいかいするほど\nやわらか{r2[ど]}度{/r2}は おおきくアップします
Tips_06_02	もんだいが レベルアップしたら\nそれはむしろ チャンスですよ！
Tips_07_01	ゴーストバトルのメニューに かいてある\nアナタの{color[ff1010ff]}ゴーストID{color[000000ff]}は ごぞんじですか？
Tips_07_02	IDには アナタの{color[ff1010ff]}ベストきろくのゴースト{color[000000ff]}が\nほぞんされています。
Tips_07_03	{color[ff1010ff]}ゴーストID{color[000000ff]}を ひとにおしえてみましょう！\nフレンドじゃないひとともバトルできますよ！
Tips_08_01	{color[ff1010ff]}パーティ{color[000000ff]}では もんだいの\n{color[ff1010ff]}なんいど{color[000000ff]}が えらべます！
Tips_08_02	{r2[ちょう]}超{/r2}カンタンなもんだいから\n{r2[ちょう]}超{/r2}ムズカシイもんだいまで{color[ff1010ff]}６だんかい{color[000000ff]}
Tips_08_03	ひとりひとりの じつりょくにあわせて\nじゆうに えらぶことができるのです！
Tips_08_04	{color[ff1010ff]}なんいど{color[000000ff]}をかえれば ちいさなおこさまから\nおとなのかたまで いっしょにあそべますよ！
Tips_09_01	たまには{color[ff1010ff]}タイトルがめん{color[000000ff]}で\nたちどまってみてください
Tips_09_02	ナント！ワタクシのつぶやきが\nきけるではありませんか！
Tips_09_03	タメになるかどうかは…\nワカリマセン！
Tips_10_01	ア！ちょっとトイレ！
Tips_10_02	…なんて もんだいのとちゅうで\n{color[ff1010ff]}ちゅうだん{color[000000ff]}したくなること ありますよね？
Tips_10_03	そんなときは {color[ff1010ff]}＋ボタン{color[000000ff]}か {color[ff1010ff]}－ボタン{color[000000ff]}をおすと\nメニューがめんに もどることができます
Tips_10_04	なにごとも\nあせりはキンモツですからね
Tips_11_01	ゴーストバトルで\n{color[ff1010ff]}つよい{color[000000ff]}ゴーストに かったら…
Tips_11_02	ボーナスコインをプレゼントします♪\nぜひ チャレンジしてください！
Tips_12_01	パーティを{color[ff1010ff]}{r2[ふたり]}２人{/r2}{color[000000ff]}であそぶとき\n「{color[ff1010ff]}タッチで{color[000000ff]}」をえらぶと…
Tips_12_02	ナント！\nむかいあって タイセンできるのです！
Tips_13_01	ゴーストバトルのまえにかわす\n{color[ff1010ff]}あいさつ{color[000000ff]}ですが
Tips_13_02	バトルで かったとき、アナタは\nあたらしい{color[ff1010ff]}あいさつ{color[000000ff]}を ひらめくでしょう！
Tips_13_03	どんな{color[ff1010ff]}あいさつ{color[000000ff]}を ひらめくのか？\nそれは そのときの おたのしみ！
Tips_14_01	ゴーストバトルでつかえる\n{color[ff1010ff]}あいさつ{color[000000ff]}は ぜんぶで 40いじょう！
Tips_14_02	あたまを もみほぐしたひとほど\nボキャブラリーは ふえるのです！
Tips_15_01	ゴーストバトルの「{color[ff1010ff]}ゴーストIDでさがす{color[000000ff]}」で\n{color[ff1010ff]}じぶんのゴーストID{color[000000ff]}を にゅうりょくすると…
Tips_15_02	ナント！じぶんのベストきろくの\nゴーストと バトルできちゃいます！
Tips_16_01	{color[ff1010ff]}テスト{color[000000ff]}でわかる あたま{r2[だんい]}段位{/r2}には\nじつは マボロシの{r2[だんい]}段位{/r2}があるのです…
Tips_16_02	その{r2[な]}名{/r2}は「{color[ff1010ff]}柔王(やわらかおう）{color[000000ff]}」！
Tips_16_03	これには つもるハナシもございますが\nまたのきかいに しましょうかね…
TitleGreet_01_01	んんっ… ウーン……
TitleGreet_01_02	おはようございます
TitleGreet_02_01	おはようございます！
TitleGreet_03_01	こんにちは！
TitleGreet_04_01	こんにちは！
TitleGreet_05_01	こんばんは！
TitleGreet_06_01	んんんん… フゥ…
TitleGreet_06_02	こんばんは
TitleTimeTalk_00_01	ドーモ ドーモ\nチョーシは いかがですか
TitleTimeTalk_00_02	ワタクシは\nそれなりでございますよ
TitleTimeTalk_00_03	ハイ！\nそれじゃ はじめましょうかね
TitleTimeTalk_01_01	あたらしい１{r2[にち]}日{/r2}が\nはじまりました
TitleTimeTalk_01_02	きょうが アナタにとって\nスバラシイ{r2[ひ]}日{/r2}で ありますように…
TitleTimeTalk_01_03	ハイ！\nそれじゃ はじめましょうね
TitleTimeTalk_02_01	はやおきですね\nワタクシも{r2[あさ]}朝{/r2}は つよいほうです！
TitleTimeTalk_02_02	ハイ！ハイ！ハイ！
TitleTimeTalk_02_03	ゼッコーチョーですっ！
TitleTimeTalk_02_04	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_03_01	はやおきですね\nワタクシも{r2[あさ]}朝{/r2}は つよいほうです！
TitleTimeTalk_03_02	ハイ！ハイ！ハイ！
TitleTimeTalk_03_03	…あ”ッ！\nこ  コシがッ！！
TitleTimeTalk_03_04	ア”イ”！\nそれじゃ はじめましょう……
TitleTimeTalk_04_01	あさのくうきはフレッシュで\nとても おいしいですね！
TitleTimeTalk_04_02	ズバリ！ おニクをやいてるときの\nくうきのつぎくらいの おいしさです！
TitleTimeTalk_04_03	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_05_01	ハイハイハイハイ！\nハイハイハイハイ！
TitleTimeTalk_05_02	ふう…\nエッ なにをしてるのかって？
TitleTimeTalk_05_03	ワタクシのあさのルーティン\n「やわらかたいそう」です！
TitleTimeTalk_05_04	ハイ！\nそれじゃ はじめましょうかね
TitleTimeTalk_06_01	ラララ～♪\nフゥフフ～ン♪
TitleTimeTalk_06_02	…と おもわず くちずさんじゃうような\nメロディが {r2[とうじゅく]}当塾{/r2}には あふれてます！
TitleTimeTalk_06_03	たまには あたまをやすめて\nミミをかたむけてみてください！
TitleTimeTalk_06_04	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_07_01	じつはワタクシ、みだしなみには\nきをつかっていまして…
TitleTimeTalk_07_02	じまんは このヒゲ♪\nセットに１じかん かけてます！
TitleTimeTalk_07_03	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_08_01	かつて ちきゅう が\nたんじょうしたころ…
TitleTimeTalk_08_02	{r2[なん]}何{/r2}{r2[ねん]}年{/r2}ものあいだ\nずーっと{r2[あめ]}雨{/r2}がふってたそうです
TitleTimeTalk_08_03	ビックリですよね？
TitleTimeTalk_08_04	ワタクシたちが\nあたりまえと かんじてることは…
TitleTimeTalk_08_05	じつは たまたま\nそうなってるだけ なんですねぇ
TitleTimeTalk_08_06	{r2[なん]}何{/r2}{r2[ねん]}年{/r2}ものあいだ\nずーっと{r2[あめ]}雨{/r2}…
TitleTimeTalk_08_07	いったい いつセンタクすれば\nいいんでしょう…
TitleTimeTalk_08_08	ハイ！\nそれじゃ はじめましょう
TitleTimeTalk_09_01	だれかと やわらかあたま、\nきそってみましたか？
TitleTimeTalk_09_02	かつてワタクシは やわらかあたまで\nむかうところテキなし！ だったのですが…
TitleTimeTalk_09_03	そんなワタクシを コテンパンにした\nでんせつのツワモノがいました
TitleTimeTalk_09_04	そのあたまのやわらかさは まさに\n{r2[おう]}王{/r2}とよぶに ふさわしい…！
TitleTimeTalk_09_05	そのひとのために よういされた\nあたま{r2[だんい]}段位{/r2}があります
TitleTimeTalk_09_06	柔王(やわらかおう）
TitleTimeTalk_09_07	これがでんせつのあたま{r2[だんい]}段位{/r2}、\n{r2[やわらかおう]}柔王{/r2}のユライです
TitleTimeTalk_09_08	では  はじめましょうか
TitleTimeTalk_10_01	おひるごはんは たべましたか？\nワタクシは これからです
TitleTimeTalk_10_02	ラーララーラララー\nきょうは なにをたべようかナァ～？
TitleTimeTalk_10_03	ウフフフ\nソーゾーするだけで ウキウキします！
TitleTimeTalk_10_04	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_11_01	おひるごはんは たべましたか？\nワタクシはもう たべました
TitleTimeTalk_11_02	つまり！すでに ワタクシのキョーミは\n「おやつ」にそそがれているのです！
TitleTimeTalk_11_03	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_12_01	ワタクシ、じつは\nアツさに よわいのです
TitleTimeTalk_12_02	ですから もっぱら\n{r2[じゅく]}塾{/r2}のなかで すごしております
TitleTimeTalk_12_03	このスーツを きてると\nアツさで ムレちゃって…
TitleTimeTalk_12_04	おっと…\nこのことはナイショでした
TitleTimeTalk_12_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_13_01	きょうも……\nしっかり……
TitleTimeTalk_13_02	あたま……を……
TitleTimeTalk_13_03	……………………\n……………………
TitleTimeTalk_13_04	………ハッ！
TitleTimeTalk_13_05	しっ しつれいしましたっ！\nウッカリ いねむりしてました
TitleTimeTalk_13_06	ハイ！\nそれじゃ はじめましょうかね
TitleTimeTalk_14_01	ランチで おなかイッパイになると\nつい ねむくなりませんか？
TitleTimeTalk_14_02	そんなときはっ！
TitleTimeTalk_14_03	ひとめをきにせず\nフニャフニャおどりまくるっ！
TitleTimeTalk_14_04	…と、いうわけにも\nなかなかいきませんので…
TitleTimeTalk_14_05	やはり スイミンは\nきちんと とる！
TitleTimeTalk_14_06	これがやわらかあたま{r2[じゅく]}塾{/r2}の\nキホンです！
TitleTimeTalk_14_07	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_15_01	じつはワタクシ こうみえて\nヘコみやすいタイプなんですが…
TitleTimeTalk_15_02	ホメられたら それはそれで\nすぐチョーシのってしまって…
TitleTimeTalk_15_03	けっきょく\nヘコんでしまうのです
TitleTimeTalk_15_03_02	…やわらかいだけに
TitleTimeTalk_15_04	…ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_16_01	{r2[ゆうき]}勇気{/r2}には 2つのしゅるいがあると\nいわれています
TitleTimeTalk_16_02	する{r2[ゆうき]}勇気{/r2} と しない{r2[ゆうき]}勇気{/r2}
TitleTimeTalk_16_03	ときに{r2[ひと]}人{/r2}は どちらをえらぶべきか\nケツダンを せまられます
TitleTimeTalk_16_04	じつはワタクシ、いま\nダイエット{r2[ちゅう]}中{/r2}なんですが…
