ActorType\ArmorHead.msbt
Armor_015_Head_Name	Hylian Hood
Demo122_0_Text019	Father, are you well, I wonder...
Demo122_0_Text020	I want you to know...\x0e\0\x04\0I have always followed my heart.
Demo122_0_Text021	I'm sorry I made you worry...
Demo122_0_Text022	I wish I could see you again...
Demo122_0_Text023	Even just once more...
DemoMsg\Demo123_0.msbt
Demo123_0_Text018	 
Demo123_0_Text021	Unfortunately, I cannot appease\nNaboris on my own.
Demo123_0_Text022	I have no choice but to entrust the rest to you.
Demo123_0_Text020	Don't let us down, Link.
DemoMsg\Demo125_0.msbt
Demo125_0_Text021	Nabooru...
Demo125_0_Text022	Legend of the Gerudo, celebrated over ages.
Demo125_0_Text013	And you, who were named to honor her—\nyou are a legend as well. \x0e\0\x04\0Isn't that right, Naboris?
Demo125_0_Text014	The bitter essence of defeat from a\ncentury ago still sits upon my tongue...\x0e\0\x04\0But that is now in the past...
Demo125_0_Text015	It was written that Calamity Ganon\nonce adopted the form of a Gerudo.
Demo125_0_Text016	And that...\x0e\0\x04\0will make this victory all the more satisfying.
Demo125_0_Text017	I like that. \x0e\0\x04\0Now I can take this personally.
Demo125_0_Text018	Once we've established a lock on that thing...\x0e\0\x04\0It will be up to Link to keep Ganon occupied\nuntil the moment we unleash our strike.
Demo125_0_Text019	That moment...\x0e\0\x04\0is going to be so delicious.
DemoMsg\Demo126_0.msbt
Demo126_0_Text024	Hero of Hyrule, chosen by the sword \nthat seals the darkness...
Demo126_0_Text025	You have shown unflinching bravery and\nskill in the face of darkness and adversity.
Demo126_0_Text026	And have proven yourself worthy of\nthe blessings of the Goddess Hylia.
Demo126_0_Text027	Whether skyward bound, adrift in time, or steeped\nin the glowing embers of twilight...
Demo126_0_Text028	The sacred blade is forever\nbound to the soul of the Hero.
Demo126_0_Text029	We pray for your protection...and we hope that—\x0e\0\x04\0that the two of you will grow stronger\ntogether, as one.
Demo126_0_Text030	 
Demo126_0_Text037	Gee, this is uplifting...
Demo126_0_Text038	She's making it sound like we already lost.
Demo126_0_Text015	Wasn't this your idea?
Demo126_0_Text039	You're the one who wanted to designate the\nappointed knight with all the ceremonial pomp,\ngrandeur, and nonsense we could muster!
Demo126_0_Text004	And if you ask me, the whole thing does\nseem to be overkill.\x0e\0\x04\0I think I'm on the same page as the princess\nregarding...this boy.
Demo126_0_Text006	Oh, give it a rest.\x0e\0\x04\0That boy is a living reminder of her own failures.
Demo126_0_Text007	Well, at least that's how the princess sees him.
Demo126_0_Text031	Forged in the long-distant past, the sword\nthat seals the darkness...
Demo126_0_Text032	Guardian of Hyrule, ancient steel, forever\nbound to the hero.
Demo126_0_Text033	In the name of Goddess Hylia, I bless you\nand your chosen hero.
Demo126_0_Text034	Over the seas of time and distance, when we need\nthe golden power of the Goddess...
Demo126_0_Text035	Our hope rests in you, to be forever by the\nhero's side.
Demo126_0_Text036	Again we pray...that the two of you will grow\nstronger...and be together as one.
DemoMsg\Demo127_0.msbt
Demo127_0_Text012	From here, we'll make our way to Goron City.
Demo127_0_Text013	Then, we'll need some adjustments on that\nDivine Beast so Daruk can manage it as easily\nas possible.
Demo127_0_Text014	He's figured out how to get it to move...\x0e\0\x04\0However, it's apparent that we still have\nmuch more to learn.
Demo127_0_Text015	But to think, that Divine Beast was actually\nbuilt by people...
Demo127_0_Text016	That means we should be able to understand how it\nworks and how to use it to our advantage.
Demo127_0_Text011	These Divine Beasts...so much we don't know... \x0e\0\x04\0But if we want to turn back the Calamity Ganon, \nthey're our best hope.
Demo127_0_Text006	Tell me the truth...\x0e\0\x04\0How proficient are you right now,\nwielding that sword on your back?
Demo127_0_Text007	Legend says that an ancient voice\nresonates inside it. \x0e\0\x04\0Can you hear it yet...hero?
DemoMsg\Demo128_0.msbt
Demo128_0_Text013	\x0e\0\x04\0Nothing. Just as I thought.
Demo128_0_Text014	Hmm...\x0e\0\x04\0It appears that this structure was designed to be\nexclusively accessed by the sword's chosen one.
Demo128_0_Text015	But designs can always be worked\naround, at least I hope.
Demo128_0_Text016	How do I get inside...?\x0e\0\x04\0I need to activate it somehow.
Demo128_0_Text008	 
Demo128_0_Text009	 
Demo128_0_Text000	I thought I made it clear that I am not\nin need of an escort.
Demo128_0_Text001	It seems I'm the only one with a mind of my own. \x0e\0\x04\0I, the person in question, am fine, regardless\nof the king's orders.
Demo128_0_Text002	Return to the castle. \x0e\0\x04\0And tell that to my father, please.
Demo128_0_Text003	 
Demo128_0_Text005	And stop following me!
DemoMsg\Demo129_0.msbt
Demo129_0_Text016	 
Demo129_0_Text017	 
Demo129_0_Text018	 
Demo129_0_Text007	 
Demo129_0_Text008	 
Demo129_0_Text009	 
Demo129_0_Text014	 
Demo129_0_Text010	 
Demo129_0_Text011	 
DemoMsg\Demo130_0.msbt
Demo130_0_Text010	That cut doesn't look too bad, actually. \x0e\0\x04\0You're fine for now.
Demo130_0_Text011	But you know, there's a fine line between\ncourage and recklessness.
Demo130_0_Text012	As brave as you are, that does not\nmake you immortal.
Demo130_0_Text003	It seems that, not only is the frequency of\nthese types of attacks on the rise...\x0e\0\x04\0but the scale of beasts we are facing\nis intensifying as well.
Demo130_0_Text004	I fear that—\x0e\0\x04\0I fear that this is an omen which\nportends the return of Calamity Ganon.
Demo130_0_Text005	And, if that's the case, I'm ready\nto expect the worst. \x0e\0\x04\0We'll need to make preparations\nas soon as possible.
DemoMsg\Demo131_0.msbt
Demo131_0_Text000	There's one!\x0e\0\x04\0Oh! And another!
Demo131_0_Text001	The flowers we have in Hyrule aren't just beautiful...\x0e\0\x04\0They're also quite useful as ingredients for a\nvariety of things.
Demo131_0_Text016	...Ah...
Demo131_0_Text017	This one here is called the silent princess.\x0e\0\x04\0It's a rare, endangered species.
Demo131_0_Text018	Despite our efforts, we can't get them to grow\ndomestically yet. \x0e\0\x04\0The princess can only thrive out here in the wild.
Demo131_0_Text019	All that we can hope...\x0e\0\x04\0is that the species will be strong enough\nto prosper, on its own.
Demo131_0_Text020	 
Demo131_0_Text021	Is that what I think it is?! Look at this!
Demo131_0_Text022	I don't believe it, but I actually caught one! \x0e\0\x04\0This delicacy is known to have very, very potent\neffects under the proper circumstances. \x0e\0\x04\0Ta-da!
Demo131_0_Text023	Research from the castle shows ingesting one of\nthese can actually augment certain abilities.
Demo131_0_Text024	We wouldn't be in a controlled environment out here,\nand with your level of physical fitness...\x0e\0\x04\0you'd be a perfect candidate for the study!
Demo131_0_Text025	Go on!
Demo131_0_Text026	Uh-mm……
Demo131_0_Text027	Taste it!
Demo131_0_Text028	Err……
DemoMsg\Demo132_0.msbt
Demo132_0_Text017	"Be sure to take the time to soothe your mount...\x0e\0\x04\0That's the only way it will know how you truly feel."\x0e\0\x04\0Your advice was quite helpful—thank you. \x0e\0\x04\0This little one and I are getting along quite well now.
Demo132_0_Text018	At first, I wasn't sure if I should outfit him with all of\nthe royal gear. \x0e\0\x04\0I thought maybe he should have to earn it first.\x0e\0\x04\0But it works! He wears it like a true natural.
Demo132_0_Text019	I'm trying to be a bit more empathetic. \x0e\0\x04\0Benefit of the doubt, you know?
Demo132_0_Text020	See that mountain? \x0e\0\x04\0That's Mt. Lanayru. \x0e\0\x04\0It takes its name from the Goddess of Wisdom.
Demo132_0_Text026	Lanayru's decree is very specific. \x0e\0\x04\0It says: "No one is allowed, under the age\nof seventeen...\x0e\0\x04\0For only the wise are permitted a place\nupon the mountain."
Demo132_0_Text022	I've prayed at the Spring of Courage\nand at the Spring of Power, \x0e\0\x04\0yet neither awoke anything inside me.\x0e\0\x04\0But maybe up there...\x0e\0\x04\0Perhaps the Spring of Wisdom, the final of the three,\nwill be the one.
Demo132_0_Text023	To be honest, I have no real reason to think\nthat will be the case. \x0e\0\x04\0But there's always the chance that the\nnext moment will change everything.
Demo132_0_Text024	Tomorrow...is my seventeenth birthday.
Demo132_0_Text025	So then I shall go...\x0e\0\x04\0and make my way up the mountain.
DemoMsg\Demo133_0.msbt
Demo133_0_Text000	Hoo……haah……yaaah……
Demo133_0_Text001	I doubt this will let up anytime soon...
Demo133_0_Text014	Hoo……haah……yaaah……
Demo133_0_Text008	Your path seems to mirror your father's. \x0e\0\x04\0You've dedicated yourself to becoming\na knight, as well.
Demo133_0_Text015	やっ……ふっ……
Demo133_0_Text009	Your commitment to the training necessary\nto fulfill your goal is really quite admirable.\x0e\0\x04\0I see now why you would be the chosen one.
Demo133_0_Text016	ふーっ……
Demo133_0_Text010	What if...
Demo133_0_Text005	One day...\x0e\0\x04\0You realized that you just weren't\nmeant to be a fighter.
Demo133_0_Text006	Yet the only thing people ever said...\x0e\0\x04\0was that you were born into a family\nof the royal guard, \x0e\0\x04\0and so no matter what you thought,\nyou had to become a knight.
Demo133_0_Text012	If that was the only thing that you were ever told...
Demo133_0_Text013	I wonder, then...\x0e\0\x04\0would you have chosen a different path?
DemoMsg\Demo134_0.msbt
Demo134_0_Text016	Incredible...\x0e\0\x04\0We're at a point now where we can\nactually control them.
Demo134_0_Text002	At the current rate, we'll soon know all we need\nto know about the Guardians and the Divine Beasts!\x0e\0\x04\0And should Ganon ever show itself again,\nwe'll be well positioned to defend ourselves. 
Demo134_0_Text003	What are you doing out here, Zelda?
Demo134_0_Text021	 
Demo134_0_Text022	I...\x0e\0\x04\0I was assessing the results of the\nexperiment with the Guardians.
Demo134_0_Text023	 \x0e\0\x04\0These pieces of ancient technology could be\nquite useful against the—
Demo134_0_Text020	I know that. \x0e\0\x04\0They are essential to Hyrule's future, and our\nresearch demands that we keep a close eye on them.\x0e\0\x04\0However, as the princess, you currently have a\ncrucial unfulfilled responsibility to your kingdom.
Demo134_0_Text006	 
Demo134_0_Text007	Let me ask you once more... \x0e\0\x04\0When will you stop treating this as some\nsort of childish game?
Demo134_0_Text024	I'm doing everything I can.
Demo134_0_Text025	I'll have you know that I just recently returned from\nthe Spring of Courage where I offered every ounce of\nmy prayers to the Goddess—
Demo134_0_Text009	And now you are here wasting your time. \x0e\0\x04\0You need to be dedicating every moment\nyou have to your training.\x0e\0\x04\0You must be single-minded in unlocking the\npower that will seal Calamity Ganon away.
Demo134_0_Text010	I already am. \x0e\0\x04\0Don't you see—there's nothing more I can do!\x0e\0\x04\0My hope is... My hope is that you—\x0e\0\x04\0That you'll allow me to contribute here\nin whatever way I can.
Demo134_0_Text026	No more excuses, Zelda! \x0e\0\x04\0Stop running away from your duty.
Demo134_0_Text027	As the king, I forbid you to have anything to do with\nthese machines from this moment on
Demo134_0_Text028	and command you to focus on your training.
Demo134_0_Text029	Do you know how the gossip mongers\nrefer to you? \x0e\0\x04\0They are out there at this moment whispering\namongst themselves...
Demo134_0_Text030	that you are the heir to a throne of nothing...
Demo134_0_Text031	nothing but failure.
Demo134_0_Text013	...
Demo134_0_Text019	It is woven into your destiny\nthat you prove them wrong.\x0e\0\x04\0Do you understand?
Demo134_0_Text015	Yes.\x0e\0\x04\0I understand.
DemoMsg\Demo135_0.msbt
Demo135_0_Text000	I come seeking help...\x0e\0\x04\0regarding this power that has been\nhanded down over time...
Demo135_0_Text001	Prayer will awaken my power to seal Ganon away...
Demo135_0_Text002	Or so I've been told all my life...
Demo135_0_Text003	 
Demo135_0_Text004	And yet...
Demo135_0_Text005	Grandmother heard them—the voices from\nthe spirit realm. \x0e\0\x04\0And Mother said her own power would\ndevelop within me.
Demo135_0_Text006	But I don't hear...or feel anything!
Demo135_0_Text007	Father has told me time and time again... \x0e\0\x04\0He always says, "Quit wasting your time\nplaying at being a scholar!"
Demo135_0_Text019	Curse you...
Demo135_0_Text014	I've spent every day of my life dedicated to praying!
Demo135_0_Text023	I've pleaded to the spirits tied to the ancient gods...
Demo135_0_Text016	And still the holy powers have proven\ndeaf to my devotion.
Demo135_0_Text012	Please just tell me...
Demo135_0_Text013	What is it...? \x0e\0\x04\0What's wrong with me?!
DemoMsg\Demo136_0.msbt
Demo136_0_Text033	Well? Don't keep us in suspense.\x0e\0\x04\0How'd everything go up there on the mountain?
Demo136_0_Text034	...
Demo136_0_Text035	So you didn't feel anything? \x0e\0\x04\0No power at all?
Demo136_0_Text036	I'm sorry, no.
Demo136_0_Text037	Then let's move on.
Demo136_0_Text038	You've done all you could.\x0e\0\x04\0Feeling sorry for yourself won't be of any help.
Demo136_0_Text039	After all, it's not like your last shot was up there\non Mt. Lanayru. \x0e\0\x04\0Anything could finally spark the power to seal\nGanon away.\x0e\0\x04\0We just have to keep looking for that...thing.
Demo136_0_Text040	urh...
Demo136_0_Text041	That's kind of you. \x0e\0\x04\0Thank you.
Demo136_0_Text042	If I may...
Demo136_0_Text043	?
Demo136_0_Text044	I thought you...\x0e\0\x04\0Well, I'm not sure how to put this into words...
Demo136_0_Text045	I'm actually quite embarrassed to say it.\x0e\0\x04\0But I was thinking about what I do when I'm healing. \x0e\0\x04\0You know, what usually goes through my mind...\x0e\0\x04\0It helps when I think—when I think about—
Demo136_0_Text046	 
Demo136_0_Text013	 
Demo136_0_Text014	 
Demo136_0_Text015	 
Demo136_0_Text016	 
Demo136_0_Text017	 
Demo136_0_Text018	 
Demo136_0_Text019	 
Demo136_0_Text020	 
Demo136_0_Text021	 
Demo136_0_Text022	It's here.
Demo136_0_Text023	This is it, then...
Demo136_0_Text024	Are you sure?
Demo136_0_Text025	Positive.
Demo136_0_Text047	It's awake...\x0e\0\x04\0Ganon!
Demo136_0_Text048	Ah...ah... *gasp*
Demo136_0_Text049	Let's stop wasting time! \x0e\0\x04\0We're gonna need everything we got to take\nthat thing down!
Demo136_0_Text051	Now Champions! To your Divine Beasts!\x0e\0\x04\0Show that swirling swine who's boss!\x0e\0\x04\0Link will need to meet Ganon head on when we\nattack! This needs to be a unified assault!
Demo136_0_Text052	Little guy! You get to Hyrule Castle.
Demo136_0_Text053	 
Demo136_0_Text054	You can count on us for support. \x0e\0\x04\0But it's up to you to pound Ganon into oblivion!
Demo136_0_Text055	Come. We should go. \x0e\0\x04\0We need to get you someplace safe.
Demo136_0_Text059	No!
Demo136_0_Text060	I am not a child anymore! I may not be\nmuch use on the battlefield... \x0e\0\x04\0But there must... There must be\nsomething I can do to help!
DemoMsg\Demo137_0.msbt
Demo137_0_Text000	 
Demo137_0_Text001	 
Demo137_0_Text002	 
Demo137_0_Text036	 
Demo137_0_Text037	 
Demo137_0_Text004	 
Demo137_0_Text005	How...
Demo137_0_Text006	How did it come to this?
Demo137_0_Text021	The Divine Beasts...\x0e\0\x04\0The Guardians...
Demo137_0_Text022	They've all turned against us...
Demo137_0_Text009	It was...
Demo137_0_Text010	Calamity Ganon.\x0e\0\x04\0It turned them all against us!
Demo137_0_Text023	And everyone—Mipha, Urbosa, Revali and Daruk...\x0e\0\x04\0They're all trapped inside those things...
Demo137_0_Text027	It's all my fault!
Demo137_0_Text028	Our only hope for defeating Ganon is lost all because\nI couldn't harness this cursed power!
Demo137_0_Text029	Everything—everything I've done up until now...\x0e\0\x04\0It was all for nothing...
Demo137_0_Text030	So I really am just a failure!
Demo137_0_Text031	All my friends...\x0e\0\x04\0the entire kingdom...\x0e\0\x04\0my father most of all...
Demo137_0_Text032	I tried, and I failed them all...
Demo137_0_Text033	I've left them...all to die.
Demo137_0_Text019	 
Demo137_0_Text020	 
DemoMsg\Demo138_0.msbt
Demo138_0_Text000	Haaah Haaah Haah Haa...
Demo138_0_Text001	Link, save yourself! Go!
Demo138_0_Text002	I'll be fine! Don't worry about me!
Demo138_0_Text003	Run!
Demo138_0_Text004	Uwaaaah!!
Demo138_0_Text005	 
Demo138_0_Text006	 
Demo138_0_Text039	 
Demo138_0_Text040	NO!
Demo138_0_Text008	Was...\x0e\0\x04\0Was that...?
Demo138_0_Text009	The power...
Demo138_0_Text033	Uuughh...!
Demo138_0_Text032	Hah!
Demo138_0_Text010	No, no...
Demo138_0_Text011	Link! Get up!
Demo138_0_Text012	Cough! Cough!
Demo138_0_Text013	 
Demo138_0_Text014	You're going to be just fine...
Demo138_0_Text015	Ooohh...\nUghh...
Demo138_0_Text016	Haaah...?
Demo138_0_Text017	Aaaahhhh!
Demo138_0_Text018	...Ooooh...oooh!...Oooogh...!!
Demo138_0_Text019	 
Demo138_0_Text030	The sword...?
Demo138_0_Text031	So he can...\x0e\0\x04\0He can still be saved?
Demo138_0_Text022	Princess!
Demo138_0_Text023	 
Demo138_0_Text024	Princess! Are you all right?!
Demo138_0_Text034	Take Link to the Shrine of Resurrection.
Demo138_0_Text035	If you don't get him there immediately,\nwe are going to lose him forever!
Demo138_0_Text036	Is that clear?!
Demo138_0_Text028	So make haste and go!
Demo138_0_Text029	His life is now in your hands!
DemoMsg\Demo139_0.msbt
Demo139_0_Text011	We'll make our way to Zora's Domain.
Demo139_0_Text012	Divine Beast Vah Ruta...looks like it\nstopped working. \x0e\0\x04\0Let's investigate the situation.
Demo139_0_Text002	Mipha's father...\x0e\0\x04\0I believe he would like to hear more about her.\nThe least we can do is visit him and offer him\nsome closure.
Demo139_0_Text003	Although Ganon is gone for now, there is still\nso much more for us to do.\x0e\0\x04\0And so many painful memories that we must bear.
Demo139_0_Text004	I believe in my heart, that if all of us work together...\x0e\0\x04\0we can restore Hyrule to its former glory.
Demo139_0_Text005	Perhaps...even beyond. \x0e\0\x04\0But it all must start with us.
Demo139_0_Text006	Let's be off.
Demo139_0_Text007	I can no longer hear the voice inside the sword.
Demo139_0_Text008	I suppose it would make sense if my power had\ndwindled over the past 100 years...
Demo139_0_Text009	I'm surprised to admit it...\x0e\0\x04\0But I can accept that.
Demo139_0_Text010	 
DemoMsg\Demo142_0.msbt
Demo142_0_Text000	{s[080]}...{s[100]}\x0e\0\x04\0{s[080]}Link...{s[100]}\x0e\0\x04\0Link...\x0e\0\x04\0I'm sorry...but my power isn't strong enough...
Demo142_0_Text001	I can't hold him...
DemoMsg\Demo143_0.msbt
Demo143_0_Text000	Now my moment has finally come. \x0e\0\x04\0Brace yourself, Ganon, for the sting of my revenge!
DemoMsg\Demo143_1.msbt
Demo143_1_Text000	Let's go, little guy!\x0e\0\x04\0Now! Open up wide, Ganon!
DemoMsg\Demo143_2.msbt
Demo143_2_Text001	A hundred years in the making...\x0e\0\x04\0Hold on, Princess. Our moment has arrived!
DemoMsg\Demo143_3.msbt
Demo143_3_Text001	This will be our final opportunity.\x0e\0\x04\0We will not fail!
DemoMsg\Demo146_0.msbt
Demo146_0_Text001	{s[080]}...\x0e\0\x04\0Ganon...{s[100]}
Demo146_0_Text007	Ganon...\x0e\0\x04\0Ganon was born out of a dark past. He is a pure\nembodiment of the ancient evil that is reborn time\nand time again...
Demo146_0_Text008	He has given up on reincarnation and assumed his\npure, enraged form. \n\nIf set free upon our world, the destruction will\nbe unlike anything ever seen before.
Demo146_0_Text017	I entrust you with the Bow of Light—a powerful\nweapon in the face of evil.
Demo146_0_Text018	Link...you may not yet be at a point where you have\nfully recovered your power or all of your memories...
Demo146_0_Text019	But courage need not be remembered...\x0e\0\x04\0For it is never forgotten.
DemoMsg\Demo146_1.msbt
Demo146_1_Text001	{s[080]}...\x0e\0\x04\0Ganon...{s[100]}
Demo146_1_Text007	Ganon...\x0e\0\x04\0Ganon was born out of a dark past. He is a pure\nembodiment of the ancient evil that is reborn time\nand time again...
Demo146_1_Text008	He has given up on reincarnation and assumed his\npure, enraged form. \n\nIf set free upon our world, the destruction will\nbe unlike anything ever seen before.
Demo146_1_Text017	I entrust you with the Bow of Light—a powerful\nweapon in the face of evil.
Demo146_1_Text018	You may not yet be at a point where you have fully\nrecovered your power or all of your memories...
Demo146_1_Text019	But courage need not be remembered, for it is\nnever forgotten.
DemoMsg\Demo148_0.msbt
Demo148_0_Text000	I've been keeping watch over you all this time... \x0e\0\x04\0I've witnessed your struggles to return to us\nas well as your trials in battle.
Demo148_0_Text001	I always thought—no, I always believed—\x0e\0\x04\0that you would find a way to defeat Ganon. \x0e\0\x04\0I never lost faith in you over these many years...
Demo148_0_Text004	Thank you, Link...
Demo148_0_Text005	...the hero of Hyrule.
Demo148_0_Text003	May I ask...\x0e\0\x04\0Do you really remember me?
DemoMsg\Demo150_0.msbt
Demo150_0_Text019	Yeah!\x0e\0\x04\0I think I'm finally getting the hang of\ncontrolling this Divine Beast!
Demo150_0_Text024	I tell you what...sure is a blast piloting a toy\nlike this around.
Demo150_0_Text025	Let those other Champions know, they better eat\ntheir gravel if they wanna keep up with Daruk.
Demo150_0_Text002	Speaking of which, can you believe this view?\x0e\0\x04\0Just look at all those delectable rocks sprinkled\non those mountains...\x0e\0\x04\0Mighty tasty. 
Demo150_0_Text003	I may not know a whole lot about this\nCalamity Ganon thing...\x0e\0\x04\0but mark my words, I'll protect this land\nof ours to the death!
Demo150_0_Text004	Right, little guy?
Demo150_0_Text005	Yow!
Demo150_0_Text014	Hey, by the way...congrats on becoming\nthe princess's appointed knight.\x0e\0\x04\0That's a really big deal! Protecting\nthe king's daughter...\x0e\0\x04\0No pressure!
Demo150_0_Text026	Seriously, though. The princess is a strong\npersonality—so strong she can't quite see the range\nfor the peaks. \x0e\0\x04\0Remember that, and you'll be fine.
Demo150_0_Text027	 
Demo150_0_Text018	huh?
Demo150_0_Text008	What the—?!
Demo150_0_Text009	 
Demo150_0_Text010	All right, so what was I saying...
Demo150_0_Text015	That was a little strange...\x0e\0\x04\0As far as I know, Death Mountain\nhas been quiet for decades.
Demo150_0_Text021	But if the mountain is shivering enough to send\ndown a bunch of boulders that size, then—
Demo150_0_Text022	Never mind. Forget I said anything.
DemoMsg\Demo151_0.msbt
Demo151_0_Text014	Uh...
Demo151_0_Text000	Impressive, I know.\x0e\0\x04\0Very few can achieve a mastery of the sky.
Demo151_0_Text017	Yet I have made an art of creating an updraft\nthat allows me to soar.
Demo151_0_Text018	It's considered to be quite the masterpiece of aerial\ntechniques, even among the Rito.
Demo151_0_Text002	With proper utilization of my superior skills,\nI see no reason why we couldn't easily\ndispense with Ganon.
Demo151_0_Text019	Now then, my ability to explore the firmament\nis certainly of note...
Demo151_0_Text020	But let's not—pardon me for being so blunt—\x0e\0\x04\0let's not forget the fact that I am the most\nskilled archer of all the Rito.
Demo151_0_Text013	Yet despite these truths, it seems that I have been\ntapped to merely assist you.\x0e\0\x04\0All because you happen to have that little darkness-\nsealing sword on your back.
Demo151_0_Text011	I mean, it's just...asinine.
Demo151_0_Text006	Unless...you think you can prove me wrong? \x0e\0\x04\0Maybe we should just settle this one on one?
Demo151_0_Text007	But where...? Oh, I know!\x0e\0\x04\0How about up there?!
Demo151_0_Text012	Oh, you must pardon me. \x0e\0\x04\0I forgot you have no way of making it\nup to that Divine Beast on your own!
Demo151_0_Text015	Uh!
Demo151_0_Text009	Good luck sealing the darkness!
DemoMsg\Demo152_0.msbt
Demo152_0_Text000	I was thinking...\x0e\0\x04\0this reminds me of the time we first met.
Demo152_0_Text023	You were just a reckless child...\x0e\0\x04\0always getting yourself hurt at every turn.
Demo152_0_Text024	Every time, I would heal you. \x0e\0\x04\0Just as I'm doing right now.
Demo152_0_Text021	I thought it was funny how, being a Hylian,\x0e\0\x04\0you looked grown-up so much faster than I did.
Demo152_0_Text025	I was...
Demo152_0_Text026	I was always willing to heal your wounds.\x0e\0\x04\0Even back then.
Demo152_0_Text019	So if this Calamity Ganon does, in fact, return,\nwhat can we really do? \x0e\0\x04\0We just don't seem to know much about\nwhat we'll be up against.
Demo152_0_Text012	But know this: that no matter how difficult\nthis battle might get...\x0e\0\x04\0if you—if anyone ever tries to do you harm...
Demo152_0_Text027	Then I will heal you.
Demo152_0_Text028	No matter when, or how bad the wound...
Demo152_0_Text014	I hope you know...\x0e\0\x04\0that I will always protect you.
Demo152_0_Text020	Once this whole thing is over,\x0e\0\x04\0maybe things can go back to how they used\nto be when we were young.
Demo152_0_Text022	You know...\x0e\0\x04\0Perhaps we could spend some time together.
DemoMsg\Demo153_0.msbt
Demo153_0_Text000	..... .....
Demo153_0_Text039	Ah, well...you certainly got here fast. \x0e\0\x04\0I should have expected as much, from the princess's\nown appointed knight.
Demo153_0_Text002	She was out on a survey all day today. \x0e\0\x04\0Still as the sands now...
Demo153_0_Text003	So...? Spill it, boy. \x0e\0\x04\0Have the two of you been getting along all right?
Demo153_0_Text040	It's OK...\x0e\0\x04\0I know.\x0e\0\x04\0Your silence speaks volumes.
Demo153_0_Text005	She gets frustrated every time she looks up and sees\nyou carrying that sword on your back.
Demo153_0_Text006	It makes her feel like a failure when it comes\nto her own destiny.
Demo153_0_Text007	Don't worry, it's not like you carry blame\nin any of this.
Demo153_0_Text024	It's unfortunate. \x0e\0\x04\0She's put in more than enough time.
Demo153_0_Text043	Ever since she was a young girl, she's gone through\nrigorous daily routines to show her dedication...
Demo153_0_Text044	She once passed out in the freezing waters trying to\naccess this sealing power.
Demo153_0_Text026	And she has nothing to show for it... \x0e\0\x04\0That's the motivation driving her research. \nI'd be doing the same thing.
Demo153_0_Text027	She really is quite...special.
Demo153_0_Text028	You be sure to protect her with your life.
Demo153_0_Text029	It's quite the honor.
Demo153_0_Text013	The night brings a chill...\x0e\0\x04\0It's probably time we take her in.
Demo153_0_Text014	...Hn...?
Demo153_0_Text015	Or...
Demo153_0_Text031	Grah!
Demo153_0_Text042	Urbosa! What was that?! \x0e\0\x04\0Did you feel that?!
Demo153_0_Text033	Wait, what—how did you—\x0e\0\x04\0what are you doing here?!
Demo153_0_Text037	 
Demo153_0_Text041	Wh-what's so funny?
Demo153_0_Text038	 
DemoMsg\Demo154_1.msbt
Demo154_1_Text033	 \x0e\0\x04\0Well done there, young one! \x0e\0\x04\0Now, then... The time has come\nto show you who I truly am. 
Demo154_1_Text034	I was King Rhoam Bosphoramus Hyrule.\x0e\0\x04\0I was...the last leader of Hyrule.\x0e\0\x04\0A kingdom which no longer exists.
Demo154_1_Text040	Uuh...
Demo154_1_Text035	The Great Calamity was merciless... \x0e\0\x04\0It devastated everything in its path, lo,\na century ago. \x0e\0\x04\0It was then that my life was taken away from me. \x0e\0\x04\0And since that time, here I have remained,\nin spirit form.
Demo154_1_Text038	I did not think it wise to overwhelm you while\nyour memory was still fragile. \x0e\0\x04\0So rather than that, I thought it best\nto assume a temporary form.
Demo154_1_Text039	Forgive me.
Demo154_1_Text037	I think you are now ready. \x0e\0\x04\0Ready to hear what happened 100 years ago.
DemoMsg\Demo154_2.msbt
Demo154_2_Text054	That princess was my own daughter...\x0e\0\x04\0My dear Zelda.
Demo154_2_Text055	And the courageous knight who protected her\nright up to the very end... \x0e\0\x04\0That knight was none other than you, Link.
Demo154_2_Text056	You fought valiantly when your fate took an\nunfortunate turn.\x0e\0\x04\0And then, you were taken to the Shrine of\nResurrection. Here you now stand revitalized, 100\nyears later.
Demo154_2_Text057	The words of guidance you have been hearing since\nyour awakening are from Princess Zelda herself.\x0e\0\x04\0Even now, as she works to restrain Ganon from\nwithin Hyrule Castle, she calls out for your help.
Demo154_2_Text058	However, my daughter's power will\nsoon be exhausted. \x0e\0\x04\0Once that happens, Ganon will freely\nregenerate himself and nothing will stop\nhim from consuming our land. 
Demo154_2_Text059	Considering that I could not save my own kingdom,\x0e\0\x04\0I have no right to ask this of you, Link... 
Demo154_2_Text065	But I am powerless here...
Demo154_2_Text066	You must save her...my daughter. \x0e\0\x04\0And do whatever it takes to annihilate Ganon.
Demo154_2_Text061	Somehow, Ganon has maintained control over all\nfour Divine Beasts,\x0e\0\x04\0as well as those Guardians swarming around\nHyrule Castle.
Demo154_2_Text062	I believe it would be quite reckless for you to head\ndirectly to the castle at this point.\x0e\0\x04\0I suggest...that you make your way east, out to\none of the villages in the wilderness.
Demo154_2_Text063	Follow the road out to Kakariko Village.\x0e\0\x04\0There you will find the elder, Impa. \x0e\0\x04\0She will tell you more about the path that lies ahead.
