ActorType\ArmorHead.msbt
Armor_015_Head_Name	海利亚兜帽
Armor_098_Upper_Name	海利亚士兵铠甲
Armor_098_Upper_Desc	海利亚士兵装备的铠甲。\n由金属板加工而成，高防御力是其特点。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_097_Upper_Name	海利亚士兵铠甲
Armor_097_Upper_Desc	海利亚士兵装备的铠甲。\n由金属板加工而成，高防御力是其特点。\n通过大精灵的力量，能使防御力提高3级。
Armor_096_Upper_Name	海利亚士兵铠甲
Armor_096_Upper_Desc	海利亚士兵装备的铠甲。\n由金属板加工而成，高防御力是其特点。\n通过大精灵的力量，能使防御力提高2级。
Armor_095_Upper_Name	海利亚士兵铠甲
Armor_095_Upper_Desc	海利亚士兵装备的铠甲。\n由金属板加工而成，高防御力是其特点。\n通过大精灵的力量，能使防御力提高1级。
Armor_020_Upper_Name	海利亚士兵铠甲
Armor_020_Upper_Desc	海利亚士兵装备的铠甲。\n由金属板加工而成，高防御力是其特点。\n从坚固的装甲上可以看出工匠的高超技术。
Armor_044_Upper_Name	防寒服
Armor_044_Upper_Desc	生活在山里的人们爱穿的保暖服。\n用质地结实的布料制成的衣服，\n以及厚厚的手套可以防止身体的热量溜走。
Armor_073_Upper_Name	利特的羽绒服
Armor_073_Upper_Desc	用利特族换下来的羽毛制成的衣服。\n里面重叠着好几层羽毛，保暖性强。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_072_Upper_Name	利特的羽绒服
Armor_072_Upper_Desc	用利特族换下来的羽毛制成的衣服。\n里面重叠着好几层羽毛，保暖性强。\n通过大精灵的力量，能使防御力提高3级。
Armor_071_Upper_Name	利特的羽绒服
Armor_071_Upper_Desc	用利特族换下来的羽毛制成的衣服。\n里面重叠着好几层羽毛，保暖性强。\n通过大精灵的力量，能使防御力提高2级。
Armor_036_Upper_Name	利特的羽绒服
Armor_036_Upper_Desc	用利特族换下来的羽毛制成的衣服。\n里面重叠着好几层羽毛，保暖性强。\n通过大精灵的力量，能使防御力提高1级。
Armor_009_Upper_Name	利特的羽绒服
Armor_009_Upper_Desc	为了去访问塔邦挞和海布拉的海利亚人，\n而用利特族换下来的羽毛制成的衣服。\n里面重叠着好几层羽毛，保暖性强。
Armor_067_Upper_Name	热沙护肩
Armor_067_Upper_Desc	在格鲁德秘密俱乐部里售卖的男性用防具。\n因蓝宝石的加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_066_Upper_Name	热沙护肩
Armor_066_Upper_Desc	在格鲁德秘密俱乐部里售卖的男性用防具。\n因蓝宝石的加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_065_Upper_Name	热沙护肩
Armor_065_Upper_Desc	在格鲁德秘密俱乐部里售卖的男性用防具。\n因蓝宝石的加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_040_Upper_Name	热沙护肩
Armor_040_Upper_Desc	在格鲁德秘密俱乐部里售卖的男性用防具。\n因蓝宝石的加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_008_Upper_Name	热沙护肩
Armor_008_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的男性用防具。\n因蕴含冰之力量的蓝宝石加护，\n装备后，会发挥耐热效果。
Armor_053_Upper_Name	淑女服
Armor_053_Upper_Desc	格鲁德族女性所穿的衣服。\n透气时尚的设计，再加上格鲁德的\n传统工艺，使得它成为超人气精品。
Armor_106_Upper_Name	橡胶紧身服
Armor_106_Upper_Desc	由活用了古代技术的橡胶这种特殊材料制作而成。\n能够覆盖住身体，具有耐电性能。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_105_Upper_Name	橡胶紧身服
Armor_105_Upper_Desc	由活用了古代技术的橡胶这种特殊材料制作而成。\n能够覆盖住身体，具有耐电性能。\n通过大精灵的力量，能使防御力提高3级。
Armor_104_Upper_Name	橡胶紧身服
Armor_104_Upper_Desc	由活用了古代技术的橡胶这种特殊材料制作而成。\n能够覆盖住身体，具有耐电性能。\n通过大精灵的力量，能使防御力提高2级。
Armor_103_Upper_Name	橡胶紧身服
Armor_103_Upper_Desc	由活用了古代技术的橡胶这种特殊材料制作而成。\n能够覆盖住身体，具有耐电性能。\n通过大精灵的力量，能使防御力提高1级。
Armor_046_Upper_Name	橡胶紧身服
Armor_046_Upper_Desc	具有耐电性能的珍贵紧身服。\n由活用了古代技术的橡胶这种现代没有的\n特殊材料制作而成。能够覆盖住身体。
Armor_076_Upper_Name	耐火石铠
Armor_076_Upper_Desc	鼓隆族为人类打造的铠甲。\n由石头加工而成，具有耐火性能。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_075_Upper_Name	耐火石铠
Armor_075_Upper_Desc	鼓隆族为人类打造的铠甲。\n由石头加工而成，具有耐火性能。\n通过大精灵的力量，能使防御力提高3级。
Armor_074_Upper_Name	耐火石铠
Armor_074_Upper_Desc	鼓隆族为人类打造的铠甲。\n由石头加工而成，具有耐火性能。\n通过大精灵的力量，能使防御力提高2级。
Armor_037_Upper_Name	耐火石铠
Armor_037_Upper_Desc	鼓隆族为人类打造的铠甲。\n由石头加工而成，具有耐火性能。\n通过大精灵的力量，能使防御力提高1级。
Armor_011_Upper_Name	耐火石铠
Armor_011_Upper_Desc	鼓隆族为来到鼓隆城旅行的\n好奇人类所打造的铠甲。\n它由石头加工而成，具有耐火性能。
Armor_064_Upper_Name	卓拉铠甲
Armor_064_Upper_Desc	卓拉族的公主用心制作的防具。\n竟然可以攀瀑！\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_063_Upper_Name	卓拉铠甲
Armor_063_Upper_Desc	卓拉族的公主用心制作的防具。\n竟然可以攀瀑！\n通过大精灵的力量，能使防御力提高3级。
Armor_062_Upper_Name	卓拉铠甲
Armor_062_Upper_Desc	卓拉族的公主用心制作的防具。\n竟然可以攀瀑！\n通过大精灵的力量，能使防御力提高2级。
Armor_007_Upper_Name	卓拉铠甲
Armor_007_Upper_Desc	卓拉族的公主用心制作的防具。\n竟然可以攀瀑！\n通过大精灵的力量，能使防御力提高1级。
Armor_006_Upper_Name	卓拉铠甲
Armor_006_Upper_Desc	卓拉族的历代公主为自己\n将来的丈夫用心定制的铠甲。\n竟然可以攀瀑！
Armor_079_Upper_Name	潜行紧身服
Armor_079_Upper_Desc	使用能够抑制衣服摩擦声的材料，\n即使快速行动，也不会产生杂音的隐秘紧身服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_078_Upper_Name	潜行紧身服
Armor_078_Upper_Desc	使用能够抑制衣服摩擦声的材料，\n即使快速行动，也不会产生杂音的隐秘紧身服。\n通过大精灵的力量，能使防御力提高3级。
Armor_077_Upper_Name	潜行紧身服
Armor_077_Upper_Desc	使用能够抑制衣服摩擦声的材料，\n即使快速行动，也不会产生杂音的隐秘紧身服。\n通过大精灵的力量，能使防御力提高2级。
Armor_042_Upper_Name	潜行紧身服
Armor_042_Upper_Desc	使用能够抑制衣服摩擦声的材料，\n即使快速行动，也不会产生杂音的隐秘紧身服。\n通过大精灵的力量，能使防御力提高1级。
Armor_012_Upper_Name	潜行紧身服
Armor_012_Upper_Desc	希卡族留传下来的隐秘紧身服。\n使用能够抑制衣服摩擦声的材料，\n即使快速行动，也不会产生杂音。
Armor_086_Upper_Name	攀登护手
Armor_086_Upper_Desc	根据古代技术制成的护手，具有让指尖\n变得容易使劲的性能。可以轻松登崖。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_085_Upper_Name	攀登护手
Armor_085_Upper_Desc	根据古代技术制成的护手，具有让指尖\n变得容易使劲的性能。可以轻松登崖。\n通过大精灵的力量，能使防御力提高3级。
Armor_084_Upper_Name	攀登护手
Armor_084_Upper_Desc	根据古代技术制成的护手，具有让指尖\n变得容易使劲的性能。可以轻松登崖。\n通过大精灵的力量，能使防御力提高2级。
Armor_083_Upper_Name	攀登护手
Armor_083_Upper_Desc	根据古代技术制成的护手，具有让指尖\n变得容易使劲的性能。可以轻松登崖。\n通过大精灵的力量，能使防御力提高1级。
Armor_014_Upper_Name	攀登护手
Armor_014_Upper_Desc	使用古代技术制成的登墙用的护手。\n由于其具有能让指尖防滑，且容易使劲的性能，\n因此可以变得轻松登崖。
Armor_114_Upper_Name	蛮族服
Armor_114_Upper_Desc	战斗部族的服装，穿上后因刻在上面的特殊花纹，\n会激发斗志，增加攻击力。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_113_Upper_Name	蛮族服
Armor_113_Upper_Desc	战斗部族的服装，穿上后因刻在上面的特殊花纹，\n会激发斗志，增加攻击力。\n通过大精灵的力量，能使防御力提高3级。
Armor_112_Upper_Name	蛮族服
Armor_112_Upper_Desc	战斗部族的服装，穿上后因刻在上面的特殊花纹，\n会激发斗志，增加攻击力。\n通过大精灵的力量，能使防御力提高2级。
Armor_111_Upper_Name	蛮族服
Armor_111_Upper_Desc	战斗部族的服装，穿上后因刻在上面的特殊花纹，\n会激发斗志，增加攻击力。\n通过大精灵的力量，能使防御力提高1级。
Armor_048_Upper_Name	蛮族服
Armor_048_Upper_Desc	据说是很久以前以费罗尼地区为据点的\n战斗部族的服装。穿上后因刻在上面的特殊花纹，\n会激发斗志，增加攻击力。
Armor_229_Upper_Name	鬼神服
Armor_229_Upper_Desc	落月世界的勇者所拥有的服装。\n穿上后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_228_Upper_Name	鬼神服
Armor_228_Upper_Desc	落月世界的勇者所拥有的服装。\n穿上后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高3级。
Armor_227_Upper_Name	鬼神服
Armor_227_Upper_Desc	落月世界的勇者所拥有的服装。\n穿上后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高2级。
Armor_226_Upper_Name	鬼神服
Armor_226_Upper_Desc	落月世界的勇者所拥有的服装。\n穿上后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高1级。
Armor_225_Upper_Name	鬼神服
Armor_225_Upper_Desc	落月世界的勇者所拥有的服装。\n穿上后，身体里会涌出鬼神般的力量。
Armor_090_Upper_Name	夜光紧身服
Armor_090_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的紧身服。\n涂在上面的染料在黑暗中会浮现出骨骼形状。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_089_Upper_Name	夜光紧身服
Armor_089_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的紧身服。\n涂在上面的染料在黑暗中会浮现出骨骼形状。\n通过大精灵的力量，能使防御力提高3级。
Armor_088_Upper_Name	夜光紧身服
Armor_088_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的紧身服。\n涂在上面的染料在黑暗中会浮现出骨骼形状。\n通过大精灵的力量，能使防御力提高2级。
Armor_087_Upper_Name	夜光紧身服
Armor_087_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的紧身服。\n涂在上面的染料在黑暗中会浮现出骨骼形状。\n通过大精灵的力量，能使防御力提高1级。
Armor_017_Upper_Name	夜光紧身服
Armor_017_Upper_Desc	在格鲁德秘密俱乐部里秘密售卖的紧身服。\n上面涂有夜光石经研磨萃取后的特殊染料。\n在黑暗中会浮现出骨骼形状。
Armor_102_Upper_Name	古代兵装·上身铠
Armor_102_Upper_Desc	用守护者的零件加工而成的铠甲。\n可以减轻从古代兵器中受到的伤害。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_101_Upper_Name	古代兵装·上身铠
Armor_101_Upper_Desc	用守护者的零件加工而成的铠甲。\n可以减轻从古代兵器中受到的伤害。\n通过大精灵的力量，能使防御力提高3级。
Armor_100_Upper_Name	古代兵装·上身铠
Armor_100_Upper_Desc	用守护者的零件加工而成的铠甲。\n可以减轻从古代兵器中受到的伤害。\n通过大精灵的力量，能使防御力提高2级。
Armor_099_Upper_Name	古代兵装·上身铠
Armor_099_Upper_Desc	用守护者的零件加工而成的铠甲。\n可以减轻从古代兵器中受到的伤害。\n通过大精灵的力量，能使防御力提高1级。
Armor_021_Upper_Name	古代兵装·上身铠
Armor_021_Upper_Desc	采用古代希卡族的技术制成的特殊铠甲。\n由守护者的零件加工并装甲而成。\n可以减轻从古代兵器中受到的伤害。
Armor_160_Upper_Name	黑暗外衣
Armor_160_Upper_Desc	吉尔顿在怪物研究末期开发的黑暗服。\n和所谓的勇者身上穿的绿色衣服似是而非。
Armor_204_Upper_Name	时光之勇者服
Armor_204_Upper_Desc	据说是穿越时空而来的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_203_Upper_Name	时光之勇者服
Armor_203_Upper_Desc	据说是穿越时空而来的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_202_Upper_Name	时光之勇者服
Armor_202_Upper_Desc	据说是穿越时空而来的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_201_Upper_Name	时光之勇者服
Armor_201_Upper_Desc	据说是穿越时空而来的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_200_Upper_Name	时光之勇者服
Armor_200_Upper_Desc	据说是穿越时空而来的勇者所穿的绿色衣服。\n这个设计适合任何年龄段的人穿着。
Armor_209_Upper_Name	风之勇者服
Armor_209_Upper_Desc	据说是在大海上旅行的勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_208_Upper_Name	风之勇者服
Armor_208_Upper_Desc	据说是在大海上旅行的勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_207_Upper_Name	风之勇者服
Armor_207_Upper_Desc	据说是在大海上旅行的勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_206_Upper_Name	风之勇者服
Armor_206_Upper_Desc	据说是在大海上旅行的勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_205_Upper_Name	风之勇者服
Armor_205_Upper_Desc	据说是在大海上旅行的勇者爱穿的绿色衣服。\n传说这是祖母送给他的礼物。
Armor_214_Upper_Name	黄昏之勇者服
Armor_214_Upper_Desc	据说是和黄昏怪物战斗的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_213_Upper_Name	黄昏之勇者服
Armor_213_Upper_Desc	据说是和黄昏怪物战斗的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_212_Upper_Name	黄昏之勇者服
Armor_212_Upper_Desc	据说是和黄昏怪物战斗的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_211_Upper_Name	黄昏之勇者服
Armor_211_Upper_Desc	据说是和黄昏怪物战斗的勇者所穿的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_210_Upper_Name	黄昏之勇者服
Armor_210_Upper_Desc	据说是和黄昏怪物战斗的勇者所穿的绿色衣服。\n仔细看还沾有稍许狼毛。
Armor_219_Upper_Name	天空之勇者服
Armor_219_Upper_Desc	据说是乘着大鸟从空中\n出现的勇者经常穿着的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_218_Upper_Name	天空之勇者服
Armor_218_Upper_Desc	据说是乘着大鸟从空中\n出现的勇者经常穿着的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_217_Upper_Name	天空之勇者服
Armor_217_Upper_Desc	据说是乘着大鸟从空中\n出现的勇者经常穿着的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_216_Upper_Name	天空之勇者服
Armor_216_Upper_Desc	据说是乘着大鸟从空中\n出现的勇者经常穿着的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_215_Upper_Name	天空之勇者服
Armor_215_Upper_Desc	据说是乘着大鸟从空中\n出现的勇者经常穿着的绿色衣服。\n传说这是庆祝仪式的赠品。
Armor_234_Upper_Name	初始之勇者服
Armor_234_Upper_Desc	据说是古代勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_233_Upper_Name	初始之勇者服
Armor_233_Upper_Desc	据说是古代勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_232_Upper_Name	初始之勇者服
Armor_232_Upper_Desc	据说是古代勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_231_Upper_Name	初始之勇者服
Armor_231_Upper_Desc	据说是古代勇者爱穿的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_230_Upper_Name	初始之勇者服
Armor_230_Upper_Desc	据说是古代勇者爱穿的绿色衣服。\n虽然设计简单，但是一款具有传统感的精品。
Armor_061_Upper_Name	旷野之勇者服
Armor_061_Upper_Desc	据说是为旷野之旅的勇者量身定做的绿色衣服。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_060_Upper_Name	旷野之勇者服
Armor_060_Upper_Desc	据说是为旷野之旅的勇者量身定做的绿色衣服。\n通过大精灵的力量，能使防御力提高3级。
Armor_039_Upper_Name	旷野之勇者服
Armor_039_Upper_Desc	据说是为旷野之旅的勇者量身定做的绿色衣服。\n通过大精灵的力量，能使防御力提高2级。
Armor_035_Upper_Name	旷野之勇者服
Armor_035_Upper_Desc	据说是为旷野之旅的勇者量身定做的绿色衣服。\n通过大精灵的力量，能使防御力提高1级。
Armor_005_Upper_Name	旷野之勇者服
Armor_005_Upper_Desc	据说是为旷野之旅的勇者量身定做的绿色衣服。\n穿上后，尺寸非常合适。
Armor_170_Upper_Name	它的衬衫
Armor_170_Upper_Desc	“扩展票赠品”里的一件鲜红色衬衫，\n上面有“Nintendo Switch”标志。\n这样的罕见精品并非轻易就能得到。
Armor_174_Upper_Name	汀空的衣服
Armor_174_Upper_Desc	向往成为精灵的男子所爱穿的衣服。\n好像对于那个男子来说，绿色是精灵的象征。\n貌似这样的物品并非轻易就能得到。
Armor_171_Upper_Name	幻影铠甲
Armor_171_Upper_Desc	据说是以前甲胄怪物所戴的，\n连勇者都觉得毛骨悚然，令人害怕的厚实铠甲。\n这样的珍贵物品并非轻易就能得到。
Armor_175_Upper_Name	蓝色大虾衬衫
Armor_175_Upper_Desc	风之勇者在故乡的岛上所穿的衬衫。\n据说那位勇者能巧妙地驾驭风，往返于大海之上。\n貌似这样的物品并非轻易就能得到。
Armor_179_Upper_Name	近卫兵的衣服
Armor_179_Upper_Desc	被视为海拉鲁王国近卫兵正装的衣服。\n采用轻盈的材质，外观和实用性两者兼备。\n这样的珍品并非轻易就能得到。
Armor_180_Upper_Name	幻影盖侬铠甲
Armor_180_Upper_Desc	据说是以前大魔王以自己为原型\n制造出来的恶灵所穿的铠甲装束。\n这样的珍贵物品并非轻易就能得到。
Armor_185_Upper_Name	打捞员外衣
Armor_185_Upper_Desc	《联动：异度神剑２》\n以收集沉入云海的宝物为生的少年所必备的物品。\n这样的珍贵物品并非轻易就能得到。
ActorType\Bullet.msbt
NormalArrow_Name	木箭
NormalArrow_Desc	非常普通的箭。\n把结实的木头削尖后制成。
NormalArrow_Spec	无
NormalArrow_PictureBook	非常普通的箭。\n把结实的木头削尖后制成。
FireArrow_Name	火箭
FireArrow_Desc	封印了火之力量的箭。\n一旦击中就会碎裂，让周围燃烧起来。\n特别是对寒冷的物体，具有极大的威力。
FireArrow_Spec	因燃烧而增加伤害。
FireArrow_PictureBook	封印了火之力量的箭。\n一旦击中就会碎裂，让周围燃烧起来。\n特别是对寒冷的物体，具有极大的威力。
IceArrow_Name	冰箭
IceArrow_Desc	封印了冰之力量的箭。\n一旦击中就会碎裂，让周围冰冻起来。\n特别是对炎热的物体，具有极大的威力。
IceArrow_Spec	因冰冻而停止行动。
IceArrow_PictureBook	封印了冰之力量的箭。\n一旦击中就会碎裂，让周围冰冻起来。\n特别是对炎热的物体，具有极大的威力。
ElectricArrow_Name	电箭
ElectricArrow_Desc	封印了电之力量的箭。\n一旦击中就会碎裂，让周围触电。特别是\n对金属制和被水弄湿的物体具有极大的威力。
ElectricArrow_Spec	因电击而解除武装。
ElectricArrow_PictureBook	封印了电之力量的箭。\n一旦击中就会碎裂，让周围触电。特别是\n对金属制和被水弄湿的物体具有极大的威力。
BombArrow_A_Name	炸弹箭
BombArrow_A_Desc	为了对抗怪物而制作出来的强力箭。\n前端装入了炸药。会在着弹点发生爆炸，\n给周围造成巨大伤害。
BombArrow_A_Spec	因爆炸而造成巨大伤害。
BombArrow_A_PictureBook	为了对抗怪物而制作出来的强力箭。\n前端装入了炸药。会在着弹点发生爆炸，\n给周围造成巨大伤害。
AncientArrow_Name	古代兵装·箭
AncientArrow_Desc	把使用了古代技术的短剑状小刀转用于弓箭的\n武器。对于用古代的能量之力消灭敌人的\n守护者也会发挥很高的威力。
AncientArrow_Spec	因古代之力而造成特大伤害
AncientArrow_PictureBook	把使用了古代技术的短剑状小刀转用于弓箭的\n武器。对于用古代的能量之力消灭敌人的\n守护者也会发挥很高的威力。
BrightArrow_Name	光箭
BrightArrowTP_Name	光箭
ActorType\CapturedActor.msbt
BeeHome_Name	精力蜂的蜂蜜
BeeHome_Desc	从蜂巢中取出的蜂蜜营养丰富！\n由于其营养价值高，作为秘方加进料理中，\n会有回复精力槽的效果。
BeeHome_PictureBook	从蜂巢中取出的蜂蜜营养丰富！\n由于其营养价值高，作为秘方加进料理中，\n会有回复精力槽的效果。
Animal_Insect_F_Name	精灵
Animal_Insect_F_Desc	当你筋疲力尽时，它会从袋子里飞出，\n瞬间治愈你的伤口。\n和萤火虫不同，白天也会淡淡地闪耀着光。
Animal_Insect_F_PictureBook	当你筋疲力尽时，它会从袋子里飞出，\n瞬间治愈你的伤口。\n和萤火虫不同，白天也会淡淡地闪耀着光。
Animal_Insect_N_Name	冰冷凤蝶
Animal_Insect_N_Desc	一种神奇的蝴蝶，它的鳞粉可以使空气冷却。\n它融入雪中飘舞的姿态十分美丽。\n如果和怪物材料一起熬煮，就可以变成解暑药。
Animal_Insect_N_PictureBook	一种神奇的蝴蝶，它的鳞粉可以使空气冷却。\n它融入雪中飘舞的姿态十分美丽。\n如果和怪物材料一起熬煮，就可以变成解暑药。
Animal_Insect_Q_Name	暖暖凤蝶
Animal_Insect_Q_Desc	栖息在森林或平原等温暖地区的蝴蝶。\n如果将储存阳光的鳞粉\n和怪物材料一起熬煮，就可以变成暖身药。
Animal_Insect_Q_PictureBook	栖息在森林或平原等温暖地区的蝴蝶。\n如果将储存阳光的鳞粉\n和怪物材料一起熬煮，就可以变成暖身药。
Animal_Insect_R_Name	酥麻凤蝶
Animal_Insect_R_Desc	只有在下雨的时候才出现的珍贵蝴蝶。\n具有在体内器官产生绝缘成分的性质。\n熬煮成药后，可以耐受电击。
Animal_Insect_R_PictureBook	只有在下雨的时候才出现的珍贵蝴蝶。\n具有在体内器官产生绝缘成分的性质。\n熬煮成药后，可以耐受电击。
Animal_Insect_AB_Name	耐火凤蝶
Animal_Insect_AB_Desc	栖息在高温火山地带的珍贵蝴蝶。\n体内蕴藏着耐燃性高的体液，\n熬煮后制成的外敷药会发挥出耐火的效果。
Animal_Insect_AB_PictureBook	栖息在高温火山地带的珍贵蝴蝶。\n体内蕴藏着耐燃性高的体液，\n熬煮后制成的外敷药会发挥出耐火的效果。
Animal_Insect_C_Name	冰冷蜻蜓
Animal_Insect_C_Desc	喜欢树荫等凉爽地方的蜻蜓。\n据说蓝色通透的翅膀具有散热成分，\n熬煮后可以作为解暑药使用。
Animal_Insect_C_PictureBook	喜欢树荫等凉爽地方的蜻蜓。\n据说蓝色通透的翅膀具有散热成分，\n熬煮后可以作为解暑药使用。
Animal_Insect_T_Name	暖暖蜻蜓
Animal_Insect_T_Desc	翅膀前端有红色花纹特征的蜻蜓。\n上面具有发汗作用的成分。\n和怪物材料一起熬煮后，能够耐寒。
Animal_Insect_T_PictureBook	翅膀前端有红色花纹特征的蜻蜓。\n上面具有发汗作用的成分。\n和怪物材料一起熬煮后，能够耐寒。
Animal_Insect_I_Name	酥麻蜻蜓
Animal_Insect_I_Desc	只有在下雨的时候才出现的珍贵蜻蜓。\n长长的翅膀具有能将电流排出体外的特殊成分。\n做成药后，此功能可转化为提高耐电性。
Animal_Insect_I_PictureBook	只有在下雨的时候才出现的珍贵蜻蜓。\n长长的翅膀具有能将电流排出体外的特殊成分。\n做成药后，此功能可转化为提高耐电性。
Animal_Insect_H_Name	精力蚱蜢
Animal_Insect_H_Desc	为了觅食，拥有可以持续跳跃一整天的能量。\n储存在它体内的养分是\n成为恢复精力槽药的来源。
Animal_Insect_H_PictureBook	为了觅食，拥有可以持续跳跃一整天的能量。\n储存在它体内的养分是\n成为恢复精力槽药的来源。
Animal_Insect_G_Name	大剑独角仙
Animal_Insect_G_Desc	栖息在森林里的昆虫大王。大大的角用来\n熬煮成药后，据说可以增加肌肉的血流量，\n攻击力就会上升。
Animal_Insect_G_PictureBook	栖息在森林里的昆虫大王。大大的角用来\n熬煮成药后，据说可以增加肌肉的血流量，\n攻击力就会上升。
Animal_Insect_P_Name	铠甲独角仙
Animal_Insect_P_Desc	拥有铠甲般坚硬身体的独角仙。\n它壳中的成分熬煮成药后，\n可以强化躯干，提高防御力。
Animal_Insect_P_PictureBook	拥有铠甲般坚硬身体的独角仙。\n它壳中的成分熬煮成药后，\n可以强化躯干，提高防御力。
Animal_Insect_AA_Name	精力独角仙
Animal_Insect_AA_Desc	可以活上10年之久的珍贵独角仙。\n它的强大生命力做成药后，\n能够一下子回复精力槽，立竿见影。
Animal_Insect_AA_PictureBook	可以活上10年之久的珍贵独角仙。\n它的强大生命力做成药后，\n能够一下子回复精力槽，立竿见影。
Animal_Insect_E_Name	静静萤火虫
Animal_Insect_E_Desc	一到夜里就会淡淡发光的昆虫。\n据说体内的发光物质还有提高集中力的效果。\n做成药后，行动时不会发出声响。
Animal_Insect_E_PictureBook	一到夜里就会淡淡发光的昆虫。\n据说体内的发光物质还有提高集中力的效果。\n做成药后，行动时不会发出声响。
Animal_Insect_A_Name	速速蛙
Animal_Insect_A_Desc	敏捷地在水边跳来跳去的青蛙。\n它的肉中含有一种可增加敏捷性的物质，\n和怪物材料一起熬煮，会成为提高移动速度的药。
Animal_Insect_A_PictureBook	敏捷地在水边跳来跳去的青蛙。\n它的肉中含有一种可增加敏捷性的物质，\n和怪物材料一起熬煮，会成为提高移动速度的药。
Animal_Insect_B_Name	毅力蛙
Animal_Insect_B_Desc	只有在下雨的时候才出现的珍贵青蛙。\n肝脏里的成分有活跃新陈代谢的功效，\n做成药后，精力槽可以增长到超出上限。
Animal_Insect_B_PictureBook	只有在下雨的时候才出现的珍贵青蛙。\n肝脏里的成分有活跃新陈代谢的功效，\n做成药后，精力槽可以增长到超出上限。
Animal_Insect_S_Name	速速蜥
Animal_Insect_S_Desc	一种疾走如飞的蜥蜴，可以在草地和森林里看到。\n据说它的肉有增强脚部肌肉力量的效果。\n和怪物材料一起熬煮，会成为提高移动速度的药。
Animal_Insect_S_PictureBook	一种疾走如飞的蜥蜴，可以在草地和森林里看到。\n据说它的肉有增强脚部肌肉力量的效果。\n和怪物材料一起熬煮，会成为提高移动速度的药。
Animal_Insect_M_Name	生命蜥
Animal_Insect_M_Desc	一种罕见的蜥蜴，主要住在深邃的森林里。\n它吃的食物营养价值很高，生命力十分顽强。\n如果做成药材，可以大幅提高心心的最大值。
Animal_Insect_M_PictureBook	一种罕见的蜥蜴，主要住在深邃的森林里。\n它吃的食物营养价值很高，生命力十分顽强。\n如果做成药材，可以大幅提高心心的最大值。
Animal_Insect_X_Name	耐火蜥
Animal_Insect_X_Desc	只在奥尔汀地区生存的特殊蜥蜴。\n鳞片上含有大量的耐火成分。\n和怪物材料一起熬煮后，可以变成耐火药。
