AbilityList.msbt
$TownAbilityListAttackText	攻擊力
Text_Amiibo_AlreadyUsed	已透過此amiibo{color[ff4d2fff]}獲得過{color[000000ff]}道具。{color[ff4d2fff]}\n通過關卡{color[000000ff]}後，\n即可再度使用。
Text_Amiibo_AlreadyUsed_InArena	已透過此amiibo{color[ff4d2fff]}獲得過{color[000000ff]}道具。{color[ff4d2fff]}\n\n{color[000000ff]}在參加中的大會獲得{color[ff4d2fff]}優勝{color[000000ff]}，\n或是在落敗後選擇{color[ff4d2fff]}「從頭重新開始」{color[000000ff]}，\n即可再度使用。
Text_Amiibo_NotAllowedMode	amiibo可以在關卡\n或小鎮中使用。
Text_Amiibo_NotAllowedOther	目前{color[ff4d2fff]}無法使用{color[000000ff]}amiibo。
Text_Amiibo_ErrorNfcDeviceNotFound	{color[ff4d2fff]}找不到{color[000000ff]}可讀取\namiibo的控制器。
Text_Amiibo_ErrorOther	發生錯誤。
Text_RetryCourseCar	要{color[ff4d2fff]}重試{color[000000ff]}此項競賽嗎？\n\n任務及道具將會{color[ff4d2fff]}返回{color[000000ff]}\n競賽開始前的狀態。
Text_RetryCourseCoaster	要{color[ff4d2fff]}重試{color[000000ff]}雲霄飛車嗎？\n\n任務及道具將會{color[ff4d2fff]}返回{color[000000ff]}\n乘坐雲霄飛車前的狀態。
Text_RetryCourseCoasterEstory	要{color[ff4d2fff]}重試{color[000000ff]}雲霄飛車嗎？\n\n道具將會{color[ff4d2fff]}返回{color[000000ff]}搭乘\n雲霄飛車前的狀態。
Text_RetryCourseBossRush	要從與魔王戰鬥後的時間點{color[ff4d2fff]}重試{color[000000ff]}嗎？\n\n任務及道具將會{color[ff4d2fff]}返回{color[000000ff]}\n與魔王戰鬥後的狀態。
Text_RetryCourseGlider	要{color[ff4d2fff]}重試{color[000000ff]}拱門塞滿嘴的區域嗎？\n\n任務及道具將會{color[ff4d2fff]}返回{color[000000ff]}\n變成拱門塞滿嘴前的狀態。
Text_RetryCoursePowerfulWind	要從被風吹走前的時間點{color[ff4d2fff]}重試{color[000000ff]}嗎？\n\n道具將會{color[ff4d2fff]}返回{color[000000ff]}\n被風吹走前的狀態。
Text_RetryCourseCylinder	要{color[ff4d2fff]}重試{color[000000ff]}水管塞滿嘴的區域嗎？\n\n任務及道具將會{color[ff4d2fff]}返回{color[000000ff]}\n變成水管塞滿嘴前的狀態。
Text_BackToTown	要回到瓦豆魯迪小鎮嗎？
Btn_BackToTown	回到小鎮
Text_NoEnoughVillagers	為了突破這道門，\n似乎還需要更多瓦豆魯迪的力量。\n在關卡中{color[ff4d2fff]}拯救{color[000000ff]}瓦豆魯迪吧！
Text_NoEnoughVillagersOnCheckGate	為了突破這道門，\n似乎還需要更多瓦豆魯迪的力量。\n在關卡中{color[ff4d2fff]}拯救{color[000000ff]}瓦豆魯迪吧！
Text_BossStageUnlocked	借助{color[ff4d2fff]}瓦豆魯迪們{color[000000ff]}的力量\n成功打開了阻礙通行的門。\n去{color[ff4d2fff]}挑戰{color[000000ff]}守護地盤的{color[ff4d2fff]}魔王{color[000000ff]}吧！
Text_WmapAreaUnlocked	在打倒魔王後發現了{color[ff4d2fff]}新區域{color[000000ff]}！\n好，繼續前進吧！
Text_WmapAreaWaddleDeeComplete	{size[6e00]}終於將被囚禁在{[030e]}的\n{color[ff4d2fff]}所有瓦豆魯迪{color[000000ff]}拯救出來了！{size[6400]}
Text_WmapAnotherContinentUnlock	帝帝帝大王把艾菲靈帶走了……！\n請探索新區域，\n將被擄走的艾菲靈{color[ff4d2fff]}拯救出來吧{color[000000ff]}！
Text_WmapAreaUnlockedLevel6	發現{color[ff4d2fff]}新區域{color[000000ff]}了！\n被帶走的{color[ff4d2fff]}艾菲靈一定就在這前方{color[000000ff]}……\n艾菲靈，你一定要平安無事！
Text_WmapCstageFirstUnlocked	被拯救出來的瓦豆魯迪們發現了\n神秘的空間——{color[ff4d2fff]}寶藏之路{color[000000ff]}！{[0004]}或許能夠從中發現{color[ff4d2fff]}珍貴的道具{color[000000ff]}……\n試著探索看看吧！
Text_WmapCstageFind	發現了被隱藏起來的秘密{color[ff4d2fff]}寶藏之路{color[000000ff]}。\n趕快來挑戰看看吧！
Text_WmapCstageRequestEvolve	要進入這個寶藏之路\n需要{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n前往瓦豆魯迪武器店進化後再來吧！
Text_WmapCstageRequestBlueprint	要進入這個寶藏之路\n需要{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n取得設計圖並在小鎮中進化後再來吧！
Title_WmapCstageComplete	寶藏之路 完成！
Text_WmapCstageComplete	已經精通所有能力並且\n過關{color[ff4d2fff]}所有寶藏之路{color[000000ff]}了！\n在此贈送{color[ff4d2fff]}特別的模型{color[000000ff]}作為獎勵！
Title_TownEvent_CompleteWaddleDee	瓦豆魯迪 完成！
Text_TownEvent_CompleteWaddleDee	卡比，謝謝你！\n為了感謝你拯救了{color[ff4d2fff]}所有瓦豆魯迪們{color[000000ff]}，\n特別在小鎮的廣場上建造了{color[ff4d2fff]}感謝銅像{color[000000ff]}！
Title_TownEvent_CompleteFigure	模型 完成！
Text_TownEvent_CompleteFigure	作為收集到{color[ff4d2fff]}所有模型{color[000000ff]}的獎勵，\n扭蛋機收藏一覽畫面的音樂\n已更換為{color[ff4d2fff]}特別版{color[000000ff]}！
Title_EstoryCompleteSoul	獅王的靈魂 完成！
Text_EstoryCompleteSoul	已經收集到{color[ff4d2fff]}所有獅王的靈魂{color[000000ff]}了！\n在此贈送{color[ff4d2fff]}特別的模型{color[000000ff]}，\n作為勇氣的證明！
Title_TownFirstDemo	隨時都可以兩人一起遊玩！
Text_TownFirstDemo	只要從暫停選擇{color[ff4d2fff]}「兩人遊玩」{color[000000ff]}，\n即可讓2P操作{color[ff4d2fff]}頭巾瓦豆魯迪{color[000000ff]}！\n兩人同心協力來遊玩吧！
Text_UnlockFigureList	{color[ff4d2fff]}扭蛋機收藏{color[000000ff]}開放了，\n可以在這裡欣賞收集到的模型。\n朝完成收藏邁進吧！
Title_UnlockStrengthening	能力強化！
Text_UnlockStrengthening	能力受到{color[ff4d2fff]}強化{color[000000ff]}後，將會標示{color[ff4d2fff]}「＋」\n{color[000000ff]}並且{color[ff4d2fff]}攻擊力也會提升{color[000000ff]}！\n使用強化後的能力來挑戰魔王吧！
Text_TownUnlockAreaLv1	獲救的瓦豆魯迪們正在重建小鎮！\n只要成功拯救更多瓦豆魯迪，\n{color[ff4d2fff]}新設施{color[000000ff]}也會陸續開放！
Text_TownUnlockTheaterRoom	在電影院欣賞回憶中的那幕場景吧。\n{color[ff4d2fff]}瓦豆魯迪電影院{color[000000ff]}開放了！
Text_TownUnlockCapsuleToyMachine1	喀嚓轉動一下，模型就會咚地掉下來！\n充滿收集樂趣的收藏——\n{color[ff4d2fff]}扭蛋機 Vol.1{color[000000ff]}設置完成！
Text_TownUnlockAbilityRoom	能夠使複製能力變得更加強大！\n{color[ff4d2fff]}瓦豆魯迪武器店{color[000000ff]}開放了！
Text_TownUnlockDeliveryService	使用禮物關鍵詞將道具快遞到府！\n經過{color[ff4d2fff]}50名{color[000000ff]}瓦豆魯迪的通力合作，\n{color[ff4d2fff]}瓦豆魯迪快遞{color[000000ff]}開放了。
Text_TownUnlockKirbyHouse	令人憧憬的家座落在這個小鎮！\n經過{color[ff4d2fff]}50名{color[000000ff]}瓦豆魯迪的通力合作，\n幫忙建造了{color[ff4d2fff]}卡比小屋{color[000000ff]}。
Text_TownUnlockFoodStore_01	時髦的咖啡店來了！\n經過{color[ff4d2fff]}60名{color[000000ff]}瓦豆魯迪的通力合作，\n{color[ff4d2fff]}瓦豆魯迪咖啡店{color[000000ff]}開放了。
Text_TownUnlockFoodStore_02	在人氣咖啡店忙碌地打工吧！\n現在可以遊玩\n{color[ff4d2fff]}工作！瓦豆魯迪咖啡店{color[000000ff]}了。
Text_TownUnlockAreaLv2	瓦豆魯迪小鎮\n變得{color[ff4d2fff]}更大{color[000000ff]}了！
Text_TownUnlockCapsuleToyMachine2	全新的扭蛋機陣容登場了！\n{color[ff4d2fff]}扭蛋機 Vol.2{color[000000ff]}設置完成。
Text_TownUnlockArena	與戰鬥過的對手們來場決鬥！\n可以獲得豪華報酬的\n{color[ff4d2fff]}競技場{color[000000ff]}開放了。
Text_TownUnlockPharmacy	集結了為冒險提供支援的道具！\n經過{color[ff4d2fff]}145名{color[000000ff]}瓦豆魯迪的通力合作，\n{color[ff4d2fff]}瓦豆魯迪道具店{color[000000ff]}開放了。
Text_TownUnlockAreaLv3_01	經過{color[ff4d2fff]}155名{color[000000ff]}瓦豆魯迪的通力合作，\n小鎮變得{color[ff4d2fff]}更大{color[000000ff]}了！
Text_TownUnlockAreaLv3_02	來釣魚吧，目標是釣到大魚！\n現在可以遊玩\n{color[ff4d2fff]}緊張刺激！剎那間的釣魚池{color[000000ff]}了。
Text_TownUnlockCapsuleToyMachine3	全新的扭蛋機陣容登場了！\n{color[ff4d2fff]}扭蛋機 Vol.3{color[000000ff]}設置完成。
Text_TownUnlockRollingBall	滾啊滾～透過傾斜移動滾球！\n經過{color[ff4d2fff]}180名{color[000000ff]}瓦豆魯迪的通力合作，\n{color[ff4d2fff]}滾啊滾啊！滾球卡比{color[000000ff]}開放了。
Text_TownUnlockCapsuleToyMachine4	全新的扭蛋機陣容登場了！\n{color[ff4d2fff]}扭蛋機 Vol.4{color[000000ff]}設置完成。
Text_TownUnlockStreetLive	點首喜愛的音樂吧！\n{color[ff4d2fff]}街角瓦豆演奏{color[000000ff]}開始了。
Text_TownUnlockStreetLiveLv2	在吉他盒中放入{[0100|8000]}硬幣星，\n已升級為更加時髦的舞台！\n現在可以演奏{color[ff4d2fff]}新樂曲{color[000000ff]}了！
Text_TownUnlockStreetLiveLv3	在吉他盒中放入{[0100|8000]}硬幣星，\n已升級為非常具有規模的舞台！\n現在可以演奏{color[ff4d2fff]}新樂曲{color[000000ff]}了！
Text_TownUnlockArenaLv2_01	打敗眾多強者，以冠軍為目標邁進！\n現在可以參加\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}終極盃{color[000000ff]}了！
Text_TownUnlockArenaLv2_02	可以從接待處參加\nThe 終極盃。
Text_TownUnlockArenaLv3_01	前往終極的大決戰……！\n現在可以參加\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}終極盃Z{color[000000ff]}了！
Text_TownUnlockArenaLv3_02	可以從接待處參加\nThe 終極盃Z。\n……確定不會後悔嗎？
Text_TownNoticeCopyAbilityAbleToEvolute_01	現在可以{color[ff4d2fff]}進化\n{[030a]}{color[000000ff]}能力了！
Text_TownNoticeCopyAbilityAbleToEvolute_02	現在可以{color[ff4d2fff]}進化{color[000000ff]}\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力了！\n趕快前往瓦豆魯迪武器店進行進化吧！
Text_TownNoticeCopyAbilityAbleToEvolute_03	{color[ff4d2fff]}知識淵博瓦豆魯迪{color[000000ff]}來到小鎮上了。\n他會提供尚未獲得的{color[ff4d2fff]}設計圖所在地{color[000000ff]}，\n以及各種資訊！
Text_TownNoticeCopyAbilityAbleToStrength	複製能力的{color[ff4d2fff]}攻擊力提升{color[000000ff]}！\n現在可以在瓦豆魯迪武器店\n{color[ff4d2fff]}強化{color[000000ff]}複製能力了！
Text_ArenaClerk_UnlockCompetition	{color[ff4d2fff]}{[0312]}{color[000000ff]}於競技場登場！\n與眾多棘手魔王之間的戰鬥\n正在競技場等著你！
Text_TownClearedArenaLv3_01	為了紀念你在最高難易度的\nThe 終極盃Z中獲得優勝，\n已在卡比小屋中{color[ff4d2fff]}裝飾了{color[000000ff]}新的{color[ff4d2fff]}照片{color[000000ff]}！
Text_TownClearedArenaLv3_02	只要過關各種模式，\n裝飾在卡比小屋牆壁上的照片就會增加。{[0004]}照片總共有{color[ff4d2fff]}10張{color[000000ff]}。\n盡情遊玩，創造難忘的回憶吧……{[0004]}目標是100％過關，\n成為{color[ff4d2fff]}星之卡比大師{color[000000ff]}！！
Text_TownClearedArenaLv3_03	{color[ff4d2fff]}兌換瓦豆魯迪{color[000000ff]}來到小鎮上了！\n可以使用{[0101|8100]}稀有石跟他兌換\n尚未獲得的{color[ff4d2fff]}模型{color[000000ff]}！{[0004]}透過與他進行兌換，\n或在各關卡中尋找……\n{color[ff4d2fff]}收集共256個模型吧{color[000000ff]}！
Text_TownMovieSelectPlayOther	要觀看其他的影片嗎？
Btn_TheaterRoomSee	觀看
Text_SetCopyAbility	已設定為{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n在關卡中獲得的能力\n也將變為{[0309|0000]}。
Text_SetStrengthenedCopyAbility	已設定為{color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[0301|0000]}{color[000000ff]}。\n在關卡中獲得的能力\n也將變為{[0309|0000]}{[0107|0000]}{[0301|0000]}。
Text_SetMaxStrengthenedCopyAbility	已設定為{color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[010a|0300]}{color[000000ff]}。\n在關卡中獲得的能力\n也將變為{[0309|0000]}{[0107|0000]}{[010a|0300]}。
Text_CheckEvolve	要將{[030a]}能力\n進化為{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}嗎？
Btn_Evolve	進化
Text_EvolvePointStarShortage	{[0100|8000]}硬幣星{color[ff4d2fff]}不足{color[000000ff]}。{color[ff4d2fff]}\n{color[000000ff]}\n進化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}與{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]}。
Text_EvolveRarePieceShortage	{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n進化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}與{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]}。
Text_EvolvePointStarAndRarePieceShortage	{[0100|8000]}硬幣星與{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。{color[ff4d2fff]}\n\n{color[000000ff]}進化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}與{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]}。
Title_RarePieceShortageGoCstage	前往寶藏之路吧！
Text_RarePieceShortageGoCstage	前往{color[ff4d2fff]}寶藏之路{color[000000ff]}\n取得{[0101|8100]}稀有石吧。
Text_RarePieceShortageRescueWaddleDee	{color[ff4d2fff]}拯救更多瓦豆魯迪{color[000000ff]}，\n並前往新的寶藏之路\n取得{[0101|8100]}稀有石吧。
Text_RarePieceShortageGoArena	{[0101|8100]}稀有石也可以\n藉由過關{color[ff4d2fff]}競技場{color[000000ff]}獲得。
Text_CopyAbilityEvolution	{[030a]}能力已進化為{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！
Text_CopyAbilityEvolutionCstageOpen	經過本次進化，現在已可以遊玩\n{[030e]}的{color[ff4d2fff]}{[0309|0000]} 寶藏{color[000000ff]}！\n趕快去看看吧！
Text_CopyAbilityEvolutionCstageUnlock	經過本次進化，\n{[030e]}出現了{color[ff4d2fff]}新的寶藏之路{color[000000ff]}。\n趕快去看看吧！
Text_CheckStrengthen	要使用{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]} \n{color[000000ff]}來強化{[0309|0000]}嗎？
Text_CheckStrengthenMore	要使用{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]} \n{color[000000ff]}來強化{[0309|0000]}{[0107|0000]}{[0301|0200]}嗎？
Btn_Strengthen	強化
Text_StrengthenPointStarShortage	{[0100|8000]}硬幣星{color[ff4d2fff]}不足{color[000000ff]}。\n強化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]}。
Text_StrengthenRarePieceShortage	{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n強化需要{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]} 。
Text_StrengthenPointStarAndRarePieceShortage	{[0100|8000]}硬幣星和\n{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n強化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}個{[0101|8100]}{color[000000ff]}。
Text_InableStrengthen	這項能力{color[ff4d2fff]}無法強化{color[000000ff]}。
Text_AlreadyStrengthenedMax	這項能力已經\n{color[ff4d2fff]}無法再進行強化了{color[000000ff]}。
Text_CopyAbilityStrengtheningFirst	已強化為{[0309|0000]}{[0107|0000]}{[0301|0000]}，\n{color[ff4d2fff]}攻擊力提升{color[000000ff]}了！
Text_CopyAbilityStrengtheningMore	已強化為{[0309|0000]}{[0107|0000]}{[0301|0000]}，\n{color[ff4d2fff]}攻擊力再次提升{color[000000ff]}了！
Text_CopyAbilityStrengtheningMax	已強化為{[0309|0000]}{[0107|0000]}{[010a|0300]}，\n{color[ff4d2fff]}攻擊力{color[000000ff]}已提升至\n此能力的{color[ff4d2fff]}上限{color[000000ff]}！
Text_CapsuleToyAlreadyComplete	目前即將獲得的{color[ff4d2fff]}{[031e]}{color[000000ff]}模型已完成收藏。\n仍確定要轉動扭蛋機嗎？
Btn_Turn	轉動
Text_CapsuleToyPointStarShortage	{[0100|8000]}硬幣星{color[ff4d2fff]}不足{color[000000ff]}。\n需要{color[ff4d2fff]}{[0301|0000]}枚{color[000000ff]}{[0100|8000]}{color[ff4d2fff]} {color[000000ff]}。
Text_FigureListDecorateFigure	模型已裝飾在家中。\n\n{color[ff4d2fff]}最多{color[000000ff]}可以同時擺放{color[ff4d2fff]}3個{color[000000ff]}模型。
Text_FigureListDecorateFigureAndRemove	已收起原本裝飾在家中1個模型，\n並將指定模型裝飾在家中。\n\n{color[ff4d2fff]}最多{color[000000ff]}可以同時擺放{color[ff4d2fff]}3個{color[000000ff]}模型。
Text_FigureListRemoveDecoratedFigure	模型已整理完畢。
Text_FigureListNoFigures	目前還{color[ff4d2fff]}未持有任何模型{color[000000ff]}。\n請透過關卡及扭蛋機收集吧！
Text_FigureListEventHint_TownFoodShop	只要在瓦豆魯迪咖啡店\n{color[ff4d2fff]}多多點餐{color[000000ff]}就能獲得此模型。
Text_FigureListEventHint_TownCafeJob	只要在瓦豆魯迪咖啡店\n{color[ff4d2fff]}過關極限打工{color[000000ff]}就能獲得此模型。
Text_FigureListEventHint_TownDeliveryservice	只要在瓦豆魯迪快遞\n{color[ff4d2fff]}輸入數個{color[000000ff]}禮物關鍵詞\n就能獲得此模型。
Text_FigureListEventHint_TownKnow	只要{color[ff4d2fff]}多多傾聽{color[000000ff]}知識淵博瓦豆魯迪\n所說的話就能獲得此模型。
Text_FigureListEventHint_TownToolShop	只要在瓦豆魯迪道具店\n{color[ff4d2fff]}多多購物{color[000000ff]}就能獲得此模型。
Text_FigureListEventHint_TownTamakoro	只要{color[ff4d2fff]}過關所有{color[000000ff]}滾啊滾啊！滾球卡比\n就能獲得此模型。
Text_FigureListEventHint_TownFishing	只要在緊張刺激！剎那間的釣魚池中\n釣到{color[ff4d2fff]}黃金魚王{color[000000ff]}就能獲得此模型。
Text_FigureListEventHint_TownAbilityRoom	只要在瓦豆魯迪武器店\n進化{color[ff4d2fff]}所有複製能力{color[000000ff]}\n就能獲得此模型。
Text_FigureListEventHint_TownArena	只要競技場{[0312]}的\n{color[ff4d2fff]}所有關卡過關{color[000000ff]}\n就能獲得此模型。
Text_FigureListEventHint_TownTheaterRoom	只要瓦豆魯迪電影院的\n{color[ff4d2fff]}所有影片{color[000000ff]}都能觀看時，\n就能獲得此模型。
Text_FigureListEventHint_TownLive	只要將街角瓦豆演奏的\n舞台{color[ff4d2fff]}升級到極限{color[000000ff]}\n就能獲得此模型。
Text_FigureListEventHint_BossChimeraPerfect	只要競技場{[0312]}的\n{color[ff4d2fff]}所有關卡過關{color[000000ff]}\n就能獲得此模型。
Text_FigureListEventHint_ChallengeAllClear	只要{color[ff4d2fff]}過關所有{color[000000ff]}寶藏之路\n就能獲得此模型。
Text_FigureListEventHint_BossLionAndLeopard	只要{color[ff4d2fff]}收集到所有{color[000000ff]}\n絕島幻夢‧遺忘中飄浮的{[0302|0000]}\n就能獲得此模型。
Text_FigureListArenaHint	只要{color[ff4d2fff]}過關{color[000000ff]}競技場的\n{color[ff4d2fff]}{[0312]}{color[000000ff]}，\n扭蛋機陣容中就會新增此模型。
Text_FigureListEvolutionHint	只要進化{color[ff4d2fff]}{[030a]}能力{color[000000ff]}，\n扭蛋機陣容中就會新增模型。
Text_FigureListEventHintBeforeUnlockTown	只要持續協助{color[ff4d2fff]}瓦豆魯迪小鎮{color[000000ff]}發展\n就能得知可以在哪裡獲得此模型。
Text_FigureListEventHintBeforeUnlockEstory	只要和{color[ff4d2fff]}卡洛凌{color[000000ff]}搭話\n並繼續冒險，\n就能得知可以在哪裡獲得此模型。
Text_FigureListEventHint_SoulSingle	只要{color[ff4d2fff]}過關被遺忘的‧自然{color[000000ff]}，\n扭蛋機陣容中就會新增模型。
Text_FigureListEventHintDisclosureEstoryStage	只要{color[ff4d2fff]}持續通過\n絕島幻夢‧遺忘{color[000000ff]}的{color[ff4d2fff]}關卡{color[000000ff]}\n扭蛋機陣容中就會新增此模型。
Text_FigureListArenaHintHiddenName	？？？
Text_FigureListEstoryHintHiddenName	？？？
Text_FigureListEstoryHintOpenName	獅王的靈魂
Btn_DeliveryServiceUse	使用
Text_DeliveryService_NetLoading	為了確認快遞禮物，\n正在執行網路連接……
Text_DeliveryService_FailedConnectInternet	網路連接失敗。{[0004]}要保持未連接網路的狀態，\n繼續{color[ff4d2fff]}使用{color[000000ff]}瓦豆魯迪快遞嗎？\n\n只有在小鎮上發現的禮物關鍵詞\n可以直接使用。
Btn_DeliveryService_UseInternet	使用
Btn_DeliveryServiceInputAbort	退出
Btn_NotCancel	不退出
Text_TownPresentBox_WithPresentCode	禮物關鍵詞\n{color[ff4d2fff]}『{[0302|0000]}』{color[000000ff]}的\n快遞禮物已送達。
Text_TownPresentBox_WithoutPresentCode	使用禮物關鍵詞所獲得的\n快遞禮物已送達。
Text_TownPresentBox_GetRewardCoin	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}！
Text_TownPresentBox_GetRewardRare	獲得{[0301|0000]}個{[0101|8100]}{[0321]}。
Text_TownPresentBox_GetRewardItem	獲得{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardItemItem	獲得{[0301|0000]}個{[0317]}\n以及{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardCoinRare	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}\n以及{[0301|0000]}個{[0101|8100]}{[0321]}。
Text_TownPresentBox_GetRewardCoinItem	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}\n以及{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardCoinItemItem	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}、\n{[0301|0000]}個{[0317]}以及\n{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardRareItem	獲得{[0301|0000]}個{[0101|8100]}{[0321]}\n以及{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardRareItemItem	獲得{[0301|0000]}個{[0101|8100]}{[0321]}、\n{[0301|0000]}個{[0317]}以及\n{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardCoinRareItem	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}、{[0301|0000]}個{[0101|8100]}{[0321]}，\n以及{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardCoinRareItemItem	獲得{[0301|0000]}枚{[0100|8000]}{[0320]}、\n{[0301|0000]}個{[0101|8100]}{[0321]}、{[0301|0000]}個{[0317]}\n以及{[0301|0000]}個{[0317]}。
Text_TownPresentBox_GetRewardSupportCoin	瓦豆魯迪們已送達\n{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}硬幣星{color[000000ff]}！
Text_TownFoundWatchword_00	這種地方竟然寫著禮物關鍵詞。\n{color[ff4d2fff]}「{[031f]}」{color[000000ff]}{[0004]}禮物關鍵詞可透過瓦豆魯迪快遞進行使用，{color[ff4d2fff]}\n{color[000000ff]}並且只能使用1次。
Text_TownFoundWatchword_01	傳單上竟然寫著禮物關鍵詞。\n{color[ff4d2fff]}「{[031f]}」{color[000000ff]}{[0004]}禮物關鍵詞可透過瓦豆魯迪快遞進行使用，{color[ff4d2fff]}\n{color[000000ff]}並且只能使用1次。
Text_TownFoundWatchword_02	發現了隱藏的禮物關鍵詞。\n{color[ff4d2fff]}「{[031f]}」{color[000000ff]}{[0004]}禮物關鍵詞可透過瓦豆魯迪快遞進行使用，{color[ff4d2fff]}\n{color[000000ff]}並且只能使用1次。
Text_TownFoundWatchword_03	發現了寫在牆壁上的禮物關鍵詞。\n{color[ff4d2fff]}「{[031f]}」{color[000000ff]}{[0004]}禮物關鍵詞可透過瓦豆魯迪快遞進行使用，{color[ff4d2fff]}\n{color[000000ff]}並且只能使用1次。
Text_TownFoundWatchword_04	這種地方竟然也有禮物關鍵詞。\n{color[ff4d2fff]}「{[031f]}」{color[000000ff]}{[0004]}禮物關鍵詞可透過瓦豆魯迪快遞進行使用，{color[ff4d2fff]}\n{color[000000ff]}並且只能使用1次。
Btn_Buy	購買
Btn_TakeOut	外帶
Btn_ForHere	內用
Title_MgameFoodHowToPlay	選擇正確的餐點吧！{[0004]}要注意保持客人滿意度喔！{[0004]}午餐時間可是非常忙碌的！
Text_MgameFoodHowToPlay_00	注意觀察客人的{color[ff4d2fff]}對話框\n{color[000000ff]}來選擇客人所點選的餐點！
Text_MgameFoodHowToPlay_01	如果{color[ff4d2fff]}客人滿意度{color[000000ff]}下降到最低點，\n{color[ff4d2fff]}遊戲將會直接結束{color[000000ff]}。\n記得別讓客人久等，盡快提供餐點！
Text_MgameFoodHowToPlay_02	午餐時間{color[ff4d2fff]}遊戲節奏將會一口氣提升{color[000000ff]}！\n正確應對接踵而來的訂單，\n並{color[ff4d2fff]}以取得高分為目標吧{color[000000ff]}！
Text_MgameFoodResultPointStar_Solo	取得{[0301|0000]}分，\n獲得{color[ff4d2fff]}{[0301|0100]}枚{color[000000ff]}{[0100|8000]}{color[ff4d2fff]}硬幣星{color[000000ff]}！
Text_MgameFoodResultPointStar_Multi	兩人的總計分數為{[0301|0000]}分，\n獲得{color[ff4d2fff]}{[0301|0100]}枚{color[000000ff]}{[0100|8000]}{color[ff4d2fff]}硬幣星{color[000000ff]}！
Text_MgameFoodDifficultyUnlock	現在可以遊玩\n{color[ff4d2fff]}『忙碌打工』{color[000000ff]}與\n{color[ff4d2fff]}『極限打工』{color[000000ff]}了！
Text_MgameFoodRetry	要從頭開始\n重試打工嗎？
Text_MgameFoodEnd	要放棄打工嗎？\n\n放棄後將{color[ff4d2fff]}不會儲存{color[000000ff]}所獲得的分數。
Btn_MgameFoodGiveUp	放棄
Btn_Listen	聆聽
Text_KnowledgeConnectProcessing	正在連接網路……
Text_KnowledgeConfirmConnectFailed	網路連接失敗。\n要保持未連接網路的狀態繼續聆聽嗎？\n\n你將無法打聽到來自全世界的\n各種遊玩資訊，或是分享自己的資料。
Btn_Continue	聆聽
Text_KnowledgeConfirmConnectDisallowToAllow	要將網路連接由不使用\n更改為{color[ff4d2fff]}使用{color[000000ff]}嗎？\n\n傳送遊玩資料後，\n即可和全世界的玩家分享遊玩資訊。
