AbilityList.msbt
$TownAbilityListAttackText	攻击力
Text_Amiibo_AskToStart	可以使用{color[ff4d2fff]}amiibo{color[000000ff]}获得库存道具\n或{[0100|8000]}硬币星等道具。\n要使用amiibo吗？
Btn_Use	使用
Text_AmiiboTouch_AskTouchAmiibo	请用amiibo触碰{color[ff4d2fff]}{[0301|0000]}P{color[000000ff]}\n手柄的{color[ff4d2fff]}NFC区域{color[000000ff]}。
Text_AmiiboTouch_CancelBtn	{[0401|0100]} 取消
Text_AmiiboTouch_Canceling	取消中……
Text_AmiiboTouch_Reading	正在读取……
Text_Amiibo_ExceedMaxCount	单一关卡中最多只能\n连续使用{color[ff4d2fff]}5次{color[000000ff]}amiibo，\n{color[ff4d2fff]}通过关卡{color[000000ff]}后即可再度使用。
Text_Amiibo_ExceedMaxCount_InArena	竞技场最多只能连续使用{color[ff4d2fff]}5次{color[000000ff]}amiibo。\n\n若在正在参加的大赛中获得了{color[ff4d2fff]}优胜{color[000000ff]}，\n或在落败后选择了{color[ff4d2fff]}“从头重新开始”{color[000000ff]}，\n即可再度使用。
Text_Amiibo_AlreadyUsed	已经通过此amiibo{color[ff4d2fff]}获得过{color[000000ff]}道具。{color[ff4d2fff]}\n通过关卡{color[000000ff]}后，\n即可再度使用。
Text_Amiibo_AlreadyUsed_InArena	已经通过此amiibo{color[ff4d2fff]}获得过{color[000000ff]}道具。{color[ff4d2fff]}\n\n{color[000000ff]}若在正在参加的大赛中获得了{color[ff4d2fff]}优胜{color[000000ff]}，\n或在落败后选择了{color[ff4d2fff]}“从头重新开始”{color[000000ff]}，\n即可再度使用。
Text_Amiibo_NotAllowedMode	amiibo可以在关卡\n或小镇中使用。
Text_Amiibo_NotAllowedOther	目前{color[ff4d2fff]}无法使用{color[000000ff]}amiibo。
Text_Amiibo_ErrorNfcDeviceNotFound	{color[ff4d2fff]}找不到{color[000000ff]}可读取\namiibo的手柄。
Text_Amiibo_ErrorOther	发生错误。
Text_RetryCourseCar	要{color[ff4d2fff]}重试{color[000000ff]}此项竞赛吗？\n\n任务及道具将会{color[ff4d2fff]}返回{color[000000ff]}\n竞赛开始前的状态。
Text_RetryCourseCoaster	要{color[ff4d2fff]}重试{color[000000ff]}云霄飞车吗？\n\n任务及道具将会{color[ff4d2fff]}返回{color[000000ff]}\n乘坐云霄飞车前的状态。
Text_RetryCourseCoasterEstory	要{color[ff4d2fff]}重试{color[000000ff]}云霄飞车吗？\n\n道具将会{color[ff4d2fff]}返回{color[000000ff]}\n乘坐云霄飞车前的状态。
Text_RetryCourseBossRush	要从与魔王战斗后的时间点{color[ff4d2fff]}重试{color[000000ff]}吗？\n\n任务及道具将会{color[ff4d2fff]}返回{color[000000ff]}\n与魔王战斗后的状态。
Text_RetryCourseGlider	要{color[ff4d2fff]}重试{color[000000ff]}拱门塞满嘴的区域吗？\n\n任务及道具将会{color[ff4d2fff]}返回{color[000000ff]}\n变成拱门塞满嘴前的状态。
Text_RetryCoursePowerfulWind	要从被风吹走前的时间点{color[ff4d2fff]}重试{color[000000ff]}吗？\n\n道具将会{color[ff4d2fff]}返回{color[000000ff]}\n被风吹走前的状态。
Text_RetryCourseCylinder	要{color[ff4d2fff]}重试{color[000000ff]}水管塞满嘴的区域吗？\n\n任务及道具将会{color[ff4d2fff]}返回{color[000000ff]}\n变成水管塞满嘴前的状态。
Text_BackToTown	要回到瓦豆鲁迪小镇吗？
Btn_BackToTown	回到小镇
Text_NoEnoughVillagers	为了突破这道门，\n还需要更多瓦豆鲁迪的力量。\n在关卡中{color[ff4d2fff]}拯救{color[000000ff]}瓦豆鲁迪吧！
Text_NoEnoughVillagersOnCheckGate	为了突破这道门，\n还需要更多瓦豆鲁迪的力量。\n在关卡中{color[ff4d2fff]}拯救{color[000000ff]}瓦豆鲁迪吧！
Text_BossStageUnlocked	借助{color[ff4d2fff]}瓦豆鲁迪们{color[000000ff]}的力量\n成功开启了阻碍通行的门。\n去{color[ff4d2fff]}挑战{color[000000ff]}守护地盘的{color[ff4d2fff]}魔王{color[000000ff]}吧！
Text_WmapAreaUnlocked	打倒魔王后发现了{color[ff4d2fff]}新区域{color[000000ff]}！\n好，继续前进吧！
Text_WmapAreaWaddleDeeComplete	{size[6e00]}终于将被囚禁在{[030e]}的\n{color[ff4d2fff]}所有瓦豆鲁迪{color[000000ff]}拯救出来了！{size[6400]}
Text_WmapAnotherContinentUnlock	帝帝帝大王把艾菲灵带走了……！\n请探索新区域，\n将被掳走的艾菲灵{color[ff4d2fff]}拯救出来吧{color[000000ff]}！
Text_WmapAreaUnlockedLevel6	发现{color[ff4d2fff]}新区域{color[000000ff]}了！\n被带走的{color[ff4d2fff]}艾菲灵一定就在这前方{color[000000ff]}……\n艾菲灵，你一定要平安无事！
Text_WmapCstageFirstUnlocked	被拯救出来的瓦豆鲁迪们发现了\n神秘的空间——{color[ff4d2fff]}宝藏之路{color[000000ff]}！{[0004]}或许能够从中发现{color[ff4d2fff]}珍贵的道具{color[000000ff]}……\n试着探索看看吧！
Text_WmapCstageFind	发现了被隐藏起来的秘密{color[ff4d2fff]}宝藏之路{color[000000ff]}。\n赶快来挑战看看吧！
Text_WmapCstageRequestEvolve	要进入这个宝藏之路\n需要{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n前往瓦豆鲁迪武器店进行进化吧！
Text_WmapCstageRequestBlueprint	要进入这个宝藏之路\n需要{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n取得设计图并在小镇中进行进化吧！
Title_WmapCstageComplete	宝藏之路 完成！
Text_WmapCstageComplete	已经精通所有能力并且\n过关{color[ff4d2fff]}所有宝藏之路{color[000000ff]}了！\n在此赠送{color[ff4d2fff]}特别的模型{color[000000ff]}作为奖励！
Title_TownEvent_CompleteWaddleDee	瓦豆鲁迪 完成！
Text_TownEvent_CompleteWaddleDee	卡比，谢谢你！\n为了感谢你拯救了{color[ff4d2fff]}所有瓦豆鲁迪们{color[000000ff]}，\n我们在小镇的广场上建造了{color[ff4d2fff]}感谢铜像{color[000000ff]}！
Title_TownEvent_CompleteFigure	模型 完成！
Text_TownEvent_CompleteFigure	作为收集到{color[ff4d2fff]}所有模型{color[000000ff]}的奖励，\n扭蛋机收藏一览画面的音乐\n已更换为{color[ff4d2fff]}特别版{color[000000ff]}！
Title_EstoryCompleteSoul	狮王的灵魂 完成！
Text_EstoryCompleteSoul	已经收集到{color[ff4d2fff]}所有狮王的灵魂{color[000000ff]}了！\n在此赠送{color[ff4d2fff]}特别的模型{color[000000ff]}，\n作为勇气的证明！
Title_TownFirstDemo	随时都可以双人游玩！
Text_TownFirstDemo	只要从暂停画面选择{color[ff4d2fff]}“双人游玩”{color[000000ff]}，\n即可让2P操作{color[ff4d2fff]}头巾瓦豆鲁迪{color[000000ff]}！\n二人同心协力来游玩吧！
Text_UnlockFigureList	{color[ff4d2fff]}扭蛋机收藏{color[000000ff]}开放了，\n可以在这里欣赏收集到的模型。\n朝完成收藏迈进吧！
Title_UnlockStrengthening	能力强化！
Text_UnlockStrengthening	能力得到{color[ff4d2fff]}强化{color[000000ff]}后，将会标记{color[ff4d2fff]}“＋”\n{color[000000ff]}并且{color[ff4d2fff]}攻击力也会提升{color[000000ff]}！\n使用强化后的能力来挑战魔王吧！
Text_TownUnlockAreaLv1	获救的瓦豆鲁迪们正在重建小镇！\n只要成功拯救更多瓦豆鲁迪，\n{color[ff4d2fff]}新设施{color[000000ff]}也会陆续开放！
Text_TownUnlockTheaterRoom	在电影院欣赏回忆中的那幕场景吧。\n{color[ff4d2fff]}瓦豆鲁迪电影院{color[000000ff]}开放了！
Text_TownUnlockCapsuleToyMachine1	喀嚓转动一下，模型就会咚地掉下来！\n充满收集乐趣的收藏——\n{color[ff4d2fff]}扭蛋机 Vol.1{color[000000ff]}设置完成！
Text_TownUnlockAbilityRoom	能够使复制能力变得更加强大！\n{color[ff4d2fff]}瓦豆鲁迪武器店{color[000000ff]}开放了！
Text_TownUnlockDeliveryService	使用礼物关键词将道具快递到家！\n经过{color[ff4d2fff]}50名{color[000000ff]}瓦豆鲁迪的通力合作，\n{color[ff4d2fff]}瓦豆鲁迪快递{color[000000ff]}开放了。
Text_TownUnlockKirbyHouse	令人憧憬的家座落在这个小镇！\n{color[ff4d2fff]}50名{color[000000ff]}瓦豆鲁迪的通力合作，\n帮忙建造了{color[ff4d2fff]}卡比小屋{color[000000ff]}。
Text_TownUnlockFoodStore_01	时髦的咖啡店来了！\n经过{color[ff4d2fff]}60名{color[000000ff]}瓦豆鲁迪的通力合作，\n{color[ff4d2fff]}瓦豆鲁迪咖啡店{color[000000ff]}开放了。
Text_TownUnlockFoodStore_02	在人气咖啡店忙碌地打工吧！\n现在可以游玩\n{color[ff4d2fff]}工作！瓦豆鲁迪咖啡店{color[000000ff]}了。
Text_TownUnlockAreaLv2	瓦豆鲁迪小镇\n变得{color[ff4d2fff]}更大{color[000000ff]}了！
Text_TownUnlockCapsuleToyMachine2	全新的扭蛋机清单登场了！\n{color[ff4d2fff]}扭蛋机 Vol.2{color[000000ff]}设置完成。
Text_TownUnlockArena	与战斗过的对手们来场决斗！\n可以获得豪华报酬的\n{color[ff4d2fff]}竞技场{color[000000ff]}开放了。
Text_TownUnlockPharmacy	为冒险提供支援的道具齐聚一堂！\n经过{color[ff4d2fff]}145名{color[000000ff]}瓦豆鲁迪的通力合作，\n{color[ff4d2fff]}瓦豆鲁迪道具店{color[000000ff]}开放了。
Text_TownUnlockAreaLv3_01	经过{color[ff4d2fff]}155名{color[000000ff]}瓦豆鲁迪的通力合作，\n小镇变得{color[ff4d2fff]}更大{color[000000ff]}了！
Text_TownUnlockAreaLv3_02	来钓鱼吧，目标是钓到大鱼！\n现在可以游玩\n{color[ff4d2fff]}紧张刺激！刹那间的钓鱼池{color[000000ff]}了。
Text_TownUnlockCapsuleToyMachine3	全新的扭蛋机清单登场了！\n{color[ff4d2fff]}扭蛋机 Vol.3{color[000000ff]}设置完成。
Text_TownUnlockRollingBall	滚啊滚～通过倾斜移动滚球！\n经过{color[ff4d2fff]}180名{color[000000ff]}瓦豆鲁迪的通力合作，\n{color[ff4d2fff]}滚啊滚啊！滚球卡比{color[000000ff]}开放了。
Text_TownUnlockCapsuleToyMachine4	全新的扭蛋机清单登场了！\n{color[ff4d2fff]}扭蛋机 Vol.4{color[000000ff]}设置完成。
Text_TownUnlockStreetLive	点首喜爱的音乐吧！\n{color[ff4d2fff]}街角瓦豆演奏{color[000000ff]}开始了。
Text_TownUnlockStreetLiveLv2	在吉他盒中放入{[0100|8000]}硬币星，\n升级为更加时髦的舞台！\n现在可以演奏{color[ff4d2fff]}新乐曲{color[000000ff]}了！
Text_TownUnlockStreetLiveLv3	在吉他盒中放入{[0100|8000]}硬币星，\n升级为非常具有规模的舞台！\n现在可以演奏{color[ff4d2fff]}新乐曲{color[000000ff]}了！
Text_TownUnlockArenaLv2_01	打败众多强者，以冠军为目标迈进！\n现在可以参加\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}终极杯{color[000000ff]}了！
Text_TownUnlockArenaLv2_02	可以从接待处参加\nThe 终极杯。
Text_TownUnlockArenaLv3_01	前往终极的大决战……！\n现在可以参加\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}终极杯Z{color[000000ff]}了！
Text_TownUnlockArenaLv3_02	可以从接待处参加\nThe 终极杯Z。\n……确定不会后悔吗？
Text_TownNoticeCopyAbilityAbleToEvolute_01	现在可以{color[ff4d2fff]}进化{color[000000ff]}\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力了！
Text_TownNoticeCopyAbilityAbleToEvolute_02	现在可以{color[ff4d2fff]}进化{color[000000ff]}\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力了！\n赶快前往瓦豆鲁迪武器店进行进化吧！
Text_TownNoticeCopyAbilityAbleToEvolute_03	{color[ff4d2fff]}知识渊博瓦豆鲁迪{color[000000ff]}来到小镇上了！\n他会提供尚未获得的{color[ff4d2fff]}设计图所在地{color[000000ff]}，\n以及各种信息！
Text_TownNoticeCopyAbilityAbleToStrength	复制能力的{color[ff4d2fff]}攻击力提升{color[000000ff]}！\n现在可以在瓦豆鲁迪武器店\n{color[ff4d2fff]}强化{color[000000ff]}复制能力了！
Text_ArenaClerk_UnlockCompetition	竞技场召开了{color[ff4d2fff]}{[0312]}{color[000000ff]}！\n与棘手魔王们的战斗\n正在竞技场中等待着你！
Text_TownClearedArenaLv3_01	为纪念你在最高难易度的\nThe 终极杯Z中获得优胜，\n已在卡比小屋中{color[ff4d2fff]}装饰了{color[000000ff]}新的{color[ff4d2fff]}照片{color[000000ff]}！
Text_TownClearedArenaLv3_02	只要过关各种模式，\n装饰在卡比小屋墙壁上的照片就会增加。{[0004]}照片总共有{color[ff4d2fff]}10张{color[000000ff]}。\n尽情游玩，创造难忘的回忆吧……{[0004]}目标是100%过关，\n成为{color[ff4d2fff]}星之卡比大师{color[000000ff]}！！
Text_TownClearedArenaLv3_03	{color[ff4d2fff]}兑换瓦豆鲁迪{color[000000ff]}来到小镇上了！\n可以使用{[0101|8100]}稀有石和他兑换\n尚未获得的{color[ff4d2fff]}模型{color[000000ff]}！{[0004]}通过和他兑换模型，\n或在各个关卡中寻找……\n{color[ff4d2fff]}集齐总共256个模型吧{color[000000ff]}！
Text_TownMovieSelectPlayOther	要观看其他的影片吗？
Btn_TheaterRoomSee	观看
Text_SetCopyAbility	已设定为{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}。\n在关卡中获得的能力\n也将变为{[0309|0000]}。
Text_SetStrengthenedCopyAbility	已设定为{color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[0301|0000]}{color[000000ff]}。\n在关卡中获得的能力\n也将变为{[0309|0000]}{[0107|0000]}{[0301|0000]}。
Text_SetMaxStrengthenedCopyAbility	已设定为{color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[010a|0300]}{color[000000ff]}。\n在关卡中获得的能力\n也将变为{[0309|0000]}{[0107|0000]}{[010a|0300]}。
Text_CheckEvolve	要将{[030a]}能力\n进化为{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}吗？
Btn_Evolve	进化
Text_EvolvePointStarShortage	{[0100|8000]}硬币星{color[ff4d2fff]}不足{color[000000ff]}。\n\n进化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}与{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Text_EvolveRarePieceShortage	{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n进化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}与{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Text_EvolvePointStarAndRarePieceShortage	{[0100|8000]}硬币星与{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n进化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}与{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Title_RarePieceShortageGoCstage	前往宝藏之路吧！
Text_RarePieceShortageGoCstage	前往{color[ff4d2fff]}宝藏之路{color[000000ff]}\n取得{[0101|8100]}稀有石吧。
Text_RarePieceShortageRescueWaddleDee	{color[ff4d2fff]}拯救更多瓦豆鲁迪{color[000000ff]}，\n并前往新的宝藏之路\n取得{[0101|8100]}稀有石吧。
Text_RarePieceShortageGoArena	{[0101|8100]}稀有石也可以\n通过过关{color[ff4d2fff]}竞技场{color[000000ff]}获得。
Text_CopyAbilityEvolution	{[030a]}能力已进化为{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！
Text_CopyAbilityEvolutionCstageOpen	根据本次进化，现在可以游玩\n{[030e]}的{color[ff4d2fff]}{[0309|0000]} 宝藏{color[000000ff]}了！\n赶快去看看吧！
Text_CopyAbilityEvolutionCstageUnlock	根据本次进化，\n{[030e]}出现了{color[ff4d2fff]}新的宝藏之路{color[000000ff]}。\n赶快去看看吧！
Text_CheckStrengthen	要使用{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}\n{color[000000ff]}来强化{[0309|0000]}吗？
Text_CheckStrengthenMore	要使用{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}和{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}\n{color[000000ff]}来强化{[0309|0000]}{[0107|0000]}{[0301|0200]}吗？
Btn_Strengthen	强化
Text_StrengthenPointStarShortage	{[0100|8000]}硬币星{color[ff4d2fff]}不足{color[000000ff]}。\n\n强化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}与{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Text_StrengthenRarePieceShortage	{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n强化需要{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Text_StrengthenPointStarAndRarePieceShortage	{[0100|8000]}硬币星和\n{[0101|8100]}稀有石{color[ff4d2fff]}不足{color[000000ff]}。\n\n强化需要{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}{color[000000ff]}与{color[ff4d2fff]}{[0301|0100]}个{[0101|8100]}{color[000000ff]}。
Text_InableStrengthen	这项能力{color[ff4d2fff]}无法强化{color[000000ff]}。
Text_AlreadyStrengthenedMax	这项能力已经\n{color[ff4d2fff]}无法再进行强化了{color[000000ff]}。
Text_CopyAbilityStrengtheningFirst	已强化为{[0309|0000]}{[0107|0000]}{[0301|0000]}，\n{color[ff4d2fff]}攻击力提升{color[000000ff]}了！
Text_CopyAbilityStrengtheningMore	已强化为{[0309|0000]}{[0107|0000]}{[0301|0000]}，\n{color[ff4d2fff]}攻击力进一步提升{color[000000ff]}了！
Text_CopyAbilityStrengtheningMax	已强化为{[0309|0000]}{[0107|0000]}{[010a|0300]}，\n{color[ff4d2fff]}攻击力{color[000000ff]}已提升至\n此能力的{color[ff4d2fff]}上限{color[000000ff]}！
Text_CapsuleToyAlreadyComplete	目前即将获得的{color[ff4d2fff]}{[031e]}{color[000000ff]}模型已完成收藏。\n是否确定仍要继续转动扭蛋机？
Btn_Turn	转动
Text_CapsuleToyPointStarShortage	{[0100|8000]}硬币星{color[ff4d2fff]}不足{color[000000ff]}。\n需要{color[ff4d2fff]}{[0301|0000]}枚{color[000000ff]}{[0100|8000]}。
Text_FigureListDecorateFigure	已将模型装饰在家中。\n\n{color[ff4d2fff]}最多{color[000000ff]}可以同时摆放{color[ff4d2fff]}3个{color[000000ff]}模型。
Text_FigureListDecorateFigureAndRemove	已将原本装饰在家中的1个模型收回，\n并将指定模型装饰在家中。\n\n{color[ff4d2fff]}最多{color[000000ff]}可以同时摆放{color[ff4d2fff]}3个{color[000000ff]}模型。
Text_FigureListRemoveDecoratedFigure	模型已整理完毕。
Text_FigureListNoFigures	目前还{color[ff4d2fff]}未持有任何模型{color[000000ff]}。\n请通过关卡或扭蛋机收集吧！
Text_FigureListEventHint_TownFoodShop	只要在瓦豆鲁迪咖啡店\n{color[ff4d2fff]}多多点餐{color[000000ff]}就能获得此模型。
Text_FigureListEventHint_TownCafeJob	只要在瓦豆鲁迪咖啡店\n{color[ff4d2fff]}过关极限打工{color[000000ff]}就能获得此模型。
Text_FigureListEventHint_TownDeliveryservice	只要在瓦豆鲁迪快递\n{color[ff4d2fff]}输入数个{color[000000ff]}礼物关键词\n就能获得此模型。
Text_FigureListEventHint_TownKnow	只要{color[ff4d2fff]}多多倾听{color[000000ff]}知识渊博瓦豆鲁迪\n所说的话就能获得此模型。
Text_FigureListEventHint_TownToolShop	只要在瓦豆鲁迪道具店\n{color[ff4d2fff]}多多购物{color[000000ff]}就能获得此模型。
Text_FigureListEventHint_TownTamakoro	只要{color[ff4d2fff]}过关所有{color[000000ff]}滚啊滚啊！滚球卡比\n就能获得此模型。
Text_FigureListEventHint_TownFishing	只要在紧张刺激！刹那间的钓鱼池中\n钓到{color[ff4d2fff]}黄金鱼王{color[000000ff]}就能获得此模型。
Text_FigureListEventHint_TownAbilityRoom	只要在瓦豆鲁迪武器店\n进化{color[ff4d2fff]}所有复制能力{color[000000ff]}\n就能获得此模型。
Text_FigureListEventHint_TownArena	只要竞技场{[0312]}的\n{color[ff4d2fff]}所有关卡过关{color[000000ff]}\n就能获得此模型。
Text_FigureListEventHint_TownTheaterRoom	只要瓦豆鲁迪电影院的\n{color[ff4d2fff]}所有影片{color[000000ff]}都能观看时，\n就能获得此模型。
Text_FigureListEventHint_TownLive	只要将街角瓦豆演奏的\n舞台{color[ff4d2fff]}升级到极限{color[000000ff]}\n就能获得此模型。
Text_FigureListEventHint_BossChimeraPerfect	只要竞技场{[0312]}的\n{color[ff4d2fff]}所有关卡过关{color[000000ff]}\n就能获得此模型。
Text_FigureListEventHint_ChallengeAllClear	只要{color[ff4d2fff]}过关所有{color[000000ff]}宝藏之路\n就能获得此模型。
Text_FigureListEventHint_BossLionAndLeopard	只要{color[ff4d2fff]}收集到所有{color[000000ff]}\n绝岛幻梦·遗忘中飘浮的{[0302|0000]}\n就能获得此模型。
Text_FigureListArenaHint	只要{color[ff4d2fff]}过关{color[000000ff]}竞技场的\n{color[ff4d2fff]}{[0312]}{color[000000ff]}，\n扭蛋机清单中就会新增此模型。
Text_FigureListEvolutionHint	只要进化{color[ff4d2fff]}{[030a]}能力{color[000000ff]}，\n扭蛋机清单中就会新增此模型。
Text_FigureListEventHintBeforeUnlockTown	只要{color[ff4d2fff]}瓦豆鲁迪小镇{color[000000ff]}得到了发展\n就能得知在何处可以获得此模型。
Text_FigureListEventHintBeforeUnlockEstory	只要和{color[ff4d2fff]}卡洛凌{color[000000ff]}搭话\n并继续冒险，\n就能得知在何处可以获得此模型。
Text_FigureListEventHint_SoulSingle	只要{color[ff4d2fff]}过关被遗忘的·自然{color[000000ff]}，\n扭蛋机清单中就会新增此模型。
Text_FigureListEventHintDisclosureEstoryStage	只要{color[ff4d2fff]}陆续通过\n绝岛幻梦·遗忘{color[000000ff]}的{color[ff4d2fff]}关卡{color[000000ff]}，\n扭蛋机清单中就会新增此模型。
Text_FigureListArenaHintHiddenName	？？？
Text_FigureListEstoryHintHiddenName	？？？
Text_FigureListEstoryHintOpenName	狮王的灵魂
Btn_DeliveryServiceUse	使用
Text_DeliveryService_NetLoading	为确认快递礼物，\n正在进行互联网连接……
Text_DeliveryService_FailedConnectInternet	互联网连接失败。{[0004]}要保持未连接互联网的状态，\n{color[ff4d2fff]}使用{color[000000ff]}瓦豆鲁迪快递吗？\n\n仅可使用在小镇中\n发现的礼物关键词。
Btn_DeliveryService_UseInternet	使用
Btn_DeliveryServiceInputAbort	退出
Btn_NotCancel	不退出
Text_TownPresentBox_WithPresentCode	礼物关键词\n{color[ff4d2fff]}“{[0302|0000]}”{color[000000ff]}的\n快递礼物已送达。
Text_TownPresentBox_WithoutPresentCode	使用礼物关键词所获得的\n快递礼物已送达。
Text_TownPresentBox_GetRewardCoin	获得{[0301|0000]}枚{[0100|8000]}{[0320]}！
Text_TownPresentBox_GetRewardRare	获得{[0301|0000]}个{[0101|8100]}{[0321]}。
Text_TownPresentBox_GetRewardItem	获得{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardItemItem	获得{[0301|0000]}个{[0317]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardCoinRare	获得{[0301|0000]}枚{[0100|8000]}{[0320]}\n以及{[0301|0000]}个{[0101|8100]}{[0321]}。
Text_TownPresentBox_GetRewardCoinItem	获得{[0301|0000]}枚{[0100|8000]}{[0320]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardCoinItemItem	获得{[0301|0000]}枚{[0100|8000]}{[0320]}、\n{[0301|0000]}个{[0317]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardRareItem	获得{[0301|0000]}个{[0101|8100]}{[0321]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardRareItemItem	获得{[0301|0000]}个{[0101|8100]}{[0321]}、\n{[0301|0000]}个{[0317]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardCoinRareItem	获得{[0301|0000]}枚{[0100|8000]}{[0320]}、{[0301|0000]}个{[0101|8100]}{[0321]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardCoinRareItemItem	获得{[0301|0000]}枚{[0100|8000]}{[0320]}、{[0301|0000]}个{[0101|8100]}{[0321]}、\n{[0301|0000]}个{[0317]}\n以及{[0301|0000]}个{[0317]}。
Text_TownPresentBox_GetRewardSupportCoin	瓦豆鲁迪们送来了\n{color[ff4d2fff]}{[0301|0000]}枚{[0100|8000]}硬币星{color[000000ff]}！
Text_TownFoundWatchword_00	这种地方竟然写着礼物关键词。\n{color[ff4d2fff]}“{[031f]}”{color[000000ff]}{[0004]}礼物关键词可在瓦豆鲁迪快递处进行使用，\n并且只能使用1次。
Text_TownFoundWatchword_01	传单上竟然写着礼物关键词。\n{color[ff4d2fff]}“{[031f]}”{color[000000ff]}{[0004]}礼物关键词可在瓦豆鲁迪快递处进行使用，\n并且只能使用1次。
Text_TownFoundWatchword_02	发现了隐藏的礼物关键词。\n{color[ff4d2fff]}“{[031f]}”{color[000000ff]}{[0004]}礼物关键词可在瓦豆鲁迪快递处进行使用，\n并且只能使用1次。
Text_TownFoundWatchword_03	发现了写在墙壁上的礼物关键词。\n{color[ff4d2fff]}“{[031f]}”{color[000000ff]}{[0004]}礼物关键词可在瓦豆鲁迪快递处进行使用，\n并且只能使用1次。
Text_TownFoundWatchword_04	这种地方竟然也有礼物关键词。\n{color[ff4d2fff]}“{[031f]}”{color[000000ff]}{[0004]}礼物关键词可在瓦豆鲁迪快递处进行使用，\n并且只能使用1次。
Btn_Buy	购买
Btn_TakeOut	外带
Btn_ForHere	堂食
Title_MgameFoodHowToPlay	选择正确的菜肴吧！{[0004]}要注意保持客人满意度哦！{[0004]}午餐时间可是非常忙碌的！
Text_MgameFoodHowToPlay_00	注意观察客人的{color[ff4d2fff]}对话框\n{color[000000ff]}来选择客人所点的菜肴！
Text_MgameFoodHowToPlay_01	如果{color[ff4d2fff]}客人满意度{color[000000ff]}下降到了最低，\n{color[ff4d2fff]}游戏将会直接结束{color[000000ff]}。\n记得别让客人久等，尽快提供菜肴！
Text_MgameFoodHowToPlay_02	午餐时间{color[ff4d2fff]}游戏节奏将会一口气提升{color[000000ff]}！\n正确应对接踵而来的订单，\n并{color[ff4d2fff]}以取得高分为目标吧{color[000000ff]}！
Text_MgameFoodResultPointStar_Solo	取得{[0301|0000]}分，\n获得{color[ff4d2fff]}{[0301|0100]}枚{color[000000ff]}{[0100|8000]}{color[ff4d2fff]}硬币星{color[000000ff]}！
Text_MgameFoodResultPointStar_Multi	2人总计取得{[0301|0000]}分，\n获得{color[ff4d2fff]}{[0301|0100]}枚{color[000000ff]}{[0100|8000]}{color[ff4d2fff]}硬币星{color[000000ff]}！
Text_MgameFoodDifficultyUnlock	现在可以游玩\n{color[ff4d2fff]}“忙碌打工”{color[000000ff]}与\n{color[ff4d2fff]}“极限打工”{color[000000ff]}了！
Text_MgameFoodRetry	要进行重试，\n从头开始打工吗？
Text_MgameFoodEnd	要放弃打工吗？\n\n放弃后将{color[ff4d2fff]}不会保存{color[000000ff]}所取得的分数。
Btn_MgameFoodGiveUp	放弃
Btn_Listen	聆听
Text_KnowledgeConnectProcessing	正在连接互联网……
