AbilityList.msbt
$TownAbilityListAttackText	こうげき{r2[りょく]}力{/r2}
MainThemeSong_04_Sub	{r2[へんきょく]}編曲{/r2}
MainThemeSong_05	{r2[おがさわら]}小笠原{/r2} {r2[ゆうた]}雄太{/r2}
SpecialThanks	スペシャルサンクス
SpecialThanks_00	{r2[いしむら]}石村{/r2} {r2[ひとし]}仁志{/r2}
SpecialThanks_01	{r2[まえじま]}前嶋{/r2} {r2[まさや]}雅也{/r2}
SpecialThanks_02	{r2[こじま]}小嶋{/r2} {r2[はじめ]}宗{/r2}
SpecialThanks_03	{r2[かさい]}葛西{/r2} {r2[しげのぶ]}重忍{/r2}
SpecialThanks_04	{r2[なかがみ]}仲上{/r2} {r2[まさよ]}雅代{/r2}
SpecialThanks_05	{r2[おだ]}織田{/r2} {r2[あすか]}明寿香{/r2}
SpecialThanks_06	{r2[さの]}佐野{/r2} {r2[ゆみこ]}由美子{/r2}
SpecialThanks_07	{r2[みねむら]}峰村{/r2} {r2[ともひろ]}智大{/r2}
SpecialThanks_08	{r2[あべ]}阿部{/r2} {r2[てつや]}哲也{/r2}
SpecialThanks_09	{r2[さいぐさ]}三枝{/r2} {r2[ひろし]}宏{/r2}
SpecialThanks_10	{r2[つだ]}津田{/r2} {r2[じゅん]}純{/r2}
SpecialThanks_11	{r2[かぶしきがいしゃ]}株式会社{/r2}バンプール
SpecialThanks_12	{r2[かぶしきがいしゃ]}株式会社{/r2}ジーアールドライブ
SpecialThanks_13	{r2[かぶしきがいしゃ]}株式会社{/r2}グッド・フィール
SpecialThanks_14	トイロミュージック {r2[ごうどうがいしゃ]}合同会社{/r2}
Adviser	アドバイザー
Adviser_00	{r2[まつみや]}松宮{/r2} {r2[のぶお]}信雄{/r2}
Coordinator	コーディネーター
Coordinator_00	{r2[なかにし]}中西{/r2} {r2[けんた]}健太{/r2}
ProjectManagement	プロジェクトマネージメント
ProjectManagement_00	{r2[ながた]}永田{/r2} {r2[よしひろ]}善裕{/r2}
ProjectManagement_01	{r2[せのお]}妹尾{/r2} {r2[あやか]}文香{/r2}
ProjectManagement_02	{r2[もちづき]}望月{/r2} {r2[てつや]}哲也{/r2}
ProjectManagement_03	{r2[やました]}山下{/r2} {r2[あつこ]}敦子{/r2}
AssociateProducer	アソシエイトプロデューサー
AssociateProducer_00	{r2[にのみや]}二宮{/r2} {r2[けい]}啓{/r2}
Producers	プロデューサー
Producers_00	{r2[かみたけ]}上武{/r2} {r2[ただし]}理志{/r2}
Producers_01	{r2[のなか]}野中{/r2} {r2[とよかず]}豊和{/r2}
Producers_02	{r2[きなし]}木梨{/r2} {r2[あきら]}玲{/r2}
GeneralProducers	ゼネラルプロデューサー
GeneralProducers_00	{r2[かわせ]}川瀬{/r2} {r2[しげふみ]}滋史{/r2}
GeneralProducers_01	{r2[たかはし]}高橋{/r2} {r2[しんや]}伸也{/r2}
ExecutiveProducer	エグゼクティブプロデューサー
ExecutiveProducer_00	{r2[ふるかわ]}古川{/r2} {r2[しゅんたろう]}俊太郎{/r2}
Copyright	制作・著作　株式会社ハル研究所／任天堂株式会社\n©HAL Laboratory, Inc. / Nintendo
Cstage.msbt
$CstageStartSignText	READY
$CstageStartSignGoText	GO！
CstageTimeupText	タイムアップ
CstageGiveupText	ギブアップ
$RestartText	もういちど
$ExitText	ステージをでる
$CstageClearText	レアストーンゲット
$ClearTimeText	クリアタイム
$BestTimeText	ベストタイム
$CstageBastTimeSlash	/
$StageStartCstageTargetTime	もくひょうタイム
$BonusCoinText	{[0100|8000]}+50
Dialog.msbt
PageNum	{[0301|0000]}/{[0301|0100]}
CornerBtn_Back	もどる
CornerBtn_Close	とじる
Btn_Cancel	やめる
Btn_CancelForExit	キャンセル
Text_NewGameConfirm	あたらしいファイルで はじめますか？
Text_FileLoadConfirm	ファイル{[0301|0000]}を つづきから あそびますか？
Btn_GameStartNew	はじめる
Btn_GameStart	あそぶ
Text_FileConfirmConnectDisallowToAllow	ファイル{[0301|0000]}の インターネットの{r2[せつぞく]}接続{/r2}を\n{color[ff4d2fff]}りようする{color[000000ff]}に へんこうしますか？\n\nプレイデータを{r2[そうしん]}送信{/r2}して、{r2[せかいじゅう]}世界中{/r2}のプレイヤーと\nプレイ{r2[じょうほう]}情報{/r2}を {r2[きょうゆう]}共有{/r2}することができます。
Btn_Change	へんこうする
Text_FileChangedConnectAllow	ファイル{[0301|0000]}の インターネットの{r2[せつぞく]}接続{/r2}を\n{color[ff4d2fff]}りようする{color[000000ff]}に へんこうしました。\n\nプレイ{r2[じょうほう]}情報{/r2}を {r2[せかいじゅう]}世界中{/r2}のプレイヤーと\n{r2[きょうゆう]}共有{/r2}することが できるように なりました。{[0004]}ゲームを{r2[すす]}進{/r2}めると あらわれる\n{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}から\n{r2[せかいじゅう]}世界中{/r2}のプレイ{r2[じょうほう]}情報{/r2}を {r2[き]}聞{/r2}くことが できます。
Text_FileConfirmConnectAllowToDisallow	ファイル{[0301|0000]}の インターネットの{r2[せつぞく]}接続{/r2}は\nりようするに なっています。\n\n{color[ff4d2fff]}りようしない{color[000000ff]}に へんこうしますか？
Text_FileChangedConnectDisallow	ファイル{[0301|0000]}の インターネットの{r2[せつぞく]}接続{/r2}を\n{color[ff4d2fff]}りようしない {color[000000ff]}にへんこうしました。\n\nあとからでも りようする にへんこうできます。
Text_FileDeleteConfirm1	{color[ff4d2fff]}ファイル{[0301|0000]}{color[000000ff]}の データを\nすべて けしますか？
Btn_FileDeleteConfirm1_Yes	けす
Btn_FileDeleteConfirm1_No	けさない
Text_FileDeleteConfirm2	ほんとうに けしますよ？
Btn_FileDeleteConfirm2_Yes	ほんとうに けす
Btn_FileDeleteConfirm2_No	やっぱり けさない
Text_FileDeleteConfirm3	けしたデータは もどりません！！\n{color[ff4d2fff]}こうかいしませんね？{color[000000ff]}
Btn_FileDeleteConfirm3_Yes	こうかいしない！！！！
Btn_FileDeleteConfirm3_No	けしたく ないです…
Text_FileDeleteFinished	ファイル{[0301|0000]}を けしました。
Text_KnowledgeConfirmConnectInternet	インターネットの{r2[せつぞく]}接続{/r2}を りようしますか？\n\nプレイデータを{r2[そうしん]}送信{/r2}して、{r2[せかいじゅう]}世界中{/r2}のプレイヤーと\nプレイ{r2[じょうほう]}情報{/r2}を {r2[きょうゆう]}共有{/r2}することができます。
Btn_Connect_Yes	りようする
Btn_Connect_No	しない
Text_KnowledgeConnectInternetAppliedNewGame	インターネットの{r2[せつぞく]}接続{/r2}を\n{color[ff4d2fff]}りようする{color[000000ff]}に せっていしました。\n\nプレイ{r2[じょうほう]}情報{/r2}を {r2[せかいじゅう]}世界中{/r2}のプレイヤーと\n{r2[きょうゆう]}共有{/r2}することが できるように なりました。{[0004]}ゲームを{r2[すす]}進{/r2}めると あらわれる\n{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}から\n{r2[せかいじゅう]}世界中{/r2}のプレイ{r2[じょうほう]}情報{/r2}を {r2[き]}聞{/r2}くことが できます。
Text_KnowledgeConnectInternetApplied	インターネットの{r2[せつぞく]}接続{/r2}を\n{color[ff4d2fff]}りようする{color[000000ff]}に せっていしました。\n\nプレイ{r2[じょうほう]}情報{/r2}を {r2[せかいじゅう]}世界中{/r2}のプレイヤーと\n{r2[きょうゆう]}共有{/r2}することが できるように なりました。{[0004]}{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}から\n{r2[せかいじゅう]}世界中{/r2}のプレイ{r2[じょうほう]}情報{/r2}を {r2[き]}聞{/r2}くことが できます。
Text_KnowledgeHowToChangeSetting	インターネット{r2[せつぞく]}接続{/r2}の りようは\nタイトルがめんの「{color[ff4d2fff]}ファイルをえらぶ{color[000000ff]}」や、\nゲームを{r2[すす]}進{/r2}めると あらわれる\n{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}から\n{color[ff4d2fff]}{[0402|0200]}インターネットせってい{color[000000ff]}で へんこうできます。
Text_ChangeDifficulty	なんいどを {color[ff4d2fff]}{[0313]}{color[000000ff]}に\nへんこうしますか？
Text_ChangeDifficultyInTutorial	なんいどを へんこうしますか？\n\nへんこうすると {r2[いま]}今{/r2}のステージの\nさいしょに もどります。
Text_CannotChangeDifficulty	{r2[いま]}今{/r2}は なんいどを {color[ff4d2fff]}へんこうできません。{color[000000ff]}\n\nワールドマップや ワドルディの{r2[まち]}町{/r2}で\nへんこうできます。
Text_CannotChangeDifficultyAbilityRoom	{r2[いま]}今{/r2}は なんいどを {color[ff4d2fff]}へんこうできません。\n\n{color[000000ff]}ぶき{r2[や]}屋{/r2}の チュートリアル{r2[ご]}後{/r2}から\nへんこうできます。
Text_ChangeDifficultyOnDead	あそびやすい なんいどの\n{color[ff4d2fff]}{[0313]}{color[000000ff]}に へんこうしますか？
Btn_NoChange	へんこうしない
Text_ChangeDifficultyOnClear	はごたえある アクションの\n{color[ff4d2fff]}{[0313]}{color[000000ff]}に へんこうしますか？\n\nステージクリアで {[0100|8000]}コインスターが\nおおくもらえる ようになります。
Text_ToTitle	タイトルへ もどりますか？
Btn_ToTitle	タイトルへ
Text_StageExit	ステージをでますか？\n\nたっせいした ミッションは{color[ff4d2fff]}セーブされません。{color[000000ff]}
Text_EstoryStageExit	ステージをでますか？\n\nあつめた レオンのソウルは{color[ff4d2fff]}セーブされません。{color[000000ff]}
Text_StageExitSimple	ステージをでますか？
Btn_StageExit	ステージをでる
Text_CstageRetry	ステージのさいしょから {color[ff4d2fff]}リトライ{color[000000ff]}しますか？
Btn_Retry	リトライする
Text_ArenaExit	コロシアムをでますか？\n\n{r2[て]}手{/r2}に{r2[い]}入{/r2}れた {[0100|8000]}コインスターは{color[ff4d2fff]}セーブされません。{color[000000ff]}
Btn_ArenaExit	コロシアムをでる
Text_AutoSwallowDisabled	{color[ff4d2fff]}オートのみこみ{color[000000ff]}が {color[ff4d2fff]}{r2[オフ]}OFF{/r2}{color[000000ff]}になりました。\n\nのみこみは {[0409|6000]} / {[040a|6100]} で できます。
Text_ControllerErrorShortsge	{r2[せつぞく]}接続{/r2} されている\n{color[ff4d2fff]}コントローラーが１つ{color[000000ff]}しか ありません。
Text_PlayerCannotJoinAlert	{r2[いま]}今{/r2}は プレイ{r2[にんずう]}人数{/r2}を {color[ff4d2fff]}へんこうできません。{color[000000ff]}
Text_ControllerDisconnectedError	２Ｐの {color[ff4d2fff]}コントローラー{r2[せつぞく]}接続{/r2}が きれました。{color[000000ff]}\n\nコントローラーを{r2[せつぞく]}接続{/r2}して\nもういちど {[0411|9400]}ポーズから えらんでください。
Text_Amiibo_AskToStart	{color[ff4d2fff]}{r2[アミーボ]}amiibo{/r2}{color[000000ff]}を つかって ストックアイテムや\n{[0100|8000]}コインスターなどの アイテムを ゲットできます。\n{r2[アミーボ]}amiibo{/r2}を つかいますか？
Btn_Use	つかう
Text_AmiiboTouch_AskTouchAmiibo	{color[ff4d2fff]}{[0301|0000]}P{color[000000ff]}の コントローラーの {color[ff4d2fff]}{r2[エヌエフシー]}NFC{/r2}エリア{color[000000ff]}に\n{r2[アミーボ]}amiibo{/r2}を タッチしてください。
Text_AmiiboTouch_CancelBtn	{[0401|0100]} キャンセル
Text_AmiiboTouch_Canceling	キャンセル{r2[ちゅう]}中{/r2}…
Text_AmiiboTouch_Reading	{r2[よ]}読{/r2}みこみ{r2[ちゅう]}中{/r2}…
Text_Amiibo_ExceedMaxCount	{r2[アミーボ]}amiibo{/r2}を つかえるのは つづけて {color[ff4d2fff]}５{r2[かい]}回{/r2}{color[000000ff]}までです。\n{color[ff4d2fff]}ステージを クリア{color[000000ff]}すると\nまたつかえるように なります。
Text_Amiibo_ExceedMaxCount_InArena	{r2[アミーボ]}amiibo{/r2}を つかえるのは つづけて {color[ff4d2fff]}５{r2[かい]}回{/r2}{color[000000ff]}までです。\n\nエントリー{r2[ちゅう]}中{/r2}の {r2[たいかい]}大会{/r2}で {color[ff4d2fff]}ゆうしょうする{color[000000ff]}か\n{r2[はいたい]}敗退{/r2}して {color[ff4d2fff]}「はじめから やりなおす」{color[000000ff]}を えらぶと{color[ff4d2fff]}\n{color[000000ff]}またつかえるように なります。
Text_Amiibo_AlreadyUsed	この{r2[アミーボ]}amiibo{/r2}からは もうアイテムを {color[ff4d2fff]}もらいました。\nステージを クリア{color[000000ff]}すると\nまたつかえるように なります。
Text_Amiibo_AlreadyUsed_InArena	この{r2[アミーボ]}amiibo{/r2}からは もうアイテムを {color[ff4d2fff]}もらいました。{color[000000ff]}\n\nエントリー{r2[ちゅう]}中{/r2}の {r2[たいかい]}大会{/r2}で {color[ff4d2fff]}ゆうしょうする{color[000000ff]}か\n{r2[はいたい]}敗退{/r2}して {color[ff4d2fff]}「はじめから やりなおす」{color[000000ff]}を えらぶと{color[ff4d2fff]}\n{color[000000ff]}またつかえるように なります。
Text_Amiibo_NotAllowedMode	{r2[アミーボ]}amiibo{/r2}は ステージや {r2[まち]}町{/r2}の{r2[なか]}中{/r2}で\nつかうことが できます。
Text_Amiibo_NotAllowedOther	{r2[いま]}今{/r2}は {r2[アミーボ]}amiibo{/r2}を{color[ff4d2fff]}つかえません。{color[000000ff]}
Text_Amiibo_ErrorNfcDeviceNotFound	{r2[アミーボ]}amiibo{/r2}を {r2[よ]}読{/r2}みとれる\nコントローラーが {color[ff4d2fff]}みつかりませんでした。{color[000000ff]}
Text_Amiibo_ErrorOther	エラーが {r2[はっせい]}発生{/r2}しました。
Text_RetryCourseCar	このレースを {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nミッションや アイテムは、レースをする\nまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCourseCoaster	ジェットコースターを {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nミッションや アイテムは、ジェットコースターに\nのるまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCourseCoasterEstory	ジェットコースターを {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nアイテムは、ジェットコースターに\nのるまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCourseBossRush	ボスとの{r2[たたか]}戦{/r2}いの あとから {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nミッションや アイテムは、ボスとの{r2[たたか]}戦{/r2}いの \nあとの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCourseGlider	アーチほおばりのエリアを {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nミッションや アイテムは、アーチほおばりになる\nまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCoursePowerfulWind	{r2[かぜ]}風{/r2}にながされる まえから{color[ff4d2fff]} リトライ{color[000000ff]}しますか？\n\nアイテムは、{r2[かぜ]}風{/r2}にながされる\nまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_RetryCourseCylinder	どかんほおばりのエリアを {color[ff4d2fff]}リトライ{color[000000ff]}しますか？\n\nミッションや アイテムは、どかんほおばりになる\nまえの じょうたいに {color[ff4d2fff]}もどります。{color[000000ff]}
Text_BackToTown	ワドルディの{r2[まち]}町{/r2}へ かえりますか？
Btn_BackToTown	まちへかえる
Text_NoEnoughVillagers	このゲートを とっぱするには\nもっとワドルディの {r2[ちから]}力{/r2}が ひつようです。\nステージで ワドルディを {color[ff4d2fff]}たすけてあげよう！{color[000000ff]}
Text_NoEnoughVillagersOnCheckGate	このゲートを とっぱするには\nもっとワドルディの {r2[ちから]}力{/r2}が ひつようです。\nステージで ワドルディを {color[ff4d2fff]}たすけてあげよう！{color[000000ff]}
Text_BossStageUnlocked	{color[ff4d2fff]}ワドルディたち{color[000000ff]}の {r2[ちから]}力{/r2}で\n{r2[みち]}道{/r2}をふさぐ ゲートが ひらかれました。\nナワバリをまもる {color[ff4d2fff]}ボスへ いどもう！{color[000000ff]}
Text_WmapAreaUnlocked	ボスを たおしたことで {color[ff4d2fff]}{r2[あら]}新{/r2}たなエリア{color[000000ff]}を{r2[はっけん]}発見{/r2}しました！\nさぁ、{r2[さき]}先{/r2}へすすもう！
Text_WmapAreaWaddleDeeComplete	{size[6e00]}ついに {[030e]}に とらえられている\n{color[ff4d2fff]}すべてのワドルディ{color[000000ff]}を たすけ{r2[だ]}出{/r2}しました！{size[6400]}
Text_WmapAnotherContinentUnlock	デデデ{r2[だいおう]}大王{/r2}が エフィリンを つれさってしまった…！\n{r2[あら]}新{/r2}たなエリアを たんさくし、\nさらわれた エフィリンを {color[ff4d2fff]}たすけ{r2[だ]}出{/r2}そう！{color[000000ff]}
Text_WmapAreaUnlockedLevel6	{color[ff4d2fff]}{r2[あら]}新{/r2}たなエリア{color[000000ff]}を {r2[はっけん]}発見{/r2}しました！\nつれさられた {color[ff4d2fff]}エフィリンは、きっとこの{r2[さき]}先{/r2}に…\n{color[000000ff]}ぶじでいてね、エフィリン！
Text_WmapCstageFirstUnlocked	たすけた ワドルディたちが\nナゾの{r2[くうかん]}空間{/r2}、{color[ff4d2fff]}トレジャーロード{color[000000ff]}を{r2[はっけん]}発見{/r2}しました！{[0004]}{color[ff4d2fff]}きちょうなアイテム{color[000000ff]}が {r2[み]}見{/r2}つかるかも…\nたんさく してみよう！
Text_WmapCstageFind	かくされていた ひみつの {color[ff4d2fff]}トレジャーロード{color[000000ff]}を{r2[はっけん]}発見{/r2}！\nさっそく チャレンジしてみよう！
Text_WmapCstageRequestEvolve	この トレジャーロードに{r2[はい]}入{/r2}るには\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}が ひつようです。\nワドルディのぶき{r2[や]}屋{/r2}で しんか させて{r2[こ]}来{/r2}よう！
Text_WmapCstageRequestBlueprint	この トレジャーロードに{r2[はい]}入{/r2}るには\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}が ひつようです。\nせっけい{r2[ず]}図{/r2}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れて、{r2[まち]}町{/r2}で しんか させて{r2[こ]}来{/r2}よう！
Title_WmapCstageComplete	トレジャーロード コンプリート！
Text_WmapCstageComplete	あらゆる のうりょくを つかいこなし、\n{color[ff4d2fff]}すべての トレジャーロード{color[000000ff]}を クリアした！\nごほうびに {color[ff4d2fff]}とくべつな フィギュア{color[000000ff]}を プレゼント！
Title_TownEvent_CompleteWaddleDee	ワドルディ コンプリート！
Text_TownEvent_CompleteWaddleDee	ありがとう カービィ！\n{color[ff4d2fff]}すべての ワドルディたち{color[000000ff]}を たすけた おれいに\n{r2[まち]}町{/r2}のひろばに{color[ff4d2fff]} かんしゃのどうぞう{color[000000ff]} ができました！
Title_TownEvent_CompleteFigure	フィギュア コンプリート！
Text_TownEvent_CompleteFigure	{color[ff4d2fff]}すべてのフィギュア{color[000000ff]}を あつめた ごほうびに、\nガチャルポンコレクションいちらん がめんの\n{r2[おんがく]}音楽{/r2}が、{color[ff4d2fff]}とくべつばんに{color[000000ff]} なりました！
Title_EstoryCompleteSoul	レオンのソウル コンプリート！
Text_EstoryCompleteSoul	{color[ff4d2fff]}すべての レオンのソウルを{color[000000ff]} あつめました！\nその ゆうきの あかしに、\n{color[ff4d2fff]}とくべつな フィギュア{color[000000ff]}を プレゼント！
Title_TownFirstDemo	いつでも{r2[ふたり]}２人{/r2}で あそべる！
Text_TownFirstDemo	ポーズから{color[ff4d2fff]}「{r2[ふたり]}２人{/r2}であそぶ」{color[000000ff]}をえらぶと\n２Pで {color[ff4d2fff]}バンダナワドルディ{color[000000ff]} をそうさできます !\n{r2[ちから]}力{/r2}をあわせて {r2[ふたり]}２人{/r2}プレイだ！
Text_UnlockFigureList	{color[ff4d2fff]}ガチャルポンコレクション{color[000000ff]}が オープンしました。\nあつめた フィギュアを {r2[み]}見{/r2}ることができます。\nめざせ コンプリート！
Title_UnlockStrengthening	のうりょくきょうか！
Text_UnlockStrengthening	のうりょくを {color[ff4d2fff]}きょうか{color[000000ff]}すると{color[ff4d2fff]}「＋」{color[000000ff]}がつき\n{color[ff4d2fff]}こうげき{r2[りょく]}力{/r2}が アップ{color[000000ff]}します！\nきょうかした のうりょくで ボスにいどもう！
Text_TownUnlockAreaLv1	たすけた ワドルディたちが {r2[まち]}町{/r2}を たてなおし{r2[ちゅう]}中{/r2}！\nたくさん たすけると、{color[ff4d2fff]}{r2[あたら]}新{/r2}しい しせつ{color[000000ff]}が\nどんどん オープンしていきます！
Text_TownUnlockTheaterRoom	{r2[おも]}思{/r2}い{r2[で]}出{/r2}の あのシーンを シアターで。\n{color[ff4d2fff]}ワドルディシアター{color[000000ff]}が オープンしました！
Text_TownUnlockCapsuleToyMachine1	ガチャっと まわせば フィギュアがポン！\nあつめて {r2[たの]}楽{/r2}しいコレクション、\n{color[ff4d2fff]}ガチャルポン {r2[ボリューム]}Vol.{/r2}１{color[000000ff]}が せっちされました！
Text_TownUnlockAbilityRoom	コピーのうりょくが もっと つよくなる！\n{color[ff4d2fff]}ワドルディのぶき{r2[や]}屋{/r2}{color[000000ff]}が オープンしました！
Text_TownUnlockDeliveryService	プレゼントキーワードで アイテムを おとりよせ！\n{color[ff4d2fff]}50{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて、\n{color[ff4d2fff]}おとどけワドル{r2[びん]}便{/r2}{color[000000ff]}を オープンしました。
Text_TownUnlockKirbyHouse	あこがれのマイホームが この{r2[まち]}町{/r2}に！\n{color[ff4d2fff]}50{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて、\n{color[ff4d2fff]}カービィハウス{color[000000ff]}を たててくれました。
Text_TownUnlockFoodStore_01	オシャレなカフェが やってきた！\n{color[ff4d2fff]}60{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて、\n{color[ff4d2fff]}ワドルディカフェ{color[000000ff]}を オープンしました。
Text_TownUnlockFoodStore_02	{r2[にんき]}人気{/r2}のカフェで ドタバタおてつだい！\n{color[ff4d2fff]}はたらく！ワドルディカフェ{color[000000ff]}が\nあそべるように なりました。
Text_TownUnlockAreaLv2	ワドルディの{r2[まち]}町{/r2}が\n{color[ff4d2fff]}さらに{r2[おお]}大{/r2}きく{color[000000ff]} なりました！
Text_TownUnlockCapsuleToyMachine2	ガチャルポンに {r2[しん]}新{/r2}ラインナップが とうじょう！\n{color[ff4d2fff]}ガチャルポン {r2[ボリューム]}Vol.{/r2}２{color[000000ff]}が せっちされました。
Text_TownUnlockArena	{r2[たたか]}戦{/r2}った ライバルたちとの バトルしょうぶ！\nごうかな ほうしゅうが {r2[て]}手{/r2}に{r2[はい]}入{/r2}る、\n{color[ff4d2fff]}コロシアム{color[000000ff]}が オープンしました。
Text_TownUnlockPharmacy	ぼうけんを サポートするアイテムが せいぞろい！\n{color[ff4d2fff]}145{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて、\n{color[ff4d2fff]}ワドルディのどうぐ{r2[や]}屋{/r2}{color[000000ff]}を オープンしました。
Text_TownUnlockAreaLv3_01	{color[ff4d2fff]}155{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて\n{r2[まち]}町{/r2}が {color[ff4d2fff]}さらに{r2[おお]}大{/r2}きく{color[000000ff]}なりました！
Text_TownUnlockAreaLv3_02	{r2[おお]}大{/r2}モノ ねらって フィッシング！\n{color[ff4d2fff]}ドキドキ！せつなのつりぼり{color[000000ff]}が\nあそべるように なりました。
Text_TownUnlockCapsuleToyMachine3	ガチャルポンに {r2[しん]}新{/r2}ラインナップが とうじょう！\n{color[ff4d2fff]}ガチャルポン {r2[ボリューム]}Vol.{/r2}３{color[000000ff]}が せっちされました。
Text_TownUnlockRollingBall	かたむけて コロコロ タマころがし！\n{color[ff4d2fff]}180{r2[にん]}人{/r2}{color[000000ff]}の ワドルディたちが {r2[ちから]}力{/r2}をあわせて、\n{color[ff4d2fff]}コロコロ！タマコロカービィ{color[000000ff]}が オープンしました。
Text_TownUnlockCapsuleToyMachine4	ガチャルポンに {r2[しん]}新{/r2}ラインナップが とうじょう！\n{color[ff4d2fff]}ガチャルポン {r2[ボリューム]}Vol.{/r2}４{color[000000ff]}が せっちされました。
Text_TownUnlockStreetLive	お{r2[す]}好{/r2}きなサウンドを リクエスト！\n{color[ff4d2fff]}{r2[まち]}町{/r2}かどワドライブ{color[000000ff]}が はじまりました。
Text_TownUnlockStreetLiveLv2	ギターケースに {[0100|8000]}コインスターを{r2[い]}入{/r2}れて\nオシャレな ぶたいに グレードアップ！\n{color[ff4d2fff]}{r2[あたら]}新{/r2}しい{r2[きょく]}曲{/r2}{color[000000ff]}が えんそうされる{color[ff4d2fff]} {color[000000ff]}ようになりました！
Text_TownUnlockStreetLiveLv3	ギターケースに {[0100|8000]}コインスターを{r2[い]}入{/r2}れて\nとっても メジャーな ぶたいに グレードアップ！\n{color[ff4d2fff]}{r2[あたら]}新{/r2}しい{r2[きょく]}曲{/r2}{color[000000ff]}が えんそうされる ようになりました！
Text_TownUnlockArenaLv2_01	つわものどもに うち{r2[か]}勝{/r2}って、めざすはチャンピオン！\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}アルティメットカップ {color[000000ff]}に\nさん{r2[せん]}戦{/r2} できるように なりました！
Text_TownUnlockArenaLv2_02	The アルティメットカップ には\nうけつけ から エントリーできます。
Text_TownUnlockArenaLv3_01	きゅうきょくの {r2[だいけっせん]}大決戦{/r2}へ…！\n{color[ff4d2fff]}The{color[000000ff]} {color[ff4d2fff]}アルティメットカップＺ {color[000000ff]}に\nさん{r2[せん]}戦{/r2} できるように なりました！
Text_TownUnlockArenaLv3_02	The アルティメットカップＺ には\nうけつけ から エントリーできます。\n…こうかい しませんね？
Text_TownNoticeCopyAbilityAbleToEvolute_01	{color[ff4d2fff]}{[030a]}{color[000000ff]}のうりょくが\n{color[ff4d2fff]}しんか{color[000000ff]}できるように なりました！
Text_TownNoticeCopyAbilityAbleToEvolute_02	{color[ff4d2fff]}{[030a]}{color[000000ff]}のうりょくが\n{color[ff4d2fff]}しんか{color[000000ff]}できるように なりました！\nさっそく ワドルディのぶき{r2[や]}屋{/r2}で しんかさせよう！
Text_TownNoticeCopyAbilityAbleToEvolute_03	{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}が {r2[まち]}町{/r2}にやってきました！\nまだ{r2[て]}手{/r2}に{r2[い]}入{/r2}れていない {color[ff4d2fff]}せっけい{r2[ず]}図{/r2}のありか{color[000000ff]}や、\nいろんな {r2[じょうほう]}情報{/r2}を おしえて くれます！
Text_TownNoticeCopyAbilityAbleToStrength	コピーのうりょくの {color[ff4d2fff]}こうげき{r2[りょく]}力{/r2}がアップ{color[000000ff]}する！\nワドルディのぶき{r2[や]}屋{/r2}で コピーのうりょくを\n{color[ff4d2fff]}きょうか{color[000000ff]}できるように なりました！
Text_ArenaClerk_UnlockCompetition	{color[ff4d2fff]}{[0312]}{color[000000ff]}が コロシアムに とうじょう！\nてごわい ボスたちとの{r2[たたか]}戦{/r2}いが、\nコロシアムで {r2[ま]}待{/r2}っています！
Text_TownClearedArenaLv3_01	{r2[さいこう]}最高{/r2}なんいどの The アルティメットカップZ で\nゆうしょうした きねんとして、\nカービィハウスの{r2[なか]}中{/r2}に {r2[あたら]}新{/r2}しく {color[ff4d2fff]}しゃしんが かざられました！{color[000000ff]}
