AbilityList.msbt
$TownAbilityListAttackText	Power
Text_RetryCourseCylinder	Would you like to {color[ff4d2fff]}retry {color[000000ff]}the Pipe Mouth\nsection from the beginning?\n\nMission progress and collected items will\nalso {color[ff4d2fff]}revert {color[000000ff]}to their prior status.
Text_BackToTown	Return to Waddle Dee Town?
Btn_BackToTown	Return
Text_NoEnoughVillagers	You'll need more Waddle Dees to help you\nbreak through this gate. {color[ff4d2fff]}Find and save{color[000000ff]}\nthe Waddle Dees hidden in each stage!
Text_NoEnoughVillagersOnCheckGate	You'll need more Waddle Dees to help you\nbreak through this gate. {color[ff4d2fff]}Find and save{color[000000ff]}\nthe Waddle Dees hidden in each stage!
Text_BossStageUnlocked	The {color[ff4d2fff]}Waddle Dees{color[000000ff]} helped you open\nthe gate that was blocking your way!\nHead into the stage, and {color[ff4d2fff]}challenge the\nboss {color[000000ff]}that's guarding this territory.
Text_WmapAreaUnlocked	You defeated the boss and {color[ff4d2fff]}opened up a new area{color[000000ff]}!
Text_WmapAreaWaddleDeeComplete	{size[6e00]}You've saved {color[ff4d2fff]}all of the Waddle Dees\n{color[000000ff]}in {[030e]}!{size[6400]}
Text_WmapAnotherContinentUnlock	Elfilin has been captured by King Dedede...\nExplore the next area and {color[ff4d2fff]}save Elfilin{color[000000ff]}!
Text_WmapAreaUnlockedLevel6	You found a {color[ff4d2fff]}new area{color[000000ff]}!\nPoor, captured {color[ff4d2fff]}Elfilin must be farther ahead{color[000000ff]}...\nHope you're OK out there, Elfilin!
Text_WmapCstageFirstUnlocked	The Waddle Dees you saved found a new,\nmysterious area: {color[ff4d2fff]}Treasure Road{color[000000ff]}!{[0004]}There could be {color[ff4d2fff]}rare items{color[000000ff]} in there...\nHop in and explore!
Text_WmapCstageFind	You found a hidden portal to a {color[ff4d2fff]}Treasure Road{color[000000ff]}!\nLet's see what's inside...
Text_WmapCstageRequestEvolve	You can't enter this Treasure Road\nwithout the {color[ff4d2fff]}{[0309|0000]}{color[000000ff]} ability...\nTry visiting Waddle Dee's Weapons Shop in town!
Text_WmapCstageRequestBlueprint	You can't enter this Treasure Road without the\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]} ability... Find its blueprint, and\nbring it to Waddle Dee's Weapons Shop in town!
Title_WmapCstageComplete	Treasure Road: Complete!
Text_WmapCstageComplete	You cleared {color[ff4d2fff]}every Treasure Road\n{color[000000ff]}by using all of your different abilities!\nYou've earned a {color[ff4d2fff]}special figure{color[000000ff]} as a reward!
Title_TownEvent_CompleteWaddleDee	Waddle Dees: Complete!
Text_TownEvent_CompleteWaddleDee	You saved {color[ff4d2fff]}every Waddle Dee{color[000000ff]}! Thank you,\nKirby! As a show of appreciation, {color[ff4d2fff]}special\nstatues {color[000000ff]}are now in the town plaza!
Title_TownEvent_CompleteFigure	Figures: Complete!
Text_TownEvent_CompleteFigure	As a bonus reward for collecting {color[ff4d2fff]}every\nfigure{color[000000ff]}, you will now hear {color[ff4d2fff]}special music{color[000000ff]}\nplaying over the collection screen!
Title_EstoryCompleteSoul	Leon's Soul: Complete!
Text_EstoryCompleteSoul	You have collected {color[ff4d2fff]}all the pieces of\nLeon's Soul{color[000000ff]}! As proof of your courage,\nyou've earned a {color[ff4d2fff]}special figure{color[000000ff]}!
Title_TownFirstDemo	Co-op with Two Players!
Text_TownFirstDemo	Select {color[ff4d2fff]}Play Co-op{color[000000ff]} from the pause menu\nto have P2 control{color[ff4d2fff]} Bandana Waddle Dee{color[000000ff]}!\nWork together by playing together!
Text_UnlockFigureList	Your {color[ff4d2fff]}Figure Collection{color[000000ff]} is now available.\nUse this to view all the figures you've collected.\nSee if you can collect a full set!
Title_UnlockStrengthening	Ability powered up!
Text_UnlockStrengthening	When you {color[ff4d2fff]}power up{color[000000ff]} an ability, a "{color[ff4d2fff]}+{color[000000ff]}" will\nbe added to show that its {color[ff4d2fff]}attack power\nhas been increased{color[000000ff]}. Use that extra power\nto beat some hard bosses!
Text_TownUnlockAreaLv1	The Waddle Dees are rebuilding their town!\nSave as many as you can to open up\n{color[ff4d2fff]}new buildings {color[000000ff]}and {color[ff4d2fff]}helpful resources{color[000000ff]}.
Text_TownUnlockTheaterRoom	{color[ff4d2fff]}Waddle Dee Cinema {color[000000ff]}is now open!\nRewatch some memorable scenes on the big screen!
Text_TownUnlockCapsuleToyMachine1	{color[ff4d2fff]}Gotcha Machine (Vol. 1){color[000000ff]} is now available.\nTurn the crank to get a figure.\nTry to collect the whole set!
Text_TownUnlockAbilityRoom	{color[ff4d2fff]}Waddle Dee's Weapons Shop {color[000000ff]}is now open!\nHead here to make your Copy Abilities even stronger!
Text_TownUnlockDeliveryService	The {color[ff4d2fff]}50 Waddle Dees{color[000000ff]} you've saved worked\ntogether to rebuild {color[ff4d2fff]}Waddle Dee-liveries{color[000000ff]}!\nEnter Present Codes to get special items.
Text_TownUnlockKirbyHouse	The {color[ff4d2fff]}50 Waddle Dees {color[000000ff]}you've saved worked\ntogether to build {color[ff4d2fff]}Kirby's House{color[000000ff]}!\nIt's your home away from home!
Text_TownUnlockFoodStore_01	The {color[ff4d2fff]}60 Waddle Dees{color[000000ff]} you've saved worked\ntogether to rebuild the {color[ff4d2fff]}Waddle Dee Café{color[000000ff]}!\nHow fancy! Wonder what's on the menu...
Text_TownUnlockFoodStore_02	You can now play {color[ff4d2fff]}Waddle Dee Café: Help Wanted!{color[000000ff]}\nWork fast to serve a line of hungry locals!
Text_TownUnlockAreaLv2	Waddle Dee Town has grown{color[ff4d2fff]} even bigger{color[000000ff]}!
Text_TownUnlockCapsuleToyMachine2	{color[ff4d2fff]}Gotcha Machine (Vol. 2){color[000000ff]} is now available.\nThere's an entirely new set of figures to collect!
Text_TownUnlockArena	The {color[ff4d2fff]}Colosseum {color[000000ff]}is now open for battle!\nFight bosses and rivals you've faced\nin the past to win glorious prizes!
Text_TownUnlockPharmacy	The {color[ff4d2fff]}145 Waddle Dees{color[000000ff]} you've saved worked\ntogether to rebuild {color[ff4d2fff]}Waddle Dee's Item Shop{color[000000ff]}!\nBuy a few items to help you on your adventure!
Text_TownUnlockAreaLv3_01	The {color[ff4d2fff]}155 Waddle Dees{color[000000ff]} you've saved worked\ntogether to make the town {color[ff4d2fff]}even bigger{color[000000ff]}!
Text_TownUnlockAreaLv3_02	You can now play {color[ff4d2fff]}Flash Fishing{color[000000ff]}!\nTry to land some big catches!
Text_TownUnlockCapsuleToyMachine3	{color[ff4d2fff]}Gotcha Machine (Vol. 3){color[000000ff]} is now available.\nThere's another new set of figures to collect!
Text_TownUnlockRollingBall	The {color[ff4d2fff]}180 Waddle Dees{color[000000ff]} you've saved worked\ntogether to rebuild the games booth.\nNow you can play {color[ff4d2fff]}Tilt-and-Roll Kirby{color[000000ff]}!
Text_TownUnlockCapsuleToyMachine4	{color[ff4d2fff]}Gotcha Machine (Vol. 4){color[000000ff]} is now available.\nThere are even more new figures to collect!
Text_TownUnlockStreetLive	The {color[ff4d2fff]}Waddle Live! Corner Stage{color[000000ff]} has been rebuilt!\nPut in a request to hear your favorite tunes.
Text_TownUnlockStreetLiveLv2	You've tossed {[0100|8000]} Star Coins into the guitar case.\nNow the band can perform on a nicer stage\nand {color[ff4d2fff]}play new songs{color[000000ff]}!
Text_TownUnlockStreetLiveLv3	You've tossed {[0100|8000]} Star Coins into the guitar case.\nNow the band can perform on an incredible stage\nand {color[ff4d2fff]}play even more new songs{color[000000ff]}!
Text_TownUnlockArenaLv2_01	You can now enter {color[ff4d2fff]}The Ultimate Cup{color[000000ff]} in the Colosseum!\nBattle tough opponents, and aim to become the champ!
Text_TownUnlockArenaLv2_02	To enter The Ultimate Cup, visit the booth\nin front of the Colosseum.
Text_TownUnlockArenaLv3_01	Ready for the ultimate test of skill? You can now\nenter {color[ff4d2fff]}The Ultimate Cup Z {color[000000ff]}in the Colosseum!
Text_TownUnlockArenaLv3_02	To enter The Ultimate Cup Z, visit the booth\nin front of the Colosseum. Good luck!
Text_TownNoticeCopyAbilityAbleToEvolute_01	The {color[ff4d2fff]}{[030a]} {color[000000ff]}ability can now be {color[ff4d2fff]}evolved{color[000000ff]}!
Text_TownNoticeCopyAbilityAbleToEvolute_02	The {color[ff4d2fff]}{[030a]} {color[000000ff]}ability can now be {color[ff4d2fff]}evolved{color[000000ff]}!\nPay a visit to Waddle Dee's Weapons Shop!
Text_TownNoticeCopyAbilityAbleToEvolute_03	{color[ff4d2fff]}Wise Waddle Dee{color[000000ff]} has arrived in town. He'll give you\n{color[ff4d2fff]}tips{color[000000ff]} to find missing {color[ff4d2fff]}blueprints {color[000000ff]}and a whole lot more!
Text_TownNoticeCopyAbilityAbleToStrength	Want to {color[ff4d2fff]}increase the power{color[000000ff]} of a Copy Ability?\nGood news! Copy Abilities can now be {color[ff4d2fff]}powered up{color[000000ff]}\nat Waddle Dee's Weapons Shop!
Text_ArenaClerk_UnlockCompetition	{color[ff4d2fff]}{[0312]} {color[000000ff]}is now available at the Colosseum!\nChallenging battles with ferocious bosses await you!
Text_TownClearedArenaLv3_01	To congratulate you on surviving the brutal battles\nof The Ultimate Cup Z, a {color[ff4d2fff]}new photo has been added\n{color[000000ff]}to the wall inside Kirby's House!
Text_TownClearedArenaLv3_02	As you clear different modes, new photos will\nbe added to the wall inside Kirby's House.{[0004]}There are {color[ff4d2fff]}10 photos{color[000000ff]} in total. Play on, and\nmake a bunch of unforgettable memories!{[0004]}Try to reach 100 percent completion, and\nbecome a {color[ff4d2fff]}master of all things Kirby{color[000000ff]}!
Text_TownClearedArenaLv3_03	{color[ff4d2fff]}Trader Waddle Dee{color[000000ff]} has arrived in town!\nIf your collection is missing a {color[ff4d2fff]}figure{color[000000ff]}, he'll\ntrade you one of his own for a {[0101|8100]} Rare Stone.{[0004]}Trade with him—or search this world's many\nstages—and try to {color[ff4d2fff]}collect all 256 figures{color[000000ff]}!
Text_TownMovieSelectPlayOther	Would you like to watch another movie?
Btn_TheaterRoomSee	Pick another
Text_SetCopyAbility	This ability is now set to {color[ff4d2fff]}{[0309|0000]}{color[000000ff]}.\nWhen you find this ability in a stage, it will\nbe set to {[0309|0000]} to match!
Text_SetStrengthenedCopyAbility	This ability is now set to {color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[0301|0000]}{color[000000ff]}.\nWhen you find this ability in a stage, it will\nbe set to {[0309|0000]}{[0107|0000]}{[0301|0000]} to match!
Text_SetMaxStrengthenedCopyAbility	This ability is now set to {color[ff4d2fff]}{[0309|0000]}{[0107|0000]}{[010a|0300]}{color[000000ff]}.\nWhen you find this ability in a stage, it will\nbe set to {[0309|0000]}{[0107|0000]}{[010a|0300]} to match!
Text_CheckEvolve	Would you like to evolve the {[030a]} ability\ninto {color[ff4d2fff]}{[0309|0000]}{color[000000ff]}?
Btn_Evolve	Evolve
Text_EvolvePointStarShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]}{color[000000ff]} and {color[ff4d2fff]}{[0101|8100]} {[0301|0100]}{color[000000ff]} are required to evolve.
Text_EvolveRarePieceShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0101|8100]} Rare Stones.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and {color[ff4d2fff]}{[0101|8100]} {[0301|0100]} {color[000000ff]}are required to evolve.
Text_EvolvePointStarAndRarePieceShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins\nor {[0101|8100]} Rare Stones.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and {color[ff4d2fff]}{[0101|8100]} {[0301|0100]} {color[000000ff]}are required to evolve.
Title_RarePieceShortageGoCstage	Enter Treasure Road!
Text_RarePieceShortageGoCstage	Explore each portal to {color[ff4d2fff]}Treasure Road\n{color[000000ff]}to find more {[0101|8100]} Rare Stones.
Text_RarePieceShortageRescueWaddleDee	{color[ff4d2fff]}Save lots of Waddle Dees{color[000000ff]} and explore each\nnew portal to Treasure Road to find more\n{[0101|8100]} Rare Stones!
Text_RarePieceShortageGoArena	If you need a {[0101|8100]} Rare Stone,\ntry clearing the {color[ff4d2fff]}Colosseum{color[000000ff]}!
Text_CopyAbilityEvolution	The {[030a]} ability has evolved\ninto {color[ff4d2fff]}{[0309|0000]}{color[000000ff]}!
Text_CopyAbilityEvolutionCstageOpen	This evolution will allow you to enter the portal\nfor the {color[ff4d2fff]}{[0309|0000]}{color[000000ff]} {color[ff4d2fff]}Treasure{color[000000ff]}\nin {[030e]}. Go try it out!
Text_CopyAbilityEvolutionCstageUnlock	This evolution just opened a {color[ff4d2fff]}new Treasure Road\n{color[000000ff]}portal in {[030e]}. Go try it out!
Text_CheckStrengthen	Use {color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and {color[ff4d2fff]}{[0101|8100]} {[0301|0100]} {color[000000ff]}to power up\nthe {[0309|0000]} ability?
Text_CheckStrengthenMore	Use {color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and{color[ff4d2fff]} {[0101|8100]} {[0301|0100]} {color[000000ff]}to power up\nthe {[0309|0000]}{[0107|0000]}{[0301|0200]} ability?
Btn_Strengthen	Power up
Text_StrengthenPointStarShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and {color[ff4d2fff]}{[0101|8100]} {[0301|0100]}{color[000000ff]} are required to power up.
Text_StrengthenRarePieceShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0101|8100]} Rare Stones.\n\n{color[ff4d2fff]}{[0101|8100]} {[0301|0100]} {color[000000ff]}are required to power up.
Text_StrengthenPointStarAndRarePieceShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins\nor {[0101|8100]} Rare Stones.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]} {color[000000ff]}and{color[ff4d2fff]} {[0101|8100]} {[0301|0100]} {color[000000ff]}are required to power up.
Text_InableStrengthen	This ability {color[ff4d2fff]}cannot be powered up{color[000000ff]}.
Text_AlreadyStrengthenedMax	This ability {color[ff4d2fff]}can't be powered up{color[000000ff]} any further.
Text_CopyAbilityStrengtheningFirst	Powered up to {[0309|0000]}{[0107|0000]}{[0301|0000]}!\nThis ability's {color[ff4d2fff]}attack power has increased{color[000000ff]}!
Text_CopyAbilityStrengtheningMore	Powered up to {[0309|0000]}{[0107|0000]}{[0301|0000]}!\nThis ability's {color[ff4d2fff]}attack power {color[000000ff]}has {color[ff4d2fff]}increased even more{color[000000ff]}!
Text_CopyAbilityStrengtheningMax	Powered up to {[0309|0000]}{[0107|0000]}{[010a|0300]}!\nThis ability has now reached its {color[ff4d2fff]}max attack power{color[000000ff]}!
Text_CapsuleToyAlreadyComplete	You've collected all currently available figures from\n{color[ff4d2fff]}{[031e]}{color[000000ff]}. Are you sure you want to turn this crank?
Btn_Turn	Turn
Text_CapsuleToyPointStarShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.\n{[0100|8000]} {color[ff4d2fff]}{[0301|0000]}{color[000000ff]} are required.
Text_FigureListDecorateFigure	This figure will now be displayed\ninside Kirby's House.\n\nYou can display {color[ff4d2fff]}up to three figures{color[000000ff]} at once.
Text_FigureListDecorateFigureAndRemove	You put an earlier figure away to display\nthis one inside Kirby's House instead.\n\nYou can display {color[ff4d2fff]}up to three figures{color[000000ff]} at once.
Text_FigureListRemoveDecoratedFigure	This figure has now been put away.
Text_FigureListNoFigures	You {color[ff4d2fff]}don't have any figures{color[000000ff]}.\nGo find some by exploring stages, or\ncollect some from the Gotcha Machines!
Text_FigureListEventHint_TownFoodShop	You can earn this figure by {color[ff4d2fff]}ordering lots\nof items{color[000000ff]} from the Waddle Dee Café.
Text_FigureListEventHint_TownCafeJob	You can earn this figure by {color[ff4d2fff]}clearing the\nFrenzy Gig{color[000000ff]} at the Waddle Dee Café.
Text_FigureListEventHint_TownDeliveryservice	You can earn this figure by {color[ff4d2fff]}entering a few\nPresent Codes{color[000000ff]} at Waddle Dee-liveries.
Text_FigureListEventHint_TownKnow	You can earn this figure by {color[ff4d2fff]}listening to\na lot of Wise Waddle Dee's readings{color[000000ff]}.
Text_FigureListEventHint_TownToolShop	You can earn this figure by {color[ff4d2fff]}buying a lot\nof items {color[000000ff]}from Waddle Dee's Item Shop.
Text_FigureListEventHint_TownTamakoro	You can earn this figure by {color[ff4d2fff]}clearing\nall of Tilt-and-Roll Kirby{color[000000ff]}.
Text_FigureListEventHint_TownFishing	You can earn this figure by catching the\nlegendary "{color[ff4d2fff]}Bling Blipper{color[000000ff]}" in Flash Fishing.
Text_FigureListEventHint_TownAbilityRoom	You can earn this figure by {color[ff4d2fff]}evolving every\nCopy Ability{color[000000ff]} in Waddle Dee's Weapons Shop.
Text_FigureListEventHint_TownArena	You can earn this figure by {color[ff4d2fff]}beating all\nof {[0312]}{color[000000ff]} in the Colosseum.
Text_FigureListEventHint_TownTheaterRoom	You can earn this figure by {color[ff4d2fff]}unlocking every\nmovie{color[000000ff]} in Waddle Dee Cinema.
Text_FigureListEventHint_TownLive	You can earn this figure by{color[ff4d2fff]} fully upgrading\nthe Waddle Live! Corner Stage{color[000000ff]} in town.
Text_FigureListEventHint_BossChimeraPerfect	You can earn this figure by {color[ff4d2fff]}beating all\nof {[0312]}{color[000000ff]} in the Colosseum.
Text_FigureListEventHint_ChallengeAllClear	You can earn this figure by {color[ff4d2fff]}clearing every\nTreasure Road{color[000000ff]} stage.
Text_FigureListEventHint_BossLionAndLeopard	You can earn this figure by\n{color[ff4d2fff]}collecting all the {[0302|0000]}{color[000000ff]}\nin Isolated Isles: Forgo Dreams.
Text_FigureListArenaHint	This figure will be added to the\nGotcha Machine lineup after you {color[ff4d2fff]}clear all\nof {[0312]} {color[000000ff]}in the Colosseum.
Text_FigureListEvolutionHint	This figure will be added to\nthe Gotcha Machine lineup after\nyou {color[ff4d2fff]}evolve the {[030a]} ability{color[000000ff]}.
Text_FigureListEventHintBeforeUnlockTown	You'll discover where you can earn\nthis figure by {color[ff4d2fff]}rebuilding more of\nWaddle Dee Town{color[000000ff]}.
Text_FigureListEventHintBeforeUnlockEstory	You'll discover where you can earn this\nfigure by {color[ff4d2fff]}speaking to Clawroline {color[000000ff]}and\ncontinuing your adventure.
Text_FigureListEventHint_SoulSingle	This figure will be added to the\nGotcha Machine lineup after you\n{color[ff4d2fff]}clear Forgo Plains{color[000000ff]}.
Text_FigureListEventHintDisclosureEstoryStage	This figure will be added to the Gotcha\nMachine lineup after you {color[ff4d2fff]}clear every\nstage in Isolated Isles: Forgo Dreams{color[000000ff]}.
Text_FigureListArenaHintHiddenName	???
Text_FigureListEstoryHintHiddenName	???
Text_FigureListEstoryHintOpenName	Pieces of Leon's Soul
Btn_DeliveryServiceUse	Use
Text_DeliveryService_NetLoading	Connecting online to locate Delivery Presents...
Text_DeliveryService_FailedConnectInternet	Online connection failed.{[0004]}Would you like to {color[ff4d2fff]}use Waddle Dee-liveries{color[000000ff]}\nwithout an online connection?\n\nWhile offline, you can only enter Present\nCodes that were discovered in town.
Btn_DeliveryService_UseInternet	Use
Btn_DeliveryServiceInputAbort	Cancel
Btn_NotCancel	Enter code
Text_TownPresentBox_WithPresentCode	A Delivery Present arrived with this Present Code:\n"{color[ff4d2fff]}{[0302|0000]}{color[000000ff]}"
Text_TownPresentBox_WithoutPresentCode	A Delivery Present matching that Present Code\nhas arrived at Kirby's House.
Text_TownPresentBox_GetRewardCoin	You got {[0301|0000]} {[0100|8000]} {[0320]}!
Text_TownPresentBox_GetRewardRare	You got {[0301|0000]} {[0101|8100]} {[0321]}!
Text_TownPresentBox_GetRewardItem	You got {[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardItemItem	You got {[0301|0000]} {[0317]} and\n{[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardCoinRare	You got {[0301|0000]} {[0100|8000]} {[0320]} and\n{[0301|0000]} {[0101|8100]} {[0321]}!
Text_TownPresentBox_GetRewardCoinItem	You got {[0301|0000]} {[0100|8000]} {[0320]} and\n{[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardCoinItemItem	You got {[0301|0000]} {[0100|8000]} {[0320]},\n{[0301|0000]} {[0317]},\nand {[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardRareItem	You got {[0301|0000]} {[0101|8100]} {[0321]} and\n{[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardRareItemItem	You got {[0301|0000]} {[0101|8100]} {[0321]},\n{[0301|0000]} {[0317]},\nand {[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardCoinRareItem	You got {[0301|0000]} {[0100|8000]} {[0320]}, {[0301|0000]} {[0101|8100]} {[0321]},\nand {[0301|0000]} {[0317]}.
Text_TownPresentBox_GetRewardCoinRareItemItem	You got {[0301|0000]} {[0100|8000]} {[0320]}, {[0301|0000]} {[0101|8100]} {[0321]},\n{[0301|0000]} {[0317]}, and\n{[0301|0000]} {[0317]}!
Text_TownPresentBox_GetRewardSupportCoin	The Waddle Dees pitched in and gave you a gift:\n{color[ff4d2fff]}{[0301|0000]} {[0100|8000]} Star Coins{color[000000ff]}!
Text_TownFoundWatchword_00	There's a Present Code written here...\n"{color[ff4d2fff]}{[031f]}{color[000000ff]}"\nUse this one-time code at Waddle Dee-liveries!
Text_TownFoundWatchword_01	There's a Present Code written on this flyer...\n"{color[ff4d2fff]}{[031f]}{color[000000ff]}"\nUse this one-time code at Waddle Dee-liveries!
Text_TownFoundWatchword_02	You discovered a hidden Present Code...\n"{color[ff4d2fff]}{[031f]}{color[000000ff]}"\nUse this one-time code at Waddle Dee-liveries!
Text_TownFoundWatchword_03	You discovered a Present Code written on the wall...\n"{color[ff4d2fff]}{[031f]}{color[000000ff]}"\nUse this one-time code at Waddle Dee-liveries!
Text_TownFoundWatchword_04	There's a Present Code written here too!\n"{color[ff4d2fff]}{[031f]}{color[000000ff]}"\nUse this one-time code at Waddle Dee-liveries!
Btn_Buy	Buy
Btn_TakeOut	Take it to go
Btn_ForHere	Eat it here
Title_MgameFoodHowToPlay	Select the right item!{[0004]}Keep customers happy!{[0004]}Beware the lunch rush!
Text_MgameFoodHowToPlay_00	Check each customer's {color[ff4d2fff]}food order{color[000000ff]},\nthen select the item they want!
Text_MgameFoodHowToPlay_01	If the customer-satisfaction level gets too\nlow, it'll be {color[ff4d2fff]}game over{color[000000ff]}. Try not to keep\nthem waiting for too long!
Text_MgameFoodHowToPlay_02	When the lunch rush hits, the {color[ff4d2fff]}speed will\nincrease{color[000000ff]}! Serve as many correct orders as\nyou can to try to {color[ff4d2fff]}earn a high score{color[000000ff]}!
Text_MgameFoodResultPointStar_Solo	Score: {[0301|0000]}\nYou earned {color[ff4d2fff]}{[0301|0100]} {color[000000ff]}{[0100|8000]} {color[ff4d2fff]}Star Coins{color[000000ff]}!
Text_MgameFoodResultPointStar_Multi	Total combined score: {[0301|0000]}\nYou earned {color[ff4d2fff]}{[0301|0100]} {color[000000ff]}{[0100|8000]} {color[ff4d2fff]}Star Coins{color[000000ff]}!
Text_MgameFoodDifficultyUnlock	{color[ff4d2fff]}Hustle Gig {color[000000ff]}and {color[ff4d2fff]}Frenzy Gig{color[000000ff]}\nare now available!
Text_MgameFoodRetry	Do you want to start this gig over\nand retry from the beginning?
Text_MgameFoodEnd	Give this gig up?\n\nYour current score {color[ff4d2fff]}will not be saved{color[000000ff]}.
Btn_MgameFoodGiveUp	Give up
Btn_Listen	Listen
Text_KnowledgeConnectProcessing	Connecting...
Text_KnowledgeConfirmConnectFailed	Online connection has failed. Would you\nlike to listen to Wise Waddle Dee without\nconnecting?\n\nWhile offline, you will not be able to hear\nabout global gameplay information or\nmake your own visible.
Btn_Continue	Listen
Text_KnowledgeConfirmConnectDisallowToAllow	Would you like to change your online\nsetting from "Do Not Use" to "{color[ff4d2fff]}Use{color[000000ff]}"?\n\nUsing an online connection will allow you\nto make your gameplay information visible\nto other players from all over the world.
Text_KnowledgeConfirmConnectAllowToDisallow	Would you like to change your online\nsetting from "Use" to "{color[ff4d2fff]}Do Not Use{color[000000ff]}"?
Text_KnowledgeChangedConnectAllow	The online setting has been\nchanged to "{color[ff4d2fff]}Use{color[000000ff]}."\n\nYour gameplay information is now visible\nto other players all over the world!{[0004]}To check global gameplay information,\njust talk to {color[ff4d2fff]}Wise Waddle Dee{color[000000ff]}.
Text_KnowledgeChangedConnectDisallow	The online setting has been\nchanged to "{color[ff4d2fff]}Do Not Use{color[000000ff]}."\n\nThis setting can be changed back\nat any time.
Text_KnowledgeNoNeedsReload	You already have the most recent data.
Btn_ArenaEntry	Enter
Btn_ArenaEntryDissolve	Withdraw
Text_ArenaEntryEraseRecord1	Delete all records for {color[ff4d2fff]}{[0312]}{color[000000ff]}?
Btn_ArenaEraseRecord1_Yes	Delete
Text_ArenaEntryEraseRecord2	Deleted records cannot be restored.\n{color[ff4d2fff]}Are you sure you want to delete this?{color[000000ff]}
Btn_ArenaEraseRecord2_Yes	Yep, delete it
Text_ArenaRevivalPointStarShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]}{color[000000ff]} are needed to retry.
Text_TownArenaGetRewardPointStar	You got {color[ff4d2fff]}{[0301|0000]} {color[000000ff]}{[0100|8000]} {color[ff4d2fff]}Star Coins{color[000000ff]}!
Text_TownArenaGetRewardRarePiece	You got a{color[ff4d2fff]} {color[000000ff]}{[0101|8100]} {color[ff4d2fff]}Rare Stone{color[000000ff]} × {color[ff4d2fff]}{[0301|0000]}{color[000000ff]}!
Text_TownArenaGetRewardFigure	You got a {color[ff4d2fff]}special figure{color[000000ff]}!
Text_TownArenaGetRewardBlueprint	You got the {color[ff4d2fff]}{[0309|0000]} Blueprint{color[000000ff]}!\nNow you can evolve the {color[ff4d2fff]}{[030a]} {color[000000ff]}ability...\nTake it to Waddle Dee's Weapons Shop!
Title_MgameFishHowToPlay	Press the right buttons!{[0004]}Keep on catchin'!
Text_MgameFishHowToPlay	When a fish bites, button icons will\nappear. Press the {color[ff4d2fff]}correct button{color[000000ff]} as fast\nas you can! Don't let 'em get away!{[0004]}If you catch several fish in a row, you'll\neventually snag a {color[ff4d2fff]}big one{color[000000ff]}. Press the\nbuttons quickly and try for a high score!
Title_MgameBallHowToPlay	Roll around to reach\nthe goal!{[0004]}Reach the goal to win\na reward!
Text_MgameBallHowToPlay	Tilt the controller to guide the balls\nto the {[0102|8300]} {color[ff4d2fff]}goal markers{color[000000ff]}!{[0004]}If you successfully reach each goal,\nyou'll win a {color[ff4d2fff]}reward{color[000000ff]}. Try harder\ndifficulties to win greater rewards!
Text_MgameBallPointStarShortage	You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.\n\n{color[ff4d2fff]}{[0100|8000]} {[0301|0000]}{color[000000ff]} are needed to play.
Text_MgameBallGiveUp	Stop playing Tilt-and-Roll Kirby?\n\nAny {[0100|8000]} Star Coins you paid to play\n{color[ff4d2fff]}will not be refunded{color[000000ff]}.
Btn_MgameBallGiveUp	Exit
Text_MgameBallFirstClearLv1	You {color[ff4d2fff]}cleared{color[000000ff]} Tilt-and-Roll Kirby {[0104|8500]}!
Text_MgameBallFirstClearLv2	You {color[ff4d2fff]}cleared{color[000000ff]} Tilt-and-Roll Kirby {[0104|8500]}{[0104|8500]}!
Text_MgameBallFirstClearLv3	You {color[ff4d2fff]}cleared all{color[000000ff]} of Tilt-and-Roll Kirby!
