glossary.msbt
gl_799	クッパケーキ
hsmm03_mw_evnt23	{r2[こんかい]}今回{/r2}は{r2[とくべつ]}特別{/r2}に、わたしから\r\n10コインプレゼントしますね。
hsmm03_mw_evnt24	では、この[0]コインをかけて\r\nミニゲームで{r2[しょうぶ]}勝負{/r2}です！
hsmm03_mw_evnt30	どのミニゲームで{r2[たいせん]}対戦{/r2}するか\r\n{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さんに、{r2[えら]}選{/r2}んでもらいましょう。{color[000000ff]}
hsmm03_mw_evnt40	トップの{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さんと、{r2[ほか]}他{/r2}の3{r2[にん]}人{/r2}で{r2[たいせん]}対戦{/r2}！\r\n{r2[か]}勝{/r2}った{r2[ほう]}方{/r2}が{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}20コインゲットです。{color[000000ff]}
hsmm04.msbt
hsmm04_mw_op00	{r2[ふたり]}2人{/r2}で{r2[ちから]}力{/r2}を{r2[あ]}合{/r2}わせて\r\n{r2[さき]}先{/r2}に、[0]{r2[しょう]}勝{/r2}したチームの{r2[しょうり]}勝利{/r2}だよ！
hsmm04_mw_rd00	{r2[しょせん]}初戦{/r2}に{r2[か]}勝{/r2}つのはどっち？\r\nまず、{r2[さいしょ]}最初{/r2}のミニゲームを{r2[き]}決{/r2}めよう！
hsmm04_mw_rd10	{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}、{color[000000ff]}{color[ff3502ff]}[1]{color[000000ff]}{color[ffffffff]}チームが\r\n{r2[ぎゃくてん]}逆転{/r2}したー！！{color[000000ff]}
hsmm04_mw_rd11	{r2[つぎ]}次{/r2}のミニゲームは\r\n{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}に{r2[えら]}選{/r2}んでもらおう！{color[000000ff]}
hsmm04_mw_rd20	{r2[ざんねん]}残念{/r2}だけど、{r2[しょうぶ]}勝負{/r2}がつかなかったね…
hsmm04_mw_rd21	{r2[き]}気{/r2}を{r2[と]}取{/r2}り{r2[なお]}直{/r2}して、{r2[つぎ]}次{/r2}のミニゲームにいこう！
hsmm04_mw_rd90	…あと1{r2[しょう]}勝{/r2}で{r2[しょうぶ]}勝負{/r2}が{r2[き]}決{/r2}まるね。
hsmm04_mw_rd91	さてさて、{r2[つぎ]}次{/r2}が{r2[さいご]}最後{/r2}になるのかな！？
hsmm05.msbt
hsmm05_mw_op00	{r2[てき]}敵{/r2}と{r2[たいせん]}対戦{/r2}して、5{r2[れんしょう]}連勝{/r2}できたらクリアだ！\r\nさて、どこまで{r2[か]}勝{/r2}てるかな？
hsmm05_mw_op00_st2	さっきより{r2[つよ]}強{/r2}い{r2[てき]}敵{/r2}を{r2[あつ]}集{/r2}めたよ！\r\n{r2[つぎ]}次{/r2}は、どこまで{r2[か]}勝{/r2}てるかな？
hsmm05_mw_op00_st3	…ここまでやるとは{r2[おも]}思{/r2}わなかったよ。\r\n{r2[つぎ]}次{/r2}も、{r2[さいご]}最後{/r2}まで{r2[か]}勝{/r2}てるかな！？
hsmm05_mw_op00_st4	さぁ、ここからは{r2[ひとり]}1人{/r2}でチャレンジだ！\r\nどこまで{r2[か]}勝{/r2}てるかな？
hsmm05_mw_op00_st5	くーっ！もっと{r2[つよ]}強{/r2}い{r2[てき]}敵{/r2}を{r2[あつ]}集{/r2}めたよ！\r\n{r2[つぎ]}次{/r2}は、どこまで{r2[か]}勝{/r2}てるかな？
hsmm05_mw_op00_st6	…{r2[ひとり]}1人{/r2}でも、ここまでやるとは{r2[おも]}思{/r2}わなかったよ。\r\nこの{r2[てき]}敵{/r2}{r2[たち]}達{/r2}にも、{r2[さいご]}最後{/r2}まで{r2[か]}勝{/r2}てるかな！？
hsmm05_mw_op01	フフ、なかなかやるねえ。\r\nはたして、{r2[つぎ]}次{/r2}はどうかな？
hsmm05_mw_op01b	まぁ、ここで{r2[か]}勝{/r2}つのは{r2[あ]}当{/r2}たり{r2[まえ]}前{/r2}。\r\n{r2[つぎ]}次{/r2}はどうだろうねえ？
hsmm05_mw_op02	…ムムッ、やるな。\r\nしかし、まだまだこれからだ！
hsmm05_mw_op02b	…ほー、{r2[すこ]}少{/r2}しはやるようだね。\r\nしかし、{r2[つぎ]}次{/r2}で{r2[お]}終{/r2}わりだ！
hsmm05_mw_op03	…くーっ！これでもダメか！\r\nま、まだだ、まだ{r2[お]}終{/r2}わってないよ！
hsmm05_mw_op03b	…フフフ、おまえを{r2[みと]}認{/r2}めてやろう。\r\nだが、{r2[つぎ]}次{/r2}こそ{r2[お]}終{/r2}わりだよ！
hsmm05_mw_op04	…く、く、くそーっ！\r\nこうなったら、これでどうだー！！
hsmm05_mw_op04b	…バカな！ここまで{r2[か]}勝{/r2}つなんて。\r\nこれ{r2[いじょう]}以上{/r2}、{r2[か]}勝{/r2}たせる{r2[わけ]}訳{/r2}にはいかないー！！
hsmm05_mw_lose00	どうだ、まいったかー！\r\nウデをみがいて、{r2[でなお]}出直{/r2}してくるんだな！
hsmm05_mw_lose00b	くやしいか？くやしいだろうね。\r\nトレーニングして、また{r2[く]}来{/r2}るがいいさ！
hsmm05_mw_lose00c	くー、ギリギリの{r2[しょうぶ]}勝負{/r2}だった。\r\nだが{r2[ま]}負{/r2}けは{r2[ま]}負{/r2}け、いさぎよく{r2[みと]}認{/r2}めるんだな。
hsmm06.msbt
hsmm06_mw_op00	オンラインで、{r2[せかいじゅう]}世界中{/r2}の{r2[ひと]}人{/r2}と{r2[たいせん]}対戦{/r2}！\r\n{r2[れんしょう]}連勝{/r2}{r2[きろく]}記録{/r2}をのばしていくんだ！
hsmm06_mw_op01	さっそく、{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}スタートだぞ！！{color[000000ff]}
hsmm06_mw_mg01	{r2[つぎ]}次{/r2}は、1vs1のデュエルミニゲームだ！
hsmm06_mw_mg10	{r2[たいせん]}対戦{/r2}するミニゲームは、ボクが{r2[えら]}選{/r2}ぶぞ。\r\nどっちが{r2[か]}勝{/r2}つか{r2[み]}見{/r2}ものだな！
hsmm06_mw_rtry00	おっ、まだまだやる{r2[き]}気{/r2}だな！\r\nもう{r2[いちど]}一度{/r2}、{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}スタートだ！！{color[000000ff]}
hsmm06_mw_rtry10	なかなかやるなー！\r\nだけど、{r2[つぎ]}次{/r2}も{r2[か]}勝{/r2}てるかな！？
hsmm06_mw_rtry11	{r2[つぎ]}次{/r2}、{r2[か]}勝{/r2}てるように\r\nせいぜいガンバるんだな！
hsmm06_mw_rtry12	うまく{r2[か]}勝{/r2}ったな！\r\nどこまで{r2[い]}行{/r2}けるか、ボクも{r2[き]}気{/r2}になるぞ！
hsmm06_mw_lose00	[0]{r2[しょう]}勝{/r2}だったな。\r\n{r2[なんかい]}何回{/r2}でもチャレンジできるから、あきらめるなよ！
hsmm06_mw_lose01	[0]{r2[しょう]}勝{/r2}だったかー。\r\n{r2[ざんねん]}残念{/r2}だけど、{r2[つぎ]}次{/r2}はいけると{r2[おも]}思{/r2}うぞ！
hsmm06_mw_lose02	[0]{r2[しょう]}勝{/r2}だったけど、もう{r2[すこ]}少{/r2}しで\r\nコツがつかめそうな{r2[かん]}感{/r2}じだな。
hsmm06_mw_lose03	{r2[こんかい]}今回{/r2}は、{r2[あいて]}相手{/r2}が{r2[わる]}悪{/r2}かったな。\r\n[0]{r2[しょう]}勝{/r2}だけど{r2[き]}気{/r2}にするなよー。
hsmm06_mw_lose04	[0]{r2[しょう]}勝{/r2}でリタイアか。\r\n{r2[すこ]}少{/r2}しコツをつかんできたみたいだな！
hsmm06_mw_lose05	[0]{r2[しょう]}勝{/r2}か……。\r\nくやしいけど、{r2[つぎ]}次{/r2}はもっと{r2[か]}勝{/r2}てそうだ。
hsmm06_mw_lose06	[0]{r2[しょう]}勝{/r2}か！\r\nボクの{r2[つぎ]}次{/r2}くらいに、うまいみたいだな。
hsmm06_mw_lose07	[0]{r2[しょう]}勝{/r2}か！いい{r2[かん]}感{/r2}じじゃないか！
hsmm06_mw_lose08	[0]{r2[しょう]}勝{/r2}だったか……。\r\nまー、このくらい{r2[か]}勝{/r2}てると{r2[おも]}思{/r2}ってたぞ！
hsmm06_mw_lose09	[0]{r2[しょう]}勝{/r2}だって！？\r\nまー、ボクと{r2[おな]}同{/r2}じくらいだな！
hsmm06_mw_lose10	ボクが{r2[み]}見{/r2}こんだとおり\r\n[0]{r2[しょう]}勝{/r2}できたな！
hsmm06_mw_lose11	すごいじゃないか！\r\nカンタンに[0]{r2[しょう]}勝{/r2}はできないぞ！
hsmm06_mw_lose12	[0]{r2[しょう]}勝{/r2}もしたのか！\r\nおどろいたぞ、なかなかやるな！
hsmm06_mw_lose13	[0]{r2[しょう]}勝{/r2}するなんて！！\r\n{r2[おも]}思{/r2}いもしなかったぞ！なんかくやしー！
hsmm06_mw_lose14	おい、ウソだろ？\r\nどうやったら[0]{r2[しょう]}勝{/r2}もできるんだ！！
hsmm06_mw_lose15	す、すごすぎだよ！\r\nボクでも、[0]{r2[しょう]}勝{/r2}したことないのにー！
hsmm06_mw_update00	やったな、ハイスコア{r2[こうしん]}更新{/r2}だぞ！\r\nランキングが{r2[たの]}楽{/r2}しみだな！
hsmm07.msbt
hsmm07_mw_op00	{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}へようこそ！\r\nミニゲームに{r2[か]}勝{/r2}つと、スターがゲットできます。{color[000000ff]}
hsmm07_mw_op01	それでは、スタートです！
hsmm07_mw_op_mgpk00	このパックのミニゲームは\r\nとにかく、すばやくクリアしましょう。
hsmm07_mw_op_mgpk01	このパックのミニゲームは\r\n{r2[い]}生{/r2}き{r2[のこ]}残{/r2}れば{r2[か]}勝{/r2}ちの、バトルです。
hsmm07_mw_op_mgpk02	このパックのミニゲームでは\r\n{r2[なに]}何{/r2}が{r2[せいかい]}正解{/r2}か、よく{r2[み]}見{/r2}て{r2[かんが]}考{/r2}えましょう。
hsmm07_mw_op_mgpk03	このパックのミニゲームは\r\n1vs1の、ガチンコ{r2[たいけつ]}対決{/r2}です。
hsmm07_mw_op_mgpk04	このパックのミニゲームでは\r\nまばたき{r2[きんし]}禁止{/r2}で、{r2[み]}見{/r2}きわめましょう。
hsmm07_mw_op_mgpk05	このパックのミニゲームでは\r\nとにかく、コインを{r2[おお]}多{/r2}く{r2[あつ]}集{/r2}めましょう。
hsmm07_mw_op_mgpk07	このパックのミニゲームでは\r\n1vs3に{r2[わ]}分{/r2}かれて、コインを{r2[あつ]}集{/r2}めます。
hsmm07_mw_op_mgpk08	このパックのミニゲームでは\r\nとにかく、{r2[はや]}速{/r2}くゴールしましょう。
hsmm07_mw_op_mgpk10	このパックのミニゲームは\r\n{r2[に]}逃{/r2}げて{r2[に]}逃{/r2}げて、{r2[に]}逃{/r2}げまくりましょう。
hsmm07_mw_op_mgpk11	このパックのミニゲームでは\r\n{r2[お]}落{/r2}とされないように{r2[お]}落{/r2}としましょう。
hsmm07_mw_op_mgpk12	このパックのミニゲームでは\r\nよくねらって{r2[そうさ]}操作{/r2}しましょう。
hsmm07_mw_op_mgpk13	このパックのミニゲームは\r\n{r2[と]}飛{/r2}んで{r2[は]}跳{/r2}ねて、ジャンプが{r2[だいじ]}大事{/r2}です。
hsmm07_mw_op_mgpk14	このパックのミニゲームは{r2[いってん]}一点{/r2}{r2[しゅうちゅう]}集中{/r2}、\r\nスポーツのスキルで{r2[きそ]}競{/r2}います。
hsmm07_mw_op_mgpk16	このパックのミニゲームでは\r\n{r2[こま]}細{/r2}かい{r2[そうさ]}操作{/r2}で、{r2[まんてん]}満点{/r2}を{r2[めざ]}目指{/r2}します。
hsmm07_mw_op_mgpk17	このパックのミニゲームでは\r\nライバルから{r2[に]}逃{/r2}げきりましょう。
hsmm07_mw_op_mgpk20	このパックのミニゲームでは\r\nすばやい{r2[はんのう]}反応{/r2}が{r2[ひつよう]}必要{/r2}です。
hsmm07_mw_op_mgpk21	このパックのミニゲームでは\r\nすばやい{r2[はんだん]}判断{/r2}で、{r2[い]}生{/r2}き{r2[のこ]}残{/r2}りましょう。
hsmm07_mw_op_mgpk22	このパックのミニゲームでは\r\n{r2[ひつよう]}必要{/r2}な{r2[もの]}物{/r2}を、とにかく{r2[おお]}多{/r2}く{r2[あつ]}集{/r2}めましょう。
hsmm07_mw_op_mgpk23	このパックのミニゲームでは\r\nいいポジションを、{r2[と]}取{/r2}り{r2[あ]}合{/r2}いましょう。
hsmm07_mw_op_mgpk24	このパックのミニゲームは\r\nたおすか、{r2[に]}逃{/r2}げきれるかの1vs3バトルです。
hsmm07_mw_op_mgpk25	このパックのミニゲームは\r\n1vs3の、アンバランスバトルです。
hsmm07_mw_rd00	まず{r2[さいしょ]}最初{/r2}のミニゲームは、こちら！
hsmm07_mw_rd01	{r2[つづ]}続{/r2}いてのミニゲームは、こちらです。
hsmm07_mw_rd02	…いよいよ{r2[さいご]}最後{/r2}の{r2[しょうぶ]}勝負{/r2}です\r\n{r2[ちから]}力{/r2}の{r2[かぎ]}限{/r2}り、がんばってください！！
hsmmet.msbt
hsmmet_tlp_course00	[0]
hsmmet_mw_crs01	{r2[す]}好{/r2}きなミニゲームを、{r2[じゆう]}自由{/r2}にプレイできます！
hsmmet_mw_crs01b	{r2[たいせん]}対戦{/r2}の{r2[じゅんび]}準備{/r2}をしましょう！\r\n{r2[すべ]}全{/r2}てのミニゲームを{r2[れんしゅう]}練習{/r2}できますよ。
hsmmet_mw_crs01_rule00	ミニゲームは{r2[ぜんぶ]}全部{/r2}で100{r2[こ]}個{/r2}！\r\n{r2[じゆう]}自由{/r2}に{r2[えら]}選{/r2}んでプレイできます。
hsmmet_mw_crs01_rule02	ミニゲームを{r2[み]}見{/r2}つけにくいときは\r\nジャンルを{r2[き]}切{/r2}りかえて、{r2[さが]}探{/r2}してみましょう。
hsmmet_mw_crs01_rule01	{r2[す]}好{/r2}きなミニゲームを、「お{r2[き]}気{/r2}に{r2[い]}入{/r2}り」として\r\n1つにまとめることもできます！
hsmmet_mw_crs02	{r2[せかいじゅう]}世界中{/r2}の{r2[ひと]}人{/r2}と{r2[たいせん]}対戦{/r2}して、ウデマエをみがきましょう。
hsmmet_mw_crs02_rule01	{r2[せかいじゅう]}世界中{/r2}のライバルと{r2[たいせん]}対戦{/r2}して\r\nウデマエランクSを{r2[めざ]}目指{/r2}しましょう。
hsmmet_mw_crs02_rule00	ミニゲームに{r2[か]}勝{/r2}つと、ゲージが{r2[あ]}上{/r2}がります！
hsmmet_mw_crs02_rule02	{r2[か]}勝{/r2}ち{r2[ま]}負{/r2}けだけでなく\r\nプレイの{r2[ないよう]}内容{/r2}でもウデマエは{r2[あ]}上{/r2}がります。
hsmmet_mw_crs02b	じっくりスポーツを{r2[たの]}楽{/r2}しんだり\r\nパズルで、{color[ff3502ff]}スコアアタック{color[000000ff]}{color[110c1dff]}にチャレンジします！{color[000000ff]}
hsmmet_mw_crs02b_rule00	スポーツとパズルのミニゲームを\r\n{r2[いろいろ]}色々{/r2}な{r2[せってい]}設定{/r2}でプレイし、ウデをみがきましょう！
hsmmet_mw_crs02b_rule01	パズルを{r2[ひとり]}1人{/r2}で{r2[たの]}楽{/r2}しむときは\r\n{color[ff3502ff]}スコアアタック{color[000000ff]}{color[110c1dff]}がおすすめですよ。{color[000000ff]}
hsmmet_mw_crs03	ミニゲームでコインを{r2[あつ]}集{/r2}めて、\r\nその{r2[かず]}数{/r2}を{r2[きそ]}競{/r2}うバトルです！
hsmmet_mw_crs03_rule00	4{r2[にん]}人{/r2}で、ミニゲーム{r2[しょうぶ]}勝負{/r2}をして\r\nコインの{r2[かず]}数{/r2}を{r2[きそ]}競{/r2}います！
hsmmet_mw_crs03_rule01	{color[ff3502ff]}コインミニゲーム{color[000000ff]}{color[110c1dff]}や{color[000000ff]}{color[ff3502ff]}ボーナスミニゲーム{color[000000ff]}{color[110c1dff]}\r\nなどのチャンスイベントも{r2[はっせい]}発生{/r2}します。{color[000000ff]}
hsmmet_mw_crs03_rule03	{color[ff3502ff]}1vs3ミニゲーム{color[000000ff]}{color[110c1dff]}では\r\nトップと{r2[ほか]}他{/r2}の3{r2[にん]}人{/r2}での{r2[しょうぶ]}勝負{/r2}になりますよ。{color[000000ff]}
hsmmet_mw_crs03_rule02	{r2[さいご]}最後{/r2}に、より{r2[おお]}多{/r2}くのコインを{r2[も]}持{/r2}っていた{r2[ひと]}人{/r2}が\r\n{r2[しょうり]}勝利{/r2}となります！
hsmmet_mw_crs04	2vs2に{r2[わ]}分{/r2}かれて、チーム{r2[たいけつ]}対決{/r2}をしますよ！
hsmmet_mw_crs04_b	ここでは、2vs2のチーム{r2[たいけつ]}対決{/r2}ができます。\r\nフレンドといっしょに{r2[あそ]}遊{/r2}びましょう！
hsmmet_mw_crs04_not	フレンドといっしょに{r2[き]}来{/r2}たら\r\nオンラインでも{r2[あそ]}遊{/r2}べます。
hsmmet_mw_crs04_rule00	チームの{r2[ちから]}力{/r2}がためされる\r\n{color[ff3502ff]}2vs2ミニゲーム{color[000000ff]}{color[110c1dff]}の{r2[たいけつ]}対決{/r2}だよ！{color[000000ff]}
hsmmet_mw_crs04_rule01	ちなみに、チーム{r2[わ]}分{/r2}けは{r2[じゆう]}自由{/r2}に{r2[えら]}選{/r2}べるからね。
hsmmet_mw_crs04_rule02	スターを{r2[なんこあつ]}何個集{/r2}めたら\r\n{r2[か]}勝{/r2}ちになるか、{r2[き]}決{/r2}めてね。
hsmmet_mw_crs05	{r2[ぜんしょう]}全勝{/r2}{r2[めざ]}目指{/r2}して、{color[ff3502ff]}1vs3ミニゲーム{color[000000ff]}{color[110c1dff]}で{r2[たいせん]}対戦{/r2}！\r\n{r2[ひとり]}1人{/r2}でも、3{r2[にん]}人{/r2}{r2[きょうりょく]}協力{/r2}でも{r2[あそ]}遊{/r2}べます。{color[000000ff]}
hsmmet_mw_crs05_b	ここでは、1vs3で{r2[てき]}敵{/r2}と{r2[たいせん]}対戦{/r2}できます。\r\nフレンドといっしょに{r2[あそ]}遊{/r2}びましょう！
hsmmet_mw_crs05_not	フレンドといっしょに{r2[き]}来{/r2}たら\r\nオンラインでも{r2[あそ]}遊{/r2}べます。
hsmmet_mw_crs05_mc00	カンタンには{r2[か]}勝{/r2}たせないよ！
hsmmet_mw_crs05_mc01	クリアしたら\r\n{r2[つぎ]}次{/r2}のステージに{r2[すす]}進{/r2}めるぞ！
hsmmet_mw_crs05_mc02	いよいよ、{r2[のこ]}残{/r2}るは\r\n{r2[さいご]}最後{/r2}のステージだね！
hsmmet_mw_crs05_mc03	{r2[ぜんぶ]}全部{/r2}クリアするなんて\r\nなかなかやるね！！
hsmmet_mw_crs05_rule00	{color[ff3502ff]}1vs3ミニゲーム{color[000000ff]}{color[110c1dff]}で、{r2[ま]}待{/r2}ち{r2[う]}受{/r2}ける{r2[てき]}敵{/r2}と5{r2[れんせん]}連戦{/r2}！\r\n{r2[ぜんしょう]}全勝{/r2}できたらステージクリアだ。{color[000000ff]}
hsmmet_mw_crs05_rule03	{r2[か]}勝{/r2}ち{r2[すす]}進{/r2}むと、{r2[てき]}敵{/r2}も{r2[つよ]}強{/r2}くなっていくよ。
hsmmet_mw_crs05_rule01	ステージをクリアできたら\r\nランク{r2[はんてい]}判定{/r2}してやるよ。
hsmmet_mw_crs05_rule02	でも1つでも{r2[ま]}負{/r2}けたら、そこで{r2[お]}終{/r2}わりだよ。\r\n…はたして、クリアできるかな？
hsmmet_mw_crs06	はたして、{r2[なんれんしょう]}何連勝{/r2}できるのか？\r\n{r2[せかいじゅう]}世界中{/r2}の{r2[ひとたち]}人達{/r2}と{r2[たいせん]}対戦{/r2}です！
hsmmet_mw_crs06_b	ここは、オンラインの{r2[ひとり]}1人{/r2}プレイ{r2[せんよう]}専用{/r2}です。\r\n{r2[なんれんしょう]}何連勝{/r2}できるか{r2[せかいじゅう]}世界中{/r2}の{r2[ひとたち]}人達{/r2}と{r2[たいせん]}対戦{/r2}できます！
hsmmet_mw_crs06_not	オンラインの\r\n{r2[ひとり]}1人{/r2}プレイ{r2[せんよう]}専用{/r2}コースです。
hsmmet_mw_crs06_mc00	{r2[なんれんしょう]}何連勝{/r2}できるか{r2[たの]}楽{/r2}しみだな！
hsmmet_mw_crs06_rule00	ミニゲームで、{r2[せかいじゅう]}世界中{/r2}の{r2[ひと]}人{/r2}とガチンコ{r2[たいせん]}対戦{/r2}だ！
hsmmet_mw_crs06_rule01	どれだけミニゲームがうまいか\r\n{r2[れんしょうきろく]}連勝記録{/r2}のランキングで{r2[せかい]}世界{/r2}1{r2[い]}位{/r2}を{r2[めざ]}目指{/r2}せ！
hsmmet_mw_crs06_rule03	{r2[れんしょうちゅう]}連勝中{/r2}なら、ひと{r2[やす]}休{/r2}みして\r\n{r2[つづ]}続{/r2}きからはじめることもできるぞ。
hsmmet_mw_crs06_rule02	…{r2[ま]}負{/r2}けたからって、あきらめるなよ。\r\n{r2[なんかい]}何回{/r2}でもチャレンジできるからな！
hsmmet_mw_crs06b	{r2[ぜんかい]}前回{/r2}の{r2[つづ]}続{/r2}きから{r2[さいかい]}再開{/r2}できますよー。
hsmmet_mw_crs06b_rty00	{r2[ぜんかい]}前回{/r2}の{r2[つづ]}続{/r2}きから{r2[あそ]}遊{/r2}びますか？\r\n{r2[ちゅうだん]}中断{/r2}データは{r2[しょうきょ]}消去{/r2}されます。
hsmmet_mw_crs06b_rty00_a0	{r2[つづ]}続{/r2}きから
hsmmet_mw_crs06b_rty00_a1	はじめから
hsmmet_mw_crs07	{r2[ほんじつ]}本日{/r2}おすすめのミニゲームパックです。\r\nぜひ、{r2[あそ]}遊{/r2}んでみてください！
hsmmet_mw_crs07_b	ここは、オンラインの{r2[ひとり]}1人{/r2}プレイ{r2[せんよう]}専用{/r2}です。\r\nおすすめのミニゲームパックで{r2[あそ]}遊{/r2}べます！
hsmmet_mw_crs07_not	オンラインの\r\n{r2[ひとり]}1人{/r2}プレイ{r2[せんよう]}専用{/r2}コースです。
hsmmet_mw_crs07_mc00	{color[ff3502ff]}[0]\r\n{color[000000ff]}{color[110c1dff]}は、いかがですか？{color[000000ff]}
hsmmet_mw_crs07_rule00	{r2[まいにち]}毎日{/r2}{r2[い]}入{/r2}れかわる、ミニゲームパックを\r\n{r2[きがる]}気軽{/r2}にプレイしてみましょう！
hsmmet_mw_crs07_rule01	ミニゲームで1{r2[い]}位{/r2}になると{color[ffffffff]}{color[000000ff]}{color[110c1dff]}スターがもらえ\r\n1つのパックで、{r2[さいだい]}最大{/r2}3{r2[こ]}個{/r2}もらえます。{color[000000ff]}
hsmmet_mw_crs07_rule02	ミニゲームは{r2[まいにち]}毎日{/r2}{r2[い]}入{/r2}れかわるので\r\n{r2[なんど]}何度{/r2}もプレイして、{color[ffffffff]}{color[000000ff]}{color[110c1dff]}スターを{r2[あつ]}集{/r2}めよう！{color[000000ff]}
hsmmet_mw_dialog_rm00	インターネットに{r2[せつぞく]}接続{/r2}して、\r\n{r2[せかい]}世界{/r2}の{r2[ひと]}人{/r2}と{r2[あそ]}遊{/r2}びますか？
hsmmet_mw_dialog_rm00_a0	はい
hsmmet_mw_dialog_rm00t_a1	いいえ
hsmmet_crs_rule_img00	[0]
hsmmet_crs_rule_img01	[0]
hsmmet_crs_rule_img02	[0]
hsmmet_crs_rule_img03	[0]P
hsmmet_crs_rule_img04	[0]
hsmmet_crs_rule_img05	[0]
hsmmet_crs_rule_img06	[0]
hsmmet_crs_rule_img07	+[0]
hsmmet_myRec01	プレイしたミニゲーム
hsmmet_myRec02	勝利数とハイスコア
hsmmet_myRec02rm	ウデマエランク
hsmmet_myRec03	ハイスコア
hsmmet_myRec_name	[0]
hsmmet_myRec01_a	[0]
hsmmet_myRec01_b	/100
hsmmet_myRec02_mgtype	[0]
hsmmet_myRec02_win999	[0]{size[4b00]}勝{size[6400]}
hsmmet_myRec02_best9999	[0]{size[4b00]}点{size[6400]}
hsmmet_myRec02_rank	[0]
hsmmet_myRec03_a	 [0]
hsmmet_myRec03_b	[0]ラウンド
hsmmet_myRec06_win	ハイスコア
hsmmet_myRec06_rank	世界ランキング
hsmmet_myRec06_guide	世界ランキング
hsmmet_myRec06_b	[0]{size[4b00]}勝{size[6400]}
hsmmet_myRec06_c	[0]{size[4b00]}位{size[6400]}
hsmmet_myRec06_top3	[0]位
hsmmet_myRec06_top3_name	[0]
hsmmet_cfg_mgpk_today	今日のミニゲーム
hsmmet_cfg_mgpk_time	あと [0][1]:[2][3]:[4][5]
hsmmet_cfg_mgpk	[0]
hsmmet_cfg_team1	1人でチャレンジ
hsmmet_cfg_team3	3人でチャレンジ
hsmmet_cfg_record01	[0]ゲームクリア
hsmmet_cfg_record10	クリアランク [0]
hsmmet_cfg_stage00	[0]
hsmmet_cfg_stage01	[0]
hsmmet_cfg_rank00	[0]
hsmmet_cfg_6mg_rank	[0]
hsmmet_rule_OK	プレイ
hsmmet_rule_save00	[0]{r2[しょう]}勝{/r2}から{r2[さいかい]}再開{/r2}できます！
hsmmet_mw_op00	ようこそ、{color[ff3502ff]}ミニゲームマウンテン{color[000000ff]}{color[110c1dff]}へ！{color[000000ff]}
hsmmet_mw_op02	それでは、{r2[あそ]}遊{/r2}ぶコースを{r2[えら]}選{/r2}んでください。
hsmmet_mw_menuOK	{r2[ひろば]}広場{/r2}にもどりますか？
hsmmet_mw_menuOK_a0	もどらない
hsmmet_mw_menuOK_a1	もどる
hsmmet_mw_ed00	{r2[こんかいゆうしょう]}今回優勝{/r2}したのは…{[0106|1e00]}
hsmmet_mw_ed01	{[0106|0000]}{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さん{[0106|0c00]}{[0106|0100]}でーす！！{color[000000ff]}
hsmmet_mw_ed02	{[0106|0000]}{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さん、{color[000000ff]}{[0106|0c00]}{[0106|0000]}{color[ff3502ff]}[1]{color[000000ff]}{color[110c1dff]}さん{[0106|0c00]}{[0106|0100]}の\r\n{r2[ふたり]}2人{/r2}ですよー！！{color[000000ff]}
hsmmet_mw_ed03	{[0106|0000]}{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さん、{color[000000ff]}{[0106|0c00]}{[0106|0000]}{color[ff3502ff]}[1]{color[000000ff]}{color[110c1dff]}さん{color[000000ff]}\r\n{[0106|0c00]}{[0106|0000]}{color[ff3502ff]}[2]{color[000000ff]}{color[110c1dff]}さんの、{[0106|0c00]}{[0106|0100]}3{r2[にん]}人{/r2}でーす！！{color[000000ff]}
hsmmet_mw_ed04	…おおっ、{[0106|0000]}なんと！{[0106|1e00]}\r\n{[0106|0100]}{r2[どうてん]}同点{/r2}で{r2[ぜんいんゆうしょう]}全員優勝{/r2}でーす！！
hsmmet_mw_ed10	おめでとうございます！\r\n{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}、クリアです！{color[000000ff]}
hsmmet_mw_ed11	……{r2[ざんねん]}残念{/r2}です。\r\nクリアできませんでした。
hsmmet_mw_ed12	おみごとです！3{r2[にん]}人{/r2}でチャレンジする\r\nすべてのステージをクリアしました！
hsmmet_mw_ed13	これで、{r2[ひとり]}1人{/r2}でチャレンジするステージも\r\nプレイできるようになりました。
hsmmet_mw_ed14	すばらしいプレイでした！\r\nこの{r2[いきお]}勢{/r2}いで、{r2[つぎ]}次{/r2}のステージにチャレンジです！
hsmmet_mw_ed15	おー、やりましたね！！\r\nこれで、すべてのステージクリアでーす！
hsmmet_mw_ed16	クリアしたステージの、ランクアップにも\r\nぜひチャレンジしてみてくださいね！
