glossary.msbt
gl_799	Bowser Cake
hsmn04_connect_host_order_a	[0]
hsmn04_connect_host_pl	Start!
hsmn04_connect_clients_order	How many people will join from this system?
hsmn04_connect_clients_join	Available slots:
hsmn04_connect_clients_order_a	[0]
hsmn04_connect_clients_join_a	[0] left
hsmn04_connect_clients_pl	OK!
hsmn04_connect_account_name	[0]
hsmn04_friend_robby_ctrl_info	 Room Info
hsmn04_friend_robby_ctrl_FL	 Invite Friend
hsmn04_friend_robby_ctrl_back	 Back
hsmn04_friend_robby_ctrl_VC	/ Voice Chat
hsmn04_friend_robby_hostName	[0]'s Room
hsmn04_friend_robby_wait	Waiting for [0] to start the game.
hsmn04_friend_robby_pl	Ready to start!
sys_invite_mes	How about a game of Mario Party Superstars?
hsmn04_host_header	Create Room
hsmn04_clients_header	Join Room
hsmn04_robby_roomID	Room ID: [0]
hsmn04_robby_mpCard	Mario Party Card
hsmn04_back_ctrl	 Back
hsmn04_friend_robby_hostWait	Waiting for players...
hsmn04_friend_mw_welcome0a	Oh, hey! I've been waiting for you!
hsmn04_friend_mw_welcome0b	Hi there! How are you?
hsmn04_friend_mw_welcome0c	It's good to see you!
hsmn04_friend_mw_first0	You can meet up with faraway\r\nfriends here!
hsmn04_friend_mw_out0a	Have a good time!
hsmn04_friend_mw_out0b	Don't tire yourself out!
hsmn04_friend_mw_out0c	It's your game!
hsmn04_friend_mw_out1a	Bye-bye! Come back soon!
hsmn04_friend_mw_out1b	Come back anytime. I'll be here!
hsmn04_friend_mw_out1c	Stop by again sometime!
hsmn05.msbt
mn_dStore_category_select	[0]
mn_dStore_category_list_all	All
mn_dStore_category_list_stamp	Stickers
mn_dStore_category_list_card	Card Designs
mn_dStore_category_list_book	Encyclopedia
mn_dStore_category_list_bgm	Music
mn_dStore_goods_name	[0]
mn_dStore_goods_price	[0]
mn_dStore_goods_name_check	[0]
mn_dStore_goods_stampDetails	Stickers are used to let\r\nother players know what you\r\nwant or how you're feeling.
mn_dStore_goods_bgmDetails	This includes [0] songs that\r\nrange from nostalgic to new.\r\nGive them a listen in Music.
mn_dStore_goods_d_bgmDetails	This includes [0] songs.\r\nListen to them in the\r\nData House.
mn_dStore_goods_staff_bgmDetails	This is a song that might fill\r\nyou with nostalgia. Listen to\r\nit in the Data House.
mn_dStore_goods_bookDetails00	Buy this to add a Game\r\npage to the encyclopedia\r\nin the Data House.
mn_dStore_goods_bookDetails01	Buy this to add a Board\r\npage to the encyclopedia\r\nin the Data House.
mn_dStore_goods_bookDetails02	Buy this to add a Character\r\npage to the encyclopedia\r\nin the Data House.
mn_dStore_goods_bookDetails03	Buy this to add a Tips\r\npage to the encyclopedia\r\nin the Data House.
mn_dStore_goods_caodDetails	You can set this as your\r\nMario Party Card design.
mn_dStore_buy_check	Buy this?
mn_dStore_coin_before	{color[110c1dff]}[0]{color[000000ff]} {color[ffffffff]}{color[000000ff]}
mn_dStore_coin_after	{color[110c1dff]}[0]{color[000000ff]} {color[ffffffff]}{color[000000ff]}
mn_dStore_buy_a0	Yeah!
mn_dStore_buy_a1	Nah...
mn_dStore_coin_have	[0]
mn_dStore_back	 Back
mn_dStore_mw_enterA	Welcome!
mn_dStore_mw_enterB	Welcome to {color[ff3502ff]}Toad's Shop{color[000000ff]}{color[110c1dff]}!{color[000000ff]}
mn_dStore_mw_enterC	There are lots of things here.\r\n{color[110c1dff]}Feel free to take a look around!{color[000000ff]}
mn_dStore_mw_firstEnter00	We carry stickers, music, encyclopedia\r\npages, and Mario Party Card designs!
mn_dStore_mw_firstEnter01	You can earn {color[ffffffff]}{color[000000ff]}{color[110c1dff]} coins playing \r\nboard games and on {color[ff3502ff]}Mt. Minigames{color[110c1dff]}.{color[000000ff]}
mn_dStore_mw_firstEnter02	Go ahead and take a look around.\r\nBrowse to your heart's content!
mn_dStore_mw_add_intro	There are new products in stock!
mn_dStore_mw_soldOut00	Well, would you look at that... I'm sold out!\r\nThanks for your business!
mn_dStore_mw_byeA	Come back soon!
mn_dStore_mw_byeB	I hope to see you again!
mn_dStore_mw_byeC	I'll be here if you need me!
mn_dStore_mw_lack	Oh... It looks like you don't\r\nhave enough {color[ffffffff]}{color[000000ff]} {color[110c1dff]}coins.{color[000000ff]}
mn_dStore_mw_buy	Thank you for your purchase!
hsmn06.msbt
mn_dRoom_mw_introA	Welcome to the {color[ff3502ff]}Data House{color[000000ff]}{color[110c1dff]}.\r\nEheeheehee!{color[000000ff]}
mn_dRoom_mw_introB	Eheeheehee! What a surprise\r\nseeing you here!
mn_dRoom_mw_introC	Well, if it isn't another visitor to the\r\n{color[ff3502ff]}Data House{color[000000ff]}{color[110c1dff]}. Eheeheehee!{color[000000ff]}
mn_dRoom_mw_add_intro	It looks like something new was added.\r\nWhy don't you check what it is?
mn_dRoom_mw_add_introStaff	Staff Credits has been added to Music.\r\nYou'll find it in the Village Square section.
mn_dRoom_mw_firstEnter00	You're new around here. Let me\r\nshow you something interesting...
mn_dRoom_mw_firstEnter01	This is a Mario Party Card. It's a mystical\r\ncard that tracks your adventures...
mn_dRoom_mw_firstEnter02	You can customize it to your liking right\r\nhere. Go ahead—give it a personal touch.
mn_dRoom_mw_firstEnter03	I see... All righty then. Don't forget\r\nthat you can change it here anytime.
mn_dRoom_mw_card_intro_back	Hold on a second! You should\r\nreally try customizing your card.
mn_dRoom_mw_card_intro	If you connect to the internet,\r\nyour Mario Party Card will be\r\nvisible to players around\r\nthe world.
mn_dRoom_mw_goTo00a	Do you want to take a look\r\nat your Mario Party Card?
mn_dRoom_mw_goTo00b	These encyclopedias are full of precious\r\nmemories. Treat them with care...or else!
mn_dRoom_mw_goTo00c	Music is good for lifting one's spirits...\r\nif you listen to the right music, you know?
mn_dRoom_mw_goTo00d	All kinds of data are recorded here.\r\nPick up a book to relive the memories!
mn_dRoom_mw_goTo00e	Take a look at your Achievements.\r\nNothing wrong with celebrating yourself!
mn_dRoom_mw_goTo00f	You can challenge players around the\r\nworld if you connect to the internet.
mn_dRoom_mw_byeA	Farewell. See you again soon.
mn_dRoom_mw_byeB	Leaving already? Until next time.
mn_dRoom_mw_byeC	{color[110c1dff]}See you soon. Eheeheehee!{color[000000ff]}
mn_dRoom_pointer	[0]
mn_dRoom_ctrl	 Back
mn_dRoom_mw_online00	Uploading data...
mn_dRoom_mw_online01	Downloading data...
mn_dRoom_top_ctrl	 Back
mn_dRoom_book_category00	Games
mn_dRoom_book_category01	Boards
mn_dRoom_book_category02	Characters
mn_dRoom_book_category03	Tips
mn_dRoom_book_shop_details	You can buy more pages to fill out\r\neach section of the encyclopedia\r\nfrom Toad's Shop.
mn_dRoom_book_listName	[0]
mn_dRoom_book_captionName	[0]
mn_dRoom_book_seriesDetails00	Mario and friends jump into the\r\nwarp pipe for their very first Mario\r\nParty adventure to determine who\r\nwill become the next Super Star.
mn_dRoom_book_seriesDetails01	When they can't settle on a name\r\nfor their amusement park, Mario\r\nand his pals agree that whoever\r\ndefeats Bowser gets to decide.
mn_dRoom_book_seriesDetails02	Mario and his friends journey to a\r\nworld of toys in a story centered\r\naround the Millennium Star and a\r\nonce-in-a-lifetime opportunity.
mn_dRoom_book_seriesDetails03	Toad arrives to invite Mario and\r\nthe rest of his crew to enter the\r\nParty Cube where they compete\r\nfor gifts from Toad.
mn_dRoom_book_seriesDetails04	Mario and friends are invited to\r\nthe land of dreams where they're\r\ngreeted by the Star Guards before\r\nenjoying a fun-filled adventure.
mn_dRoom_book_seriesDetails05	Mario and his buddies set out to\r\ncollect Stars to fill the Star Bank\r\nand end a feud between Brighton\r\nand Twila, the sun and the moon.
mn_dRoom_book_seriesDetails06	Mario and the gang are invited on\r\na ship for a leisurely cruise. Upset\r\nabout not being included, Bowser\r\nsets out to ruin their vacation.
mn_dRoom_book_seriesDetails07	The Star Carnival has rolled into\r\ntown, and whoever wins the Star\r\nBattle is crowned the Super Star\r\nand gets a year's worth of candy.
mn_dRoom_book_seriesDetails08	After Bowser steals all of the Mini\r\nStars, Mario and the rest of his\r\npals set out on an adventure to\r\nrestore the night sky.
mn_dRoom_book_seriesDetails09	Mario and friends face off against\r\nBowser's minions and even the\r\nKing of the Koopas himself as he\r\nchases them down!
mn_dRoom_book_bdDetails00	A double-layered cake topped with\r\nsucculent strawberries. Be careful\r\nthough—you might find Bowser\r\nhanging out by the pudding!
mn_dRoom_book_bdDetails01	A space station designed with\r\npaths radiating out from the\r\ncenter. Keep an eye on the timer\r\nand the Bowser-controlled cannon!
mn_dRoom_book_bdDetails02	A forest that causes anyone who\r\nenters to become lost. Signs point\r\nyou every which way, and you may\r\nencounter a dubious tree within.
mn_dRoom_book_bdDetails03	A pair of Yoshi-shaped islands\r\nbrimming with fruit. Watermelon\r\nIsland is on the left, while\r\nCantaloupe Island is on the right.
mn_dRoom_book_bdDetails04	A land where day changes to night\r\nand back again before you know it.\r\nThings get spooky after dark\r\nwhen the ghosts come out to play!
mn_dRoom_book_caraDetails00	A beloved and intrepid\r\nhero who can be easily\r\nrecognized by his red\r\ncap and mustache.
mn_dRoom_book_caraDetails01	Mario's taller brother\r\nwho is known for\r\nhis high jumps and\r\nbeing afraid of ghosts.
mn_dRoom_book_caraDetails02	The princess of the\r\nMushroom Kingdom.\r\nHas a kind heart and a\r\nlove of all things pink.
mn_dRoom_book_caraDetails03	An energetic princess\r\nwho is particularly\r\nfond of her flower\r\nearrings.
mn_dRoom_book_caraDetails04	A greedy character\r\nwith an eye for gold.\r\nSpends too much time\r\nwith Waluigi.
mn_dRoom_book_caraDetails05	A devious individual\r\nwho always has a trick\r\nup his sleeve. Often\r\nseen with Wario.
mn_dRoom_book_caraDetails06	A carefree but\r\nsteadfast ally of\r\nMario's who loves to\r\neat fruit.
mn_dRoom_book_caraDetails07	An otherworldly figure\r\nwho travels through\r\nspace with her family,\r\nthe Lumas.
mn_dRoom_book_caraDetails08	King of the jungle.\r\nIncredibly strong\r\nbut bugs out for\r\nbananas.
mn_dRoom_book_caraDetails09	A jovial character who\r\nexudes a mysterious\r\ncharm.
mn_dRoom_book_caraDetails10	A hardworking,\r\nenergetic resident\r\nof the Mushroom\r\nKingdom.
mn_dRoom_book_caraDetails11	Bright, animated, and\r\nalways in high spirits.\r\nSports a trademark\r\npair of pink pigtails.
mn_dRoom_book_caraDetails12	The self-centered,\r\nruthless king of the\r\nKoopas.
mn_dRoom_book_caraDetails13	Bowser's lackeys who\r\nare stepped all over\r\nby friend and foe alike.
mn_dRoom_book_caraDetails14	Minions of Bowser\r\nwho you'll see in a\r\nvariety of colors,\r\nred included.
mn_dRoom_book_caraDetails15	Can float thanks\r\nto the propellers\r\nattached to\r\ntheir heads.
mn_dRoom_book_caraDetails16	One of Bowser's\r\nminions who is excited\r\nto be back guiding\r\nMario Party players.
mn_dRoom_book_caraDetails17	Explosive creatures\r\nthat flash just before\r\nthey burst, giving you\r\nprecious time to run.
mn_dRoom_book_caraDetails18	Plants that will take a\r\nbite out of anything.\r\nNot to be confused\r\nwith strawberries.
mn_dRoom_book_caraDetails19	Creatures that get\r\nfired out of a cannon.\r\nThey explode on\r\nimpact, so stay away.
mn_dRoom_book_caraDetails20	Graceful swimmers\r\ncommonly found in\r\nthe ocean. Sometimes\r\nfound in rivers too.
mn_dRoom_book_caraDetails21	Sharp spheres thrown\r\nby Lakitu. These are\r\nbest to be avoided.
mn_dRoom_book_caraDetails22	Skilled at digging \r\nholes. Seems to be\r\nsome kind of\r\nantagonistic mole.
mn_dRoom_book_caraDetails23	A creature that lurks\r\nin the shadows,\r\nwaiting for a chance\r\nto cause trouble.
mn_dRoom_book_caraDetails24	A large penguin known\r\nto slide on its belly.\r\nBaby penguin's parent.
mn_dRoom_book_caraDetails25	Extremely heavy.\r\nLook out below!
mn_dRoom_book_caraDetails26	Protected by a tough,\r\ndark shell.
mn_dRoom_book_caraDetails27	Flies through the sky\r\non a cloud and throws\r\nSpiny Eggs with\r\nunerring aim.
mn_dRoom_book_caraDetails28	A little rascal who\r\nloves making mischief.\r\nThe son of Bowser,\r\nking of the Koopas.
mn_dRoom_book_caraDetails29	Creatures that swim\r\naround in the water\r\nand shoot ink when\r\ndisturbed.
mn_dRoom_book_caraDetails30	Too shy to look you in\r\nthe eye. Always hides\r\nwhen spotted.
mn_dRoom_book_caraDetails31	Spherical with an iron\r\nwill and a body to\r\nmatch. Always found\r\nattached to a chain.
mn_dRoom_book_caraDetails32	Large stone creatures\r\nthat block your way.
mn_dRoom_book_caraDetails33	King of the Boos.\r\nTakes pride in his\r\nlarge body and\r\nshiny crown.
mn_dRoom_book_caraDetails34	Spiked creatures that\r\nspend their lives\r\nfloating in the water\r\nand blocking paths.
mn_dRoom_book_caraDetails35	Can often be found at\r\nthe water's edge. The\r\noversized claw is\r\noddly cute.
mn_dRoom_book_caraDetails36	Hammer wielders\r\nwith wicked throwing\r\narms and a penchant\r\nfor jumping.
mn_dRoom_book_caraDetails37	Cactus-like critters\r\nthat like to pop up and\r\nsurprise passersby.
mn_dRoom_book_caraDetails38	Unlike Boos, they are\r\nnot shy enough to\r\nhide when spotted.
mn_dRoom_book_caraDetails39	Giant floating eyeballs.\r\nRun circles around\r\nthem to stop them\r\nfrom seeing straight.
mn_dRoom_book_caraDetails40	A magic user clad in\r\nsignature glasses and\r\nblue robe.
mn_dRoom_book_caraDetails41	Koopa Troopas that\r\nfly around by flapping\r\ntheir wings.
mn_dRoom_book_caraDetails42	Has a massive maw\r\nand will voraciously\r\ndevour anything\r\nin sight.
mn_dRoom_book_caraDetails43	Often mistaken for\r\nShy Guys, but the\r\ndifference lies in\r\ntheir masks.
mn_dRoom_book_caraDetails44	Leader of the Piranha\r\nPlants. Those shorts,\r\nwhile stylish, actually\r\nhide a belly button.
mn_dRoom_book_caraDetails45	Bowser's minions.\r\nOften mistaken\r\nfor Goombas.
mn_dRoom_book_caraDetails46	The child of penguin\r\nwho lives in a cold\r\nlocale. Is a baby.
mn_dRoom_book_caraDetails47	Mischievous monkeys\r\nthat can often be\r\nfound at the tops\r\nof trees.
mn_dRoom_book_caraDetails48	A vehicle that can\r\nsoar through the sky.\r\nBowser Jr.'s preferred\r\nmode of transit.
mn_dRoom_book_bd00_text00	If you're having fun and want to keep playing,\r\nyou can add more turns once per game.\r\nYou cannot add turns during the final turn.
mn_dRoom_book_bd00_text01	When playing with a friend, turns can only be\r\nadded by the player who created the room.
mn_dRoom_book_bd00_text02	When turns are added, the effects of the final five\r\nturns, such as duels and an increased number of\r\n{color[ffffffff]} {color[000000ff]}{color[0b0000ff]}coins received from certain spaces, will revert.{color[000000ff]}
mn_dRoom_book_bd00_text03	The yellow dots on the map show where the {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}Star\r\nExchange might pop up. Whenever Toadette flies\r\naway, she will land on one of these yellow dots.{color[000000ff]}
mn_dRoom_book_bd00_text04	Press  or  to use stickers during a board\r\ngame. There are lots of stickers to try out, so\r\nchange them with  to see more.
mn_dRoom_book_bd01_text00	Decorate the cake with strawberries\r\nto get {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}coins or {color[ffffffff]}{color[0b0000ff]} Stars! Small ones\r\ncost 5 {color[ffffffff]}{color[0b0000ff]} coins and large ones are 30.{color[000000ff]}
mn_dRoom_book_bd01_text01	If you land where you planted a\r\nstrawberry, you'll get {color[ffffffff]} {color[000000ff]}{color[0b0000ff]}coins, and\r\nit won't disappear either!{color[000000ff]}
mn_dRoom_book_bd01_text02	Small strawberries are hardy little\r\nplants. There's a chance they won't\r\ndisappear after stealing {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}coins.{color[000000ff]}
mn_dRoom_book_bd01_text03	There's always one winning seed in\r\nGoomba's lottery. If three seeds are\r\nchosen with no wins, the fourth is it.
mn_dRoom_book_bd01_text04	You'll find Bowser perched on the\r\npudding. How does he maintain\r\nhis royal dignity and not dig in?
mn_dRoom_book_bd01_text05	Collect {color[ffffffff]} {color[000000ff]}{color[0b0000ff]}Stars on top of a delicious cake!\r\nYou can't eat it until we know\r\nwho the Super Star is though.{color[000000ff]}
mn_dRoom_book_bd01_text06	There's a chocolaty crown atop the\r\ncake. Perhaps the Super Star will\r\nearn that regal decoration!
mn_dRoom_book_bd02_text00	Do whatever it takes to stay out of the\r\nBowser Coin Beam's line of fire!
mn_dRoom_book_bd02_text01	If you get hit by the Bowser Coin Beam, you\r\nwill lose all of your {color[ffffffff]} {color[000000ff]}{color[0b0000ff]}coins. This space station\r\nis a dangerous place...{color[000000ff]}
mn_dRoom_book_bd02_text02	When the counter hits 1, watch out! Find\r\na route to escape the line of fire quickly.
mn_dRoom_book_bd02_text03	Somewhere on the board, a UFO has\r\ncrash-landed. Where are the aliens?
mn_dRoom_book_bd02_text04	The Bowser Coin Beam is powered by\r\nsolar panels. Or so Bowser says...
mn_dRoom_book_bd02_text05	The Snifit Patrol never shirks in its duty\r\nand will chase down any speeders.
mn_dRoom_book_bd02_text06	If you see a runaway spaceship, you\r\nmight notice a Whomp or a Thwomp\r\npiloting it!
mn_dRoom_book_bd03_text00	Monty Mole will change the direction of the\r\nsignposts in exchange for{color[ffffffff]} {color[000000ff]} {color[0b0000ff]}coins. The price\r\nchanges on a whim!{color[000000ff]}
mn_dRoom_book_bd03_text01	The signposts seem to always change\r\ndirection. If you're not careful, you might \r\nend up traveling along the wrong route.
mn_dRoom_book_bd03_text02	This forest is lush and green with plenty\r\nof critters. Even the animals of the forest\r\nget lost sometimes though.
mn_dRoom_book_bd03_text03	This board wends its way through the depths\r\nof the forest. They say that many who wander\r\nhere become lost. Proceed with caution.
mn_dRoom_book_bd03_text04	The large trees have fruit you can take.\r\nPicking fruit has its consequences though,\r\nso try to choose a ripe one!
mn_dRoom_book_bd03_text05	The large trees will drop two different types of\r\nfruits at the same time. You can only choose\r\none, so be careful about which fruit you pick!
mn_dRoom_book_bd03_text06	As you travel deeper into the woods, be on\r\nyour guard. There's an ominous tree there.
mn_dRoom_book_bd04_text00	You'll need to travel between islands to\r\nget your {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}Star. Pay attention, because\r\nthe route may be a bit complicated.{color[000000ff]}
mn_dRoom_book_bd04_text01	You can raise the Thwomp's toll by as\r\nmuch as you'd like, but it can't be lowered.\r\nBe careful not to raise the toll too high!
mn_dRoom_book_bd04_text02	Cheep Chomp's Trick will move the {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}Star\r\nfrom one island to the other. Be sure to\r\ngrab the {color[ffffffff]}{color[0b0000ff]} Star before it moves away!{color[000000ff]}
mn_dRoom_book_bd04_text03	There's a shipwreck just off the board.\r\nNo one knows when or why the ship sunk,\r\nbut legend says it was transporting fruit!
mn_dRoom_book_bd04_text04	Watermelons, cantaloupes, apples, bananas...\r\nThere's so much fruit on this board!\r\nMaybe the Super Star gets to eat it all?
mn_dRoom_book_bd04_text05	If you look closely, both islands are\r\nshaped like Yoshis! The one with the\r\nwatermelons is Watermelon Island.
mn_dRoom_book_bd04_text06	If you look closely, both islands are\r\nshaped like Yoshis! The one with the\r\ncantaloupes is Cantaloupe Island.
mn_dRoom_book_bd05_text00	Ghosts gather around these parts at night!\r\nIf you want to see them, spend the day\r\nmoving to an area where they might appear.
mn_dRoom_book_bd05_text01	Sleeping Whomps won't move at night.\r\nIf you don't pass them during the day,\r\nyou might be stuck when night falls.
mn_dRoom_book_bd05_text02	Ghosts mostly come out at night, but there's\r\none spot where Boo appears during the day.\r\nCan you figure out where?
mn_dRoom_book_bd05_text03	Mr. I's warp costs less at night than it does\r\nduring the day, so try to make your way over\r\nthere when it's dark out!
mn_dRoom_book_bd05_text04	If you're standing in Mr. I's warp path,\r\nyou might be able to catch a free ride!
mn_dRoom_book_bd05_text05	What's that racket coming from the Mystery\r\nMansion every night? Sounds like a party...
mn_dRoom_book_bd05_text06	There's a swing that sits motionless during\r\nthe day, but it starts moving at night. The only\r\nthing is...there's no one on it! Very spooky!
mn_dRoom_book_mm01_text00	You can freely play from among\r\n100 minigames here. It's a great\r\nplace to get some practice!
mn_dRoom_book_mm01_text01	Practice here as much as you'd like\r\nbefore challenging players from\r\naround the world!
mn_dRoom_book_mm01_text02	You can play all of your favorite\r\nminigames as often as you'd like.\r\nPlay to your heart's content!
mn_dRoom_book_mm02_text00	Turn up the heat in intense sports\r\ngames, or take your time to chill out\r\nand play puzzle games.
mn_dRoom_book_mm02_text01	Grip your controller tight and don't\r\nlet go in some exciting 2 vs. 2 sports-\r\ngame matches!
mn_dRoom_book_mm02_text02	Put your brain power to the test in\r\ncompetitive puzzles! Give them\r\nyour all and aim to win!
mn_dRoom_book_mm02_text03	Step up to the challenge in Score\r\nAttack where your greatest opponent\r\nis yourself!
mn_dRoom_book_mm03_text00	Duke it out, and earn {color[ffffffff]} {color[000000ff]}{color[0b0000ff]}coins depending on how\r\nwell you do in minigames. The rules are simple:\r\nget more {color[ffffffff]}{color[0b0000ff]} coins than everyone else!{color[000000ff]}
mn_dRoom_book_mm03_text01	The{color[ffffffff]}  {color[000000ff]}{color[0b0000ff]}coins you collect in Coin Minigames\r\nare yours to keep. It's your chance to get\r\na leg up on the competition!{color[000000ff]}
mn_dRoom_book_mm03_text02	You can get twice as many{color[ffffffff]}  {color[000000ff]}{color[0b0000ff]}coins in\r\nBonus Minigames. Take advantage of these\r\nwhen you're looking to make a comeback!{color[000000ff]}
mn_dRoom_book_mm04_text00	It's a 2 vs. 2 team battle!\r\nCooperate to defeat your opponents!
mn_dRoom_book_mm04_text01	Teamwork requires trust and communication,\r\nso work with your partner to come out on top!
mn_dRoom_book_mm04_text02	Work together, stick together,\r\nand win together!
mn_dRoom_book_mm05_text00	Work together as a team of three and aim for\r\nan undefeated streak in 1 vs. 3 minigames!
mn_dRoom_book_mm05_text01	One loss, and it's all over!\r\nYou'll have to work with your\r\nteam of three to get the win!
mn_dRoom_book_mm05_text02	It's you against a team of three\r\nin 1 vs. 3 minigames!
mn_dRoom_book_mm05_text03	One loss, and it's all over!\r\nStand strong against a team of three\r\nif you want to keep moving forward!
mn_dRoom_book_mm06_text00	Aim for the top spot among players from\r\naround the world, but be careful—\r\none loss, and it's all over!
mn_dRoom_book_mm06_text01	Test your skills against\r\nplayers all over the world!
mn_dRoom_book_mm06_text02	Maintain a winning streak against players\r\naround the globe, and show everyone\r\nwhat you're made of!
mn_dRoom_book_mm07_text00	Play through daily minigame packs\r\nwith opponents from around the world!
mn_dRoom_book_mm07_text01	Don't break your concentration.\r\nIf you can't focus, you'll\r\nhave to rely on luck!
mn_dRoom_book_mm07_text02	It's a race for first place!\r\nTry to clear the minigames\r\nbefore your opponents!
mn_dRoom_book_mm07_text03	Collect more {color[ffffffff]} {color[000000ff]}{color[0b0000ff]}coins than your\r\nrivals to secure the win!{color[000000ff]}
mn_dRoom_book_mm07_text04	Stay in play longer than your opponents.\r\nBe the last one standing to win!
mn_dRoom_book_mm07_text05	The key to victory is keen observation.\r\nKeep your eye on the prize\r\nand your head in the game!
mn_dRoom_book_mm07_text06	Head-to-head. Mano a mano.\r\nThere can only be one winner.\r\nWho will come out on top?
mn_dRoom_book_mm07_text07	Keep your speed up, and reach the\r\nfinish line before anyone else.\r\nReady, set...go!
mn_dRoom_book_mm07_text08	Your rivals aren't your only opposition.\r\nTry to survive longer than everyone else!
mn_dRoom_book_mm07_text09	The odds might not be in your favor,\r\nbut don't give up in 1 vs. 3 minigames!
mn_dRoom_book_mm07_text10	Outjump your competition to\r\nend up on top!
mn_dRoom_book_mm07_text11	Aim to be the MVP in these\r\nsporty minigames!
mn_dRoom_book_mm07_text12	Collect more {color[ffffffff]}{color[000000ff]} {color[0b0000ff]}coins than the competition\r\nin 1 vs. 3 Coin Minigames.{color[000000ff]}
mn_dRoom_book_mm07_text13	Push your rivals off the course,\r\nbut be careful not to get pushed\r\noff yourself!
mn_dRoom_book_mm07_text14	These minigames are all about the technique.\r\nPrecise controls will help you secure the win!
mn_dRoom_book_mm07_text15	Pursue your prey or keep away.\r\nIt all depends on which side you're on!
mn_dRoom_book_mm07_text16	No matter what happens to everyone\r\nelse, your one goal is to survive!
mn_dRoom_book_mm07_text17	Make quick decisions in these\r\ntests of your reflexes!
mn_dRoom_book_mm07_text18	Set your sights on your rivals,\r\nand fire away for the win!
mn_dRoom_book_mm07_text19	Gather more than your opponents\r\nto grab the win!
mn_dRoom_book_mm07_text20	Push your way through tight spaces and\r\ntough crowds to come out on top!
mn_dRoom_book_mm07_text21	Just try to remain calm as the pressure rises\r\nin 1 vs. 3 minigames.
mn_dRoom_mu_caption	Music
mn_dRoom_mu_category00	Favorites
mn_dRoom_mu_category01	Village Square
mn_dRoom_mu_category02	Boards
mn_dRoom_mu_category03	Minigames
mn_dRoom_mu_category04	Mt. Minigames
mn_dRoom_mu_ui_pet_total	[0]
mn_dRoom_mu_pet_details	You can register a track to your favorites\r\nby pressing . Create a playlist!
mn_dRoom_mu_shop_details	Purchase music tracks from Toad's Shop,\r\nand give them a listen here!
mn_dRoom_mu_ctrl_pet	 Register
mn_dRoom_mu_ctrl_petBack	 Remove
mn_dRoom_mu_header	[0]
mn_dRoom_mu_bgm_name	[0]
mn_dRoom_card_achieve	[0]
mn_dRoom_card_name	[0]
mn_dRoom_card_title_level	Mario Party Lv.
mn_dRoom_card_level	[0]
mn_dRoom_card_clap	[0]
mn_dRoom_card_coin	[0]
mn_dRoom_card_title_time	Time Played
mn_dRoom_card_time	[0] hours
mn_dRoom_card_title_rank	Survival
mn_dRoom_card_rank	[0]
mn_dRoom_card_title_series	Favorite Game
mn_dRoom_card_title_map	Favorite Board
mn_dRoom_card_map_name	[0]
mn_dRoom_card_title_mg	Favorite Minigames
mn_dRoom_card_mg_record	[0]
mn_dRoom_card_mg_record_m	[0] {size[3c00]}yd.{size[6400]}
mn_dRoom_card_mg_record_m2	[0].[1] {size[3c00]}yd.{size[6400]}
mn_dRoom_card_mg_record_degree	[0]°
mn_dRoom_card_mg_record_timer	[0]:[1].[2]
mn_dRoom_card_mg_rank	[0]
mn_dRoom_card_ctrl_next	 Confirm
mn_dRoom_card_ctrl_edit	 Edit
mn_dRoom_card_ctrl_back	 Back
mn_dRoom_card_ctrl_rankTop	 Most Popular
mn_dRoom_card_ctrl_blind	 View
mn_dRoom_card_ctrl_design	 Change Design
mn_dRoom_card_ctrl_rank	 Most Popular
mn_dRoom_cardEdit_back	 Back
mn_dRoom_cardEdit_design_name	[0]
mn_dRoom_cardEdit_design_name_empty	???
mn_dRoom_cardEdit_title_chara	Choose your favorite character.
mn_dRoom_cardEdit_title_achieve	Choose an achievement to display.
mn_dRoom_cardEdit_achieve_name	[0]
mn_dRoom_cardEdit_achieve_name_empty	???
mn_dRoom_cardEdit_achieve_condition	[0]
mn_dRoom_cardEdit_title_series	Choose your favorite game in the series.
mn_dRoom_cardEdit_title_map	Choose your favorite board.
mn_dRoom_cardEdit_map_name	[0]
mn_dRoom_cardEdit_title_mg	Choose a favorite minigame.
mn_dRoom_cardEdit_mg_score	[0]
mn_dRoom_cardEdit_mg_score_m	[0] {size[3c00]}yd.{size[6400]}
mn_dRoom_cardEdit_mg_score_m2	[0].[1] {size[3c00]}yd.{size[6400]}
mn_dRoom_cardEdit_mg_score_degree	[0]°
mn_dRoom_cardEdit_mg_score_timer	[0]:[1].[2]
mn_dRoom_cardEdit_mg_name	[0]
mn_dRoom_cardEdit_mg_rank	[0]
mn_dRoom_cardEdit_title_design	Choose your favorite design.
mn_dRoom_cardRank_title_board	Favorite Board
mn_dRoom_cardRank_title_series	Favorite Game
mn_dRoom_cardRank_title_mg	Favorite Minigames
mn_dRoom_cardRank_rank	[0]
mn_dRoom_cardRank_name	[0]
mn_dRoom_cardRank_percent	[0].[1]%
mn_dRoom_rec_top_new	New Records
mn_dRoom_rec_top_rank	Minigame Win Percentages
