glossary.msbt
gl_799	酷霸王蛋糕
mn_bdM_turn	回合数
mn_bdM_bonus	奖励星星
mn_bdM_inst	小游戏说明
mn_bdM_handi	让步
mn_bdM_turn_select	[0]回合
mn_bdM_rule_select00	有
mn_bdM_rule_select01	无
mn_bdM_rule_select02	固定
mn_bdM_rule_turn_time	[0]分钟
mn_bdM_mapName	[0]
mn_bdM_on_map	[0]
mn_bdM_on_map_ok	开始匹配！
mn_bdM_on_map_icon	也许有人能一起玩
mn_bdM_on_map_rule	决定详细规则
mn_bdM_on_map_back	返回
mn_bdM_on_map_level	难度
mn_bdM_userName	[0]
mn_bdM_comName	[0]
mn_bdM_comLevel	[0]
mn_bdM_chara_name	[0]
mn_bdM_playerNo	[0]
mn_bdM_comNo	CPU
mn_bdM_pack_list	[0]
mn_bdM_header_turn	回合数
mn_bdM_header_bonus	奖励星星
mn_bdM_header_inst	小游戏的说明
mn_bdM_header_pack	小游戏组合包
mn_bdM_check_pack	[0]
mn_bdM_saveData_guest	访客
mn_bdM_ctrl_good	好耶！
mn_bdM_matchRule_title	可以详细设置想要游玩的规则。
mn_bdM_matchRule_turn_title	回合数
mn_bdM_matchRule_bonus_title	奖励星星
mn_bdM_matchRule_turn	[0]回合
mn_bdM_matchRule_bonus00	有
mn_bdM_matchRule_bonus01	无
mn_bdM_matchRule_bonus02	固定
mn_bdM_matchRule_reco	推荐
mn_bdM_match_ctrl_card	/Mario Party卡片
mn_bdM_match_ctrl_mg	/返回小游戏
mn_bdM_match_mg_name	[0]
mn_bdM_match_rule_map	[0]
mn_bdM_match_rule_turn	[0]回合
mn_bdM_match_rule_bonus00	奖励星星：有
mn_bdM_match_rule_bonus01	奖励星星：无
mn_bdM_match_rule_bonus02	奖励星星：固定
mn_bdM_match_title_wait	正在寻找一起游玩的人……
mn_bdM_match_title_start	游戏即将开始！
mn_bdM_match_card_name	[0]
mn_bdM_match_card_level	等级[0]
mn_bdM_match_card_achieve	[0]
mn_bdM_match_card_wins	[0]胜
mn_bdM_match_card_rankTitle	技术
mn_bdM_match_card_rank	[0]
mn_bdM_match_card_coin	[0]
mn_bdM_match_card_coinTitle	高分
mn_bdM_match_sports_vs	VS
mn_bdM_match_sports_name	[0]
mn_bdM_match_sports_CPU	CPU
mn_bdM_mw_intro_first00	决定谁才是超级巨星的\r\n冒险终于要开始了！
mn_bdM_mw_introA	赶快来做冒险的准备吧。
mn_bdM_mw_introB	好兴奋呢！
mn_bdM_mw_introC	快乐的冒险在等着我们呢。
mn_bdM_mw_intro_save	好像存在中断数据。\r\n要继续游玩吗？
mn_bdM_intro_save_a0	继续游戏
mn_bdM_intro_save_a1	从头开始
mn_bdM_mw_save_select	请选择想要游玩的中断数据吧。
mn_bdM_mw_save_check	要以这个中断数据继续游玩吗？
mn_bdM_save_check_a0	游玩
mn_bdM_save_check_a1	不游玩
mn_bdM_mw_save_guest	[0]，\r\n请选择自己的角色吧。
mn_bdM_mw_save_replaced	缺席的玩家会由CPU代替，\r\n让我们开始冒险吧！
mn_bdM_mw_override_select	中断数据已满。\r\n请选择要覆盖的中断数据。
mn_bdM_mw_override_check	要覆盖这个中断数据吗？
mn_bdM_override_check_a0	是
mn_bdM_override_check_a1	否
mn_bdM_mw_chara_select	谁要参加冒险？
mn_bdM_mw_com_select	需要4人进行冒险。\r\n还剩[0]，让谁参加呢？
mn_bdM_mw_chara_check	这次以这些成员开始游戏可以吗？
mn_bdM_chara_check_a0	是
mn_bdM_chara_check_a1	否
mn_bdM_chara_check_a2	随机
mn_bdM_mw_comLevel_select	决定强度吧。
mn_bdM_mw_handi_check	如果进行让步，\r\n最初持有的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星数就会改变。{color[000000ff]}
mn_bdM_mw_handi_check00	大家的{color[ffffffff]}{color[110c1dff]}星星数目从零开始哦。{color[ffffffff]}{color[000000ff]}
mn_bdM_mw_handi_select	请决定要让步的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星数。{color[000000ff]}
mn_bdM_mw_rule_check	你明白冒险的规则吗？
mn_bdM_mw_rule_after	你明白规则了吗？
mn_bdM_rule_check_a0	明白
mn_bdM_rule_check_a1	告诉我
mn_bdM_rule_check_a2	明白了！
mn_bdM_mw_map00	在美味的蛋糕上前进吧。\r\n装饰上去的草莓是胜负的关键！？
mn_bdM_mw_map01	在空间站中冒险！\r\n要注意狂奔的太空船和巨大的大炮！
mn_bdM_mw_map02	只能沿着箭头所指路线前进的迷失森林。\r\n好好利用会不断变换的前进方向吧。
mn_bdM_mw_map03	由咚咚所在的桥连接着的两座岛屿。\r\n究竟待在哪座岛上才好，好好思考后再行动吧！
mn_bdM_mw_map04	据说有鬼怪出没的阴森场所。\r\n白天和夜晚会发生不同的事情，请小心！
mn_bdM_mw_turn_reco	如果要在{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}展开冒险，\r\n推荐选择[1]回合哦。{color[000000ff]}
mn_bdM_mw_bonus_detail00	有机会大逆转哦！\r\n能获得怎样的奖励星星呢？
mn_bdM_mw_bonus_detail01	没有奖励星星！\r\n凭实力一决胜负。
mn_bdM_mw_bonus_detail02	这是金币星星、小游戏星星和\r\n事件星星全都固定好的怀旧规则哦！
mn_bdM_mw_inst_detail	开始小游戏之前，\r\n会出现与操作方法等相关的详细说明。
mn_bdM_mw_inst_detai00	将跳过开始\r\n小游戏前的说明哦。
mn_bdM_mw_pack_select	最后，请选择小游戏组合包！\r\n组合包不同，可选的小游戏也会不一样哦。
mn_bdM_mw_pack_details00	可以游玩所有的小游戏。
mn_bdM_mw_pack_details01	里面含有很多操作简单，\r\n适合与家人一起游玩的小游戏哦。
mn_bdM_mw_pack_details02	里面含有很多动作类小游戏哦。
mn_bdM_mw_pack_details03	里面含有很多\r\nNintendo 64中收录的小游戏哦。
mn_bdM_mw_pack_details04	里面含有很多GameCube中\r\n收录的经典小游戏哦。
mn_bdM_mw_pack_details05	里面含有很多将比试\r\n技巧的小游戏哦。
mn_bdM_mw_check	这样一来，准备就完成了！\r\n要开始冒险吗？
mn_bdM_check_a0	开始
mn_bdM_check_a1	返回
mn_bdM_mw_rules00	这个游戏是通过投掷骰子走格子的棋盘类游戏。
mn_bdM_mw_rules01	最后{color[110c1dff]}拥有{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星最多的人\r\n将成为超级巨星！{color[000000ff]}
mn_bdM_mw_rules02	{color[110c1dff]}如果收集到20枚{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币，\r\n就能获得{color[ffffffff]}{color[110c1dff]}星星！{color[000000ff]}
mn_bdM_mw_rules03	获胜的话，就能{color[110c1dff]}获得{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。{color[000000ff]}
mn_bdM_mw_rules04	蓝色格子代表好的格子，需要小心红色格子。
mn_bdM_mw_rules05	如果走到蓝色格子的话，\r\n就能{color[110c1dff]}有机会获得{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币！{color[000000ff]}
mn_bdM_mw_rules06	红色格子是会让{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币减少的格子。\r\n如果是酷霸王的格子，那就要特别小心！！{color[000000ff]}
mn_bdM_mw_rules07	另外，绿色的格子\r\n会发生特别的事情。
mn_bdM_mw_rules08	所有人移动结束后，\r\n小游戏中对战就开始了！
mn_bdM_mw_intro_online	那么，一场与世界各地的人争夺成为\r\n超级巨星的对战就要开始了！
mn_bdM_mw_map_online	选择要进行冒险的地方吧。
hsmn03.msbt
mn_dSetting_ctrl	返回
mn_dSetting_bgm_choice	可以更改游玩过的棋盘游戏的BGM。
mn_dSetting_bgm_board	[0]
mn_dSetting_bgm_original	原曲
mn_dSetting_bgm_remake	重制
mn_dSetting_bgm_ok	OK!
mn_dSetting_bgm_stop	停止
mn_dSetting_top_stamp	贴图设置
mn_dSetting_top_save	删除中断数据
mn_dSetting_top_bgm	切换BGM
mn_dSetting_top_message	信息速度
mn_dSetting_top_message_fast	快速
mn_dSetting_top_message_normal	普通
mn_dSetting_top_message_slow	缓慢
mn_dSetting_top_mute	接收贴图
mn_dSetting_top_mute_on	是
mn_dSetting_top_mute_off	否
mn_dSetting_top_com_speed	CPU的行动
mn_dSetting_top_com_fast	快速
mn_dSetting_top_com_normal	普通
mn_dSetting_stampTop_list	贴图一览表
mn_dSetting_stampList_title	贴图一览表
mn_dSetting_stampList_count	[0]/67
mn_dSetting_title_details01	可以管理棋盘游戏的中断数据。
mn_dSetting_title_details07	如果停止接收贴图，将无法看到陌生人发出的贴图。
mn_dSetting_mw_enterA	你好，这里是{color[ff3502ff]}选项屋{color[000000ff]}{color[110c1dff]}。{color[000000ff]}
mn_dSetting_mw_enterB	欢迎光临，这里是{color[ff3502ff]}选项屋{color[000000ff]}{color[110c1dff]}。{color[000000ff]}
mn_dSetting_mw_enterC	好啊，这里是{color[ff3502ff]}选项屋{color[000000ff]}{color[110c1dff]}。{color[000000ff]}
mn_dSetting_mw_enter_first00	在这里可以对游戏进行各种设置。
mn_dSetting_mw_add_intro	增加了新的内容。\r\n请确认一下吧。
mn_dSetting_mw_enter_byeA	这样啊。\r\n那么有什么需要，随时再来。
mn_dSetting_mw_enter_byeB	完成了一个不错的设置呢。\r\n那么，再见吧。
mn_dSetting_mw_enter_byeC	“好的设置将会诞生好的游戏”。\r\n可不要忘记这句话哦。
mn_dSetting_mw_top_savedata	所有中断数据已被删除。
mn_dSetting_mw_stampSet_mute	真的可以吗？
mn_dSetting_mw_mute_a0	是
mn_dSetting_mw_mute_a1	否
mn_dSetting_mw_savedata_select	请选择要删除的中断数据。
mn_dSetting_mw_savedata_check	删除的数据不会复原。\r\n真的要删除吗？
mn_dSetting_mw_savedata_a0	删除
mn_dSetting_mw_savedata_a1	不删除
hsmn04.msbt
hsmn04_friend_host	创建房间
hsmn04_friend_clients	寻找房间
hsmn04_friend_clients_FL	寻找朋友的房间
hsmn04_friend_clients_ID	以房间ID寻找
hsmn04_friend_host_details	邀请大家一起游玩。
hsmn04_friend_clients_details	进入别人创建的房间。
hsmn04_friend_clients_ID_details	输入房间编号寻找。
hsmn04_friend_host_limit	进房限制
hsmn04_friend_host_pass	密码
hsmn04_friend_host_limit_FL	仅限朋友
hsmn04_friend_host_limit_any	所有人都可以
hsmn04_friend_host_pass_on	设置
hsmn04_friend_host_pass_off	不设置
hsmn04_friend_host_pl	OK！
hsmn04_friend_robby_info_limit	进房限制
hsmn04_friend_robby_info_pass	设置密码
hsmn04_friend_robby_limit_FL	仅限朋友
hsmn04_friend_robby_limit_any	所有人都可以
hsmn04_friend_robby_pass	[0]
hsmn04_friend_robby_notPass	无
hsmn04_friend_roomSel_order	要进入哪个玩家的房间？
hsmn04_friend_roomSel_ctrl_redo	再找一次
hsmn04_friend_roomSel_ctrl_back	返回
hsmn04_friend_roomSel_name	[0]
hsmn04_friend_roomSel_current	[0]/4
hsmn04_connect_host_order	这台主机有多少人游玩？
hsmn04_connect_host_order_a	[0]
hsmn04_connect_host_pl	开始！
hsmn04_connect_clients_order	这台主机有多少人参加？
hsmn04_connect_clients_join	能够进入房间的人数
hsmn04_connect_clients_order_a	[0]
hsmn04_connect_clients_join_a	还剩[0]
hsmn04_connect_clients_pl	OK！
hsmn04_connect_account_name	[0]
hsmn04_friend_robby_ctrl_info	房间信息
hsmn04_friend_robby_ctrl_FL	邀请朋友
hsmn04_friend_robby_ctrl_back	返回
hsmn04_friend_robby_ctrl_VC	/进行语音聊天
hsmn04_friend_robby_hostName	[0]的房间
hsmn04_friend_robby_wait	正在等待[0]开始游戏……
hsmn04_friend_robby_pl	将以这些成员开始。
sys_invite_mes	要游玩《马力欧派对 超级巨星》吗？
hsmn04_host_header	创建房间
hsmn04_clients_header	寻找房间
hsmn04_robby_roomID	房间ID [0]
hsmn04_robby_mpCard	Mario Party卡片
hsmn04_back_ctrl	返回
hsmn04_friend_robby_hostWait	正在等待参加者……
hsmn04_friend_mw_welcome0a	我一直都在等你！
hsmn04_friend_mw_welcome0b	你好！\r\n你还好吗？
hsmn04_friend_mw_welcome0c	欢迎光临！
hsmn04_friend_mw_first0	在这里，你可以和\r\n远方的朋友碰面哦♪
hsmn04_friend_mw_out0a	请好好享受吧！
hsmn04_friend_mw_out0b	请好好游玩吧！
hsmn04_friend_mw_out0c	那么，请慢走！
hsmn04_friend_mw_out1a	再见，欢迎再来！
hsmn04_friend_mw_out1b	欢迎再来，我会等你的！
hsmn04_friend_mw_out1c	期待着再次为您服务！
hsmn05.msbt
mn_dStore_category_select	[0]
mn_dStore_category_list_all	全部
mn_dStore_category_list_stamp	贴图
mn_dStore_category_list_card	卡片设计
mn_dStore_category_list_book	图鉴
mn_dStore_category_list_bgm	音乐
mn_dStore_goods_name	[0]
mn_dStore_goods_price	[0]
mn_dStore_goods_name_check	[0]
mn_dStore_goods_stampDetails	这是能将自己的心情\r\n传达给玩伴的贴图。
mn_dStore_goods_bgmDetails	包含了[0]首崭新且又\r\n令人怀念的曲子的组合包。\r\n可以通过音乐播放。
mn_dStore_goods_d_bgmDetails	包含了[0]首曲子的组合包。\r\n可以通过资料屋里的音乐播放。
mn_dStore_goods_staff_bgmDetails	可以在资料屋的音乐里播放。\r\n这首曲子真令人怀念啊。
mn_dStore_goods_bookDetails00	资料屋的系列图鉴中\r\n将增加新的页面。
mn_dStore_goods_bookDetails01	资料屋的棋盘游戏图鉴中\r\n将增加新的页面。
mn_dStore_goods_bookDetails02	资料屋的角色图鉴中\r\n将增加新的页面。
mn_dStore_goods_bookDetails03	资料屋的提示图鉴中\r\n将增加新的页面。
mn_dStore_goods_caodDetails	可以对Mario Party卡片的\r\n卡片设计进行设置。
mn_dStore_buy_check	要购买吗？
mn_dStore_coin_before	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]{color[000000ff]}
mn_dStore_coin_after	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]{color[000000ff]}
mn_dStore_buy_a0	购买！
mn_dStore_buy_a1	不购买
mn_dStore_coin_have	[0]
mn_dStore_back	返回
mn_dStore_mw_enterA	欢迎光临！
mn_dStore_mw_enterB	欢迎光临{color[ff3502ff]}奇诺比奥商店{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
mn_dStore_mw_enterC	{color[110c1dff]}请慢慢选购。{color[000000ff]}
mn_dStore_mw_firstEnter00	这里有可在棋盘游戏中使用的贴图、\r\n经典音乐、图鉴、卡片等各种物品。
mn_dStore_mw_firstEnter01	请在棋盘游戏和\r\n{color[ff3502ff]}小游戏山丘{color[000000ff]}{color[110c1dff]}中收集金币吧。{color[000000ff]}
mn_dStore_mw_firstEnter02	请慢慢选购吧！
mn_dStore_mw_add_intro	增加了新的商品！
mn_dStore_mw_soldOut00	商品已经全部卖完了！\r\n谢谢你购买了这么多的商品！
mn_dStore_mw_byeA	欢迎下次再来！
mn_dStore_mw_byeB	期待您的下次光临！
mn_dStore_mw_byeC	请下次再来！我会一直等着你的！
mn_dStore_mw_lack	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币不够呢。{color[000000ff]}
mn_dStore_mw_buy	谢谢惠顾！
hsmn06.msbt
mn_dRoom_mw_introA	嘻～嘻嘻嘻！\r\n这里是{color[ff3502ff]}资料屋{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
mn_dRoom_mw_introB	嘻～嘻嘻嘻！\r\n你终于来了。
mn_dRoom_mw_introC	{color[110c1dff]}欢迎来到{color[000000ff]}{color[ff3502ff]}资料屋{color[000000ff]}{color[110c1dff]}。\r\n嘻～嘻嘻嘻！{color[000000ff]}
mn_dRoom_mw_add_intro	好像增加了新的内容。\r\n去确认一下吧？
mn_dRoom_mw_add_introStaff	音乐里新增了制作人员名单。\r\n到广场标签的最后面去看看吧。
mn_dRoom_mw_firstEnter00	我没见过你呢？\r\n这个好东西就给你吧。
mn_dRoom_mw_firstEnter01	这是Mario Party卡片。\r\n上面会记录这个世界的冒险，很神奇哦。
mn_dRoom_mw_firstEnter02	马上来记录一下你的事情吧。
mn_dRoom_mw_firstEnter03	哦，你喜欢这种啊。\r\n如果想改变内容的话，可以随时来这里更改。
mn_dRoom_mw_card_intro_back	哎呀，你要选些东西才行啊。
mn_dRoom_mw_card_intro	如果连接互联网，\r\n这张Mario Party卡片\r\n就会向全世界的人公开。
mn_dRoom_mw_goTo00a	要查看Mario Party卡片吗？
mn_dRoom_mw_goTo00b	图鉴里装满了回忆。\r\n可要好好保管哦。
mn_dRoom_mw_goTo00c	听音乐会让人心情愉悦呢。
mn_dRoom_mw_goTo00d	可以从游戏纪录中查看胜率或新纪录，\r\n回顾至今为止的冒险。
mn_dRoom_mw_goTo00e	去确认下称号怎么样？
mn_dRoom_mw_goTo00f	据说连接互联网的话，\r\n就能和世界各地的人游玩哦。
mn_dRoom_mw_byeA	再见，要再来哦。
mn_dRoom_mw_byeB	这样啊，下次再来吧。
mn_dRoom_mw_byeC	再见，嘻～嘻嘻嘻！
mn_dRoom_pointer	[0]
mn_dRoom_ctrl	返回
mn_dRoom_mw_online00	正在上传数据……
mn_dRoom_mw_online01	正在下载数据……
mn_dRoom_top_ctrl	返回
mn_dRoom_book_category00	系列
mn_dRoom_book_category01	棋盘游戏
mn_dRoom_book_category02	角色
mn_dRoom_book_category03	提示
mn_dRoom_book_shop_details	在奇诺比奥商店购买图鉴后，\r\n页数就会增加。
mn_dRoom_book_listName	[0]
mn_dRoom_book_captionName	[0]
mn_dRoom_book_seriesDetails00	为了决出谁才是真正的超级巨星，\r\n马力欧等人进入水管开始冒险。
mn_dRoom_book_seriesDetails01	马力欧等人想用自己的名字为游乐园命名。\r\n最后大家决定谁能打倒酷霸王就用谁的名字！\r\n于是，冒险就这样开始了。
mn_dRoom_book_seriesDetails02	围绕千年才出现一次的\r\n星星“千禧星”，\r\n一行人在玩具世界展开大冒险。
mn_dRoom_book_seriesDetails03	为了获得奇诺比奥们准备的大礼物，\r\n马力欧等人开始了一场真正的较量。
mn_dRoom_book_seriesDetails04	马力欧等人受邀来到了梦中世界。\r\n他们受到了星之精灵的热情款待，\r\n一场快乐的派对就要开始了。
mn_dRoom_book_seriesDetails05	为了让阳阳和月月和好如初，\r\n马力欧等人决定收集星星。
mn_dRoom_book_seriesDetails06	马力欧等人坐上了一艘气派非凡的船。\r\n谁知道酷霸王也在船上……\r\n一场暗流涌动的狂野之旅就要出航了。
mn_dRoom_book_seriesDetails07	据说在星星嘉年华中夺冠，\r\n就能获得超级巨星的称号\r\n以及一年份的糖果。
mn_dRoom_book_seriesDetails08	为了从酷霸王那里夺回小星星\r\n让夜空恢复原状，\r\n马力欧等人开始了冒险。
mn_dRoom_book_seriesDetails09	与酷霸王军团的一场生死之战！\r\n马力欧等人要逃脱酷霸王的追赶。\r\n究竟哪一方才会获得最后的胜利呢？
mn_dRoom_book_bdDetails00	双层蛋糕上摆满了草莓。\r\n布丁上还有酷霸王。\r\n用草莓装饰蛋糕来庆祝吧！
mn_dRoom_book_bdDetails01	从中央成放射状延伸出去的路线\r\n构成了整个空间站。\r\n要小心酷霸王形状的炮台。
mn_dRoom_book_bdDetails02	会让人迷失其中的奇妙森林。\r\n告示牌上的箭头指向不同方向。\r\n森林深处还有一颗可疑的树。
mn_dRoom_book_bdDetails03	有着耀西造型的水果岛。\r\n左边是遍地西瓜的西瓜岛，\r\n右边是遍地哈密瓜的哈密瓜岛。
mn_dRoom_book_bdDetails04	在这里白天和黑夜会交替变换。\r\n晚上鬼怪会聚在一起举办派对，\r\n真是一个可怕的地方。
mn_dRoom_book_caraDetails00	他深受人们的喜爱，\r\n红帽子和胡子\r\n是他的特征。
mn_dRoom_book_caraDetails01	比马力欧长得高，\r\n在跳跃上不输他人。\r\n比较害怕鬼怪。
mn_dRoom_book_caraDetails02	蘑菇王国的善良公主。\r\n最喜欢粉红色。
mn_dRoom_book_caraDetails03	活泼好动的公主。\r\n喜欢花朵耳环。
mn_dRoom_book_caraDetails04	瓦路易吉的搭档。\r\n性格豪爽，见钱眼开。
mn_dRoom_book_caraDetails05	瓦力欧的搭档。\r\n性格乖僻，\r\n爱耍小聪明。
mn_dRoom_book_caraDetails06	为人平和，\r\n是马力欧可靠的伙伴。\r\n最爱吃水果。
mn_dRoom_book_caraDetails07	拥有神奇的力量。\r\n和星之子“琪琪”\r\n一起在宇宙中旅行。
mn_dRoom_book_caraDetails08	非常喜欢香蕉。\r\n力大无穷，\r\n是森林的王者。
mn_dRoom_book_caraDetails09	开朗活泼，经常对着众人\r\n展现自己可爱的一面。
mn_dRoom_book_caraDetails10	蘑菇王国的居民。\r\n精力充沛，热爱工作。
mn_dRoom_book_caraDetails11	性格活泼开朗。\r\n粉红色的大辫子\r\n是她的特征。
mn_dRoom_book_caraDetails12	龟族的大魔王。\r\n性格霸道，\r\n非常以自我为中心。
mn_dRoom_book_caraDetails13	酷霸王的手下，\r\n总是被踩。
mn_dRoom_book_caraDetails14	除了红色的嘿呵，\r\n还有其他颜色的同伴。
mn_dRoom_book_caraDetails15	头上装有螺旋桨，\r\n一直在天上飞来飞去。
mn_dRoom_book_caraDetails16	因为好久没当向导了，\r\n所以非常有干劲。
mn_dRoom_book_caraDetails17	开始闪烁就是\r\n要爆炸的信号。\r\n这时就快逃跑吧！
mn_dRoom_book_caraDetails18	一旦接近就会被它用\r\n大大的嘴巴吃掉。
mn_dRoom_book_caraDetails19	会从炮台中飞出。\r\n击中时会发生爆炸，\r\n所以要小心躲避！
mn_dRoom_book_caraDetails20	一直在海中游来游去。\r\n有时也会出现在河里。
mn_dRoom_book_caraDetails21	球盖姆扔出来的\r\n红色带刺小球。\r\n被击中会非常痛。
mn_dRoom_book_caraDetails22	擅长挖洞。\r\n像鼹鼠一样的敌人。
mn_dRoom_book_caraDetails23	会躲在暗处\r\n寻找恶作剧的机会。
mn_dRoom_book_caraDetails24	小企鹅的父母。\r\n身型非常庞大。
mn_dRoom_book_caraDetails25	非常沉重。\r\n请小心不要被它压扁。
mn_dRoom_book_caraDetails26	浑身被黑色坚硬的\r\n龟壳保护着。
mn_dRoom_book_caraDetails27	腾云驾雾，\r\n会从空中扔下刺刺蛋。\r\n操控能力一流。
mn_dRoom_book_caraDetails28	喜欢恶作剧的调皮小子。\r\n大魔王酷霸王的儿子。
mn_dRoom_book_caraDetails29	一直在水中游泳。\r\n生气的时候会喷墨。
mn_dRoom_book_caraDetails30	非常害羞，\r\n只要看向它，\r\n它就会把脸挡住。
mn_dRoom_book_caraDetails31	被锁链拴住，\r\n身体像铁一样坚硬。
mn_dRoom_book_caraDetails32	会用巨大的身体\r\n挡住去路。
mn_dRoom_book_caraDetails33	害羞幽灵的王。\r\n常以巨大的身体和\r\n王冠引以为傲。
mn_dRoom_book_caraDetails34	浮在水中，\r\n用长满尖刺的\r\n身体挡住去路。
mn_dRoom_book_caraDetails35	大大的钳子是它的魅力，\r\n常常待在水边。
mn_dRoom_book_caraDetails36	会通过投掷锤子\r\n来妨碍对手。
mn_dRoom_book_caraDetails37	像仙人掌一样的敌人。\r\n会突然从地底钻出来。
mn_dRoom_book_caraDetails38	和害羞幽灵不同，\r\n即使你看向它，\r\n它也不会害羞。
mn_dRoom_book_caraDetails39	在附近打转的话，\r\n眼睛就会转来转去。
mn_dRoom_book_caraDetails40	龟族的魔法师，\r\n眼镜和蓝色法袍\r\n是他的特征。
mn_dRoom_book_caraDetails41	挥动翅膀\r\n在天上飞来飞去。
mn_dRoom_book_caraDetails42	不管什么都能用\r\n大大的嘴巴\r\n一口吃下。
mn_dRoom_book_caraDetails43	长得很像嘿呵，\r\n不过仔细看的话，\r\n会发现面具是黑色的。
mn_dRoom_book_caraDetails44	吞食花的老大。\r\n弱点是内裤里的肚脐。
mn_dRoom_book_caraDetails45	和栗宝宝非常相似，\r\n经常被混淆。
mn_dRoom_book_caraDetails46	企鹅的孩子。\r\n住在寒冷的地方。
mn_dRoom_book_caraDetails47	喜欢恶作剧的猴子。\r\n常呆在树上。
mn_dRoom_book_caraDetails48	酷霸王Jr.的座驾，\r\n可以在天上飞。
mn_dRoom_book_bd00_text00	如果要想游玩更长时间，\r\n可以通过延长回合来增加回合数。\r\n不过，在最终回合时无法进行延长。
mn_dRoom_book_bd00_text01	和朋友一起游玩时，\r\n只有创建房间的人才可以延长回合。
mn_dRoom_book_bd00_text02	如果延长回合，最后5回合里的变化，\r\n如决斗以及格子上的{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币增减数目等\r\n将会恢复原状。{color[000000ff]}
mn_dRoom_book_bd00_text03	地图上黄色的小点是{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}星星兑换所的\r\n候选地。奇诺比珂离开后，\r\n一定会去往某一个黄点。{color[000000ff]}
mn_dRoom_book_bd00_text04	在棋盘游戏中，还可以通过键来发送贴图。\r\n快去看看都有哪些贴图吧。\r\n有时也可以推动来更改哦。
mn_dRoom_book_bd01_text00	使用草莓进行装饰吧。\r\n小的草莓需要{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}5金币，大的需要{color[ffffffff]}{color[0b0000ff]}30金币。\r\n它们能为你夺取{color[ffffffff]}{color[0b0000ff]}金币和{color[ffffffff]}{color[0b0000ff]}星星。{color[000000ff]}
mn_dRoom_book_bd01_text01	如果停在自己用草莓装饰过的格子上的话，\r\n就能获得{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币，而且草莓也不会消失。{color[000000ff]}
mn_dRoom_book_bd01_text02	小草莓很有活力，\r\n在夺取他人的{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币后，\r\n有时也不会消失。{color[000000ff]}
mn_dRoom_book_bd01_text03	栗宝宝的抽奖必定能中1次。\r\n当谁都没有中奖时，\r\n如果还剩1个种子的话，必定会中奖。
mn_dRoom_book_bd01_text04	酷霸王在含有很多香蕉，\r\n并淋有焦糖酱的大布丁那里。\r\n接下来酷霸王可能会将它吃掉。
mn_dRoom_book_bd01_text05	在美味可口的蛋糕上收集{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}星星吧！\r\n但是，在决出谁是超级巨星之前，\r\n可不许偷吃蛋糕啊。{color[000000ff]}
mn_dRoom_book_bd01_text06	在这个蛋糕的中间，\r\n有一个巧克力王冠。\r\n成为超级巨星后，或许能得到它。
mn_dRoom_book_bd02_text00	在空间站取胜的关键在于\r\n如何不被酷霸王炮击中。
mn_dRoom_book_bd02_text01	如果被酷霸王炮击中，\r\n就会失去身上所有的{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币。\r\n所以千万不能被它击中。{color[000000ff]}
mn_dRoom_book_bd02_text02	中间的倒数显示“1”时要特殊注意。\r\n看清楚哪条才是危险的路线，赶快逃走吧。
mn_dRoom_book_bd02_text03	好像有个UFO降落在了某个地方。\r\n到底发生了什么呢？
mn_dRoom_book_bd02_text04	据说酷霸王炮好像是由\r\n太阳能电池板提供能量的。
mn_dRoom_book_bd02_text05	对于违规超速的人，热心工作的\r\n木乔巡警会一路追查到底。
mn_dRoom_book_bd02_text06	搭乘狂奔太空船的是\r\n砰砰或咚咚。
mn_dRoom_book_bd03_text00	如果把{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币交给黄鼹鼠，\r\n它会帮你更改箭头的方向。\r\n每次需要的{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金币数都会根据它的心情而变化。{color[000000ff]}
mn_dRoom_book_bd03_text01	告示板上的箭头会不断地变换方向。\r\n如果前进时不仔细确认，\r\n就会绕一个很大很大的弯路。
mn_dRoom_book_bd03_text02	这里是绿意盎然的森林。\r\n很多动物都居住在这里，\r\n不过动物们好像有时也会迷路。
