glossary.msbt
gl_799	庫巴蛋糕
mn_bdM_turn	回合數
mn_bdM_bonus	獎勵星星
mn_bdM_inst	小遊戲說明
mn_bdM_handi	附加條件
mn_bdM_turn_select	[0]回合
mn_bdM_rule_select00	有
mn_bdM_rule_select01	無
mn_bdM_rule_select02	固定
mn_bdM_rule_turn_time	[0]分鐘
mn_bdM_mapName	[0]
mn_bdM_on_map	[0]
mn_bdM_on_map_ok	配對開始！
mn_bdM_on_map_icon	也許有人能一起玩
mn_bdM_on_map_rule	決定詳細規則
mn_bdM_on_map_back	返回
mn_bdM_on_map_level	難度
mn_bdM_userName	[0]
mn_bdM_comName	[0]
mn_bdM_comLevel	[0]
mn_bdM_chara_name	[0]
mn_bdM_playerNo	[0]
mn_bdM_comNo	CPU
mn_bdM_pack_list	[0]
mn_bdM_header_turn	回合數
mn_bdM_header_bonus	獎勵星星
mn_bdM_header_inst	小遊戲的說明
mn_bdM_header_pack	小遊戲組合包
mn_bdM_check_pack	[0]
mn_bdM_saveData_guest	訪客
mn_bdM_ctrl_good	好耶！
mn_bdM_matchRule_title	可以詳細設定想要遊玩的規則。
mn_bdM_matchRule_turn_title	回合數
mn_bdM_matchRule_bonus_title	獎勵星星
mn_bdM_matchRule_turn	[0]回合
mn_bdM_matchRule_bonus00	有
mn_bdM_matchRule_bonus01	無
mn_bdM_matchRule_bonus02	固定
mn_bdM_matchRule_reco	推薦
mn_bdM_match_ctrl_card	/Mario Party卡片
mn_bdM_match_ctrl_mg	/返回小遊戲
mn_bdM_match_mg_name	[0]
mn_bdM_match_rule_map	[0]
mn_bdM_match_rule_turn	[0]回合
mn_bdM_match_rule_bonus00	獎勵星星：有
mn_bdM_match_rule_bonus01	獎勵星星：無
mn_bdM_match_rule_bonus02	獎勵星星：固定
mn_bdM_match_title_wait	正在尋找要一起玩的人……
mn_bdM_match_title_start	遊戲即將開始！
mn_bdM_match_card_name	[0]
mn_bdM_match_card_level	等級[0]
mn_bdM_match_card_achieve	[0]
mn_bdM_match_card_wins	[0]連勝
mn_bdM_match_card_rankTitle	技術
mn_bdM_match_card_rank	[0]
mn_bdM_match_card_coin	[0]
mn_bdM_match_card_coinTitle	高分
mn_bdM_match_sports_vs	VS
mn_bdM_match_sports_name	[0]
mn_bdM_match_sports_CPU	CPU
mn_bdM_mw_intro_first00	一場決定超級巨星的冒險\r\n終於要開始了！
mn_bdM_mw_introA	馬上來做冒險的準備吧。
mn_bdM_mw_introB	真讓人興奮呢！
mn_bdM_mw_introC	好玩的冒險正等待著我們。
mn_bdM_mw_intro_save	好像有中斷資料呢。\r\n要從中斷點開始遊玩嗎？
mn_bdM_intro_save_a0	從中斷點開始
mn_bdM_intro_save_a1	從頭開始
mn_bdM_mw_save_select	選擇想要遊玩的中斷資料吧。
mn_bdM_mw_save_check	要從這個中斷點開始遊玩嗎？
mn_bdM_save_check_a0	遊玩
mn_bdM_save_check_a1	不是的
mn_bdM_mw_save_guest	[0]，\r\n請選擇自己的角色。
mn_bdM_mw_save_replaced	缺席的玩家將由CPU取代，\r\n那就開始冒險吧！
mn_bdM_mw_override_select	中斷資料已滿。\r\n請選擇要覆蓋的中斷資料。
mn_bdM_mw_override_check	要覆蓋這個中斷資料嗎？
mn_bdM_override_check_a0	是
mn_bdM_override_check_a1	否
mn_bdM_mw_chara_select	有誰要參加冒險呢？
mn_bdM_mw_com_select	這是4人的冒險。\r\n還差[0]，要讓誰參加呢？
mn_bdM_mw_chara_check	這次要以這些成員開始遊戲嗎？
mn_bdM_chara_check_a0	是
mn_bdM_chara_check_a1	否
mn_bdM_chara_check_a2	隨機
mn_bdM_mw_comLevel_select	決定強度吧。
mn_bdM_mw_handi_check	如果設定成有附加條件，\r\n一開始的持有{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星數會改變喔。{color[000000ff]}
mn_bdM_mw_handi_check00	大家的{color[ffffffff]}{color[110c1dff]}星星數量將從0開始喔。{color[ffffffff]}{color[000000ff]}
mn_bdM_mw_handi_select	決定附加條件的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星數量吧。{color[000000ff]}
mn_bdM_mw_rule_check	你明白冒險規則嗎？
mn_bdM_mw_rule_after	你明白規則了嗎？
mn_bdM_rule_check_a0	明白
mn_bdM_rule_check_a1	告訴我吧
mn_bdM_rule_check_a2	明白了！
mn_bdM_mw_map00	在美味的蛋糕上前進吧。\r\n裝飾上去的草莓是勝負的關鍵！？
mn_bdM_mw_map01	在宇宙站冒險！\r\n要小心狂奔的太空船和巨大的大炮喔！
mn_bdM_mw_map02	必須按照箭頭方向前進的迷失森林。\r\n巧妙地運用會不斷變化的方向來前進吧。
mn_bdM_mw_map03	兩座島以橋相連，橋上還有咚咚。\r\n待在哪座島比較好呢？仔細思考後再行動吧！
mn_bdM_mw_map04	傳聞會有鬼怪出沒的詭異場所。\r\n白天和夜晚會發生不同的事，要小心喔！
mn_bdM_mw_turn_reco	如果要在{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}冒險，\r\n我推薦[1]回合喔。{color[000000ff]}
mn_bdM_mw_bonus_detail00	有機會大逆轉喔！\r\n能獲得怎樣的獎勵星星呢？
mn_bdM_mw_bonus_detail01	沒有獎勵星星！\r\n只能全憑實力來比賽了。
mn_bdM_mw_bonus_detail02	是金幣星星、小遊戲星星和\r\n事件星星全都固定的懷舊規則呢！
mn_bdM_mw_inst_detail	在小遊戲開始之前，\r\n會有操作方法等詳細的說明。
mn_bdM_mw_inst_detai00	將跳過小遊戲開始前的說明。
mn_bdM_mw_pack_select	最後來選擇小遊戲組合包吧！\r\n不同的組合包裡有不同的小遊戲可以玩喔。
mn_bdM_mw_pack_details00	可以遊玩所有的小遊戲。
mn_bdM_mw_pack_details01	這裡集合了適合一家人遊玩\r\n且操作簡單的小遊戲喔。
mn_bdM_mw_pack_details02	這裡集合了動作小遊戲喔。
mn_bdM_mw_pack_details03	這裡集合了收錄在Nintendo 64的小遊戲喔。
mn_bdM_mw_pack_details04	這裡集合了收錄在GameCube的小遊戲，\r\n會讓人回想起那個時候喔。
mn_bdM_mw_pack_details05	這裡集合了考驗技巧的小遊戲喔。
mn_bdM_mw_check	這樣就準備好了！\r\n要開始冒險嗎？
mn_bdM_check_a0	開始
mn_bdM_check_a1	返回
mn_bdM_mw_rules00	這是透過投擲骰子決定前進格子數的雙陸遊戲喔。
mn_bdM_mw_rules01	最後持有最多{color[ffffffff]}{color[000000ff]}{color[110c1dff]}星星的人\r\n就是超級巨星！{color[000000ff]}
mn_bdM_mw_rules02	{color[110c1dff]}收集到20枚{color[ffffffff]}{color[110c1dff]}金幣，\r\n就能獲得{color[ffffffff]}{color[110c1dff]}星星！{color[000000ff]}
mn_bdM_mw_rules03	獲勝的話，就能獲得{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣。{color[000000ff]}
mn_bdM_mw_rules04	藍色格子是好的格子，但紅色格子就要小心了。
mn_bdM_mw_rules05	停在藍色格子上，\r\n是獲得{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣的好機會！{color[000000ff]}
mn_bdM_mw_rules06	停在紅色格子上，{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣會減少。\r\n要格外地留意庫巴格才行！！{color[000000ff]}
mn_bdM_mw_rules07	另外，停在綠色格子上，會發生特別的事！
mn_bdM_mw_rules08	大家都移動完了後，\r\n就用小遊戲決勝負！
mn_bdM_mw_intro_online	好，現在開始，一場與世界各地的人\r\n爭奪成為超級巨星的對戰就要開始了！
mn_bdM_mw_map_online	請選擇想要冒險的地方吧。
hsmn03.msbt
mn_dSetting_ctrl	返回
mn_dSetting_bgm_choice	可以更改遊玩過的雙陸遊戲的BGM。
mn_dSetting_bgm_board	[0]
mn_dSetting_bgm_original	原曲
mn_dSetting_bgm_remake	重製
mn_dSetting_bgm_ok	OK！
mn_dSetting_bgm_stop	停止
mn_dSetting_top_stamp	貼圖設定
mn_dSetting_top_save	消除中斷資料
mn_dSetting_top_bgm	切換BGM
mn_dSetting_top_message	訊息速度
mn_dSetting_top_message_fast	快速
mn_dSetting_top_message_normal	普通
mn_dSetting_top_message_slow	緩慢
mn_dSetting_top_mute	接收貼圖
mn_dSetting_top_mute_on	是
mn_dSetting_top_mute_off	否
mn_dSetting_top_com_speed	CPU的動作
mn_dSetting_top_com_fast	快速
mn_dSetting_top_com_normal	普通
mn_dSetting_stampTop_list	貼圖一覽表
mn_dSetting_stampList_title	貼圖一覽表
mn_dSetting_stampList_count	[0]/67
mn_dSetting_title_details01	可以管理雙陸遊戲的中斷紀錄。
mn_dSetting_title_details07	取消接收貼圖後，將不會看到陌生人發出的貼圖。
mn_dSetting_mw_enterA	你好，{color[110c1dff]}這裡是{color[ff3502ff]}選項屋{color[110c1dff]}。{color[000000ff]}
mn_dSetting_mw_enterB	歡迎來到{color[ff3502ff]}選項屋{color[000000ff]}{color[110c1dff]}。{color[000000ff]}
mn_dSetting_mw_enterC	嗨，{color[110c1dff]}這裡是{color[ff3502ff]}選項屋{color[110c1dff]}喔。{color[000000ff]}
mn_dSetting_mw_enter_first00	在這裡可以進行遊戲的各種設定。
mn_dSetting_mw_add_intro	好像增加了新東西。\r\n請查看一下吧。
mn_dSetting_mw_enter_byeA	這樣啊。\r\n有事就再來找我吧。
mn_dSetting_mw_enter_byeB	你設定好了呢！\r\n那麼，再見。
mn_dSetting_mw_enter_byeC	「好的設定才會做出好遊戲」，\r\n不要忘記這句話喔。
mn_dSetting_mw_top_savedata	中斷資料已全部被消除。
mn_dSetting_mw_stampSet_mute	真的可以嗎？
mn_dSetting_mw_mute_a0	是
mn_dSetting_mw_mute_a1	否
mn_dSetting_mw_savedata_select	請選擇要消除的中斷資料。
mn_dSetting_mw_savedata_check	消除後的資料無法復原。\r\n真的要消除嗎？
mn_dSetting_mw_savedata_a0	是
mn_dSetting_mw_savedata_a1	否
hsmn04.msbt
hsmn04_friend_host	創建房間
hsmn04_friend_clients	尋找房間
hsmn04_friend_clients_FL	尋找朋友的房間
hsmn04_friend_clients_ID	以房間ID尋找
hsmn04_friend_host_details	邀請一起遊玩的人
hsmn04_friend_clients_details	進入別人創建的房間
hsmn04_friend_clients_ID_details	輸入房間號碼來尋找
hsmn04_friend_host_limit	進房限制
hsmn04_friend_host_pass	密碼
hsmn04_friend_host_limit_FL	僅限朋友
hsmn04_friend_host_limit_any	所有人都可以
hsmn04_friend_host_pass_on	設定
hsmn04_friend_host_pass_off	不設定
hsmn04_friend_host_pl	OK！
hsmn04_friend_robby_info_limit	進房限制
hsmn04_friend_robby_info_pass	設定密碼
hsmn04_friend_robby_limit_FL	僅限朋友
hsmn04_friend_robby_limit_any	所有人都可以
hsmn04_friend_robby_pass	[0]
hsmn04_friend_robby_notPass	無
hsmn04_friend_roomSel_order	要進入哪個玩家的房間？
hsmn04_friend_roomSel_ctrl_redo	再尋找一次
hsmn04_friend_roomSel_ctrl_back	返回
hsmn04_friend_roomSel_name	[0]
hsmn04_friend_roomSel_current	[0]/4
hsmn04_connect_host_order	這台主機會有幾個人遊玩呢？
hsmn04_connect_host_order_a	[0]
hsmn04_connect_host_pl	開始！
hsmn04_connect_clients_order	這台主機會有幾個人參加呢？
hsmn04_connect_clients_join	能進入房間的人數
hsmn04_connect_clients_order_a	[0]
hsmn04_connect_clients_join_a	還有[0]
hsmn04_connect_clients_pl	OK！
hsmn04_connect_account_name	[0]
hsmn04_friend_robby_ctrl_info	房間資訊
hsmn04_friend_robby_ctrl_FL	邀請朋友
hsmn04_friend_robby_ctrl_back	返回
hsmn04_friend_robby_ctrl_VC	/進行語音聊天
hsmn04_friend_robby_hostName	[0]的房間
hsmn04_friend_robby_wait	正在等待[0]開始遊戲……
hsmn04_friend_robby_pl	以這些成員開始
sys_invite_mes	要遊玩《瑪利歐派對 超級巨星》嗎？
hsmn04_host_header	創建房間
hsmn04_clients_header	尋找房間
hsmn04_robby_roomID	房間ID [0]
hsmn04_robby_mpCard	Mario Party卡片
hsmn04_back_ctrl	返回
hsmn04_friend_robby_hostWait	正在等待參加者……
hsmn04_friend_mw_welcome0a	{color[110c1dff]}我等你很久了！{color[000000ff]}
hsmn04_friend_mw_welcome0b	你好！過得好嗎？
hsmn04_friend_mw_welcome0c	歡迎光臨！
hsmn04_friend_mw_first0	在這裡，你可以跟\r\n身在遠方的朋友碰面喔♪
hsmn04_friend_mw_out0a	要玩得開心點喔！
hsmn04_friend_mw_out0b	盡情地玩吧！
hsmn04_friend_mw_out0c	那麼，請慢走！
hsmn04_friend_mw_out1a	再見，下次再來喔！
hsmn04_friend_mw_out1b	要再來喔，我會等你的！
hsmn04_friend_mw_out1c	期待你再次光臨！
hsmn05.msbt
mn_dStore_category_select	[0]
mn_dStore_category_list_all	全部
mn_dStore_category_list_stamp	貼圖
mn_dStore_category_list_card	卡片設計
mn_dStore_category_list_book	圖鑑
mn_dStore_category_list_bgm	音樂
mn_dStore_goods_name	[0]
mn_dStore_goods_price	[0]
mn_dStore_goods_name_check	[0]
mn_dStore_goods_stampDetails	這是能將心情\r\n傳達給其他玩家的貼圖。
mn_dStore_goods_bgmDetails	包含了[0]首\r\n令人懷念又嶄新的曲子的組合包，\r\n可以在音樂播放。
mn_dStore_goods_d_bgmDetails	包含了[0]首曲子的組合包，\r\n可以在資料屋播放。
mn_dStore_goods_staff_bgmDetails	可以在資料屋的音樂播放。\r\n這首曲子真令人懷念啊。
mn_dStore_goods_bookDetails00	資料屋的系列圖鑑\r\n將新增頁數。
mn_dStore_goods_bookDetails01	資料屋的雙陸遊戲圖鑑\r\n將新增頁數。
mn_dStore_goods_bookDetails02	資料屋的角色圖鑑\r\n將新增頁數。
mn_dStore_goods_bookDetails03	資料屋的Tips圖鑑\r\n將新增頁數。
mn_dStore_goods_caodDetails	可以設定Mario Party卡片的\r\n卡片設計。
mn_dStore_buy_check	要買嗎？
mn_dStore_coin_before	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]{color[000000ff]}
mn_dStore_coin_after	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]{color[000000ff]}
mn_dStore_buy_a0	買！
mn_dStore_buy_a1	不買
mn_dStore_coin_have	[0]
mn_dStore_back	返回
mn_dStore_mw_enterA	歡迎光臨！
mn_dStore_mw_enterB	歡迎光臨{color[ff3502ff]}奇諾比奧商店{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
mn_dStore_mw_enterC	{color[110c1dff]}請慢慢選購。{color[000000ff]}
mn_dStore_mw_firstEnter00	這裡有可在雙陸遊戲中使用的貼圖、\r\n令人懷念的音樂、圖鑑與卡片，應有盡有！
mn_dStore_mw_firstEnter01	遊玩雙陸遊戲或{color[ff3502ff]}小遊戲山丘{color[000000ff]}{color[110c1dff]}時，\r\n請將金幣收集起來吧。{color[000000ff]}
mn_dStore_mw_firstEnter02	請慢慢選購喔！
mn_dStore_mw_add_intro	增加了新的商品！
mn_dStore_mw_soldOut00	全部的商品都賣光了！\r\n謝謝你買了那麼多！
mn_dStore_mw_byeA	歡迎再次光臨！
mn_dStore_mw_byeB	請再來逛逛喔！
mn_dStore_mw_byeC	下次再來喔！我會在這裡等你的！
mn_dStore_mw_lack	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣不夠喔。{color[000000ff]}
mn_dStore_mw_buy	謝謝惠顧！
hsmn06.msbt
mn_dRoom_mw_introA	嘿嘿嘿嘿！\r\n這裡是{color[ff3502ff]}資料屋{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
mn_dRoom_mw_introB	嘿嘿嘿！\r\n你終於來了。
mn_dRoom_mw_introC	歡迎來到{color[ff3502ff]}資料屋{color[000000ff]}{color[110c1dff]}！\r\n嘿嘿嘿嘿！{color[000000ff]}
mn_dRoom_mw_add_intro	好像有新增的東西……\r\n要看看嗎？
mn_dRoom_mw_add_introStaff	音樂裡新增了工作人員名單喔。\r\n到廣場標籤的最後面去看看吧。
mn_dRoom_mw_firstEnter00	我好像沒見過你？\r\n那我就給你一個好東西吧。
mn_dRoom_mw_firstEnter01	這是Mario Party卡片。\r\n它可以紀錄在這個世界的冒險，是一張神奇的卡片。
mn_dRoom_mw_firstEnter02	馬上來紀錄一下你的事情吧。
mn_dRoom_mw_firstEnter03	喔，原來你喜歡這種的啊。\r\n如果喜好改變了，就在這裡更改吧。
mn_dRoom_mw_card_intro_back	喔，你還是選一些東西吧。
mn_dRoom_mw_card_intro	只要連線網路，\r\n世界各地的人都能看到\r\n這張Mario Party卡片。
mn_dRoom_mw_goTo00a	要看看Mario Party卡片嗎？
mn_dRoom_mw_goTo00b	圖鑑裡滿是回憶。\r\n要好好珍惜喔！
mn_dRoom_mw_goTo00c	聽音樂會讓人心情愉快喔。
mn_dRoom_mw_goTo00d	可以從遊戲紀錄查看勝率和新紀錄等，\r\n回顧到目前為止的冒險。
mn_dRoom_mw_goTo00e	要確認一下稱號嗎？
mn_dRoom_mw_goTo00f	聽說只要連線網路，\r\n就可以和世界各地的人遊玩喔。
mn_dRoom_mw_byeA	再見，要再來喔。
mn_dRoom_mw_byeB	這樣啊，要再來喔。
mn_dRoom_mw_byeC	再見啦，嘿嘿嘿！
mn_dRoom_pointer	[0]
mn_dRoom_ctrl	返回
mn_dRoom_mw_online00	正在上傳資料
mn_dRoom_mw_online01	正在下載資料
mn_dRoom_top_ctrl	返回
mn_dRoom_book_category00	系列
mn_dRoom_book_category01	雙陸遊戲
mn_dRoom_book_category02	角色
mn_dRoom_book_category03	Tips
mn_dRoom_book_shop_details	在奇諾比奧商店購買圖鑑，\r\n頁數就會增加。
mn_dRoom_book_listName	[0]
mn_dRoom_book_captionName	[0]
mn_dRoom_book_seriesDetails00	為了決定誰才是最厲害的超級巨星，\r\n瑪利歐一行人進入水管展開冒險。
mn_dRoom_book_seriesDetails01	瑪利歐等人各自都想用自己的名字\r\n為遊樂園命名。最後大家決定誰打倒庫巴\r\n就用誰的名字！於是，冒險就這樣展開了。
mn_dRoom_book_seriesDetails02	為爭奪千年才出現一次的星星「千禧星」，\r\n玩具世界中的大冒險就此展開。
mn_dRoom_book_seriesDetails03	為了獲得奇諾比奧們準備的大禮物，\r\n瑪利歐一行人展開了一場\r\n認真較量的正式比賽。
mn_dRoom_book_seriesDetails04	瑪利歐一行人受邀來到了夢之世界。\r\n受到星之精靈的熱情款待，\r\n歡樂的派對就此展開。
mn_dRoom_book_seriesDetails05	為了讓陽陽和月月重修舊好，\r\n瑪利歐一行人決定要收集星星。
mn_dRoom_book_seriesDetails06	瑪利歐一行人坐上了氣派的船。\r\n誰知道庫巴也在船上……\r\n一場波濤洶湧的狂野之旅就要出航了。
mn_dRoom_book_seriesDetails07	聽說在星星嘉年華奪冠，\r\n就可以獲得超級巨星的名號，\r\n還有一年份的糖果喔。
mn_dRoom_book_seriesDetails08	為了從庫巴手上奪回小星星，\r\n讓夜空恢復原狀，\r\n瑪利歐一行人展開了冒險。
mn_dRoom_book_seriesDetails09	與庫巴軍團進行一場賭上生死的大戰！\r\n瑪利歐一行人努力逃離緊追不捨的庫巴，\r\n究竟哪一邊會勝出呢？
mn_dRoom_book_bdDetails00	雙層蛋糕上放了滿滿的草莓。\r\n布丁上還有庫巴喔。\r\n用草莓裝飾蛋糕來慶祝吧！
mn_dRoom_book_bdDetails01	前進路線從宇宙站的中央\r\n放射性地延伸。\r\n要小心庫巴形狀的炮台喔。
mn_dRoom_book_bdDetails02	讓人迷失的不可思議森林。\r\n告示板上的箭頭指向不同的方向，\r\n森林盡頭還有一棵可疑的樹呢。
mn_dRoom_book_bdDetails03	有著耀西造型的水果島。\r\n左邊是滿滿西瓜的西瓜島，\r\n右邊是滿滿哈密瓜的哈密瓜島。
mn_dRoom_book_bdDetails04	在這裡，晝夜會不停地變換。\r\n到了晚上，鬼怪會聚在一起舉辦派對，\r\n是個感覺很詭異的地方。
mn_dRoom_book_caraDetails00	受到很多人喜愛，\r\n紅色帽子與鬍子\r\n是他的特徵。
mn_dRoom_book_caraDetails01	身高比瑪利歐高，\r\n論跳躍不輸他人，\r\n但卻很害怕鬼怪。
mn_dRoom_book_caraDetails02	蘑菇王國的善良公主。\r\n最愛粉紅色。
mn_dRoom_book_caraDetails03	精力充沛的公主。\r\n最愛花朵耳環。
mn_dRoom_book_caraDetails04	瓦路易吉的搭檔。\r\n性格豪爽，見錢眼開。
mn_dRoom_book_caraDetails05	瓦利歐的搭檔。\r\n性格狡猾，\r\n愛耍小聰明。
mn_dRoom_book_caraDetails06	性格悠然自得，\r\n是瑪利歐可靠的同伴。\r\n最愛水果。
mn_dRoom_book_caraDetails07	擁有不可思議的力量。\r\n與星之子「奇可」\r\n一起在宇宙旅行。
mn_dRoom_book_caraDetails08	最愛香蕉。\r\n力量強大，是森林的王者。
mn_dRoom_book_caraDetails09	開朗活潑，總是向眾人展現出\r\n不可思議的可愛一面。
mn_dRoom_book_caraDetails10	蘑菇王國的居民。\r\n精力充沛，工作勤奮。
mn_dRoom_book_caraDetails11	開朗活潑，\r\n粉色紅的大辮子\r\n是她的特徵。
mn_dRoom_book_caraDetails12	龜族的大魔王。\r\n性格殘暴、霸道，\r\n以自我為中心。
mn_dRoom_book_caraDetails13	庫巴的手下，\r\n總是被踩踏。
mn_dRoom_book_caraDetails14	除了紅色的嘿呵，\r\n還有其他顏色的同伴。
mn_dRoom_book_caraDetails15	頭上有螺旋槳，\r\n可以在天空飛來飛去。
mn_dRoom_book_caraDetails16	因為很久沒當嚮導了，\r\n所以非常有幹勁。
mn_dRoom_book_caraDetails17	開始閃爍就是\r\n要爆炸的訊號。\r\n馬上逃跑吧！
mn_dRoom_book_caraDetails18	一旦接近就會\r\n被大大的嘴巴吃掉。
mn_dRoom_book_caraDetails19	會從炮台裡飛出來。\r\n被擊中就會爆炸，\r\n要小心躲避！
mn_dRoom_book_caraDetails20	在海裡游來游去。\r\n有時候也會出現在河川裡。
mn_dRoom_book_caraDetails21	球蓋姆丟出來的\r\n尖刺紅色球，\r\n被擊中會非常痛。
mn_dRoom_book_caraDetails22	很擅長挖洞。\r\n像鼴鼠般的敵人。
mn_dRoom_book_caraDetails23	隱身在黑暗中，\r\n等待惡作劇的機會。
mn_dRoom_book_caraDetails24	小企鵝的父母。\r\n身型非常龐大。
mn_dRoom_book_caraDetails25	非常重。\r\n要小心不要被壓扁了。
mn_dRoom_book_caraDetails26	被堅硬的黑色龜殼保護著。
mn_dRoom_book_caraDetails27	乘著雲朵，飛到空中\r\n丟下刺刺蛋。\r\n控球能力高超。
mn_dRoom_book_caraDetails28	喜歡惡作劇的調皮小子。\r\n是大魔王庫巴的兒子。
mn_dRoom_book_caraDetails29	在水中游泳。\r\n生氣的時候會噴墨。
mn_dRoom_book_caraDetails30	個性害羞。\r\n只要有眼神接觸，\r\n就會把臉遮起來。
mn_dRoom_book_caraDetails31	被鐵鍊鎖著，\r\n身體像鐵一樣堅硬。
mn_dRoom_book_caraDetails32	會用龐大的身體\r\n擋住去路。
mn_dRoom_book_caraDetails33	害羞幽靈的王。\r\n對自己巨大的身體和\r\n王冠感到驕傲。
mn_dRoom_book_caraDetails34	浮在水面上，\r\n用充滿尖刺的身體\r\n擋住去路。
mn_dRoom_book_caraDetails35	大大的鉗子是其魅力所在。\r\n常棲息於水邊。
mn_dRoom_book_caraDetails36	會投擲鎚子來妨礙對手。
mn_dRoom_book_caraDetails37	像仙人掌一樣的敵人，\r\n會突然從地底鑽出來。
mn_dRoom_book_caraDetails38	跟害羞幽靈不一樣，\r\n就算有眼神接觸，\r\n也不會覺得害羞。
mn_dRoom_book_caraDetails39	只要有人在附近打轉，\r\n眼睛就會跟著轉來轉去。
mn_dRoom_book_caraDetails40	龜族的魔法師，\r\n眼鏡和藍色魔法袍\r\n是他的特徵。
mn_dRoom_book_caraDetails41	拍動翅膀，\r\n四處飛行。
mn_dRoom_book_caraDetails42	不管什麼都能用\r\n大大的嘴巴一口吃下。
mn_dRoom_book_caraDetails43	長得跟嘿呵很像，\r\n但仔細一看會發現\r\n面具是黑色的。
mn_dRoom_book_caraDetails44	吞食花的Boss。\r\n弱點是內褲裡的肚臍。
mn_dRoom_book_caraDetails45	長得跟栗寶寶很像，\r\n常常被搞混。
mn_dRoom_book_caraDetails46	企鵝的孩子，\r\n住在寒冷的地方。
mn_dRoom_book_caraDetails47	喜歡惡作劇的猴子。\r\n通常待在樹上。
mn_dRoom_book_caraDetails48	庫巴Jr.的座駕，\r\n可以在天空飛。
mn_dRoom_book_bd00_text00	如果想要延長遊玩時間，\r\n可以進行一次回合延長，讓回合數增加。\r\n不過，在最後回合時無法進行延長。
mn_dRoom_book_bd00_text01	和朋友遊玩時，\r\n只有創建房間的人可以進行回合延長。
mn_dRoom_book_bd00_text02	一旦進行回合延長，\r\n在最後5回合才有的變化，如決鬥、\r\n格子上{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金幣數量的增減等，將全部恢復原狀。{color[000000ff]}
mn_dRoom_book_bd00_text03	地圖上的黃色圓點，是{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}星星兌換所的候選地點。\r\n當奇諾比珂飛起來的時候，\r\n必定會降落到某一個黃色圓點上。{color[000000ff]}
mn_dRoom_book_bd00_text04	在雙陸遊戲，按鍵都能發送貼圖。\r\n快去確認看看有什麼貼圖吧。\r\n有時候也可以推動來更改喔。
mn_dRoom_book_bd01_text00	用草莓來裝飾吧。\r\n小草莓要{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}5金幣，大草莓要{color[ffffffff]}{color[0b0000ff]}30金幣。\r\n各自會幫忙奪取{color[ffffffff]}{color[0b0000ff]}金幣或{color[ffffffff]}{color[0b0000ff]}星星回來。{color[000000ff]}
mn_dRoom_book_bd01_text01	如果停在自己用草莓裝飾過的格子上，\r\n就可以獲得{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金幣，草莓也不會消失。{color[000000ff]}
mn_dRoom_book_bd01_text02	小草莓非常有精神，\r\n在奪取他人的{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金幣後，\r\n也有可能不會消失。{color[000000ff]}
mn_dRoom_book_bd01_text03	栗寶寶的籤一定會中獎1次。\r\n如果之前都沒人中獎，\r\n那麼剩下的那1個種子絕對會中獎。
mn_dRoom_book_bd01_text04	庫巴身處的地方是一個\r\n有滿滿香蕉並淋上焦糖醬的大布丁。\r\n說不定哪天庫巴會忍不住把它吃掉呢。
mn_dRoom_book_bd01_text05	在美味的蛋糕上收集{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}星星！\r\n但是，在決定出超級巨星之前，\r\n不能偷吃蛋糕喔。{color[000000ff]}
mn_dRoom_book_bd01_text06	這個蛋糕的正中央\r\n有一頂巧克力皇冠。\r\n成為超級巨星後，或許就能得到它。
mn_dRoom_book_bd02_text00	如何不被庫巴炮擊中，\r\n就是在宇宙站獲勝的關鍵。
mn_dRoom_book_bd02_text01	如果被庫巴炮擊中，就會失去所有的{color[ffffffff]}{color[000000ff]}{color[0b0000ff]}金幣。\r\n所以絕對不能被擊中喔。{color[000000ff]}
mn_dRoom_book_bd02_text02	當中央的數字倒數到「1」的時候就要注意了。\r\n看清楚危險的路線，趕快逃跑吧。
mn_dRoom_book_bd02_text03	好像有UFO墜落在某個地方了。\r\n到底發生什麼事了呢？
mn_dRoom_book_bd02_text04	聽說庫巴炮是透過\r\n太陽能板提供的能量運作的。
mn_dRoom_book_bd02_text05	對於違規超速的人，熱心工作的\r\n木喬巡警會追查到天涯海角。
mn_dRoom_book_bd02_text06	狂奔的太空船上\r\n坐著砰砰或咚咚。
