affection.txt
msg_affection_talk_01	这位优秀的训练家，\c\n可以让我看看你和宝可梦的\n关系好不好吗？
msg_Ev_m06_4010_talk_07	不行不行。\c\n我很高兴你这么说，但你是超Z队的人吧？\n做人得有始有终才行。[VAR 0114(0013)]
msg_Ev_m06_4010_talk_08	超Z队有你在，\n一定是支好团队。[VAR 0114(0013)]
msg_Ev_m06_4010_talk_09	不过我不会放弃你的，\n我会追你追到旅馆Z！[VAR 0114(0013)]
msg_933cf3069db746e38fb1d94c0636f23c	[~ 671]
msg_Ev_m06_4100_talk_01	[VAR 0100(0000)]！\c\n恭喜你打败乌羽，\n成功升级！[VAR 0114(000C)]
msg_Ev_m06_4100_talk_02	你打败了乌羽，\n锈蚀组应该不会再来找我们了吧？\c\n毕竟都输了还来说这说那的话，\n会很丢脸。[VAR 0114(000B)]
msg_Ev_m06_4100_talk_03	要想彻底摆脱纠缠，\n就得先还清[VAR 018B(0001)]借的钱。[VAR 0114(000C)]
msg_Ev_m06_4100_talk_04	所以，\n我们超Z队要一起出钱，\r\n还清[VAR 018B(0001)]的借款。[VAR 0114(000C)]
msg_Ev_m06_4100_talk_05	那可是我好不容易接到裁缝单子\n才攒下来的钱啊……[VAR 0114(000B)]
msg_Ev_m06_4100_talk_41	[VAR 0100(0000)]，\n也要请你出力。[VAR 0114(000B)]
msg_Ev_m06_4100_talk_06	只要我们把钱还清，\n就可以和锈蚀组断绝关系了吧？\r\n我的神经真的都快绷断了……[VAR 0114(000C)]
msg_Ev_m06_4100_talk_07_f	玳萝、琵鲁，抱歉。\n我会尽快把钱还给你们的……[VAR 0114(0006)]
msg_Ev_m06_4100_talk_07_m	玳萝、琵鲁，抱歉。\n我会尽快把钱还给你们的……[VAR 0114(0005)]
msg_Ev_m06_4100_select_01	真是个好团队
msg_Ev_m06_4100_select_02	看来应该能解决
msg_Ev_m06_4100_talk_24	话说回来，[VAR 018B(0001)]。\n你帮人忙帮得怎么样了？[VAR 0114(000C)]
msg_Ev_m06_4100_talk_25_f	算是顺利解决了。[VAR 0114(0006)]
msg_Ev_m06_4100_talk_25_m	算是顺利解决了。[VAR 0114(0005)]
msg_Ev_m06_4100_talk_26_f	不过保护总裁的时候，\n乌羽也帮了我一把。[VAR 0114(0006)]
msg_Ev_m06_4100_talk_26_m	不过保护总裁的时候，\n乌羽也帮了我一把。[VAR 0114(0005)]
msg_Ev_m06_4100_talk_27_f	等等……他帮了我，\n也就是说我们又欠了锈蚀组一个人情？[VAR 0114(0006)]
msg_Ev_m06_4100_talk_27_m	咦……他帮了我，\n也就是说我们又欠了锈蚀组一个人情？[VAR 0114(0005)]
msg_Ev_m06_4100_talk_28	这样的话，\n又要打白工了啊……[VAR 0114(000B)]
msg_Ev_m06_4100_talk_29	啾噜噜。
msg_Ev_m06_4100_talk_08	有人在吗？[VAR 0114(0004)]
msg_Ev_m06_4100_talk_30	咦，有客人来了！？[VAR 0114(000C)]
msg_Ev_m06_4100_talk_09	唔～\n这家旅馆看起来不错嘛。[VAR 0114(0013)]
msg_Ev_m06_4100_talk_10	咦？怎么搞的！？\n难不成锈蚀组全员要来打宝可梦大赛了？[VAR 0114(000C)]
msg_Ev_m06_4100_talk_42	请你放过这个旅馆吧。\n[VAR 0100(0001)]借的钱，\r\n我明天就去还给你。[VAR 0114(000C)]
msg_Ev_m06_4100_talk_11	我说你，\n提防过头了。[VAR 0114(0013)]
msg_Ev_m06_4100_talk_12	来旅馆的人，\n一般不都是要住宿吗？[VAR 0114(0013)]
msg_Ev_m06_4100_talk_13	还是说，你们旅馆Z\n会按自己的喜好来筛选客人吗？[VAR 0114(0013)]
msg_Ev_m06_4100_talk_14_f	乌羽，\n要住宿的话这边请。[VAR 0114(0006)]
msg_Ev_m06_4100_talk_14_m	乌羽，\n要住宿的话这边请。[VAR 0114(0005)]
msg_Ev_m06_4100_talk_15	好高大的老爷爷呀。\n传闻说你有3000岁，是真的吗？[VAR 0114(0013)]
msg_Ev_m06_4100_talk_16	请在这里填写名字。[VAR 0114(000A)]
msg_Ev_m06_4100_talk_17	好的好的，\n要给我最好的房间。[VAR 0114(0013)]
msg_Ev_m06_4100_talk_40	职业……\n就填万事通吧。[VAR 0114(0013)]
msg_Ev_m06_4100_talk_18	填好了，\n没想到我的字这么漂亮吧？[VAR 0114(0013)]
msg_Ev_m06_4100_talk_19_f	电梯在这边。[VAR 0114(0006)]
msg_Ev_m06_4100_talk_19_m	电梯在这边。[VAR 0114(0005)]
msg_Ev_m06_4100_talk_20	好呐。\n各位晚安好梦。[VAR 0114(0013)]
msg_Ev_m06_4100_talk_21	怎……怎么回事？[VAR 0114(000C)]
msg_Ev_m06_4100_talk_22	我不知道啊。[VAR 0114(000B)]
msg_Ev_m06_4100_talk_23_f	我们要做的就是\n把他当作客人好好接待。[VAR 0114(0006)]
msg_Ev_m06_4100_talk_23_m	我们要做的就是\n把他当作客人好好接待。[VAR 0114(0005)]
msg_ba80032bc7481d09f3926b4efed7a860	[~ 714]
msg_Ev_m06_1000_talk_99	这栋楼流传着各种危险的传闻……\n没事的话就回去吧。
msg_Ev_m06_2900_talk_99	门上锁了……\n似乎进不去。
msg_Ev_m06_2935_talk_99	入口紧关着……\n似乎进不去。
msg_Ev_m06_0010_talk_99	前方有积水……\n似乎无法前进。
msg_Ev_m06_0010_talk_00	已经不需要再冻结\n钢炮臂虾喷泉了。
main_07_01.txt
msg_Ev_m07_0010_sys_01	第二天……
msg_Ev_m07_0010_sys_02	闹钟声响起……
msg_5c3a853eda6c7578d924b3c19ee541e6	[~ 2]
msg_Ev_m07_0020_talk_01	今天醒来的时候感觉真好。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_02	负责客房服务的是哪位？[VAR 0114(0013)]
msg_Ev_m07_0020_talk_03_f	是我。[VAR 0114(0006)]
msg_Ev_m07_0020_talk_03_m	是我。[VAR 0114(0005)]
msg_Ev_m07_0020_talk_04	真了不起。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_05	房间也打理得很细致，\n连角落都照顾到了。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_06	还帮我的搭档蜈蚣王\n它们准备了专用的宝可梦食物。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_07	这是住宿费。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_08	然后这是给你的小费。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_09_f	咦？这也太多了吧？[VAR 0114(0006)]
msg_Ev_m07_0020_talk_09_m	这也太多了吧？[VAR 0114(0005)]
msg_Ev_m07_0020_talk_10	不多不多，\n你甭客气，收下吧。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_11_f	好吧。[VAR 0114(0006)]
msg_Ev_m07_0020_talk_11_m	那就恭敬不如从命了。[VAR 0114(0005)]
msg_Ev_m07_0020_talk_12	老大！[VAR 0114(0014)]
msg_Ev_m07_0020_talk_13	老大，\n我来接你了。[VAR 0114(0014)]
msg_Ev_m07_0020_talk_14	哎呀哎呀，\n这不是[VAR 018B(0001)]吗？\c\n你借的钱\n差不多该还给我们了吧？[VAR 0114(0014)]
msg_Ev_m07_0020_talk_15_f	咦？哦，\n那么请收下这些钱。[VAR 0114(0006)]
msg_Ev_m07_0020_talk_15_m	咦？哦，好的。\n那么请收下这些钱。[VAR 0114(0005)]
msg_Ev_m07_0020_talk_16	我收下了。[VAR 0114(0014)]
msg_Ev_m07_0020_talk_17	有借有还，再借不难，\n遵守规矩可是非常重要的。[VAR 0114(0014)]
msg_Ev_m07_0020_talk_18	事情办完了，回去吧。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_19	好呐，今后我们彼此\n也为了密阿雷努力吧。[VAR 0114(0013)]
msg_Ev_m07_0020_talk_20	锈蚀组到底是怎么回事～！？[VAR 0114(000C)]
msg_Ev_m07_0020_talk_21	啾噜噜♪
msg_542c81300840bdbbec5a8316f170411a	[~ 28]
msg_Ev_m07_0030_talk_30	客房打扫得怎么样了？[VAR 0114(000C)]
msg_Ev_m07_0030_talk_31_f	完事了。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_31_m	打扫完了。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_32_f	没使用的房间我也照常检查了，\n还换好了备品。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_32_m	没使用的房间我也照常检查了，\n还换好了备品。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_33	话说回来锈蚀组突然上门，\n到底是怎么一回事呢？[VAR 0114(000B)]
msg_Ev_m07_0030_talk_34	或许那就是他们的道义？\c\n感觉他们好像\n很中意[VAR 0100(0000)]。[VAR 0114(000C)]
msg_Ev_m07_0030_talk_35_f	总之，还钱的事解决了。\n我以后再也不借钱了！[VAR 0114(0006)]
msg_Ev_m07_0030_talk_35_m	总之，还钱的事解决了！\n我以后再也不借钱了。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_36	那是当然的吧！[VAR 0114(000C)]
msg_Ev_m07_0021_talk_01	啾～噜噜♪
msg_Ev_m07_0021_talk_02	玳萝。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_03	琵鲁。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_04	能借一步说话吗？[VAR 0114(000A)]
msg_Ev_m07_0021_talk_05	好的。[VAR 0114(000B)]
msg_Ev_m07_0021_talk_06	AZ，怎么了？[VAR 0114(000C)]
msg_Ev_m07_0021_talk_07	这是？[VAR 0114(000C)]
msg_Ev_m07_0021_talk_08	这是为了让你们的搭档超级进化\n而必不可少的\r\n超级环和超级石。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_09	咦？超级环应该是\n非常珍贵的东西吧？[VAR 0114(000C)]
msg_Ev_m07_0021_talk_10	而且我们\n在ZA登峰战的级别\r\n也没那么高。[VAR 0114(000B)]
msg_Ev_m07_0021_talk_11	没关系。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_12	我知道你们一直和[VAR 0100(0000)]\n一起帮助因失控超级进化\r\n而受苦的宝可梦。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_13	反倒是我应该更早一点交给你们。\n抱歉。[VAR 0114(000A)]
msg_Ev_m07_0021_talk_14	不、不……\n那我就收下了。[VAR 0114(000B)]
msg_Ev_m07_0021_talk_15	我也是！[VAR 0114(000C)]
msg_Ev_m07_0021_talk_16	我成为超级进化训练家了！[VAR 0114(000C)]
msg_Ev_m07_0021_talk_17	玳萝的搭档\n还是海星星吧？[VAR 0114(000B)]
msg_Ev_m07_0021_talk_18	海星星要先进化为宝石海星，\n然后才能超级进化啊。[VAR 0114(000B)]
msg_Ev_m07_0021_talk_19	说到底，只有不能再继续进化的\n宝可梦才能超级进化。[VAR 0114(000B)]
msg_Ev_m07_0021_talk_20	[VAR 0100(0000)]！[VAR 0114(000B)]
msg_Ev_m07_0021_talk_21	让我的头巾混混超级进化后，\n希望那时的第一个对战对手是你！[VAR 0114(000B)]
msg_Ev_m07_0021_talk_22	真狡猾～！\n我也想和[VAR 0100(0000)]交手！[VAR 0114(000C)]
msg_Ev_m07_0021_talk_23_f	你们俩都找[VAR 1100(00FF,0101)]他她对战吧。[VAR 0114(0006)]
msg_Ev_m07_0021_talk_23_m	你们俩都找[VAR 1100(00FF,0101)]他她对战不就得了。[VAR 0114(0005)]
msg_Ev_m07_0021_talk_24_f	那么，超Z队\n来对战场集合！[VAR 0114(0006)]
msg_Ev_m07_0021_talk_24_m	那么，超Z队\n来对战场集合吧！[VAR 0114(0005)]
msg_afe45ebed2ac37b5e1fa51c6bf1b11ce	[~ 65]
msg_Ev_m07_0022_talk_05	[VAR 0100(0000)]，\n我等你很久了！[VAR 0114(000C)]
msg_Ev_m07_0022_talk_01	虽然我的海星星\n还不能超级进化，\r\n但输赢可不光取决于这一点！[VAR 0114(000C)]
msg_Ev_m07_0022_talk_02	海星星！\c\n向大家展示一下\n舞蹈训练的成果吧！[VAR 0114(000C)]
msg_Ev_m07_0022_talk_03_f	确实，\n有时候被拉开距离会很难办。[VAR 0114(0006)]
msg_Ev_m07_0022_talk_03_m	我想你早就该知道……\n要想好好瞄准，就要用锁定才行。[VAR 0114(0005)]
msg_Ev_m07_0022_talk_04	双方都要加油啊。[VAR 0114(000B)]
msg_Ev_m07_0022_talk_06	[VAR 0100(0000)]！\n要是准备好了，就和我说一声吧。[VAR 0114(000C)]
msg_Ev_m07_0022_talk_07	不能让失控超级进化的宝可梦\n攻击其他宝可梦或人类，\r\n得避免这种恶性循环才行。[VAR 0114(000A)]
msg_afa4c272cc71aca4bc17d428d3e20252	[~ 74]
msg_Ev_m07_0023_talk_01	[VAR 0100(0000)]，\n你愿意和我对战吗？[VAR 0114(000C)]
msg_Ev_m07_0023_select_01	对战
msg_Ev_m07_0023_select_02	等一下
msg_Ev_m07_0023_talk_02	啊～该不会因为对手不是宝石海星，\n你就提不起兴致吧？[VAR 0114(000C)]
msg_Ev_m07_0023_talk_03	陪玳萝我跳舞的\n海星星可是很厉害的哦！[VAR 0114(000C)]
msg_709357e9b4661e880ddec565d71f91a1	[~ 80]
msg_Ev_m07_0023_btl01	即使力量不占优势，\n宝可梦也能靠属性相克扭转局面。[VAR 0114(000C)]
msg_47ed380914122a23e589124f35a1f830	[~ 82]
msg_Ev_m07_0025_talk_01	果然，\n海星星不进化的话……[VAR 0114(000C)]
msg_Ev_m07_0025_talk_02	要让海星星进化的话，\n水之石是不可或缺的。[VAR 0114(000B)]
msg_Ev_m07_0025_talk_03	嗯。\n这我知道。\c\n但海星星不是也有\n它独到的可爱之处吗？[VAR 0114(000C)]
msg_Ev_m07_0025_talk_04	超级环是干什么用的？[VAR 0114(000B)]
msg_Ev_m07_0025_talk_05	[VAR 0100(0000)]，\n我帮你的[VAR 0102(0002)]恢复活力吧。[VAR 0114(000C)]
msg_Ev_m07_0025_talk_06	接下来轮到我们了。\c\n我知道你很厉害，\n也正因如此想让你好好体会\r\n我的搭档超级进化之后有多厉害！[VAR 0114(000B)]
msg_99ea4825e232c31c835b37baf1b39a3b	[~ 89]
msg_Ev_m07_0026_talk_01	那么，\n请你和我们对战吧。[VAR 0114(000B)]
msg_Ev_m07_0026_select_01	好啊
msg_Ev_m07_0026_select_02	我再想想
msg_Ev_m07_0026_talk_02	请别吊人胃口啊！\c\n我想让你见识一下\n搭档超级进化后有多厉害！[VAR 0114(000B)]
msg_Ev_m07_0026_talk_03	我要出招咯……！\c\n超Z队的“超”\n就是超级进化的“超”！[VAR 0114(000B)]
msg_Ev_m07_0026_talk_04	双方都要加油哦！！[VAR 0114(000C)]
msg_Ev_m07_0026_talk_05_f	超级进化之后，\n就可以尽情使用加强招式了！[VAR 0114(0006)]
msg_Ev_m07_0026_talk_05_m	超级进化之后，\n就可以尽情使用加强招式了。[VAR 0114(0005)]
msg_Ev_m07_0026_talk_06	头巾混混第一次超级进化，\n感觉怎么样呢？[VAR 0114(000C)]
msg_156f8932bed4a7cf8741333a11034153	[~ 99]
msg_Ev_m07_0026_btl01	头巾混混！我会灵活运用\n你超级进化后的力量的。[VAR 0114(000B)]
msg_9c161bc40437792a6d4a4517aa21ced4	[~ 101]
msg_Ev_m07_0028_talk_01	看来在和超级进化的宝可梦对战这件事上，\n我们之间有经验上的差距了啊。\c\n今后我会和头巾混混一起学习\n超级进化的战斗方式。[VAR 0114(000B)]
msg_Ev_m07_0028_talk_02	那个，\n虽然有点难以启齿……[VAR 0114(000C)]
msg_Ev_m07_0028_talk_03	怎么了？[VAR 0114(000B)]
msg_Ev_m07_0028_talk_04	我肚子饿了。[VAR 0114(000C)]
msg_Ev_m07_0028_talk_05	玳萝，\n宝可梦的运动量比你大吧。[VAR 0114(000B)]
msg_Ev_m07_0028_talk_06	但我就是会饿嘛～[VAR 0114(000C)]
msg_Ev_m07_0028_talk_07_f	那我们去新咖啡吧？[VAR 0114(0006)]
msg_Ev_m07_0028_talk_07_m	要去新咖啡吗？[VAR 0114(0005)]
msg_Ev_m07_0028_talk_08	我赞成！[VAR 0114(000C)]
msg_Ev_m07_0028_talk_09	只要不把可颂和咖喱混在一起，\n我就赞成。[VAR 0114(000B)]
msg_f85910558070bdc1d52b0dec45acc61d	[~ 112]
msg_Ev_m07_0030_talk_70	请再给我2个可颂！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_71	吃东西吃得太快\n对消化不好……[VAR 0114(000B)]
msg_Ev_m07_0030_talk_72	谁叫新咖啡的可颂\n好吃到让人叫绝呢！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_73	在我的可颂排行榜里，\n新咖啡一直占据着前2的宝座。[VAR 0114(000C)]
msg_Ev_m07_0030_talk_74	要点餐就一次点完！\n别零零碎碎地点，那样会增加我的工作量的。
msg_Ev_m07_0030_talk_75	刚才那个人……\n依旧是精力旺盛得过头了啊。[VAR 0114(000B)]
msg_Ev_m07_0030_talk_76	咦？\n那样很好啊！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_77_f	[VAR 0100(0000)]，\n你觉得琵鲁搭档的超级进化怎么样？[VAR 0114(0006)]
msg_Ev_m07_0030_talk_77_m	[VAR 0100(0000)]，\n你觉得琵鲁搭档的超级进化怎么样？[VAR 0114(0005)]
msg_Ev_m07_0030_select_03	很厉害
msg_Ev_m07_0030_select_04	很有趣
msg_Ev_m07_0030_talk_78_f	你都这么说了，\n那就代表超Z队的战力成功强化了！[VAR 0114(0006)]
msg_Ev_m07_0030_talk_78_m	你都这么说了，\n那就代表超Z队的战力成功强化了。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_79	啊，我也会让我的海星星进化，\n然后再让它超级进化！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_80	我在街上找来找去……[VAR 0114(0004)]
msg_Ev_m07_0030_talk_37	冒昧打扰你们聊天，\n各位是超Z队的人吧？[VAR 0114(0004)]
msg_Ev_m07_0030_talk_38_f	是的。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_38_m	是的，怎么了？[VAR 0114(0005)]
msg_Ev_m07_0030_talk_41	初次见面。\c\n我是[VAR FF00(0006)]密阿雷社交对战俱乐部[VAR FF00(0000)]的春紫。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_42	密阿雷社交对战俱乐部！？[VAR 0114(000B)]
msg_Ev_m07_0030_talk_43	说到通称“[VAR FF00(0006)]MSBC[VAR FF00(0000)]”的\n密阿雷社交对战俱乐部，\r\n那就是名流子弟创办的\r\n热爱宝可梦对战的团体吧？[VAR 0114(000B)]
msg_Ev_m07_0030_talk_44	旅馆Z没有名流啊。[VAR 0114(000B)]
msg_Ev_m07_0030_talk_45	我们密阿雷社交对战俱乐部\n也不是只有名流子弟在战斗。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_46	容我冒昧地问一句，\n请问哪位是[VAR 018B(0001)]队长？[VAR 0114(0016)]
msg_Ev_m07_0030_talk_47_f	是我。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_47_m	是我。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_48_f	而这家伙是我们的王牌，[VAR 0100(0000)]。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_48_m	而这位是我们的王牌，[VAR 0100(0000)]。[VAR 0114(0005)]
msg_Ev_m07_0030_select_01	我叫[VAR 0100(0000)]
msg_Ev_m07_0030_select_02	初次见面，你好
msg_Ev_m07_0030_talk_49	谢谢你。\n我有事想告诉你们。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_50	我的主人由紫小姐\n想要邀请二位参加下一次\r\n密阿雷社交对战俱乐部的集会。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_51	因此，\n劳驾二位前往秀丽世大酒店。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_67	那我先告退了。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_52	请一定要来！\c\n不来的话会有怎样的下场，\n我可不负责啊。[VAR 0114(0016)]
msg_Ev_m07_0030_talk_53	怎样的下场……\n这是什么意思啊？[VAR 0114(000C)]
msg_Ev_m07_0030_talk_54_f	真叫人摸不着头脑，\n也不知道热爱宝可梦对战\r\n是怎么一回事。\r\n要不我们去秀丽世看看吧？[VAR 0114(0006)]
msg_Ev_m07_0030_talk_54_m	真叫人摸不着头脑，\n也不知道热爱宝可梦对战\r\n是怎么一回事。\r\n要不我们去秀丽世看看吧？[VAR 0114(0005)]
msg_Ev_m07_0030_talk_55	等一下！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_56	[VAR 018B(0001)]，\n你打算就穿成这样去秀丽世？[VAR 0114(000C)]
msg_Ev_m07_0030_talk_57_f	是啊。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_57_m	嗯。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_58	不行，\n这绝对不行。[VAR 0114(000C)]
msg_Ev_m07_0030_talk_59	听好了，这可是大好机会。\c\n要想拉近和名流的关系，\n并且帮旅馆Z好好宣传，\r\n那么得体的打扮是很重要的！[VAR 0114(000C)]
msg_Ev_m07_0030_talk_60	因此，\n琵鲁，就拜托你了。[VAR 0114(000C)]
msg_Ev_m07_0030_talk_61	什么？[VAR 0114(000B)]
msg_Ev_m07_0030_talk_62_f	原来如此！\n玳萝说的确实很有道理。\c\n拜托你了，琵鲁。[VAR 0114(0006)]
msg_Ev_m07_0030_talk_62_m	玳萝这话很有说服力。\n那拜托你了，琵鲁。[VAR 0114(0005)]
msg_Ev_m07_0030_talk_63	好吧，我知道了。[VAR 0114(000B)]
msg_Ev_m07_0030_talk_64	那么为了备齐合适的服装，\n我们去春日大道上开的\r\n时尚服饰馆吧。[VAR 0114(000B)]
msg_Ev_m07_0030_talk_65_f	我明白了！\n[VAR 0100(0000)]，你也来吧！[VAR 0114(0006)]
msg_Ev_m07_0030_talk_65_m	我明白了。\n[VAR 0100(0000)]，你也来吧！[VAR 0114(0005)]
msg_Ev_m07_0030_talk_66	我们要获取MSBC那些人的好感，\n然后让他们来旅馆Z住宿。[VAR 0114(000C)]
msg_ce0d6c0aa9a6872fbbf3fe687dea9f8e	[~ 166]
msg_Ev_m07_1000_talk_01	这里是时尚服饰馆。[VAR 0114(000B)]
msg_Ev_m07_1000_talk_02	这里卖的衣服\n都很适合穿去参加\r\n密阿雷社交对战俱乐部的集会……\c\n不过价格不便宜，\n更麻烦的是没有门路就不能买。[VAR 0114(000B)]
msg_Ev_m07_1000_talk_03	你们想要我设计的衣服啊？\n那可真是nice♪
msg_Ev_m07_1000_talk_04_f	你是谁？[VAR 0114(0006)]
msg_Ev_m07_1000_talk_04_m	你是谁？[VAR 0114(0005)]
msg_Ev_m07_1000_talk_05	一定要自我介绍的话，\n我是路过的设计师，亚莎美。[VAR 0114(003A)]
msg_Ev_m07_1000_talk_06	一直以来，我都想着……[VAR 0114(003A)]
msg_Ev_m07_1000_talk_07	顾客可以选择服装，\n服装应该同样也可以选择顾客！[VAR 0114(003A)]
msg_Ev_m07_1000_talk_08	但要是把这话说出口，\n店家和顾客都会生气的吧……？[VAR 0114(003A)]
msg_Ev_m07_1000_talk_09	嘿，我有事想拜托你们。\c\n让我实现想要自己\n选择顾客的心愿吧！\r\n事成之后，我会送衣服给你们！[VAR 0114(003A)]
msg_Ev_m07_1000_talk_10	所谓的心愿就是……[VAR 0114(003A)]
msg_Ev_m07_1000_talk_19	和我打场宝可梦对战！[VAR 0114(003A)]
msg_Ev_m07_1000_talk_17	但是，我有个条件，\n请在宝可梦超级进化的状态下打败我！[VAR 0114(003A)]
msg_Ev_m07_1000_talk_18	时髦的宝可梦对战\n才是我所期待的。[VAR 0114(003A)]
msg_Ev_m07_1000_talk_11_f	哇啊，这人真麻烦。[VAR 0114(0006)]
msg_Ev_m07_1000_talk_11_m	感觉很烦……[VAR 0114(0005)]
msg_Ev_m07_1000_talk_12	我非常赞同你的意见，\n但要是不买衣服的话，玳萝会发火的。[VAR 0114(000B)]
msg_Ev_m07_1000_talk_13_f	那也挺麻烦的。[VAR 0114(0006)]
msg_Ev_m07_1000_talk_13_m	那也挺烦人的。[VAR 0114(0005)]
msg_Ev_m07_1000_talk_14_f	那么，\n[VAR 0100(0000)]，就拜托你了！[VAR 0114(0006)]
msg_Ev_m07_1000_talk_14_m	那么，\n[VAR 0100(0000)]，就拜托你了。[VAR 0114(0005)]
msg_Ev_m07_1000_talk_15_f	我想想，这不就是那个嘛。\n成为超级进化训练家必不可少的考验！[VAR 0114(0006)]
msg_Ev_m07_1000_talk_15_m	我想想，这不就是那个嘛。\n成为超级进化训练家必不可少的考验。[VAR 0114(0005)]
msg_Ev_m07_1000_talk_16	听那个人刚才说的，\n应该是不管让哪只宝可梦\r\n超级进化都没问题。[VAR 0114(000B)]
msg_Ev_m07_1000_talk_99	我们正在春日大道的\n时尚服饰馆等你呢。[VAR 0114(000B)]
msg_aa63d05b5a9e928dd5cf6b880cf07328	[~ 192]
msg_Ev_m07_1100_talk_01	请在超级进化的状态下\n战胜我的花洁夫人。\c\n我不会认可一场稀松平常的胜利！\n一定要在超级进化的状态下获胜才行！\r\n你准备好了吗？[VAR 0114(003A)]
msg_Ev_m07_1100_select_03	应战
msg_Ev_m07_1100_select_04	还要准备
msg_Ev_m07_1100_talk_02	很抱歉我是个麻烦的设计师，\n但我就是想看美丽的胜利！[VAR 0114(003A)]
msg_Ev_m07_1100_talk_03	通过超级进化赢来的胜利……\n这才是真正的时髦！[VAR 0114(003A)]
msg_adeb76bfd958d80d7704e7a7c0a9cc6f	[~ 198]
msg_Ev_m07_1108_talk_01	虽说输也有很多种输法，\n但你输得也太不时髦了……\c\n好好锻炼能够超级进化的宝可梦，\n争取获得美丽的胜利吧！[VAR 0114(003A)]
msg_Ev_m07_1108_talk_02	用超级进化的宝可梦进行攻击，\n打倒对方的宝可梦吧！
msg_e249700d9951e5ee5e151f32efbb1af0	[~ 201]
msg_Ev_m07_1109_talk_01	真不时髦……\c\n用超级进化的宝可梦攻击获胜，\n这才是我所盼望的胜利啊！[VAR 0114(003A)]
msg_Ev_m07_1109_talk_02	用超级进化的宝可梦进行攻击，\n打倒对方的宝可梦吧！
msg_3454f6d1d2ebaa26a219d304c73997da	[~ 204]
msg_Ev_m07_1110_talk_01	时髦！[VAR 0114(003A)]
msg_Ev_m07_1100_talk_08	时髦是曾经席卷密阿雷的一种价值观，\n你简直就是深谙时髦之道的天才！[VAR 0114(003A)]
msg_Ev_m07_1100_talk_20	[VAR 0100(0000)]\n获得了各种时尚物品！
msg_Ev_m07_1100_talk_22	要不要现在就换上呢？[VAR 0114(003A)]
msg_Ev_m07_1100_select_01	现在换
msg_Ev_m07_1100_select_02	之后再说
msg_Ev_m07_1100_talk_23	这身非常适合你。[VAR 0114(003A)]
msg_Ev_m07_1100_talk_24	那边那位需要换一身衣服吗？[VAR 0114(003A)]
msg_Ev_m07_1100_talk_09_f	对我来说，\n这件外套就是正装。[VAR 0114(0006)]
msg_Ev_m07_1100_talk_09_m	我的正装\n就是这件外套！[VAR 0114(0005)]
msg_Ev_m07_1100_talk_10_f	这是我去世的妈妈留下的遗物。[VAR 0114(0006)]
msg_Ev_m07_1100_talk_10_m	这是我去世的妈妈留下的遗物。[VAR 0114(0005)]
msg_Ev_m07_1100_talk_11	这个选择也是正确的。[VAR 0114(003A)]
msg_Ev_m07_1100_talk_26	谢谢你和我打宝可梦对战，\n还给了我眼花缭乱的时髦体验。\c\n各位，\n今后也请多多光顾时尚服饰馆。[VAR 0114(003A)]
msg_Ev_m07_1100_talk_13	我也会更努力地精进设计。\c\n因为我不想输给最近备受关注的\n那个叫琵鲁的神秘设计师。[VAR 0114(003A)]
msg_Ev_m07_1100_talk_14_f	听到了吧？[VAR 0114(0006)]
msg_Ev_m07_1100_talk_14_m	听到了吧？[VAR 0114(0005)]
msg_Ev_m07_1100_talk_15	我不知道你在说什么。[VAR 0114(000B)]
